,page,text
0,1,"Q pur 4 15 Ar Lo hi STE, 
at . «5 i , À Pr s 
4 r $ CES j à fr. 4 TE... : 
Ti AMEN 1 
EC El EPS C4 ë ere … ” ° el 
‘ h © 6 ” 
d “hd ou Ju PCA à ° op LJ 
‘ NT ES int 
2 Vs CN XV 
Ke à 
Le) 
\ 
7 Li A. Le pe L 7 l lis iS lol SISISIS SSI Le 
Done” IR CIE "
1,2,"D UE nr und mernanduenereee "" net : ‘ill Û FIL ‘ 11} 1 li A RE M'obi al di dois és APPVETPE DEEE 
a il ANRT A1 -11 4 
——— 
o ET C 
as l'aventure TT On ne vit pas Hi a 
ment det AVCRSITAIRE avec Ur EQUIPE ee 1066 
LAUSANNE 
L TT 
l / l 
1 \ e 
Dr 
AA ST 
* marques déposées 
Quand on part avec 6 valises, un billet d'avion et sa place réservée dans des hôlels à air conditionné, on revient avec des souvenirs en forme de carte postale. Pour courir le monde, il faut se débarrasser de certains préjugés et de beaucoup de poids inutiles. Voilà pourquoi le nouvel appareil KODAK Pocket INSTAMATIC est la plus grande découverte depuis que l’homme a une poche. , Extra-plat, bien compact, l’objectif ne craint rien et le déclencheur se verrouille. 
Discret, la rue de la mosquée bleue ne sera pas vide le temps de le sortir. : Ni le temps de faire 36 réglages : c’est un appa- iW— reil Instamatic. Lo Ni le temps de le charger : le film est en Char- geur. Un film minuscule - le film Kodacolor II - qui donne de grandes photos couleur Sur papier. Presque aussi grandes que des cartes postales. 
PT 
) ] appareil 
:  KODAK Pocket INSTAMATIC: Li 7modéles. 
Le meilleur moyen de ses 
HAN)! SATA ICS 
1 1 Mit MDE ITR MEET 
RUN TONI me i 
NE "
2,3,"Syiologie comprendre. savoir. agir 
s dans le monde d'aujourd'hui 
Juillet 1973 - 6 F - N° 42 
Notre quiz du mois 4 Quelle est votre forme d'intelligence ? 
Analytique ? Synthétique ? Méthodique ? intuitive ? 
par Hans J. Eysenck 
Un personnage extraordinaire 11 Freud amoureux 
Un soupirant transi, un fiancé jaloux, un mari modèle, 
par Roland Jaccard ——————— 
Entretien avec. 17 Michel Siffre 
Six mois sous terre pour étudier les rythmes 
biologiques humains, 
par Jacques Mousseau et Jacques Meunier 
Le couple 29 Les mariages qui marchent 
Les facteurs de la réussite conjugale, 
par Odile Naudin 
Sexologie 36 À quoi pensent les femmes pendant l'amour ? 
La question qui obsède l'esprit des hommes, 
par E. Barbara Hariton 
Notre société 44 Humaniser le travail 
A force de tirer sur la chaîne, elle casse, 
par Robert L. Kahn 
L'université nouvelle 51 La pédagogie non directive 
Comment être libéral sans être débordé, 
par Sara Peltant 
Librairie 60 « L'Instinct de destruction » (Anthony Storr) 
« Un voyage à travers la folie » (Mary Barnes) 
« Contre-révolution et révolte » (Herbert Marcuse) 
En bref 25 Grande-Bretagne 
39 Allemagne 
France 
dans « Psychologie » 
Le prochain numéro paraîtra le jeudi 2 août Who's who 
POUR VOUS ABONNER 
jh"
3,4,"UTC TTEIENETEE D 7I2I2i2e ee 
ge AA Te ' VA VA YA 
. oo cute DHUOOUNN MOINE YA 2222279207: do AOC 2222222200 à RO QU DOUNLZT22222822 204 ) PLANTE LEE TT DO AA EL LETT AIN DATA S SR 2222202001 NS LT 222222 22228220 l AO NON ATOUT VAYA ANAA NAT 22220 9 U AA HU LULLLLL LIN AAZZ22227788222078000 
; Hu D 222 2 WA UUU \ AU] HUE It JO! ) 0) 1000 0 IfIN] PPT EI Ps nt 
PAASESEE AE ds 22 LT: 22222882272722%000073 ALT RTMTTONTTILITLEE 222222222222222200 0 PL INTUETLTELE 2222 22ZZEZ SEC TES 0 i 1010000001 ZZLZL2227278S 227% n a nn 2222247750) sl 222 22722 22700 HN 222202 22707 
Quelle est votre forme d'intelligence ? 
par Hans J. Eysenck 
Grâce à une série de différents pro- 
blèmes, vous pouvez connaître votre 
forme d'intelligence. Ceux du début 
sont plus faciles que ceux de la fin. 
Mais ne pensez pas que la difficulté 
des problèmes est uniquement fonc- 
tion de leur rang. Ne passez pas trop 
de temps sur une question ; vous ris- 
queriez de piétiner, alors que vous 
pourriez résoudre plus facilement la 
question suivante. N'abandonnez pas 
non plus trop (tôt: tous les pro- 
blèmes qui sont posés ici peuvent 
être résolus avec un peu de patience. 
Fiez-vous à votre bon jugement pour 
Savoir si vous devez où non sauter une question, 
La règle du jeu Vous disposez de trente minutes Exactement pour passer le test. Arré- Lez-vous immédiatement au bout de ce temps. Ou mieux, faites-vous chro- nométrer par quelqu'un qui vous arrêtera le moment venu. Sinon, vous ne pourriez pas juger de votre per- formance dans ce test, tel que le psychologue anglais HJ. Eysenck 1! l'a conçu. Et sachez que, dans un tel test, tout le monde doit être ca- pable d'obtenir quelques bonnes ré- ponses, mais qu’il est impossible à qu que ce soit de résoudre correcte- ment tous les problèmes dans le Lemps alloué. 
Vous répondrez chaque fois par un chiffre, une lettre Où un mot. Vous aurez lantôt à choisir entre diifé- rentes solutions qui vous sont pro- posées, tantôt à découvrir vous- même Ja bonne réponse. Voici cinq exemples qui vous Pérmeltront de vous familiariser avec les Principaux Lypes de problèmes qui vont être soumis à votre Sagacilé, Premier exemple 
On vous demande de trouver le 
chiffre manquant qui complète logi- 
quement la série de nombres sui- 
vants : 
2 4 8 16 ? 
La réponse exacte est 32. En effet, 
dans la série de chiffres ci-dessus, 
chaque nombre est le double du 
nombre qui précède : 4 est le double 
de 2; 8 est le double de 4; 16 Je double de 8; c'est ce qu'on appelle une progression géométrique. D'où le chiffre manquant: 32, qui est Je double de 16. 
Deuxième exemple 
Vous trouverez ci-dessous un cercle divisé en six parties. Dans chaque Partie est inscrit un nombre, sauf dans la dernière. On vous demande de trouver Je nombre à inscrire dans cette partie. 
La réponse exacte Est 25. En effet, si l'on prend les chiffres dans Je sens Imverse de celui des aiguilles d une montre, on s'aperçoit que l'écart entre chacun des chiffres aug- Mentc chaque fois d'une unité : 10+1—11 
11 +2 — 13 
13 +3 — 16 
16 + 4 = 20 
Donc, il faut ajouter 5 à 20 Troisième exemple 
Voici quatre figures numérotées de 1 à 4. On vous demande de trouver celle qui ne va pas avec les autres : 
La réponse exacte est 4. Pourquoi ? Les figures 1, 2, 3 sont identiques, 
et simplement orientées dans diffé. rentes positions : elles peuvent être 
superposées par simple glissement. 
La figure 4, en revanche, a été re. 
tournée de tellé façon qu'elle ne peut 
pas être superposée aux autres par 
simple glissement dans le plan de la 
feuille de papier. 
Quatrième exemple : 
Voici une série de figures numérotées 
de 1 à 6. On vous demande de trouver 
le numéro de la figure qui ne va 
pas avec les autres. 
006000 La réponse exacte est la figure 4 
Pourquoi ? Entre chaque figure, de 
1 à 6, l'aiguille de l'horloge avance 
d'un quart de tour. Mais il y a un cas où l'aiguille de l'horloge est « détraquée » : il s’agit de la figure 
où l'aiguille, au lieu d'être tournée 
vers le bas comme il serait logiqué, 
est tournée vers le haut. La figure < 
est donc bien celle qui ne va Pà 
avec les autres. 
1. Né en 1916, H.J. Eysenck est doc 
psychologie de l'université de Londres À l'Insti- teur du département de psychologi "" Bethlem ut de psychiatrie (Maudsley an de la per- Royal Hospitals). Il est spécialiste sonnalité. "
4,5,"nquièrmie exemple cie trouverez ci-dessous trois figu- 
es appelées À, B; C: on vous 
demande de trouver D. 
La réponse est à choisir parmi les 
cinq modèles possibles présentés en- 
suite et numérotés de 1 à 5. 
Lo est à] comme O à ? 
Â B C D 
Réponses possibles : 
80e La réponse exacte est la figure 2. 
Pourquoi ? Le raisonnement est un 
peu plus compliqué que tout à 
l'heure. Dans ce type d'exercice, il 
y a une liaison logique entre les 
figures À et B, et cette liaison est 
analogue à celle qui relie C à D. 
Quand on à découvert le principe de 
cette relation, on est capable de ré- 
soudre correctement le problème qui 
est de mettre en D la figure 2. 
En effet : 
— à grand carré À, petit carré B; 
donc à grand rond C, petit rond D. 
Ce qui élimine les réponses 3 et 5; 
- chacune des figures modèles À 
et B est composée d'un rond et d'un 
carré. Il en est de même de C; 
cela élimine donc la figure 1 qui est 
faite de deux ronds; 
— je rond qui était à l'intérieur de 
la figure À se trouve être à l'exté- 
rieur dans la figure B ; puisque, dans 
la figure C, le carré est à l'intérieur, 
il devra être à l'extérieur en D. Ce 
qui élimine encore la figure 4. Seule 
la figure 2 respecte toutes les condi- 
tions de la relation observée. C'est 
donc elle qui doit être inscrite en D. 
Nous espérons que vous avez bien 
compris les « clés » pour parvenir à 
la solution correcte des problèmes que 
nous venons d'examiner. Bien enten- 
du, les « serrures » à ouvrir avec ces 
clés seront plus ou moins compli- 
quées. 
Nous vous rappelons que : 
— le test comprend quarante ques- 
tions ; 
— vous disposez de trente minutes 
pour y répondre. 
Nous vous conseillons : 
— d'essayer d'aller le plus loin pos- 
sible ; 
— de surveiller régulièrement le 
temps qui reste à courir ; 
— de ne pas vous accrocher trop 
longtemps sur un problème dont Ja 
solution vous échappe ; 
— vous pouvez, si cela vous aide, 
vous servir d'une feuille de papier 
blanc pour noter différentes tenta- 
lives de solutions. Prenez vos dispositions pour être au 
calme pendant une demi-heure, pre- 
nez un crayon en main pour noter 
vos réponses, repérez l'heure exacle 
(à la minute près) où vous démar- 
rez, et allez-y! 
À vous de jouer 
1 
Ajoutez le chiffre manquant : 
2 5 8 11 
2 
Soulignez le mot impropre dans la 
séquence : 
maison igloo chalet bureau cabane 
3 
Trouvez 
quants : 
7 110 9 12 11 les deux chiffres man- 
4 
Des six figures numérotées, quelle est 
celle qui doit logiquement trouver 
sa place dans le carré. Ecrivez le 
chiffre correspondant à cette figure 
dans le carré. 
OO0O O 
OO0O O 
0OO0 O O OO 
(®) 
O O O O © 
O O (®@) 
O O O 
O (@) 
(®) 
O 
impropre : Soulignez le terme 
hareng chien lion renard girafe 
A ———— 
Ajoutez les deux chiffres manquants : 
6 9 18 21 42 4 
——— 
Soulignez le LErme impropre dans la 
séquence : 
Jupiter 
Mercure Apollon Mars Neplune ES étonnantes 
possibilités 
ile la mémoire J'étais loin de me douler, en arrivant chez mon 
ami O.D. Borg, que j'allais étre le témoin d'un 
speclacle vraiment extraordinaire et décupler ma 
puissance mentale. 
1l m'avait fait venir à Stockholm pour parler 
aux Suédois de Pasteur et de nos grands savants 
français et, le soir de mon arrivée, après le 
champagne, la conversation roula naturellement 
sur les difficultés de la parole en public, sur le 
grand travail que nous impose à nous autres 
conférenciers la nécessité de savoir à la per- 
fection le mot à mot de nos discours. 
O.D. Borg me dit alors qu'il avait probable- 
ment le moyen de m'élonner, moi qui lui avais 
connu, lorsque nous faisions ensemble notre 
droit à Paris, la plus déplorable mémoire. 
ll recula Jusqu'au fond de la salle à manger 
et me pria d'écrire cent nombres de trois 
chiffres, ceux que je voudrais,en les appelant 
à haute voix. Lorsque j'eus ainsi rempli de haut 
en bas la marge d'un vieux journal, ©.0. Borg 
me récita ces cent nombres dans l'ordre dans 
lequel je les avais écrits, puis en sens contraire, 
c'est-à-dire en commençant par les derniers. 
1 me laissa aussi l'interroger sur la position 
respective de ces différents nombres : je lui 
demandal par exemple quel était le 24e, le 72e, 
le 38, el je le vis répondre à toutes mes 
questions sans hésilation, sans effort, instanla- 
nément, comme si les chiffres que j'avais écrits 
sur le papier étaient aussi inscrils dans son 
cerveau. 
Je demeurai stupéfait par un pareil iour de 
force et je cherchai vainement l'artifice qui avait 
permis de le réaliser. Mon ami me dit alors : 
‘Ce que tu as vu et qui te semble extraordi- 
naire est en réalité fort simple : tout le monde 
possède assez de mémoire pour en faire autant, 
mals rares sont les personnes qui savent se 
servir de celte merveilleuse faculté.” 
11 m'indiqua alors le moyen d'accomplir le 
même tour de force et j'y parvins aussitôt, sans 
erreur, sans effort, comme vous y parviendrez 
vous-même demain. 
Mais je ne me bornai pas à ces expériences 
amusantes et j'appliquai les principes qui 
m'avaient été appris à mes occupations de 
chaque jour. Je pus ainsi retenir avec une 
incroyable facilité mes lectures, les conférences 
que j'entendais et celles que je devais pro- 
noncer, le nom des personnes que je rencon- 
trais, ne fût-ce qu'une fois, les adresses qu'elles 
me donnaient et mille autres choses qui me 
sont d'une grande utilité. Enfin, je constatai au 
bout de peu de temps que non seulement ma 
mémoire avait progressé, mais que j'avais acquis 
une attention plus soutenue, un jugement plus 
sûr, ce qui n'a rien d'étonnant puisque la péné- 
tralion de notre intelligence dépend surtout du 
nombre et de l'étendue de nos souvenirs. 
Si vous voulez savoir comment obtenir les 
mêmes résultats et acquérir cette puissance 
mentale qui est encore notre meilleure chance 
de réussir dans la vie, priez O.D. Borg de vous 
envoyer son Intéressant elit ouvrage documen- 
talre “Les Lois éternelles du Succès” ; il le 
distribue gratuitement à quiconque désire amé- 
liorer sa mémoire. Voici son adresse : O.D. Borg 
chez Aubanel, 8, place Saint-Pierre, Avignon. 
Le nom Aubanel est pour vous une garantie de 
sérieux. Depuis 225 ans, Îles Aubanel diffusent 
à travers le monde les meilleures méthodes de 
psychologie pratique. E. BARSAN 
Pour éviter les pertes de courrier, veuillez nous in- 
diquer non pas voire adresse de vacances, mais 
votre adresse habiluelle. 
—————— 
METHODE BORG BON GRATUIT 
à découper ou à recopler el à adresser à : 
O.D. Borg, chez AUBANEL, 8, place Salnt-Plerre, 
Avignon, pour recevoir sans engagement de 
votre part el sous pli fermé ‘Les Lois éternelles 
du Succès”. 
nn ss sn ss nn ss ss tons ersstsnsese 
Dons nes ss sense sn sonne sse 
vos ssnsssesuenrs"
5,6,"10 
Ajoutez le chiffre manquant : 
È Soulignez la figure impropre dans 
la séquence : $ * À 
DJ ATN 
Laquelle des six figures numeét otées 
doit être placée dans le carré v ide : 
Mettre le numéro dans le carré : 
tt 
RE: + 
12 
Ajoutez les chiffres manquants : J 
OI GIOIAIE l 2 3 
13 
N — Ajoutez à la séquence la lettre sui- vante : 
E H LOS 4 5 8 
1 9 
Laquelle des six figures numérotées 
doit être placée dans le carré vide ? Mettre le numéro dans le carré : Trouvez la terminaison commune à 
tous les mots qui commencent par les lettres inscrites ici verticalement : 
L\ 
ES NXEOER,. R 
S . 
15 — Soulignez le terme impropre dans la Séquence : 
hareng baleine 
morue requin  barracuda 
16 
Ajoutez ] ifT Fe S 5 e chiffre manquant : 
475 
3 6. 
Ecrivez Je chiffre Manquant : ! 2 3 
FX 18 
Laquelle des six figures ci-dessous doit être placée q tés carré vide ? Mettre Je numé I le carré: ro d 
© 
Ajoulez le chiffre manquant: 
7 9 
5 21 16 
9 .. 4 
21 
Des figures numérotées, quelle esl 
celle qui peut entrer dans le carTé 
Inscrivez son numéro dans le carré: 
D 
a où 3 8 "
6,7,"æ 1 € 
Dæ 
22 ee . 
Trouvez la lerminaison commune à 
jous les mots qui commencent par 
les lettres inscrites verticalement 
ci-dessous : 
P 
DOSORMm 
Ajoutez à la séquence la lettre sui- 
vante : 
ADHMS 
24 
Soulhignez la figure impropre dans la 
séquence : 
Ajoutez la lettre manquante : N H 27 
Laquelle des c 
doit être plac 
Mettre le nu 
respondant : inq Égures numérotées 
ce dans l'espace libre ? Mméro dans l'espace cor- 
D 
Inscrivez le chiffre manquant : 
8 17 5 
12 .. 16 
10 11 9 
29 
Laquelle des cinq figures numérotées 
doit être placée dans l'espace libre ? 
Mettre le numéro dans l'espace cor- 
respondant : 
/\ 
XX = \V 
comme PSYCHO 
LOGE 
Darsonnale Le] 
sociale 
protessionnelle 
Enseignement individualisé, par: 
correspondance, cours oraux du soir 
(Paris, Lille) ou stages pratiques 
(Paris, Lausanne...) (Frais d’études 
déductibles du revenu brut) 
Préparation à divers diplômes sous la 
conduite de praticiens réputés. 
Psychotechnique — Graphologie — 
Morpho-psychologie — 
Psychopédagogie — Symbolisme — 
Rorschach (cours international) — 
Sexologie normale et pathologique — 
Rééducation graphique — Relaxation 
psychosomatique — etc. 
Pour dirigeants et cadres, 
médecins, étudiants, infirmières, 
assistantes sociales, enseignants, 
parents et tous ceux qui s'intéressent 
aux problèmes humains éclairés par la 
psychologie moderne, dans leur 
profession ou en vue d'une carrière 
principale ou secondaire. 
INSTITUT FRANCAIS 
DE CULTURE HUMAINE 
Etablissement privé 
d'enseignement à distance 
(PARIS et LILLE) 
Direction administrative : 
62 P, av. Foch 
59-MARCQ-LILLE 
Nom 
Profession: 
. Adresse : 
. Souhaïte recevoir gratuitement: 
documentation générale ‘et formule 
d'orientation. Contre 4 timbres, ‘n° 
spééial de la revüe VIE & ACTION 
(mesure de l'intelligence). 
- "
7,8,"""maintenant dans votre bibliothèque 
vos numéros de 
PSYCHOIOGIE 1 ES 
« Psychologie » est. pour la plupart de ses lecteurs, un outil de travail, une 
documentation précieuse. Pour tous, c'est une lecture enrichissante. 
Afin de pouvoir feuilleter les numéros sans les abîmer et les garder sur les 
rayons de votre bibliothèque, « Psychologie» a fait réaliser des albums 
cartonnés, solides, pratiques, élégants, pouvant contenir chaëun 12 nu- 
méros. . . . 
Pour les recevoir, il suffit de découper ou, de recopier le bon ci-dessous 
(s'il vous manque des numéros de « Psychologie », vous pouvez également: 
les commander à l'aide de ce bon). 
OI ID OI OO OS TS © CS I ON So 
BON pour une ou plusieurs reliures « Psychologie », à retourner sous enveloppe à : PSYCHOLOGIE, 114, Champs-Elysées, 75008 Paris. 
Veuillez m'envoyer] Jreliure (s) de « Psychologie » (*) 
Veuillez m'envoyer les numéros Suivants de « Psychologie» (inscrire les numéros seulement) (##): ,,,.,.,,.................... 
Je joins mon règlement pour reliure (s) X 19 F l’une: 
numéro(s) X 5Fl'un ny total TT par: virement postal (3 volets) C.C.P. 9.482.62 Paris (1) C1 mandat lettre (1) 
. CI chèque bancaire (1) libellé à Bibliothèque Retz. 
(1) Veuillez mettre une croix dans le carré correspondant au texte de votre choix. 
Nom Prénom 
4 
; NME TS TT TT shit ithtsst MU oi SRE HN ; TATRLERREES LR NEENr 
1 A 
 — 
— 
DCR AUTI ER 
\ LENS ; PE"
8,9,"Ajoutez à la séquence la lettre qui 
doit suivre : 
st: ot * 
31 . . Ajoutez le chiffre manquant : 
9 5 Ji 
4 15 12 7 
13 8 il 
Soulignez la ville qui n'a pas sa 
place dans la séquence : 
Bonn 
Paris 
Washington 
Ottawa 
New York 
Londres 
3 
Laquelle des cinq figures numérotées 
doit être placée dans l'espace libre ? 
Mettre le numéro dans le carré: - 
D< 
> 
N PO EE EEE BP D AP AP AT EP Re ser 
D —— 
aaauelle des six figures numérotées oil être placée dans le carré libre ? Mettre le numéro dans le carré : 
ù 
la séquence la lettre qui 38 
ak Ajoutez à 
doit suivre : 
A D A E A G A I A M À 
nn — 39 
34 Laquelle des cing figures numérotées 
doit prendre sa place logiquement Ajoutez le chiffre manquant : 
dans la case vide ? Inscrivez son nu- 
8 5 lO 
35 
Ajoutez les lettres manquantes : méro dans la case: 
WE }] humains — Susciter l'intérêt, la sympathie, 
HO NMT Ajoutez le chiffre manquant : 
36 : 
Ajoutez le chiffre manquant : 10 14 18 34 50 66 71 24 71 
Voir les résultats p. 67 prête-moi ta plume, 
je te dirai QUI TU ES 
Rien qu'en regardant votre 
écriture, un graphologue avisé 
est capable de vous dire vos 
qualités, vos défauts et le 
métier qui vous convient le 
mieux, Faites-en gratuitement 
l'expérience en adressant à 
LPS. quelques lignes de vo-ÿ 
tre écriture. Par retour, vous 
recevrez un diagnostic som- 
maire dont l'exactitude vous 
stupéliera, Cette passionnante 
expérience ne vous engage à 
rien. Découpez ce bonet 
adressez-le (en joignant une 
enveloppe à votre nom et 4 
timbres pour frais) à : 
L.P.S., B.P. 53-08 
75362-PARIS CEDEX 08 
7 GRAPHO-TEST GRATUIT 
AS 
ane 
INTERNATIONALMPSYCHO SERVICE 
277 AR MSSTIHONOREEJPARISIS) GO EG Palo 60 
Publicité 
Savoir s’éxprimer 
est le moyen le plus sûr pour celui ou 
celle qui désire se luire écouter et s'im- 
poser dans toutes les circonstances de 
la vie sociale ou privée: milieux profes- 
sionnels, affaires, amitiés, relations, rap- 
ports l'amiliaux et alfeetils. 
N'être pas écoulé vous déprime, vous 
paralyse, dessert votre personnalité. Il 
vous arrive certainement de vous dire, 
après un entretien: « Ce n'est pas ainsi que 
. j'aurai dû aborder la conversation», ou 
«Je n'ai pas su me faire comprendre.» 
Pourtant, la conversation est une science 
qui a ses règles, ses clés, qui s'acquiert. 
En analysant, chez vous, grâce au Cours 
Technique de Conversation, les différents 
problèmes soulevés par les rapports 
humains, vous gagnerez, en quelques mois. 
une force de persuasion qui vous surpren- 
dra vous-même. Ce cours, par corres- 
pondance, traite d'une manière pratique et 
détaillée de tous les aspects de la conver- 
sation: 
Psychologie de la conversation — Technique 
de l'élocution — Pratique des contacts 
l'estime — Animer et diriger la conversation 
— Le langage des -affaires — La corres- 
pondance privée et d’affaires — etc. 
Demain, vous saurez utiliser toutes Îles 
ressources de la parole et disposerez des 
meilleurs atouts: ceux d'une personne qui 
sait parler l'acilement et efficacement. 
Documentation gratuite N"" D.436 
simple demande à: 
CT.C. 35, rue Collange, 92 Paris-Levallois. sur"
9,10,
