,page,text
0,1,"60292601 
UN  SUUESNET NO 
ENDSEUT UCS SELLE of ©7 4 SE - 01 - 8462-N TanSNaW 
œ 
m 
el je) [es 
m 
a NS] 
D 
TI 
œ 
a 
€ a 
a 
m 
L 
TEE sjepog SEDUSDS S8p PInSEL"" 
VOVNVYO S3 06 
ÉStiSsmn Le C8SL-2000 
NSSI 
67€ "
1,2,"- LAISIR & MIAISO ET UNIVERSITAIRE vous inspire 
18.DEC.1986 \Jes décors qui transformeront votre vie 
ï i ir l' ' ièce ou d'une À RAR narration dans uneferme de Sologne ? Créer meubles, mais aussi à concevoir l'ensemble du décor d'une pi 
un Y: d 
: moi Î lendide magazine sera pour vous une fr dr i arte- demeure: mois après mois, ce spl un mas provençal? Réussir un app "" c s 
5 AD ons a ranes humour et fantaisie un studio de 25 m°? source inépuisable idées pleines ghne  u. vous réaliserez 
L Faire entrer le rêve dans une cuisine ultra-fonctionnelle? Intégrer des a une Renvoyez je le Re OT enére de PLAISIR DE LA MAT- 
i ï . n mn . 
#7 d'hive s chauage très décoratifs dans une salle de bains ou dans un jardin SON et, en plus, vous recevrez en cadeau de bienvenue le dossier ""spécial TOUTE iver?.…. 
ins"" î és. PLAISIR DE LA MAISON ne vous aide pas seulement à choisir des salles de bains”, exclusivement réservé à nos nouveaux abonn 
Le style et ambiance: 
des exemples 
qui vous seront précieux 
Avec PLAISIR DELA MAISON, vous aurez constam- ment à vos côtés un “décorateur” extraordinaire- ment doué, qui partage vos goûts etvous fait profiter de son expérience et de sa compétence: chaque numéro vous permet de visiter, de lacaveaugrenier, des maisons aux décors très variés, situées aux quatre coins de [a France. Nous les avons sélection- nées en fonction de deux critères : chacune des ins- tallations que vous découvrirez dans PLAISIR DELA MAISON associe, dans unensemble d'une harmonie parfaite, les ressources du confort le plus moderne et l'agrément d'un style empreint de charme et de tradition, : Meubles, tissus, revêtements... 
desenquêtes 
qui guideront vos choix 
Quelles sont les nouvelles tendances de l'ameuble- 
ment en 1982? Où trouver de belles copies d'ancien? 
Comment choisir les tissus de votre chambre? Une 
cheminée pour le salon? Une cuisine où il fait bon 
vivre?.. PLAISIR DE LA MAISON sera aussi pour vous un guide pratique d'achats extraordinaire- 
ment sûr, dont les sélections rigoureuses (avec prix et adresses) vous permettront de réaliser des acquisitions que vous ne regretterez jamais, 
EN CADEAU 
le “Spécial salles de bains”. Ce dossier hors commerce vous est offert gratuitement: Vous y découvrirez une grande variété de modèles et de L solutions qui vous aideront à chotsir (oua 
embellir) votre salle de 
mm 1! 1j 
} d 
# 
(71 fps 
7) 
}, 1) 
ls a Î L f ÿ j D 
E 
ŒIDNISN I rm ir TT { SDS one : 
nt à prix réduit à 
PLAISIR MAISON 20 numéros: 
[ et un dossier gratuit de réduction. 
p PLAISR DA MASON po er tentale toner Je vous réglerai mon abonnement dès réception de ma facture SN ï n soit 30 gerer de F0F aulleude120F (prix rornalau numéro) Pro cree D vers : Ù de rs 580 Pr de 169F aulieu du prix normal de 240, oje71E Ce ngne 
il 
EE rire El = : Pl de al 3 rue dets Pompe apte P L si n T-- FRS Sen aris ps À $& "
2,3,"SEPTEMBRE 1982 - N° 150 
} ; ——< C'est la rentrée et les Français se demandent avec 
inquiétude si leur pays va enfin sortir de la crise 
économique qui continue à faire rage. Certains Propos 
sent que la France s’inspire du Japon, pays qui ser e 
échapper à l’inflation et au chômage. Mais ces ZÉ a: 
teurs en ignorent la face cachée, que dévoile la grande 
enquête de Psychologie : la réussite économique nip- 
ponne se réalise au prix d’un coût psychologique très lourd et d’une formidable pression du gone sr ce 
individus. Crise à l’intérieur, guerre à l'extérieur ? Des lourdes menaces planent sur l'humanité Île a accordé à 
récente dé la course aux armements et les tensions internationales. Dans lentretien exclusif qu’e ce ä blèmes 
Sam Keen, l’historienne américaine Sue Mansfield montre que les conflits armés reflètent souvent Mais le Le 
psychologiques des individus. La guerre serait ainsi une forme de thérapie de la dernière chañce. noce 
n’est pas selon elle toujours sûr. Confiant malgré tout en l'avenir, Psychologie est heureux de vous a ae 
une naissance : celle d’un « petit journal » : seize pages remplies d'informations au milieu de chaque nur e 
avec l’actualité de la psychologie passée au crible, le calendrier du mois, les livres et les films importants, elc. 
Le « petit journal » de Psychologie sera à l’écoute attentive du monde et de ses soubresauts. L.S. 
4. Courrier 40. La peau, miroir de nos émotions 
7. La face cachée du miracle japonai Les maladies de peau ont parfois des origines 
psychologiques, par Ted Grossbart 
44, La guerre, thérapie ultime ? Les coûts psychologiques de la réussite écono- 
mique, par Laurent Särnuel. 
Un  entrétien avec l’historienne Süe Mansfield, 
par Sam Keen 
54, Lés enfants chez le psÿ 16. Le choc des messages-flashs 
Apaisent-ils nos peurs inconscientes ? par Virginia 
Adams. 
52. Vaincre l'impuissance Ii ne faut pas avoir peur de la thérapie, par Hélène 
Brunschwig 
Des causes à la fois psychologiques et organiques, 
par le Dr Gülbert Tordjman 58. Bonnes résolutions : 
comment les tenir 
LE PETIT JOURNAL DE PSYCHOLOGIE 
25. Actualités : . 
32. Calendrier et Woody Allen 
35. Cinéma 57. Pour vous äbonnèr et offrir 
36. Librairie « Psychologie » à vos amis 
Psychologie est publié par Loft International, 1 rue Lord Byron, 75008 Paris. Tél. 225.65.20. SARL au capital de 20 000 F. RC Paris B 392 624 818 Des techniques simples et efficaces, par Daniel 
Goleman. 
62. Petites anñônces 
Directeur de la publication : Bernard Loiseau - Conseillers de la rédaction : Jean-Jacques Berreby, Pierre C t, D:  . 
Samuel - Directeur artistique : Didier Chapelot - Administrateur : Bertrand Lobry - Chef de publicité : Hubert Bee Panlel Roumanoff - Rédaction : Laurent 
Ont participé à ce numéro : Virginia Adams, Bayale, Hélène Brunschwig, Jean Caillon, Ron Cobb, Brigitte D ur : 
Ted Grossbant, David Hockney, Sam Keen, Edmond Marc, Georges Nizard, G. Pacaut, Cédric Philibert, Gabriel Racks De ne Todn Fra Soleman, 
Les articles pp. 16, 40, 44 et 58 sont publiés avec l'accord de « Péychology Todäy », a publication and TM of Ziff-Davi ishi D Ar 
USA, « Psychologie » pour les traductions françaises. L'équipe de la revue « Psychologie » ne peut être tenue OU SON D om PNY. 1 Park Avenue NY. 10016 New York 
communiqués, Les titres, sous-titres et intertitres de « Psychologie » sont établis par ! manuscrits et documents qui lui sont envoyés ou 8 rédaction. Imprimeri - : imonmé en France. Dépôt légal septembre 1982 — Numéro d'imprimeur 802 . Commission paritaite n° 54 12, ISSN SEL des Épinettes, Z.. de Torcy-Sud, 77200 Marne-la-Vallée, 
DIFFUSION NMPP. MENSUEL 15 F {dont TVA 14%) 11 numéros par an Abonnements : 11 n TV : % ‘ : Uméros FRANCE 165 F {d "" 
{dont TVA 4%) ETRANGER 185 F {Abonnez-vous page 57). 
—————— — —— ——— —————"
3,4,"Courrier 
j, ARARS Eh Er r É RSR 
PRIMAL 3 .. CRIS ET CHUCHOTEMENTS 
Le dossier que « Psychologie » a récemment consacré 
à Arthur Janov et au cri primal (N° 147, mai 1982) 
nous à valu un abondant courrier. À tout Seigneur, 
tout honneur : le Dr Janov, Joñdateur de cétte théra- 
pie, nous prie d'insérer la mise àu point suivante : 
Incompéténce ? 
Je suis heureux de l’intérêt que la rédaction, de 
« Psychologie » a porté à mes travaux en publiant un 
lông entretien (N° 147, mai 1982). Mais je regrette 
qu’elle ait jugé bon de l’accompagner d’un article 
rédigé par quelqu’un que je considère comme totale- 
ment incompétent pour parler de la thérapie primale : 
Claude Allais. Celui-ci prétend. avoir amélioré ma thé- 
rapie, mais il ne cite jamais d’exemples précis à 
l’appui de ses affirmations. Je crois au contraire que 
sa méthode constitue une dégradation de l’approche 
que nous avons élaboré depuis quinze ans. Nous 
avons effectué 15 ans de recherches pour faire pro- 
gresser la théorie et l’expérimentation de cette théorie. 
Je doute qu’on puisse prétendre améliorer celle-ci sans s’être livré à des recherches scientifiques sérieuses. Photo Ralph Gibson “éconi particulier des traite- js préconise en Par er dk 
case COUPE. Or d’après noire expérience, de 
Tomb ersonnes nécessitent une attention indivi- 
no tent he de masse de M. Allais ne ’approc . Le re duelle soutenue. L’app ou une surveillance indivi- 
it pas ur contrôle réel I : 
duelle des patients. C’est à mon Sens de la psychothé 
apie négligente. : . , . 
‘ Par ailleurs, Claude Allais dat ss que pes 
de nombreuses années nous faisons 10! 
ëmatiau sthé -ci a soh utilité dans 
SNS CAS, de préthér le  emert le « châti- ai 2 . eee 
ment strict » décrit par M. Allais. Parmi les milliers 
de patients que nous avons traités, pas un seu en to 
cas n’a trouvé cette isolation trop rigoureuse. 
M. Allais prétend avoir suivi une formation « jano- 
vierine » stricte en Californie. Ceci n’est pas exact et il 
cherche ainsi à tromper le public. Il n’y a pas à mon 
sens de formation rigoureuse en dehors de l’Institut 
primal. 7 
Je ne crois pas à l’existénce des nivéaux transper- 
sonnels décrits par Claude: Allais. Les connaissances 
scientifiques actuelles n’autorisent pas de telles extra- 
polations. Selon nos observations, ces « phénomènes 
transcendantaux » n’apparaissent que lorsqu’un 
pätient est surchargé d’une souffrance primale qu’il 
ne peut intégrer. 
Enfin, Claude Allais montre son manque total de 
coinpréhension de la thérapie primale lorsqu'il écrit : 
« le but de la psychologie.est de changer le psychi- 
que ». Il torhibe ainsi - dans une vieille tare de la 
psychothérapie : la sépäration du corps ét de l’esprit. 
En réalité, la névrose se trouve dans chaque cellule du 
corps — et pas séulement dans l'esprit. 
Puisque les théories de «Claude Allais diffèrent si fondammientalement des miennes, pourquoi persiste-t- il à appeler sa thérapie « primale » ? 
î Dr ARTHUR JANOV 
H Institut primal ekrôpéen ; . 10 av. Percier, 75008 Paris ï on Tél. : 561.13.32 ; t 
, 
l 
€ 
3 - e . L 
J Grant ris en jcause personnellement par Arthur Jänov. aude Allais nôuS à demandé de bien vouloi 1 réponse + Oîr publier cette 
. Î 
Monopolé ?. : 
altement individuel. 
depuis très 5. À -même le groupe Puis trés longtemps. J'ajoute que la taille imposée à nos groupes est beaucoup plus rédui iIicén à É tut Primal de Janov Plus réduite que celle utilisée à L’Insti- 
En ce qui concerne ma 
10 « janovienne », c’est-à-dire sui- . : À n tout point à celle de EU Prétendu l'avoir effectué avec ""Nous est appatu depuis très long- Que faisait Janov de la "
4,5,"nana d’un certain type psychopathique. À cette époque Janov 
n’était pas de cet avis. Cependant son entretien montre qu’il 
a considérablement modifié son point de vue dans lé sens du 
nôtre. Est-ce à dire que Janov lui-même n’a plus le droit 
d’appeler sa thérapie « primale », puisqu'il a changé ces 
aspects de sa théorie et de sa pratique par rappoït au crédo 
janovien des années 70 ? 
Quant à la liaison entre le biologique et le psychique, je 
suis persuadé, contrairement à ce que À. Janov laisse enten- 
dre, qu’ils sont intimement liés. Je conteste simplement les 
interprétations données par A. Janov à certains résultats 
biologiques. 
Janov refuse de voir que depuis 15 ans la thérapie primale 
a beaucoup évolué en dehors de lui. Un seul homme, même 
s’il y a beaucoup contribué, ne peut se considérer comme le 
seul et unique représehtant de cette importante branche de la 
psychothérapié. Il ne peut emipêcher ses collègues d’apporter 
leur contributions personnhellés et de modifier les théories où 
pratiques initiales. l 
Une approche thérapeutique est une chose vivante qui 
évolue avec les pérsonnes qui la pratiquent. Il est dommäge 
que À, Janov veuille stopper cette évolution en l’énférmant 
dans l’intransigeance de sa formulation pérsonnelle et en 
attaquant ceux qui n’adhèrent pas complètement à celle-ci. 
CLAUDE ALLAIS 
: . Paris 
74 
De son côté, Geneviève François, animatrice de l’Internatio-. 
nal Primal Association (Association primäle internationale), 
apporte les précisions suivantes : 
Copyrights ? 
J'ai lu avéc surprise dans le ntüméro de juillet de 
« Psychologie » la mise en garde d’Arthür Janov indiquant 
que seuls les thérapeutes certifiés (par lui-même) pouvaient 
prétendre au titre de thérapeutes primals. Il rne semble tout 
à fait regrettable qu’Arthur Janov äpporte avec lui en 
France la longue polémique qui l’oppose depuis des années à 
des thérapeutes primals américains. Depuis quinze ans 
Arthur Janov désire posséder un monopole complet de cette 
branche irhpoïtante de la psychothérapie qu’est la thérapie 
primale. A cet effet il a déposé un copyright aux Etats-Unis 
dans les années 70 dans le but d’empêcher tout autre théra- 
peuté de mentionner le tèrme « primal » sans son autorisa- . 
tion. L’autoritarisme et l’étrangeté de ce procédé ont con- 
duit l’International Primal Association, doft je fais partié, à 
demander à la justice américaine la fésiliation du copyright 
de Janov. - 
GENEVIEVE FRANÇOIS 
Couperdrix 
Par ailleurs, les critiques formulées par le Dr Janov contre la 
méditation transcendantale nous ont valu un certain nombre 
de lettres, auxquelles le foridäateur de la thérapie primalé a 
préféré ne pas répondre dans les colonnes de « Psycholo- 
gie ». Voici donc d’abord un témoignage vécu : 
En douceur et profondeur 
J'ai été très intéressée, dans votre numéro de mai, par le 
dossier sur la thérapie primale, que je ne connaissais 
jusqu’alors que de nom. Cependant, ce n’est pas à ce sujet 
que je vous écris, du moiris pas directement. Dans son ihter- 
view, Arthur Janov a été amené à comparer les résultats de 
sa thérapie avec ceux de la méditation transcendantale, et 
c’est là mon propos, car je pratique moi-même cette techni- 
que de méditation depuis un an. 
Photo 
Ralph 
Gibson Or, j’ai constaté des changements très positifs dans ma vie 
et ce à tous les niveaux. Il y a un an, j'étais tres mal dans ma 
peau, nerveuse, angoissée, ma peur des gens me paralysaits 
au point que traverser la ville sans l'écran protecteur des 
parois de ma voiture était un supplice, sans parler de mon 
incapacité à m’exprimer devant plus de deux personnes, et 
bien d’autres désagréments. À présent je suis calme, heu- 
reuse et j’aime la vie autant que je la détestais avant, c est-ä- 
dire très fort. C’est comme une naissance de chaque instant, 
je décoüvre la nature et sa beauté, je me sens bien dans ma 
vie, dans mon travail, dans mes relations, et toutes mes pho- 
bies, mes frayeurs, se sont peu à peu dissipées jusqu à étre 
quasiment inexistantes. 
Mon impression subjective, renforcée par celle des autres 
méditänts, me confirme que nous faisons tout, sauf réprimer 
la souffrance pour ne plus l’entendre. Au contraire, nous éli- 
minons en profondeur cette souffrance par le repos inégala- 
ble que nous procurons au corps et à l’esprit en méditant. 
C’est l’éxpérience de tous les méditants que de sentir les 
« nœuds » qui se défont dans la physiologie pendant la 
méditation. JEANNE SERRA 
La Seyne 
Quant au Dr Eric Beall, animateur de l’Institüt Meru et de 
la Fédération française de méditation, il nous fait part de 
considérations plus techniques : . 
Méditation ? 
Uhe séance de méditation ‘transcendantale est une période 
très riche er expériences diverses, où les périodes d’élimina- Rss is "
5,6,"Courrier 
tion de tensions alternent avec les phases de repos et de 
silence. L'expérience est globalement caractérisée par une 
augmentation de la synchronisation des ondes cérébrales, 
beaucoup plus que par l'amplitude, mais il ya également 
d’autres changements neurophysiologiques et biochimiques 
qui sont des indications objectives d’un repos profond. 
L'état de repos prédomine pendant l’expérience, mais cela 
n’empêche pas le processus d’éliminätion de tension de se 
produire continuellement. Il y a en fait une relation évidente 
entre le repos et l'élimination de tension : l’un permet à 
l’autre de se produire et, celui-ci s’étant produit, le niveau 
de repos va s’accentuer, permettant d’atteiridre de nouvelles 
couches de tensions, etc. L 
Des expériénces récentes ont mis en évidence l’apparition 
d’états hypométaboliques très proforids chez des rnéditants 
expérimentés, indiquant qu’ün nouveau type de fonctionne- 
ment du système nerveux se met en place. Par exemple, daris 
l'étude « Repos parfait dans l’état de conscience transcen- 
dantale » (l’état de moindre excitätion de la conscience) 
(Farow Etal; 1976), on observe des périodes de suspension 
de la respiration de 20 à 45 secondes chacurie et qui he sont 
pas suivies d’hyperventilation comperisatoire. L’examen des 
ondes cérébrales pendant ces périodes d’apnée montre une 
cohérence extrèmement élévée dés ondes cérébrales (bandes 
alpha et théta). Par ailleurs,.on à également observé chez les 
méditants avancés, une diminutiôn significative des niveaux 
de cortisol et de lactate du plasma ainsi que de l’adrénaline, 
généralement ässociés à une réduction du niveau de stress et 
corrélées à une augmentation du taux d’hormones prolactirie 
et phénylalinine du plasma, associées à des états de bien- 
être. L’électro-encéphalogramme des méditants avancés pré- 
sente une synchronisation élevée des ondes cérébrales à tou- 
tes les fréquences et étendues à tout le crâne. 
La cohérence se raititient toute la journée et même pén- 
dant le somméëil. La méditation. transcendantale n’est donc 
pas un état de bien-être superficiel. La modification dès 
ondes cérébrales n’est pas le signe d’un refoulémeñt de la 
souffrance, mais une indication partielle d’un état de pro- 
fond bien-être correspondant à un authentique état de 
conscience supérieur basé sur un nouveau type de fonction- 
nement neurophysiologique. 
Dr ÉRIC BEALL 
Paris 
La rédaction de « Psychologie » tire pour sa part deux con- 
clusions de ce débat. D'un côté, il est normal qu’Arthur 
Janov cherche à prémunir ses théories originales contre de 
possibles déforrations. De l'autre, h’est-il pas dähs le cours 
habitüel des choses que toute thérapie nouvelle donne lieu à 
des interprétations différentes, voire divergentes ? 
Quérelle de paternité 
Je ne pense pas que la sexologie soit une spécialité, mais 
bien plutôt un carrefour. A ce titre, il est essentiel d’éviter 
en ce domaine la confiscätion de la parole par tous ceux qui 
ont quelque chose à en dire (c’est-à-dire tout le monde), plus 
particulièrement tous les imposteurs se disarit sexologues, 
sexocrates ou sexopracteurs ; à la recherche d’un nouveau 
marché pour les uns, en quête de reconnaissance de statut 
social pour les autres. . 
Je regrette dans l’article de Tordjman {n° 146, avril 1982) 
la récupération non dite de l’amusante typologie de Fried- 
man (“Virgin wifes, a study of unconsomated märriages””) : 
la « Belle au bois dormant », la « guerrière Brunehilde » et 
la « Reine des abeilles ». Il est toujours plus honnête de 
donner es soürces lorsqu'on ne fait qu’emprunter purement 
et simple infoi Î plement son information aux autres. D' PALEM, 
Psychologue et Psychiatre , à 10. fau place, 
La rédaction de « Psychologie » a “us É g, Je #4 ris 
raccourcir légèrement l’article du Pa ï le manuscrit. Le D' 
la référence à Friedman qui far Rois en excuser, comme 
Pälem et nos lecteurs voudront OI 1 la question : & L'auteur 
2x fait l’auteur lui-même en POSAnE ET 4 K 
soulignerai certains aspecis caräctériels de Barbe ns 
sans citer le nom de Perrault voudrait-il D 
s'approprier la paternité de ses contes ? » 
Nizard et l’analyse transactionnielle 
L'article de G. Nizard intitulé « Les nourriturgs psychi- 
ques » (avril 1982), au demeurant excellent, expose de façon 
très pédägogique la théorie des signes de. reconnaissanes 
(strokés): Cette théorie, bien corinue depuis près d ke gt 
ans, représente l’une des basés de l'Analyse Transactio 
nellé; fondée par Eric Berne au cours des années cinquante. 
La gestion des strokes, notioïi .dévéloppée ën particulier par 
Claude Steiner, fit l’objet de plusieurs afticles et livrés (dont 
le célèbre ‘Scripts livé??). , : 
Je ne peux que me réjouir que cette grille d'analyse soit 
ainsi exposée, et de si belle manière. Par contre, je trouve 
qu'il est vilairi de ne pas rendre à César ce qui lui appartient, 
et de parler de strokés, de caressés, de sentiment-parasite 
sans même citer l'Analyse Transactionnelle où Claude Stel- 
ner. Les milieux scientifiques ont l’habitude de condaniher 
gravement de telles omissions de paternité. La psychologie 
n’a rien à gagner non plus à de telles dissimulations. 
CHRISTOPHE MARX, 
Président de là: Commission Publication 
de l'Institut Français d Analyse Transattionnelle 
ht 
J'ai cité deux fois lé nom de Berne dans mon article sans 
faire suivre, son nom de broïoteur de l’Anälyse Transac- 
tionnelle. Que pense-t-0h d’un texte où il est écrit « Freud, : 
le théoricien de la psychanalyse » ? . 
L’Analyse Transactionnelle a-t-elle ericore besoin d’être 
systématiquement citée comme coiirant psychologique lors- 
que ses auteurs sont nommés ? En évoquant le « César » 
deux fois; j'en respecte les descendañts. Je suis d’äilleurs 
heureux d’aÿôir l’occasion de rendre -à Claude Steiner un chaleureux témoignage de son apport, et d'exprimer ma gra- 
titude envers sa pénsée. Il est bien l’initiateur du travail clas- . 
sificatoire sur les caresses. Son exemple me sera protecteur, lui qui fut l’un des fondateurs de l’I.T.A.A. avant de s’en détacher, craignant que l’A.T. ne pratique ce qui fut le cré 
puscule du freudisme : l’éxcommunication des déviants Te 
adhéoe arcours inverse, j'ai été gourmandé avant mon 
GEORGES NIZARD 
TT 
, 
os lecteurs démandènt "
6,7,"IL vous suffit de renvoyer le Bulletin ci-dessous 
à la Direction des diagnostics du Centre Sésame, 
8 rue Rouvet, 75019 Paris -accompagné d’un spéci- 
men de votre écriture et d’une simple participation 
aux frais - pour recevoir confidentiellement une 
remarquable “triple étude” qui peut vous permettre 
e: 
(0) voir enfin clair 
en vous-même : 
un tableau descriptif repère et précise claire- 
ment les 30 caractéristiques (positives et né- 
gatives) qui vous définissent le mieux sur les 
plans de l'intelligence, de l’affectivité, des 
contacts et de l’action. 
@) voir comment 
l’on vous juge : 
un schéma en couleurs du “fonctionnement” 
de votre personnalité indique vos principales 
tendances apparentes et cachées, et, en pre- 
mier lieu, l’image (qui peut vous surprendre), 
que les autres se font de vous. 
©) voir vos meiïlleu- 
res chances : en plus d'annotations de la main même du 
Graphanalyste, des conclusions pratiques 
répondent à vos questions et soulignent tout 
ce qui peut accélérer ou, au contraire, freiner 
votre épanouissement et votre réussite. 
L'étude spéciale que vous propose ici le Centre 
Sésame, n’est donc ni un simple “test” (qui va rare- 
ment au fond des choses) ni une analyse “fleuve” 
(où l'essentiel est souvent noyé). C’est en faitun vé- 
ritable “check-up” psychologique qui, sous une for- 
me très claire, vous donne un maximum d’infor- 
mations directement utiles à votre évolution per- 
sonnelle. 
Trois raisons bien simples expliquent l'étonnante 
efficacité de ce nouveau type d'analyse : 
1) le système de “visualisation” adopté éclaire au 
mieux Ja personnalité et participe à sa découverte - 
découverte qui, chacun le sait, est la voie royale 
pour libérer de nombreuses forces, chasser certai- 
nes angoisses, s'engager dans les meilleures voies ; 
2) la technique d’examen utilisée supprime les 
inconvénients de nombreux tests : elle s'appuie sur 
l'étudé scientifique de l'écriture, c’est-à-dire sur 
l'une des meilleures méthodes de la psychologie 
moderne ; 
3) chaque diagnostic est entièrement établi par un 
spécialiste et ne doit rien à un ordinateur - de plus, 
tous les dossiers sont contrôlés par C. Fieschi, gra- 
phanalyste diplômée dont l'expérience porte sur Pour mieux maîtriser votre “image” personnelle, 
votre vie affective, votre évolution professionnelle 
par l’un des principaux 
Centre français 
de Graphologie 
appliquée. 
Présenté dans 
un dépliant grand 
format 50 x 51 cm avec 
tableaux en couleurs. 
plusieurs milliers d'examens professionnels et pri- 
vés. 
Trois raisons donc de faire établir votre propre “bilan 
visualisé”, Le vôtre ou celui d'un tiers, car, bien 
entendu, cette étude est également réalisable pour 
mieux connaître une autre personne : il suffit pour 
celà que vous soyez le légitime propriétaire de l’un 
de ses écrits (par exemple une lettre qui vous est 
destinée) et que vous considériez les résultats de 
l'étude comme strictement confidentiels. 
Mais qu'il s'agisse de votre propre “bilan” ou de ce- 
lui d’une personne proche, il y a pour vous une 
4° raison de saisir l’occasion qui vous est offerte au- 
jourd'hui : 
- en effet, le Centre Sésame vous propose cette votre Psycho-bilan complet 
et “vismalisé”, 
établi et garanti ] 
V EE 
A . ES : =) : 
nt. 
EN,  - 
garer) 
ri 
Etude stricte- 
ment personnelle 
. réalisée par Psycho- 
Ce X graphologue diplômé. 
consultation spéciale, dans une formule nouvelle 
avec conclusions développées, à des conditions tout 
à fait exceptionnelles pour un tel examen : des hono- 
raires de 350 F seulement, sur lesquels vous n’a- 
dressez avec votre demande que 90 F pour partici- 
pation aux frais; le solde, soit 260 F, n'étant régla- 
ble qu’après réception de l'étude et si vous en êtes 
satisfait, sinon vous renvoyez celle-ci dans les 8 
jours et vous ne devrez plus rien. 
Cette Garantie hors du commun témoigne de la 
rare qualité de cette Etude. Maïisle tarif des honorai- 
res, lui, ne peut être garanti que pour une courte 
période et, chaque cas étant examiné avec le plus 
grand soin, seul un nombre limité de dossiers peut 
être traité dans un délai normal. N'hésitez doncpas 
à utiliser dès maintenant le Bulletin ci-dessous. 
pannes eee [ Bulletin de Consultation confidentielle N°P-8% 
[ Vous donnant droitau Bilan complet et visualisé de votre personnalité (ou de la personnalité d'un tiers 
de plus de 15 ans), bilan avec conclusions développées, établi par le Centre Sésame pour des honorai- 
res de 350 Fseulement, sur lesquels vous n’adressez avec ce bulletin que 90 Fpour participation aux 
[ frais. Le solde, soit 260 F, étant réglable dans les 8 jours de la réception de l’étude, sauf si vous ren- 
voyez celle-ci dans le même délai pour non satisfaction, auquel cas vous ne devrez plus rien. 
Î o Ci-joint un spécimen de : O mon écriture O l’écriture d’un tiers, document dont 
je déclare avoir la libre disposition 
D féminin ABLE musee Joindre à ce bulletin : 
1) le ou les spécimens de l’é- [ o Le scripteur est du sexe : O] masculin ê p criture à analyser, de préfé- 
- niveau des études: primaire  U secondaire D supérieur rence une lettre courante, 
ou technique avec signature. (A défaut, un 
- situation de famille: © célibataire D marié Nbre d'enfants .…. [ Ou plusieurs autres docu- ments, par exemple une di- 
zaïne de lignes recopiées du 
texte ci-dessus, plus signatu- 
re). 
2) la participation de 90 F par 
chèque ou mandat à l'ordre 
du Centre Sésame. (Urgence 
particulière, Etranger ou Par 
Avion, ajouter 20F pour frais 
supplémentaires). 
PETER ETES EEE EEE EE EEE EEE EEE EEE EEE o Date et Signature 
(indispensable) [ - profession ou activité principale ..................., 4... sssssessssuseee 
o Je demande cette étude dans le butde:D mieux me connaître (ou mieux connaître 
un tiers) ©J mieux résoudre un problème particulier (ci-joint lettre explicative 
C faire une expérience, m'informer sur vos études (documentation générale 
m'adresser sans engagement). 
o Il est bien entendu que cette demande et vos conclusions seront considérées de 
[ part et d'autre comme strictement confidentielles. 
ONOM......sssssssssssss Jesse ‘Prénoms [ 
[ 
[ 
[ 
[ 
[ 
[ 
[ 
[ 
[ 
Î 
Î 
: À adresser d'urgence sous pli fermé au 
Centre Sésame, Direction des diagnostics, 8, rue Rouvet, 75019 Paris TS Lez"
7,8,"NN n 
x 
ri LALUTAT AA 
i ; 
ri! 
Te 4 p* "
8,9,"me = 
tranquillisants et les suicides d’enfants ou d’adolescents. 
par Louront Samuol 
= RSR 
ar ns” À Te mA "
9,10,"di 
er 
gl 
mi: 
L 
u 
la 
les 
que 
tiell 
cer\ 
Des 
Do: 
dess 
7 ACTU LS Go "
