,page,text
0,1,comprendre savoir agir monde d'aujourd'hui mars 1970 quiz mois etes-vous accord vous-même she chercheur idées claude lévi-strauss l'aventure structuraliste moumen smihi chi vle moderne téléphone s.o.s.-amitié ine sarah peltant res epel betty friedan per psychologie animale nature planifie-t-elle naissances rémy chauvin l'inconscient psychanalyse après freud docteur donald kaplan couple chemins bonheur conjugal ati andré gall aris librairie bruno bettelheim forteresse vide roman jakobson langage enfantin aphasie rec nouvelles parutions who who psychologie ab0je ment abonner voyez page match psy 114 nologie lecture champs édité centre d'étude promotion'de ysées paris bal 53-23
1,2,"moîs étre accord n'est simpl être marié avoir cer profession week-ends aussi surtout peau nement harmonieusement protonds parfois contraintes dienne c'est tot sentiments ane d'espoirs paraît contraire sensati passe vivez-vous bibliothèque reux 6,50 aid proposot conscience contrôle o.j.d see septembre donne dix mois contrôlés tirage 92.119 diffusion 76.182 chaque réponses cercle devant mieux direction publicité michel bussac suivan rue berri paris ely ment ———"
2,3,fre accord soi-même n'est simplement étudier étre marié avoir enfants exercer profession passer weekends campagne c'est ausst surtout sentir bien peau s'être réalisé pleinement vie composant parmonieusement entre désirs rofonds parfois inconscients contraintes réalité quotidienne c'est tout réseau sentiments d'idées craintes d'espoirs font vie paraît savoureuse contraire semble s'écouler sensation temps passe rattrape jamais vivez-vous accord vousmême somme êtes-vous heureux aider savoir proposons petit examen conscience questions apparence plus insignifiantes forcément jes moins chargées signification chaque question comporte trois réponses possibles entourez d'un cercle lettre placée devant réponse s'accorde mieux façon penser 0isissez réponse rapidement suivant premier mouve con choix plus sponianés général plus éclairants voire accord vous-même écesmous accorfc vous-même avez-vous regret amour n'avoir plus souvent succombé tentation souvent parfois jamais lorsque désirez fortement quelque chose désir disparaîtil dès possédez chose convoitée non quelques fois oui règle générale l'époque l'adolescence conflits affectifs ont-ils opposé parents oui façon sérieuse durable non heurts sérieux quelques heurts passagers quelle selon remarque plus pertinente fortune sourit audacieux fortune aveugle peut composer fortune revez d'animaux comment présentent-ils général amicaux familiers bizarres menaçants rêve d'animaux très franchement l'envie est-elle chez sentiment puissant non demande oui ————— souffrez-vous parfois d'oublis tenaces inexplicables souvenirs pourtant importants régulièrement jamais quand fatigué
3,4,oui titre arrive d'éprouver désit m'ami fidélité mythe abstrail fidélité nourrit j'amou aire tempérament occupez poste profession convient-il capacités oui tout fait inférieur supérieur avez-vous éprouvé tentation retirer loin tout pense parfois chasse cette tentation jamais l'idée retirer jour permet tenir arrive ressemble cette pensée paraîtelle profondément vraie quelquefois vraie fausse moment sombrer sommeil quel tour prennent gcnéral pensées angoissant euphorique pense —————— quelle tonalité affective premiers souvenirs d'enfance neutre colère joie appréciez-vous quartier l'aime beaucoup habitué peu peu songe vivre ailleurs vie réussie rêve d'enfant réalisé l'âge mûr. cette affirmation paraît-elle réalisable volonté difficile réaliser impossible réaliser sans passe-temps favori vie bien terne ést 6pinion vie belle toute façon n'ai d'opinion c'est très vrai pensez-vous personnes très petites très grandes souffert point comportement marqué beaucoup d'agressivité j'en persuadé pense contraire cela doit guère jouer —————— considérez-vous général point vue intellectuel comme favorisé vivacité situant moyenne —————— arrive-lil société conduire exactement j'inver vouy intérêts comme guidé volonté élrangère oui comprends cette tion j'ai parfois peu celte sion pre pensez-vous qu'en amour sent ment marche pair sai faction sexuelle ais chez c'est contraire cela mme paraît essentiel sais rêves jancinants toujours mêmes ont-ils peuplé nuits pen dant longtemps rêve jamais c'est exactement men cas peut-être m'en souviens plus exactement avez-vous souvent sentiment bonheur cette question sens cela m'est arrivé fois deux oui souvent desservi certain lenteur lors cs1 très bien parler planning peut-on épouser femme selon sir raisonne homme l'on n'aime c'est hélas vrai d'estime plus durable cest heureusement faux c'est cest rave erreur épend tempéraments c'est question circon lances cons certaines situations an- pie étreint-elle soudain sans pense rence puissiez raisonner fans souverl envi jamais point sique sou c'est rarc souvent desservi fréquemment cas souvent servi n'ai d'opinion
4,5,facllomont mal cœur moyen transport presque toujours mals pnloment los conditions très mauvaises travail quotidien l'ennul plus grand maux c'est vrai cest faux parfois toujours etes-vous satisfait salaire gagnez j'en satisfait exploité cela pourrait être meilleur ———— malin réveil soir couchant êtes-vous content vivre oui général seulement matin seulement soir selon tempérament sens généralement déprimé moments-là acceplez-vous sans répugnance l'idée vie sexuelle comporte cerlains raffinements donner plus variété j'accepte cette idée cerlaine répugnance sans répugnance refuse absolument enfant avez-vous souffert lerreurs ours arrive-1-i encore hui aimer -ver noir jamais nan autrefois plus maintec encore maintenant ——— petits défauts physiques calvitie oulons visage nez proéminent ele sont-ils capables d'empoisonner vice non c'est ridicule c'est hélus vrai micux vaut penser —————————— avez-vous icndance nourrir lenaces rancunes rancunicr j'essaie surmonter oubliant vengance plat mange froid dit chaque âge plaisirs voire avis esl-ce vrai faux lié circonstances vie eprouvez-vous sentiment contraintes sociales mangent meilleur lemps non sais éviter maximum oui m'en accommode facilement etes-vous très sensible rences température celles m'éprouvent guère oui sensible quand fatigué malade -diffé—39 avez-vous réputation celui auquel tout réussit oui crois non passe juste titre être malchanceux moyenne ———————— activités distraction hobby occupent-ils raisonnablement peu trop avis travail passe-temps préféré eslvotre timidité l'autre sex grande oui esl excessive surmonte mieux n'ai problèmes côté quand veut peut pensez-vous proverbe réalité différente ——— eles-vous sujet petites habi- obsessionnelles telles attaquer l'escalier toujours pied toucher certains objets certain ordre ronger 1€s ongles autres tics manies sans gravité genre jamais oui j'en plusieurs deux maximum constamment pensez-vous psychanalyse c'est mode passera c'est instrument merveilleux connaître vraiment connais assez avoir opinion occasion favorable présente j'ai chic laisser passer saisis bond sais parfois profiter avez-vous plusieurs fois cours vie pensé être atteint d'une maladie grave voire incurable plusieurs fois j'ai parfois craintes repousse jamais plus d'enfants plus heureux c'est vrai c'est faux limite dépasser avez-vous serait-ce qu'une fois pensé avoir recours chirurgien esthétique pense souvent exceptionnellement oui portrait jusqu'ici rien reproché
5,6,souffrez-vous troubles tels doulcurs stomacales migraines tenaces somnolences irrépressibles presque constamment jamais ccln arrive exccptionnellement ———————— difficile faire correspondre aspirations dures nécessités vice oui reconnais parventt crois pourtant être parvenu j'essaie parvenir —————————— dimanche paraît-il jour plus triste semaine non c'est jour contraire revis c'est jour comme autres oui ennuie beaucoup ————— etes-vous satisfait relations sexuciles très satisfait assez satisfait insatisfait diton complexé blèmes ous proa crois oui crois non cela dépend erso parlent petsorres sesous eapable débarras- nds peuvent révé- santé café sucreries etc. dai décide oui jui essayé seuls rviens illez-vous sursaut réve nuit sentiment vle passc projects plu chers réalisent fréquemment rarement réveille nuit quoi qu'on dise assez facile réussir vie deux n'est avis c'est vrai n'est sans mal peine avez-vous pris décision importante regrettez jugeant qu'après lout peulêtre bonne bien rare impression cela m'arrive parfois cela m'arrive souvent j'aie cette comment sentez-vous devez passer soirée seul j'aime cela temps autre sens triste désemparé sens bien j'aime être seul ——— mettez-vous toute énergie réalisation objectif éloigné cela m'intéresserait cela m'est arrivé deux fois oui objectif éloigné j'aime poursuivre ———————— avez-vous sentiment beaucoup d'invitations inutiles oui sais réfuser sans doute faut être sociable c'est rare j'aime beaucoup voir amis pans colonnes tableau cire entourez d'un cercle lettre correspond repons chacun dillé rentes questions diffé- question réponse ——+ total interpréter résultnis vel lez reporter page non
6,7,rares hommes savants écrivains chercheurs divers domaines dont vie mêle aussi inextrlcablement l'œuvre cas lévi-strauss vie savant l'écrivain voulons signaler autre chose mythologie imprègne généralement compte rendu biographique entendons oints rupture fusion naissance d'une pensée rapport d'autres pensées étendues contiguës fois temps l'espace l'itinéraire parcouru pensée l'œuvre claude lévistrauss jeune d'abord celui d'un philosophe boudant philosophie puis l'abandonnant bon cœur science pourtant balbutiante précaire moins france l'époque l'ethnologie enfin faisant d'elle science maîtresse science clé sciences humaines sociales xxe siècle philosophie l'ethnologie début siècle 1908 d'une famille juive france claude lévistrauss enfant d'abord collectionneur sans doute m'étais-je consacré dès petite enfance collection curiosités exotiques puis déjà bricoleur vient première guerre mondiale famille quitte versailles midi l'adolescent découvre midi autre nature inconnue exotique retrouve mêmes plantes mêmes roches mêmes paysages peut alors servir d'interlocutrice rousseauisme n'est simple reliquat l'adolescence comme bricolage dont théorie plus tard systématisée pensée sauvage comme soif petit collectionneur préfigure déjà l'univers voire contours premiers théorie futur ethnologue paris renonçai l'ecole normale m'inscrivis droit temps préparai licence philosophie simplement parce teur facile commente l'au plus tristes tropiques tèle doc stérilité cliensophie oil rebutait côté philoalle déception plus grande confine l'écœurement cinq anées sorb découvrir futilité rbonne font découvrii nent scolastique ense suite lycée mont-de- ——————————— l'aventure sructuralsie marsan devine causes plus personnelles dégoût rapide qul éloigna philosophie fit s't accrocher l'ethnographie comme planche salut apres première année cours lévi-strauss découvre horreur tout reste sal vie consisterait répéter chose futur théoricien pensée structurale connaît rlen encore l'ethnologie 1928 james frazer anthropologue donne conférence soranglais bonne vient lévl strauss l'idée assister néanmoins révélation tarde venir lecture die the primitive society low autre anthropologue anglom uée dimanche carrière s'est l'automne sourit c'est chance pouvait mieux ana ————— noncer offre claude lévi-strauss chaire sociologie l'université brésilienne sâo paulo faubourgs remplis d'indiens consacrerez week-ends jui suggère-t-on mois février 1934 marseille professeur sociologie embarque destination nouveau monde première étape santos port sâo paulo suite j'ai connu d'autres départs tous confondent souvenir. tristes tropiques long récit retraçant pérégrinations d'un savant s'en point tenu consell consacrer week-ends indiens banlieue d'une grande ville américaine brésil mexique etats-unis canada tour tour sillonnés d'un bout l'autre jusqu l'inde lointaine visitée scrutée regard sociologue l'ethnographe lévi-strauss recule alors devant rien connaît faim connaît désagréments intempéries lassitude voire maladie l'ethnographie rares vocations authentiques colle peau cette vocation-là lévi-strauss faite sienne vie dès lors cesse fouler sol l'amazonie remontant cours fleuves empruntant pirogues bivouaquant sous tentes peuples vivre misère solf peuplades sertao premiers jalons d'une pensée forme étapes d'une pratique constitue matériaux prépare l'élaboration future théorie structuralisme grande partie s'est forgé d'abord l'enlacement lianes savane contact bribes d'une humanité depuis siècles déclarée réputée sauvage primitive dépérit petit feu contact civilisation vieux monde ——— new york decouvre linguistique second départ nouveau monde lieu sous auspices moins favorables l'époque l'armistice jjudéomagçon uns vichyssols mission autres claude lévi-strauss prend place petit bateau s'entassent trois tristes tropiques editions plon paris 40. pingaud revue arc
7,8,retour france renommée claude lévi-strauss comme ethnologue grandit consacre dès lors travaux scientifiques tour tour musée l'homme l'ecole pratique hautes études collège france occupe partout chaires d'enseignement fonde laboratoire d'anthropologie sociale auquel s'associeront nombre chercheurs c'est france aussi dès retour vont paraître partir 1948 date l'étude vie famillale soclale indiens nambikwa l'une après l'autre œuvres vont imprimer marque divers courants pensée époque pensée structurale effet luimême comme durée l'enchaînement humain cette durée cet enchaînement transparalssent considérer couche géologique exemple propos appartenances attaches spirituelles théoriques l'auteur l'anthropologie structu- rale nomme luimême trois maltresses géologie justement psychanalyse freudienne pen sée marxiste psychanalyse tant sclence s'opposer dès début chez lévi-strauss stérilité phi losophique révèle l'irra- tionnel somme plus signi- fiant c'est niveau structure cachée qu'il chances phénoménologie l'existentialisié contraire d'une réflex valable raison complaisaff qu'il manifeste envers illusions subjectivité risque ans confiner métaphysique midinette rompt l'ethnographie vide pouvoir filiations reconnues assure appartenances arrêtées tures vigoureusement affirmées anis publié 1948 société connaît répercussions .sur l'en- repérer significations plus canistes semble domaines sciences s0- importantes gast soulignons cales humaines depuis l'anthropo- théorle freudienne cette évo- 1955 editions plon tusau critique lit lution intellectuelle apparaît lévi slenalons ici texte maurice gudellef logie bien sûr jusq téralre moderne passant sclences toutes jeunes comme sé- strauss comme l'application l'homme individuel d'une méthode dont géologie représentait canon mil- système structure contradiction capital temps lerness roue l'auteur temps dort relève similitudes lai propos notion structure cht strauss chez marx capital inudo lôvi-stralis8 lénalfoë gonderisés den l'œuvre clauc aaprit tion pré6eñt l'une anime tout l'avoniliro œun uust géologlqué ava acionce c'o8l auue vélatgg cheminement d'un laonco vérilô uellé inême hou l'odyssée d'une intel ens naît vons exprimée sbus ung tel codre courir comet s'en strucluiés élege rot cotto intelligence parenté chaque male sol-m uvoon cotte belle individy socié strauss pénètro tropiauesr 051 dépositaire tou vue phrase 1îr éollthique pareille humain toute culture pau d'abo c'aventure j'ai l'intelligence nes langue témoigne pin ment foux brousse bébé toutos structuraliste embraso sols parfois inoxplorés ngues rép létre. c'ost cel soul milleu précis détermingrz voya tour atteint fant parler l'une d'elles personnes cette fois embrasemen octure l'inltiation marxisme con traversée l'exil comme lecteur l'intimité lévi-strauss fera freud quelques années seulement aup termédiaire d'un jeune socialiste bar imm ravant comme marx siècle dernier geologie lévi-strauss confesse qu'il oxo savant européen contraint pensee structurale rarement débrouiller prob l'exll dar sociologie cuhneloue new york finit arr saire avoir préalable vivifié réf après maintes complications douanières cette odyssée nest pes qugiques pages lee thés fiches langues ethniques los chemins escarps rémoigne bonaparte jarc prises messages chiffrés science.….r disait marx l'économie politique enselgne temps qu'il occupe plutôt ruptures convergen c'est géologie psych aud fonctions conseiller culturel ruptures encore points alvse marxisme anelju l'ambassade france d'où démis- fuite centre salsit psychana ensée évent sionne 1947. médiatement partie fond mois chemir léx cette période new-yorkaise tout ment semblable cette cet consacre débuts l'ethnologue reste l'œuvre lévi-strauss tigation l'esprit scientifique après ceux l'ethnographe amazo- cache appartenance théo- delà phénomène donné cherche leu nie méridionale mato grosso rie forme verra qu'un phéno- cerner vérité dis brésilien claude lévi-strauss entre mène social petit soit-il peut mule derrière rideau opaque contact anthropologues amé- être étudié indépendamment social réalité apparente marxisme ricains amitiés diverses riches tant fait social total comme semblait procéder fan nouent devra beaucoup disait mauss manière géologie psychanaye jamais n'oubliera mentionner plus petit détail éclaire phénomène tous trois démontrent comprende rédige aussi premiers travaux social tant tout consiste réduire type réal monographies études communications maïs cette œuvre aussi lieu autre vraie réalité nes l'une nombreuses connaissances rencontre lieu fusion jamais pius manifestée amitiés décisive s'agit foyer d'interactions d'autres pensées nature vrai transparaît déjà roman jakobson linguiste russe rési- d'autres théories d'autres textes soin qu'il met dérober. ———— dant new york celui-ci fait décou- loin s'en cacher lévi-strauss reven- relation trois maîtresses vrir ingristique surtout travaux dique fermement appartenances expliquée lévi-strauss lul-mêm phonologie d'un autre linguiste points d'attache temps j'avais appris d'elles russe troubetskoï cet inestimable ruptures rupture teindre faut éoude apport linguistique l'ethnolo- losophie encore certaine vécu quitte réintégrer gie consacre nalssance rigueur ethnologie quête pouvoir suite synthèse objectit structurale enataue ans pensée parti verra-un peu plus loin dépouillée toute sentimentalité participe ainsi qu'il définit voilà distance prise vis-à-vis mlologie sémantique
8,9,"analyse nprendre réalité n'est esl i-mêème répudier bjectiv® alité annee lévtgtrauus définir rojotturt uon glivru malu l'othnologle l'an dtudug l'homme otvillaationn prhnitivou tant quo yolonoën nouvullon pan abord pur unu uutra rupture fonda ontal rupturo nvoa l'athnologio quôto pouvoir halu lon voyages los oxploratouru out aimsl quo commmeoncu long réolt autobtographlauo d'un gonro pouvoau ost triatos troplquos pourtant dit otimologlo ponuo immédiatoment voyugo oxplorntion opxotismo objets récita fabuloux lmportés lointains insoupqonnde dana los anndos tronlo potlt nmphl ghéhtre sombro glaclal délabré occupait pavillon anclon bout jardin dos plantos sorvalt dôbal jor trüsor souvonirs fuco auditolro d'enfants avoc lours nurs08 lours mères chass6os jordin bruit poussldro savant lévi-strauss dès début rompl avoc cette tradition récit exotique l'objet fabujeux répondent temps uno autro exigence inquiétante collo-là imposture présomption l'othnologue ast semblable parallèle ost lévi-strauss primitif d'uno trlbu indienne poussé por rossorts psychologiques endurant souffrance falm l'isolement invoque l'esprit gardien lut donnera nom rang groupe cette quête pouvoir 6st celle aussi l'ethnologue s'exprime chez articles presse gros tirages conférences bureau fermé compte d'une civilisation qu'on détruite décimée qu'on souvienne couvertures colons distribualent indiens étalent infectées virus peste choléra vue d'exterminer population tout terrltoire qu'on évoque comme fait nouveau récemment nombreux massacres froid d'indiens blen connus l'histoire tendres impuissantes victimes peux résigner comprendre destin anéantit non point être dupe cette sorcellerle brandit devant public avide albums kodar chrome remplaçant masques dé- cluude cadre thropologle goelétd truits cette ethnologie albums kodachrome renlée combattue léviuse esquissa alors geste .de techor cette sclence nouvelle sat soclét étudier civilisation dites primitives sclence myth pensée sauvage celle nouvelle aus mals cette sclence élén encore besoin tous sent fondent caractérluons sclence corps définimodèles cepts méthodes champs d'action d'infr voatlgatlon préois ohne foin portinominent vigourounenont ant pasannt etude l'osorvae uon rôuintant l'éprouva l'oxpért montatlon puis colle vériflon uon élapon linportanton olnanlquon don uolenoun phyalquon nur lou affiauona dont parlé plun haut proposont objectif oun mômon valeurs solentifiquass payohanulyao froud molonac gao nomiquo marx main o'ost gulatiquo aoulo pout ôtre 14166 plainplod nvon lou aclonocs notus nnturollon offro modblo méditer c'ont lmnguloto motlro norvioo l'othnologue 868 méthodon d'invontiqntion 808 rmoyons d'opéror lon prinolpon fondamnon taux disolplino déjà l'époquo dos trois mai rooooo lévibtraunn rogroitult qu'on lut parlit don donnéon imrn6diatoo consoloncc phflosopho fntimioto borgoon olors l'unlvoralté gondvo fordinand sausouro dopuls début aldclo joté los basos acianco lnguletiquo dont los principos nouvoaux oxpos6s von cours lingulstiquo générale cos promloro parcours cos points repèro concoptuols d'uno iponséo -constituo marx froud lnguistique d'une pratiquo fondo los premlorg utorralnor l'othnographo brésil puis amérlque grando partlo domineront componition l'œuvre future s'échelonne uno double décade dopuls los structuros 6lémontaires parenté 1949 jusqu'au dornler tome trllogle dos mythologiquos ————— societe fondee l'interdit l'inceste après l'étude vie familiale sociale indiens nambikwara tribu l'ethnographe fit nombreux séjours dont l'étude transparaît tous 308 ouvrages ultérieurs claude lévi-strauss fait paraître 1949 étude monumentale déroutante l'époque structures élémentalres parenté. livre suscite bien controver868 d'abord dana milieux ethnologiques gurtout anglogaxons l'auteur comptait plus d'un collaborateur célèbre anthropologue américain robert lowle dira .de l'ouvrage qu'il écrit the gront style lévi-strauss noté l'ironie ons flatterie mals s'en tient moins thèses large mesure inédites incontestablement passion nantes massacrt iudluns lucien bodnrdi leo editions sirauve alctheln payot paris 4965 ——————— beaucoup porgonnse gntondont cormon môme manière qu'ils oritendont vépraez paecal n'êtes ceux-là jorsgue pensez j'achat d'un enzrable ffaute fidcsité 20n4e4 pes seul instant faire l'acquisition immédiawment sans avoir préalable dernandé conseils informations auprès gens avisés spécialistes métier vacuez spécialiste haute fidélité conbacre avcc passion toute activité magasin d'ensemble haute fidélit£ arcade rue lafayette tél 770.05,95. avis exemple haut-parjeurs blocs acoustiques constituent point plus important d'un ensemble haute fidélité choisis sent l'orcille comme instrument musique plus toujours budget donné mgilleur crière qualité-prix chaîne haute fidélité stéréophonique cat beaucoup moins chère l'imagine public généralement peu informé d'autant peut constituer étapes rue lafayette s'informe réapprend écouter choisit commande c'est tout d'ailleurs sélection draconienne établie parmi meilleures marques esthétique qualité jugezen braun ten esart brion wega kontact revox grundig uher etc plus arcade pourvu d'un laboratoire spécialisé dépannage mise point toutes marques propos passez hasard ruc lafayette face métro peletier arrêtez-vous ntrez jugez eee ruc lafayette paris tél 770.05.95 recommander revuc psychologie"
9,10,structuraliste tout problème posé consiste expliquer l'universalité tion l'inceste explications simplistes écartées prohibition tient guère tout cas question dégénérescence explication génétique d'ailleurs système parenté plusieurs sociétés primitives infirme cette hypothèse prohibition certaines alliances revanche prescription certaines autres dites préférentielles qu'apparemment arbitraires peut paraître effet étonnant d'interdire mariage cousine croisée fille frère mère alors qu'épouser cousine collatérale fille frère père possible l'explication peut trouver investigation tiendrait compte mauss appelle fait social total structures élémentaires parenté ainsi indissociables structures socio-économiques culturelles psychologiques groupe social cette nouvelle perspective points obscurs s'éclaircissent s'opposant désordre nature l'homme architecturant culture pensera d'abord l'ordre ordre dissipe chaos assure organisation sociale économique psychologique cette manière voir présente alors mariage comme fonction première d'instituer division sexuelle travail lévi-strauss cite début livre l'exemple d'un homme misérable affamé vivant jour jour restes hasard pêche cueillette c'est célibataire fonction sociale femme cette perspective fonction pleine objet précieux terme l'ensemble échanges signe communicare frécleux- four comprendre rrasser termes capitalistes définissent notion d'échange référant encore fois livre mauss l'essal don lévi-strauss définit cet échange générosité accompagne don manifeste institut cette ution définie anthro logues potlatch pen endogamique exemple seule dndiatd l'intérieur d'une vidu s'interdit d'épouser fil sœur clan fille exemple gscomple c'est qu'il offrant l'aut clan recevoir relour fille pomme clan ainsl s'instaure équilibre organisation c'est île système l'échange restreint épouse donnera épouse principe réciprocité revêt forme plus complexe peut s'étendre l'espace plusieurs groupes sociaux temps plusieurs générations échange généralisé épouse épouse épouse netn épouse c—rn —+aà l'un l'autre cas système toujours clos l'équilibre toujours maintenu l'organisation sociale tous aspects toujours consolidée l'épanouissement tous membres groupe perpétuellement assuré garanti l'instrument passage nature culture prohibition l'inceste devient ainsi lien entre nature culture l'exogamie l'échange femmes entre groupes présentent comme seul moyen maintenir groupe comme groupe groupe biologique peut plus être seul lien d'alllance famille différente assure prise social biologique culturel naturel structures c'est ainsi l'échange l'opposé l'inceste surtout valeur sociale c'est moyen lier hommes entre prohibition l'inceste moins règle interdit d'épouser mère sœur fille qu'une règle oblige donner mère sœur fille autrui c'est règle don excellence prohibition l'inceste règle donc purement sociale aussi universelle langage parallèle plus loin encore dit femme objet précieux d'échange aussi traitée comme signe communication abuser quand donne l'emploi réservé signes d'être communiqués douceur d'un monde l'on pourrait vivre soil cependant signe qu'est femme s'oblige reconnaître producteur signes signe palau temps signe doté d'une ïlons enire relar celte richesse pres préservé mystère ective cette ferveur gné l'origine sans doute impré tout l'univers com- munlcations humaines rie uote première œuvre théoà définir mmence s'esquisser lévi-strauss amp modalités concernant démonstration problème prohlbi tion l'inceste commence récuser fausses interprétan faux postulats jusqu théorie structurale concepts nature culture posalent termes d'antése manière l'ancienne nul logie idéaliste termes sitions mécanistes comme fais philosophes fondant ent textes d'engels lévi-strauss mer l'interférence deux jamais nature part culture l'autre union structure termes méthodologiquement théo rationaliste morgan père l'ethre logie théories psychologique harry ellis celle sociologie durkheim prohibition l'inceste rejeter s'agit tôt d'établir dialectique ele crée relations entre aspecn différents d'une structure faut trouver voie fera passer l'analyse statique synthèse dynamique prohibition l'inceste n'est purement d'origine culturelle purement d'origine naturelle n'est non plus dosage d'élé ments composites empruntés partielle ment nature partiellement culture constitue démarche fon damentale grâce laquelle exemple surtout laquelle s'accom plit passage nature ture linguistique appliquee societes humaines l'élaboration cette structure s'sl référée théories langage l'avons plus haut femme commê signe universel communication linguistique offre l'explication faits l'ethnologie modèle touche perfection seule dit lévi-strauss parmi toutes sciences sociales parvenue point l'explication synchroniqué genèse systèmes synthèse l'explication diachronique logiqué terne systèmes évolutlo dirige vers but confofr dent c'est linguistique congué comme étude phonologique texte publié revue aletheia lévr-stralt explique fait linguistia science sens exact terme cela trois raisons possède objet usuel langage articulé dont aucun group humain n'est dépourvu ile méthode homogène 10. origine famille propre vée l'etat editions sociales jul practique nature editions aris
