,page,text
0,1,she mine harcnte micrrrirnitut mme denhnditel non mmstam cae neo aarrnaarrnqnn amv tissus mnt min rme n0s4 qots los cerve duceven bcu lausanne 1097620545 haute
1,2,"tous hommes d'affaires choîsissatent formule routes françaises sergent moins encombrces réussi rendre france plus petite. distances changé routes non plus malheureusement temps qu'il faut franchir vient soudain diminuer temps comme dit proverbe c'est l'argent ... surtout hommes d'affaires aïr inter hertz l'ont compris. grâce formule air/route pourrez réduire plus frais voyages d'affaires croyez suivez donc petit match amical entre air inter-hertz voiture parcours paris-colmar imaginez donc prochain rendez-vous d'affaires lieu colmar adoptez formule air-route quittez paris matin ... aller retour paris-mulhouse avion air inter 280 location d'une r16 hertz heure après arrivée mulhouse bureau hertz l'aéroport r16 attend heures sourire l'hôtesse partez clé main 43,20 tranquillement rendez mulhouse colmar 130 kilomètres aller retour centimes kilomètre 45,50 conduisez normalement perdez rues colmar consommerez environ litres super déjeuner mal bons restaurants colmar profitez-en c'est seul repas prendre place puisque sitôt rendez-vous terminé pouvez rentrer paris soir ... moins plaisirs mulhouse night total dépensé 413,70 retour paris soir calcul n'importe quelle ville france décidez courageusement prendre voiture après lecture carte graissage-vidange écoute angoissée prévisions météo 900 kilomètres aller retour paris-colmar 657 raison 0,73 kilomètre prix calculé r16 l'auto journal cela comprend l'amortissement voiture l'assurance consommation huile-essence l'usure pneus etc repas minimum ... puisque estimons prendrez seul qu'ils coûteront avouez qu'il rarement repas moins notes frais ... nuit d'hôtel choisissez étoiles car ferez jamais croire sitôt travail terminé assez frais reprendre route soir ... repasser col bonhomme temps perdu 160 savons vôtre précieux l'avons calculé base 5000 mensuels déclarez percepteur avouez valez total 937 prix-là souhaitons rendez-vous d'affaires concluant ... maintenant ... convaincu lors prochain voyage d'affaires appelez air inter agent voyages retenez temps place d'avion voiture hertz faisant deux réservations d'un coup maintenant 191 stations escales hertz loue ford d'autres voitures marque hertz irez mieux air inter-hertz travers toute france siot1and"
2,3,cour l'institut médecine expérimentale leningrad quelques chiens misérables grelottent enchaînés sous pluie glacée l'intérieur bâtiments salles vétustes hommes d'un autre âge racontent qu'ils connu maître comment travaitlaient visiteur étranger présente expériences bizarres dont leçon peu évidente qu'on pense invinciblement numéros cirque ratés ainsi union soviétique patrie depuis mort staline disgrâce lissenko souvenir celui sacré confrères monde entier prince physiologistes 1935 s'éteint doucement occident dort pages dictionnaires ivan petrovitch pavlov 1849-1936 célèbre physiologiste russe riazan etudes médecine saint-pétersbourg prix nobel 1904 l'ensemble travaux digestion auteur théorie réflexes conditionnés l'heure actuelle cause pavlov communication congrès international médecine madrid 1903 psychologie psychopathologie expérimentale chez animaux conditionne chiens chats singes rats pigeons poissons rouges laboratoires monde entier c'est pratique indispensable foule d'expériences biologie psychologie n'est jamais qu'une technique laboratoire parmi beaucoup d'autres l'homme lui-même démarche scientifique pensée semble qu'il reste rien sinon plaisanterie fait tour classes philosophie fois chien intelligent qu'il réussi dresser maître quand apportait manger chaque fois maître devait agiter sonnette fin maître bien dressé chien n'avait plus besoin manger suffisait saliver maître agite sonnette pourtant tort rire car pavlov justement loin trouver cette hypothèse absurde qu'il prit peine vérifier imaginé toute série d'expériences démontrer l'établissement réflexes condition nés l'ordre facteurs temps décisif signal doit toujours précéder réponse cet ordre seule chose yeux permettait distinguer sûrement si- paradoxe psycho csn gnal réponse telle contradiction entre ralsonnement savant sens commun avertissement s'est peut-être peu trop pressé liquider l'héritage pavlov physiologiste s'est peu soucie physiologie facile recul mesurer œuvre dépassé physiologiste s'est finalement très peu soucié physiologie jamais -cherché savoir vraiment passait l'intimité tissus l'organisme concerne digestion délibérément négligé mécanismes chimiques commandent mis évidence l'existence réflexes conditionnés décrits préclsion toujours façon globale l'extérieur quelles modifications entraînent-lls fonctionnement système nerveux quelles propriétés keystone cellulaires correspondent-ils l'ignore encore sans doute connaissances l'époque permettaient-elles répondre questions pavjov jamais cherché faire progresser terrain hans berger découvrit ondes électriques émises cerveau reproché raison n'en tenir aucun compte c'est dire tableau l'activité psychique qu'il dresse pendant dernières années vie cette dialectique l'excitation l'inhibition cette hiérarchie systèmes signalisation doit expliquer l'intelligence humaine cette typologie caractères reprise d'hippocrate n'ont aucune vajeur scientifique vrais faux peu imorte c'est construction l'esprit faits construction l'esprit laquelle tort vouloir plier faits aucun psychiatre croit plus névroses expérimentales pavlov créait artificiellement chez chiens force conditionnement rapport maladies mentales naissent spontanément deux chapitres distincts vie psychique avoir suivi trop docilement lettre enseignement médecine soviétique s'est trouvée engagée impasse dont beaucoup peine sortir actuellement etait reste homme xix° siecle bien égards pavlov resté homme xix° siècle homme d'avant microscope électronique modèles mathématiques homme lequel phénomènes demeurent l'échelle l'homme doivent trouver explication voyait véritable justification l'entreprise scientifique révélation pendant études séminaire lisant auteurs russes libéraux années notamment pissarev idéologues s'agissait moins procéder l'inventaire fastidieux quelque peu maniaque bizarreries l'univers d'émanciper esprits russie train croupir sous joug d'une théocratie féodale n'est hasard jeune pavlov choisit consacrer physlologie sciences vie l'explication vie apparaissait comme couronnement pointe avancée combat vérité contre mys1
3,4,paradoxe psychologie ticisme c'était raison marche rien d'étonnant conditions idées pourvu qu'elles fondées l'expérience importaient plus détail faits pavlov vénérait descartes dont installé buste bureau l'admirait surtout d'avoir inventé formulant théorie l'animal-machine notion physiologique réflexe tant pis l'explication esprits animaux absurde réalité l'arc nerveux réflexe établie fin xvii siècle yeux génie philosophe français semblait d'autant plus éclatant qu'il fallu attendre plus longtemps l'expérience confirmät hypothèse peut-être sagesse consiste-t-elle adopter attitude vis-à-vis l'œuvre pavlov dépasser contenu immédiat s'élever jusqu qu'il appelait lui-même méditation physiologique vrai dire cette œuvre est-elle autre chose frappant constater pavlov expérimentateur acharné rien découvert sens strict mot rien d'important tout cas aucun phénomène naturel nouveau observations dont parle aussi vieilles l'art dresser animaux remontent sans doute origines domestication tout manière interpréter niveau revanche peut demander concepts qu'il met avant continuent dominer très haut toute psychologie contemporaine mesure .se veut scientifique experimentaliste pointilleux reprenons choses commencement terme travaux glandes digestives pavlov arrivé conclusion psychologie joue aussi grand rôle physiologie digestion quand viande touche muqueuse gastrique chien l'estomac met sécréter suc digestif c'est arc nerveux réflexe dès cette époque parfaitement connu expliqué pourquoi quand contente montrer viande chien muqueuse gastrique entre-t-elle également activité viande n'ayant touché aucune part tube digestif n'ayant contact l'organisme l'animal faut bien admettre tout passe tête donc qu'on affaire qu'il convenu d'appeler phénomène psychique. sait l'étudier pavlov prit comme critère l'activité glandes salivaires plus facile contrôler celle l'estomac jusque-là problème l'apparition salive nombre gouttes sécrétées permettent constater l'apparition phénomène mesurer intensité donnent aucune information nature phénomène c'est-à-dire passe tête chien vrai dire début prit garde point estimant passe tête d'un chien pouvait être fondamentalement différent passe tête d'un homme montre viande chien salive recommence salive encore mals moins abondamment après quelques tentatives vue viande provoque plus aucune sécrétion n'est-il normal conclure chien compris cette viande toujours montrée jamais mangée leurre qu'il laisse plus tromper arrive ainsi expliquer condultes relativement complexes prend chien montre sucre tient patte levée donne sucre l'on répète assez souvent l'expérience chien lève spontanément patte dès qu'apparaît sucre l'on ajoute ordre pantomime lève patte cet ordre seul suffira bientôt faire agir chien enfin leçon bien apprise plus nécessaire donner chaque fois sucre cela permet supposer part mesure certaine forme raisonnement envie sucre l'obtenir accomplit rites qu'on enselgnés laboratoire disciples favoris pavlov snarski s'était spé- cialisé genre d'analyses psy- chologiques c'est provoqua épisode unique annales laboratoire raconté savant nous-mêmes mis diverger foncièrement concer- nait l'explication cette vie intérieure malgré tous efforts l'impossibilité d'arriver com- promis conclusion quelconque contrairement l'habitude la- boratoire général contradictions disputes trouvaient toujours leurs so- lutions nouvelles expériences concert snarski restait point vue subjectiviste quant frappé caractère fantastique l'inutilité scientifique d'une telle at- titude envers tâche résoudre mis chercher autre issue cette situation difficile texte capital d'abord parce qu'il montre pavlov élaboré théorie fidélité priori considérations idéologiques scientisme matérialisme contraint faits aucune hypothèse psychologi simple permettant rendre compte certaines observations exemple celle-ci babkine chien réagit plus vue viande donne eau conti nue réagir montre contraire l'acide dégoûte recommence saliver vue viande comment peut-il croire qu'on donner viande alors qu'on vient jui offrir qu'il considère comme poison s'il croit quand présente l'eau physiologie psychologie deuxième point grand intérêt réflexes conditionnés yeux pavlov n'est métaphysique méthodologique constituent avant tout hypothèse travail seule fait stade recherches permettait progresser imaginant nouvelles expériences trancher entre diverses possibilités beaucoup insisté cet aspect découvertes bien passage physiologie psychologie imaginé s'est accompli tout naturellement semble plus important sans changement principe méthodique réflexes conditionnés nés caprice d'un homme exigences mêmes mé- thode l'esprit scientifiques psychologie humaine raffinements plus complexes s'ex- plique réalité actions pure- ment automatiques réflexes d'autres l'avaient prétendu particulier physiologiste russe petchinov brochure intitulée actions réflexes cerveau pavlov lue l'âge quinze ans c'était thèse parmi d'autres position pavlov infiniment plus modeste veux comprendre tel tel phéno- mène dois poser principe passe tête chien trajet suivi d'un réflexe simple stimulation périphé- rique crée moelle épinière cet influx revient vers d'association assure liaison dit substance grise moelle réfléchit l'in- flux nerveux excitation moelle épinlére neurone sensiti neurone d'association neurone moleur muscle réactio
4,5,aucune importance raison péremptoire n'ai aucun moyen d'en être informé temps conséquences cas succès beaucoup plus radicales car s'agit plus disserter mals d'analyser d'expliquer entièrement phénomène qu'on reconnu comme psychologique sans faire intervenir conscience peu importe chien maïtre l'impression l'intention dominer dresser l'autre impression intention concepts sclentifiques c'est-à-dire données prêtant l'expérience conscience effectivement n'intervient l'acte réflexe réponse automatique nécessaire agent extérieur quand pince patte grenouille contracte l'irritation transmise nert moelle épinière d'où part aussitôt réaction autre nerf l'ordre muscle contracter réflexe chose permanente quand grenouille morte décapitée patle contracte tant moelle épinière demeure intacte caractéristique plus apparente sécrétions salivaires étudiées pavlov précisément instabilité comment expliquer action réflexe reflexe conditionne reflexe conditionnel quand élément entre contact gueule chien réflexe provoque automatiquement salivation puisque vue aliment provoque également salivation conditions identiques peut admettre mêmes nerfs agissent glandes conséquent phénomène effectivement commandé seconde moitié l'arc réflexe celle correspond réponse l'irritation première moitié manque celle conduit l'irritation centres nerveux puisque l'aliment touché muqueuse buccale moins chien voit entend-il signal point vue physiologique vue l'ouïe irritations particulières auxquelles sensibles nerfs spécialisés nerfs optique auditif peut donc considérer circuit nerveux conduit l'irritation l'œil l'oreille jusqu'au cerveau comme première moitié d'arc réflexe reste reprendre deux moitiés centre réflexe salivation situé bulbe rachidien nerf optique contraire débouche partie noble cerveau l'écorce cérébrale physiologiquement liaison entre deux rien d'impossible différentes parties cerveau toutes réunies entre elles d'innombrables connexions n'est automatique contraire connexlon entre deux moitlés l'arc réflexe exceptionnelle c'est explique fragilité l'on préfère caractère aléatoire montre vlande chlen salive persiste montrer sallvation diminue puls cesse complètement non parce chien percé jour tromperie compris quol tout bonnement parce réflexe s'atténue puis disparaît opposition réflexes habituels absolus quelque sorte puisqu'ils utilisent circuits montés dès l'origine l'organisme pavlov baptisa conditionnels nouveaux réflexes dépendent circonstances suite nouvelles expériences devaient conduire pavlov nuancer celte analyse constate réflexe conditionnel disparaît subsiste trouve bloqué autre réflexe type sens inverse s'établit quand montre chien viande sans donner l'empêche saliver laisse chien assez longtemps repos premier réflexe salivation reparait spontanément peu peu pavlov ainsi amené décomposer conduites apparemment simples jeu complexe dynamique réflexes contre-réflexes excitations inhlbltions comme disait parce signaux qu'il utilisalt renvoyalent tous chez chien l'écorce cérébrale professait également l'intervention cette partle cerveau indispensable formation réflexes conditionnels admet aujourd'hui qu'ils peuvent aussi s'établir entre d'autres centres nerveux schéma base défini pavlov demeure entièrement valable départ réflexe absolu quand chien mange viande organisme force sallver cette viande vue dès lors vue viande provoquera association automatique déclenchement réflexe n'est tant viande compte l'impression suble cerveau moment déclenchait réflexe absolu chiens n'ont jamals mangé vlande donc n'ont jamais expérimenté conditions réflexe absolu salivation impossible d'établir réflexe conditionnel revanche toujours association peut grelfer réflexe conditionnel autre qu'on associe vue viande d'une cloche ensuite seul déclenchera réflexe d'où loi pavlov condition première fondamentale d'élaboration d'un réflexe conditionnel coïnclidence temps d'un agent indifférent jusqu'alors l'action d'un agent absolu provoquant réflexe inconditionnel déterminé écoute vraiment quand parlez vous-même personne proches car écouter vraiment l'autre affaire vocation d'art connaissances problèmes com- ment trouver chemin vers personne saura parce c'est métier prêter attention comprendre aider cirap met disposition groupe praticiens diplômés psychologues psycho-pédagogues sociologues thérapeutes assistés médecins peuvent être vie privée familiale sociale professionnelle d'utiles confidents conseillers orienteurs sans croire faites démarche insolite accordez luxe peutêtre intérêt consulter spécialistes cirap notamment domaines suivants psychologie individuelle problèmes personnalité problèmes couple relations parents-enfants conseils psychothérapies analyses graphologiques morpho-psychologiques épanouissement maîtrise soi techniques relaxation méthodes d'expression corporelle esthétique psychologie initiation disciplines philosophies traditionnelles tels quelques-uns services groupés cirap réservant accueil personnalisé propose rendez-vousæpriskexclusivementæpars créorren per chere heureslah8lheuresttous lestjoursi derrechercheset passe fetchologque lotavvenuetaiphand pis 14€
5,6,paradoxe psychologie pouvait être curle-ité laboratoire génie pavlov mesurer pleinement d'exposer mieux quiconque portée découverte souvent recours comparaison joindre correspondant téléphone peut servir d'une ligne directe branchée permanence c'est méthode plus simple l'équivalent réflexes absolus coûteuse dès qu'on multiplie nombre correspondants exige installations complexes aperçoit vite limites donc créé standards téléphoniques quand demande correspondant moment-là seulement l'opérateur établit communication l'entretien terminé débranche ligne alors disponible nouvelles communications autrement dit tirer pleinement parti téléphone fallu mettre point système liaisons provisoires conditionnelles quelque sorte rester vie cela consiste maintenir certaine permanence organique sein monde change continuellement donc s'adapter changement principe réflexes parviennent l'amibe exemple reste inactive milieu nage dès qu'elle touchée substance chimique dont besoin équilibre interne l'absorbe automatiquement répande contraire substance nocive rétracte réflexes absolus comme celui chien quand viande entre contact muqueuse buccale cependant chien comme l'amibe contentait d'attendre réagir viande tombe gueule tarderait mourir faim faut qu'il aille recherche conséquent cerveau enregistré signaux permettant reconnaître distance signaux eux-mêmes peuvent être immuables réflexes absolus suffisent peutêtre assurer survie organisnes élémentaires entre monde animaux supérieurs dont l'organisme complexe besoins fois plus variés plus précis faut relais supplémentaire liaisons provisoires dictées l'expérience susceptibles d'être modifiées quand celle-ci l'impose mot réflexes conditionnels sans apprentissage évolution voués l'immobilité mort organismes vivants n'auraient jamais s'adapter circonstances nouvelles —————————e determinisme liberte poses termes inedits ———— coup vieux débat entre déterminisme liberté posé termes inédits conçu partir réflexe l'instinct déterminisme semblait imposer conduites stéréotypées tracées fois toutes contraire concevait liberté sans délibération intime détermination consciente partisans beau jeu d'invoquer l'évolution dont ajustements perpétuels suggèrent chez l'être vivant sorte disponibilité l'avenir sinon but spirituel vers lequel tendrait obscurément biais réflexes conditionnés pavlov réussit esquiver dilemme conquiert déterminisme nouvelle province comportement ramène réactions apparence îles plus capricieuses inversement mieux méditées chien l'effet pavlov lors séjour londres reusement mécanique réflexe surtout démontre qu'une conduite automatique peut néanmoins s'adapter circonstances rejetant liberté respecte apparences conserve paraissait apport irremplaçable cette aptitude renouvellement qu'on tenait privilège l'esprit hypothese fondamentale d'un point vue théorique l'hypothèse fondamentale pavlov selon laquelle toute vie psychique repose l'aptikeystone tude cerveau établir sans cesse nouveaux circuits réflexes jamais paru aussi solide sans doute considère-t-on aujourd'hui choses beaucoup moins simples histoires chiens bavent mails toutes études neurologiques actuelles depuis modèles cybernétiques jusqu'aux travaux biologie moléculaire partent schéma base c'est pourquoi bien résultats jours encore généralement trop limités trop particuliers sortir laboratoire n'est interdit demander peut conduire pratique niveau vie quotidienne hommes tel postulat après demi-siècle peut défaire d'un malaise lire compte rendu certaines expériences pavlov vue viande chien salive content cependant l'on choisit moment-là envoyer décharge électrique hurle sous l'effet douleur oublie saliver réflexe plaisir apparemment bloqué pavlov considérait douleur comme excitant comparabie autres insistant suffisamment respectant toutes lois conditionnement ainsi arrivé monter réflexe tei chien salivait plaisir quand recevait décharge électrique l'absence viande travail naquit technique l'accouchement sans douleur l'illustre neurologue anglais sherrington l'expérience s'écria enfin comprends psychologie martyrs n'est sûr matérialisme philosophique autant gagné croyaient pavlov sherrington découverte réflexes conditionnés peu importe philosophie l'occurrence pratique permettent d'éliminer tout dualisme traiter l'etre vivant comme objet discours qu'il prononça jour reçut prix nobel pavlov déclaré proprement parler qu'une chose intéresse contenu vie mentale. alors pourquoi psychologie plus passionnante toutes sciences a-t-elle pris tel retard toutes autres cause claire écrit ailleurs l'activité grands hémisphères n'est considérée point vue celle autres organes corps autres parties système nerveux central cette activité grands hémisphères désignée nom spécial d'activité psychique telle ressentons percevons nous-mêmes telle supposons analogie chez ani
6,7,maux. d'où l'impasse jaquelle s'était engagé snarski pavlov insiste inlassablement faut traiter l'être vivant comme objet objet chose l'homme l'intelligence volonté l'homme manipulent guise c'est bien ainsi monde reçu message pavlov baptisé conditionnels réflexes parce qu'ils n'étaient nécessaires très vite confrères transformèrent mot conditionnés parce qu'ils surtout frappés voir réflexes permettaient d'imposer chien l'extérieur conduite qu'on voulait parce qu'ils dépouillaient conscience autonomie courant tellement irrésistible pavlov dut soumettre parler aussi réflexes conditionnés n'avait certes attendu pavlov dresser animaux hommes fait doute théorie réflexes conditionnés donné nouvel essor techniques mise condition permis perfec- tionner généraliser temps déchiffrer elles pratiquées façon purement empirique quelque sorte officialisées publicité entraînement psycho-physiologique apprentissage programmé lavage cerveau exploite névroses expérimentales chiens viol foules relations publiques autant conséquences l'œuvre pavlov c'est pourquoi réduit beaucoup attentat contre liberté individuelle entreprise déshumanisation d'asservissement faut certes noircir tableau pavlov lui-même jamais prétendu toute vie consciente l'homme réduisait réflexes toujours affirmé qu'il n'était possible faire n'importe quoi n'importe quel chien qu'il fallait tenir compte qu'il appelait tempérament un-au moins chiens préféra laisser mourir faim plutôt d'accepter viande prêter l'établissement réflexe vers l'accord mysterieux corps l'esprit l'ensemble vrai- qu'en manipulant chiens mis entre les-maïns chaîne causes effets lie idée croyance situation concrète démontrant qu'on pouvait modifier volonté comportement donné accès cet accord mystérieux du.-corps l'esprit constitue personnalité seulement différence contemporains voyait cette couverte avant victoire l'homme certain domaine futur physiologie contribuera grande partie résoudre problèmes poignants temps im- mémoriaux torturent humains quels bénéfices incalculables quelle puissan- lui-même réalisera l'homme lors- savant pourra soumettre comme tout autre objet nature analyse extérieure lorsque l'ob- servation l'intelligence l'exté- rieur supplanté l'introspection c'est réflexes tout aus- bien conditionnels conditionnés qu'il deux manières lire fro- cessus qu'il décrit l'expérimentateur sujet sans aucun doute s'agit alors d'un asservissement sens presque mécanique terme peut également aller sujet monde extérieur assiste alors phénomène d'adaptation per- mis vie dépasser stade l'amibe progresser vers l'autonomie individuelle deux lectures s'excluent elles aussi vraies l'une l'autre pavlov convaincu qu'elles peu- vent compléter l'homme toujours qu'il devait s'adapter circons- tances gré force élucidant mécanisme cette adaptation savant offre possibilité com- mander l'évolution nécessaire sub- stituer raison libre consentement ruse violence rêve rabaisser d'en faire chose dont pourrait servir tout contraire veut réconcilier lui-même pavlov convaincu science raison marche mettait rien au-dessus raison parce l'homme n'est seulement être rationnel compris qu'il faut l'adapter bien parce l'homme doit recevoir loi l'extérieur donne moyen car ressent cette transformation comme arrachement servitudes aveugles nature libération l'entrée royaume l'esprit gauche naif prophetique comment voir disputes plus actuelles l'évolution sociétés développées s'inscrivent problématique pavlov permettre tous hommes jouir biens l'industrie humaine met disposition faut produire biens bon marché abaisser prix faut fabriquer grande série rentabiliser cette production massive tous hommes doivent acheter donc tous doivent avoir mêmes goûts intérêt société consommation l'on veut souhaite vraiment retourner rigueurs vie primitive profiter bienfaits progrès l'individu doit aussi accepter lois c'est-à-dire s'adapter non machines comme prétendent certains humanistes l'intermé- djaire machines autres l'extérieur enthouslasme deux affirmations contredisent qu'en apparence elles correspondent deux lectures réflexe aussi n'estce hasard cette société poussé production biens matériels jusqu degré inimaginable seulement siècle découvre nécessité exigeante sous peine sombrer conflits insolubles d'un progrès sciences dites peu vaguement humaines c'est-à-dire d'une science contenu vie mentale tous domaines manifeste peu comme moïse après avoir conduit pendant quarante ans peuple désert mourut vue terre promise ivan petrovitch pavlov apparaît jours comme vral prophète toute psychologie scientifique prophète gaucherie naïvetés nul compris comme nécessité d'une science l'esprit aperçu rôle historique défini méthodes rigueur aujourd'hui en- core déconcerte tous ceux s'obstinent tenir psychologie prolongement spéculation philosophique description d'états d'âme non activités elles-mêmes condamnables simplement elles déboucheront jamais science peut déplorer jamais homme n'acceptera bon cœur faire abstraction vie intérieure pavlov non plus choisi cette voie délibérément imposée conscience savant quand heurta problème touchons paradoxe fondamental science toute science humaine naturelle seule peut apporter l'homme moderne qu'on appelle vérité quelque chose tout fois universel incontestable donne prise réel parvient seulement parce qu'elle accepté soumettre propositions cette espèce débat public qu'est l'expérience l'expérience tour impose conditions vérité scientifique limites suite oriente conclusions c'est méthode expérimentale elle-même commande toute psychologie comme bien pavlov traiter l'homme comme objet g.b savoir davantage pavlov œuvres choisies editions langues étrangères moscou pavlov i.p réflexes conditionnels alcan gérard bonnot cartes editions denoël 1969 hilaire cuny pavloy editions se- ghers 1962 tué
7,8,sauter sut msn dir
8,9,jalousie mauvaise relation autrui fondée mauvaise relation soi-même pierre hanry assistant sociologie faculté lettres toulouse jaloux épie constamment lassablement celui celle projeté obsession nourrit le-ci attitude oto frieman jardin d'epicure anatole france écrit vrai jaloux reproche rien femme aimée sinon qu'elle c'est qu'il saurait supporter paisiblement vit belle songe quel sujet d'inquiétude mortelle veut toute ceite chair veut plus mieux per- mis nature toute. cette cita- tion donne éléments d'une approche jalousie simplement d'une approche car définition d'anatole france permet saisir toule complexilé phénomène affectif qu'est jalousie effet toute jalousie né- cessairement amoureuse moins modalités plus appa- rentes référons dic- tionnaire d'emile littré cons- latons sens amoureux mot jalousie figure qu'après série relativement longue autres signifi- cations cependant c'est tant comportement amoureux particulier jalousie intéressera plus particulièrement ici puisqu'elle dangers plus sournois plus efficaces menacent couple comportement jaloux comportement jaloux suffisamment connu qu'il inutile décrire doit cependant remarquer immédiatement fondement culturel société relations interindividuelles généralement conçues comme simples rapports propriété femme appartient mari réciproquement enfants appartiennent leurs parents etc jalousie apparaît ainsi bien souvent tant réaction senti comme spoliation mari trompé dit rival volé femme songe guère de- mander femme appartenait véritablement quelle façon vertu quels principes revanche important sou- ligner tout suite compor- tement jaloux reste grandes lignes identique qu'il objecti- vement justifié non deux cas jaloux semble également éprouvé crainte perdre l'autre-aimé faut outre remar- quer cette crainte loin d'être passive conduit souvent comporlements agressifs crimes passionnels tolérés société puisque reconnus dignes tant tels circonstances atténuantes presque toujours actes jaloux pardon social fonde alors conviction jaloux n'était responsable implique qu'il aliéné ailleurs jaloux développe agressivité 'acharne autreaimé qu'il redoute perdre l'éloigne souvent irrémédiablement bien jalousie comportement fréquent d'échec s'accompagne presque toujours sorle délectation morbide dont peul demander pathologique enfin pouvons signaler dernière ambiguïté certains disent plus nombreux t'aime trop partager autres affirment contraire l'aime tant doute pouvoir seul assurer bonheur sans qu'il véritablement possible refu- ser toute vérité l'authenticité l'une autre attitudes quelques remarques préliminaires conduisent ainsi poser question fondamentale jalou- sie est-elle non sentiment normal cadre jalousie amoureuse implique connaissance pré- cise l'amour l'amour selon science üne étude scientifique l'être hu- main conduit inexorablement première étape dépoé- tiser l'amour quelque sorte accepte cette dépoétisa- tion préalable nécessaire salu- taire mesure im- plique propre dépassement fonde ainsi valablement valeur pri- vilégiée l'amour apprend science chaque homme dès lors qu'il nécessairement conçu géni- teurs apparaît initialement comme phénomène pur hasard vertu lois précises génétique qu'une fois conçu faisceau virtualités nécessaires qu'il ensuite étroitement façonné
9,10,intérêt renvoyer le.bon ci-contre voici pourfouoi raison raison prochains numéros gratuits psychologie arrive ponctuellement effet abonnement numéros sans frais chez coûte lieu enveloppe protectrice raison raison chaque mois spécialistes haut niveau variété rubriques psychologie médecins professeurs psychologues sociologues unique presse française apportent chez permet suivre langage clair vivant informations l'ensemble sciences humaines précieuses vôtres autres chercheur idées couple université nouvelle vie moderne psychologie expérimentale l'inconscient recherches avancées connaissance soi enfance 'adolescence etc raison raison abonnant assuré constituerez documentation manquer aucun article unique irremplaçable aucune information pendant vacances disposition bibliothèque absences lol lan scoge psychologie rédaction administration publicité première revue information générale 114 champs-élysées paris langue française sciences humaines
