,page,text
0,1,share ati mods actus penn ons riisiior ilete juillet 1970 ycholoviel comprendre savoir agir monde d'aujourd'hui coefficient masculinite féminite bcu lausanne belgique suisse canada mensuel/diffusion n.m.p.p ent rthioute nere this 119 autre rhin airoes hors
1,2,quete l'animal social croit position privilégiée certain monde entier doit s'occuper devenu adulte mal considérer autres comme égaux attitude crée souvent conflits vie conjugale marage problème deux l'enfant unique mal préparé pareille situation objet sollicitude attentive milieu familial éprouve très vite sentiment valeur particulière parents l'ayant choyé aplani voie redoute difficultés l'attendent grandit l'angoisse l'avenir n'ayant développé spontanéité esprit d'initiative très diverses combinaisons possibles résultant présence simultanée plusieurs frères sœurs foyer qu'il frères sœurs deux sexes solent représentés fille unique parmi plusieurs garcons mal s'affirmer conduit souvent comme îles garçons rivalise leurs jeux plus tard devenant consciente rôle sexuel accentue féminité insistant égards dus explication dùü comportement femmes adler consacré étude très approfondie situation psychosociale femme société cette société faite grande partie l'homme l'homme éveille souvent chez femme l'impression d'une soumission l'homme conditions refuse rôle sexuel qu'elle éprouve comme humiliant manifeste frigidité ressent féminité général comme infériorité proteste contre rôle féminin considère comme injustice voudrait être homme sentiment cette attitude dénommés adler protestation virile protestation sens masculinité dès fille constate avantages civilisation réserve garçons plus grande liberté plus larges possibilités professionnelles plus grandes responsabilités certaines professions souhaite devenir garcon fréquente plus autres filles dont souligne défauts s'intéresse pourpées conduit comme gar10 çon manqué peut rivaliser garçons tentative cause certaine amertume .la tendance actuelle mode féminine port pantalon bottes peut-être expression cette recherche masculinité. cette attitude protestation virile rencontre toutefois aussi chez l'homme surestimant certains traits caractériels virilité tels l'esprit d'initiative l'agressivité grossièreté brutalité besoin s'imposer sent inférieur s'efforce tous moyens compenser sentiment tout individu tend compenser inferiorite vivre c'est mouvoir tout mouvement exige direction dynamisme psychique définit aussi direction sens menant sujet d'une situation d'infériorité vers situation supériorité cette démarche dialectique fonction psychique sans fin car situation supériorité fois atteinte représente nouveau départ contrairement conception causale déterministe règne sciences nature l'école adlérienne s'interroge face d'une manifestation psychique normale pathologique but sens apparition mot finalité s'il vrai dit adler qu'au point vue organique l'individu représente ensemble unifié dont toutes parties coopèrent vue d'un but commun s'il également vrai diverses aptitudes divers penchants l'organisme réunissent produire personnalité unifiée rationnellement orientée pouvons voir llen convergence passé présent l'avenir régis idée directrice. arrivons ainsi conviction chaque trait plus infime vie psychique pénétré d'un dynamisme finaliste psychologie individuelle comparée voit chaque fait psychique l'empreinte traduction d'une structure spécifique personnalité présentant orientation précise apparaissant netteté particulière névrose certaines psychoses doctrine adlérienne souligne caractère final fonction psychique comme ailleurs vie elle-même psychisme dirigé vers but peut être compris partir but l'âme n'est donnée métaphysique tombée sphères célestes animer forme humaine aspect donnée vitale fonction d'attaque défense sécurité d'adaptation l'organisme humain meut milieu matériel social exposé dangers situations imprévisibles besoin cette fonction permettant s'orienter s'adapter voire d'aspi rer supériorité l'unité personnalité soulignée adler dès début recherches l'ensemble détermine caractéristique éléments tout prime composants l'examen différentes manifestations psychiques souvenirs rêves projets d'avenir traduit reflet structure l'ensemble dès premières années vie utilisant équipement constitutionnel sous l'influence impressions venant monde extérieur milieu culturel familial éducatif force créatrice enfant élabore schéma actionnel réactionnel détermine façon comporter style vie spécifique chaque personnalité notion classique caractère définit certes bien îles particularités d'une conduite humaine maïs saurait s'imaginer vide peut concevoir milieu social c'est rapport d'un individu semblables terme caractère lié notion transmission héréditaire donc fatalité celui style vie revanche admet l'intervention force créatrice sujet manifeste dès première enfance moment pensée logique n'existe admet d'autre part finalité construction d'un but fictif placé l'abstraïit confère personnalité structure spécifique singulière originale unique l'individu programme l'enfance fois structure élaborée échappe plus moins conscience sujet inconsciente incomprise règle comportement l'individu grande partie insu tout devenir personnalité humaïne fait fonction cette programmation dont sujet dès première enfance l'auteur l'artisan vie consciente inconsciente pensées états affectifs projets d'avenir mémoire rêves souvenirs trouvent sous l'emprise but agencent fonction d'un projet style vie présente alors comme organisation d'ensemble personnalité donne différentes manifestations fonctions psychiques compris signes psychopathologiques sens raison d'être acquis jeu l'essai l'erreur style vie fois structuré élaboré impose spécificité personnalité humaine pendant toute existence s'avère suite préjudiciable faconnant ainsi quelque sorte destin seule prise conscience montage grâce psychothérapie action psychopédagogique
2,3,entretiens explicatifs saurait changer n'oublions fait essentiel dit adler l'hérédité milieu déterminants formation personnalité fournissent seulement cadre matériau pouvoir créateur l'individu utilise l'élaboration style vie. clair cette façon d'envisager psychisme ouvre vastes possibilités thérapeutiques pédagogiques cette optique conception d'une antithèse conscient-inconscient conséquent celle d'un conflit intrapersonnel perdent importance adler l'inconscient sert projet style vie aussi fidèlement conscient deux moitiés antagonistes d'une personnalité conception unitaire personnalité fonctions organiques aussi bien subordonnées style vie fonctions psychiques car deux l'origine responsables structuration certains tableaux physiopathologie traduisent également desseins style vie grâce langage spécifique adler l'appelle jargon organes dont déchiffrage informe intentions totalité individuelle rêves premiers souvenirs d'enfance étudiés adler perspective semblable contenu manifeste rêves l'expression métaphorique d'un contenu latent lequel sujet s'explique problème présent futur adier renonce l'interprétation rêve symbole rigide préétabll données rêve rapportées d'une part personnalité style vie finalité d'autre part problèmes situation présente facteur exogène sens rêve fonction prospective inciter sujet résoudre problème professionnel amoureux social concordance style vie bien souvent opposition logique vie communautaire rêves types reviennent souvent dont adler fourni jnterprétations rêves angoissants reflètent peur d'une défaite sensation doute traduit crainte perdre sentiment valeur rêver qu'on plane l'air traduit chez sujets ambitieux leurs efforts atteindre niveau supérieur manquer train dessine trait caractériel défini attitude hésitante marque l'intention soustraire défaite menaçante arrivant retard laissant échapper occasion rêve d'être mal habillé sentiment frayeur l'accompagne révèle peur voir défauts démasqués états affectifs vengeance colère peuvent rêve manifester actes cruauté sans diplome particulier exigé carrières d'avenir informatique opérateur programmeur analyste correspondance cours pratiques stages pratiques ordinateur perfectionnement formation accélérée s'adressant personnes déjà initiées adressant personnes fait l'informatique études secondaires initiation formation base adresrecyclage sant adultes jeunes gens désirant s'adressant cadres techniques s'orienter vers domaine pleine exadministratifs pansion l'informatique groupe d'élèves travail terminaux langages évolués étudiés basic gap fortran algol cobol cours promotion réf et.5 4491 cours pratiques iv/et.2/n° 5204. ecole technique agréée ministère education nationale ecole technique maese ects rue paris charenton-paris élèves belges bruxelles avenue huart-hamoir charleroi boulevard joseph documentations gratuites bon remplir recopier envoyer ecole technique moyenne superieure rue paris 94-charenton paris ensemble d'équipements ordinateur egalement préparation diplomes d'état c.a.p mécanographe b.p mécanographe b.tn informatique b.t.s traitement l'information veuillez m'envoyer gratuitement sans engagement documentation cours d'informatique cours pratiques radio television nombreux cours techniques correspondance mettre croix case correspondant choix nom prenom ... rennes adresse ... orne nrnneneernaecinrnrneennnrenninnnnennrenee signature
3,4,alfred ales ————————————— quete l'animal social premiers souvenirs d'enfance également intéressants connaître car pourralt retenir quantité premières impressions deux trols éplsodes s'ils n'avalent rêveur signification particulilère citons encore quelques exemples souvenirs faisant allusion mère traduisent rapports sujet cercle famillal dangers accidents châtlments punitions insistent éléments hostiles vie souvenir nalssance d'un autre enfant révèle situation d'un enfant détrôné suprématie première visite maternelle l'école indique forte impression provoquée situations nouvelles souvenirs maladie mort retrouvent fréquemment chez médecins infirmières montrent l'intérêt précoce sujet dangers maladie désir surmonter saisir l'etre humain rapport social sentiment social jouc conception adlérlenne rôle capital semblable différentes fonctions psychiques peuvent être considérées dehors contexte personnalité individuelle l'être humain doit être observé rapports sociaux grande partie avant tout langage produit social ainsi psychologie adlérienne devient-elle psychologie relation interpersonnelle due sentiment social débute relation mère ensuite père d'autres membres cercle familial s'élargir moment fréquentation scolalre grâce camaraderie relations amicales d'autres enfants vie professionnelle amoureuse fournit d'autres occasions développement normal sentiment d'autres circonstances développe enfants gâtés détestés grandi conditions sociales difficiles souffrant d'infériorités organiques donc repllés eux-mêmes existence rêverie contraire désir domination autres besoin utiliser s'installent place volonté puissance empêche conditions épanouissement sentiment social développement harmonieux personnalité vie communautaire impose l'être humain certaines règles jeu règles hommes données nature humaine dispose cette faculté participer l'effort soclal commun sentiment soclal existe pulssance chaque être human demande être cultivé ampl éducatlon mieux retrouver dédale d'une existence humaine utile l'envisager sous triple point vue profession amitié attitude envers semblables vie amoureuse reflètent encore lignes directrices personnallté guldée tantôt sens soclal tantôt visées égocentriques désir domination choix profession fait parfols très tôt chez l'enfant l'adolescent l'identification père tout autre membre famille joue souvent rôle important complexe d'infériorité difficultés relation autrul l'impossibilité supporter l'autorité d'un chef d'équipe tout autre supérieur compliquent parfois problème professionnel ainsi accidents travail accidents répétltion produisent sous l'effet hasard mals demandent analyse pathologique profondeur révèle général sujet mécontent profession lul imposée parents circonstances d'autres fois ambition excessive incite sujet travailler plus vite autres mépris règles sécurité l'amitie relation interpersonnelle plus noble c'est l'amitié relation interpersonnelle trouve plus noble expression relation famillale imposée relation professionnelle inévitable. choix pratique l'amitié réalise mieux façon plus authentique cet échange interpersonnel auquel adler attachait grande importance vie sexuelle n'échappe suprématie style vie finalité c'est problème uniquement soluble dualité sexualité n'est moteur essentiel vie psychique cours d'une conférence remis sexualité place revient adler vit interpellé dame âgée almez-vous beaucoup adler l'activité sexuelle psychologie répondit adler cette fonction joue rôle autres. ajouta sourire dols admettre toutefois n'est fonction favorite référence sociale l'enseignement adlérien ouvre vole conception précise névroses définition santé mentale chaque névrose peut être considérée comme tentative libérer d'un sentiment d'inférlorité acquérir sentiment supérlorité l'évolution névrose mène vole d'une activité soclale vise solution problèmes vitaux aboutit l'isolement malade cercle restreint famille theorie nevroses selon alfred adler vaste domaine société humaine trouve alnsi délaissé grâce l'arrangement d'une hypersensibilité l'intolérance envers semblables persiste qu'un cercle vital tout falt réduit malade exerce stratagèmes domination leurs différentes modalités cette façon réalise sécurité retralte face exigences société décisions qu'elle impose détourné réalité névrosé mène existence l'imagination fantaisie servant d'une série ruses lul permettent d'éviter problèmes réels vie diriger aspirations vers situation imaginaire déchargeant parfois tout rendement social toute responsabilité cette décharge privilège maladie souffrance remplacent but essentiel risqué d'une affirmation réelle faut donc comprendre névrose psychisme névrosé comme tentative soustraire toute contrainte impose société grâce contre-contrainte cette dernière élaborée façon pouvoir s'opposer efficacement particularité milieu exigences contre-contrainte caractère révolte contre société puise materiel expériences affectives appropriées partir d'expériences vécues aussi banalités aptes détourner problèmes fondamentaux regard l'attention sujet suivant besoins situation réalisent états d'angoisse obsessionnels l'insomnle tendances syncopales états affectifs pathologiques complexes psychasthéniques hypocondriaques certains tableaux psychotiques leurs hallucinations mettant malade l'abri obligations vie sociale logique sens esthétique mour sentiments humanitaires coopération langage produit vie humaine collective l'attitude névrosé recherche sécurité d'affirmation personnelle souvent avide puissance réfuglant l'isolement dirige automatiquement contre valeurs toute volonté toutes tendances névrosé soumises dictature politique prestige toujours prête avancer prétextes afin
4,5,résoudre problèmes vitaux dirigeant automatiquement contre développement sentiment soclal l'idée suicide apparaît mêmes conditions névrose certaines psychoses problème présent exigeant solution pressante déceptlon humiliation l'acte suicidaire l'expression d'un dialogue dialogue lequel sujet veut blesser heurter accuser autres ceux entourage l'humanité tout entière punir l'injustice lut faite très grande agressivité dirige cas contre soi-même n'oublie l'effet produit autres d'autres fois geste traduit appel secours structure toxicomane peu près analogue agressivité moindre s'agit souvent d'anciens enfants choyés mal préparés vie sachant affronter leurs difficultés supporter échecs essayant remplacer paradis perdu enfance paradis artificiels drogue phénomène pathologie sociale toxicomanie peut comprendre l'étude cas individuel aspects consclents inconscients sante mentale c'est l'integration societe donnee cette analyse névrose permet définition santé mentale névrose n'est maladie attitude vie définissable terme échec l'abourtissant d'une technique existentielle erronée santé mentale révèle alors comme attitude vie soumet exigences soclété société comme postulat idéal bien entendu respectant règles jeu vie sociale degré d'utilité d'intégration sociales d'une existence critère santé mentale base comportement retrouvons sentiment social spontanéité créatrice loyauté envers autres responsabilité envers problèmes sociaux dialogue psychothérapique adlérien but d'aider sujet prendre conscience structures psychiques connais-toi toi-même socrate garde ici toute valeur élar-gie notion d'un inconscient sous-tend comportement l'analyse matériel inconscient rêves nocturnes diurnes produits l'imagination événements vie journalière affectivement chargée interprétés fonction style vie finalité découverte l'analyse sentiment complexe d'infériorité datant l'enfance sujet déterminé structure actuelle permettent compréhension difficultés s'agit certains cas ramener proportions plus réalistes niveau souvent sur-tendu aspirations faut d'autre part redonner courage conflance sujets fait d'échecs répétés n'osent plus avancer vie l'estimation valeurs place chez névrosé généralement côté inutile vie révision échelle valeurs s'impose alors faisant appel bon sens sens commun élargissant conscience savoir davantage ouvrages d'alfred adler compensation psychique état d'infériorité organes suivi problème l'homosexualité payot paris 1956 tempérament nerveux payot paris 1948 sens vie payot paris 1950 connaissance l'homme payot paris 1949 psychologie l'enfant difficile payot paris 1952 pratique théorie psychologie individuelle comparée payot paris 196 névroses commentaires observations présentations cas aubier paris 1969. adler jahn religion psychologie individuelle comparée payot paris 1958 ouvrages alfred adler orgler alfred adler ouvrage stock paris 1968. farau schalïer psychologie profondeurs origines jours payot paris 1960. clifford allen découvertes modernes psychiatrie payot paris 1951. spiel doctrine d'alfred adler applications l'éducation scolaire payot paris 1954 adresse société française adlérienne rue archives parisive sujet l'apport référence soclale l'amplification sentiment social tout cela analysant île matériel conscient inconscient sujet cours entretiens réalise progressivement transfinalisation buts sujet interet particulier pedagogie contrairement certains procédés psychothérapiques frustrants autoritaires adler donnait entretlens tonalité aimable sachant réduire minimum tension névrosé évitant blesser susceptibilité toujours très vive l'affabilité courtolsie d'adler bien connues exemples empruntés littérature l'histoire mythologie anecdotes rapportant situation structure psychologique sujet facilitent contact social thérapeutemalade favorisent chez dernier compréhension finalité spéclfique permet vue globale psychisme d'un sujet compris 888 manifestations psychopathologiques volcl comment adler s'exprime sujet ouvrages quelque côté qu'on aborde l'analyse états morblides psychogènes tarde trouver présence phénomène suivant tout tableau névrose tous symptômes apparaissent comme influencés but final ... essayons comprendre sens direction phénomènes morbides sans tenir compte but final trouverons aussitôt présence d'une multitude chaotique tendances d'impulsions faiblesses d'anomalles faltes décourager uns susciter chez autres désir téméraire percer coûte coûte ténèbres risque d'en revenir mains vides butin illusoire contraire admet l'hypothèse but final d'une finalité causale cachée derrière phénomènes voit aussitôt ténèbres dissiper lisons l'âme malade comme livre ouvert. lumière l'enseignement adlérien défauts d'enfants leurs particularités caractérielles apparemment incompréhensibles dévoilent sens caché deviennent sensibles notion psychopédagogique toute analyse d'un cas névrose chez l'adulte ramène premières années existence structure style vie c'est découvrent racines difficultés actuelles connaissant circonstances engendrent complexe d'infériorité possible détecter apparition dès premières années vie l'enfant parents toujours état faire l'école monde occidental groupe tous enfants représente excellent terrain d'observation l'enseignant formé sens saura remarquer population scolaire chez l'enfant timide coléreux dominateur agressif opposant marques d'un complexe d'infériorité suivant modalité l'enfant traité place signalé parents adressé psychologue psychothérapeute l'amplification sens social l'encouragement entretiens explicatifs présentent cas l'optique adlérienne meilleure mesure prophylaxie mentale pédagogie trouvé doctrine d'adler nouvelle impulsion nouvelle orientation adler s'est exprimé termes clairs simples s'efforçant d'être compris tous voyait l'enseignement connaissance l'homme sens vie au-delà toute tentative thérapeutique moyen rapprochement entre êtres possila prise conscience certaines particularités caractérlelles spécifique personnalité bilité d'amélioration leurs rapports confrontation situation exogène h.s
5,6,pal ère eee pure ter dousce lerse res den dex
6,7,connaissance cle soi bien dormir ouestion plantfication jeanne-odette bouton attachée l'in.s.e.r.m s'endorimir c'est désintéresser monde extérieur vie intérieure active continue ... fotogram/pierre jaffeux jeanne-odette bouton infirmière fait recherche médicale cas rare ainsi carrefour l'expérience terrain science laboratoire s'intéresse surtout problème sommeil neuro-physiologistes découvert celui-ci déroule norrmalement phases distinctes endormissement sommeil lent sommeil rapide rêve réveil dont tracé électro-encéphalographique caractéristique jeanne-odetie bouton pendant près deux ans professeur parmelee dirige laboratoire californie étudié somimeil tout jeunes enfants notamment prématurés chargée d'endormir enfants manipuler fixer électrodes crâne etc s'est rendu compte rythme naturel phases sommeil fragile respect perturbation plus importantes conséquences psychologiques naissance sommeil l'enfant comporte sommeil rapide l'âge mois sommeil rapide représente plus sommeil total cetie évolution rapport maturation cellules nerveuses cerveau but professeur parmelee d'étudier cette maturation grâce l'enregistrement électro-encéphalographique enfanis familles dysharmoniques rythmes perlurbés surtout rythmes sommeil l'enfant devenait rapidement irrilable difficile puis caractériel notantment cas sommeil présenté comme punition n'es sage vas lit lieu d'une récompense comune nourriture d'autre part travaux médicaux psychologiques faits vols spatiaux conduit nasa redécouvrir l'importance rythmes biologiques loin d'être robotisés comme dit cosmonautes contraire amenés retrouver plus possible eee accord rythmes nalurels soinmmeil appétit elc. moment drame d'apollo xiii voir quelle maîtrise soi quelle concentration d'énergie ainsi acquises jeanne-odette bouton extrapole ici aussi bien d'après travaux enfants d'après recherches nasa explique pourrait être plarning sommeil chez l'adulte facteur essentiel d'équilibre psychique santé physique c'est manière psychologique d'envisager recherche médicale manière parfaitement originale phénomène mal connu juillet 1969 premier lem bord armstrong aldrin posa lune formidable émotion unissait téléspectateurs monde entier moment cette grande première l'humanité très calmement techniciens nasa donnèrent ordre avant premier satellite terre leurs loïntains envoyés spéciaux armstrong aldrin devaient dormir trois heures l'un d'eux obtempéra sans l'aide d'aucune drogue l'homme être cyclique battements cœur inspiration expiration alimentation élimination.…. toutes fonctions biologiques rythmées alternance sommeil l'état veille phénomène plus mal connu l'estomac reins ovaires cœur etc. font depuis longtemps l'objet mesures sans lesquelles ïil n'est science cerveau dernier organes prêter c'est 1929 hans berger neuro-physiologiste 'iéna découvrit possibilité recueillir d'enregistrer variations potentiel électrique cerveau humain c'est 1937 paris savant proposa congrès international psychologie plications médicales neurologi15 fées vers ass eee see ssaseee pes dre
7,8,ques l'électro-encéphalogramme celui-ci longtemps utilisé diagnostic pathologique c'est l'électro-encéphalogramme permis éludier enfin scientifiquement sommeil spécialité récente qu'elle encore nom devrall s'appeler hypnologie complète l'investigation électro-encéphalographique tout ensemble mesures polygraphie noms savanis cardiogramme pneumogramme oculogramme actogramme etc spécialistes connaissent désormais parfaitement quoique depuis fori peu temps secrets rythme sommeil différentes phases sommeil chez homme bonne santé c'est-à-dire équilibre physique mental social cosmonautes normes sommeil s'élale nuit périodes successives deux heures renouvelables périodes décomposent elles-mêmes quatre événements principaux endormissement sommeil lent sommeil rapide phase intermédiaire fois tendance l'éveil préparation vague suivante deux heures sommeil l'endormissement introduction sommeil lent correspond message transmis cerveau invite dormeur dont yeux brouillent prendre comportement l'abandon sommeil laisser emporter durée l'endormissement purement subjective souvent fonction confort per- sonnel facilité désintéressement monde extérieur etc varie d'une fraction minute uns demi-heure autres comporte rite personnel régression phy- sique poser tête s'allonger elc. accompagné d'une régression psychique oublier dormir désintéresser présent di- sait bergson sommeil lent fait suite l'endormissement s'installe periode quatre-vingt-cix minutes temps nécessaire dormeur franchir qua- tre degrés profondeur som- meil l'évolution progressive sommeil lrès léger sommeil lég descenic ofond pendant cel polondeut respiration lière yeux immob sous paupières fermées don meur bonne santé bout d'une heure demie dormeur louve plus profond alors soudain sommeil différent fait apparition ommeil rapide paradoxal selon michel jouvet appelé aussi p.m.o phase mouvements oculaires r.e.m rapid eve movement correspond rêve faisant naturel lement suite minutes sommeil lent p.m.0 dure environ minutes dernière p.m.o nuit plus longue première comportement l'accompagne complexe respiration irrégulière constate nombreux mouvements globes oculaires sous paupières entrouvertes fermées dormeur ébauche gestes l'accéléralion cardiaque notable dépit tout cela dit spécialiste corps homme rêve demeure tout fait détendu bien extrémités contracient sporadiquement corps reste aussi souple qu'un foulard soie sommeil rapide dont tracé électro-encéphalographique celui l'état veille encore livré tous mystères d'ores déjà pourtant deux faits notables privation prolongée sommeil entraîne déséquilibre psychique troubles métaboliques graves interruption fait apparaîire profond sentiment malaise celui dont parle sans savoir quand dit levé pied gauche question vie mort fin sommeil rapide pré- dispose l'éveil environ toutes deux heures quand sommeil normal place phase in- termédiaire résout nouvelle vague deux heures l'éveil spontané ques- lion pose choisit solu- tion prenons quelques exemples devez prendre train tôt lendemain matin devez conséquence lever bonne heure réveillez muuyenne loutes deux heures regarder réveil molivaion inscrile provoque sommeil haché pourrail dire cas l'inconscient conscient qu'il doit faire autre exemple enfant l'habilude dormir ours cours nuit jouel lombe l'enfant sent plus réveille semble fonction réactions diverses cette prédisposition périodique l'éveil qu'il deux catégories d'individus chez lesquels l'idéation mentale jintervient façon notablement différente contrarier non rythme naturel sommeil sommeil homme bonne santé parlagé entre deux tendances opposées sommeil début nuit sommeil coq sommeil fin nuit sommeil hibou coq disponible l'aube hibou l'est quelle l'heure l'endormissement toujours fonction d'elle meilleur sommeil coq celui passe avant minuit s'effectue d'une traite jusqu l'aube chrono-biologie consacrée l'étude l'homme siffre jouvet ulilisent polygraphie biologie microscope louis pasteur hier prophy- laxie c'est polygraphie fondée l'électro- cncéphalographie l'enregistrement simultané tous rythmes électriquement mesurables permet l'homme l'espace grottes plongées sous-marines connaître frontière limites biologiques maintenir équilibre consiantes biolo- giques transmises télémesure bio- télémétric lors vols spatiaux lors séjours hors iemps vice grottes siffre-kleitman-demeni fonds marins cousteau collaborateurs électro-encéphalographistes premiers notamment loomis blake gérard kleitman apporté preuve diversité sommeil c'est l'enregis- trement oculographique permit âse- rinsky kleitman 1953 puis 1955 d'isoler sommeil phase comportant mouvements oculaires rapides tandis william dement klcitman identifient cette phase r.e.m rêve dement allant jusqu dire réveur suit rêve yeux études michel jouvet permettent jocaliser cerveau structures responsables qu'il appelle phase paradoxale sommeil maître recherche l'institut national paradoxale sommeil centre situé arrière tronc cérébral parfois ncurophysiologiste n'étions vrai noire rêve tait reve éveillé celui has meil paradoxal phase som bourguignon neurophysi rêve fhéorie psychanalytique schies trie l'enfant vol fase p.uf. 1968
8,9,choix prioritaire dormeur csi celui disponibililé d'éveil malinal chaque phase intermé diaire choisit donc rendormir peut donc prévoir nuit heures l'éveil lieu immédiatement après l'heure suit dernier rêve plus long nuït lieu avant l'éveil dormeur peut trouver pleine forme entre quatre cinq heures matin trouvera plus sommeil mesure pourcentage sommeil rapide atteint dépasse sommeil total pourcentage nécessaire l'équilibre physique mental différent sommeil hibou tendance fractionner deux heures sommeil deux heures d'éveil dormeur met profit dès qu'elle présente disponibilité d'éveil bénéficie d'une hyperlucidité favorisée silence nocturne endormi minuit découvre deux heures matin irrésistible besoin penser d'agir problèmes résolvent comptes simplifient projets ébauchent clairement connaît bien rythmes reste attentif message d'endormissement revient bout deux heures dès fin 90° minute prudent reprendre l'abandon corporel laisser emporter retour d'une nouvelle étape deux heures sommeil s'il quatre heures quand celui-ci revient poursuit l'éveil spontané vers vers dormeur abandonne sommeil doit compter temps deux heures deux heures avant l'éveil coq aucune difficulté s'accorder sieste après repas midi hibou c'est souvent plus compliqué sieste minutes heures s'impose ceux n'ont avoir nuit globale sommeil dit qu'ils dette sommeil5 chez coq cette dette s'éteint sans difficulté séquence minutes sommeil terme desquelles disponibilité d'éveil revient hibou nécessite phase complète deux heures sieste incomplète cas sus5 fischgold detie sommeil académie internationale médecine aéronautique spatiale 1965 paris enerre rar aninique eme din rire enprrermassiacenerriane eraureniees écoutez sud rad oncles moyennes
9,10,cito état phystologlque nausécux sentiment mornl d'insécurité qualité plutôt quantité rythmes particularismes connus peut-on planifier sonmeil oui bien sûr c'esl lait cosmonaulcs américains trois heures consacrées sommeil programmé après alunissage trouvons —une marge relaxation physique morale puis endormissement sommeil lent —une marge consacrée p.m.0 —une marge nécessaire l'éveil progressif l'essentiel phase mouvements oculaires donc rêve paraîl constituer recharge énergétique fois physiologique psychique l'on compare sommeil nocturne l'activité d'une marée trouve similitude entre endormissement jusant entraîne barque loin rivage sommeil paradoxal flux gros temps vagues hautes brisent rocher réveil comparable l'effet reçoit littoral quand digue brisée rompue l'éveil matinal retour calme morteeau faible marée barque déposée plage peut choisir bien attend retour flux bien laisse tout suile emporter jusant dernier flux plus abondant barque déposée port arrivée habitant jette l'ancre sort coquille noix explorer littoral sait quelles conditions revenir plus tard irouver barque connaissance actuelle sommeil conduit notions d'hygiène simples respecter faciles adapter évoqué dette sommeil peut avoir saturation sommeil comme indigeshon gâteaux crème découverie majeure études sommeil l'équilibre physique mental j'adulie civilisation occidentale nécessile sommeil rapide c'est-à-dire rêve lors som18 mali metl total véeu perse général nolre hygient contrarie no8 rythmes jee bien consc expériences prouvé sous loutes sant bituriques hisants imphétamincs juent tous oeil rapideé quant sons nifères procurenl certes copieux quantilé pauvre qualité celle incligencs laisse dette some rapide celle dette éprouvée ans journée importune nor invile prendre doping quel augmentera encore inc jgence p.m.o. l'endormissement devient plus plus difficile l'heure marchand sable malgré efforts probablement cause d'eux passe toujours veille sommeil selon bon plaisir car dormir c'est plus rien vouloir l'endormissement esi message courte durée discrètement rédigé devant résistance s'efface sans bruit revenir plus tard peu moins discret autrement dit suflit voulions dormir sans tenir compile rythme base celui-ci s'exerce régulièrement deux heures deux heures cours nuit comme expression faim manifeste environ outes trois heures cours journée passage marchand sable courte durée saisir bond c'est prendre risque d'attendre deux heures cours cesquelles cherchera vain sommeil viendra ... avant rylhme propre laisser passer l'horaire repas c'est retrouver heure après sans aucun appétit contrainte rythmes n'est dictature contestation entretenue peut entraîner rupture rythme car toul lié rythmes hormonalix 80nl soigneusement cheslrés cyclo menstruel aug heures wrogrerer pendant guecr prossesse l'aupgmente quatrième mois l'allolte meul prolonge besoin eomnié- mentale pendant loute duréc courbe sommeil suit courbe tempéralure j'har monie conjugale dépend-elle sas d'une harmonie rylhmes sommeil femme préfère vciller tard altendre retour mari sail-cile pourquoi g'habitue dérangement provoque j'arrêt sommeil intcrrompre vague sommeil plein remous profondeurs peut sans dommage arriver fois passant ccelte fatigue accidentelle peut être récupérée ous jours c'est goulle poison l'on avale sans savoir l'instinci explique tout préfère bien-être dicte d'attendre relour l'autre s'endormir deux croit c'est bien légilime c'est uniquemenl plaire mari attend retour celui-ci effet aime être attendu raconter soirée échanger impressions heureuse faire plaisir reve nir connaissance qu'elle d'elle-même sait bien s'endort avant sans avoir appelle patience courage atlendre d'autres lermes cerveau endormie avant retour mari réveil subir sans disponibilité d'écoute aussi pénible vivre époux menaces modernité autre point noir réveil contraire l'éveil nalurel spontané provoqué réveil réponse alerte interne alerte externe phénomène accidentel sommeil vient manifestation harmonise cycle deux heures interrompre sommeil unc crampe mollet alerte vésicale douleur abdominale réveillent alertes internes c'est-h-dire surprennent rompent rythmes clablis conjoint couche plus lard enfant appelle sonnçrie téléphone réveillent ausst alertes externes c'est bouvent lallgue enusée celle gny gner leo cayarn juliin sopal ide sommut
