,page,text
0,1,comprendre savoir agir monde d'aujourd'hui cup lue mie août 1970 quiz mois etes-vous raciste chercheur idées sters johnson l'amour laboratoire jacques mousseau naze tribune libre psychanalyse embourbée jean bouvier-cavoret vie moderne promenade grands magasins michèle bret époque bonheur estil valeur culturelle jean cazeneuve l'inconscient tour monde phobie ttzs victoria pier dossier mois l'avortement :47 vers révision législation française cour yvette roudy cour droit civique femme ———— betty friedan frontières psychologie l'hypnose couv jean dauven librairie pratique rorschach nina rausch traubenberg langage léonard bloomfield récentes parutions echos informations who who psychologie nsable éspour abonner voyez page lecture paris bal are étude promotion ———
1,2,répondez oui sans hésiter tous racistes quelque degré toujours raciste d'un autre seuls peut-être départ enfants aveugles naissance couleurs peau races existent cependant concept race effet caractéristique sociale base analyses structuralistes retrouvent chez peuplades îles plus primitives plus reculées n'est secondairement racisme devenu terme péjoratif aucune race n'est pure mélanges ethniques innombrables dès époques plus lointaines races relativement cohérentes individualisées connaissons fait résultat d'un mélange complexe extrêmement difficile retracer type aryen yeux bleus cheveux blonds haute stature vue l'esprit notion races seigneurs races inférieures l'évolution historique l'écologie grands courants civilisation façonné peuples évolués peuples moins races avance races retard conséquences abusivement extraites fait racial constituent racisme consistent édicter caractère inamovible héréditaire différences rejeter certains groupes profit d'autres racisme procède ainsi d'un double phénomène part conscience d'appartenir groupe autre besoin d'affirmer d'imposer maintenir discrimination entre propre groupe autres groupes quement l'attitude blanc vis-à-vis l'homm cas l'heure actuelle féque fois oublier que.des inverses abondent pearl porte ainsi rejet d'une bru améric belle-famille chinoise racisme conccern tjonné cabrissé autres noir d'autr tacc0 couleur déjà trop unñ£ ieunes fem orésenter pau pat faut multi thon dravor pig érienc plus d'accord couleur cxemp buck livre aine racisme s'explique avant gaspillage mécanisme d'auto défene présence quelques noir contre affront saint-germain-des-prés peut considérée comme folklore millien noirs harlem devien problème social problème élémentaire n'est aussi simple remplissez honnêtement questionnaire ci-dessous fran® rez flatte étonner est-ce être raciste entourez d'un cefc® jeux s'accorde façon d'être gnb questionnaire dresse principe çais race occidentale blanche pensez-vous davis may ritt far bien
2,3,ise avant tout auto-défense ques noirs peut être folklore rlem devient étudiant étranger reçu ous compte d'abord eau mpliquer inutilement d'adaptation couleur s'il genf mp0 sevé w'il d'une race mienne mois télévision speakerine race nné cabrisseau- êtes-vous d'autres présentatrices por euleur aéjà trop manque unes femmes blanches denter programmes ... por faut multiplier cette exfav0r pre our d'autres présenta- acc peer couleur égalité ulent pur doit êlre çurces n0s besoins gaspillage scandaleux noire meilleure assurance contre affrontement mondial mariage noir davis jr. suédoise brit raté arri devait arriver marché ommage n'ait 6st mauvais exemple s'ils exploité divorcé n'est for- ent lur penn raisons cou- eau vus sie sét 1cz catholique confes luus sert prêtre noir sant 0ns gênés l'un l'autre pue êre ique auln sûr hccoptenag race l'ancien secrétaire d'etat américain dean rusk béni mariage fille jeune officier noir comment trouvez-vous cette attitude mariage lamentable d'ailleurs peut durer très bien pris risque réfléchir souhaite réussir musique jazz avis musique sauvages quand j'entends j'admire sensibilité noire peut être très bien illustrée blancs achèleriez-vous immeuble bles noirs riétaires l'appartement plait appartement gloupe d'immeu ocataires ravi enfants vivre vacance quelques années lent voir fait ide ançals sénat premie franç uya auriez-vous pensé cation normal l'ap c'es mal constitution scandal éranc chance qux yeux c'est idrance prou z-v lono mouveme cest oir ements justice américains toléran conditio faut der cciproque détruire gens- s-là n'qu'il sontelle dit ics différence tion sociale plus importantes moins porta c'est ens nles pondre quelle tre attitude visvi partheid afrique sud condamna nable immédiatement sud-africains raisons faut souhaiter assouplisse- ment progressif seriez-vous d'accord enfants professeur noir m'est égal peut être exemple tolérance enfants fortes chances professeur moins bon érences cou plus importantes religion situn cmble peut ar'oui non l'un amis épousé femme race différente recevezvous volontiers chez j'aime tous ceux amis aiment diner d'accord séjour maison non oui ravi klux klan survivance anachronique honte l'amérique mal nécessaire nord-americains protéger proléger leurs familles
3,4,——— cas posail d'une transfusion d'une greffe sericzvous d'accord recevoir organc sang d'un donneur d'une autre race non l'extrème rigucur sauver vie vois aucune différence oui voudrais cela sache préferiez-vous belle-fille couleur divorcée sans instruction pensez-vous propos massacres juifs nazisme c'est l'œuvre d'un fou juifs réagir hitler raisons préférericz-vous voir enfants frères sœurs marier unc français quelqu'un ville l'époux choix quel qu'il quels goûts vis-à-vis cuisine exotique j'adore d'accord essayer ouf étranger rend malade ——— etes-vous libre entrée france étrangers oui faut d'abord respecter quola sanitaire puis s'assurer émigrants place chez trouvant travail faut établir quota selon couleurs races d'accord pays marché commun d'accord africains quelle solution voyez-vous problème noir tel qu'il pose l'heure actuclle u.s.a. création d'un etat cxclusivement noir etats-unis rapatriement tous afrique fusion deux communautés noire blanche noirs mariage intcrracial intervenait famille souhaitericz-vous cas qu'il d'enfant qu'il bien süûr enfants estimcericz-vous cela regarde pensez-vous différents rapports france anciens territoires africains devaient être réglés solution d'indépendance solution d'intégration statu quo colonial etes-vous partisan droit vote travailleurs étrangers oui comme s.s. allocations familiales aucun cas mieux vaudrait d'ailleurs renvoyer chez cux s'ils étrangers peuvent avoir droit vote politique plus n'en pays étranger revanche d'accard accorder droits vote problèmes syndicaux puisqu'ils travaillent succès sportifs noirs enviables relatifs expliqués besoin revanche blancs tennisman noir ashe reçu visa jouer afrique sud quelle opinion sujet charbonnier maître chez c'est scandaleux stupide c'est manque fair-play pensez-vous boycott l'afrique sud compétitions jeux olympiques c'est nécessaire obliger sud-africains modifier poli- tique apartheid c'est injuste pourrait tre occasion négocier meilleure tolérance raciale l'on choisir race ouleur uni opinion quel welle luc d'accord ell seules femr belles blanc oui n'es métissage solution progrès l'échelte mere contre bours c'est questio stion indiviy oui non oui principe c'est conditions d'éducation isalion qu'elles méga tabous sexucls sons question raciale oui non contre tabous ségrégation sexuel races mariage interracia peut heureux réussi oui c'est handicap insurmort c'est handicap supplémzr= surmonter fille enceinte d'un préfériez-vous mariage avortement abandon attitudes d'accueil ment étrangers france être élargies réduites aménagées toutes races nteil quatre trava cemment poële tir c'est greltable c'est notr n'avai
4,5,tabous tion sexuelle acial peut-il être insurmontable supplémentaire nceinte d'un noir attitude matière soil doit être égal équisale compétence serc vice paire doit être plus élevé rise interracial est-il plus difn jon côté mari femme joute façon c'est erreur otre femme homme oule c'est cale j'inégalité culturelle socompte d'abord adopter enfant deviez dopteriez- enfant race enfant malheureux pesoin parents trop coloré enfant quelle couleur quatre travailleurs africains réœmment morts intoxiqués pile tirage défectueux pensezfous c'est malchance c'est grettable accident c'est faute n'avaient rester chez trava ailleurs étrangers doiventêtre promos faire l'objet d'une lle professionnelle soentre chez viennent statu quo car s'ils men qu'il c'est finaletux mieux chez voire avis ail sale normale entre tous iles tenaires copee pets peuples africains adr égalité puissances grandes assez voix dutiers monde reux enfants toutes couleurs maïs finalement expérience domaine mi- landes s'est soldée vente forcée tentative magnifique fait faillite c'était inévitable peut être voulu trop semble avoir causé d'échec telles fautes gestion sañs rapport cette expérience multiraciale enseignementindividualisé correspondance icoursioraux soir paris lillé -ouistagesipratiques préparation äidiversidiplômes sous conduiteideipraticiens réputés. ipsychotechnique —graphologie— imorpho psychologie psyéhopédagogie symbolismè— rorséhiachi coursiintérnational irééducätiongraphique —relaxätion psyéhosomätique séxologieinormäletét.pathôlogique pensez-vous deux.cultures sojeñt handicap supplémentaire mariage interracial oui non tout dépend culture médecins étudiants infirmières assistantes sociales enseignants parentset-tous.céux siintéressent auxiprôblèmesthumäins éclairés ipsychélogie moderne prôfessionou.énvué d'une carriére principaleiou secondaire pensez-vous peuples couleu bons tolérants aigris revanchards aividus c'est question d'in ivi comme toutes taces noirs ren général insfitut culture humaine paris et'lille direction administrative 162 foch 59-marcq-lièle ent —parandernous invitation gratuite séance inaugurale session oraux paris /70 16h place nation dnsez-vous qu'il comp revanche mariage raci femme blanche c'est possible rquoi vois maistriaux alibido évaluation
5,6,visiteurs gage gtesse pantalon beige cet uniforme seyant rait être celui d'une compagnie aéri d'un organisme vacances tout personnel féminin porté centre recherches biologiques saint-louis l'etat missouri u.s.a. souriante affable l'hôtesse conduit couple dont fait enlever bagages auprès william howell masters ans directeur centre mme virginia eshelman johnson collaboratrice associée ans couple attendu l'homme femme aussitôt installés confortables fauteuils prévenus l'entretien avoir lieu enregistré comme tous ceux succéderont pendant deux semaines qu'ils passeront centre tous ceux lieu plus souvent téléphone cours cinq années suivront but d'éviter pré sence gënante d'une secrétaire prenant notes importe créer rapidement atmosphère conflance détente bureau ressemble plus salon cabinet consultation deux êtres intimidés contractés d'abord vont effet livrer disséquer secret ronge l'échec vie sexuelle problème d'autant plus lourd qu'ils vivent depuis plus longtemps qu'aux yeux leurs parents leurs amis forment couple uni voudraient correspondre l'image qu'ils donnent d'eux-mêmes chaque soir lorsqu'ils couchent côte côte quelque chose passe glace jette loin l'un l'autre plus exactement passe rlen passe rien pire rien parce qu'il n'est qu'ils espèrent qu'ils attendent qu'ils crolent devoir être dont entendu parler .le masters estime divorces etats-unis cause réelle l'inadaptation sexuelle parte- naires général échecs chambre conjugale s'étendent rapide- ment autres aspects mariage écrivent masters johnson livre qu'ils viennent publier cette cause sexuelle plus souvent nest admise intéressés envisagée psychologues conseillers conjugaux avocats ristes consultés masters environ millions couples mariés etats8 masjen jornsun ———p— pamour laboratoire unis souffrent d'incomptabilité sexuelle quelque degré clinique saintlouis dont nom discret central medical building lalsse présager mission qu'elle s'est donnée rendre santé sexuelle patients donc confrontée tâche immense apparemment iinsurmontable dix ans 1959 1969 cependant accuellli être traités 510 couples impuissance éjaculation précoce l'homme vaginisme frigidité femme etc outre hommes femmes tous célibataires traités cours cette période william masters virginia johnson considèrent dix années constituaient indispensable période d'expérimentation s'agissait mettre point méthode scientifiquement éprouvée avant l'appliquer échelle plus grande voire l'enseigner afin confrères ouvrent d'autres cliniques cette expérimentation résultats font l'objet d'un important ouvrage human sexual inadequacy publié avril dernier maison d'édition scientifique boston little hates danton brown and co.2 suite annoncée ponse 1966 entier l'étrangeté suivies saint-louis auteurs fendi mel ceux haveloch ellis d'alfred kinsey êltts physiologie sexualite masters johnson prenalen prolongeaient lravaux fondateur institute for search l'université d'hdie kinsey ports comportement sen4 l'homme 1948 compor sexuel femme 1953 étude sociologique premier titre aspects giques sexualité humaine cond titre extension psychologiques masters joss donné premier ouvrage réactions sexuelles rement glacé médical tekix après avoir écrit cet ouvrage glais l'avons délibérément duit jargon scientifique récrit afin rendre aussi tique possible explastà comme domaine difficile faire totalemérl traction propres pré émotions chacun corrigez chapitres rédigés d'en éliminer impitoyablemen tions personnelles adjecl nul devait mépret intentions auteurs peel d'un ouvrage due d'autres savants cette sance dépit rons concertée pete succés connurent immen onde public mot etats-unis resta t-sellers publisher ver plaires duccés ment vendus modifia rie plans maste parution 19° iliam master hanan sexual sage co. boston 1970 psychologies premier livre kijons publié parles 196 sous titre psn
6,7,hysiolo aspects olontai hnique annt tral'avons herméuent-ils xualité abs gés lement afin noténutiles a0ÿ étall dès date nodo gusl colle pre qfique respoctent 8610 esl cours nan prog depuis vingt- gul joll graver rrieres v.johnson homme seul île masters doures calme mode nce compote vues font nodératon famille trale avant fou évoqué américains scientientifiques choqués l'objet recherche laquelle s'en approetats l'université lus préoccupé sport ture carrière c'est seuleci avoir obtenu l'équivalent baccalauréat 1938 clinton près jet décida d'embrasser sonde née pdecine der voulait l'origine devenir ercheur laboratoire beouvrit intérêt questions suelles sous l'influence d'un nesseurs george washington gone précurseur peu connu kinsy recherche sexualité lorsqu'il passa doctorat médecine 1943 masters décidé qu'il consacrerait leude physiologie sexuaté dès début études uplquet-il j'acquis conviction 3swallté dernière grandes bilions biologiques physiologiques demeurer largement inconnue préjugés passions tel sujet coreu élève d'attendre années faire nom plus académique luus spécialea jeune mas- 1945 1947 discpli gynécologie enseiue yashin plines médicales l'univerur por saint-louis 1954. beni plus vingt-cinq articles délalls ans revues hautement élalt considéré comme éenents orme traitements dérèra chez femme entreprendre bin physiologie lue coop connaissance leçon -0ratrice associée van bureau romantique she placement ngton recher mérèt d'expérience sans genre humain voque d'où venaient sit gui lo8 onfants vir remplissalt 9inla eshelma 1925 conditions missouri née ello emplois gant d'entrer neo puis ralson tra lul-ci ell nom assistant recherches faculté médegns université washington 1960 recteur recherches enfin passé premiere etape laboratoire discrètement masters mencé travaux 1952 créent sein l'université saint-louis fondation recherche biologie reproduction reproductive biology research foundation études mécanismes hormonaux conception puis extension contraception rapprochaient préoccupations secrètes 1954 icommencèrent vraiment association-avec virginia johnson recherches ila physiologie sexualité dès 1959 applications cliniqués découvertes faites laboratoire comméricè rent central medical building peut dire premier ilivre imasters johnson human sexuäl lresponse fruit travaux menés fondation second man sexual inadequacy celui travaux menés clinique l'un l'autre masters johnson estimé qu'ils devaient réunir documentation s'étendant dix années 1955 1964 premier 959 1968 second jeur boratoire saint-louis seulement financé l'origine per faculté médecine l'université washington masters johnson lisèrent expériences plus nantes plus choquant normes actuelles its science app plus modernes rocardiogrape mesures observèrent 912 382 femmes aussi blen avänt cou orts sexuels ape anipulation reil filmèrent artificie réactions tissulaires cet appareil utilisés dan louis aucun autre labora toire physion photographier jet d'étudier pagse dant différenté sexuelle fémi- effets intravaginaux our particulière avant men critiques los publication l'ou- actions sexuelles accuheurs deshu caniser sexua actl nine évaluer contr ace ment pris ptlo qul îls préoisent projet d'étuses aspects physiologie prolon gie gements psycholoai pourrait gites pression ner travaux l'ex din prysiologie sexuanas exploré champ psychaque insey champ sociologique explorent champ anato- mique physiologique gens compris savants estiment fonction sexuelle doit être explorée qu'il s'agit d'un domaine sacré dit masters propos travaux albert goldman sociologue écrivit recherche sexuelle dominée aujourd'hui j'exhibitionnisme voyeurisme rationalisation sadisme promiscuité homosexualité latente louis chevalier -estima -'ladies home journäl masters jonhson ignoré toutes questions -qui viennent normalement l'esprit d'un homme sain moralité décence valeurs humaines resultats scientifiquément etabuis deux exemples donnent réprobation entoura d'äbord fondation saint-louis critiques s'estompèrent suite devant l'immense intérêt scientifique l'ouvrage réactions sexuélles publié dessein 1966 chez austère éüiteur boston très conservateur journal the american medical association bastion conservatisme déclara éditorial certains sexualité refuge conséquence peut bjet d'étude mesure scientifique peut justiition. colin hindà l'université londe l'atlan- vie privée devenir aucun critère fier cette pos rofesseur ivit côté-cl écr enclins nuel fondaj lhui budget pond ujourhggg0 250000 niverite conte pure subetlons diflurentes subven washinbni dvues honoraires fondateur viennent traite palier uns masters teurs cliniant très importants grois ave ychent trois parts dation 1/3 chacun
7,8,caboraiore laboratoire considérer rapprochement sexuel comme sacro-saint interdire l'observation scientique devons souvenir qu'un point vue analogue régentait carte ciel temps galilée. six mois aprés parution livre commentant l'intérêt spécifique travaux chroniqueur journal médecins américains conclualt meilleure preuve l'intérêt professionnel recherches vingt-cinq facultés médecine inscrit programme cours réactions sexuelles l'être humain quinze autres l'intention faire cours prochain semestre elles utilisent l'ouvrage masters johnson n'en existe d'autre. recherches aussi périlleuses contestées qu'elles s'inscrivalent logique époque d'une part parce science volonté d'établir scientifiquement faits quels qu'ils caractérisent temps vivons d'autre part surtout parce qu'un certain nombre travaux antérieurs rendait nécessaire l'exploration scientifique sexualité sociologie psychologie profondeurs révélé profonde misère sexuelle civilisation mariage durable lequel fondée société s'avérait aventure hasardeuse l'éducation sexuelle apparaissait esprits plus conservateurs comme indispensable moyen d'approche sexualité comment diffuser informations n'étaient fondées rigoureusement civilisation choix entre science mythe entre lancer programme recherches sérieux continuer enseigner erreurs phalliques masters johnson contribué faire adopter voie science detruit mythes seculaires méthode consisté non plus écouter façon psychanalystes patients prétendaient éprouver durant l'acte sexuel mesurer physiologiquement au-delà conscient ressentaient masters johnson détruit certain nombre mythes ancrés l'esprit public précisions plus importantes ité féminine concernent sexuali continent noir psychanalyse selon l'expression freud père psychanalyse distingué transmis clitoridien cette différence entre femme vaginale femme clitoridienne découlait série conséquences quant structure comportement psychique individus freud -considérait l'orgasme clitoridien signe d'immaturité femme n'ayant transféré sensations clitoris privilégié pendant l'adolescence vagin centre féminité -épanouie appareils mesure utilisés saint-louis particulièrement phallus artificiel équipé d'électrodes d'une micro caméra démontré qu'il n'existait qu'une seule forme d'orgasme féminin quel centre sensible clitoris vagin poitrine réactions physiologiques pendant l'orgasme mémes chez toutes femmes reactions idenmiques chez l'homme ila fémme informations sexualité féminine particulièrement nombreuses premier ouvrage masters johnson iles réactions sexuelles plusieurs räisons expliquent cette richesse iraisons scientifiques d'abord iliomme science l'occurénce ile mot homme doit être compris sens strict sexualité féminine plus mystérieuse parce qu'ellé îla sexualité l'autre sexe raisons historiques -ensuite l'étude fernme dépuis freud négligée 1là psychanalyse concentré réflexions l'homme considérant femme comme homme n'avait réussi raisons culturelles enfin l'héritage xixs siècle permis pendant longtemps d'envisager femme puisse éprouver désir plaisir sexuels censée subir désir plaisir mâle répondait seulement plan affectif depuis dizaine d'années assistons inversion situation culturelle recherche plaisir sexuel complet pris importance croissante psychologie féminine femme ré- clame implicitement quand n'est explicitement droit l'orgasme décennie années caractése celte préoccupation l'or- gasme féminin estime masters observations statistiques qu'il laboratoire cours démontré plan réactions sexuelles enr emelle semblables dit-il dues meme différents qu'ils croient pensent prétendent avouent héritiers distinction entre orgasme vaginal un-orgasme avoir ressenti peut selon individus serge uatlons jes sat émotions exprimée quée élaborées diff réalités psycho lee dominées pes l'éducation asp frustrations ete ons vent inhiber fecteut vent inhiber eur nia normales rganes menten sef oralolre saint-lous dan ëtr ohnson découvert mas masculin lle plaisir ele courbe quil sue diviser quatre phase pile diviser phases excitation ipeut êtr cause somatique suseie seconde phase dite plate laquelle l'excitation cause excitatrice mar prépare ila trolsième igasme proprement dit quisest explosion survenant lorsque sion sexuelle atteint niveay mal phase résolution cours llaquelle individus nent jeur calme habituel repas phases chacune phases correspond état-pani organes rythme cardiaque sion sanguine sécrétions glandua etc appareils précis duks ratoire saintlouis enregi jusqu travaux élats ignorés science s'il fallait faire distinction.e réactions féminines msculi élle snôtre point vec turel faveur ide femme enea au-delà ans lle mâle ratétéi capable d'éprouvèr plus din orgif femelle conträire estinaturellél multi-orgasmique ainsi table culturelle récente snialt bilité plaisir féminin dre l'opposé -réalité non femme capable d'orgasne peut éprouver iplusieurs consécutifs cours d'un chement partenaire tell nâle n'est créatéll mâle n'est mythe domaine vaud calvitie passe encore femmes signé l'étude réactions set sort préjugé plus res gereux revanche due parmi monde fem àons plaisir varie l'organe masculin fait font encorë combien femmes rejettent-elles n'avait rien pouvait retirer mier lieu remarqué grê taille pénis
8,9,cet état ide grat orne individus peuvent déà qporte dlférences s'estomcou pénis érectlon frs nuscie vaginal féminin part arfaitement adaptable tree notion partenaire éaux tions peuvent heurter informe endant peut- peu moqles n'ont cep peu orga lus indispensables ment effet enquêtes tous lieux bouleversement ais alé laissé subsister tous jassiques concernant mie sorte liberté phase lité use abuse loin ératrice parfois créatrice ace qu'elle s'inscrit qutopies mensonges d'hyee pne enquête menee etatsï pocrisle ontré nombre jeunes brus unis posés libérés s'inquié3 ten savoir organe sexuel maxi ormal non nombreuses files croyaient hommes etour- prlape vivaient état d'érection 1ssant manente d'une façon générale tiques masturbatoires continuent non culier lement créer sentiment pres gpbilité être considérées laires responsables multiples défi- enirre labo- œnces impuissance perte mémoi- utp revane jistré anémie etc masters johnson sou von talent montré point vue physiolo- irenbes masturbation comparable los couuique entre coit sans conséquences néfastes ilines santé prouvé cul relations sexuelles pouvaient effet watinuer pendant toute durée ement gossesse sans danger mère jme lefent l'exception quelques ement tntréndications individuelles enfin adition humains gardent puissance possi- uelle jusque plus extrême çait téilesse peuvent abandonner lement risque santé seule d'être bonne forme asmes souriant masters d'avoir rappro enaire intéressant intéressé sculin- réduit fonction eur fonction reproductrice cualité plus l'idée l'homme 5on livrer partir moment eee eeminé soclal reproducteur remis onements apportés répor mererches innombrables sue médical dépasse largens lue onto préjugés sécules sol glisse énumérés masters johnson ies seul transport garde ons ent plusieurs cenjohn mets 700 méle gas loutes acceptent mourgug 2128 d'ébats d'exerca lacs ter reg sonmes ans voir laffont 332 l'édition
9,10,masiers johnson l'amour 700 sujets êtres qualité réellement courageux dit masters fait succès entreprise majorité recrutés parmi élèves personnel l'université washington puis parmi population saintlouis william masters virginia johnson commencé faire leurs premières observations prostituées sujets finalement considérés comme non représentatifs état physiologique comme anormal observations concernant figurent human sexual response deux chercheurs tenu fonder jeurs travaux partir d'individus comportement considéré comme habituel dont conditions physiologiques pouvaient être déclarées normales cette raison masters johnson passèrent pertes profits vingt premiers mois leurs recherches suite éliminèrent individus manifestèrent souhait collaborer entreprise satisfaire fantasmes personnels trop évidents deuxieme etape l'application clinique rôle cobaye tenu pendant plusieurs années gens respectables mariés non mariés causes majeures réprobation entoura longtemps travaux fondation saint-louis réaction moralisatrice manifesta nouveau lorsqu'il s'avéra l'application thérapeutique leurs découvertes central medical building masters johnson utilisaient partenaires déléguées terme pudique qu'ils emploient désigner prostituées soigner l'impuissance d'hommes célibataires venus consultation quarante patients ainsi soignés tiers d'entre mariés divorce sexualité facteur principal hommes infirmes sociaux explique masters justifier méthode société désirait-elle qu'ils guéris s'ils n'avalent traités c'était établir ségrégation l'intérieur corps social. propos cet aspect thérapie lit human sexual inadequacy conclusion sulvante patients célibataires traités cette méthode jugée inorthodoxe leurs symptômes inversés d'entre ensuite mariés individus déclarent marlage succès point vue statistique incontestable décision faire appel partenaire déléguée célibataires sexuellement incompétents décisions plus efficlentes prises cours onze années consacrées mise point traitement l'inadaptation sexuelle jamais aucun partenaire délégué revanche sollicité traitement déficiences sexuelles féminines civilisation femme apprend seul mariage l'autorise manifester nature sexuelle tout simplement aggravé leurs difficultés soignant patientes hors d'un cadre conjugal explique virginia johnson cette remarque montre s'ils envisagealent sexualité niveau anatomo-physiologique masters johnson n'ont action mésestimé cadre culturel implications psychologiques n'ont négligé tabous paraissaient arbitraires superficiels femmes célibataires traitées saintlouis séjournèrent partenäire auquel elles liées relation affective durable stable sans méconnaître aspects psychologiques psychanalytiques sexualité c'est niveau fonction physiologique masters johnson interviennent d'abord action clinique restauration pulssance sexuelle chez homme iinhibé création d'une détente réelle chez femme bloquée première étape vers découverte l'orgasme font sans doute disparaître causes profondes suscité difficultés sexuelles mals elles atténuent abollssant causes actuelles déficience souvent pris causes profondes psychanalyse classique envisage personnalité ensemble estime qu'elle rien résolu tant qu'elle n'est remontée jusqu l'origine d'un trouble l'action masters johnson plus limitée avantage bénéfice immédiat patient traité cette approche pragmatique difficutés sexuelles rejoint théories wilhelm reich l'opposèrent début siècle sigmund freud maître longtemps vénéré reich préconisait déjà cas névroses manifestations sexuelles fallait d'abord restaurer fonction sexuelle déficiente afin soulager patient rendre confiance luimême pouvoir éventuellement passer stade l'analyse psychanalytique profonde meïlleures conditions après ans d'eyns masters johns érience individus souffrant sexuels plus répandus probjan originelle acquise impuisg coce chez l'homme bee culatin väginisme chez femme d'orgaane renverser symptôm chan très grandes morbides obtenus deux semaines clinique l'univers wrai emen durables réponse semble s0nts firmative pourcentage être enregistrées clinicien techutes s'informer l'évolution chargs pendant cinq années patients traitement inférieur couples traités william virginia johnson reconnais leurs relations sexuelles rées moins partiellement mél lisées spécialistes psychenae sexologues etc admettent plus qualité d'une relation sex n'est jamais phénomène objet sexualité toujours fantasme déclarait récemment ami chiatre observations masten johnson recoupent cette conclusion lers reussite sexuelle etat d'esprit naires question d'état d'esprit disent-ils inadaptation traltement objectif d'opérer changement d'état mental sou vent chez jes äindividus séjour saint-louis révélation -été fois essentielle minime j'étais lou près maintenant c'est.en résumé ressenti majorité patients comment deux chercheurs devénus cliniciens parviennent-ils sultat premier principe fondamei tal couple peut parler d'un partenaire malade d'un partenaire bien portant c'est couple atteint tant qu'en c'est qu'il faut étudier rassuré soigner bien l'homme res femme traités tant vidus vrai patient maritale écrivent masters second principe couple faut placer ani façon l'individu pur qué l'échec sente ron lié réticent c'est rain laquelle masters uples reçoivent ensemble viennent consulter deux ples thérapeutes dél més trois autres cement formation grâce l'étebes rapport couple coup jus trois prem human sexual jnadequacÿ human sexual inadequuc siolog connai physic consic maste réacti action connu lés psych auteu risati
