,page,text
0,1,ere ences
1,2,nuit an0h loi
2,3,mars 1971 mmatt etes-vous équilibré chercheur idées carl rogers tentative d'être soi-même sans complexe michel bernard université nouvelle maison sciences l'homme pourquoi regrouper recherche sciences humaines marie-raymonde delorme conversation fernand braudel propos recueillis sarah peltant quiz-du mois couple aime pourquoi stratégie l'amitié l'amour elliot aronson vie moderne trois jours séminaire créativité grand jeu utile adultes sarah peltant psychologie expérimentale illusions visuelles pourquoi comment yeux trahissent jean calvi enfance adolescence :43 communication parents-enfants règles qu'il faut connaître d'un art compliqué renée carton entretien avec. jean piaget bärbel inhelder enseigner méthode expérimentale l'école propos recueillis elisabeth hall librairie psychologie conflit a.-m. rocheblave-spenlé communication masse olivier burgelin peur femmes gynophobia wolfromm lederer théâtre l'homme masque roselyne guitton cinéma pourquoi jacques loew meer cree comment arts multiple exemplaire jean-louis ferrier echos informations luc mom ram who who psychologie prochain numéro vente île avril 1971 psyc 114 qlogie edite lysees paris bal d'étude promotion lecture 23. abonner voyez page
3,4,oqooq oovq où0ooo0o oococo ao00000o coco0o0o0 oo0o ldds0 eeletesetetes êtes-vous équilibré q0oo00coq qooqoqcoq 60000000 20000000 -do0oco00o 70000000 q0000000 o0q ooq docteur jacques-laurenit arnaud langage courant mot équilibré revient souvent parle équilibre biologique équilibre démographique régime équilibré budget personne équilibrés leit- motiv revient comme critère l'équilibre l'être humain ap- paraît comme résultante plu- sieurs équilibres équilibre physi- équilibre psychique conditionnent également santé €nfin peut-êt libre social pris plus large étre également en- ections ent spatial vient êtres vivants nsion d'équilibre existence bio patrimoine géné- environnement rôle joue aujourd orchroniseur juger maintenant comment situez cet ensemble multidimensionnel comportement sans hésiter suiva toujours premier mouvement équilibre physique secondes plus moins longtemps ——— selon jes péaffilée oooo0o0o0o oùdoo0o000o ooo ooo vez-vous oo0o0o oo0o0o oo0o oo0o ooo000000o oo000000o ooo css bord falaise con très élévé immeuble éprot sentiment sécurité ain malaise cert répulsion attirance vide pus l'âge ans nourriture ance persistante stossir accordéon
4,5,équilibre taille-poids vot publi formule taille poi poignet tour mesurez exemp tour poignet poids idéal devrait 100 étan nourriture inspiré-t-elle fringale irrésistible plutôt dégoût satisfaction agréable fringale dégoût voire succes sivement réunion arnis avez-vous l'habitude consommer l'alcool tout suite assez grande quantité raisonnablement plus deux verres cours soirée non rèfuse tout alcool quand commence boire peux plus m'arrêter fumez-vous moins cigarettes tout compte plus paquets puis m'arrête d'un coup recourez-vous volontiers exci- rants comme café évite systématiquement deux cafés jour maximum j'ai besoin manence oui période pointes marche qu'au café faites-vous jamais ture seu tre stimulé perd usage médicaments j'ai horreur drogues témets toujours nae cons cas graves bitue médecin ha- j'en pre grends hélas assez souvent ois pérmanence ili médicaments utiliser faites-vous culture physique jamais à-coups alors façon in- tensive jusqu épuisement dix minutes tous matins régulièrement temps temps couchez-vous toujours heure heures régulièrés se- lon l'humeur moment toujours très tard n'arrivez coucher jamais heure etes-vous sportif oui pratique régulièrement sport pendañt-les vacances lôute activité pugne .-pas-vraïiment quand peux j'ai successivement abandon nés plan santé vous-comme doué d'üne santé fer patraque trop mal partagé bien sûf ennuis santé cornme tout monde éternel maläde comment sexuelle régulière pleinement satisfaisante variable médiocre refuse répondre question considérez-vous vié cette équilibre psychique etes-vous capable imposer effort discipline oui homme femme devoir oui cela nécessaire tout effort toute discipline odieux quelquefois avant décision importante comment comportez-vous première idée toujours bonne pèse longuement contre décide sans difficulté physique j'ai pratiqué nombreux spôrts considérez- oui choses comment supportez-vous bruit bruit m'est indifférent m'en rends compte bruit m'est absolument insupportablé moménts travaille j'ai constamment autour -je supporte le-bruit constate-que travaille mieux- calme besoin bruit d'une façon générale comment sentez-vous plat déprimé tout casser survolté forme cela dépend jours interrogez-vous constamment fait non regrets stériles rumine sans cesse prends plaisir très importantes oui peux empêcher devant importante contrariété discussion violente comment réagissez-vous garde sang-froid j'explos
5,6,comment supportez-vous sol age por ion voire entouraëg comme durée subl coincide-elle oui plus moins l'ignore raisonner m'efforce raiso contenir paralysé m'est vivez-vous loujours rent détestent rythme autres oui non irconstances cela dépend circonstance j'ai périodes d'activité ter équilibre social ion abal- dante suivies d'inact oux emen eles- pile après travail eee trouver famille oui avant démarche examen cela dépend jours afs seu importants éles von non préfère résier effort mal l'aise anboissenez dois toujours faire panne insouciant replonger prêl familiale pleine forme agréablement biance ———————— excilé din ———— prend ... marié dns j'aime solitude d'ailleurs décisions financi toujours seul etes-vous capable faire plusieurs choses fois oui cela stimule oui pense cela bonne solution incapable faire plus d'une chose fois fatigue fais mal différentes choses comment endormez-vous sitôt yeux fermés retourne heures avant m'endormir dois faire usage somnifères selon état fatigue d'énervement j'ai mangé dîner j'ai absolument besoin avant m'endormir aimez-vous vie oui profite pleinement chaque minute vie sans attraits seulement raisonne exemple comparant sort plus défavorisés bons surtout mau- vais passages eprouvez-vous certaine anxiété remplissant questionnaire peu non oui oui certaines questions considérez-vous comme équili- bré oui non sais profondément déséquili- bré lire recherche nage femme mari deux prenons tous deux commun n'arrivons jamais mettre d'accord l'un finit toujours imposer point vue avez-vous sentiment d'être incompris sein famille parfois non souvent personne chez comprend £eqo etes-vous contre mariage contre cela dépend mariage quand cela m'arrange jouez-vous enfants oui n'ai souvent temps trouve toujours temps c'est indispensable équilibre celui enfants peux supporter enfants qu'un certain temps enfants m'épuisent quel général compor- tement société mets loujours avant resie coi ler ans participe oujours grand plaisir gens m'inté peux demeurer seul quelle attitude vis-à-vis personnes lotalement inconnues j'adore gens j'ai loujours plaisir faire nouvelles connaissances cela dépend bien sûr personnes indifférente autres mm'ennuient j'ai plutôt tendance être mal l'aise présence person nes connais absolumen ——— etes-vous satisfait tra vail plus moins oui non oui compare certains autres combien d'heures travaillez-vous jour environ heures jour nuit parfois puis faut m'arrête toute façon travaille trop j'ai sentiment n'avoir ja- fini journées considérez-vous salaire mérité trop bas correct trop élevé valeur supposez demain semaine travail réduise trois jours
6,7,volre attitude çais ferais libre exactement feu désorienté ais crois m'organiserais jours travail ez-vous détendre rester avez-v jon sans rien faire cela m'arrive rarement oui vraiment décontrac jamais peux rester sans rien faire sais détendre combien livres lisez-vous moyenne chaque année dizaine mals importants temps lire n'ai jamais tombe dévore tout sous main vingt livres moyenne sortez-vous souvent soir jamais tone deux fois semaine soirs peux rester enfermé ... seulement quand j'en l'occasion avez- von intérêt dehors travail oui change souvent non ourrals asset d'un hobby combi len iré bardez-vo soirées semaine re- deux télévision trois trois fois moyenne lan assistez-vous volontiers conférences allez-vous expositions concert oui j'ai tout qu'il faut maison pourquoi irais-je ailleurs j'adore sortir fréquenter réunions encore faut-il qu'elles intéressantes faut sorte pratiquez-vous sport groupe j'ai foujours aimé pratiquer sports d'équipe j'ai besoin contact autres non mais.sans raison je-n l'ésprit d'équipe pensez-vous week-ends indisperisables faut absolument m'évade déteste week-enas n'est toujours possible d'en prendre n'en toujours moyens j'ai trop faire penser .wéek-ends hais dimanches prenez-vous vacances très bien maison n'ai besoin vacances vis vacances sans vacances travail plus but vivent vacances temps tout j'ai pris fois jour vacances l'ai toujours regretté quelle finalement attitude vis-à-vis autres toujours angoissée dominatrice contact autres m'enrichit retrait rapport autres connaître résultats voyez page lé-train s'ébranla lentement jusqu'où peut-on reculer limites mémoire curieuse expérience rapide montai premier compartiment parut vide sans douter qu'un compagnon invisible trouvait déjà dont'la conversation passionnante dévait tenir éveillé jusqu'au matin regardai lumières stockholm s'éteindre peu peu puis roulai couvertures attendant sommeil j'aperçus alors face banquette livre oublié voyageur pris machinalement j'en parcourus îles premières lignes cinq minutes plus tard lisais avec.avidité comme récit d'un ami révélerait trésor apprenais effet tout monde possède mémoire mémoire suffisante réaliser prouesses fantastiques rares personnes savent servir cette merveilleuse faculté expliqué titre d'exemple comment l'homme moins doué peutretenir attentive toujours notions aussi compliquées liste cent principales villes monde chiffre population parut invraisemblable d'arriver caser pauvre tête quarante ans énumérations interminables chiffres dates villes souvérains fait désespoir lorsque j'allais l'école mémoire toute fraiche résolus vérifier livre disait était-bien exact tirai indicateur valise mis lire posément manière prescrite nom cent stations chemin fer séparent stockholm treñëôrningsiô constatai qu'il suffisait d'une seule lecture pauvoir réciter cette liste l'ordre lequel l'avais lue puis sens.invérse c'està-dire en.commençant fin pouvais indiquer instantanément position respective n'importe quelle ville exemple énoncer quelle 27° la-84° 36° tant leurs noms s'etaient grävés profondément cerveau demeurai stupéfait avoir acquis pouvoir aussi extraordinaire passai reste nuit tentér nouvelles expériences toutes plus compliquées unes autres sans arriver trouver limite forces bien entendu bornaïi exercices amusants dès lendemain j'utilisai d'une façon plus pratique connaissance lois l'esprit pus ainsi retenir incroyable facilité lectures airs musique j'entendais nom physionomie personnes venaient voir adresse rendez-vous d'affaires apprendre quatre mois langue anglaise j'ai obtenu vie fortune bonheur quantité suffisante c'est livre dois car révélé comment fonctionne cerveau trois ans j'eus bonheur rencontrer auteur promis parler méthode pays lorsqu'elle traduite en-français- z.k borg actuellement passage france vient publier cette traduction heureux aujourd'hui pouvoir exprimer publiquement reconnaissance sans doute désirez-vous acquérir aussi cette puissance mentale meilleur atout réussir l'existence prlez alors z.k borg vous.envoyer petit.ouvrage lois éternelles succès distribue gfatuitement à-quiconque véut améllorer mémoire voici adresse z.k borg chez aubanel place saint-pierre avignon dorlier méthode borg bon gratuit découper recopler adresser z.k borg chez aubanel place st-pierre avignon recevoir sans engagement part sous pli fermé lois éternelles succès nom ——— profession
7,8,lecteurs nou demander carl rogers psycho jeunes californie thérapie us-rogers rogers éditions l'ep ent ers miguel fur® raisons publier por l'étude qu'on lire psycholog américain non seulement l'œuvre carl rogers confond sa-vie l'analyse et- l'application cette vérité existentielle chacun porte seul lui-même possibilité d'être soimême changer positivement d'exprimer expérience conséquence comprendre autrui faut faire mirair l'expression totale vie l'on veut comprendre rogers fidèle message faut plutôt qu'analyser écrits déchiffrer interpréter faits connus concernant l'écouter parler lui-même l'acceptant comme tel l'originalité personne bref avoir égard selon ter- minologie rogérienne considéra- tion positive inconditionnelle c'est seulement partir cette compréhen- sion primordiale prenant champ l'égard personne envi- sageant alors démarche scientifique technique contexte histo- tique pourrons dégager l'apport réel cette œuvre dif- ficultés apprécier recherches théoriques pratiques dites non di- rectives prétendent tort raison être héritières légi- times latentative tre psychothérapie est-ce ajoute-t-il fie ainsi est-il conduit très aimés parents dont bien-être souci constant d'autre part conte laient étroitement comporteme® bien moyens fois sub affectueux considéraient j'acceptais cette idée fami différente autres coo réunions dansantes jeux cartes spectacles peu d'activités mondaines beaucon travail ... convient souligner ici rap pel climat familial suffit déjà faire comprendre l'origine tensité trois composantes essgn tielles personnalité rogers d'une part sens aigu resper valeurs morales religieuses dont travail protestant expression particulière d'autre part besoin ardent d'affectivité enfin l'aspiration communication autrui cette aspiration dont milieu fami lai surprotecteur privait trop forte intégration âäffective autonomie rogers d'abord ten ter réaliser nature père fait fortune faires préoccupé influences psychology today néfastes vie citadine achète ferme famille s'installe gers douze ans s'abandonne passion l'observation nature croissances animales végé tales éprouve ditil joies frustrations naturaliste observant papillons nuit élevant soignant chenilles conservant cocons plus frères possède encouragé parents poulailler élève prémières années enfance protegee tés pare d'agriculture ache pou rogers devins grace hugo ecrit rogers n'es récent j'ai cette écoute rogers facilitée rogers lui-même pleine cohérence lui-même aussi demande d'étudiants perspicaces raconté comment devenu personne qu'il l'évolution pensée personnelle phi- losophie professionnelle partir événements concrets détaillés vie d'où premier chapitre sur- prenant connaît pudeur discrétion habituelle hommes science contemporains livre becoming person suis-je cette question rogers élevé donne d'abord réponse globale vague psychologue depuis plusieurs années s'intéresse principale valeur labeur per sens contrad fieti
8,9,disciplines scienpratia physiques wisconsin l'agronomie collège écrite années suite discuscouts amenés ssionnelles religion sions feu cours d'un congrès reconsidérer carrière res science agricole vétille passai l'histoire semne meilleure préparation voit cette nouvelle orienin rompre cordon ombie rattachait famille annexant activités issues jeux enfantins tels suscités père souci religieux soigneusement entretenu père bref toute tte période vie rogers fruit pur simple l'éducation familiale rupture milieu rer survient alors double expérience permettre rogers d'affirmer comme dira lui-même actuaser personne propre décider orientation définitive tout d'abord désigné douzaine d'étudiants américains aller chine participer congrès mondial fédération étudiants chrétiens c'était écrit-il 1922 quatre ans après fin première guerre mondiale constatai l'amertume laquelle dés français allemands individuellement sympathiques continuaient-à hair obligé d'admettre hommes sincères honnêtes pouvalent accepter doctrines très divergentes matière religion ment fois libérai totaleparents opinions religieuses vai plus aperçus pource dre suivre l'occasion légal éloignement sérieux dont mieu familial etatsquiétude fac ogers découvre v'illusoire confits int diversité réelle rompre opaux religieux sufde dolescens charme l'enfance libère créer angoisse chagrins non sans tensions emprise familiale comme consacrer cett issi sortie coll ette scission malgré réti ège rogers épouse amie d'enfance parents entr nce et-se rend new cal seminary union theologiral pays collège plus libéû préparer 10e 1924 vue euse vocation relisant nai jamais regretté dit années effet pas- cest collège régnait climat déter second liberté qu'il minera sxpérience décisive out avenir certains d'entre dit-il ressentions qu'on nourrissait d'idées toutes faites alors voulions par-dessus tout d'explorer problèmes posions examiner doutes éprouvions découvrir quoi aboutissaient nous-adressâmes l'administration pétition laquelle demandions l'autorisation d'organiser séminaire officiel séminaire sans professeur dont propres questions formeraient programme l'administration trouva naturellement perplexe devant telle requête accéda seule restriction qu'elle imposa l'intérêt l'institution jeune professeur assisterait séances sans toutefois participer moins invitions ainsi lieu pre-ière contestation relative enseignement comme remarqué max pagès première expérience pédagogie non directive laquelle rogers découvre l'orientation définitive vie l'impossibilité réaliser cadre foi traditionnelle vocation religieuse après rupture l'autorité familiale survient rupture celle foi soutien caution rupture conditionnelle néanmoins dens mesure cette foi déplace presque sens psychanalytique mot nivéau d'une- philosophie personne sentis dit-il continuerais toujours m'intéresser tout concerne sens vie possibilité d'une amélioration constructive vie.de l'individu pourrais agir cadre d'une doctrine religieuse spécifique prescrite bref dès cette date 1926 ligne projet fixée restait trouver domaine concret réalisation précise-til liberté pensée restreinte choisit psychologie domaine s'offre tout naturellement celui psychologie plus exactement psychopédagogie clinique déjà intéressé cours psychologie psychiatrie donnés séminaire éprouve besoin compléter d'une part l'enseignement pédagogie dispensé face l'établissement l'ecole normale teacher college l'université columbia l'un principaux disciples dewey kilpatrick d'autre part teacher college travaux cliniques enfants sous direction leta hollingworth mis voie théorique pratique psychopédagogie demande obtient 1927 bourse poste d'interne tout nouvel institut à-new york institute for child guidance clinique psycho- pédagogique raison l'organisation encore chaotique chacun pouvait travailler selon désirs découvre cet établissement esprit orientation absolument nouveaux sans créer problèmes psychiatres cette institution tous d'orientation freudienne rogers découvre ainsi psychanalyse comme dit luimême point vue dynamique freud opposition profonde l'attitude rigoureuse scientifique psychologie expérimentale autrement dit alors qu'il prépare doctorat rogers voit surgir conflit apparemment irréductible entre psychologie clinique psychologie expérimentale entre l'esprit hautement spéculatif régnait l'institute for child guidance conceptions expérimentales statistiques existaient columbia ... entre pensée de.fréud celle thorndike comme reconnaît lui-même nécessité résoudre conflit expérience précieuse car s'est retrouvé cours toutes activités ultérieures d'un côté contact approfondi d'individus tous différents relation plus plus directe l'autre accomplissement récherches scientifiques psychologie utilisant appareil statistique imposant fins validation minutieuses avant d'en arriver falläit vivre subvenir besoins fémme enfants rogers sentit soulagé joyeux lorsque fin internat embauché 1928 comme psychologue child study -department l'association protection l'enfance rochester l'etat new york n'était pourtant qu'un poste sans avenir isolé tout contact professionnel insuffisamment rémunéré rogers garda confiance dépit tout l'essentiel d'accomplir tâche répondait aspirations j'ai toujours pensé dit-il moment jj'on donnait l'occasion m'employer faire quelque chose d'intéressant reste s'arrangerait bien jour l'autre. cette attitude s'exprime l'optimisme radical inébranlable rogers concernant possibilités inhérentes toute personnalité qu'il appellera plus tard tendance actualisante l'organisme certes montée pénible lente fit 1930 rogers devient directeur john dewey 1891082 entaieur psychologie fonctionnaliste pédagogie psn l'enfant doit apprendre ant l'école rédenaviorislr cornu dopr rue rogers vol 149. gons euliure pédagogie aqie
9,10,d'être so-mêème child study department achève 1931 thèse mesure personnalité chez enfants surtout durant douze années partir culièrement huit premières passe rochester consacre service psychothérapie enfants délinquants déshérités envoyés tribunaux services s0ociaux cette pratique quotidienne très bénéfique autant peut-être davantage échecs rencontrés succès obtenus rogers cite chapitre autobiographique trois cas déception apportèrent chacun révélation faiblesse méthodes techniques psychologiques employées temps voie nouvelle qu'il convenait suivre faiblesse seule explication l'interview centrées conflits sexuels faiblesse interviews coercitifs directifs genre judiciaire revanche efficacité entretiens d'aide client prend direction mouvement processus thérapeutique découvertes surtout changements d'attitude méthode thérapeutiques qu'elles entraînèrent loin s'imposer heurtèrent psychologues dont activités exclusivement orientées processus d'apprentissage jugeaient cette pratique rogérienne aléatoire dénuée rigueur scientifique peu peu rogers amené prendre distance l'égard l'association américaine psychologie renouera psychologie proprement dite lors fondation l'association américaine psychologie appliquée convaincu valeur fé- condité nouvelles tâches dépit oppositions psychiatres comme celles psychologues plan théorique rogers conduit 1939 créer rochester centre indépendant psychopédagogie rochester guidance center année parvient publier non sans peine prenant va- cances brefs congés premier livre the clinical treatment the problem child traitement clinique l'enfant-problème c'est l'explosion alors qu'il déjà commencé don- ner cours l'institut sociologie l'université rochester l'ins- titut pédagogie façon comprendre traiter enfants dif ficiles l'université l'etat d'ohio in10 latentative ivre offre rogers onnement titulaire ainsi car téressée 1940 grand chaire professeui commence grande éta rière l'étape universitaire president a.p.a oès début enseigne gers prit conscience incies s'était creusé entre pri guidaient tous thérapeutes propre démarche s'efforçge pre ser cette dernière exposé qu'il lignes principales fit décembre 1940 l'universi minnesota fortes réactions provoqua permirent réaliser richesse nouveauté d'une idée peuvent représenter menace autrui plus remarque rogers fait trouver prises îles critiques centre d'une controverse fit douter moi-même poser questions néanmoins sentais j'avais quelque chose dire rédigeai manuscrit counseling and psychotherapy relation aide psychothérapie lequel décrivais m'apparaissait quelque sorte comme orientation plus efficace thérapie dépit réserves doutes l'éditeur taxa d'irréalisme cet ouvrage vendit entre 1942 1961 plus 000 exemplaires ainsi diffusa tous sens sous multiples formes pratique rogérienne étudiants animés d'une vive curiosité intellectuelle désireux s'exercer plan théorie recherche affluèrent joignirent rogers 1945 rejoint l'université chicago devient secrétaire général executive secretary d'un centre counseling programmes recherche élargis subventionnés auxquels participent étudiants appartenant domaines étrangers psychologie clinique pédagogie sociologie psycho- logie industrielle etc mis pled milieux psychologues d'ailleurs reconnaissant enfin im- portance nomment 1946-1947 président l'american psychological as- sociation alors qu'il déjà président l'american association for applied psychology 1951 rogers publie client-centered therapy comme l'indique titre thérapie s'agit notonsd'orientation centr d'une absence direction finalité pensée collaboration osalind symond fait paraître ouvrage plus forique psychotherapy and person- nallty lequel s'efforce vali der scientifiquement pratique toriété grandit 1955 recoit sédaille d'argent nicholas murray but ler l'université columbia 1956 promu docteur honoris causa lettres lawrence college année titulaire d'une distinction recherches champ psychothérapie attribuée l'american psychological associa tion lemps devient prés dent deux ans l'american aca demy psychotherapists l'année suivante 1957 quitte chicago l'université wisconsin nommé professeur fois facultés psychologie médecine dispose alors moyens importants recherches thé rapie auprès schizophrènes pourra ainsi réfuter critique trop souvent adressée n'aborder cas faciles personnalités peine perturbées durant sept ans affronte cas plus plus difficiles soumettant ainsi pratique thérapeutique l'épreuve redoutable psychoses résultats d'une telle épreuve doivent être publiés sous titre study psychotherapy with schizophrenes entre-temps 1961 paraît becoming person alors rogers devient membre l'american acade arts and science 1964 quitte l'université consacrer plus librement recherche sein wesiern behavioral science institute californie jolla eee eee grands principes rogeriens c'est cours récentes années qu'il s'est efforcé faire connaître travaux l'étranger accomplissant nombreux voyages japon australie enfin europe particulièrement france séminaire dourdan avril-mai 1966 belgique louvain pays-bas voyages apportèrent confirmation assez pénible toujours surprenante yeux l'animosité violence réactions suscitées idées malgré consécration officielle forte personnalité rogers l'originalité méthodes excitent vindicte psychiatres après celle peu calmée depuis quelques années psychologues conseillers psychologiques enseignants parmi amis dit-il soi-disant amis rencontre critiques incisives inattendues l'amênent douter l'authenticité réception message plus core possibilité comm niquer. parfois demandé avoue-t-il ennemis soi-disant amis m'ont fait plus tort c'est peut-être cause cette situation désagréable fait voir gens battre cause
