,page,text
0,1,prendre savoï aqjir onrad lorenz sserver l'animal ouprendre l'homme comment fumer menages rea tip suisse
1,2,savez-vous qu'aux etats-unis europe depuis plusieurs années nombreux enfants apprennent lire entre ans jouant s'amusant matériels éducatifs spécialement conçus retiennent sans difficulté éléments code écrit langage écrit c'est production bibliothèque bon jours découper recopier renvoyer c.e.p.l. 114 champs-elysées paris envoyez-moi sans engagement part l'ensemble éducatif lecture petits pourrai l'utiliser pendant jours passé délai pourrai conserver réglerai comptant 250 port compris crédit versements port compris pourrai retourner sans rien devoir inter darren oui peut apprenti avant écoe eme eco mms nee den man tre fonte mers est-il trop tôt est-il'trop tard a-t-il d'inconvénients scolarité matière d'éducation question déterminer légère faut savoir enfants appris lire seule aide de-leurs parents lisent non seulement plus tôt autres acquièrent avance plupart garderont tout long leurs études l'ensemble éducatit lect deux spécialistes mis point testé pendant année entière école maternelle l'état peut être utilisé parent disposant d'aucune qualification comporte sous forme jeux tout matériel éducatif compr srirayants enant fresnes d'essai gratuit nom ———— prénom adresse ure petits particulière uriversitaire 18.dec.1966 c.e.p.l éditeur daéfrholbilier demandé deux.pédagoques mettre point ensemble éducatif lecture petits s'agit mme françoise gauquelin diplômée l'institut psychologie l'université paris diplômée l'institut sciences l'éducation l'université genève ancienne élève professeur jean piaget mme arlette moerman directrice d'école maternelle l'éducation nationale livre lecture couleurs cahiers d'exercices série jeux loto dominos puzzles boîte mots laquelle l'enfant classe lui-même 200 fiches-mots six disques donnant l'enfant indications nécessaires jouer essayez lecture petits ÿratuitement pendant jours
2,3,comprendre.savoir agir quiz mois chercheur idées couple hsroio monde d'atjoürd'aui juin 1971 etes-vous bourreau victime konrad lorenz fondateur l'éthologie moderne christophe stolowicki ménages étudiants réalité système social ignore jacques sabran l'inconscient transfert phénomène central traitement psychanalytique jean-michel palmier vie moderne cesser fumer c'est possible voici comment entretien psychologie expérimentale tribune libre librairie cinéma théâtre arts echos who who cholog elvsees paris bal 53-23. chape edite centre d'etude promotion lectu résultats d'expériences américaines laboratoire edward lichtenstein alexander romanovich luria maîtres psychologie u.r.s.s. michael sheila cole perception inconsciente peut-on être influencé qu'on perçoit jean calvi biosociologie discipline d'avant-garde bases biologiques comportement paul chauchard social fossé générations margaret mead marx jésus jean-françois revel vers contre-culture théodore roszak population l'enseignement présenté alain girard boutade tabou jacques loew psychothérapie fête marcel turbiaux l'art fait kitsch jean-louis ferrier informations psychologie prochain numéro vente .juillet 1971 cire ron viqhre los sen dire ees onoleons pente abonner voyez page
3,4,"leo toute set lierer rea hooooo ooo0o0o0o ooo0oo000o ooo0oo0o0oo ooo0o0o0o0o oooo0o000o oooo0o0o0o0o oo0odoo0o0o0o oo0oo0o0o0o oouoo0o0o0o0o ooo0oo000o0o0o oo0o ooo êtes-vous bourreau victime bourreau droit plus exactement force dé- finition toujours raison tous abus commencent partir rappelez-vous fable loup l'agneau raison plus fort toujours meilleure victime toujours tort celte lutte inégale entre bour- reau victime vivons chaque heure existence vie professionnelle familiale c'est l'un équilibres plus dif ficiles établir doit-on imposer volonté risquer d'être yran bien céder fois risquer céder bien d'autres fois tous semblables chez certains bourreau sommeille facile veiller d'autres presque daissant âme victime ques- tion lempérament d'éducation motivations inconscientes jouent sans doule aussi part ssre cts solo 3,1 pit itst jus thin aol pat pute quiz prétention d'expliquer pourquoi simplement faire prendre conscience lequel deux camps trouvez plus souvent celui bourreaux celui victimes chaque question comporte trois ré- ponses possibles entourez d'un cer- cle jettre placée devant réponse paraît plus accord façon d'agir penser faites-vous partie gens dont dit quelque agacement qu'ils toujours raison oui non sais oo0oo0000o oo0o0o0oo0o0oo0o vue d'un représentant force oo00 ooo oo000 oo0oo 210191020100 21010/0/0101010 oo0o00o00oo0o sss 8060 ess ——— donnez-vous l'argent démar cheurs sonnent porte recommandant d'œuvres charilables jamais parfois régulièrement publique plutôt sympathique indiffère révolte toujours peu amour amitié faites-vous plutôt partie clan abandot neurs celui abandoï nés abandonneurs abandonnés cela dépen"
4,5,"not imposiez-vous nfant voir d'orx différents peil déjà arrivé faire l'argent escroc jamais arrivé non cela quelle quelle réaction laissez tomber déposez plainte olice ous allez recherche l'individu faire justice vousmême afin faire rembourser sur-le-champ prenez-vous billets loterie nationale régulièrement parfois jamais est-il arrivé cours vie casser figure quelqu'un plusieurs fois fois jamais o0oq o00000000q o0000o o00o0o0o ooqoq oooq oo0 o00 qoo 000 oo0oq 000 10101e oo00q dent dure non oui sais ave disc dernier mot ssion d'argent souvent fois deux arement osez-vous oseriez-vous prendre décision assez importante sans référer d'abord conjoint oui sans problème oui prends jamais seul décision importante est-il arrivé d'intenter procès contre tiers jamais souvent fois deux etes-vous contre peine .-de mort contre sans opiniôn quelle impression faite certäines photos films documentai res nazisme j'étais complètement incapable réagir j'étais indigné m'attirait 16. l'un anciens adversaires tente composer âvéc propose faire añiende honorable quelle attitude refusez termes humiliants demandez réfléchir acceptez passer l'éponge passé franchement l'impression faites général choses mieux autres oui fais mieux non fais moins bien cela dépend avis lois règlements doivent être respectés lettre l'esprit selon cas est-il arrivé mettre voiture trottoir juste contre sortie d'un immeuble mets jamais voiture trottoir trottoir oui contre porte non cela m'est arrivé quelle sentir jalousé voire haï ible smpression pénid impression agréable cela dépend paen nouvelles méthodes permettent d'acquérir rapidement mémoire excellente mpression cela fait dont ever desoin avez-vous remarqué.que certains d'entre semblent tout retenir facilité alors d'autres oublient rapidement qu'ils qu'il entendu d'où cela vient-il spécialistes desproblèmes dela mémoire formels cela vient fait premiers appliquent consciemment'ou non unebonne méthode mémorisation alors autres savent comment procéder autrement dit bonne mémoire n'est question don -c'est.une question méthode milliers d'expériences témoignages prouvent suivant'la méthode préconisons centre d'etudes obtiendrez mémoire quelle qu'elle actuellement performances première vue incroyables éxemple pourrez après quelques jours d'entraînement facile retenir l'ordre cartes d'unjeu-que l'on effeuille devant encore rejouer mémoire partie d'échecs retiendrez aussi facilement liste départements numéro-code naturellement but essentiel méthode n'est réaliser prouesses genre donner mémoire parfaite vie courante c'est ainsi qu'elle-vous permettra retenir instantanément nom gens lesquels entrez en-contact courses visites faire sans agendel l'endroit rangez affaires chiffres tarifs etc vie entière n'oublierez plus nom ou-un visage mois ou-20 ans après retrouverez nom d'une personne rencontrerez comme l'aviez vue veille parvenez aujourd'hui c'est vous.vous prenez mal car tout monde peut arriver résultat condition d'appliquer bons principes. méthode donne résultats peut-être plus extraordinaires encore lorsqu'il s'agit.de mémoire études effet permet d'assimiler façon définitive temps record centaines dates l'histoire milliers notions géographie ou-de sclence l'orthographe langues étrangères etc ... tous étudiants devraient l'appliquer-et faudrait l'enseigner lycées l'étude devient alors tellement plus facile voulez avoir plus détails sur.cette remarquable méthode certainement intérêt demander tivret gratuit proposé ci-dessous faites-le tout suite car actuellement pouvez profiter d'un avantage exceptionnel sat découpez ce'bon recopiez-le adressez-le service 48b centre d'études av.s.-mallarmé paris 17° veuillez m'adresser livret gratuit comment acquérir mémoire prodigleuse donner tous détaits l'avantage indiqué ci-joint timbre 40,50 frais pays hors d'europe joindre trois coupons-réponses"
5,6,public individu accuse violemment tor répliquez ver menaçant essayez tement expliquer erreur préférez quitter aussitôt place etes-vous conëfe censure contre tous cas contre sauf très rares exceptions empo d'une épreuve cours sportive l'arbitre erreur randement rurninez cette erreur tout long.de l'épreuve résultat priver d'une partie moyens dites erreurs font partie jeu pensez plus vient commettre désavantage rtez tentez faire revenir l'arbitre décision 'elel oo0o qo0oo tete oo0o ete projet formé ävec autre personne contreternps fâcheux produit quelle vôtre première réactiôn accusez immédiatement autre d'en être responsable craignez d'être considéré vous-même comme responsable contretemps tâchez abord trouver rernède difficulté aime bien châtie bien vrai faux cela dépend fin justifie moyens prenant taxi -en- pays étranger ignorez d'usage donner pourboire profitez ignorance coutumes rien donner donnez donné pays donnez plus car craignez récriminations chauf feur fois deux recourez moyennant finances services d'une voyante d'un as- est-il arrivé rentrer chez sous bras petits gadgets inutiles vendent tous bonimenteurs coin rues souvent. jamais trôlogue etc sentimentales oui non fois repren dra plus éri cas difficultés nom noue versez somime d'argent importante personne connaissez très peu .et propose reçu exigez n'osez faire proposez envoyer l'argent moyen d'un mandat recommandé estimez-vous souvent fait marcher vie sen- timentale souvent jamais parfois 00000000 00000000 o0o oooo0o00o0o o0oo oo0o o0000000o o©o00 ooo oo0o0oq stets deux traits caractère quel ressemble plus l'esprit contradiction être l'avis dernier parlé deux traits ressemblent traitement recomman médecin procuré aucun -soulagement allez voir autre prati cien retournez chez premier demander autre trai tement écrivez téléphonez surje-champ iédecin -exprimer tout mal pensez fait prisonnier pendant guerre -chercheriez-vous tous moyens quels qu'ils évader nôn cela dépendrait circonstances etes-vous très rancunier capable pardon rancunier capable pardon sans opinion réussit-on faire travailler dehors heures normales reau prenant ments souvent parfois jamais certains cas extrêmes êles prêt admettre meurtre politi qué oui non peut-être enti veét lsn pons
6,7,"maman tocuré prati remier traiez surour accrochage tentez-vous influenle faveur voire adversaire dirige faire adversaire reste vigilant ave-t-il faire réflexion personne agit souhaiteriez piépusif automobiliste imprudent jaissant chien soulager dehors caniveaux etc. assez souvent quelques tares fois jamais recul temps avez-vous entiment être laissé entra ner belles paroles itien lui-même peu convaincu plus d'une fois fois jamais sentez-vous âme redresseur torts absolument exceptionnellement nombreuses circonstances file d'attente avez-vous plutôt tendance prendre place personne précède contenter surveiller voire rang départ faire voler vôtre personne suit e———— contrairement règlement l'immeuble voisin d'étage laisse palier meuble encombrant supportez agissez aussitôt auprès srant syndic ous tentez raisonner voisin esti mez- sul indispensable tenir oui udget ménage non chacun budget lemene choses supportez-vous faa tant contradiction très voyez naître résultats page coin voile enfin levé quatorze secrets essentiels trans étmes offre limitée seul envoi foyer pss reaésieuir lee roi vous-plaisent entièrement français contre français dessous milice -ils enrû mifice ant notables furent-ils enrôlés quel aiiciens négociations eurent-elles lieu entre milice vercors fascistes collaboration ît-i rôle l'influence déar doriot leurs groupes destsient corment colleboreteurs retrouvèrent-ils bon côté libération d'autres affaires passionnantes préparé aire céder vieux maréchal prépa d'un aller france l'assassinat dan nomination ile incroyables énigmes giraud courte angleterre occupée jersey-guernesey l'agonie collaboration l'espion possédait ndides ouvrage tre bibliothèque trois prix jus jen lumes luxe séries poche sien d'autre iff joe nombreuses illustrations hors- tente titres pressés chaud balancier papier bouffant luxe sans inscription club sans rien d'autre acheter s'il période riche énigmes mystère c'est bien l'occupation événements plus importants n'étaient connus travers presse radio solde allemands dit circulaient bouche bouche donc fallu réaliser énorme travail critique d'analyse milliers documents faire synthèses présentons aujourd'hui captivés révélations étonnantes découvrirez trois volumes cette offre incroyable grâce puissance association suppression intermédiaires inutiles possible porter tout effort financier qualité édüions proposer exemple trois volumes reliés sous élégant dos cuir prix sans rapport valeur réelle pourrez ainsi apprécier qualité l'intérêt extraordinaires éditions sans moindre engagement part aimez l'histoire laissez passer cette offre françois beauval éditeur 83-la seyne-s/mer avenue j-m.fritz montréal 455 3400 boul métropolitain 4.65 1060 bauxelles 368 chaussée waterloo f.b 195 genêve 1213 petit-lancy route pont-butin 17,30 vente magasin descartes paris tél 633.58.08 avenue stéphane-mallarmé paris 17° tél 380.14:14 renvoyer françois eruval éditeur offre cup 194 boite postale 83-la'sevne-s/mer adressèz-moi fos reliés cuir pourrai examiner sans engagement pendant jours désire abat prix spécial 19,80 2,68 frais d'envoi sinon désire garder retournersi m'engage .cup -194 colecceepe epp peste"
7,8,rat ooue pen chr lit rerr rec nager lun hal 111 anal eine serres lerts ecees bot nnthluto rlraxti avi one 1uj blues mae chercheur idées konrad lorenz recu depuis longtemps habitants petit village autrichien d'altenberg étonnent plus rencontrer campagne environnante vieux mors pied bicyclette accompagné chien entouré d'une nuée d'oiseaux cris desquels répond l'apercevoir marchant quatre pattes herbes hautes retournant temps temps cancaner direction d'une nichée volatiles invisibles encore toit maison faisant grands signes quelque interlocuteur indiscernable tandis seuls quelques oiseaux passent lointain cette intimité prodigieuse animaux livres adressés large public révélée sans doute trait personnalité konrad lorenz plus saillant n'est négligeable point vue scientifique force d'amour mals aussi savoir savant puisse adhérer aspects plus secrets nature animale plus inaccessibles l'homme civilisé c'est comme réhabilitation science plus peut dissocier personnalité façon vivre lorenz méthodes scientifiques cet homme pratiquement fondé discipline nouvelle amour passionne animaux ——— konrad lorenz vienne novembre 1903 d'un père conseiller cour ami personnel l'empereur françois-joseph l'atmosphère familiale certainement marqué recherches ultérieures prédisposant exemple étudier plus sympathie sociétés d'animaux laissent apparenter monarchie libérale parents revient aussi mérite lul avoir légué goût animaux tout temps chez chiens écritil père possédait déjà oies cendrées principaux sujets d'étude fait remonter passion animaux l'âge cinq ans quand créa premier aquarium prospectant mares environs lorenz affirme cette pré- cocité vocation caractérise presque tous biologistes moins toujours conservé conditions vie enfance naïveté amour bêtes gar études konrad lorenz carrière universitaire sclentifique voyages peuvent dissimuler per- rona lorenz fondateur l'éthologie moderne manence vie fixation village natal altenberg cette demeure enfance l'attendent animaux après six mois d'absence c'est vers chienne qu'il dirige d'abord quand revient puis seulement vers femme être raison qu'il n'est aussi urgent décharger far- deau d'attente sensibilité l'égard souffrance animale traits dominants spécialiste psychologie animale devait cepen- dant parfois effectuer expériences cruelles sujet cette sensi- bilité découlent conceptions scien- tifiques umière raison justifient nombre intuitions sim- ples amoureux bêtes s'il sens anti-pavlov plus observateur qu'expérimentateur plutôt trans- former l'objet conditions l'expérience préfère souvent trans- fier utmême fins l'observation emple ère-oie motifs pen dissocier savant l'homme photo flammarion christophe stolowiq formations très diverses complémentaires suivit études médecine etats-unis qu'il acheva vienne s'adonner alors zoologie tres domaine roth vienne julian huxley2 angleterre s'adonna également philosophie docteur cine philosophie d'abord tiqué quelque temps médecins vienne travaux psychologie animale principalement oies choucas3 firent connaître rapidement milleux scientifiques d'europe etats-unis fit nombreuses tournées conférences konrad lorenz profes seur honoris causa nombreuses versités américaines professeur extra ordinaire vienne münster enseigné écrit premier livre vulgarisation parlait mammifères oiseaux pois sons 1949 œuvre maîtresse l'agression 1963. renommée littéraire plus lente venir renommée scientifique œuvre traduite français qu'en 1968. konrad lorenz aujourd'hui directeur l'institut max-planck bavière l'étude comparative comportement s'agit d'un simple laboratoire psychologie animale perdu forêt bavière près lac see wisen accueille chercheurs toutes nationalités animaux toutes origines nombre der niers vivent liberté car l'éthologie science comportement lorenz illustrée requiert plus d'obser vation long terme d'expérimentz tion exige autant possible préservées conditions vie naturelles malgré cela lorenz animaux expérimentaux comparés espèces domestiquées sauvages vivent altenberg lesquelles consacré vie nouer lien personnel c'est dire cette science nouvelle exige adeptes dispositions apparemment peu sclen tifiques oscar oscar heinroth zoologiste autrichitn 1871-1945 spécialiste oiseaux oconhe sir julian huxley biologiste phil écrivain anglais 1887. prix lost poursuivi recherches embryon psychologie comportement essaÿh prouvé grand éclectisme quant objets intérêt. bustes choucas corneilles noir queue courte robe cendrée vivent couramment europe bec caractéristique sue e=— rrn once tnt
8,9,divine olontle ssalre veut épouser animaux attache lus sclentifique livres fance histoires enfance ima lagerlôf histoires jack london livre rudyard kipling cettre l'accent qualités biologique nécessaires s'il développé our animaux détriment humain c'est tout cas transfert évident inquiéseb depuis l'âge d'homme toujours possédé chiennes chiens soins femee expérience permet dafirmer l'attachement animaux fixation sexuelle n'ont aucun rapport sexe maître gut croire l'inverse n'est vrai. intuitio réthologist fonde science l'animal liberte l'originalité marquante de- konrad- lorenz c'est patiente étude animaux sauvages liberté principalement animaux supérieurs vivant sociétés préfigurant nôtre oies sauvages comme chiens restent deçà longévité humaine chou être compagñons intemporels toute vie colonie primitive dète 1927 quoique vit encore altenberg la.fidélité à°ses lignée chiens descendant de- l'ami perdu dix-sept ans délicäesses amour moral égard expliquent podigieuse compréhension fions trop cependant célte image rassurante inoffensive plarche-ami-des-bêtes konrad lo£ donner certaines inter cmsgee misées publiées spéctaliee généralement les.milieux leholjand comme promoteur ndais niko tirnibergen l'étho silence comparative comporloi lorenz lui-même appelle ogie dont éthologues naturalistes hein sest inspiré comme maître d'im faut attacher trop digg mce l'usage mot spéu science tout récents äpport autres sciences laiso l'éthologie exerce rôle certain synthèse suppose jte d'élaboration scien4 appel chercheurs deg koñradi lorenz trouvent hanalystes comme rené spitz fes logues ethnologues l'éthoà utilité plus particulièrement relief anima connaissance psychologique détleur surtout animaux vue aissance 0mmo conn réserves il-affirme qu'un oiseaux relations animales par-exemplé une- certes expériences observa- tions relate lorenz lesquelles fonde théories elles-mêmes souvent empruntées tout comme cer- tains concepts qu'il utilise ainsi doit-il maître heinroth introduit l'observation oies sauvages pression cérémonia désigner rite salutation fonde toutes relations sociales oiseaux concept activité ré- orientée explique exemple l'agressivité réorientée lien sexuel permis lorenz études ritualisation pulsions antagonistes fourni tin- l'exl triomphe bergen première description d'une ritualisation formation nouvel instinct partir deux instincts antagonistes réalisée 1914 julian huxley danse d'amour grèbe huppéé lorenz n'est autant simple vulgarisateur d'au- trui toutes découvertes dont parle première main d'ailleurs précise toujours honnêteté beaucoup résultent observation personnelle surtout c'est propre l'éthologie intuition -biologique sens philosophique permis rapprocher observations sans rapport apparent afin .d'étudier l'évolution générale vie c'est ainsi qu'il compare l'interaction sti-muli antagonistes l'innervation musculaire telle -que décrit von holst jeu-de-deux-pulsions änta gonistes l'agressivitéet peur mimiques faciales chien toute fonction'un peu différenciée résul-tat pulsions antagonistes lorenz remonte simples tressaillements muscles analysés von holst jeu coordonné muscles antagonistes tout déplacement spatial d'un membre jusqu l'interaction psychologique pulsions tout aussi exactement mesuraäble l'interaction physiologique cela s'appelle l'analyse motivations à.la limite permet d'affirmer mesure mouvements d'oreilles mâchoires qu'un chien tant cen timètres peur tant d'agressivité l'éthologie confluent plue sieurs sciences norma renz besoins synt èse fait siennes expériences d'autr chercheurs orenz etabli theorie agression entre espèces konrad lorenz surtout connu théories l'agression nom tricte observation biologique p'ermettent reformuler bien oraux. problèmes bord qu'on saurait précison entre membres agression qu'en parler espèce lutte entre proies drédateurs rien voir etats-unis d'excellentes photos lons juste avant saut écrit-il face montre sans ambiguîté qu'ils point mé- chants. plus d'agressivité carnivores vis-à-vis leurs proies herbivores vis-à-vis pâ- ture d'ailleurs selon principe économique sélection naturelle aucune espèce vivante n'est menacée jusqu extinction l'espèce consommatrice l'est bien l'espèce concurrente ainsi quand chiens dingos introduits australie n'anéantirent malgré facilité attraper marsupiaux nourriture bien toutes espèces carnivores concurrentes chez peu défense marsupiaux n'avait développé qualités comparables leurs l'évolution comparée d'une espèce consommatrice l'espèce consommée explique fort bien principe économique phylogénèse nature ainsi c'est l'action réciproque sélection naturelle félins développé l'élasticité saut ongulés rapidité course c'est similairement dents ongulés durcies broyage herbes tandis lesdites herbes renforcées silicate protecteur fait diabolique l'agression l'interieur d'une espece eee darwin suscité temps nombreuses réactions -défense sensibilité-et degré connaissance psychologiques l'époque permettant -d'admettre principes sup-posés aussi cruels aujourd'hui la.sélection naturelle choque plus guère problème mal terre s'est déplacé fait diabolique -requiert explication parce sensibilité humaine conçoit encore c'est l'agressivité intraspécifique entre membres d'une espèce peut conduire l'anéantissement mutuel méthode d'explication déjà donnée reposant surtout observations l'espèce humaine freud moins dérniérs écrits force réserves existerait instinct mort destrudo tout fait indépendant instinct vie libido spontanéité propre manifesterait surtout répétition sans but mêmes actes niko tinbergen zoologiste néerlandais 1907. spécialiste l'analyse moti- gations actuéllement professeur xford rené spitz psychanalyste allemand d'obé- dience freudienne 1887 spécialisé psychologie l'enfant installé grèbe huppé oiseau palmipède d'europe petites ailes cou long bec pointu dont tête ornée d'une coiffe éparouie collerette construit nids flottants erich von holst aquatique physiologiste allemand système nerveux fesseur heidelberg pro
9,10,atlas anne and freud conclut matière vie n'est plus long détour mène l'inorganique l'inorganique faut avouer qu'il point fossé chez freud entre considérations proprement scientifiques conclusion métaphysique certains disciples comme mitscherlich développé psychanalyse sens estimant exemple pulsion agressive peut être sublimée s'agit d'une minorité konrad lorenz d'abord rationaliste point trouver plus beauté explications rationnelles nature transcription mythique ailleurs profondément croyant imbu beauté création bonté créateur pouvait accepter dualisme pessimisme reprochera peut-être comme disait baudelaire niaiserie ceux refusent croire diable faut reconnaître sécurité séduction dégage foi inébranlable raison croire raison comme croit dieu n'est-ce plus beau transfert chez savant l'espece meme ——————— misanthropes disent volontiers l'homme incontestablement plus méchant animaux sens moral rendant contraste bien plus saisissant laissent méchanceté sans explication konrad lorenz tente livre l'agression histoire naturelle origines cette méchanceté humaine coup histoire naturelle sens moral malgré pro- testations semble guère estimer comme propre l'homme conduit remonter espèces dont l'agressi- vité intraspécifique plus forte comme petits poissons corail celles point vue moral semblent mieux préfigurer nôtre réalise véritable sociologie ani- male c'est selon principes darwiniens qu'il explique darwin n'avait expliqué quoi mal est-il bon quelle cette fonction l'in- térêt l'espèce fait combattre congénères comme combattent point animaux d'une autre espèce raisons darwiniennes clas- siques l'intérêt l'espèce plus fort prospère dépens congénères repro10 ntérêt l'esdutse c'est également l'intérêt uise pèce chez société afin d'assumeï plus lorenz dateul incipe contre pré omme loin distingue exemple chez chevalerie innée oiseaux placés prie che agres- erar sommet immédiats suivants sifs envers bles faire régne sfendre plus fal ctice langage slpreun morphique n'abuse point lement d'un rapport still spots stan cheurs choucas éta l'agressivité colonie l'age quoique dirigée médiaire entre bien plus déclenche celle contre celle inoffene décienc donc logique qu'il prenne parti laisse entendre c'est lerie humaine obéit motifs stimulations analogues n'en dépréciée autant comme voulait nietzsche connaissance détruit point sentiment valeurs tout cas protection plus faibles premier effet paradoxal l'agression intraspécifique apparaissait primordial darwin n'est plus aujourd'hui qu'un cas particulier fonction majeure l'agression apparaît comme écologique écologie signifie science l'habitat territoire économique poissons vivant près récifs corail pacifique parmi animaux plus insociables comme mot l'implique uniquement l'égard leurs congénères sauf l'époque frai couples forment défaire bientôt voit jamais fois qu'un ange noir ange bleu beau gregory etc s'ils rencontrent c'est livrer plus âpres luttes territoriales tandis membres différentes espèces s'ignorent totale- ment combativité animaux toujours identique espèces rapidement anéanties princlpe écologique intervient c'est l'agressivité chaque individu proportionnelle distance sépare centre territoire cette agressivité rences assiste-t-on limites forcément floues territoires conrend assurance bientôt retourne poursuivant mécanisme s'achève patrouil long frontière resentes principe rvient parties ressources disponibles animaux d'espèces différentes nourrissant différemment font concurrence l'agressivité n'est cessaire entre principe mode teur manifeste d'une façon bien distincte chez espèces vivant société s'agit d'inhibitions lor rapproche d'une chevalerie humaine désintéressée encore celle ani cable choucas rochefoucaul nietzsche surtout estimaient corrél tives bonté méchanceté homme générosité puissance nuire lorenz observe inhibition l'agression beaucoup plus forte quasiment infaillible saut pathologiques chez espèces plus féroces pourvu qu'elles vivent société c'est ainsi loups n'achè veront jamais congénère rend merci suffit combat plus acharné l'animal dessous détourne arme l'occurrence crocs adversaire présente contraste partie plus vulnérable corps veine carotide vainqueur stoppé net élan gronde fait encore vide mouvement secouer mort l'inhibition invincible s'est d'ail leurs transmise chiens dont combats obéissent cérémonial évident sans loups entretués depuis longtemps cette inhibition salutaire n'existe chez espèces plus pacifiques lorenz enfermé cage deux colombes rieuses sans pen ser mal quand revint put contempler survivante picorant sans répit adversaire d'un mouvement délicat appliqué cet exemple renseigne dangers pacifisme apparent c'est sans moindre difficulté morale civilisation scribes mollement installés dépourvus méchanceté n'aspirant qu'au progrès économique permanence confort s'enclenchent mécanismes provoqueront peut-être guerre nucléaire selon raisonnement lorenz considère c'est parce l'homme omnivore qu'il n'éprouve l'inhibition carnivores dévorer leurs semblables cannibalisme résul terait donc d'un déclin l'instinct chasse l'appel combat s'est transforme declaration d'amour ——— lorenz attire surtout l'attention l'effet inhibiteur détournement l'arme crocs carnivore bec l'of seau car découverte fonction d'un comportement survie l'espèce dispense d'étudier paf quel enchaînement causes former finalisme biologiste résultat observations non
