,page,text
0,1,more ren dore ase hsociéle ess leo res meaeuoreen russe tesmcanadanes mms eee eee
1,2,.mêne parents écoutent mozsrer fiotreque crue 1b.bec 1856 haiaue léo ars ase eur grises rsr not 897 fes itzerland
2,3,hogie monde d'aujourd'hui juillet 1971 etes-vous tolérant docteur jacques-l. arnaud alfred binet naissance tests d'intelligence françoise gauquelin raymond aron professeur collège france sociologue face monde moderne propos recueillis françois châtelet andré akoun jacques mousseau qu'est-ce fait gagner champions psychologie sportif michel gauquelin tests d'intelligence sont-ils conçus intelligence raymond-bernard cattell jeunesse américaine l'amour 000 questionnaires dépouillés ordinateur .-enquête psychology today l'alcoolisme maladie psychosomatique trouble profond personnalité robert cécile dauteuil .marx-contre marx marc paillet comprendre lacan j.-b fages voies pièges psychanalyse eliane amado lévy-valensi parole l'imagination jacques loew halles citoyens jean-louis ferrier informations psychologie prochain numéro vente août 1971 abonner voyez page
3,4,quiz êtes-vous tolérant docteur jacques-laurent arnaüd tolérance maisons cette boutade sans appel attribuée paul claudel révélera certains face cachée poète chrétien cette attitude n'est- finalement peu celle chacun citoyen au-dessus tout reproche cœur nous-même faille ignorée l'in- tolérance psychologue profondeurs celle-ci apparaît comme refus inconscient différent tous pri sonniers tabous por- tent rejeter s'écarte règles clan l'examen l'in- tolérance apparaît comme nui- sance majeure l'histoire l'humanité l'origine guerres persécutions religieuses sociales tester degré tolé- rance établi huit chapi- tres d'enquêtes huit modes cir- constances tolérance peut être mise l'épreuve vie familiale relations couple vie sociale opi- nions politiques conceptions philo- sophiques religieuses morale sexualité rapports internationaux rapports sujet lui-même remplissez honnêtement questionnaire saurez la-fin petit jeu psychologique quel degré tolérance d'intolérance situez rapports parents-enfants pensez-vous vouvoiement en- tre parents enfants trouve cela très faitement périmé question strictement in- dividuelle fonction d'une édu- cation traditions familiales ... n'est très important oui enfants non parents parents enfants doivent tu- toyer d'ailleurs enfants appelons prénoms trouve cela beau- coup mieux ———— pensez-vous snob parparents dôivent cxetcer autorité leurs enfants autorité certes largeïnent tempérée d'affection façon l'autorité doit s'asgor fur mesure enfants grandissent c'est l'évidence c'est parents oui iais -auto dire contrainte parents n'ont aucun droit enfants faut jai développer devoir rité veut etes-vous partisan laisser jeunes gens sortir d'accord laisser sortir jeunes jusqu certaine heure systématiquement êtres libres enfanis doivent sortir comme l'entelr dent sorties forment jeunesse j'ai suffisamment vissé maison laisser plus liberté enfants non certainement cela peut entraîner troubles santé mauvais résultats sco rés mariages hâtifs etes-vous partisan donné argent poche enfants en- donne l'argent ants plutôt risquer s'en procurent discutables peu d'argent poche âge céssaire partir certain condition mériter n'ai jamais d'argent poche m'en parfaite passé subviens pesoir jlle- enfants quand t'avais tont gagneront argent poche atgent d'importal aut jeunesse passe
4,5,rte cheveux longs fils guerre merveilleux symbole s'ils question mode cho- einstein aussi porî bent longs gelations couple récentes modifipensé apportées mariage civil régime matrimonial donea pis d'indépendance l'épouse mesures trop timides trop peu top tard toute façon contrainte êtres libres n'ont nul besoin enchaîner contrat dangereux glissement vers l'anarchie désunions familiales progrès répondait besoin d'équité trouvez-vous naturel femme subvienne largement besoins ménage voire assure plus large part revenus non mari demeure chef famille doit seul subvenir besoins ménage l'homme femme égaux oui travail femme met danger l'équilibre couple jui laisse suffisamment temps consacrer mari enfants femme souvent supérieure l'homme gagne rien mesurer plan travail mari femme doiventmêmes goûts absolument oui l'ensemble dif- férences peuvent efficacement pré- venir certaine monotonie impératif mariage respect total réciproque goûts sentiments l'autre contraires attirent peut avoir finalement bonne en- tente qu'entre sujets complète- ment différents avoir ——————— lorsqu'un couple doit voter discussion doit être ouverte après confrontation points vue cas désaccord chacun doit voter selon propre choix chacun vote comme bon semble .et possible femme contre mari vice versa domaine réservé nul droit influencer autre doit être façon relations sociales l'amitié est-elle sentiment exclusif entre deux personnes peutelle s'étendre autres -sentiments doivent entourer barbelés j'admets parfaitement amis d'autres tiens être premier rang âmitié rends l'amitié comporte tiers amis amis amis faut rétrécir cercle déroule très tard chez voisins quelle voire réaction téléphonez police patientez condition cela dure toute nuit reproduise tous -cognez mur phonez rappeler plus discrétion invit finir joyeusemen élange contre mélang etes-vorê ciales clubs crances cercles culturels réunions chez soirée ressante faut comprendre réunion bruyante animée .se automobiliste saute place prépariez garer pensez-vous c'est muile peut-être plus pressé .moi c'est peut-être médecin c'est donner beaucoup mal grand-chose meilleur gagne etes-vous contre peine mort certains crimes certains cas c'est seule forme dissuasion dont dispose société contre statistiques témoignent complète inefficacité contre c'est trädition barbare odieuse projet loi déposé devant parlement autoriser certains cas avortement estimez-vous c'est légalisation d'un crime cas prévus viol malformations inévitables ... limités plaident faveur projet quand légalisé pilule .…. décision appartient couple plus encore mère conceptions philosophiques religieuses pensez-vous massacre saint-barthélemy faute entache religion romaine enchaînement regrettable méditer symbole l'intolérance comprend contexte politique époque
5,6,nsez-vous qu'au sein dun groupe d'une famille couple puisse pratiquer gions différentes conception philosophiques religieuses différentes compatibles d'excellentes relations représentent certain handicap qu'il faut dissimuler conceptions religieuses d'ordre strictement intime elles peuvent doivent aucune façon interférer relations humaines relations normales conceptions religieuses diffèrent religion l'opium peuple —————— pensez-vous luther apôtre vérité dangereux illuminé brisé l'unité l'eglise contestataire estimable contestataire dépassé l'euthanasie sans justification inexcusable devrait être autorisée loi condamnable principe peut comporter circonstances extrêmement atténuantes ést licite certains cas exemple épargner souffrances inutiles 20° nouvelle loi vient autorisér divorce italie sous certaines conditions selon est-ce solution certaines situa-tions impossibles premier souhaitable vers séparation -de l'eglise l'etat solution rétrograde sans portée réelle l'ensemble population régression valeurs rales morale sexualité etes-vous partisan relations préconjugales telles prête pays nordiques plus raisonnable connaître avant mariage plutôt découvrir incompatibles après qu'une anticipation vois d'obstacle non c'est attentat scandaleux contre mariage mariage formalité bourgeoise supprimer toute urgence comment jugez-vou échange parten l'écrasem etes-vous pression swapping aires sexuels ent tabous forme contestation distraction gens fatigués dégoûtant dégradant blasés our contre suptoutes limites matière pornographie absolument contre agit d'une entreprise pourrissement d'ailleurs motivée l'appât gain certaine liberté condition qu'elle concerne adultes statistiques font état d'un recul délinquance sexuelle pays toutes bar- rières levées c'est exact cette matière comme autres liberté totale plus liberté var l'homosexualité perversion loi réaction contre matriarcat impossibl choses-là juger avant tout endocrinolo tre sens ondamnée maladie relève alcoolisme demeure principales mortalité maladies mentales pensez cest tare sociale extirper tous ail cest maladie contre nuisances refuge derne qu'il faut criner mo- monogamie sue psychia. l'individu sublime mourir ——— pensez-vous mariage cessairement mmmoonogame peut évoluer l'avenir qu'il agit conception sonnelle veux juger monotonie fait sociologique l'on rête progrès monogamie aboutisse ment sociétés civilisées suppression signifie retour barbarie jour ... fait monogamie plus plus battue brèche droit comment pensez-vous l'on doive aborder problème drogue chasser trafiquants soigner intoxiqués interdiction absolue extrêmement sévère libre consommation drogue faire différence entre drogues majeures excitants légers comme haschich répression opinions politiques avez-vous opinions politiques tranchées oui toutes .opinions bonnes leurs applications diffèrent fais politique n'ai àucune opinion ——— pouvoir seriez-vots susceptible d'interdire sieurs partis politiques aucun cas oui parti mettait hors loi toutes opinions téspé tables faut fair martyrs certainement pensez-vous hommes politi ques changent d'opinion girouettes exclu vie publique opinions peuvent var fonction âge cire fances faut tou far trop fréquent sympathie courage eurs qions successives chars imbéciles gent
6,7,operation ssion rogue itants tiques onnes difadherer comite frangais unicei nouréir éduquer soigner millions d'enfants fhans monde comité ci-joint chèque mandat montant veuillez m'envoyer carte d'adhérent
7,8,pensez-vous qu'un pouvoir central nécessité pays contre toute forme domination brime l'individu oui s'il émane peuple s'il reflète volonté populaire oui tempéré très grande souplesse institutions séparation pouvoirs certainement vient célébrer 100° anniversaire commune pensezvous c'était tentative subversive bien fait réprimer c'était tentative courageuse maladroite doit respecter l'idéal animait promoteurs répression mesure fautes commises thiers galliffet répri- commune fas- cistes relations internationales pensez-vous l'on doive poursuivre supprimer l'on appelé politique blocs faut évoluer vers dégêl pro- gressif supprimant effets sup- primera causes nécessité inévitable faut supprimer tous blocs pensez-vous o.n.u so- lution d'avenir paix internationale faut supprimer o.n.u toutes barrières entre nations faut tous moyens consolider o.n.u tendre vers gouvernement mondial l'action u.n.u. bien limitée utile c'est assemb reurs coûte cher jamais aucune autorité lée discour n'aura ide paÿs sous- 35. pensez-vous développés gaspillage sca daleux souhaitable mal répartie œuvre justice d'équité paiement d'une dette pensez-vous conflit opposé pays consommateurs pays producteurs pétrole producteurs raison valoriser leurs richesses consommateurs s'organiser chantage scandaleux pays producteurs raison 100 c'est formule raisonnable d'aide pays sous-développés pensez-vous étrangers utiles mesure déséquilibrent démographie heureuse préfiguration d'une société internationale tout monde doit être citoyen monde charge menace pays hôte travailleurs rapports intra-personnels considérez-vous loisirs comme perte temps comme facteur d'équilibre vie comme stimulant ac- tion comme seul but travail vail doivent être try plutôt souples réguliers mai sans tigueur pensez-vous horai stricts faut supprimer jes pendules etes-vous partisan d'un mentaire régime bien adapté teur longévité chacun établit instinct pre régime seul régime n'en avoir régime souhaitable s'il indications médicales pensez-vous l'argent bas l'argent bon serviteur mauvais maître utile premier plan l'existence moteur société régime pensez-vous système fiscal actuel faut réformer d'urgence juste ensemble toutes fiscalités d'arbitraire tend vers plus d'équité toute façon paie d'impôts trouvez billet 100 rue pensez-vous porte commissarl faut supprimer billets banque l'ai trouvé anonyme j'en feral œuvre connaître résultats oyez page trop
8,9,reneur uées chercheur iclées françoise gauquelin gti 'américain goddard écrivait pès j'aifred binet échelle propos l'intelligence jour métrique ortance théorie darwin loi d'hérédité del l'avenir donné raimonte science tests psytologiques actuelle toutes connais l'intelligence humaine échelle métrique comme point départ nom binet constamment cité relation pst reste œuvre variée personnalité originale peaucoup moins connus alfred binet figure fois attachante quelque peu énigmatique enlevé prémeturément force l'âge maladie non identifiée pourait bien avoir rançon d'un travail acharné l'auteur d'un nombre considérable livres d'articles aussi d'initiatives multiples qu'on toujours réussi saisir l'unité pourtant très réelle inspiration bien qu'il n'ait jamais -accédé chaire magistrale exercé inluence non seulement domaine stientifique aussi celui hstitutions scolaires venu stiences naturelles psychologie sen tenu cette science il'étude phénomènes élémentaires ons hésité aborder celle i0ns supérieures l'esprit auteur temps qu'homme fra croire d'une intelligence nême rigoureuse utilisé élérente maîtrise méthodes très étend ... enfin curiosité s'est tue domaines plus -divers celui comme celui gsychologie réaction plus facultés intellectuelles omplexes eleve charcot comme freud alfred 1857 binet nice juillet limide enfant doux peu pèr vec visage fille choyé mère révèle journal tenu îlles eleine binet l'aînée heég 407 élève suit cours trop puis aborde sciences p'ofo vers lesquelles penchant dre l'entraîne laboracopa professeur d'embryoha pur france prépare système nerveux temps commence groit nice passe licence alfred bien naissance tests d'intelligence ete litres lit études médecine sionne séances cliniques charcot traitant l'hystérie altérations personnalité salpêtrière épouse fille directeur thèse laure balbiani dont deux filles alice madejeine renonce terminer études médecine entreprises accepter 1889 seconder professeur beaunis créateur pren laboratoire psychologie bonne binet devient lui-même directeur après avoir soutenu thèse docteur sciences dès cette époque pre ion écrite considérable régu ère côté travaux d'histologie mique physiologique nécessite thèse voyons aborder domaines d'étude plus lus souvent collabora vec h'autres chercheurs deviennen îles docteurs féré publie études l'hypdelbœuf notisme 1886 paraît sous plume psychologie raisonnement publiée alcan 1888 etudes psychologie expérimentale publiées chez doiïin 1890 apparaissent premières études faites enfants études mouvement perception 1892 s'intéresse calculateur prodige jacques inaudi problèmes d'audition 1893 mémoire exceptionnelle grands joueurs d'échecs 1894 psychologie prestidigitation celle auteurs dramatiques passy fait enquêtes caractère mémoire suggestibilité chez enfants henri rien concerne l'être humain laisse indifférent partout trouve matière observation possible expérimentation s'il aborde psychologie d'abord naturaliste mesure sensations temps réaction conformément méthodes premier laboratoire psychologie expérimentale créé allemagne fechner wundt3 aussi attiré psychologie clinique charcot salpêtrière aborde métaphysique l'ame corps ouvrage cherche réconcilier deux concepts opposés mieux encore expérience malades mentaux goût théâtre l'amènent collaborer auteur dramatique andré lorde spécialisé drames sanglants joués grand guignol pose lui-même problème l'aliénation malades mentaux l'homme mystérieux pièce 1910 plus vingtcinq représentations théâtre sarah bernhardt passion travail jusqu l'epuisement grand d'allure simple distinguée regard fin très vif alfred binet recevait volontiers amis maison meudon loin bruits ville dimanches animés ————— husson préface thèse avan- zini alfred binet pédagogie scientifique librairie philosophique vrin paris 1969 binet contribution l'étude svs- nerveux sous-intesti thèse médecine paris 1894 insectes gustav fechner 1801-1887 wilhelm wundt 1832-1920 pionni pionniers l'in- troduction mesures chiffrées psycholo- gie fondant premier laboratoire psychologie expérimentale dégagèrent péychologie spéculation philosophique jusque-là stipa jusq scul moyen d'in
9,10,-train manifestait dès milieu sympathique caractère boute-en fille madeleine écrit jui gai aimant instruire récits pleins d'images charmantes d'une telle fantaisie tous récits autres siens entendus depuis apparus toujours fades pauvres meurs d'imagination disait-il parfois riant petites-filles georgette géraldine binet disaient tout récemment l'esprit moqueur facilement ironique. vision choses vivante colorée crois s'il revivait deviendrait metteur scène cet aspect détendu séduisant personnalité -cédait devant l'homme laboratoire qu'il.était avant tout s'il aimait plaisanteries farces innocentes révélaient peut-être .origines italiennes vé-nérait profondément travail l'encourageait ardemment avouait-êtré sans mérite travail pousse travail m'entraîne.… c'est mälgré fait travailler passion père subissait passion travail subie jusqu limite extrême forces -avait connaissance valeur pouvait supporter bavardages inutiles s'irritait moments perdus sévère parfois violent jamaisil .subpor tait d'être matin distrait travail chaque jour huit heures- midi enfermé cäbinet surchargé livres manuscrits courait petite écriture ronde nette interdisait toute interruption intempestive heures d'or avait-il coutume dire respections religieusement l'après-midi rendait jabo- ratoire sorbonne hôpitaux écoles accumuler observations base écrits formaient souci fait exact car importait avant tout c'était recueillir faits tience scrupuleuse inlassable mémoire prodigieuse grande intelligence faisait apercevoir rapidement l'essentiel problèmes abordés cependant crayon main cessait noter leurs moindres détails toutes observations qu'il fai salt rien laisser échapper ues connais guêre dérience pro collaj minutieux orateur plus intime méodo plus borne per attendre éadire qu'il ver expérimente pro nqénie reproduire voquer réactions directrice celle vérifier sition qu'il faite donc ans cas présent celle s'assurer épreuve traduit bien différenc éclate ailleurs entre sujets diés ….l n'apporte moins gin géniosité utiliser informations confronte toutes marnières possibles voit sans cesse essayer tâtonner comme quelqu fait puzzle puzzle consistant reproduire l'aide quelques élé ments choisis hiérarchie corresponde l'écart senti entre indi-vidus enfin n'était sans avoir remarqué d'esprit travaille jamais tant qu'au contact d'un -autre esprit qu'il reçoit outre sorte d'excitation mouvements certes bousculent parfois dont profite sorte qu'il essayait toujours d'autres cours promenades familières constructions explications auxquelles ävait abouti alfred binèt quelque désir d'une carrière professorale plus officielle situation directeur laboratoire candidat chaire janet peu nälvement faisant .pour obtenir rien qu'il fallu pensant qu'un travail honnête ininterrompu uün titre suffisant d'ailleurs homme laboratoire plutôt professeur demannn joe pan gstion d'un cours régulier perdu science mesurer l'intelligence pretention choquante fin 1898 imon pris connaiss premiers travaux binet lorsqu diait médecine paris écrit our proposer observations arriérés colonie perray-vaucl seine interne théodore dijon juillet 1873 ans alfred binet entre deux hommes s'établit vite solide amitié base d'une col'aboration étroite durers jusqu mort binet 191 ere au-delà car théodore simos tee tera représentants teurs plus efficaces inuer ane lebuvre binet fondée caractère goûts don souci d'objectivité aise rimental infassable patience d'une pointe malice tous utilisate métrique l'intellige théodore urs l'échelle nce qu'ils sujet qu'ils face d'eux pédagogues époque d'accumi créée leurs deux noms rables comment mesure d'une grande objects époque rien n'avait ave encore domaine fait pendant longtemps alors méthode déjà répandu tous continents d'innombrables secteurs êtré chologie prétention psy l'intelligence paraissait choquante 1923 exemple lucie bon interne simon voit camarag élèves psychiatres s'en jausser chement cependant note catalugue œuvres écrites méthode anglais comporte défà cette époque 128 pages pons simon devant scepticisme d'une grande simplicité n'es sayait -convaincre argue mentations abstraites distribuait feuilles d'interrogatoire existent toujours actuellement présents tion quelques explications .les accompagnent claires condition prendre sérieux directives toute personne consciencieuse peut s'en servir s'as ssurer ainsi personnellement lew bien-fondé seule exigence procédé mesure objective demande part l'expérimentateur attitude objective aussi c'est-à-dire neutre c'est exigence tous n'ar rivent comprendre trop habitués beaucoup pédagogues intervenir insuffler savoir neutralité l'expérimentateur pourtant exigence capitale psychologie pédagogie comme ailleurs représente seul moyen apprendre connaître l'autre l'individu qu'on face soi nécessaire connaître encore enfant avant vouloir juger binet reprochait vivement mmmo00 dounun ler théories sans connaître ceux auxquels théories destinées madeleine binet souvenirs alfreg inet bulletin société alfred bit théodore simon 503 avril 1968. binet ouvrage cité simon alrred binet bullelin société alfred binet 365. gapierre janet né.à paris 1859 mort édec s'éeé- philosophie docteur seine professèur sorbonne collège france l'un pre péychologues mettre l'accent enane l'unité psychisme ensemb jee mentale s'intègrent simon souvenirs alfred biés mare 1841 socié ajjred binet inetr c'est reprendra après alfred cinquante ans plus tard aleré pons rofessionnellei l'esprit recherche orme vait continuer animer alfred société libre dence leux noms fred binet théodore sie red dore simon aten 162
