,page,text
0,1,fscholoque lecole ... mensuel/difeusioninimippa ques lof lue amaië
1,2,voici gaule celtique gaule romaine gaule chrétienne royaume france france des-cathédrales france guerre cent ans france renaissance france guerres religion france louis xiv ='la france lumières france révolution ltalie s.r.l ifrance l'culture ant loisirs libraire via carlo capelli rue louls-le-grand torino pad l'histoire def das cee bat late lens ase net trônera bibl othèquets rim servira toui lesieugee 1986 ——————— ffance napoléon ffance bourgeoïsre france napoléon france irt° république france grande guerre france l'entre-deux-guerres france combattante france ive république france actuelle —————— suisse belgique compagnia editoriale culture art loisirs académic livre rue palais-st-jacques 1009 pully danse ere mel demandez l'ecevoir bon ndif renvoyer cal env champs-élysées oyez-moi examen gratuit paris urs volume révolution prix toit pourrai l'acquérir ivre note port m'inscrire convient pa5 tour collection recevr cadre cette rai lei men due région volume tous deux sans rien rie glerai seulement réception sans vus livraisons qua libre fier d'interrom voudrai simple lettre nom prénom collection
2,3,dsychoiouie comprendre savoir agir septembre 1971 quiz mois connaissez-vous freud claude bonnafont chercheur idées jean-martin charcot débuts psychiatrie moderne henri lucioni jean-pierre coudray époque français étrangers comprendre montée xénophobie nicole bernheim entretien peter khuzmich anokhin travaux d'un ancien assistant pavlov michael sheila cole psychologie expérimentale science peut-elle comprendre beauté pourquoi aime-t-on qu'on aime jean chaguiboîf enfance adolescence quatre ans violon sans larmes suzuki révolutionné l'enseignement musique n.h. pronko université nouvelle psychologue scolaire service l'écolier l'école annick avier l'inconscient psychanalyse laboratoire psychanalyse peut-elle être vérifiée expérimentalement warren boroson librairie créativité sciences humaines astruc psychanalyse l'humour-érotique legman loi naturelle ardrey who who psychologie cinéma souffle court jacques loew arts l'imiagination c'est nôtre liberté jean-louis ferrier echos informations prochain numéro paraîtra octobre 1971
3,4,netre quiz connaissez-vous freud claude bonnafont partir numéro fai- sons varier formule quiz traditionnellement ouvre cha- -numéro psychologie jeu borne plus question connaissez-vous vous-même s'étend do- maine connaissez connaissan- sous forme amusante offrons occasion vérifier savoir tel tel domaine sciences humaines voire étendre effet s'il peut être intéressant noter cha- cune réponses cal- culer total bons mau- vais points importe surtout reporter bonnes répon- fin numéro apporteront nombreuses infor- mations cette rubrique présente fois comme jeu article article conçu peu selon méthodes modernes enseignement programmé souhaitons cette nouvelle initiative psychologie plaise enrichisse etudes hystérie écrites ubliées collaboration per freud bernheim breuer janet jung rank jones ———— trois rêves lequel premier entièrement analysé freud réunion table d'hôte non vixit l'injection faite irma wilhelm fliess ami confident freud oto-rhino-laryngologiste psychiatre neurologue interprétation rêve publiée premier congrès international psychanalyse tint vienne zurich salzbourg
4,5,cinq psycha- iros uels traités freud réateur société psyc chanalyse libre stekel jung adler premier enfant traité psychanalyse dora petit hans arpàd petit homme-coq —————— quelle période situe autoanalyse freud entre 1889 1891 entre 1890 1894 entre 1896 1900 quelles trois instances l'appareil psychique finalement retenues freud inconscient subconscient surmoi préconscient ——— trois ouvrages lequel sté sigmund freud traumatisme nais- sance june névrose démoniaque vif siècle psychanalyse enfants toonde analyse homme menée macalpine rap horney mack brunswick dernis litule mère œuvre freud s'in mois psychanalyse mar monothéisme aise civilisation ————— quel peintre fascina freud point qu'il entreprit l'étude psychanalytique œuvre léonard vinci botticelli albert dürer 284 lettres freud fliess sauvées grâce ernest jones anna freud marie bonaparte cinq conférences freud clark university lieu 1909 l'autre invité officiel stanley hall accompagna freud breuer ferenczi jung fondateur revue imago jones rank sachs rupture june intervint 1907 1910 1914 définitive entre freud parmi ouvrages freud lesquels abordent directement thème psychologie religieuse au-delà principe plaisir totem tabou moïse monothéisme considérations actuelles guerre mort l'avenir d'une illusion premier article consacré france psychanalyse rédigé morichau-beauchant romain rolland andré breton freud attribue-t-il théorie complexes bleuler eitington jung collaborateur dont freud écrit vaut seul toute société ferenczi stekel brill l'auteur qu'il désigne nom poète psychanalyse anaïs nin lou andreas-salomé marie bonaparte comment s'appelait fiancée freud martha bernays minna bernays gisela fluss jung parlé l'événement plus important vie s'agit rencontre freud l'édification tour bollingen voyage chez indiens pueblos clinique thérapeutique infan- tile hampstead londres fondée hélène deutsch mélanie klein anna freu
5,6,terme emprunté freud groddeck havelock-ellis charcot das ————————— çours six années virent parution l'interprétation rêve l'éditeur freud vendit 350 exemplaires 500 exemplaires j1000 exemplaires quels trois points vue caractérisent métapsychologie dynamique génétique dialectique économique topique l'association internationale psychanalyse premier président jung adler stekel 34. première société psychana- jyse groupée autour freud s'appelait société psychologique viennéi amis sigmund freud société psychologique mer- credi devint société psychanalytique vienne 1905 1908 1914 terme sadisme proposé bleuler krafft-ebing havelock ellis premier psychanalyste lui-même soumis analyse didactique pratiquée freud erik erikson otto fénichel rené spitz restituez chaqu ple d'opposés lisé jung klein freud auteur cou conçu utilo eros thanatos animus anima bon sein mauvais sein dires mémes freud quel ordre aspirations jeunesse religieux scientifique philosophique sigmund freud mort 1939 budapest vienne londres —————— règle fondamentale cure psychanalytique consiste révéler tout passe l'esprit pendant séance retrouver intégralement l'his- toire enfance analyser tous rêves indiquez quel ordre succè dent trois ssais thé rie sexualité sexualité infantile transformati ations puber aberrations sexuelles mportant concept libido désigne chez freud l'occasion ann freud écrivain dust hommage freud nal berlinois s'agit robert musil stéfan zweig thomas mann psychopathologie vie quotidienne débute l'étude lapsus erreurs d'écriture l'oubli noms propres terme narcissisme créé départ expliquer fixation régression libido expliquer l'auto-érotisme rendre compte choix d'objet chez homosexuels texte freud pourquoi guerre écrit bergson breton einstein quel chapitre totem tabou trouve exposée théorie meurtre père peur l'inceste animisme magie toute-puissance idées retour infantile totémisme tabou ambivalence sentiments quelle après freud voie royale mène l'inconscient l'acte manqué rêve l'expérience associations quel écrivain russe freud ail consacré essai tolstoï gogol dostoïevsky l'énergie psychique général l'élan vital energie sexuelle connaître résultats voyez page
6,7,nouvelle rois cuvo giseur génie tout finit s'arranger début billet d'avion donnait tout juste droit d'être transporté d'un point autre depuis beaucoup d'air passé sous ailes depuis pan tour tour servi premier repas chaud vol réalisé première liaison transatlantique tégulière jet 707 fait voler premiers 747.ne étonnez donc pos pan encore ünce cette nouvelle charte voyageur aérien qu'il élibataire marié prix simple billet jonnées service fait plus compagnie aérienne sxpérimentée monde.celle faire toujours fait continue plus passagers vol plus varié pro marines variétés plus pare mmes musicaux habituels xclu propose ensemble distractions musique spécialement enregistrée post qsronimo deux grands endormir un£ sélection musique douce l'écouter nouveaux écouteurs merveilleusement souples légers meilleurs lits monde prenant voire billet pouvez demander qu'on réserve gra cieusement champ désirez chambre hôtel chacune étapes voiture correspondances autres compagnies billet clé résidence etats-unis ... ailleurs car pan mesure mettre rapport bourse centrale d'échange rés dences économiserez gentetvivrez chez l'étranger remier compartiment tout intérieur ort.pourbagages meurs pan am747 ages voyagent désormais ous compartiments séparés bien abri chocs empilages encore exclusivité pan voyage connaissez voire adresse pan donne courrier seule adresse toujours ville ville bureau pan plus 930 bureaux pan monde quoi encourager amis écrire léger supplément exlgé règlements lata pan compagnie aérienne plus expérimentée monde paris tél 225.92.00 nice tél 88.99.11 -lyon tél 42.62.02
7,8,collaborateurs publient bras font connaître destins d'hommes inséparables lieux lesquels monde entier résultats déroulés celui jean-martin observations sclérose plaques charcot paraît être tout entier inscrit décrite arthropathies tabétiquess l'enceinte sévère salpêtrière fois celui d'un patron d'une école d'une institution marquèrent reflétèrent tel point idées temps l'on peut toujours parvenir faire opinion précise véritable moteur cette aventure nul contestera génie l'audace hommes artisans parfois leurs outrances leurs naïvetés l'épopée salpêtrièrer l'une étapes plus importantes l'histoire médecine mentale lorsque 1862 charcot devint médecin salpêtrière semblait condamner devoir consacrer vie soigner pneumonies 000 vieilles femmes aliénés lointain dépôt l'universitaire appelé brillant avenir qu'il cette nomination pouvait apparaître comme disgrâce tout moins voie garage pourtant charcot délibérément choisie donc cet homme arthropathies charcot déco vertes sclérose latérale amyotronh maladie charcot isolée précise distributions cutanées nerfs périphériques zones charcot localisations médullaires décrit nouvelles particularités anatomiques artère charcot etc petites salles service déjà insuf fisantes accueillir foule diteurs étrangers cours charcot maladies nerveuses 1882 charcot titulaire -première chaire mondiale neurologie créera gambetta quelques années parisien conquis monde c'est monde venu débuts psychiatrie moderne eleve deviendra celebre freud freud fréquente salpêtrière pendant dix-sept semaines 1885-1886 alors maître l'apogée choisit poste gloire donne correspondance dont personne voulait d'intéressants témoignages l'homme vie charcot s'inscrit aussi comme élève salpêtrière périmètre géographiquement début perdu parmi tous élèves accourus l'étranger jadis brillants aliénistes baillarger restreint naît novembre 1825 numéro rue faubourgpoissonnière famille modeste l'abri besoin quelques centaines mètres séparent lycée bonaparte fait études secondaires faculté médecine poursuivra carrière hospitalouniversitaire brillante classique interne 1848 chef clinique médécin hôpitaux paris agrégé publie nombreux travaux médecine générale -et consacre thèse.au rhumatisme chronique assez piquant songer lorsque destin frappera porte j.m charcot- n'aura beaucoup chemin faire trouver l'aventure gloire mondiale fils commandant charcot1 médecin aussi ira chercher pôles c'était écrit courchet 18622 situé faubourg saint-marcel paris immense hospice vieillesse petite ville ville riche d'une longue histoire l'on respire l'ignore cours rues pourtant peu connue peu courue monde médical parisien falret3 fait résonner nom jeune psychiatrie parle donc aliénistes jeunes médecins hôpitaux évitaient faire nommer poste générale charcot cela dis- poser d'un matériel considérable comprend 000 vieilles charcot d'un prodigi transforme choses sonne fait autopsies ensuite éder termine coordonne codifie neurologie méthode clinique laennec malades annexés labo d'anatomie d'otologie d'oculistique d'électrologie pno tout suite impressionné professeur rôle pro fesseur charcot parfaitement sé- duisant chacune leçons conception composition petit chef-d'œuvre style parfait phases impressionnaient l'auditoire médecin aussi imposer style personne façon d'aborder malade chaud vif intérêt bien différente sereine superficialité laque médecins viennois habitué jean charcot 1867-1936 médecin l'origine nombreuses expéditions jres océanographiques régions fer mourut mer pourquoi-pas ourchet janet salpétrière evolution psychiatrique 1950 iii fgppaillargét 1809-1890 j-p. falret contribuèrent l'édification psychiatrique polémique dépres posa sujet psychose maniaco lve demeurée célèbre successivement anatomie étude orme position organes trie l'oreille maladies étude troubles made °ulistique troubles malades tric électrologie étude courant iques lesions moelle épinière denses ren avertes descriptions utés indisc neurologie modernes rents charto
8,9,homme taille éle ans coiffé d'un hautje jyec yeux sombres tonnamment doux longs regal rejetés derrière oreilles chevé physionomie très exprespien r25é lèvres très charnues rêtre laïc dont perçoit intelligence paraît mener bonne vie. crois train aucoup confie freud char+ fois l'un plus grands homme dont bon sens quelque chose génial boueverse simplement sentiments pes desseins sos souvent l'une dame ... freud paris c'est qurtout parce charcot s'était attaqué problèmes l'hystérie l'hypnose cat hasard met face l'hysterie pierre marie l'un élèves charcot raconté quelles conditions charcot amené s'occuper hystériques 1871 hasard fit salpêtrière bâtiment saintelaure trouva tel état vétusté l'administration hospitalière dut faire évacuer c'est trouvaient hospitalisés pêle-mêle aliénés épileptiques hystériques l'administration profita l'évacuation bâtiment séparer enfin d'avec aliénés épileptiques non aliénés hystéries comme cès deux catégories con malades présentaient crises pes sives trouva logique spé créer quartier énilenti sous nom quartier ancte ques charcot alors plus pêtris deux médecins salautomat nouveau service ivolontan een confié c'est ainsi airement force peine charcot trouva plongé ystérie l'ypnos alors l'hystérie sug charcot lier comme grec l'étymologie l'hystérie tiquité era utérus depuis anont sonsidérée comme maladie aeiure sexuelle n'était sectacul oute devant contorsions cris aires malade pendant cine caractérise médelunes récommandaient donc veuves marier sous onvoler nouveau sustinienre ueñce conceptions auit liant plaisir péché nte manifestations hystériques mite c'vention malin aussi milllers victimes chasse nomb rcières saurait chiffrer büch d'hystériques montèrent l'opinion médicale tenté ré- sister conception démoniaque l'hystérie c'est seulement xix° siècle s'affirma progressivement contre croyances magiques maladie-possession maladie-péché conception laïque objective tenants d'une explication organique l'hystérie griesinger partisans origine psychologique pinel s'affrontèrent bataille interminable autre courant recherches d'idées développait parallèlement celui magnétisme aussi désordre d'extravagances organicistes s'opposaient psychologistes mesmer successeurs voulaient faire magnétisme conséquence l'action d'un fluide l'abbé faria disciples voyaient suggestion braid 1843 invente mot d'hypnotisme ouvre étude positive l'hypnose reste entourée d'un halo mystère auprès grand public revêt epparence magique exerçant fois effet d'attraction crainte l'hystérie aussi demeure l'opinion l'expression maudite fureur érotique charcot aborde l'étude phénomènes circonspection refusant cet héritage moins suspect s'efforcer d'appliquer méthodes auxquelles devait découvertes antérieures l'étude attentive symptomatologie délimitation précise tableau clinique détermination objective nature maladie mit l'ordre sujet confus premier souci bien distinguer hystériques épileptiques parmi convulsionnaires dont pris responsabilité voyais écrirat-il confusion l'impuissance laquelle j'étais uit causait certaine irritation jorsqu'un jour sorte d'intuition dis c'est toujours alors j'en conclus qu'il chose sorte maladie particulière l'hysteria major commençant oïde diffère peu sri épilepsie véritable attaque qu'or maladie hystéro-éplleptique bien qu'elle n'ait rien épilepsie l'épilepsi c'est cet esprit qu'il décrit crise caractéristique grande hystérie leçon iñaugurale 1826 béra piel l'hystérie jibérateur morale contraire esii 1817:1878 ouvre griesinger tie oge l'hystérie toutes maladies mentales maladie cer sétoire magnétisme et- gette complex davantage école notisme débouriaiée plus détail ancyy bernheim prochain arte rérie textes choisis bpm charcot ifat privat éd. 1971 présentés pourfapprendrelalvraiment stupéfiants tellement rapides nouvelle méthode plus facile plus efficace 014 connaitre l'anglais n'est déchif frer lentement quelques lignes d'un texte écrit connaitre l'anglais c'est comprendre instantanément dit pouvoir répondre immédiatement anglais méthode réflexe-orale conçue-pour arriver résultat non-seulement donne-de solides connaissances anglais surtout amène infailliblement parler cette méthode progressive commence des.lecons très faciles amène peu peu-à niveau supérieur sans avoir jamais quoi apprendre cœur artiverez comprendre rapidement conversation radio encore journaux peu peu commencerez penser anglais parler naturellement tous ceux l'ont essayée avis méthode réflexeorale amène parler anglais délai record convient aussi bien débutants n'ont jamais fait d'anglais-qu ceux pris mauvais départ ressentent lasnécessité rafraîchir leurs connaissances d'arriver bien parler résultats tels ceux suivi cette méthode.pendant quelques mois semblent avoir étudié pendant années avoir séjourné longtemps angleterre la-méthoderéflexe.orale conçue spécialement être étudiée correspondance pouvez donc apprendre l'anglais chez heures liberté habitiez quelles occupations consacrant minutes jour cette étude passionnera commencerez débrouiller mois lorsque terminé cours trois mois plus tard parlerez remarquablement spécialistes l'enseignement stupéfaits voir quel point élèves parlent-avec accent impeccable commencez dès possible apprendre l'anglais méthode réflexe-oräle rien peut rapporter autant un-si petit effort monde d'aujourd'hui passer de-l'anglais priver d'un atout essentiel réussite demandez passionnante brochure offerte ci-dessous faites-le tout suite car actuellement pouvez bénéficier d'un avantage supplémentaire-exceptionnel gratuit bon recopier ren- voyer service centre d'etudes avenue mallarmé paris 17° veuillez m'envoyer sans aucun engagemenit brochure comment réussir parler anglais donnant tous détails méthode l'avantage dont peux bénéficier pays hors d'europe joindre coupons-réponse coecepceeleeceeeceree sente peste eoee etes neeteeeesetts celeee eee per pecereeeeecoeepeeseeeenee eee eesenecete eete eee
9,10,carcot nxs donne cette description résumée quatre périodes succèdent l'attaque complète régularité d'un mécanisme période épileptoide période grands mouvements contradictoires illogiques période attitudes passionnelles logiques délire terminal rien n'est laissé hasard tout passe contraire selon règles toujours mêmes communes pratique ville celle l'hôpital valables tous pays toutes races conséquent simulation dont parle tant quand agit d'hystérie n'est tout prendre l'état actuel connaissances qu'un épouvantail devant lequel s'arrêteront seuls timides novices nombreux auteurs étrangers provinciaux faisaient remarquer chez choses passaient pourtant ainsi charcot veut rien entendre cela voit angleterre dit l'un cela dit autre voit allemagne moment fait existe paris fort croire qu'il produit ailleurs ajoute sarcastique semble l'hystéro-épilepsie n'existe qu'en france pourrais dire dit parfois salpêtrière vraiment chose merveilleuse puisse ainsi créer maladies gré caprice fantaisie. telle pourtant verrons partie vérité malgré bon sens charcot n'avait domaines qu'il abordait l'objet variait conditions l'observation maladie systeme nerveux cette hystérie charcot considère comme maladie système nerveux doctrinaire laisse place clinicien anatomiste charcot s'attache recherche lésions neurologiques spécifiques travers symptômes permanents l'on pouvait observer chez malades présentant telles crises stigmates derniers manquaient contractions paralysies rétrécissement champ visuel zones d'anesthésie cutanée etc pouvaient exis- ter dehors toute crise connais- sance charcot manifes- tations motrices sensitives lé- sions système nerveux permet d'éliminer causes connues exemple devant malade présentant paralysie main accompagner d'une anesthésie manchon arcot peut dire cette topographie correspond aucune distribution jes nerfs périphériques lésion spinale lésion bulbaire lésion masses centrales n'est ramollissement hémorragie cérébrale aucune lésion matérielle grossière quune seule maladie produise acclidents c'est l'hystérie donc chez lésion corticale n'est lésion organique cest lésion dynamique c'est précisément parce charcot l'hystérie maladie système nerveux qu'elle peut être privilège seules femmes l'hystérie masculine niée comme contradiction termes hommes n'ont d'utérus c'était bien l'on tort fier l'étymologie fait charcot apportait témoignages cliniques convaincants d'hommes présentant paralysies hystériques grandes crises tout point comparables qu'il pouvait observer chez femmes cependant conscience heurter préjugés temps car disait-il l'on admet rigueur qu'un jeune homme efféminé puisse après difficultés sentimentales présenter signes d'hystérie sens commun l'acceptera beaucoup plus diffi- cultés s'il s'agit d'un robuste artisan chauffeur locomotive exemple après accident che- min fer pourtant l'évidence cli- nique ajoutait charcot cest idée laquelle faudra faire cette hystérie charcot l'hypnose permet car charcot jamais pratio® l'hypnose reproduire nomènes tout point identiques déjà évoquée lasègu cetta tification considérée comme alt indiscutable richer fixe trine deux côtés tro manifestations tellement pur bles raison étiologique lee seul permet différencier spontr ici provoquée née salpêtrière d'autre part contrairement qu'affirme ber nancy tout monde plus moins hypnotisable pense l'hypnose n'est active chez hystériques possibilité d'être hypno tisé fait partie tableau clinique l'hystérie charcot allait être victime propre succès s'était attaqué sujet sacré capté l'atten tion grand public leçons atti raient gens monde acteurs littérateurs magistrats journalistes présentations jets état léthargie catalepsie somnambulisme sujets présentant crises violentes ressemblaient trop mise scène théâtrale janet raconté comment cond tionné matériel clinique servait démonstrations 15. force d'ob servations descriptions non sel lement toute symptomatologie créée toutes pièces fixé artificiellement disposait outre d'une véritable collection riosités produits d'un dressage don personne n'avait conscient sul nheim d'un tableau anonynit
