,page,text
0,1,dre patron
1,2,encyclopédie psychologie colkbomienrs pronier tome psychologie générale henri baruk charenton depuin médecin chef maison nationule chare lps prateseur fneulté médecine purls 1946-1970 membre l'acudemle nationulede-méslecine depui 1995. bhuiqtheque carton vaiversitainc jean-louis bruch 18. dec. 1966 paris lausanne eee ger rue jean cavozzi psychosacivlogue chargé mission auprès direction personnel d'llectricité gnz france chargé travaux pratiques conservatoire national arts métiers professeur collège sciences sociules economiques l'institut gestion prévisionnelle françois chatelet agrégé philosophie docteur ès-lettres professeur l'université paris vii vincennes maryse choisy docteur philosophie directrice revue psyché 19.46 1966. présidente l'association internationale paychannlyse appliquée 1963 1966. anne-marie coutrot rédactrice chef l'ecole parents diplômée nciences socinles l'université delnware s.a andrée dauphin medccin neuro-paychintre médecin centre ho-péda- torique claude-bernard poyeho-péda christian david directeur del institut chanul université aris directeur revue ançaiso sstchanalyse maurice debesse ducteur lettres professeur laculté sviences humalnes paris titulaire chaire parer ancien président société française psychologle chuurpsé conférences l'école norranfe supérieure d'enaclgnement leclsuque directeur colfections découverte l'enfant uuits doctrines hédugogiqnes seuruhée lou paut fraisse arig directeur l'institut puychologie punivervité frédéric françois philosophie docteur 1-lectret arégé veholoie apéciuliste problèmes psycho iutique nne chargé recherches pinsdtut pédagogique lonn. professeur l'univeraité paris françois gantheret assistant université parls vit. directeur institut formation psychologuc-clinicien paul grieger professeur philosophie beyrouth liban 1939 1952 depuis 1965 profesueur psychologie rome univeraité laotrun uccompli diverses missions pédngogiques psychologiques puys proche-orient d'europe d'amérique denis huisman etudes supérieures psychologie philosophie sorbonnc hintoire l'art d'esthétique nstitut d'art archéologie sciences politiques i.e churgé travaux pratiques psychologie l'institut d'art l'université paris 1950 1960. attaché recherches c.n.r.s section psychologie chargé consultations psycho-pédagogiques faculté médecine chaire clinique neuro-chirurgicale pitié maitre conférences l'lcale i1l.e.c depuis 1058. directeur-délégué institut d'esthétique industrielle chargé d'enscignement cycle doctorar l'université paris-dauphine depuis 1969 directeur général fondateur d'un groupe d'établissements d'enselgnement supérieur dont premier l'ecole française attachés presse depuis 1960 gaston mialaret docteur ës-lettres président l'association internationale pédagogie expérimentale langue française directeur l'institut psychologie l'université caen roger mucchielli agrégé philosophie docteur ês-lettres sciences humaincs professeur psychologie l'université nice docteur médecine qualifié neuro-psychiatre 1969. président institut international synthèses psychothéra- piques vice-président l'association internutionale caractérologic henri piéron professeur honoraire physiolopie sensations collège france directeur honoraire l'institut psychologie l'université puris président honoraire scction scien- nuturelles école pratique hautes etudes directeur l'institut national d'etude travail d'orientation profes- sionnelle membre d'honneur l'american academy arts und scienceñ membre associé étranger national academy sciences s.a ducteur honoris cuusn universités genève montréal wittenberg college professeur honoria cuusn l'université brésil ete andré vergez ancien élève l'ecole normale suncri ien upéricure agrégé philosophie docteur às-lettres professeur titulaire philosophie l'université besançon robert volmat profeureur litulnire glnique neurologlque ain luculté médecine desinçon perl none sucré royule médecine mentale lent noul medicu-ntychological associntion pivehincric assoctari président depuls londutton 10e sucié l'es sociité interan- c-préatdent l'asnoc onnle net asvctutlton enter nutionnle psychintriesthétique exp iqué commun
2,3,janvier 1972 quiz mois connaissez-vous jung savoir jouez chercheur idées henri wallon complément travaux piaget joëlle allouche connaissance autres morphologie détermine-t-elle caractère comportement question peut poser après expérience française délinquants claude malard connaissance soi chemins passion sentiment amoureux entre laboratoire elaine walster ellen berscheid époque passeport mensa club individus surdoués claude bonnafont psychologie expérimentale nouveau cerveau fonctionnement expliqué physique karl pribam psychologie clinique punir guérir prolongement behaviorisme donald baer psychologie avancée parapsychologie nanterre étudiants voudraient cours spécialisé marianne kôhler librairie voies nouvelles psychologie dir foss puision mort chez mélanie klein jaccard vive société consommation saint-geours forum propos hitler freud propos l'antipsychiatrie echos informations who who psychologie prochain numéro vente février 1972 psychologie edit centre d'étude promotion lecture 114 champs-elysees paris 359.86.50 225.02.88 voyez penn tee eme aer pins nat tre pre pte cape nur kits isa pre luce eee sauter rea auue gain métro
3,4,tnt élrse anoaae quiz connaissez-vous jung claude bonnafont quelles dates naissance mort jung 1870-1945 1891-1965 1875-1961 originaire mayence famille jung s'implante bâle vers mi- lieu xix® siècle légende veut grand-père carl gustav jung fils illégi- time schiller hoffmann gœthe jean-pau -achille jung père carl gustav jung médecin pasteur architecte enfant jung souffrait eczéma palpitations cardiaques rhumatisme articulaire aigu alerte carl gustav jung l'aîné d'une famille nombreuse fils unique sœur l'âge ans jung entre collège bâle véritablement paniqué mathématiques l'orthographe l'instruction religieuse matériellement famille jung aisée pauvre fortunée kraepelin flournoy bleuler types psychologiques jung établit distinction fameuse passée depuis langage courant deux termes passivité/activité primarité/secondarité introversion/extraversion 1907 date mariage jung première rencontre freud voyage indes terme lerme mana fréquemment uti- lisé jung emprunté voca- bulaire sanskrit mélanésien arabe tour lac zurich thoune neuchâtel bollingen s'élève bord tet
4,5,sous forme boussole dont quatre pôles volonté sensation affectivité pensée imagination sentiment secondarité intuition mythes religieux légendes folklore jung forgé expliquer présence tout homme concept conscience collective psyché universelle inconscient collectif d'après jung l'hermaphrodite symbole bisexualité psychique l'inextricable imbroglio bien mal couple père/mère l'enfant ressent combiné indissociable résidus archaïques éléments trouvés rêves dont parle freud deviennent chez jung archétypes symboles représentations héritées l'amplification technique d'approfondissement d'élargissement images jung applique l'interprétation œuvres d'art celle symboles religieux matériel onirique cours leurs années coopération freud jung analysent mu- tuellement leurs rêves commune satisfaction satisfaction seul jung leurs mutuelles déception insatisfaction 1910 jung fait connaître freud mémoires d'un névropathe s'agit l'autobiographie l'homme loups l'homme rats président schreber jung reprochait freud non-réso- lution œdipe complexe castration complexe paternel combien temps jung est-il demeu- président l'association psycha- nalytique internationale ans ans ans eve all serre rase ana aol nes tan jung parfois représenté psyché magistral interprète symboles henri cartier-bresson/magnum anal naaaeune ars —…———— -—— trois formules laquelle ap- proche plus près conception jungienne libido instinct sexuel pulsion hédonistique énergie psychique pre ———— confronté patient nouveau jung thérapeute attache importance primordiale récit chronologique symptômes névrotiques premier rêve fois l'ana- lyse décidée description minutieuse fait parents méthode psychothérapeutique jung s'appuie principes théo- riques strictement systématisés s'oppose point point analyse freudienne essentiellement différente selon chaque cas traité selon jung processus d'individuation prise conscience soi réalisation soi intégration terme persona désigne psychologie jungienne noyau psychique l'individu partie négative caractère masque adaptation vie sociale gocrate data socrate parlait daimon inté rieur homme egyptiens romains grandes œuvres racines conscience psychologie education ouvrages publiés editions georg psvchologie l'inconscient guerison psychologique buchet/chastel anr rules aaa raa anne reteer ron arno fre sous direction docteur cahen vient paraître rappel poughologie alcrimie psychologie religion problemes l'ame moderne présent avenir reponse job l'ame vie paraître psychologie transfert genève distribués france buchet/chastel types psychologiques réimpression metamorphoses l'ame symboles l'energetique psychique aspect drame contemporain réimpression editions
5,6,jung réunit trois génie forger celui concepts persona in-dividu soi ———— vas cinquantaine jung entreprend l'étude approfondie l'alchimie l'astronomie paléontologie question l'analyse peut-elle être pratiquée non-médecins jung répond négative l'affirmative prononce l'intérêt jung date années d'études l'époque voyages chez peuples primitifs dix dernières années vie l'occultisme devant phénomènes parapsychologiques l'attitude juog foncièrement hostile ouverte exagérément naïve antiscientifique parmi mots proposés lequel complète phrase suivante mot deux sens tantôt désigne psychisme obscur tantôt somme défauts daimon ombre inconscient première société groupée autour jung nom société suisse psychologie analytique club psychologique zurich institut c.g jung grand voyageur jung visité partie quatre continents seul jamais rendu l'amérique l'asie l'australie parmi termes lesquels relèvent psychologie strictement jungienne idéal idéal individuation synchronicité principe nirvâna persona çais œur cali fran publication direcvres jung lieu tion jacques lacan roland cahen sacha nacht côtés mari emma jung travaillait fin vie thème légende graal quaternité belle bête 1957 sous titre mythe moderne jung propose interprétation analytique révolution sexuelle phénomène blousons noirs soucoupes volantes henri cartier-bresson/ magnum devant problèmes religieux prise position jung rapproche athéisme panthéisme gnosticisme mandala mot hindo indou si- gnifie cercle magique d'après ing symbole archétypique centre psychique personü l'existence intra-utérine cosmos 1938 iino 1938 jung rend indes demande gandhi fonder société indi ndienr psychologie analytique sut invitation officielle souvernement anglais indes besognes matérielles manuels l'attitude ing s'apparente celle jung sapp tique féru d'efficacité d'un pragmatlg® d'un page aime contact matière d'un philosophe sacrifie inévitables contingences pierre angulaire psychologie freudienne théorie sexuelle apparaît jung comme dogme qu'il élargit adapte propres conceptions rejette purement simplement adopte sans discussion égard freud décidé nen tenir compte l'origine jung découvre l'existence complexes grâce l'observation attentive comportement sujets l'interprétation leurs rêves l'expérience d'associations laquelle formules exprime pensée jung face complexes complexes plus moins pathogènes sans j'activité psychique individus sans complexes présentent équilibre psychique idéal cure analytique but mettre plat réduire tous complexes emprunté rudolph otto l'adjectif numineux revient fréquemment textes jung signifie étrange bizarre insolite sacré mystérieux indicible abstrus ésotérique obscur récusant terme psychanalyse jung fonde propre ecole sous nom analyse existentielle psychologie analytique analyse transactionnelle quel âge jung lorsqu'il décide d'écrire autobio cannes graphie ans ans connaître résultats voir page
6,7,bientôt dix ans décembre 1962 mourait henri wallon celui considéré vivant comme plus grands psychologues français temps connaît aujourd'hui purgatoire peine cite-t-on thèses travaux rares quelques rééditions récentes quelques articles convenance suffisent restituer place perdue faire connaître grande richesse recherches psychologie pédagogie jalley note article paru nouvelle critique octobre 1971 propos d'un traité psychologie génétique récent qu'on trouve wallon cité seule fois piaget dix-huit fois faut voir traits travers mœurs universitaires françaises tel auteur jugé comme plus importants tant qu'il occupe chaire d'enseignement devient lendemain disparition plus obscur penseurs plus oublié livres librairies disparaissent rayons qu'ils occupaient massivement temps aidant choses retrouvent vrale dimension peut-être sommes-nous veille d'une redécouverte henri wallon psychologie française justice psychologie française institutions organlisations professionnelles aussi l'inspiration recherches doit presque tout redevable fait intérêt fait limite aussi parfois voulu voir fait henri wallon homme profondément engagé politiquement raisons effacement relatif actuel certes henri wallon ceux voulurent participer luttes cité résistant puis communiste coauteur libération projet réforme l'enseignement connu sous nom projet langevin-wallon henri wallon s'est voulu chercheur militant inscrivait travaux perspective d'une psychologie marxiste peut partager jugement qu'il portait œuvre trouver recherches s'inscrivent plus classique traditions sclentifiques françaises quoi qu'il paraît difficile d'admettre henri wallon succombe exclusive d'ordre politique marcel mauss aussi homme engagé cependant nul aujourd'hui conteste l'importance apport sociologie nul fait obstacle diffusion aten entier lez keystone luareun genèse structure l'affecimite agrégé philosophie docteur médecine wallon paris quartier latin 1879 d'une famille d'universitaires anciens élèves l'ecole normale supérleure grandpère l'auteur célèbre amendement wallon 1875 voix majorité consacra naissance république france fait études secondaires lycée louis-legrand entre ensuite section philosophique rue d'ulm ecole normale supérieure obtient l'agrégation ans nommé lycée bar-le-duc professeur durant peu temps philosophie universitaire qu'il enseigner loin île satisfaire aussi profite-t-il d'une bourse fondation thiers rentrer paris entreprendre études médecine 1908 docteur médecine fait très important évolution ultérieure médecin bientôt meilleurs neurologues génératlon dès moment développement l'enfant centre intérêts après rea première guerre mondiale reprend travaux développement neuropsychologique l'enfant consultation salpêtrière chaire d'histologie collège france 1925 wallon passe thèse doctorat lettres l'enfant turbulent fonde laboratoire psychobiologie2 l'enfant activité alors multiple donne consultations médecin d'organismes blessés nerveux assure contrôle d'établissements déficients mentaux ainsi qu'une consultation médicopsychologique boulogne-billancourt puis paris xix° vis arrondissements 1939 laboratoire psychoblologie l'enfant s'installe l'immeuble l'institut national l'orientation professionnelle i.n.o.p. wallon assurera consultation jusqu mort clinicien professeur parallèlement activités clinicien wallon aussi professeur 1920 chargé cours sorbonne 1927 directeur d'études l'ecole pratique hautes études 1929 professeur i.n.o.p 1937 enfin l'initiative conseil municipal paris conseil général seine créée intention collège france chaire psychologie éducation l'enfance jusqu retraite 1949 wallon occupera cette chaire interruption 1941 1944 imposée gouvernement vichy médecin enseignant wallon également citoyen sens fort terme c'est-àdire homme profondément engagé vie sociale juin 1940 c'est défaite sans hésiter wallon s'engage résistance temps amis georges politzer paul langevin3 participe création exception doit être faite cependant deux livres tran-thong stades concept stade développement l'enfant psychologie contemporaine paris vrin 1967 pensée pédagogique d'henri wallon paris p.u.f. 1970 laboratoire psychobiologie l'enfant continue fonctionner rue gay-lussac sous direction deux proches collaborateurs wallon rené zazzo hélène gratio-alphandéry wallon fondé 1939 groupe d'études matérialistes l'origine pensée définit comme revue rationalisme moderne paul langevin 1872-1946 physicien français auteur travaux ions magnétisme relativi- ultrasons georges politzer 1903-1944 philosophe français marxiste dénonça virulence philosophie formaliste bergson
7,8,laffécimite d'un journal clandestin l'univers libre premier numéro noyer 1940 milite front universitaire travaille également deux ouvrages l'evoluton psychologique l'enfant 1941 l'acte pensée 1942 1942 wallon adhère parti communisit français libération consel national résistance désigne comme secrétaire général l'education nationale poste qu'il occupe peu temps puis henri wallon reprend cours collège france 1946 député paris c'est l'époque rédige origines .de pensée chez l'enfant préside après mort langevin commission ministérielle chargée préparer projet réforme l'enseignement évoqué distinguerons trois thèmes travaux psychologiques wallon thème stades développement infantile celui rôle l'acte moteur psychogenèse celui rôle l'autre trois grands axes recherche comme l'avons signalé précédemment c'est travers l'étude maladies mentales wallon aborda l'étude vie psychique cette époque habituel comparer mieux comprendre développement l'enfant primitif fou l'arriéré mental c'est cette méthode comparative procède aussi wallon comme l'explique l'evolution psychologique l'enfant s'agissait chercher pathologique exemples variations concomitantes d'où puissent déduire relations causalité éga- lement applicables normal alté- ration survenue cours dévelop- pement touche l'un quelconque facteurs conséquences d'autant plus instructives qu'il arri- vera d'abolir tout ensemble fonc- tions fixer comportement stade incomplet susciter compensations mettront évidence rapports habituellement difficiles discerner. psychologie comparée tirera également enseignement parallèle entre l'enfant l'animal plus proche singe pré- sence mêmes situations mêmes difficultés comportement est-l semblable diffèret-il rene quel àger blance initiale stade développée sous influences ent différences ssi testable fous comparaison vélléité menta alité primitive ettre regar crolssance graduele pie nain niveau civilisation certain matériel idéologique ras bal technique aide diverses méthodes scessité faire distinc hiérarchies entre aspect parfois opposés présente vie pes chique cours développeme aspects étapes do0 l'ordre succession importe premier chef car succession témoigne d'une filiation souvent complexe d'ailleurs raison d'interférences varlées entre différentes sortes facteurs. c'est sou ligné etapes developpement l'enfant c'est donc comparant étapes motrices mentales lesquelles passe l'enfant normal dysfonctionnements subit l'enfant retardé wallon arrivé préciser étapes développement l'enfant stades évolutifs stades impulsif émotif sensorimoteur projectif personnaliste scolaire pubertaire stade impulsif mois correspond formes plus simples l'activité décharges réflexes automatismes réponse excitation absence systèmes inhibiteurs stade émotif succède mois tradult gamme étendue d'échanges émotifs l'enfant utiliser titre véritable pré- langage caractérise stade cest prépondérance système to- nicoviscéral premières émotions soutien tonus musculaire étroite réciprocité sensibilité organique stade également important fait émotions l'amorce vie relation stade sensorimoteur mois caractérise mise jeu réflexe d'orlentation-inve lov l'activité sensation début ent parole différenciée ans l'appar cices répétitifs pparltion exer. cacher her c'est période lntelligo apparaît ensulte mols ans stade projectif plification stade cédent c'est stade motipr tentlonnelle vers l'objet l'acte dirigé vers réalité extérleure représentation choses s'accomplit travers gestes réalisent stade sensorimoteur stade projectif très liés derniers articles wallon deux mentionne premier stade personnallste ans lui-même composé trois stades c'est constitution personnaté l'enfant ans cest stade d'opposition ans celui narcissisme ans phase d'imitation c'est aussi période l'intelligence discursive tend représentation concept entre ans c'est l'âge scolaire progrès pensée catégorielle polyvalence personnalité différenciation rôles l'intérieur différents groupes famillaux scolaires amicaux auxquels appartient l'enfant c'est enfin période pubertaire l'influence particulièrement importante milieu socio-culturel crise pubertaire faut insister fait stades statiques mécaniques âges indiqués chaque fois points référence non bornes absolues qu'il important considérer c'est ordre succession l'entremêlement activités qu'ils sous-tendent wallon stades superposent simplement comme différents cubes d'un jeu construction chaque stade trouvent éléments stade ultérieur peut-on dire imbrication d'un stade l'autre chaque stade également peuvent apparaître régressions stade antérieur chaque stade moment relations l'enfant milieu physique soclal chaque étape fois moment l'évolution mentale type comportement debat piaget tout cela pensera-t-on sonne neuf fait penser freud plus encore piaget effet cette notion stades caractériser développement infantile retrouve chez d'autres auteurs tout comme wallon freud estime qu'au cours développement l'enfant pass série phases sous- tendues l'énergie sexuelle comprise pans sens plus large c'est-à-dire libido phases orale sadicoolution psych en- ant préface paris colin rer tgeron minkowseg 08e wallon déc 1963 chez l'enfans origines caractère aculté mouvoir wallo l'enfant paris crt pique
8,9,anale phallique latence génitale plaget également décrit constltution l'intelligence chez l'enfant sérle stades d'intelligence stades retenus décrits différents auteurs recourvrent conception loin d'être identique points fondamentaux débat wallon-piaget concerne mode passage d'un stade sulvant effet wallon non piaget succession stades succession discontinue c'est moins cette façon wallon définit opposition thèses plaget écrit certains auteurs piaget voient l'évolution psychique type d'opérations répète transformant façon spécifique différents niveaux vie mentale l'alternative assimilation-accommodation plan schèmes sensorimoteurs passe plan verbal plan intellectuel sous forme concept raisonnement différentes opérations relèvent transferts succèdent ordre immuable c'est pourquoi elles peuvent être ramenées progression stade stade résulte représentation stades fortement hiérarchisée bas haut temps évolutif haut bas point vue spéculatif. l'evolution psychologique précise encorell passage l'un l'autre n'est simple amplification remaniement activités prépondérantes réduites parfols supprimées apparence suivant.… conflits ponctuent croissance comme s'il choisir entre ancien nouveau type d'activité role mouvement developpement psychique autre thème essentiel chez wallon c'est rôle l'acte moteur développement l'enfant avant d'aborder étude faut préciser qu'il existe premières décennies siècle réaction vive contre psychologie traditionnelle psychologie états d'âme faits conscience psychologie introspective certain nombre psychologues veulent plus spéculations fortement marquées philosophie veulent travailler concret veulent science objective dont phénomènes peuvent être mesurés c'est pavlov u.r.s.s ouvre vole théorle réflexes conditionnés c'est watson etats-unis école behaviorisme c'est-à-dire l'étude comportement deux auteurs influencé toute plélade psychologues-réflexologues psychologues comportement wallon n'est pavlovien watsonien mals inspiration puisée mêmes préoccupations met l'accent réel concret particulier l'acte moteur l'acte moteur c'est réaction plus élémentaire plus complexe lle l'être vivant milieu physique soclal mouvement n'est simple mécanisme d'exécution confond conditions subjectives déclenchement exemple bébé deux mois agite bras jambes manifeste ainsi décharge d'excitation mouvement apparaît comme l'intégration facteurs neurobiologiques facteurs psychophysiologiques mouvement appartient structure vie psychique l'impulsion motrice apparaît comme facteurs plus importants parmi ceux conditionnent structure mentale mouvement écrit wallon n'inter- vient seulement développement psychique l'enfant relations autrui influence aussi comportement habituel facteur important tempérament wallon démontré cette relation mouvement vie psychique études comparatives enfants retardés enfants adultes suite lésions organiques présentent troubles spécifiques motricité enfin l'analyse passe chez l'animal suite lésions expérimentales provoquées laboratoire wallon met l'accent l'intérêt d'une analyse génétique l'acte moteur c'est peu peu atteint précision motrice grâce conjonction certains niveaux d'organisation motivations l'action milieu d'abord faite sensations mouvements ensuite sensations mouvements vont s'intégrer ensembles plus plus complexes permettront exemple l'enfant passer conduites automatisées conduites nouvelles titre d'exemple signalons l'étude d'un cas présentée mme helman cas denis cet enfant tralté partir l'âge ans mois entre service psychlatrle d'un hôpital parisien comme justification particulier troubles psychiques d'allure démentielle retard important psychologie 10. wallon revue enfance 3-4 1959 225 wallon l'evolution psychologique l'enfant 12. wallon revue enfance 3-4 1959 235 15. signalons préciser rapports entre motricité témpérament wallon conçut appareillage destiné enregistrer courbe l'effort lotal sujets dynamographe wallon 14. bergeron hominage wall allon l'enfant étonnantes possibilités mémoire j'étais loin douter arrivant chez ami l.s borg j'allais être témoin d'un spectacle vraiment extraordinaire décupler puissance mentale m'avait tait venir stockholm parler suédois pasteur grands savants français soir arrivée après champagne conversalion roula naturellement difficultés parole public grand travail impose autres éonlérenciers nécessité savoir perfection mot mot discours l.s borg dit alors qu'il probablement môyen m'étonner mol connu lorsque faisions ensemble droit paris plus déplorable mémoire recula jusqu'au fond salle manger prla d'écrire cent nombres trois chiffres ceux voudrals appelant haute voix lorsque j'eus ainsi rempli haut bas marge d'un vieux journal l.s borg récita cent nombres l'ordre lequel écrits puis sens contraire c'est-à-dire commençant derniers laissa aussi l'interroger position respective différents nombres fui demandai exemple quel 24e 72e vis répondre toutes questions sans hésitalion sans effort instanta nément comme chiffres j'avais écrits papier aussi inscrits cerveau demeurai stupéfait pareil tour force cherchal vainement l'artifice permis réaliser ami dit alors semble extraordinaire réalité fort simple tout monde possède assez mémoire faire autant rares personnes savent servir cette merveilleuse faculté. m'indiqua alors moyen d'accomplir tour force parvins aussitôt sans erreur sans effort comme parviendrez vous-même demain bornai expériences amusanies j'appliquai principes m'avaient élé appris occupalions chaque jour pus ainsi retenir incroyable facilité lectures conférences j'entendais celles devais prononcer nom personnes rencontrais fût-ce qu'une fois adresses qu'elles donnaient mille autres choses d'une grande utilité enfin constalai bout peu temps non seulement mémoire progressé j'avais acquis atlention plus soutenue jugement plus sûr rien d'étonnant puisque pénétration intelligence dépend surtoul nombre l'étendue souvenirs voulez savoir comment obtenir mêmes résultats acquérir celle puissance mentale encore meilleure chance réussir vie priez l.s borg envoyer intéressant petit ouvrage documentaire lois éternelles succès distribue gratuitement quiconque désire améliorer mémoire voici adresse l.s borg chez aubanel place saint-pierre avignon nom aubanel garantie sérieux depuis 214 ans aubanel diffusent travers monde meilleures méthodes psychologie pratique barsan 20° methode borgoouoa voir sujet l'article monique dichter bon gratuit decouper recopier adresser l.s borg chez aubanel place saint-pierre avignon recevoir sans engagement part sous pll fermé lois otre part lois éternelle
9,10,amar lorsqu'un tral6 tenté tement insulinothérep ire nation lleure s'ensuit bserve sensorimotrice temps nette amélioration niveau relationnel adaptatif autre role l'autre developpement psychique l'attitude physi développement l'enfant l'intervention langage apparaît comme moment capital langage entraine remaniement l'activité psychique passage l'acte pensée fera grâce diverses activités premières habitudes intelligence situations tâtonnements erreurs usage l'instrument procédés détour signal imitation l'enfant séparant l'animal acquerra temps langage simulacre surtout l'indice signe rendront possible formation représentation symbole naissance l'âge adolescent étroite liaison existe entre l'évolution l'intelligence constitution personnalité dernier grand thème important pensée wallonienne rôle milieu social rôle l'autre psychogenèse l'autre rôle fondamental développement conscience mol cette étape représentée comportement émotionnel moment s'articulent social l'organique expressions d'émotion représentent chez l'enfant type relation primaire milieu ici faut mesurer toute l'importance transformation d'un spasme védétatif physlologique émotion c'est-à-dire moyen d'expression c'est-à-dire encore sli- gnal échanges émotifs répétons- chez l'enfant véritable pré- langage faut oublier ailleurs parmi mammifères l'enfant l'être humain seul naître quelque sorte prématuré nais- sance boîte crânienne n'est en- core soudée effet cerveau système nerveux central fin constituer fait l'en fant humain totalement dépendant satisfaction besoins organiques l'adulte che système neuromoteur ina- l'avons communi der préois peut échanges milieu grâce motifs wallon met l'accent rue couleur rue uurs han ais litits écrit-îl d'indivisi d'abord globale évoqués fêle autrui dédoublemenr agit celu rep développement l'enfant différer monde extérieur celuiue sorte prolongement l'enfant différenciation faire progressivement quelque sorte autour moment crise persona période œdipienne sans psy ion enne doute rare socius l'autre partenaire perpétuel vie psychique toute déllbération toute indécision dialogue parfois plus moins explicite entre objecteur socius normalement réduit refoulé inapparent peut cas graves échapper contrôle sentiment dualité chez l'adulte symptôme dédoublement personnalité structures l'affectivite opérer ent subit entre quelq cette évolution structures l'affectivité tout comme celle structures l'intelligence lesquelles insisté piaget n'évolue manière continue irrégulièrement progressions arrêts d'éventuelles régressions périodes crise périodes conflits précèdent sulvent périodes d'équilibre plus moins stable l'individu évolue grace contradictions incessantes existent entre social mieu thèse l'enfant humain milieu autre point piaget tlonnelle socialité primitive dépend totalement cette conception tradiwallon d'une ent primitiles travaux piaogue nouvelle l'enl'autisme d'une existence point vue susceptibles essentiellement évolution mentale l'intelligence introduit rapports objectifs entre choses donc selon piaget premiére origine néces sité d'une entente comme d'un contrat entre individus dès moment chacun d'entre s'aperçoit n'étant seul peut prétendre être règle universelle dès qu'il devient sensible l'obligation lien social entre individus ainsi participation d'autrui formation conscience très tardive prendrait forme assez abstraite d'une équivalence reconnue indispensable entre individus présence résultats d'or dre théorique l'élaboration concepts impersonnels impressions subjectives verraient substituer moyens objectifs mesure rap port comme peut constater deux systèmes s'affrontent personn reg methodes recherche originales tout autant théorie développement infantile méthodes recherche employées wallon intéressantes nombreuses reprises wallon revient étudier l'enfant rien supérieur l'observation toutes autres méthodes psychologie comparative études dossiers compléter l'observation psychologie l'enfant moins celle première enfance relève peu près exclusivement l'observation idée développée ailleurs psychologue techniques comme toute science tant peu spécialisée s'est parfois donné techniques dont résultats maigres l'imitation sciences déjà plus développées sienne dont l'objet plus simple s'est proposé d'obtenir mesures précises laisse mesurer précision n'est souvent qu'un détail insignifiant vie psychique c'était sacrifier l'objet psychologie vaine apparence rigueur réservant donc mensurations précises îles domaines l'analyse comparaison finissent faire reconnaitre l'ensemble l'action bien définie facteurs mesurables revenu l'observation concrète directe tient sans doute exclusivement applique méthode comparée éron ouvrage cité 219 revue enfance 3-4 1959 soirmême c'est l'un schizophrénie rien prilosophique idéaliste affirmant yiduelle xiste dehors pensée indi- h.w li920 revue enfance mos 3-4 1959 l'enfane nalon 1gmplômes fon evolution psychologique
