,page,text
0,1,hwr2-6f-02 eno rende ser mment enlfon marseaereenrmar
1,2,hblidtneque cautur universitaire 18.0ec.1986 lausanne ous parce qu'il arrive être gai triste temps parce rêvons tous grande passion impossible défiant société morale parce enfin tous peu fous heures comprenons bien l'âme russe l'âme russe c'est anna karénine cette femme trente ans belle merlée aime autre début aventure non c'est commencement plus beau roman amour jamais écrit découvriez russie passions cette russie entre deux sanglots éclate rire offrons absolument gratuitement chef-d'œuvre léon toltsoï exaltée géniale met danser anna karénine pourrai refuser d'avance riens pes rue dépl vite vres muiay sttétire jinists 9142-5027 aneties ant rat peer pre l'âme russe mos heures 72.7 tnt net donnons cadeau très beau livre sans aucune gation achat parce pensons aussi révélation russe émerveilé l'analyse del dienne avant freud caractère personnages leurs comporl ments leurs sentiments après avoir anna karéning pensons sous charme comme emo romans russes voudrez lire bien autres tolstoi.… aussi dostoïevski pouchkine gorki tchekov hoisi collection classiques russes vbrer romans plus russes ... ceux toucheront pleurer ... rire comme cela jamais arrivé. atuitf maintenant reste plus demander int nou anna karénine surpris voir quel tous peu russes heures cercle bibliophile 27-evreu plein maroqual rouge vif dorures luxor tranche supérieure dorée l'or signet tressé nombreux dessins originaux d'artistes divers ens
2,3,comprendre savoir agir psyenologie monde d'aujourd'hui mars 1972 chercheur idées henri piéron psychologie française doit organisation jean chaguiboff époque science crime comment pourquoi devient délinquant georges fully psychologie animale deux ans parmi chimpanzés passionnante aventure d'une psychologue américaine connaissance autres comment devient-on leader question personnalité circonstances fred fiedler psychologie clinique découverte psychodrame réunions mondaines hôpitau claude bonnafont tests valent tests rideau fumée masqué vérité sujet georges balandier pourquoi j'ai voulu passer etats-unis andré akoun jacques mousseau l'on dem crntque psychiatriques connaissez-vous konrad lorenz quiz mois recyclez-vous éthologie pots librairie modèles d'enfants enfants modèles roger perron pire conscience corps moshe feldenkrais vision vaincus nathan wachtel jsi echos informations who who psychologie prochain numéro vente avril 1972 abonner voyez page
3,4,jean chaguibof chercheur mathématiques goût ——— behavioriste face jardin luxembourg immeuble bourgeois fat l'angle rue soufflot rie gay-lussac siècle dernier cinquième étage rière balcon fer protege fenêtre petit garçon regarde gens fiacres circulent rue plus tard lorsqu'il mêlera manifestants défilent devant sorbonne ira jusqu battre contre représentants d'extrême droite c'est encore quartier latin s'organisera existence lorsque marié peut-être avide calme installé domicile banlieue parisienne vésinet encore maints endroits quartier garderont trace d'henri piéron conservatoire arts métiers sorbonne collège france l'institut psychologie henri piéron 1881-1964 loin d'avoir notoriété freud celle watson pourtant l'impulsion qu'il donner psychologie psychologie française particulier n'est dénuée d'importance s'il moins célèbre c'est sans doute qu'il contraire héros psychologie fils brillants universitaires suivi presque sans histoires brillante carrière brillant universitaire laquelle seules deux guerres bouleversé pays venues infliger quelques accrocs cheminement vers psychologie scientifique semble s'amorcer trouver favorisé dès naissance père personnage profondément intelligent originaire d'une famille souffleurs verre lorrains gravi d'examen examen échelons menèrent poste directeur lycée saint-louis buste plus tard érigé celui d'inspecteur chef l'education nationale autrefois classé premier diplôme sciences l'ecole normale supérieure rêve sans jamais parler expressément voir fils suivre traces père henri piéron outre vastes capacités intellectuelles hérite d'une certaine froideur d'une réserve assez générale habitants l'est france fait qu'on sait faire talre émotions regrettere plus tard manque contacts plus étroits entre père lul bien sans doute reproduise collaborateurs distance paris rapports fera paraître froid comme l'avoua lul-même l'héritage photo larousse d'un tel trait caractère n'est sans influencer maturation intellectuelle petit garçon haut balcon regarde s'agiter monde place médicis l'enfant acquiert sens réflexion temps contrôle émotions moment l'affaire dreyfus lorsque chaque famille france s'insulte bat bien père fils bord opposé l'appartement piéron reste calme silence main- tenu sujet autre facteur favo- rable l'évolution jeune garçon réceptions données maison viennent collègues universitai- res père réceptions l'étroitesse esprit qu'avaient parfois épouses contrebalancée grande largeur d'esprit plupart hommes enfin l'éducation hors pair qu'il reçoit trouve moment lycée classe trois élè- ves alliée capacités incontes- tablement brillantes permet progresser hardiment sans fournir efforts réussite universon dane baccalauréat ilest destiné formation d'esprit tendance plus attiré philosophie davantage avide d'explica tions mécanismes réalité formulation lois abstraites date après d'études philosophiques 156 s'attache bien vite l'aspect plus positiviste scientifique disc pline psychologie pes debuts psychologie scientifique nes fin xix° siècle noms illus- trent france glissement psy chologie vers l'expérimentation théodule ribot puis pierre janet proclament devenir science psycho- logie doit renoncer l'étude d'entités enr telles l'âme qu'elle doit porter observations phénomènes rer objectifs extérieurs plupart cie travaux pionniers font l'ombre hôpitaux estiment letèe comprendre l'homme l'étude pren dia déviations comportement leurs causes base plus solides dat alfred binet3 connu l'invention 1£3 test d'intelligence commence également carrière cette voie passionné voies nouvelles abc psychologie entre deux bagarres quartier latin côté socialistes contre antidreyfusards piéron court collège france sorbonne vice versa écouter leçons grands maîtres passe licence fer agrégation entre-temps secrétaire janet salpêtrière fre activités divers laboratoires psychologie physiologie rattachés l'université hôpitaux captivent rencontre scien- tifiques partagent préoccupir tions auxquels lie peu enfin installer l'asile villejuif propre laboratoire physiologie trouve conditions plus jus rables poursuite recherche qu'il lui-même déjà commencées lex siècle basculé l'affaire s'est apaisée piéron s'est chi gagne vie comme professeur losophie tout d'abord puis comm faus crétaire revue scientifian devient bientôt maître nus fran- théodule ribot 1839-1916 philosophe céri çais uteur d'études psychologt mentale. cline sas pierre janet voir l'article jacqau hubert paru psychologie prançoise alfred binet voir article gauquelin paru psychologie
4,5,rences l'ecole pratique hautes études parallèlement poursuit recherches personnelles villejuif dès lors peut dire toutes activités tournent exclusivement vers science publie articles s'occupe revues d'encyclopédies mort binet ans nommé directeur laboratoire psychologie physiologique sorbonne moment devient responsable revue l'année psychologique qu'il dirigera pendant ans réorganisation laboratoire binet délaissé profit recherches écoles publiques trouve entravée l'irruption guerre contre l'allemagne piéron envoyé comme assistant médical centre neuropsychiatrie montpellier 1920 après publication d'une loi permet création fonde premier institut d'université france l'institut psychologie trois ans plus tard élu collège france chaire physiologie sensations peu après crée l'institut d'orientation professionnelle après fondation jean perrin dont devenu l'ami suite d'une controverse l'existence rayons nommé conseil supérieur centre national recherche scientifique seconde guerre mondiale l'envoie bordeaux chargé sélection recrutement pilotes d'avion cet épisode rapidement termlné décide revenir paris manque gloire fonder grande theorie guerre terminée jusqu mort 1964 piéron cesse poursuivre activités publications d'articles revues d'ouvrages traité psychologie appliquée conférences congrès responsabilités officielles toutes sortes préoccupations toutes tournées vers dessein unique développement science psychologique dessiné toute texture l'existence savant absorbé toutes énergies l'austérité probité scientifique ainsi qu'une réelle introversion fait piéron s'est jamais signalé action d'éclat grande découverte théorie tapageuse toujours préféré recherche minutieuse réflexion méthodologique compris qu'il l'opposé d'un watson moment agite etats-unis donner naissance l'école behavioriste bien fondement activité scientifique piéron déjà avant watson affirme aussi prédilection comportement écarte aussi problème conscience méthodes recherches psychologiques l'animal utilisation appareils suit cheminement parallèle celui watson n'est l'homme développements abstraits œuvre scientifique s'attache choses qu'elles concret s'aventure grands problèmes fond cela veut dire autant qu'il refuse controverse comme voir l'affaire rayons prolongements philosophiques métaphysiques peut avoir toute recherche psychologique laissent indifférent sait l'évolution lente toute science d'avancer manière fait personnalité peu expansive gens travaillent collaborateurs non disciples piéron créé nombre d'institutions permis développement psychologie française créé école qu'on appeler l'école behavioriste française terme piéronien outre qu'il imprononçable n'existe contraire watsonien freudien unique conviction celle-ci psychologie science estime toute science devenir vers épuration schémas explicatifs toutes sciences destinées résorber unes autres psychologie physiologie physiologie chimie chimie physique ouvrage sensation guide vie étudiant mécanismes perceptifs constate centres nerveux alertés séries signaux mille fois plus éloignés réalité l'étaient ombres caverne platon cependant messages nécessaires servent l'organisation existence seln monde extérieur dont connaissons ainsi l'apparence biologique nôtre connaissance d'une chose n'est jamais chose elle-même s'échafauderait progrès consécutifs divers mécanismes aboutissement l'épanouissement l'intellection l'intelligence l'éclectisme intérêts psychologie piéron fait progresser connaissance tous domaines psychologie physiologie psychologie animale psychologie appliquée psychologie scolaire début carrière demande d'un amis amené pencher problème rêve après avoir consulté sujet toute littérature plus moins brumeuse début siècle spéculations philosophiques vont bon train décide réaliser lui-même expériences concrètes prouvant faits concrets première nécessité estime-til comprendre rêve d'étudier sommeil recherche laquelle lance passion aboutira plusieurs années plus tard toute idée rêve écartée doctorat mécanisme sommeil principe cette recherche consiste empêcher chiens dormir étudier conséquences s'ensuivent pionnier recherches physiologie sommeil première constatation soi chien peut jamais dormir meurt au-delà d'une certaine limite temps piéron constate manque sommeil provoque l'altération cellules nerveuses vient conclure possibilité d'une hypotoxicité provoquée veille trop prolongée mot hypotoxine prononcé sans qu'il possible d'isoler substance particulière répondant propriétés qu'un tel composé chimique supposerait comme voit démarche courante chez piéron comportement psychologique particulier ici sommeil étudié fonction soubassements physiologiques dès cette époque jeune psychologue conçoit conduites puissent être réalisées sans être quelque sorte fruit d'une quelconque réaction biologique l'être humain l'être vivant n'est esprit débarqué hasard réalité choses matérielles organisme lutte survie centre d'adaptation physiologique c'est pourquoi piéron explore neurones moelle bulbe cervelet enfin constater couches profondes cortex chiens involontairement insomniaques l'altération cellules deux sortes d'attaques portées propos cette expérimentation première vient amis animaux reprochent chercheur maltraiter ainsi bêtes piéron défend alors invoquant droit savants d'utiliser animaux fins scientifiques autre objection plus technique fait remarquer qu'il étudie non sommeil insomnie rétorque déclarant méthode meilleure étudier causes sommeil causes simplement accusées prolongation l'insomnie imposée l'expérimentation suppose toujours nécessairement certaine déviation rapport mécanismes naturels afin d'observer plus aisément réactions ici grossissement phénomène comme l'on pouvait approcher loupe d'un comportement étudier poursuivant recherche prélève humeurs sang liquide céphalorachidien animaux état veille prolongée injecte animaux témoins constate alors augmen
5,6,denon lion bemamiorste aant lettre tation tendance sommeil animaux enfin l'injection faite niveau encéphalique altérations cellules nerveuses constatées animaux privés sommeil depuis plusieurs jours retrouvent niveau chiens état normal départ résultats publiés 1912 problème physiologique sommeil piéron conclut l'encéphale sécrète déchets propriété d'agir certaines cellules cérébrales particulier celles couches profondes cortex déterminent ainsi tendance sommeil explications peutêtre difficiles puisqu'elles touchent déjà domaine morphologie cerveau notions physiologie font bien sentir quel point ici éloignés philosophie spéculative quoi d'étonnant esprit comme piéron soucieux mieux connaître principes vie également formé ambiance comptait premier lieu rigueur réflexion scientifique trouve amené choisir voie l'expérimentation allant jusqu dissection l'étude cellules étudier problème d'ordre très spéculatif priori comme l'est rêve fait significatif cette recherche caractéristique étudier fait humain piéron refuse élaborer concepts veut s'attaquer d'emblée réalité étudier l'organisme tel qu'il situation lecteur article watson paru cette revue souviendra peut-être grand psychologue américain adopte attitude semblable tous deux effet refusent introduire réflexion entités non vérifiables toutefois tempérament piéron plus diplomatique conception psychologie plus souple celle watson dont l'extrémisme resté fameux demeure encore trop souvent attaché notion behaviorisme admet fort bien l'utilisation réponses verbales condition celles-ci suffisamment contrôlées accorde ailleurs plus grande importance physiologie tant qu'outil d'investigation semble luf accorder watson ainsi sans doute plus proche véritables nécessités situation expérimentale recours physiologie justifie postulat base suivant toute activité premier lleu d'ordre recours l'expérimentation l'animal souvent critiqué paroë qu'on estime généralement l'hor espèce supérieure mac ine rouages autrement compliqués ceux d'une fourmi d'un rat l'etude l'animal conduit directement l'homme piéron fait recherches psychologie animale s'explique sujet livre qu'il intitulé l'actinies l'homme sciences peuvent être étroitement compartimentées psychologie animale psychologie comparée bel bien psychologie l'homme développement capacités intellectuelles principe caractérisent n'est maillon terminal d'une chaîne commence plus bas échelons espèces animales loi générale régit tout entière grande loi biologique l'adaptation milieu naturel l'apparition conscience conscience piéron n'en parle jamais comme hypothèse n'est qu'un épiphénomène saurait modifier sensiblement résultats obtenus l'étude objective animaux sont-ils conscients peu importe reprend piéron après claparède l'objet psychologie relation l'individu environnement n'est propos métaphysique minutieusement piéron profite vacances bord mer faire études psychologie animale observe entre autres mollusques fourmis met évidence l'existence d'une mémoire kinesthésique chez dernier insecte manière suivante repère trajet effectué ouvrière recherche brindilles retour interpose touffe brins d'herbe moment fourmi passe dessus fait délicatement pivoter touffe fourmi continue alors tout droit chemin parcouru distance égale celle séparait nid met chercher désespérément celui-ci pure perte bien sûr puisqu'elle sest rendu compte qu'elle changé direction ainsi pro- bable l'aller fourmi enregis- tré manière kinesthésique distance parcourir qu'elle fie essentielle- ment critère observations cet accumulées piéron très large esprit curieux essale d'appliquer tous domat princi genes principes recherche expérimen- tale behavioriste sens large terme bien qu'il refuse qu'on qualificatif dénonçant sans dératlon outrances watso havloriste avant lettre dès 1908 parle article holo comme science psychologie améri matériel psc cains appellent the behavior jes alle mands das verhalte italiens comportemento droit d'appeler compor tement organismes behavioriste pratique surtout cha cune recherches chacune publications imprégnée l'esprit psychologie scientifique ans met évidence vacuité certains phénomènes parapsychologiques après recherches expérimentales sérien comme pouvoirs d'un médium visions auxquelles prétend sou mis sujet l'affaire rayons s'attaque deux scientifiques putés nancy pensaient avoir découvert radiations produites l'activité cellules nerveuses plu sieurs reprises publie articles anonymement car deux chercheurs soutenus puissances universitaires dénonçant phénomène qu'il estime comme d'ailleurs démontré artefact c'est-à-dire erreur provoquée manière dont prise mesure non variation phénomènes observés esprit ouvert servi culture encyclopedique comme voit intérêts vont sommeil fourmi passant double vue connaissent limites bien tous cas méthodes d'investigation restent ligne démarche expérimentale esprit ouvert tout piéron peu qu'on appelle familièrement bibliothèque ambulante ouvrage connu sensation guide vie bien au-delà l'exposé recherches personnelles l'auteur effectue synthèse données recueillies tant amérique angleterre allemagne qu'en france reflet cette culture démesurément vaste etudiant phénomène psyci logique sensation sous ang plus physiologique piéron tire conclusions intéressantes cerveau d'un chat qu'on mentalement isolé tout ner expérif condui. résant informations sensitives sente caractéristiques toutes blables celles sommeil vie donc étroitement liée sensations conduites réactions compo mentales d'un individu pris sein get environnement stimulations départ dent donc celui-ci piéron soulign ailleurs perception dre chose n'est chose alerte qu'elle quelque traduction directement ibull lire sujet l'article jean chaguibo paru psychologie 12. actinie anémone mer psychologue suisse kinesthésique ensemble mouvements procure sensations corps oise dat sco éhené bas nées von bem lee sels nes spest
6,7,"tot jassant cas ent rentale alt sent lié ouvrée yle recher fectuë jes tent allemagé cette peut-être peu comme carte perforée introduite ordinateur traduction d'un ensemble données premier s'est dresse contre l'arbitraire examens universitaires pragmatisme aussi total toute vie cherche faire psychologie science détache nettement philosophie métaphysique méthodes emplriques s'efforce également d'en faire science reconnue institutionnellement c'est ainsi présence sein conseil c.n.r.s. dès création 1934 permet recherche psychologique développer plus belle réussite sans doute création l'institut psychologie affirme consécration d'une psychologie scientifique pratique passionné problèmes d'ordre général estime important favoriser l'application découvertes psychologie création l'institut national d'orientation professionnelle s'inscrit cette optique mandaté autorités officielles arrivé d'avoir s'occuper exemple l'organisation l'éclairage écoles primaires l'un premiers soucis cet homme-— dont réussite ainsi celle père déterminée passation d'une quantité d'examens divers baccalauréat l'agrégation création d'une science appelée docimologie pléron péniblement passé l'agrégation l'un membres jury farouchement opposé psychologie expérimentale faisant barrage réussit finalement grâce l'appui lévy-brühl obtenant note majorité membres professeur récalcitrant voilà sans doute l'une raisons lesquelles s'est penché problème sélection individus examens particulier tous examens plus stupide baccalauréat écrivait edouard herriot lucidité chaque année confirme aujourd'hui considérant résultats obtenus baccalauréat piéron maurice reuchlis constatent qu'en pronostiquant résultats obtenus l'oral l'aide notes d'écrit trouve peine moins qu'en déterminant purement hasard d'autres termes cela signifie l'examen mesure grandchose autre observation facile comprendre peut être expliquée l'exemple suivant prenons deux élèves l'un très fort langues très faible histoire l'autre vice versa professeur d'histoire échelonne notes professeur langues l'élève obtenu note maximale langues note minimale histoire reçu moyenne 11,5 l'autre recalé 8,5 bien qu'ils finalement niveau équivalent pris sous l'angle plus général fait statistiques appliquées psychologie peuvent permettre d'annuler cette erreur due plus moins grande dispersion notes chez deux professeurs nommant résultats deux élèves score réel vraie moyenne base tout examen trouve principe moyenne ceux l'ont réussissent ceux l'ont échouent n'est considél'action d'henri pieron faveur psychologie organismes qu'il créés l'institut psychologie actuellement cours réforme suite modifications apportées l'organisation l'enseignement l'institut accueillait étudiants désireux d'acquérir formation pratique dernières années niveau requis celui licence l'institut situé rue serpente abrite outre bibliothèque porte nom d'henri piéron deux laboratoires recherche l'institut national d'étude travail d'orientation professionnelle appelé l'origine in.o.p. l'in.e.t.o.p s'occupe formation conseillers d'orientation professionnelle centre d'application étudiants euxmêmes peuvent familiariser l'étude cas concrets i.n.e.t.o.p signale également activités recherche publication d'un bullechologie travail laboratoire psychobiologie l'enfant zazzo trouvent logés organismes auxquels participé l'année psychologique l'une plus importantes revues psychologie langue française société française psychologie société dont pléron membre fort actif formée modèle sociétés savantes organise conférences colloques d'éminents psychologues trouvent regroupés centre national recherche scientifique c.n.r.s organisme entièrement financé l'etat but d'aider développement recherche général recherche fondamentale particuller présence d'henri pléron conseil supérieur c.n.r.s dès création permis sciences humaines être représentées tin périodique l'immeuble situé rue gay-lussac laboratoire psypiéron pendant cinquante ans directeur l'année psychologique sas eee res rer courbe gauss suivant laquelle répartissent principe capacités individuelles constater moyenne élèves trouve groupée centre très petit écart seulement part d'autre point détermine moyenne statistique qu'un clivage milieu conduit sélection faite hasard coupure plus juste celle séparerait élèves puisque plus doués plus faibles ceux dont répartition courbe plus nette docimologie étudie ainsi différentes caractéristiques dénonce certaines aberrations examens hétérogénéité matières double notation aptitudes résultats champ d'expérimentation vaste piéron donné investigations l'une impulsions premières fait intervenir ici psychologie comme ennemie hasard propose amélioration examens consistant meilleure formation examinateurs nette détermination préalable l'examen sert mesurer sélection qu'il doit opérer suppose enfin qu'une tête bien faite vaut mieux qu'une tête bien pleine demande examens sanction d'une assimilation progressive connaissances non l'occasion d'un bachotage intensif éclectisme toujours priorité accordée réflexion concrète manipulation choses réelles piéron jamais modifié trajectoire carrière l'homme vie œuvre diversifient application continue l'intelligence monde ténacité savoir plutôt vouloir expliquer l'effort constant développer qu'il croit l'une voies royales vers progrès connaissance mots peuvent caractériser henri piéron promenade travers quartier latin l'in.o.p l'institut psychologie rue serpente sections psychologie facultés témoignent action résultats jean chaguiboff lucien lévy-brühl philosophe sociologue français 1857-1939 professeur sorbonne auteur différents ouvrages mentalité prirnitive philosophie jacobi morale science mœurs edouard herriot homme politique écrivain français 1872-1957 président assemblée nationale 1947 1954 académicien savoir davantage piéron sensation paris p.uf. sais-je 1964 l'actinie l'homme paris p.u.f. 1958-1959 sensation guide vie paris gallimard 1955 examens docimologie paris p.u.f. 1963 rare"
7,8,ones 118100. cru
8,9,famille l'entreprise cité l'approche science humaine tend compléter sinon prendre l'approche morale juridique politique pensons cetie façon d'aborder problèmes développer psychologie veut présent grands débats époque terrain sien attitude tend substituer analyse scientifique jugement moral passionnel paraït nature faire progresser problèmes vers solutions psychologie ouvre dossiers sciences humaines car dossiers beaucoup travaux d'idées armassés étudier préjuge oplions morales politiques peuvent être prises ensuite rnais prendre options sans cette étude préalable c'est disqualifier depuis plusieurs mois docteur georges fuily préparait étude gui ferait point criminologie lorsque éclatèrent clairvaux toul loos nancy série manifestations prisons françaises docteur fully ministère justice médecin inspecieur général prisons hommes france connaissent mieux psychologie délinquants l'univers pénitentiaire voir who wl10 numéro l'un trois membres commission présidée schnelck enqguêté toul celte actualité générale sujet cette mission ofjicielle l'auteur donnent relief accru s'il besoin l'article publions c'est pièce supplémentaire ajoutée dossier brûlant cette étude qu'on lire contredit certains points l'expérience réalisée dijon décrite numéro morphologie détermine-t-elle caractère comportement claude malard étude dont l'hypothèse ligne travaux lombroso cet éclairage divergent queslion monire psychologie ouvert tous travaux menés sérieusement c'est seule attitude paraît digne disciplines encore quête certitudes j.m ——————————— janvier 1970 message annuel l'état union prononcé devant membres congrès président etats-unis d'amérique richard nixon déclarait doute beaucoup membres congrès meurent proximité d'ici oseraient soir rentrer seuls pied laissant voiture garage capitole. prédécesseur présidence lyndon johnson écrivait époque pleine ment conscient l'inquiétude public concernant l'augmentation criminalité partage cette inquiétude effet justifiée 1969 1970 alors population augmenté criminalité etats-unis s'était accrue 148 représente taux 120 edgar hoover directeur f.b.i. pouvait écrire 1969 rapport annuel criminalité etats-unis connu cours années 1960 augmentation inhabituelle criminalité c'est taux annuel d'accroissement délinquance malheureusement phénomène n'est exclusif etats-unis d'amérique rencontre tous pays industrialisés canada grande-bretagne suède présenlée comme modèle société égalitaire france enfin nombre condamnés passé l'indice 100 1960 l'indice 195 1968 tandis population passait durant période l'indice 100 l'indice 112. certes dangereux comparer statistiques dont données brutes demanderaient être soumises analyse détaillée d'une nation autre néanmoins défi crime reprendre l'expression lyndon johnson paru pressant toutes nations 1969 l'initiative société internationale criminologie université montréal fondé centre international criminologie comparée dont dessein mise commun recherches spécialistes monde entier criminalité vue défense sociale
9,10,pionniers plus illusires genre recherches 1nconlestablement cesare lombroso livres intitulé crime causes remèdes publié 1900 reprenait publications antérieures retentissement considérable cet ouvrage disciple charles darwin mettait l'accent l'hérédité psychogenèse crime s'opposant prédécesseurs tenté relier fluctuations crime variations climat tres aspects l'environnement physique vain cherché définir prototype physique criminel cesare lombroso cru ten contrer chez délinquants certain nombre stigmates reéproduisant caractères hommes primitifs animaux inférieurs ainsi criminels regard dur crâne petit front étroit arcades sourcillières proéminentes pommettes saillantes lèvres minces oreilles décollées caractéristiques anatomiques auxquelles s'ajouteraient stigmates d'ordre biologique fonctionnel comme sensibilité tactile dolorique obtuse etc bien stigmates n'eussent cesare lombroso signification d'ordre général description aboutit caricature criminel-né inspirera plupart recherches entreprises déhinquant cetie influence néanmoins affaiblie travaux d'un chercheur anglais charles goring découvrit autant stigmates parmi étudiants d'université chez condamnés anglais d'autres explications alors proposées tandis charles goring attribuait délinquance déficience mentale magistrat psychologue français gabriel tarde soutenait conduite criminelle apprise fréquentation d'autres délinquants enfin concilier thèses présence psychiatre américain william healy développa principe causalité multiple selon lequel crime résulte nombreux facteurs opérant simultanément point vue scientifique dire crime causes diverses nombreuses présente guère d'utilité moins qu'il possible formuler règles d'après lesquelles facteurs corrélations cest pourquoi recherche pable rendre compte toutes catégories crimes criminels s'est poursuivie poursuil encore selon certains auteurs dont nils christie norvégien denis chapman anglais cette héorie orsc deront sentiers ouverts cesare lombroso battus disciples nils christie posiu effet criminelogi® comme criminalité résulte yforces sociales préface qu'il écrite scandinavian studies criminology critique conception voit crr minologie l'étude délinquants considérés splendide 150lement rapport système régulation sociale s'attache rait décrire expliquer produit final c'est-à-dire individus officiellement étiquetés délinquants existe effectivement chiffre noir délinquance wallenstein wyle interrogé écrit 1020 hommes 678 femmes new york ainsi constaté d'entre admettaient avoir commis plusieurs délits énumérés loi pénale l'etat estime connaîlre vols commis grands magasins dont cas dirigeants transigent délinquants pareillement selon étude américaine rapportée thorsten sellin victimes d'attentats mœurs n'informent police études comme celles-là montrent activités criminelles limitées petite partie population désignée comme délinquante comme l'écrivait hermann hannheim côté d'un tout petit nombre délinquants professionnels armée gens complètement antisociaux tout fait honnêtes montrent honnêtes certaines situations malhonnêtes d'autres délinquance n'est mode vie l'ensemble population n'est don plus activité rare c'est girme nils christie comm onnête dire tous criminels plupart entre faible mesure délinquance sous-produit l'organisation sociale indmance apparaît cette ject1ve comme panne sous-produil nisaltion sociale l'on considère principal domaine d'étude cri- ogie constitué règles société l'infraction migles l'utilisation fait pouvoir contre membres xigence d'une recher ibérée cherche libéré notion valeur risque plus souvent d'impliquer soum issi valeurs dirigeants c'est qu'exprime d'autres lermes thorsten sellin seules intro duites loi normes protègent valeurs morales intérêts groupes possèdent moyen d'agir gouvernement l'on admet société propose tous mêmes idéaux refuse beaucoup possibilité réa liser crime cesse alors d'être phénomène isolé trevor bens sens sociétés plus démocra tiques expose-t-il classes dirigeantes définissent types comportement devant être considérés comme criminels l'accord consentement plus moins récalcitrant clas non dirigeantes aussi criminologues devraient prétend nils christie consacrer l'étude conditions sociales servent fond situation actuelle domaine délinquance chercher connaître quelles fautes doivent être considérées comme plus graves société comme nôtre plutôt concentrer caraclérisliques étroitement définies délinquants méthodes utilisées vue amender denis chapman rejoint point vue soutient qu'une grande partie travail effectué criminologie élé pure perte car repose définitions stéréolypes l'ont guidé orienté conclusions également différences entre linquants non-délinquanis faut recourir définitions opé- rationnelles font apparaître d'autres réalités derrière définitions légales cite comme exemple vente pétards bon marché écoliers 1962 mauvaise qualité pétards provoqua breux accidents écoliers blessés yeux explosion prématurée l'indignation publique contraignit fournisseurs porter remède défauts dès 1963 constaté ieurs bénéfices diminué remettaient circulation pétards dangereux s'agit d'un exemple sociologue américai® edwin sutherland appelé minalité col blanc esl fait groupes personnes estimés comme membres respé tables communauté s'agit violations loi commises l'exercice leurs activités profes sionhelles individus économique social profession respecté d'autre part symb tre délinquants nom jose non pétards dosford ment viclir sanc priées vandalist commise automati bunaux c'est outr sociales privée res dar bien
