,page,text
0,1,pettllas 000002 320
1,2,nue neou saut tet 701 savez-vous plantes campagne herbes l'acupuncture l'homéopathie consti- jardin l'eau mer l'acquisition tuent souvent traitéments d'un vrai sommeil certains mouve- féconds bienfaisants trop souvent ments gymnastique recèlent ignorés grand public vertus curatives insoupconnées faire connaître tout cela savez-vous garder apprendre tirer remettre bonne santé plus grand bénéfice vôtres voici parcourez mille donne glané hasard ransegnemen bonheur joie séder l'ouvrage doit désormais siècle. traitements lassés bons conseils arme onglets centaines noirs 250 illustrations couleu profite plus grandes études principales médecines naturelles trouverez plus riche reliure décorée grands 400 traitements bons conseils trucs etc. c'est production classés alphabétiquement parmi lesquels tionnaires maison satf autres volumes paraitre icola vivre d'aujourd'hui brico ames traîteme nts styles décoration ceu conseiller juridique etg hélioth spihérapie ergothérapie héliothérapie pendant jours mere our 100 lothalassothérapie métallothérapie naturisme ratuites utilsez ais cligothérapie rééducation etc mentallons cons vôtres milhers tient cet indis ensable bons conseils con disp bain turc caro uvrago oignon aigre cidre cte jéuner plancton sauna sels chacun mots exemple renvoie cas concernés voir tenst maison thalassothér apie voir rhumatisme
2,3,"pote sdte dep pirate note non enter ent pan murs ile syhologie comprendre savoir agir monde d'aujourd'hui septembre 1972 chercheur idées noam chomsky théorie controversée langage sylvie truffaut connaissance autres types physiques caractères tempéraments relations entre morphologie psychologie individuelles sabine baudet enfance adolescence jeu chez l'enfant activité prendre sérieux brian sutton-smith l'inconscient freud freudisme urss condamnation toujours sans appel bassine rojnov rojnova université nouvelle nouveaux lycéens refus d'un certain ennui philippe chemla connaissance soi etes-vous fataliste volontariste expériences psychologie comportement julian rotter entretien jean-françois revel etats-unis laboratoire révolution faire propos recueillis jacques mousseau librairie sciences folie direction bastide qu'est-ce créativité bessis jaoui l'acquisition langage richelle l'arbre jusqu'aux racines fernandez rénovation pédagogie bref informations who who psychologie prochain numéro vente octobre 1972 fsyey 0log iee champs elyseite centre d'etude promotion lecture 75008 paris 359,86.50 225.02.88. n-publi abonner voyez page"
3,4,chercheur icèes nul n'ignore actuellement portée réconte sclence langage linguistique stimulé exemple l'ethnologie moderne écoles encore nombreuses l'unité théoriciens quant recherches cours loln d'être réalisée nom domine cependant c'est celul noam chomsky théorie grammaire générative qu'on l'accepte non peut être méconnue tout jinguiste veut tenir courant l'évolution discipline peut permettre d'ignorer prises position théoriques chomsky au+ cune école linguistique l'heure actuelle définisse position rapport celle chomsky quelle question discutée résume linguiste anglais john lyons noam chomsky 1928 phiiladelphie pennsylvanie u.s.a. dès l'âge vingt-trois ans fait paraître premiers articles structure logique langage obtenu doctorat linguistique l'université pennsylvanie depuls œuvre pris dimensions importantes s'est répartle grand nombre d'articles revues cours conférences livres chomsky enseigné plusieurs grandes universités américaines particulier berkeley actuellement titulaire chaire langues modernes linguistique l'ins- titut technologle massachusetts m.lt. influence lingulsti- américaine considérable commence être reconnu certains milieux français quoique france tenants linguistique structu- rale plus formaliste solent géné- ralement hostiles afin mieux situer démarche novatrice chomsky posons tout d'abord série définitions buts méthodes linguistique signifie sclence langage pourquoi cette brusque apparition début xx° siècle qu'est-ce linguistique l'étude langage traditionnelle- ment réservée grammairiens phi- lologues d'une part philosophes psychologues d'autre part critiques littéraires s'essayant jeter pont entre deux pôles discusslon grammalrlens traditionnels s'intéros salent plus moins exclusivement langue littéraire bon usage home théorie langage pts édictaient règles prônaient normes s'appuyant bonne part grec latin considérés comme modèle l'origine bon français tel point vue normatif restrictif conservateur pouvait blen sûr tenir compte dialectes patois différents parlers régionaux phénomènes linguistiques considé- rés comme marginaux restaient inexpli- qués vie langue existait certes grammaire comparée linguistique historique c'est-à-dire l'on tentait d'expliquer telle évolution d'établir parenté entre différentes familles jan- gues recherches nombreuses fructueuses partajent toutes d'un pos- tulat dlachronique rénee ferdinand saussure4 école str dition historique ose enfin enfin ques- langage com non plus olution icl malntenant langue impl sylvie truffau rapport consi dératio sophiques psychologiques philo saussure premier mett lumière sens repose déposé l'hig toire attendant l'étymologie réanime qu'il situe l'on peut dire naît chacun d'eux entretient ment tous fes autres sein système d'opposition qu'est langue cette conception synchronique l'étude langage voir jour grâce études historiques précédentes faut bien dire saussure d'abord prouvé qu'il excellent spécla- liste avant s'engager epé culations linguistique générale saussure créateur postérité sciences humaines incontestable l'on peut dire au- jourd'hul problématique chomsky dépasse celle saussure faut méprendre sens mot n'implique tout rejet pur simple bien l'inté gration perspective nouvelle l'opposition behaviorisme ————— lignée saussure c'est linguiste léonard bloomfield îra très loin structuralisme pratiquement enfermera bannissant toute référence censé passer l'esprit quand parle rejetant tout recours l'introspection linguistique bloomfield adopte schéma behavioriste stimulus-réponse béhaviorisme radical veut toutes connaissances toutes croyances l'homme jusqu'aux structures pensée actions puissent s'expliquer termes habitudes acquises processus conditionnement plus long sans doute plus complexe détails tout fait semblable qua- ots hunne tre fapports multané voir l'œuvre lévi-strauss l'œuvre récent ouvrage présente paris idées cnomsky chomsky scghers coll matres modernes bin diachronic cst évolution guistiques temps opnos ble synchronic s'attache ensemie aits linguistiques considérés comme sysième moment détermine langue célèbre linguisic genevois 1857-1913 cours linguistique générale pos arcs grand retentissement lès tree nguisliques xxe siècle usa .ihe language publié 1935 tradult sous titre langage choguibulf voir sujet l'article éutson paru psychologie j-b père bchavliorisme main simple auttes tiér rivié anelyse chomsk mont systèr précis vréalis xtster +du ques faites al'éche qu'il \oie avis
4,5,philo \ettre l'his ports îtané ingue étude grâce abord pécia spéale \aines ire sens sut l'intévelle jra ssant parle 2ction onse u'aux dcrmes ocesjong qua- processus lequel pen iboratoire psychologie rats nent obtenir nourriture ppret barre cage enfermés 957 skinner fait paraître verbal behavior professychologle l'université harun défenseurs plus plus influents psychologie behavioriste chomsky rédige célèbre compte rendu l'ouvrage skinner soumis l'examen pénétrant chomsky révèle temps connalssance approfondie littérature psychologique appropriée quels arguments chomsky l'illuston fondamentale repose fait modes raisonnement d'analyse behavioristes valables lorsqu'on applique phéno mènes plus simples plus évidents qu'on met croire plutôt semblable tout encore expliqué analysé fonction raisonnements chomsky refuse croire langage main pure simple machine simplement plus compliquée -autres donc quelque chose d'enstièrement formallsable traduisible sen termes d'électronique écrivent rivière danchin analyse très pertinente l'œuvre chomsky analyse minutieuse montré mesure système concepts principes avancé pouvait être rendu précis pouvait démontrer qu'il inadéquat façon fondamentale masses structures réalisables termes théories °ne ceux l'on peut cons tater comme sous-tendant l'utilisation langage conditions empiriques suffisantes doivent être satis faites mieux encore caractère l'échec l'inadéquation tel qu'il donne peu raison croire approches bonne estè-dire l'on cha avs montré façon proche rés convaincante l'ap quate n'est seulement inadé qu'elle nombreuse importants naines fondamentaux pehavioristes rendent compte gont certains réseaux d'habie associations s'élaborent cmportement animaux tres humains :1l expliquer comment vont-ils prononce cinq six ans l'enfant fabrique phrases nouvelles lul nouveau langue fasse comprendre tical com langage gramma- vidu produe expliquer qu'un dndiet reçoit nombre infini ess distinctes dont plupart livr seur vard gminents fait énoncés inédits comment phrases l'on puisse produire l'on jamals entendues arr eure lee délall lan deegetes eee pes trs prononcées lues auparavant cette aptitude propre d'homme c'est créativité langage langue quelque chose créent individus parlent quelque chose dont tous individus possèdent commun système solt production solt compréhension tâche linguiste rechercher règles fonctionnement système inconcevable qu'un langage haute ment spécifique abstrait organisé précision puisse apparaître hasard l'esprit chaque enfant quatre ans avalt contrainte innée concernant forme grammaire ... impos sible l'enfant d'acquérir connais sance d'une langue cette contrainte condition préalable l'expérience linguistique assu rément facteur crucial déterminant modalités résultat l'ap prentissage langage l'enfant peut savoir naissance quelle jangue apprendre dolt savoir grammalre cessairement forme prédéterml née exclut nombreuses langues imaginables chomsky appelle compétence linguistique possession intuitive système langue l'individu l'oppose qu'il appelle performance c'est-àdire l'acte particulier production d'un énoncé fonction compétence notons combien cette perspective éloignée celle iingulstes structuralistes veulent tenir compte données observables mesurables quantifiables emilio arcaini relève qu'avec chomsky contraire plaçons devant nombre limité d'observations s'agit d'ex pliquer certain nombre faits partir formuler hypothèses modèles théoriques susceptibles expliquer phé nomènes connus d'en prévoir développements futurs l'originalité chomsky pourrait résumer façon suivante veut crire langue veut expli quer competence linguistique particulier dira jusqu'alors recherches linguistiques habltuelles portaient surface c'est-à-dire réalisations matérlelles concrètes effectives langage évitait soigneusement d'aller au-delà comportement ingulstique apparent chomsky système moteur détermine comportement c'est système compétence lingulsti sous-tend comportement qu'on peut cerner façon simple directe comporte ment chomsky lul certain nom- eme late rit ent tpe tie minpelll bre lingulstes américains j'habltude d'appeler grammaire générative système moteur caractérise compétence d'un individu tout passe comme sujet parlant ventant quelque sorte langue fur mesure qu'il s'exprime redécouvrant fur mesure qu'il l'entend parler autour assimilé propre substance pensante système cohérent gles code génétique détermine tour l'interprétation sémantique d'un ensemble indéfini phrases réel jes exprimées entendues tout passe d'autres termes comme s'il disposait d'une grammaire géné rative propre fangue comme von dit fréquemment aujourd'hui telle grammaire doit pouvoir rendre compte toute phrase réelle possi ble donner description for melle contienne toutes instruc tlons prévues code génétique langue concernant aussi bien sens contenu sémantique phrase forme structure phonologique lorsque parlons inventons donc constamment procédons analogie engendrons phrases spontanées structures toujours nouvelles machine peut justement faire c'est sens linguiste américain amené redécouvrir grammairiens philosophes interrogés xvii® siècle lois générales langue devenu semble clair îles hypothèses approches parais sant aujourd'hui productives fum elles manifestement tradition nel général tradition bien daignée largement revivifiée dernières années contributions reçu attention sérieuse crois méritée théorie chomsky apparaît ainsi comme redécouverte problèmes linguistiques fondamentaux posés philosophes xvii siècle chercheur d'abord épuisé possibilités théorie exclusivenes chomsky lyons paris seghers skinner voir l'article paru psychologie langage 1959 10. rivière danchin linguistique nouvelle paris universitaires calculatrices spectrographe sonore traductrices conccpt information langage pensée paris payot 1970 chomsky psychologie langage l'esprit sccrétaire général centre italien jinguisuque appliquée arcaini vient pu- principes linguisti iquée paris payot appliquée chomsky langage pensé payot 1970 gage pensée paris chomsky quelques constantes théorie linguistique article revue diogène 1965 publié chomsky langage pensée conférence aite berkeley traduction pose première anvie paris payot 1970 janvier 1967
5,6,grammaire gene theorie langage grammaire générative transformationnelle rative transformationnelle règles règles syntagmatiques transformationnelles système lexique catégorlel das roc ess structure profonde indicateur syntagmatique surface c'est domaine syntaxe gue chomsky apporté plus importante contribution technique linguistique rappelons représente syntaxe grammaire générative transformationnelle telle linguiste conçue grammaire générative d'une langue peut être conçue comme mécanisme énumère définit l'ensemble phrases grammaticales cette grammaire constituée composantes évoquions savoir composante syntaxique fournit descriptions structurales phrases c'est-à-dire l'information grammaticale relative phreses composante sémantique détermine sens doit être assigné phrases composante phonologique indique comment elles doivent être prononcées composantes sémantique phonologique donc nature noiute purement interprétative puisque fonction seulement d'assigner respectivement sens prononclation phrases fournies composante syntaxique composante syntaxique comporte ensemble règles syn- tagmatiques composition ensemble règles transformationnelles règles syntagmatiques règles base comprennent tour choses système catégoriel lexique gros peut dire lexi- mots langue définitions dictionnaire énoncés vont utiliser com- posant catégorie l'ensemble relations grammaticales significa tlves jangue exemple relation sujet-prédicat verbe-objet ... règles syntagmatiques engen- drent chaque phrase struciures profondes gles transformationnelles convertis- sent structur ment structuraliste linguistes dernes cette voie recherche abandonnée c'est parce outils techniques manquaient grammaire générative élaborés grâce besoins logique mathématique années 1936. l'introduction linguistique cartésienne chomsky situe pro pos d'attirer l'attention ceux engagés l'étude grammaire dgénérative toutes implications cette œuvre peu connue touche jeurs préoccupations souvent anticipe certaines leurs conclusions voit bien grammaire géné rative amenée redécouvrir thèses classiques c'est propre veloppement interne conduite non volonté délibérée arbl traire retour tradition comme disait déjà descartes aussi différence programmatrices parleront jamais façon l'homme chomsky couvert usage créateur système supposé pourtant fini grammaire générative qu'est-ce grammaire generative quoi consiste exactement cet aspect créateur l'utilisation lan gage distingue l'homme fois l'animal ordinateurs chomsky définit partir trois observations importantes première l'utilisation normale langage novatrice sens qu'une grande part disons utilisant normale ment langage entièrement nou veau n'est répétition entendu rap ravant calque structure quel sens donné mots calque f'struer ture phrases discours entendus passe l'utilisation normale langagë n'est seulement novatrice étendue potentiellement infinie aussi libre tout contrôle stimuli décelables qu'ils soi externes internes c'est grâce cette liberté face contrôle mulus langage peut servir trument pensée d'express individuelle discussion cartésienné iimites l'explication mécanisie véla troisième propriété dëé lisation langage c'est-à-dire hérence adéquation diffé- situation bien rent contrôle tre externes pouvons ésierittè 18. chomsky linguistique carl paris seuil 1969 stence l'exis systè vistes deux l'un rupture rejoint philoso rieure faite tion structu estce toncen tendu lin choms
6,7,"arbl lition rammaà dé/stème mmaire tive ent cet lanla fois chomsbservalisation ice ormalent nourjétition aupäde sens strucjscours ans angage d'une râce sti- clatre définitive quoi adéquation cette cohéren onsistent exactement mails ngepts sans aucun doute signies pouvons faire départ l'utilisation normale langage divagations d'un maniaque données d'une calculatrice dont élément déréglé différence langage humain systèmes d'information communication animaux cybernétiques systèmes absolument condi- donnés relèvent l'explication mécaniste non comme jes behavioristes l'affirment différence yantitative entre langage animal langage humain coupure qualittive chose nouvelle .est cette distinction traditionnelle ment seul philosophe pouvait faire c'est époque jinguiste sous peine pouvoir rendre compte façon satisfaisante objet d'étude doit postuler l'exisî tence exactement d'ailleurs psychanalyste doit postuler l'existence psychisme comme système non réductible physiologique. alors théories positivistes supposalent continuité entre deux ordres passage progressif l'un l'autre théorie chomsky contrairé part postulat d'une rupture qualitative c'est qu'elle rejoint plus véritablement réflexion philosophique traditionnelle antérieure cartésianisme évoqué distinction faite entre description explicatlon opposions cela école structuraliste l'école chomskyenne estce seul domaine chomsky celul l'explication théorique concepts fondamentaux non bien entendu concerne maître linguistique contemporaine qu'est chomsky n'en rien structure profonde structure surface lpable d'élaborer réflexion poustaux pal problèmes fondamensi discipline chomsky l'est aus- maîtriser techniques matériell conceptuelles plus complexes parce qu'il connaît parfaitement pau vue routine lin- sky domine choms d'est montrer jimites tives propres perspec suscite remettent trop cause qu'il sactle assez souvent encore réns méfiance d'hostilité cel d'une peut mesurer l'importance œuvre partir äissante ainsi tluité jruition centrale créatechniau angage chomsky expose loue langue propose node d'analyse exemple sky reprendrons classique grammaire port-royal permettra d'exposer principes d'analyse grammaire gé- nérative phrase française dieu invisible créé monde visi- grammairiens xvie siècle falsalent remarquer cette phrase apparence simple l'auditeur pouvait percevoir système trois propositions exprimant l'on veut trois idées dieu invisible dieu créé monde monde visible première approximation peut dire séquence phonique dieu invisible a-créé je-monde visible constitue chomsky appelle structure surface alors propositions sous-jacentes forment structure profonde structure surface décomposable sujet complexe dieu invisible attribut prédicat complexe créé monde visible structure profonde faite contraire propositions simples type sujet-prédicat décomposition idées simples phrase complexe général structure surface correspond structure profonde exemple proposition contre trois bien entendu écrit chomsky cette structure pro fonde n'est qu'implicite n'est exprimée seulement représen tée l'esprit structure profonde constitue réalité mentale sous jacente accompagnement mental l'énoncé forme face l'énoncé produit corres ponde directement point point non restent trois transformations grammaticales opérations caractérisent passage structure profonde structure surface poursuivons exemple extrémement simplifié disons phrase dieu invisible créé monde visible première règle transformation structure profonde consiste utiliser pronom relatif dieu invisible créé monde visible seconde règle consiste éllminer pronom raccourcir phrase coup supprime copule fois définis trois concepts base l'analyse donner grammaire engendre langue compétence linguistique idée plus précise faut considérer grammaire d'une 19. chomsky langage pensée ouv cité 20. rivière danchin ouv cité 21. linguistique cartésienne ouv cité 22. suite sons c'est-à-dire l'on s'en tient uniquement matière sonore 23. linguistique cartésienre ouv cité 24. lie sujet l'attribut parle lencleuetes cpas etes hue dut ets chomsky peut llc nouvelles méthodes permettent d'acquérir rapidement mémoire excellente conment oenir maur pauauue dont besoin avez-vous remarqué cerlains d'entre semblent toul retenir facilité alors d'autres oublient rapidement qu'ils qu'il entendu d'où cela vient-il spécialistes desproblèmes dela memoire formels cela vient fait premiers appliquent consciemment non bonne méthode mémorisation alors autres savent comment procéder autrement dit bonne mémoire n'est question don c'est question méthode milliers d'expériences témoignages prouvent suivant méthode préconisons centre d'etudes obtiendrez mémoire quelle qu'elle actuellement performances première vue incroyables exemple pourrez après quelques jours d'entrainementi facile retenir l'ordre cartes d'un jeu l'on effeuille devant encore rejouer mêmoire oarle d'échecs retiendrez aussi facilement liste départements numéro-code mails nalurellement but essenliel méthode n'est réaliser prouesses genre donner mémoire parfaite lavie courante c'est ainsi qu'elle permettra retenir instantanément nom gens lesquels entrez contact courses visites faire sans agenda l'endroit rangez affaires chiffres tarifs etc vie entière n'oublierez plus nom visage mois ans après retrouverez nom d'une personne rencontrerez comme l'aviez vue vellle parvenez aujourd'hui c'est prenez mal car toul monde peut arriver résullal condition d'appliquer bons principes méme méthode donne résultats peut-être plus extraordinalres encore lorsqu'il s'agit mémoire éludes effet permet d'assimiler façon del nilive temps record centaines dates l'histoire milllers notions géographie sclence l'orthographe langues étrangères etc tous étudiants devraient l'appliquer faudrait l'enseigner lycées l'étude devient alors tellement plus facile voulez avoir plus détails cette remarquable méthode certainement intérêt demander livret graluit proposé ci-dessous faites-le lout suite car acluellement pouvez proliler d'un avantage exceplionnel gratuit découpez bon recomez-le adressez-le service centre d'éludes,1 s.mallarme paris 17° veulllez m'adresser livret gratuit comment acquérir mémoire prodigieuse donner tous détails l'avantage indiqué ci-joint timbre 0,50 frais pays hors d'europe joindre trois coupons-reponses nom cuuéueuns tree nanenntendee fon stat plats sit"
7,8,lcr ean structure arbre l'information donnée règles syntagmatiques peut être représentée diagramme forme d'arbre diagrammes dits phrasemarkers indicateurs syntagmatiques représentent l'histotre d'une phrase struciure profonde comprise l'indicateur syntagmatique sous-jacent toute cette information nécessaire àssigner sens phrase c'est-àdire composante sémantique grammaire génératrice transformationnelle directement rellée structure profonde phrase contraire règles transformationnelles font transformer indicateurs syntagmatiques d'autres indicateurs syntagmatiques s'attachant révéler structure surface phrase mots l'ordre apparaissent règles fournissent éléments nécessaires partie phonologique grammaire définitions posées voici exemple très simplifié donné chomsky nature for… melle langage admettons aÿons lexique john nom sad adjectif système catégoriel psn sv—be adj sn— past adjæ respectivement phrase syntagme verbal syntagme nominal auxiliaire verbal nom adj .adjectif flèche indique chaque tégorie doit être réalisée façon inscrite droite exemple règle adj lit syntagme verbal fait l'auxillaire être suivi d'un adjectif tandis règle indique phrase faite d'un syntagme nominal sulvi d'un syntagme verbal donc adj fonction règle entre deux dication supplémentaire concernant verbe savoir mise verbe passé past fonction règle past symbole terminal symbole postiche comme joker jeux cartes représente n'lm porte quelle valeur n'importe quel élément lexique nom adjectif noouoououoduoouououùuùuo… appliquant successivement toutes règles composant tégorlel obtient suite d'opérations suivante dont transcription appelée conventionnellement érivation adj adj past adj past fonction règle d'abord défini seconde ligne phrase comme indication auxiliaire puis chaque ligne suivante remplacé catégories leurs réalisations respectives indiquées règles savoir adjectif simple nom past indication passé nom l'adjectif joker indique qu'on devra mettre place mot lexique obtient alors dernière ligne struciure profonde d'ailleurs très simple qu'on peut également représenter schéma arbre past adi john sad l'on remplace postiches éléments fournis lexique imposé doit mettre john nomj place premier sad adjectif place dernier donne john-past-be sad john/passé/être/triste structure profonde phrase qu'on recompose immédiatement john was sad john triste forme was réprésente blen l'auxiliaire être passé explications quelque peu techniques donnent idée subtilité l'analyse phrases laquelle parvenu chomsky principal intérêt techniques grammaire générative transformationnelle réside falt qu'elles permettent falre apparaître plusieurs niveaux construction phrase particulier falre apparaître structures profondes n'apparaissent tout structures surface l'exemple cst don rivière danchins expli lin langue comme système glos caractérise structures prof superficielle leurs relations transformationnelles dre compte l'aspect créateur l'utilisation langage caractéri domaine infini structures superficielles profondes plées syntaxe semantique phonologie comment s'organise grammaire admet tout d'abord andré mar tinet toutes langues étudiées jusqu'ici deux niveaux structure grammaticale premier niveau d'analyse l'on peut appeler primaire syntaxique phrases peuvent être représentées comme combinaisons d'unités signifiantes mots puis deuxième niveau secondaire phonologique phrases peuvent être représentées comme combinaisons d'unités signifiantes elles-mêmes servent identifier premières unités sons phonèmes prenons comme exemple phrase tunis. pouvons dire phrase composée quatre mots première unités primaires identifiée combinaison unités secondaires deuxième unité pri maire combinaison gtaar.… ainsi suite toute längue caractérisant double articulation pouvons attendre description gramr maire d'une langue divise trois parties indépendantes partie rend compte régularités vernant combinaison mots syntaxe règles syntaxt ques exemple permettent dire tunis phrase grammaticale non nis partie grammaire décrit sens mots phrase sémantique partie traite sons combinaisons possibles exemple fait non mot possible français phonologlie c'est surtout domain£ théorie syntaxique chomsky porté contribution technique plus importante structures syntoxt ques aspects théories syntaxique chomsky exp05£ cou strueturè pien l'émission fil linguistique française enseigne bonne l'auteur nombreux our utis dont plus célèbre eléments tique paris armand colin 1067 auÿ 21. paru sous titre syntactic shrct qult états-unis 1957 col ouvrage êtf 1969 paris seuil 28. asvects theory syntax 1964 tunduit parts seuil 1971 couplées signifie fonde accompagne aussi réception message 26. martinet l'un chefs press drink drouve
8,9,inaisons seconphrases servent tés phrase dire quatre unipar ndaires ité pritan gran partie qouest syntaxirent phrase tuire jhrases traite ssibles non ançais 8pla plus eduil press détaillée modèles cas grammaire générative armetionnell ambiguites langage vantages type gramle pes particulier pouvoir d'une façon assez satis- compte assez certaines ambiguîtés séman£ jus ment déconr décrire techniquement schématique position quel point notion vons mesurer quel niveau d'analyse structure profondestructure surface peut être utile expliquer phrases phrase ambiguë suivante disapprove john drinking désepprouve fait john boive cette phrase peut faire référence fait john boit l'instant comportement habituel dadepte boisson chomsky propose alors deux phrases très proches lesquelles l'ambiguïté résolue deux façons différentes disapprove john drinking the beer- john boit bière n'approuve cela disapprove john excessive .drinking john boit trop n'spprouve cela voit travers première phrase peut aussi bien penser l'un l'autre type d'interprétation c'est pourquoi phrase embiguë grammaire interne dit chomsky donne deux structures abstraites différentes phrase dont l'une liée structure sous-tend l'autre structure sous-tend niveau structure profonde qu'apparaît distinction effacée transformations esquissent structures profondes forme perficielle associée autre exemple plus frappant ambiguë celui qu'analyse nature formelle bal what disturbed john was éing disregarded everyone. mir avant toute chose cette tits deux interprétations dis pre première signifie tout mot route fait seconde négligeait selon monde veut dire tout blalent gear choses trouon doit ohn. premier cas jacente gprouver présence sousiregarded proposition everyone téglgezit jorge monde implicite car relation ded erbe-objet entre disregar john second cas nes exe shomsky mples donnés anglais seuil 1969 7melle langage paris linguistique cartésienne sfr suuste actuelles hebdomadaire d'informations générales sommaire valeurs actuelles égal celui grands hebdomadaires internationaux actualité politique intérieure internanationale enquêtes spectacles beaux-arts economie bourse etc ... chaque semaine équipe journalistes donne vision objective événements valeurs actuelles édité compagnie française journaux rue d'uzès paris tél 231.20.84
9,10,contraire telle relation grammaticale n'existe absolument sans pousser plus loin l'exposé l'analyse peut simplement remarquer méthode chomsky rend compte façon très précise fait qu'il plusieurs découpages syntaxiques possibles phrase c'est découpage choisi dépend l'interprétation sémantique phrase l'existence phrases ambiguës manifeste particulière clarté l'incapacité structures surface représenter adéquatement relavtions profondes conclut chomsky bien entendu langues beaucoup moyens remédier caractère d'ambiguité certaines leurs phrases général contexte l'énoncé seul indique quel sens faut l'interpréter c'est aussi cette possibilité d'ambiguîté fait richesse langue puisqu'un seul énoncé peut évoquer plusieurs systèmes d'interprétation analyses chomsky d'une extraordinaire richesse temps d'une très grande précision montrent quel point grande l'imagination expérimentale savant dont travail consiste permanence inventer exemples temps hypothèses explicatives permettent d'en rendre compte quelle part travail doit être retenue postérité scientifique peut dès maintenant mesurer j'importance considérable langage pensee chomsky non content fournir linguistique outils techniques perfectionnés donne objectifs plus généraux ceux auxquels recherche habituelle tend réduire savoir connaissance pure simple fonctionnement esprit pensée c'est-à-dire l'intelligence humaine mécanismes connaissance général l'étude langage offre avis confie chomsky forts indices piriques prouvant théories empiristes d'apprentissage tout fait insuffisantes cours dernières années s'est sérieu sement efforcé d'appliquer prin cipes d'induction généralisation d'analyse données expliquer connaissance d'une langue efforts soldés échec total méthodes principes question n'échouent ralson super ficielle comme manque temps données ralson incapacité intrinsèque mettre évidence système règles sous jacent l'usage normal langage toutes indications possén dons l'heure actuelle renforcent thèse veut toutes langues ent commun profondé aines hum mêmes prot enracinées dhlétés d'organisation jes mêmes structures peut supposer .sans grand risque propriétés universaux linguistiques aptitude innée esprit plutés résultat d'un apprentissage cela vrai l'étude langues vient éclairer certaines questions depuis longtemps suspens domaine théorie connaissance fois plus vois guère raison douter vrai langage aussi d'autres formes connais sance humaine ... domaine convergent linguistique psycholo gie philosophie pouvons trevoir années venir possibilités recherches nombreuses passionnantes militant politique cette hypathèse l'innéisme critiquée empiristes structuralistes behavioristes quoi qu'il l'état actuel recherches faits n'autorisent l'infirmer professeur john lyons élève chomsky conclut termes vrai devons moins envi sager possibilité théorie chomskyenne grammaire généra tive rejetée jour majo rité linguistes comme non perti nente quant description langues naturelles devrais ajouter pense quant beau° coup linguistes cet avis tentative codifier concepts employés l'analyse langues devait échouer tenta tive elle-même permis compréhension infiniment plus profon concepts cet égard révolution chomskyenne peut réussir réputation noam chomsky s'est d'abord faite linguistique trahir pensée cet extraordinaire créateur passer sous silence activités politiques peut dire certain sens c'est politique amené chomsky linguistique effet influence considérable développement inra chomsky celle zel professeur isti l'université tstdue ennsylvanie chomsÿ lurmême expliqué c'est sympathie opinions politiques harris poussa s'inscri comme étudi nserre due udiant linguistique chomsky s'intéresse poque depuls enfance opini formées qu'il appelle communauté juive radicale new toujours orientées allsme l'ana depuls 1965 devenu l'un principaux critiques bolt étrangère américaine d'essais cette question nure rque nouveaux mandarins dédié jeunes gens coura refusent servir criminelle largement rer comme l'une condamnations plus violentes jamais faites l'ntes vention américaine viêt-nam choms fait procès l'impérialisme américain conseillers univer sitaires gouvernement s'érigeant experts compétents domaine compétence scjentifique possible considérations morales plus élémentaires prévaloir coupables trom per pubic nature guerre viêt-nam l'intervention améri caine cuba tant d'autres faits héros nouvelle gauche chomsky s'est exposé peines prison refusant payer moitié impôts appuyé encouragé jeunes gens refusaient faire service militaire viêt-nam fidèle idées conceptions exposées linguistique chomsky convaincu hommes différents animaux machines cette différence doit être respectée gouvernements comme sciences c'est cette conviction fonde unifie toute pensée politique linguistique philosophique sylvie truffaut jeux 41. chomsky psychologie auteur chomsky paris seghers 1911 d'une introduction linguistique théorique paris larousse 1970 33. paris seuil combats 1969 voir aussi guerre asie paris hachette 1971 savoir davantage ouvrages chomskvy paris structures synltaxiques seuil 1969 aspects théorie syntaxique pa- ris seuil 1971 linguistique cartésienne suivi nature formelle langage paris seuil 1969 langage pensée paris petite bibliothèque payot 1970 l'amérique nouveallt mandarins paris seuil 1969 guerre asie paris hachette 1971 l'analyse formelle langues nalitrelles cet ouvrage écrit cor laboration miller gauthier villars mouton 1968 ouvrages chomsky lyons chomsky paris seghers coll maîtres modernes rivière danchin lingli® tique culture nouvelle paris universitaires 1971 ouvrages généraux arcaini principes linguistiqu appliquée paris payot 1972 lyons linguistique générale ris larousse 1970 ntn ruwet introduction maire générative paris plon 19681
