,page,text
0,1,mcstez
1,2,oùlsont oniginales crancis sayaiologues l'diuliutheque cha tonale universitaire 18.dec.1966 lausanni collection s'imposait complète psychologie classiques psychologie revue psychologie familiarisé travaux grands psychologues temps certains chercheurs fait l'objet d'interviews cette revue ainsi commenté résultats leurs travaux grands principes leurs théories sans doute rarement reporté lextes originaux auteurs n'avez sans doute consulté leurs ouvrages fondamentaux pourquoi aussi étonnant cela paraisse beaucoup ouvrages n'ont jamais traduits certain nombre d'autres édités temps jamais réédités amateurs curieux peuvent consulter bibliothèques universitaires dont l'accès n'est toujours facile étudiants eux-mêmes watson jamais publié français certaines œuvres cependant parmi plus importantes patrimoine culturel humain c'est pourquoi c.e.p.l qualité d'éditeur psycho- logie voulu rendre service tous ceux attendent lire enfin chefs-d'œuvre psychologie pris l'initiative d'éditer ouvrages pilotes amateurs psychologie peu- vent ignorer cette collection s'appelle clas- siques psychologie pourquoi rassemblement parce chacune œuvres c.e.p.l propose d'éditer rééditer fait partie livres qu'il faut avoir avoir lusl parce rassemblement tous ouvrages sein d'une unique bibliothèque n'avait jamais encore réalisé kretschmer fallait lire l'allemand voici premiers paraître inedit watson behaviorisme l'exemple type l'ouvrage justifie telle collection puisqu'il expose doctrine psychologie plus répandue monde behaviorisme watson théorie com- portement dont l'influence encore fondamentale toute école psychologie inedit krestchmer hommes génie krestchmer inventeur classification objective caractères découvert mis valeur corré- lations entre types tempéraments etl aspect extérieur individus epuise kôhler intelligence nges supérieurs bon exemple ivres actuellement hors portée lte œuvre 22. travaux gestalttheorie etude expé- l'intelligence binet chercheur l'idée mesurer l'intelligence humaine l'inventour premier test permettant comparer quotient intellectuel individus tous tests pratiqués aujourd'hui découlent travaux autres auteurs paraître piaget sheldon adler zipf miller etc behaviorisme loujours actuel cette collection classiques psychologie développera raison d'un volume tous trois mois reliure fois élégante solide conçue faire ouvrages volumes référence travail permet îles consulter constamment sans fatiguer présentation uès soignée rend ailleurs dignes plus belles bibliothèques c.e.p.l peut expédier dès main tenant premier volume inédit français behaviorisme théorie comportement watson joint cette lettre bon permet commander après l'avoir reçu pourrez donc connaissance cause réserver vrages suivants cellivre envoyé communication gratuite rbcgep ältoutilecteurndel£syc 10/0916 rien role amant simple parie attachélalcette page
2,3,"ans psychologie monde d'aujourd'hui décembre 1972 chercheur idées ivan illich déscolariser société michèle hanu tests dossier tests sont-ils racistes race intelligence éducation h.j eysenck est-il facteur réussite cohen nouveaux critères d'intelligence watson ————— ———— ———————….—— entretien pierre debray-ritzen contestation psychanalyse comme science jacques mousseau psychologie animale tribune libre perversions sexuelles chez animaux déviations humaines sans remords jacques sugny premier stage psychologue cilinicienne manque communication tous niveaux thérèse thomas époque psychologie échecs qu'est-ce fait gagner bobby fischer eliot hearst connaissance autres phrénologie est-elle ridicule l'aventure théorie bosses crâne david bakan librairie l'explosion sciences humaines l'édition enquête michel sutter ent racines hasard kæstler rès e.s.p. c.e hansel lire piaget droz rahmy pin bref 47-53 échos who who psychologie pin prochain numéro vente janvier 1973 psycho champs-elvsges 75008 paris 369,06,60 225.02.88 logie edite centre d'étude promotion lecture agonner voyez page"
3,4,chercheur idées détruire l'école déscolariser société voilà thèmes fait connaître ilich france l'ont fait discuter passion milieux pédagogiques certes l'école crise préconiser remède aussi radical c'est proposition moins inattendue étonnante part d'un prêtre d'un éducateur d'un universitaire ex-recteur d'université directeur d'un centre culturel inquiétante puisqu'elle revient conquête durement acquise scolarité obligatoire irritante aussi car démolit puis lance objectifs plutôt qu'elle définit moyens reconstruire stimulante pourtant formulation passionnée horizons inexplorés qu'elle ouvre nul doute qu'elle n'intéresse enselgnants tous ceux quelque degré partie prenante système scolaire arrive outre moment l'opinion préparée recevoir rendue critiques adressées école sclérosée inégalitaire préoccupée remise cause d'une société consommation productivité tout prix d'ailleurs bien d'autres raisons s'intéresser phénomène lillich presse manqué l'occasion parler centre interculturel qu'il fondé cuernavaca mexique démêlés vatican leçon ghettos ivan 1îlich vienne 1926 d'un père dalmate propriétaire ingénieur d'une mère juive allemande falts l'ont-ils prédestiné être apatride déloyal convic tlon tout drapeau2 revanche souligne combien pénible avoir langue maternelle s'est initié langage travers deux trois langues dès plus tendre enfance aujourd'hui parle huit couramment perdu parents camps concentration études brillamment déroulées disciplines villes diverses sclences art florence doctorat d'histoire salzbourg théologie rome ... toutefois trouve moyen définir profession suls cristallographe ordonné prêtre 1951 commence ministère ghetto portoricain new york rencontré hasard racontet-il coin 108° descol ariser socete rue c'est qu'il apprend l'espagnol qu'il parle encore aujourd'hui comme porto-ricain réfléchit phénomène sans précédent constitue l'immigration porto-ricains nationalité américaine pourtant étran- gers trouve auditeur attentif personne monseignéur spellman c'est proposition dernier qu'il nommé 1958 camérier secret surnuméralre cependant mort cardinal illich demandera être rayé liste prélats 1956 vice-recteur l'université ponce porto rico organise cours soir adultes cours d'espagnol prêtres américains décidés consacrer vie parois- porto-ricaines new york connaissance cette langue remarque- suffira jeur faudra plus encore savoir entendre partager l'angoisse d'une population faute quol jamals accueillis entendus apprendre langue observe-t-il consiste plus reconnai- vtre silences syllabes silence avant mots entre photo ruszka michèle hanu mots mots vivent meu rent ... missionnaire attend débl ter platitudes bien apprises parce qu'il consenti l'effort péné trer langage vivant d'autruja name longue marche mme c'est porto rico 1958 qu'il lie d'amitié everett reimer entame dialogue depuis avant première ren- contre déclare-t-il l'introduction société sans école m'était jamais venu l'idée mettre doute nécessité développer l'enselgnement obligatoire quelque temps vice-recteur l'univer sité lors d'une cérémonie remise diplôme dénonçait l'école comme vache sacrée demandait étu diants d'imaginer porto rico sans école sulte démêlés auto- rités civiles religieuses chassé porto rico d'aucuns évoquent sujet positions peu orthodoxes contraception l'engagement politique l'eglise lui-même explique humour avoir mis porte avoir soutenu l'éducation publique recevait assez d'argent l'etat semblait injustement concurrencée collèges privés percevait déjà budget l'etat l'énormité cette exigence pourtant logique montre qu'il vain réformer l'école illich songer longuement pendant l'immense marche d'une année conduit porto rico cuernavaca parmi pauvres l'amérique latine l'école fait plus mal bien contribuables palent toujours plus cher alors qu'ils participent peu plus trouvent l'existence l'école exclus d'une société laquelle billet d'accès 1960 l'époque jean xxii demandait autorités ecclésiastiques d'amérique nord d'envoyer leurs effectifs amérique latine lllich fonde cuernavaca cidoc centre interculturel documentation futurs missionnaires peuvent s'initier langue espagnole problèmes latino-américains l'objectif d'illich frédéric gaussen monde l/vr. certain regard ivan lich intervit menée j.-m. domenach émission vision îre chaîne mars 1972 22h 30. libérer l'avenir l'éloquence silence
4,5,cache hostilité projet papal mettre face d'eux mêmes réalité qu'ils puissent connaissance cause refuser accepter charge qu'on voulait confier missionnaire participe campagne d'endoctrinement destinée convaincre pauvres mérites d'une façon vivre riches jugent satisfalsante doit accepter sacrifice personnel rejeté qu'il inutile voire nuisible l'inquisition 1968 juin 1968 congrégation doctrine foi soumet illich questionnaire digne méthodes l'inquisition questions récapitulant accusations personnelles parfois injurleuses portées compte refusant répondre lilich demande être libéré privilèges ecclésiastiques tout gardant qualité sacerdotale vœux attachés obtiendra satisfaction janvier 1969 cidoc interdit tous religleux décision unilatérale vatican nouveau ouvert six mois plus tard demande l'évêque cuernavaca quelques conditions cependant bien centre association clvlle cidoc situé quarantaine kilomètres mexico certainement expérience jnstructive éducateur trois cents quatre cents personnes apprennent l'espagnol quelques mois laboratoires langues plus souvent jeunes latino-américains nullement professeurs qualifiés souvent reproché illich n'en parler davantage réticent lorsqu'on pose questions sujet est-ce université ouverte c'est tout cas université sans univer sitaires peut-on considérer comme modèle pro- once plus dix ans qu'elle fonctionne. sans doute voudrait-il qu'on cople paresseusément lieu prendre peine comprendre objectifs certes attaché j'ai amis là-bas conflet-il conviction cidoc aussi centre recherches l'on essaie d'imaginer pourrait être politique bénéfique l'amérique latine particulier l'idée d'une déscolarisation société pris forme actuellement iilich homme très sollicité sorte bohémien supéleur domenach parcourt monde donne conférences écrit discuté interrogé personnage étonne impressionne séduit irrite vifargent fesquet brun mince visage taillé couteau yeux litatat lee pétillants d'intelligence parole sac- cadée mains expressives présen- tant tour tour poésies statistiques rempli quelques mois émission service recherche l'ort.f petit écran presque solitairement peine guidé îles questions j.-m. domenach apparem- ment ressenties comme contraintes car ivan illich parle seul cela jui reproché tous ceux voudralent demander d'éclaircir préciser pensée d'indiquer moyens mettre œuvre encore formuler critiques poser questions didier piveteau évoquant jour- nées saint-jean-de-luz lilich invité côtés d'edgar faure souligne combien l'attente audi- teurs déçue rappelle qu'illich dis- parut après conférence jus- tifie aussitôt attitude préoc- cupations déjà au-delà celles auditoire soucieux l'interro- ger étapes plus anciennes d'une pensée avance trop vite sens imprévu souligne justl- fle également l'hermétisme dis- cours n'essale d'étonner d'isoler procède nécessalrement nouveauté pensée qu'il exprime vise créer nouveau langage exprimer visions nou- velles illich décrit démon- tre prophétise annonce telle vigle horizons qu'il seul apercevoir dont peut parler métaphores telle peut-être clés rentrer cette pensée radlcale remet cause toute société s'attaquant fondements mieux établis idoles8 scolarité obligatoire ——————————— proces scolarite obligatoire avoir compris méfaits ivan illich dolt rencontre pauvres confronté deux sortes pauvreté celle ghetto porto-ricain new york celle pays sous-développés d'amérique latine celle isolée ville riche celle coupée d'un monde nantl peu envahie pauvreté traditionnelle l'amérique latine dure n'interdit cependant sens dignité soulagée chaleur humaine d'une communauté village nouvelle pauvreté c'est celle paysan attiré séductions ville dépourvu tout nécessaire survivre particulier sans certificat scolarité permet d'accéder emploi envahit tout pays fur mesure exportés idéaux institutions pays développés qu'apporte effet scolarité obligatoire signe progrès crolt-on latino-américain impôts htres dos dutess cee ninse espoir absurde car chacun paie gonstruction écoles profite n'est minorité soclalement privi- légiée d'abord assez d'écoles tous ensuite elles inadaptées ceux fréquentent plus d'un enfant perd mani- festement temps n'est-il ten- tant vrai dire plus sage s'em- ployer travaux utiles rapporter quelque argent maison d'où nombreux abandons désertores d'autres persis- tent quelques années peu succès sortent trop vite l'école n'est-il décourageant retrouver chômage incapables trouver s'employer n'ont consommé assez d'éducation coupables l'avoir fait société cela possible obligatoire possible bien entendu ceux réussi l'ont mérité per- sonne songe jeurs avantages famillaux intellectuels financiers puisque l'école obligatoire donne tous mêmes chances réussite sco- lalre justifle donc tous prlvilèges découlent premier succès l'inégallté soclale rationalisée pauvres inférieurs savent inférleurs peuvent s'en prendre eux-mêmes pauvreté situation fait s'aggraver l'instauration prolongation scolarité obligatoire tous pays minimum obligatoire plus plus inaccessible fossé creuse entre déshérités capitalistes savoir plan international pays sous-développés s'essoufflent rattraper retard trois ans scolarité signifient rien new york tout monde consomme douze peuvent moyennant efforts financlers extraordinaires finalement vains pérou quart budget consacré l'éducation mals seulement quart enfants scolarisé d'entre bénéficie moitié dépenses d'ailleurs assez riche avoir école égalitaire etats-unis assurer seuls niveaux primaire secondaire possibilités d'enseignement égales département l'education calculé qu'il faudrait doubler budget actuellement consacré libérer l'avenir charité trahie france devant large auditoire moins car cuernavaca dialogue société sans école introduction orientations beaucoup dire métaphores religieuses c'est homme l'ancien testament disent amis obéit commande- ment n'auras dieux étrangers devant critère approuver condamner idôlatrie obligatoire peut s'entendre ici deux sens obligation légale obligation fait manifesleront marché travail sens obligatoire d'avoir baccalauréat ceidyanitenaiunnnvenev esa deee dette dolciond clea terts pise pet
5,6,van luc descolariser socete c'est-à-dire trente-six milliards dollars peut-on uniquement justifier coût l'école l'efficacité action éducative certainement l'école forme seulement compétences rentabilité souvent bien inférieure entreprises d'enseignement marginales prépare aussi bons rien tous ceux passés acquérir authentifier compétence trouve principal reproche l'on peut adresser l'école limite droit l'instruction droit d'apprendre droit d'enseigner mesure monople l'instruction délivrance certificats compétence programme occulte l'école hidden curriculum celui qu'expriment institutions non enseignants pris jeu précise illich dit l'éducation valeur qu'une fois acquise sein l'école méthode graduée consommation promet succès social dépend quantité savoir consommé l'éducation qu'elle dispense caractérisée certain nombre contraintes âge spécifique apprendre professionnalisation l'enseignement obligation d'un apprentissage plein temps lieu coupé reste monde suivant programme gradué succès terme chaque étape condition l'accès suivante autant contraintes indéfendables car apprend tout âge apprend hors l'école loin enseignants spécialisés apprend sans suivre progression définie fois toutes apprendrait bien davantage chacun pouvait apprendre qu'il veut quand comme veut s'il pouvait ensuite recevoir emploi seul capacités l'exercer non plus diplômes décernés l'école tout homme rnotivé peut acquérir rapidement compétence dont besoin telle leçon cuernavaca critique universelle point critique d'illich universelle atteint systèmes d'éducation tous pays peut formuler ainsi l'école fait l'éducation produit institutionnalisé étalonné conditionné monopolisé institué rareté rituel dont l'entoure but forcer croire tan8 dis qu'elle promeut subrepticement élite capitalistes savoir déscolariser soclété nest gone seulement supprimer l'école transformer mentalité modelée credo programme coulte propose donc ulich premières suggestions visent plus grande efficacité économique éducative préconise l'extension l'activité éducative travers toute vie d'un pays apprendrait lieux travail usines hôpitaux l'aide gens travaillent quant l'éducation base illich référant l'expérience paulo freire alphabétise adultes six semaines propose dispenser petites doses d'un deux mois pendant toute vie. suite propose projet mieux élaboré aboli question dois-je apprendre formule nouvelle celle l'homme personnellement responsable apprentissage comment puis-je prendre quatre moyens d'apprendre quatre réseaux savoir observe illich l'accès objets éducatifs l'échange compétences constitution groupes pairs recours éducateurs bien conçus utilisant toutes ressources technique moderne réseaux donneraient quiconque désir moyens efficaces d'apprendre coûts supportables collectivité bibliothèques laboratoires magasins d'outillage matériel audiovisuel voire salles jeu mises disposition tous illich insiste exemple l'intérêt qu'il bolivie mettre magnétophones disposition d'un adulte cinq lieu construire station télévision faudrait outre organiser rencontres ceux désirent apprendre entre gens maîtrisent savoirfaire éducateurs capables guider formation ordinateurs pourraient faciliter circulation l'information nécessaire diraient exemple aimerait discuter tel livre également passionné mécanique faudrait outre imaginer façons d'inciter chaque homme compétent instruire échanger connaissances ouvrir centres public exiger chacun penselanement chaque étape pre formation donaeeeestion complémentaire acun naissance certain nombre crédits éducatifs dépenser manière désirée toute époque vie système d'inté- rêts permettrait ceux n'ont favorisé qu'assez tard plus dénes rattrapér leurs handicaps suggestions sou- lèvent bien questions ris d'être mal interprétées pourrait particuller comprendre pensée comme effort augmenter fabrication savoir service société actuelle ausslj ati complété d'un appendice fort éclalrant nouvelle édition société sans école mme societe sans ecole quent prend position rapport réalisations éducatives possibles effectives écoles libérées mandarinat libre-service éducatif premières effets remarque bles mesure elles n'enregis trent plus d'absentéisme suscitent l'intérêt enseignés elles éyi tent rarement l'adhésion programme occulte l'école surtout cessent jamais concevoir l'éducation comme passeport obligatoire société adultes rappelle llich terme éducation n'est appa tardivement autrefois étudiait recevait éducation vie c'est xvi® siècle l'homme inéduqué devenu homme inutile société l'éducation justification sociale nécessaire l'homme inachevé inapte vie sociale doit consommer savoir lieu séparé pouvoir ensuite s'intégrer être naturalisé deux autres systèmes mentionnés passent l'école programme occulte engendrent d'autres maux mandarinat confond connaissance apprentissage conduit l'édification d'une méritocratie n'est qu'apparemment égalitaire système libre-service éducatif permettrait trop facilement d'enfermer chaque homme petites cases défi nies technocrates mieux l'adapter société technologique arrivons ici argument clé éclaire objectifs d'ilich qu'annonçait critique notion d'éducation importe céder l'ethos technologique veut tout prix insérer l'homme l'environnément crée progrès science l'idéal n'est réaliser tout possible aller lune prolonger vie moyens très coûteux n'est bénéfice plus grand nombre seulement moyen creuser davantage fossé entre l'élite pays riches tous pauvres 10. flich demande d'ailleurs l'enfant n'est mythe inventé geoisie âge égal new york enfant scolarisé amérique latint adulte travaille. 11. voir propos ouvrages sul rer d'avenir société 12. orientations traduit marginales écoles privées innovent matiere pédagogique chine 13. rappelons l'ancienne ans l'élite sélectionnée tests qu'exisle aucune école vants libé sans école fci
6,7,dépasser afin gaspiller tte mmmimtn tls vrit monde richesses peuvent doi- requiert également revenons ugm pense vent être mieux employées importe savoir davantage fixation iimites maximales ste décider commun d'une certaine transparence technologie age politique d'austérité fixer articles d'ivan illich effet remarque homme ort mites maximales personne articles publiés revue esprir touré aujourd'hul d'un monde socié alan richesses biens jamals accessibles minorité cela vrai transports santé logement l'éducation suit aujourd'hui politique opposée définit limites minimales l'envers charité mai 1967 métamorphose clergé octobre 1967 birth control conscience poli- tique juin 1969 contre religion l'école dé- cembre 1970 mystérieux monde naturel primitif c'est technologle créé plus exactement technologie pénurie productrice d'objets seuls spécialistes peuvent utiliser quelques années gens ingénieux pouvalent réparer pport consommation ainsi tant d'années éduquer sans école juin transistor moteur hors-hord cssibles scolarité obligatoire celui metituti nistrer médicament aujourd'hul éréegà satisfait pénalisé exi- 197 institutions mars plupart apparells indémon- ice dur gences trop élevées articles publiés revue tables peut remplacer ceux temarall pauvres construisent bidonvil- temps modernes fonctionnent plus appa- n'enre parce qu'ils peuvent s'offrir l'école vache sacrée no- rells neufs toujours plus coûteux usa logements réglementaires faut donc vembre 1969 peut plus souvent acheter médi- als elles dit illich inverser institutions révolution culturelle école déve- cament sans l'ordonnance d'un médecin progr c'est-à-dire s'opposer progrès illimité loppement juin 1970 salt moins moins l'utiliser suriqut règne productivi tout prix soolariser l'école août-septem- parce qu'il vendu sans notice expli- l'édu utiliser progrès scientifique tech- articles ubiiés revue orien catlve autant faits contralgnent igatolre nique permettre chacun rations recourir spécialistes exeluent mods produire crane phénoménalogie l'école objets ddueauis dune inr enéeonee n'est produire accessible octobre 1971 efols ëppa- utile plus grand nombre exem- l'alternative scolarisation l'accès tous comme moyen d'appren- êtu- ple affecter crédits destinés janvier 1972 dre sauraient être derniers-nés ducation autoroutes construction pistes technologie doivent être ma- siècle rellant villages isolés mulets ouvrages d'ivan illich nlables démontables analysables homme ducatlon mécaniques véhicules fonctionnels réparables adaptés pistes mails libérer l'avenir appel révolu- condition donc objets valeur éducative rendront tion institutions paris seuil l'homme certes lents 1971 plus grands services moindre frals société sans école deschooling convivialité requiert nouveau ans lieu s'intégrer mentionnés pro engendrent rinat confond projet politique —————————— projet éducatif d'illich s'épanouit donc projet politique global sans lequel premier proie toutes récupérations society paris seuil 1971 articles cités sauf inverser institutions constituent chapitres ouvrages signalons dernier article paru esprit suivi d'un débat auquel participé kende péquignot type d'outils cheminement intellectuel d'illich complexe riche critique l'école notion d'éducation conduit proposer alternatives scolarlsation mise place ré- seaux éducatifs accessibles tous age conduit vise instaurer tous do- fraisse goussault revendication d'une simplification ritocratle maines convivialité c'est-à-dire pierre j.-p. chevénement caussat culture projet politique sous- tatre sys- nouveaux rapports l'homme adam panoff tend recherche d'un équilibre entre ucatif permet fermer chaque cases déft review mex l'homme spécialiste tous biens nouvel observateur 409 l'école exemple sans doute unologeue produits l'homme aujourd'hui blié privilégié illich lance déjà tec pldié sous forme condensée l'analyse problèmes santé argument être incomplet l'accès article tout récent retrouver ect bit d'illich compétences interdit vie comme l'indique titre evant cet ambltleux proje comme devant illustration beaucoup nollr professionnalisation compétence anglais retooling society montre beaucoup în- epas cit définie l'école jalousement gardée qu'un nouvel outillage préalable terrogent utople réallsme certes veut secret corporatif l'homme indispensable d'une société convi- comme utopie action saurait environ plus droit d'agir apprendre viale être négligeable utopie ébranle scene loger soigner seulement certitudes force prophé- recevoir passivement éducation loge- tique pouvoir stimulation ser pra ment soins langage enregistré renouvellement nest jamais vain cette mutation remplaçant verbes signalons d'ailleurs commission très gsm actifs substantifs pourtant formée gouvernement péruvien plu seralt-il possible utile tous autour questions d'éducation pré- connaissances base conise vrai bien ména- ete plupart domaines largement gements certaine déscolarisation pau diffusées habitants pays sous- sans doute vaut-il mieux laisser développés particulier gagneraient- répondre ivan illich etre réaliste savoir réparer moteur est-ce donc sinon déterminer quelles soigner principales maladies infec- exigences dique tieuses sévissent leurs ré- voulons survivre gants sans oci gofl solt 14. illich réfère rarement l'ex érience compétents ceux désirent chinoise nul doute eependage pérence ans levée secrets corporatifs cela n'éclaire pensée l'ilustenel autres environnement rapports autonomes créatifs culte productivité fait gions bref faut exiger sociallsation savoir technique cela suppose d'abord l'échange connaissances l'instruction plus articles iliich publiés revues américaines new york review books saturday productivité convivialité encore insinue-t-il finesse lutte ère nouvelle loisir schomichèle hanu doune fret rte
7,8,lan 73.0 cre
8,9,dossier etats-unis querelle scientifique sortie laboratoire passer terrain politique suite diverses enquêtes expérimentales arthur jensen psychologue californie cru pouvoir affirmer noirs réussissaient moins bien blancs tests d'intelligence tels qu'ils existent appliqués william schockley passé physique deux collègues l'inventeur transistor 1948 reçut prix nobel physique cette découverte psychologie aboutit mêmes conclusions aussitôt vieille querelle l'égalité l'inégalité races humaines resurgit l'ombre profilant derrière thèses accusations racistes leurs excès potenliels querelle traversé l'atlantique atteint grandebretagne dossier composé trois articles premier célèbre psychologue britannique hans eysenck expose vues jensenistes mettent cause quotient intellectuel enfants noirs résume thèses l'ouvrage qu'il écrit celle querelle the i.o argument deux antagonistes répondent mettant cause valeur q.i lui-même f11 bee
9,10,race intelligence éducation pourquoi noirs réussissent-ils moins bien tests d'intelligence blancs hans eysenck cet article susciter émotion peu commune certains qualifieront racisme fait d'envisager déterminisme génétique expliquer l'infériorité noirs américains tests d'intelligence accuseront automatiquement ségrégation quiconque permet d'avoir telle idée pourtant évident problème scientifique degré d'infériorité supériorité groupes différents tests q.i recherche cause tout fait étranger problèmes sociaux éthiques posent monde admettons l'on démontre noirs américains génétiquement prédisposés remporter moins bons résultats blancs orientaux tests q.i faudrait-il déduire solution sociale éthique d'apporter attention particulière d'offrir éducation enrichie enfants noirs afin d'essayer amener moyenne certains chercheurs soutiennent notion race n'est scientifique qu'il faudrait plutôt parler sous-groupes ethniques certes erroné penser races types immuables différenciés qualitativement uns autres génétique sérologique laquelle fait ressortir gènes spécifiques réaction chimique composants sang humain découverte quotidienne nouveaux gènes sanguins amené experts étendre considérablement nombre sous-groupes ethniques groupes apparemment homogènes tels noirs américains peuvent révéler tout fait hétérogènes bien façons noirs américains nord prendre qu'un exemple bien plus hybrides ceux sud possible déterminer quantitativement degré d'hybridation noirs américains identiques noirs africains derniers tour divers sous-groupes inutile d'étudier etats-unis noirs obliennent moyenne résultats moins bons blancs orientaux indiens tests ©q.i groupes montrent considérables différences sérologiques morphologiques constituent semble pourquoi moyen days noirs présentent q.l inférieur points celui blancs présentent cette différence comparés groupes blancs l'étranger pourrait attribuer cette différence points émigration sélective noirs moins bons pris vendus comme esclaves extermination sujets plus brillants comment expliquer constance d'un tel résultat depuis près soixante ans psychologues enregistrent points q.i moyen noirs sud n'atteignent souvent 100 moyenne définition chez blancs cette dernière question partisans théorie l'environnement répondent invoquant mauvaises conditions lesquelles vivent noirs nourriture pauvre mauvais soins donnés parents éducation insuffisante travail misérable chômage etc. soutiennent aussi enfants noirs intimidés examinateurs race blanche manifestent complexe devant culture blancs généticiens certains facteurs joueraient rôle parallèle celui environnement aujourd'hui cette branche science considère plus facteurs génétiques comme toutpuissants admet sans difficulté l'interférence d'autres facteurs intéressant d'évaluer expérience l'appui valeur chacune thèses celle généticiens peut-être plus faible car s'applique groupe racial donné n'est forcément valable autres l'argument contraire aussi faiblesses l'idée selon laquelle valable l'intelligence blanc l'est celle noir implique entre deux races différence encore plus grande différence purement quantitative actuellement comme l'ont montré divers généti- clens seulement possible dire ceite preuve génétique accord l'hypothèse génétique pes delle n'est irréfutable pourtant péri intéressantd donne done différences raciales explication génétique emar quable parce qu'elle étend cette preuve d'autres groupes raciaux lemos étudié groupes d'en fants aborigènes australie vivant village mission rece vaient éducation soins identiques certains blanc leurs antécédents l'ignoraient lorsqu'on fit passer test d'intelligence piaget enfants d'ascendance blanche obtinrent résultats significative ment plus élevés singulier constater qu'en âmérique jes noirs d'ascendance blanche mani festent phénomène peut-être est-il justifié penser conditions vie noirs peau plus claire meilleures question degré motivation également très intéressante thur jensen démontré chose suivante sous présentation soumis deux sortes tests enfants noirs collaboration motivation autre simple test q.i résultats enfants noirs premier identiques ceux enregistrés enfants blancs second nettement inférieurs s'intéresse question conditions socio-économiques trouve points détruisent théorie environnement comparons enfants américains noirs blancs fréquentent mêmes écoles dont l'environnement identique différence q.i légèrement réduite manière significative plus l'on compare groupe d'enfants noirs américains issus classe bourgeoise fréquentant écoles choisies enfants blancs classe ouvrière fréquentant écoles minables différence reste tout faveur derniers beaucoup telles découvertes difficiles expliquer éléments purement environnementalistes enfants orientaux californie familles sensiblement inférieures socio-économiquement familles blanches pourtant leurs résultats tests q.i supérieurs ceux enfants blancs comment soutenir dès lors théories l'environnement mesuret-il bien l'intelligence voyons maintenant théorie selon laquelle q.i mesure l'intelligence seulement test fondé connaissances culturelles éducatives celle-ci veut expliquer résultats inférieurs noirs éducation plus négligée prétend tests d'intelligence sans référence cultur relle pouvaient être mis point noirs réussiraient comme blancs malheureusement cette théorie
