,page,text
0,1,mil pit cos iresvaent dns monde aout maladies miennal erp 6066 mensuel/oirruston
1,2,pourquoi l'art dhaliqeneque cantasle luverserire 18. gec.1986 lagsanre logona annee semestre sus done der amis médecins savent après avoir longuement étudié visage patients symptômes maladies blanc yeux teint etc praticien peut s'asseoir face quelqu'un sans dire tiens voilà hépatique cardiaque etc pourquoi n'en est-il chacun pourquoi pourrionsnous aussi dire quelqu'un voilà colérique timide imaginatif fait don voir l'intérieur autres possédons c'est quelque sorte qu'il convenu appeler sixième sens tel quel intuitif approximatif sert grand-chose n'est tout donner quelquefois quelqu'un vague impression ... peut être transformé renforcé bases scientifiques rendü quasi infaillible données psychologie moderne conjoint enfants amis employeur voisins très souvent suffit très peu choses qu'avec réussisse échoue puis a-t-on tenté quelquefois dire après malentendu fâcherie affaire râtée demande rejetée j'avais seulement prendre peu mieux fallait-il dire autrement peut-être a-t-il manqué alors sixième sens scientifique regard d'encouragement tenait être aperçu ... cette poignée main avant l'entretien traduire mener ensuite cet entretien mieux voilà pourquoi cepl éditeur notamment revue psychologie demandé équipe praticiens réaliser série d'ouvrages thème connaître autres ets con a-t-il rop souver amarchands recettes visage est-il géographie parlante premier volume collection s'intitule connaître autres visage psychologues professionnels raison d'affirmer visage terrain unique privilégié l'étude personnalité morphologie science visages connue depuis longtemps psychologie moderne permis devenir véritable science résultats sûrs simple exemple imaginons vie professionnelle puissions lire visage collaborateurs non seulement caractère aussi jusqu mode pensée celui-ci réfléchi tel autre impulsif déductif etc quelle force mieux travailler réussir connaître autres visage véritable manuel pratique littéralement bourré d'exemples précis véritable carte visage d'autrui dont lecteur ensuite pourra plus passer cartes routières corps tout entier parle avons-nous seulement jamais regardé vraiment conjoint patron pourtant silhouette parlel volume consacré corps permet reconnaître sans erreur possible gros vraiment comme pense bon gros facile vivre contraire sec nerveux inamical s'il aîme travail personnel travail équipe cet ouvrage révèle secrets groupes sanguins depuis poignée main jusqu'au timbre voix sachons reconnaître signaux font autres sans savoir l'ouvrage comportement gestes dévoile corps ment mal ——————— simple lettre alphabet dit long quelqu'un l'ouvrage consacré voile pourquoi certaines personnes descendent pourq refermées l'écriture déla graphie lignes montent uoi voyelles ouvertes pourquoi marge grande petite ture parfois reste texte irquoi signa- écriture différente tests autres cherchent aussi savoir plus plus cherche lire tests connaître possibilités facultés résultats tests dépend souvent avenir parfois défi nitivement l'ouvrage tests démontre crets examens noms tests d'aptitudes tests personnalité test rorschach etc ouvrages collection connaître autres simples digests établis équipe psychologues praticiens médecins français étrangers l'élaboration sujets demandé trois ans travail recherches parmi auteurs michel gauquelin diplômé l'institut psychologie paris jean gaussin spécialiste sélectio professionnelle professeur psychologie l'école supérieure commerce d'administration entreprises paris gisèle gaillat diplômée société graphologjie jean-louis sellier licencié psychologie suzanne simon secrétaire générale société internationale caractérologie marie-josée houareau l'institut pédagogique national docteur alain rideau spécialiste problèmes l'enfant cepl éditeur connaître autres plus importants éditeurs d'ouvrages spécialisés psychologie édite notamment psychologie plusieurs productions comme psychologie plus 150 000 exemplaires vendus monde tier distingués année parution parmi meilleurs livres année grâce bon ci-contre envoyé toute personne fera demande €xä men gratuit jours pre mier ouvrage collection connaître autres sage lre autres jusqu 1ci livre
2,3,dsychoiogie comprendre savoir agir monde d'aujourd'hui ssi février 1973 quiz mois etes-vous avare prodigue questions savoir monique maynadier chercheur idées ovide decroly pou précurseur pédagogie moderne persan sylvie truffaut maureen rufener l'inconscient langage rêve aire freud jung d'accord ples claude bonnafont tests piaget quotient intellectuel rats vers nouveaux tests d'intelligence ans adrien pinard evelyn sharp ——————————— ———————————————— ————2— conversation entre robert ardrey louis leakey fins dialoguent l'homme tueur psychologie animale langage abeilles lection analogies langage hommes sycho jacques goldberg imerce enfance adolescence carence soins maternels lourd tribut payé l'enfant société monique dichter psy psychologie clinique maladies mentales sont-elles inscrites chromosomes nérale quentin debray sue librairie agression violence monde moderne hacker festin empoisonné nader mouvement féministe ouvrages récents liste bref informations who who psychologie prochain numéro vente jeudi mars psy 000 feur ————————— fsychologie edite centre d'etude promotion lecture abonner champs-elysees 75008 paris 359.86.50 225.02.88. voyez page
3,4,lettre cpi estelle nedesesles sites 114 champs-élysées 75008 paris société responsabilité limitée capital 000 r-c seine 1759 cher lecteur ami lecteur fidèle psychologie revue éditée centre étude promotion lecture c.e.p.l. savez-vous c.e.p.l. connaissez-vous loutes activités responsables collection revue probablement modeste premier contact voudrait ouvrir début dialogue entre quelle meilleure intro- duction présenter programme parutions année 19737 psychologie toujours premier rang collection comprendre savoir agir consacrée psychologie moderne poursuit brillante carrière tirage premier tome psychologie dès maintenant dépassé 000 exemplaires mois février sortira apprendre apprendre françoise gauquelin ouvrage pédagogie pratique chacun pourra directement utiliser. mars collection change peau reliure plus attrayante intérieur plus animé sujets axés s'est révélé être préoccupation dominante lecteurs connaître autres celle collection toujours animée équipe dirigée michel gauquelin publiera cette année titres connaître autres visage jean gaussin connaître autres graphologie gisèle gaillat connaître autres tests intelligence aptitudes jean-louis sellier connaître autres corps anatomie physiologie françoise gauquelin sabine baudet marie-christine pean collection nouvelle classiques psychologie l'ignorez peut-être grand nombre textes fondamentaux psychologie notamment américains n'ont jamais traduits français autres traduits depuis longtemps jamais réédités comme d'ail- leurs certains classiques français cette discipline épuisés désormais introuvables commencé année dernière litre essentiel fait traduire behaviorisme watson programme cette année intelligence singes supérieurs wolfgang kôhler fonda- teurs gestalttheorie étude expérimentale l'intelligence binet hommes génie kretschmer inventa lypologie célèbre langage communication miller créateurs psycho-linguis- tique nouveaux dictionnaires savoir moderne consacrée idées hommes etaux œuvres collection dictionnaires savoir moderne représente déjà bibliothèque première importance premier tome consacré philosophie dès maintenant dépassé chiffre ventes 000 exemplaires collection savoir moderne reste animée jean feller yvette pesez andré akoun continue cette année quatre titres langage bernard pottier 'astro- nomie roland guillemard mathématiques danielle fèvre géographie marcel roncayolo guy burgel plus nouvelle édition complètement refondue sociologie cours préparation jean cazeneuve homme moderne collection sciences action cette collection plus récente animée jacques mousseau connaît brillante carrière quatre titres aussi programme année économie mondiale andré vanoli science économique andré vanoli droit jean rouvier distribution moderne armand dayan rééditions attendues cours lecture rapide françois richaudeau michel françoise gauquelin continue brillante car- rière après l'édition monumentale l'édition allégée deux volumes puis l'édition ici ouvelle édition trois volumes diffusée pendant année 1973. également diffusé pra ouvelle édit cours lecture enfants françoise gauquelin arlette moerman j'apprends lire matos
4,5,"j'ycepesunuus eulueruu can collection titre revue collection titre revue janvier classiques kôhler l'intelligence juillet classiques kretschmer hommes psychologie singes supérieurs psychologie génie revue savoir action revue psychologie n°42 psychologie savoir action n°7 février savoir moderne psychologie moderne connaître autres revue langage apprendre apprendre visage psychologie n°37 savoir moderne connaître autres mathématiques tests intelligence aptitudes psychologie revue l'économie mondiale psychologie savoir action n°5 communication langages j'apprends lire sciences action revue droit psychologie n°44 savoir action communication langages sciences l'action revue maison octobre classiques miller langage classiques binet étude expérimentale psychologie communication psychologie l'intelligence savoir moderne géographie savoir moderne l'astronomie revue psychologie revue psychologie n°39 connaître autres corps anatomie physiologie psychologie n°46 savoir action connaître autres revue graphologie psychologie n°40 novembre savoir action n°6 science économique décembre psychologie 4.1 communication langages n°18 revue distribution moderne psychologie n°47 communication langages n°20 sciences l'action revue bon découper recopier rappelant retourner cepl 114 champs-élysées 75008 paris désirez ouvrages appartenant l'une collections auxquelles abonné indiquez-en ci-dessous titres envoyés dès parution paierez seulement réception réservez-moi envoyez-moi titre ci-dessous prénom nom rue code postal signature date psychologie moderne 31,35 connaître autres savoir moderne 49,80 classiques psychologie 35,85 sciences l'action 52,05 abonnements savoir action psychologie communication langages nu- méros méthode lecture rapide 149 méthode complète lecture rapide appareil stimulation lecture assistance pédagogique 403"
5,6,juil euuu duliu one aaa tan uiuu lulu duu bus lue raa vut uuuuuuu duo uutuuuuu uuuuuue juuuuuuu arr rfa lan juuuuu oui mars uiu one cuuioiuoiuuiuiui cout juuul uuu êtes-vous avare prodigue monique maynadier l'avare molière vieillard maigre habillé pauvrement possédait cassette quittait jour nuit rendait malheureuse toute famille l'avare toujours cet aspect caricatural description molière s'appuie réalité avare n'est seulement celui entasse pièces personnalité bien caractéristique économise bouts chandelles aussi rire gestes c'est tout état d'esprit qu'il s'agit manière pendant prodigue n'est seulement celui jette l'argent fenêtres nature ouvert expansif tendance étaler joies peines parler faisant grands gestes rire sans retenue bien sûr société plupart activités conditionnées l'argent c'esi surtout cette manière manifeste l'avarice prodigalité c'est pourquoi majorité questions quiz porteront l'argent trait l'avare prodigue toutes gradations possibles travers différentes situations proposées ici c'est tendance plus moins prononcée personnalité pourrez évaluer plutôt qu'un classement strict rapport trois grandes catégories dégagées résultals chaque question comporte trois réponses possibles entourez d'un cercle lettres placées devant réponse s'accorde mieux conduite choisissez réponse rapidement suivant toujours premier mouvement âvez-vous vêtements gardez dimanche m'arrive mettre semaine vêtements dimanche non quand j'ai vêtements neufs mets tout suite tous jours oui car n'est nécessaire d'être tous jours habillé lorsque démarches effectuer attendez-vous d'en avoir plusieurs regrouper oui économiser temps j'essaie tégrouper maxi mum démarches 1724 2227222227 heèe mesure possible fais dois souvent déplacer plusieurs fois fais tout suite démarches nécessaires déplace seule chose fois prix communications téléphoniques moins élevé après vingt heures retardez-vous coups fil conséquence parfois lorsque pense n'ai jamais tenu compte fait chaque fois cela possible ————————— cherchez appartement voulez passer trop temps visites décidez bout trois quatre appartements vus prenez premier voyez correspond prix désirez mettre s'il moins bien altendiez lisez toutes annonces effectuez toutes visites jusqu trouviez voulez
6,7,"enfants employezvous parlie importante argent habiller rien n'est trop beau enfanis j'achèle loujours vêtements plus seyants c'est peu cher j'essaie dépenser trop d'argent enfants grandissent n'ont temps d'user vêtements habille correctement sans plus lorsque quittez pièce quelques instants avezvous l'habitude fermer lumière oui machinalement cela dépend pourquoi l'éteindrais-je puisque reviens tout suite offert service table porcelaine fine l'utilisez-vous couramment préfère m'en servir lorsque j'ai invités avoir autre plus ordinaire reste temps m'en sers tout temps car vaisselle faite être utilisée préoccupe l'éventualité casser m'en sers grandes occasions mariage communion etc quittez place emploi meilleur collègues font cadeau invitez déjeuner res aurant remerciez simplement offrez l'apéritif est-il déjà arrivé renoncer week-end province cause prix voyage bien possédiez cet argent jamais souvent car j'ai l'ar- gent n'aime jeter fenêtres quelquefois lorsqu'une autre utilisation l'argent paraissait plus juste ——— arrive souvent dé- placer taxi temps temps quand chargé fatigué jamais sauf quelqu'un l'offre plus souvent possible sauf quand n'ai vraiment argent gardez-vous chez cas cela pourrait servir clés dont n'avez plus l'utilisation oui j'en énorme trousseau non jette toul m'est directement utile m'arrive d'en garder jette quand vois qu'elles peuvent servir ————— etes-vous habitué conserver restes repas non jette tout suite garde utilise tous plats fabrication garde restes peux utiliser immédiatement l'une connaissances demande conseil relatif problèmes personnels quelle attitude réponds très évasivement car conseils servent rien discute longuement conseiller mieux parle problèmes préfère qu'elle résolve elle-même décidé d'acheter voiture comment procédez-vous j'attends d'avoir certaine somme devant j'en paie partie crédit j'économise avoir maximum somme devant car sens plus tranquille ainsi vais chez concessionnaire prends crédit plus long possible invité chez collègue mari femme apportez cadeau maîtresse maison enfants apportez présenl conventionnel genre fleurs bonbons nouvelles méthodes permettent d'acquérir rapidement mémoire excellente conment due menu paf ever besoin avez-vous remarque cerlains d'enire semblenl tout relenir facilite alors d'autres oublient rap dement qu'ils qu'il entendu d'ou cela vient-11 spécialistes problèmes dela memoire formels cela vient lait premiers appliquent consciemmenl non bonne mélhode memorisallon alors lies autres savenl comment proceder autrement dit bonne memoire n'est queslion don c'est question methode milliers expériences témoignages prouvent suivant methode préconisons centre d'etudes obliendrez mémoire quelle qu'elle aciuellement performances première vue incroyables exemple pourrez après quelques jours entrainement facile retenir l'ordre cartes jeu l'on elleuille devant encore rejouer memoire parle d'echecs reliendrez aussi facilement tiste départements numero-code naturellement but essentiel methode nest realiser prouesses genre donner memoiré parlaite vie courante ainsi qu'elle permettra retenir inslantanement nom gens lesquels entrez contact courses visites faire sans agenda l'endroli rangez aifaires chiffres tarifs elc vle entière n'oublierez plus nom visage mois ans après retrouverez nom d'une personne rencontrerez comme l'aviez vue veille parvenez aujourd'hui c'est prenez mal car loul monde peul arriver résullat condition d'appliquer bons principes méthode donne resultats peut-être plus extraordinaires encore lorsqu'il s'agit memoire études ellet permet d'assimiler façon del nitive temps record centaines dates l'histoire milliers notions géograpme science l'orthographe langues etrangeres etc tous étudiants devraient l'appliquer faudrant l'enseigner lycées l'étude devient alors tellement plus facile voulez avoir plus détails celle remarquable méthode certainement interèt demander livret gratuit proposé ct-dessouys faites-le tout suite car actuellement pouvez proliler d'un avantage exceplionnel découpez bon recopiez-le adressoz-le service centre gratuit d'études mallarmé paris veulllez m'adresser livret gratuit comment acquerir mémoire prodigleuse donner tous details l'avantage indiqué ci-joint timbre 0,50 frais pays hors d'europe joindre trois coupons-reponses nom adresse conne"
7,8,faut bien avouer pensez toujours apporter quelque chose habitez endroit diflicile d'accès ami esl jamais venu doit rendre visite comment indiquez-vous chemin donne simplement l'adresse pensant qu'il trouvera bien donne nom deux trois rues peuvent permettre repérer fais plan détaillé explique comment servir meubles fragiles avez-vous l'habitude recouvrir housses n'ôtez rarement n'ôte housses lorsque reçois mets housses pendant vacances lorsque soleil risque abîmer n'utilise housses conceptions l'éducation enfants pensez-vous qu'il nécessaire embrasser lorsqu'ils pleurent oui car enfant besoin caresses d'affection faut répondre tous caprices enfants embrasser rop souvent faut embrasser enfants manière exagérée âllez-vous chez coiffeur manière fréquente oui car important d'être toujours soigné vais lorsque j'ai occasion sortir j'évite maximum aller métro ami ticket jui laissez-vous acheter donnezvous laisse acheter carnet s'il queue guichet donne ticket cas semblable donne toujours ticket personne famille voyez rarement écrit dernander nouvelles quel type lettre envoyez-vous longue lettre laquelle raconte vie famille détail n'écris qu'un petit mot m'efforce répondre toutes questions posées uiu quuiuiu juuuluiu aaa ceece ujuuu uuui uiui qujulululuiul ciuiuuiuuiuitiuiu eecec eee sac acheté aliment paraît très frais préférezvous jeter manger toute façon reporter chez commerçant qu'il l'échange ami vient emprunter l'argent prête sûr avoir besoin immédiat dépeins situation qu'il comprenne pourquoi peux prêter cet argent prête sans réfléchir qu'il demande lorsque touchez salaire avez-vous tendance dépenser tout suite grande partie oui j'en profite acheter choses font envie j'essaie faire comptes approximatifs avoir surprise fin mois calcule faut vivre mets côté partie l'argent cas d'imprévu ——— empruntez livre ami empressez rendre dès l'avez ter- miné rendez retard parfois tout achetez neuf donnez ami car crai- gnez d'avoir abîmé sien —————————— est-il arrivé restaurant amis moins fortunés régler totalité l'addition non cela m'arrive jamais cela m'est arrivé quelques fois amis vraiment peu for- tunés oui cela m'arrive souvent car j'aime beaucoup offrir amis ————————————— recevez lettre dont timbre n'est oblitéré réutilisez occasion lors n'en d'autre gardez réutiliser car trouvez trop bête jeter jetez toujours enveloppes sans regarder timbres non oblitérés ———————— recevez faire-part mariage d'un cousin éloigné pensez c'est événement banal négligez d'envoyer félicitations téléphonez aussitôt manquez montrer partagez joie faisant cadeau envoyez mot félicitations société raconte histoire drôle connaissiez manifestez éclat rire sans retenue appréciez riez peu riez discrètement préférez-vous faire métier nécessitant nombreuses démarches discussions plutôt calme n'exigeant déplacements permette temps autre sortir parler venez découvrir boutique articles vendus meilleur marché qu'ailleurs cela vient conversation amis indiquez l'adresse voulez faire profiter ensemble gens connaissez cette découverte empressez faire part ecrire lllillillll-2 domet dan dan dont dan dund dent dan ouef dané duet dont done dent dent dent dent detf dent pan pre cercle dos dre dode dent dee pom pre det dan pere pet jin pré don pet pet pet pdp ent dent don datf dan deuel dent duné duné pan band dent def dant paef denef dane duné dent dane pro clic ocr celllicicieercli= collection cci mnt pot dent pot por dom pont pur pot pont def pme dot det colle elcielellilleill2 pot
8,9,voyez aucune raison donner celte adresse pensez faire profiler amis lorsque invitez amis dîner efforcez-vous offrir mets recherchés non car n'en moyens oui car j'aime choses bien faites lésine qualité limites possibilités financières j'essaie faire mieux animal chien chat comment nourrissez-vous donnez exactement comme enfants donnez produits animaux abats essayez dépenser moins possible nourrir achetant aliments bon marché faisant donner restes lorsqu'il arrivé perdre être proche n'avez cherché cacher douleur éprouvé soulagement parler autour préféré rester seul sortir chez moins possible montrer sentiments continué avoir activités essayant mieux surmonter chagrin enfants quel genre cadeaux offrez-vous noël j'essaie répondre leurs goûts mesure moyens fais cadeaux utiles car enfants lassent vite jouets fais toujours beaux cadeaux cela peu cher vieil oncle vient mourir laissé meubles valeurs dont héritez plusieurs cousins quelle attitude cherchez tout prix avoir part puisque cela risque créer brouilles comme attendiez cet héritage n'exigez rien essayez d'avoir quelque chose plaise sans attacher trop d'importance lettre d'affaires essayezvous d'exposer sujet minimum mots donnez-vous longues explications fais ure lettre suffisamment longue tout dire sans détails superflus j'écris général plusieurs pages m'exprime toujours plus brièvement possible genre lettres disant l'essentiel lorsque racontez histoire aimez-vous l'accompagner gestes oui parle mains non préfère être sobre parfois lorsque c'est nécessaire j'utilise gestes lorsque rencontrez amis aimez-vous parler longuement choses d'autres oui m'arrive rester plusieurs heures amis seul plaisir parler cela m'arrive parfois temps malheureusement compté faut plus souvent contenter parler longuement choses importantes conversations j'aime aller l'essentiel perds temps rien dire concerne rapports entre réussite l'avarice laquelle phrases suivantes paraît plus juste récolter faut d'abord semer donner temps argent avare peut donc réussir l'avare peut devenir riche privant toute série choses réussir faut gaspiller emps argent connaître résultats voyez p.70 apprenez psychologie evolution personnelle sociale proiessionnalle enseignement individualisé correspondance cours oraux soir paris lille stages pratiques paris lausanne ... frais études déductibles revenu brut préparation divers diplômes sous conduite praticiens réputés psychotechnique graphologie morpho-psychologie psychopédagogie symbolisme rorschach cours international sexologie normale pathologique rééducation graphique relaxation psychosomatique etc dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut francais culture humaine etablissement privé d'enseignement distance paris lille direction administrative foch 59-marcq-lille nom profession ———————————…———— adresse souhaïte recevoir gratuitement documentation générale formule d'orientation contre timbres spécial revüe vie action mesure l'intelligence
9,10,ovide decroly médecin psychologue pédagogue années 1900 laisse prodigieux passionnant héritage domaine l'éducation henri wallon dira personne plus souci pédagogie expérimen tale c'est trop peu dire d'ailleurs car decroly seulement grand pédagogue aussi grand psycho ogue l'enfance c'est l'expérience fait l'union rendu complér mentaires deux aspects acn tivité c'est renaix belgique naît juillet 1871 ovide jean decroly fils d'un industriel d'origine française après avoir obtenu diplôme médecine l'université gand spéclalise l'étude système nerveux maladies mentales rend alors berlin puis paris compléter connalssances retour belgique fixe bruxelles fonde 1901 l'aide femme secondera durant toute vie institut laïque enfants anormaux l'institut enfants irréguliers devant succès entreprise décide d'appliquer l'éducation enfants normaux l'expérience acquise auprès anormaux c'est ainsi qu'en 1907 ouvre l'école l'ermitage nom rue trouve ixelles faubourg bruxelles activités s'arrêtent 1902 nommé directeur section psychologie l'orlentation professionnelle plus tard devient professeur l'école buls-tempels institut supérieur pédagogie quand guerre éclate 1914 fonde groupe pédagogues philanthropes œuvre secours orphelins guerre foyer orphelins dont nommé président après guerre chargé cours l'université enseigne 1920 psychologie l'enfant 1921 l'hygiène éducative médico-pédagogique faculté médecine ménageant efforts multiples activités épuisé meurt 1932 table travail devant lignes inachevées c'est grande consolation celui poursuivi but pendant plus d'un quart siècle sent bientôt venir moment départ l'éter nel repos voir effort vain quand plus d'autres continueront malgré difficultés qu'elle rencontra durant guerre l'école l'ermitage survécu devenue ovide décr precurseur pedagogie moderne point départ d'une nouvelle methode pédagogique l'école nouvelle école vie vie decroly médecin commencé observer enfants anormaux cela conduit s'occuper l'éducation général réalisé comme personne avant lul l'avait fait point llaison étroite pédagogie psychologie adopté attitude expérimentale éducation cela condition tout progrès l'ecole vie vie premiers adopter tests cinéma comme méthodes d'observa- tlon l'enfant decroly borne cependant attitude objective sclentifique également mérite d'avoir fondé pédagogie prin- cipes généraux largement mar- qué l'éducation française montré nettement l'éducation doit sulvre l'évolution physlotédiuons delachaux niestié logique psychologique l'enfant ovide decroly reste yeux édu cateurs celui mieux senti mellleur moyen réussir l'édu cation l'enfant normal anormal c'est rechercher vie instruments cette action tout programme résume cette formule l'école vie vie effet précurseur pédagogie nouvelle l'école doit avant tout préparer enfants vie adulte jeur donner très tôt vie adulte apportera c'est-à-dire activités librement choisies motivées besoins nature propre l'être vivant milieu voilà thème autour duquel s'organise toute pédagogle decrolyenne cette idée l'on retrouvera également chez maria montessori2 chez dewey3 s'appule raisonnement suivant toute représentation toute connalssance peuvent être vérita blement saisles assimilées l'es prit moins avoir donné formule personnelle formule formule car formule d'un autre comprends reste celle d'un autre capable reproduire pouvons saisir choses artisans éducation réelle l'enfant découvre lui-même comprend reproduit assimile sinon c'est d'une répétition mécanique qu'il s'agit l'observation milieu prendra place importante l'organisation programme scolaire toute première caractéristique l'école formulée decroly l'école culture générale doit être établie câädre naturel c'est-à-dire trer milieu l'enfant puisse assister journellement phéno mènes nature manipulations vle êtres vivants général hommes particulier leurs efforts s'adapter condi tions d'existence faites psychologue français 1879-1963 henri wallon soutenu controverses animées jean piaget concernant psychologie gé- nétique italienne médecin pédagogue 1870-1952 voir article gauquelin psychologie promoteur américain l'école active 1859- 1952 professeur philosophie psychologie chicago new york henri wallon conférence donnée 1921 calais congrès l'éducation nouvelle
