,page,text
0,1,femmes reusste erreurs reich marcure 5207 cmos lsn aires end pet 148 inna mensuemdieeusion nimipie
1,2,sciences dour quoi taire moment croyons raison science dévoilent toute réalité certains posent questions inquiétantes poussent portes derrière lesquelles bougent entités énigmatiques moment pensons avoir compris mouvements l'histoire déroulement continu progrès voici quelqu'un parle grands anciens possédaient civilisation pouvoirs extraordinaires vivaient l'abîme temps au-delà montagnes hallucinées ... moment plus seuls nulle part monde rétrécit quelqu'un jette grande solitude noire cosmos lance l'assaut planètes solitaires moment croyons guerre totale devient impensable cause armes dites absolues voici sage science-fiction littérature avance einstein avouait trouver ouvrages science-fiction élément d'excitation l'imagination créatrice recommandait lecture hommes science 1971 vendu s.a plus romans science-fiction bibles dont tirage considéré comme imbattable depuis toujours u.s.a. chaires science-fiction s'ouvrent universités science-fiction annonce précède plus fabuleuses aventures époque l'exploration spatiale mutations biologiques voyage temps pouvoirs paranormaux plus perpétue grandes épopées sagas jadis 211 noir quelqu'un raconte guerre future mettra prises l'espace stellaire terriens possession planètes système solairel moment pensons racisme génocides appartiennent passé sauvage l'homme voici quelqu'un raconte comment terriens émigrés hâte d'une terre surpeuplée arrivent mars refoulent martiens réserves moment pensons autodafés livres fait dictatures jamais répudiées voici qu'un visionnaire vient apprendre lire désormais interdit pompiers vont venir chez brüler bibliothèques poseurs questions visionnaires ré-inventeurs mythes auteurs science-fiction l'hiade contes mille nuits style change l'inspiration génie bouteille simplement devenu robot intel- ligent baguette magique rem- placée fusil paralyseur bottes sept lieues fusées plus rapides lumière 1973 année grande édition illustrée chefs-d'œuvre science fiction c'est toutes raisons cal lance cette année collaboration plus grands dessinateurs collec- tion chefs-d'œuvre science- fiction comprendra pre- mière fois réunis chefs-d'œuvre lovecraft bradbury asimov een méque rap onivess aire dec. 198 aus cal mem voici premiers volumes programmés lovecraft l'abîme temps bradbury chroniques martiennes asimov fondation bradbury farenheit 451. lovecraft couleur tombée ciel asimov fondation empire brown martiens homel clarke demain moisson d'étoiles matheson légende sheckley pèlerinage terre szilard voix dauphins vonnegut sirènes titan parce qu'elle contente décrire gadgets 2000 propose mœurs régimes politiques philosophies religions ceux hommes demain ceux autres intelligences nul peut posséder aujourd hui véritable culture générale sans avoir lovecraft bradbury asimov arthur clarke foudroyant auteur 2001 l'odyssée l'espace plus grands dessin fantastique entrent bibliothèques l'importance revêtira amateurs avertis l'édition cal chefs-d'œuvre science-fiction également due grande partie prestige grands dessinateurs gra veurs pressentis l'illustrer aussi interrogateurs espace temps l'homme gourmelin dernier album interrogation temps rapports l'homme temps créateur costumes décors hallucinants golem télévision jacques bergier dit lovecraft aimé le-connaître ciayette créateur d'un étrangé monde parallèle œuvre flexion l'espace structures l'espace moderne piranèse créé décors faust l'opéra chaque volume comporte 256 sous luxueuse reliure club noire frappée d'un dessin l'encre chine. amateurs doivent hâter con mander exemplaire ceux possèdent déjà certains hélasi sous forme souvent brochée eur acquerront seconde fois bibliothèque puisse s'enrichir série exceptionnelle illustrée reliée rire
2,3,qrntessos etes tal dsl lez nca sent tte agent ment dsychoioaie comprendre savoir agir monde d'aujourd'hui juin 1973 quiz mois etes-vous bon lecteur vitesse lecture mémorisation françoise gauquelin entretien laurence wylie sociologue américain parle france jacques mousseau sexologie marcuse reich trompent leurs conceptions sexualité erronées silvano arieti connaissance soi temps cette création l'esprit perception temps dépend personnalité mann siegler osmond époque réussite professionnelle femme hommes redoutent femmes refusent nathalie robatel enfance adolescence pourquoi drogue l'ethnologue aussi explication georges texier centres recherche laboratoire psychobiologie l'enfant psychologie inaugure nouvelle rubrique dossier rassemblé jean chaguiboff librairie journal analyse freud blanton temps bruit alexandre j.-p. barde enterre cœur brown dernières parutions bref france grande-bretagne etats-unis who who psychologie prochain numéro vente jeudi juillet psychologie edite centre d'etude promotion lecture abonner 114. champs-elysees 75008 paris 359.86.50 225.02.88. voyez page ans
3,4,êtes-vous bon lecteur françoise gauquelin processus lecture étur dié laboratoire première fois environs 1900 chercheur français emile javal recteur laboratoire d'ophialmo logie sorbonne membre l'institut jours c'est laboratoire installé lille centre d'étude promotion lecture poursuit analyses mécanismes lecture chez sujets profession culture variées depuis simple employé bureau jusqu universitaire depuis lecteur très lent jusqu'au lecteur prodige analyses fourni résullais parfois attendus parfois tout fait surprenants appris lire dès âge tendre croyons tous savoir lire trop souvent c'est savoir inachevé bon lecleur combien sujets niveau intellectuel culturel égal restent lecteurs médiocres peut s'agir mauvaises habitudes prises jeunesse dont pense débarrasser l'âge adulte plus souvent encore s'agit d'une simple ignorance règles fondamentales processus lecture lacunes généralement faciles combler questionnaire suit destiné faire prendre conscience stimuler désir devenir sinon lecteur prodige moins lecteur rapide efficace questionnaire comprend deux parties première fait point habitudes lecture seconde doit permettre mesurer performances différents sec teurs corrigé final permettra confronter opinions résul lats fournis travaux laboraloire performances celles d'un groupe témoin lecteurs variés séance prises vues laboratoire lille sujet assis front immobilisé butée devant table lecture cette dernière comprend glissière laquelle coulisse porte-document reçoit texte lire volant permet régler distance optimale entre l'œil lecteur texte caméra vitesse accélérée objectif spécial braquée l'œil lecteur chronométreur nole temps calcule instantanément vitesses lecture chaque informe chef laboratoire dernier dirige l'ensemble opérations choisit l'ordre tests comple lenu éventuellement variations vitesses lecture après chaque texte demande sujet résumer lecture puis pose questions précises afin définir degré mémorisation questions réponses enregistrées magnétophone premie quelle haï entourez corresp lectur sir c'est cons c'estr consac vrai activitt consta parmi genre app entourez respondaï jcurne revues illustr dige revues revues revues votrt roman roman œuvre science 11. ouvrag 12. ouvrag entourez lettres l'emporte tures 1l- 3-5. 6-10 richauc rapide pari giquel editi vice 969
4,5,préférez-vous texte écrit gros caractère petit caractère peu importe pourvu qu'il agréable lire préférez-vous technique lisant l'ordre écrit première dernière page parcourant sommairement travers retirer d'ermblée vue générale lisant seulement page conclusion puisqu'elle censée résumer idées ensemble aborder rapport lorsqu'un mot phrase très inattendu très difficile tout naturellement tendance prononcer oralement mieux comprendre retenir sens avez-vous l'impression prononcez ainsi tout bas mots phrases souvent rarement ainsi dire jamais lorsqu'un texte difficile faut parfois revenir arrière relire certains mots avant d'en saisir sens avez-vous l'impression obligé recourir cette méthode souvent cela m'arrive ainsi dire jamais lorsqu'un mot nouveau paraît important préférez-vous vue d'être capable reproduire d'autres fois l'épelër tout bas lettre lettre photographier mentalement seu bloc passer sans arrêter espérant chance fera rencontrer suffisamment qu'il grave lui-même voire mémoire retenir plus d'informations texte préférez-vous forcer peu vitesse habituelle lecture ralentir peu vitesse habituelle lecture conformer rythme naturel lorsque achetez revue habituelle comment abordez-vous contenu j'attends moment bousculé façon profiter toute tranquillité sais résister plaisir parcourir très vile tout m'intéresse quitte revenir en- suile certains lextes lire plus fond n'ai général temps feuilleter très vite piquant de- de-là information utile lorsque achetez nouveau roman comment lisez-vous immédiatement cadence rapide prends temps lire com- modément petits bouts irrégulièrement n'ai souvent temps terminer lectures commencées lorsque acheiez ouvrage d'information comment lisezvous achète jamais commence parcourir travers être sûr capter moins idées générales après quoi j'ai temps re- prends détail lecture parties plus intéressantes commence début car c'est auteur donne idées générales qu'il traiter continue début intéressé lorsque dépouillez courrier comment procédez-vous ordre découpe d'abord soigneusement enveloppes puis lis lettres fond interrompu remets plus tard lecture lettres peu longues rapidité classe enveloppes d'après en-tête ordre d'importance décroissante lis très vite superficiellement tout mettant quelques notes marge secrétaire puisse répondre elle-même plupart lettres hasard moments libres parfois courrier retard s'accumule façon inquiétante quelle fréquence lecture journal lis chaque jour journal habituel lis plusieurs quotidiens jour lis journal tous jours seulement quand tombe sous main —————…———— quelle fréquence lecture revues plusieurs revues chaque semaine méthode sans précédent once upon time ... écoutant passionnantes histoires apprenez l'anglais allemand espagrol finies méthodes fastidieuses fallait répéter unes suite autres phrases sans suite mentor méthode jeune moderne unique deux cassettes deux romans tout cassettes voix agréable raconte anglais histoire attrayante simple traduit fur mesure impossible arracher voulez écouter jusqu bout réécoutez plusieurs fois plaisir faut oreille s'amuse enregistre romans lisez histoire l'œil vient renfort quelques heures d'écoute lecture vocabulaire 1500 mots tournures anglaïses fixent mémoire prononciation vient naturellement maintenant mentor tout monde peut parler l'anglais facileî ment bon recevoir joignant adresse anglais cass livrets 101 102 .......... 120 allemand cass livrets 201et211 .......... 140 espagnol cass livret 401 ............... 120 envoi contre remboursement majoration règlement aujourd hui mandat chèque ccp paris 5474-35 port gratuit faire croix cases choisies mentor bureau p.s.1 odette 94150 nogent-sur-marne
5,6,revue habituelle chaque semaine n'achète moi-même revue déterminée j'en parcours lorsque l'occasion s'en présente quelle fréquence lecture livres j'ai peu l'occasion distraire ainsi lis guère ceux l'on prête quelques-uns j'aime lire j'achète emprunte régulièrement plusieurs livres mois profession m'oblige lire beaucoup tenir courant lis souvent plusieurs livres semaine avez-vous tendance lire tout vitesse oui j'ai rythme lecture convient n'aime dépasser sinon perds fil lis lis vite m'intéresse plus lentement m'intéresse peu vraiment lectures endormiraient facilement parcours très sommairement m'intéresse lis vraiment passages m'apportent quelque chose sentez-vous plus réceptif information apportée personne peut l'expliquer oralement radio télévision livre tout autre imprimé l'on peut lire annoter chez soi aimez-vous naires non perd trop temps sans trouver généralement l'on veut trouve cela utile man- souvent courage faire oui j'aime consulter diction- naïires car ouvrages apportent rapidement beau- coup d'informations consulter diction19 faites-vous devant texte très dificile important cherche spécialiste car sais retrouverai seul mieux vaut payer quel- qu'un compétent l'expliquer j'abandonne purement simplement lecture quand vois qu'elle dépasse cherche aborder difrfé8 rentes façons arrive toujours décortiquer texte îrés difficile survolant puis l'analysant patience l'ensemble êtes-vous satisfail lectures habituelles semaine non elles restent très dessous désir enrichissement intellectuel activités m'empêchent consacrer temps voudrais temps ordinaire rattrape vacances oui lis suffisamment gré deuxieme partie mesurez performances lecture quelle vitesse lisez-vous permettre mesurer quelle vitesse lisez compilé nombre signes contenus texte suit établi barème indiquera signes heure vitesse lecture selon temps mis lire texte tout comme définit kilomètres l'heure vitesse d'une voiture rajet donné connaître temps lecture texte pouvez procéder comme suil notez marge texte lire première minute ronde venir voire monire exemple heures minutes secondes notez 21. attendez l'aiguille secondes arrive deux secondes avant minute ronde notée com- mencez lire pensez montre pendant lecture fois celle-là lerminée notez marge fin texte mi- nues secondes indiquées monire peut être exerple heures minutes secondes rapide soustraction donnera lemps écoulé depuis début lecture minutes secondes noterez ligne réservée cel usage cocherez ensuite barème vitesses temps plus proche lemps lec- lure permettra lire directement vitesse signes heure ligne ainsi pout emps lecture mi- nules secondes cocherez ligne minutes pourrez lire voire vilesse peu moins 000 signes heure scene vie parisienne hasard fait ouvrier économe hasard gratifié d'une pensée jeter yeux l'avenir tete oloiaist rencontré femme père après quelques privations dures entreprend petit commerce mercerie boutique maladie vice l'arrêtent voie prospéré voici croquis cette vie normale abord saluez roi vement parisien s'est soumis temps l'espace oui saluez cell créature composée salpêtre gaz donne enfants france pendant nuits laborieuses multiplie pendant jour ind vidu service gloire plaisir concitoyens cet homme réscut problème suffire fois femme aimable nage constitutionnel reau garde nationale l'opéra dieu transformer écus constitutionnel bureau l'opéra garde nationale femme dieu enfin saluez irrépro chable cumulard levé tous jours cinq heures franchi comme oiseau l'espace sépare domi cile rue montmartre qu'il vente tonne pleuve neige constitutionnel attend charge journaux dont sou missionné distribution reçoit pain politique avidité prend porte neuf heures sein ménage débite calembour femme dérobe gros baïser déguste tasse café gronde enfants dix heures moins quart apparaît mairie posé fauteuil comme perroquet bâton chauffé ville paris inscrit jusqu quatre heures sans donner larme sourire décès naissances tout arrondissement bonheur malheur quartier passe bec plume comme l'esprit constilutionnel voyageait naguère épaules rien pèse toujours droit devant prend patriotisme tout fait journal contredit personne crie applaudit tout monde vit hirondelle deux pa- roisse peut cas d'une cérémonie importante laisser place surnuméraire aller chanter reguiem lutrin l'église dont dimanche jours plus bel ornement voix imposante tord énergie large bouche faisant tonner ïré joyeux amen chantre liber quatre heures service office apparaît répandre joié gaieté sein boutique 21s cité plus célèbre reuse femme tôt temps d'être jaloux homme d'action sentirie aussi dès qu'il arrive agace-t années mou seen
6,7,"îttén comme düx rire neige attend lila reg avidité heures débile dérs tas pts apparél fautall res cre tne demoiselles comploir dont yeux vifs attirent force chalands gaudil sein parures fichus mousseline façonnée habiles ouvrières plus souvent encore avant dîner sert pratique copie page journal porte chez l'huissier quelque effet retard six heures tous deux jours fidèle poste inamovible basse-taille chœurs trouve l'opéra prêt devenir soldat arabe prisonnier sauvage paysan ombre patte chameau lion diable génie esclave eunuque noir blanc toujours expert produire joie douleur pitié étonnement pousser d'invariables cris taire chasser battre représenter rome l'egypte toujours petlo mercier minuit redevient bon mari homme tendre père glisse lit conjugal l'imagination encore tendue formes décevantes nymphes l'opéra fait ainsi tourner profii l'amour conjugal dépravations monde voluptueux ronds jambe taglioni enfin s'il dort dort vite dépêche sommeil comme dépêché vie n'est-ce mouvement fait homme espace incarné protée civilisation cet homme résume tout histoire littérature politique gouvernement religion art militaire n'est-ce encyclopédie vivante atlas grotesque sans cesse marche comme paris jamais repose tout jambes aucune physionomie saurait conserver pure tels travaux peurêtre l'ouvrier meurt vieux trente ans l'estomac tanné doses progressives eau-de-vie sera-t-il trouvé dire quelques philosophes bien rentés plus heureux l'est mercier l'un périt d'un seul coup autre détail huit industries épaules gosier mains femme commerce celui-ci retire comme d'autant fermes enfants quelque mille francs plus laborieux bonheur jamais récréé cœur d'homme cette fortune enfants enfants résument tout deviennent proie monde supérieur auquel porte écus fille fils élevé collège plus instruit l'est pére jetie plus haut regards ambitieux souvent cadet d'un petit détaillant veut être quelque chose l'etat balzac scènes vie parisienne luscrivez ici durée lecture minules secondes febontatptpti sta satpttlttatr tale etg ist heather eee etes selhes texle comprenait 5043 signes sachant lemps mis lire trouverez lableau suivant vitesse signes heure barème vitesse voire temps vilesse lecture signes réponse minutes heure secondes 0,45 450 000 303 000 1,30 201 000 151 000 2,30 121 000 100 000 3,30 000 000 000 000 entourez lettre correspond barême vitesse quel taux compréhension mémorisation texte comprendre texte retenir aussi important lire vite questionnaire suivant permettre mesurer voire performance domaine également dix questions comportent chacune quatre réponses possibles dont seule bonne réponse entourez d'un cercle lettre correspondant réponse paraîl bonne quand répondu ainsi dix questions comparez réponses liste bonnes réponses encadrées fin questionnaire cochez bonnes réponses additionnez-les regardez barème compréhensionmémoire quel voire taux compréhension fonclion total bonnes réponses exemple cinq réponses élaient justes taux s'élève compréhension-mémoire quel genre commerce l'ouvrier a-t-il ouvert après quelques années privation boulangerie mercerie boucherie nourrisseur bestiaux quelle première chose qu'il fait tous matins après s'être levé prend petit déjeuner porte journaux embrasse femme compte recette veille comment s'appelle journal matin cité balzac l'ami peuple moniteur tés alias alp sap lee souhaite cal apprenez psycho loge évolution personnelle sociale proiessionnelle enseignement individualisé correspondance cours oraux soir paris lille stages pratiques paris lausanne ... frais d'études déductibles revenu brut préparation divers diplômes sous conduite praticiens réputés psychotechnique graphologie morpho-psychologie psychopédagogie symbolisme rorschach cours international sexologie normale pathologique rééducation graphique relaxation psychosomatique etc dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut francais culture humaine établissement privé d'enseignement distance paris lille direction administrative foch 59-marcq-lille profession adresse recevoir gratuitement documentation générale formule d'orientation contre timbres spécial revue vie action mesure l'intelligence phare datant mat"
7,8,"père duchesne constitutionnel fait l'ouvrier mairie fait ménage passe temps bavarder inscrit décès naissances portier pourquoi laiïsse-t-il parfois place surnuméraire regagner commerce reposer peu tromper femme chanter requiem l'église six heures soir fidèle posie agacer demoiselles comptoir souper l'opéra comédie française quelle partie corps chez cet ouvrier travaille plus jambes bras tête yeux quelle heure couche t-il minuit huit heures petit matin jamais heure fait-il quand apparaît boutique crie après tout monde fait scène jalousie femme met désordre partout répand joie gaieté 10. quelle l'ambition fréquente fils cadet d'un petit détaillant reprendre commerce père renier humbles parents devenir quelque chose l'etat partir chercher l'aventure au-delà mers bonnes réponses 1b,2 b,3 d,4c,5d,6c,7a,8a taux commpréhension-mémoire taux nombre compré- réponse bonnes hension réponses saltul-hjusl séépééres lsrsrrrrires ofalolololololpimln entourez lettre correspondant taux conipréhensionmémoire mois l'on peut confondre lisez vive allure phrases sutvantes elles n'ont beaucoup sens cela d'importance 1ct compte c'esl identifitez très vile chaque sans confondre voisins soulignez endroits fallu revenir parvenir distinguer autre notez aussi endroits failli faire n'oubliez d'indiquer temps lecture début lecture lieu minules ceci disperse l'attention dispense penser dépense argent absurde qu'elle absorbe sorbet sorte au-delà virage mirage rétrécit pupilles papilles frémirent c'est homme comme faut adopte coutume costume cérémonie dame guiches m'aguiche quiches cuites four tout jour t'assure j'assume devoir joie celte altitude l'attitude plus prudente nécessaire j'ai fait l'achat d'un chat distraction destruction souris amie manie garder mie pain main rassemblerons ressemblerons aînés courage retenir revenir lieux pourquoi remarquer poncifs pontife fournir quoi fourbir armes veille vieille bielle rompit l'orang-outan mange façon dégoûtante l'orange durée lecture fin voire lecture lieu minutes secondes durée lecture secondes tendances régresser normbr cas fallu revenir mol fois l'identifies nombre cas dance faire fois total deux fois durée lecture ————— plus secondes entre secondes moins secondes tendance régresser fois fois plus fois tendances subvocaliser lisez deux fois suïte viy allure l'exercice suivant lenani main voire gorge surveil ler mouvements remue émel sons pendant voire lec lure tendance subvoca liser ciel ceci sait tonton toto thé t'atl ôté toux didon dina dit-on dos d'un dodu dindon voici six chasseurs séchant sachant chasser sans chien bonjour monsieur sans-soucis combien six saucissons-ci six sous six saucissons-ci six sous six saucissons-ci c'est trop cher monsieur sans soucis fois dame foi vendait foie ville foix dit foi c'est première fois dernière fois vends foie ville foix jour vieux fat aborda bassompierre disant bonjour gros gras gris bassompierre répondit bonjour peint teint feint voici refrain kalevala épopée finlandaise mit chercher chanteur bon chanteur capable chanter habilement capable d'entamer chant solennel bravo orateurs remarquons corrélation entre proportion consommations différents groupes population ———— cet exercice ten dance subvocaliser nombreuses fois fois deux jamais"
8,9,sales colonnes étroites nombre points fixation œil sait-il capter message plusieurs mots fois l'exercice suivant permettre vérifier capacités domaine texte présenté colonnes étroites comme journaux d'abord divisé deux groupes mots rapprochent peu peu former seule colonne habituez œil lire chaque ligne deux fixations partant deux groupes mots séparés gardant rythme acquis lorsque groupes rapprochent former lignes continues premier textes contient signes ligne second moyenne vérifier œil lit bien deux fixations ligne installez-vous façon visage bien éclairé demandez personne placée face suivre mouvements yeux cochant feuille préparée celle intention cas œil fait retour arrière rompe modifie cetle manière rythme choisi ainsi parlé flûte douce montagnes entendre tous bientôt autour bergers voisins harmonie divine ému comme hors chanter nature orné passions partie ensemble tous leurs cabanes donna échos firent côtés attirèrent tous voix sentais moi-même grâces dont campagne jours entiers nuits chanter bergers oubliant leurs troupeaux immobiles pendant mieux l'ennui solitude supporter captivité cherchai suspendus autour livres j'étais donnais leçons semblait accablé d'ennui déserts n'eussent plus faute quelque rien sauvage tout devenu instruction püt nourrir doux riant politesse esprit soutenir habitants semblait adoucir terre heureux disais-je acheva rendre ceux dégoütent fameux parmi bergers plaisirs violents c'est qu'un jour lion affamé savent contenter vint jeter troupeau douceurs d'une vie déjà commençait carnage affreux innocente heureux ceux divertissent s'instruisant plaisent cultiver esprit sciences quelque endroit foriune ennemie jette portent toujours quoi s'entretenir l'ennui dévore autres hommes milieu délices inconnu ceux savent s'accuper quelque lecture heureux ceux aiment lire point comme privés lecture n'avais main houlette m'avance hardiment lion hérisse crinière montre dents grifles ouvre gueule sèche enflammée yeux paraissaient pleins sang feu bat flancs longue queue terrasse petite cotte mailles dont j'étais revêtu selon coutume bergers l'empêcha déchirer trois fois releva poussait rugissements faisaient retentir toutes forêts trois fois abattis enfin l'étouffai entre bras nombre fois œil perdu rythme deux fixations ligne fois deux fois nombreuses fois motif plus fréquent plus deux fixations ligne retours arrière comprendre moins deux fixations ligne
9,10,————— lecture pages livres nombre creer précédents trois groupes mots rapprochent peu peu lisez facilement former finalement points fixation courtes lignes livi lignes continues. pans ouvrage standard and personne assise premier lexle trident nombre signes ligne dean yous contient moyenne signes moyenne soixante face mouvements ligne second 60. dizaine mots suivre partenaire notera bon lecteur lit vésel bien éclairé feuille trois fixations plus voire visas ous lire textes préparée celte intention raison trois mots fixaiton efforcezv cas œil fail exercices trident suivent retour suivent thme ligne arrière trompe d'examiner trois fixations vont permettre d'examiner aider rythme choisi façon ême fago premières lignes divisées chaque année chartres près cent mille visiteurs attentifs respectueux bien peu remarquent nef gigantesque serpentin dalles blanches déroule méandres sous chaises prie-dieu dessin mystérieux constitue pourtant l'une plus passionnantes énigmes notredame chartres agit effet d'un labyrinthe pomme terre sera-t-elle lorsqu'on sait celle étrange figure liée jour utilisée météorologie cerlains rites initiatiques crète peut aujourd'hui poser voit certains mégalithes bretons irlandais question effet professeur droit trouver présence insolite frank brown département tempie chrétien historiens sciences biologiques l'université expliquent chartres fidèles d'evansion illinois montré considéraient chemin pierre représentait pomme terre étail capable réduction pèlerinage terre sainte prévoir temps qu'il ferait deux ceux pouvaient aller érusalem journées j'avance féculent parcouraient genoux car mêmes grâces placé containers mêmes indulgences attachées hermétiquement clos brown mesuré selon d'autres auteurs labyrinthe figurait voie variations consommation journalière douloureuse suivie christ maison d'oxygène grâce dispositif pilate calvaire deux cas extrêmement sensible variations pourquoi avoir donné cette croisade miniature suivent celles pression barométrique chemin croix forme d'un jeu deux jours d'avance l'oie pourquoi enfin pierre centrale observé cette capacilé labyrinthe chartres représente-t-elle tombeau christ calvaire thésée minotaure devons-nous donc considérer labyrinthes inscrits dalles certaines cathédrales comme d'étranges liens rattachent christianisme plus anciennes religions connues sans doute comme devons voir symbole alchimique sait quelles pratiques secrètes quels enseignements ésotériques élaient destinées déconcertantes figures aujourd'hui fidèles considèrent sourire amusé touristes ignorent quant prêtres plus souvent bien embarrassés labyrinthe constilue avant tout élément désordre distraction plusieurs reprises effet durent punir enfants s'amusaient parcourir bruyamment pendant messe saint-ouen agacés firent détruire météorologique pomme terre partagée grand nombre d'autres espèces vivantes règne animal aussi bien végétal brown conclut non sans humour qu'il intéressant d'envisager cas place pomme terre enfermeraïit météorologiste lui-même local hermétiquement clos semaines mois deviendrait-il aussi capable pomme terre donner prédictions exactes temps deux jours l'avance d'annoncer seulement temps qu'il fait jour hits ——— nombre fois œil perdu rythm fixations ligne yihme deux motif plus fréquent plus trois fixations ligne retours arrière comprendre moins trois fixations ligne fois deux fois nombreuses fois rhin eenhun dauhhe mama rap
