,page,text
0,1,nrc sous comportements true cemeaus émisfhères cammpaé 126
1,2,lun nes dates rare chleu sisi pute s007 mfrrvsttt ssii retournez bon ci-contre recevrez gratuitement avant-premiere catalogue folio idées/gallimard- poésie/gallimard archive
2,3,"fsycholegie comprendre savoir agir monde d'aujourd'hui septembre 1973 psychologie avancée lune soleil influencent-ils comportement cosmobiologie répond affirmativement michel gauquelin présentation place soleil jacques mousseau entretien raymond boudon l'utilisation mathématiques bouleverse sociologie andré akoun jacques mousseau psychologie expérimentale pense gauche aime droite deux hémisphères cerveau spécialisés robert ornstein tests test village jeu constructipn révèle personnalité marie-josé houareau enfance adolescence enfant inadapté famille comment faut-il comporter égard frances kaplan grossman université nouvelle nouveau maître d'école télévision passionnante expérience pédagogique niger evelyne pierre connaissance autres visage raconte plus âme âge morphologie compare l'aspect physique évolution psychique jean gaussin librairie l'automatisme psychologique pierre janet françaises travail evelyne sullerot education impossible maud manonni autres parutions bref france grande-bretagne who who psychologie prochain numéro paraîtra jeudi octobre 1973 pet das edite centre d'étude promotion lecture \igus abonner sychologie amps-elysees 75008 paris 359.86,50 226.02.88. vovez page has penser srrsecnle fées eet dst tutst unir peser ile fout auot once spore rene res fes"
3,4,
4,5,alune l'activité solaire influencent-elles comportement michel gauquelin l'homme serait-il qu'un pantin dont ficelles seraïent reliées plus étroitement qu'on croit lune soleil illustration george lemoine jour michel gauquelin assisté françoise gauquelin consacré déjà plus d'une vingtaine d'années recherches scientifiques rythmes cosmobiologiques cosmobiopsychologiques c'est-à-dire rapports peuvent exister entre rythmes physiques astres planètes rythmes biologiques psychologiques êtres vivants hommes animaux participé nombreux congrès monde réunissant tous savants penchent domaine longtemps délaissé dédaigné auprès d'eux s'est tenu informé observations faites résultats acquis grâce ceite documentation propres fravaux publier plusieurs livres questions deux nouveaux ouvrages viennent paraître sous signature dossier influences cosmiques denoël rythmes biologiques rythmes cosmiques marabout université nature joue dés affirmait einstein soir vie voulant dire rien produit nature n'est gratuit tout doit jouer rôle concept forces universelles l'homme enchaîné vaisseau cosmique terre trouve milieu l'univers l'univers n'est l'abri déchaînements forces cet univers réagit manière dialogue psychologique biologique constant s'est créé depuis l'origine entre vie cet environnement lointain constituent soleil lune étoiles environnement n'est lointain apparence astrophysiciens savent maintenant baignons littéralement l'atmosphère solaire malgré distance sépare astre quant lune rappelle deux fois jour déplaçant masses océaniques quelles influences soleil lune exercent comportement depuis temps reculés spéculations bon train science moderne pris relève légende temps paraît vent présenter premier bilan répondre deux questions quelle mesure l'homme est-il être lunatique peut-on considérer comme cadran solaire vivant selon mot biologiste japonais takata astre jour astre huit couple soleil-lune peut-être plus cela psychologie l'assassin pleine lune existe-t-il dès premiers âges l'humanité attribué lune influence fâcheuse l'équilibre mental mot lunatique devenu synonyme esprit dérangé lunatique c'est fou celui dont l'humeur croît puis décroît sans cesse l'image l'astre ciel psychiatre ravitz rapporte qu'au bethlehem hospital new york coutume battre malades l'approche tertaines phases lunaires façon devancer crises pouvaient survenir traitement usage jusqu'en 1808 dit-on qu'un déséquilibré criminel sadique surtout défraie chronique toujours quelqu'un évoquer responsabilité moins indirecte astre nuits fait cru constater périodicité crimes certains déséquilibrés coïncidait assez vaguement vrai phases lune parmi cas célèbres cite doris gloss l'égorgeuse menlo park californie johi edward allen vampire lancashire surtout sinistre jack l'éventreur œuvrait préférence croit-on nuits pleine lune sassin pleine lune tel aussi encore monstre quartier carmes toulouse police recherche toujours mutila tua trois clochards pendant nuits pleine lune 1963 1964. police pense qu'il s'agissait déséquilibré qu'une force irrésistible poussait brusquement meurtre allait alors plus près savait trouver nuit vagabonds isolés sans défense assassinaït toujours bien difficile faire part vérité l'attrait sensationnel telle interprétation d'un meurtre pleine lune influence-t-elle aussi netmn 1892 auteur d'importants travaux l'influence activité solaire floculation sérum sanguin
5,6,séquilibré certes rend nuits plus mystérienne lumière blafarde per capable représenter ser excitant fou nous-mêmes dormon période pleine rer quan nuages tiré fideaux puis qua lune brille c'est fait bea sadiques hésitent peut-être tir sous pluie ... tement être sommes-nous soumis marées biologiques teur pourtant récemment l'inspec chef wilfred faust département police philadelphie rédigea très officiel rapport destiné collègues intitulé effets pleine lune comportement humain rapport signale soixante-dix offciers police reçoivent chaque jour appels d'urgence téléphone affirment qu'ils beaucoup plus travail quand approche nuit pleine lune déséquilibrés agressifs tels pyromanes kleptomanes chauffards criminels alcooliques agissent plus souvent quand lune croît quand décroît officiers police philadelphie font-ils illusions certains psychiatres croient guère l'influence lune criminels tentés l'affirmer fous criminels disent-ils comme plupart aliénés cyclothymiques passent régulièrement périodes d'excitation périodes dépression d'abattement périodes peuvent revenir intervalles fixes donc possible qu'un aliéné crise aiguë pendant pleine lune connaisse nouvelle crise pendant phase suivante c'est alors hasard cela coïncide nouveau pleine lune nécessairement liaison directe entre astre déséquilibre nature toujours plus compliquée croit tous psychiatres partagent cette façon classique voir l'expérimentation dénombrement statistique laissent entrevoir ingérence plus subtile néanmoins réelle lune fluctuations l'humeur .on récemment découvert l'ionisation atmosphérique magnétisme terrestre variaient phases lune ballet d'atomes d'électrons seraitil capable surexciter malades mentaux maintenant possible faire mesures scientifiques uenge lune infl physique bien connue lune satellite lobiée céleste plus proche influence terre rerier sortes mouvements ent rotation apparenté terre elle-même vingt-quaire heures c'est mouvement journalier journ junaire peu plus pret journée solaire mouvenient quotidien resportsable phénoméne marées lieu deux fois jour temps sépare deux marées durée s'écoule entre deux passages consécutifs lune méridien lieu c'est l'attraction gravitationnelle lune provoque phénomène marées composant d'ailleurs l'influence gravitationnelle soleil dont rôle cependant rois fois moins important ici celui lune océans subir déformations périodiques bijournalières l'atmosphère marées atmosphériques l'écorce terrestre marées terrestres également sensibles second mouvement lune rotation autour terre plan écliptique c'est mois lunaire temps sépare deux nouvelles lunes révolution synodique lune variations angulaires respectives entre lune soleil aussi action phénomène marées marées plus grande intensité pleine lune nouvelle lune lorsque influences gravilationnelles lune soleil conjuguent influences physiques observées depuis longtemps s'ajouient perturbations plus fines dès 1940 chapman bartels découvrirent l'intensité champ magnétique terrestre subissait heure après heure mmodulations dues journée mois lunaires récemment deux astronomes japonais matsushita maeda apporté précisions complémentaires confirment celte découverte enfin satellites iciels onf prouvé lorsque position certaine rapport soleil capable dévier vent émane flux particules ant continuellement soleil terre subit effets remplaçant impressions rieures c'est psychiatre américa 1969 ravitz l'idée leonard différence potentiel are entre tête poitrine rique lades mentaux différence jour jour selon poai accord phases luna l'agitation aliénés nes munication devant l'académi sciences new york proposé explicati lune détermine pans ment comportement humain irecte modifiant rapport ais électromagnétiques l'univers capable provoquer tastrophes chez êtres mal librés théorie quelque peu différent étayée cette fois l'expériment tion statistique exposée cemment journal américain psychiatrie arnold lieber carolyn sherin département psychiatrie l'université miamié maintenant bien établi écrivent auteurs lune influence gravitation nelle terre moteur principal marées océaniques atmosphériques terrestres consi dérons instant l'organisme humain comme imicrocosme petit univers l'essentiel composé mêmes éléments ceux surface terre approximativement d'eau minéraux organiques inorganiques peut faire l'hypothèse forces gravitationnelles lune capables d'exercer eau renferme microcosme humain influence similaire celle qu'elle exerce macro cosme terrestre canal gravitation lune provoquerait l'organisme humain changements cycliques milieu liquide baigne toutes cellules corps point l'on pourrall parler véritables marées biologiques changements rées biologiques capables provoquer variations normait l'humeur traduira l'individu prédisposé vérita dérèglement comportement l'expérimentation devait soute cette théorie comme critère objet rav life cité darrell huff cycles 111 your lif gollancz 1965 113- production d'ions ions leu groupes d'atomes neutralité électrique ste rappelons qu'il existe magnétique surface ters electro l.j ravitz periodic changes magnetic fields annals new demy sciences 1960 pee a.l lieber c.r sherin eory and the lunar cycles toward effet chap lunar influence human emo ychialr bance american journal 129 juillet 1972
6,7,troubles graves l'humeur auteurs choisirent homicide effet lune nombre homicides exisie pensons qu'il doit suivre périodicité semblable celle force marées plus grand nombre crimes devant produire autour nouvelle pleine june époques plus fortes marées. moments effet l'attraction gravitationnelle lune conjugue celle soleil tout cela bien entendu gravitation lunaire fait partie causes dérèglent comportement humain lieber sherin relevé tous jes homicides survenus l'etat floride pendant quinze ans 19561970 rassemblèrent 1949 dates d'assassinats comparées positions lnne données mises cartes perforées soumises ordinateur rendit verdict rapporiés phases lune homicides firent apparaître maximum pleine lune suivi d'une seconde élévation nouvelle lune résultat élé jugé auteurs comme statisiquement très significatif animaux semblent suivre rythmes lunaires quelle mesure faits nouveaux comme celui-là justifientils vieilles légendes êtres lunatiques seule l'accumulation faits précis permettra dire fois plus l'observation frères inférieurs aide comprendre croyance répandue bords méditerranée affirme animaux marins oursins huîtres mollusques plus gros pleine lune plus maigres nouvelle lune cette idée semble reposer uniquement grossière analogie entre l'apparence lune taille animaux cependant professeur frank brown northwestern universily décidé d'ouvrir dossier énigmes s'est livré d'étranges expériences ainsi art-il découvert crabe violoniste ainsi nommé cause pince forme violon change couleur selon rythme lunaire lorsqu'il trouve enfermé chambre obscure laboratoire rats cage agités quand lune sous l'horizon calmes quand monte ciel aucun mur épais soit-il peut empêcher rongeur deviner quand lune lève couche mieux lieber sherin dont venons décrire fravaux homicides phases lune rapportent l'étonnement saisit jour comparèrent courbe homicides floride celle activité hamster enregistrée laboratoire frank brown durant période deux courbes praliquement superposables enregistrements montrent hamster présente deux périodes maximales d'activité très nettes pleine nouvelle lune époques mois nombre suicides fait poussée fièvre d'autres biologistes remarqué cours vie nombreux animaux rythmes lunaires l'éclosion moustiques l'ouverture valve huîtres moment ponte oursins singes d'un élevage mystérieusement avertis éclipses lune nuit passant cône d'ombre terre l'astre dérobe regards animaux sortent ménagerie donnent signes d'inquiétude pelotonnent uns contre autres demeurent immobiles silencieux qu'est-ce tire ainsi sommeil nul sait encore paraît certain c'est présence l'absence lumière lunaire n'explique tout pourrait exister autres canaux mystérieux grâce auxquels satellite remettrait l'heure l'horloge interne l'homme cet homme homme science comme témoigne comportement curieux d'un physicien rapporté gay gaer luce insu savant vivait selon calendrier lunaire vingt-huit jours durée mois lunaire pendant toute année effectua recherches régions polaires désertiques l'antarctique trouvait l'écart l'alternance lumière d'obscurité zones tempérées également toute activité sociale cours séjour année plateau polaire nota heures coucher réveil remit calendrier deux savants s'intéressant problèmes sommeil jay shurley cherter pierce ceux-ci découvrirent courbe curieuse retardait l'heure coucher quinze trente minutes chaque soir observant décalage identique l'heure réveil bientôt dormit jour demeurait éveillé toute nuit hommes science constatèrent phénomène plus étrange encore cette déviation maintenait vingt-huit jours seulement bout laps temps cet homme revenait horaire original présentait nouveau décalage progressif parfaitement ignorant processus aucune explication jusqu jour être fournie sujet néanmoins cycle vingt-huit jours laisse supposer influence lunaire xvi siècle shakespeare qualifiait lune souveraine maîtresse mélancolie déclarait qu'elle rendait hommes insensés lorsqu'elle approchait trop près terre soleil étoile changeante personnes changeantes voyait autrefois soleil comme sphère immuable c'était rond d'or pythagoriciens cette astronomie l'œil vont succéder lunette galilée début xvrre siècle télescope l'aube siècle satellites artificiels partir 1958 grâce progrès technique sait maintenant soleil étoile perpétuelle effervescence tourne lui-même couvre périodiquement taches brusques éruptions gaz incandescents crèvent surface projetés l'espace parviennent jusqu terre globe baigne encore l'atmosphère solaire c'est pourquoi brusques fantaisies soleil perturbent l'électricité atmosphérique terrestre provoquent fade-out ondes radio cause tempêtes magnétiques affolent l'aiguille aimantée boussoles loin n'être grand dispensateur lumière chaleur soleil provoque terre bien d'autres effets seuls instruments extrêmement perfectionnés enregistrer question inévitable vivons surface globe fétus chair sang sommes-nous l'abri déchaînements gigantesques étoile contraire l'image l'aiguille aimantée d'une boussole humeur varie-t-elle gré humeur solaire conçoit activité solaire retenu l'attention biologistes psychologues qu'ils tenté mettre parallèle comportement êtres vivants donnons quelques-uns résultats plus intéressants obtenus psychologie cette race nouvelle chercheurs doivent ajouter connaissance psyché humaine celle science astrophysique recrudescence suicides selon düll nombre suicides voir brown exogenous timing rat spontaneous activity periods proc soc exper biol med 101 1959 457 g.g luce temps corps paris hachette 1972 72-73 exposé plus complet lire gauquelin horloges cosmiques paris denoël 1970
7,8,nettement lorsque l'activité solaire monte brusquement étude porté suicides survenus berlin entre 1917 1932 ceux copenhague francfort-sur-le-main hambourg zürich entre 1928 1932. lotal 24739 cas suicides confronté chronologiquement l'activité solaire nombre suicides accroil jours l'atmosphère solaire théâtre d'une intense activité auleurs voient preuve perturbations causées système nerveux modifications concomitantes sutvenues l'état électrique l'air. travail düll antérieur seconde guerre mondiale reproché certain manque rigueur statistique depuis cependant autres auteurs affirmé avoir observé corrélations nature entre activité solaire suicides ainsi orményi l'institut d'etat d'hydrologie médicale budapest hongrie réuni groupe 2240 suicides tentatives suicides enregistrés 1964 service urgences budapest l'analyse mathématique permis noter l'importance fortes éruptions chromosphériques probabilité inférieure chance cent résultat observé hasard accidents travail circulation c'est encore orménvyi réuni 5479 accidents cireulation survenus budapesi 1963 1964 affirme tempêtes géomagnétiques caractère corpusculaire accompagnées d'une augmentation 101 nombre accidents l'étude temps 654 accidents travail survenus l'industrie sidérurgique hongroise entre 1962 1964 augmenter activité solaire accidents nombre d'accidents jours perturbes jours calmes 0+142 +344 -3-2 +3+4 jours avant jours après jours avant jours après mines charbon ruhr nom- are d'accidents beaucoup plus élevé autour jours magnétiquement perturbés gauche jours magnétiquem dote ent calmes d'après hellmut berg solar terrestrische beziehungen meteoroloi ologie leipzig gelst und portig 1957 136 ——— dire tempêtes magnétiques semblent très dangereuses surtout elles accomfroidi brus- d'un refroidissemen pare température amène l'auteur d'ajouter base .10s observations possible fournir régulièrement prévisions nombre d'accidents travail mesure astronomes savent prévoir l'activité soleil avertissements donnés temps permis noter diminution nombre accidents l'industrie 1952 docteur reiler münich s'était déjà penché accidents circulation survenus bavière pendant l'année 1950. patience noter moment exact 130000 cas constala augmentation accidents jours suivaient éruption solaire toujours 1952 autre chercheur allemand martini comparé accidents travail l'activité solaire élimina catastrophes massives dues fatalité défaillance matériel telles coups grisou mines ruptures barrages etc retint accidents causés maladresse l'inattention l'énervement ouvriers matériel statistique fondé 306 journées travail mines charbon ruhr pendant lesquelles produisit 5580 accidents comparaison données facteurs solaires très nettement positive ouvriers mineurs plus d'accidents jours l'agitation magnétique forte jours calmes contraire plus pauvres accidents agitalion malades mentaux enquêtes düll reiter martini n'ont rés grande audience scientifique nont suscité influencé varia- géophysiques d'ori cherché objectif ché sions hôpit ques ecoutons auteure cha relevé nombre journ alier sions nouveaux malades admis sept hôpitaux psychiatri l'etat new yorkentre eine 1957 octobre 196 juillet réunir lota auteurs éliminèrent tout cas facteurs sociologiques adm tratifs jouaient rôle nombre quotidien d'admissions façon éviter toutes fausses lations données ainsi corré comparées indie magnétique relevé trois géo trois heures appelé indice l'observatoire magnéti ricksburg ébtas pere netleté résultats sante nante nombre d'admissions menta netlement jours grandes tempêtes magnétiques auteurs cette découverte écriv relation significative observée entre l'agitation psychials reflétée nombre inter nements l'intensité chams magnétique terre tout passe comme systèmes contrôlent comportement l'organisme influencés champs force extérieurs ainsi attention attirée dimension jusque-là négligée intéresse non seulement psychopathologie sans doute aussi comportement humain normal ondes très basse fréquence ont-elles action psychobioloaique maïs passe-t-il suf fit d'établir corrélations nécessaire encore expliquer chercheurs emploient milieu multiples hypothèses l'une d'elles paraît prendre aujourd'hui autres vrai qu'elle s'appuie faits déjà bien observés porte rôle biologique donc psycholo gique ondes très longues l'atmosphère dites aussi ondes très basse fréquence fait certain quantité ondes augmente quelques heures après éruption solaire quantité qualité ——— 10. orményi possible relationship amon£ solar geophysical meteorological factors occurence suicides ile symposium ternational relations solaires restres biologie université bruxelles 1568 industrial and traffic accidents influenced solar flare geophysical meteorological factors idem martini der einfluss der sons tätigkeit auf die häufurg von unfällen zentralblatt arbeitsmedizin und arbeitsschit 98. 12. friedman r.o becker bal man psychiatric behaviour and geop parameters nature novembre 626 628
8,9,tue ondes aire articulier tructeur d'onde plus reçu avoir téuss mutations particulier phyle teint connait sés pl0 médicale d'appareils rayons espa tels rayonnements fais donc liées l'humeur ons très courte incurç domaine l'astrophyénéral gamme ments électromagnétiques observé rôle desdes rayons gamma ceux dont longueur plus courte l'énergie evée l'américain muller prix nobel 1949 provoquer ainsi deshez certains organismes mouche drosoce rayonnement dur atn effet noyau cellules troubles graves caunniers radiographie manipulation répétée soleil cosmiques émettent heureusement atmosphère entoure terre d'un écran protecteur sans cet écran vie terre anéantie rayons cosmiques venus fond l'univers protons solaires rayons aussi pénétrants gamma l'écran atmosphérique infranchissable deux disent mière fenêtres astrophysiciens prefait entrer lumière chaleur rayons ultraviolets connue depuis longtemps seconde découverte depuis vingt-cinq ans seulement laisse passer ondes électromagnétiques longues fréquence ondes radio étude donné naissance branche révolutionnaire l'astronomie radio-astronomie voilà donc ondes atteignent organismes vivant terre peuvent-elles avoir influence biologique pensa tout abord cela impossible car grande longueur ondes transportaient elles qu'une éner8ie très faible puis curiosité chercheurs l'emporta mit expérimenter cette fois devant faiblesse énergies jeu n'hésita utiliser matériel humain expériences l'on obtint résultats indiscutablement positifs citerons trois entre viennent chercheurs allemands. kônig l'institut électroà l'université münich labord abordé problème phyten enregistré l'activité jour- nalière ila signaux riées psychobiologi signaux g'qu qu'il veau ondes radio fréquence basse abrégé e.l.f obtenu différents types longueurs d'onde vason intérêt l'influence possible venu comparaison faite ondes cerumaïin tracés électro- lite encéphalographiques permis découvrir cerveau humain émet ondes présentant mèmmes caractéristiques ondes longues enregistrées l'atmosphère rythmes alpha bêta surtout cerveau comme nature émet el.f lacti- vité émissions nature présente perturbations activité cerveau n'en subirait-elle conséquences répondre question kônig expérimenta condition naturelle puis artificielle condition naturelle d'abord kônig profita d'une circonstance assez exceptionnelle exposition circulation routière allemande lieu 1953 münich ville habitait petit test rapi- dité réflexes proposé visiteurs 53000 personnes pré- tèrent cet exercice kônig grâce l'obligeance collègue reiter put avoir communication temps réaction enregistrés l'analyse données montra performances personnes testées moins bonnes heures jours certains signaux e.lf enregistrés temps réaction s'allongeaïit instants faisait apparaître part sujets maladresse passagère réflexes ondes e.l.f rapidité réflexes mauvais signal chez l'homme moment l'émission .des e.lf signal qualité réflexes diminue brusquement reprendre niveau moyen suite. d'après kônig biological effect extremely low frequency electrical phenomena the atmosphere 1971 puis condition laboratoire kônig ankermüller expo sèrent sujets champs artificiels longueur d'onde signaux é.l-f. perturbateurs enfermés local étanche sujets virent rapidité leurs réflexes baisser dès champ artificiel traversa local figure sorte demanda cobayes décrire impressions subjectives qu'ils jes uns migraine d'autres déclarèrent nouvelles méthodes permettent d'acquétir rapidement mémoire excellente comment obtenir lue para dont besoin avez-vous remarque certains entre semblent tout relenir facile alors autres oubtent rap dement qu'ils quil entendu cela vent-1l spécialistes problèmes dela memoire formels cela vent fait-que premiers appliquent conscremment non bonne méthode memonsation alors autres savent comment procéder autrement dit bonne memoire n'es question don question methode milhers expertences temorgnages prouvent suivant melhode préconisons centre d'etudes obhendrez memoire quelle qu'elle soil actuellement perormances première vue incroyables exemple pourrez après quelques jours eniraînement facile retenir l'ordre cartes d'un jeu l'on effeuille devant encore rejouer memoire aarte d'echecs reliendrez aussi facilement hste departements numero-code naturellement but essentiel melhode nest realiser prouesses genre donner memoire parlaite courante cest ans quelle permettra retenir instantanement nom gens lesquels entrez contact courses visites a.faire sans agendai l'endroltou rangez affaires chiffres tarifs etc vie entiere n'oublierez plus nom visage mois ans aprés relrouverez nom d'une personne rençontrerez comme l'aviez vue veille parvenèz aujourd c'est prenez mal car loul monde peut arriver resullat condition d'appliquer bons principes mème méthode donne resultats peut-ètre plus ex'raordinaires encore lorsqu'il agit memoire etudes effet permet-d'assimiler laçon deli nilive temps record centaines dates l'histoire milliers notons geographie science l'orthographe langues etrangeres etc tous etudiants devraient l'appliquer faudrait enseigner lycées l'élude devient alors tellement plus facile voulez avoir plus delails celte remarquable methode certainement inlerét demander livret gratuit proposé ci-dessous failes-le tout sutte car actuellement pouvez prohter d'un avantage exceptionnel see gratuit veuillez m'adresser livret gratuit comment acquérir mémoire prodigieuse donner tous détails l'avantage indiqué joignez timbre 0.50 frais pays hors d'europe joindre trois coupons-réponses découpez bon recopiez-le adressaz-lo service centre d'etudes mallarmé paris cmrnlmentare feu nom adaesse va0e neanessanensenenses 50006 pénénrénques sens stnreneenteue nernonensnens ptit eee tel eecen cee cecencr ecc een
9,10,"rel cut d'aulres encore poids poilrinenr ete l'homme peul donc réagir façon mesurable champ élec trique lrès basse fréquence conclut kônig sentirent fatigué cerveau est-il tour contrôle cosmique jr. hamer laboratoires throp l'espace récemment app ofondi idées kônig mémorandum intitulé entraînement biologique cerveau humain radiations basse fréquence l'auteur écrit but travail savoir l'homme possédait horloge biologique cerveau particu lier voulions savoir rythme ondes alpha cerveau humain pouvait être modifié champs magnétiques dont fréquences très proches rythme ondes. hamer soumit individus champs artificiels très basse fréquence compara vitesse réaction celle d'individus situés hors champ l'allongement temps réactions chez groupe d'expérience significativement plus long groupe contrôle hamer chercha ensuite savoir quel minimum voltage nécessaire effets biologiques manifestent seuil sensibilité extrêmement bas voltage 0,002 volt modification suffisante provoquer chez l'homme différences réactions statistiquement assurées comme remarque cet auteur conclusions champs artificiels expérimentés laboratoire existent l'état naturel l'atmosphère pourraient remettre l'heure activité cerveau agissant ondes alpha c'est démontré wever max plank justitut d'erling andechs bavière plus précisément observé champs électromagnétiques très faibles modifiaient longueur rythme d'activité journalière homme wever enferma sujets bunker soulerrain comportant deux pièce isolées l'une l'autre cha d'elles sujets acune libres 'âe sujets étalent laissés l'une are rythme wever fit passer l'insu courant artificiel très asse fréquence champ com- mente-t-il existe l'atmos sans l'on pere prenne conscience ans l'autre pièce wever fit ser aucun courant indi individus trouvaient servirent rent groupe lémoin bout trois maines longueur rythme 111 rss taches sol soleil nou principales activites solaires aires alle photographie donne image brillante solaire d'où lumière chaleur cette couche brillante écrit paul muller astronome l'observatoire paris aperçoit fameuses taches solaires premiers détails physiques découverts galilée plus anciennes luneltes s'agit effet trous dépressions considérables allant quelques centaines plusieurs dizaines milliers kilomètres plus grandes terre tout entière passerait largement ravers trous voit couche sous-jacente nettement moins brillante contraste fait paraître noire bords intérieurs taches présentent l'aspect brins d'une étoffe l'on aurail percée srès nette photosphère viennent gris cette zone s'appelle pénombre tache taches très souvent groupées deux plusieurs protubérances éruptions solaires au-dessus photosphère trouve chromosphère l'on peut découvrir pendant éclipses siège très remarquables phénomènes protubérances éruptions jets matière lumineuse issus chromosphère forment arcs gerbes d'autres formes évoquant peu jeux d'eau naturellement beaucoup plus lents protubérances peuvent avoir plusieurs centaines milliers kilomètres hauteur au-delà chromosphère s'étend couronne solaire l'on peui prolonge considérananane érablement plus loin qu'on l'avait cru simple observation visuelle point terre elle-même baigne encore partie plus ténues res crarp magnétique terrestre 1erre propriété être immense aimant provoquant champ magnétique terrestre origine n'est encore aitem cohnue l'agitation magnétisme lerresire sous l'activité solaire dépendance aul muller dicti dic paris larousse lionnaire l'astronomie 1966 220 222 parfaitement journalier individus senta aucun changement noi ful autrement grou champ tou présence faible chamo nua durée rythme jour dimi raccourcissement atlcignan moyenne boss trois semaines oul ainsi influences dont gie extrémement faible pables modifier rythme vilé humaine droportis relativement considérables fos fluences semblables parviennent l'espace gravitation lunaire radio d'origine solaire champs nes gnétiques depuis vie terre s'adapter lumière chaleur solaire aussi autres influences dont ignorait l'existence nature peu d'années encore vie l'homme lui-même héne mènes cosmiques biologiste amé ricain frank brown écrit nouveau domaine science lance défi science ellemême paraît aujourd'hui scène comment l'ensemble créatures terrestres plantes animaux l'homme lui-même sont-ils influencés modulations cosmiques pres impalpables l'homme inextricablement jié reste l'univers non seulement l'intermédiaire instruments qu'il inventés aussi grâce stupé fiante sensibilité propre substance michel gauquelin 13. kônig biological effects extremely low frequency electrical phenomena the atmosphere interdiscipl cycle res 1972 1971 317 323 devons l'obligeance künig connaissance travail 15. wever the influence weak elec tromagnetic fields the circadian rythm man zeit für vergl physiol 161 111 128 16. préface horloges cosmiques ouvrage cité l'én l'ouvrage gauquelin savoir davantage gauquelin dossier fluences cosmiques paris denoël 1973 rythmes biologiques rythmes cosmiques verviers marabout berg solar terrestrische bexiell ungen metcorologie and biologie leipzig geldst und portig 199 brown palmer the biologt cal clock new york academle press 1970 petersen man weather sunt charles thomas 1960"
