,page,text
0,1,nnnenaen unoredlinconscie pan
1,2,"cam permettre découvrir offrons car patrimoine grec leciure gratuite volume géant 200 pages format 30,5 fidèle reflet autres collection grandes étapes l'humanité permettra voir manière précise conception claire d'un volume d'imaginer mieux trésor connaissances mis disposition cette véritable encyclopédie civilisations dont l'ensemble réunit près 24000 documents mrrndes étapes l'aumanité ratuitement sans oblig deux ouvrages nouvelle collection ation d'achat ultérieur ichement illustrés eag dac panorama civilisations cadeau définitif cette grande plaquette illustrée couleurs offerte donner vision contenu l'ensemble volumes collection grandes etapes l'humanité dont richesse telle pouvons l'évoquer moins pages conserverez cadeau valeur quelle suite donnerez offre"
2,3,psychologie janvier 1974 psychologie expérimentale lecon oubliée monsieur explication organique dyslexie howard gardner entretien avec… gilbert rapaille créativité france jacques mousseau assisté sara peltant présentation mao freud skinner jacques mousseau l'inconscient l'inconscient collectif mythe réalité cause rupture entre freud jung patrick delmas psychologie clinique j'ai stagiaire clinique borde expérience d'institution psychiatrique ouverte philippe chemla félix guattari coauteur l'anti-œdipe crée difficultés niveau régional psychologie avancée l'anesthésie l'acupuncture efficace alors faut réviser théorie douleur ronald melzack époque psychologie chine rencontre hong kong david jean chaguiboff bref grande-bretagne sociologie l'animal homme population toujours contrôlée aujourd'hui mécanismes traditionnels sauté jacques dupâquier sexologie femme cycle tabous dépression menstruelle est-elle d'origine hormonale sociale karen paige librairie production société touraine l'education demain schwartz l'enigme homosexuelle amado levy-valensi autres parutions who who psychologie prochain numéro mis vente février 1974 are rit ————————— psychologie edite centre d'etude promotion lecture abonner 114 champs-elysees 75008 paris 359.86.50 225.02.88. voyez page
3,4,célèbre cas médical sic passé inot pout-être comprenots ere howard gardner
4,5,epuis siècles lecture joue rôle important société occidentale bien époque mette vedette 'alphabétisation universelle grand nombre gens semblent avoir bien difficultés apprendre lire plus petit nombre environ trois cent population parvient lire tout certains sous-éduqués psychiquement bloqués autres arriérés mentaux infirmes maïs parmi ceux peuvent lire trouvent personnes d'une intelligence normale supérieure moyenne fréquenté meilleures écoles apparemment affligés problèmes personnels arriération d'infirmité distinguent mots tout comme autres distinguent couleurs donné syndrome nom dyslexie désaccord règne parmi spécialistes problèmes lecture sujet causes dyslexie façons guérir psychologues s'intéressent développement personnalité expliquent souvent dyslexie motivation tandis ceux étudient mécanisme cognition préfèrent mettre cause troubles d'ordre perceptif pédagogique crois clé mystère dyslexie découverte france plus quatre-vingts ans octobre 1887 monsieur riche homme affaires presque septuagénaire éprouva plusieurs reprises engourdissement jambe droite faiblesse bras temps difficultés d'élocution lorsque symptômes disparu reprit travail sans plus penser jusqu qu'il aperçût qu'il pouvait plus lire seul mot prit rendez-vous ophtalmologue afin faire prescrire lunettes adéquates grande surprise ophtalmologue recommanda joseph déjerine neurologue h6pital bicêtre sans prescrire nouvelles lunettes deux médecins accordaient penser lunettes résoudraient difficultés lire client car acuité visuelle nullement cause conclurent victime d'un type d'attaque assez rare étonnant empêchaïit voir objets situés moitié champ visuel détruit capacité lire tout peu d'effet aïlleurs pendant quelques années déjerine suivit très près cas découvrit dernier pouvait facilement copier lettres qu'il pouvait reconnaître nommer médecin remarqua également lorsque copiaïit traitait lettres comme dessins traçait soigneusement serpent boucle tréteau tabouret comprenait qu'il s'agissait d'unités graphiques écriture devait remodeler façon personnelle proclamait qu'il perdait tête car savait signes lettres malgré impuissance déchiffrer sens mots échappant monsieur homme intelligent cultivé courant affaires politiques devenu aveugle symbolisme l'écriture plan médical alexique monsieur voyait encore chiffres plus lettres pouvait encore s'exprimer couramment reconnaître nommer plus obscurs instruments techniques scientifiques rémémorer plus infimes détails événements passés comprendre tout l'on disait plus étonnant c'est qu'il pouvait encore écrire sans difficulté tant exprimer pensées transcrire qu'on dictait cependant parvenait déchiffrer propre écriture sauf lorsqu'il souvenait qu'il écrit fait préférait fermer yeux écrire car s'embrouillait s'il tentait guider propre main l'on traçait lettre main guidait doigts l'air faire mot pouvait l'identifier instantanément autrement dit toutes fonctions linguistiques préservées sauf capacité déchiffrer mots lettres présentés vue pourtant pouvait comprendre certaines informations écrites pouvait reconnaître lettres quand entourait toutes deux cercle notait immédiatement république française c'était comme feu vert marque bétail non groupe lettres entouré cercle monsieur nature trop active énergique laisser abattre malheurs continua livrer activités préférées puisqu'il pouvait plus lire notes musique livrets demandait femme d'interpréter airs opéra qu'il apprenait ainsi chantait suite jouait toujours cartes car pouvait reconnaître suites chiffres s'occupait affaires portefeuille puisqu'il capable livrer savants calculs jusqu mort continua mener existence normale moins aussi normale possible personne frappée cécité partielle 1892 seconde attaque plus sérieuse épargna encore intelligence général ôta capacité d'écrire l'alexie vint donc s'ajouter l'agraphie mourut dix jours plus tard déjerine autorisé rendre chez prélever cerveau afin l'examiner déjà signalé cas alexie maïs sans pouvoir situer causes anatomiques façon satisfaisante toutefois l'exament déjerine laissa peu doutes quant l'origine difficultés partie zone visuelle lobe occipital droit intacte pouvait donc voir lignes objets zone langage lobe frontal lobe temporal gauches également intacte conséquent pouvait parler comprendre écrire donné structure système nerveux pouvait transmettre d'informations zone indemne centre visuel l'hémisphère droit zomes l'hémisphère gauche enregistrés concepts noms relèvent lexicologie monsieur pouvait voir formes copier façon satisfaisante interruption certains réseaux essentiels cerveau empéchaïit cette information visuelle parvenir zone langage pouvait écrire l'on dic- tait reconnaître lettres tracées main parce réseaux internes zone langage ceux relient
5,6,dcr pros malus zones tactiles intacts pouvait reconnaitre nommer leltre mot imprimés déjerine parvint expliquer pourquoi pouvait encore reconnaître nommer gens objets cartes jouer chiffres alors qu'une partie centre visuel débranchée centre langage quatre-vingis ans plus tard guère plus près vérité l'asymétrie deux hémisphères cérébraux mystères science neurologue français paul broca premier 1861 mit lumière rôle cerveau l'activité linguistique démontrant accidents l'hémisphère gauche cerveau liés empêchement d'élocution broca découvrit accident s'il survenait l'hémisphère droit provoquait généralement aucun trouble langage cette étonnante asymétrie cerveau devint l'un grands mystères science suite découverte broca nombre cas troubles particuliers alexie agraphie aphasie perte parole compréhension agnosie incapacité d'identifier objets apraxie impossibilité coordonner mouvements signalés chaque cas proposait toutes sortes localisations anatomiques parfois contradiction unes autres 1917 james hinshelwood ophtalmologue écossais résuma somme rapports alexie dégagea deux principaux types troubles lecture causés lésions cérébrales premier type exemplifié l'état après première attaque pourrait s'appeler alexie pure cécité verbale effet personne cet état fonctionne tout fait normalement niveau langage l'exception cécité tout écrit peut encore comprendre lettres mots entités graphiques peut relier aspect signification second type exemplifié l'état après seconde attaque pourrait s'appeler alexie agraphie cas personne continue en- tendre parler parfaitement peut lire écrire épeler comprend plus lettres mots enjtés graphiques pari fes cas d'hinshelwood s'en trouvait d'aussi surprenants celui monsieur personne polyglotie retrouva incapable lire vocabulaire langue maternelle l'anglais pourtant pouvait encore lire peu français plus encore latin grec perfection autre patient pouvait lire nommer seule lettre lisait sans efforts mots aussi difficiles stéthoscope électricité infirmerie hinshelwood s'intéressait surtout autre groupe malades atteints qu'il appelait cécité verbale congénitale s'agissait d'enfants pouvaient apprendre dire lis n'avaient aucun mal voir lignes formes parlaient sans difficulté reconnaïissaient chiffres exécutaient autres devoirs scolaires comme fin vie hinshelwood sans doute premier faire rapprochement sous-entend conviction peut bien comprendre cécité verbale congénitale sans posséder connaissance adéquate cécité verbale accidentelle optique certaines transmissions faisaient entre centre visuel centre langage cerveau enfants éprouvaient donc mêmes difficultés adultes victimes lésions l'hémisphère gauche pendant dix ans rejeté conclusions tirées cas monsieur découverte d'un rapport entre déficiences congénitales déficiences acquises tout naturellement amener révision notions théoriques concernant cerveau influencer thérapeutique problèmes lecture quelle origine psychologie neurologie sui- vaient voies différentes toute méthode reliait certaines déficiences compréhension légères lésions cérébrales tomba discrédit l'existence cas dé- crils déjerine hinshelwood mise doute niée prétendit l'époque travaillaient médecins savail examiner correctement malade l'on disposait alors méthodes histologiques satisfaisantes l'étude tissus cérébraux pris troubles isojés fait difficultés d'un ordre général affectaient l'ensemble langage perception dues lésion d'une plus grande partie cerveau pendant près d'une trenlaine d'années notions alexie agraphie rapport entre troubles lecture d'origine congénitale ceux d'origine accidentelle oubliés surtout monde anglo-saxon autrefois ceux lisaient mal tout passaient arriérés imbéciles souvent interdisait école travail obligeait redoubler jusqu apprennent lire bien laissait traîner derrière leurs camarades pendant cours lecture maïs cas personnes sachant lire ailleurs d'une intelligence égale parfois supérieure celle leurs égaux s'étant accumulés certaines autorités adrmirent problèmes lecture peut-être dus incapacité partielle mit classer soigner enfants souffrant incapacités maintes façons souvent supposait qu'ils voyaient assez bien enfants-là passèrent longues séances chez l'ophtalmologue éducateur s'entraîner distinguer signes taille forme orientation certains cas estimait qu'il s'agissait léger accident cerveau tentait remédier leurs difficultés intervention chirurgicale psychologues rattachèrent fréquemment problèmes lecture blocages crises d'anxiété enjoignaient enfants leurs parents faire analyse persuadés amènerait progrès spectacu- laires niveau lecture bien l'une l'autre approches puisse révéler utile selon cas admis qu'aucune ———— broca 1824-1880 chi rurgien jogue français étudia principalement gerveau localisa fonction parole ges l'hémisphère gauche. l'asymétrie cerveau lire arti qobert dornstein pense ones ile psychologie sept
6,7,rea rar ennare totalement efficace enfants dyslexiques effet derniers problèmes lecture parce cerveau développe plus lentement qu'il manque liaisons anatomiques nécessaires apprendre lire selon méthodes courantes n'ont souffert d'un traumatisme crânien naissance lors d'une chute leurs cerveaux organisés différemment comme c'est cas daltoniens personnes aucune oreille culture non axée lecture déviations remarqueraient société elles créent d'énormes problèmes nombreux dyslexiques peuvent hisser premier plan d'une discipline mathématiques musique peinture s'ils correctement éduqués certains brillé domaine prédilection l'un deux hans christian andersen devint écrivain accompli sans avoir jamais appris l'orihographe tenter d'aider enfants problèmes lecture chercheurs compétents imaginé techniques pédagogiques inédites mots couleurs caleb gatiegno exemple parmi nombreux systèmes essayés méthode gattegno fondée l'idée chaque lettre imprimée teinte différente l'enfant disposera deux indices distincts faire île rapport entre l'image machine écrire parlante o.k moore autre exemple image apparaît l'écran voix identifie l'enfant essaie alors d'épeler mot correctement l'aide d'une machine écrire reste bloquée jusqu qu'il appuyé bonnes touches méthodes fait preuve efficacité auprès d'enfants dont perceptions atténuées mal distinguer lettre écrite d'une autre auprès d'enfants insuffisamment motivés lesquels faut rendre lecture plus vivante amusante elles aident guère ceux mal décomposer mot prononcé phonèmes relier arbitrairement tracé travaux samuel orton ouvrirent voie traitement plus efficace cécité verbale tot pres crthea congénitale alors travaux déjerine hinshelwood défaveur orton examinait iowa city enfants atteints cécité verbale congénitale observa irrégularités erreurs systématiques lecture d'écriture enfants dyslexiques découvrit qu'ils nettement tendance lire mots droite gauche mélangeant exemple sel éprouvaient également difficulités particulières lettres l'orientation permet d'identifier exemple écrivaient souvent l'envers place place certains pouvaient lire aussi l'envers d'autres pouvaient écrire deux mains orion croyait irrégularités clé mystère dyslexie supposa moment plupart enfants apprennent lire latéralité cerveau s'est déjà produite terme signifie l'un hémisphères cerveau plus souvent gauche contrôle mouvements côté droit corps normalement responsable fonctions verbales assuré dominance autre hémisphère l'hémisphère droit contrôle mouvements côilé gauche joue normalement rôle insignifiant fonction langage deux côtés cerveau synchronisés l'hémisphère dominant guide autre orton émit l'hypothèse chez dyslexiques deux hémisphères toujours compétition obtenir dominance tâches peut-être clairement réparties pensait dominance nécessaire pouvoir lire régulièrement gauche droite avança qu'une dominance incomplèie amenait tendance lire aussi bien droite gauche fait pensait n'importe quelle activité pouvait s'accomplir aussi bien deux sens tant deux hémisphères luttaient conséquent l'écriture pouvait aussi aller droïte gauche lettres pouvaient être lues écrites soignant moins leurs contours direction l'angle leurs traits estimait images mémorisées provenant l'hémisphère non dominant responsables d'une confusion rendait lecture encore plus difficile dominance devait être établie avant qu'un enfant dyslexique puisse apprendre lire écrire normalement orton baptisa cette condition stréphosymbolie symbole inversé n'offrait solution toute faite pensail exercices répétitifs permettraient éventuellement d'associer lettres formées exactement leurs sons précis encourageait renforcement capacités sous-développées l'enfant plutôt l'exploitation celles normales comme faisait méthode lecture voir dire certains émules mis point traitements destinés accélérer latéralité cérébrale entraînant main pied œil exemple cette approche plaisante soi guère fait preuve efficacité bien enfants semblent sortir dyslexie donnant penser leurs.problèmes surtout dus retard développement nature semblable celui décrit orton pouvons deviner intervention chirurgicale dessein d'accélérer dominance amélioré aggravé l'état enfants l'approche d'orton marqua opportun renouveau d'intérêt rapport entre lecture l'organisation cerveau bien qu'il reste confirmer l'existence d'une relation causale entre latéralité incomplète dyslexie corrélation entre retard développement dominance ensemble problèmes langage amplement illustrée l'étude zones cérébrales dyslexiques peut-être révélatrice récemment plusieurs chercheurs tenté relever tracés d'ondes cérébrales permettraient distinguer dyslexiques bernard sklar l'institut recherche cerveau u.c.l.a. employa ordinateur électroencéphalogrammes e.e.g prélevés groupe normal groupe dyslexique l'œil électroencéphalogrammes paraisaient semblables l'analyse l'ordinateur révéla trois différences entre deux groupes sujets dyslexiques présentaient moins synchronisation entre deux hémisphères plus
7,8,synchronisation l'intérieur chaque bémisphère générulcment plus d'ondes thôta rois sept cycles seconde elrangoment c6s plus marquées lorsque enfants reposaicot yeux fermés lorsqu'ils lsalënt sklar ostime deux premières découvertes corroborent théorie sélon lnquelle dyslexie liée dominance cérébrale incomplète également noté l'augmentation ondes thêta typique personnes plongées tui environnement nouveau singulier comme astronautles espace déduit proéblème dyslexique peut-être parlie fail univers paraît complèlement familier rééducateur doft ruser avoe mal dont souffro patient d'autres chercheurs s'inspirant travaux norman gerschwind faculté médecine haïvard retournés vers malades souffrant troubles accidentels lecture afin d'étudier l'étendue leurs difficultés d'explorer possibilités d'üne rééducation fait étonnante découverte lésion cérébrale cause l'alexie peut également détruire capacité nommer couleurs laisse intacte capacité lire chiffres nommer objets gerschwind remarqué nommer couleurs lettres exige faire rapprochemént arbitraire entre traits purement visuels noms lettres couleurs n'existent monde tant qu'entilés distinctes objets contraire existent tant qu'entités distinctes tout individu fait tas associalions sensorielles objets chement d'impressions tactiles auditives kinésiques souvent olfactives chiffres n'existent titre objets servons doigts apprendre compler celte méthode inclut forles assoctalions tactiles kinésiques toute activité domaine chiffres entraîne processus actif manipulation compter classer wransformer organiser gerschwind suggéré die férences entre domaine relative10 différences talent autre côlé unc personne face objets comme racnt stalique unisennoricl lettres couleurs monde rcladvement actif multiecnsorlel objets chiffres relrouvent naturellement l'organlgalion curveuu counaflre norfmer folle couleur personne doil passer d'une reprééenlalion purcment visuelle rom tine lésion cerveau rame hnperccptlble peul détruire rapport entre deux domaines d'un objet chiffré verra supgir nombreuses associaljons sensorielles fes liaisons purement visuelles verbales élé détruiles clie disposcra sufisamment d'associations cenire mode visuel aulres modes sensoricls reconnaflre nommer cible moyen d'un cheminément anatomique rechange cxcernple message non message peul passer zone visuelle zone fuctile arriver zone cerveau noms donnés dés cas isolés d'individus aupalavunt pouvaient lire dettx sortes langues langue phonétique comme l'anglais langue idéogr'aphique comme chinois appulent fortement raisonnement cerlaineg ésions allèrent cupacité lier langue phonétique épargnent capacité lire langue idéographique supposé c'est parce système idéographique comprend dos symobles semblables sujets représentation d'objets suscite champ plus étendu d'associations sensoriclles motrices qu'il ré- siste donc mieux accident cerveau langue purement visuellé phonétique études approfondies cas d'alexiques également confir l'intuition elinique sclon laquelle plus facile l'éconnuîlre objets jes syivl- boles qu'ils appris connaîlre façon aclive suscilent divorses associations d'identifier objets syui- boles qu'ils connaissent aspect visucl lesquels contact moins oetif influent chiffres plus faciles lire mots signes rattachant chiflies moins dtiliciles marques poncluulion téléphone doluis pendules 60m pus faciles nommer objete tout aussi faniliérs comite 8olcif june plafond examen aatleniif deu porsouncs souffrant d'aluxic d'agraphie également montré qu'ile peuvent ire bien plus qu'on pensail condition icxlcg leurg présentés d'une lagon particulière récérnment accompagné trois col légucs j'ai rendu visite jade l'h6pilal ariciény come ballunts boslon rralade pouvail fire voix baute répondre ordres écrite cependant jorsqué juif présenté groupe mots lequel geul n'était calégoric autres put déslyner j'exceplion lorcque jui donné nor calégoric n'eul mal désigner mol apparieail pouvait également répondre nombreuses gucstions qualilatives cst-ce bon mauvais pelit grand concernant mols écrits conclu capacilé d'énoncer mots élé détruite jecture sémantique c'est-èdire compréhension nuances entourent sens d'un mot préservée grande partie plusieurs autres malades dont problèmes sernblables souvent façon mal ire mot tout demeurant juste champ sémantique élait révélatrice patient lisait bande lieu rouleau sul lieu bougie apprendre lieu livre coude lieu macaroui dysloxiquo chinois ost plus facllo approndro françals découvertes font supposer cerlnins alexiques conservent grande capacité lecture clé présenter mot cible bon contexte poser question pertinente celle découverte d'importantes conséquences rééducation première étape consiste dé- couvrir matière verbale dont ranlade l'habitude avant tri quels mots abrévin- lions pouvait identifier aupar vanl ensuite quand rédi éons messages adresse
8,9,"important inclure mots d'un contenu sémantique élevé offrir plusieurs moyens reconnaissance exemple rapprochements mots plus difficiles malades îles petits mots comme parce qu'ils n'entraînent associations sémantiques programme rééducation intensive devrait inclure réactivation compréhension noms verbes familiers l'emploi sigles abréviations connues répélition intensive mémorisation petits mots importants 1915 bishop harmon proposa qu'on apprenne l'anglais enfants dyslexiques selon principe chinois c'est-à-dire chaque mot propre symbole paul rozin collègues université pennsylvanie récemment décrit semblable méthode qu'ils employèrent succès faire classe plusieurs enfants dyslexiques donnèrent signification anglaise trente caractères chinois leurs idéogrammes pouvaient être lus gauche droite assemblés faire phrases anglaises après quelques heures d'entraînement seulement huit élèves dizième parvinrent communiquer d'une façon flexible mémorisée méthode voir dire temps plus efficaces point vue rozin semblable celui j'ai exposé croit plus gros problème dyslexique fondre suite lettres mot peutêtre raison déficience neurologique recommande l'on enseigne enfants sysième caractères facilement reconnaissables représentant mots plutôt sons individuels cette méthode risquant rejoindre problème chinois trop caractères pense l'on pourrait utiliser système syllabes tracé visuel représente unité composé comme accomplir transition l'anglais normal expérimente cette méthode actuellement rozin n'est seul chercheur avoir mis point programme satisfaisant d'autres tout aussi convaincus l'on doit en- seigner lecture dyslexiques méthode voir dire entraînement phonique contact tactile lettres machines pédagogiques écritures artificielles diminuent l'importance l'inclinaison orientation pictogrammes dlivers aussi vaste choix proposé malades souffrant troubles lecture dus accident michel gazzaniga andrea velletri-glass l'université new york adapté méthodes david premack obtenu bons résultats utilisant jeu symboles plastique plusieurs couleurs servi apprendre chimpanzé communiquer l'hôpital anciens combattants boston plusieurs d'entre trouvé qu'un malade aphasique peut communiquer plus efficacement servant d'un système idéographique entièrement nouveau langue maternelle nombre techniques thérapeutiques augmente presque quotidiennement cette variété innovations devraient permettre mieux aider ceux troubles lecture vrai avant viendra toutefois lorsque découvert déjerine cherchait plus d'un siècle mécanismes neurologiques permettent reconnaître formes visuelles associer sons significations howard gardner savoir davantage lobrot troubles langue écrite remèdes paris e.s.f. 1972 g.l wyatt relation mère-enfant l'acquisition langage bruxelles dessart 1969 debray-ritzen melekian troubles comportement l'enfant paris fayard 1973 d.f benson geschwind the alexias disorders speech perception and symbolic behavior handbook clinical neurology vol amsterdam north holland publishing 1969 geschwind the anatomy acquired disorders reading reading disability progress and research needs dyslexia new york john hopkins 1962 sklar hanley simmons e.e.g experiment aimed toward identifying dyslexic children nature vol 240 1972 première parution psychology today traduction paule cailjat psycholagie psychology today posez questions alors ... uesioin nouvelle revue louis pauwels spiritualité mystique sciences religions civilisations disparues oilittérature etc articles aimé michel raymond abellio lanza del vasto henry corbin mircéa eliade jean varenne colin wilson pasteur viot etc bon d'abonnement rotourner question 114 champs-elysées 75008 paris envoyez-moi numéro question spécialement réédité abonnés livraison abonnement cette revue paicrai chaque numéro seulement lieu abonnement numéros reviendra donc seulement lieu n'unvoie aucun règlement avant réception facture accompagnera premier numéro abonnement ill réduction prénom code postal ville signature 340 ips rue sos ssi apprenez parler anglais allemand espagnol restant chez unmagnélophone scénario policier éduquera merveilleusement mémoire voire oreille voix débutants après plusieurs années d'étude sans magnélophone romans anglais allemand espagnol lous mols expliqués lisez facilement après romans connaissez 6000 mots lisez écrivez couramment bon recevoir ——— scénario policier m.n livrel cass bandes vil 9,5 fale anglais américain allemand espagnol chaque langue 210 port gratuit romans anglais allemand espagnol gratui espagnol règlement aujourd'hui mandat chè c.c.p paris 5474-35 shéque envoi contre remboursement majoration france seulement renseignements joindre timbres ment cases choisies ureau p.s ave 94130 nogent-sur-marne nue odelt"
9,10,désstas ace ess
