,page,text
0,1,mnaissance potres poire ——— idéesiriquess lan ansz
1,2,crt rit guire conception lecieur souciez avant tout connaître comprendre époque société alors choix nouvel observa- teur hebdomadaire seul tous domaines politique économie affaires sociales manifestations culturelles nouvel observateur informe pre- miers devez savoir apporte tous éléments permettent for- ger opinion vôtre nôtre journalistes nouvel observateur importe avant tout liberté evidem- ment peut manifester lettres protestation mise point signe vitalité journal. nouvel observateur vivre mueux moins confortable nouvel observateur chaque semaine analyse l'actualite surcroit conscience vivre toute connaissance cause événements dé- crminbnt tre existence gvons ina pévén eee route cre lorsque événement survient souvent —trop-tard trop tard comprendre trop tard réagir efficacement nouvel observateur fait devoir informer lecteurs prépare secrètement aujourd hui passe inaperçu tous mails demain connaîtra retentissement considérable lire régulièrement nouvel observateur assister naissance développement événement souvent ticiper directement révélation combien essentiels restés ombre sans journalistes lecteurs nouvel observateur profiter l'offre exceptionnelle réservée lecteurs psychologie découpez bon ci-contre retournez-le dès aujourd'hui odscnateur rue d'aboukir 75081 paris cedex
2,3,rer vas comprendre savoir agir monde d'aujourd'hui dene avril 1974 enfance adolescence l'éducation enfants u.r.s.s mieux adaptée nôtre civilisation moderne geneviève jurgensen psychologie comportement l'habit fait moine série d'expériences apporte preuve leonard bickman psychologie expérimentale déclin l'intelligence âge idée reçue qu'il faut dénoncer paul baltes warner schaie société suicides prisons épidémie force réfléchir pierre moreau bref grande-bretagne époque dossier japon japonais sont-ils martiens entretien hiroshi minami professeur psychologie l'université tokyo jean chaguiboff bref canada personnage extraordinaire oskar pfister .un pasteur chez freud bar roland jaccard tests guerre entre blancs noirs différences réelles arthur jensen librairie groupes rencontre marathon durand-dassier l'inégalité chances boudon psychanalyse vienne wortis autres parutions bref france who who psychologie prochain numéro mis vente mai 1974 edite centre d'etude promotion lecture vou champs- elysees 75008 paris 359.86.50 225.02.88 abonner rorratr voyez page pte cet ens eee rte terres
3,4,0000 aus e9.0 6.6:9
4,5,enfance aclolescence l'éducation enfants urss geneviève jurgensen urie bronfenbrenner professeur psychologie américain poursuivi recherches l'institut psychologie moscou afin comparer l'éducation enfants chacune deux cultures c'est partie résultat recherches qu'il donne livre intitulé enfants russes enfants américains vient paraître français editions fleurus cet ouvrage mérite confronter deux philosophies d'éducation très simplement concrètement présentées moment nousmêmes français nageons l'incertitude omaine inonde soviétique sernble avoir mieux résolu monde occidental problèmes éducatifs posés civilisation moderne illustration daniel sinay suffit feuilleter revues spécialisées non rendre compte matière d'éducation parents éducateurs professionnels oscillent confusément entre désir d'abandonner schémas anciens déverser savoir l'enfant comme s'il boîte vide regret voir l'enseignement l'éducation dévalorisés plutôt remis cause point qu'éducateurs enfants font plus ressentir malaise réciproque initiatives personnelles restent fréquentes elles rencontrent peu d'écho ministère l'education nationale peut dès lors demander l'ambivalence chacun devant conduite éducative tenir n'est reflet l'ambivalence devant choix société construire l'on sai
5,6,parlement pau autres enfant devienne quel adulte veut non comment saurait-on penser uvent visiblement soviétiques raide brondésarroi moins l'on croit l'êt lgains fenbrenner enfants russes enfanté vient d'être publiée toutefois chie d'extraits textes soviétiques sburs remarques prises terra villes longs séjours îles principa sance d'urs.s. non partir codes livresques effet sept voyages union soviémené fan observé adultes tique entre 1960 1967. d'enfants écoles enfants crèches jardins den nets jardins publics autres espaces ouver arents enfants outre rencontres produire entre propre famille ges familles russes inspiré l'auteur quelq réflexions ——————— union soviétique l'allaitement maternel règle très naturellement bronfenbrenner ouvre récit description comportement mères leurs tout-petits remarque l'allaitement maternel fortement recommandé très couramment pratiqué etats-unis france côté mènent campagne l'allaitement maternel c'est courant trop récent qu'il encore largement suivi parallèlement cela observe union soviétique contacts physiques plus fréquents entre mère enfant tient longuement bras transporte ainsi serré contre procurant maternage plus intense tout privant d'une autonomie dont jouissent bébés occidentaux enfants plus nourrissons retrouve souci tenir chaud l'écart danger dont adultes savent meilleurs protecteurs c'est ainsi square lorsque deux enfants l'auteur pourtant âgés quatre neuf ans s'éloignaient peu leurs parents trouvait toujours passant russe ramener quelques commentaires réprobateurs voit ainsi l'éducation u.r.s.s n'est affaire privée familiale qu'elle respon- sabilité tous adultes d'ailleurs s'ils privent réprimander quand bon semble enfants autres maternent éga- lement l'occasion n'est rare effet voir autobus maman russe poser tout naturellement fils genoux voi- sin l'enfant appelle spontanément tonton tata plus grands enfants montrent très chaleureux plus jeunes auprès desquels jouent ouvertement rôle d'aînés cela discipline l'obéissance règle générale familles jeunes destinés obéir plus tard l'etat socialiste obéir suffit cette notion implique attitude passive total désaccord l'idéal faut contraire l'enfant reprenne compée désir adultes d'autres termes qu'il conformer non plus jet passif sujet actif somme tâche qnés consiste inculquer sens l'auto ine cadets l'obéissance devient ainsi meilleur moyen dont dispose l'enfant témoigner amour parents puisqu yeux ceux-là représente valeur suprême convient d'examiner plus attentivement cette notion d'obéissance afin tirer conclusions hâtives système d'éducation russe particulier quant occiden taux tendance appeler autoritarisme effet faut noter premier lieu pro blèmes d'éducation suscitent plus grand intérêt chez parents soviétiques informent réunissent assistent conférences lisent articles presse publie sujet ete participent donc activement l'établissement morale éducative qu'ils choisissent prôner recherche moyens perpétuer cette morale d'autre part inculquer l'obéissance parents font rigoureusement jamais appel contrainte toujours raisonnement punitions corporelles stricte ment bannies d'une manière générale sys tème punitions récompenses n'est utilisé n'est l'occasion comme technique d'appoint soviétique parents russes n'hesitent utiliser chantage affectif comment agissent alors parents exercent pression enfants d'une manière peut paraître retarder d'un demi-siècle c'est attitude moralisante telle grandsparents adoptaient notions bien mal remises question adultes désapprouvent ouvertement l'enfant soucient voir disculper car motifs l'ont poussé conduire mal n'importent retrouve donc encore différence fondamentale pays occidentaux influencés apports psychanalyse psychologie infantile parents soviétiques compte c'est l'enfant recommence appuyer cette volonté retirent feignent retirer momentanément affection l'enfant pendant temps varié gravité faute commise sou rient plus montrent fâchés utilisent somme appelons chantage affec tif père mère adoptent exactement attitude l'un liguant jamais contre l'autrê l'enfant fautif cette cohésion entre parents existe égale ment d'une manière plus générale entre tous aînés entraîne cohérence l'attitude éducative adultes travers toute l'union sovié tique attitude prépare fort bien l'enfant accepter l'éducation qu'il recevra institu
6,7,cor ilu lca velo ens tions collectives car grande majorité balle mains voisin utilisant d'em- femmes russes travaillant elles donc ame- nées confier l'éducation leurs enfants partie moins éducateurs professionnels citons quelques chiffres plus d'enfants moins deux ans confiés crèche plus d'enfants trois six ans confiés établissements préscolaires plus enfants d'âge scolaire par- tir sept ans confiés internats écoles journée continue reviennent alors chez soir dormir parents placent jamais enfants établissements simple souci com- modité parce qu'ils peuvent faire autrement cette dernière réponse celle l'on obtient plus souvent mères fran- çaises placent enfant crèche journée maternelle dès l'âge deux ans font quand considèrent conscience nature travail permet fournir enfant l'éducation considérée comme souhaitable dès lors voit tout suite relations entre parents éducateurs professionnels s'établi- ront mode foncièrement différent celui l'on observe france coopération cohésion sans faille entre parents personnel établissements ——————— russie l'accent mis tres tot vie collective tout-petits enfants âgés moins doivent tout d'abord s'accoutumer vie collec- tive observe particulier contrairement l'habitude occidentale plusieurs enfants mis parc d'autre part puéri- cultrices s'attachent systématiquement dévelop- per fonctions sensori-motrices encourageant développement cinq sens grâce exem- ple objets couleurs vives objets musicaux faut également souligner dès cet âge l'accent mis l'idée responsabilité l'âge propreté tourne autour dix-huit mois alors qu'en france bien rien considé- comme loi sujet mères n'espè- rent général enfant continent avant deux ans psychiatres d'enfants parlent d'énurésie proprement dite avant âge cinq ans dix-huit mois également enfants soviétiques commencent apprendre s'habiller seuls dès début aussi développement langage attentivement surveillé encouragé méthode puéricultrice nomme toutes propres actions n'encourage langage ébé suit toutefois progression sponta- née l'enfant faisant répéter syllabes qu'il prononce lui-même enfin puéricultrice soucie d'inculquer sens propriété commune favorisant jeu collectif désap- prouvant ouvertement enfant arrache blée critique collective enfants habi- tués dès plus jeune âge voir juger haute voix devant tous d'un point vue collectif comportements leurs camarades premiers vers l'autodiscipline permettra l'adulte peu peu prendre distance rapport groupe d'enfants. dès début seconde année crèche enfants soviétiques savent donc mettre table nettoyer classe déblayer neige s'occuper jardin âge auquel demande encore rien genre enfants occidentaux élevés encore selon principe plaisir commencent seulement apprendre diffé- rer désir satisfaction immédiate responsabilités considérées comme au- dessus forces enfants développent chez enfants russes sentiment confiance eux-mêmes goût camaraderie ——————— ————— union soviétique métier d'enseignant très valorisé l'âge scolaire l'avons dit commence sept ans plus tard qu'en france rentrée scolaire lieu travers toute l'union sovié- tique septembre véritable fête natio- nale enfants rentrent classe bras char- gés fleurs qu'ils offrent maître dont travail très valorisé toute famille présente l'événement radio presse célèbre cette entrée enfants nouvelle vie enfants leurs maîtres nourrissent rapports affection respect mêlent étroitement lei encore peut constater l'attitude foncièrement différente adultes français répercutant ensuite enfants cherchent continuellement tout long scolarité monter leurs parents contre professeur vivent plupart relation leurs maîtres comme relation d'inimitié l'éducation manière générale comme contrainte plutôt comme for- mation contrairement enseignants russes enseignants français voient ailleurs plus fortement encore dix dernières années profession dévaloriser dramatiquement yeux population tout entière réaction entraîne dégradation l'ensei- gnement qu'ils dispensent urss secret cohésion adultes face l'éducation enfants semble bien résider absence d'ambivalence quant manière dont envisagent l'avenir enfants qualités développer conforment strictement morale communiste peut résumer ainsi sens bon mauvais loyauté esprit scientifique bonne camaraderie patriotisme soviétique internationalisme prolé- tarien application l'étude effort contrôler vie appréciation esthétique nature îla vie sociale œuvres d'art hygiène corporelle sport
7,8,bien clair maintenant l'école u.r.s.s. charge seulement d'enseigner culture plutôt former personnalité tout entière l'enfant apprend politesse envers adultes comme envers camarades goût santé sens civique d'autre part enfants voient jeunesse divisée trois étapes remplissent fonctions bien distinctes octobristes sept neuf ans pionniers dix quinze ans mouvement jeunes communistes seize vingt-huit ans objectifs principes organisations forment tout homogène programmes scolaires eux-mêmes chaque organisation lois propres monde soviétique l'équipe compte plus l'individu enfants selon slogan formés collectif ainsi compétition n'est-elle individuelle collective maître dit tenez-vous droits voyons quel groupe tient mieux sorte l'enfant participe propre promotion plus encore celle toute équipe laquelle doit d'ailleurs rendre comptes cas ferait perdre tableau affichés résultats obtenus chacune équipes domaine autre jamais voit apparaître nom d'un individu c'est maître fixe critères début bientôt remplacé moniteur respon- sable désigné chaque équipe parmi enfants cela dès l'école primaire l'enfant-moni- teur compte alors bonnes mauvaises notes obtenues équipe domaine quelconque l'équipe victorieuse l'objet respect l'admiration autres ainsi l'en- fant grandit-il morale foncièrement diffé- rente celle connaissons voit moniteur comme élément répression quand camarade fait constater membre l'équipe qu'il bien fait problème mathématique cela n'est vécu comme fagot car l'enfant sait camarade proposera ensuite l'aider mieux comprendre mathématiques peu peu classe troi- sième année l'institutrice apprendra enfants remarquer lacunes voisins suf- fit bien l'équipe faut aussi surtout savoir remarquer propres lacunes assez montré crois cohésion existe ainsi entre l'attitude familiale l'atti- tude éducateurs professionnels celle camarades faut maintenant inter- roger conséquences cette harmonie entre trois mondes formation personnalité l'enfant intéressant noter passage enfants occiden- taux bien mêmes trois mondes jouent rôle dominant éducation qu'il faut négliger ajouter mass ain hot dun ———— media dont bronfenbrenner parle guère pos enfants soviétiques sans doute parce mass media dérangent continuité dont question c'est simple supposition première constatations bronfenbrenner l'enfant soviétique appa raît comme rarement délinquant conduites antisociales exceptionnelles agressivité manifeste comme chez jeunes occi dentaux plutôt investie curiosité scientifique l'idéalisme collectif cela d'autant plus logique jeunes occidentaux trouvent leurs camarades auxiliaires empressés lutter contre tous ceux repré sentent loi c'est l'inverse passe l'enfant russe puisque camarades représentants loi titre adultes d'autre part culte vérité moins fort u.r.s.s d'autres sociétés parce vérité individuelle cède vérité collective bronfenbrenner relate sujet expérience frappante présente enfants d'une équipe deux bâtonnets taille inégale demandant désigner plus grand pris soin auparavant demander secret premiers interrogés fournir haute intelli- gible voix mauvaise réponse trois enfants suivants fournira alors aussi mauvaise réponse faisant taire conviction intérieure enfin clore tableau rapide l'éducation enfants soviétiques faut souligner jamais parti prétendu remplacer l'éducation familiale l'éducation collective simplement premier lieu raisons économiques afin femmes puissent travailler mis l'accent l'éducation collective plus l'ont fait pays occidentaux établi grande harmonie entre deux modes d'éducation ——————— états-unis famille éclaté sans être remplacée etats-unis famille conserve légalement rôle élèver enfants n'en plus fait moyens nom tant parce parents veulent démissionner parce qu'ils contraints conditions vie considérablement changé depuis dernière juerre tribu familiale plus importante alors mot dire vie l'en fant rue également voisins passants connaissaient reconnaissaient demandaient pourquoi manqué messe dimanche précédent etc contact adultes beaucoup plus fréquent qu'il l'est aujourd'hui grandes agglomérations urbaines aujourd'hui zones urbanisées famille réduit cellule isolée autour deux adultes voisinage anonyme noire enfants occasion d'expériences jneteles exemple voient l'artisan l'exercice métier vivent voir suite l'article pont ladite sit
8,9,mission dangereuse présentation jacques mousseau quand femme débarrasse manteau acheté l'hiver précédent parce couturiers décidé décintrer taille quand firme remplace l'ordinateur n'est encore amorti modèle plus récent elles l'une l'autre victimes l'obsolescence mot signifie qu'un équipement périmé avant d'être usé oppose l'usure technologique l'usure matérielle naguère seule considérée peu peu passé langage courant ingénieurs fait croire qu'il synonyme mot progrès livre bonheur plus francois closets débusque parmi d'autres cette perversion pensée d'un monde dirigé techniciens quel l'intérêt visiophone permet d'obtenir image réduite médiocre personne téléphone qu'apporte l'humanité montre électronique dont mise point ruineuse dont principale supériorité montre mécanique n'avoir être remise l'heure qu'une fois lieu d'une fois mois quoi est-il indispensable quelques français parmi prennent l'avion gagnent gräce l'appareil supersonique trois heures cours d'un voyage annuel ceux partent vacances mensuel ceux traitent sffaires questions recoivent touies comme réponse loi gouverne monde l'important faire autre autre non mieux dizaine d'années vance packard s'indignait déjà parce durée ampoules électriques réduite celle pneus celle automobiles firmes entrées cycle production/consommation techniciens gouvernent adorent question comment faut-il faire stimule ingéniosité finissent toujours fournir solution posent rarement question pourquoi faut-il faire c'est question oiseuse philosophe courbe température maladie changement peut-être entrée phase décroissante certains tout cas las fuite avant s'agit seulement économistes crient casse-cou terre n'est inépuisable s'agit aussi o.s. comme ceux l'atelier chez renault mettent grève parce qu'ils assez d'appartenir travailleurs doivent ficeler saucisson toutes cinq secondes donner mille cinq cents coups pédale l'heure coller vingt bandes papier autour vingt pelotes laine trente secondes découper cent vingt fois l'heure pièce métal remettre cause l'organisation scientifique travail inventée monsieur taylor c'est saper fondements lesquels repose monde managers quand l'homme base bouge système réagit toujours réaction temps réaction peuvent être pris comme signes santé idées psycholoque industriel américain frederick hertzberg l'enrichissement tâches traversé l'atlantique chez olivetti chez fiat confié mêmes hommes tâches production tâches contrôle contre règle division travail chère monsieur taylor l'entreprise visage humain jean-louis servan-schreiber analyse l'idéologie traditionnelle l'usine celle train naître devra l'emporter système capitaliste voire système industriel veut perpétuer système production fonctionne encore modèle famille féodale deux siècles retard système politique soclal attaqué toutes parts selon enquête lf.o.p seulement francais pensent aujourd'hui proarès économique conséquence meilleur éauilibre social vourdralent bénéficier plus tôt retraite voudraient faire travail plus intéressant voudraient disposer plus loisirs francais sont-ils devenus paresseux non seulement n'aiment travail tel qu'ils l'accomplissent cadres supports l'économie moderne paraissent bénéficiaires moins contestataires ouvriers révoltent contre horaires trop stricts conditions vie hiérarchies écrasantes d'entre seulement profession principale source satisfaction monde c'est pis etatsunis conditions travail sensiblement meilleures qu'en europe suède exceptée seulement referaient choix professionnel possibilité proposée france question posée connaît solution managers demain grâce l'automation l'homme travaillera moins moins trente-cinq heures semaine puis trente heures puis vingt-cinq heures l'homme s'accomplira loisir n'est-ce bel exemple fuite avant pourquoi exclure métier satisfactions vie l'homme besoin fondamentalement d'œuvrer fois utilement efficacement joyeusement sentir complet tendance actuelle d'ailleurs moins chanter temps loisirs comme début années 1960 tenter casser chaîne rue volvo suède établir rotation entre postes travail comme chez télémécanique france chez olivetti italie toutes sortes d'expériences tentées chez renault mans montage comme chez ouvrier monte tout train arrière suisse population industrielle active dispose d'horaires flexibles peut moduler temps travail hebdomadaire nombreuses entreprises dirigent vers suppression contremaiîtres changements comptent ceux intervenir compteront davantage promoteurs réformes nient admettent font admettre conception profits réviser profit n'est-ce moteur système moteur progrès moteur l'économie livre explosif l'anti-économique jacques attali auditeur conseil d'etat maître conférences l'ecole polytechnique marc guillaume professeur paris-ix maître conférences l'ecole polytechnique malmènent science économique concepts travers leurs analyses serrées apparaît comme pince saisit réel éléments servent cause qu'elle s'est donnée loin d'éclairer monde voile parce qu'elle retient concret matériel cette discipline outre l'image monde technicien enfantée science économique doit intégrer l'apport freud anthropologues connaissance l'homme prêchent deux polytechniciens freud lévi-strauss frederick hertzberg michel crozier trois livres placent psychologues sociologues ethnologues théoriciens praticiens premiers rangs ceux permis certaine prise conscience déjà certaine évolution sciences humaines particulier psychologie sociologie recoivent d'eux beaucoup d'autres mission prendre charge changement ainsi disciplines dont occupons ici sont-elles sommées s'engager da- vantage siècle elles courent bien grands risques d'abord celui perdre leurs illusions beautés science pure ensuite celui d'apparaître tour comme illusion nouvelle illusion technique ingénieurs êtres substituent simplement ingénieurs choses ——— closets bonheur denoël 1978 eur plus paris j.-l. servan-schreiber l'entreprise gogee lunnain paris robert lallont 1974 attali guillaume l'anti-écono mique paris p.u.f. 1974 futiéco
9,10,tent tôt monde conditionné quittent leu matin prendre bus l'école rev has soir dîner alors père toujot travail cas trois mère travaille également parents voient donc peane coup moins leurs enfants qu'auparavant ralisation l'éducation découle n'est résultat d'un choix conscient d'une contrainte extérieure mal assumée temps passé parents jouer leurs enfants distraire manifester l'affection plus plus réduit famille américaine joue rôle moins moins efficace comme facteur d'insertion sociale sans autant qu'une véritable politique éducative mise place niveau écoles curieusement moins parents passent temps leurs enfants moins manifestent désir d'en passer ainsi crée-t-on ici golfs enfants enfants font petit parcours tandis leurs parents font grand terrains jeu enfants etc crée véritable ségrégation entre l'adulte l'enfant passe plupart temps camarades classe âge niveau scolaire comme toujours enfants rapides apprendre cette leçon tacite donnée l'attitude adultes spontanément mettent préférer exemple passer week-end leurs camarades qu'avec leurs parents cette préférence vient comme réponse manque vide produit l'absence parents comble l'agrégation groupe semblables états-unis enfants plus plus livrés eux-mêmes c'est raison aussi imiter leurs parents enfants passent temps considérable regarder télévision introduite vie citoyens américains 1950 nombre d'entre possèdent récepteur télévision passé dix ans l'enfant américain reste devant récepteur autant d'heures l'école beaucoup plus aucune autre activité dès lors devons poser deux questions découlent tout naturelle- ment venons montrer quel rôle éducatif groupe semblables quel rôle éducatif télévision américaine concerne enfants moins six ans chercheurs occidentaux préoccupés leurs relations leurs parents contrairement soviétiques réservé large place l'influence groupe âge faut remarquer propos cette intéressante constatation qu'aux etats-unis comme france cette influence s'exerce manière sauvage non contrôlée plus souvent souhaitée adultes n'est cas union soviétique c'est plus sou- vent conflit ouvert l'on observe sociétés occidentales entre familles groupes d'enfants étude kinch bower- man 1959 montre enfants avant douze ans tournent l'ensemble vers leurs parents trouver leurs modèles leurs compagnons au-delà douze ans semblables jouent rôle égal plus important phénomène apparaît aujourd'hui ceci près plus précoce plus impérieux qu'il dix ans l'étude coleman 1966 montre bien l'influence famille prédomine d'autant plus qu'elle offre l'enfant milieu socioculture solide tandis familles plus dés héritées enfants tournent tout naturellement vers l'école l'école développement influencé caractéristique leurs camarades classe effet camarades d'un milieu plus aisé île joueront rôle locomotive tandis s'ils également d'un milieu défavorisé enfants risquent végéter contagion sociale joue somme deux sens civilisation occidentale parait moins armée affronter l'avenir l'influence télévision n'est plus démontrer bronfenbrenner souligne qu'elle aussi active celle êtres vivants parents semblables observés quotidiennement l'enfant expériences pratiquées montrer l'influence d'un spectacle violent comportement d'individus deux sexes âgés quinze trente-cinq ans fait réfléchir semble ceux voient spectacle violent télévision ensuite plus déterminés conduire eux-mêmes violemment curieusement constate plus scène pugilat vue victime souffre renforce l'agressivité spectateur etant donné l'importance violence télévision américaine peut donc penser qu'elle tient grande place développement violence parmi jeunes générations américaines permettrons faire remarquer télévision elle-même reflet civilisation qu'il difficile distinguer nettement violence prend source cela renseigne l'influence télévision certes aussi l'influence modèles général frappant constater tout cas union soviétique semblables exercent l'enfant influence favorable l'épaulant intégration tout autrement etats-unis fait enfants coupés adultes ici s'achèvent observations bronfenbrenner enfants russes enfants américains observations d'ailleurs infiniment plus fournies riches enseignement quan s'agit enfants russes lorsqu'il s'agit enfants américains suite ouvragé concerne plus précisément science compor- tement l'auteur tente prévoir l'avenir société américaine laisse poindre réelle inquiétude quant l'évolution cette société geneviève jurgensen pue
