,page,text
0,1,ince auites karactereldesfautres notes tou monde hue ets tier etre uns dite tétitete
1,2,mierc vivre adr lens parmi articles biiés eda uallersitaimeu'elle menée défense souvenez surëme cille-du-temole baris geies villes aussi bien délicieuses lithographies qu'on peut ache- provende cre mer sites livrés trop ter chez bouquinistes cartes tier défense défi gagné appétits promoteurs vent postales attendrissantes ravissants ole heu ganisateurs loisirs orpersonnages évoluent villes punéraire cathark montkebu nme c'est revue pense oui paysages agrestes agréables vivre rinére len ent peut encore faire bon rar lieux sites endoits sem trabo vieux paris ner partout francel tous omeblables cela existe encore ... enseignes vie mois prouvel trouvez tout cela existe tout près bourges jacques cœur ville ald découvriez chimique rene désert retz haut-lieu ile-de connaissance paris france france demeures terrylières dartout marais place vosges evue conduira partout cœur quelque chose voir triangle d'or oppède-ménerbe-gor visiter simplement connai canal saint-martin tre quartier balance avignon quelque chose attend tout près secrets puces parfois sans sachiez gisors trésor templiers vieux village lurs int- frovence aujourdhui maison maison rue saint-louis c'est belle revue ——— dos carré nombreuses en-l'isle cœur l'île saint-louis equipe sensation reproductions gravures docu- promenade père lachaise nelle ments d'époque iconographie rarissime bilan paris péril numéro présen+ animée spécialistes sous vrai album luxe tous mois andré malraux daction chef payen-appenzeller page page vie mort d'un village belleville georges pillement connaistous mois page page con- précieux numéros spéciaux sance paris naissance paris autant luxueux li- france c'est d'abord urbafrance procurera heures nistes architectes responsables heures d'une lecture enrichissante passé aussi bien l'avenir sites quartiers présentés vres traitent certains sujets fond o'la rue mouffetard maison maison ceux main respon- auteuil village paris sabilités conservation ole premier guide touristique mont- l'aménagement cadre martre aussi incroyable cela puisse vie paraître n'existait guide trouverez aussi bien minost montmartre celui-ci permet vi- architecte chef quartier mssiter vieux village cœur ca- rais charpentier architecte pitale maison maison rue rue opérations montmartre saint-sé- enseigne sans complaisance bons verin etc restaurants mauvais galeries aussi poètes marais aujourd'hui qualité autres tistes amoureux feront pasäpas comprendre pourquoi aiment lorsque partirez découverte connaissance paris telle chose comment paris france prome- france uno revue parmi lesquels jacques hillairei nades voyages l'emporterez vivänte actuelle guides ouvrages font autorité articles mono- gix numeros n'est graphies précis documentés guide snuserent trésor mort qu'ils constituent plus merveilleux ete trouverez d'essai boutiques tai acte guides pris détaillé trouverez opérations non seulement ipti aleur escription tout rénovation dont l'objet faut voir lieu donné aussi eaucoup sites tous moyens pratiques bien voir france aéatieis anciens partout gräcerau bon cscontre adresses parfois evez rendre c'est vraiment revue paradi iegteurs lés personnes contac- c'est aussi paradis léseine ter place revue s'est fait nom lutte souvent victorieuse
2,3,comprendre savoir agir psycholiogie mai 1974 psychologie animale planète singes apprend maintenant langages humains joyce dudney fleming entretien bertrand schwartz conseiller ministère l'education nationale faut réduire inégalités propos recueillis jacques mousseau michel bernard pédagogie nouvelle alexander neill l'homme summerhill pédagogue cherchait bonheur frédéric dajez psychologie comportement l'agressivité humaine est-elle innée acquise physiologie pose question autrement karl moyer psychologie différentielle caractérologie est-elle science tout cas c'est technique efficace roger caillat bref etats-unis nach dossier mois l'homosexualité masculine mas alain sotto entretien andré baudry l'homosexuel c'est tout-le-monde ven sauf point sens bref france librairie l'homme rats freud soil priorité l'éducation lobrot sociologie empirique loisir dumazedier most dernières parutions bref allemagne who who psychologie prochain numéro paraîtra jeudi juin 3roal —————— ——————— psychologie edite centre d'etude promotion.de lecture abonner 114 champs-elysees 75008 paris 359.86.50 225.02.88. voyez page
3,4,boire ecouter ballon brosse denrs ean ale
4,5,l'un derniers motifs d'orgueil l'humanité prétention d'être unique genre fondée l'exclusivité l'utilisation langage sent peser menace précise d'une imminente expiration psychologues californie alabama nevada l'oklahoma tentent actuellement d'apprendre langage chimpanzés réussi instaurer véritable dialogue jour n'est peut-être plus très éloigné chimpanzés mettront parler entire document présentons ci-dessous exceptionnel résultat enquête tous laboratoires américains grande percée scientifique cours déjà présenté travaux professeur premack l'éducation sarah psychologie laboratoire californie trois ans recherches expériences fait bond fantastique jugez-en vous-même j.m l'homme n'est unique l'avions-nous toujours présage mort d'une telle croyance presque aussi ancien cette croyance elle-même c'est peut-être lorsque médecins découvert jadis .similitudes considérables existent entre corps homme celui d'autres animaux cette perspective jour certainement communément admise lorsque théorie darwin l'évolution espèces reconnue monde scientifique tout entier maintenant fin proche puisque l'homme contraint d'abandonner dernier bastion significatif jusque-là privilège langage l'animal réussi atteindre titre sacré celui être seule espèce utiliser langage chimpanzé veux parler d'un seul chimpanzé capable reproduire tel phoque savant numéro lequel dressé seul animal répète soumission qu'on appris d'un douzaine chimpanzés reno santa barbara norman oklahoma atlanta animaux possèdent vocabulaire substantiel capables d'associer symboles -pour créer ————————— combinaisons appropriées qu'ils n'avaient jamais vues avant utilisent langage agir environnement habileté insoupçonnée perspicacité intriguent leurs professeurs fausse piste abandonnée l'apprentissage langage articulé pendant nombreuses années cru chimpanzés devaient être assez intelligents acquérir langage cependant toutes tentatives entreprises apprendre parler échecs l'on réfère critères plus favorables plus grand nombre mots revient chimpanzé viti réussit apprendre quatre années 1950. encore fallait-il qu'il parle c'était problème chimpanzés peuvent apprendre parler capables d'apprendre utiliser ensemble complexe symboles transmettre information symboles peuvent être signes main petits morceaux plastique forme couleur différentes figures géométriques reproduites touches machine écrire spéciale toutes choses qu'ils puissent réellement manipuler record d'échec changea record succès lorsque beatrice allen gardner université nevada observèrent comment chimpanzés communiquaient nature lorsqu'ils liberté remarquèrent qu'ils utilisaient beaucoup plus signaux manuels signaux vocaux décidèrent tenter d'enseigner langage gestuel plutôt qu'un langage verbal première élève qu'ils choiïsirent washce washæ chimpanzé femelle liberté lorsque l'expérience linguistique débuta juin 1966. cet âge-là développement besoins très similaires ceux d'un bébé humain douze dix-huit mois dormait beaucoup venait juste commencer ramper n'avait encore molaires canines cours premiers mois routine quotidienne tournait autour couches biberons l'amitié naissante deux compagnons humains
5,6,gardner choisi chimpanzé préférence aulre représentant grands primates raison faculté qu'ont chimpanzés créer liens forts êtres humains pensaient effel degré élevé sociabililé pouvail jouer rôle essentiel développement jangage celui qu'ils choisirent washæ l'american sign language a.s.l washæ apprend langage gestuel sourds a.s.l système commu- nication mis point sourds largement utilisé toute l'amérique nord constitue d'un ensemble gestes mains correspondent chacun mots distincts l'autre système employé sourds consiste épeler mots l'aide doigts utilisé celte expérience nombreux signes figuratifs représentation visuelle significalion exemple boire pouce tendu écarté poing serré touche bouche haut bras levés tendus l'index peut également indiquer cette direction odeur paume main tendue devant nez légèrement mue verticalement plusieurs fois chat pouce l'index rassemblés près coin bouche mus vers l'extérieur visage figurer moustaches chat cette association étroite entre signifiant signifié rend aisée lecture quelques messages simples fréquemment utilisés sein système également possible d'exprimer large éventail d'idées tandis qu'ils apprenaient communiquer l'aide signes gardner traduit chansons poèmes langage découvert tout pouvait être rendu manière fidèle précise lorsque termes techniques noms propres posent problème désignés signe arbitraire convenu intéres- sés professeurs washæœ choisi signes docteur pensée mot psy- chologue science pensée psychologie fait l'as.l utilisé êtres humains permit d'établir quelques comparaisons entre signes faits washæ ceux l'on pouvait observer chez en- fants sourds parents sourds gardner rapportent parents caravane transfér sourds relevèrent nombreuses sslire enlamilitudes entre première lente shœ dont partie avai ive avai filmée celle enfants sourds apprenant langage pal signes. washæ vivait ètement conçu environnement manière exploiter possibilité voir engager dialogue poses questions ainsi quy répondre décrire objets méme réclamer offrirent envi ronnement riche stimuli minimum contraintes compagnie humaine conslante durant heures veille quantités jeux humains professeurs n'utillisaient aucun autre langage a.s.l présence résultats l'association d'une telle élève d'un tel langage tel environnement remarquables gardner apprirent caravane pée gardner traduire sans trahir égard différences morphologiques syntaxiques existent entre l'usage français celui l'anglais peut parvenir niveau parfait d'exactitude lors passage d'une langue l'autre difficultés traduction résultent apparaissent clairement lorsqu'il s'agit rendre fermes aussi concis possible concepts plus encore associations concepts exprimés sous forme signes symboles chünpanzés soucis clarté peu alors qu'avoir recours sorte d'adaptation permelte autant faire peut respecter sens exact mots anglais tout rendant l'idée compréhensible français compte tenu règles grammaticales système verbal propres ceite langue arrive exemple l'on obligé d'utiliser français catégorie sémanlique différente celle initialement employée anglais dessein simplification faute quoi risquerait don- ner impression faussée très exagérée l'étendue vocabulaire chimpanzés habiletés sy'- laxiques qu'ils manifestent traduire signes concepl en- core contexte cha- touille jeu bruyant corps corps auquel washæ prêtait professeurs généralisa l'usage concept toutes activités tous objets apprirent signe correspondant nouon ouvert n'utilisant trois portes déterminées cel usage toutes portes boîtes tiroirs réfrigéraleurs robinet appril signifier l'entité fleur qu'elle utilisa fleurs certain bre situations lesquelle odeur jouait rôle importa comme l'ouverture d'une blague tabac l'entrée cuisi l'on train préparer repas indiquèrent alors signe odeur savait faire différence entre deux signes utilisait tous deux escient trompait contexte odeur erreur consistait souvent faire signe fleur place 1967 washæ compose première phrase lorsque washœ commettait erreurs disait davantage professeurs qu'elle savait lorsqu'elle reproduisait signe correctement gardner commencèrent utiliser images d'objets tester vocabulaire washœ après qu'elle spontanément transféré leurs signes respectifs partir d'objets images repré sentant objets similaires cependant commettait nombreuses erreurs s'ils utilisaient photographies d'objets appelait derniers bébé car terme repré sentait quelque chose différent comme miniaturisation quelconque significalion artificielle avril 1967 moins d'un après début expériences réalisa première combinaison signes sorte phrase bien qu'aucune leçon associations prodiguée professeurs ceux-ci faisaient suites signes aussitôt washæ appris huit dix signes commença associer groupes deux trois peu comme jeune enfant apprend associer mots professeurs apprirent quelques combinaisons réalisa autres exemple washæ inventa donner chatouille mander être chatouillée our vert3 manger4 boires mander réfrigérateur soil ouvert professeurs tou jours utilisé signes boîte froid désigner cet appareil dix signes seulement déjà grand nombre possibr langage américain signes. smell anglais fois verb sentir substantif odeur open fois verbe l'adjectif ouvert jure food signifie exactement nouïr aliments drink lois ver substantif boisson ouvrir boire ren rer eme sou
6,7,significz l'un après binaison phrase bien associations pro aisaient dés issilôl dix signés issocier ois pél apprend professeur mbinaisons autres invenk pois jes combiner groupes lrois washæ faisail phrases groupant hasard groupes formait habituellement sens devant porte fermée clé exemple faisait signes donner clé ouvrir clé s'il plaît aider clé vie s'il plats gardner analysèrent associations deux signes réalisés washæ utilisant méthode semblable celle mise point lités pou deux roger brown psycholinguiste d'harvard enfants déî couvrirent premières com/ pinaisons semblables celles réalisées enfants point vue signification catégorie sémantique utilisée catégories expriment relations telles celles existent entre agent action roger chatouille encore localisation d'un état d'une action processus chapeau encore l'expérience d'un état d'une émotion washæ désolé bout vingt mois cette formation disposition trente-quatre signes répondaient ensemble critères rigoureux d'exactitude fréquence gardner imposaient critères être sûrs qu'elle connaissait réellement signe avant l'ajouter liste premiers signes utilisés washæ n'avaient tous rapport objets actions utilisait blessé désolé drôle situations appropriées acquis quatre signes durant sept premiers mois l'expérience neuf cours sept suivants vingt troisième période équivalente bien loin être dépassée toute cette matière nouvelle mattrisait cadence plus plus rapide bout trois années formation vocabulaire total s'élevait quatre-vingt-cing signes plus tard chiffre pratiquement doublé washæ probablement continué éternellement cette voie amis humains d'autres projets plusieurs professeurs abandonné partie difficile habituer équipe entièrement nouvelle gardner élaborérent alors autre plan octobre 1970 cédèrent washæ vocabulaire cent soixante signes roger fouts plus premetteurs parmi étudiants tavaillaient fouts ren- dit oklahoma poursuivre cetle recherche maintenant autre chim- soustouts panzé reno mojo arrivé chez gardner lendemain naissance juste peu plus d'un parmi condisciples malière langage signes enfants adultes sourds celle fois-ci allons prendre comme ïil faut dit allen gardner formation systématique sarah plusieurs autres chercheurs étudient actuellement langage seconde génération chimpanzés david premack professeur psychologie l'université californie santa barbara ceux-là approche l'étude langage chez chimpanzés très nette priori n'est intéressé langage chimpanzés peu importe animaux l'occasion d'engager conversation changer sujet d'utiliser langage contrôler environnement l'intéresse avant tout nature intelligence chimpanzés très intelligents langage manière importante d'exercer intelligence ainsi david premack sert-il recherche langage chez chimpanzés comme d'un moyen service tout autre fin ordinateur satisfait plupart exigences sujet recherche aussi bien sinon mieux chimpanzé nombreux points communs entre l'élaboration d'une série d'expériences chimpanzé celle d'une programmation d'ordinateur l'un l'autre pourrait être utilisé répondre question puisje mettre point méthode établir langage sein d'un tel système réponse affirmative premack veut pouvoir appliquer cette méthode êtres humains éprouvent difficultés apprendre langage enfants autistiques sujets retardés aphasiques méthode mise point l'intention d'un chimpanzé plus susceptible réussir genre situations qu'une autre élaborée ordinateur travers cette expérience beaucoup appris aptitudes linguistiques chimpanzés propre aveu surpris découvertes premier chimpauzé sarah7 afrique six ans âge correspond l'adolescence selon critères race lorsque l'expérience débuta ———— adjectifs s'accordent anglais voir l'éducation sarah psyholo gie 13. timidité est-elle maladie confession d'un ancien timide j'avals toujours éprouvé secrète adm ration d.h. borg sang-froid dont faisait preuve examens faculté l'alsance naturelle qu'il savait garder lorsque allions île monde mol perpétuel sujet d'étonnement soir l'hiver dernier rencontrai paris banquet d'anciens camarades d'études plaisir revoir après séparation vingt ans poussant confidences vinmes naturellement raconter vies cachal mienne être bien mellleure n'avais toujours affreux timide borg dit j'ai souvent réfléchi phénomène contradictoire timides généralement êtres supérieurs pourralent réaliser grandes choses s'en rendent parfaitement compte mal condamne d'une manière presque fatale végéter situations médiocres indignes valeur heureusement timidité peut être guérie suffit l'attaquer bon côté faut avant tout considérer sérieux comme maladie physique non plus seulement comme maladie imaginaire borg m'indiqua alors procédé très simple régularise respiration calme battements cœur desserre gorge empêche rougir permet garder sang-froid circonstances plus embarrassantes suivis conseil j'eus bientôt joie constater trouvais enfin délivré complètement timidité plusieurs amis j'ai révélé cette méthode obtenu résultats extraordinaires grâce étudiants réussi leurs examens représentants doublé chiffre d'affaires hommes décidés déclarer amour femme choix jeune avocat bafouillait lamentablement cours plaldoiries acquis art riposte valu succès retentissants place manque donner ici plus détails voulez acquérir cette maîtrise vous-mêmé cette audace bon alol meilleurs atouts réussir vie demandez d.h. borg petit livre lois éternelles succès l'envoie gratuitement quiconque désire vaincre timidité voici adresse borg chez aubanel place saintplerre avignon sorian méthode borg bon gratuit découper recopler adresser d.h.borg chez aubanel place stplerre avignon recevoir sans engagement part sous pli fermé lois éternelles succès nom rue ville
7,8,p.10 roger lucy meilleurs amis monde p.11 conversation thème communication signes p.15 deux photos haut lucy apprend signes aller bébé deux photos bas lucy roger parlent d'avaler roger fait signes lucy répète phrase
8,9,1968. premack décrit comme très active douée d'un esprit haulement dominaleur invenlif sarah contrairement washæ vivait environnement riche stimuli chargé d'un 1mportant potentiel linguistique comprenant invitations quotidiennes partager compagnons humains nombreux jeux langage vivait selon critères habituels conditions laboratoire cage grillage murs ciment quelques jouets contact langage spécial strictement limité formation linguistique qu'on dispensait cinq jours semaine raison d'une heure jour sarah appris s'exprimer symboles matière plastique symboles dont disposait consistaient ensemble petits morceaux matière plastique forme couleur différentes chaque pièce représentait mot après avoir mordillés manipulés pendant années usés comme jouets l'on aime bien bande métal fixée verso permettait placer pièces tableau magnétique fonction tableau noir d'une salle classe symboles disposés selon ligne verticale tableau former phrases sarah montrait scuvent doigt symboles lesquels train travailler réflexion traduction lorsqu'elle composait réponse phrase difficile fait d'utiliser langage présentant permanence physique écrit lieu d'être gestuel parlé plusieurs avantages effet cela permet consacrer uniquement l'étude langage sans soucier mémoire court terme élèves ainsi lorsque sarah donnait réponse fausse savait n'était parce qu'elle oublié question figurait encore clair tableau juste sous yeux pouvait moduler volonté difficulté leçons faisant varier nombre genre symboles qu'elle devait utiliser chaque fois pouvait également éviter situation chimpanzé faisant semblant comprendre lorsqu'on transmet l'intermédiaire a.s.l ordre plaît n'est possible avoir recours tel système langage tout temps partout sarah situation qu'un sujet muet dont l'habileté communiquer dépend présence d'une feuille papier d'un crayon
9,10,sarah sait manipuler cent trente symboles sarah connaissait peu près nombre symboles washæ environ cent lrenie manière dont deux animaux utilisaient leurs langages respeclifs aussi différente celle dont acquis washæ appris signes grâce association d'imitations répétitions suggestions sarah appris symboles suivant techniques classiques conditionnement professeur présentail stimulus répondait réponse bonne recevail récompense n'était jamais punie avoir donné mauvaise réponse aucun aulire motif stimulus consistait voir professeur tendre morceau fruit fallait sarah écrive ann donner pomme sarah respectant l'ordre mots noms exacts désigner professeur fruit sarah menait aisément cette tâche bien continua problèmes plus difficiles apprit signification phrases lelles sarah poser abricot assiette rouge raisin banane assielte verte parvenait cas apprit différence qu'il entre rouge vert vert rouge discrimination difficile faire car fallait qu'elle observe l'ordre symboles répondre correctement comme plupart exercices langage taux d'exactitude fois qu'elle maîtrisait question performances sarah impressionnantes tout comme washæ sarah ca- pable d'adapter qu'elle ad- pris symboles situations n'étaient mêmes contexte servi acquérir connaissances exemple bien qu'elle appris concept contexte rouge vert savait l'appliquer n'importe quelle autre paire couleurs allait pareil différent qu'elle appliquait nimporte quelle paire d'objets seulement lasses cuil- lères utilisées enseigner symboles premack employait habituellement nou- veaux objets tester s'assu- rant notions élaient assimilées allaient au-delà matériel utilisé sarah tests langage consislaient souvent répondre ——— dig prise tiers sitiste quelquefois utilisait réponses oui non bon escient parfois dérobait symboles professeur formait elle-même queslions répondait correctement boul deux ans demi telle formation sarah possédait liste impressionnante fonctions linguistiques utilisait mots phrases interrogations concepls catégories négation pluralisation conjonctions quantitatifs conditionnel copule aptitudes washæ couvraient cinq premieres rubriques liste rien permet dire qu'elle incapable d'assimiler autres toulefois enseignées contrairement gardner premack délibérément offert sarah nombreuses catégories sémantiques différentes questions sarah met colère lorsqu'elle fait fautes syntaxe cependant lorsque l'occasion pré- sentait sarah rendait volontiers quelques catégories n'aimait utiliser lotalité langage qu'elle connaissait copule bon exemple appelle copule l'élément relie sujet prédicat anglais c'est généralement mot remplit cette fonction sarah pomme rouge semblait vouloir dire chose pomme esi rouge donc omellait copule aussi souvent pouvait russes vision semblable choses langage possède non plus aucun mot remplir cette fonction linguistique premack sans doute moins problèmes langage sarah gardner n'en chimpanzé environ deux ans sarah devint difficile manier grandissait âge forces accès colère esquels entrait lorsqu'elle com- mettail erreur devinrent plus plus dangereux profes- seurs rêt éri arrêla donc l'expérience 1eure actuelle sarah occupe cage bâtiment zoologie cessé d'apprendre langage ais restera longtemps remack quelqu'un d'énergi- agit comme l'ha- dir nent obtenir qu'il veut veut l'occurence c'est nouveau régime chim panzés grâce auquel animaux plus grande liberté possibilité promener centre spécial d'apprent apprenlissage leçons langage récom penses îlre maitre pourraient surve nir n'importe quel moment lor chimpanzés manifes raient désir attendant pre mack réédite deux nouveau chimpanzés l'expérience menée sarah elizabeth peony cinq ans chacune connaît environ cinquante signes dépit leurs similitudes bien qu'il s'agisse deux melles elles aussi différentes l'une l'autre deux enfants cinq ans peuvent l'être elizabeth donne tout entière leçons semble heureuse sort n'est cas peony préférerait demander récom penses plutôt travailler mériter fail qu'il fau gagner l'approbation professeur lequel semble être j'éé ment plus important vie peony cependant grâce régime d'entraînement hautement structuré auquel soumet david premack deux chimpanzés acquièrent langage cadence peu près similaire haut degré structuration laisse empreinte elizabeth peony lorsqu'elles travaillent tableau dirait robots machines fabriquer mini langage l'on voyait deux-là aboutirait aisément conclusion chimpanzés disposant d'un langage animaux cirque extraordinairement bien dressés répétant numéro complexe qu'ils n'ont qu'une idée vague signification réelle petits morceaux plastique qu'ils manipulent suffit d'examiner résultats tests d'assister performance sarah faire opinion toute différente après centaines d'heures formation langage fait partie intégrante personnalité sarah l'utilise espèce grâce naturelle leurs deux ans d'entraînement raison d'une heure quotidienne cinq jours semaine deux jeunes chimpanzés l'air peu concernés lorsqu'ils accomplissent leurs exercices linguistiques qu'ils donnent toujours l'impression d'être train faire travail quelqu'un d'autre chimpanzés apprennent langage signes passent stade apparemment mécani- fait langage leçons complètement intégrés leurs vies quotidiennes communication requiert aucun équipement spécial expression moyen signes semble naturelle presque depuis commencé ——— japonais également voir l'article jean chaguiboff psychologie
