,page,text
0,1,one nou .lw dora annee obsession dnmuniquet science rêves eud s'est-il trompé dre hacer dr. clin née
1,2,nes rain pourquoi l'art ponina tre autr map ana aaa brlidthlqul anydmale univensuaire 18.déc.1986 lausaure amis médecins savent après avoir longuement étudié visage patients symptômes maladies blanc yeux teint etc praticien peut s'asseoir face quelqu'un sans dire tiens voilà hépatique cardiaque etc pourquoi n'en est-il chacun pourquoi pourrionsnous aussi dire quelqu'un voilà colérique timide imaginatif fait don voir intérieur autres possédons c'est quelque sorte qu'il convenu d'appeler sixième sens tel quel intuitif approximatif sert grand-chose n'est tout donner quelquefois quelqu'un vague impression ... peut être transformé renforcé .bases scientifiques rendu quasi infaillible données psycho- logie moderne conjoint enfants amis sins ... très souvent choses échoue puis a-t fois dire fâcherie rejetée employeur voiil suffit très peu vec réussisse tenté quelqueaprès malentendu 1ffaire râtée demande j'avais seulement prendre peu mieux fallait-il jui dire autrement peut-être à-t-il sixième sens scientifique regard d'encour être aperçu anqué alors res chaque eur aane are lil lab a-t-il jusou'ici livré trop souvent marchands recettes visage est-il géographie parlante premier volume collection s'intitule connaître autres visage psychologues professionnels raison d'affirmer visage terrain unique privilégié l'étude personnalité morphologie science visages connue depuis longtemps psychologie moderne permis devenir véritable science résultats sûrs simple exemple imaginons vie professionnelle puissions lire visage collaborateurs non seulement caractère aussi jusqu mode pensée celui-ci réfléchi tel autre impulsif déductif etc quelle force mieux travailler réussir connaître autres visage véritable manuel pratique littéralement bourré d'exemples précis véritable carte visage d'autrui dont lecteur ensuite pourra plus passer cartes routières corps tout entier parle avons-nous seulement jamais regardé vraiment conjoint patron pourtant silhouette parlel volume consacré corps permet reconnaître sans erreur possible gros vraiment comme pense bon gros facile vivre contraire sec nerveux inamical aime travail personnel travail équipe cet ouvrage révèle secrets groupes sanguins depuis poignée main jusqu'au timbre voix sachons reconnaître signaux font autres sans savoir l'ouvrage comportement gestes dévoile corps ment mal ———— simple llettre l'alphabet rousen dit long quelqu'un l'ouvrage consacré l'écriture dé- voile pourquoi graphie anses personnes lignes montent scendent pourquoi voyelles ees ouvertes pourquoi marge grande petite pourquoi signa- ture parfois écriture reste texte différente tests auitres cherchent aussi savoir plus plus cherche lire tests connaître possibilités facultés résultats tests dépend souvent avenir parfois défi nitivement l'ouvrage tests démontre secrets examens noms tests d'aptitudes tests personnalité test rorschach etc ouvrages collection connaitre geste établi ane cine mençais étrangers léstoute suels sujets demandé trois ans colle travail recherches parmi auteurs michel gauquelin diplômé l'insti- tut psychologie paris jean gaussin spécialiste sélection professionnelle professeur psycho- logie l'école supérieure commerce d'administration entreprises paris coca gisèle gaïillat diplômée socié grapholagie jean-louis sellier licencié psy chologie suzanne simon secrétal société internationale térologie marie-josée houareau pédagogique national. liste docteur alain rideau spécial générale cart l'institut autres plu éditeurs d'ouvrages spécias psychologie édite notam chologie ent comme plusieurs productions 000 psychologie plus exemplaires vendus dan ier sté distingués tier leu parution parmi l'année ntre nne grâce bon ci-co envoyé toute perso fera demande pou pré men gratuit ecton mier ouvrage vie connaître autres sage metre
2,3,bs'iologie comprendre savoir agir juillet 1974 comportement comédiens ... pourquoi jouent-ils après quoï courent-ils michel gauquelin monde d'aujourd'hui parle l'homme voulu vivre rêves j.l moreno sara peltant ntretien julie vingt-quatre ans j'ai prostituée voici histoire jacques mousseau société prostitution monde lequel tout monde triche alain sotto bref etats-unis expérimentale rêves devant science freud s'est-il trompé david cohen époque chômage j'ai victime maladie sociétés industrielles christie rieuf-ravenne issance soi rencontre théorie communication cache notion mode sara peltant ologie clinique médecin cessé d'être dieu groupes balint l'aident comprendre pourquoi sherry turkle parle sources générosité marcel turbiaux extraordinaire roberto assagioli réintroduit volonté psychologie sam keen librairie culte cargo lawrence freud désir cariou trois voies l'imaginaire laplantine autres parutions who who psychologie prochain numéro paraïîlra jeudi aoû
3,4,cr2 cid anncc sie cy- see sente nid bte net vertueux bein bien voulez-vous faire petits îles nragenx rodrigue bein verse pension alime
4,5,journaliste pierre laroche décrit ainsi célèbre acteur pierre brasseur temps splendeur milieu foule compacie monstres sacrés voici tumullueux personnage fraye passage coups coude coups poing coups gueule coups talent passe écrasant pieds bousculant nobles vieillards caresse sein irouve chemin cherche bouche attentive écrase d'une plaisanterie jeune premier vide bouteille oubliée surgit insolent scandaleux retentissant rigolard peu obscène peu ivre désordonné fraternel c'est acteur c'est l'acteur gens théâtre sont-ils toujours ainsi lout d'abord pense public savoir fail passer questionnaire comprenant cent traits caractère cinquante personnes niveau universitaire chacun sujets demandions cocher traits caractère semblaient plus favorables réussir diverses professions voici traits caractère plus souvent choisis profession d'acteur élégant immodeste capricieux exubérant dissipé inconstant l'aise snob prétentieux drôle gaspilleur vantard bavard théâtral excentrique public cultivé fait donc l'acteur vedette image assez proche portrait brossé plus haut pierre brasseur traits caractère sont-ils accord réalité psychologique sont-ils schéma conventionnel sans consistance cherchant aller plus loin poursuivi vaste enquête biographies acteurs principales bibliothèques paris bibliothèque l'arsenal contient trésor bibliographique acteurs fonds rondel rondel nom d'un passioñné théâtre rassemblé pendant trente ans tous articles livres revues parus acteurs français étrangers toutes époques systématiquement consulté fonds rondel l'heure actuelle possédons archives plus quatre mille photocopies docu- ——————— ments biographiques rapportant près cinq cents acteurs tous genres représentés acleurs comiques tragiques comédiens théâtre vedettes cinéma chansonniers vedettes music-hall biographies élé analysées façon suivante tous traits caractère comportement attribués acteurs leurs biographes soulignés puis mis fiche total recensé plus dix-sept mille traits relevé statistique ensuite permis savoir nom ceux apparaissaient plus souvent d'établir ainsi portrait type l'acteur tel qu'il dégage plusieurs centaines biographies trouvera tableau liste traits significativement plus fréquents autres regard ceux plus rarement attribués portrait dégage tableau voir page montre qu'il existe bien caractère propre l'acteur enquête rejoint l'opinion spécialistes l'image d'andré villiers tenté définir psychologie comédien essayons soulever voile cette psychologie illustrant propos d'exemples célèbres pris archives charme sympathie l'ensemble acteurs extravertis rencontrera bon nombre comédiens mondains écrit notamment andré villiers l'acteur doit aimer monde être l'aise société veut sentir facilité doit être sympathique indépendamment beauté charme vertus cardinales l'acteur charme marie dorval l'héroïne tant drames romanti———— brasseur 1905 paris mort laroche marseillaise déc 1945 voir gauquelin caractéralo sis paris puf 1970 voir villiers psychologi dien paris odette lieutiez 1947. comé dorval née 1798 lorient 1849. interpréta plus particulièrement héroïnes romantique imé vigny ques aimée d'alfre
5,6,uvent lus traits caractere attribués acteurs biographes traits caractère moins souvent attribués acteurs biographes ordre alphabétique ordre alphabétique hoi angois ambitieux bourgeois bohème manque brillant charmeur compassé lépensier discret élégant annnyeux besoin montrer aime famille intellectuel modeste orgueilleux rangé parle beaucoup présence sage spirituel timide spontané tranquille sympathique verlueux vaniteux caractère tirés 000 biographies extraites après slatist fonds ronde cote ques possédait baut degré pourtant croyons george sand voix éraillée prononciation grasseyante sans noblesse sans grâce tout coup cette voix étrange celte voix malade propageait l'émotion cette prononciation familière pathétique comme réalité visage s'animait creusait s'éclairait refétait tourment l'espérance révélait toutes nuances sensibilité. côté théophile gautier écrivait sujet quoiqu'elle régulièrement belle possédait charme suprême charme irrésistible voix sonore semblait vibrer larmes s'insinuait doucement cœur accents cris âme bouleversaient salle revanche certains êtres comme froides statues promè nent inerte beauté d'où rien n'émane appelle sympathie charme contraire séduction combien jeunes beautés figées sans rayonnement sans pou- voir d'attrait public l'ai- sance mouvements sourire mumique permettent l'acteur communiquer facilement jespectateur d'exercer pou- por aimons penser mobilité sympathique cette aisance comédien bien fois sorti scène démaquillé l'acteur doit donc être plein spontanéité l'attention réfe ons réflexion ennemies spontanéité simplicité peuvent diminuer charme dre rdpe dire l'influence exercée scène ville raimus pourra rapporter fidèlement entre ique pivlothèque l'arsenal paris tien raimu affirmait journaliste faudrait pouvoir traduire accent inimitable l'écriture cet accent celte mimique conjugués font conversation d'une richesse extraordinaire parle yeux mains tout visage tout corps autant qu'avec lèvres parole expression tout être vivant vivant faut approcher comprendre l'étrange force émane personne l'orgueil vanité acteur doit uniquement savoir s'extérioriser doit aussi orchestrer soutenir légende cela révéler public part vie privée sarah bernhardt décidé faire couper cheveux jouer duc reïichstadt l'aiglon tout- paris savait précieuses tresses blondes enfermées coffret bois rose louis jouvet insisté va- nité comédiens inhérente métier presque indispensable être comédien faut trer c'est d'abord plaisir vanité pure présomption témé- raire dure parfois jusqu mort traits vanité abondent nent littérature cérnant acteurs mounet-sully n'échappa travers soir foyer dreanre drançais critique adolphe contre mounet-sully jeux encore ruisselants sang d'œdipe yeux détour- rent affectant point sully seriez-vous fac gant ché œdipe répond brisson insiste vez-vous reprocher encore enfin voix gédien décide dire court rent court adolphe brisson relut grand ticle écrit net-sully quant jours 111 cette vanité bien souvent surtout célèbre fréderse plus grands rédérick lemaîtren caractère fantasque quai tudes désordre par-d abi- tout amour-propre extrayas biographes adolphe cour rapporte exigeait musiciens l'orchestre centième représentation intervalles repos toujours avides voir tendre jour qu'une première rinette s'obstine rien faire boude veut quitter scène ... représentation générale d'une autre pièce frédérick lemaître s'arrêta tout coup monologue clarant qu'il continuerait n'expulsait l'instant coulisses pompier déplai sait quant sacha guitry d'un parfait égocentrisme voyait vanité valait bien celle illustres prédécesseurs avail telle façon dire emphase commençant phrases ennemis surnommèrent moa riposta créant pièce qu'il intitula toa l'un nombreux procès ex-femmes maria cinq fois l'avocat cette dernière parlant sacha guitry déclara l'auteur acteur afiligé d'un égocentrisme cérébral qu'il peut rien faire toute ville park puisqu'il plaît claironner lui-même génial comme tou cet orgueil cabotinage présence l'autorité vanité rien sans présence cette indéfinissable qualité transfgure l'acteur donne rayonnement sans îleque villiers cit fonds extrail d'un less ondel cote jules muraine rare toulon mort éctère jouvet 1887 crozon finistère ort 1951. 10. jean sully mounet dit mounet bergerac 1841 mort 1916. mapertoire presque tous grands rôles tragique biographie mounet-sully fonds ron cote 9712 12. lemaître 1876. trompha élodrame siecour frédérick lemaître voir lorcey sacha guitry pari table ronde 1971 signé avre 1800 roman poil fon sible tenaires redoulal eniront restes essence ets rie mag aulres l'ombre forte pat lemaitr den lors
6,7,évo rien park onnêr polichinelle pantalon commedia dell'arte xvx1° n'est qu'un pantin sans autorité public lucien guitry père sacha campait planches être d'orgueil massif dédaigneux dépassait l'humanité moyenne non seulement taille volume physique encore élément moral impossible définir milieu partenaires guitry air d'une idole redoutable peu monstrueuse environnée chétives créatures terrestres l'aurait cru autre essence composé d'atomes différents n'avait paraître rien n'existât dehors pièces qu'il jouait devenaient magnifiques monologues autres protagonistes rejetés l'ombre personnalité trop forte gardaient presque point part fin carrière frédérick lemaître pratiquement privé voix affligé perte totale dents pouvait plus articuler lors représentation docleur noir chacun entendit reproduire toutes manières ous tons cette incroyable phrase elllla mârrr montââäât tojors mer montait toujours croira-ton salle frémit sanglota plus vingt minutes sans personne parût remarquer l'étrangeté langage tant présence frédérick lemaître subjuguait public présence l'autorité arrivent tuer ridicule témoin encore cette anecdote mounet-sully plein d'une noble candeur osait tout n'ayant jamais sens ridicule jour qu'il déjeunait chez georges pioch vit soudain lever déclamer jupiter d'amphi yon parcourant grands salle manger asperge encore pleine sauce main tout d'abord put s'empêcher photo durka sourire d'autant plus légume lançail temps ten1ps peu crème convives bout cinq minutes cap- tivé serviette tragédien pris l'aspect d'un manteau royal l'asperge semblait être sceptre gaieté l'esprit farceur général l'acteur recherche vie brillante gaieté générales premières galas exceptionnels foyer loges d'artistes salons mondains spirituels caustiques. l'acteur sens doit être très spontané madame dussane rapporte cette dé- finition dide l'acteur imagination vive émotivité prompte faculté faire illusions grande mobilité caractère l'acteur doit être pittoresque original joyeux troupe voyage n'engendre mélancolie parlé explosions gaieté communicative avant après représentation l'instinct jeu manifeste seulement l'action dramatique plaisanteries scène proverbiales genres plus austères exemples telles farces innombrables sorti scène l'acteur reste général aussi farceur alibert roi music-hall d'avant-guerre commis voyageur galéjade réunissait tous vendredis amis l'aïioli séance mystification farces favorites déguiser copain maître d'hôtel faire renverser mayonnaise décolleté dames plaisanteries sacha guitry n'étaient toujours beaucoup plus subtiles l'un mariages fait croire qu'il marie extremis article mort maire vient chez air circonstance sacha s'est grimé couché teint tout blanc fait semblant être toute extrémité oui prononcé lève riant devant l'air ahuri maire adjoint propose boire champagne santé tous actes vie courante l'acteur joue plus moins comédie n'est hasard l'expression populaire faire cinéma s'emploie propos d'une personne exagère gestes mimique 15. biographie guitry fonds rondel 074 16. mirecour cit 17. biographie mounet-sully fonds rondel 9712 18. villiers cit 19. france-soir avril 1970 20. rapporté lorcey cit étonnantes possibilités mémoire j'étais loin douter arrivant chez ami e.p borg j'allais être témoin d'un spectacle vralment extraordinaire décupler puissance mentale m'avait fait venir stockholm parler suédois pasteur grands savants français soir arrivée aprés champagne conversation roula naturellement difficultés parole public grand travail impose autres conférenciers nécessité savoir perfection mot mot discours e.p borg dit alors qu'il probablement moyen m'étonner connu lorsque faisions ensemble droit paris plus déplorable mémoire recula jusqu'au fond salle manger pria d'écrire cent nombres trois chiffres ceux voudrais appelant haute voix lorsque j'eus ainsi rempli haut bas marge d'un vieux journal e.p borg récila cent nombres l'ordre lequel écrits puis sens contraire c'est-à-dire commençant derniers laissa aussi l'interroger position respeclive différents nombres jui demandai exemple quel 24e 72e 38e vis répondre toutes questions sans hésilation sans effort instantanément comme chiffres j'avais écrits papier aussi inscrits cerveau demeurai stupéfait pareil tour force cherchal vainement l'artifice permis réaliser ami dit alors semble extraordinaire réalité fort simple tout monde possède assez mémoire faire autant rares personnes savent servir cette merveilleuse faculté. m'indiqua alors moyen d'accomplir tour force parvins aussitôt sans erreur sans effort comme parviendrez vous-même demain bornai expériences amusantes j'appliquai principes m'avalent appris occupations chaque jour pus ainsi retenir incroyable facilité lectures conférences j'entendais celles devais prononcer nom personnes rencontrais füt-ce qu'une fois adresses qu'elles donnaient mille autres choses grande utilité enfin constatai bout peu temps non seulement mémoire progressé j'avais acquis attention plus soutenue jugement plus sûr rien d'étonnant puisque péné- tration intelligence dépend surtout nombre l'étendue souvenirs voulez savoir comment obtenir mêmes résultats acquérir cette puissance mentale encore meilleure chance réussir vie priez e.p borg envoyer intéressant peut ouvrage documen- taire lols éternelles succès distribue gratuitement quiconque désire amé- lorer mémoire voici adresse e.p borg chez aubanel place saint-pierre avignon nom aubanel garantie sérieux depuis 225 ans aubanel diffusent travers monde meilleures méthodes psychologie pratique barsan ——-— methode borg ——— bon gratuit découper recopier adresser e.p borg chez aubanel place saint-pierre 84028 avignon recevoir sans engagement part sous pli fermé lois succès éternelles nom rue ville age uno
7,8,"aussi avoir l'esprit mot faït arfois coméla boutade l'acteur doit sens réparti rire peu féroce dien résiste pourra faire ennemi lens trice très renommée siècle nier anaïs fargueil prit infernal dit-on jeu surnoms ainsi tell actrice second plan eugénie doche manquait d'aisance scène dinde camélias bonne sonore marie laurent spécialiste drames populistes trombone rien faire surnoms faisaient joie tous foyer comédie-française l'esprit peut sexet cer dépens autres sujet anecdote célèbre marie dorval soir jouait antony l'enthousiasme public tel dernière scène bissée rideau releva mme dorval-adèle d'harvey gisant fauteuil inanimée malheur l'acteur chargé rôle d'antony disparu lorsque toile élait tombée mme dorval attendait toujours immobile public commençait s'impatienter car antony revenait pas… alors mme dorval fatiguée d'attendre leva s'avança près trou souffleur belle révérence résistais dit-elle alors assassinée. s'en milieu applaudissements toute salle bohème excès l'acteur artiste partant contraire bourgeois vie privée certains acteurs montre morale libre tout complexe désirs physiques reçoivent satisfactions sans aucune brimade certain dérèglement pousse excentricités jeu dépenses inconsidérées apparaît comme travers époques fait l'acteur aujour- d'hui nombre fourmis sem- ble augmenter dépens celui cigales l'acteur bourgeois pourrait-il d'ailleurs être acteur qualité jacques copeau s'est élevé bien souvent contre l'embour- geolsement l'acteur mué certains théâtres sorte fonctionnaire sûr professionnelles mai theme rofess définitivement éloigné tous contacts taisie passion fer etre bourgeois défaut pouvait reprocher vrai saltimbanque nne raconte meublé apparte- waldemar lestie loua fois marcel ouhandeau l'écrivain nait deau souvient jouhan ouvie porc locataire insupportable raconte-t-elle payait terme péné ral cuisine trempail doigt toutes sauces s'il croisait plateau petit déjeuner chipait rondelles saucisson passage échapper huissiers l'assiégeaient permanence sauvait fenêtre enveloppé d'une robe chambre peau léopard pièce installé plafond puissant phare d'auto qu'il allumait quand recevait producteurs afin aveugler qu'ils voient dénue ment l'indépendance l'ambition encore anecdote lucien guitry saison précéda mort jouer montecarlo promenait imposant jetée majestueux ütrseer illustration caractères bruyère boucher xxx° manteau flottant auprès frêle fraîche blonde gentille petite pierry car toute vie lucien guitry aïima femmes bonne chère jacques lorcey rapporte quelques jours avant mort mangea cent escar- gots bourgogne tout seul alors qu'il suivre bime très strict jacques lorcey ra- conte encore multipliait maîtresses est-ce demande ami jules renard propos dernière date sais pes répond lucien guitry cynique loir teussit théâtre entreprise de- passi l'audace dure- attivismme boulot photo dorka faut culot disait san façons mistinguettz vale coquetterie plus explicite fautst lutter arriver lutter maintenir sans répit dettes arrivent enthou jeu naturel précis prix d'un long travail plus solides qualités courage persévérance liste doit avoir caract trempé corps claude dauphin interrogé aussi sans illusions arri être très grande vedette faut vouloir très fort faut persuadé qu'on quelqu'un important dont réussite portante faut être plein const dération soi-même toyable autres.31 sens théâtre pire imétiers car droil d'attendre réussir per cer plutôt comme l'afirmait rené simon professeur d'art dramatique etre acteur n'est métier c'est aventure aventure plus passionnante qu'un métier. l'acteur l'es pérance d'avoir comme savant compris célébrité posthume temps fuit irré médiablement perdu doit soutenir lutte sociale tous instants faire connaître puis maintenir sommet avant l'inévitable déclin beauté gloire l'acteur atteindra malgré tout talent s'il parvient s'imposer public surpasser autres prétendants célébrité plus brande cécile sorel volonté ere bien buste deux sortes d'acteurs tous acteurs unique ment avides gloire capables arriver jouer coudes livrer pires excès d'un publicité tapageuse louis jouvet établi distinction très juste tre comédiens selon comédiens pudiques d'autres sans pudeur deriers 21. fargueil née toulouse 1819 morte 189,6. 22. tous exemples rapportées dos biographie fargueil fonds roncé del 33. ographie dorval fonds ron 184 24. villiers cut 25. biographie brasseur 183 fonds rondel jacques lorcey jet 21. jeanne bourggois dite msie enghien trice music-hall 1875 -bai rene pari ndël biographie sorel fonds 758 corbeil 30. dauphin 1903 ron biographie dauphin fonds 789"
8,9,lus nombreux l'acteur s'affiche s'il juste parler personnalité morale physie faut également reconnaître qu'il fier tout moins join laisser oublier manifeste satisfaction sans pudeur.z quelque peu exbibitionniste trouvons ici complexe spectaculaire découvert psychanalystes comédien sans pudeur joue instinctivement puissance retrouve chaque fois personnalité particulière personnages qu'il interprète c'est fois force faiblesse tel présentait grand acteur romantique français mélingue dont jules truffier décrit ainsi l'entrée scène commençait crier très fort parce qu'il prétendait qu'un protagoniste drame doit s'impo ser tout suite déplacement d'air sonorités impératives répondit ingénument quelqu'un s'étonnait procédé faut bien crie paraissant première fois sans cela saurait c'est mélingue plus près voici jules berry célèbre diable film fes visiteurs soir pierre laroche décrit ainsi comédien style bien particulier fait désinvolture insolente d'élégance suspecte d'aisance spirituelle parle mains comme marseillais porte manchettes inimitables allume cigarette d'une façon n'appartient noue foulard négligence parfaite toujours air d'improviser texte c'est souvent vrai dépasse rôles tous personnages deviennent jules berry jules berry plus vrais vrai vit personnage intensité fiévreuse minute perdre cabots force jouer napoléon pris l'empereur jules berry croit jules berry toujours représentation exceptionnelle genre d'acteur exerce souvent public ascendant considérable quelques-uns entre brillent culture naïveté trouvent leurs audaces spontanéité liberté d'action entière n'étant contrariée surveillance d'un esprit sévère avertie fautes goûts l'expérience l'éducation. monstres sactés leurs outrances lassent temps qu'elles fascinent tout différent comédien pudique fait oublier composition rôle tirant observations expérience sés connaissances sensibles intellectuelles harmonieusement ordon photo dorka costumes grotesques habits comédien larmessin xvir° nées grande partie ressources d'expression défaut cette seconde tendance peut être l'honnêteté sans chaleur technique sans âme manque spontanéité quel régal lorsque finesse l'intelligence viennent s'ajouter dons naturels expression comédien pudique vocation théâtre celle d'être cabot arriver n'est uniquement faire connaître devenir vedette épanouir personnalité l'art qu'il choisi inutile dire comédien pudique rencontre plus rarement l'autre liste ceux réussi car définition l'acteur doit s'extérioriser portraits deux comediens pudiques ilustrons remarques description deux grands acteurs italiens théâtre ruggero ruggeri eleonora duse critique dramatique silvio d'amico montre finesse différencie ruggeri comédien exhibitionniste tel l'entend louis jouvet ruggieri l'acteur précoce l'acteur l'on promet dès vingtième année avenir glorieux devant foule extase grand acteur 32. jouvet supplément paradoxe comédien 31. igg eraphle mélingue fonds rondel 34. berry 1883 poitiers mort 1950 35. biographie berry fonds rondel 965 36. ruggeri 1871 fano italie 37. duse née vigevano italie 1858 morte pittsburgh etats-unis 1924. tragédienne particulièrement l'interprète d'ibsen d'annunzio voir suite article olmmmtion personnelle sociale professionnelle enseignement individualisé correspondance cours oraux soir paris stages pratiques paris frais d'études déductibles revenu brut préparation divers diplômes sous conduite praticiens réputés convention formation psychotechnique graphologie morphopsychologie psychopédagogie symbolisme rorschach orientation sexologie normale pathologique rééducation graphique relaxation psychosomatique groupes dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut francais culture humaine etablissement privé d'enseignement distance rue mathurins 75008 paris tél 266-36-75 informations bureaux correspondance cours oraux session 1974/1975 paris bordeaux lyon toulouse marseille séance inaugurale publique octobre paris nom profession adresse ———— demande documentation gratuite enseignement cours oraux cours écrits stages séminaires cocher cases choix
9,10,parle jacob levi moreno mort quatre-vingt-deux ans l'inventeur psychodrame selon l'étiquette accolée tout long vie figuré mai dernier tête toutes notices nécrologiques cétte définition exacte certes très incomplète ampute moreno autre moitié œuvre moins aussi importante psychodrame celle concerne sociométrie moreno 1892 bucarest c'est vienne qu'il étudie médecine raconte vingt ans renconiré freud qu'il déclaré qu'il commençait père psychanalyse s'arrêtait s'intéressail analyser rêves vivre concrètement effet moreno n'hésite incarner publiquement fantasmes rue jardins publics théâtres dieu zarathoustra c'est ainsi naît principe psychodrame 1925 moreno émigre etats- unis activité très di- versifiée thérapeutique hôpitaux psychiatriques notamment ceux beacon new york sainte-elizabeth washington pé- dagogique l'université new york recherche fondé institut baptisé institut moreno depuis 1942 c'est etats-unis tout continuant voie psychodrame fondé développé sociométrie toujours difficile durant vie encore maintenant après mort juger clairement l'œuvre moreno voir quelle exactement place frappe d'abord c'est qu'il juifs allemands allemand sens culturel terme changé monde xxe siècle dont plus grands marx freud einstein l'origine domaine psychologie opérative celle propose non seulement d'étudier l'être humain d'agir d'un deux genes courants partagent fhérapeutique indi12 jacob levi moreno pionnier psychologie viduelle classique selon schéma rapport médecin-malade psychiatrie psychanalyse freudienne jungienne psychosomatique etc l'autre constitué phénomène groupe dont diversification aujourd hui foisonnante permanente situation scientifique deux mouvements psychothérapie in- dividuelle fonde ensemble théories cohérentes fouillées l'orthodoxie protégée groupe situation in- verse personnalité moreno explique sans doute l'inco- hérence confusion règnent domaine l'on peut présenter comme père groupe puisque non seulement psychodrame sociomé- trie viennent aussi dy- namique groupe créativité jeux rôle groupes rencontre etc trouve œuvre écrite théorie globale pu- blié livre psychodrame qu'il définit comme l'expression vécue active structurée situa- tions psychiques conflictuelles autre sociométrie définie comme l'étude mathématique caractères psychologiques d'ensem- bles sociaux technique expérimen- tale méthodes quantitatives résultat l'on obtient appliquant nombreuses qaonte chez moreno onsidérations li- homme voulu vivre rêves uphoto kystünv bération pulsions individuelles faut chercher chez autres wilhelm reich exemple toutes réflexions l'énergie psychique biologique demande telle libération trouve aussi chez jui analyses très fouillées sta tut sociométrique individus notamment qu'il appelle -prolétariat affectif inais faut tourner vers autres carl ro- gers particulier commpren- dre rôle directivité fonde prolétariat d'autres encore dont marx prendre conscience lois macrosociales englobent sous-ensembles jes groupes moreno donc pionnier psychosociologie pionnier plus charismatique théoricien explique modalités influence bien organismes officiels etats-unis europe notamment france perpétuent pensée moré nienne cette influence essentiellement illégitime sauvage vaste mouvement groupe tout monde fait plus moins moreno sans savoir happenings communautés formation permanente transformation chaîne travail petits ateliers… bien phénomènes mouvements monde plus actuels leurs racines chez moreno aucune orthodoxie protégeant inventions recherches dernier peu conscience peu reconnaissance aprés disparition importe faire rapidement travail fois d'analyse synthèse 501 œuvre sinon moreno risque ter jamais précurseur plutôt sara peltant qu'un fondateur savoir davantage moreno psychothérapie groupe psychodrame pu.f. 1965 fondements ciométrie paris p.u.f. 1954 comme fait ancelin-schutzrte porte-parole moreno monde mai 1974
