,page,text
0,1,pur ntih las luissance aires -onnnaissance quoi maiurisies pngsge leczm pere jen lelæelæls rene amensuepdieeusionintmp ral ose noue loue anne set lue eee cesse one hae pidgreleresit etat etats stat eee
1,2,"casuton hlulrt lesnton trdes etes ihisrttts our fiues elté res eee ant mérsltaire heque net cms flausanr inscription club rien d'autre acheter cinq romans clés palpitant vie joie violence générosité charité profonde exprimer peines j016 c'est pourquoi œuvre bouleverse gilbert cesbron considère effet littérature non comme jeu comme mission acte d'amour écrits tient éveillés oblige penser autres romans parlent cœur trésor vat saints vont enfer roman vérité fit découvrir cesbron d'art millions lecteurs bibliothèque chiens perdus sans collier découvrez monde bouleversant itoyable l'enfance délinquante face juges l'est plus tard penses couple tendresse remplace peu l'amour brusquement c'est drame cancer condamne cinq volumes dont somptueuses reliures participent décoration home seulement 24,75 +2,05 port chacun tre chiens loups plus terribles réquisitoires jamais dressé contre violence guerre abeille contre vitre femme laide peut-elle trouver illustrateur bonheur civilisation d'aujourd'hui cinq meilleurs peintre lus fanvais l'école paris êté choisss dee eaux sos see tee composer spécialement œbl chi res illus lecture envoyez-moi exa- lisez chiens constituent couvert agd'œuve 107 gratuit pendant perdus sans col- trations édition lafille rat jte jours sans enga- gilbert cesbron agit découper uite gement part ler gratuite dde pecnard jansem gui intres recopier rappelant chiens perdus sans collier ment frais fait partie retourner livre ravit change pendant dix temps ami 114 champs-élysées d'avis retournerai jours jours grâce peintres graveurs pours comp devoir. orain conf 391 paris cédex autrement conserverai bon ci-contre cotés l'art contemp entées dis uisse cal ous réglerai prés nee iti ermanenc seulement 24,75 sitions plus guillemin 205 valent illeures galeries 1009 pully rte ensuite autres volumes meil francs belgique cai s-d'œuvre gilbert cesbron raie dizaines mullier vestissement palais st-jacques c'est donc alcrai chaque fois après réconr liser uniq 7500 tournat fois après réception nécessaire réalser prénom nom 1.1° bibliothes ruc somptueuse édition code postal ville signature drm der ptet letptetss tira steel rtrartrhers"
2,3,amateur carla tonte crt bsrologie comprendre savoir agjir monde d'aujourd'hui août 1974 n°55 psychologie différentielle comment veulent vivre français test village répond claude lhote psychologie clinique l'effet placebo morceau sucre peut agir comme médicament frederick evans époque révolution féministe chine commencé colloques l'amertume carol tavris ————— l'inconscient conception langage selon l.acan mots tuent mots guérissent philippe chemla société pourquoi naturisme forme désaveu civilisation moderne pierre moreau loisirs nouveau jeu fait fureur raisons expliquent succès michel sutter jacques panafieu entretien georges devereux fondateur l'ethnopsychiatrie alain sotto ——————————————— —————— —ù——————————————— bref france ——— bref grande-bretagne parle correspondance entre freud jung éclaire rupture psychologie clinique psychologue ordinateur bien marché charles slack warner slack librairie personne toxicomane j.-m. oughourlian pouvoir démasqué a.-m. rocheblave-spenlé anthropo-logiques balandier autres parutions parle quand devons-nous cesser d'obéir who who psychologie prochain numéro vente septembre 1974 arch -ae chologie edite centre d'etude promotion lecture departement retz 114 champs-elysees 75008 paris 359.86.50 225.02.88. four vovez page
3,4,alu cpe dtrcrteleonntet pet rue l/de2
4,5,immeuble moderne loul bizarre cherche 1oujours comprendre n'est lrès sympathique c'est collectivilé las gens enfermés bâtiment faut être réaliste voir passe actuellement gagne parloul…. n'est l'occasion d'une enquête sofres l'if.o.p l'attitude français face grands ensembles cette opinion élé recueillie s'agit remarque spontanée jeune femme commentant l'immeuble moderne assemblage volontairement incohérent qu'elle inclus test village comment apprécier jugement immeuble moderne sommesnous droit déceler refus vie contemporaine peur collectivité propres cetie jeune femme bref pouvonsnous l'interpréter termes diagnostic individuel légitime s'il s'agissait effectivement d'une réponse singulière particulière n'est cas l'expérience montré beaucoup autres sujets manifestent travers test village type réaction devient ainsi emprunter terme vocabulaire test rorschach banalité réponse banale propos réponses banales rorschach bolzinger écrit tout passe comme situation test projectif réalisée conditions temps lieu variables destinée l'étude traits individuels infiniment variés subissait marque certain invariant peut-on cerner cet invariant commun groupe d'individus révélé paradoxalement travers réponses originales chacun d'eux certains chercheront l'influence déterminalions culturelles d'autres feront appel notion d'inconscient collectif d'autres enfin demanderont fréquence telle réponse devant tel matériel spécifique n'est direciement liée cerlaines caraclérisliques matériel autant supposilions pourraient rendre compile banalités tests projectifs.2 trouvons aussi cel invariant discerner conflits affectifs plus moins profonds d'objecliver façon précise interrelalions établies entre individu .son milieu social peut apprécier lravers test village non seulement profil individuel chacun aussi interrelations établies entre individus milieu social cadre vie c'est uniquement second registre d'interprétation envisagerons celle étude bien qu'on puisse considérer comme marginal rapport premier permelitra mettre évidence tout comme ferait enquête d'opinion quelques-unes attitudes collectives l'égard l'habilal contemporain d'un groupe rois cents français aduiles hommes femmes dits normaux d'âges variés dix-huit soixante ans niveau socioculturel élevé parmi hommes plus jeunes étudiants plus âgés cadres meyens supérieurs femmes étudiantes cadres moyens sans profession épouses cadres tous habitent région parisienne grande ville groupe architecte géographe cages lapins qu'ils refusent l'occasion l'expositior innovation habital s'est tenue paris printemps dernier directeur construction lion émettait l'opinion suivante l'usager sait très bien encore qu'il veut matière logement revanche connaît tout qu'il veut plus. refus véhément grand ensemble confirmé nombreuses enquêtes d'opinion traduit groupe lrois particularités très peu sujets construisent immeuble collectif parmi ceux construisent proportion minime s'imagine habiter cet immeuble associations d'idées recueillies propos constructions insistent côté déplaisant alsant celle épreuve projective consiste construire village l'aide matériel bois ressemblant jeu d'enfant ants l'encadré vor bolzinger diagnosti structures lalentes test gnostic test village test permet avant lout situer rapidement sujet sein rapports sociaux plus fondamentaux rorschach bulletin psychologie 305 10. ÿ73 spl gite 305 10-11 1972-1973 faure cure pégelothérapie ssonuneil collective groupe paris masson
5,6,lac esl baptisé plus souvent cages lapins peut expliquer d'immeubles type construction test icularités maté lage particuk mar riel effet maisons tériel présentent sous forme parallélépipèdes tailles variées qu'il aisé superposer coler d'autre part trenrat bâtonnets tailles couleur différentes permettent create d'assemblages originaux gré constructeurs sujets largement utilisé cette possibilité puisqu'ils nombreux construire l'aide plusieurs pièces assemblées éléments non fournis matériel certains éléments s'intègrent bien village granges abreuvoirs niches tas bois bancs châteaux d'eau silos meules champs foire panneaux indicateurs autres assurément plus insolites oboggans poternes remparts tours guet passages souterrains piétons cavernes arcs triomphe chaufferies œuvres d'art pourtant cette masse assemblages originaux cent cinquante trois cents sujets dix-huit seulement représentaient h.l.m immeubles collectifs grands ensembles ... village vrai n'évoque guère idée h.l.m c'est sans doute raisons rareté telles constructions test faut tout préciser terme village n'est tout fail exact matériel comporte côté pièces très rurales bergeries moulins magasins urbains vêtements exemple bâtiments administratifs postes bureaux évoquent plutôt l'image d'un gros bourg celle d'un hameeau campagnard aujourd hui rares bourgs dépourvus d'habitat collectif quoi qu'il étudions plus près constructions représentaient cet habitat dix-huit sujets imaginé immeuble moderne deux seulement l'avaient choisi demeurer l'un parce qu'il appréciait l'amitié devait régner communauté l'autre parce qu'il s'imaginait tout haut l'immeuble dominant tout avoir vue d'ensemble village place l'anima autres n'avaient mots assez durs qualifier style construction espèce d'entassement quelque chose l'on n'est tout chez soi tous ennuis grands en- sembles accapare pay- sage vivre là-dedans n'êles chez constructions bâtardes belles 'est implantées rapidemen laid mois nas foours test construit abitaient enre d'immeubles lement grand ensem- s'en trouvaient assez satisfaits ins commentaire meuble qu'ils placé village laissait-il supposct conçois comme pins n'est l'immeuble .que maintenant habite paraît épouvantab chose tout fait humain côté assez pratique pourtant test see deux sujets avalent choisi 1abiter maison individuelle retrouvant ainsi réactions habitants grands ensembles interrogés clerc presque unanimes reconnaître qu'ils logés façon convenable nettement satisfaits conditions vie grands ensembles résident ménages n'ap ent faible majorité construction lype d'habitat seule minorité déclare préférer l'immeuble lype collectif l'idéal exprimé réponses choisissent maison individuelle sujets maison dont rêvent france l'habitat évolué d'ailleurs vers plus grande proportion maisons individuelles 1968 1972. peut-on s'imaginer homme moderne plus moins confusément ressente profonde vérité constatations gaston bachelard rêve paris cube géométrique cet alvéole ciment cetie chambre volets fer hostiles matière nocturne.é numé- rue chiffre l'étage fixent localisation trou conventionnel demeure espace autour d'elle verti- calité maison racine chose inimaginable réveur maison gratte-ciel n'ont cavel7 s'ils préféraient quasi-unani- mité maison individuelle sujets noire groupe expérimental paraissaient bien être guidés msn quant choix cette ticularités leurs res pat avantages qu'ils vou demeures confirment quelqu unes louver sions d'une unes conclu- bitat pavillon menée l'ha- tout d'abord l'habita particulière n'est dualiste forcené étroit d'une maipas l'indiviement proté- clôture .infranchissable décrit stéréotype sie. manifesté forte résista utiliser comme barrières tre nce trois bâtonnets matériel le- quent pourtant l'idée nombreux ceux sèrent côté d'autres jes utile sèrent plat comme trottoirs voi ferrées rivières seulement gèrent enclore murs quelques maisons village moins end propre maison signaler plupart sujets entouraient maison dédai gnaient bâtonnets biancs plus hauts évoquent murs ciment utiliser préfé rence bâtonnets verts mur n'est drôle haie plus gaie tous murs bâtonnets blancs donnent peu tristesse village. d'ailleurs jes enclos ainsi délimités plus sou- vent incomplets comme s'ils davantage symbole marquage l'espace qu'une véritable protec tion certains semblaient dessinés servir prétexte large entrée j'ai belle maison petite forêt vière traverse jardin banc reposer bavarder amis maison entourée clôture ouverture l'air accueillante arbres l'entrée s'il refuse l'isolement l'habitant maison individuelle tient tant maison contiguë autre maison trouve assez proche nature n'est trop encastrée d'autres maisons trop coincée expliqua sujets porte parole majorité puisque d'entre seulement choisirent maison l'alignement d'une rue autres préféraient habitation sans être franchement isolée reste village péri phérie zone plus recherchée séparée maisons voisines espace donc refus net logements tassés uns contre autres encort retrouvons conclusion l'enquête déjà citée inter views montré l'espact l'habitat collectif persil comme multiple brouillé confus voisins au-dessus au-des clerc grands ensembles banlieues 191 velles paris p.u.f. 1967 189-l91 orls enquête centre d'études supp publicité gveries bachelard mere cles réver repos paris corti 1948 96. bachelard poétique l'espacé aris p.u.f. 1957 pp. voir m.g raymond mont l'habitat pavillonnaire paris éateur description d'ailleurs sillage matériel servant test durs mabille nomme barrières gilon fixé l'esp lle énpa phs
6,7,aaa ange bits por pis aisra ture gées joie ire dir côté meilleure insonorisation arrangerait déjà bien choses nesl suffisant sans doute pourrail-on lrouver formes architecturales permetjraient collectif avoir voisins tous côtés bref maison individuelle ile île déserte tout ... remarque personnes interrogées pendant l'enquête l'habitat pavillonnaire retrouvant d'instinci celte définition maison c'est propriété laquelle l'individu autonome libre c'est îlot chacun peut senir indépendant rappori monde loin intrus.ïl enfin certains sujets groupe mis l'accent non situation maison qu'ils choisie l'aménagement intérieur dont rêvaient garage bricolage mécanique place maison peut bien aménager installer laboraioire photographique fois très grandes pièces plus petites galerie premier escalier très grande salle bas toutes petilcs pièces particulières l'on puisse s'isoler transformerai bergerie faire salle musique etc projets illustrent exactement autre conclusion 'habitat pavillonnaire possibilité l'aménagement transformation l'espace l'un éléments plus importants symbolique l'espace pavillon placards débarras greniers 1ous considérés sous l'angle transformation possible sou l'usine plus loin possible sujets récusent donc certain lype civilisation urbaine acceptent-ils davantage civilisation industrielle symbolisée l'usine impensable siècle asso- clation usine-village devient plus plus fréquente fur mesure décentralisation industrielle l'implantation d'usines spaces verts généralisent parmi sujets construisent imaginent d'emblée usine jeur village trouvons première source renseignements seconde source réponse questions concernant l'usine donnons plus loin l'énon- exact arthus dont matériel contrairement celui ma- ille comportait usine assenm- blée ainsi apprécié réac- hcns sujets propos cette pièce triste sort fait l'usine l'immense majorité sujets dit long l'attitude inconsciente l'homme moderne l'égard travail progrès vingt-cinq ans plus tard l'opinion collective évolué l'opposition l'usine esl restée aussi viscérale tcut d'abord nombre d'usines construites bordure village encore plus faible celui immeubles collectifs moins sujets assemblèrent élémenis créer usine moins imaginèrent existence sans matérialiser parmi petit nombre sujets deux seulement commentèrent favorablement construction voici commentaires l'usine c'est multiplier puissance l'homme déun village rigide construit étudiant mathématiques supérieures quelques jours avant internement noter l'absence personnages vide rigidité géométrisation schizophrénique pensée cupler moyens c'est travail l'homme c'est s'élaborent moyens technique s'amélicrent nature sort hommes panégyrique devient plus compréhensible quand sait qu'il émane d'un ingénieur travailjlant bureau ingénierie implantation d'usines autres sujets manifesièrent cppesition franche l'édifice qu'ils construit n'est tout agréable sais pourquoi j'en mis quand pense mot usine vois grandes cheminées crachent senti mauvais résignation maussade c'est utile ennuyeux aussi note triste côté fonctionnel gagne-pain d'intérêt donc plupart sujets plus n'ont spontanément envisagé l'existence usine près village comment réagirent-ils question y-aurait-il usine village refus décidé deux tiers d'entre catastrophe voulez absolument qu'il serait-elle fabri- queraïit-on certains irréductibles quart environ ceux répondu négativement question précédente entêtèrent refus j'aurais tout fait ficher l'air repondit conviction ingénieur plus conciliants acceprèrent d'envisager l'éventualité proposée quelquefois mauvaise humeur non dissimulée d'autres exprimèrent hostilité l'usine d'une façon plus détournée l'imaginant plus loin possible diable caité ment l'extérieur sous terre voire invisible miniaturisant deux afeliers petite industrie presque artisanale unanimement insistèrent propreté polluante sentant mauvais odeurs fumées quelque chose fasse bruit poussière quant produits sortiraient cette usine acceptée tant peine doutons qu'ils s'inscrivent très exactement prévisions plan produits alimentaires conserveries coopératives agricoles vinrent tête réponses ainsi usines textiles ateliers confection certains sujets précisèrent qu'il devait s'agir textiles naturels laine soie d'autres évoquèrent vêtements tissés partir laine moutons traitement peaux brebis puis vinrent scieries travail cuir tannage confection chaussures l'utilisalion boïs sous forme d'usines pâte papier proximité village rappelée usines vocation agricole machines agricoles outils agraires engrais maïs traitement matières premières acier caoutchouc matières plastiques fabrications plus spécifiquement industrielles mécanique électronique représentèrent ensemble réponses aucune raffinerie pétrole aucune centrale atomique citées hostilité profonde sujets l'univers industriel explique certainement cette insistance l'usine utilise produits naturels lait légumes bois textiles cuirs comme soulignait directeur d'une grande société pétrolière propos levée boucliers suivi projet d'implantation d'une raffinerie beaujolais chez contradiction fondamentale français veulent bien pays grande puissance hurlent indignation chaque fois l'on essaie d'installer 10. m.g ci. 143. ymond haumont 11. faure paris pur apparlenances délirant 12. cit 14.18 ymond haumont 13. arthus test d'activité créar village psyché 9-10 1947 trice
7,8,usine s'écriail groupe non n'est vraiment usine ingénieur pensé l'endroit. finalement peut demander beaucoup français l'usine idéale n'esl celle décrivait sujets usine désaffectée tombée désuétude comme carreaux cassés envahie lierre. aucun arbre abattu cetie abondance scieries 1maginées constructeurs faudrait déduire qu'ils accommoderaient assez bien d'un paysage déboisé contrairement toute logique mêmes sujets témoi gnèrent d'un attachement extrême arbres parmi éléments lest village arbres représentent catégorie plus nombreuse dix-sept arbres ronds dix-sept sapins deux triangles verts symbolisant général arbres taillés l'ensemble matériel utilisé moyenne sujels arbres l'ont cet attachement retrouvons réponse question manqué matériel réponse plus fréquente celleci arbres verdure paradoxalement l'absence d'éléments l'on s'attend trouver tout village faiblement remarquée boulangerie manque matériel mabille réclamée sujets garage d'entre seulement l'attachement arbres manifeste ici mode symbolique réalité trouve sen expression protestations véhémentes accompagnent tout abattage d'arbres fussent-ils vieux malades sans doute est-ce éviter protestations palissade cache travaux métro régional croisement boulevards saint-michel saïnt-germain paris s'étale caractères d'affiche cette assurance aucun arbre abattu. aurait-on jugé utile temps baron haussmann non plus ménager arbres rassurer ainsi parisiens sujets manifestèrent goûts très bucoliques demande quelle promenade préférée village minorité indiqua lieu promenade l'intérieur village autres malgré suggestion implicite contenue forme question choïsirent marcher long rivière forêl iravers campagne quelqu'un vient visite village est-ce vient-il faire réponse questions visiteurs variés lars amis sujet membres mille touristes évêques confirmation étrangers artistes voire personnages 1mpi vus aston ous retrouvé auss travers certaines réponse l'opposition déjà signalée frs ensembles l'usine promo eur veut envahir village industriel construire usine veut repart catégorie plus nombreuse réponses celle personnages officiels l'image marque îrés différente suivant qu'il s'agissait président république l'envoyé .du ninistère député préfet us-préfet président république être lointain rarement cité petit village mérite visite l'envoyé ministére provoque certaine inquiétude voit pointer technocrale vois tout suite quelqu'un ministère dirait ji1 faut tout bouleverser devenir grand lieu vacances. loi passera village restera inlacl restent député préfet sous-préfet enquête conduite fin année 1971 auprès échantillon représentatif population parisienne comportait entre autres question qu'est-ce préféreriez être évêque colonel député l'évêque obtenu voix colonel député autres sujets prononcés gageons préfet mis balance trois personnages recueilli plupart suffrages c'est moins réponses sujets permettent d'augurer car député faut bien dire bonne presse traité politicien véreux supposé venir rallier suffrages représente tantôt pis-aller député viendrait chercher voix répandrait bonne parole j'irais voir faut voter député place éviter avoir pire tantôt l'homme abattre dérangerais sauf c'était réunion électorale présenter contradiction principe gouvernés impq one 1es personnages offciels plus souvent cités symbolisent fête inaugurent tour bras comice agricole nouvel hôpital monument bu- reaux crédit agricole nouvelle école trompettes 10n tambours majorettes viennent donner coupe l'équipe guérisseurs extra- rugby gagnante cours grande réception mairie sitent vieux village s'intéress enfants écoles rem ent prix village mieux quon villageois accueillent eur leureusement très chales enfants écoles mmajores café plein monde disco devant mairie rende hommages tamb rail petite place mani sujets semblaient souvenir leurs livres class évoquaient attendrissant sous- d'alphonse daudet monsious sous-préfet invoque muse comices agricoles crayon levé commence déclamer voix cérémonie messieurs chers administrés este c'est méchant demandent jes vic lettes vieux rossignol répond tout l'un sujets affirmait écho lile visite comme c'est sûrement très bien village vœu faire entrer soleil partout tout temps peuples terre révéré glorifié déifié soleil connaît l'importance religions solaires .de l'amérique pré colombienne maïs egyptiens babyloniens peuples nordiques rendaient aussi culte l'astre roi temples soleil orientés selon lois astronomie témoignage hommage ancêtres soleil ciel pasteur l'humanité qu'en est-il maintenant hommes temps n'ont-ils conservé culte soleil désacralisé certes aussi vivace qu'autrefois c'est tout cas laïisseraïient supposer réponses sujets question comment orienté village quelques-uns évoquèrent l'orientation tradition nelle l'église chœur tourné vers l'est d'autres réfugièrent facilité comme carte nord haut. grande majorité d'entre s'interrogeait comment faire village ensoleillé maximum loin solskifts villages solaires régions balir ques reproduisaient trajet toire quotidienne soleil rue principale orientée nord-sud maisons disposées côté ordre hiérarchique débutant côté ouest façades maisons donnent toujours rue jouissent toujours voir sondages 1972 bars 15. daudet lettres mot livre poche 1970 16. hymne hittite cité amp hymnes prières soleil forca robert morel 1962 149
8,9,tüate rincive interprétation llage ndres invernle reçoit psychology deviendra d-apparatus comporiant qu'il iser animaux ules métal modeler 0seta boîte remanié étudié monde autriche parvient beauront ère fois décident tre pays village tblication d'henry tion non ille différent veille groupement age proposé chielli inaire c'est ouvrage test 1amp alors appliqué otmaux livre ilé grande dlogie ffectue iechniques codification test devrait favoriser diffusion multiplicité matériels village trois matériels standardisés sas compter ceux francs-tireurs nombreux sûrement nui diffusion rendant malaisées études d'ensemble test matériel mabille utilisé l'enquête comment veulent vivre français s'est révélé plus fécond seul inspiré quaire fois plus d'études tous autres réunis comporte cent trente-cing éléments représentant village miniature églises assembler bâtiments pourvus d'inscriptions diverses corps maisons toits ponts porches arbres bâtonnets différentes tailles personnages animaux tout couleurs vives matériel déversé centre d'une table carrée dimensions standards sujet prié construire village sans auires précisions lie temps libre l'utilisation complète matériel n'est obligatoire psychologue assis côté légèrement arrière sujet observe déroulement construction puis demande sujet commenter village questionnaire d'une vingtaine questions ensuile posé enfin associations d'idées demandées propos éléments paraissent plus significatifs constructions insolites pièces mises valeur onf posé problèmes pendani construction éléments rejetés etc relève ensuite plan village l'aide diverses techniques plus rapide sans doute celle consiste fixer table avant construction feuille papier kraft tracer ensuile contour pièces posées cette feuille également possible d'utiliser méthode mise point faure c'est-à-dire reproduire village l'aide tampons caoutchouc portant réduction around dessin éléments matériel pholo n'est d'un emploi habituel car permet relever inscriplions portées pièces l'interprétation test village s'effectue tenant comple éléments suivants méthode construction sujel comportement gestuel attitude face éléments matériel qu'il dit village sponlanément ouù réponse questions posées plan village terminé répartition différentes zones table chacune porteuses d'un symbolisme l'espace vécu ressenti non neutre particularités construction l'emplacement matériel également porteur d'un symbolisme peut être commun 1ous sujets particulier tel d'entre d'où l'intérêt associations d'idées pièces autres épreuves projectives test village vise étudier aptitude particulière conune mémoire l'attention c'est méthode d'investigation globale personnalité didier anzieu livre méthodes projectives cite secteurs personnalité repérables tests projectifs peut considérer test village explore plus parliculièrement suivants réalisation sujet œuvres intérêt adaptation sociale maturilé émotionnelle degrés histoire personnelle qu'elle formateur traumaltisant conflits tendances névrotiques traits caractère rapports soi-même bref reprendre expression cet auteur test village dévoile qu'il stable aussi noué travers activité ludique créatrice général très bien acceptée passionnante observer claude lhot
9,10,jeil levant soleil couchant plus étonnant sem ble bien certain nombre sujets groupe guirs cultivés île rappelons points cardinaux valeur purement affective romains sait attachaient signification inquiétante ccôlé gauche set tra ressenti comme maléfique nord l'esprit ques-uns constructeurs hérilé cette valeur péjorative pièce d'eugène jonesco formidable bordel l'ancienne propriétaire d'un appartement vante successeur charmes banlieue sud plus près l'équateur dit-elle banlieue nord donc beaucoup plus chaude bénéficiant d'un ciel plus bleu soleil plus grand exagération destinée produire effet comique retrouvons tout cas attltude envers nord sud test village qu'un sujet oriente telle telle maison façon qu'elle tournée vers sud reçoive donc maximum chaleur rien plus compréhensible qu'il ressente comme froide triste sombre partie nord village voilà plus curieux ... assimilation fait entre quartiers nord régions polaires entire quartiers sud régions chaudes alors réalité kilomètre maximum séparerait quelques exemples réactions surprenantes sud gauche village droite déjà forêts mets nord fera trop dramatique village nord. sud haut parce nord représente peu froid vide centre d'intérêt village peu construit bas table nord cet angle l'angle question comporte gare tout n'est beau n'aime mets nord gare c'est toujours affreux travers réflexions survit mentalité très ancienne rapoport rappelle qu'au japon jusqu'en 1930 maisons dessinées devins l'étaient selon orientation rituelle tenait grand compte caractères bénéfiques maléfiques certains points cardinaux retrouver courant chez hommes instruits seconde moilié xx° siècle incite penser l'espace continue être vécu d'une façon subjective parfaitement irrationnelle soleil vainqueur nuit passe aisément soleil vainqueur mort civilisation occidentale culte presque païen placèrent cimetièr soleil manifeste aussi bien l'obsession bronzag mode vacances joujours plus jeté véritable intercx mot honteux aujouré parler mort rements comme autre honteux parler sexe plaisirs bienséance interdit lésormais toule référence mort c'est morbide parle comme n'existait seulement gens disparaissent dont parle plus dont parlera plus tard quand oublié qu'ils morts cimetière lieu oublié lebrun oppose lente désaifection populations l'égard cimetière paroissial depuis qu'il devenu lieu clos silencieux presque interdit morts dorment dernier sommeil viennent plus troubler vivants qu'il jusqu'en 1750 lieu passage réunion côté l'église centre village quartier urbain l'on devisait haute voix avant pénétrer sanctuaire marchands étalaient volontiers leurs produits sûrs rencontrer clientèle petits grands couraient jouaient voire dansaient entre tombes l'on s'offusquait voir paître vaches porcs test village cette lente désaffection l'égard cimetière aboutit terme plus radical suppression quasiment complète rappel muet gêénant d'une réalité hommes lemps désirent oublier pourtant sont-ils nombreux villages français dépourvus cimetière a-t-il beaucoup lesquels monument morts absent modèle qu'est village réel comporte coup sûr deux témoins fragilité d'autant plus surprenant constater seulement sujets construisirent cimetière monument morts beaucoup cependant soulignèrent vieilles personnes nombreuses habiter village sans imaginaientils immorconstiuits plu cimetières este coca inpor tante sujets sible quand sonnes agé ente-huit perse soixante-dix quatre-vingt-huit ans fai saient partie groupe étudié ici six seulement peine vilconstaration tend l'éventualité envisagée lage cette confirmer réserve ariès droit penser cult tombeaux condamné raître français rasseront leurs morts bar crétion leurs voisins v'eu disdu nord-ouest.21 arope ainsi travers exem diés ci-dessus précise ractéristiques notio tude caractéristique relevée maisonneuve prêter fois approche qualitative interview clinique approche quantitative trait ment statistique question naires l'approche qualitative représentait test village témoin goûts préférences méfiances refus sujets confirmé résultats d'an proches quantitatives enquêtes sondages d'opinion semble bie qu'aux différentes sources d'informe tion psychosociologie divan psychanalytique laboratoire terraïn jeux l'usine commu nauté résidentielle l'échantillon prélevé hasard vaste pulation légitime d'ajouter certaine lecture techniques projectives lecture non plus seule ment individuelle comme pratique habituellement lecture collective au-delà différences singulières mous permet d'apprécier réactions spontanées communes groupe sujets claude lhote bles étu can atti 17. rapoport anthropologie maison paris dunod 1972 18. voir rapoport cit. 19. ariès vie mort chez français d'aujourd'hui ethnopsychologie mars 1972 20. lebrun honunes mort anjou xviie xviiie siècles paris haye mouton 1971 450 21. ariès cit. 22. maisonneuve ntroduction psychosociologie paris p.u.f 1973 106. savoir davantage ouvrages indiqués ci-dessous concernent l'interprétation indivi duelle test village connaissance rien n'est paru interprétation collective anzieu méthodes projeciives paris p.u.f 1961 arthus village test d'activité créatrice paris hartmann 1949 faure hallucinations réalité perceptive paris p.u.f. 1965 mabille technique test village revue morphophx-siologie humaine 1950 mazerol contribution l'étude personnalités délin quantes apports test lagc annales vaucresson 1966 19701 monod manuel d'application test village technique projective non verbale neuchâtel delachaux lniestlé 1970 mucchielli jeu monde île test village imaginaire paris p.u.f 1960
