,page,text
0,1,lars 1677— picconnaissance beugiquerz9eby abonher voyez page
1,2,"perdre een eme com voici réunisenunseul livre mille conseils recettes livre vient heure moment l'on redécouvre vertus bienfaits nature trouverez classés neuf chapitres plantes guérissent savez-vous plus 400 l'oignon fontifiant bienfaits l'eau eaux bâtisseurs mer secrets l'homéopathie recettes diététique avez-vous c3s3yé règles l'hygiène vie citron chaud contre rhume comment pouvez servir l'acupuneture tout vertébrothérapic l'art rester jeune longtemps guérir foulures plaies trouverez également connaissez-vous douleurs symptômes l'argile vicux remèdes correspondants rien d'autre acheter pes l'encyclopédie pobll secrets 608 centaines pages photos dessins couleur reproductions sxamen gratuit die mieux-être mieux vivre recon ardenne tout monde devra vers soigner séder sent res sante sécs 75391 m'untcresse luis ments nigs demandons d'acquènir premiere 2375 459 previeuse encyclopälie yeux fee ines rémuucs ttes 4500 met sans l'avoir moins parcourue d'autrefois recettes autres 23,75 m'engage d'auue pourquoi culture art loisirs temerra invite reccruir gratuitement chez his fais rendant dix jours n'est qu'après l'avoir lue scule prendrez décision savon voulez garder —————— profiter toute tie renvoyer culture 114 chuups elysées lolsre fs3a1 paris cer von men"
2,3,"connaissance autres psyhoiorie connaissance soi mars 1977 forum lecteurs écrivent quiz mois etes-vous créatif jean-louis sellier ———— ————————————— editorial liens sang jacques mousseau société passe-t-il tête d'un otage peur sympathie yannick bourdoiseau débat autour d'uri geller continue parle frontières psychologie nouvelle technique relaxation biofeedback peut-être substitut positif tranquilllsants docteur anne blanchard rémond sexologie odeurs l'amour rapports entre l'odorat désir marie-france elliott bref france bref canada connaissance soi différents états conscience réalité qu'explore psychologie expérimentale roland fischer bref allemagne psychologie expérimentale comment nouveau-né voit monde plus nettement qu'on croit daphnée charles maurer psychologie comportement rencontre l'analyse transactionnelle méthode changer soi-même alain sarton librairie actuels herbert marcuse bien naître michel odent dernières parutions who who psychologie prochain numéro paraîtra jeudi avril ertnen partners ace —————————————— psychologie edite centre d'etude promotion lecture abonner departement retz 114 champs-elysees 75008 paris 359,84.16. voyez page"
3,4,développez pouvoirs esprit relaxant nouvelle méthode permet week-end d'apprendre relaxation développer puissance mentale stress vie moderne émousse facultés créativité personnelle mémoire forme psychique dépendent grande partie l'activité subconscient pouvoir subconscient peut être éveillé méthodes purement mentales c'est qu'on appelle dynamique mentale dynamique mentale permettra tout d'abord découvrir maïtriser état relaxation physique mentale appelé niveau alpha suivi séminaire alpha pourrez recréer cet état loisir s'armer plan psychologique dynamique mentale permettra ensuite d'utiliser niveau alpha préparer psychologiquement situations difficiles vaincre trac préparer compétition sportive examen mieux communiquer voire plus fumer vivre expériences parapsychologiques après exercices concentration d'intuition vivrez expériences parapsychologiques étonnantes prouveront l'existence facultés insoupconnées sommeillent recevoir gratuitement article paru psychologie dynamique mentale suffit découper renvoyer bon ci-dessous s.f wagram paris 17e prochains séminaires alpha paris 9/10 avril 18/19 juin 7/8 mai 23/24 juittet marseille 4/5 juin lyon 28/29 mai strasbourg 16/17 avril st-etienne 19/29 mars bordeaux 23/24 avril bruxelles 9/10 avril 28/29 mai bon gratuit découper recopier adresser sodiac formation wagram 75017 pañs recevoir sans engagement part l'article psychologie dynamique mentale renseignements séminaire alpha ville dates nom prenom rue code postal ville psychanalyse sophrologie psychologie publié entretien jean-claude macquet professeur alfonso caycedo fondateur sophrologie suite cetle publication rious reçu lettre suivante docteur roland cahen l'introducteur jung france président société française psychologie analytigue président société française sophrologie publions également réponse professeur caycedo propos docteur cahen cet échange d'arguments donne l'occasion gualer publication livre docteurs boon davrou jeanclaude macquet sophrologie éditions retz 1977 récemment revue psychologie publié numéro d'août 1976 entretien professeur caycedo j'ai grand intérêt tant président société française sophrologie devoir relever point important nom personnel comme nom bureau société mettez épigraphe entretien cours voyage orient j'ai renoncé psychanalyse raison mettre cette phrase épigraphe car très importante explique pourquoi divergences tensions qu'il qu'il encore entre groupement espagnol sophrologie société française veux polémiquer ici éminent ami professeur caycedo cette position qu'il fait sienne exige tout quelques réflexions tout d'abord vourlait peut-on renoncer psychanalyse alors tout champ psychiatrie contemporaine médecine psychosomalique méthodes relaxation imprégné apports méthodes analytiques retours arrière plus possibles professeur caycedo cette prise position met marge mouvement pensée plus fécond siècle pouvait-on après découverte circulation sanguine harvey continuer penser vie philosophie médecine comme avant découverte circulation sais bien comparaison n'est raison parallèle vient l'esprit car exprime bien quel niveau d'importance situe découverte l'inconscient l'inconscient opérationnel vie pratique comme vie mentale tous jours comme aussl techniques psychothérapie dont fait partie sophrologie donc sens prétend peut fait renoncer psychanalyse sens large terme auteur situe contre rapport plus moins constamment nourri quand exemple citer fait professeur caycedo dit qu'il renonce relation classique entre médecin malade produit pendant pratique méthodes psychothérapeutiques conventionnelles connue sous nom transfert peut dire faire écrire peut faire puis transfert partout c'est modalité particulière transfert contre-transfert qu'il évoque sans vouloir sous nom excellent alliance jours peuvent finalement renoncer psychanalyse l'inconscient esprits profondément goûté quand j'ai rencontré maintenant bientôt dix ans professeur caycedo conjonction pâtrimoine oriental patrimoine occidental promettait ouvertures assez inouies revanche vouloir rejeter part essentielle patrimoine occidental rejetant psychanalyse garder face mondes orientaux conscient behaviorisme exemple amputation contorsion auxquelles pouvons absolument souscrire condamne sophrologie ainsi conçue stérilité hélas peu près certaine car récuser psychanalyse c'est fait couper l'inconscient nier l'existence arbres poussent sans plonger profondes racines humus comme conscient peut s'élever sans s'enraciner profondément majestueusement sous-structures inconscientes quelles vues théoriques l'on affectionne sujet définitivement établi reconnu l'immense majorité toutes écoles psychologiques l'inconscient tout état cause est.l au-delà toute doctrine théorique positions divergentes entrai+ cahen préface dialectique l'inconscient c.g jung paris gallimard coll idées
4,5,"nent différences thérapeutiques pratiques capitales peut plus peut moins l'inverse n'est vrai s'enferme moins peut aspirer large respiration plus agit cela d'une position doctrinaire académique bien d'une optique oblige réfléchir l'essence sophrologie cheminements efficacité sophrologie grande part présente comme porte ouverte l'inconscient travers états hypnoïdes plonge sophronisation vouioir nier quoi précisément ouvre porte semble contre sens indéfendable insoutenable pires conséquences plan pratique nier l'inconscient singulièrement l'objet d'étude psychanalyses nie coup écoute respect être modalités d'existence dialectique conscient coup lieu pouvoir espérer déboucher dialogue fécond entre personnalité consciente personnalité inconsciente vue d'une harmonisation polarités contraires sommeillent chacun contraint remplacer cet univers génésique non dit prescriptions attitudes contenus mieux sagesses peuvent émaner conscienciel bref sophrologie amputée l'inconscient psychanalyse maniée grands maîtres vie l'esprit pourrait déboucher dernière analyse autoritarisme subjectif savoir légaliste osons écrire mot caporalisme voué imposer recettes petites grandes dès lors c'est ouvrir porte graves dangers fait régner l'inconscient méconnu ligote audacieux négateur mille liens surmoi j'insiste point c'est l'inconscient nié négativé occulté bien plus dangereux qu'un inconscient reconnu accepté assumé cela doublement part d'une discipline dont part essentielle l'activité traverse meilleure connaissance conscience champs inconscients cela n'est seulement île programme sophrologie c'est celui-là pensée moderne plus avancée roland cahen professeur caycedo créateur sophrologie médicale presque dix ans connais docteur cahen j'ai toujours l'estime l'admiration valeur humaine interrogations scientifiques non seulement honoré assistance l'occasion plusieurs cours d'initiation j'ai donnés médecins l'ecole internationale sophrologie médicale barcelone participé quelques-uns congrès symposiums j'ai également satisfaction recevoir personnellement clinique privée barcelone observé traitement sophrologique quelques patients j'ai plaisir d'assister consultation paris réaliser film façon avis originale dont unir techniques sophrologiques procédés psychanalytiques sans édulcorer unes autres après tant rencontres après explications données fondements sophrologie n'ai réussi faire comprendre peux reconnaître manque don capacité pédagogiques sujets qu'il évoque aujourd'hui publiquement traités maintes fois discussions privées l'occasion cours réunions auxquels assisté j'aimerais faire taires suivants n'existe aucune tension entre groupe espagnol sophrologie société française qualité science médicale sophrologie reconnaît aucune frontière car base philosophique humanisme universaliste certaines positions comme celle illustre ami prétendent créer frontières doit avoir savoir science docteur cahen s'inquiète parce j'ai renoncé psychanalyse lors voyage orient avance lettre renoncement impliquerait négation l'inconscient pensée plus profonde siècle inexact sophrologie nie l'existence l'inconscient simplement considérons conscience humaine réduise fonction rationalisation l'inconscient fait partie conscience laquelle reconnaissons seulement l'existence plans rationnels irrationnels structures présentes latentes sous-jacentes illustre ami amalgame sophrologie techniques psychothérapiques cela absolument inexact sophrologie école j'ai fondée 1960 trois objectifs fondamentaux ici commen2 n.d.l.r voir sujet sophrologie boon davrou j.-c. macquet paris retz 1977 comment j'ai appris télépathie æen allant diner chez docteur mardi dernier m'attendais vraiment vivre uno extraordinaire séunce télépathie apprendre tous los secrets ... pourtant bion pussé picrre invités annonça après diner qu'il allait livrer cxpérience transmission pensée proposais envoyer message télépathique dovions choisir profession comme onze heures sonnuicnt clocher voisin j'eus idée proposer sonneur cloches piorre ferma yeux annonça après deux minutes recueillement j'entends bruit cloche ... vois homme secoue barre comme gauler noix serail-ce sonneur cloches della façon vina dessins décrivit personne connaissait dont donna seulement nom mau curiosité comble félicitais mandais comment procédait extrêmement simple tout monde peut fnire autant m'expliqun comment concentrer recevoir images télépathiques proposa essayer stupéfaction générale j'obtins bons résultats devinant bonne réponse plus deux tiers cas comme m'étonnais progrès pierre conseilla livre récent conseillé professeur robert tocquet parapsychologue permis découvrir développer facultés télépathiques procuré cet ouvrage dynamique mentale chezson auteur christian godefroy spécialiste développement facultés psi animateur séminaire alpha sde dynamique mentale livre met l'accent partie pratique recherches scientifiques parapsychologic trouvé comment perfectionnerla télépathie comment développer double-vue extériorisation sensibilité dédoublement prémonition rêve lucide j'ai appris gouverner rêves résoudre problèmes dormant sais comment contrôler douleur aider entourage soulageont certains maux effort mental plus pratique exercices permis devenir maître émotions tout cela peut sembler trop beau être vrai consoille vivement vérifier vous-même écrivant dès aujourd'hul auteur engagé rembourser tout lecteur seraitpas satisfait après avoir examiné livre huitaine jours ecrivez donc part christian godefroy 27760 ferrière risle joignant noms adresse règlement 49,50 recevrez livre retour louis berald résumé ouvrage utile intéres sant original robert tocquet revue metapsychique 142 bon gratuit découper recopier adresser godefroy 661 27760 ferrière recevoir l'essai pendant jours livre dynamique mentale ci-joint chèque 49,50 nom code postal ... meneenennsee ssursrsees css profession ... anrt ieee eete"
5,6,l'étude scientifique conscience humaine médecine pratique d'une philosophie humanistique l'emploi d'une méthode d'entrainement personnalité d'une thérapeutique docteur cuhen oublie deux premières prémices moitié troisième l'aflirme aussi rejetons psychanalyse garder méthodes orientales tiens souligner sophrologie médicale école occidentale appuyée phénoménologie c'est seulement quelques techniques qu'elle s'est inspirée certains procédés orientaux d'entrainement personnalité enfin docteur cahen cst préoccupé possibilité voir sophrologie médicale sombrer autorilarisme subjectif l'école sophrologie médicale entend maintenir limites règles science occidentale histoire exemple plusieurs symposiums nationaux internativnaux deux congrès mondiaux île démontrent cherché réaliser travail d'équipe rechercher vérification scientifique idées seule démarche admise pensée médicale occidentale contraire ferait tomber discussions stériles querelles mots plus souvent peuvent servir remplir pages animer discussions salon professeur alfonso caycedo psychologie comique pourriez-vous m'indiquer ouvrages concernant techniques psychologie comique j.p.- marseille comique sens général renvoie rire donc domaine émotions henri bergson écrit ouvrage célèbre rire paris p.u.f. sigmund freud publié 1905 mot d'esprit rapports inconscient paris gallimard 1953 ernst kris psychanalytic explorations art international universities press inc. 1952 consacré chapitre développement lego comique rire comme moyen d'expression notes font référence d'autres auteurs michel melot vient faire paraître bibliothèque arts l'œil rit pouvoir comique images l'auteur étudie techniques représentalion conditions esthétiques permettent l'artiste l'image fixe faire par- tager public différents sourires différents rires devant monde cependant l'ouvrage plus récent vise explorer psychologie l'humour rire sous multiples aspects humour and laughter theory research and applications publié sous direction a.j chapman h.c. foot chichester john wiley and sons aspecis techniques comme aspects théoriques comique traités cet ouvrage rap pelons enfin l'article david cohen publié précédent numéro psychologie février 977 consacré liravaux récents psychologues rire lravaux firent l'objet d'un congrès mondial cardiff pays galles juillet dernicr marcel turbiaux rythmes font l'homme etudiant anthropologie j'ai décidé d'axer mémoire maîtrise rythmes font l'homme rythmes cœur marées rythmes mentaux cosmiques ondes leurs vibrations constituent champ d'intuition préféré avant choisir terrain plus limité tel celui voix j'aimerais m'immiscer méandres mondes lecteur fidèle psychologie sais ressources vôtres avoir puisé maintes reprises fait sait dit quoi demaine telle question laquelle toute réponse limitée bienvenue paris l'étude rythmes biologiques chronobiologie dit-on maintenant milieux scientifiques discipline plein développement tant france l'étranger publications spécialisées congrès internationaux voient jour cadence accélérée voici quelques indications bibliographiques permettront pénétrer l'espère retrouver monde passionnant bien qu'encore peut mystérieux profane quelques noms d'associations tout d'abord france s'est créé quelques années groupe d'étude rythmes biologiques dont secrétaire général professeur lucien baillanid adresse laboratoire biologie végétale rue ledru 63000 clermont-ferrand groupe rassemble près deux mille membres actifs chercheurs confirmés tous domaines rythmes édite également bul
6,7,letin trimestriel auquel ppossible s'abonner etats-unis exisie l'importante international society for chronobiology secrétaire trésorier docteur lawrence scheving department anatomy university arkansas little rock arkansas 72201 u.s.a. cette société édite revue chronobiologia fait comptes rendus tout publie monde rythmes très intéressant aussi non plus axé uniquement rythmes biologiques aussi tous rythmes l'univers interaction mutuelle l'international institute for interdisciplinary cycle research publie depuis 1970 très ouvert varié journal interdisciplinary cycle research dont l'éditeur chef docteur solco tromp steenlaan oegstgeest leyde pays-bas revenons france citer organisme plus spécialisé l'étude l'homme l'influence possible cycles cosmiques laboratoire d'étude relations entre rythmes cosmiques psychophysiologiques rue amyot 75005 paris dirigé michel gauguelin dont publications depuis 1970 nombreuses parmi ouvrages d'informations donnant grandes tendances actuelles chronobiologie faut noter notamment rythmes biologiques reinberg ghata paris p.u.f. coll sais-je introduction assez classique question rôle encore discuté passionnant peuvenl avoir cycles cosmiques comportement êtres vivants pouvez lire deux ouvrages sous signature horloges cosmiques paris denoël 1970 rythmes biologiques rythmes cosmiques bruxelles marabout-université 1973 langue anglaise ouvrages plus instructifs avis the biological clocks brown coll new york academic press 1970 the living clocks ward new york alfred knopf 1971 puisque aimeriez spécialiser plus tard l'étude rythmes rapportant voix signale l'ouvrage suivant rythmes compte rendu d'un colloque publié 1968 l'institut d'audiophonologie lyon lyon simep michel gauquelin lecteurs psychologie quand écrivez veuillez joindre enveloppe timbrée réponse merci sfr cus dfe série rat voîre écriture tevc eva visage peut mentir voix peut tromper l'écriture ment c'est st. ivrai presque toutes offres d'emplois portent mention écrire lettre manuscrite añin permettre chefs d'entreprises sélectionner candidats graphologie i.p.s. réunit meilleure équipe graphologues français offre démonstration gratuite suffit cela écriviez quelques jignes l'encre l'espace ci-dessous sans oublier signer retour recevrez diagnostic révélera traits dominants caractère décidé donner suite premier contact contribuerez enrichir service recherches étonné vérité denos révélations découpez bon adressez-le joignant enveloppe nom timbres frais lp.s. 277 rue saint-honoré paris boîte postale 53-08 paris-8° 00000oo0so0cne grapho-test gratuit écrivez ici recopiez simplement cette phrase désire recevoir sans engagement part diagnostic gratuit écriture nternatonat psvcuo-servige 271 santhonore paris
7,8,
8,9,etes-vous créatif jean-louis sellier l'on croit sagesse nations plus facile d'avoir idée mettre pratique bon gausser génies méconnus périodiquement crient eurêka proposent théorie plus moins fumeuse appelée esprit régler fois toutes problèmes tracassent leurs contemporains prophètes sens commun objecte juste titre comment prendrez-vous réaliser idée quoi génie comme chacun sail ailes non pieds terre sait répondre rieurs côté sens commun consolent aisément n'avoir d'idées tout tellement pénible d'avouer qu'on d'imagination moins pénible toul cas couvrir ridicule pouvoir appartient l'imagination aussi l'usage veut l'on délègue pouvoir créativilé quelques marginaux l'on admire volontiers gardant bien ressembler moins chanceux rejoignent troupeau personnages incompris cités plus haut plus heureux bâtissent empires reçoivent prix nobel attendant avoir statue ——— petite étincelle petit quelque chose tout coup l'esprit donner naissance idée révolutionnaire hlustration patrick couratin c'est très bien ainsi lle plus grand nombre échappé affres l'enfantement quelques volontaires privilège peu envié d'accéder mystère création l'on analysait comportement plupart d'entre travail aussi plus souvent loisirs étonné voir quel point créativité volontairement sciemment réprimée étouffée tarie comme sil s'agissail d'une chose admire chez autres dont honte soi-même plaint .ensuite d'être enfermé routines subir lent conditionnement avoir moyens s'exprimer librement ... créativité n'est-elle l'affaire chacun d'entre vie tous jours gestes travail est-elle privilège quelques savanis penseurs artisles promoteurs d'idées chacun n'est-il manière degré quelconque créateur comme tous enfants beaucoup âmes simples questions lecteur invité poser non manière aussi abrupie biais d'une analyse comportement penchanis opinions créativité domaine très vaste met jeu ressorts psychologiques variés distinguerons trois types comportement bien distincts appelerons novaleur imaginalif chercheur afin fausser jeu n'en donnerons clé suite questionnaire comment répondre questionnaire lisez chacune propositions cidessous d'accord proposition exprime sentiment manière d'être plus fréquente plus caractéristique entourez d'un cercle oui n'êtes d'accord tout fait d'accord entourez d'un cercle non question comporte deux propositions distinctes choisissez celle convient mieux moins éloignée point vue entourez d'un cercle lettre correspond réponse pouvez choisir entre deux réponses proposées passez question suivante évitez laisser trop questions sans réponse sinon résultat dépourvu signification ——— moment autre existence élé pris démangeaison d'écrire créer œuvre d'art serait-ce plaisir personnel non —————— souvent arrivé apesantir longuement ptroblème sans entrevoir solution constater celle-ci surgissait esprit moment attendiez sans pouvoir déterminer quel cheminement s'était imposée non
9,10,organisme privé d'enseignement distance fondé 1953 régi lot 12/7/71 cours correspondance cours oraux sessions conférences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient caractérologie morphopsychologie graphologie orientation sélection professionnelles inscriptions toute l'année rythme d'étude individualisé frais d'études comptabilisables dépenses formation permanente documentation gratuite gaillat villa st-pierre 94220 charenton tél 368.72.01 analyses sélections professeurs initiation techniques parapsychiques déclencher développer maitriser facultes supranormales méthode essentiellement pratique l'exposé complet techniques secrètes utilisées asie europe afrique shamanes sibériens mongols lamas tibétains taoïistes chinois féricheurs africains derviches arabes sorciers amazoniens fakirs yogis indiens sujets traités hypnose magnétisme voyance dédoublement auto-hypnose télépsychie rélépathie fakirisme psychourgle tréléplastie télékinésie magie etc etc doc contre timbres coupons réponse internationaux mme pauze boîte postale 42001 saint-etienne-cedex lement habituel cour orifier sacrih pénible assister aimé dérange rlant diverses cela pensez qu'il impo dérober obligations vive admiralion dont travaux font fait pen- éprouve dont quelque sorte ser guide oui non sit uations critiques inattendues réclamant d'urgence s0lution fait preuve d'un sang-froid après coup vous-même étonné oui non quand lisez article expose théorie nouvelle facilement emballé cherchez aussitôt savoir plus long sujet oui non quand observe l'évolution mœurs obligé constater morale chose assez contingente matière sexuelle exemple certains sujets tabous deviennent anodins tandis autres domaines comme respect vie contemporains posent cas conscience n'auraient effleuré ancêtres non toujours l'affût nouveautés aimez bien tenir pointe progrès être courant tout fait actuelle ment oui non général quand veut abhoutir quelque chose faut pler soi-même personne mesure résoudre place lès problèmes conccrnent per- sonnellement oui non étcs capable conversation jet soulenir nimporle quel su- n'êles très bien informé trouvez lement quelque chose dire lénér oui non qu'ils mal pfendre saisir fond personnalilé bien volre vraiment fantasque 50e raison probable n'avez mêmes rêls n'accordez iné l'importance mêmes qu'eux °ses oui non parfois tombé nues parce ignoriez nouvelle faisait jourñaux depuis plusieurs jours .oui non arrivé poser questions j'évolution socié exemple deman der comment vivrons vingt ans oui pon less quand hasard met pré sence d'un auditeur complaisant profitez développer devant idées chères mêrme sentez l'attention qu'il prête due moins autant courtoisie intérêt véritable dites oui non toujours resté fidèle principes idéaux élé enseignés avéz adoptés jeunesse oui xon lier deux camps nettement tendance tervenir comme médiateur conflit auquel n'avez mêlé son.origine plutôt ral oui non arrive d'être frappé coïncidences surprenantes fair rapprochements entre faits n'ont première vue auctin lien entre oui non réputation d'avoir dir coup sens pratique petl débrouiller face problèmes quotidiens oui noù
