,page,text
0,1,émis psnae connaissance auire autres connaissance soi guérir phobies papa maman sexualité prisons-asiles u.r.s-s. .aglgique 79fb suisse f.s canada 1.75 net abonner voyez page
1,2,"chose imprimée briller société jouanne 47,50. savoir bien respirer m.-f. elliott france aix-en-provence libraïrie provence cours mirabeau asnières librairie nouvelle 10. rue maurice-bokanowski bordeaux librairie molat 83-91 porte-digeaux librairie saglima rue grossi chambery librairie savoie place métropole grenoble librairie arthaud grande-rue lille furet nord place g.-de-gaulle lyon librairie camugjli rue charité librairie flammarion centre commercial régional part-dieu rue docteur-bouchut marseille editions flammarion cannebière montpellier sauramps rue saint-guilhem nice librairie actual rue masséna librairie rudin félix-faure sorbonne rue l'hôtel-des-postes nogent-sur-marne librairie berthet 105 grande-rue charles-de-gaulle paris librairie flammarion italiens 75002 paris collections ceplsous direction dreyfus richaudeau 148 quai st-michel 75005 paris hit itèert jeune 257 run ars msg 4:40 pret l'éditeur sujets flèche librairie prélat rue petit-pont 75005 paris presses universitaires france saint-michel 75005 paris apostolat éditions 46. rue four 75006 paris fédération nationale d'achat cadres 136. rue rennes 75006 paris joseph gibert rue ecole-de-médecine 75006 paris librairie l'œil écoute montparnasse 75006 paris librairie procure rue mézières 75006 paris bon marché paris rue sèvres 75322 paris cedex chariot d'or bis avenue bosquet 75007 paris librairie julliard 229 saint-germain 75007 paris librairie carrefour montmartre 75009 paris printemps haussman 75009 paris weil rue caumartin 75009 paris gibert jeune saint-denis 75010 paris librairie parisienne radio rue dunkerque 75010 paris librairie appel voltaire 75012 paris atout livre 176. daumesnil 75012 paris librairie lamartine 118 rue pompe 75116 paris librairie paris 7.9 11. place clichy 75017 paris librairie 36. ternes 75017 paris atout livre 141 gambetta 75020 paris collections celt legende bergier char triomphal l'antimoine valentin clairvoyance prouvee cas gérard croiset j.-h. pollack chez libraires flèche parmi lesquels œil reims librairie michaud rue cadran saint-pierre saint-laurent-du-var panorama livre cap 3000 saint-mande atout livre bis rue maréchal-leclerc toulouse librairie privat rue arts tours terre hommes grammont verdun librairie ducher rue mazel belgique bruxelles librairie castaigne 34. rue fossés-aux-loups librairie libris toison d'or librairie sciences 76-78 rue coudenberg liège librairie halbart rue carmes mons librairie scientia 11-13. passage centre suisse geneve librairie université georg cie rue coratterie librairie payot canada montreal librairie flammarion 1243 université librairie renaund-bray 5212 côte neiges librairie garneau librairie scorpion"
2,3,psychologie connaissance soi connaissance autres octobre 1977 editorial ronron zizi jacgues mousseau forum voyage docteur lozanov connaissance autres six psychologues tempête naufrage hommes comme autres jean chaguiboff société paie paie marions-nous pratiques certaines agences matrimonlales jani brun bref france ———————— entretien vladimir boukovski asiles-prisons u.r.s.s propos recueillis fuller torrey bref etats-unis groupes rebirth nouvelle technique renaissance dominique levadoux bref belgique couple papa marnan sexualité qu'en pensent adolescents pocs godow w.l tolone r.h. walsh parle tabou menstruel l'inconscient sens hasard jung synchronicité etienne perrot psychologie comportement phobies thérapies comportement huguette viala bernard rivière parle télévision thérapie librairie savoir imaginer vidal séville l'amérique chaunu faits vie laing autres parutions parle voyage utopie who who psychologie psychologie edite centre d'etude promotion lecture rce departement retz 114 champs-elysees 75008 paris 359.84.16. are rss era
3,4,voyage docteur lozanov psychologie janvier 1977 publié article christian godefroy consa cré docteur lozanov cherclieur bulgare fondateur sus tologie suite celte publication reçu longue mise point gabriel râcle dtrecteur suggestologie canada publions ici l'essentiel texte ainsi qu'une brève réponse christian godefroy leftre d'une lectrice canadienne lettre gabriel râcle 1955 revue bulgare seuvremenna meditzina publiait article docteur georgi lozanov revue louis pauwels seule revue qualité consacrée pouvoirs inconnus l'esprit l'inex- quel celui-ci traitait notamment d'hypermnésie texte célèbre médecin bulgare publiait résultats observations cas d'hy- pliqué vie spirituelle permnésie suggestive ainsi certous deux mois taines conclusions cas sens arapsychologie lozanov rencontrés ors pratique psychothérapeutique oreligions car c'est précisément pratiquant psychothérapie faisant ogr res recherche recherches expériences souoscience magie vent relation l'hypnose intén certains cas intéressants parifois ovie intérieur spectaculaires attiré attenocrise eglises tion ainsi constater stéc initiati jusqu souvenir détails osaciétés inrtatiques dont connaiso civilisations disparues ohistoire occultismes olittérature métaphysique ospiritualité moderne.etc 302. bûn préférentiel d'abonnement réservé lecteurs cette revue ps93 renvoyer question 114. champsélysées 75008 paris abonnez-moi numéros question règlerai dès réception numéro lieu 108 numéro spécial valeur numéros prénom sance nombre marches d'escalier vitres d'une fenêtre salle travail boutons d'un habit etc ouvrage souguestologuia lozanov décrit exemple cas précis d'hypermnésie suggestive traitement thérapeutique étudiant plaignait n'avoir temps d'apprendre poème avant retourner classe lozanov ajouta alors suggestions traitement quelques éléments suggestifs concernant mémoire patient celui-ci revint lendemain criant miracle capable réciter tout poème sans problème après l'avoir entendu qu'une fois c'est précisément l'observation phénomène stimulé docteur lozanov l'hypermnésie suggestive phénomène décisif aiguillonné développement suggestologie. 1963 lozanov revient nouveau cette question autre publicationé 1964 n'hésite écrire l'hypermnésie sugges- code postal ville signature obligatoire tive fait aucun doute c'est alors organisées expériences systématiques destinées accroître capacité mémorisation création d'une atmosphère suggestive précisément l'entrevoit sans peine cœur création suggestopédie après quinze vingt ans d'expérience psychothérapie j'estime toujours qu'il existe domaine facteurs communication forment clé succès effectif méthode identifiant progressivement facteurs suggestifs j'en venu conclusion îles mêmes principes suggestifs s'appliquent tous processus pédagogiques processté pédagogique processus communication sans éléments susgestifs.° deux faits majeurs dégagent bref historique ler gagerment psychothérapeutique docteur lozanov l'émergence d'une nouvelle compréhension sus flœuvre psychothérapeutique docteur lozanov importante peut retenir quelques points saillants 1963 publie méthode psychothérapeutique spécifique méthode chuchotement 19. 1967 propose psychothérapie intéerale qu'il expérimente d'ailleurs groupes quarante soixante cent personnes laquelle travaillait depuis années résultats obtenus excellents confirment yeux lozanov conception d'un mécanisme suggestif thérapeutique commun pratiquement toutes méthodes suggestion peut désormais faire l'objet d'une science suggestologie étudiera tout domaine réactions psychiques non conscientes faiblement conscientes stimuli provoquent nouvelle conception suggestion avancée lozanov suggestif tout n'est rationnel conscient affecte cependant comportement personnes très souvent lorsque l'attention porte point informations voir seuvremenna meditzina 1955 69-70 observer l'hypermnésie suggestive dès premières années pratique médicale psychothérapeutique lozanov souguestologuia sofia 1971 chapitre intitulé précisément début premières étapes suggestopédie voir lozanov cit. lozanov cit. voir lozanov cit lozanov cit. voir lozanov cit suivantes lozanov expérience d'enseignement méthode suggestopédique ottawa 1975 286 10. voir lozanov cit. 145 11. voir lozanov cit. suivantes
4,5,type marginal transmises cerveau informations jouent rôle important relations humaines c'est l'étude stimuli lozanov collaborateurs consacreront nombreuses recherches parmi recherches entreprises lozanov penchera notamment certaines questions particulières exemple sensibilité dermique lumière perception dite extra-sensorielle tant phénomène non conscient effets musique intonations autres stimuli non spécifiques bien entendu comme souligne lozanov problème l'activité mentale inconsciente réfère seulement activités perception comprend aussi inclinations affections aspirations pratiquement toute l'organisation intérieure personne perdure hors centre l'attention partir quelques constatations fondées écrits éozanov facile discerner l'évolution itinéraire situer différents moments recherches vraie place passant psychothérapie pédagogie lozanov s'intéresse tout niveau non conscient action comportement chaque individu c'est temps moyen proposer thérapeutique plus globale pédagogie renouvelée suggestopédie c'est cette perspective qu'il faut voir travaux docteur lozanov relatifs parapsychologie n'est qu'une étape travaux d'ensemble réception non consciente signaux cadre recherches suggestion dit lui-même très clairement étudions également institut phénomènes rapportent non seulement télépathie aussi l'hypnose suggestion l'état veille trouve ajoute-t-il cerveau humain retient quantité énorme d'informations marginales évident subconscient enregistre absolument tout agit d'une manière d'une autre organes sensoriels ainsi cours expériences sujets hypnotisés pouvaient dire combien d'escaliers montés entrant cabinet médecin combien poteaux télégraphiques rencontrés rendant chez l'hôpital pourtant n'avaient compté poteaux préalable s'attendaient qu'on demande telle perception inconsciente l'information révèle possibilités frappantes subconscient confirme qu'il rien surnaturel perceplion subconsciente l'information télé- pathique veut lozanov c'est appliquer concept scientifique ensemble phénomènes affectent psychisme humain rejeter tout relève superstition croyances ésotériques mysticisme comprendre mécanismes globaux suggestion phénomène universel affectant inconsciemment toutes relations humaines dès lors d'où viennent iles différences notables entre cette présentation 1lrès globale recherches lozanoviennes celle offre christian godefroy etrange voyage docteur lozanov effet lozanov passe parapsychologie pédagogie point vue relève information partielle source principale godefroy n'étant autre ostrander schroeder cet 12. voir lozanov cit 146 voir lozanov cit 148 suivantes 14. voir lozanov cit 150 suivantes 15. voir lozanov cit. 245 sui- vantes suifer titre psychologie maurice reuchlin professeur psychologie université rené descartes 448 pages 100 collection fondamental 16. voir lozanov cit 233 vantes 17. voir lozanov cit. 152-153 18. lozanov skritié kanali misli canaux secrets pensée komsomolskaya pravda oct. 1966 comparaison chronologique activités bien établies docteur lozanov montre bien cette simullanéité d'action l'article momchev narodna mladeje avril 1965 précisément mentionné docteur lozanov travaille l'institut spécialisation perfectionnement médecins 1.s.p.m département psychiatrie lqu'il consacre moitié temps l'étude phénomènes parapsychologiques ryzl visite parapsychologues bulgares svet vedy 1965 souligne l'importance théorique type recherche découverte lois naturelles l'activité psychiaue 19. lozanov ibid godefroy psychologie janv 21. entraîne godefroy reproduire erreurs auteurs crreurs détail comme sjarankov dieu sharankov erreurs plus sérieuses comme celle texte suit pseudo-citation note texte paru komsomolskava pravda contient phrase télépathie peut être utilisée façon pratique aui vient d'ostrander schroeder ostrander schrueder spécialisés semble-t-il publication d'ouvrages rapidement écrits toujours point moins concerne dncteur lozanov travaux deuxième ouvrace handbook psi discoveries 1974 conlond suggestologie suggestopédie relaxation psychologique relaxation physique troisième ouvrage the e.s.p papers suggestopédie cst tout aussi malmenée travaux canadiens systématiquement dévalués cerlains textes dénaturés donc peu recommandé d'étayer travaux sérieux publications seul fait d'inclure suggestopédie ouvrages traitant parapsychologle constitue celle erreur présentation ratilie lozanov disant parlons ici pédagogie d'éducation laissons parapsychologie côté c'est science extrémement diflérente propres problèmes cité christian godefroy connaissances essentielles psychologie étudiants classes terminales enseignement secondaire cycle enseignement supérieur autodidacte
5,6,decouvrez l'empathie communiquer emouvoir decider techniques individuelles pose voix strucyuration vocale gestuelle techniques groupe expression spontanee seminaires seances hebdomadaires tout sujet avant difficultes relationnelirs insuffisance srulame d'inadaptation vie sociale peut retrouver gräce l'une differentes activités meilleure odequation monde modificanan comportement vois numero revue psychologie s'airesser cesdel téléphone 325 24m henri bareusse 7503 paris 326 bio-energie gestalt rencontre primal novembre décembre ateliers intensifs jours d'octobre juin groupes continus etde formation cdph rue turenne savoir sensatl ifique ueur scientifidr chologie lire lon cilatic eje fait megeder répéter écrit cinquante rodna mladeje démontré sept autres enfants avis réceptivité cela intéressant vie pratiqu capables suivre uns mation amènerail bta ment distinguer non seulement couleurs figures géométriques aussi faire d'autres progrès longue pourraient mére apprendre lire faits parlen d'eux-mêmes l'insertion suggestopédie contexte sensationnalisme comme l'ont fait ostrander schroeder sans aucun doute contribué faire connaître cet aspect travaux docteur lozanov temps cependant maintenant moyens faire vision plus précise choses être moins étrange voyage docteur lozanov tout aussi passionnant puisque comme dit lui-même problème fondamental auquel faisons face maintenant celui complexité personnalité humaine ressources psychologiques partir psychothérapie arriver suggestopédie c'est déjà bel itinéraire humaniste mise ressources personne humaine gabriel râcle voie narodna ostrander erreur réponse christian godefroy gabriel râcle parfaitement raison présenter l'intérêt docteur lozanov parapsychologie comme étape normale marche article mettait surtout relief l'importance travaux domaine depuis 1970 doc- teur lozanov devenu très discret celte étape importante l'étude signaux incconscients parlant passage médecine bobie oubliant parano nstitut suggesto psychologie facultés psi partie carrière obie longe suggestologie bien prend aucun exercice clairvoyance mêmes mécanismes lilise conscients efforts mouvement suggestopé digluels s'affranchir cvctte fin trent bien réticences contre encore aujourd hui psÿchologie auprès représa pèra l'ordre établi älors ssentants preuves accumulées dém puis longtemps réalité iner table phénomènes nes christian godefr epa lettre d'une lectrice canadienne l'article christian godefroy psychologie coup plu dîtes auteur ete l'occasion voir docteur lozanov continue cherches voyantes tas pathes méditims bulsarie évite d'en pärler cela fait sérieux ennemis l'accusent méme faire magie noire b.g ottawa 22. godefroy psychologie janv 1977 23. momchey sensibilité dermique suscite l'intérêt bulgarie également narodna mladeje avril 1965 mots italiques soulignés räcle 24. lozanov suggestology without myth sofia news 1974 25. cela n'enlève rien valeur travaux docteur lozanov domaine parapsychologie permet situer problèmes domaine parapsychologique rattachés activité mentale inconsciente solution importante sugscstologie générale lozanov sougestologuia 152 cœur recherches lozanov trouve donc bien l'activité mentale non consciente objet suggestologie dont peuvent bénéficier aussi bien pédagogie médecine psÿ° chothérapie publicité passage effectué suggèstologie médecine pédagogie s'est révélé très favorable seulement développement pédagogi aussi l'élucidation précisie voie expérimentale problème suggestion méme lozanov suggestologie probleni sougié tologuia sofia 1973
6,7,révolution dissimule souvent plis totalitarisme plus contraignant celui qu'elle abat c'est pourquoi plus plus conseillé temps -ci méfier mot comme chose révulution sexuelle s'en avise tout juste échappé règle quinze années sexologie libératrice atteint presque l'objectif deux mille ans christianisme manqué imposer conviction qu'il existe norme sexuelle hors laquelle point salut vain freud a-t séparé fonction reproductrice fonction érotique reich disciple indocile aussitôt enfermé plaisir règles naturelles c'est-à-dire universelles piège tendu lequel tombés cette norme c'est pénétration hétérosexuelle orgasme comportements amoureux strictement hiérarchisés n'échappe norme jours poursuit couple abord expériences variées ensuite cabinet sexologue enfin nul n'est jamais certain conformer tout fait fais-je assez souvent l'amour orgasmes sont-ils suffisamment puissants suffisamment nombreux questions hantent iles courriers cœur qu'il faudrait baptiser courriers corps depuis l'amour mesure nombre soubresauts l'épiderme docteur knock faisait fort transformer malades inquiets bien-portants canton sexologue plus conviction cynisme porté voir partout mal-baisants sollicitude d'égale certitude reich appris nature fait l'homme apte l'épanouissement sexuel société corrompu don ceux font l'amour selon modèle hétérosexuel peuvent encore passer inaperçus bien qu'un lourd soupçon pèse réalité plaisir qu'ils retirent tous ceux respectent norme sommés sentir honteux onanistes fétichistes sadomasochistes ceux celles préfèrent coït ininterrompu jouissance caresses attentionnées l'autre tièdes émois cœur précipitent systématiquement lit enfin ceux celles regardent indi- ronron vidus propre sexe récemment chaine télévision régalés d'une leçon sexologie militante l'émission rusé philippe bouvard huïle feu entendu face face l'écrivain jean-louis borv docteur henri amoroso sexologuc niçois l'écrivain réclamait homosexuels frères droit d'être eux-mêmes rien d'autre sexologue tranchait bien mal vrai faux redorés sexologie surgissaicnt poncifs plus éculés homosexuels porteurs tare génétique sans exception rongés malheur non raison sort fait société sentiment incomplétude quelques semaines plus tard docteur amoroso larges épaules voix fluette récidivait émission dont responsable cherchait l'évidence plus amuser informer disait fait lesbiennes représentées elula perrin auteur femmes préfèrent femmes éditions ramsay femmes égarées n'ont rencontré mâle révélées elles-mêmes libération sexuclle paraît avoir essentiellement libéré sottise langage fin asservissement plus grand comme michel foucault finement démontré vojlonté savoir gallimard minorités sexuelles longtemps souffert silence incompréhension société elles s'expriment aujourd'hui publiquement donc elles découvrent vite souffrent publiquement car tolérance promise échange confession s'arrête condescendance préjugés battus brèche l'évolution cours rôles masculin féminin trouvent refuge sexualité caution savante science sexe sexologie devient phallocratique mesure société cesse l'être édifie discours autour pénis centre vers lequel tout converge plaisir homme d'abord plaisir femme ensuite dont sexe n'existe sexe masculin origine simple thérapeutique dysfonctionnements sexuels sexologie s'est dotée autant d'assurance d'ambition d'une théorie hoc forgée aide d'emprunts divers editorial jacques mousseau théorie sombré sans hésitation l'idéologie appuyée reich beaucoup plus freud depuis quinze ans réduit l'être humain deux trois schémas stéréotypés pense société hommes comme société d'insectes s'est montrée incapable penser l'amour diversité temps quelques intellectuels fassent entrer peu d'air frais monde étroit étouffant lequel enfermée sexualité littérature philosophie morale parlent nouveau d'amour rapprendre l'aurions-nous donc rapidement oublié considérer comme diversité désirs gestes sentiments tendances l'acte sexuel rudimentaire c'est conduit arrête voie détourne distingue uns autres c'est détail compte alors sexologie travaille gros pascal bruckner alain finkiclkrant nouveau désordre amoureux seuil anaiysent verve brio abus pouvoir science sexe entendent libérer l'amour paroxysme orgastique c'est-à-dire affranchir contraintes d'un programme inciter perdre tète élans minuscules menus déplacements dernier date essai s'ajoute d'autres premier volume volonté savoir michel foucault démontré l'exigence tout dire sexe devait conduire asservissement plus grand non libération xavière gautier rompu schéma simpliste liait minorités sexuelles exclusion sociale témoins dire sexualités galilée expriment fois aberration sexuelle contentement personnel névrose existe parfaitement adaptée cycle production consommation critère connu bonne intégration last but not least très beaux très subtils fragments d'un discours amoureux roland barthes seuil nés d'une extrême solitude réhabilitent langage peul-être parlé milliers sujets nest soutenu personne langage l'amour redécouverte met fin ronron zizi lequel îles sexologues endormaient
7,8,naufrage hommes comme autres jean chaguiboff anse res lez
8,9,"psychanalyste peut avoir probldmes sentimentaux connaître jalousie plus dévorante s'en étonne encore s'en éfonnera sans doute toujours façon qu'on admet difficilement qu'un maître philosophie souvent peu philosophie vie quotidicnne réactions posent question rapports entre connaissance l'existence possession d'un savoir modifie-t-elle personnalité comportement voici récit d'une expérience involontaire semble montrer cette influence existe bien ténue docteurs psychologie jetés tempête souvent oublié science psychologues immergent rats l'eau étudier comportement exemple lors d'une täche d'apprentissage labyrinthe genre d'expérience souvent décrit revues psychologie plus rare trouver récits lon voit psychologucs immergés l'eau surtout pleine mer pleine 1empête lout lout deux petils radeaux pneumatiques l'océan parfois peut prendre figure labyrinthe sans parois sans indications deux issues survie mort aucun expérimentateur peut meltre pied disposilif expérimental dont éléments d'une simplicité nettcté aussi radicales quand hasard destin l'expérimenlateur suprême organise telle situation l'aventure vaut peine d'être contée c'est fait groupe psychologues livre s'appelle naufragés bermudes rrq deux femmes quatre hommes capitaine partis floride direction bahamas voilier 13,50 mètres peu avant noël sous soleil riant pensée ceux restés montréal affrontaient température 20°c groupe représentait bel échantillonnage diverses branches psychologie trois spécialisés clinique thérapie autre psychologie sociale exnérimentaliste apportait touche behaviorisme indispensable psychophysiojogue complétait cet éventail presque parfait paraître mois-ci édi ions alain stanké international montréal québec ——— sempé"
9,10,utilisez sommeil mieux réussir méthode moderne permet d'acquérir week-end technique relaxation simple développer efficacement puissance mentale stress vie moderne entame peu peu facultés intellectuelles mémoire concentration voire intuition imagination qualité repos dépendent grande partie l'activité subconscient pouvoir subconscient peut être facilement stimulé méthodes mentales c'est qu'on appelle dynamique mentale cette méthode enseignée week-end cours séminaires alpha pratiquée milliers participants depuis ans france suivant cet enseignement pratique séminaire découvrirez tout d'abord état relaxation physique mentale pourrez reproduire loisir vie quotidienne développer plan psychologique dynamique mentale permettra ensuite d'utiliser niveau conscience mentale particulier préparer psychologiquement situations quotidiennes difficiles exemple préparer examens tâches professionnelles vaincre trac timidité maigrir accroître mémoire vaincre l'insomnie développer imagination créatrice arrêter fumer etc vivre expériences extra-sensorielles après exercices concentration développant concrètement intuition vivrez expériences exlra-sensorielles étonnantes prouveront l'existence facultés parapsychologiques insoupconnées sommeillent prochains séminaires alpha dynamique mentale paris 12-13 novembre marseille 17-18 décembre lyon-sl-etienne 19-20 novembre bordeaux 22-23 octobre strasbourg 29-30 octobre nantes 5-6 novembre genève novembre bruxelles bull bellens tél 053.66.59.97 documentez-vous retournant bon gratuit ci-dessous sem bon gratuit retourner sodiac formation wagram 75017 paris tél 754.43.64 adressez-moi sans engagement arucle psychologie dynamique mentale tait nom grenadine paquebot bateau n'était ent france cohabitatl restreint personnes csptèmes méme pose toujours d'agrément s'il s'agit d'une croisie jours initialement prévue pos chologues mème sil s'agit aéchantes surtout diront das parce langues effet mécaqu'on aia tennsnes psycho etes personnelles sions disparaissent eme enchralles ment peut-ctre aggravées fait davantage conscience polopensent pratique its gique aide résoudre der personnels relations int individuelles baignent sér nité n'ont faire tour dns départements psychologie universités françaises autres ... dès départ problèmes inattendus posés machine tombe panne échouage banc sable conditions climatiques empêchent sortir port font qu'accentuer mauvaise humeur capitaine américain déjà mécontent passer noël loin compagne irrité passagers parlant langue incompréhensible français imputant moins croit-il toute responsabilité incidents outre difficultés matérielles tensions établissent entre individus avant l'embarquement connaissaient peu tout quatre québécois français détaché l'université montréal eloïse venue californie capitaine propriétaire bateau originaire floride différences culturelles font jour deviennent fossé lorsque intervient différence langue c'est ainsi qu'eloïse compreng peu français parle sentira constamment exclue groupe aucune crise ouverle l'équipage grenadine donc groupe sans ricn tionnel tensions dramatiques attei point rupture seul trait composé psychologues mun vers six heures soi triangle bermudes commence couler d'abord seulement l'eau cabines c'est rene cher première s'en aperçoit este train lire couchette signale capitaine tout plus pointe étonnement per sonne s'en inquiète naufrage n'entre domaine semblable civilisation grille-pain électrique choses simplement n'arrivent naufrage mer n'es prévu cela n'existe l'ambiance esi donc mitigée ais éclare forme cxce sans cohésion intime enant original après quelques jours vie bateau coulons.… coulons capitaine inspecte alors sani taires tout ordre dégage planches obstruent fonds cale comprend tout suite préci pite radio mayday mayday pleins d'eau coulons alors subitement tout monde prend conscience passe capitaine reste crispé radio répète message inlassablement seul lien subsiste monde garde-côtes vedettes hélicoptères faut chercher tout prix établir contact quelqu'un servira relais ceux moyens pouvoir sauver naufragés faut émettre ondes jusqu dernière minute avant referme carcan solitude coupé tout faudra rester l'attente hasard mort l'émetteur faible portée hauteur vagues limite encore personne répond propose ron capitaine remplacer radio refuse espère toujours message scta capté responsabilité vies humaines prise chargt cet horizon vers lequel émet ondes luc plus l'habitude mer prend lout naturellement rection opérations sauvetage rôle leader émerge cet tant moins cause d'un jeu subtil renseignements séminaires alpha relations interpersonnelles nom prénom parce qu'il sait mieux autre rue qu'il faut faire d'ailleurs net mie peu questions poser rctpcee tester tests dates ... ... sortir canots gonfler entasser l'on peut role ture boisson c'est plus fac sempe
