,page,text
0,1,novembre 1977 révolution naee lire fed abonner voyez page
1,2,"larégler mensualltés la-garde pur d42,10 5,15 deiport 4210. engags uit jeine vousila-retourner sansirien vousidevoir amen gratuit opier roppotant msetéses nom recop retourner c.e elysées 75008 paris prénom frange jacques 7500 toumail rue belgique fan 1010-lausanne fîu lo- aitu veuillez m'envoyer communication gratuite liencyc codeupostalil primer pédie savoir mal tout joisir l'utiliser signature-obligatoiré durant jours j'auralt passé délai ——— rien savoir savor parler saior chances réussite vie savoir écrire savoir lire plus vite neuf livres 544 développer pages mémoire grand ole guide format c'est production bibtiothèque savoir présenter apprendre négocier communiquer famille etre unleader.etc correspondance 114 champs-elysées 75008 paris conseils pratiques exempl rcices cas vraiment concrets ples exe tests faire vous- -même aider équipe spécialistes parmi lesquels yves furet l'homme appris parler grands leaders actuels études étudiant lycéen correspondance démarches réclamations contrats etc"
2,3,psycnologie connaissance soi connaissance autres novembre 1977 editorial joï pincus jacques mousseau forum lecteurs écrivent quiz dui mois cherchez type d'émotivité jean-louis sellier entretien gérard galot directeur j'en france dépeuple-t-elle propos recueillis jacques mousseau bref france enr bref ... rage psychologie comportement tabou mort psychiatre s'est spécialisée l'aide mourants daniel 'goleman comment réagir face mort entretien elizabeth kübler-ross 'par daniel goleman bref etats unis groupes rencoitre aveë idà rolf thérapie modèle corps lisa connolly bréf… allemagne psychologie pratique comment dévéloppèr contacts ociaux application douce techniques groupe david cohen psychologie expérimentale nouvelle percée lès méthodes diagnostic q.b identifie troubles cérébraux daniel goleman psychologie clinique psychiatrie d'urgence centre psychiatrique d'accueil paris jean-marie peyrel librairie psychologie maurice reuchlin corps corps culinaire noëlle châtelet l'identité claude lévi-strauss autres parutions who who psychologie prochain numéro paraîtra jeudi décembre
3,4,seul seule moitié d'un couple pouvons aider trouver l'autre partenaire dont rêvez existe région jusqu présent n'aviez aucune chance rencontrer proposons service modems efficace résultat d'une recherche approfondie psychologie couple l'utilisation appropriée l'informatique désormais pouvez choisir d'entrer librement relations partenaires dont caractère aspirations accord vôtres documentation gratuite sous pli neutre cacheté mme mlle prénom adresse unicontact centra 203 411 rue tour 94576 rungis cedex dooq forum liste gaintandréde-l'eure vient pré l'arrêté journal février 197 arrêté février eument d'être abrogé juillet 1977 paru fui 1977. jel juillet liste titres dont posse sion requise candida ecritie- recri concours organisés établisse code l'art santé publig décembre 1971 diplôme psychopathologie l'université délivré l'université d'aix-marseille-i depuis l'année universitaire 1973 diplôme d'études supérieures spécialisées psychopathologie l'université d'amiens diplôme psychopathologie l'université besançon diplôme d'études psychologiques pyschosociales option psychopathologie diplôme d'études supérieures spécialisées psychologie pathologique clinique l'université bordeaux-il diplôme psychologie pratique option psychopathologie option psychopédagogie médico-sociale diplôme d'études supérieures spécialisées psychologie pratique option psychopathologie option psychopédagogie psychopathologie l'enfant l'université clermontferrand-il per psychopathologie lisées psychopathologie versité dijon soune diplôme psychopa diplôme d'études supérieures pics lisées psychopathologie perd grenoble.i cerlificat d'études spiorroc uologie pathologique dipl étu supérieures spécialisées psychopathologie nique psychologie cli l'université lille lion psy psychologie pratique pathologie option sychopédagogie néqi mmiversité lyofie sociale diplôme psychopath psychologie appliquée giogi d'études supérieures psychologue clinicien montpellier-tti diplôme psycholoy ique diplôme d'études puhol spécialisées psychologie rienre gique l'université palo diplôme d'études supérig cialisées psychologie cures clinique l'université ociale diplôme psychopéda îce ciale délivré antérleuremert l'institut psychologie versité paris exclusives services pédiatrie diplôme psychologie pat l'institut psycho 10lopi l'université paris oble diplôme psychologi gique institut pathologi plôme d'études supérieures sées psychologie clinique del versité paris-v diplôme psychologue diplôme d'études supérieur cialisées psychologie clini l'université paris-vii certificat d'études supérieures psychologie pathologique diplôme d'études supérieures spécialisées psychopathologie l'université paris-x diplôme psychopathologie cli nique délivré depuis janvier 1970 l'institut catholique paris certificat d'études supérieures psychologie pathologique diplôme d'études supérieures spécialisées psychopathologie l'université rennes-iti certificat d'études supérieures psychologie pathologique diplôme d'études supérieures spécialisées psychopathologie l'université strasbourg-i diplôme psychopathologie diplôme d'études supérieures spéti® lisées psychopathologit clinique vie quolr dienne l'université toulouse-ii marcel turbiaux hiver inicien spé quels métiers psychologie reconnaissant ants fournir renseignements m'aideront choisir ace diversité choix offert pat tiers psychologie cok quelles princt psychanalyse psy freud jung adler d'admission durée coût leurs caractéristique
4,5,existe-t-il possibilité suivre enseignement écoles bordeaux région sinon exisict-il enscignement particulier correspondance existe-t-il bourses permettant lelles subvenir frais études p.b.- agen métiers psychologie fort nombreux puisqu'ait deuxième congrès national psychologues 1971 françois marchand parlait trente spécialités roger mucchielli d'une cinquantaine psychanalyse psychothérapie deux spécialités général aborde sans formation préalable solide lettre n'indique point vue seniblez peu mal renseigné information sûrement besoin être approfondie mieux donc commienciez commencement c'est-à-dire inscrire faculté existe bordeaux bourses d'études peuvent être accordées cursus études psychologie apprendra quelles principales écoles psychanalyse psychothérapie découvrirez alors qu'il naïveté d'ignorance croire psychanalyse psychothérapie peuvent s'apprendre correspondance s'il possible d'acquérir diplômes psychologue médecin voire philosophe base nécessaire alors faudra renoncer orienter vers psychanalyse psychothérapie l'immédiat lecture d'un ouvrage comme histoire psychanalyse après freud jean-baptiste fages toulouse privat 1976 initiera fois psychanalyse psychothérapies bibliographie fournira d'autres lectures veux être psychanalyste voudrais devenir psychanalyste c'est projet difficile réaliser surtout comme possède aucun diplôme néanmoins prête acquérir dîtes divers vrent-ils leurs portes diplômes sont-ils nécessaires lesquels quel niveau bac licence maîtrise doctorat vers quelle branche est-il préférable dirige quelles professions sus- instituts ou- ceptibles convenir dehors .de celles médecin psychologue philosophe j'ai déjà entrepris psychanalyse individuelle comme j'ai toujours envie devenir psychologue clinicienne préférable commencer maintenant avant demander analyse didactique j'aimerais quand connaître voies suivre prendrai tout lemps l'argent aussi qu'il faudra arriver fins arrivais dirigerais alors vers l'exercice clientèle privée tant psychologue c.s.-paris qu'entendez-vous psychanalyse individuelle s'agit-il d'une autoanalyse très difficile sans formation théorique d'une psychanalyse sous conduite d'un thérapeute c'est bien cas-là première chose faire semble-t-il adresser propre analyste deux raisons première qu'il n'est possible devenir psychanalyste sans être analysé seconde qu'il existe plusieurs tendances psychanalyse qu'il semblerait préférable inscriviez auprès mouvement dont relève analyste rappelons effet qu'il france moins cing mouvements psychanalyse dont iles principaux exigent demande d'agrément auprès d'une commission société psychanalytique paris dont dépend l'institut psy chanalyse 187 rue saint-jacques 75005 paris l'association psychanalytique france place dauphine 75001 paris l'ecole freudienne paris rue claude-bernard 75005 paris bien entendu formation base souhaitée celles médecin psychologue philosophe celles conviennent mieux peu probable sans cette formation base candidature retenue iv® groupe rue maurice- ripoche 75014 lparis groupe collégial plutôt société formé disciples jacques lacan pris quelest moins rigoureux quant contrôle formation l'admission membres peut-être ques distances celui-ci possibilité candidals sans formation base spécifique vient d'être diquée mt. êtes-vous parler non repéter libérer non s'adapter briser l'isolement l'anonymat cepreg lun groupe autogéré d'une quinzaine personnes travaille depuis dix ans questions fondamentales cepreg met œuvredes instruments d'analyse fournis psy chanalyse l'analyse institu tionnelle culturelle méthodes telles psy -chodrame bio-énergie rélaxation l'analyse groupe cepreg propose l1des sessions l'expression dynamique ide personne expression corporelle analytique dynamique groupe séminaires intensifs cycles psychodrame week-ends soirees cepreg rue brignole-galliéra 92140 clamart téléphone 642.56.05 désire recevoir gratuitement documentation cepreg nom prénom adress
5,6,cherchez type crémotivité chaque personnalité points forts points faibles points jorts zones d'équilibre statiques dont rien dire auxquelles rien changer points faibles zones rupture essentiellement dynantigues car elles exigent travail incessant rééquilibrage caractérise personnalité c'est nianière qu'elle d'étayer colmater brèches d'édifier systèmes sécurité complexes précaires constamment remis question c'est donne relief mouvement caractère propre parler personnalité c'est parler l'affectivité donne tout fois faiblesse force c'est l'affectivité fournit raisons d'agir c'est aussi rend vulnérable connaître personnalité c'est donc d'abord savoir touche quoi réagit aspirations craintes affections lecteur invité chercher non quel degré d'émotivité général quelle manière cette émotivité manifeste cette recherche proposons série questions passé bien-être habitudes réactions situations vie courante relations autrui goûts opinions aspirations chaque question posée plusieurs réponses proposées dési gnées lettres réponse jus maniëre encerclera lecteur choisira rapproche d'être pens lettre. s'il trouve aucune réponse corresponde exactement sentiment cherchera celle moins éloignée vraiment aucune convient choisira répondre leitre fortement déconseillé avoir recours lorsque deux réponses paraissent également satisfaisantes permis choisir l'une l'autre seulement cas plus deux réponses proposées jamais donner plus deux question s'efforcer répondre toutes questions questionnaire revenez très souvent passé faire revivre événement agréable regretter d'avoir agi d'une manière plutôt autre cir- constances difficiles faites parfois bilan drenements récents évitez attacher douflrance d'autrui tou- affecté révolté traumatisé support violence sang désapprouvez sincèrement violence réactions souffrance d'autrui aussi intenses eee faites bilan succts échecs pensez n'avezpa manqué chance qu'il reste encore beaucoup espérer désirer sentiment d'avoir jean-louis seller raté beaucoup choses souvent faute n'avez coutume lenir genre comptabilité souvent essouillé sis raison alors l'impression d'étouffer perdre totalement voire respiration n'êtes vraiment essouflé lorsque fourni effort exemple monter mille lier quatre quatre courir mètres arrivé cas commettre erreurs suilé regrettées pal suittf n'avez guits moment elles s0n commis c'est n'étiez p25 éviter regretter
6,7,chacun d'entre s'efforce d'établir bon équilibre entre travail sommeil détente souvent difficile parvenir l'impression avoir établi cet équilibre d'une manière sinon parfaite moins satisfaisante souvent harassé car trop travail trop occupations regrettez trouver temps pouvoir reposer toujours pressé prenez très peu repos moment libre n'aimez rester rien faire préoccupation tâche effectuer empêche souvent trouver sommeil humeur très changeante passez constamment joie tristesse humeur très égale subit aucune variation humeur varie parfois non façon continuelle santé donne aucun souci n'êtes presque jamais malade n'avez jamais grave maladie tracassé petits troubles chroniques empoisonnent existence victime très grave maladie obligé cesser toute activité pendant longue période craint santé définitivement altérée activité professionnelle passez personne excessivement scrupuleuse ponctuelle malade l'idée qu'un travail risque être remis temps comporter erreurs tout consciencieux voulez obligations professionnelles prennent place excessive vie 10. arrive souvent sentir seul d'avoir besoin irrépressible parler quelqu'un confier trouver auprès d'autrui compréhension réconfort acceptez aussi bien compagnie solitude éprouvez rarement besoin impérieux trouver confident exceptionnellement sensible climat l'ambiance l'atmosphère tant psychiques —————— physiques règnent autour décelez exemple changements temps modifications plus infimes l'attitude proches admettant certaines personnes possèdent dons aussi exceptionnels rien observé tel chez général très renfermé évitez d'extérioriser sentiments dites habituellement pensez éprouvez sans préoccuper outre mesure autres ren penseront arrive remettre plus tard corvées consacrer temps occupations moins urgentes plus agréables faites chaque chose temps corvée non lorsque assistez bon spectacle dramatique cinématographique lyrique etc mettant scène personnages attachants souvent bouleversé enthousiaste point sentiments manifestent extérieurement intérieurement intensité cœur serré gonflé larmes yeux ovations ... émotions n'atteignent cetie intensité devez reconnaître identifiez bon gré mal gré héros l'un personnages principaux participez aventures comme elles vôtres appréciez connaisseur l'intrigue texte mise scène jeu acteurs parvenez rester détaché extérieur personnages l'histoire racontée ———————— lorsque mêlez conversation arrive parler choses auxquelles n'entendez peu près rien parlez connaissez parfaitement n'avancez rien n'ayez soigneusement vérifié vous-même attachez importance particulière l'heure temps passe cherchez l'enfermer contrôler l'écoulement calendriers agendas horloges etc. n'êtes guère sensible fuite temps tous objets n'ont qu'un caractère strictement utilitaire lorsque venez d'accomplir travail long difficile souvent tenaillé crainte d'avoir oublié quelque chose d'important cette idée importune longtemps revient souvent moment plus mal choisi bien essayiez chasser n'éprouvez habituellement genre crainte quand achevé tâche lorsque trouvez présence personnages importants célèbres officiels d'un rang social plus élevé vôtre pouvez empêcher d'être intimidé bien sachiez c'est absurde profitez aussitôt établir relations peuvent être instructives profitables moins flatteuses arrive répéter ondit faire écho bruits n'avez vérifier n'affirmez rien dont absolument sûr souvent trouvé ambiance tellement détendue euphorique pensiez amuser rire sans pouvoir arrêter passé moments agréables bonne compagnie sans jamais laissez aller point arrive souvent qu'un bruit obsédant agitation excessive produise autour moment besoin tranquillité cela agace empêche concentrer reposer normalement inconvénients gênent parvenez quand faire abstraction n'êtes aucune manière incommodé lorsque circonstances obligent vivre pendant plusieurs jours milieu d'inconnus difficile d'entrer communication parvenez contraire établir rapidement contact faire adopter entourage ———— chacun connaît moment autre existence décep
7,8,aimeriez souvent perso réqueny ivé mai ges arrivés souvent blu sages tions échecs paè trouver loue voire timidité vol range vide vraiment moins unc foi difficile drama ous écprouvez tése échecs restent situation ler tion personne dréqt cœur parvenez res opposé ensez périlleus eforcez digérer pél poursuivronr none plus fais intérieures l'on£c cam ièremen ase entité détend quand personne défaites aiez t1é voudrié survo ess dre venez libérer tuation rsque dimiculté bonne volonté d'aby remportant victoires yraiment laisse importance surmonté ffolé erdez 165 parvenez déc faÿ ous accucillez succès échecs moins momentanément mal ra8er sérénité dales faut certain temp dre général cédé léo rits qur reprendre v05 pliment impas2 trouvez restez absolu venez lorsque ralysé froid aimez beaucou gociété souvent paray sible qérachement presqu endroits crainte commettre réagir monde rats vue maladresse dire complet run fallait dire préférez fêtes bals réee ions d'intervenir spectacles etc ptions alors absten vrais conversation. considérez préférez solitude n'éprouvez habituellement hnjs rares quand recherchez plutôt recueillem aucun sentiment genre chance d'en trouver dent j'intimité ent déçoive conserver éprouvez tantôt bye jracl intense amusement esün miracle d'amu nts diverr ans quand trouvez tout coup n'êtes trop dificile ments tantôt désir non erlisge fort tranquillité d'isoen face d'une personne choix amis riez préféré renconirer demandez l'impossible sorte faites semblant risquez jamais d'être voir passez voire chemin décu détournant ostensiblement tête saluez minimum ent certains jours besoin rencontrer beaucoup monde d'autres moments n'avez voir personne évi engager jai correction évitez d'engager trouvez soudain conversation. den -tricable parce situation inextricable parce lorsqu'un franchement mal retire tort l'aise comme pouvez ouvez mis date oesse opinion aberrante neue éviter rencontre bredouillez gênez fai quelques banalités cherchant engagement ment pabaovdité gran prétexte quelconque abréger trouvez moyen quel bon service propos car conque tirer d'affaire cest don sétvice rendre préférez faire conversation compromis honorable mauvais prétexle peine risque laisser difficile sortir d'un l'erreur enfants don attendrir faire fondre guëpier genre laissez eee adversaire dicter toutes irrésistiblement attiré ive conditions parmi groupes disciplines aimez enfants vantes quelles préférées littérature arts phil pensant surtout adultes qu'ils deviendront extrêmement sensible sophie petites attentions gestes mathématiques sciences licats appréciez gens pré- techniques événement fâcheux survient venants cherchent faire plaisir lequel responsabilité plu- n'attachez aucune impor- sieurs personnes engagée tance genre manifestation attachez certai nombre paraî tendance éprouver l'entantilase souvent relever portance détails sentiment culpabilité sou- environnement famili der responsabilité plutôt cadre lequel vue vol ninimiser peuvent avoir influen pif essayez tant bien mal débarrsss trés facile humeur comportement contribuer partage équitable cassepied d'un anportum d'un exemple ciel gris couleul d'un empoisonneur nouveaux rideaux inlei responsabilités exem ple bavard femme entreprenant démarcheur voix proches réputation séducteur trop attachez beau ons pre savoir cela souvent d'importance faits melitre l'huile rent difficile prime empêche sortir jour rouages oms asse7 sez laissent passer tumière difficiles lutôt embarrassé quentez volontiers quand genre situati ion pré- sente vou attendez comportez peu aimez avoir reel autres fassent premier près bons amis nombreusc len nières dernié tivement superficielles
8,9,préférez avoir seulement quelques amis fidèles sûrs tout petit nombre aimeriez avoir amis constatez qu'en fait l'amitié vraie mythe intéressez beaucoup choses différentes vie essayez d'établir hiérarchie intérêts certains d'entre comptent beaucoup plus d'autres intéressez vraiment tout façon discontinue variez plaisirs passez centre d'intérêt autre sans arrêter définitivement aucun entre intéressez façon passionnée chose seule reste paraît tout fait secondaire aucun sujet passionne vraiment presque tout paraît insipide faudrait vraiment événements extraordinaires parvenir susciter intérêt aimez compétition lutte acceptez d'entrer concurrence quelqu'un d'affronter rival horreur toute espèce conflit position moyenne jusqu preuve contraire mort représente chacun d'entre fin voyage cette idée hante parvenez débarrasser arrivé penser mort signifie délivrance jorsqu'on trouve situation sans issue sans essayer dissimuler l'inéluctabilité mort pen sez chaque chose vient temps vie assez précieuse l'on cherche garder plus longtemps possible pensez mort vraiment l'objet vie qu'il faut préparer chaque instant tout reste illusoire. chacun d'entre inoins défaut considérons tout fait comme tel parce qu'il fait partie personnalité appris accommoder peut-être défaut dominant figure parmi suivants timide susceptible émotif trop bon n'avez aucune caractéristiques exprimez général assez facilement tant oralement écrit exprimez beaucoup mieux écrit qu'oralement exprimez beaucoup mieux oralement écrit n'êtes satisfait expression écrite expression orale aimeriez avoir dernier mot discussion parvenez toujours n'êtes très heureux quand cloue bec admettez trop facilement tort inclinez parfois devant arguments sans réplique alors savez vôtres aussi valables emploie souvent sujet qualificatifs tels irritable agacé rien prompt vexer comme tout monde sautes d'humeur qualificatifs question jamais appliqués car tout fait l'opposé comportement regrettez parfois mieux savoir faire valoir certainement manqué bien occasions réussite sachant saisir chance bon moment connaissez l'art imposer prenez parti n'êtes loin faire vôtre maxime vivre heureux vivons cachés n'avez plaindre savoir-faire domaine l'occasion n'hésitez placer dépens d'autrui ————————— actes toujours conformité idées parfois constaté certain décalage entre intentions comportement —————————— aimez faire part succès remportez arrive enjoliver peu serait-ce inconsciemment parlez exactement manière succès échecs plutôt tendance être trop modestie minimiser succès hésitez parler sans demande peur paraître prétentieux vivez sans désir sans regret sagesse consiste éviter toute passion dangereuse vivre minimum possible complications essayez d'ajuster tant bien mal désirs réalités n'êtes jamais tout fait repu vie n'aurait beaucoup piquant s'il restait rien désirer cessez convoiter n'avez peine l'avezvous obtenu désirez déjà autre chose certains égards sentez supérieur plupart gens fréquentez estimez n'êtes meilleur pire qu'un autre pouvez empêcher d'éprouver sentiment d'infériorité bien sachiez c'est absurde venez parfois penser vraiment inférieur autres arrive parfois éprouver sentiment indéfinissable vide comme s'il manquait quelque chose d'essentiel saufiez dire exactitude manque éprouvez parfois sentiment analogue savez très bien manque mettez tout œuvre l'obtenir ressentez jamais rien semblable arrive sûrement faire projets penser l'avenir rêvez alors choses irréalisables demi imaginaires fort peu chance produire auxquelles plaisir penser faites projets plus prosaïques voyages achats visites pensez l'avenir c'est souvent prévoir pire vivre l'appréhension d'événements malchanceux deuils accidents pourraient frapper comme frappent chaque jour quantité personnes voir résultats lpinterprétation p.67 ———————
9,10,ddaf patron lus rue
