,page,text
0,1,een decemere 1077 connaissance dossiers psychocnijungie pocuopouo abonner voyez page 566 cnabag nent nage faneror mur len anesnnense rss
1,2,"acte rea san livre mille conseils recetl édécouume trouverez classés neuf chapitres livre vient heure mom ent vertus blenfalts nature ... plantes guérissent savez vcz-vous plus 400 folgron état ortifinnt bienfaits del'eau caux bätisseurs dela mer pyramides secrets del homéopathie lesrecettes diététique les-règles l'hygiène vie comment pouvez servir del acupuncture tout ila vertébrothérapie l'art resterjeune longtemps suérir ———— foulures laies trouverez également connaissez vou doüleursiet symptômes argile vieux remêdes correspondants club pbunetateis vie entière lréef racheter l'encyclopédie médecines secrets v-pubit 608 centaines ages hotos dessins san couleur reproductions recettes véritable encyclopé- samen gratuit die mieux-être cines nat pesie mede- tout monde devrait crets santé paicrai interesse lrois mensua 'inté posseder ,78 demandons neremière 23,75 5,15 celle précieuse sus aider mieux vivre soigner naturellement centaines remèdes d'autrefois recevoir bratultement chez pendant dix jours n'est qu'aprés l'avoir seule prendrez décision savoir voulez barder profiter toute 114 champs-elysées loisirs 75391 paris cedex"
2,3,"dsycroioue connaissance soi connaissance autres décembre 1977 9:1f in° editorial sectarisme jacques mousseau forum lecteurs écrivent chercheur idées thomas szasz psychiatre contre psychiatrie roland jaccard société répartition revenus choix société jean-pierre courtial parle société salariés sociologie rapports entre générations entretien ilouis roussel propos recueillis jacques mousseau développement potentiel esalen inde séjour chez psychologue ila transcendance bref france frontières psychologie surprises demi-sommeil l'écoute l'utilisation ondés cérébrales bar thomas budzynski dossier mois llapsychochirurgie ultime recours jeu dangereux iegmont koch bref etats-unis sexologie pause révolution sexuelle contraception etats-unis donn byrne bref allemagne librairie lorsque l'enfant paraît dolto aimer vie cazeneuve autres parutions enbref… belgique who who psychologie répertoire psychologie publié 1977 olil psychologie edite centre d'etude promotion lecture four vonez page departement retz 114 champs-elysees 75008 paris 369.84,16"
3,4,ous nez trop tendu relaxez-vous derne permet méthode end mentale vie moderne entame peu nés intellectuelles entration intultion imagination qualité repos dépendent grande partie l'activité subconscient pouvoir subconscient peut être facilement stimulé méthodes mentales c'est qu'on appelle dynamique mentale cette méthode enseignée week-end cours séminaires alpha pratiquée milliers participants depuis ans france suivant cet enseignement pratique séminaire découvrirez tout d'abordi état relaxation physique mentale pourrez reproduire loisir vie quotidienne développer plan psychologique dynamique mentale permettra ensuite d'utiliser niveau conscience mentale particulier préparer psychologiquement situations quoti- diennes difficiles exemple préparer examens tâches professionnelles vaincre trac timidité maigrir accroître voire mémoire vaincre l'insomnie développer imagination créatrice arrêter fumer contrôler émotions ... vivre expériences extra-sensorielles après exercices concentratian veloppant concrètement intuition vivrez expériences extra-sensorielles étonnantes prouveront l'existence facultés parapsychologiques insoupçonnées sommeillent puissance stress peu facu mémoire cconc prochains séminaires alpha paris marseille bordeaux nantes lille strasbourg lyon-sl-etienne toulouse belgique büill bellens tél 053-66-59-97 genève suisse documentez-vous retournant bonl gratuit ci-dessous bon gratuit retourner sodiac formation wagram 75017 paris tél 754:43.64 adressez-moi sans engagement l'arti cle psychologie dynamique mentale renseignements séminaires alpha j'ai deux ans analyse 'in sychologie resse est-il sion baccalauréey peut relever jos jeunes enfants dont éducage assurée cen lors deux ans d'études reçus après examen vent générale place éducats l'enfance daptées épreuves sélection formation troi écoles agréées lee dns ments publics d'enseis rant liste arrêté fig nistère l'education animateurs socioculturels sole penda lali spéc qleurs adoles recrutés ans bliss rens psych bac d'accéder possible sans études-là d'une vue green métier lfalt g.- bordeaux mation d'une durée trois j.-g. cycle sanctionné prés d'études dep hromolion pou pés domaine psy quator cap.4s bre jeunes gens prend stages correspy quatorze unités ohdany calauréat qu'ils chologie possèdent évidemment réduits bien inexistants nservatoire national aris inéliers 292 rue saint-martit 75003 paris également planté centaine vite france outre-110r l'étranger dispense enseignement sanctionné diplôme psy cho logie travail renseignements relatifs l'inscription peuvent être obtenus l'adrésse ci-dessus autre possibilité d'accès études psychologie sciences l'éducationà philosophie psychanalyse offerlé l'université parisvih vincennes route tourelles 75012 paris cétte possibilité existe aussi province faudrait adresser services âcadéniiques universités ville choisi faire études baccalauréat exigé formation plupart activités orientées vers réadaptation rééducation comme grthophoniste rééducate psychomotricité néanmoins préparation diplôme d'etat d'ergothérapeute prépare trois ans établisse- ment agréé accessible titu- laires litre admis équivalence inscription universités d'un diplôme sage-femme d'injirmière pédicure laborantin manipulateur radiologie satisfait examen d'apti- lude ergothéra hérapeute auxiliaire médical l'aide différentes niques faisant appel d'activités gestuell édaue handicapés mot rééduque lades menta mala réadaptation sig donc sociale hand psychologide façon caractère social assist melessions issistante social exemple implique tale posses bac stages quante heures travail effe cin cun liste associ clif organismes dont stages agréés comme unités fournie corepse coms sion régionale promotion nimis éducative chaque acad chés rares marcel turbiaux aleur comprennent enviro ations valeur enfin faut souligner métiers requièrent concours psychologie extrêmement ombreux cependant règle nérale formation tiers implique possession baccalauréat débouw organisme conseil lisant rubrique forum numéro juillet 1977 revue m'aperçois ponse lettre sous-titrée psy chologie clinique conseil conjugal donnez adresses d'un cër tain nombre d'organismes forma tion proposent stages vant intéresser psychologuts cliniciens citez cepreg ... o.m.- clamart rfection- cepreg centre nement responsables groupe rue brignole-galliéra mart rue bélier correspondanis marseille grenoble lyon association fondée 1958 iles régime loi 1901. lin l'origine problèmes ctiois tion d'animateurs relatives l'éducation sous vers aspects activités progressivement étendues situatio teurs personne
4,5,dynamique groupe expression dynamique personne expression corporelle analytique groupes psychodrame groupes d'analyse rêve éveillé socio-économie côté activités régulières thérapies individuelles cycles psychodrame groupes d'analyse cepreg organise sessions intensives cing jours intérieur d'institutions précises demande celles-ci formation effectuée groupes réunissant participants envoyés institutions venant propre initiative selon îles indications fournies cepreg diverses activités poursuivent trois objectifs généraux suivants permettre l'individu demandeur reprendre possession désirs faisant l'anatyse apparaît comme souffrance réévaluer l'on appelle réalité afin réel établi devienne lieu possibles sans qu'il nécessaire d'opérer réduction magique contraire dramatisation terrifiante contraintes dépasser problématique séparant individu milieu faisant apparaître comment mécanisme pulsionnel individuel reproduit travers jeu fantasmes désirs jen politique institutionnel dont devient fois objet l'agent equitation rééducation etant licenciée psvchologie passionnée d'équitation j'aimerais cela possible obtenir renseignements éventuelle possibilité carrière domaine diplôme moniteur d'équilation spécialisé rééducation existe-t-il quels modalités débouchés c.b.- clermont-ferrand diplôme moniteur d'équ'tation spécialisé rééducation n'existe semble qu'il faille trop compiler création proche avenir revanche l'association handicheval reconnue ministères santé publique l'agriculture défini grandes lignes d'une formation spécialisée ceux comme souhailent exercer cette discipline deux conditions requises candidats cetle formation elles correspondent double aspect tâche futurs rééducateurs candidat doit avoir passé succès l'examen deuxième degré d'équitation section dressage doit être également détenteur l'un diplômes suivants éduicateur spécialisé moniteur éducateur masseur kinésithérapeute psychomotricien tout autre diplôme psychologie clinique psychopathologie etc garant forma tion thérapeutique voici quels personnes cet organisines proposent actuelle ment formation spécialistes équitation handicapés association handi-cheval avenue grande-armée 75017 paris tél 754.49.32 monsieur hubert lallery rue victorien-sardou 92700 colombes tél 242.02.44 promoteur méthode rééducation l'équitation fondateur l'association ci-dessus nonunée lallery instruit personnellement candidats s'adressent répondent conditions exposées plus haut association régionale rééducation l'équitation limousin rue consulat 87000 limoges tél 32.59.98 formation proposée cel organisme comporte deux stages cinq jours for mation continue supervision tout long l'année prochains stages dérouieront janvier 1978 jnstitut supérieur rééducation psvchomotrice rue cortambert 750/6 paris tél 520.66.02 stages vingt heures cadre formation permanente enfin fort difficile pondre précision question relative débouchés éventuelle carrière rééducation l'équitation méthode thérapeutique très jeune plein essor rééducateurs spécialisés n'ont statut officiel champ d'application rééducation l'équitation vaste l'on considère nombre handicapés environ cinq millions france dont cinquième susceptible bénéficier cette rééducation donc strictement parler n'existe actuellement débouchés officiellement reconnus recensés cependant rééducation l'équitation pratique succès croissant auprès handicapés physiques mentaux enfants adultes titre individuel danc cadre d'un établissement c'est dire possibilités carrière domaine relèvent essentielle ment l'initiative persornelle introductions dont peut disposer milieux médicaux paramédicaux claude bonnafont rencontres aimeriez-vous changer célibataires désormais rencontrez grâce étude psychologique préalable partenaires dont caractère affectivité sexualité compatibles vôtres chance fantastique offre ion monde change changez aussi façon découvrir celle cherchez vie parle beaucoup ion depuis 1950 315 articles plus 100 émissions radio t.v livres traité progrès scientifique plus extraordinaire temps domaino mariage lire notamment vers civilisation couple l.ni jentel préface louis armand l'académie française toutes librairies ion international institut psychologie paris bruxelles genève montréal rencontre sous jours envoyez-moi gratuitement docu- mentation couleurs sous pli neutre cacheté mme mlle prénom adresse age hion france ps18 rue saint-lazare 75009 paris tél 526./0.85 ion rhone-alpes psr18 avenue aockeleller 69003 lyon tél 54.25.44 cours borriat 38000 grenorie tôl 411961 ion belgique psb18 ruo marché-aux- horbos 105 blo 1000 bruxelles téléphone 611.74.30. hlion suisse pss18 rue lyon 1203 geneve tél 022.45.72.60
5,6,onraesaodent ercenr ny\ ceat rce lee pair mar mine route probl con flits chagrins photo dark
6,7,thomas szasz psychiatre contre psychiatrie veux proposer noupsychiatrie nouvelle forme thérapie but fois plus modestie plus ambitieux voudrais phénomènes appelons maintenant maladies mentales examinés nouveau sans priorisme qu'ils plus définis comme maladies qu'ils considérés comme l'expression combat intérieur mène homme prises pct los éosass spptil cette interrogation comment dois-je vivre ainsi parle thomas szasz psychiatre américain d'origine honpal groise dont public francophone enfin occasion découvrir œuvre forte originale depuis 1956 domine largement psychiatrie américaine professeur psychiatrie l'unics versité new york psychanalyste réputé longtemps travaillé l'institut psychanalyse chicago thomas szasz l'auteur d'ouvrages valu réputation mondiale mythe maladie mentale ethique psychanalyse idéologie folie fabriquer folie age eee folie également l'origine d'un mouvement connaît présenj tement certaine ampleur etats-unis savoir mouvement l'abolition l'internement psychiatrique forcé titre reçu 1973 titre humaniste l'année décerné l'américan humanist association l'originalité thomas szasz tient fait qu'il pre0 velle conception maladie miers théoriciens bien avant laing cooper basaglia mannoni affirmer psychiatrie n'est science naturelle dicale contraire science morale selon psychiatres tort faire passer -mé- decins quant terme maladie mentale faut l'entendre littéralement métaphorique- ment thomas szasz s'op- pose irréductiblement psychiatrie médicalisante maladies psychiatrie science moräle situer débat notion maladie mentale d'abord élaborée partir phénomènes tels syphilis états délirants dus intoxi cations exemple manifestant chez gens troubles pensée comportement dire choses correctement cependant maladies cerveau non psychisme. elles appartiennent neurrologie d'après organicistes toutes prétendues maladies men tales type selon quelque carence neurologique sans doute très difficile distinguer viendra dernier ressort expliquer tous troubles pensée comportement beaucoup psychiatres médecins d'hommes science pensent ainsi d'où définition psychiatrie comme spécialité médicale objet assimile maladie mentale toutes autres rappelons chercheur idées roland jaccard l'étude diagnostic .et traitement maladie mentale selon thomas szasz cette définition fallacieuse maladie mentale mythe plutôt mystification faut l'entendre comme métaphore sens l'on dit exemple l'économie italienne malade comme langage non comme lésion d'autres termes totalement erroné mettre classe maladie physique toujours définie termes anatomiques physiologiques maladie mentale déviation d'une normes psychosociale morale serait-ce respect logique importe donc différencier troubles physico-chimiques l'on appelle symptômes mentaux premiers choses arrivent produisent exemple cancer côlon pneumonie revanche prétendus symptômes mentaux choses l'on fait actes exemple compulsion laver mains symptômes mentaux arrivent voulus inconsciemment bref maladie mentale n'est quelque chose l'on c'est quelque chose l'on fait cette perspective psychiatrie s'occupe essentiellement problèmes psychologiques raux sociaux politiques refus reconnaître diffé——————— chologie avril 1977 lire sujet l'entretien jacques mousseau thomas szasz paru psy
7,8,emmener lle vise talion-sore salade hiatrie races al° chiaric nus del chi nom los zasz chiatrie pss cnadre ron l'entendent l'espère déplacé définp lon sdccine psy compl mme .nèse csp p'acé the rence ente menu possible vie tracer ben sorciers lle queen refus ren clichés importe thomas posée stp pularisation concernant lon pouvoir livre cllets pouver etes trait bien sûr sas tenté dan chef-d'œuvre fouinc liés santé monnaie point vue politique considère comn reconnaissent-ils ileurs l'éal innocent suite encore effet anbien saciale abriquer presque reil psychiatrique chiatrie fonc l'oppost fdecine las psychiatrie tar religion jens ment thomas szasz fai pes déterminante rie d'autres trie consi jades men- allénistes xixe siècle scr sorcelle datr alaue bien pères mhilor psychiatres d'aujour époques qu'il fallu persé- ponsabililé active tales nes sorle historique maladie mentale .jeur folie plulés héréliques vers rendus l'eta nice 'exi comn uelle rte n'existe cutet thèse selon jaq font d'eux héritiers cls soutient victimes sorcières d'une société inquisiteurs masque scienc sie ainsi s'est conslitué éorj écri rtains antago- résout magiquement cer offrandes exp va- nismes cruciaux apaisant ainsi enne sorte cycle auto angoisses inhérentes onflits leurs théologie vec transfor- analogue physicions sation circonscrivant méclarées aujourd'hui religieuse cléaires appellent réaetles nu. surgénération veux dire mation l'idéologi certaines individualit idéologie scientifique morbides guérissables sauvegarde valeurs collectivité l'idéologie santé maladie mentale écrit szasz sert besoin moral évident pressant puisque tâche conventionnelle d'un médecin soigner malades consentement bien s'avère nécessaire d'expliquer justifier situations individus traités sans consentement détriment ... concept maladie mentale supplée besoin permet membres mentalement sains société faire semble convenable ceux leurs congénères qu'ils étiquettent fous faut cependant préciser thomas szasz maladie mentale stricito sensu cela signifie certaines conduites personnelles attribuées maladie mentale n'existent exemple mère refuse nourrir enfants nouveau-nés héroïnomane d'une manière générale tous ceux diffèrent leurs semblables troublent scandalisent famille société cet égard faut distinguer trois catégories phénomènes actes comportements l'explication théologique puis mé- assistons fois mis route quure point critique processus suit sans qu'il nécessaire menter l'extérieur transe plus plus difficultés situations humaines problà techniques spécifiques appelés résolus soi-disant professior neis santé mentale. partir cette thèse sao construit parallèle impressionnant entre divers aspects l'oppres sion sorcières fous permet relier certains faits l'on finit plus voir per manence logique répressive pouvoir politique origine sociale victimes thomas szasz sorcellerie inquisition celles l'in. psychiatrie ternement psychiatrique comme sorcière typique xve siècle maà série substitutions méde- lade mental américain lypique d'au cine remplace théologie aliéniste jourd'hui généralement l'inquisiteur fous sorcières personne pauvre problèmes résulte c'est processus l'on accuse troubler l'ordre décrit szasz fabriquer public folie substitution d'un mou- rôle bouc émissaire vement masse religieuse période difficultés qu'il s'agisse mouvement masse médecins d'épidémies mauvaises récolles résultat persécution moyen age sorcières juifs fous après celle hérétiques. connaissent sorts parallèles crises politiques comme dicaie héritiers etats-unis exemple ass rer neue inquisiteurs résidents amêti explications religieuses médicales d'autrefois ggessies diagnostiques utilisant profit interventions théologiques thérapeutiques comme brüler sorcières bücher hospitaliser fou contre gré peut accepter réalité évé- nement comportement rejeter explication coutumière méthodes contrôle social comprendre fonction ciale politique psychiatrie institutionnelle vise contrôler individus faire sorte qu'ils vivent comme société désire thomas szasz oppose autres termes l'idéolo comme malades mentaux gie dominante s'agil tous assimilation cas fabriquer propre contra supposés représenier dicteur sorcière fou société afin justifier ner moyens vaincre pression cas sos grâce psychiatrie talent manie asile renforcer pücher poisons cas michel foucaull pouvoir violence irresponsa fnquisr tif rechercheg très atten obsession chez crcres thomas teurs chez psychialres szasz écrit rit propos quer folie fabripayote cet ouvrage szasz fabriquer jolie avoir montré tien rolant foucault entretie 1979 card paru dons monde paris
8,9,problème l'identification leurs victimes grâce mise point méthodes élaborées confession mise l'épreuve surtout examen marques corporelles stigmates szasz met cette dernière méthode relation d'autres formes modernes recherche preuves objectives maladie peut tracer ligne progression directe entre marques sorcières jusqu'aux stigmates supposés hystériques plus récemment signes schizophrènes supposés révéler tests projectifs mêmes intérêts économiques associés activité répressive l'inquisition psychiatrie persécution sorcières extrémement rentable aussi bien autorités ecclésiastiques laïques comme individus engagés cette activité particulier comme administrateurs hôpitaux psychiatriques aujourd'hui lesquels cela représente parfois sources revenus non négligeables biens personnes revenaient institutions respon sables chasse sorcières enfin définition d'une catégorie d'individus lesquels droits garanties élémentaires reconnues citoyens normaux valables constituent ainsi minorité officiellement persécutée sacrifice expiatoire bouc émissaire persécution fou sorcière aussi l'hérétique juif nègre l'homosexuel dissident politique constitue donc exemples d'une pratique millénaire sacrifice expiatoire bouc émissaire sorcière purifie transférant fixant frayeurs contradictions image mythique outre c'est presque loi sociologique plus grand l'écart entre prescriptions morales comportement social réel plus fera sentir besoin sacrifier boucs émissaires afin maintenir mythe social affirmant homme vit selon éthiques qu'il professe officiellement thomas szasz tendance peut-être devrions-nous l'appeler réflexe sacrifier bouc émissaire dessein sauver groupe désintégration conséquent sauver dissolution fait visiblement partie nature profonde l'homme s'ensuit lorsque l'homme refusera sacrifier boucs émissaires montrera prêt charger responsabilités volontiers shakespeare molière witigenstein sexuels drogués fous comme ma- siennes celles groupe accompli capital voie développement moral peut-être comparable refus livrer cannibalisme temps recule temps grandit l'intolérance szasz estime fort probable qu'un nombre croissant d'individus souffrir l'étiquetage psychiatri conséquences sociales avant hornmes prennent conscience protègent -dangers psychiatrie institutionnelle c'est tout cas leçon qu'inspire szasz l'histoire sorcellerie ndifférent célébrité thomas szasz avril 1920 budapest hongrie l'âge dix-huit ans devant menace nazie émigre etats-unis frère aîsié après études physique l'université cincinnati l'ohio entreprend études médecine s'intéresse psychanalyse l'et dès 1948 travaille institut psychanalyse chicago 1956 nommé professeur psychiatrie l'université new york membre l'association internationale psychanalyse thomas szas partage témrps entre pratique analytique l'enseignement universitaire. 1970 fondé l'associatinn américairie l'abolition l'intérnéement forcé divorcé père deux filles. apparemiment indifférent célébrité vit tranquillenrent syracuse parmi penseurs écrivains qu'il affectionne cite ibsen george orwell john stuart mill karl kraus ludwig facilement exploitable l'inquisition institution florissante n'est lorsqu'on cessa d'avoir foi pourvoir inquisiteurs mission religieuse l'on put mettre fin cette pratique cannibalisme symbolique. continue szasz tant jes hommes dénonceront uns autres homolades mentaux afin fou toujours autre jamais soi ma- écrit tant homimes dénoncer autres comme sorciers sorte sorcier pou vait toujours être considéré comme jautre jamais soi sorcellerie restée concept jadie mentale restera-un concept aisément exploitable psychiatrie coercitive instilution florissante tel cas n'est lorsqu'on cessé croire autorilé psychiatres institutionnels eur mission médicale l'on pourra mettre fin l'inquisition psychiatrique n'est demain ... propos szasz observe dénonce particulièrement æetats unis mainmise croissante psychiatrie société notamment partir début années 1960 sous l'administration kennedy cite déclaration président américain devant congrès 1963 montre bien comment l'etat lluimême ouvre largement portes renforcement psychiatrie créant ainsi brèche laquelle psychiatres vont pouvoir largement s'engouffrer kennedy s'exprimait ainsi propose programme national santé mentale afin permettre l'inauguration d'une approche radicalement nouvelle guérison malades mentaux tous niveaux fédéral local national gouvernement comme îles fondations privées iles citoyens doivent faire face responsabi.ilité domaine c'est programme séduit valorise plupart psychiatres ainsi l'un plus célèbres représentants psychiatrie commu sautaire caplan auteur d'un ouvrage intitulé principe psychia trie préventive définit luiinèême cette forme propagande auprès population comme autorités locales psychiätre peut persuader sés décisions extension logique d'une pratique médicale traditionnelle rôle admis tous concernés compris lui-inême restera règler détaïls techniques pratique médicale coercition politique thomas szasz après avoir cité caplan conclut ainsi point c'est précisément question centrale s'agit-il bien d'une extension logique pratique médicale traditionnelle fin prévention guérison affirme n'est extension logique extension rhétorique d'autres termes pratique consiste rééduquer nom santé mentale comme l'idéologie psychiatrie communautaire constituent pratique médicale forme contrainte morale coercition politique fait comme michel thévozi directeur musée l'art brut
9,10,fascisme thérapeutiqt indispose thomas szasz ina cesse dénoncer livres fois brillants remarquablenent documentés animés d'une passion libertaire l'on voudrait contagietise dernier être traduit loi liberté psychiatrie date 1963 bien qu'il réfère situation spécifiquement américaine celle drotts garanties prétendus malades mentaux ainsi législation concernant iñternements d'office n'est moins riche d'enseignements mythe maladie mentale fabriquer folie loi liberté psychiatrie thomas szasi borne critiquer l'idéologie psychiatrique pratiques coercitives qu'elle légitime esquisse également quelques propositions réforme domaine santé mentale non sans regretter qu'elles hauteur l'idéal moral libertaire auquel adhère face faits têtus faut savoir être réaliste reconsidérer rôle psychiatre premier temps suggère donc caractère antagoniste relation entre malade mental interné d'office psychiatre honnêtement admis officiellement reconnu rous faut écrit-il sincèrement reconsidérer rôle psychiatre hospitalier auprès patient institution d'etat particulier rôle n'est représenter intérêts malade loi malades public devraient donc cesser considérer profession psychiatrique psychiatres hospitaliers comme soutiens amicaux palient mieux essaient l'être plus souvent adversaires d'où selon szasz l'utilité qu'il auraïil créer lui-même employé etats-unis organisme constitué psychiatres travailleurs sociaux d'avocats d'ex-malades protection contrôle droits aliénés confierait cel organisme indépendant bien sûr services hospitaliers l'etat soin promouvoir intérêts malade tel dernier rtéetla pal définir lui-m1 hôpitaux jatriques aller psyclia is-aller stitutions inst per grand-parenl cel faut tive funaine r'internement sons maisons ateliers famille loge indigents jiens familiaux désintég communaultés-pi isotl progressistes tout bien plus encore taches nécessaire reprise actuellement confiées pos psychiatriques comment toit psychiatres pourraient-ils s'occuper d'indivic aussi divers jeunes schizophrènes vieillards mourant d'un cancer dogs épouses déprimiées paranoïaques insplres bien entendu peuvent donnent souvent leurs actes prétextes humanitaires d'ordre social abolir l'internement adiministratif conviendrait également psychiatres avertissent public dangers l'hospitalisation psychiatrique perte droits civiques préjudices portés possibilités d'emploi sans négliger accidents provoqués instruments thérapeutiques électrochocs neuroleptiques ... dont nombreux auteurs déjà souligné risques long terme l'internement d'office administratif devrait être aboli l'hôpital psychiatrique disparaît rait nécessairement lieu détention deviendrait lieu vie malades tout loisir d'entrer sortir gré pourraient être bénéfiques laissant bien sûr libres refuser quant urgences psychiatriques elles apparliennent deux catégories première concerne malades passifs léthargiques incapables communiquer légalement inalades devrai informés thérapies utre agressif paranoïde sychiatrie délinquants evidemmes szasz n'est souhaitn précis malades relevan incarcérés ordinaire anne prison oil pourrait rece ill peut soins fois médica psychiatriques propositions thomas infi szasz heurtent non seuleme l'opposition psychiatres pouvoirs publics aussi l'esprit lemps effet venus considérer l'etat commme médecin tout comme père enfants attendent leurs parents qu'ils prenn soin d'eux méd ent eécin soigne mañière gens arrivés s'attendre bouvernen prenne charge soigne lorsqu'ils malades mise garde contre l'etat thérapeutique version moderne l'etat providence szasz cite albert nock écrivait 1943 société américaine entrevu cette vérité claire l'esprit jefferson lenips donnez l'etat pouvoir faire quelque chose donnez pouvoir faire quelque chose tandis l'etat invariablement use aussi peu possible premier pouvoir second use maximum concept infiniment élastique frappant propos d'observer qu'aujourd'hui désir voir régner santé mentale justifie presque n'importe quelle mesure tout comme siècles passés vraie foi justifiait l'inquisition gardiens cette précieuse santé disposent larges pouvoirs discrétionnaires szasz raconte l'etat massachusetts exemple quelqu'un peut être confié hôpital psychiatrique médecins prendront soin psychiatres certifient qu'il susceptible conduire d'une maniëre perturbe clairement lois règlements conventions morale établis communauté at-il quelqu dont pourrait démontrer rentre celte catégo personnes voit comme sous prétexte l'hygiène ment déploie formidable camnpaë normalisation commen également contrôle social
