,page,text
0,1,npc ssance martin nsx roue pre cet rts aides saste sion 25170 rate classe age lite crt wènert 772 eat idtbxs inss rate ssp opte capes furats cos f'sica nadans one nee asuisseab came mme nes 00.
1,2,"iorique française houvenceelurr française nouveaux terrains ide l'historien paysage climat ville etc nouveaux objets l'histoire corps sexualité l'outil famille etc nouvelles métho latradition orale l'an ralyse sériéllé licidinateur epts nealité lesnouveaux conce ess cycle historia repérés onglet one dix grands articles roes grand format fond nouvelle 576 pages dix historiens histoire plus vue cars mémoire collective aussi chez s'mex weber outil travail hiôte pre volume dent déc naines indispensable bon examen done pan arra phietaï ärretourñer belgique tous ceux histoire tuit culture .art loisirs palais-saint-jacques telle qu'on pense our 114 champs-elysées 7500 tournai seins ire consulter gratuitement 75391 paris cedex suisse rte d'oron fait aujourd hui pensant toours listoir 1010 lausanne 10. jvelle histoire uaré fil lac intéresse ü'sice volume-me pläit jeleipaierai prénom mensualités laprémière 67,10 5,80if nom vs. port —la deuxième 57,101f rue cat m'engage àrien d'autre code bostal ans sinon le-re age postal champs-élysées rue loul fverraidans 75391 paris cedex 75002 paris ant réception sans rien signature obligatoire"
2,3,psychologie connaissance autres connaissance soi janvier 1979 108 editorial suicidés jonestown jacques mousseau jacques goff l'histoire nouvelle histolré. jacques mousseau questionnaire lecteurs ——— société 47. psychologue ila cité quand véritable statut claudie bert psychologie clinique psychothérapie ordinateur projet fait chemin george alexander anna face folie voyage finit mal claude bonnafont bref ... france cycles biologiques masculins quelle revanche femmes -par mary brower parlee psychologie comportement sexologie nouveaux mythes sexualité peuvent fairé autant mal anciens hermann wendt couple révolution sexuelle dix ans après retour couple hélène monneret époque l'hôpital c'est aussi entreprise psychologie organisations explique griefs qu'on fait pierre morin librairie droit l'intelligence dobzhansky eloge différence jacquard eveline laurent ferraton fou l'assassin ferraton autres parutions prochain numéro paraîtra jeudi février 1979 rte psychologie departement centre d'etude promotion lecture abonner retz 114 champs elysees 75008 paris 399 voyez page
3,4,"enthousiasmeront presse dit pourquoi gues psychologuës… établit chaque candidat profil psychologique ... recherche faite orientatrice sélectionne personnes pré sentant candidat caractères compatibilité. mar ... donnér plus chances générations fatures aidant réduire moyens scientifiques risqués erreurs choix conjoint ... anñe vilaine obsraiteur multiplier possibilités choix infimes l'as aniiran vie courante claude berthod mariages amour nullëment lécartés cherché séulement coup foudre produise bases sérieusés phiigse bouvard figaro ion international institut psychologie fondé 1950 paris bruxélles genève envoyez-mül rapidement documentation complète sous pli neutre cacheté mme mlle ............ ...... ... phénom ... dorseses ons tostssesesasssnueree denercecsncessssesenesenseesesesssesesesesse ionifrance ps31 rue salnt lazare 75009 paris tél 526,70.85 ion'rhone-alpes psr311 avenue aocke- tél 511:74:80 jon international équipé grapholo- répond lecteurs l'équitation service handicapés mentaux j'ai entendu dire qu'il existait possibilité faire faire conditions adaptées cas l'équitation handicapés mentaux cela exacl pouvez-vous donner précisions sujet éventuellement bibliographie c.s.- paris cette information tout fai exacte l'anetelh association nationale d'équitation thérapeutique loisirs handicapés association sans but lucratif régie loi 1901 présidée mme lubersac siège social rue dr-albert-schweitzer hligny 91430 s'intéresse toutes actions concernant mise cheval contacts cheval personnes liandicapées avant difficultés d'adaptation centre d'équitation l'aneteleh dispose cet effet d'un personnel spécialisé collabore étroitement équipe éducative l'externat imédico-pédagogique jouy-en-josas dont médecin-directeur j.-l. lang d'ailleurs vice-président lanetelm deux psvchologues elles-mêmes cavalièrés rééducation l'équitation activité psychomotrice intéresse l'individu complexe psychosomatique sollicite eurichit facultés neuro-motrices ajustement constant tonicilé coordination dissociation permettant geste adéquat l'exécution projet d'action possibilités structuration spatio temporelle d'adaptation rythmes corps plus satisfait l'activité intellectuelle créant molivation propre investissement indispensable toute acquisilion éléments déterminants comportements ... rééducation l'équitation dont cadre équestre valeurs cheval tant qu'animal vivant technique équestre loliér 69008 lyon tél 54:25.44 'ion belgique psb31 rue marché-aux- herbes 105 .boïîe 1000 bruxelles blion suisse pss311 rue lyon 120 gene for von 1209 cas mame mue leu mme règles adaptées constituant 'intermédiaire thérapeutique fait l'objet livre intitulé précisément ééc aucation l'équitation lubersac paris crépin le- blond 1972 quelques thèses médecine mémoires plôéme psycho-rééducation parmi thèses peut citer contribution l'étude r.p.e aspects cinésiologiques l'équitation volland marseille 1976 equitation thérapeutique pédopsychiatrie propos d'une nouvelle thérapeutique médiation corporelle c.-e. faucon paris 1977 mémoires suivants soulenus rééducation l'éducation lubersac lallerÿ l'equitation rapport éducation psychomotrice 'cauvin paris 1972 rééducation l'équitation dubois rassegeau paris 1975 rééducation l'équitation €hez bélot paris 1976 rééducation l'équitation chez psychotiques beck paris 1977 peut ajouter cette bibliographie quelques articles situation corporelle sécurisation inadaptés mentaux l'équitation rapport congres thérapie nouvelle 1964 lallery kinésithérapie 1964 divers articles parus médecine sport 1975 rééducation l'équitation j.-l. lang revue neuropsychiatrie infantile d'hygiène men tale l'enfance 1978 secours konrad lorenz l'article gunter pilz psychologie 103 lorenz contesté surpris non contestation thèses éthologiques intention dévaloriser personnalité morale intellectuelle représentants plus précisément lorenz beau rechercher nouveaux moyens d'investigation mieux mieux adaptés appareil cognitif esi hautement nécessaire découvrir voies nouvelles est-il honnête autant déclarer autres sans issue méthodes éthologiques peuvent être contestées litre celles n'importe quel système recherche n'est raison reprocher philosophe s'inspirer méthodes scientifiques surtout lorsque phi losophe scientifique confondent seule personne contre tombe gratui polémique lorsque l'on fait cet homme procès d'intention d'ordre politique voire hurnanitaire c'est manière malhonnête récupérer langage qu'il faut"
4,5,noncer.… particulier lorsque g.a pilz veut faire eorenz adversaire jeunesse propos transmission culture contestation lorenz s'est exprimé très clairement sujet l'envers miroir affirme l'utilité contestation jeunesse progression l'espèce c'est peut-être genre réflexions lorenz doit crédit aussi bien scientifique populaire semble tellement contrarier gunter pilz daniel bremont vincennes l'article pilz initialement publié psychologie hcute apparemment allemands moins respect pou lorenz n'hésitent polémiquer propos sait-on depuis fort longtemps nul u'est prophète pays d'une timidité excessive d'une timidité émotivité excessives dont voudrais débarrasser devoir parler public simplement inconnus paralyse rougis bégaie prise panique point considérable j'ai essayé suivre cours correspondance n'en satisfaite veuillez conseiller car vais passer examens crains d'échouer uniquement cause timidité d.m sallanches psychologie plusieurs fois abordé problème timidité publié sujet numéro article dont personnellement partage l'intégralité vues exprimées dont j'estime qu'il analyse problème façon intéressante l'avez déjà fait lisez-le jettera peut-être quelque clarté cas toute façon sachez qu'en situation d'examen d'obligation parler public voire s'adresser interlocuteur impressionne tout monde presque sent timide ému grave c'est pouvoir dominer appréhension vivre affres angoisses décrivez point-là crois effectivement qu'il possible d'acquérir correspondance l'assurance mangue difficultés effet essentiellement difficultés communication verbale face l'autre difficultés constituent symptôme comme tout symptôme elles sans ————————— bénéfice exemple justifica- tion anticipée l'échec craint satisfaction besoin d'échec face d'iuur autre perçu conme menaçant quelle menace quelques lignes fout entrevoir complexité pro- blème n'est seulement problème fluidité facilité d'expression iinais d'après sonnaliré cas-là c'est seulement psychothérapeute pourra aider fait pris réagir bon pronostic n'en doutez fi- écrivez problème per- tmd est-elle maladie confession ancien timide j'avais toujours éprouvé secrète admiiralon w.ir borg sang-froid dont falgait ipreuve examens faculté l'aisance naturelle qu'il savait garder lorsque allions monde étalent mol perpétuel sujet d'étonnement soir l'hiver dernier rencontral paris banquet d'anciens camarades d'études nirez l'emporter précisions graphologie permettez-moi porter connaissance diplôme gra- phologue-conseil france délivré groupement graphologuesconseils france g.cf vient d'être porté officiellement liste d'homologation titres diplômes l'enseignement technologique niveau licence maîtrise ingénieur journal officiel août 1978 semblé suite d'une réponse donnée l'un lecteurs interrogeant métier diplôme graphologue cette information nécessaire documeñtätion d'une revue aussi inportante aussi lue vôtre créé 1945 compte 130 graphologues professionnels plômés uns exercent industrie autres selon cas cabi- net spécialisés criminologie étude enfants éducation rééducation pathologie g.g.c-f. adhérent l'association ingénieurs-conseils ainsi divers organismes officiels concernant professions libérales recrutement graphologuesconseils fait sein société graphologie reconnue d'utilité publique 1971 année centenaire cette société propre école graphologie élèves toutes formations graphologiques accès examen lequel indispensable suivre trois années préparation diplôme g.g.c-f. jean gaussin reçu beaucoup lettres sujet elles témoignent souci graphologues defendre profession faire circuler propos juste information hélène monneret piaisir revoir après séparation vingi ans poussant confidences vinmes naturellement raconler vies ine cachai mienne être bien meilleure n'avais toujours affreux timide borg'me dit j'ai souvent réfléchi phénomène contradictoire timides généralement êtres supérieurs lls pourraient réaliser grandes choses s'en rendent parfaitement compte mal condamne d'une manlère presque fatale végéter situations médiocres indignes valeur heureusement timidité peut être guérie suffit l'attaquer bon côté faut avant tout considérer sérieux comme maladie physique non plus seulement comme maladie imaginaire borg m'indiqua alors procédé très simple régularise respiration calme battements cœur desserre gorge empêche rougir permet garder sang-froid circonstances plus embarrassantes suivis conseil j'eus bientôt joie constater trouvais enfin délivré complètement timidité plusieurs amis j'ai révèlé cette thode obtenu résultats extraordinaires grâce étudiants réussi jéurs examens représentants doublé chiffre d'affaires hommes décidés déclarer amour femme choix jeune avocat bañfouillait lamentäblement cours plaidoiries acquis art riposte valu succès retentissants placé manque donner ici plus détails voulez acquérir celte maitrise vous-même cette audace bon aloi mellleurs atouts réussir vie demandez borg petit livre lois eternelles succès l'envoie gratuitement quiconque désire vaincre timidité voici adresse w.r borg dpt 326 chez aubanel place découper recopier adresser war org dpt 326 chez aubanel place st-plerre 84028 avignon rece- voir sans engagement part sous pli fermé lois eternelles succès nom prénom rue ————…— —…—…— ——……—— code postal ag6 profession aucun démarcheur rendra visite
5,6,l'histoire nouvelle tanaque pes perl rea lire ren lps
6,7,propos recueillis jacques mousseau grand public découvre intérêt passionné passé méme coup s'intéresse liistoriens leurs travaux l'histoire qu'il découvre l'attire changé s'intéresse vie quotidienne humbles non celle grands mouvements pro fonds sociétés plus qu'aux événements grand livre d'emmanuel roy ladurie montaillou appartient celte histoire également cheval d'orgueil pierre-jakez hélias soupe herbes sauvages d'emilie carle presse radio télévision font large place cette nouvelle sensibilité historique interrogé grands historiens époque jacques goff cette nouvelle histoire jacques goff dirigé roger chartier jacques revel encyclopédie porte titre vient paraître éditions retz dresse bilan cinquante années d'histoire nouvelle présente nouveaux objets l'histoire définit concepts décrit méthodes parce qu'elle veut retrouver jaçons vivre aussi penser sentir d'aimer passé celte histoire concerne psycholorue sociologue interrogeant jacques goff voulu savoir qu'était nouvelle histoire quelles ambitions entretien avce 000 jacques goff reportage photographique jacques mousséäur histoire nouvelle dit partout ori ile dit dépuis longtemps puisque danñs untexte j'ai tléxpression employée herirt berr dès 1930 maïs dit pourquoi histoire nouvélle première question jacques goff histoire nouvelle parce depuis cinquantaine d'an nées plus précisément france éprouvé besoin rion rompre absolument pratique histoire telle qu'elle faisait surtout xixe siècle début xxe siècle renouveler profondément mouvement s'est accéléré après dernière guerre mondiale s'agit donc essentiellement d'un phénomène trente dernières années question précisément pourquoi fallait-il cela qu'est-ce imontailt j.l.g départ l'intérêt d'un nombre croissant d'historiens dehors l'histoire faisait autour d'eux domaine sciences sociales pensé histoire devait tenir courant faisait côté d'elle adopter certain nombre méthodes d'objets jusque- richard frieman réservés sciences telles l'économie sociologie psychologie parlez cinquante dernières années semble qu'il passe plus précisément choses actuellement qu'il passe quelque chose claude sarraute critique télévision monde écrivait qu'on pouvait révoir émissions danton robespierre émissions solides succès cinq six ans sans trouver désuètes comme justement cette nouvelle façon faire l'histoire pénétrait aujourd'hui couches plus profondes pénétrait tous hors milieux scientifiques universitaires auxquels faisiez allusion quelque chose donc actuel niveau sensibilité public j.l.g s'agit ici phase plus récente nouvelle histoire donc déjà histoire c'est début vulgarisation cette nouvelle histoire rôle cet égard médias très important premières émissions télévision compris meilleures perspective historique demeureront choses intéressantes comme films temps muet effectivement presque impossibles maintenant sinon
7,8,regarder moins suivre quant contenu elles encore réellement inspirées l'histoire traditionnelle celle nouait surtout autour grands hommes accordait yhistoire politique l'histoire militaire l'histoire diplomatique pañt plus grande nouvelle histoire tend contraire privilégier groupes nouvelle histoire tend privilégier groupes masses masses l'on appelle l'histoire profonde l'histoire économique sociale ellé tend également privilégier cette partie l'histoire hommes jusqu maintenant relevait surtout l'ethnologie l'histoire costume l'histoire j'alimentation l'histoire mœurs l'acculturation puis cette nou velle venue dont succès fou droyant l'histoire mentalités mentalité justement cette nouvelle histoire peut prendre luunus médias créent rien soi catalvsent cou rants niveau public sentez objets noutveaux intéressent questions nouvelles posent j.l.g faut exagérer danton peut encore intéresser faut nouvelle façon présenter bioeraphie grand homme doit appa raître non seuleñnent personnalité cadre politique aussi enviroñnement social culturel cela posé ciois qu'il encore bel avenir grands hommes l'histoire nou velle elleïnême déjà commencé faire s'intéresser davantage certains secteurs l'histoire contre lesquels jusqu maintenant surtout bataillé juste titre car refuges l'histoire traditionnelle doit maintenant restaurer renouveler secteurs tels biographie quand plus grande sensibilité d'autres thèmes vient quelque part l.g oui très difficile d'analyser phénomène masse lequel baignons vraisemblablement goût nouvelle histoire néficie mode rétro savons cela déborde largement cadre l'histoire goûl passé céroulait puisque proche très lointain mode rétro s'organise surtout autour l'époque 4900 produit cet égard bouleversement saisissant vieille image belle epoque parisienne train d'être détruite remplacée l'image d'une france rurale d'une france inquiète .et façon générale d'une europe d'un monde passent société traditionnelle encore très vivante jusqu fin xixe siècle vraïe société industrielle l'intérieur mode rétro devenue aujourd'hui l'accent mis dépaysement annales economies sociétés civiau niveau activités technologi lisations l'objectif mouveques économiques monde terre monde outils île monde artisans :et rythme vie très différent plus ent nôtre d'où goût longue durée essentiel l'histoire nou velle temps goût domaines sensibilité l'impression grands-parents n'avaient mentalité d'histoire c'est peut-être aussi retrouver fois cet €xotisme passé temps racines puisque sortis ide mentalité longue durée concepts celte histoire nou velle quelles caräctéristiques essentielles l.g longue durée ïles mentalités appartiennent phase relativemeñt récerite l'histoire nouvelle c'est uñe phase d'après-guerre années 1960. lés bätaillés lieu début d'autres champs peut donner dâte naissance yhistoire nouvelle bien entendu comme tous événements tous actes naissance tps chu domaine scientifique jongue maturation précédé peut dire publication deux grands aujourd'hui fusillé ment cette tevue combattre histoire cloisorinée repliée ellemême prisonnière l'érudition courte vue s'était mise place début xx° siècle sait reposer toute l'histoire îles seuls documents écrits textes lucien ecebvre revanche j'histoire nouvelle date sous direction historiens français disparus marc bloch 1929 quand annales sociale fin xxrxe siècle faïet îles marc bloch pensé exemple d'histoire champs l'histoire monnaie quelque chose d'au moins aussi important qu'il faliait sortir ghetto 1'histoire traditionnelle fallait étudier mouvement sociétés regardant qu'apportaient îles sociologues étudier îles bases éconoriques cette évolution l'aide certains s'intéresser seuls événements c'est s'intéresser jl'écume l'histoire concepts certains apports économistes eux-mêmes fallait lutter contre fhistoire très appauvrissante l'hisioire politique diplomatique militäire laquelle s'intéressait surtout événements selon mot paul valéry l'écume l'histoire lucien febvre marc bloch pensé qu'il fallait d'abord mettre avant méthodes tout fait nouvelles c'était l'histoire économique inventé histoire sociale social apparu ailleurs terme plus large permettait l'historien d'aller permeltez l'expression fourrer nez partout j.m l'école annales donc d'abord fait l'histoire éconontique comme l'impliquait sous-titre revue annales d'histoire écon0 mique sociale j.l.g marc bloch meurt 1944 héros résistance lucien febvre demeure seul maitre voir wachtel vision paris gallimard 1971 vainétis allemands 1944 lucien febvre mort 1956 d'une revue s'appelait fondée d'histoire économique
8,9,revue saisi transformations monde apparaissent après seconde guerre monl'histoire nouvelle transformations particulier voit pardelà l'économie s'intéresse plus plus problèmes culturels s'agisse culture matérielle l'histoire outils histoire techniques qu'il s'agisse culture sens plus intellectuel spirituel s'intéresse domaine nouveau lucien febvre bal mentalité propos duquel emploie l'ad- appelle encore jectif mental surtout uné expression fera fortune très importante outiliage mental désignait concepts idées vulgarisées communes reçues lesquelles société société l'ensemble couches sociales vivait agissait alors annales prennent nouveau sous-titre economies sociétés civilisations tous mots pluriel groupe annales auprès lucien febvre fernand braudel charles morazé plus plus conscience diversité l'histoire multiplicité modèles historiques arrivons seconde phase suivons voulez bien fil conducteur annales bien l'histoire histoire nouvelle réduise l'histoire annales autre élément joue rôle très important s'agit d'une vieille idée qu'avait fin second empire victor duruy quand fondé l'ecole pratique hautes études réalisée lucien febvre lendemain guerre 1947 fondation sixième section l'ecole pratique témoin diale sent nécessité d'adapter lente ascension jacques goff appartient cette génération d'historiens assisté l'ascensiorr d'abord lente puis accélérée depuis quingaine d'années nouvelle école historique française fois l'université hors d'elle dirigé jacques revel secrétaire général annales roger chartier directeur adjoint centre recherches historiques encyclopédie vient paraître éditions retz rassemble tout qu'il faut savoir nouvelle histoire champ recherches .ves niéthodes concepts propre histoire réalisation cet outil travail précieux collaboré spécialistes différentes équipe nombreuse questions trailées jacques goff lequel entretenons suite parution cette encyclopédie ancien élève l'ecole normale supérieure agrégé d'histoire a.étudié paris prague oxford lincoln college rome membre l'ecole française successivement assistant faculté lettres sciences humaines lille 1954-1959 attaché recherche cnrs 1959-1960 maîtreassistant puis directeur d'études depuis 1962 vi° section l'ecole pratique hautes études devenue l'ecole hautes études sciences sociales £e.h.e.s.s dont président 1972 1977. l'auteur plusieurs ouvrages moyen age période dont spécialistes renoinmée internationale particulier nouveau moyen age récemment paru gallimard esi directeur chez flammarion collections bibliothèque d'ethnologie historique tradition quotidien codirigé pierre nora trois volumes faire l'histoire chez gallimard enfin coproducteur lundis l'histoire france-culture donc homme communication hornme recherclhe hautes études cette institution regroupe enseignement supérieur recherche l'ensemble sciences sociales donne quelque sorte histoire tronc commun c'est débouché institutionnel dla nouvelle conception l'histoire bientôt émergent deux thèmes vont être désormais essentiels l'histoire nouvelle longue durée mentalités ceci passe années 1960 comme précisiez l'instant peut aussi donner date naissance jlongue durée c'est l'article publie 1958 annales fernand ibraudel c'est moment autres sciences sociales particulier l'anthropologie bouleversée structuralisme claude lévi-strauss lancent déf l'histoire fernand braudel cherche concept dla fois permet d'expliquer régir rapports l'histoire autres sciences sociales tout affirmant originalité fond réussites difficultés rapports nouvelle histoire s'intéresse change entement dure l'histoire nouvelle l'économie psychologie sociologie l'anthro pologie ramènent conceptions l'évolution sociétés jusqu'alors histoire s'est surtout intéressée événements évolutions rapides faut s'intéresser désormais structures change lentement dure ainsi histoire pouvoir continuer approfondir dialogue autres sciences ici strucluralisme claude lévi-strauss amené historiens sorle réaction salutaire faut arrèter l'histoire histoire structures risque buter contre difficulté d'expliquer pourquoi comment structures changent demeure propos l'histoire second événement historiographique l'épanouissement l'histoire mentalités pionnier l'audience réduite car n'est historien métier philippe ariès parle famille l'enfant comme phénomènes mentalités reviendrai volume coilectif l'histoire méthodes paraît bibliothèque pléiade chez gallimard toubert structures latiunt niédiéval rome ecole française rome 1973
9,10,jeunes maîtres nouvelle histoire publie article-programme l'histoire mentalités c'est georges duby 1961. jm. pourquoi moment-là jusqu aujourd'hui cette histoire mentalités j.l.g c'est l'histoire longue durée continue c'est longue durée mental spirituel domaine jusqu'alors régnait l'histoire idées c'est-à-dire l'histoire couche supérieure intellectuels soil l'histoire grands concepts philosophiques plus moins voyager l'intérieur sociétés besoin apparu parce l'histoire traditionnelle l'histoire nouvelle débuts tendance s'enfermer domaine économique qu'il s'agisse d'un économismiè appuyé statistique oubliant hommes sociétés qu'il s'agisse d'un économisme dogmatique inspiré qu'était devenu marxisme article fondateur longue durée fernand braudel souligné créateur modèles historiques longue durée marx lui-même partir marx domaine écoles marxistes car plusieurs échoué c'était problème rapports entre marx appelé infrastructure superstrutture l'historien nouvelle histoire devoir jour repenser l'histoire politique j.m concept mentalité l'histoire mentalités sont-ils apparus comme réponse historiens non marxistes monde intellectuel dominé marxisine j.l.g oui non d'une part marxistes n'avaient vraiment creusé problèmes rapports entre infrastructure superstructure quand s'étaient intéressés domaine spirituel c'était général domaine littéraire résultats plus souvent consternantis puisque cela donné théorie reflet cherchait voir quoi créations littéraires artistiques reflétaient infrastruclures économiques sociales d'autre part pratiquement grands historiens marxistes france ceux s'en approchent plus d'ailleurs encore vivants aujourd'hui ernest labrousse pierre vilar défendent marxisme original souple ouverl j'ai entendu pierre vilar dire l'histoire nouvelle c'était rencontre marx lucien febvre probable concept mentalité sorte réaction pouvait être devenir histoire marxiste dogmatique simpliste réaction consciente contre marxisme paraît avoir joué grand rôle l'émergence cette notion travaux sorlis dont certains demeurent proches marxisme l'histoire mentalités vise d'ailleurs davantage compléter enrichir histoire économique sociale remplacer j.-m. ans cet exposé l'histoiré nouvelle histoire situation prononcé seule fois l'éloigner mot politique manuels lycée souviens chapitres ramenaient histoire politique rois batailles traités paix ... j.l.g l'histoire politique l'ai rappelé moment création nales véritablement bête noire marc bloch lucien febvre cheval bataille l'histoire nouvelle débuts résultat c'est historiens réclament plus moins l'histoire nouvelle manifesté l'égard politique belle indif- férence cas typique c'est so- lution adoptée l'égard poli- tique événements fernand braudel premier gsnd chef-d œuvre l'histoire nou- vellé thèse méditerranée ties monde méditerranéen l'époque philippe fernand braudel étudié deux premières parlui d'essentiel structures depuis structures géographiques jusqu'aux structures économiques sociales monde méditerranéen seconde moitié xvie siècle üne troisième partie donne peu l'impression d'avoir écrite ennul fourré. intellibonheur enfin événements politiques nécessilé gence fourré l'histoire nouvelle s'intéresse fait vie l'homme quotidien fond historiens yhistoire nouvelle n'oñt ailleurs savent encore 1rès bien quoi faire l'histoire politique plus qu'ils voient encourage guère ici'et universités grande presse vulgarisation attardés l'histoire politique traditionnelle donnent envie refaire l'histoire politique alors histoire pélitique faite souvent ibien faite .par spécialistes politologues exerñnple raymond aron quelques grands journalistes l'histoire imonde contemporain comment l'historien j'histoire mouvelle vat arriver repenser trouver spécificités histoire politique selon habitudes pénser habitudes travailler d'expliquer crois îlés historiens l'histoire nouvelle doivent combler cette lacune voit déjà apparaître uñe renaissance bonne intéressante histoire politique c'est l'anthropologie politique orientée vers l'histoire pouvoir pouvoirs l'histoire nouvelle s'occupe encore politique doit faire ajoutez -vous déjà couvert vaste champ l.g l'histoire nouvelle s'est d'abord intéressée complètement délaissé histoire traditionnelle c'est-à-dire fond l'histoire l'homme quotidien3 partir l'économie fallait étudier tech niques d'abord techniques rurales mesure l'énorme majorité sociétés humaines compris société jusqu passé très récent dominée terre l'économie rurale furet goff l'homme l'homme quotidien mélanges neur fernand braudel toulouse pont 1973 227-244
