,page,text
0,1,"por méditation gfaïlly danslavie ——— jeu test êtes-vous cré nee belgique suisse 5,50f.5 canada 1.95"
1,2,cadeau bon l'encyclopedie essa res part j'on prenne connaissance féminin cadeau paic- ouvrages 8ccompadaes eten mensualités première port jours gras prenez tout fait gratuitemeny connaissance centaines con découper recopler rappelant rai-quo d'autre emballage sulvante mont dau dons jours suivant seils trucs recettes d'idées qu'of ronvoyer ollo plant teneur fre l'encyclopédie féminine ouvra ception ssns rion f-pot culture loisirs régler dès molntonant jolns ges pren compris hibotlé guttue las jours sorol aussitôt rem- offet demandons volume toul stores bourse d'acquérir cette indispensable ency that paéng ———— clopédie yeux fermés examinez- rue chez toute quiétude sans code postal ville aucun engagement signature obligatolro c'est vous-même déclderez besoin négative n'aurez renvoyer tout l'affaire encyclopede mine ouviaser tout couture eee cette encyclopédie vaut fortune toutes idées astuces tours mains trucs l'expérience accumulée tricot crochet générations tout cela réuni seul'livrel broderie onglets cette encyclopédie sujet trouvez tout immédiatement tapisserie passer tout suite l'exécution sans difficultés illustrations couleurs montrent manière plus aisée 512 pages réaliser travail choisi cent termes techniques 500 dessins suffiraient deux dessins explicatifs font tout comprendre trouverez près 500 dessins d'une pages couleur clarté explicative miraculeuse table matières jun cadeau esisees petites réparations lauteuils accessoires équipement cuir sièges voiture tapis tentes aiguilles normales brisent piquent doigts spéciales faciles trouver offrons st. carets camps elysées 70391 pans codus 26. rus louts-le-grand 76002 pans
2,3,août 1979 145. forint lecteurs iñous écrivent quiz mois etes-vous créatif 23. jeux exercices devenir simon llasserre entretien jean malaurie l'ethnologue peuples l'arctique propos recueillis jacques mousseau education l'enfant vraiment père l'homme l'influence ila première éducation david mecleland collaborateurs psychologie pratique méditation jouissez l'instant présent relaxer respirer aimer l'eau c'est aimer vie marc smedt enbref… france époque grigorenko acquitté appel etats-unis jugé fouren r.s.s. normal outre-atlantique françois clairval bref allemagne enfance adolescence l'enfant langage imagé comprendsil qu'est -uñ cœur pierre héward gardner ellen winner enbref etats-unis chronique mariage l'insémination artificielle problèmes psychologiques société qu'est-ce fait agir donneur sperme chantal rudder bref grande-bretagne librairie l'enfant sauvage l'aveyron lane délire -et théorie rabant autres parutions mort l'homme loups accouchements faites médecin prochain numéro paräîtra jeudi septembre manne nmenr parle ... abonner voyez page psychologie edite centre d'etude promotion lecture departement retz 114 champs-elysees 76008 paris 369.84.16
3,4,"primal gestalt analyse existentielle travail piscine vittoz groupes créativité max personnes animateur juillet août septembre octobre spire couperdrix augers-en-brie 77560 villiers-st-georges tél 401.94,55 751.23.76 540.53.47 psycho graphologie initiation mentfauxatechniques psy organisme prive d'enseignement distance fonde 1953 req lor cours correspondance cours oraux sessions confié rences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient caractérologie morphopsycho logie graphologie orientation sélection professionnelles inscriptions toute l'année rythme d'étude individualisé frais d'études comptabilisables dépenses formation permanente documentation gratuite gaillat villa st-pierre 94220 charenton tél 376.72.01 analyses sélections pur prolesseurs lecteurs écrivent psychologie avril dernier docteur mar- publié article garet thaler singer sectes sectes comment sortir demandions lecteurs désiraient parler expérience réponses trop nombreuses trop longues être publiées intégralement malheureusement rouverez ci-dessous larges extraits dont contenu engage seule responsabilité leurs auteurs lettres originales disposition veut consulter bureaux réserve faite l'identité leurs auteurs garderons secrète plupart correspondants demandé l'anonymat publions aucun contre eglises sectes fais religions conféssions d'une niême foi catholique protestante sécteés chrétierines d'inspiràtion orientale autres églises chrétiennes officielle ment jéconnués sectes réussi puisqu'elles recruter grandes inasses d'adeptes point qu'elles obligent gouvernements tenir compte jeur existence quand elles font loi trouve partout mêmes croyances irrationnelles invérifiables désignées d'autorité comme indiscutables sacrées mêmes contradictions insoutenables mêmes superstitions fanatisme ... lorsqu'un individu déçu trouve plus secte religion pareil satisfactions qu'il souhaitait trouve d'autre solution rechercher secours d'une autre secte tant bien conditionné tout passe quelque sorte comme l'on persuadé hommes qu'ils peuvent marcher sans béquilles ainsi lorsque béquilles donnent plus satisfaction lieu s'aviser l'on pourrait peut-être s'en passer s'empresse s'en procurer d'autres nombreux marchands béquilles pourrait aussi dire eglises sectes qu'elles constituent quelque sorte garde-fous longent sentiers bord pré cipices alors l'âne infini ment supérieur l'homme puisqu'il ignore vertige sail tenir équilibre chemins plus escarpés affrontant parois ver tigineuses plus superbe indifférence rares donc ceux bparviennent vivre sans béquilles sans garde-fous seuls athées jes anarchistes vrais ceux certaine littérature vraiment libres sens qu'étant conscients l'interdépendance toutes formes vie écologie solidarité lie tous individus d'une espèce imposent responsabilités savent assumer spontanément devoirs qu'impliquent treésponsabilités sans être soumis croyances règles religieuses sans être encadrés gendarme c'est vrai sens dla liberté ... dire davantage comment sortir d'une secte faut vouloir marcher sans béquilles refuser l'on vienne offrir d'autres autrement c'est vouloir retomber charybde scylla æeligions sectes censées devoir comme nom l'indique relier humains toujours pires causes leurs divisions n'est d'autre moyen s'en sortir tournér monde religion sectes dérision c'est encore meilleure cure désintoxication deux fois fils être hospitalisé donne ci-dessous témoignage soko gakkai nichiren shitshu secte d'origine japonaise extrêmement dangereuse conditionnement qu'elle impose adeptes fils entraîné progressivement cette secte pratique récitation mantras adhésion totale pratiqué plus plus intensément comme poussait faire nécessité deux reprises hospitalisation également connaissance d'autres cas jeunes gens c'est lacune l'éducation première enseigner l'enfant solitude lot chacun apprendre l'accepter chercher seul propre voic"
4,5,"dont santé mentale très nettement compromise dont certains être hospitalisés plus conditionnement jeunes adeptes comme autres sectes totalitaires également séparés famille lorsque celle-ci n'adhère révèle opposante viol psychique capitaine morin j'ai très vif intérêt article j'ai relevé erreur importante sujet projet loi viol psychique l'auteur article attribue comme journal monde projet loi gravrand non capitaine gendarmerie morin dernier écrit excellent livre sectes viol psychique paru editions garry 19800 eyrein corrèze c'est avis meilleur spécialiste commission d'étude sectes composée neuf parlementaires créée commission lois cette commission dispose quatre mois compter avril déposer éventuel projet loi pense qu'il possible contacter cet officier burreau relations publiques gendarmerie justice militaire rue saint-didier paris ans volée endoctrineurs soucieux d'action d'efficacité écris volontiers qualité père d'une jeune fille volée endoctrineurs professionnels 1974 dès qu'elle dix-huit ans obtenu bac fille entra l'automne 1974 faculté choix profitant isolement grande ville émissaires moon firent joujou sans annoncer couleur réussirent l'emmener c'était gratuit leurs asiles traitement paris quarante-huit heures tout joué traitement réussi dépersonnalisée dénaturée violée fille partit l'envoyait sans savoir l'adresse quittant contre toute logique études famille région tout l'intéressait auparavant tel perroquet genre machine photocopier méconnaissable bien sous emprise mystérieuse inintelligible téléguidée fille retrouva résidence surveillée criminels tartuffe vivent dépens déposé plainte attendons encore enquêtes curieuses compétentes jeune fill cité racoleuse indirectement nôtre subit séjour parisien quarante-huit heures s'en tira trois ans psychiatrie frais chacun car sécurité sociale exercé recours faire payer coupables connus comme tout -un chacun consiaté concernant l'entreprise moon qu'il s'agissait d'une organisation portant fausse barbe religieuse permet dissimuler véritables démangeaisons politico-mercantiles sous capot décor camouflent leurs moyens méthodes véritables agissements demande pourquoi pouvoirs publics moyens braquent projecteurs lumière tout qu'on souvent l'ameçon sectes dépéns ceux écoutent exemple j'ai souvenñt regretté journalistes restent bloqués dés déprogfamiations contre lesquelles s'iñdignént sectes pensons qu'en toute €hosé faut cominencer comnencement déprogrämmations pliquent obligatoirement l'existence amont programmation c'est nœud problème c'est cela qu'il faut parler résoudre problèmé amont supprimerail thérapeutique aval odieux laisser agir individus j'ai fils endoctriné depuis huit ans secte témoins jéhovah évident qu'il manipulé attiré pendant période dépression depuis c'est plus plus lavages cerveau grande dose pense ceux tirent ficelles cette organisation dangereux moyen qu'ils s'en sortent seuls car aînés plus anciens congrégations ainsi appelés n.d.l.r délai prolongé vivez trop tendu irelanez-vous june méthode moderne permet lid'acquérir enun week-end technique relaxation simple développer efficacement puissance mentale ile stress vie moderne entamepeu peu faoultés intellectuelles mémoire concentration intuition imagination qualité repos dépendent grande partie l'ac tivité subconscient pouvoir subconscient peut être facilement stimulé méthodes mentales c'est qu'on appelle dynamique mentale cette méthode enseignée week-end cours séminaires alpha pratiquée milliers partictpants depuis ans france suivant cet enseignement pratique séminaire découvrirez tout d'abord lun état relaxation physique mentale pourrez reproduire loisir vie quotidienne développer plan psychologique dynamique mentale permettra ensuite d'utiliser niveau conscience mentale particulier préparer hpsychologiquement situations quoti- lldiennes difficites exemple préparer idesexamens.et tâches professionnelles vaincre trac timidité maigrir ac- croître mémoire.trouver sommeil idévelopper imagination créatrice 'arrêtér fumer contrôler émotions vivre dés expériences extra-sensotrielles après exercices concentration veloppant concrètément votré intuition vivrez expériences -extra-senso- iiélles étonnäntes prouveront l'existence desfacultés parapsycholôgiques linsoupéonnéés sommeillent prochains séminäirés alpha paris marseille bordeaux nantes lille strasbourg lyon-st-etienne toulouse belgique billbellens tél :058-23-43-79 suisse genève l'documentez-vous retournant bon gratuit ci-dessous bon gratuit retourner axe formation rue deves 92200 neuilly tél 745,46.68 sans engagement l'article adressez psychologie dynanique mentale renseignements séminaires alpha nom prénom rue ous coa sons vaiq severe alpha ville"
5,6,veiller jaisser échapper leurs moutons disi aucuné possibilit disent cussion gens jisen seuls posséder vérité fait quitter fils ploi intéressant d'aide chimisié parce qu'un horaire impose permettait plus d'assister assez régulièrement leurs réunions fallu trouver autre emploi facile resté chômage année jamais aucun adepte secte n'est venu l'aider bien contraire reproché vivre crochets mère s'est entendu dire n'avais mère clochard nuit cela arrive avoir cauchemars n'est étonnant adeptes tellement dominés jugés sévèrement culpabilisés paniqués ainsi cauchemars crie secours croyant démons tirent hors lit pense qu'il odieux laisser aussi facilement agir individus fais partie d'une secte positive lorsque margaret thaler singer critique méfaits secte sait quelle secte réproche faits ainsi j'ai remarguer chaque fois qu'un article paraît sectes n'en pärle qu'en mal parle mauvais côté choses bien parle sectes vrai ment néfastes destructives fait généralité applicable toutes sectes c'est qu'intervient témoignage effet membre l'eglise scientologie depuis 1973. j'ai également fait partie membres personnel neuf mois bien puis affirmer collègues moi-même trouvions très bien rentrais tous jours chez l'époque chez parents quant drogues risquait d'en avaler car mange l'organisation self restaurant plus proche plus n'interdisait parents amis venir voir contraire demandait toujours d'amener parents relations l'eglise autre chose aussi prenait centime bien contraire payé tous cours tous services délivrés scientologie gratuits tous membres personnel plus preuve l'on droit relations extérieures puisque deux jours repos obligaine comme aire partie per période deux parti bout raison temps bien croyez-moi problème harcelé l'on joires sema j'avais signe quoi devais sonncl pendant parti dois être franc n'avais condition voulais teven comme mem j'ai résilié ayer favais reçu gratuitement dont j'ai très bien compris dont acquitté plusieurs fois m'ont demandé tout payer d'un coup versals seulement peu chaque imois actuellement donc membre extérieur peux assurer qu'on sent très libre reste église temps l'on veut personnes scientologie vraiment heureuses reste cela voit sent dès qu'on pénètre sein groupe j'ai scientologie réussir psychanalyse échoué 1personnes psychanalysées sans succès l'on réussi soigner éclair disaient bornérai témoignage peux affirmer j'ai découvert beaucoup choses positives vie gèns général particuliér bougrement aidé comprendre côtés négatifs balayer mieux possible exploiter côtés positifs j'ai acquis aussi aptitudes dont j'avais potentiel comme tout monde exploite fond veux signifier témoignage c'est toutes ïjles sectes forcément néfastes négatives religions officielles fait beaucoup plus mal plupart sectes veux parler gens l'on tués nom catholicismé nom protestantisme auw nom dieu d'allah veux parler büûchers lesquels quoi c'est passé religion catholique passé religions actuelles n'ont-elles fait beaucoup victimes innocentes car quoi religions sont-elles off cielles autorisées parce tou simplement elles accord politique pays ... tout temps gens besoin d'espoir car peur vie mort l'après mort donc besoin croire quelque chose ileur dit toutes sectes mauvaises faut éviter alors peur devenir panique car leurs espoirs anéantis vont donc plus savoir aller certains plus paniqués suicideront peut-être ... sectes apportent 1esp monde vidé spiritualité vivante structures privées d'amour familles suralimentées concepts comment vivre pleinement dimensions l'homme l'espoir tout azimut sectes tente répondre relations truquées société profit survie idéologique pluralité attitudes faux besoins essentialité abseñte compensations abondantes ... problèmes sectés société humaine fustigez sectes problèmes après sectes psychologie 111. elles simple conséquence l'exemple donnez rue famille spiritualité devenue mythe rite équation irrésolue faut-il qu'elle proches iles autres l'on peut trouver bonheur apparences métroboulo-dodo-télé-pub-disco vendredi fuite week-end consommation bravo jouez bien jeu croisades combien morts l'eglise catholique brülait tant gens massacre saint-barthélemy l'on défenestrait gens l'on tués parce qu'ils n'étaient d'accord bible galilée religion forcé dédire ceux partis au-delà attitudes monde existe oasis insatisfaits fait tous sages terre relaté travers temps négligez cette nature l'âme fait quelques mots comme cri nuit guerre cent ans toujours nom religion catholique combien morts erratum alors serait-ce reli- coquille s'est malheureusement gion catholique islamique glissée l'adresse l'ad-f.i d'autres religions officielles association défense grandes sectes famille l'individu fallait fastes critique lire rue fléchier 75009 paris
6,7,marcel turbiaux répond lecteurs l'homme conscience linguiste amateur j'ai amené réfléchir problèmes inhérents l'interrelation langage/pensée donc déborder cadre strict science dont réclame affronter certaines questions auxquelles psychologues psychanalystes entre autres apportez déjà peut-être réponses faculté compréhension dépend-elle l'élaboration conscience autrement dit existet-il fondement psychologique/neurologique/psychanalytique pensée suivante l'homme autant plus homme plus intelligent conscience vive g.- tesy-sur-vire n'est question posez sujet dissertation sinon thèse n'est guère possible cadre limité colonnes répondre questions précises limitées n'existe définition purement psychologique l'homme linguiste amaifeur n'ignore sans doute l'étvmologie latine mot renvoie homine terre humus opposition dieux célestes sens général ajoutées significations particulières dont celle créalure raisonnable opposition bête effet l'ancienne psychologie dite facultés étudiait sous nom intelligence ensemble fonctions telles sensibilité volonté mémoire couvrant tous aspects vie mentale caractérisent l'homme dit sapiens quant conscience longtemps william hamilton faisait remarquer qu'elle n'est susceptible définition tant qu'elle désigne l'aspect subjectif incommunicable l'activité psychique dont peut connaître dehors soi-même manifestations comportement cependant réponse cherchez trouverez peut-être chez psychologues existentiels phénoménologues dépassons domaine psychologie toucher celui métaphysique puisque phénoménologues étudient vie conscience d'un point vue universel apodictique trouverez bref exposé phénoménologie dictionnaire général sciences humaines publié sous direction georges thines agnès lempereur universitaires paris 1975 petit volume i.f lyotard consacré collectioir sais-je presses univer- sitaires france pourrez prete-mol plume partir mener lectures phénoménologie l'esprit frie- drich hegel œuvres dir d'edimund husserl martin heidegger jean-paul sar- meet tre maurice merleau- ponty rien tegar dant écriture ungraphologue avisé cest capable dire qualités défauts faites-en gratuitement l'expérience adressant l.p.s quelques lignes écriture retour recevrez diagnostic sommaire dont exactitude stupéfera cette passionnante expérience engagé rien découpez bon adreësez-le joignant uné enveloppe nom timbres frais l.p.s. 53.08 75362 paris cedex société alfred -binet existe-t-elle toujours j'ai entendu parler société alfred-binet cette société existe- t-elle toujours quel but -g.h verdon oui société alfred-binet théodore-simon c'est intitulé exact car juste d'associer nom d'alfred binet celui médecin principal collaborateur existe toujours porte nom psychologue 1857-1911 fondateur henri-etienne beaunis 1830-1921 année psychologique 1845 non seulement pionnier psychologie expérimentale l'initiateur méthode tests psychologie pédagogie produisit travaux nombreux variés tous domaines psychologie inagnétisme animal altérations personnalité pässant psychologie l'artiste-peintre comédien calculateurs joueurs d'échecs encore graphologie psychologie pédagogique différentielle société fondée 1899 sous présidence ferdinand buisson 1841-1932 alors titulaire sorbonne chaire sciences l'éducation depuis cette date publie bulletin trimestriel problèmes d'ordre psychopédagogique tests d'instruction cours primaire premier cycle destinés évaluer niveau connaissances élèves d'autres publications rééducation enfants atteints troubles entravent scolarité président actuel guy avanzini professeur l'université lyon-ii auteur nombreux articles ouvrages alfred binet œuvre notamment alfred binet pédagogie scientifique paris vrin 1969 l'adresse société alfred-binet théodore-simon rue philippede-lassalle 69004 lyon grapho-test gratuit internationatesmchosservice dtiabuelschonorerrearisies
7,8,etes-vous créatif c'est grandes découvertes siècle tous hommes bêtes l'air plus exactement valons beaucoup mieux résultats scolaires performances tests d'intel ligence ceux-ci comme système scolaire institutionnalisé l'esprit sérieux désigné arbitrairement comme seules dignes d'être cultivées certaine forme logique certaine forme compréhension traitement problèmes certaine forme d'acquisition d'exploitation connaissances quelle stupéfaction jorsque apprenons qu'einstein n'était spécialement considéré professeurs comme enfant doué pourtant miracle seulement qu'einstéin pasteur beaucoup autres brillaient bancs l'école possédaient plus haut degré pouvoir d'inventer d'imagiger créer dort chacun société dirait-on fait tout éveiller commence s'apercevoir aujourd'hui cette mystérieuse créativité beaucoup plus démocratiquement répartie entre individus l'intelligence certainement qualité précieuse parce c'est qualité essence féconde certes tous génies tous quelque part génie l'ennui l'ignorons plupart d'entre occasions mettre évidence d'exploiter cette richesse peu près inexistantes proposons présent jeu c'est partir chasse trésor rechercher trésor enfoui sous sédiments culture enseignement officiels habitudes renoncements €onformisme l'autodénigrement car aussi démunis pensée créatrice aujourd'hui ñous soimes nés das éet état dénuement chez enfants note psycho logue américain anderson spécialiste problèmes créativité universelle parmi jles adultes presque inexistante grande question celle-ci qu'est-il arrivé cette capacité maine énorme universelle bien avant alexandre dumas déjà dit humour comment fait-il enfants intelligents plupart hommes bêtes doit tenir l'éducation dès lors récupérer créativité c'est renouer l'enfant c'est redécouvrir particulier goût jeu cependant celui-ci très mauvaise presse considéré comme activité improductive laquelle immoral livrer pendant heures réservées travail jeu contraire l'une activités humaines plus sérieuses parce qu'il l'une plus enrichissantes tous points vue permet fois expri- simon lasserre mer plus librement donc plus entièrement sortir cadres préétablis donc d'apercevoir tejations inédites entre choses devenir inventifs fois découvert grâce jeux pouvez créer peut-être prendrez-vous goût point souhaiter exploiter professionnellément cette capacité redécouverte car créativité aussi métier fait vivre france nombré croissant personnes alors qu'il n'existait 1969 deux cabinets spécialisés assiste depuis quelques années vétitable floraison groupes ateliérs bureaux d'études etc cabinets employant cinq dix personnes offrent prestations vont conseil recherche passant formation personnel initié méthodes créatives l'animation cellules créativité sein entreprises problèmes lesquels recherchent solutions couvrent domaines très variés comme montrent exemples authentiques suivants système nettoyage automatique vitrage grandes tours modernes système rentabiliser paquebots géants style france expériences drogues inoffensives drogués idées réduire nombre d'accidents roule solutions surmonter crise psychologique retraite cela viendra éventuellement plus tard commençons jouer ensemble
8,9,deux jeux mise route prenez papier crayon besoin suite notez dix choses plaisent vous-même imaginez dix améliorations pourrait apporter celle précieuse invention humaine qu'est lit cela l'absence toute contrainte matérielle financière morale cherchez idées plus originales possibles n'écartez farfelu semble totalement irréalisable neuf exercices deconditionnement but déconnecter façon habituelle voir faire d'être permettre redécouvrir monde œil neuf pouvez faire tous d'un coup faire autre avant chaque jeu domaine perception fermez yeux concentrez-vous pendant minute tous bruits parviennent essayez enregistrer regardez pendant trois minutes quelqu'un familier décrivez-le tête pieds voix haute manière détaillée prenez bouchée pain mastiquez-la très lentement comme c'était première fois goûtiez cet aliment saisissez yeux fermés stylo briquet n'importe quel objet petite taille redécouvrez-le travers sensibilité tactile domaine communication faites autres cadeaux imaginaires sans être limité considérations prix réalisme pouvez fort bien exemple offrir tapis volant présentez-vous autres travers objet fruit voiture machine etc personnage ———— faites-vous bander yeux ilais8 prenez objet fixez-le très lon- imaginaire exemple coupe champagne décrivez tant coupe champagne sez-vous guider quelqu'un longue promenade travers nature domaine concentration guement tournant tous sens jusqu redécouvrir complètement pelez mangez orange concentrant chacun miniactes lesquels cette opération décompose eee neuf exercices creativite remplacez poésie chaque substantif antonyme exemple plaisir ennui amour haine etc réfléchissez tout qu'il d'original d'intéressant îles idées nouvelles aïinsi obtenues eee essayez d'expliquer quelque chose relativement éompliqué exemple fonctionnement d'une automobile enfant moins huit ans cherchez améliorations objet choix mettant peau l'objet observez attentivement plusieurs personnes entourage essayez déterminer quel animal chacune d'elles fait penser essayez creuser cette asso ciation justifier propres yeux prenez deux objets hasard trouver leurs poinis communs voici six couples d'objets trouvez chacun d'eux série choses évoquant fois deux objets consigne fournir plus grand nombre possible réponses aussi réponses plus imprévues possibles era prochaine fois irez cinéma regarderez film télévision imaginez trois fins diftéreñtes l'histoire imaginez chaque ärticle numéro psychologie cinq titres appropriés aussi différents possible uns autres jouer famillé amis distribuez chacun page édition d'un journal consigne composer quart d'heure texte comportant mots phrases entières découpés journal vainqueur celui produit texte plus original plus amusant douze jeux tests venez perdre situation trouvez moins dix conséquences positives cet événement entraînera
9,10,guetle magique ger sexe quoi existence s'en trou dressez vera-t-elle modifiée liste précise société anonyme dieu co. p-d.g peu satisfait modèle actuel être humain charge proposer améliorations quelles idées pénsez-vous pouvoir soumettre réécrivez celle phrase sans jamais utiliser lettre l'important l'existence c'est d'être parfaite santé. trouvez trois minutes plus possible mots -ion exemple création imagination invention construction elc combien dénombrez-vous carrés cette figure celle-ci rad anax fée louché baait chand —————… attaché direction réunir neuf points quatre lignes droites continues sans lever cra yon pouvez-vous diviser manière obtenir qua identiques rigoureu entre elles cette figure tre figures sement égales exemple départ carre solution suivante voici pyramide constituée dix pièces monnaie comment obtenir pyramide symétrique rapport base déplaçant seulement trois pièces résoudre celle ire relativement facile travailleur marche lentement déchire pantalon meun comment expliquer rationnellemen cette succession d'événements ptt résoudre celte presque introuvable alfred assis face ber nadette dit voyez celte meule foin kilomètre environ donne rendez quelques minutes. partent ensemble cependant ber nadette arrivera heure après alfred sans s'être arrêtée sans s'être blessée sans avoir rencontré quel qu'un chemin s'est-il passé justifie relard nigme trouverez solutions différents jeux réalisés concours gimca groupe innovation manage ment créativité appliquée cabinet créativité éloge folie tort tenir occident folie valeur négative crois folie valeur positive très féconde très utile très précieuse apport paraît tout malsain génie race contraire vivifiant soubaitable impression n'est folie règne excés mondes qu'au contraire fait trop défaut jean dubuffet l'homme commun l'ouvrage editions gallimard 1978
