,page,text
0,1,faculté sciences soclales politiques connaissance soi bibliothèque vinet 1004 lau sanne mai 1980-12 f-n°124 forum lecteurs écrivent quiz mois savez-vous analyser texte enfance adolescence milliers d'enfants battus remèdes difficiles trouver claude bonnafont chronique dépression groupes groupes femmes l'analyse transactionnelle méthôde libérer contraintes gysa jaoui parle fermes enfants développent psychologie expérimentale mémoire effets l'alcool marijuana bilan provisoire recherches elizabeth loftus bref allemagne françoise koëtolany psychologie pratique mémoire mieux rappeler visages méthode efficace eugène winograd entretien george miller faut doriner psychologie gens propos recueillis elisabeth hall bref monde l'inconscient psychanalyse l'argent cures remboursables guy demoy —…—…—…—…—…—…—…—…—…—…—…—… —…— …——…—…—…—…—…——…—…———…———— —.———…—… ûnmnn00000 bref france aus cet nee see lun nero ant unir librairie génétique l'intelligence jacques larmat l'education naturelle hubert hannoun lés autres parutions .petites annonces utiles tous prochain numéro paraîtra jeudi juin
1,2,"cercle vedanta l'école normale yoga dirigée mme maud forget diplômée l'ecole pratique hautes études maîtres orientaux occidentaux proposent enseignement appronfondi yoga synthèse connaissances traditionnelles l'orient découvertes scientifiques modernes délivre après cycle trois ans d'études c.a.p professeur hatha-yoga l'ensemble études comporte cours théoriques anatomie physiologie hygiène psychologie philosophie cours pratiques suryanamaskar asanas pranayamas mudras ... l'enseignement fait travers cours bi-hebdomadaires week-ends sessions d'été enseignement traditionnel cours hatha-yoga tous cours formation pédagogique renseïgnements maison yoga rue gambetta 92100 boulogne tél 605.07.25 communauté d'été magnifique ile grecque skyros groupes développement personnel bio-énergie gestalt fantasie massages méditation mouvement psychodrame etc evénements communautaires créatifs art danse théâtre rencontre etc facilités promenades bateau pêche cyclisme the skyros centre directeur dina glouberman parmi animateurs cet helen davis angleterre max furlaud usa france marianne gubler suisse marcia leventhal usa isis martins angleterre martyn rudin angleterre jacques salzer france jean-claude see france silke zieh allemagne angleterre activités groupes conduites principalement anglais ouvert juillet septembre séjour deux semaines 000 950 semaine supplémentaire prix comprennent groupes logements demi-pension utilisation toutes facilités prix faveur adultes enfants prenant part groupes renseignements dina glouber dingwall gardens fran london n.w.11 7et england tél 458,37.83 psychologie mai 1980 marcel turbiaux répond lecteurs livres rolfing taï chi chuan bouer serait-il possible mind références livres pratiqué trois sujets suivants ida chuan massage reichien rolf j.-p. puylaurens message reichien mer sage californien n'ont fait connaissance l'objet d'ouvrages langue française hraduchions aisément accessibles cependant trouverez exposés plus moins développés ouvrages consacrés nouvelles psycho thérapies exemple ceux schutzenberger m.-j sauret corps groupe toulouse pri vat 1977 catherine dreyfus groupes rencontre paris retz 1978 encyclopédie pratique pychologie moderne paris retz 1979 tai chi connais deux ouvrages celui 'axel anneville t'aichi paris robert laffont 1974 celui antoni aris epi 1977 tai chi chuan boure spécialiste phobies juin télévision donné antenne aujourd'hui ma- dame émission pho- bies docteur claude bastien mé- decin psychosomatique psycha- nalyste pratique -la psychanalyse objective lyon très in- téressant j'aimerais savoir plus sujet m.l annemasse mieux adresser directement docteur claude bas tien pratique effet mé- decine psychospmatique lyon trouverez adresse l'annuaire officiel abonnés téléphone cette ville guide rosenwald médecins pouvez attendant certains ouvrages cet pouvez plus -ast roue ons écisé traits rectili précisé encs lil jecteurs aiment jeux noopos quatre jeux flexion psychologie 120 neuf points relt jeux neu elier quatre traits crayon sans leve crayon alès remar propose solution suivante jeu princesse prison nière qu'il faut délivrer tant arrivant passant toutes pièces château deux autres solutions proposées perpignan limonest gen outre reprochf formulation l'énoncé voulant marier fille. quoi renforcer tête ssif messages contenu opp 2vec lesquels vous-mêmes n'êt® d'accord écrit-il dont aclé reste teur peur surtoul présenc lit d'ombr peurs elles aident craintes recet l'enfas conte fants liv mines"
2,3,solution paraît acceptable car consiste tra verser pièce alors l'énoncé dit aboutir finalement jèce faut hien avouer u'elle bon sens chevalier délivrant princesse soucierait plus repartir aboutir peurs enfants comment rassurer enfants peur noir peur bandits etc. h.m.-cabriès peurs enfantines fait l'objet d'une abondante littérature selon l.b ames elles varient suivant l'âge elles commencent vers deux ans demi trois ans peur l'obscurité tendance croître jusqu trois ans demi persister jusqu cinq ans au-delà l'enfant demande lumière reste accepte qu'on éteigne lampes l'on met commutateur portée plus tard vient peur animaux puis vers six ans surtout chez filles peur présence d'un individu caché sous lit vers sept ans c'est peur d'ombres interprétées comme espions voleurs peurs souvent transitoires elles disparaissent parents aident enfants surmonter leurs craintes non plus n'est recette car soutien parents l'enfant peur s'inscrit contexte relations parents-enfants michel zlotowicz censacré livre sujet peurs enfantines paris p.u.f 1974 raisons affectives l'échec maths fille pourtant intelligente nest seulement dit cest aussi l'opinion enseisnants fait preuve d'une totale in- compréhension l'égard mathé- matiques aurait-il rai sons affectives cela plutôt motifs intellectuels mme j.s. pontoise peur mathématiques tra- duisant incompréhension gout avoir raisons diverses peut avoir souvent culies raisons affectives parti- tuant mathématiques consitt- contrôl moyen incontestable mathéns réalité refus afiques peut signifier refr contrôle peut aussi cas réussite cette discipiine attendue parents représenter culpabilité dépasser ceux-ci entraîne l'échec encore moyen d'opposition moyen blesser parents réussite mathématiques d'autres disciplines également bien sûr peul être moyen gratifier parents corollairement l'attrait mathématiques peut avoir motivation affective particulière car outre valeur substitut parental mathématiques domaine rigidité syntaxique l'absence redondances royaume pure intellectualité d'où émotions bannies goût mathématiques peut ainsi être symptôme névrotique. cependant concerne fille l'ayant examinée mesure apporter réponse veux devenir psychodramatiste étudiante rééducation psychomotrice veux devenir psychodramatiste dit qu'il faut licence psycho plus trois ans formation semble avoir qu'il autre possibilité est-ce vrai p.e. vitry pense qu'une formation psychorééducateur insuffisante -devenir psychodramatiste toutefois cette formation n'étant dispensée établissements 'enseignement s'acquérant auprès praticiens psychodrame invite prendre avis directement auprès d'eux particulier l'ari.p association recherche l'intervention psychosociologique 6bis rue bachaumont 75002 paris se.p.t société d'études psychodrame pratique rue lions 75004 paris s'inspire jacques lacan groupe français sociométrie dynamique groupe psychodrame anne ancelin-schutzenberger villa parc-montsouris 75014 paris l'and.s.h.a association natio- nale développement sciences humaines appliquées rue chauchat 75009 paris ce.f.f.rap centre d'études françaises formation recherche active psychiatrie bis rue laromiguière 75005 paris dirigé didier anzieu imouionie syie prison coeur sorti cette prison jean-pierre joucas trente ans marié deux enfants chef atelier passe devenir chef service heureux avant j'étais timide bêtement timide rien faisait rougir méchanceté faisait bafouiller quand venait tour parler pouvais rien dire aujourd hui cache dis répète lecture petit livre w.r. borg lois eternelles succès changé vie compris timidité n'était maladie obscure intraitable contraire maladie physique simple bénigne éduque simplement oui techniques méthode plus être timide s'empêcher trembler maîtriser respiration etc ecrivez w.r. borg dpt 598 chez aubanel place st-pierre 84028 avignon enverra gratuitement livre livre permis rencontrer agnès femme avoir beaux enfants vivre heureux plus naturellement monde plus librement monde sans frein sans timidité jean-pierre joucas -lbon gratuit découper recopier adresser w.r. borg dpt 598 chez auba- nel place saint-pierre 84028 avignon recevoir sans enga- gement part sous pli fermé lois eternelles succès nom prenom rue code postal
3,4,savezs analyser remiere partie prenez connaissance attentivement phrase écrite majuscules tête chacun dix para graphes suivants agit auteur entourez d'un cercle let tre pré uxx énoncés chaque question sardez corrigé avant d'avoir terminé nie l'intellige per autru lles con ennemis dangereu songes lorsqu'or passion mentant fanat mensonge passi croy lpproc deyte faits foi foi unamuno qes faut douter voa celui doute esse pol l'incertitude aspec tiel vraie foi -mê doute l'état d'âme celui cherche dou tourments moraur constituent vie mêm foi sincère foi charbonnier tranquille
4,5,plus heureux soins prete attention bonheur alberto moravia bonheur ivresse rend inconscient c'est l'existence malheurs aiguise attention bonheur quand tout bien rend compte bonheur bonheur tonique conscience personnelle petits malheurs stimulent l'énergie humains bonheur comme sommeil plus talents d'un homme grands plus pouvoir fourvoyer autres aïldous huxley obéir aveuglément quelqu'un peut conduire pires bêtises faut croire parole gens éblouissent fait prévaloir facilement idées quand parle autorité. celui talent impose facilement opinions elles fausses mauvais usage génie l'intelligence sert souvent tromper autrui. convictions ennemis verite plus dangereux mensonges frédéric nietzsche lorsqu'on traite sujet passion déforme plus qu'en mentant délibérément fanatisme forme mensonge passionné peut être objectif. croyance l'ennemie vérité ceux convaincus n'approchent jamais vérité lorsqu'on tient opinions devient capable nier faits plus agressivité qu'un menteur celui veut agir parler justement fait rien tout karl jaspers celui fait rien trompe jamais l'on doit attendre d'être juste certain agir parler commencera jamais faut courir risque tromper l'on veut faire dire quoi celui fait rien dit 1en toujours raison los l'action parole justes d'une difficulté décourageante vaut mieux rien faire tout qu'agir injustement -6. l'art constitue puissance n'est qu'une consolation thomas mann l'art donne l'artiste consolation n'est puissance création artistique donne l'artiste sentiment puissance l'artiste console impuissance sociale art l'œuvre d'art n'exprime volonté puissance besoin compensation intime compte l'artiste c'est création apporte plan personnel affectif non plan social l'œuvre d'art l'artiste conçoit réalise apaisement souffrances manière consoler voulons tous louer l'annee pouvons jamais louer semaine jour jean anouilh réalité met toujours malgré obstacles sévères besoin sécurité aimons faire projets long terme agissons toujours petite semaine obligé d'agir rapport circonstances plutôt principe quels rêves ambitions devons vivre jour jour espoirs plus chers ceux le-plus souvent déçus aimons faire projets long terme nécessités vie obligent vivre court terme jour jour quand famille defaîtt maison tombe ruines oliveira salazar destruction maison familiale entraîne dispersion famille dissolution liens farmiliaux conduit ruine société dispersion famille laisse l'abandon maison familiale stabilité structures humaines fondée famille toutes constructions l'entretien maison familiale devoir familles famille fondemerit lucidite regne l'echelle valeurs devient inutile albert camus lorsqu'on arrivé être parfaitement objectif peut plus avoir préférences comprendre dispense juger l'homme lucide objectif jugement sûr. quand compris salt plus juger connaissance vérité exclut recours valeurs hésite choisir tant qu'on sait vérité 10. enfants reflechissent comme miroirs faut tain respect hervé bazin faut respecter réfllexion personnelle enfants enfants doivent apprendre respecter leurs maîtres enfants n'apprennent vraiment quoi s'ils respectent ceux enseignent comportement enfants miroir leurs sentiments vers leurs éducateurs enfants réfléchissent tout seuls faut savoir encourager fermement. enfants n'apprennent réfléchir qu'après avoir appris respecter maintenant reportez-vous trouve corrigé calculez selon mode indiqué votré score personnel sans lire corrigé seconde partie puis revenez cette page. seconde partie réfléchissant travail antérieur l'exécution test erreurs rectifiées corrigé répondez deux questions suivantes corrigé confirmé quelles deux phrases expriment l'idée contenue chague pensée référence cela dix items test quoi consiste exemples concrets travail l'intelligence lorsqu'elle choisir deux phrases éliminer autres formulations comment pourriez-vous caracté- riser toutes phrases cotées celles cotées celles cotées interpréter résultats voyez page fan nronon nes nord
5,6,ess psychologie mai 1980 cond pitalls entéri porte d'eccl matio diolog fren
6,7,enfance adolescence milliers d'enfants battus mal progresse remèdes difficiles trouver condult mère didier hospitallsé quatre mois gastroentérlite pâle hypotrophique porteur stries parallèles cou d'ecchymoses tronc d'une déformatlon l'avant-bras gauche radiologle mét évidence dix fractures membres côtes renseignements familiaux n'offrent rien particulier didier deuxième enfant l'aîné âgé vingt mois bien portant mère âgée vingt-quatre ans travaillé comme aide-comptable jusqu naïissance didier intelligente fait bonne impression l'externe l'interroge père sobre ménage normalement uni complément d'enquête demandé l'assistante sociale secteur dont l'impression excellente logement insuffisant impeccable enfants régulièrement conduits dispensaire rien laisse supposer qu'ils maltraités médecin service protection maternelle infantile suit deux enfants plus réservé mois plus tôt didier hospitalisé initiative hématome frontal parents convoqués nouvel interrogatoire l'équipe médicale expose conviction ferme l'origine traumatique légions mère finit avouer qu'elle nerveuse qu'il dui arrive secouer brusquement l'enfant point faire fractures précise-t-elle cas slgnalé service protection mineurs dont l'enquête apporte présomptions circonstances mauvais traltements l'absence preuves l'enfant placé pouponnlère parents non aimés donc non aimants oopeeeeeeeeezezezezz ———— après deux mois rendu famille sous surveillance éducative assistante spécialisée déperidant juge enfants mois plus tard constate consultation p.mji trois ecchymoses font penser traces doigts joue didier ecchymose frontale explication parents frère fait tomber didier chaise mère demande deux enfants placés fera placement familial l'intermédiaire juge enfants cours enquêtes personnalité mère apparaît égocentrique narcissique aimable parle d'elle désirs strictement matériels -et manifeste indifférence totale vis-à-vis énfants s'anime évoquer passé orpheline père rejetée mère mettait porte recevoir amants trouve long passé troubles comportement vols fugues finalement placée bonpasteur apprit métier d'aide- claude bonnafont comptable paraissait tirée d'affaire peu renselgnements père quatrième d'une fratrie hult père étalt alcoolique mère s'était mise ménage autre alcoolique brutalisalt femme enfants cetté observation d'une effrayante banalité met évidence l'unique constante l'on retrouve tous cas d'enfants battus parents maltraltants souffert l'enfance carences frustrations affectives massives malmenés maltraités physiquement et/ou moralement rejetés abandonnés incapables d'inventer ressentir manifester amour qu'ils n'ont jamais reçu reproduisent envers leurs enfants .le comportement cruel brutal dont autrefois l'objet certes tous enfants maltraités deviennent parents maltraitants tous parents maltraitants enfants maltraités happés dès l'enfance l'engrenage violence victimes avant d'être bourreaux laissée seule vingt mois enfants battus enfants maltraités enfants martyrs enfants victimes sévices termes recouvrent réalité multiforme d'enfants peuvent être bain
7,8,violences actives compulsives délibérées coups brûlures morsures torsions membres… violences passives vont l'inconséquence négligence grave l'incurie l'abandon total parle nanisme psychosocial propos d'enfants victimes fait conditions familiales d'une double privation nutritionnelle affective enfants très petite taille membres inférieurs courts maigres dénurtris cheveux rares plaques d'alopécie sans cheveux peuvent être visibles peau froide terne sale mal tenue mails sans érosions évidentes arrive qu'elle œdématiée enflée chevilles ... enfants apathiques somnolents indifférents jouent font rien s'ils déjà appris parler c'est comme s'ils l'avaient presque oublié observés couchés assis mis certaine position peuvent garder quelques minutes attitude catatonique immobile comme paralysée profonde indifférence manœuvres l'examenl. victimes sévices omission enfants meurent littéralement faim représentent part importante enfants maltraités rencontre enfin cas d'abandon pur.et simple enfant vingt mois état préagonique abandonnée seule depuis huit jours sans aucuns soins sans nourriture découverte services police venant procéder saisie logement littérature spécialisée passé sous silence enfants victimes d'abus sévices sexuels l'association française d'information recherche l'enfance maltraitée qualifiait novembre 1979 difficiles cerner encore mal connus équipes françaises journaliste leïla sebbar trouvé moyen s'informer ouvrage tue petites filles recueil impressionnant violences d'abus sexuels pratiqués jeunes enfants victimes trop jeunes plaindre grande majorité cas enfants martyrs moins trois ans beaucoup sont-des nourrissons inca- pables d'opposer moindre résistänce d'émettre plainte susceptible d'être entendue comprise pourrait porter secours tout- petits plus exposés dom- mages plus dramatiques l'âge tendre .victimes explique partie difficulté diagnostic questionnés l'origine ecchy- moses fractures traces coups psychologie mai 1980 rents cicatrices brûlures ent évoquent malchance turbumaladresse d'enfant lence frères sœurs saisie mev interrogatoire serré acculés obst dence auteurs sévices ent nent nier systématigeument hélas collusion entre négations opiniâtres répes intervenants ecin l'idée violences cruautés tés pratiques sadiques comm parents leurs jeunes fants estime nombre cas d'enfants battus passent inaperçus fait l'extraordinaire connaissance problème beaucoup médecins lesque repose cependant prévention d'une affection parmi plus graves pathologie infantile3 cas présomption sévices série d'élé- ments combinés permet certitude l'exclusion ques multiplicité lésions superficielles profondes souvent dates diverses particularités lésions os- seuses dues mouvements traction torsion .infligés membres constatation lésions caractéristiques brûlures arrondies consécu- tives l'application téguments cigarettes allumées hématomes pourtour yeux fracture nez traces morsures… l'incapacité parents four- nir explication plausible lé- sions constatées leurs versions inco- hérentes contradictoires évé nements ane l'origine lésions disparition troubles tauration physique l'épanouis l'enfant pendant séjour ier récidive retour famille maladies organija res sement hospitaoubles après générale auteurs règle tés jeunes âgés vingt cinq ans moins certains auteurs sistent beaucoup extrême jeu nesse parents traitants pré cocité première grossesse mère fréquence gros sesses maternités selon certaines statistiques mère souvent rectement responsable brutalités beaux-péres maltraiterajient plus belles-mères plus dange reusement qu'elles l'homme femme frappe maltraite l'auteur actif sévices ren contre tous cas complaisance conjoint concubin dire complicité connivence couple responsable l'enfant maltrai dément jamais lorsqu interrogatoire enquête couple vit situation conflictuelle grave dénonciation l'un l'autre exceptionnelle sans doute crainte représailles enfant dix meurt eee —————— quatre mois didier totalisait dix fractures l'espace cinq mois trois reprises hospitalisé porteur d'hémätomes d'ecchymoses consécutifs brutalités destin rien d'exceptionnel s'agissant mauvais traitements récidive règle fois instauré comportement violent envers l'enfant mécanisme s'emballe passages l'acte compulsionnels -et répétitifs succèdent fréquence accrue mode toujours plus dangereux d'où gravité pronostic l'enfant maltraité presque toujours redoutable dangèr certitude mauvais traitements synonyme tuation haut risque auteurs s'accordent à.l'évaluation d'un taux mortalité parler cas dépistés n'est rare découvrir familles haut ris- dont enfant fait l'objet d'une surveillance services sociaux judiciaires décès suspect d'un plusieurs autres enfants advent duelqués mois années plus tôt rapport jeunes fants victimes sévices effectué direction docteur strals figure propos observatiol tragique s'agissait d'une famille laquelle travailleuse familiale intervenue maladie mentalé l'enfa oir jeunes enfants victimes traitem oir straus man auteurs jeunes sévices fants kreisler straus voir alheureuse desbuquofs auva ciaut- tés fait lrde sonnalit tés affe rejet refus psychol troubles tic iésie colères don
8,9,"mère deux enfants dons cette famille mals seule deuxième étalt foyer lors l'intervention mère parle l'aînée garde chez tante l'enfant foyer inquiète travailleuse familiale mutisme air triste effrayé surtout aller baigner travallleuse entend proférer menaces m'embêtes mets baignoire menaces effet immédiat l'enfant obéit alors sans problèmes travallleuse s'absente cette famille ralson fêtes noël retour apprend père vient d'aller avouer police fllle aînée ébouillantée mère bain six mois lui-même l'avait ensuite découpée petits morceaux jetée seine petites victimes échappent mort sublssent dommages durables parfois irrémédiables lorsque sévices dépistés enfants solgnés placés suivis séquelles nombreuses subsistent néanmoins elles d'ordre orthopédique neurologique dysmorphique avant tout mental d'après étude réallsée nancy professeur manclaux l'examen psychologique prätiqué trois ans demi après sévices vingt enfants maltralités\ fait apparaître hult débilités larje éventail troubles personnalité comportement difficultés affectives anxlété crainte relet l'abandon infantilisme refus grandir recherche d'identité psychologique d'image parentale troubles sommeil souvent associés tic balancement nocturne énurésle encoprésie retard langage colères violentes agressivité oppositlon instabilité dispersion banc accusés alcoolisme setntvtddoeeeeeeeeeezezezezeeeee—— selon auteurs français forte proportion enfants victimes sévices issue classes déshéritées malheureuses point vue socio-économique culturel conditions vie désastreuses niveaux professionnels très bas absence complète qualification professionnelle chômage déracinement isolement logements misérables règnent promiscuité presque fatalement l'immoralité nombre situations familiales irrégulières déviantes mères célibataires abandonnées concubinages successifs prostitution mère enfants trois quatre lits différents enfants placés chez nourrices clandestines repris replacés enfants non reconnus père mère abandons d'enfants cer- talnes études font ressortir parmi parents maltraltants forte proportion migrants couples mixtes plan ethnique d'autres mettent l'accent l'accumulation parfois invraisemblable maladies graves bénignes dont souffrent tous membres familles parmi éléments pathologiques individusls responsables dégradation milleu familial l'alcoolisme tient premier grand rôle l'étude nancy apparaît 42,5 familles maltraitantes parfois chez deux membres couple statistique tribunaux région nantes apparaît dossiers déchéance d'autre part selon docteur krelsler débilité affecte certain nombre parents troubles comportement fréquents d'une façon générale auteurs sévices jeunes enfants n'appartiennent psychiatrie lourde habituellement considérés comme légalement responsables telle conclusion plus souvent retenue étude aboutit conclusions bien différentes s'agissant quarante parents réellement maltraitants présente découpage suivant cinq normaux pourtant petites névroses caractère deux débiles vingt-trois névroses graves onze psychotiques psychopathes sévices chez riches aussi ensemble familles maltraitantes considérées comme déviantes rapport normes admises comportement parental social ecrasées conditions vie insoutenables fragiles vulnérables crise danger d'éclatement toutes familles estime-t-on nécessitent aide soutien l'immédiat long terme quelques études réalisées france caractéristiques socioéconomiques familles maltraitantes portent population très limitée enfants séjour tel hôpital pendant laps temps précis repérage cas tel secteur géographique etc leurs conclusions restent partielles après avoir isolé analysé nombre paramètres établi tableaux statistiques toutes s'achèvent affirmation sévices envers enfants s'exercent toutes classes sociales compris milieux aisés alors beaucoup plus clandestins passent souvent inaperçus car familles infiniment moins exposées surveillance services sociaux révolution relations entre parents enfants psychologie —août 1978 centre rue bolssière ere 727 résente formation goroon parents efficaces enseignants efficaces relations couple relations humaines crise l'adolescence éliminée rapports force supprimés succès pratique techniques relations humaines plus modernes séminaires etstages adaptés animés parj.c bouissou instructeur autorisé effectiveness training inc. documentation gratuite expédiée demande nom prénom rue cde postal ville pubhiure juge culture arrive souvent rencontrant tel homme telle femme dont l'assurance fait l'admiration tous interroger causes influence facteur essentiel permet personnalité s'exprimer cette assurance laquelle aimeriez aussi pouvoir compter privilège gens cultivés leurs connaissances étendues variées confèrent cette ouverture d'esprit donne faculté être âttentifs autres faire tous contacts humains vie quotidienne échanges fructueux passionnants comme pourrez bientôt surmonter appréhensions grâce 'étonnante méthode formation culturelle i.c.f documents services domi cile apportera connaissances indispensables domaines plus actuels plus divers politique philosophie économie histoire littérature théâtre cinéma peinture musique sports facilement assimilable cette méthode pro gressive peut être étudiée quelques mois sans changer rien occupations habi tuelles milliers personnes profité moyen commode rapide discret cultiver documentation gratuite 3311 institut culturel francais rue collange paris-levallois tél 270.73.63 rttrtte ame lun"
9,10,police conclu parents aisés ceupables sévices souvent affllcés névroses voire psychoses afflrmation dont fondements n'apparaissent évidents cas sévices passent souvent inaperçus milleux aisés voit mal comment l'investigation psychiatrique être menée auteurs sévices appartenant milieux contradictions nombreuses l'on rencontre littérature consacrée propos caractéristiques cette population relèvent d'une opposition fondamentale esprits doctrines problème enfants maltraités unes délibérément s0ciologiques mettent l'accent l'environnement autres tendance psychologique s'attachent surtout anomalies individuelles sept enfants seul maltraité éahohohtytytytyty yyodo ooooooooooooooooooo—————————————— actuellement impossible d'avoir idée précise nombre enfants maltraités statistique américaine portant dix ans annonce chiffre effrayant soixante soixantedix mille enfants assassinés leurs parents étude française parle vingt-cinq mille enfants victimes chaque année sévices graves france l'on admet généralement cas signalés correspondent dixième cas réels l'effectif connu constitue très probablement partie émergée l'iceberg rapport déjà cité docteur straus évaluation fréquence présentée termes partir étude très ponctuelle déductions qu'on peut avancer beaucoup prudence données suivantes paraissent vraisemblables plusieurs dizaines nourrissons jeunes enfants meurent chaque année suites sévices infligés majorité cas donnant d'ailleurs lieu aucune poursuite judiciaire peut estimer qu'ün enfant deux cents hospitalisé suite mauvais traitements l'extrapolation plan national enquête secteur permet penser plusieurs milliers jeunes enfants chaque année victimes mauvais traitements plus moins sévères retentissant état général développement psycho-affectif l'inaffectivité permanente passagére trait commun beaucoup parents maltraitants n'ayant jouir l'enfance d'une relation chaleureuse sécurisante mère frigides l'amour parental psychologie mai 1980 perdu bouton incapables d'aimer retrouve chez caractéristiques ruse tration affective précoce outre pacité d'investir affectivement are quête insatiable satisfactit matérielles intolérance extrëm frustrations minimes soient-ellesles limitations contraintes traîne présence d'un petit enfan alors ressentles comme d'insupportables frustrations moindres manquements l'enfant déclenchen agressions absolument disproportionnées dont voici exemple relaté millale soir j.m maison sais lacet alors déshabillé travailleuse grand-mère ramëne disant mere attrapé j.m grandmère enfermées salle bains fouet j'ai entendu hurlements sévices moralement plus cruels s'adressent l'enfant-cible s'acharnent l'agressivité sadisme parents tandis reste fratrie jouit d'un traitement normal voire tendre affectueux facteurs variés président l'élection l'enfant-cible mère abandonnée père grossesse l'accouchement difficiles sexe l'enfant déçu prématuré l'enfant rendu parents qu'après mois d'hôpital doté -d'un jumeau d'une jumelle consi- déré comme intrus impos- teur couleur plaît famille sept enfants normale- ment élevés choyés petite fille teint bistre née d'un ami algérien mère mangealt terre seule après tous restes autres couchait caisse bols tapissée paille l'inaffectivité globale élective n'est cependant règle générale sévices s'inscrivent parfois contexte d'une décompensation épiso- dique chez père mère fra ysiquement et/ou nerveusement épuisé accablé concours circonstances adverses dramatiques peut s'agir encore distorsion l'amour parental l'amour materne fonde double identification gile jeune mère propre mère elle-même enfant relation initiale mère l'aberration peut résider l'impossibilité l'identi flcation l'enfant l'incapacité percevoir sentiments soins méconnu incompris l'enfant alors négligé carrément abandonné moins qu'il fasse l'objet d'ex gences aberrantes propos proreté l'alimentation sommeil l'activité auteurs américains insistent quant l'insécurité existentielle parents maltraïtants vulnérabilité extrême critique désaffection l'abandon anxié culpabilité profonde mésestime soi forment fond psychique leurs crises d'insatisfaction fait intenses fréquentes reportent l'enfant demande gratification délirante nourrissent propos espoirs insensés réclament soütien affectif qu'il n'est toujours mesure dispenser vaut punitions très sévères méchant menteur voleur ... vingt mois d'autres parents projettent l'enfant leurs propres pulsions agressives m'aime accuse mère d'un bébé trois mois cherche m'énerver n'est content quand mise hors plaint autre définit fils vingt mois comme méchant menteur instable caractériel tous comportements l'enfant alors interprétés mode persécutoire intentions mauvaises agressives prêtées bébé quelques mois nargue mère regard autre crie toutes nuits parc£ qu'il sait rend folle constate chez certains parents île désir mort hante parlant d'états morbides nourrissons sus tés comportements maternels négligents inconséquents goulé écrit faut avoir courage penser .et dire -qu'ils dus mère incapable contrôler pions agressives nourrissons vive vœu mortifère mère pius profond jeur chair. désir mort père mère l'ég enfant domaine exploré freud lui-même reculé svant cette monstruosité mythe d'œdipe retenu crime fils tronquant légende 'élé toucher maître troublant etar rien rier chez sées note lement
