,page,text
0,1,avril 1981-12f-n°135 spt/ty magazine mieux-être psychologie gout sciences mystères far politiques ———————.— bibliothèque den opel vinet dat 1004 lau sanne len \7/ bcu lausanne jeun ouou ages mensuel are
1,2,universitaire 18.dec 1986 tous age our toutes sensibilites encyclopedes mieux-être simon monneret tempérament dnquiet votro proches mal pes nervar euxl cette livra rrépidante cha. cun souhaîte lsation aciers quotidiens calme maitrise 185 événema travail chez sol jour avan volal hot physique ntellectuel fournir ous gagnons int ales pte corps corps- étre ävant mplo toutes sortes gel plus qu'il n'avons rez rien n'est plus retz tem mat rené boïlrel guide pratique training autogène méthode schultz comment sans tension techniques bonheur quotidien exercices relaxants sensations effets bienfaisants sou voudrez pee rec privilégiées foufent massé uno déte l'occasion d'eg quent àl'autro quo quels dos mots comble retz sstos vaincre l'angoisse perturbe profondément moindre contrarlété triompher tensions inévitables vie quotidienne accélo docteur gisela ebericin éminents disciple doctour der bonhsur n'est-ce rêve plus moins créateur célèbre training autogèno saint prix hufcland destins récompenser moour tomp3 bon commande découper recopier rappelant p135 retourner retz rue roule 75001 paris nom toutes gymnastiques douces prénom apprenez relaxer enfants rue savoir relaxer chez massages relaxants retz comment vivre sans tensions rue roule libraire code postal ville guide pratique wräining autogène 34f 76001 paris joins aiement .... plus port libellé l'ordre commande signature date retz enveloppe bon commande concernant ouvrage coché ci-contre
2,3,avril 1981 12.f 135° forum lecteurs écrivent quiz petit proust sommeille-t-il teëtez capacités d'adaptation. par.jacques mousseau éas extraordinaire matou cool neuf vies psychiatre face jeune psychopathe docteur jérôme jaçobs france entretien docteur kretzschmar transsexuel devenu fem viens naître cinquante ans propos recueillis anita khah histoire psychologie hérédité intelligence siècle querelle débat toujours passionné eveline laurent bref allemagne psychologie expérimentale toùs goûts dän amer pour.l'un sucré l'autre linda bartoshuk frontières psychologie l'acupuncture devant science sceptiques reconnaissent effets nature james hasset notre.société aide-ton vraiment chômeur retrouver travail aides parfois effet pervers annie hasch humour complainte pauvre psychanalyste personne m'aime ... ... anne debarède ... libfairie nim chimpanzé appris langage gestuel l'éveil monde levy autres parutions psychologie prochain numéro psychologie paraîtra mai avant-mémoire delay psychologi edite centre d'etude promotion lecture voyez page
3,4,cet endroit reconnaissais objets. lieux dire enfin facultés télépathiques chacun tent l'état laten elles développent plus ins selon personnalités ations expériences intérieures situ vécues qu'elles trouverez notamment prochain numéro psychologie dix années changé folie entretien docteur thuillier jacques mousseau dix années gardien fous psychiatre s'est changé vrai méde- cin vie malades mentaux transformée psychiatre raconte cette évolution cas extraordinaire frontière invisible docteur jacobs homme trouvé quai gare sachant nom pourquoi psychiatre lutte ramener réalité pensez-vous l'amitié qu'attendez-vous d'un ami comment naît meurt amitié soumis lecteurs question- naire détaillé sociologue nadine le- faucheur analyse ici leurs réponses résistance choc psychologigue maya pines sous choc deuil d'un échec d'agressions toutes sortes certains s'effondrent penche leurs problèmes ceux résistent choc quoi ressemblent-ils dormez moins vivez plus everett mattlin oui pouvez dormir moins huit heures nuit sans tomber malade expériences prouvent enivente levendredil8imai lecteurs écrivent télépathie existe l'ai rencontrée ral méfie beaucoup quon peut dire écrire concerne parapsychologie frimerais cela pos sible puissiez dont quelques informations parle plus précisément télépat précognition voyance pré- sent géographiquement lointain car crois très peu voyance hors temps présent fa- culté projeter bien pro- jeter affectivité autre endroit géographique celui l'on veux faire-part d'expé- riences étranges j'ai sujet quand j'étais plus jeune j'ai vingt-six ans c'est-à-dire quand j'avais quatorze ans environ sœur aînée rous disions souvent phrase temps exactement mêmes mots exactement moment ré- cemment entendant chanson télévision j'ai fini phrase chanteur tête avant qu'il dise certaine n'avoir jamais entendu cette chan- auparavant environ voyais tête visage jeune fille connaissais n'avais jamais rencontrée voyais souvent beaucoup d'in- sistance peux préci- ser qu'elle entre vingt vingt-cinq ans cheveux châtain foncé bouclés mi-longs assez jolie trouvais belle difficile d'être objectif plan-là l'ai rencontrée l'époque voyais après l'avoir vue pendant plusieurs semaines vers onze heures matin marché ville résidais l'époque plein soleil cinquante centi mètres regardées insistance d'une façon étrange ressemblait appel n'avons parler j'ai continué voir tête suite d'autre part lorsque j'avais treize ans j'ai endroit géogra- phique lequel n'avais jamais mis pieds auparavant parents l'ont confirmé j'avai l'impression très forte avoir déjà extérieures n'ont rien très naturel pensez-vous tout cela pou- vez-vous donner quelques indica- tions informations explications mlle aix-en-provence yannick bourdoiseau publié chapitre parapsychologie encyclopédie pratique psy- chologie moderne paris retz répondra sans doute toutes questions posez complétera vofre information pouvez ajouter lecture petit volume collection sais-je paris presses universt- taires france yvonne cas- tellan parapsychologie références citées aideront poursuivre enquête désirez recommande égale- ment l'ouvrage d'harold pufhoff physicien l'institut stanjord recherche intitulé confins l'esprit colloque tenu à.cor- doue france-culture porté rapports sciences l'irra- tionnel actes colloque viennent paraître éditions stock livreront point vue partagé scientifiques parapsychologie nombre gens font état d'expé- riences personnelles télépathie peut-être existe-t-il parmi lecteurs .mais l'existence prouphénomène apparaît difficile toujours pyromanie comme suite article intitulé d'où vient pyromanie paru forum 126 psychologie juillet 1980 saurais gré bien vouloir possible communiquer titres ouvrages trait pyromanie annie montbard sous terme pyromanie -on désigne fois l'attirance morbide feu tendance patholo8ique allumer incendies l'ouvrage plus récent thèse médecine daniel michel inti19 incendiaires strasbourg
4,5,française j'ai parcouru aveg grand intérêt l'article claudie bert l'homme l'an 3000 sera-t-il différent psychologie 131 décembre 80. documenté clair c'est très bon travail opinion d'emblée permet d'émettre critique indi- recte concernant choix lec- tures référence effet îles exemples invoqués marie farca marge piercy aldous huxley george orwell philip josé farmer harlan ellison pres tous relevés chez auteurs anglo-saxons plus précisément amé- ricains encore parfois russes efremov strougatski conviens propos n'était donner image fidèle genre n'en reste moins qu'on assiste encore perdurance d'un phénomène difficilement croya- ble c'est science-fiction presque toujours présentée comme forme littéraire typiquement anglo-saxonne tout moins étrangère dont rares textes intéressants dus traduction c'est complètement faux chance posséder france remarquables écrivains dont soucis d'ordre sociolo- gique psychologique con- trairement ailleurs d'une assertions cet article remplacé depuis fort longtemps dix vingt ans environ vieux thèmes tech- nologiques spatiaux estime grande masse connais- seurs suivent progression comme écrivent pu- blient française réunie exemple autour mouvement remparts situe actuellementun nettement au-dessus anglo- saxons cocorico d'œilières écrivains comme daniel wal- ther michel jeury dominique douay jean-pierre andrevon philippe cur- val j'en passe n'ont véritablement rien envier farmer ellison herbert bradbury leurs visions multiples l'avenir ailleurs résultant observation présent ainsi jeur talent dignes plus grand intérêt concernant sujet l'article claudie bert lira profit temps incertain jeury prin- cipe l'œuf douay requiem demain krysnak complot walther compagnons marciliague pierre marison dé- sert monde andrevon encore futurs présent .des métiers d'avenir anthologies curval marlson raymond milesi thionville psychologie avril 1981 bons mauvais enseignants article l'échec scolaire n'est inscrit chromosomes psychologie 131 déc présente analyse très intéressante dénoncez l'inégalité chances ségrégation sociale entretenues l'organisation société point vue partage entièrement cependant articie visant expliquer condamner ségréga- tion injustice demeure profon- dément choquée lecture mots classe jean bon lycée l'enseignement assuré professeurs titu- jaires jacques contraire risque faire connaissance l'enseignement enseignants noï titulaires rapidité compa- raisons bons enseignants sont- enseignants titulaires mauvais non titulaires moi-même enseignante plus non titulaire vou- drais apporter quelques préci- sions distinction qu'il préférable faire entre bons mauvais enseignants traitant psychologie devez savoir qu'en matière d'éducation concours bien formation théorique s'adresse tous cas classes modèles sans problèmes suffisent donner toutes qualités enseignant s'adresse réalités sanctions bien sûr preuve d'un certain niveau connaissances matière ensei- gnée faut rappeler sujet bien enseignants non titulaires niveau égal par- fois bien supérieur ensei- gnants titulaires puisque nombreux ceux niveau capes peuvent l'obtenir parce qu'ils obligés travailler peuvent consacrer entière- ment cette préparation plus niveau d'un bon nombre d'anciens professeurs titulaires correspond souvent deux années d'études universitaires parfois moins conclusion dirai donc bon enseignant celui connaissances requises métier aussi l'application personnalité font connais- sances passeront contact l'échange permet- tront d'être sensible besoins in- tellectuels psychologiques l'enfant conditions essentielles rester clairvoyant matière justice face chacun être prêt aider plus défavorisés barberey-st-sulpice mémoire curieuse expérience rapide ontai premier compartimen part vide sans douter qu'un compagne visible trouvait déjà dont conversa pén sionnante devait tenir éveillé jusqu lu- train s'ébranla jentement regardai mières stockholm s'éteindre peu peu puis sommeil j'aperçus alors face banquette livre jaissé voyageur pris machinatement j'en parcourus remières lignes cinq minutes plus tard isais avidité comme récit d'un révélait trésor onde pos ettet tout mémoire suflisante fantastiques ent ser- rares personnes savent euse faculté vir cette merveill lromme moins doué peut retenir facilement apr seule lecture attentive toujours principales villes monde chiffre interminables chiffres .da villes souverains fait l'école résolus vérifier livre disait bien exact tirai indicateur valise mis lire posément manière prescrite nom cent stations chemin fer séparent stockholm trehürningsjô constatai qu'il suffisait d'une seule lec- ture pouvoir réciter cette liste l'ordre lequel l'avais lue puis sens inverse c'est-à-dire commençant fin pou- vais indiquer instantanément position respective n'importe quelle ville exemple énoncer qu'elle 84° 36° tant leurs noms s'étaient gravés profondément cerveau demeurai stupéfait d'avoir acquis pouvoir aussi extraordinaire passai reste nuit tenter nouvelles expériences toutes plus compliquées unes autres sans arriver trouver limite forces bien entendu bornai exer cices amusants dès lendemain j'utilisai d'une façon plus pratique connaissance lois l'esprit pus ainsi retenir inéroyable facilité lectures airs musique j'entendais nom physiono- mie personnes venaient voir adresse rendez-vous d'affaires apprendre quatre mois langue anglaise j'ai obtenu vie fortune bonheur quantité suitisante c'est livre dois car révélé comment fonc- tionne cerveau voulez savoir comment obtenir mê- résultats acquérir cette puissance mentale encore meilleure chance réussir ans vie priez w.r. borg envoyer intéressant petit ouvrage documentaire lois eternelles succès distribue gratuite- ment quiconque désire améliorer mémoire voici adresse w.r. borg dpt 758 chez aubanel place st-pierre 84028 avignon nom aubanel garantie sérieux depuis aubanel diffusent nde meilleures mét psychologie pratique. hodes dorlier p—— bon gratuit découper recopier adresser iw.r borg dpt 758 chez auban 1séplerre 84028 avignon evolr placel lengagement part sous pli fermé lois eternelles succès nom prenom rue code postal age profession laucun démarcheur rendra visite
5,6,ras
6,7,dessin daniel sinay petit proust sommeille-t-il françoise gauquelin test présentons ici permettra mesurer habileté naturelle adapter subtilités langue française type d'épreuve appelé wilson taylor close proce- dure imaginé mesurer lisibilité d'un texté donné fondant caractère usuel mots structure syntaxique phrases utilisés écrivain journaliste publiciste etc cepen- dant test peut être utilisé aussi but inverse c'est quoi pourrait rendre service peut permettre tout chacun mesurer habileté inguistique capacité mettre place d'un écrivain donné souplesse adaptative voici comment présente mot cinq effacé texte marcel proust s'agit d'une très longues phrases peut-être plus longue contient quatre cent quatre-vingt-cinq mots tout cette phrase décrit manière harmonieuse cohérente chambres habitées marcel proust comment trouvait som- mel cours recherches lisibilité françois ri- chaudeau sélectionné cette phrase faire test closure test proposé cinquante psychologie avril 1981 sujets différents niveaux grou- moyenne assez cultivé l'agent technique agrégé uni- versité comprend quarante cent d'hommes soixante cent femmes celles-ci obtenant cette activité résultat moyenne très légèrement supérieur celui hommes tend confirmer aptitudes linguistiques dames personne d'ailleurs songe contester comment faire test allez pouvoir confronter résultats groupe propre résultat procédant manière suivante chaque intervalle laissé blanc .dans texte marcel proust notez mot paraît plus adapté resti- tuer texte original auteur tenant compte mots précè- dent suivent blancs exemple texte présente ainsi recherche ———— temps perdu pouvez insérer sans hésiter blanc mot effacé mot-outil grammatica- lement nécessaire cet endroit phrase texte peut pré- senter comme suit recherche perdu trouver mot manque cas c'est-à-dire temps faut plus réflexion différents termes pour- raient convenir bonne connais- sance style marcel proust bonne familiarité langue française favorisent découverte temps perdu l'expression convient ici alors bonne chance remplissez blancs ménagés texte suit efforçant tenir compte style proust n'hésitez mettre aussi vôtre quand intentions au- teur restent cachées indiquerons fin test com- ment déduire réponses indications goûts ten- dances personnels test verso o.0 décrit françois richaudeau cinq méthodes mesure lisibilité communication langages marcel proust recherche temps perdu bibliothèque pléiade tome françois richaudeau publié sujet ouvrage centre d'étude promotion lecture paris 1969 ainsi nombreux articles consultera fruit .le dernier date 248 phrases proust paru communication lan geges deux parties mot reliées apostrophe tiret considérées comme seul mot ici ainsi j'avais l'on comptent môt aussi bien décompte quatre mots préservés cinquième mot effacé devez retrouver
7,8,dirai rien regardant écriture graphologue avisé capable .de dire quaes lités défauts faites-en gratuitement expérience adressant l.p.s quelques lignes écriture retour recevrez diagnostic sommaire dont exactitude stupéfera cette passionnante expérience engage rien découpez bon adressez-le joignant enveloppe nom timbres frais lp.s. b.p 53.08 75362 paris cedex grapho-test gratuit chambres tantôt tantôt l'autre j'avais etje parme rappeler vie sveil mbres j'avais âveries suivaient réveil cha don longues rêv nid blottit l'orei quand plus disparates coin oreiller tresse choses chêlé bord lit bout chäle haut débats roses finit cimenter ensemble numéro appuyant indéfiniment technique oiseaux temps glacial l'hirondelle mer qu'on goûte sentir séparé dehors nid fond feu entretenu souterrain chaleur terre toute nuit cheminée dort grand d'air chaud fumeux lueurs tisons rallument chaude caverne creusée sein sorte impalpable zone ardente mobile contours thermiques chambre aérée souffles rafraîchissent figure viennent parties voisines fenêtre ouéloignés chambres d'été être uni tiède clair lune appuyé volets jette jusqu'au pied échelle enchantée dort presque plein comme mésange balancée brise d'un rayon parfois louis xvi gaie premier soir malheureux soutenaient légèrement s'écartaient tant montrer etréserver place dulit parfois contraire celle petite élevée plafond creusée forme pyramide hauteur deux étages partiellement revê- tue d'acajou première seconde j'avais intoxiqué mo- ralement l'odeur vetiver convaincu rideaux violets l'insolente indifférence jacassait tout haut étrange impi- toyable glace pieds barrant obliquement -de pièce àvifdansla plénitude demon champ accoutumé emplacement n'était prévu pensée efforçant pendant disloquer hauteur prendre forme arriver remplir haut gigantesque entonnoir souffert bien dures tan- étendu lit yeux l'oreille anxieuse tir cœur battant jusqu l'habitude changé glace cruell pendule enseigné dissimulé sinon chassé l'odeur vétiver diminué hauteur apparente cie plafond
8,9,herblay près paris drogue circule faut bien qu'elle provienne quelque part l'opinion publique désigne pourvoyeurs famille marocaine huit enfants entas- sée appartement d'une h.l.m police recueilli aucun indice contre gens-là en- quête trouve toujours rien suspect qu'importe rumeur continue courir population manifeste devant l'immeuble conseil municipal déchire propos l'affaire mère marocaine fait crise nerfs doit être emmenée l'hôpital bouc émis- saire communauté chargé problèmes péchés émigrés gens venus d'ailleurs gens font comme tout monde étran- gers sens plein terme me- nacent communauté l'extérieur différence s'ils pou- vaient être vraiment coupables complètement rassurée elle-même ville normandie l'opi- nion püblique accuse viol fils député-maire n'hésite houspiller questionner jeune frère l'accusé sortie lycée chef famille premier magistrat taire rumeur l'accusé l'opi- nion publique pourchasse tare communauté quelle tentation l'en rendre responsable plus sim- plement plus durement dès l'ennui rôde quelle possibilité recréer peu d'ambiance bouc émissaire ici déviant s'est placé lui-même hoïs groupe menacé cohésion l'intérieur aura-t-il jamais fini payer temps crise socié- tés deviennent plus sourcil- leuses plus frileuses elles referment elles-mêmes elles raccrochent principes fait preuve fait bon provoquer devrions assister parce crise course plus plus affolée rumeur ville doit évoquer l'affaire publiquement .pour tenter faire s'est drogué impliqué affaire drogue quelques années s'est mis marge société dès difficulté apparaît l'étranger qu'il exportait rumeur d'orléans franchi frontières département parce qu'elle étudiée socio- logues quelques années bruit couru ville jeunes filles mystérieusement disparu elles entrées chez certains commerçants plus jamais ressorties police n'avait enregistré aucune plainte l'opinion n'en continuait moins colporter informations plus plus précises tous commer- çants suspectés israélites bouc émissaire circonstance celui histoire déjà tant fois joué rôle juif enquêté naguère sut rumeur obsédé pen- dant semaines doi-de- bretagne fondateur proprié- taire d'une usine locale meubles accusé livrer trafic drogue par-delà fron- tières quelques années homme parti rien devenu l'animateur d'une industrie floris- sante membre influent chambre commerce région l'ami conseiller hommes politiques département l'opinion décréta jour qu'il devait réussite manifestée signes extérieurs richesse travail talent profit qu'il retirait énormes quantités drogue dissimulées pieds tables armoires qu'il vendait expositions réimportait en- suite aucun détail manquait cafés salons bourgeois bou- tiques bruissaient trafic inter- national dissonance succès mis marche ma- chine anonyme broyer réputa- tions l'industriel fils che- veux peu longs fréquentations peu louches jour sans doute tiré quelques bouffées d'une cigarette marijuana cela suffi rien semblait pouvoir arrêter rumeur protesta- tations famille attaquée plaintes justice diffamation nirles articles ouest-france l'imagination foule allée trop loin camions transportant meubles bourrés drogue im- pliquaient complicité chauf- cet chronique jacaues mousseau feurs ouvriers rumeur prit fin après 106 travailleurs l'entreprise allés massés der- rière patron protester jour publiquement devant mairie cas présent bouc émissaire famille peut-être peu voyante peut-être peu osten- tatoire trop bien réussi trop vite famille déviante quelque sorte plusieurs mois après retour calme lorsque allé enquêter dol-de-bretagne doute planait certains entretiens laissait entendre malgré tout jamais fumée sans feu ru- meur laisse traces conscience populaire peut re- naître moment autre sous forme biaisée c'est s'est passé récemment cette ville normandie drogué années 1970 devenu violeur années 1980 rumeur phé- noïnènes plus inquiétants psychologie sociale non psychologie individuelle sait com- mencé sait quand élle s'arrêter rappelle cette histoire premier membre d'une chaîne murmure voisin lequel répète l'oreille propre voisin lorsque l'histoire arrive bout chaîne celui lancée reconnaît plus rumeur chasse démons hantent communauté crime l'ennui désignant coupable qu'elle charge expulse plus aisé rejeter celui trouve déjà installé marges société origine fait rumeur permet chasser l'intrus chargeant d'un crime supposé d'exorciser crime réel chargeant intrus toujours bouc émissaire maillon plus faible chaîne communau- taire parce qu'étant mal inséré communauté incapable venger réagir comprend fonctionnement bar qu'elle révèle passions agitent communauté tréfonds peuvent l'aveugler rumeur fait peur psychologie avril 1981
9,10,psychiatre craque con aaivez aimaais mieux vieux quant etait bourre etait plus rss data bain sre unes saa len vendaït puis avant-hier
