,page,text
0,1,issn 0032-1583 ane rte pte 1981 12f-n°137 ppt dsye faculfé sciences soclalès politiques— magazine mieux-être bibliothèque amd ———— 004 lausanne noire comportement sexuel ... influencé âge cavernes négocier pleine d'idées 1676 créativité thérapie dessin deux tete d.w. winnicott cerveau gauche comprend plaisanterie controverse méthode doman sue bcu lausanne lutte m2978-137-12f belgique f.b suisse canada 2.25 mensue
1,2,ass pps dome jibliotheque gantonale universitaire t8.dec.198€ lausanne sen rer renser oniroubil lou chaque minute monde entier hommes persécutent autres hommes cause leurs opinions tous jours solitude prison prisonniers d'opinion subissent privation humiliation torture poubli déjà mort tous jours certains perdent l'espoir autres perdent vie homme cos pateannonce êté réalisée gracieusement b.ca.c remercions marc garanger apex graphic ere nouvelle delta photo christian gublin participation bénévole ——— ere cet l'an assassiné peu d'humanité tuée chacun liberté d'opinion monde affaire abonnez-vous chronique bulletin mensuel information 120 plus adressez dons amnesty international rue théodore-deck 75015 paris ccp 30.160 16. source peu liberté gagnée amnesty international espoir prisonniers d'opinion monde
2,3,ssydhologie conhaissante soi connaissance autres juin 1981-12f- 137 informations colloques débats ... quels rapports entretenez-vous michel gauquelin fautil fier sondages enfants lésés cerveau méthode doman psycho-actualités quiz l'astrologie chronique jacques mousseau miracle n'est rendez-vous suzanne mollo claudie bert tania quintiliano bon négociateur royce coffin cerveau gauche comprend plaisanterie howard gardner claude lévi-strauss raymond aron galerie portraits comportement sexuel influencé l'âge cavernes entretien donäld symons sam keen lecteurs interrogent marcel turbiaux répond cus amsn l'enfant dialogue dessin thérapie d'enfants méthode winnicott anne debarède histoire lapin inventée enfant bouleverse histoire famille hélène brunschwig forum nouveaux livres marx darwin grand affrontement vivre plus psychothérapies familiales l'information génétique science théorie l'opinion petites annonces psychologie prochain numéro paraîtra juillet pation bénévole abonner voyez page
3,4,"trouverez notamment île prochain numéro psychologie ———— trois directions recherche l'unité personne tradition chinoise sépare corps l'esprit pierre crépon pensée paul diel quiamisen application cette belle formule dont ilest auteur penser vie vivre pensée docieur cyrille cahen thérapie réaction contre verbalisme ambiant s'appuie le-vécu corporel appréhendé travers rêves jean ambrosi mécanisme l'arnaque jeffrey rubin pourquoi tombe-t-on facilement pièges tendus autres soi-même comment l'éviter examens sont-ils uné loterie léa marcou notes qüi copie diffèrent douze points philosophie neuf mathématiques est-ce dire résultats plus moins équitables tirait sort apprendre langues développe l'intelligence béryl lieff benderly disait depuis longtemps sans aucune preuve voici reuves recherche commence ournir envente mercredi juillet sels chute natalité serait-elle enrayée après période chute natalité 1968-1976 constate mail tenant fécondité s'est stabili- sée france tendance remonter légèrement loin encore taux natalité nécessaire assurer simple remplacement générations situé actuelle- ment 2,10 naissances femme taux remonté 1,87 1979 accuse 1980 augmentation presque atteignant ainsi 1,95 enfant femme d'autre part observe diminution fécon- dité âges plus jeunes relèvement entre ans évolution parallèle fait sentir d'autres pays industrialisés comme etats-unis l'allemagne fédérale grande-bretagne constatations rendent caduque l'idée selon laquelle libéralisation l'avortement responsable chute natalité france d'après déclarations plupart avortements pratiqués femmes mariées 57,8 1977 contre 378 célibataires veuves divorcées plus particulièremient celles déjà deux enfants c'est donc bien désir femme quant nombre d'enfants qu'elle veut avoir décide taux natalité cet optimisme n'est cependant partagé tous experts mographie certains insistent caractère fragile l'évolution constatée remontée natalité nest encore assez ancienne l'on puisse d'ores déjà assurer chute natalité ñitivement enrayée source in.eld sociétés population ———————— taxi comités veut bien liaison inter-associations ntre tabagisme vient réaliser réalisée actualites age duréé eae veut bien danis cadre participa- tion campagnes gouvernemen- tales d'information public fil conducteur film chauffeur-de taxi ancien fumeur affiche voiture pan- neau gentillesse fumer converse avéc passagère c'est l'occasion d'évoquer propre expérience lès témoi- gnages d'anciens fumeurs jeunes plus souvent qu'il l'occasion transporter manière dont cessé fumer nouvelle façon vivre sans tabac quelques images fortes évoquent l'agression tabac l'appareil cardio-respiratoire film réalisé guy eschlimann peut être loué écoles associations coût cin- quante francs semaine prudent réserver quinze jours l'avance comité liaison inter-associations contre tabagisme saint-michel 75006 paris tél 325 08. silente pense difficile bien travailler bruit c'est bien connu groupe récherche université libre berlin-ouest fait ressortir tâches intellectuelles plus pertur- bées bruit-étaient recherche vérification l'exploitation informations deux premiers cas sujets montraient plus lents travail faisaient d'autant plus d'erreurs l'am- biance plus bruyante venaient ensemble bout leur-pensum revanche stade l'exploitation l'information s'agissait matière savoir personne remplissait condi- fon rise âge revenus situa- d'une famille perception allocation trophe multiplicatio care incapacité synthétis ctteutss blèmes iser pro- soudre cas posé led enfants travail uit qualité c9mmee montre étude etats-unis cinq chercours côte ouest examiné oûers 10° et'de élèves jarre depuis plus trois ans quatre établissements plus bruyants los angeles passai salent écoles au-dessus moye deux pin 0yenne toutes"
4,5,deee pound cheurs sous direction sheldon cohen psychologue l'université l'oregon testé enfants pendant deux jours suite remorque insonorisée parquée l'extérieur l'école résultats enfants comparés ceux 124 enfants milieu fréquentant écoles tran- quilles résultats d'abord révélé enfants écoles bruyantes pression sanguine plus élevée celle leurs congénères écoles calmes soumis puzzle difficulté modérée résoudre quatre minutes enfants écoles bruyantes contre élèves écoles non bruyantes échoué parmi enfants écoles bruyan- échouèrent abandon- nèrent avant quatre minutes tandis seulement élèves écoles tranquilles échoué abandonné avant fin contre bruit semblé avoir aucun effet sensible épreuves étalonnées lecture mathématiques étude montre aussi contrairement qu'on affirme enfants habituent n'en viennent plus entendre bruit courant j'été 1978 l'issue cette recherche l'aéroport international los angeles contraint faire insonoriser écoles trouvant couloir aérien après chercheurs revinrent tester nouveau en- fants dépit diminution bruit constatèrent amé- lioration aptitudes enfants deux explications possibles cela bien enfants encore soumis vacarme chez bien plus nécessaire jes enfants s'élèvent niveau leurs congénères classes calmes pilule l'intelligence agir l'intelligence développer action délibérée vieux rêve est-il passe devenir réalité quinze ans environ commencé chercher tranquillisant n'obnubilait fonctions intellectuelles comme font plupart tranquillisants benzyl-méthylamino-éthyl acide benzoïque hydrochloride méthyl ester s'est révélé non seulement réponpsychologie juin 1981 —————— otuautes dre cette exigence encore augmenter fonctions intellec- tuelles particulier mémoire produit testé doc- teur nikolaus hans l'univer- sité creighton omaha groupe d'étudiants comparé groupe recevant placebo résultats positifs deux questions demeurent résoudre comment agit produit usage répété présente-t-il danger après pilule gymnastique docteurs herman vanderburgh seymour kaufman national ins- titute mental health déve- loppé méthode permettant stimuler cellules vivantes mesurer résultats leurs études suggéré cellules nerveuses cerveau comportent comme cellules musculaires l'exercice stimule croissance manque d'exercice entraîne atrophie eee kleptomanie journaux fait divers remué angleterre attiré l'attention publique trouble psychologique fois connu mystérieux kleptomanie vol compulsif personnalité très vue lady isabel barnette soïixante-deux ans veuve maire leicester célèbre depuis participation jury d'un jeu télévisé suicidée l'hiver dernier après avoir condamnée vol surprise magasin main sac sens propre alors qu'elle glissait sac toile dissimulé sous manteau boîte thon pot crème fraîche d'une valeur totale dixsept francs tenta bien plaider méprise condamnée grosse amende quatre jours plus tard suicidait l'événement .fit jour- naux soulevant émotion intense commerçant dénoncé lady barnett reçut nombreuses lettres d'injures relançant ————— dci vieille controverse sur'la conduite tenir envers ceux piquent magasins nombreux anglais souhaiteraient qu'on considère comme malades et-qu'on propose traitement lieu enfermer prison première tentative moins autres objectent c'est trop facile tous voleurs feraient alors pas- ser kleptomanes at-il portrait-robot klep- tomane oui pense journaliste lynda lee-potter interviewé beaucoup daïly mail trouvé nombreux points communs kleptomane type femme veuve s'entendant mal mari femmes tirent leurs vols excitation sexuelle n'en ressentent remords point vue partagé plusieurs psychiatres c'est pensent-ils comme kleptomane disait vie volé bonheur mérite compensation d'autres psychiatres avis différent kleptomanes disent-ils ressentent fort sentiment culpa- bilité indignité cherchent faire prendre être punis quoi qu'il histoire lady isabel barrett termine note d'humour noir lors funérailles voleurs pénétrèrent château emportèrent environ dix millions francs ar- genterie mme allemands paresseux publié article intitulé allemands seraient-ils devenus paresseux l'hebdomadaire stern inondé lettres protestations allemands tiennent viscéralement image marque celle peuple plus travailleur terre pourtant statistiques prouvent république fédérale détient tous records matière loisirs d'absentéisme alors qu'un japonais travaille 083 heures suisse 026 heures espagnol 2008 heures américain 1907 heures herr schultz citoyen république fédérale abat 1812 heures besogne
5,6,"absentéisme aidant n'en fait d'ail- leurs probablement plus 643 ailleurs plus deux tiers travailleurs bénéficient d'au moins six semaines congé aux- quelles s'ajoutent environ seize jours fêtes légales dûment payés cor- respondant nombreuses fêtes religieuses laïques célébrées différents länder ceux ses- timeraient surmenés droit cha- année six semaines congé- maladie plein salaire peuvent parfaitement être suivies d'un bon mois cure taux absentéisme s'établit allemagne fédérale alors qu'il n'est 3,5 etats-unis moins japon conséquence productivité l'allemagne aujourd'hui encadrée vacances tous azimuts inférieure celle etats- unis ordinateurs humanisés deux brochures éditées commission l'informatique alle- mande destinées permettre chaque citoyen république fé- dérale savoir fiché quel genre renseignements détient tel tel organisme rencon- tré très vif intérêt auprès public enregistré quelques semaines plus cent mille com- mandes timides n'oseraient demander comme loi autorise pourtant informations concernant stockées mémoire ordinateurs banques compagnies d'assurances organismes crédit etc. l'hebdomadaire der stern publié série d'articles sujet rédigé remarquable lettre type périodique homosexuels comité d'urgence anti-répres homosexuelle vient créer apr d'existence propre jou nal homophonies journal mix d'homosexuels deux exes homophonies représente ppout fondateurs prolongement effecti journées nationales d'arcadie lieu novembre 1980 paris après sénat refusé l'abrogation loi condamne attentats pudeur sans vio- lence tentatives débauche mineurs prévoit peine plus forte victime sexe cette loi après maintes discus- sions donc toujours vigueur ... favoriser l'échange concertation entre homosexuels mensuel militant annonce aussi rassemblements groupes propose calendrier réunions manifestations homophonies c/o c.u.arh.-publi- cations rue keller 75011 paris ————————— graphologues nouvelle association graphologues français vienne créer fédération nationale graphologues professionnels paris cette fédérati rassem déjà trois syndicats associations professionnelles graphologues lusieurs établissements d'enseignement graphologie dive recrutement rapholenes indépendants eùss but promouvo gie professionnelle échanges entre gra rapholo miner code déontologique déter- graphologie plus plus utilisée fra nce ciation intéressera sans doute nombreux graphologues eng.p bis barboux 94110 arcue roger-simon grapholo permettre .des -biante incite complet attus 505 enfants urageants résultats once enfants battus sos depuis trois ans vient publier bilan justifie réation ample tune moyenne 700 ap- pels provenant aussi bien enfants eux-mêmes voisins services sociaux pons très grand nombre cas conseillers s.os enfants pattus arrivent tout moins par- tiellement empêcher renouvelle- ment sévices entretien téléphonique parents plus souvent visite domicile près d'un tiers cas pro- bième nécessité l'intervention services d'aide l'enfance mesures allant soutien pédago- gique parents procédure pénale quatre fois six mois passant-par placement l'enfant institution thérapie familiale nomination d'un tuteur auteurs rapport insistent rôle primordial préven- tion aide précoce individua- lisée familles haut risque notamment lorsque parents alcoolique réduirait considérablement triste cohorte enfants battus droits hospitalisés rentrer l'hôpital intervention n'est jamais très agréable l'inquiétude rend souvent timide l'architecture l'atmosphère revendications l'on mal reçu mal traité cependant éxiste nombre certain ombre crêts concernant l'hospur famille deux femmes longuement pratiqué l'hôpinent publier sujet officiel textes journal visites savoir possibilités famille pendant eures réception possibilité avoir membre chambre famille temps dossier o1t sortie d'accès possibilit médicaux radios d'assister culte refuser toute"
6,7,psi caroline lamaison armelle piteux- s.m.g. b.p 92220 bagneux joindre f\. calendrier stages congrès etc juin paris conférence science croyance l'amour mystique ren- contre cultures bien d'autres sujets université populaire paris rue ponthieu 75008 paris paris palais congrès porte maillot cores- prit congrès-exposition voies d'épanouissement corps l'esprit paris primal conférence- atelier association française psy- chologie humaniste rue savoie 75006 paris paris stage modalités actuelles licencie- ment c.n.o.f. rue cassette 75006 paris toulouse soirée-débat l'argent poche ecole parents allée soupirs 31400 toulouse paris séminaire expérience femme théo- logie choish-séminaires rue léon-dierx 75015 paris paris stage pra- tique relations humaines so- ciales gervais-danone gimca montparnasse 75006 paris juillet juillet 1981 programme formation psychosynthèse kull etats-unis sandor france s'adresser martine sandor stade coubertin 92100 boulogne tél 608 partir jusqu fin août sud-ouest stage techniques corps massage californien shiatsu.… créativité danse expression graphique ... développement personnel rebirth intégration posturale eveil rue saint-ferdinand 75017 paris normandie devenir séminaire psychologie juin 1981 agtualnes ement personnel françoise due melonnière rueil bruxelles sémi- naire psychomatique centre psychomatique l.-wiener 123 1170 bruxelles l'essonne stage d'aïkido sous direction bob aubrey renseignements inscrip- tions université verte château chamarande 91730 chamarande tél 491 drôme stage méditation vipassana d'épanouissement psychodynamique wendy shute foch 38000 gre- noble. début août près paris stage intensif développement personnel transbio 200 malesherbes 75017 paris l'esperanto congrès brasilia juillet août universala kongreso esperanto nieuwe binnenweg 176 3015 rotterdam pays-bas relations interculturelles stage anglais août cologne allemagne l'ouest anne alifat rte saint-germain 78620 etang- la-ville montréal congrès mondial enfants surdoués secrétariat enfants surdoués 772 ouest rue sherbrooke montréal qué- bec canada h3a 1g1 août paris col- loque international psychologie économique université rené-des- cartes iaboratoire psychologie économique 143 versailles 75016 paris septembre les:5 près genève stage psychocybernétique endroit septembre octobre deux fois semaine stage suggestopédique psychologie sugesta case postale 1224 chêne-bougeries genève près paris presse l'école forum groupant professeurs second degré professionnels presse inscriptions avant juin participation 500 c.p.j. rue louvre 750 tél 508 71. fout faris ——— collaboré cette rubri cohen kostolany marcou monneret turb gneault urbiaux j-n. communiqué i.c.h vacances 1981 commencer poursuivre formation psychologique sans attendre session 1981/82 enseignement correspondance disciplines différentes inscriptions corrections assurées pendant tout formation concrète individualisée entretien soir d'après-midi séminaires journées d'études enseignement correspondance paris province lyon bordeaux marseille animée universitaires praticiens convention formation continue formations psychologie appliquée graphologie morpho-psychologie psychologie profondeurs caractérologie symbolisme psychopédugogie créativité formation d'animateurs orientation para-psychologie psychotechnique rorschach psychosociologie sexologie relaxation psychosomatique 0000000000 informations bureaux pàr correspondance ec.h ruej oubert 75009 paris tél 874.43.60 etablissement privé d'enseignement fesses nom ... sion adresse ... demande sans engagement formule d'orientation sune documentation gratuite entretiens soir après-m séminaires cours correspondance
7,8,bisqzneuos ueor uonensni las paint cae anse
8,9,illustration joan schatzberg entretenez-vous l'astrologie faites test astrologie statistiques disent deux tiers d'entre connaissent signe naissance qu'il beau- coup personnes croient plus moins aussi ceux savent rien tout cela moquent montrent hos- tiles mettons choses point intention n'est faire démonstration contre astro- logie but plus modeste finalement l'espérons plus objectif plus amusant offrons participer expérieñce réponses feront office démonstration l'astrologie prétend décrire caractère prévoir événements vie chacun entre grâce l'examen position astres naissance l'horoscope cet instantané céleste moment premier ori construc- tion complexe affaire spécialistes repose dires astro- logues base fondamentale signes zodiaque plus commu nément appelés signes nais- sance marche annuelle apparente soleil traverse douze signes zodiaque bélier taureau gémeaux cancer lion vierge ba- lance scorpion sagittaire capri- corne verseau poissons connaissant signe natif peut déjà apprendre beaucoup lui-même car signe solaire conférerait tonalité base toute personna- lité complexités horoscope complet peuvent modifier partie cette tendance fondamenpsychologie juin 1981 tale resterait toujours quelque chose vrai faux attendons voir débuter veuillez ré- pondre test chargé d'estimer degré culture astrologique coefficient d'adhésion science astres négligez répondre car aussi nécessaire test suivra bonne marche l'expérience test quel degré çulture astrologique celui adhésion doctrine astres première partie connaissez-vous signe nais sance oui non savez-vous astronomiquement veut dire signe naissance oui non connaissez-vous sens technique l'expression astrologique signe ascendant oui non quoi qu'il connaissez-vous signe ascendant oui non michel gauquelin ———— sentez-vous capable décrire brièvement grandes lignes psy- chologiques l'influence chaque signe zodiaque oui non seconde partie lisez-vous irrégulièrement horoscope presse oui non pensez-vous qu'il quelque chose vrai interprétations astrologiques faites spécialiste oui non sujet l'astrologie intéresset-il soi oui non avez-vous acheté plusieurs ouvrages signes zodiaque oui non ————————— ———.————————.————— 10. avez-vous fait établir horoscope complet astrologue sinon auriez-vous moins désir faire établir l'occasion présenait oui non
9,10,corrigé test cinq premières questions ent trait culture astrale cinq dernières motivation point n'est besoin d'un corrigé compliqué situer entre ignorance totale connaissance semi désintérêt complet dissimulée l'important reteniez raison résultat test apparaîtra éresu expérience passons maintenant seconde phase l'expérience test avaien test douze descriptions soi-même chaque signe astrologique choisissez celle ressemble plus descriptions établies astrologues collaboration psychologues conformité tradition astrologique plus purel chacune descriptions soi-même correspond profil type d'un signe astrologique bélier taureau gémeaux etc dit lequel tout moins l'instant lisez attentivement douze portraits mettez croix seule devant celui paraît représenter mieux personnalité j'aime vie grand air sport déteste restreigne quelque façon dont j'ai plus besoin liberté j'aime sens l'humour voyages animaux fois décidé quelque chose change d'avis peux montrer têtu surtout lorsque j'estime droit ensemble facile vivre sais garder calme lorsque défends position vie ousiaste enth rendre fais souvent plusieurs choses fois lorsqu'un projet m'intéresse capable travailler dessus longues dures heures adore ler parler vite parfois mêm exagérer perfectionniste attentif petits détails semblent souvent importants autres oublient déteste abandon- ner travail avant qu'il pro- prement terminé satisfaction certaines personnes trouvent critique beaucoup plus critique envers moi-même qu'envers autres ——— naturel heureux d'un abord agréable j'aime sentir autres heureux autour dissimule émotions général optimiste désire voir compagnon compa- gne satisfaire chacune fan- taisies maïs montre plein chaleur générosité retour m'intéresse beaucoup création artistique comme peindre faire musique bien encore écrire j'aime concilier deux amis dont arguments s'opposent pense être doué cela car ca- pable voir deux côtés opposés d'un problème d'une question doué commerce gagner l'argent recherche postes direction j'ai cependant côté sensible émotif connaissent amis plus intimes public préfère rester froid calme toutes circonstances j'aime mener entreprends personnalité forte buts amour jaloux passionné bien tout passe avoir déterminée permet d'atteindre peux montrer mots verbal j'aime servir parlant écrivant m'arrive parfois monopoliser conversation amis trouvent cependant spirituel intéressant bien qu'un peu trop changeant quoique général doué logique change souvent hu- meur c'est vrai ——————————————z 10. facile d'exciter.chez compassion préfère aider autres gagner beaucoup ar- gent bien plaisant parfois rêves éveillés j'obtiens bons résultats faisant plutôt confiance intuition qu'aux faits apparemment objectifs 11. vie famille compte plus désire avoir enfants sens surtout heureux lorsque maison miens animaux fami- liers plantes lorsque peux distraire temps cuisiner décorer intérieur esprit plein d'idées nouvelles j'aime inventer tiens organiser contrôlée .et effica cultiver mémoire dividualiste vie façon j'aime ssède bonne tort faits j'ai peut-être utopiste.et ntrer dards habituels mai aintenant téportez-vous peu trop original vis-à-vis stan- dirons d'expérience plu cin volontairement jlaues mots protocol
