,page,text
0,1,"pau ans net peter tee map lila dure eur mal fes. are sul ati done dmettl trs ruuure fmensuel m2978.140.15r del giobe:12ag8 suisse:7,50f.s canada 3,25 issno032-1588 adr haut ape 2.2 mou -©o put los geo raa put test sre £ÿp00c2601 9949 1sl l86l 1480190 oÿl ecs tara rat aus etre rts not atntes cale stone"
1,2,bettelheim 16s comles ees eme angoissants ressemblent vraie vie voir page iveasitaire 18.dee£ lausanne parents racontaïent histoires nterrie i1y unehorrible sorcière cheveux tout verts eps cle cents deux verrues surlenez… nes mari pendant long puis rendu temps j'ai faît dés cacheuards compte qu'îls épouvantables racontaient rien d'autre histoires camille sca poe
2,3,aller voir choses comme elles telle ambition psychologie numéro spécialement consacré école directement enquêter terrain découvertes résultent originales intéressantes parfois inquiétantes comment apprendre apprendre bruno bettelheim rendu lui-même nombreuses salles classe apprend lire tout petits prend contre-pied grand nombre d'idées reçues l'apprentissage lecture rôle médias enseignement sexualité antoine garauderie après avoir longtemps enseigné mis valeur permet élèves concentrer retenir connaissances comment apprendre fraternité racisme déjà présent école léa marcou montre mécanisme pernicieux comment résoudre problèmes enfants école dominique gaucher interroger psychologues scolaires quotidiennement confrontés cas concrets aller voir choses comme elles vie professionnelle professeur mcclelland interrogé meilleurs employés inventé nouvelle méthode recrutement voir choses comme elles aussi orienter regard vers l'intérieur raphaël biagi retrace l'itinéraire maslow parle enquête expériences privilégiées conscience dolaier spécial école bruno bettelheim juge l'école bettelheim dit très sérieusement enfants livres pleins d'images école prend imbéciles veut apprendre lire acontent histoires intéressantes disant faussement l'apprentissage feu facile attitude conséquences ombra interview elisabeth hall leracisme l'école vraiment instinct naturel plutôt différence école peut renforcer combattre léa marcou ——————————— trois atouts bon élève l'attention mémoire réflexion quand dit enfants faites attention sait-on quoi parle comment apprendre faire attention souvenir réfléchir garauderie psychologues scolaires font jouer enfants jeu sert tout calmer angoïsses s'exprimer réconcilier école dominique gaucher parents problèmes ont-d abord résoudre celui-ci adresser tour d'horizon peuvent trouver aujourd hui devrait permettre s'orienter danielle levy —————— lacan talmudiste moderne jean ambrosi ————————————………— révolution tests compétence qu'est-ce distingue celui réussit brillamment travail caractéristiques réussite dans.un emploi donné celles croit daniel goleman peur maslow psychologie transpersonnelle maslow fait sortir psychologie domaine pathologie étudier plein épanouissement homme comment arriver raphaël biagi psychologie prénatale besoin être connaître stress fœtus peut souffrir aussi bien l'absorption alcool rnédicaments tensions émotionnelles mère comme toujours experts tout fait d'accord leboyer déjà suggéré yoga. charles spezzanno couverture illustration georges lemoine abonner voyez page
3,4,découvrez aujourd monde demain vie science informe recherche fonda- mentale entrepris laboratoi- res centres recherche monde entier science vie dévoile tous chaque mois l'événement scientifique science vie science vie explique nouveaux développements aspects l'innovation technologique leurs conséquences vie quotia dienne exemple robotique vina déo télématique sontincessan recevez chaque mois science vie nombreux æxf bénéficiant tarif spécial domaines tels code d'essai l'ingénierie génétique ing an-12 numéros hors série 135 bio-industrie l'espace ... lieu 176f scenceg premier magazine scientifique européen bulletin abonnerment tarif special d'essai adresser paiement joint science vie rue baume 75008 paris ons veuillez m'abonner science vie pourunan 12numeros+ hors serie 135f nom prénom ....... res eee eee adresse .................... code postal ............. ville ..... ...... esse age profession facultatif ....... ...... téressssssseessssses .... joint règlement établi l'ordre science vie chèque bancaire ccp volets mandat-lettre offre réservée france métr opolitai expression symbolique travail emotionnel corps danse groupe eupe sensibilisation week-end groupe d'évolution personnelle week- ends deux ans l'animation groupe formation groupe d'études recherches buts l'intermédiaire danse orelle l'expression corpor connaissance soi tant sujet redécouverte émotions l'épanouissement personne sensibilisation vécu group l'investissement recherche réflexion corps visée anthropologique s'adresse tous ceux soucieux s'interroger eux-mêmes souhaitent évolution appelés vivre travers qualité leurs relations humaines situations contribuant développer poten- tiel humain individus groupes geste cod association loi 1901 clos bruyères traverse pont baret 13100 aix-en-provence tél 53.00.42 agréé formation continue 13.00.189.13 orgamsme prive d'enseignement distance fonde 1953 reg los cours correspondance cours oraux sessions confé rences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient eetérologie morphopsycho jraphologie orientation ection professionnelles nscripti tons toute l'année d'étude individualisé conventions permanente formation documentati ion gratuite gaillat analyse selec ssburs lecno pirr hrofe ssetut
4,5,j'ai pris connaissance intérêt nu- mér psychologie juillet-août réalisé nouvelle équipe par- ticulier article cahen consacré paul diel comble jusqu'ici lacune revue saurait effet méconnaître axe pensée dont l'importance recon nue éminents chercheurs inspiré entre autres nombreux arti- cles dictionnaire symboles chevalier laffont-jupiter- seghers gérard borel toulouse ——— —————— suite numéro 138 juillet-août 1981 félicite l'esprit ou- verture annoncez éditorial dont faites preuve numéro j'ai très intéressé rétrospective diel pourriez-vous déve- lopper différents points vue sychologue motivation rêves mythes etc ... autres articles alain leroy orléans fidèle lectrice revue psychologie surprise heu- reuse voir équipe changé commençais trouver style forme peu monotone ainsi contenu bravo pre- mier numéro 138 continuez cela de- vient vivant neuf rajeuni remar- aussi dessms illustrent graphiquement articles aussi changé style cela paraît ex- cellente chose françoise soulier caluire particle sources résistance psycholôgique maya pines paru psychologie. 136 mai 1981 kobasa maddi pensent pouvoir affirmer gens dont goût risque sens responsabilités maîtrise événements élevés autres constatation suite .que cette affirmation vraie cadres semble laisser perplexes valeurs celles exigées tout cadre cadres possèdent aptitudes placent celles-ci premier plan dhelle hiérarchique valeurs ceux subissent plus facilement conséquences stress semble donc pothèse faire plutôt celle-ci source moins bonne résistance stress due différence existe entre valeurs personnelles celles exigées va- lorisées entourage ceci confir- exemples avocats officiers. avocats officiers accord l'idéologie dominante corps professionnel malades alors ceux désaccord clelland fait remarquer lien entre stress subi l'importance accordée besoin psychologique affecté nul doute cadre désireux bien remplir exigences demandées dont ten- dances profondes personnelles cor- respondent celles-ci subira plus durement conséquences stress l'importance qualité liens so- ciaux l'individu comme l'indique an- tonowsky paraît effectivement être facteur important résistance stress avoir possibilité parler quelqu ennuis avoir senti- ment être soutenu proches per- met individu mieux résister stress. h.g psychologue quelques mots sujet examens suité article juillet-août 1981. démonstration brillan- matière matière examens loterie puisque équation personnel- correcteur opinions hu- meurs qualité copies précéden- ... conduisent notations-très dis- persées certes cela vrai toutefois nul confierait vie pilote chirurgien système prépa- ration examens fonctionnait avant accuser système examens continus ponctuels sans double correction ... faut rappeler existe aussi côté candidats conduites échec mauvaise préparation examen fausses excuses défi égard famille autopunition nervosité peur affronter conséquences examen réussi insertion sociale nouveau milieu sentiment intérieur incapacité etc ... alibi examen raté constitue excellente échappatoire problèmes personnels familiaux sociaux regrette enfin ayiez indiqué pourquoi méthode questons choix multiples mauvaise enseigne faux sous préte rechercher vrai peexte exemple caricatural bataille dates choisir marignan 732 800 1515 1610 1789 ms. paris ——— ettez-moi bref commentaire pfopos citation arthur koestler parue page au-dessus photo juillet-août 1981 soif l'absolu stigmate mar- êtres incapables trouver satis- action monde relatif mainte- nant l'ici sans soif absolu civilisa- tion progrès altruisme l'homme réduirait animal incapable do- miner transmettre pulsions deviendrait seulement dictatu- quelconque inévitable déciderait faire dieux anges démons mer- cette soif absolu. j.p. paris après recherches lille avéré n'existait cours soir préparer licence psychologie pourrait-on trouver tels cours cor- respondance jacques righisso mons-en-barœul titre expérimental quelques universités entrepris dispenser enseignement psychologie préparant deug psychologie correspondance notam- ment universités suivantes toutefois certain précisément raïson caractère expérimental essais renouvelés tous ans faudra renseigner auprès universités el- les-mêmes université clermont-ferrand u.e.r lettres sciences humaines boulevard gergovia 63037 cler- mont-ferrand cédex université reims u.e.r let- tres sciences humaines rue pierre taittinger zup croix-rouge 51100 reims université rennes u.e.r psychologie sociologie sciences l'éducation avenue gastp berger 35043 rennes cédex université toulouse u.e sciences comportement édu- cation 109 bis rue vaugelin 31081 toulouse cédex
5,6,eat psycho actualites quel avantage a-t-il avoir femme patron femmes chefs entrepri- n'ont tout fait mêmes caractéristiques collègue masculin c'est révèle enquête américaine faite auprès soixante-huit patrons cent deux patronnes d'entreprises nord-est etats-unis étudiants vécu l'ombre chef d'entreprise pendant deux trois jours noté comportement celui-ci résulte fem- supportaient mieux hommes d'être interrom- pus travail leurs proches collaborateurs être appelées domicile grand nombre femmes chefs dépla- çaient bureau al- ler voir leurs collaborateurs besoin d'aide hommes pensaient plutôt s'ils besoin savent trouver plupart hommes consi- déraient comme accessibles n'étaient perçus comme tels leurs subor- donnés pourquoi est-il ainsi femmes chefs minorité monde professionnel elles peutêtre davantage soucieuses plaire hommes cherchent toujours plus moins passer durs peut-être autres explications femme patron attitude plutôt maternelle homme patron attitude plutôt paternelle viariage l'essai satisfaction conjugale cohabitation avant mariage rend ménage plus solide plus durable tels résultats étude effectuée deux psychologues l'université californie portant 159 couples mariés 1972 los angeles tiers n'avait vécu ensemble tiers cohabité plus mois tiers venaient juste mettre ménage quatre ans plus tard couples être re- trouvés divorce aussi bien parmi ceux cohabité parmi autres ailleurs sa- tisfaction ceux resté marié deux groupes ceux cohabité avant mariage dispu- taient moins plus problèmes l'al- cool drogues l'infidélité conjugale résultats après auteurs dus davantage différences caractérielles permis cohabiter avant mariage coha- bitation elle-même résultats confirment étude précédente effec- tuée l'université floride selon laquelle ceux cohabité ensembles avant mariage n'étaient plus satisfaits autres electricité cérébrale laboratoire psychologie sujets livrent télé-jeux l'écran balle doit franchir porte inférieure supérieure selon signal sonore aigu grave banal l'est moins c'est mouvements balle guidés l'énergie électrique cerveau relayée ordinateur deux séances d'une heure demie plupart sujets réussi produire volonté l'électricité négative audition signal aigu l'électricité positive signal grave meilleurs résultats obtenus individus déclarent mettre œuvre concentration auto-suggestion moins satisfaisants obtenus ceux tentent d'agir cortex mouvements oculai- res exercices respi- ration expérience pleine promesses auto-régula- tion l'électricité cérébra- pourrait devenir mé- thode traitement divers troubles liés précisément dérèglement l'activité élec- trique certaines zones cerveau l'équipe professeur bir- baumer d'autant plus opti- miste plusieurs sujets rapidement réussi passer l'intermédiaire l'écran télé-jeux contrôler électricité cérébrale mongoliens père attribuait généralement mongolisme défauts dus l'ovaire vieilli mère fait enfants mongoliens fréquemment conçus femmes plus ans preuves s'accumulent cependant père part responsabilité surtout après ans selon études sffectuées depuis 1977 danemark japon etats-unis per reprenant statistiques atistiques recueillies 1965 baltimo chercheurs concluent groupe chaque l'âge important mere l'examen gènes mi- croscope apporté se- conde série preuves puis- tous cas mogolis- peuvent être rapportés anomalie appelée triso- nie laquelle 21° paire chromosomes chaque gène devenue trio donnant ainsi chro- mosomes lieu possible dire lequel deux parents contribué chromosome anormal pré- levant cellules père mère enfant comparaisons type chercheurs rele- 115cas mongolisme lesquels parent res- ponsable pouvait être déter- miné certitude cas c'était père comme environ mon- golien 500 nouveaux-nés apparaît urgent réviser tables risques utilisées conseillers génétiques ligue anti-chien g.b jusqu période récente l'idée ligue anti-chien g.b parue aussi saugrenue qu'un mouvement anti-monarchique admis tout monde aimait chiens problème savoir chien aimait hommes humoriste célèbre déclara jour magazine féminin chien manifeste d'affection envers fils pouvez être sûr jarçon bien cette relation privilégiée chien commence décliner chien humains g.b anglais dépensent davantage nourrir leurs animaux domestiques l'ensemble pays évolués n'accordent d'aide alimentaire pays tiers monde aussi associations viennent-elles créer licc ligue contrôle chiens fido amis propriétaires chiens intelligents opposent
6,7,chiens statut l'hindou accorde va- ches sacrées nest tâche facile effet ainsi proclame publi- cité nourriture chiens télévision aucune fa- mille n'est complète sans chien chien non seule- ment complète famille complète propriétai- psychologues procla- ment chiens peuvent améliorer relations conju- gales propriétaires chiens parlaient femme manière aussi affectueuse cela pourrait être cas ainsi remarqué aldous huxley chien tout homme napoléon ajouter femme associations anti-chiens efforcées trouver arguments probants rassemblé statisti- ques chiens anglais dépo- sent millions litres d'uri- 600 tonnes d'excré- ments jour 4000 chiens naissent 2000 chiens meurent tous jours million chiens 1/6° population totale chiens errants perdus 7000 moutons agneaux égorgés tous ans chiens enfin découverte risque emporter mor- ceau excréments d'un chien huït infec- tés toxocara canis larva cette larve peut pénétrer système circulatoire l'homme attaque foie poumons yeux cer- veau enfants souvent at- tirés excréments se- raient particulièrement vulné- rables l'argument semble porter parents peur leurs enfants lieu d'être l'ami l'enfant d'aider développement émotionnel voilà chien devient source dänger faut dire enfants anglais toujours traités comme citoyens se- conde zone passaient après animaux bien connu associations sauve- garde animaux jouissent patronage royal n'est cas assocla- tions sauvegarde l'en- fance faire dire messe guérir l'anorexie faire services funéraires membres fa- mille morts depuis longtemps peut être utiles guérir anorexie cette maladie mystérieuse la- quelle peut perdre l'appé- dit jusqu laisser mourir faim deux médecins an- glais psychiatre généraliste tiré cette conclusion l'étude anorexiques hospitalisés dont deux hommes passé plutôt chargé plus vingt- cinq morts non naturelles violence suicide être dénombrées famille patients cela s'ajoute cinq avorte- ments huit fausses cou- ches bien sûr patients souffert événe- ments n'ont exprimer ouvertement leurs souffrances public thérapeutes alors suggéré d'accomplir rites funéraires habituels familles deux malades re- fusèrent coopérer tandis qu'une troisième famille dissuadée prêtre autres accomplirent ri- funéraires prescrits homme ans traitement l'hôpital anorexie depuis ans re- connut qu'il fait avorter femme thérapeute suggéra faire dire messe mémoire en- fant appétit revint tou- guérisons aussi spectaculaires aide thérapies ad- ditionnelles autres pa- tients purent manger norma- lement mois après accom- plissement rituel deuil patients recouvrèrent l'appétit cours mois suivants. chercheurs savent peut retrouver deuil non vécu tous cas d'anorexie disent seu- lement culpabilité ca- chée l'absence deuil adéquat membre famille disparu peut être facteur déclenchant mala- die faux témoins s'accrochent témoignage expérience troublante montre qu'il possible persister bonne foi faux témoignage deux psychologues réalisé l'ex- périence suivante comparse pénètre salle classe interrompt cours permission professeur fait face classe demande quelqu'un trouvé saco- che qu'elle dit avoir perdue bien entendu personne trouvée quitte salle bout trente secondes demi-heure plus tard professeur demande moitié classe sortir dix-huit élèves restant montre photographies douze femmes plus moins ressemblantes comparse demande reconnatitre photo femme perdu sacoche tous élèves fait choix moins cinq minutes bien portrait comparse parmi photographies présentées uelques jours plus tard chercheurs rendu visite chacun trente-six élèves séparément mon- tré photographies six femmes parmi lesquelles cette fois figurait celle comparse bonne photo- graphie désignée membres groupe exprimé choix antérieur contre ceux n'avaient fait choix préalable résultats consé- quences importantes car police utilise moyens semblables identifier délinquants suspects témoins fait pre- mier choix erroné tendan- confirmer ultérieure- ment s'ils possi- bilité rectifier sans qu'ils aucun intérêt faire simplement parce qu'ils rappellent davantage choix antérieur scène réelle laquelle portent témoignage caféine résultats scolaires balzac buvait grandes quantités café travailler heures d'affilée écrire célèbres romans café peut-être stimulant intellectuel comme croit généralement psychologues l'université l'oklahoma fait enquête auprès étudiants nouvellement inscrits psychologie absorption journalière caféine formé quatre groupes abstinents faibles consommateurs moins d'une tasse jour sous forme café thé colas chocolat consommateurs modérés ceux absorbent l'équivalent quatre tasses jour forts consommateurs caféine au-dessus cinq tasses jour chaque groupe personnes 20hommes femmes passé tests destinés mesurer suite page
7,8,lacan ————— jean ambrosi per gear acan s'estompe déjà l'on retient seulement pe- tite histoire laquelle participa laquelle poussé lmportent peu querelles hom- d'écoles ambitions personnelles psy- chanalystes bien calés sillage d'un coureur fond finalement solitaire psychanalyse elle-même prétexte explorer l'inconscient biais langage ligne directrice lacan cette seule exploration considérer degré supérieur façon explo- rer prime psychanalyse prétexte forçer limites d'un inconnu l'inconnu personnel lacan l'origine psychanalyse talmud cette tradition hébraïque s'allie mode .pensée auquel freud abraham fromm n'étaient étrangers mérite lacan d'avoir retrouvé tradition talmudi- l'avoir actualisée partir bible pratique exercice spirituel appelé drach consiste mettre évidence inven- ter deviner contenu sous-jacent propre apporter éclairage neuf texte sacré voire compléter lacan fit partir l'œuvre écrite freud tenta mettre évidence d'inventer deviner contenu sous-jacent propre apporter éclairage neuf écrits père psychanalyse voire compléter cet exercice ajouta jeux retrouvent bien aspects pratique spirituelle hé- braïque ainsi jeu anagramme talmudisie blable celui ement choisi grands principes façon talmudique perte empirique apacié supérieure disciples pensée freu- apporter éclaireg® peu nièrent cette capacité lacan personnelle autre autres tinrent lieu d'interlocuteursle maîtr be- soin s2e dise encontrés trois reprises chez ste clair lille homme déjà äge tue surpris d'entendre langage propos détendu ice ible j'ai souri surprise clair compréhensib ent is-i reçu picasso croiser serais-je attendu être introduit pare cheval guernica faître ersonnage vert rouge auprès maître perso vivais visage déformé tel qu'il peindre cette époque amérique nord amp devenirs psychanälyse américaine difficulté rencontraient anglophones traduire livres lacan instruit détails précis parla poids écoles evoquait-il sienne saurais donc alimenter légende lacan pré- senter personnage n'ai fouiller poubelles n'ai non plus profité circons- tance obtenir dédicace quête lacan au-delà-des limites inconscient quête vers connaissance lui-même évoqua souvent vérité imaginerait-on vie passée étudier bible textes freud seule finalité d'étudier la'bible textes freud l'étude prolongée tout parcours étayée motivations impératives mots forme dont lacan sert commenter prolonger freud parlent lacan cet éciai- rage vers lequel tendait concernait lui-même ... jen sem mode pense ste talmud sais lacan soi
8,9,j2dc rent excès poussèrent croire universel en- couragé cette voie orgueilleuse disciples avides partager gloire pouvait s'ensuivre ceci petite histoire tout comme négligeables œuvres ceux pressés d'emprunter forme vocabulaire lacanien crurent fond allait jaillir lui-même combien fois ai-je entendu plaindre difficulté comprendre lacan l'on s'amuse l'on joue l'analyse quelques lignes l'on verra combien logi- élémentaire tournée comment structures phrases dansent comment musique échappe l'on reste figé partition concensus base indispensable transmission d'un message lacan réfute compréhension n'est donc concernée l'esprit heurte permanence série d'énigmes c'est encore attitude propre talmud donner interprétations sous forme d'énigmes énigmes lacaniennes résident forme écrite parlée autant choix mots essence énigme donne penser donne rêver incité chaque lecteur trouver ici maintenant voie réflexion person- nelle pénétrer propre rêve alors chaîne poursuit prétexte freudien texte lacanien tour prétexte texte propre l'œuvre lacan écrite parlée influencé nom- breux penseurs langue française chacun dira peut- être qu'il doit pensée maître succession ouverte celle homme public reste point d'héritage hors voie chacun pourra ouvrir soi-même poursuite l'œuvre assurée forme extérieure emprunteront continuateurs sait différencier celle lacan chacun dégage propres énigmes partir freud lacan lui-même prétexte qu'il désignera cet effet lisant pallemand relu freud texte original particulière- ment interprétation rêves mot d'esprit rapports inconscient psychopa- thologie vie quotidienne ou- vrages qu'il cités reconnus comme point départ théorie ensuite mis accent langa- linguistique sujet dit-il très dépendant discours entendu pendant enfance utilisant découvertes lin- uistique jusqu bout 1964 fonde aussi seul l'ai toujours rela- tion course psychanalytique pecole freudienne paris 1980 dissolvant école besoin beau- coup monde monde dont besoin écris tout monde s'il arrive jour aille dites-vous afin être autre ormule inconscient structuré enfin comme langage analyse dis inconscient chez l'être cours patient termes métaparlant association mots pro dium parole patient duite substitution hutte-petite inconscient structuré comme maison métonymie associaun langage suite page mots lacan monde mots crée monde choses psychanalystes horreur acte 1969 vincennes quoi aspirez comme révolution- naïre maître guérison demande part voix souffrant souffre corps pensée étonnant aît réponse tout temps médecine fait mouche mots deux mots la- can lacan aime lacan mort tout fou lacan tout fout camp libération septembre 1981
9,10,sévère livres lecture devenus simplistes inintéressants répondent curiosité naturelle l'enfant présentent vie image mon-crédible présentant apprentissage comme amusement fait tort aussi bien ceux réussissent ceux difficultés bruno bettelheim inquiet école doit seulement apprendre techniques doit aussi apprendre vivre ntre 1971 1978 bruno bet- telheim équipe pas- temps considérable as- sis sagement salles clas- d'écoles primaires étudié vif enseignement donné jeunes enfants intrigué étu- montrant élèves se- condaire illettrés bettel- heim décidé découvrir pour- quoi enfants semblaient travail- ler plus plus mal école consterné décou- vert tiré observations véritable réquisitoire contre sys- tème actuel d'éducation première fois critique système scolaire critiques venant bet- telheim importance cru10 ciale bettelheim passé vingt-six ans tête école orthogénique chicago enfants extrêmement perturbés psychanalyste professeur pédagogie contribué réussite scolaire beaucoup d'enfants connu échec total école forma- tion psychanalyste amené jeter l'expérience scolaire regard très différent celui autres critiques plupart temps concentrent techniques apprentissage critique bettelheim plus loin quand commencé l'interview maison californie bettelheim vient avoir ans venait juste terminer livre encore titre propos recueillis elizabeth all doit être publié année prochaine tout répondant interview bettelheim don- nait exemples concrets disait sortant pile livres posée près chaise manuels lecture américains rus- autrichiens français questions soulevées bet- telheïm semblent surgir hasard lecture l'autisme cinéma contes fées survivants camps concentration éduca- tion sexuelle quand exa- mine près discours tout place structure logique cohérente tout fait quarante dernières années influencé expérience vécue dachau buchenwald autriche arrêté na- cape etats-unis ibter res onsabilité fès iculière avoir survé particulier vécu camps voncentration essayé trou- d'utiliser qu'il ace service eppuis erik erikson ap- générativité ponsabiéte tivité res- prend personne
