,page,text
0,1,"decembre 1982/n° 158/15 sclences 177 ges litiques faculté sclences cou politiques tee jeu dsi mensonge c'est voix trahit sauver drogués quatre ch25 2-1583 mensuel 2978 153 belgique 122 suisse 7,50 canada 3,25 issn 003 eyimnastiques lentes tin enfants dele ordinateur"
1,2,alee late ointm ervsse oueen vis tor lay king ednres érre sente hue een
2,3,photos richard frieman dr. olievenstein res lru case laure nas ens roger viollet sas eva enfants cette fin siècle sauront-ils bientôt plus monde leurs parents génération années branchée ordinateurs vidéo jeux électroniques martine castello partie découverte cet univers déroutant plus ans montre manière dont linformatique train bouleverser toutes méthodes enseignement responsable informations scientifiques psychologie recueilli interview exclusive seymour papert inventeur système logo langage informatique révolutionnaire permet petits aussi grands dialoguer direct l'ordinateur employant mots tous jours numéro noël martine castello aussi testé compagnie fille diane ans derniers-nés jeux électroniques éducatifs permettent instruire amusant enfants aujourd hui toujours yeux rivés leurs claviers leurs écrans vidéo regardent aussi vers étoiles c'est pourquoi vont sans nul doute faire triomphe nouveau film steven spielberg e.t ariane villiers présente cette histoire amitié entre petit californien attendrissant extra-terrestre e.t. e.t. succès année etatsunis sort partout france décembre anna freud pere film spielberg enfants hésitent mentir protéger nouvel ami venu étoiles contre curiosité excessive adultes selon psychologue bella paulo justement jeu l'imagination enfants apprennent mentir car spontanément tendance dire vérité revanche arrivent très mal distinguer personne non train mentir chez adultes tout cas comme explique daniel goleman voix trahit plus mensonge expressions visage tout psychologie retrace mois-ci vie peu connue fille freud morte quelques semaines philippe chemla montre manière dont anna freud jeté bases psychanalyse enfants dès années 20. quant catherine dreyfus initiée gymnastiques lentes apprend décomposer chaque mouvement ainsi mieux prendre conscience corps moshé feldenkrais inventeur méthode particulièrement originale gym douce avère particulier personnage haut couleur dont psychologie présente portrait comme autres partisans gymnastiques lentes faut apprendre faire attention chacun gestes seuls détails seraientils véritablement importants psychologie
3,4,——— com tout savoir biofeedback biofcedje très intéressé neeigneback souhaite avoir ments appareils cons pou cette psychothérapie sous musc uvité électrique usculaire lecti peau pourriez-vous indiquer coordonnées fabricants vendeurs genre mat quels numéros psycho ogie lesquels paru.les articles traiu biofeedback tant michel marvallin 84170 monteux trouverez informations adresses cherchez différents articles psychologie consacré biofeedback biofeedback peut agir corps propre cerveau annick baudoin janvier 1975 nouvelle technique relaxation bio- feedback anne blanchard- rémond mars 1977 ren- contre biofeedeack lu- cien gérardin 102 juillet 1978 pratique biofeedback lu- cien gérardin n°122 mars 1980 pouvez également reporter livre biofeedback retz souci d'exhaustivité tiens exprimer vives félicitations revue plus exhaustives explicites domaine psychologie etu- diante psychologie peux grâce mensuel découvrir lexpansion nouvelles psychothérapies dis- cerner objectifs plus précisément travers cours faiza dehili skidda algérie dérnière découverte j'achète psychologie numéro j'ai fait cette année découverte revue papprécie yvonne pelissier verbier suisse pourquoi franchir abonner mensuel suffit cela remplir bon page renvoyer sans tarder dévalorisation responsabilité parents jai fort intéressé article richard driscoll etre bien peau psychologie n°152 octobre ais auteur semble+i cause fréquenté autodévalorisation parents font souvent sorte leurs enfants sentent coupables exprimer colère pousse contre-coup enfants réprimer sentiment culpabilité devenues adultes personnes tendance rejeter responsabilité eux-mêmes quand trouvent face situation génératrice colère consciente inconsciente donc culpabilité inconsciente savent alors pourquoi dévalorisent anne morin 75012 paris causes physiologiques autocrifique l'article richard driscoll etre bien peau psychologie 152 octobre 1982 néglige fait peut avoir causes neuro- physiologiques profondes compor- tement dévalorisation type dépression peut être soigné simple aide psychologique personnes plus atteintes peuvent aller jusqu suicider mieux vaut donc plupart cas orien- ter sans trop tarder vers traitement psychiatrique psychothérapie non accompagnée traitement médical pourrait être dangereuse certain nombre cas dévalori- sation toujours trouble bénin comme laisse croire ar- ticle leon pines professeur psychologie université maine u.s.a. rôle penvironnement papprentissage est-il top tard réagir ar- cle méthode augmensee l'intelligence psychologie 148 juin 1982 tout ac- cord l'affirmation gontrairement laget dit résulte ina ration iologiques innées psych suisse explique contraire
4,5,enfants l'ordinateur martine castello génération années dialogue machine employant mots vie courante mini-interview exclusive seymour papert îar quatre gymnastiques lentes catherine dreyfus meilleur équilibre personnel grâce mouvements corps ralenti 20. mensonge voix trahit daniel goleman comment savoir interlocuteur ment 25. actualités cinéma calendrier woody allen livres bandes dessinées petites annonces cadres face surmenage jean-jacques berreby comment prévenir soigner syndrome épuisement tist russe het voue j'en psychologie numero 153 decembre 1982 .couples k.c cole anna freud premiere psychanalyste d'enfants philippe chemla fille freud récemment disparue première analyste préoccuper enfants ase sauver drogues rodolphe ingold drogué déviant être souffre faute trouver équilibre personnel bonheur jeu jeu permet désamorcer tensions d'exprimer ose dire ouvertement partenaire danse donc test franca barda révèle personnalité sacre naissance frédérick leboyer l'accouchement acte initiatique
5,6,gourrier rche telle telle informareche rter livre très constituent mécanismes développement cognitif peuvent dérouler vide dehors toute expérience monde extérieur michael klausner professeur sociologie université pittsburgh feuerstein l'intelligence résultats non significatifs l'article paul chance méthode reuven feuerstein développer l'intelligence enfants retardés semble optimisme excessif psychologie n°148 juin 1982 différences constatées psychologue israélien entre groupes-tests échantillonstémoins trop faibles être sigaificatives plupart augmentations quotient intellectuel observées inférieures marges erreur communément admises type tests augmentation q.i 103 mise évidence études feuerstein semble exemple preuve irréfutable valeur méthode convient donc rester prudent l'interprétation résul- tats chercheur garder tirer conclusions précipitées gerard marie statisticien 30700 uzès allergie hypersomnie j'ai étonné petit ar- ticle hypersomnie psychologie octobre 1982 souffle mot cause très fréquente hy- persomnie allergies très nom- breuses personnes diront effet tel aliment telle fumée telle poussière donne irrésistible envie dormir donc important demander personne souffrant hypersomnie fournir compte- rendu détaillé alimentation environnement cela peut per- mettre d'établir liste subs- tances doit éviter souhaite rester éveillé mener vie nor- male bovin homéopathe 61300 orthez riez hypersomniaques nom milliers hypersomnia- ques narcoleptiques français tiens remercier ar- ticle trouble fait encore sou- rire trop gens psychologie 151 octobre 1982 autres cet état bien difficile assumer passe bonne partie nées expliquer causes mille hypersomnie amie collègues travail. crois guère réinçarnatons devais jour revenir bas monde prie non plus richesse beauté mas plus d'énergie capacit rester éveillée julie rivaud 92240 malakoff aider enfants tibétains suite l'article luc trégnier visite dalaï lama france psychologie 152 novembre 1982 l'association aide l'enfance tibétaine lance cet appel lecteurs revue rien plus difficile supporter détresse enfant agit pays aussi lointain tibet car responsable aléas histoire monde fait rai- laquelle occasion récente visite france dalaï la- chef spirituel temporel peuple tibétain permettons faire connaître action lecteurs psychologie veu- lent venir aide petits réfugiés tibétains sous forme parrainages individuels enfants participa- tion construction d'équipements collectifs peuvent prendre contact toute aide sous quelque forme bienvenue avance remercions aïde l'enfance tibetaine rue bac 75007 paris tél 548-50-49 enquête psychanalyse gratuite rédaction psychologie pré- pare actuellement enquête psychanalyse gratuite intéressés témoignages analy- sants recours type thérapie être utilisées article lettres doivent patvenit avant décembre 1982 rue lord byron 75008 paris prière préciser envoi sou- haitez garder l'anonymat voulons renseignements rédaction touj jours possibilité répondre détail très nombreuses demandes tion rep pratique nourécieux gui edmond marc érapies edmond retz 1982 nouvelle édition remise jour 288 sondage cadres hubert jaoui animateur gimca groupe innovation management créativité appliquée prie donner précision suivante sondage cadres cité psychologie 152 novembre 1982 réalisé l'expansion gimca commande directeur développement commercial crédit nord andré robinet effet barnum illusion réciproque très heureux revue psychologie 151 octobre 1982 décidé publier article comme l'effet barnum effet genre articles remet question bases mêmes pratique psychologique genre articles conduit inter- rogations méthodologiques épisté- mologiques permettront peut-être jour psychologie en- semble devenir science néanmoins quelques phrases ajoutées article américain origi- nal occasion lire relire l'effet barnum… pourrait expliquer succès certains grapho- logues astrologues peu sérieux supercherie manifeste sens effet barnum montre contraire plus diagnosticien prend sérieux plus utilise méthodes approfondies client impressionné plus confirme diagnosticien sentine agit supercherie illusion ciproque avancerai îles prati- ciens renommés tirent bonne par- lie succès cet effet placebo ouveau genre effet pourrait considérer l'effet barnum comme effet placebo nitif lidante rétroaction vaphilippe thiriart professeur psychologie collège edouard-montpetit longueuil québec articles pages slorisation psycholen ation marque posée mpany new york
6,7,"beta chez tac tai tee édition prestige volumes luxueusement reliés skiverlex luxe rouge marbré aventures constituant l'édition intégrale d'alix format géant couverture rehaussée sceau d'alix relief 200 pages moyenne volume découvrez comme monde fabuleux l'antiquité rencontrez alix l'un personnages plus fascinants bande dessinée jeune héros blond cœur pur etau courage indomptable fera revivre l'histoire antique façon palpitante avecses amis entraînera césar guerre gaules avecles pharaons construction pyramides d'egypte grecs l'antiquité l'acropole d'athènes grouillante vie d'aventures passionnantes véritable pièce collection sceau d'alix voici plus beau cadeau dont puissiez rêver accompagner collection aussi exceplionnelle sceau d'alix 115 diamètre celle pièce collection palinée vieux bronze ornera voire bureau bibliothèque donnant louche supplémentaire grande classe volume gratuitemen bee eee pendant jours faites découvrir alix enfants enrépondantaujourd'hui recevrez chez examen gratuit jours volume l'intégrale aventures d'alix chacun cinq somptueux volumes —15 aventures tout— aïdera découvrir alix faire découvrir parles enfants entourent occasion unique présenter fois héros qu'ils aimeront vision colorée vivante vraie monde antique oui grâce talent jacques martin chaque détail restitué précision chaque aventure d'alix merveilleux prolongement qu'ils appris l'école lycée répondez dès aujourd hui sans argent répondant aujourd'hui sans joindre d'argent engagez rien bout jours d'examen renvoyez livre devrez rien n'aurez aucune explication donner gardez règlerez conditions spéciales lancement réservons recevrez ensuite quatre autres volumes mêmes conditions sans jamais être obligé d'acquérir collection complète aussi répondez aujourd'hui recevoir volume alix examen gratuit renvoyez bon dès aujourd'hui res allo eee eee bon d'examen gratuit aujourd'hui sans argent rombaldi 3100 76041 rouen cedex oui envoyez-mol lecture gratuite jours volume aventures complètes d'allx l'issue dece délal jenesulspassatisfait renverral livre sans rlen devoir conserve règleral conditionsspéciales delancementsolt2 mensualités chacune 94,50 +5,90 recevral ensulte chacun quatre autres volu- dela collectionauxmèmes conditions exceptionnelles etnesuis donc jamals obligé d'acheter collection complète \nom aretourner ———————— prénom rue ——— code postalll ville"
7,8,raaris eee users pte chunes coop
8,9,enfants l'ordinateur enfants années ordinateur désormais instrument familier techniques pointe informatique éducative font voir monde façon différente leurs parents particulier système logo mis point seymour papert interviewé exclusivité psychologie permet enfant dialoguer sans peine ordinateur employant mots vie courante uel méchant l'ordinateur fait exprès sait bien connais table quatre. diane fondu larmes début amitié venait construire entre enfant machine brisée cette multiplication ratée lendemain diane retapoter petit clavier tout passera bien l'ordinateur devenu ami propre reflet performances échecs encore nombreux enfants bénéficient services pédagogiques ordinateur maison tout changer car cette année première fois france plusieurs sociétés décidé lancer marché ordinateurs domestiques prix très abordables entre 000 4000 vendus tous grands centres commerciaux ordinateur entre vraiment foyers hotte père noël martine castello dernier pleine magnétoscopes certainement rem- plie cette année ordinateurs do- mestiques ainsi plus plus d'enfants vont pouvoir s'initier l'informatique constructeurs ailleurs très bien senti marché potentiel jeunesse proposent tous nombreux programmes éducatifs devenu banalité dire rappelons-le tout photo john mcgrail/cosmos enfants familiarisent plus facilement l'ordinateur adultes l'ordinateur ressenti comme quel- chose merveilleux extraordinaire jamais impression pénétrer monde nouveau ordinateur siècle priori en- fant instrument familier fait partie univers mental ainsi l'informatique appelée devenir élément important vie quo- tidienne enfants plus en- core devient chaînons construction personna- lité autant plus système scolaire met aujourd hui l'heure informatique cela s'appell
9,10,res reste rona lis net pen the mem sphoto richard frieman seymour papert comment j'ai mis point systeme logo genèse création sys- fecte connaissances qu'il nages serviront rien tème logo remonte l'enfance afri- construit propre intelligence autre engrenages caine seymour papert expii- comment l'enfant est-il ca- peuvent faïre l'ordinateur ainsi naissance pable tant d'apprentissage peut peut prendre milliers concept père entomo- d'invention tout seul comment oms remplir milliers fonc- logiste pendant qu'il fraquait in- choses très simples qu'on in- tions conséquent répondre sectes jungle jouais culque l'école peuvent-elles pré- milliers désirs différents enfants noïrs puis j'ai scola- senter autant difficultés coup seymour papert risé afrique sud très tôt j'ai papert sort cette contradic- cole devient institution périmée amené poser problème tion réfléchissant rôle d'ores déjà rôle l'ensei rapports entre forme so- culture l'enfant archi nant comme agent transmis- clétés structures pensée fecte propres connais- sion nnaïissancés ter- voyant enfants noirs sances comme tout constructeur miné d'ici vingt ans l'école cra- développement intellec- besoin matériaux c'est quer craque déjà enfants fuel inférieur enfants blancs rôle culture maté- refusent pense qu'il véri rencontre psy- riaux culture l'environnement apprentissa chologue jean piaget fait mûrir riches l'enfant reconstruit faut pensée seymour papert structures facilement uand monde première fois j'ai entrevu matériaux man mas lé00/ possibilité d'une compréhension globale pia j'ai moi-même lieux enêve centre compris équations deux incon- libre q'issage rormel ordi placeraient l'école se/gnant-ense fférent engre- propos recuellils m.c
