,page,text
0,1,": — 0 
— DECEMBRE 1982/N° 158/15 F l 
des Sclences: RE 177 ges Po litiques 
Faculté des Sclences 
Cou t Politiques 
lé tee 
par le jeu DSi ho 
Mensonge: 
c'est la voix 
qui trahit 
Sauver 
les drogués 
Quatre CH25 
: 
2-1583 MENSUEL 
M 
2978 
- 153 
- 15 
F] 
BELGIQUE 
: 
122 
FB 
SUISSE 
: 
7,50 
FS 
CANADA 
: $ 
3,25 
ISSN 
003 
eyimnastiques “ 
lentes - } 
n 
(QU Ë 
= tin Les & enfants delE 
= ordinateur \° "
1,2,"A 
ù ALEE 
EU 
. [2 
FL, ue Ve tr 
Er A PP t # É 
TE LATE OINTM ERVSSE 2 
E OUEEN VIS TOR DES N° Lay 
E 
KING EDNRES 
ed 
ÉRRE SENTE HUE Een l 
l "
2,3,"PHOTOS 
RICHARD 
FRIEMAN DR. OLIEVENSTEIN 
Res 
\ — mm ms ee 
LE DE 
LRU, CASE LAURE 
NAS 0 
té ENS ROGER 
VIOLLET 
D AA ""4 L 
SAS / EVA 
es enfants de cette fin de siècle 
en sauront-ils bientôt plus sur 
notre monde que leurs pa- 
rents ? La génération des an- 
nées 80 est branchée sur les ordina- 
teurs, la vidéo et les jeux électroni- 
ques. Martine Castello est partie à la 
découverte de cet univers déroutant 
pour les plus de 18 ans. Elle nous 
montre la manière dont linformati- 
que est en train de bouleverser toutes 
les méthodes d’enseignement. La res- 
ponsable des informations scientifi- 
ques de Psychologie a recueilli une 
interview exclusive de Seymour Pa- 
pert, l’inventeur du système Logo. Ce 
langage informatique révolutionnaire 
permet aux petits (et aussi aux 
grands) de dialoguer «en direct » 
avec l'ordinateur en employant les 
mots de tous les jours. Pour ce numé- 
ro de Noël, Martine Castello a aussi 
testé en compagnie de sa fille Diane, 9 
ans, les derniers-nés des jeux électro- 
niques . éducatifs qui: permettent de 
s’instruire en s’amusant. 
Mais les enfants d’aujourd’hui n’ont 
pas toujours les yeux rivés sur leurs 
claviers et leurs écrans vidéo. Ils re- 
gardent aussi vers les étoiles. C'est 
pourquoi ils vont sans nul doute faire 
un triomphe au nouveau film de Ste- 
ven Spielberg, E.T. Ariane Villiers 
nous présente cette histoire d’amitié 
entre un petit Californien et un atten- 
drissant extra-terrestre (E.T.). E.T., 
qui est le succès de l’année aux Etats- 
Unis, sort partout en France le 1“ dé- 
cembre. ANNA FREUD ET SON PERE 
Dans ce film de Spielberg, les en- 
fants n’hésitent pas à mentir pOur prO- 
téger leur nouvel ami venu des étoiles 
contre la curiosité excessive des 
adultes. Or, selon la psychologue Bel- 
la De Paulo, c’est justement dans le 
jeu et l'imagination que les enfants 
apprennent à mentir. Car ils auraient 
spontanément tendance à dire la vé- 
rité. En revanche, ils arrivent très mal 
à distinguer si une personne est ou 
non en train de mentir. Chez les 
adultes en tout cas, comme nous l’ex- 
plique Daniel Goleman, la voix trahit 
plus le mensonge que les expressions 
du visage. 
Mais ce n’est pas tout. Psychologie 
retrace ce mois-ci la vie peu connue 
de la fille de Freud, morte il y a quel- 
ques semaines. Philippe Chemla nous 
montre la manière dont Anna Freud a 
jeté les bases de la psychanalyse des 
enfants dès les années 20. 
Quant à Catherine Dreyfus, elle 
s’est initiée aux gymnastiques lentes 
où l’on apprend à décomposer chaque 
mouvement et ainsi à mieux prendre 
conscience dé son corps. Moshé Fel- 
denkrais, inventeur d’une méthode 
particulièrement originale de « gym 
douce », s’avère en particulier un per- 
sonnage haut en couleur dont Psycho- 
logie vous présente le portrait. Pour 
lui comme pour les autres partisans 
des gymnastiques lentes, il faut ap- 
prendre à faire attention à chacun de 
nos gestes. Seuls les détails seraient- 
ils véritablement importants ? 
Psychologie x\"
3,4,"——— COM 
Tout savoir 
sur le biofeedback Le biofced- 
Je suis très intéressé par 1€ neeigne- 
back. Je souhaite avoir des re ru 
ments sur les appareils cons pou 
cette psychothérapie, qui pe ne 
SOUS mUSC pe MS uvité électrique usculaire, lecti 
de la peau. Pourriez-vous m indiquer 
les coordonnées de fabricants e de 
vendeurs de ce genre de mat ne . 
Quels sont les numéros de Psycho. ogie 
dans lesquels ont paru.les articles trai- 
u biofeedback ? tant d MICHEL MARVALLIN 
84170 Monteux 
Vous trouverez les informations et 
les adresses que vous cherchez dans les 
différents articles que Psychologie a 
consacré au biofeedback : « Le biofeed- 
back: on peut agir sur son corps avec 
son propre cerveau », par Annick Bau- 
doin (n° 60, janvier 1975); « Une nou- 
velle technique de relaxation: le bio- feedback», par Anne Blanchard- Rémond (n° 86, mars 1977); « Ma ren- contre avec le biofeedeack », par Lu- cien Gérardin (n° 102, juillet 1978) ; « Je pratique le biofeedback », par Lu- cien Gérardin (n°122, mars 1980). Vous pouvez également vous reporter au livre Le biofeedback (Ed. Retz). 
Un souci d'exhaustivité 
Je tiens à vous exprimer mes vives félicitations pour votre revue qui est des plus exhaustives et explicites dans le domaine de ja psychologie. Etu- diante en psychologie, je peux grâce à votre mensuel découvrir lexpansion des nouvelles psychothérapies, en dis- cerner les objectifs plus précisément qu’à travers mes cours. FAIZA DEHILI 
Skidda, Algérie 
La dérnière découverte 
J'achète Psychologie au numéro. J'ai fait cette année ja découverte de votre revue. Je Papprécie. 
YVONNE PELISSIER 
Verbier, Suisse 
Pourquoi ne pas franchir le Pas et vous abonner à votre mensuel, Il vous suffit pour cela de remplir le bon Page 61 et de nous le renvoyer sans tarder. \ 
Dévalorisation : la responsabilité des parents Jai été fort intéressé Par l’article d Richard Driscoll, «Etre bien dans ça peau » (Psychologie n°152, octobre ais l’auteur a, me semble+i] 
1 une cause fréquenté d’auto- 
dévalorisation: les parents font sou- 
vent en sorte que leurs enfants se sen- 
tent coupables d’exprimer leur colère, 
ce qui pousse par contre-coup les en- 
fants à réprimer leur sentiment de 
culpabilité. Devenues adultes, ces per- 
sonnes ont tendance à rejeter la res- 
ponsabilité sur eux-mêmes quand ils 
se trouvent face à une situation géné- 
ratrice de colère consciente ou incons- 
ciente, et donc de culpabilité incons- 
ciente. Ils ne savent alors pas pour- 
quoi ils se dévalorisent. ANNE MORIN 
75012 Paris 
Les causes physiologiques 
de l’autocrifique 
L'article de Richard Driscoll « Etre bien dans sa peau» (Psychologie 
n° 152, octobre 1982) néglige le fait qu’il peut y avoir des causes neuro- physiologiques profondes au compor- tement de dévalorisation. Ce type de dépression ne peut pas être soigné par une simple aide psychologique. Les personnes les plus atteintes peuvent aller jusqu’à se suicider. Mieux vaut donc dans la plupart des cas les orien- ter sans trop tarder vers un traitement PSychiatrique. Une psychothérapie non accompagnée d’un traitement médical pourrait être dangereuse dans un certain nombre de cas. La dévalori- sation n’est Pas toujours un trouble bénin comme le laisse croire votre ar- ticle. A. LEON PINES 
Professeur de psychologie Université du Maine, U.S.A. 
Le rôle de Penvironnement dans Papprentissage 
Est-il TOP tard i . POur réagir à l’ar- cle « Une méthode pour augmensee l'intelligence » (Psychologie n° 148 Juin 1982), Je ne Suis pas du tout d’ac- cord avec l'affirmation de }P 
Gontrairement à ce que y laget ne dit pas qu s résulte de la ina ration rl iologiques innées » Le psych C S . ol suisse explique au contraire que le dé "
4,5,"D. LES ENFANTS 
DE L'ORDINATEUR 
par Martine Castello 
La génération des années 80 
dialogue avec la machine en 
employant les mots de la vie 
courante. AVEC une 
mini-interview exclusive de 
Seymour Papert. 
ÎAr, QUATRE 
GYMNASTIQUES 
LENTES 
par Catherine Dreyfus 
Un meilleur équilibre personnel 
grâce aux mouvements du corps 
au ralenti. 
20. MENSONGE : 
C’EST LA VOIX 
QUI TRAHIT 
par Daniel Goleman 
Comment savoir si votre - 
interlocuteur vous ment. 
25. Actualités, Cinéma (31), 
Calendrier, Woody Allen (32), 
Livres (36), Bandes dessinées 
(38), Petites annonces (39). 
dr]. LES CADRES FACE 
AU SURMENAGE 
par Jean-Jacques Berreby 
Comment prévenir et soigner le 
syndrome d’épuisement. 
—$ 
A TIST 
IE in 
at 
RUSSE ea: 2 “ 
vs 
#E 
in ot 
HET EN A voue Si. 
J'en es 
4 
Le sn 
es 
L 3 
TE Là 2. TL 
5 
ee ee 
psychologie NUMERO 153 DECEMBRE 1982 .COUPLES : 
par K.C. Cole A4 O 
ANNA FREUD : 
LA PREMIERE 
PSYCHANALYSTE 
D'ENFANTS 
par Philippe Chemla 
La fille de Freud, récemment 
disparue, a été la première 
analyste à se préoccuper des 
enfants. 
ASE SAUVER LES DROGUES 
par le Dr Rodolphe Ingold 
Le drogué n’est pas un déviant, 
mais un être qui souffre faute 
de trouver son équilibre 
personnel. 
De LE BONHEUR 
PAR LE JEU 
Le jeu permet de désamorcer 
les tensions, d'exprimer ce 
qu’on n’ose pas dire 
ouvertement 
à son partenaire. 
SO JE DANSE, 
DONC JE SUIS 
Un test de Franca Barda 
qui révèle votre 
personnalité. 
(2 LE SACRE 
DE LA NAISSANCE par Frédérick Leboyer 
L'accouchement est 
un acte initiatique. "
5,6,"Gourrier 
rche de telle ou telle informa- 
reche rter à un livre très constituent les mécanismes du déve- 
loppement cognitif, ne peuvent pas se 
dérouler dans le vide, en dehors de 
toute expérience du monde extérieur. 
MICHAEL KLAUSNER 
Professeur de sociologie, 
Université de Pittsburgh, US. A. 
Feuerstein et l'intelligence : 
des résultats 
non significatifs ? 
L'article de Paul Chance sur la 
méthode de Reuven Feuerstein pour 
développer l'intelligence des enfants 
retardés me semble d’un optimisme 
excessif (Psychologie n°148, juin 
1982). Les différences constatées par 
le psychologue israélien entre les 
groupes-tests et les échantillons- 
témoins sont trop faibles pour être si- 
gaificatives. La plupart des augmenta- 
tions de quotient intellectuel obser- 
vées sont inférieures aux marges d’er- 
reur communément admises dans ce type de tests. Une augmentation de Q.I. de 97 à 103, mise en évidence 
dans une des études de Feuerstein, ne me semble pas par exemple une preuve irréfutable de la valeur de sa méthode. Il convient donc de rester prudent sur l'interprétation des résul- tats de ce chercheur et se garder d’en tirer des conclusions précipitées. 
GERARD MARIE 
Statisticien, 30700 Uzès 
Allergie et hypersomnie 
J'ai été étonné que votre petit ar- ticle sur l’hypersomnie (Psychologie n° 51, octobre 1982) ne souffle pas mot d’une cause très fréquente d’hy- persomnie: les allergies. De très nom- breuses personnes vous diront en effet que tel aliment, telle fumée, telle poussière leur donne une irrésistible envie de dormir, I] est donc important de demander à ja personne souffrant d’hypersomnie de fournir un compte- rendu détaillé sur son alimentation et son environnement, Cela peut per- mettre d'établir une liste des subs- tances qu’il doit éviter s’il souhaite rester éveillé et mener une vie nor- male. Dr BOVIN 
Homéopathe, 61300 Orthez 
Ne riez pas 
des hypersomniaques 
Au nom des milliers d’hypersomnia- ques et de narcoleptiques français, je tiens à vous remercier Pour votre ar- ticle sur ce trouble qui fait encore sou- rire trop de gens (Psychologie n° 151, octobre 1982). Pour nous autres, cet état est bien difficile à assumer, Je passe une bonne partie de mes un 
nées à expliquer les causes € mille 
hypersomnie à mes amie ma 
mes collègues de travail. . 
le ne crois guère à la réinçarnatons 
mais si je devais un jour revenir dans 
ce bas monde, je prie non pas pour 
plus de richesse ou de beauté, mas 
pour plus d'énergie et de capacit 
rester éveillée, JULIE RIVAUD 
92240 Malakoff 
Aider les enfants tibétains 
À la suite de l'article de Luc Tré- 
gnier sur la visite du Dalaï Lama en 
France (Psychologie n° 152, novembre 
1982), l'association Aide à l'enfance ti- 
bétaine lance cet appel aux lecteurs de 
notre revue : 
Rien n’est plus difficile à supporter 
que la détresse d’un enfant, d’où qu’il 
soit et même s’il s’agit d’un pays aussi 
lointain que le Tibet; car il n’est pas responsable des aléas de l’histoire et du monde qu’on lui fait. C’est la rai- son pour laquelle, à l’occasion de la récente visite en France du Dalaï La- ma, chef spirituel et temporel du peuple tibétain, nous nous permettons 
de vous faire connaître notre action. Si les lecteurs de Psychologie veu- lent venir en aide aux petits réfugiés tibétains, sous forme de Parrainages individuels d’enfants ou de participa- tion à la construction d'équipements collectifs, ils peuvent prendre contact avec nous. Toute aide, sous quelque forme que ce soit, est la bienvenue et, d’avance, nous vous en remercions. 
AÏDE À L'ENFANCE TIBETAINE 
42, rue du Bac, 75007 Paris 
Tél. : 548-50-49 
Enquête sur 
la psychanalyse gratuite 
La rédaction de Psychologie pré- pare actuellement une enquête sur la psychanalyse gratuite. Nous sommes intéressés par les témoignages d’analy- sants ayant eu recours à ce type de thérapie. Pour être utilisées dans notre article, vos lettres doivent nous PATVENIT avant le 20 décembre 1982 au 1, rue Lord Byron, 75008 Paris. Prière de préciser sur votre envoi si vous sou- haitez garder l'anonymat, 
Nous voulons 
des renseignements 
La rédaction n’a Pas touj à ré É Jours la possibilité de répondre en détail aux très nombreuses demandes de 
—— 2 A 0 tion, de se rep de pratique des nou- 
récieux: Le Gui Edmond Marc érapies, par Edmond 
hs Retz, 1982, nouvelle édition remise à 
jour, 288 p., 96 F). 
Sondage sur les cadres 
Hubert Jaoui, animateur du GIM- 
CA (Groupe innovation, management 
et créativité appliquée), nous prie de 
donner la précision suivante : le son- 
dage sur les cadres cité en p. 53 de 
Psychologie n° 152 (novembre 1982) 
n’a pas été réalisé par l'Expansion, 
mais par le GIMCA, sur commande 
du Directeur du développement 
commercial du Crédit du Nord, M. 
André Robinet. 
L’effet Barnum : 
une illusion réciproque ? 
Je suis très heureux que la revue 
Psychologie (n° 151, octobre 1982) ait décidé de publier un article comme 
« L'effet Barnum ». En effet, ce genre d’articles remet en question les bases mêmes de la pratique psychologique. Ce genre d’articles conduit à des inter- rogations méthodologiques et épisté- mologiques qui permettront peut-être un jour à la psychologie dans son en- semble de devenir une science. Néanmoins, quelques phrases ont été ajoutées à l’article américain origi- nal que j’ai eu l’occasion de lire et de relire : « L'effet Barnum… pourrait expliquer le succès de certains grapho- logues ou astrologues peu sérieux. La Supercherie est manifeste. » A mon sens, l’effet Barnum montre au contraire que, plus un diagnosticien se prend au sérieux et plus il utilise des méthodes « approfondies », le client est impressionné et plus il confirme le diagnosticien dans le senti- 
ne s’agit pas de Supercherie, mais d’illusion ré. Ciproque et j’avancerai que Îles prati- ciEnS renommés tirent une bonne par- lie de leur succès de cet effet placebo OuvEau genre. En effet, on Pourrait considérer l'effet Barnum comme un effet placebo co nitif : lidante, £ à rétroaction va- 
PHILIPPE THIRIART 
Professeur de Psychologie Collège Edouard-Montpetit 
Longueuil, Québec 
Les articles des : I Pages 20 et 5 - du ne ! SLOriSAtION de Psycholen* To » ation et Marque dé ) À ù posée (TM) Mpany, 1 S New York, US a; Far"
6,7,"à 
BETA e JU =. 
(ET IL ° 1 
chez vous TAC 
TAI 
TEE 
SI TR 
nm 
UNE ÉDITION DE PRESTIGE 
5 volumes luxueusement reliés 
en skiverlex de luxe, rouge marbré. 15 aventures 
constituant l'édition intégrale d'Alix, Format géant 
23 x 30 cm. Couverture rehaussée du sceau d'Alix en 
relief. 200 pages en moyenne par volume. 
Découvrez, comme si vous y étiez, le monde fabuleux 
de l'antiquité. 
Rencontrez avec Alix l'un des personnages les plus fascinants 
de la bande dessinée. Ce jeune héros blond au cœur pur etau 
courage indomptable vous fera revivre l'histoire antique de 
façon palpitante! ° 
Avecses amis, il vous entraînera avec César dans la guerre des 
Gaules, avecles pharaons dans la construction des pyramides 
d'Egypte. et avec les grecs de l'antiquité sur l'Acropole 
d'Athènes, grouillante de vie et d'aventures passionnantes! 
une véritable pièce de collection : 
le sceau d'Alix. 
voici le plus beau cadeau 
dont vous puissiez rêver 
pour accompagner 
une collection 
aussi exceplionnelle : 
le sceau d'Alix, 
(115 cm de diamètre) 
Celle pièce de collection, 
palinée vieux bronze, ornera 
voire bureau ou votre bibliothèque 
en lui donnant une louche 
supplémentaire de grande classe. Le 1° volume 
GRATUITEMEN 
(o] 
bee EEE EE pendant 10 jours. EÈ 
SE ka. sn ES ° . . h CA on. 
Faites découvrir Alix à vos enfants! 
Enrépondantaujourd'hui, vous recevrez chez vous pour un examen gratuit de 
10 jours le 1°’ volume de l'intégrale des aventures d'Alix. Chacun de ces cinq 
somptueux volumes —15 aventures en tout— vous aïdera à découvrir Alix et à 
le faire découvrir parles enfants qui vous entourent C’est pour vous une occa- 
sion unique de leur présenter à la fois un héros qu'ils aimeront et une vision 
colorée, vivante et vraie du monde antique. Oui, grâce au talent de Jacques 
Martin, chaque détail est restitué avec précision et chaque aventure d'Alix est 
un merveilleux prolongement de ce qu'ils ont appris à l'école ou au lycée. 
Répondez dès aujourd’hui — sans argent! 
En répondant aujourd'hui, sans joindre d'argent, vous ne vous engagez à rien. 
Si au bout des 10 jours d'examen vous nous renvoyez le livre, vous ne nous 
devrez rien et n'aurez aucune explication à donner. Si vous le gardez, vous 
nous le règlerez aux conditions spéciales de lancement que nous vous réser- 
vons. Vous recevrez ensuite les quatre autres volumes, aux mêmes condi- 
tions, sans jamais être obligé d'acquérir la collection complète. 
Aussi : répondez aujourd'hui même! 
Pour recevoir votre 1“ volume d’Alix en examen gratuit, renvoyez ce bon dès aujourd'hui! 
RES == mm — — = /# ALLO B EEE EEE RE E E] BON D'EXAMEN GRATUIT ès aujourd'hui - sans argent - à Rombaldi, 3100 76041 ROUEN CEDEX 
Oui, envoyez-mol pour une lecture gratuite de 10 jours le 1° volume des aventures complètes d'Allx, SI, à l'Issue dece délal Jenesulspassatisfait, je vous renverral ce livre sans rlen vous devoir, Si je le conserve, Je vous le règleral aux conditionsspéciales delancementsolt2 mensualités, chacune de (94,50 F +5,90 F), Je recevral ensulte, chacun des quatre autres volu- mes dela collectionauxmèmes conditions exceptionnelles etnesuis donc Jamals obligé d'acheter la collection complète, 
 \Nom Î Œ] Aretourner d 
[el 
A ———————— Prénom 
""N° et rue ——— ""ee 
Code postallL L 1 1 ] Ville SA 
EB 
EE"
7,8,"6 YU 
S 
Z Z 
9 £ 
fi 
ai si < 
2%. ms, ai 
MT RAARIS SN a À 
As ES eee CT : 
DA QE. USERS PTE RS TS 
CHUNES: Ni. 
21) GS. Coop 
eo "
8,9,"Les enfants 
«le l'ordinateur 
Pour les enfants des années 80, l’ordinateur est désormais 
un instrument familier. Les techniques de pointe de l’informatique 
éducative leur font voir le monde d’une façon différente de leurs parents. 
En particulier, le système Logo mis au point par Seymour Papert 
(interviewé en exclusivité par Psychologie) 
permet à l’enfant de dialoguer sans peine avec l’ordinateur 
en employant les mots de la vie courante. 
uel méchant, l'ordinateur ! 
Il le fait exprès. Il sait bien 
que je ne la connais pas, la 
table des quatre.» Diane a fondu 
en larmes. Le début de l’amitié qui 
venait de se construire entre l’en- 
fant et la machine s’est brisée sur 
cette multiplication ratée. Mais le 
lendemain, Diane va retapoter sur 
le petit clavier et tout se passera 
bien. L'ordinateur sera devenu son 
ami, le propre reflet de ses perfor- 
mances et de ses échecs. 
Ils ne sont pas encore nombreux, 
les enfants qui bénéficient des ser- 
vices pédagogiques de l’ordinateur 
à la maison. Mais tout va changer. 
Car cette année, pour la première 
fois en France, plusieurs sociétés 
ont décidé de lancer sur le marché 
des ordinateurs domestiques à des 
prix très abordables, entre 3 000 et 
4000 F, vendus dans tous les 
grands centres commerciaux. L’or- 
dinateur entre vraiment dans les 
foyers. La hotte du père Noël l’an par Martine Castello 
dernier était pleine de magnétos- 
copes, elle sera certainement rem- plie cette année d’ordinateurs do- mestiques. Ainsi de plus en plus d'enfants vont pouvoir s'initier à l'informatique. Les constructeurs 
ont d’ailleurs très bien senti ce 
marché potentiel de la jeunesse: ils 
proposent tous de nombreux pro- 
grammes éducatifs. 
C’est devenu une banalité de le 
* dire, mais rappelons-le tout de PHOTO 
JOHN 
McGRAIL/COSMOS même: les enfants se familiarisent 
plus facilement avec l'ordinateur 
que les adultes. L'ordinateur n’est 
pas ressenti par eux comme quel- que chose de merveilleux, d’ex- 
traordinaire. Ils n’ont jamais l’im- 
pression de pénétrer dans un monde nouveau: l’ordinateur est de leur siècle. C’est a priori pour l’en- fant un instrument familier qui fait partie de son univers mental. Ainsi, l'informatique est appelée à devenir un élément important de la vie quo- tidienne de nos enfants. Plus en- core, elle devient un des chaînons de la construction de leur personna- lité, D’autant plus que le système scolaire se met aujourd’hui à l'heure informatique. Cela s'appelle"
9,10,"À — 4 ss se 
PS 
RES 
LE 
Â 
“2. , * se “4; ÉTÉ RESTE @ . PT 4 , ny RONA Lis ® A net AE pi k ; pen 
A the mem RS me + 
LA 
LT à 
r S- 
PHOTO RICHARD FRIEMAN 
SEYMOUR PAPERT : COMMENT J'AI MIS AU POINT LE SYSTEME LOGO 
La genèse de la création du sys- fecte de ses Connaissances, qu'il nages ne Serviront à rien pour un tème Logo remonte à l'enfance afri- construit sa propre intelligence, autre. Mais ce que les engrenages caine de Seymour Papert. I] expii- Mais comment l'enfant est-il ca- ne peuvent faïre, l'ordinateur Je que ainsi la naissance de son pable de tant d'apprentissage et peut. Il peut Prendre des milliers de Concept : « Mon père était entomo- d'invention tout seul, et comment OMS, remplir des Milliers de fonc- logiste. Pendant qu'il fraquait les in- les choses très Simples qu'on lui in- tions et par COnséquent répondre à Sectes dans la jungle, je jouais avec culque à l'école Peuvent-elles pré- des milliers de désirs différents ». les enfants noïrs. Puis j'ai été scola- Senter autant de difficultés ? » U Coup, pour Seymour Papert, l'é- risé en Afrique du Sud Très tôt, j'ai Papert se sort de cette contradic- Cole devient une institution Périmée été amené à me POSer le problème tion en réfléchissant Sur le rôle de « D'ores et déjà, le rôle de l'ensei. des rapports entre [a forme des so- la culture. « S; l'enfant est archi. nant comme agent de transmis- clétés et les Structures de Pensée, fecte de ses Propres connais- sion des Nnaïissancés est ter- en Voyant que les enfants noirs sances, comme tout Constructeur, il miné. D'ici Vingt ans l'école va Cra- avaient un développement intellec- a besoin de Matériaux, et c'est [à Je QUer. Ça craque déjà, les enfants la fuel inférieur aux enfants blancs. » rôle de la culture, Là où les maté- refusent Je pense qu'il ny a de véri. Mais c’est la rencontre avec le psy- riaux, la culture, l'environnement le apprentissa chologue Jean Piaget qui fait mûrir Sont riches, l'enfant reconstruit les ne faut pas la pensée de Seymour Papert. Structures facilement. Mais uand monde i nu « Pour la première fois, j'ai entrevu les matériaux man \ Mas LÉ00/ la possibilité d'une compréhension globale. Pia 
; «J'ai moi-même lieux d' ? enêve au Centre d'E- compris les équations à deux incon- libre a q'issage rormel avec À Ordi Placeraient l'école À Se/gnant-ense; né, fférent et les engre- Propos recuellils Par M.C. 
EN he jt = 2."
