,page,text
0,1,ps'hologie comprendre savoir agir monde d'ajourd'hui février 1970 -5f- etes-vous adapté monde moderne quiz mois chercheur idées carl gustav jung rebelle andré akoun connaissance soi comment développer volonté docteur paul chauchard couple dix ans mariage désamour christiane cardinal tout ———— ——————— enfance adolescence apprendre lire avant l'école françoise gauquelin vie moderne fatigue maladie xx° siècle docteur pierre-rené bize l'inconscient science rêves fondement psychanalyse docteur jean-pierre coudray ——— document expérience dynemique groupes sarah peltant librairie ernest jones vie l'œuvre freud abram kardiner l'individu société nouvelles parutions who who psychologie roloci édité centre d'étude promotion lecture pmps-elysées paris bals222 abonner pages
1,2,etes l'adaptation laquelle lequel propre contraintes mil monde méme auquel nul etes-vous vie moder suivant guide peut-être somme grandes non äauon queen let méme chain œux l'actualité fait rapiden faux d'exame prèmier lement rez oui contrair ginee cent ete drone
2,3,moïs3 l'adaptation l'action laquelle être ajuste milieu lequel ïil vit conciliant propres tendances contraintes imposées milieu monde moderne l'exemple milieu contraignant auquel nul peut échapper etes-vous vraiment adapté vie moderne questionnaire suivant veut avant tout guide réflexion aidera peut-être prendre conscience attitude profonde somme psychologie deux grandes questions j'accepte non époque c'est question posons aujourd'hui m'accepte non sujet d'un pro chain questionnaire demandons répondre rapidement oui non questions posées genre d'examen conscience c'est prémier mouvement bon voulons dire indique réel- lement position profonde réponse oui entou- d'un cercle cas contraire entourez non quiz êtes-vous vraiment adapté mmoncle moderne rythme vie moderne assez inhumain oui non n'ai guère envie prendre l'avion oui non tous soirs programme télévision oui non j'achète crédit chaque fois c'est possible oui non pense tissus synthétiques tissus traditionnels chacun leurs avantages m'habille uns autres oui non mari doit décider seul dépenses importantes oui non règle paiements chèques oui non j'ai pris deux assurances plus assurances obligatoires oui non self-service seul restaurant service rationnel oui non j'ai contracté plus deux assurances plus assurances obligatoires oui non paiements carte bleue paraît être plus commode oui
3,4,mthétiques tissus sÿn prie fois possible non ivent décider concerné ménage femme tout dépenses importantes oui non avion setà utilisé bientôt petits trajets oui non automobile n'est rien d'autre qu'un moyen transport commode oui non souhaîte plus vite oui non veux télévision chez oui non supporte tissus synthétiques m'habille préférence tissus traditionnels oui non vie aille plus préférable femme disposent séparé oui non mari chacun d'un budget préfère acheter compiant oui non j'ai horreur manger selfservice oui non faut bien s'adapter siècle non l'avion n'est vraiment utile longs voyages oui non peux passer voiture oui non regarde télévision deux fois semaine oui non —————— j'utilise l'achat crédit investissements importants seulement oui non préfère payer espèces oui non contente assurances obligatoires oui non ———— mange self-service quand pressé temps oui non l'automobile jouet trop dangereux préfère train oui non préfère prendre l'avis plusieurs spécialistes quand pee quelque chose oui non faut laisser l'enfant beaucoup dévelon por caractère oni eusement jule contraire morale physig plus grave encore logie j'ai plus confiance non famille cialistes oui non pouvez-vous citer immédiaiene minimum trois slogans ques ville d'essence tion passer oui non campagne oui non vie urbaine intoxique corps faut aller vivre cam bonheur l'esprit pagne améliorations oui non plus nombreuse oui non eee l'utilisation conditionnemen éducation matière plastique imposer carton plus plus car développer représentent meilleure solution oui non problème oui non l'aller aventure tenu parti technique actuel développement con direc 24. esprit l'esp télévisio oui non toutes choses besoin d'être soumis enfants stricte greffe bruit discipline oui non oui non ———— cro trouve vraiment bien qu'en moderne ville oui non oui non savez-vous malgré efforts seuls deux slogans marques marques d'essence viennent oui non l'esprit ——— oui non j'ai suivi mission pilule doit être considérée comme médicament utile dont doit oui nor user prudence oui non profi mière progrès technique sensiblement nouveal amélioré niveau vie général oui faut formant éfier emprise oui non dév plu voue coûte bien cher appris grand-chose sui qu'on savait déjà oui non oui devrait être vente libre ment toutes femmes puissent tique sen servir oui oui
4,5,plus confiance médecin famille l'avis spécialistes oui non ville agréable condition passer week-ends campagne oui non bonheur futur réside améliorations techniques plus plus nombreuses oui non éducation parents doivent imposer quelques bons principes oui non l'aller retour terrelune aventure exaltante laquelle j'ai tenu participer suivant l'émission direct heures matin télévision oui non —————— greffe cœur c'est beaucoup bruit peu chose vérité oui non ———————————— crois guère médecine moderne oui non savez-vous cœur trois slogans marques d'essence oui non j'ai suivi curiosité retransmission premiers l'homme lune télévision oui non professeur barnard première greffe cœur ouvert nouveau chapitre médecine oui non développement l'astronautique plus important découverte manuscrits mer morte oui non heureux vivre siècle oui non ———————— —————— ———— aliments conditionnements carton matière plastique parfois commodes oui non avis l'âge d'or découvrir siècles futurs bénéficieront progrès civilisation oui non l'homme découverte grotte lascaux réflexion plus importante succès l'automobile oui non conditionnements carton matière plastique dénaturent goût aliments oui non l'organisation aide pays voie développement premier devoir grandes nations oui non ————— j'avais choix j'aimerais vivre temps passés rythme vie plus calme oui non principe transplantations cardiaques cela paraît prématuré aujourd'hui oui non —————— entourez d'un cercle l'une trois réponses choisissez peinture préférez-vous posséder tableau vasarely cézanne rembrandt musique préférez-vous écouter berlioz xénakis bach musique litterature préférez-vous lire ouvrage clézio marcel proust honoré balzac spectacle préférez-vous assister spectacle ballets béjart classiques roland petit voyages mettez croix devant nom pays étrangers séjourné fermement l'intention visiter dès possibilité suisse portugal belgique etats-unis angleterre mexique allemagne japon autriche urss yougoslavie chine italie autres pays espagne réponses entourez d'un cercle numéro coorrespondant réponse moins croix croix plus croix confort menager mettez croix face appareils électriques dont disposez voudriez disposer toutes considérations pécuniaires mises part chauffage électrique aspirateur réfrigérateur machine laver linge machine laver vaisselle grille-toast moulin café percolateur mixer ouvre-boîte couteau électrique brosse dents électrique vibro-masseur rasoir hommes fer friser femmes couverture chauffante chancelière chauffante séchoir autres appareils électriques réponses entourez d'un cercle numéro correspondant réponse moins croix croix plus croix information mettez croix devant mots suivants dont connaissez sens exact prospective brain storming marketing mass media provos living theater hit parade pop'ar
5,6,"penn pac schizophren ntlque complexe sicient croix devanf non suivantes lorsquic quel domaine elles mettez personnes savez illustrées boris vian yves klein mcluhan barnard lévi-strauss merckx masters youri gagarine johnson mary quant moshe dayan edward albee stokely carmichacl réponses entourez d'un cercle numéro correspondant voire réponse moins croix croix plus croix mettez croix devant ceux sigles dont connaissez sens lsd cnrs sicob secam dibm hlm nasa zup ponses fsu niourez d'un respondant voire gnéto moins croix croix plus croix conn result veuillez reporte page chercih bord lao zuricl parmi arbres l'eau d'air paysage lui-même vert tours fenêtres vitraux île vierge s'accrochent murs jusqu'en 1961 jardin vieil cheveux blancs bêcher scler bols houette volûtée vis regard extraordinair fols paisible cette maison paraît qu'il lui-même fait activités simples nature essayait célébrité quatre coins mor gustav jung l'un freud adler profondeurs maître autant depuis mort 1875 considéré beauc plus grands penset dernières jung tentait vainen rôle maître spirit teurs voulalent dit j'ai accès savoi terl. insiste encore constater vale définitive n'ai fait sûr rien parler aucune aucun sujet. vision optimiste choses pénétrons cruel mêr beauté croire non-sens tempérament nait absolu vie fur disparaîtralt n'est cas gommë métaphysique ment vrais sens j'ai l'espolr portera gag quol cette voix ass emmener volume 496 pages couverture typographique 45,50f ———— mediations gonthner denoe"
6,7,bord lac zurich bollingen parmi arbres maison reflète l'eau l'air d'émaner paysage lui-même vert doux simple tours cheminées fenêtres vitraux lierre vigne vierge s'accrochent pierres murs jusqu'en 1961 pouvait voir jardin vieil homme lunettes cheveux blancs lire reposer bêcher scler bois silhouette voûtée visage rldé regard extraordinaire profond aigu fois paisible étincelant cette malson paraît médiévale qu'il lui-même fait construire activités simples proches nature essayait fuir propre célébrité venait voir quatre coins monde c'était carl gustav jung l'un trois fondateurs freud adler psychologie profondeurs maitre spirituel autant qu'un medecin depuis mort l'âge ans 1875 près bâle il'est considéré beaucoup comme plus grands penseurs xxxe siècle dernières années vie jung tentait vainement récuser rôle maître spirituel admirateurs voulaient faire jouer quand dit mol sage j'ai accès savoir puis l'accepterl. autobiographie insiste encore hors d'état constater valeur non-valeur définitive n'ai jugement vie tout fait sûr rien n'ai proprement parler aucune conviction définitive aucun sujet. maintient vision optimiste esthétique choses monde lequel pénétrons naissant brutal cruel temps d'une divine beauté croire l'emporte non-sens sens question tempérament non-sens dominait absolu l'aspect sensé vie fur mesure l'évolution disparaîtrait plus plus cela n'est semble être cas comme toute question métaphysique deux probablement vrais vie sens nonsens possède sens non-sens j'ai l'espoir anxieux sens l'emportera gagnera bataille. pourquoi cette voix a-t-elle cette résonance carl gustav jung n'est phllosophe proprement parler c'est-à-dire bâtisseur d'un système absolu fondé raison connaisseur hommes écrit-il 1952 étudiant qu'un psychiatre car problème essentiel guide tous efforts dérèglement l'âme phénoménologie étiologle téléologie tout reste accessoire sens aucune vocation instaurer religion professer quelqu'une cultive aucune philosophie mals pense seulement être bon médecin l'âme ... discipline paraissait hotmes-lebel signe d'une mutation l'horizon .cul- turel hommes l'immense accroissement l'intérêt psychologle monde entier pendant vingt dernières années prouve irréfutablement conscience moderne s'est quelque peu retirée réalltés extérieures matérielles tourner vers jes réalités intérieures subjectives époque intérêt psychologie attend l'âme quelque chose monde extérieur donné connaître jung comprendre c'est rechercher au-delà l'exposé objectif choses cet envers mystérieux jung désigne comme l'itinéraire d'un inconscient accompli réalisation transmutation vie destin jung après lul faut retrouver personnages réels imaginaires dont rencontre décisive faut entrer théâtre peuplé symboles masques d'emblèmes font signe indiquent monde tout fois familier inconnu sait l'influence joue devenir psychologique d'un enfant constellation familiale celle jung titre éclaire origines recherche spirituelle famille mère six pasteurs deux celle père cela s'ajoute fait père jung pasteur lui-même connut affres l'incertitude religieuse plus constellation familiale intervient qu'on pourrait appeler mythe cette façon famille penser propre histoire passé peuplé héros parias titre faut souligner l'importance grand-père paternel jung carl gustav aussi forte personnalité laissa empreinte toute tribu ———— l'influence d'une etonnante constellation familiale mannheim 1794 c.g jung expulsé prusse 565 opinions libérales dut l'amitié grand naturaliste alexandre von humboldt pouvoir obtenir chaire chirurgie l'université bâle disait qu'il fils illégitime goethe l'essentiel souvenirs donné aniela jailé rsonnels pré publié chez gallimard 1966 sous titre c.g jung cette extraite ainsi celles suivent cet ouvrage
7,8,qus sophie ziegler seconde femme f.l jung bisaïeul tout rejetant force qu'il savait être fable jung pouvait s'empêcher d'éprouver certaine complaisance voyant source fascination faust exerçait âme premier c.g jung meurt 1864 onze ans avant naisse petitfils cette absence définitive permettra commutation personnage mythique conscience l'enfant père pasteur protestant vécut toute vie tourments doute métaphysique oubliait exigences vie pratique père signifiait dit jung digne confiance incapable. dissocie l'image père celle dieu religion 1892 1894 dit-il j'eus série violentes discussions père étudié langues orientales gôttingen sous direction d'ewald fait thèse version arabe cantique cantiques période héroïque pris fin l'examen terminal l'université suite oublia dons philosophiques pasteur campagne laufen près chutes rhin tomba enthousiasme sentimental souvenirs estudiantins quant mère jung file d'un pasteur protestant descendent d'une famille française émigrée suisse après révocation l'édit nantes photos montrent dignité matrone suisse mère très bonne mère émanait d'elle très grande chaleur amicale ambiance délicieusement confortable très corpulente savait écouter tout monde aimait bavarder c'était comme gazouillement joyeux dons littéraires très marqués goût profondeur vrai dire manifestaient guère extérleurement restalent cachés grosse dame vraiment aimable très hospitalière faisait admirablement cuisine possédait beaucoup d'humour opinions traditionnelles toutes celles l'on peut avoir tournemain apparaissait chez personnalité inconsciente d'une puissance insoupçonnée grande figure sombre dotée d'une autorité intangible cela faisait aucun doute j'étals sûr qu'elle aussi com posait lectif fait deux personnes l'une inoffen- eur profond psyché sie humaine l'autre contraire 1896 père paralssalt redoutable celle-cl râlait vis qu'il état ourt lement manifestalt moments sta tenais près gone ajours l'improviste faisait peur encore ravals flgé jamais cet ors parlalt comme elle- humain soudain cesca être mails disait s'adressalt j'attendis j'attends eco pirer dotés -mol touchait jusqu'au plus pro- ration fond moi-même tell vante vint alors even sorte mère pensal épon j'en restals généralement muet rendis ver hambre voisine ell vérité llen unissant jung ego elt 088180 mère tricotait près fené garrié très fort sans doute doro cha meurt l'origine dis-je tue conception archétypes mater quil étalée cannes con mère première incarnation s'est vite passé diroilo fee carchétype anima personnifie l'in- année jung fit aut genserent tout entre fascination rencontre magique allant voir ages mythiques mère amle mère schaffhouse vait rene celle noonsclent lulmême maison vit jeune file mers dar-deta matrice quatorze ans portalt tresses sue per simple corps phy- emma rauschenbach sus alors heur lent océan originel l'in- voici femme j'en profondément aprè collectif fondement bouleversé l'avais vue qu'un one anité appelait sympathle court instant j'eus aussitôt chose certitude qu'elle devait devenir nul femme 1903 chose faite ner d'etranges coincidences jung interprète comme part trot inc out monde triomphe perqui passionnent jeng sonnalité numéro l'éclipse per personnalité numéro deux lon cette mère double visage aimant temps j'avals tenu sorte jour dar redoutable porteuse d'angoisse nal intime jusqu'en 1902. après cette havre sécurité incarne nature date resta enfermé tiroir jur archaïque l'instinct capable pendant plus dix ans qu'en connaître réel intuition 41913 sous pression lourds pressen divinatrice :sa mère jung dit timents qu'il resurgit mémoire tenir don toujours agréable 1913 chargé lourds pressen voir hommes choses comme timents parce monde gros conte tels événements d'une guerre c'est aussi l'époque ini fait prendre conscience rupture définitive jung celui fait c'est ainsi qu'au marlage diune dont rencontre marque date amie femme alors qu'il dis culture freud cutait psycholôglé criminélle moñsieur d'âge moyen lde ninée belle barbe qu'on iprésenté rencontre passionnée comme avocat imagine l'histoire freud d'un cas orné multiples détails silence añnonclateur d'impair s'inställe voit ainsi carl gustav jung l'auditoire puis quelqu'un faitement intégré milieu famt reprocha lial bourgeolsie suisse protes comment avez-vous permettre tante début siècle carl gustav telle indiscrétion jung jeune médecin plein d'ave- indiscrétion nir adjoint professeur bleuler direc- oui cette histoire teur burghôülzli clinique psychiatrique racontée ... l'université zurich spécialiste l'ai inventée toutes renommé travaux notamment pièces ... jung conclut surla schizophrénie maladies men grand effrol trouva j'avais tales mode côté méd® racorité l'histolre vis-à-vis cins s'entend france pierrg tous détalls outre décour- janet charcot vienne vris cet instant pouvais plus 1900 fit paraître sat rappeler mot tout récit rêves tout monde médica jusqu'aujourd'hui n'ai jamais savant ricana sauf bleuler retrouver tels faits nombreux zurichols rompis raconte vle n'étonneront jung premières lâmes durs chercheur passionna münich lorsque conte phénomènes parapsychologie jus- rapports îles intett débattre freud scep- sionnelles nom avai tique voyait notlon d'in tionnellement passé sous conscient collectif moyen d'expliquer sulte 1906 j'écrivis hner meditt rêves prémonitoires pressentl- presse ments phénomènes synchronisa- nische wochenschrift ovalt tion télépathle cet inconscient col. freudienne névros
8,9,tribué faire comprendre lement ebsessionnelles suite ticle deux professeurs allemands ccrivent lettres d'avertissement persistais continuais être côtés freud défendre avenir universitaire danger répondis dit freud vérité j'en moque d'une carrière laquelle vérité tue recherche mutilée. continuai poser champion freud idées freud montra reconnaissant cet appui sortait clandestinité invita jung jeune jung vingtaine d'années moins venir voir rencontre lieu février 1907 vienne heure l'après-midi trelze heures après conversation durait toujours freud dit jung première personnalité importante rencontrais nul autre parmi relations d'alors pouvait mesurer attitude rien trivial trouvais extraordinalrement intelligent pénétrant remarquable tous points vue. d'autre part correspondance qu'ils échangèrent connaît sentiments freud l'égard jung qu'il considérait formellement comme fils aîné dont soulignait charme magique présence deux revues successivement fondées puis association psychanalytique internationale l'idylle intellectuelle freud-jung dura jusqu'en 1912. quand lieu rupture définitive ——————————— apres l'idylle rupture definitive simple querelle d'école conception l'on fait l'être humain sens vie jeu conceptions freudiennes sexualité refoulement sublimation j'objectai dit jung poussée logiquement fond hypothèse menait raisonnements détruisalent toute civilisation celle-ci prenait l'apparence d'une simple farce conséquence morbide refoulement sexuel oui confirmat-i ainsi c'est malédiction destin face laquelle impuissants voles parallèles moment n'avaient jamais coïncidé tout fait jung n'avait accepté théorie sexuelle névroses préférant prlvllégier explication symp- tômes difficultés couple parental dont l'enfant victime jung travers souvenir conversations qu'il freud montre combien début pourre sembler divergence seconexe scrupules l'un l'autre renvoyait fait opposition catégorique j'ai encore raconte-t-il vif souvenir freud disant cher jung promettez-mol jamais abandonner théorie sexuelle c'est plus essentiel voyez-vous devons faire dogme bastion inébranlable. disait cela plein passion d'un père disant promets-moi chose cher flls tous dimanches l'église quelque peu étonné demandai bastion contre quoi répondit contre flot vase noire ... ici hésita moment ajouter l'occultisme. savais pourrais jamals faire mienne cette position freud semblait entendre occultisme peu près tout philosophie religion ainsi parapsychologie naissait vers cette époque pouvaient dire l'âme théorie tout aussi occulte l'effet cette opposition retrouve l'autre extrémité conception jung cure définit comme l'action d'un thérapeute parvenu propre analyse possession d'un soi plein sagesse intervenant conseiller éduquer diriger patient faire quelqu'un image 1914 brouille intellectuelle consommée freud publie texte .polémique histoire mouvement psychanalytique lequel compare modification jungienne couteau lichtenberg auquel changé lame mis autre manche qu'on prenait toujours couteau parce marque fabrique conservée jung devait tenir l'équivoque donne autre nom discipline dont père psychanalyse freud oppose psychologie analytique repose autre théorie psychisme utilise autre technique ouvre autre philosophie puise œuvre inconscient ————————————— détaché l'influence religieuse familiale première théorie freudienne carl gustav jung poursuit seul démarche intellectuelle spirituelle professionnelle malades analysés m'ont bien mis réalité vie humaine portée main n'ai faire autrement d'en dégager faits essentiels rencontre d'êtres humains genres niveaux psychologiques plus différents grande incomparable importance ... jung écrivit beaucoup fit seconde moitié vie auparavant vit grande activité psychiatrique lit voyage cultive trois grands domaines l'ésotérisme alchimie gnostiques étonnantes nossibilités mémoire j'étais loin douter arrivant chez ami e.v borg j'allais être témoin d'un spectacle vraiment extraordinaire décupler puissance mentale m'avait fait venir stockholm parler suédois pasteur grands savants français soir arrivée après champagne conversation 'roula naturellement difficultés parole publle grand travail impose autres conférenciers nécessité savoir perfection mot mot discours e.v borg dit alors qu'il probablement moyen m'étonner connu lorsque faisions ensemble droit paris plus déplorable mémoire recula jusqu'au fond salle manger pria d'écrire cent nombres trols chiffres ceux voudrais appelant haute voix lorsque j'eus ainsi rempli haut bas marge d'un vieux journal e.v borg récita cent nombres l'ordre lequel écrits puis sens contraire c'est-à-dire commençant derniers laissa aussi l'interroger position respective différents nombres demandal exemple quel 24° 72° 38° vis répondre toutes questions sans hésitation sans effort instan- tanément comme chiffres j'avais écrits papier aussi inscrits cerveau demeural stupéfait pareil tour force cherchal vainement l'arifilce permis réaliser ami dit alors semble extraordinaire réalité fort simple tout monde possède assez mémoire faire autant rares personnes savent servir cette merveil- leuse faculté m'indiqua alors moyen d'accomplir tour force parvins aussitôt sans erreur sans effort comme parviendrez vous-même demain mals bornai expériences amusantes j'appliqual principes m'avaient appris occupations chaque jour ainsi retenir incroyable facilité ectures conférences j'entendais celles devals prononcer nom personnes rencontrais fût-ce qu'une fols adresses qu'elles donnalent mille autres choses d'une grande utilité enfin constatai bout peu temps non seulement mémoire progressé mals j'avals acquis attention plus soutenue juge- ment plus sûr rien d'étonnant puisque pénétration intelligence dépend surtout nombre l'étendue souvenirs voulez savoir cemment obtenir mêmes résultats acquérir cette puissance mentale encore mellleure chance réussir vie priez e.v borg envoyer intéressant pelit ouvrage documentaire lois éternelles succès distribue gratuitement quiconque désire améliorer mémoire volcl adresse borg chez aubanel place saintpierre avignon nom aubanel garantie sérieux depuis 214 ans aubanel diffusent travers monde mellleures méthodes psychologle pratique barsan méthode borg bon gratuit découper recopier adresser borg chez aubanel place st-pierre avignon recevoir sans engagement part sous pli fermé lois éternelles succes nom rue ville voue age profession
9,10,jmaginations c'était années vingt fallu dir ainsi dire quarante-cinq ans afin d'élaborer d'inscrire cadre œuvre sclentiflque éléments j'al vécus notés cette époque vie premières imaginations premiers rêves étalent comme flot basalte liquide rougeoyant cris- tallisation engendra pierre pus travailler années durant lesquelles j'étais l'écoute images intérieures constituèrent l'époque plus impor- tante vie cours laquelle toutes choses essentielles déci- dèrent car c'est celles-ci prirent essor détails sulvirent compléments illus- trations éclaircissements toute activité ultérieure cansista éla- borer jallli l'inconscient long années tout d'abord m'inonda matière pre- mière l'œuvre d'une vie ——— theorie jungienne l'inconscient collectif ——— système psychique élaboré jung d'une complexité extrême qu'aug- mentent l'imprécision multiplicité sens qu'il donne concepts peut cependant simpliflant dis- tinguer trois parties consclent centre comprend l'ego périphérie ensemble fonctions assurant relation l'individu monde objectal jung nomme persona l'inconscient personnel relativement peu profond formé éléments refoulés oubliés enfin l'inconscient collectif héritage commun toute l'humanité mer profonde por- teuse vague individuelle jung dit qu'il domaine secret dont pouvons surprendre murmure mals glisse entre doigts psychologie mle zurich 1944 alche l'anlmus parader reliés quelque sorte hypostases jungiennes sexualité l'animus masculin femme l'anlma féminin l'homme saurait prendre cette sexualité sens blologique strict jung jui donne forte charge spiritua- lité pureté l'animus image jeune premier héros mul- tiples aventures fait pendant per- sona femme l'anima image d'un être éthéré elfique celle l'homme. refoulés l'animus l'anima n'en moins actifs c'est ainsi choix fait l'homme femme aimée transparaît refoulé archetypes lien entre collectif l'individuel ——— animus anima parmi d'autres archétypes figures primordiales manifestent aussi produc- tions mythologle dieux déesses l'archétype permet jung d'établir médiation entre collec- tif l'individuel entre structure l'image mals faut noter statut amblgu qu'il osclile entre deux tendances peuvent être retenues ensemble parfois archétypes images orlginelles transmises héréditalrement perspec- tive génétique parfols principes régulateurs l'expérience formes dynamiques organisent images perspective structurale reste cette notion permet jung construire théorle originale grands symboles collectifs dieux srèce antique héros vie niques productions arché- jamais images puissantes firent défaut l'humanité oppo- ser protection magique entre vie pauvreté spl jung goullgne quel malalse redevables cette mort désenchantement pendant respect mirable finesse secrets dont fermé science repousser mettre lumière partie domaine bien persuadés n'avons fait créer bole traduire toujours science langage figuré plus adapté vie pratique vieille hypothèse mythologique exprimalt représentations concrètes exprimons concepts ous voyons mieux mythes hors temps purs produits l'histoire forme archétypes situations sociales langage humain transforme l'esprit temps qu'il dit vario s'agit vérité éternelle c'est cette conception symbolique qu'on retrouve aussi l'analyse rêve sépare façon plus radicale freud jung non croyance l'existence l'in conscient collectif com- munet freud analyse jung déchiffre freud recherche causes jung message réduction froudienno rêve désir s'oppose chez jung l'exaltation archétypale symbole rêve dit-il met service l'in dividu sagesse impérissable temps anciens guide conduite présent île futur —————— types psychologiques selon jung ————— système psychlque alnsl construit perpétuel jeu compensation entre entités opposées qu'il suppose jung tire possibilité d'une typologle originale caractères point départ l'opposition entre l'intro- version l'extraverslon l'une résultant d'un mouvement centripète libido l'autre d'un mouvement centrifuge l'in- troversion retrait soi perte soi propres profondeurs ——————————————— bagtl l'inconscient buchet c'est fait dire psychanalyste freu° dien lacan autrement dit lame aveugle propre nature arché ypes monde réverbère comment viendrait-elle écnits croire l'âme monde n'oublions tabou effrayante profondeurs monde l'âme figures l'inconscient s'exprimèrent toujours images protectrices salvatrices ainsi rejetées l'espace cos dehors l'âme ique jamais inassimilable l'ego l'inconscient collectif obscur pan d'ange surface falt participer umalne d'un fonds mmun nstorique révèlent aussi êves contes non mythes découverte aujourd'hui pensée jung agt symboles sacrés pensée arché 'estce types n'est-ce freud auteur toreñ oîse monothéisme toujours jours admis l'idée qu'un drame oublié âges est-ce trame traverse
