,page,text
0,1,aujour sex monde ens onse tir
1,2,jacoe lieu moreno l'inventeur psychodrame fous moreno pensait l'autriche l'anarchie l'après-guerre manquait d'un chef véritable proposa trouver appela cette tentative roman rol près 000 personnes s'étaient rendues salle scène avalt trône couronne moreno invita chaque spectateur venir jouer rôle roi aucun convaincant fait heures heures soir séance assez lamentable dont lendemain tout vienne riait parlerions maintenant d'un happening manqué moreno découragea autant fonda alors stegreiftheater théâtre impromptu fait s'agissait encore d'improvisation complète dramaturge directeur jeu acteurs c'est plutôt avatar moderne commedia dell'arte italienne moreno s'était attribué toujours gardé depuis temps lointains rôle directeur jeu établissait contact entre l'auteur acteurs public modifiant scénario fur mesure réactions uns autres fallait canevas dramatique jour problème posa rapidement résolu journal vivant lecture quotidiens fournissait toujours fait divers assez dramatique susceptible servir base représentation c'est alors grâce réactions d'une actrices barbara moreno découvrit rapidement théâtre improvisé thérapeutique l'histoire barbara classique psychodrame convient donc connaître détail théâtre impromptu meilleure actrice barbara destinait métier comédienne participait l'expérience alors débuts journal vivant excellait rôles d'ingénue romantique attirait public georg poète acteur dramatique spectateur plus assidu idylle naquit entre s'acheva mariage continuaient fréquenter théâtre impromptu quand jour georg confia ennuis moreno cette créature douce angélique tout monde admire conduit démon sauvage quand seule parle dernier langages mets colère frappe coups poing moreno alors l'idée faire barbara dès soir cyniques vulgaires accepte jourla crainte point réussir nal fournit falt divers faisait propositions hommes rue d'un quartier mal famé vienne attaquée tuée métèque barbara mène scène façon inattendue met question d'argent devient gro sière frappe partenaire coups poing pied finir celuiel simule l'égorger sauvagement épouvante public barbara exulte embrasse georg moreno comprend qu'il trouvé solution continue faire jouer barbara rôles fille soldats servante café maîtresse haineuse femme proie vengeance après quelques jours georg apprend qu'elle train changer maison accès colère perdent intensité arrive d'en sourire plein milleu rapprocher scènes improvisées théâtre rient ensemble rit l'avance quand sent crise venir moreno nouvelle idée fait jouer époux ensemble propose scènes rapprochent progressivement réalité quotidienne couple jouent enfin famille enfance leurs rêves leurs projets d'avenir plus plus nombreux spectateurs viennent dire moreno combien scènes touchaient plus profondément improvisations habituelles barbara georg reconquirent quelques mois harmonie moreno aussi theoricien sociometrie 1925 moreno émigre etats-unis contact romantisme d'europe centrale l'esprit rationnel nordaméricain provoque chez mutation psychodrame jusque art moreno veut donner fondement scientifique sociométrie l'étude mesure relations interpersonnelles individus l'intérieur d'un groupe donner douzaine personnes dit marx capital travaillant ensemble pendant douze heures produiront davantage travail collectif cent quarante-quatre heures douze hommes travaillant seuls douze jours chacun qu'un seul homme travaillant douze jours suite phénomène dont ren- daïient compte psychologie l'in- dividu sociologie collectivité mails qu'étudie maintenant psycho- sociologue rapidement intégrée vaste mouvement psychosociologique connu essor continu soclométrie échappé moreno alors psychodrame resté plus moins directement lié lul soclométrle devenue instrument d'investiga tion applicable n'importe quel groupe scolaire professionnel familial etc aidé préciser notions main tenant courantes leadership partlci pation circulation l'information etc jouer passions c'est s'en liberer psychodrame technique thérapeutique entourée d'un halo mystérieux c'est qu'il difficile comprendre mode d'action comprend confession reli gieuse psychanalytique puisse soulager névrose résoudre conflit comprend qu'une médication d'urgence puisse calmer crise vlolente éviter manifestation voit comment représentation dramatique l'un l'autre problèmes sujet lui-même peut avoir mêmes effets bénéfiques faut cela remonter loin plus précisément théâtre grec tragédie dit aristote l'imitation d'une action imitation faite personnages action non moyen d'un récit suscitant pitié crainte opère purgation catharsis propre pareilles émotions. cette notion subsistait encore intacte époque classique racine écrit tragédie excitant terreur pitié purge tempère sortes passion c'est-à-dire qu'en excitant passions ôte qu'elles d'excessif vicieux ramène état modération conforme raison. corneille tragédie fait faire retour nous-mêmes incite purger modérer rectifier déraciner passion yeux plonge malheur personnes plalgnons c'est pourquoi catharsis clef voûte psychodrame moreno lui-même invoque tout ensemble traditions culturelles justifier expliquer pouvoir cathartique psychodrame historiquement deux moyens d'envisager psychocatharsis représentation soi l'un drame grec drame habituel contemporain temps entraîne reconnaissance unl- verselle concept aristotélicien catharsis l'autre provient religions orlentales celles-ci saint doit chez lenfan panerogrante analytique gens psychologie mére auteur dynamique groupes sociométrie complexi plexité constitue seule sujet complet article futur numéro psychologie
2,3,agir devenir rédempteur c'est-àdire qu'il doit réaliser vie l'idéal religion drame grec contraire purgation splrituelle processus lieu chez spectateur c'est catharsis passive l'expérience religieuse purification produit l'individu lui-même vie personnelle devient spectacle public c'est catharsis active drame grec processus réalisation s'effectue scène grâce personnage symbolique l'acteur n'est identique héros fait jouer chez protagoniste religleux processus subjectif lieu personne recherche catharsis catharsis passive catharsis active catharsis esthétique catharsis éthique s'opposent ici anciens grecs repris drame scène proche-orient adopté île principe catharsis l'homme concret certains prophètes saints aspiré réalisation idéal aussi presque dramaturges lors débuts américains moreno ouvert new york théâtre psychodramatique n'importe pouvait monter scène raconter moreno collaborateurs improvisaient immédiatement entouraient spectateur volontaire souvent dénoncé l'exhibitionnisme séances peu valeur thérapeutique moreno lui-même raconte très longuement psychodrames dura semaines réellement feuilleton improvisé s'agissait d'un certain franck marlé depuis plusieurs années anna venait tomber amoureux hélène peut paraître extrémement étrange c'est non seulement franck deux femmes rarement ensemble certes parfois quand participèrent séances moreno faisait reconstituer épisodes importants rencontre franck d'hélène aveu franck anna annonce anna qu'elle attend enfant etc qu'advint-il moreno dit sincérité quand quittent tous trois théâtre quittent amis chacun poursuit propre chemin solitaire l'histoire quinze années suivantes confirme moins l'innocuité traitement anna s'est remariée deux ans après divorce mariage heureux franck aussi remarié devenu professeur d'université estimé spécialité rempli obligations l'égard petit garçon voit régulièrement franck hélène rencontrent occasionnellement hélène restée célibataire innocuité peut-être moreno psychothérapie groupe psy- chodrame p.u.f. paris moreno ouvrage cité sans diplome particulier exigé carrières d'avenir 'informa tique opérateur programmeur analyste pratiques perfectionnement s'adressant personnes déjà initiées l'informatique initiationet formation base adressant adultes jeunes gens désirant s'orienter vers domaine pleine expansion l'informatique stages pratiques ordinateur formation accélérée s'adressant personnes fait études secondaires recyclage s'adressant cadres techniques administratifs aèe ensemble d'équipements ordinateur groupe d'élèves travail terminaux langages évolués étudiés basic gap fortran algol cobol cours promotion réf et.5 4491 cours pratiques iv/et.2/n° 5204. ecole technique agréée ministère education nationale ecole tecanique moyenneïetésupérieure paris rue paris charenton-paris élèves belges bruxelles avenue huart-hamoir charleroi boulevard joseph documentations gratuites bon remplir recopier envoyer ecole technique moyenne superieure rue paris 94-charenton paris veuillez m'envoyer gratuitement sans engagement documentation egalement préparation diplomes d'état c.a.p mécanographe b.p mécanographe b.tn informatique b.t.s traitement l'information cours d'informatique cours pratiques radio television nombreux cours techniques corréspondance mettre croix case correspondant choix nom prenom ... adresse ...
3,4,moreno l'inventeur psychodrame encore qu'on puisse discuter mails quant légitimité comprend depuis psychodrame alt adopté règle secret moreno spontaneite notion fondamentale fin seconde guerre mondiale quelques psychologues français font voyage d'études etats-unis entendent parler théâtre moreno veulent assister l'entrée coûtait dollar s'associent alors fascinés passe scène maladresses d'improvisation désir participants jouer propre rôle exhlbitionnisme plus moins fort soudains éclats brusques révélations intensité humaine extraordinaire protocole d'une séance psychodrame rend cette intensité inévi- table protagoniste ego pri- maire héros l'action recommande d'être lui-même non comédien alors l'on exige comé- dien qu'il sacrifie mol rôle assigné dramaturge lorsque patient s'est échauffé prendre charge cette fonction devient assez facile rendre compte vie intérieure car lui-même autorité suprême doit agir librement selon humeur faut donc lberté d'expression c'est-à-dire spon- tanéité psychodramatiste psychodramaturge selon personnalité selon moment joue joue rôle séance équivaut coryphée chef chœur tra- gédie grecque commente l'action l'infléchit éclaire protagoniste ego-auxiliaires mol secondaires jouent autres rôles assistants psychodramatiste spectateurs public passif actif spectateur sens l'entend théâtre ordinaire vie sociale dit moreno ten- dance attribuer rôle définit individu déterminé bien rôle devient rôle majeur lequel l'individu enfermé attend chacun qu'il vive conformément rôle soclal qu'il joue vie professeur doit agir professeur élève élève etc mals l'individu désire incarner beaucoup plus roles ceux lul permis vie plus l'intérieur d'un rôle tenir plusieurs aspects tout individu porte éventail rôles qu'il voudrait jouer restent potentlellement présents différents stades développement c'est pression active possibilités exercent rôle soclal manifeste l'individu provoque sentiment d'anxlété psychodrame fait renaître spontanéité figée rôles d'un individu condulsant l'expression vécue acting out concept rôle devenu clair beaucoup rôles effet ressentis comme plus plus astreilgnants compensations créées collectivement permettent individus s'en libérer provisoirement week-ends vacances revanche notion spontanéité laquelle moreno veut fois remplacer notion d'inconscient freud celle d'intelligence psychologie expérimentale apparaît floue composite spontanélté dit-il réponse adaptée situation nouvelle réponse originale situation ancienne ... évolution sans doute plus ancienne sexualité mémoire l'intelligence psychodrame morenien resolument esthetique qu'en est-il actuellement psychodrame faut d'abord préciser qu'il d'une part psychodrame moré- nien proprement dit d'autre part psychodrame analytique premier tout but cathartique libération d'une passion garde sou- esthétique mesure représentation improvisée se- cond veut être qu'une psycho- thérapie groupe certes reste conforme méthodes freudiennes psychodrame morénien s'en tient résultats méthode aussl efficlente autres ex- tension n'est considérable france exemple compte qu'une centaine psychologues spécia- îlstes c'est encore beaucoup rapport d'autres pays comment expliquer cette relative désaffection technique psy- chologique ailleurs entourée d'une telle renommée psychodrame fait peur charge émotive apparaît sûre- ment trop considérable autant indi- vidu dit normal désireux connaître envisagera pouvolr falre psychanalyser autant l'expérience psychodrame l'effralera trau- matisera émotivité devenue fragile catharsis dramatique be- soin toute société assurée cinéma télévision mettent écran terme toute valeur sémantique supplémentaire entre spectateur l'acteur chemins psychodrame pourtant résolument esthétique warning c'est-à-dire mise train d'une séance participants l'entraînement spontanéité psychodrame rejoint très nettement théâtre l'interprétation théâtrale stanislavski ella kazan sens très proches moreno rappelons aussi celulci ignoré pirandello correspondance entre secrétaires deux hommes fait apparaître l'influence récit moreno l'incident drame zarathoustra l'œuvre pirandello six personnages quête d'auteur happening psychodrame sauvage quant happening c'est purement simplement psychodrame très exactement spécialistes appellent drame psychomusical organique voici qu'en dit spécialistes psychodramatiste produit chante très courtes chansons quelques secondes chacune accompagnées gestes théâtraux mouvements tête bras jambes pieds mouvements rythmiques donnent corps chant c'est sorte gag entraîne l'auditoire puis participants monte podium représente situation dialogue remplacé gestes exclamations.… séances d'improvisation mélanges genres actions chants gestes mouvements rapprochent jam-sessions jazz séances d'improvisation création artistique cette technique vulgarisée milieux artistiques américains européens sous nom happening peut être sans danger malgré débuts fracassants quelques années flambée immédiate manifestations diverses happening s'est presque éteint semble milieux d'avant-garde habitués genre d'ex- pérlences chocs émotifs inhérents psychodrame lui-même plus forte raison happening psycho7 anne ancelin schutzenberger précis psychodrane editions universitaires 966 oreno ouvrage cité stanislavski 663-1936 acteur metteur russe théâtre d'art moscou formateur 10. elia kazan metteur scène écrivain inetemps animateur l'actor studio new anne ancelin schutzenberger ouvrage cité
4,5,drame sauvage alent paru insupportables cela mis part psychodrame maintenant deux principaux domaines d'application enfants psychotiques l'un l'autre cas aboutit résultats remarquables psychotherapie groupe convient enfants psychodrame particulièrement utilisé enfants inadaptés cadre thèses psychanalytiques enfants dit spécialiste manifestent véritable appétit social rend plus facile l'action groupe l'action individuelle psychothérapie groupe fournit conditions idéales passage surmoi infantile résulte l'intériorisation interdits parentaux surmoi social expression désir d'être accepté groupe c'est passage psychothérapie groupe mission d'obtenir quand s'est normarlement effectué vie sauf cas plusieurs séances préliminaires nécessaires titre d'entraînement première séance prend importance capitale l'enfant exprime façon plus moins déguisée problème personnel bien extériorise façon dont représente réadaptation sentiments fantasmes liés l'enfant menteur voleur fugueur amené jouer propre rôle prend fait tel recul rapport pulsions mauvaises qu'il décidera lui-même changer c'est prise conscience souvent aucune intervention n'est susceptible procurer soulagement possible psychotiques psychodrame tant traitement folie c'est-à-dire psychoses illustre prédécesseur marquis sade lui-même organisait charenton début xixe siècle séances théâtrothérapie distinguent psychodrame qu'elles improvisées l'expérience dura huit ans psychotiques égarés propre délire fermés tout contact humain psychodrame aboutit parfois séances prodigieuses d'invention poésie malades retrouvent spontanément plus vieux archétypes plus anciens mythes terme scientifique servant désigner fous. 13. didier anzieu ouvrage cité check-upr médical fait aujourd'hui partie nécessités bilan psychologique devrait être considéré comme tout aussi nécessaire maintien santé l'équilibre n'existait jusqu'ici d'abord premier entretien minutes heure p£ychologue confierez écriture vue d'une étude graphologie analytique effectuée profondeur rendez-vous d'une heure demie étude morpho-psychologique ensuite faudra deux heures environ tests projectifs enfin cours d'un dernier entrecertes l'établissement d'un tel bilan d'approche relativement onéreux l'ordre 500 francs payables délais convenance bien entendu c'est qu'il nécessite au-delà rendezvous dix heures moins travail spécialistes puis réunion confrontation avant dernier entretien effectuée praticiens qualifiés s'agit d'une étude sérieuse aussi complète possible cirap propose bilans centre d'informations recherches d'assistance psycholo- jhneures dour aire bilan c'est temps minimum qu'il faudra réellement désireux mieux connaître mieux être mieux agir décidé tenter grâce ensemble méthodes éprouvées approche objective personnalité heures réparties deux semaines spécialistes passeront dix heures plus france centre psychologique pluridisciplinaire procède coordination techniques indispensable réalisation d'un tel bilan centre existe maintenant voici qu'il propose tien résultats investigations seron présentés commentés cet entretien terminal orientera nécessaire vers thérapies analyses appropriées vers techniques d'épanouissement pourraient paraître utiles tous cas tel bilan devrait agir comme révélateur aspects profonds personnalité conflits comme potentialités inemployées gique groupe médecins généraliste trois analystes neuro-psychiatre notamment psychologues psycho-thérapeutes diplômés socio-psychologues ainsi plusieurs spécialistes diverses techniques d'épanouissement relaxation c'est cadre recherches interdisciplinaires cirap établit check-up psychologique comme dit presse préférons terme plus modeste moins mécaniste bilan approche personnalité message exclusivement réservé lecteurs revue psychologie d'assistance fpecholocique eme aer paris tel 669 fendee-vors pie cclusirement per coreponcences per éphions heures levres tous fol
5,6,l'inventeur psychodrame grands thèmes culturels posé tout temps rapports génie folie moreno prend nettement position faveur folie positions outrées expliquent îles critiques qu'on adresse n'hésite déclarer beaucoup méthodes psychodramatiques aussi étranges fantastiques qu'elles puissent paraître peuvent être rattachées mœurs usages cultures anciennes elles déjà évoquées fables contes littérature universelle c'est ainsi méthode miroir décrite hamlet shakespeare celle double chez dostoïevski +le double méthode rêve pièce calderon vie songe changement rôle dialogues socratiques n'ai fait découvrir adapter buts thérapeutiques leurs inventeurs réels fait poètes thérapeutes malades mentaux tous temps 18. voici récit d'un psychodrame psychotique particulièrement remarquable sans doute mieux expiications au-delà paroles l'acte dit moreno récit fera comprendre qu'est psychodrame cas d'une psychotique l'exemple d'un psychodrame jeune psychotique linda trouvait nombreuses années clinique moreno beacon près new york cette jeune fille très peur pendant repas mangeait guère moreno explore situation psychodramatiquement jouant scène repas scène très simple six sept personnes réunies autour d'une table linda voulait parler manger voisine dit psychodrame linda passe-mol sel. linda fixe quelque chose répond monero dit regardez-vous linda d'une voix chuchotante apeurée répond voyez-vous moreno entrant complètement l'hallucination acceptant monde malade dit oui vois combien at-il linda trois moreno comment sont-ils habillés linda noirs cagoule sont-ils linda moreno moreno est-ce marchent plafond qu'ils représentent quelque chose linda oui haine peur mort. moreno est-ce seuls linda non chacun eat evant cercueil linda ells sont-ils vides ron moreno a-til gens linda oul. fait alors choisir linda groupe esprits haine peur mort puis fait placer devant linda objet représentant cercueil dit quy at-il cercueil linda vois mère cercueil mort. moreno fait alors jouer linda rôle mère couche cercueil mort linda s'étend yeux fermés bras long corps représentant repos serein moreno accepte monde délire s'adresse donc mère linda cercuell mort dit madame x.… désolé voir ici qu'est-ce arrivé mère linda elle-même répond d'un sépulcral morte massacrée fille tuée force contrarler donné maladie cœur morte beaucoup mieux ainsi d'ailleurs. moreno comprends ajoute linda maintenant mère cercuell morte aussi après m'avoir assassinée. moreno s'adresse alors linda linda maintenant vous-même. dit l'esprit mort joué malade schizophrène pensezvous situation esprit mort l'esprit mort répond linda trop jeune trop jolie mourir. moreno va-t-on pardonner péchés laisser vivre l'esprit retient plus. moreno l'esprit mort va-t-en esprit mort. renvoie scène s'en va. moreno tient toujours linda main dirigeant vers cercueil suivant dit linda qu'est-ce c'est linda c'est l'esprit peur. moreno dit linda entre cercueil montre-nous comment est. linda couche comme animal effrayé protégeant tête bras moreno dit linda êtes-vous répond tous îles malades tous hôpitaux psychiatriques moreno tourne vers l'ego-auxiliaire joue l'esprit peur dit qu'en pensez-vous esprit peur l'esprit peur aussi autre malade schizophrène répond montre seulement craintes qu'elle crée ellemême. moreno tourne vers linda est-ce vrai linda linda partiellement. moreno fait signe tout pondre d'une seule volx upe group chœur antique comm tree répond promettons t'aimer linda n'ale plus peur défendrons. cela répété plus plus fort moreno dit linda 5sors cercueil l'esprit peur peut partir pulsque allons t'aider. l'esprit quitte scène pémoreno fait lever linda cercueil crainte l'amène devant troisième cercueil dit est-ce c'est linda c'est l'esprit haine. moreno dit linda entrez cercueil montrez ressent haine. linda couche s'entourant bras jambes comme s'emprisonnait liens moreno dit êtes-vous linda linda c'est lorsque n'obtiens veux moreno quoi exemple linda lorsque peux empé cher faire l'électro-choc moreno esprit haine qu'est-ce pensez l'esprit haine encore autre malade électro-chocs c'est censé aider gens. moreno est-ce cela aidé linda avis l'esprit suppose sinon fait. moreno linda pensez-vous tout cela linda c'est traitement trop affreux inhumain. moreno est-ce qu'on jamais fait ici est-ce craignez qu'on fasse maintenant linda non. moreno at-il longtemps qu'on fait linda autre hôpital moreno promettons ferons d'électro-choc ici. fait geste l'esprit haine quitte scène linda semble s'être tout moins ici maintenant débarrassée hallucinations haine d'angoisse réussi cette séance entrer l'intérieur monde malade comprendre comment monde ressenti malade quelles craintes acceptée thérapeute groupe pouvait sortir domaine l'incommunicable entrer domaine communicablie enfin techniques psychodramatiques variées puisqu'on compte plusieurs centaines donné lieu role playing jeu rôle uti- lisé aujourd'hui communément formation cadres recyclage etc t'acceptons 14. psychodramatiste imite exactement sujet sorte celui-ci voit comme autres voient 15. sujet converse psychodrama- tisie joue alter ego double conscience 16. agit jouer propres rêves 17. sujet joue autres protagonistes propre psychodrame aloreno guvrage cité anne ancelin schutzenberger ité ger ouvrage
6,7,technique psychodramatique role playing permet tester îles capacités individuelles divers domaines date seconde guerre mondiale demande général jenkins moreno mit point test l'incendie permet détecter l'esprit d'initiative sang-frold futurs officiers test maintenant utilisé civil comprend cinq situations successives plus plus difficiles chaque sujet doit jouer résoudre fur mesure sauver enfants puis mère s'évanouit récupérer objets précieux prendre décision lorsque l'escalier s'écroule général candidats arrivent seulement franchir cinquième échelon considérés comme doués spontanéité d'adaptabilité transfert freud moreno oppose rencontre c'est l'interprétation données psychodrame non méthode elle-même moreno distingue freud analystes transrert oppose rencontre l'inconscient co-inconscient ou-les états inconscients sublimation crearivite spontanée etc diffilcile non-spécialistes d'entrer détail querelles d'école revanche passionnant d'opposer personnalité moreno celle freud campagnard tôt transplanté ville enfant commerçant ruiné veut faire carrière sciences pures juif prises poussées d'antisemitisme fils aîné d'un deuxieme lit dont demi-trere l'age jeune mère sigmund freud replie lui-même développe qualités aiguës d'observateur cellule vivante humains soimême archéologue reconstitue l'histoire partir traces actuelles drame expériences personnelles moreno déroulées autre domaine intérêt entants abandonnés jardins vienne prostituées societé tient l'écart personnes deplacees camp mit terndort experience psychiatre rupture medecine officielle d'acteur contiit théätre traditionnel mystique dehors religions établies entin expérience d'immigrant paraissent converger vers probleme rejet social moreno preoccupé tous ceux mal faire accepter d'un groupe noirs face blancs juifs face allemands isolés classe atelier escadriile… quand écrit l'individu épouvanté pulssants courants d'émoton société peut diriger contre blen difficile entendre accent personnel enfin quand lui-même administre l'inadapté c'est-à-dire rejeté jes ressources psychodrame réaction curieuse retire scène s'isole rapport courants psychosociaux qu'il vient déclencher adopte monde miniature acteurs spontanés point vue contemplation démiurgique manque rigueur beaucoup generosité monde plein vicissitudes lequel besoin d'une thérapie mondiale. ainsi s'exprime moreno veut technicien psychique l'élan messianique enfance jamais abandonné autant l'arsenal technique soclométrie psychodrame admis utilisé autant philosophie morénienne sous-tend rejetée moreno l'expression théories manque rigueur déborde générosité c'est toute innocence qu'il s'avoue magicien toute psychologie opérative a-t-elle but plus moins avoué manipuler hommes l'homme pense-t-il être cosmique plus qu'un être psychologique social culturel limitant responsabilités seuls domaines psychologiques sociaux biologiques vie fait banni bien partage responsabilités l'univers entier toutes formes toutes valeurs responsabilité aucun sens l'existence l'univers importante fait seule chose l'importance plus importante vie mort l'être humain comme individu comme forme civilisation comme espèce après volonté vivre schopenhauer volonté valeur welninger volonté puissance nietzsche postule volonté valeur suprême toutes créatures pressentent unit toutes j'en déduis l'hypothèse cosmos devenir représente l'existence première dernière valeur suprême seul peut donner signification valeur vie d'un élément quelconque qu'il homme protozoaire qu'on appelle prolétarlat éconamique représente qu'une faible minorité prolétariat plus ancien plus nombreux société humaine constitué victimes d'un ordre monde insupportable non thérapeutique c'est prolétarlat thérapeutique affectif prolétarlat thérapeutique composé personnes souffrent l'une l'autre forme détresse psychique sociale économique politique raclale religieuse grand nombre d'individus groupes potentiel forces d'attraction possibilités d'expérience spontanéité productivité beaucoup plus grand plus faible l'exige capacité consommation existe richesse émotionnelle pauvreté émotionnelle monde plein millions d'individus groupes isolés rejetés rejetants négligés ... destination l'esprit scientifique détruire croyances magiques payer cette destruction perte spontanéité d'imagination philosophie l'existence sans unité produira évolution cyclique revenons monde magique ancêtres créerons nouvelles bases magie nouvelle science elle-même amènera l'éternel enfant l'homme disparaîtra imagination science trouvera nouveaux moyens peupler l'univers créatures fantastiques doit créer elle-même michemin cette évolution ... psychodrame lui-même formes cette magie nouvelle 20. didier anzieu ouvrage cité 21. moreno ouvrage cité savoir davantage j.l moreno psychothérapie groupe psychodrames p.u.f. 1965 fondements sociométrie p.u.f. 1954. stanislavski vie l'art edition théâtrale 1950. anzieu psychodrame analytique p.u.f. 1956 psychodrane chez l'enfant p.u.f. 1962. schutzenberger précis psy- chodrame editions universitaires 1966. ceux psychodrame interesse groupe français d'études socio- métrie dynamique groupes psychodrame dirigé anne an- celin schutzenberger paul appell paris-xive tél 707.92.90
7,8,rts med sli ssèeses chen res ess eee zsss
8,9,conseiller conjugal psychanalyste psychothérapeute moraliste aide autres s'aider eux-mêmes liliane quérouil psychologue conseil vie conjugale n'est sans accroc suffit parfois d'un simple stoppage rendre harmonie photo richard frieman conseil conjugal deux mots trahir non définir fonction effet suggèrent aide sous forme conseil concerne liens entre époux s'il agit bien d'une aïde portée couples légitimes non d'ailleurs prendra jamais forme conseil visera maintenir pérennité liens tout prix quels termes désigner fonction existe répond demande formulée ceux affolés tension dramatique situation sentent plus capables résoudre seuls lers problèmes c'est répondre cette demande dix ans déjà a.f.c.c.c association française centres consultation conjugale entreprit former spécialistes problèmes couple existe maintenant centres consultation conjugale toute france quelques années plus tard m.f.p.f mouvement français planning familial orienté l'origine vers contraception dut tour répondre demande plus plus pressante membres former spécialistes non seulement problèmes couple famille général sous deux vocables différents conseil conjugal conseil familial dessein deux organismes cités très proche aussi engloberons-nous fonction l'un autre sous terme général conseil conjugal malgré imperfections semble plus plus adopté grand public terme adopté c'est peut-être cause ambiguïté méconnaissance conseil conjugal reste moins grande passe-t-il entretiens entre conseiller consultant sous quelle forme l'aide est-elle apportée quelle l'originalité conseil quoi distingue-t-il autres formes d'aide psychologique formation psychologique reelle conseillers conjugaux savent plupart consultants décident prendre contact lorsqu'ils bout force d'angoisse aussi autant faire peut rendez-vous sont-ils donnés date très rapprochée l'appel l'heure semble plus favorable afin perturber davantage vie familiale demandeur premier rendez-vous toujours abordé certaine dose anxiété fonction l'idée consultant faït conseil l'aide qu'il compte recevoir certains attendent recevoir aide matérielle genre adresses médecins colonies vacances d'associations diverses beaucoup espèrent conseil réponse question apparemment simple comme faire femme refuse recevoir mère d'autres enfin pensent qu'ils vont bénéficier traitement psychologique allez psychanalyser entendon souvent demander général consultant qu'une vague idée façon dont aide manifester n'est plus conscient propre attente sait confusément qu'il veut sortir l'impasse trouve qu'il fait premier sens rendant chez spécialiste conseillère alors faire comprendre type d'aide proposé premières phrases consultant expriment souvent bien qu'indirectement anxiété relative formation conseillère obtenir liste prendre rendez-vous suit téléphoner 336.20.40 paris connaître centres l'on peut trouver conseiller familial prendre rendez-vous faut téléphoner 508.43.20 paris
9,10,rem mem anne technique bonjour docteur prononcé d'un incertain fait pressentir l'inquiétude avoir affaire compétence médicale réelle n'écrivez rien peut cacher l'angoisse être pris sérieux interlocuteur distrait aussi quelques mots conseillère sujet sont-ils accueillis soulagement non seulement client rassuré d'apprendre sérieux formation très spécifique conseillers outre soulagé d'avoir compris demi-mot manifeste bien l'attention portée consultant encore bien plus rassuré pouvait savoir formation conseillers dure années fait jamais terminée puisque cultivé c'est l'être possibilités d'écoute d'acceptation rencontre autrui n'exclut nullement solide apport théorique plan connaissances psychologiques sociologiques psychopathologiques exigences temps disponibilité font pratiquement beaucoup plus femmes d'hommes peuvent bénéficier cette formation bien peut parler conseillers tant qu'il s'agit d'idées abstraites l'on dit conseillère dès l'on aborde cas concrets oreille attentive patiente fois tranquillisé points consultant essaie justifier visite souvent invoquant prétexte rapport lointain vrai problème contraception santé mentale conjoint projet divorce désaccord sexuel phase suivante tente d'exprimer comment ressent situation degré confusion récit donne idée l'intensité trouble émotionnel cette narration peu claire parce qu'il agit plus sentiments faits d'une importance capitale consultant c'est occasion unique jusqu présent s'exprimer librement sentiment d'être entendu conseillère c'est précieux matériel travaïl auquel tente donner cohérence derrière cris plaintes essalë comprendre signification profonde réactions protagonistes aussi l'attente réelle consultant demande implicite temps opportun aidera client comprendre aussi dégage récit faisant comprendre sous-entend mme antillaise d'une trentaine d'années envoyée conseillère assistante sociale premiers mots annoncer intention divorcer récit ensuite n'est qu'une plainte contre mari n'est plus depuis qu'ils france laisse seule gaspille l'argent s'occupe enfants suit description état mental pleure tout temps fait scènes mari plus courage tenir maison propre ordre pourtant heureux avant là-bas hors france croit bonne foi mari méchant qu'elle veut divorcer quantités petits détails apparaît vrai problème inadaptation vie française ici seule sans amis affolée sentir responsable enfants sans soutien famille comparaison vie mari paraît beaucoup plus heureuse sienne aussi isolé paraît content parce qu'il aime travail sait jocaliser mal accuse mari fil entretiens conseillère l'aida comprendre elle-même relevant phrases significatives discours découvrit qu'elle aimait toujours sou mari qu'en fait souhaitait quitter donna courage chercher s'adapter premier entretien decisif premier entretien souvent décisif évolution problème aussi qualité liens vont nouer entre conseillère consultant est-elle très importante bien dangers menacent cette relation premier c'est manque sincérité client met récit crainte l'opinion conseillère inter- prète attitudes prête pensées peur d'être jugé infléchit récit éviter rejet ainsi silence conseillère souvent mal interprété dites rien aussi pensez j'ai tort bien fichez hein alors indispensable d'expliquer sens cette absence d'intervention écoute respectueuse non refus d'aide contact encore moins critique comme consultants craignent être abandonnés s'ils expriment leurs sentiments réels sujet conjoint camouflent plus longtemps possible cette jeune femme après nombreuses protestations d'amour l'égard mari emportée rancune finit trahir aussitôt troubla pensez affreuse allez refuser m'aider n'est-ce assurée qu'elle rejetée blâmée osa donner libre cours déchaînement haïne montrer sous qu'elle appelait plus mauvais jour conscience d'elle-même augmenta défenses diminuèrent assez amorcer évolution l'attitude inverse menace également l'établissement bonne relation crainte d'être pris mot bien menaces divorce presque toutes idées vengeresses violences verbales destinées faire tomber tension interne aussi l'angoisse augmente-t-elle l'interlocuteur prend sérieux c'est cas cette célibataire ans tarissait critiques contre mère tyrannique autoritaire indiscrète répétait souvent îrop souvent qu'elle allait prendre appartement laisser mère critiques faire vie anxiété grandissait manifestement temps agitation retrouva calme lorsqu'elle sentit conseillère comprenait l'ambivalence sentiments envers cette mère qu'elle n'avait jamais quittée jeune femme reconnut alors qu'elle n'affirmait violem- ment désir d'indépendance sous pression amis très peur conseillère croie projet enferme ainsi décision pré- maturée conseillère
