,page,text
0,1,esponsable niquésblis quiz mois chercheur idées psychologie expérimentale vie moderne psychologie clinique université nouvelle théorie dajourdhy novembre 1970 f.n quel degré sociabilité jean piaget naissance l'épi jacques mousseare0l0gie génétique mort bonnet michel gauquelin forme jean chaguiboff publiphobe .chez publicitaires sarah peltant l'angoisse clé maladies psychosomatiques jacques arnaud psychologie animale guerre n'est fatalité biologique sally carrighar frontières psychologie pârapsychologie science occulte science expérimentale emilio servadio l'actualité pro edite centre d'etude elysees paris bal 53-23 librairie jacques lacan dernières parutions échos informations cinéma passion
1,2,etes-vous sociable réponse peut être oui etre sociable effet c'est être apile vivre société tout être capable vivre société non seulement devrait renoncer tout contact autres interdirait toute vie familiale professionnelle pourrait développer facultés intellectuelles donner réponse besoins affectifs l'homme effet nécessité absolue s'adapter milieu physique social adapter c'est donner satisfaction exigences milieu avant toul être mesure d'avoir échanges d'entrer communication autrui rejeté totalement collectivilé cause impossibilité absolue insérer pourrait survivre seulement fois admis tout homme sociable faut bien reconnaître tous faune las manière pports autrui cer- quel degré sociabilité élisabeth gérin ment l'inverse d'autres réduisent minimum contacts sociaux recherchent solitude seule pensent-ils offre vraie liberté peut établir degré sociabilité d'un individu fier uniquement l'apparence l'agressivité peut être aussi bien caractéristique non-sociable s'oppose constamment autrui sociable combatif cherche tous moyens compris l'opposition entrer contact autrui quiz permettre faire point présente vingt-cinq situations c'est-à-dire moments très précis vie courante cours desquels pourriez être rapport autrui d'une façon l'autre devez intervenir situations très différentes unes autres sans aucun lien entre elles laissez effrayer diversité caractère insolite certaines possibilités chaque fois s'offrent naturellement pourrait envisager bien d'autres réactions c'est parmi celles-ci seulement devez choisir réponse rapproche plus manière habituelle penser dire agir soulignez numéro correspondant réponse choisissez quiz formulé masculin concerne également homme femme voici situations proposées soir d'une journée particuliè rement chargée disposez d'un instant totale liberté pouviez l'employer guise iriez faire tour rue seul conjoint consacreriez cette soirée lecture d'ouvrages historiques scientifiques psychologiques ceux n'avez temps lire d'ordinaire gov o0o o0o 000 oo0o 18886000 000 000 30000000 00q qqq q0q tor o0o o0o o00o o0oo oo0oo voient vite 000 o0o o0o o0oq ooq roi cons naer 0000000 d0000000 900 frs 00000000 00000000 0009 000000 000000 o0o enez faites tervenir ment cour nel proches inconnue retrouv ports vécues telles méles oise heur qu'elles décrites ici rendriez chet muitipies oule n'est facile d'imaginer dont depuis 10n£ plan autrui qu'ils trouvent jhanges trouvez circonstance sem- sans nouvelles lités d'équilibre d'én possibi- blable lisez attentivement mettriez l'ordre épanouisse- cription cas proposé cinq papiers personnels
2,3,ssiériez devant ites prendre décision éter croisd emire avc question très pris xplicaqt vote solre conjoint sait ons jus umite jller com capule pre pnseiller ans possipens vez successivement cons taté sibiltg loute vou tertros onnez com oùs int rsonnes sans avoir sert earçon atlon man int uelles murs pention suivre nds ques manden jreonise ter j'inten ous entrez qu'il lrouvez dernjg tés ati ment ela sel conseil ami sonne renseipn café minute eur geman srande confiance assise vor men visite vou seul port table per valns dors préparé décision seul près atréable don pre personne surtou soirée tra parle jez couts réu- primordi interroge loujnure inatteng lle nel savoir tdiale qua grett bienvenue vois icale pou admirez personne ité eau able ion joutes petsonres pré plus receyoÿr uissiez nseñ gaie conjoint lilude mér invités çentes enez décision seul bonte bonne humey anar ite paites paicitant d'avoir logique indre poltesse l'esprit prati venir assez atique fier pulssi ans sens sais projets modi pri groupe pts tra atten sns voyage jte pavité constatez devant ane cpuis longtemps rouves ape iment sation traîne celui location dlaces acurité sociale cons filles nettemer enr one visiblement désolé fran inté emin plus jeunes ulent d'un sujet etsonnes aussi connaissez bien hier savol draloneé cette attente taue psychologie stire poli interv acon- enez jour venir his tacontez ceux d'eux coup parte façon très vivan tendue tourent incidents discussion gire srèle produits dernières fois intéressé idée emment semble drôle attendu devant gui stmble astucieuse posez cem arlez pluie beau chet question avoir complé eñtretenez per d'information temps ... aiguiller mêlez très naturelle arrangez alguil sonne plus proche ment discussion sans cher onversation sujets motif démarche rembourse- cher justifier intervention ous connaissez très bien ment prestations maladie -dé- éxcédé longueur dis- terrogez personnes part vacances ... cussion bruit changez sent vie profession blongez jour- compartiment présentes dernières vacances nal acheté prévi réfugiez dis s'offrent nelle l'idée d'in- sion cette atteñte ture contemplation 5il vient dernandez voisin sage défile sous yeux pourr tervenir souffrez aucun dem déjà férent entoure réactions renseignement seulement ment froid général permettra d'engager ami demande jon hésite quitter emploi réponse ession- discussion pré j'hésite quitter emi ancer cours dur véaré ap- demandez tition m'offre aucun avenir égaré signer situation 456 nser dire ville sentes dicer afin proches nuit allez rédiger loyés dites employ souci spondant inconnue risquez fort accru nombre c'est question nee retrouver chemin ... compétents amis mascul l'hom posées peer guise dan5 joie aistorit ologidau pla angoissé consult jon£t quitte pre sens v05 ailes confiance orlentatio
3,4,cela dépend qu'on dire cadenux mariage ferez l'avis majorité contre tout changement ral s'adresse cadeau peut-être très beau oublie souvent parole jour plaira d'argent silence d'or you xiv deviez passer soirée xii prévu unc excursion solitaire dont prévu l'em- petit groupe jour congé ploi temps quelqu'un sonne l'heure départ pleut porte ps5 verse personne présente semble allez ouvrir sourire très déçue lèvres visiteur doit sa- voir qu'il dérange mac allant ouvrir deman bar 099009 dez vient lard pré- der 0900007 parez déjà l'excuse per- soin meltra recevoir n'allez das ouvrir cette perd sonne demander l'avance pouviez rece acceplez voir échange prêter n'allez ouvrir aucune lorsque bes siens raison modifier programme l'invilez venir che soirée prendre qu'il désire ouvrez joie cherchez bienvenu présence rail suivant cas l'intér peuplera soirée l'amuser rendre service refusez certain caissière banque dont reverrez déception peine pro- fidèle client fait pre posez partir quand part temps autre préoc- trouvez excuse pourquoi ferait-il beau cupations aujourd'hui fuser car n'êtes très tout l'heure demandé voudrais changer choix disques déclarez n'est fils d'école qu'en pensez-vous livres l'état maté partie remise cela per- répondez riel sportif photo mettra mieux préparer cette pourquoi voudriez-vous changer sortie d'école dites quand décision z24 tout qualifié xviii venez d'éprouver prise faut conformer donner conseil grande déception sentimentale pronous partons choix d'une école très im- fessionnelle ... pouvez disposer déclarez partez portant ... temps comme l'enten laissez autres discuter quel souci vais faire tour dez entre écoles quartier savoir voyez plus monde pos déclarez conformer s'il place sible cela remonte d'école partez seul endroit personne connaît partez voyage l'étranger préférence groupe dès cela possible changez rien nière vivre l'on fait quel allusion s'est pass démentez aussitôt trouverez raison faire séjour chez parent ami raconteréz sans doute s'est passé déformant vérité xiii désirez offrir cadeau jeune homme vient annoncer fiancailles pliez puisqu'il faut convenances mondaines commandez téléphone vase correspond somme désirez consacrer cet achat choisissez objet plaît beaucoup portez vous-même destinataire réjouissant l'avance plaisir donnant détails vie réfléchissant possibilités modifiez parcours habibudgétaires goûts tuel maison-travail afin passer demandez qu'offrir pesant devant l'hôtel descendue contre probable éventuellement l'apercevoir déciderez qu'au interrogez personnes dernier moment ... l'ont rencontrée avoir quel4 documentez auprès information inédite d'amis goûts désirs intéressé tout confiancés profitez pre cerne lisez attentivement mière journée liberté articles presse locale choisir cadeau faire envoyer magasin accompagné d'une carte vœux chaleureux réprouvez cette xvi personnalité monde scientifique culturel très célèbre venue inaugurer monument ville trouvez ridicule battage fait autour cet événement local craignez dire expliquez collègues membres famille ... pourquoi cette personnalité acquis telle renommée citant travaux œuvres xix invité réception rendez compte arrivant connaissez maire maison gêné mal l'aise quelques minutes discrètement entrez immédiatement per lation premi res sonnes rencontrez circulez foué quels découvrir invités ent pourriez avoir professionnelles communs rapprochez resle part xvii quelqu'un con naissez peu demande prêler livres disques matériel habitude sportif photo
4,5,emble peu solitaire riant puisque dis raisemblablement pose ion pose p2s nest n'avez carte d'invitation ète seul chez vois lès-midi appliqué coûté parce qu'elle gaucoup d'attention décrochez demandez l'objet communication convenez l'heure rappellerez fois tranquille hésitez répondre fois entamé conversation ... agacé décrochez téléphone sans répondre raccrochez aussitôt attendez très longtemps avant saisir combiné personne insiste c'est qu'elle quelque chose d'important dire cas contraire pour.quoi déranger bondissez vers l'appareil conversation animée personne bout fil venez d'éprouver ption sentimentale pro. pouvez disposer nps comme l'enten plus monde pos remonte -ez seul endroit xxi vient redonner luà aussitôt mer raison salle cinéma averez arent venez suivre film éjour che chanson avertit triees vont circuler quéter faveur d'une vieillards ous donnez rien estimant tion récer sant venu cette salle compte mail dour distraire non nnaisse rité entendre appel cha j'ais pari donnerez rien êurs béné ues péévoies pouvez qu'ils font cet argent édiate res solit description vie vez versez vieillards renco eoule plateau selon moyens auon ésente 150 isque présen ulez 2v7 elol0 tout monde donne vo® invi aussi montant ela dax sûüre ami dépend d'ouiler xxiix rclati ppre jours vacances passer açon a'une montagn dan uit ans public première séjourne blessé infustifiée per vou amer psrsonne arrivant connalssiez revoir décidez .us dit ublle soir déjà fait connaissance bon nombre pensionnaires lesquels comptez bien rester relation très bons termes personnel l'hôtel quelques station pouvoir revenir -trois jours amis l'impression maintenan bien connaître revers posez n'avez fait personne habitudes imm der personnes cilement lation aîlre conn entrer elles clourei événe d'un enleve pique mue l'op nion télévi fant rem pémiss mère venez pat rendre sion ravisseu dot supp pre mal émeut parler ainsi riz connaître confiance dui cela cst connaitre resultats voyez page 3.4-10 centre sélection promotion rue baudin 92-courbevoie tél 788.39.71 propose cycles perfectionnement pratique l'interview -20- novembre 1970 expression tit écrite orale 7et18 décembre 1970 lrahle ulez différent one hamcreréanem
5,6,début l'été dernier deux lundi suite pendant plus d'une heure téléspectateurs découvrirent leurs écrans homme âgé alerte discourant milleu l'invraisemblable désordre bureau nul n'est autorisé déplacer papier dossier livre jardin petite maison banlieue genève tête couverte d'un large béret basque pipe constamment fichée coin bouche confiance écoutaient annoncé grand psychologue suisse illustre milieux scientifiques monde entier majorité d'entre n'avait pourtant jamais entendu prononcer île nom jean piaget c'est caractéristique civilisations crise découvrir sein l'existence penseurs sociaux étudient l'homme condition monde porter intérêt peu d'années encore physiciens informaticiens biologistes généticiens chimistes seuls susciter l'intérêt public public tourne vers sociologie sociologues vers psychologie psychologues indication préoccupations monde signe temps plus ans jean plaget devenait célébrité parmi téléspectateurs petit nombre souvenalent professeur 1952 succédé sorbonne maurice merleau-ponty moment celui-ci accédait chaire collège france pendant dix ans plaget arriva chaque semaine petite valise toile bleue d'une main tirant pipe qu'il tenait l'autre s'installait ôtait béret gardaït pipe faisait cours puis repartait train l'avait amené genève reconduisait vers travaux équipe chercheurs jamais véritablement compris comment appelé succéder merleau-ponty effet pendant tout temps celui-ci professeur sorbonne critiqué pensée psychologue épistémologue suisse parmi anciens élèves piaget faculté lettres sciences humaines paris trouvaient juin dernier devant poste télévision devait avoir certains 1953 n'ayant noté changement titulaire chaire phllosophie expliquèrent fin d'année copie d'examen quel point piaget n'avait rien compris rien comme prouvé mer8 naissance suisse romande leau-ponty j'ai d'ailleurs ajoute get humour majoré notesà. philosophes pendant longtemps dent contre piaget lis pardonnaïent d'avoir déserté philosophie alors qu'il commencé être leurs consacreral vie philosophle but central concilier science valeurs religieuses avait-il décidé jeunesse sous conduite logicien arnold reymond professeur neuchâtel destinait poursuivre carrière essentiellement philosophique spécialisant philosophle biologique 1925 nommé chaire philosophie neuchätel qu'occupait maître reymond lorsque celui-ci appelé lausanne tandis qu'il fait études publié premières œuvres philosophiques commencé enseigner pensée jean piaget évolué 16e insuffisances ditionnelle fui es0 successivement occuper plusie alla res baptisées philosophe chai plus plus don celle-ci question mettre pie gner tout autre chose psych ensel mér l'épistémologie deux disciplines ologle peu efforts tendu due men philosophie proprement dre cours siècles philos domaine constamment ophle l'origine cel sciences rappelons sans inst aj0 simplement titre d'exemple ser physique relevait falt occupations jusqu époque pré cente philosophie pensait conse moins attributions prie esi comme attribution essentielle scienes connaissance c'est-à-dire l'én témologie jusqu piaget justement comment sait-on comment salt-on l'on sait cette expression posant problème validité connais sance rapport réel comment sait-on l'on atteint réalité seulement apparence cette réalité aspects cette science connaissance fondamen tale parce qu'elle assure -et rassure savoir supérieure toutes disct plines parce qu'elle recouvre relevait réflexion l'homme l'hôomme silence cäbinet jean piaget fait science expé rimentale philosophie soudain trouvait peu plus dépouilliée voilà philosophes pouvalent aisément pardonner ancien collègue genève c'est aussi niveau plus élevé discussion entre chercheurs animés passion vérité l'objet débat entre l'épistémologie classique l'épistémologie périmentale fondée piaget débat dure depuis quarañte ans maintenant quelles conditions a-t-on ile droit parler connaissance jean plagét piaget sagesse illusions dela phitosor phie p.ü.f. paris 1965 piaget ouvrage cité philosophie s'appuyant vilaux piaget exp ique lui-même illusions philosophie cette époque intention initi ience plus moins créer sorte genres distincte science justifierait ainsi dualisme bergson vital mathématique ... phile4 épistémologues rattachant stémer sophie reprochent plaget d'appeler logic quelque chose n'en nodèrne selon sens philosop donne mot cette opposte l'épistémologie piaget l'épistémo péisions philosophes lire attentivement données page 13-14 ale
6,7,écles maine con ine rnm rappelons scie titre ges isis ysique relevait jusqu époque sophie pensai poque atrrpit utio tributions ssan essentielle nce c'estèdire las role piaget justem tte comment sait-on expression posant validité conn ipport réel ais lomment atteint réalité apparence cette aspects cette connaissance fondamen r'elle assure rassure jeure toutes disci qu'elle recouvre réflexion l'homme silence cabinet fait science expé philosophie soudain plus dépouillée- voilà philosophes pardonner science ainsi pen p25 dee son. réponse n'est êtres question spécu aul.pe totalement ques pom grfication- cantonne pale secon deux buts don ple 1050 donnait encore début but connaissance iècle cordination valeurs but pitosophe affirme piaget valeurs cette importante car pormi£ sens monde l'ac savoir vie philoso tion raison d'être doit phie reconnaître tout homme incurable écrit-il conviction incomplet ment non our hes5 œur philosophes effet temps qu'il compartimentait ropre esprit commençais goutetil sentir qu'une idée n'est qu'une jdée qu'un fait seul science moderne veut tre faits théorie sance épistémologie réflexion science ellemême être solide être digne filles différentes disciplines scientifiques devait également s'appuyer faits cette idée dirigé vie l'œuvre jean piaget longue hesitation entre philosophie psychologie plutôt désigné connu comme psychologue sans doute estil pius aisé faire comprendre activité titre celui plus abscons non-spécialiste d'épistémologue aussi exact premières questions s'est posées l'épistémologie expérimentale portaient façon dont l'individu appréhendaît monde quelles étapes naissance stade adulte franchissalt cette appréhension monde première forme connaissance l'individu comment développalt l'intelligence humaine etc toutes questions relevaient psychologie chaque philosophe l'époque piaget pensait vouer propre existence philosophie devait cher quelque peu comme collègues têtte étape apprentissage encore question sophre écritil d'opter entre psychologie mal role choisir sérieuse fallait das semestres psyc réponse cependant détour psycholo piaget ouvrage cité besse illusions pen psychologie approcher sitive logie exp piaget ité vrage cit philosophie massie gta pyrenees
7,8,mentale beaucoup plus long qu'il l'envisageait l'origine depuis quarante ans plaget fait psychologie multiplie domaine découvertes essentielles c'est nom l'épistémologie qu'il toujours gardée ligne mire hommes connaît mieux travaux savant iranien morteza nassefat confirme piaget écrit-ll entrepris longue belle série recherches psychologie préparer terrain propre l'étude certains problèmes relatifs théorie connaissance commençant présentation piaget combat philosophie épistémologie expérimentale insistant l'arrière-plan épistémologique travaux psychologie parfaitement conscience situer l'œuvre pensée savant suisse vérité piaget affirme vocation experimentale psychologie cette affirmation posée devons oublier psychologie laquelle piaget consacré tant temps d'efforts peu peu écrit-il senti devenir psychologue métier bien intérêts centrés problèmes l'épistémologie non plus philosophe momentanément occupé vérifications psychologiques avant pouvoir venir esquisser épistémologie génétique temps-là psychologie cherchait encore revendiquer place rapport philosophie recours psychologie philosophes lorsqu'ils penchaient problème connaissance connaissant n'était démarche entièrement nouvelle s'agissait d'une psychologie entièrement issue l'introspection constructions subjectlves plaget lui-même raconte congrès tenalt barcelone lut carte d'un collègue espagnol senor cathedratico psychologia superlor pourquoi supérieure demandat-il parce qu'elle n'est expérimentale répondit professeur espagnol temps changé jean piaget contribué beaucoup l'évolution psychologie sclentifique passion plaget faits l'observation falts remonte petite enfance ans lorsqu'il publia premier article page d'observations concernant olseau albinos pris amitié conservateur musée sciences naturelles neuchâtel celul-cl échange menus services l'enfant lut rendait l'initia dla malacologie fit don coquillages apprenant identifier classer selon normes établles sclence naturelle vie scientifique ainsi début précoce impression plus confirmée lorsqu'on découvre fin adolescence jeune auteur publié plus vingt titres dont certains traitaient sujets aussi austères esquisse d'un néo-pragmatisme réalisme .et nominalisme sciences vie aujourd'hui ans jean piaget donné science plus quatre cent cinquante ouvrages articles -et communications l'un plus féconds grands noms science contemporaine lorsqu'on lit ouvrages frappé l'érudition encyclopédique l'auteur logique mathématiques biologie cybernétique informatique sociojogie jean piaget assimilé travaux théories principaux chercheurs différentes disciplines réfère aisance sans références alourdissent propre exposé nuiseñt clarté cette immense œuvre écrite trouve fois ouvrages réservés spécialistes d'une très haute technicité ouvrages d'une grande jlimpidité c'est derniers empruntons citations jean piaget dédaigné d'être vulgarisateur pensée expériences essence l'épistémologie scientifique doit d'être pluri-disciplinaire sans doute n'est-ce moindre difficulté celui embrasse cette voie recherches travaux qu'il poursuit dirige centre international d'épistémologie génétique qu'il fondé 1953 genève jean plaget s'entoure spécialistes viennent monde entier cybernéticiens logiciens biologistes psychologues sociologues vus l'écran télévision juin dernier plaget doit pouvoir dialoguer chacun d'eux orienter coordonner efforts tous demeurer île patron prodigieuse culture qu'il amassée sans cesse long d'une vie consacrée d'abord biologie l'enfance l'adolescence conduit grade docteur ans puis philosophie prédominance logique enfin psychologie expérimentale tout appareil mathématique statistique neurologique embryologlque fait animateur unique c'est paris activités plaget prirent l'orientation existence lorsque jet sophe admis qu'il devat détour psychologie aire rapide passage d'aborg psychologle zurich dratop clinique psychiatrique aboutir enfin paris psychologie expérimentale célèbre travaux rend alfred échelles d'intelligenc premiere etape decouverte mentalité infantie comme expérimentaliste piaget voie paris l'analys réponses données iles enfants problèmes raisonnement inter geant enfants eux-mêmes pren conscience ceux-ci raisonnent selon logique propre aboy tit très vite découverte d'une mentalité particulière pelne entrevue psychologie s'agit l'explorer comprendre com ment débouche mentaltg adulte programme recherches psychologie enfant sine auquel selon propres aveux chercheur suisse comptait consa crer quelques années vle dure depuis près d'un demi slècle 1922 1930 l'institut jean-jacques rousseau genève piaget explore pensée infantile spontanée entre ans 9-10 ans comment il'enfant raisonne-t-il commeñt voit il'le monde apparaît vite l'enfant logique sûre lie tout tout n'importe quoi cette pensée ira tionnelle imprévisible suit l'inspiration moment sublt influences immédiates jeune enfant tend outre conférer existence maté rlelle rêve sommeil joie chagrin donne âme vent arbres ainsi l'enfant apparaîtil soudain comme être ipart 101 comme l'adulte miniature auquel l'assimilait plan moral réactions empreintes réalisme respecte aînés tice conception rétributive punr tion jugement fonction actes non intentions dés époque jean piaget fait conne comme grand expérimentateur aussi très vite cité cons trouve dépis morteza nassefat psycholo témologie jcan piaget bulletir chologie 1969-1970 4.5. philoto piaget sagesse illusions phie 21. dela zoologlé 10. malacologie partie s'occupe mollusques neuchite jean piaget 189 père professeur letter soie titre thèse doc logie logie jutroductions iala sanne voir psychologie nue marie-josé houareau est-ce l'arti men
8,9,rand pédagogue car début bouleversent yvel matière d'éducation anse one ons dent îul vaudront plus iqu 'at missions postes oiy anis officiels tels lane one bureau international enta bor chercheur s'en j'afr els gédue obsession l'épistémologie intel ejdu gent essentielle cette période sence pet our bien comprendre penet drationnelle égocentrique l'en ape étudier racines chez erte vent l'acquisition langage inf l'in reprend cette nouvelle tâche ant empres enfants deux filles ans petit petit jean piaget veut remonter plus loin pos- l'anaj 'ouve ele vers source connais enfants pce pius exactement vers l'origine ement mécanismes permettent mêmes êrro gnnaissance comme voyageur s'ef raisonn pre remonter vers source st. ere force déter résult propre °l0n qeuve veut reconstituer genèse trouvaie crise fan forte raison écouve c'est ainsi qu'il faut comprendre mot théories héories pes rent lum génétique l'expression éplstémo- tnivers aprè géfgns msioie ologie pone hogie génétique omprendre om- anse mentalité reponse recherche question posee enfant kant ciallsé l'épistémoleus siècle autres pourra \sf emolo proi püurra satlsfal ogle très projet cette géographie sep propres aveux comptait consa 1ées vie demi-siècle itut jean-jacques piaget explore spontanée entre omment l'enfant voit-il monde l'enfant tout tout pensée ira suit l'insit jes influences enfant tend existence maté- souven res œuvre hommes science leuse d'une régi mêmes falsant leu leut propre pratique objet réflexion c'est claude ber chseer mérarchiser nard iñtroduira classer différents domaines problématique formes biologie c'est roman jakobson enr l'épi plus pertinemment pensé logle antegpone pratique linguiste philosophe d'une querelle entre diférenes accepne réussit l'entreprise épistémologique tions mot épistémologie alnsl condition pensée estil l'épistémologie génétique totalement accordée rythmes plaget laquelle philosophes sclences dont parle futile cas prochent n'être qu'une phllosophie bachelard considéré comme fon sciences s'ignore s'autorisant dateur épistémologie contemporaine acquis incontestables bag faux croire toute la.psychologle livrer niser fou savoir extrapolatlons pout 0rg3 deer velle architecture formes savoir snéralité laps spiténale faut trouverait 585 tlon pose savoir travail sclentifique préci préférera vastes synthèses l'épistémologie philosophes kant particulier posé question fondamentale comment connaissance estelle possible prenait connaissance comme fait jean piaget voit processus épistémologie génétique établie partir cette conception révolution mire vient plus plus aujourd'hui considérer connaissance comme processus plus comme état écrit-il 15. lorsqu'il veut demonter remonter processus piaget n'est recherche d'une étape plus importante qu'une autre d'un moment expliquerait toute l'ina cons- telllgence humai ell imeil gence humaine qu'elle âme vent trult cours âges maintes fondre celle pose l'épls- foueut amen nfant apparait fois dissipé malentendu encore philosop don l'ambition taire the part nor tout récemment petit livre témologle nouvelle lence sance dur togle savoir miniature uquel introduction œuvre affirmer nécessité remonter genèse signifie donc nullement accorder privilège telle telle considérée comme première abpeler parlant c'est contre rap définie existence d'une construction inque surtout insister sut comprendre raisons importe conthier paris 1970 jean vient juste publié étique bet l'epistémologie gén 011. sais-je paris 19701 tat méran imen nsù mécanismes faut connaître por reipaux ouvrages piaget rap période travê adiel nice pensée l'enfant delachonse phi someys neuchâtel jugement présent chez l'enfant éditeur 510 001 paris tation monde chez l'enfant fai méme causalité physique chez pins arte pif fan 1930 iteur quvrages jean logie 18iress denogge reset psychologie dpistm aan
9,10,jageu lanassance hapétemologe genetique hases moins maxltoutes mum possible étudiant nourrisson après avoir observé l'enfant jean plaget explore moment 185 phases psychiques organiques fait étroitement imbriquées ————— deuxieme etape l'observation nouveau-ne remarquable découvertes fondamentales qu'il réalisées domaine l'ont partir trois enfants seulement certains analystes œuvre cet échantillonnage limité sujets faiblesse cette phase recherche conduit psychologue suisse distinguer six étapes développement l'intelligence enchaïnement continu conduisent nouveau-né réactions réflexes instinctives dont doté l'hérédité l'espèce l'intelligence pratique afin clarifier l'exposé rappellerons seulement liste six étapes dont l'analyse détaillée fera l'objet d'une prochaine étude trois étapes précèdent l'acquisition langage stade réflexes stade premières habitudes motrices stade l'intelligence sensorlmotrice pratique antérieure langage puis partir l'apparition langage distingue successivement stade l'intelligence intuitive stade opérations intellectuelles concrètes stade opérations intellectuelles abstraites c'est vers qu'apparaissent chez l'enfant comportements annonciateurs l'intelligence selon l'acception usuelle mot comportements possibles tout s'est déroulé avant l'exercice réflexes organiques sucer pie cts sein deux actes nlers constitution derson pouce cures jjonditionnés sucer heure couverture téter fxes l'intégration réflexes conditionnés ensemble sensori-moteurs coordonnés fait sucer pou ans sensorlelle sucer land l'action motrice porter pouce bouche sucer nee n'osl instinct important l'œil contre objet hochot oxemplo dont paro onsulto main réciproqe regurd devlont capable diriger vers l'endroit l'espace parcourt main environ l'enfant falt preuva d'intontions devient manifeste qu'il veut quelque chose exemple tire couverture rapprocher hochet n'est plus simple réflexe l'instinct l'habitude l'intentionalité d'un geste créateur caractérise l'intelligence cette intelligence purement sensorlelle motrice s'appule représentation but attelndre exemple tirer ficelle fera sortir hochet invisible caché sous lit langage deux phases ultérieures deviennent possibles passage stades précédents venons parcourir brièvement point vue épistémologique observations nourrisson d'une immense portée ressort vie psychique développe échange constant entre sujet milieu jean piaget insiste double orientation cet échange d'une part sujet agit l'objet assimilation incorpore assimile l'expérience propres structures comme l'organisme assimile mets sous forme glucides lipides d'autre part l'objet agit sujet accommodation l'expérience n'étant toujours identique structures modifient fonction celle deux actions non seulement interdépendantes elles lleu temps artificiel séparer l'une l'autre l'équilibre rarement dire jamais atteint revanche l'adaptation dialectique sujet l'objet tend vers l'équilibration processus d'équilibration explique l'enrichissement l'un l'autre réciproquement piaget offre solution dualisme philosophes stade travaux jean piaget retrouve préoccupations fondamentales jeunesse souvenons-nous jeune philosophe l'ambition réconcilier science métaphysique cette opposition cachait débat plus général omniprésent philosophie classique entre sujet l'objet querelle dualisme long siècles cherché affirmer primat l'autre primat l'objet primat sujet jean piaget estime avoir l'observation l'expérimentation dépassé débat montrant quel point artificiel vérité qu'il objet sujet mals couple sujet-objet dominé processus l'échange dont deux termes tirn l'objet n'existe donc mesure ost assimilé ang ture préexistante sujet strue développe pouvoir d'assime sous pression partion l'objet s'accommodant jorltés coup l'orgueil ensuite celui phllos ence étalt rabattu sclence lon sopile cru particulier logique lemps mathématiques qu'elle attalgnat choses sol fait plaget réalité observée n'était indépendante sujet observaft n'est seul premier révélé relativité connalssance sclentifiques revanche joué rôle important expliquant pourquoi cette relativité pouval désarmals exister plusieurs géométries plusieurs mathématiques sans .que l'es prit humaln totalement dérouté clair écritil l'épistémo logle veut borner spéculation pure doit donner toujours davantage objet l'analyse étapes pensée sclentifique l'explication mécanismes intellec tuels utilisés science verses varlétés conquête réel théorie connaissance donc essentiellement théorie l'adaptation pensée réalité réel recule mesure science progresse l'histoire pensée scientifique moins construction d'un édifice immuäble parce qu'achevé lente conquête l'objectivité elle-même sans cesse remise lle métier fabriquons monde découvre science vertu principe qu'il réalité dehors réseau structures mises jeu sujet observant l'échange sujet-objet défini l'épistémologle génétique susceptible dévelop pement indéfini vers ile haut jean piaget développé conséquences niveau épistémologique découvertes psychologie couts troisième étape travaux dont début situe trois quatre années précédé seconde guerre mondiale réa euchâtel 1936 delachaux nietslé neu sième volume faisant partie celle publié 1945 éditeu formation symbole chez l'en ant 18. évident ricnces piaget résultats acqui elles feront l'objet d'études taillée prochains numéros mme prétendons ici situer l'homm l'œuvre ensemble dégag grandes lignes directrices 19. delt-on penser déplorable sit enfants-loups l'histoire ilieu connaître s'explique pauvreté l'enfant-loup développe hors humain l'action l'objet frus 20. morteza nassefat étude citée snolo8té 21. piaget psychologie gonthier paris 1970
