,page,text
0,1,hentes avoi ragin mnt souris
1,2,"orpi rts ete eli 1e2 apt age lab voici vingt l'histoire trônera bibliothäqtlé servira tous jours 1986 dém gaule celtique francelde napoléon c'est production andez recevoir îer tome gaule romaine france ————î gaule chrétienne bourgeoisie mem mem mmmemœmæmee royaume france france napoléon eon nii france cathédrales france francede delalll° république france guerre cent ans france franco ranarcean.+ grande guerre france l'entre-deux-guerres bon lecture gratuite renvoyer cal envoyez-moi examen gratuit pendant 114 champs-élysées jours volume révolution paris france renaissance livre nnrenrr prix 1,7 collection not plaît pourrai l'acquérir sice livre port m'inscrire convient cadre cette rai retournef france collection recevrai vol devoir uerres religion rec volume tous deux sans rien ost tenyon france combattante réglerai seulement réception sans avoir jus france louis xiv enaaan——— prix tifier refus france louis xiv france bien entendu libre d'interrompre france lumières iv° république livraisons dès voudrai simple lettre france révolution france actuelle nom prénom adresse france italie s.r.l suisse belgique culture art loisirs compagnie editoriale culture art loisirs académie livre librairie via carlo capelll 1009 pully rue palals-st-jacques 1:25 rue louis-le-grand torino tournal signature"
2,3,——— ——— psyanorie monde d'aujourd'hui comprendre savoir agir février 1971 chercheur idées frédéric skinner pionnier l'enseignement programmé jean chaguiboff psychologie différentielle aspect physique trahit-il principes morphopsychologie lpar michel .gauquelin enfance adolescence la.lecture avant l'école plus passionnant jeux françoise gauquelin médicaments l'esprit victoires posent question morale jean-pierre coudray psychologie animale l'éducation sarah chimpanzé apprend langage hommes david premack psychologie clinique ———————————— psychologie avancée mémoire eidétique étrange capacité cerveau charles stromeyer iii vie moderne .lj'ai l'un 6.500 000- chiens france l'animal plus familier aussi plus mal connu sarah peltant entretien professeur pierre- paul grasse l'académie sciences s'entretient françoise gauquelin jacques mousseau librairie chanzeaux village d'anjou laurence wylie journal californie edgar morin damnés l'opulence george elgozy dernières parutions cli ——— cinéma tête genou jacques loew théâtre corps l'esprit roselyne guitton echos informations who who psychologie abonner voyez page psychologie ite 114 champs lelvsees paris aus d'etude promotion lectur
3,4,psÿchologie grassé l'entretien qu'on lira plus loin -comme arthur celui pub psychologie n°9 émet dout l'importance .de travaux smérieerne considérés pourtant comme majeurs l'étude comportement rats laboratoire déduisent lois applicables l'être -humäin ést.dans ouvrages cri d'archimède cheval -locémotive calmann-lévy koëestler plus vive ment critiqué héritiers behavio risme veulënt faire uné psychologie j'ayie humaine sans tenir compte l'exis-° tence conscient l'inconscient. présentons ci-dessous vie l'œuvre skinrier coïñme écrit koeëtlér chef-de file-du néo-beha viorisme ætats-unis sans doute plus éminent professeur -dé= prenez rat laissez-le jéüner ftemps mettez-le boîte risée cette boîte installez dis- positif manette -une ouver- ture arrangées telle sorte mänipulätion manette permette l'arrivée boulettes nourriture rats -par l'ouverture -votre rat -compläisant suffis armñ- -ment doué pour.être rapidement condi tionné à-introduire .de nourritüre-dans l'appareil chaque fois rat man pule- manette goup sûr avenir psychologie scienti- c'est bien sûr vue simpliste travaux qu'on peut -poursuivre laborätoires psychologie expéri mentale américains autres don d'attirer sympathie rats autres animaux suffit hélas .et c'est dommage déterminer valeur d'un homme de-science faut-beaucoup plus qualités -de ténacité qu'une prèe- mière approche peut laisser paraître l'image psychologue scientifique ma- niaque peu vicieux peut-être penché petites bêtes auxquelles impose tâches absurdes fausse meilleurs exemples qu'on puisse donnèr qu'est réellement psychologie scientifique américaine prôbeblement b.f. skinner disciple notoire -de watson travaux exemplaires plu- sieurs raisons premier lieu skinner dés représentants plus no- tolres descendance behavio- boîte insono- rigue psychologie statut mminant l'étude phénomènes toute référe tions subjectives mesurables tout sui théorie behavioriste tuée depüis watson ski imperturbablement fidèle -de base continue d'ap recherches rigueur plus sévère cela hommé science watson science .en élj- l'analyse nce nomplement non vant l'évolution s'est effecnner resté principes liquer sès éthodolôgique véritablement second lieu dümainé recou- vert principaux prentissage skinner situ point clé psycholo tale modèrne ravaux l'ape périmenillustrés d'au- gle -ex tres grands noms comme thorndike tollman hull2 dont n'atteint renommée and public grande milieux scientifqu enfin skinner s'intéresse seuls sujets oécupation dépassant rechercp l'animal il-a montré résu pouvaient être valables ailleurs singe pigeon skinner effet l'un initiateurs méthoge d'enseignement programmé adolescent revolte cômment skinner est-il devenu l'un chercheurs plus célèbres science psychologique retracer l'én jution personnalité permet l'expliquer maïs aide comprendre =susquehanna petite ville pennsylvanie nord-est ætats unis bien située dans-une-région agréable bois .de rivières relativement che centres économiques pre mière grandeur new york philadét phie c'est qu'est skinner but -siècle 1904 parents appar tenant très petite bourgeoisie mas nouütrissañt l'ambition s'élever soci lement -certain qu'au départ -hérita parents grands-parents sentiment supériorité plutôt volonté supériorité sans.influencer destinée quañ frère deux ans demi plis jeune révèle fait plus -doué jeux plus sociable ressent léger désénchantemeït quand classe ans il-affirme shakéspeare réalité bacon 44e son'professéur rétorque vols savez quoi parlez 501 orgueil poussé aller fouiner bliothèque afin consulter ouvré ges spécialistes fameust controvérse bacon-shakespeare venir fièrement lendemain assénél toute fraîche érudition cam rades et.à professeur erifant litles kaïzenjammer kids bandes dessinées traduites fra cais erreur sou caractère are l'adolescent skinner l'aide rades met pied cema combinaisons très voir précé gie l'étude précédent risme watson thorndike behavioristes travaux uméro psyelole père behaïl tollman jeu huli trois pméricains connus abprentissape
4,5,destinées faire tomber borëes situations ridi- jtoyens conc alors qu'il collège fait der affiches annonçant vepie charlie chaplin conféce pendant qu'un camarade annonce fausse nouvelle journal local lendemain gare fourmille d'enfants venus accueillir grand acteur bien entendu n'arrive détective chargé d'élucider l'affaire découvrira jamais l'auteur plaisanterie rapportée plus tard skinner lui-même autre fois rédige texte parfaitement pompeux dessein ridiculiser concours oratoire encore écrit parodie mélodrame répondre critique d'un professeur reproche rédactions manquer relief professeur composition anglaise trouvera jour caricature dessinée murs collège sous titre triomphe l'œuf cette période -qui correspond classique révolte l'adolescence permettra skinner müri années plus tard d'écrire quelques pages bien senties l'enseignement traditionnel -dans révolution .scientifique l'enseignement skinner boy-scout dès cetté période vie manifesté passion bricolage quitté fabrique toutes sortes d'objets plus moins utiles plus souvent très ingénieux comme canon vapeur partir d'une vieille bouilloire petit télégraphe mère reproche d'oublier constamment pendre pyjama crochet matin aussi construit-il système cordes poulies 'lorsque poids pyjama fait basculer crochét carton balance au-dessus porte lequel écrit accroche-ton jama tel trait n'est marque d'une grande simplicité dénote solide ingéniosité l'imaginätion sœur l'ingéniosité aussi caräctéristique importante personnalité skinner fin études secondaires décide devenir écrivain passe ainsi deux ans rien faire pratiquement rien nest vingt äns plus tard psycho- logue célèbre qu'il publié roman walden two destiné illustrer théories psychologiques cours cette période mène pendant six mois vie bohème greenwich village pus l'europe rentrant ture entame abandonne littéragie explique études psycholoution près unie cette évolittéraire rête oué l'étude lancer quan décide ralsonnemens étude scientifique faut poutêtre rôle époqué aussi noter cette physlologle connaissance jacques loeb qeerveeu l'ouvrage réflexes condition- nés pavlov travaux watson travers série d'articles bertrand russell sans nul doute tentative d'approche connaissance l'homme recherche faits précis devait déjà profondément séduire skinner raison tournure d'esprit épisode existence illustre très bien pragmatisme manière dont perd foi religieuse adolescent décide d'écrire article destiné chanter gloire religion presbytérienne montrant beaucoup grands compositeurs presbyté riens dépouillant biographies découvre déconvenue réalité plupart catholiques voilà convictions déjà quelque peu ébranlées plus caractéristique encore l'affaire du- miracle montre jour moment rentrer chez s'aperçoit- qu'il perdu montre offerte parents peur-des reproches rentre -et promène campagne milieu d'une médi- tation détresse humaine retrouve montre terre près sentier comme croyait l'avoir pérdue ville c'est luï signe- dieu aussitôt ouvre un-carnet nôte premiér miracle.un .an-après comme carnet reste vide bon esprit scientifique qu'il déjà conclut l'iñnexistence dièu depuis lors semble-t-il aucun autre miracle s'est produit position plus varié c'est notonsle position l'école behavioriste dont il.fait éminemment partie l'égard problème conscience comme celle-ci manifeste faits extérieurs observables démontrables peut doit tenir compte litterature science —————a entrant l'université harvard souci d'efficacité skinner s'établit strict emploi temps pendant deux ans s'impose cette discipline rigoureuse laisse plus d'un quart d'heure -flottement jour malgré tiédeur professeurs envers théorie s'affirme dès cette époque d'une manière convaincue faveur behaviorisme plus strict thèse part l'œuvre sherrington synapses étudie comportement fonction l'état système nerveux central l'intéresse c'est l'organisme comme tout the organism whole selon l'expression loeb travaux pavlov confirment l'idée voie existe permet passer physiologie l'étude comportementale affirme tion réflexe peut permettre décrire toute activité réductible schéma sti- mulus-réponse néanmoins tient compte variables facteurs déter- minants comme drive besoin impul- sion vient moduler réaction comportementale drive appelé variäble intermédiaire parce qu'il joue rôle réponse sans appartenir catégorie stimuli telle notion également prise considération d'autres behavioristes comme hull couple s-r introduit watson révèle effet trop limité pouvoir expliquer tous phénomènes comportementaux rat affamé répondra stimulus alimentaire méme façon qu'un rat repu l'un prêt subir certain nombre d'épreuves parvenir atteindre nourriture franchir.des grilles traverser laby- rinthes etc l'autre restera passif c'est ainsi qu'il s'est avéré nécessaire d'introduire l'explication psychologique variables particulières variables intermédiaires -est très important noter nouvelles variables font appel états conscience renier tout lien behaviorisme original parle envie désir termes introspectionnistes emploie terme drive dont référence beaucoup plus physiologique ainsi l'appétit drive sous-entend une- origine purement matérielle l'existence d'un manqué orÿganique dès'le départ dès thèse doctôrat skinner s'affirme conséquent comme behavioriste plus rigoureux cette sévérité fera s'accroître avec.le développement recherches est-aujourd'hui chercheur plus représentatif béhaviorisme plus pur psychologie doit être champ -ré- flexions spéculatives théories diverses compte surtout faits observés manière -précise rôle psychologuë n'est d'inventer explications d'accumüler données description tâches essentielles tout recours l'in- trospection tout recours éléments privés s'en doute fermement condamnés skinner plus loin s'attaquant méthodes dont valeur scientifique semble généralement bien moins douteusé condamne exemple l'usage statistiques appli- quées l'étude psychologique l'être humain dénonce pouvôir magique qu'on prête souvent statisticiens transformer science tout qu'ils touchent d'obtenir ainsi résultats variables point vue faits faire moyenne individus n'aboutit jja- définition l'individu moyen important c'est l'étude comportement c'est l'étude fac- teurs déterminent inté- resse skinner c'est découvrir chez l'individu quelle relation entre stimulus réponse voit statistiques tiennent peu place problème particulier skinner début
5,6,burrtus frederic saurinen pionnier l'enseignement programme carrière faisait appel notion varlable intermédiaire quelques années plus tard l'abandonnait faisait critique faire intervenir l'explication comportement notions telles faim soif exemple c'est faire appel constructions hypothétiques échappent psychologue effet faim soif n'existent tant telles simplement résultantes certaines conditions physiologiques élévation rapport sel/ eau sang exemple skinner emploie alors terme privation d'eau water deprivation cette variable peut être manipulée mesurée l'homme science peut empêcher rat boire pendant deux heures cinq heures journée voir comment comportements correspondants modifiés reconnaît l'application principe méthodologique principale descendance behavioriste watsonienne l'opérationnisme principe stipule effet s'affirmer tant science psychologie doit tenir compte données effectives puissent être contrôlées toute science repose fait postulat l'événement dont tire loi doit pouvoir être répété quand rassemble tous facteurs l'ont déterminé faire appel concepts dont réalité douteuse c'est s'in- terdire preuve conférerait recherche portée scientifique certitude hasard n'entre rien fruit découverte skinner s'en garde bien toutes recherches marquées volonté contrôler maximum variables behavioriste sourcilleux c'est notamment cette raison qu'il commence travailler l'ani- mal faire recherches rats signifie faire recherches améliorer sort fondamentalement rien distingue rat d'un être hu- main part taille peut-être mé- canismes primaires d'un comportement particulier mêmes l'adaptation situation suppose conduites dont développement s'observe aussi bien chez n'importe quel mammifère plus rat présente avantages tech- niques peut priver nourriture pendant deux jours mettre labyrinthe mesure expé- rience appliquée l'être humain sup6 oup plus nipulation beauc lus coûteuse notamment labyrinthe l'aptitude tains coomm- pose complexe concerne autre inconvénient resso l'homme nboliques rtements perbales dont l'observation échappe l'expérimentateur anipulable tage d'être aisé semen contrôlable permets l'établissement primordte ements d'adaptation idées plus fausses qu'on puisse faire psychologie l'homme être supérieur don actes essence origine différente conduites animales fait comportement humain très élaboré très développé infiniment plus riche plus complexe celui ver terre comportement fond fonction origine celui ver poisson possibilités multiples permet toutes source principe fondamental celui régit l'existence tout animal s'adapter l'environnement interet prononce rat comportement rat donc l'un premiers sujets d'étude lequel penche skinner observer comportement animaux situation d'apprentissage construit mécanismes fois fort simples fort complexes reflètent goût mécanique bricolage peut décrire l'une premières machines sorte tunnel rectangulaire basculant pivot central relié d'une part enregistreur d'autre part distributeur nourriture quand rat déambule tunnel fait basculer mouvement en- traîne rotation d'une roue dont cir- conférence comporte trous garnis boulettes nourriture tombent ainsi chaque fois entonnoir conduisant l'intérieur tunnel l'en- drolt rat tour complet l'appareil parallèle- ment bande papler déroule laquelle enregistré déplace ment tunnel fonction temps ainsi possible d'observer fré quence durée déplacements rat tunnel l'avons déjà l'appareil accrocher pyjamas skinner manque d'ingéniosité fabri cation systèmes destinés provo quer comportements plus belle réussite domaine boîte toute simple porte nom boîte skinner constituée d'un simple compartiment lequel introduit rat compartiment com porte barre horizontale mobile orifice l'arrivée nourriture quand rat presse barre petit système électrique déclenché laisse s'échapper d'un réservoir boîte boulette nourriture rat variante existe pigeons l'oiseau frappe bec cercle lumi neux obtenir nourriture s'agit gadgets amuser rats pigeons mécanismes cette boîte répondent besoins d'une recherche précise comportement d'apprentissage tout monde connaît plus moins recherches pavlov conditionnement sait qu'une sonnerie associée présentation nourriture finit déclencher seule chez chien affamé réaction salivation c'est conditionnement classique prenez rat mettez-le boîte skinner d'abord réaction d'inspection lieux première fois hasard qu'il manipulera barre puis peu peu liai s'établira entre deux faits presser barre obtenir nourriture cest qu'on peut appeler condition nement instrumental perfectionnement theorie behavioriste ———— skinner emploie termes comportement répondant cas conditionnement type pavlovien comportement opérant se- cond cas premier cas stimur lus conditionnel sonnerie lié temps stimulus inconditionnel nourriture déclenche réponse spécifique salivation second cas c'est l'action rat elle- pression barre liée temps renforcement nourriture comportement dit opérant parce c'est l'action l'animal détermine l'apparition stimulus renforçant l'apparition nourriture appelée renforcement parce qu'il bien évident c'est d'elle dépend l'intégration comportement rat déclenché voir psychologie l'étude gérard onnot logic pavlov paradoxe psych
6,7,publicité déclarons guerre ice fleurent ncteur département jeunesse-albums librairie hachette révolutionné livre enfants l'ère télévision radio cinéma publicité images sons irrésistibles fugitifs diffusés moyens modernes communication masse l'enfant comme l'adulte submergé assailli messages multiples anarchiques doit pourtant préparer avoir attitude cohérente face-au monde l'entoure lecture moyen privilégié culture loisir réflexion outil indispensable atteindre but per lecture l'enfant peut affirmer personnalité tout formant encore faut-il qu'il goût livres qu'il intéressé propose bref contenu forme livres soieñt conformes âge tempérament maurice fleurent directeur département jeunessealbums hachette spécialiste questions depuis uñe vingtaine d'années plus grand père famille france s'est consacré afin donner enfants propres parents n'ont donner autrefois l'édition d'ouvrages jeunesse précise ainsi psychologie lignés directrices de.ses recherches question plantes m'ont racon- prix loisirs-jeunes monde merveilleux .de l'art raconté jeu- nes prix jean macé ligue l'enseignement etc publicité collections dirigez brairie hachette faite suc- cès quels objectifs quelles motivations selon poussent lecteurs acheter livres réponse veux apporter enfants ans complément aux.in- formations qu'ils reçoivent chaque jour radio télévision crou- lons sous l'information compléter connaissances adultes dispo- dictionnaires d'encyclopédies best enfants aussi genre d'ouvrages propose livre référen mesure faits principal souci donc donner l'enfant occasion réflé chir apporter réponses questions qu'il pose exactement fais guerre lapins roses enfants plus ans sans nier d'ailleurs intérêt niveau enfants encore alphabétisés histoires dites merveilleuses -poétiques. dépassées elles doivent plus avoir cours merveilles jours trouvent vérité réalité toujours plus belle plus belle fictions pouvez-vous citer quelques titres d'albums illustrant conceptions collection dis pourquoi répondant 500 questions comme .cellesci pourquoi met-on sel rues quand neige pourquoi sousmarin s'enfonce t-il mer série dis comment marche laquelle l'enfant peut s'initier société technique automobile satellite artificiel télécommunications radar l'album -est -le tibet exemple cesse d'être image fugitive sait localiser l'appréhender merveilles xx® siècle -font découvrir adolescents aussi bien l'art l'archéologie explorations polaires sports autant d'albums largement illustrés considère comme livres actifs c'est-à-dire livres-qui donnent l'enfant goût recherche curiosité consommateurs sont-ils clients non consommateurs enfants clients parents achètent plaît projettent choix offrant livre enfant essaient retrouver propre jeunesse alors offrent livres enfance parents jouent donc rôle france pays dépense moins d'argent livres d'enfants albums illustrés alain grée vendus pays connaissent plus grand succès l'étranger qu'ici vente infiniment plus importante scandinavie allemagne responsabilité pa- rents évidemment cause plu- part d'entre comprennent passe l'entourage enfants cas livre its lapins roses considéré comme instrument scolaire d'oppression alors qu'il instrument libération lecture outre plaisir enrichissement constant -une occasion réfléchir sans laquelle véritable maturité c'est habitude qu'il faut prendre plus tôt possible enfant enfant bloqué lira guère plus tard livre machine infernale c'est objet marque vie constitue donc lien affectif d'une très grande importance considérez-vous comme sorte relais entre l'école parents exactement c'est cela comment enfants acquièrentils leurs livres l'occasion fêtes noël jour l'an anniversaires offre temps jouets parents hélas achètent livre comme achètent paire patins roulettes bénéficié d'assez maïgres privilèges yeux adültes l'enquête menée 1969 li.f.o.p collaboration syndicat national editeurs d'ailleurs très significative cet égard voici quelques chiffres seulemerñt per- sonnes achètent livres -ou albums jeunesse jeunes moins .ans français âgés plus ans acheté livres jeunesse cours derniers mois maïs seulement acheteurs offert livres sans occasion particulière depuis livre reste cadeau destiné faire accéder l'enfant lecture l'aider travail scolaire enfin distraire pourtant l'enfant beaucoup plus cela pensez-vous impératif qualité atteindre prix compétitifs absolument mieux armés vendre ouvrages prix peu élevés l'importance tirage vente l'étranger permettent d'abaisser prix veux faire ségrégation fortune quel vœu plus cher faire livres profitent millions d'enfants vivent france faire découvrir véritables mer vellles entourent jes conduire réflexion intelligente
7,8,burrtus frederic srunieur —————— pionner lenséignement programme système hasard première puis deuxième fois finira manipuler barre plus plus fréquemment l'on interrompt distribution nourriture comportement finira s'éteindre l'acquisition mécanisme dépend donc bien succession temps l'opération renforcement ainsi l'homme quand bureau l'usine travailler gagner l'argent s'agit d'un comportement fondé principes second type conditionnement l'on cesse payer l'extinction comportement risque d'être rapide l'explication phénomène skinner insiste notion réflexe conditionnement premier type pavlovien bien sorte transmutation d'un réflexe inconditionné c'est-à-dire réflexe naturel acquis expérience réflexe conditionné couple sonnerie-salivation dissimule nature quasi physiologique skinner comportement opérant n'est essence différent conditionnement classique considère cas simplement stimulus renforçant placé après réponse lieu d'être placé avant n'est qu'un cas particulier l'ensemble comportements conditionnés l'interprétation selon laquelle rat dirait tiens chaque fois presse barre voilà quoi manger pressons donc barre irrecevable rejoint panthéon plaisanteries psychologiques réflexion rat dit j'ai bien réussi conditionnement l'expérimentateur chaque fois j'appuie barre m'envoie nourriture donc lorsqu'un comportement particulier manifeste fait suivre chaque fois d'une gratification spécifique probabilité d'apparition comportement trouvera considérablement accrue parallèlement activités scientifiques skinner mène existence normale bon américain moyen ans épouse yvonne blue licenciée lettres donnera deux filles rien plus faux d'imaginer skinner homme rats attentif moindre battement paupière petites bêtes aveugle réalités entourage bien contraire souci voir résultats recherches expérimentales trouver application vie c'est ainsi qu'au moment naissance deborah hdi somme ereoe ereres appelle nta fille inventa baby ave bumaur bots den ufté box c'est espace clos nbardans lequel l'enfant lieu oments rassé ouvesimilaires res ments trouve plastique après article système home journal quelque levés bébés américains jante ainsi deborah aujourd hui toal l'université s'en porte bien premieres reflexio l'enseignement rents probantéresser cherchant comme beaucoup blement amené problème l'enseignemen l'amélioune solution question ration méthodes pédagogiques met point système machinté enseigner qu'on appellé aujourd'hui techniques d'enselgnement programmé depuis 1954 l'année parution article science l'apprentissage l'art l'enseignement développement méthodes pris essor considérable elles préfigurent peut-être l'enseignement demain principe tout simplement celui boîte rat mis évidence qu'un comportement s'établisse doit être suivi d'un renforcement lieu d'avoir presser barre l'élève doit répondre questions dont vérifie lui-même réponses skinner observé lors études rat plus renforcement proche temps réponse renforcée plus l'apprentissage rapide inversement aussi technique d'enseignement appliquet-il principe réponse correcte questions doit être donnée tout suite après l'élève répondu quand réponse celui-ci révèle avoir juste satisfaction qu'il tire joue rôle renforcement afin d'éviter tout effet traumatisant sujet questions difficulté graduée suivant courbe ascendante pente très faible théorie l'élève doit tromper plus cas renforcement joue ainsi l'apprentissage chacune ques- tions joue aussi l'ensemble tâche l'enfant tendance effectuer enthousiasme croissant fur mesure progrès puisque chaque réponse juste aussitôt récom pensée approbation habileté construire machines skinner s'en départit non plus cas conçoit série machines apprendre offrent possibilité l'élève s'enseigner lui-même peut citer l'exemple d'un arène simple assez typique s'agit d'une boîte disque taille d'un tourne998 p6u près comporte paroi face fenêtre laquelle peut lire questions inscrite longue bande papier sières numérotées permettent sélectionner réponses élève abaisse glissière correspond choix entraîne perforation glis papier tourne ensuite bouton réponse fausse bouton reste bloqué juste déclic courte sonnerie font entendre papier entraîné jusqu qu'appa raisse fenêtre question vante existe certaines univers tés américaines laboratoires d'enseignement équipés telles machines l'avantage procédé évident développement l'appren tissage fait rythme régulier chaque élève choisit cadence cor respond mieux aptitudes alors classe traditionnelle plus lents submergés plus rapides plus rapides retardés plus lents vue sous cet angle machine permet développement l'individualité méthode programmation mise point skinner collaborateur james holland peut s'appliquer grand nombre domaines suppose néanmoins l'apprentissage puisse s'effectuer petites étapes chaîne d'éléments mis bout bout reconstituent connaissance complexe matière qu'on veut enseigner skinner cite l'exemple pigeons jouent tennis expérience laboratoire venu obtenir deux pigeons qu'ils renvoient petites balles collaborateurs n'est parvenu résultat qu'en conditionnant progressivement animaux séries d'éléments comportementaux frapper balle bec aller chercher balle etc c'est cette série petits conditionnements permet d'aboutir comportement complexe qu'un tel exercice implique s'agit d'une mise application fameux principe descartes diviser chacune difficultés j'examinerai autant parcelles qu'il pourrait qu'il requis mieux résoudre primaute l'individuel l'enseignement programmé bril lante application qu'on peut appeler thèses skinner retrouve l'importance accordée ref forcement l'activité l'élève n'est sanctionnée plus souvent façon positive bien cette sanction intervient trop longtemps après l'activité l'apprentissage perd force rai dont comportement n'est gratifié récompense nutritive exem ple survenant moment plus app prié n'effectuera jamais tâches qué l'expérimentateur prétend imposer
8,9,lol appliquée l'être humain n'est nie l'utilisation systèmes machines retrouve également ici pense distributeurs automatiques lesquels introduit pièce retirer café sandwich mar chine plus sûr moyen fois déterminer contrôler comportement fonctionnement rigoureux interdit tricher situation laquelle heurte sujet situation nette temps comportement approprié solution problème trouve chaque fois renforcé peut dire contrôle progrès s'effectue manière scientifique mesure hasard peut jouer qu'un rôle minime formation l'individu enfin surtout cette application l'enseignement révèle urie fois plus l'intérêt skinner toujours manifesté cas individuels recherches rats pigeons applications l'homme l'apprentissage peut difficilement être phénomène groupe c'est l'organisme particulier trouve face d'un problème s'efforce adapter résoudre propres moyens dont dispose c'est cela skinner fait -jamais appel preuves d'ordre statistique dont conteste toujours l'utilisation acharnement rester plus proche possible faits d'une attitude descriptive plus qu'explicative normal comportement individuel fasse l'objet .de attention l'enseignement programmé principe enseignement adapté chaque individu pro- .gression l'acquisition connais- sances dépend d'autre chose rapport l'élève matière enseignée ici skinner tente d'allier l'intégrité scientifique néo- behavioriste idéal humaniste nécessité rester proche l'étude comportement tant tel volon- point soumettre l'individu l'épreuve d'une norme standà ddont pourrait souffrir cependant peut paraître choquant cheminement l'œuvre skinner penser qu'en fait tient compte fort peu différences entre l'homme rat peut éga- lement craindre constatant nature techniques qu'il applique l'homme telles expériences surtout telles applications étendues n'aboutissent sorte mécanisation l'être humain d'un robot pensant iné parfaitement effi- destine propos conditionnement peut sem- bler effet arme redoutable contre l'épanouissement l'individu recèle non manipulable l'imagination créativité peut paraître également moyen très pratique soumettre consciences forme d'esprit idéologie tous problèmes skinner élude loin d'être savant préoccupé seulement résultat recherches sans soucier l'utilisation faite côté machine l'être conception behavioriste mécanique humaine soñt certes postulats lesquels s'appuie activité scientifique céla n'empêche ailleurs s'intéresse existe plus secret l'individu plus insaisissable premier abord l'entomologiste-psychologue plus scrupuleux l'aptitude créer faut oublier qu'avant lancer psychologie scientifique skinner un- temps littérateur qu'il écrivait poèmes nullement desséchés bienaimées toujours ami arts artistes conséquent problème préserver chacun individualité source préoccupations societe regié science défend l'enseignement programmé affifmant peinture exemple peut être enseignée moyen prétend talent créativité élèves peuvent être développés -il insiste fait qu'en face machine quéstions posées tout long déroulement l'exercice l'individu trouve fait situation liberté indépendance bien plus grande qu'il paraît premier abord pré- sume l'existence d'un compôrtement intra-verbal intra-verbal behavior influe manière dont connais- sances intégrées emploie égale- ment terme auto-renforcement idiosyncratique idiosyncratic selt-ren- forcement montre quel point convaincu personnalité perd aucun droit cet apprentissage l'élève continué réagir face cette situation semi-automatisée fonction critères personnels aussi bien nécessité faire face tâche proposée terme peu barbare veut dire goûts particuliers sujet vont jouer rôle discriminant facilité laquelle tèlle telle question rete nue bien réactions sujet question érie ques- tions vont infléchir déterminer apprentissage l'idée observations faites comportement rats d'un quel- conque intérêt l'homme fera peutere théories don fame avioristes opposent piliers behaviorisme comme l'est skinner l'homme rat point commun absolument essentiel comportement entièrement déterminé événements arrivent monde entoure organisme pourvu départ d'une série réflexes suivant développement plus moins élaboré espèces compliquent l'apparition cours genèse l'individu réflexes conditionnés type plus moins simple mécanisme d'apparition d'un réflexe conséquent chez l'homme chez l'animal phénomènes extérieurs cause déterminante liberté l'acception plus absolue terme réalité skinner considère fait l'homme naît indes famille indienne deviendra probablement bouddhiste celui naît grande-bretagne famille protestante deviendra protestant plus jamais peut dire exceptions confirment règle déterminisme règle absolue pensée psychologue américain quoi croit skinner profondément c'est l'amélioration qu'une saine application principes scientifiques peut apporter sort l'homme mettre disposition techniques plus nombreuses permettre d'acquérir connaissance plus vaste c'est permettre mieux s'adapter monde éliminant perte d'énergie causée hasärd roman utopique walden two skinner s'est laissé aller rêver microsociété régie lès lois science imagine communauté vivant village expérimental techniques psychologie étendues nombreuses activités permettant ainsi amélioration consi- dérable bien-être habitants c'est science faite servir non asservir skinner prétend pra- tiquer assurer son.efficacité faut d'abord reconnaître l'individu soumis lois déterminismé appliquer cerner faits faire dégorger quoi vie quelque jour peut changer jean chaguiboff savoir davantage walden two new york macmillan 1953 science and human behavi avior idem verbal behavior 1957 cumulative record new york apple- century crofts 1959 the technology teaching traduit richelle sous titre révo- lution scientifique l'enseignement bruxelles charles dessart 1968 londres méthuen mme
9,10,
