,page,text
0,1,eusioninmiet detcle
1,2,mme eme ——— oui savez-vous qu'aux etats-unis europe depuis plusieurs années nombreux enfants apprennent lire entre ans jouant s'amusant matériels éducatifs spécialement conçus retiennent sans difficulté éléments code écrit langage écrit est-il trop tôt est-il trop tard a-t-il d'inconvénients scolarité matière d'éducation n'est question déterminer légère faut savoir enfants appris lire seule aide leurs parents lisent non seulement plus tôt autres acquièrent avance plupart garderont tout long leurs études c'est production bibliothèque deux spécialistes mis poi point aété testé pendant année entière école maternelle etat peut être utilisé parents disposant d'aucune qualificati arti catio comporte sous forme ulière jeux attr tout matériel éducatif comprenant sue peut apprendre iité avant lécoes l'ensemble éducatif lecture causane c.e.p.l.éditeurdes-psychologier demandé deux pédagogues mettre point ensemble éducatif lecture petts :ils'agit mme françoise gauquelin diplômée l'institut psychologie l'université paris diplômée l'institut sciences l'éducation l'université genève ancienne élève professeur jean piaget mme arlette moerman directrice d'école maternelle l'éducation nationale livre lecture couleurs cahiers d'exercices série jeux loto dominos puzzles boîte mots laquelle enfant classe lui-même 200 fiches-mots disques donnant l'enfant ications nécessaires jouer
2,3,revahoose psyerole comprendre savoir agir monde d'aujourd hui avril 4971 quiz mois avez-vous l'esprit géométrie l'esprit finesse chercheur idées kurt lewin théoricien psychologie groupes alain bourdin connaissance soi relaxation apprenez reposer scientifiquement mariane kohler l'environnement périls l'adaptation l'homme s'adapte toujours jusqu'où quel prix rené dubos vie moderne communautés hippies californie phénomène aussi ancien l'amérique moss kanter robert jaulin ethnologue révolte ire françoise morin jacques mousseau entretien l'inconscient complexe d'œdipe pierre angulaire l'édifice freudien claude bonnafont psychologie expérimentale l'éveil l'intelligence découvertes piaget nourrisson monique dichter librairie vie mort psychanalyse jean laplanche choc futur alvin toffler sociologie mutations georges balandier théâtre public devient acteur roselyne guitton cinéma œdipe s'en occupe jacques loew ruée vers dali jean-louis ferrier arts echos informations who who psychologie edit centr abonner etude promotion lecture voyez page bal 53.23
3,4,oqo 0000000 od00000o 00000000 o0000000 q0o 000 o000o o00o od0ooooq odo00000o ododooo0ooq oùooo0o00o0oq oooqoo0o0oo qo0oq oo0oq avez-vous l'esprit géométrie esprit finesse c'est pascal 1647 pensées établit l'opposition develante logique doté plus haut degré sent bien lorsqu'il traite aborde défend vérités déjà établies l'esprit finesse revanche s'adresse l'intuition com- térielle chos plexe ondoyant divers subtil extrapolant pensée pas- cal popularité quelque sorte échappé l'emprise auteur tomber sans dou- subissant quelques distorsions domaine public peut ilerons antagonisme psyc ologi ap- nue célèbre entre l'esprit géomé- bpliquer rap trie l'esprit finesse pas- ainsi l'esprit géométrie cal l'esprit géométrie s'adresse celui rationaliste bril l'intelligence l'individu parfois berce d'illusions. ocoo oo0o oo0o ooo0o0000o réscross res b5s ooo ment aider situer longue échelle relie entre deux attitudes psychologiques amp him chaque question comporte deux penses possibles entourez d'un cle lettre placée devar réponse s'accorde miel façon penser choisis réponse suivant voir fines indication
4,5,générosité personne relations l'embarras demande prêter certaine somme d'argent acceptez très vite car cœur main sans être insensible préférez prendre temps réfléchir avant prêter scolarité cours études quelles alières aviez-vous généralement meilleures notes mathématiques français réparations chose fonctionne plus cassé chez remettre l'obligation propres état marche moyens comment procédezen général prenez temps e2ucoup dure rez c'est faire travail age ontentez d'un rafispour rite principal l'immédiar être dépanné assiqu pout réussi victoires non sportif remporter sin deux dessins préférez- attachez-vous surtout l'importance technique pensez-vous dons comptent plus point vue entre deux projets lequel paraît donner l'humanité plus possibilités progrès l'extension systématique planète mécanisme industriel grandes puissances l'étude objective approfondie religions jeu mathématique groupe personnes quelle probabilité personnes nées jour année chances chances introspection peu importe l'instant bonne réponse cornment avez-vous procédé résoudre petit problème précédent pendant quelques instants cassé tête aide d'un papiér d'un crayon essayé d'en trouver solution répondu vite jntuitivement sentant plus moins confusémént pensiez être bonne réponse —————— relations sociales agace plus beaux parleurs lès muets comme tombe —————— goûts artistiques valeur esthétique estimée égale experts quoi vibrez-vous plus tableau très coloré gravure noir blanc occasion saisir est-il habitudes tergiverser prendre décision oui non od000o0o oo0q oo0000000 ooq o00000000 o0000000q oo000o0o000o ooo o0oo sue tout monde devrait avoir petit livre gratuit surprenantes révélations méthode très simple guérir timidité développer mémoire réussir vie juste valez fois mieux que.tel amis inventé poudre pourtant gagne beaucoup d'argent sans tuer tâche tel aütre assez insignifiant cependant jouit inexplicable considération part tous ceux l'entourent faut-il accuser société laquelle vivons vous-même savez tirer parti dons cachés savez plupart entre utilisent centième peine leurs facultés savons servir mémoire bien paralysés timidité condamne végéter encroûtons tabous habitudes pensée désuêtes complexes aberrants manque confiance alors homme fomme assez faire surplace voulez savoir comment acquérir maîtrise vous-même mémoire étonnante esprit juste pénétrant volonté robuste imagination fertile personnalité forte dégage sympathie ascendant irrésistible ceux celles entourent demandez recevoir petit-livre borg lois éternelles succès absolument gratuit envoyé discrètement fait demande constitue remarquable introduction àla méthode mise point célèbre psychologue a.p borg but aider milliers personnes tout âge toute condition recherchent moyen réaliser parvenir bonheur r-bon gratuit recevoir lois eternelles succès envoyez bon a.p borg chez aubanel place st-pierre avignon recevrez livre sous pli fermé sans aucun engagement d'aucune sorte rue ............ ville erreurs age profession ......... doses lun der ver verre ver
5,6,uzzle arrivé peut-être encore reconsli ent puzzle quel voire compoi habituel démarrez bille peli hasard pro surtout essais erreul commencez l'assem pièces qu'après forme couleur etc ——— jeux préférez-vous échecs poker lêle age qo000000 oo0oo hooo ooo0o ooo0o00o0o oooo oo0oo oouoo oo0oo jeunesse quel opinion sujet qu'on appelle phénomène hip- n'est qu'une mode transitoire justifie cependant étude sociologique complète objective exprime manière vivre plus près vraie nature homme exis- tence mécanisée actuelle orientation professionnelle salaire égal lequel deux emplois sentez-vous plus d'affinités inspecteur commercial chef comptable points faibles souciez-vous possibles fort peu assez souvent lectures parmi deux façons présenter l'histoire laquelle préférez-vours essais historiques trai- tent presque fond d'un point li- milé l'histoire petite histoire ouvrages traitent d'épo- ques plus vastes tentent dé- gager grands courants écono- miques politiques sociaux erreurs ages voyages louristique ous source plaisirs pot façon jes envisage quelle altitude adoplez-vous allez qu'il savoir voir faut mangq lecture râc anger cela l'avance d'ouvrages spéciali connaître pass dre nom découvrir jet lire d'ouvrages qu'après être revenu chez plein souvenirs gardés langues étrangères unes épreuves lange étiez-vous général meilleur thème version ————— descartes lettre descartes déclaré j'ai souvent remarqué choses j'ai faites €œul gai sans aucune répugnance intérieure coutume succéder heureusement jusques-là jeux hasard partagez l'opinion descaries trouvez nettement exagérée peu cartésienne photographie devant scène très intéressante prendre maïs très difficile réussir l'appareil main prenez malgré tout risque photographier renoncez s.n.c-f. devez prendre train direction nouvelle devez alors renseigner savez-vous retrouver indicateur chemins fer assez compliqué cet indicateur rebute prio- préférez obtenir ren- seignement vive voix auprès l'employé compétent oo0o00000o ooo0o00o ooo000o o0oo oooo0o ooo0o0o oooo0o ooo oo0o ooo0o0o oqo0o0o ooooo o0o o000o ooc discussion quelle avis meilleur façon convaincre interlocuteur opposant répétant souven argument frappant développant raisonnemen arguments enchaînen afin d'entraîner logiquement l'adhésion l'adversaire croyez-vous l'intuition oui non ncendie suite d'un oubli commen cement d'incendie déclare chez l'huile pris feu poêle gaz premier mouvement répondez sans tendre couper gaz précipiter chiffon étouffer l'incendie seul peinture quels dons comment comportiez-vous pendant classe dessin dessin passable dès mettiez cou c'était catastrophe faisiez qu'une rapide esquisse crayon seule chose intéressait répandre couleur amour croyez-vous coup foudre pensez-vous véritable amour découvre lentement aptitudes quelle fonction préféreriez-vous occur per obligé travaillèr journal tenez compte réponse horaires salaires chef laboratoire photo envoyé spécial génie edison donné cette déñnition génie d'inspiration
6,7,qu'est-ce ration plus important pinspirati transpiration chologie paris rens affirment épathie transmission penroute rêves prémonitoires existent nnes affirment con- perso vezvous personnellement trairee sentiment d'avoir parfois cours existence fait montre fune aptitudes nomme extrasensorielles oui non cocktail lorsque invité cocktail savez-vous quand devez partir restez-vous souvent dernier hobby quelle distraction susceptible intéresser plus l'observation oïséaux prestidigitation automobile rél enez d'acheter voiture échissant bien quel facqui pesé plus lourd votr mod décision choix plutôt qu'un autre vor téristiques techniques cylindrée vitesse te- nue route japparence extérieure uleur etc. forme groupes ouvrages romans poésies etc tion réflexion d'érudi- quel livres d'histoire etc portant cnez plus ouvranee rage d'imagination lion réflexion d'érudi- magination süvrapes essais achats pris décision d'un achat connaïs-loi toi-même gide noté jour journal .connais-toi toi-même maxime aus- pérnicieuse laide chenille saurait qu'elle être de- viendrait jamais papillon pen- séz-vous cette opinion contraire socrate connaît jamais trop trop d'introspection nuit l'ac tion littérature entre deux genres littéraires quel celui attire plus roman policier poésie important tendance après coup examiner chaque occasion présente juger déci sion vraiment judicieuse non fait fait pourquoi revenir dessus habitude lecture —voici livre d'information intérèsse lisez jusqu respectañt scrupuleusement l'ordre chapitres feuilletez l'ouvrage lisez premier chapitre intéresse plus s'il milieu livre idées modernes quoi sentez-vous plus d'affinité théories philosophiques études physique projection dessinez première chose vient l'esprit connaître résultats voyez page psychologie chauve calvitie est-elle curable peut-on imaginer qu'un homme apparemment sain intelligent cultivé gêné jusqu l'obsession pendant part importante vie tous contacts humains pensée centaine cheveux manque tempes beau milieu crâne peut-on croire homme sait consacrer peu temps loisirs passera heures courir solution confiant soucis espoirs catégorie spécialistes peuvent rién hommes veulent crâne habillé c'est pourquoi livrons non recette remède illusoire évidence clinique cheveu comme certain nombre matières vivantes cela greffe depuis années nombreux médecins tant u.s.a. qu'en france greffé succès milliers patients retrouvent ainsi personnalité temps qu'une assurance indispensable bon équilibre psychologique d'un individu principe suivant grâce simple anesthésie j6cale sans qu'il nécessaire rentrer clinique médécin prélève cheveux niveau pourtour cuir chevelu couronne d'hippocrate transplante zones glabres région temporale tonsure exemple cheveux vont alors pousser comme s'ils restés lieu d'origine sans subir influences nocives maladie séborrhéique continuer croître toute vie trois quatre séances vont suffire corriger calvitie importante redonner joie vivre confiance soi
7,8,new-britain s'est déroulée d'animateurs sciences déoupe centré pendant l'été connecticut u.s.a. session formation devenue historique psychologique effet aurmêe problème cis immédiat résoudre vait être outil formation changement d'une efficacité plus gran celui dont l'activité organisée autour d'un débat sujet extérieur lointain l'énergie atomique açait machine vapeur lewiñ collaborateurs ceñtre recherche dynamique groupes assuraient direction scientifique session n'avaient l'origine d'autre but qu'observer effets modes formation-utilisés exposés etc quelqués participants demandèrent .sans raisons bien précises assister réunions cours desquélles chercheurs confrontaient leurs observations accepta dé- clenchänt ainsi üne réaction chaîne bientôt tout monde retrouva réunions l'on analysait objecti vement comportement groupe chaque participant elles devinrent moment essentiel formation c'est ainsi naquit group training group groupe formation l'année suivante lieu bethel maine u.s seconde session développant conséquerices prise conscience 1946 centre recherche dynamique groupes mit point technique groupe formation base l'origine d'un grand nombre formules certaines encore utili- sées sensibilisation phé- nomènes groupe formation analyse entre-temps kurt lewin mort s'effaçant derrière collabôrateurs découvertes parmi théoriciens l'étude petits groupes jacob moreno1 peut-être celui dont l'œuvre mieux connue france délaisse elton mayo assez souvént considéré plus moins justice comme pièce musée kurt lewin malgré célébrité reste encore assez mystérieux pourtant l'origine d'une école importante psycho- sociologie américaine notoriété travaux certains collabo- rateurs franchi l'atlantique ques- tions qu'il posées concepts nee pile qu'il for cherches contemporaines œuvre dont seuls quelques particulièrement assez courts gés centre remais extraits représentatifs conséquence d'une aussi tout pourssuivant jiti néraire intellectuel tout gardant toujours souci d'une théorie d'en- semble lewin n'en moins es- sentiellement expérimentaliste production autour tra- intellectuelle structur processus expérimentaux dorka d'aprés psychological review vaux laboratoire commu résultats fonction second vise d'abord clients confrères france production tellectuelle confond cell livre grand chercheur n'est reconny comme tel s'il livre l'imprimé système réflexions générales science pays anglo-saxons rapport recherches joue rôle beaucoup plus important d'autre comme montré charles wright mills système universitaire amri cain -qui donne pouvoir discré tionnaire gestionnaires chérche bureaucrates l'intellect chez circulaire remplace livre conduit émiettement petites études fragmentées tournent souvent vide permettent livrer statistiques impressionnantes comptes rendus copieux nicatis itineraire intellectuel .inacheve c'est lumière éléments qu'il faut aborder biographie kur lewin entreprise d'autant plus malë sée entre naissance 1890 mort 1947 monde s'est effor dré autre déraciné quittant temps l'espace univers découvrir autre lewin vécu mutations plus vivement beaucoup prusse accompll l'univers l'empire germaniqf triomphant cursus solides études l'amenèrent découvrir univér sités berlin fribourg munich grands courants pensée 501 particulièrement phil sophie reçu docteur philosophit joir psychologie l'étude sté consacrée cette robin périen rayo coordonnateur théoricien expériences déroulèrent 1927 usines general electric chiite rent évidence l'influence déterm fonde travail productivité lippitt chosociologie industrielle mnt white french entre autres conppitt white isse d'un rie l'autorité plon parts 181 bot iellemen git dmamique kurt lewin psychore vas pri présentés psycholoëx resolving sort. new ide mills tecueils d'articles aussi aro imagination sociologique sociologie ociété américaine fiologie xxvi cahiers tout sciences humai précè nes sciences psychologiqu concerne surtout particulidremen sociales
8,9,assistant puis profes4 psychologie l'universee ain devient l'un anisié l'école berlinoise psyja forme endossant nche l'expérimentateur détourne toute préoccu d'ordre général contraire reste avant tout celle connaissance l'approche scientifique omènes psychiques dès cette épohénc profondément influencé ncée cassirer tente perspective kantienne réaliser enthèse entre progrès sique nouvelles perspectives dar sciences psychologiques sociales poursuivant carrière univergitaire rester aussi droite tranquille celle kant mène expériences laboratoire mesure volonté associations perception relief rmouvement etc. correspond tout fait lignes forces psychologie forme debuis dynamique groupe 1932 l'allemagne weimar désintègre nazisme monte comme d'autres psychologues gestalt lewin émigre etats-unis professeur universités harford californie cornell new york harvard lowa puis massachusetts institute technology mit dirige research center for group dynamics découvre nouveau climat intellectuel d'autres préoccupations recherche tente d'abord d'élaborer théorie psycholosique d'ensemble comportement cul temps qu'il s'intéresse tout par- ent rement psychologie l'en'expéri 1987-1938 dirige série uence destinées montrer l'inposé style fonctionnement imsur cons groupe climat social rechange ement membres ment vers tournent alors netteendant ÿnamique groupes étudie guerre mondiale ment américai compte gouverneles habitudes moyens modifier nes couch alimentaires diffé- permet société social préciser théorie champ idée cètte époque qu'il déve- d'une recherche active lésearch défini prod rapport étinisssant ainsi rate entre chercheur point umain satisfaisant slque c'est rigueur méthodoloà ent qu'il meurt perspective s'offre dit p8t scie pong elar caché luro lévi-strauss ructuralisme ré- nco nte recherche strucqui cache derrière institutions pratique sociale mythes lacan analyse celle organise discours lewin situe perspective assez semblable tous phénomènes psychologiques peuvent être expliqués lois cache l'apparence diversité caractère accidentel comportement lois doivent recevoir formulation mathématique sciences humaines appelées atteindre formalisation aussi grande celle sciences exactes elles peuvent donc légitimement utiliser moyens traditionnels notamment quantification bien vers années 1930-1935 lewin considéré topologie l'instrument scientifique excellence psychologie vers fin vie l'ait utilisée comme moyen d'expression commiode attitude épistémologique fondamentale varié veut améliorer scientificité psychologie utilisant enseignements sciences exactes c'est ainsi qu'il réfère l'histoire physique s'agit calquer l'évolution méthodes psychologie celles physique comparer modèles pensée psychologie traditionnelle semble répéter errements physique aristotélicienne celle-ci caractérise tout d'abord aspect normatif employer vocabulaire philosophie confond jugement valeur jugement réalité exemple valorise mouvements circulaires rectilignes l'on rencontre mécanique corps célestes rapport ceux concernent l'univers terrestre façon distingue mouvernent forces orientées vers perfection celles produisent désordre aristote introduit physique classification statistique séparant superficiellement phénomènes liés au-delà apparences accorde aussi importance bien trop grande leurs caractères historico-géographiques quand primitif utilise plusieurs mots différents dire marcher selon direction sujet mouvement sexe réfère situation historique tout fait semblable descriptions supposées absolues monter descendre d'aristote dont signification véritable simple caractérisation géographique tles errements psychologie psychologie traditionnelle arlstotélicienne concepts impliquent jugements valeur séparations classifications arbitraires freinent développement sclentificité concept fort utilisé d'illusions d'optique longtemps empêché l'étude structure gestalt perception l'opposition entre normal pathologique éloigne uns autres phénomènes fondamentalement liés c'est commettre type d'erreur parler habitudes oublis enfants puisque c'est classer groupes processus d'après valeur leurs résultats lieu faire d'après nature processus mentaux qu'ils impliquent psychologie moderne celle début xx° siècle bien tenté donner formulation plus mathématique utilisant statistiques permettent sélectionner phénomènes fréquents d'éviter exceptions véritable science doit pouvoir rendre compte tous faits plus isolés evacuer tout moralisme psychologie suite galilée physique créer ensemble modèles pensée plus adéquats quelles donc conditions d'une révolution galiléenne psychologie première nécessité évacuer tous concepts valeur psychologie traditionnelle celle manuels philosophie n'en manque tout établit dichotomies arbitraires continuité vie psychologique doit être exclu temps classifications traditionnelles céder place nouvelles catégories admettant variations continues notion seuil entre déjà domaine d'une psychologie galiléenne faut aussi réaliser l'unification champs c'est ainsi freud fait vieilles distinctions homogénéise différents domaines psychologie enfin peut admettre comme lois celles dont validité générale inconditionnelle aussi lewin accorde-t-il grande valeur ernst cassirer 1874-1945 profésseur université allemagne puis après 1932 suède angleterre etats-unis philosophe fortement influencé kant néo-kantiens envisage œuvre riche vaste tout système connaissance s'attache particulièrement fonction symbolique plusieurs aspects œuvre font l'un précurseurs structuralisme philosophie lumières ést traduite français paris 1966 exemple démocratique laisser faire 10. topologie étude systématique propriétés l'espace considéré comme continum perpétuelle transformation totalité relations s'établissent entre transformations géométrie topologie lewin proposé faire géométrie topologique modèle plus adéquat décrire phénomènes psychologiques psychologie topologique lewin donc unc description classification phé- nomènes psychologiques 11. lewin psychologie dynamique p.u.f paris 1959 12. lewin ouvrage cité appelle seuil psychologie limite inférieure l'excitation partir laquelle réaction apparaît ainsi met-il sac normal pathologique second n'étant qu'une hypertrophie certains aspects premier autoritaire
9,10,els réflexologie lois applicables aussi l'homme politique thèse validité générale devenue behaviorism définissent bien rat physique qu'au menta l'homogénéité lois psychologiques récemment tellement plus concrète lois particulières montré telle capacité application fructueuse domaines d'abord qualitativement séparés thèse homogénéité vie psychique l'égard lois gagne considérablement vigueur détruit frontières anciens domaines séparés n'est plus possible laisser confortablement exceptions côté cas particulier devient aussi important moyenne malade anormal cessent d'être gêneurs psychosociologue peut plus affirmer foule piccadily circus l'intéresse plus nageur solitaire traverse manche théorie psychologique champs forces psychologie galiléenne pourtant satisfaisante mettait évidence phénomènes d'interaction entre l'individu en- vironnement processus produi- sent moment donné chez in- dividu donné cadre donné s'agit donc trouver lois aussi générales possible tout rendant compte caractère particulier chaque phénomène c'est qu'avait tenté psychologie forme c'est conduit lewin définition d'uñe psychologie dynamique toute orientée vers l'étude forces tensions fidélité principes empêché lewin modifier quelque peu l'image qu'il faisait psy- chologie début carrière considère comme partie biologie plus tard écrit ex- périences groupe illustrent type concepts lesquels pourrait déboucher effort intégrer seule science sociale l'anthropolo- gie culturelle psychologie s0- ciologie 18. entre-temps découvert l'idée d'une science communi- cation entre hommes analyserait différents circuits formation circulation comportements nano cette analyse l'aide d'un mathématique l'écono10 doite parenhe celle d'un élucider l'échange ntenus être fournir. ourrait certain onnaître tte démarcn cherchant formes femmes mie rec entre lévi-strauss sociétés biens jques fonction cette attitud ale lewin épistémologique onda cat majeur construit système emprunte théorie champ abandonle modèle physique hématinant aspect purement cté considère ristiques fondamentales cette née rie aperçoit implication claude faucheux définit entourage défini cer ain distribution forces détermine comportement d'un objet possédant propriétés définies 19. dire toute analyse psychologique peut être réalisée l'aide modèle locomotion terme revient souvent sous plume lewin décrira rat déplace labyrinthe l'homme change d'opinion l'aide instrument conceptuel qu'une automobile route flot d'une rivière chaque situation psychologique possible d'isoler systèmes exercent forces uns autres celles-ci peuvent s'annuler .produire situation d'équilibre cas passe rien n'est légitime parler comportement dehors cas rarissime elles produisent mouvement enfant peut avoir envie même.moment d'un jouet d'un morceau chocolat ceux souviennent trop bien l'âne burridan diront également attiré l'un l'autre n'ira vers aucun deux forces correspondent chacun désirs composent résultante troi- sième direction l'enfant prendra sait bien pourtan choisir difficulté c'est crite correspond fini l'instant nat nrant bien déen mouvement modifié for notion champ fsychologique définitions appellent qu'estce lin champ fait partie chan limite évaluables disposer titué désirs beso perceptions aussi teurs physiques sociaux fac fluencent ceux l'in ment présents moment l'esple vie formé toutes pate bles psychologiques non cent forces déterminant portement celles passivement présentes forment zone frontière champ psychologj partir cette notion s'organ l'idée d'écologie pourrait reprocher kurt leu d'avoir définition temps trop néaire convient sans doute bien physique n'est peut-être très pertinente durée psy chologique surtout accusé mettre entre parenthèses caractère historique personne définitie l'histoire individuelle place champ psychologique seulement lorsqu'elle manifeste comme force définition champ multiple complexe changeant cela rend tâche chercheur plus difficile car parfois malaisé distinguer l'espace vie zone frontière totalement l'extérieur variablés situations labora toire maîtrisables celles vie quotidienne laissent facile ment isoler faut donc choisir tuations dont tous éléments concepts stratégiques l'expérimentation c'est aspects plus complexes l'œuvre kurt lewin sans entrer détails démarche possible d'en constater consé quénces pratiques cours tra vaux sélectionne plus plus situations changement étur dier personnalité consacre tention l'échec réussite encore mécanismes gression l'analyse qu'il donne ceti£ dernière notion particulièrement téressante propose cesser définir termes historiques retour situation antérieure peut gorrespondre cas n'entrant définition psychanalytique concept faut alors parler rét jréssion l'envisage point vue structuration perso nalité passage stade grande unité moindre différenclé lon ainsi lewin réalise-til travôl 15. behaviorisme jour comportement doctrine lrnelais glintrospection faite velop ologie vraiment objective l'américain j.b. watson présenté psycholof 16. réflexologie îlex fail célébrité paviae réflexes ouvrage cité 46. jai dunod paris 1965 psychologie dynamique écologi relations êtres myscience étudio environnement vivants our mill
