,page,text
0,1,encle senoù chhauree thaiique avoira ftlé sssr 0-0:0 0-0:0-0-0 0-0-0-0-6-0:0-0-0-0-0-0-0 ass cure het 00° dansie daujourdinui
1,2,delihistoire dellfant gigantesque fresque l'histoire l'effort première fois créateur l'humanité toutes civilisations tous continents défilent meilleurs spécialité font vivre devant vols métamorphos ité d'eni l'humanité source aucun art manque appel peinture sculpture devant architecture bon cad recopier renvoyer sous enveloppe c.a.l aierai server france 114 champs-elysées paris recevra one volumessalbu palais-saint- aison d'un volume tous mois suisse avenue envoyez-moi volume-cadeau l'humanité païerai seule- pyramides bien entendu libre d'inter- premier volume mer ons ernier volun du- lompre livraisons simple lettre rent jours j'aurai tout pose pourrai retourner deux sagesse 1300/1 500 découverte volumes sans rien vou délai sex volumes pass avoir justifier refus fpt sans 7400 200 vement nom prénom 400/700 barbarie 800/1850 romantismé 700/900 guërre sainte 850/1900 réalisme adresse 1800/ 950 l'abstrait date signature psy origines homme jusqu jours voici rce ere res gate rer res tee bronze objets familiers tapisserie costumes etc agit d'une simple galerie d'images accompagnée légendes som maires pléiade savants d'historiens île ectuel toute arts feu science jardins cérami- statistique pou famille uoud nrsretons chissement intel pourrai autres volumes collection guïllemin 1009 pully d'histoire métamorphoses volumes ... 000 d'une surprenante richesse pyramide j.-c 9600/1000 j'an mille sav j.-c./100 1100/1800 cathédrales ment réception prix
2,3,eioaenearer egp guet tte nee mme ecpnr syiologie comprendre savoir agir monde d'aujourd'hui mai 1971 quiz mois quelle part bête chercheur idées mélanie klein mère psychanalyse georges chacornac vie moderne chirurgie esthétique forme psychothérapie sarah peltant psychologie avancée horloges biologiqués comportement mécanismes fragiles malmener marc richelle psychologie expérimentale mémoire c'est aussi affaire chimie bases moléculaires mémorisation alain lieury herbert marcuse façon voir rejette passé sam keen john raser entretien ... université nouvelle pourquoi réforme l'enseignement français nouvelle querelle anciens modernes claudine dannequin jugement dernier gordon rattray taylor librairie psychanalyse névroses hélène deutsch histoire psychiatrie yves pelicier cinéma love success jacques loew théâtre œdipe roi marcel turbiaux arts picasso c'est jean-louis ferrier echos informations who who psychologie prochain numéro vente juin 1971 abonner sychologie edite lecture centre d'étude promotion champs-elysees paris bal 53-23. voyez page
3,4,quelle part bête l'homme n'est ange bête disait pascal ajoutait veut faire l'ange fait bête voilà problème bien posé religions philosophies littératures tout temps mis l'accent cette situation dramatique nature humaine comme janus l'homme double face l'une tourne vers haut voisine dieux l'autre regarde vers bas c'est cochon sommeille l'éternelle histoire jekyll mr. hyde joue quo- tidiennement chez chacun d'entre moralistes siècles passés conseillaient général faire taire bête afin d'être plus près dieu corps n'est qu'orgueilleuse pourriture affirmait saint augustin jusqu cer- tain freud montre pouvait impunément désirer anéantir bête qu'il bien préférable composer buffon disait l'homme animal raisonnable l'homme animal instincts ancestraux habitudes irréflexions colères commence vraiment raison quelle part bête groupe sans leader n'est qu'un agglomérat personnes masse informe sans initiatives frouvez sein groupe personnes appréciez-vous qu'il possède leader supportez-vous diffici- lement quittez-vous aussitôt arrive tous rire pleurer cela arrive-t-il fréquemment quelquefois ainsi dire jamais savez-vous inettre l'unisson bande copains oui généralement sens tout suite l'aise cela m'est très difficile aimez-vous genre d'amour rien d'intellectuel aucune ivresse pensée mêle l'ivresse sen- suelle provoquent êtres charmants nuls non n'est genre d'amour m'adonne cela peut m'arriver temps autre oui c'est ainsi l'amour sentez-vous plus actif plus dynamique travailler entouré semblables l'isolement selon type travail seul parfois entouré préfère parfois certaines situations ère excitent coa général non assez souvent oui presque toujours est-il arrivé sous coup colère frapper interlour teur oui assez souvent c'est ainsi l'on fait craindre respecter oui fois deux l'ai suite regretté non jamais etes-vous contre pilule contre d'opinion estimez-vous tout bonhes d'une femme c'est d'être entourée beaucoup d'enfants oui non ——————— estimez-vous qu'un enfant doit nourri sein bien dévelop per oui non jean-louis barrault écrit fort soi procure directemen joie cette opinion parê exacte tout fait exagérée déprimé ptession tout mal vie cherchez-vous alor réconfort amies auprès perso
4,5,veux pitié nom solitude écraserait agnie auires m'aide biens lit.plus tout nctuaire vie chair fatiguée poue qu'il repose. penseznine tte opinion d'un personnages maupassant partage assurément tout d'accord sorti soir prendre l'air accident survient foule personnes entourent prend parti l'un l'autre deux responsables cet accident discussion tourné aigre trouvez pris bagarre quelle réaction plus naturelle restez imperturbablement maître-de cherchez bonnes paroles ramerier calme esprits sentez très mal aise cherchez ésquiver plus disérètement plus vite possible prenez parti discussion cräignez soutenir opinion dès ripostes offensives comme personnes entourent at-il moïnents pourriez reconnaître peu façon d'être -dans cette description l'esprit femmes hornme lettres elles jouets sensibilité surprises esclves étourdies événements milieux émotions rencontres tous les.effleufements dont tressaillent âme chair certainement peutêtre parfois oui souvent voï êtaz per passe invité chez amis table faim avezsaisir faucoup mal résister grign morceau pain 0fer yeux tous aucun ral faucoup mäl ous nuit arrivé passér toute qu'une per che ariquement parce nne sens l'autre sexe cela m'est arrivé jamais m'est difficulté rrivé avoir grandes cela m'endormir cause toute jamais passer nuit blanche etes-vous d'accord cet aphoris- lumière gaie tient l'esprit clair contente peu frais très sensible ain- biance lumineuse entoure pourvu yeux ration lumière poursuivre travail entrepris sens bien n'importe quelle ambiance etes-vous sensible odeurs oui très non tellement cornment procédez-vous généralement quand.vous trouvez devant mécanisme coinpliqué fonctionner commence réfléchir examinant j'ai très bonne sensibilité tac- faire tile commence manipuler mécanisme hasard fiant l'intuition mécanique doigts od00oo000o aimez-vous chasse beaucoup j'adore débusquer gibier assez c'est plus occasion faire belles promenades poursuivre gibier m'est assez indifférent tout j'ai horreur qu'on massacre inutilement animaux cette minute suffi sommeil tembât sommeil icrésistible brusque presque foudroÿant comme tout s'empare sens connaissez-vous som- meil-là oui m'endors souvent ainsi m'endors rarement aussi vite jamais s'écoule toujours très long temps avant trou- sommeil guy maupassant contes nouvelles allouma 1327 albin michel paris 1962 maupassant ouvrage cité auprès guérison time parle beaucoup d'une récente découverte permettrait guérir radicalement timidité d'après borg timidité maladie morale maladie physique prenez dit-il timide empêchez-le trembler rougir perdre attitude naturelle prendre attitude ridicule montrez-lui comment peut éviter manifestations physiques émotion l'aurez guéri mal jamais plus troublera passer examen déclarer amour à.une jeunefille doit jour parler public seul mérite d'avoir découvert moyen permet chacun instantanément sans effort maîtriser réflexes semble bien effet borg trouvé remède définitif timidité j'ai révélé méthode plusieurs amis l'un d'eux avocat point renoncer carrière tant sentait bouleversé chaque fois qu'il devait prendre parole prêtre malgré vaste intelligence pouvait décider- monter chaire tous deux stupéfaits résultats qu'ils obtinrent étudiant échoué plusieurs fois l'oral baccalauréat étonna professeurs dernière session passant examen brio étourdissant.un employé osait peine regarder directeur sentit soudain l'audace soumettre idée intéressante vit doubler appointements représentarit hésitait cinq bonnes minutes devant porte clients avant d'entrer devenu .un vendeur plein cran irrésistible sans douté désirez-vous acquérir aussi cette maîtrise vous-même cette audace bon aloi précieuses gagner dures batailles dla vie peux court article exposer détail méthode borg j'ai décidé auteur diffuser lecteurs priez donc b.g borg envoyer intéressant ouvrage documentaire lois éternelles succès l'adressera gratuitement voici adresse g.borg chez aubanel place saint-pierré avignon nee ape methode borg bon gratuit ——— découper recopier adres- ser borg chez aubanel place st-pierre avignon rece voir sans engagement part sous pli fermé lois éternelles succès sense sens
5,6,cette infranchissal rière nature incompra bar pavaner comme dindon etre hargneux comme dogue verrouillée entre jes ensit races manger comme coch sentais soudain connaiss avoir yeux chien fidèle sentiment profond racisme non raciste oui c'est sentiment trop rel l'aje alu véé prou etre têtu comme mulet etre jaloux comme tigre etre rapace comme vautour avoir flair d'un limier etre vif comme auguille avoir faim loup avoir regard d'aigle etre bête comme âne jacasser comme pie etre laborieux comme abeille etre malin comme singe avoir regard fouine etre rusé comme renard faire autruche etre moutonnier avoir instinct mère-poule avez-vous toujours grand désir progresser surpasser tout faites non c'est sentiment surtout jeunesse préoccupe plus guère actuellement oui toujours absents toujours tort pensez-vous dicton hélas généralement juste trouve injuste égaré quelque chose d'im- bortant quelle première action retrouver bien vite fouiller partout cela bouleverse choses place abord toucher rien chercher rémémorer bien mettre l'homme livre perversion sexuelles parce civilisation trop éloigné l'état nature partagez-vous cette opinion oui perversions sexuelles rencontrent essentiellement ché omme non elles correspondent traire côté bestial fidélité seul partenai tien exigée mariage ele pensez-vous fais s4e paraît supportable bien adaptée nature l'homme diff araît exigence maupassanr l'ouvrage ché avoir yeux chat etre sale comme cochon faire roue comme paon etre myope comme taupe faire lapinisme etre bonne vache lait métaphore animale abonde trottiner comme souris langue lorsqu'il s'agit dé- avoir rire chevalin crire l'allure physique compor- etre sobre comme chameau tement semblables dé- avoir cervelle d'oiseau crire… disons plutôt caricaturer etre sournois comme chacal païfois superficielles voire erronées avoir œil lynx métaphores cependant sou- dormir comme loir vent justesse psychologique papillonner sagesse populaire répéter comme perro voici liste métaphores etre quet bourru comme ours amuser cochez toutes avoir caractère chameau expressions paraissent s'ap- avoir l'orgueil lion pliquer personne pensez roucouler comme pigeon l'on dit etre gai comme pinson entourage bien mal avoir yeux porcins pouvez aussi faire subir l'épreuve-à avoïr langue vipère telle telle personne votré verser larmes crocodile tourage dont juge avoir mémoire d'éléphant verrez peutêtre quel siffler comme merle groupe z00 humäin possédez etre fort comme bœuf plus affinités électives avoir appétit oiseau tei amis surtout allez etre peau vaché tirer conséquences trop foncer comme faureau définitives etre faux comme serpent
6,7,tisfaire faut grand soi-même par29 rapport kinsey pans ement sonuel l'homme statistique indique comme fré nce rapports conjugaux quen moyenne semaine quel avis cette estimation chi iffre plutôt exagéré fre plutôt sous-estime aimeriez-vous disposer d'une belle voiture avoir aventures gajantes oui cest attrait essentiel époque saurais mme satisfaire genre d'atout plaisir préférez-vous partenaire sexuel poïte vêtements mode cela n'est absolument indifférent sensible imâis attache beaucoup importance cela paraît beaucoup contri buer charme aimez-vous parternairé sexuél parfume j'aime beaucoup cela cela m'est indifférent n'aime tout cela pensez-vous qu'en-occident majorité gens partisans longue préparation avant l'acte sexuel non tant qu'on dit cela dépend pays général avez-vous complexes séns assez souvent inhibé non crois o0q oqq qq0000q o0000q avez-vous besoin d'une longue accou- tumance lieu sen- tir aise non sens très vite partout chez oui j'ai besoin séjourner lon- guement endroit sentir l'aise 36. essayez-vous garder contact plus possible tous membres famille non trouve qu'il plus facile s'entendre aveé amis oui car rien peut remplacer famille etes-vous patriote j'aime beaucoup pays sens mal l'aise étrangers contre patriotisme tous hommes devraient considérer comme frères sans .tenir compte frontières rencontres avéc dés étrangers plaïsent beaucoup c'est pays préfère vvivré habitudes prises tromperie vie cet aphorisme päraît-il vrai faux trouve très douces contraire ïil faut méfier habitudes maïs elles simplifient bien vie l'aphorisme dit vrai faut éviter enlisernent habitudes etes-vous partisan d'une délimitation bien nette appartient oui jardin bien clôturé non passer temps surveiller biens rend vie terne mieux vaut fairé profiter autres également premier interlocuteur rencontrerez décrivez escalier spirale sans prononcer vous-même mot façon découvre plus rapidement possible démarrez proposant trouvez donc c'est. quand fait indiquez ici comment procédé regardez d'avance réponses proposées j'ai décrit lescalier spirale mots uniquement j'ai accompagné description verbale d'un mouvement giratoire l'index besoin paroles suffit d'un geste décrire j'escalier spirale gratiot-alphandeay renë zazzo traité psychologie lenfant histoire gunéralitas presses universitaires france publié sous direction-de gratiot-alphandéry rené zazzo histoire généralités développement biologique développement affectif moral maurice reuchlin traité psychologie appliquée applicationd poycholoain presses universitaires france publié sous direction maurice reuchlin t.l applications dela psychologie t.iv travailleurs emplois l'éducation développement individuel
7,8,lassione- trait indiquez petit test classique ous gnée reste conna crayon qu'après avoir pris grandes lignes tra parcourir parti tout suite 3is crayon point départ n'ai fait aucune faute car regardais attentivement d'avan voie choisie menait ître résultats voyez pages 68-69
8,9,l'enfance aujourd'hui oint passage nécessaire toute recherche psychologique féconde qu'on étudie formation catégories pensée objective conditions psychiques vie personnelle aspects pathologiques faut revenir l'enfance vivante éxpérimentalieu d'observation genèses prentissages événements l'étude tion contribuent déterminer tion ultérieure personnalité l'enfant n'est plus symbole l'innocence facilité difficile d'acquérir maîtrise rapports entre notions l'usage conceptuel noms genre d'espèce autant qu'il malaisé discipliner instincts conduite naguère représentation idéale thème littéraire l'enfant devenu un.objet savoir l'adulte cette transformation psychanalyse tenu rôle prépondérant analyses petit hans -et l'homme loups font date l'histoire psychologie elles mettent évidence l'existence pulsions sexuelles infantiles fantasmes qu'elles engendrent .et .ouvrent ainsi voie l'observation vie infantile suite semble sauf en-de rares cas l'enfance doive demeurer inaccessible l'analyse l'enfant entretient réalité rapport fragile sent prete surtout posfsant® anrise langage sufcat out ournir matériel assoait indispensable toute analyse trouver quelqu'un rer obstacles élaonnent procédures méthodes accès direct l'enfance œuvre conne mélanie klein dont roversée jugée hérétidienne gard doctrine freunction comprend pourtant qu'en lement lenrichit considéra ein prennent recherches mélanie octrine naissance cœur freud ainsi devons-nous utérieud marquer originalité clusions eppoier premières con- traitement sujet l'enfance apprend analytique névroses premières années passent moins l'émeres découvertes traumatismes très tôt évolu- mère esychanalyse l'âme présumée pure l'enfant n'offre l'analyse qu'une succession réglée comportements significatifs ordonnés buts objets pulsions source chaque stade développement psychique zone corporelle déterminée dont l'excitation signification sexuelle buts objets pulsions définissent différents stades développement infantile jamais totalement atteints possédés parce qu'ils appartiennent monde représentation psychique plutôt celui réalité monde désir plutôt celui besoinà outre exigences l'éducation entrent bientôt conflit chez l'enfant luimême recherche satisfaction contribuant ainsi refoulement certaines représentations pulsions conduisaient dernières peuvent alors être considérées comme quantités d'énergie psychique dont l'emploi s'il échappe keystone représentations refoulées ren- libre moment puberté cette énergie psychique subordonne généralement pulsion sexuelle ten- dant reproduction coït c'est l'âge stade génital peut être également utilisée d'autres activités intellectuelles physiques toutefois partie cette énergie demeure toujours liée représentations refoulées c'est concourt production tout vie psychique normale comme névroses psychoses valeur symptôme mots d'esprit lapsus actes manqués rêves angoisses phobies troubles fonctionnels d'origine psychique ainsi petits faits aberrants vie quotidienne aussi bien tout trahit état morbide témoignent l'action persistante représentations refoulées depuis l'enfance l'énergie psychique restée liée c'est explique l'enfance devenue référence nécessaire d'une méthode d'analyse demeure l'enfance telle qu'elle révéla freud traitement maladies mentales plutôt déduite qu'observée traits constitutifs stades développement vie psychique infantile postulait freud corrélatifs développement biologique surtout sexuel n'étaient hypothèses l'interprétation matériel associatif recueilli pendant cure supposait ainsi l'enfance référence maux l'adulte semblait l'analyse püt avoir accès directement apparition mere psychanalyse méthode d'interprétation dont l'objet fonction tels qu'il suffisait sans doute d'avoir père fallait aussi mère retrouver relation plus archaïque l'enfant monde extérieur autrui source plus profonde maux l'âge d'homme manifestation plus vive dualité instincts telle mouvement psychanalytique fonction mélanie klein premières communications mélanie klein devant sociétés psychanalyse budapest beree ————— freud puf paris 1965 arguments d'anna freud citée klein psychanalyse enfants puf paris 1959 12. domaine psychisme recherche d'une satisfaction distincte l'assouvissement physique l'événement primordial c'est qu'on entend désir cinq psychanalyses
9,10,lin véritable plaidoyer l'institution d'une psychanalyse préventive soulignant relation étroite constater entre désordres affectifs inhibitions intellectuelles propose conclusion observations d'élaborer éducation sache régler curiosité manifeste latente enfants prévienne toute fixation représentations nées l'insatisfaction puis refoulement cette curiosité favorise ainsi réemploi activité intellectuelle libérée toute l'énergie psychique disponible l'optimisme théorique débutante conduit ici souci d'instituer nouvelles normes éducatives délivreraient l'enfant conséquent l'aduite inquiétudes bien entravent développement bien prédisposent névroses cette exigence normative cet optimisme cruellement démentis progrès recherche qu'ils motivée vie mélanie klein marquée polémiques conduiront véritable matriarcat théorique tout autant œuvre conclura caractère fondamental l'agressivité dès naissance témoignent abondamment mélanie klein née 1882 vienne famille pauvre tradition culture juives petite-fille d'un rabbin dernière quatre enfants première éducation imprégnée rites lectures propres culture d'origine sœur plus âgée appris lire écrire meurt 1887 neuf ans frère aîné souffre d'une affec- tion cardiaque mourra 1902 vingt- cinq ans pense c'est fit naître mélanie klein vocation médicale tout cas c'est l'incita préparer l'examen d'entrée lycée jeunes filles ouvrait portes l'université entrée lycée 1896 mélanie klein fiancée dès 1899 après admission classe terminale l'in- génieur chimiste arthur klein l'épouse 19083 trois en- fants c'en fini études mé- decine 1903 1916 date l'ins- tallation famille budapest mé- lanie klein consacre temps laissent enfants l'étude l'art l'histoire probable cepen- dant découvre freud avant 1916. peu après arrivée budapest effet prend contact l'un élèves freud suit premiére anane uelle envisage consells jeunes d'appliquer psychanalyee nues enfants cette renalssanc assez tion longlemps contrariée différa forte rompre l'invi 1921 pendant vingt ans lemand karl tation psychanalyste rin abraham mélanie klein ier lle consacre envorce pratique recherterne intérêt che psychanalytiques vie infantile renforce enc modifie contact d'abraham également théoricien stades l'évolution libidinaleé karl abraham distingué effet stade période initiale développemen affectif l'enfant étroitement dépendante alimentation phase succion phase morsure cette dernière fantasme d'incorporation sein maternel associé selon pulsion destruction plus fortement souligné risques fixation l'énergie psychique fantasmes associés chaque phase s'est efforcé premier sans doute parmi psychanalystes jeter bases d'une interprétation psychoses reconnaissance phase destructrice sadique stade oral cette reconnaissance l'agressivité primordiale vie psychique associée interprétation psychoses reconduit toute première enfance aspects majeurs l'œuvre mélanie klein plus célèbre sandor ferenczl opposition l'orthodoxie freudienne cette influence théorique d'abraham superpose relation d'analyste analysée rompue sans être dénouée début 1924 mélanie klein entreprend effet seconde analyse didactique sous direction d'abraham celui-ci meurt 1995 avant l'analyse être menée terme vie professionnelle d'un .psychanalyste lequel connaissance claire propre in- conscient conditions ma- jeures l'efficacité cures qu'il dirige l'inachèvement d'une analyse di- dactique problème considérable analyste déjà aguerrie mélanie klein ignorait cette règle déontologique dis engagée pouvait renonc restait ouverte rilleuse l'auto-analyse quotidienne mprunter fonder payehanalyse mélanie klein oindre succès personnel vrai dut ecourir champ étendre dès séjour budapest mis point technique enfants fondée l'ütills ênalysy jeu enrichie pratique nique permit très vite diagno tech véritables névroses che stlque enfants analysés mit éige rôle déterminant joué extrêmement précoces joisseg sychique ignorées thèses mélanie klein rapide notoriété alurent vives controverses vienne anna freud dépositaire l'autorité père spécialisée aussi l'observation fantile contestait vivement l'exist névroses transfert chez ênte fants conséquent prin d'une cure psychanalytique adaptée l'installation lanie klein londres précipita mique polé 1925 effet président société britannique psychanal ernest jones invite mélanie venir londres sérle conférences adoptée cette soc s'installe alors angleterre naît bientôt l'intérieur société britannique psychanalyse véritable école kleinienne l'occasion polémique s'in taure dès 1926 entre anna freud mélanie klein ressemble bientôt véritable dissidence cette dissidence deviendra extrêmement nette lorsqu'il s'agira d'évaluer l'importance accor- der situations créatrices d'angoisse première année fantasmes associés pulsions destructrices où- servées dès stade oral sans aller jusqu scission cette dissidence soumettra contraintes polémique l'activité ultérieure mélanie klein défaut séré nité résultera conduira fil années positions plus plus dogmatiques conséquent faussées ainsi psychanalyse enfants parue 1932 suscite compte rendu critique assez dur d'ernest glover ira jusqu demar4 première communication cons crée l'examen développement d'un enfant mélanie klein rend remarquablement compte refoulement curiosité essais psychanalyse payot paris 1967 psychanalyse fois curative pédago- gique laquelle soumet psvchanalysle article majeur esquisse d'une histoire libido fondée psychanalyse troubles psychiques o.c payot paris 1967 255-313. cas freud dont l'opinion varié pouvoir valeur l'auto analyse auto-analyse très différente naturelle ment l'introspection instruite doit supposer démarche fondatni® simullanée pose problème scienlr fique sérieux l'introduction technique d'analyse enfants parue 1926 permet anna formuler premières critiques thèses mélanie klein etérence l'origine qu'une dirt fins anna freud proposait simple d'appliquer découvertes psyc lyse relation problèmes d'édeate comme mélanie klein jusqu'en 1921. celle dernière proposa traiter suj souffraient névroses infantiles 10. psychanaiyste anglais
