,page,text
0,1,less nes cpl eee ser ven suisse canada étre lent per chan -da monde imensuel/ ourd l/difeusion tee
1,2,mozere canton minichemenisteréoanspor
2,3,psaologie animaux doués capaci karen pryor comprendre savoir agir monde d'aujourd'hui lue août 1971 quiz mois avez-vous tempérament chercheur idées alfred charles kinsey deux rapports célèbres jacques mousseau connaître autres chirologie tradition superstition art claude bonnafont vie moderne féminisme france mythe réalité marie-jo renard entretien rhine psychologue l'impondér mary harrington hall psychologie animale valse dauphins vois donc pense vision développement pierre allun psychologie expérimentale tests psychologie appliquée test couleurs goûts révélateurs marie-josé houareau librairie freud civilisation enfants first street art ordinateur moles entre deux mondes jacq 100° mort marcel tur cinéma théâtre arts echos informations who who psychologie contestation
3,4,quizz avez-vous tempérament d'enfant gâté charmant capricieux coléreux supportant contradiction l'enfant gâté promène qualités défauts travers tous âges vie d'où viennentils éducation bien sûr souvent parce qu'il seul jouit sans partage d'un amour parental d'autant plus inexpérimenté immodéré nul rodé avant nul réclame après encore davantage l'enfant longtemps désiré l'enfant gâté peut éclore aussi milieu frères sœurs nombreux n'ont connu destin cela mesure circonstances particulières donné yeux parents certain caractère d'unicité enfant dont santé précocement aiteinte motiva soins incessants spéciale indulgence temps qu'une affection plus inquiète dernier-né tard venu dont parents vieillissants attendrissent tout réagissant déjà âme grands-parents amour d'enfant dont charme physique l'espièglerie fait préféré mène monde bébé-souvenir dont conception naïssance coïncida volontairement non événement grave heureux malheureux vie parents enfant après mort père subissant report inquiétudes sentiments nostalgiques liés l'image disparu tant d'autres raisons dont liste infinie toutes raisons venues milieu extérieur s'ajoute s'oppose tempérament intérieur équilibré capricieux nature tempérament fait être différent circonstances familiales seules laissent entrevoir élevés dure famille nombreuse pouvons avoir comportement d'enfant gâ- entourés soins excessifs pendant l'enfance pouvons de- venir équilibrés serviables al- truistes âge adulte questionnaire suit peut fa- voriser réflexion utile propension naturelle acquise manifester caractère d'enfant gà- caractère dont charme garder beaucoup naïveté spontanéité jeunesse mot dont l'inconvénient dé- pendance tyrannie l'égard l'entourage pierre 'achoppement relations autres préférable d'en prendre conscience dès aujourd'hui tenter d'en arrondir peu angles etes-vous enfant unique cadet d'une famille plusieurs enfants aîné rang intermédiaire famille plusieurs €nfants enfance étiez-vous considéré comme physiquement plutôt robuste plutôt sensible nerveux santé très fragile etes-vous entré l'école maternelle avant ans l'école maternelle après ans directement école primaire sans année d'école maternelle préalable robert lafont vocabulaire psychopéd® gogie p.u.f. paris 1969
4,5,"eceviez jouets juste del çouvenez-vous avoir eat énére toua pont satisfait grosses déceptions sujet 4,4 tyrannique égard jou en- dez taines personnes peut-être l'insu pure cela m'est arrivé l'égard lus ersonnes jusieurs seul cas con particulièrément premier souvenir en- tez ici d'en souvenez fance don tonalité base paraît-elle foncièrement reuse affectivement neutre nettement dysphorique exprimant insatisfaction profonde euphorique heuchaoun tlescents dissimulés salt cela cours ence avez-vous souvent reer petits merisonges sorties fredaines brandissan éntraînés besoin d'autonomie envers 'équemment our éluemment ainsi dire jamais ——————————— entourage a-t-il peur irritabilité oui assez manifeste rarement non tout aimez-vous l'effort plus tâche difficile plus excite désir vaincre parfois oui parfois non j'aime l'effort seulement lorsqu'il s'agit passe-temps j'aime mieux éviter autant possible avoir fournir grands efforts don l'angoisse situation difficile paralyse-t-elle -action -oui assez souvent -céla rest arrivé parfois non maîtrise suffisamment réagir sens angoissé rêves marquants dont gardé souvenir est-il arrivé plusieurs fois avoir sen timent exaltant que.vous effectuiez .des-prouesses rendaient su- périeur proches cela m'afrivér m'en souviens plus clairement non rêves dont -me souvienne oui plusieurs fois ressentez-vous facilement jalousie envers qu'obtiennent autres semble paraît normal d'en ressentir parfois paraît normal d'en ressentir assez souvent ——————————— ——— avez-vous mal supporter contredise surtout présence tiers oui n'aime cela cela m'est très désagréable j'essaie rester calme trouve normal contre dise parfois n'al mal rester calme aujourd'hui artisans font rares chers plus plus difficulté faire exécuter corree ement petites réparations spécialistes bonne enr pénsez-vous cette évo ution j'en satisfait car montr économie prospère oblige tout monde meme gens riches débrouiller eux-mêmes lieu-de aire toujours servir css nom souhaite recevoir gratuitemeñt évolution personnelle sociale professionnelle bat enseignement individualisé correspondance cours oraux soir paris lille stages pratiques frais d'études-déductibles parents revenu brut préparation divers diplômes sous conduite praticiens réputés psychotechnique graphologie morpho-psychologie psychopédagogie symbolisme rorschach cours international sexologie normale pathologique rééducation graphique relaxation psychosomatique etc dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut français culture humaine paris lille direction administrative foch 59-marcq-lille profession adresse documentation générale formule d'orientation invitation gratuite séance inaugurale session cours oraux paris octobre 1971"
5,6,bien dommage plus trouver artisan quand besoin j'en prends parti sais occasion mettre main pâte trouve faudrait lutter tous moyens contre cette disparition l'artisanat seul garant d'un travail bien fait cette évolution risque nuire l'économie pays après très vive discussion chef famille impose volonté quitte pièce lançant dit j'ai mauvais caractère parce tiens opinions faut reconnaître c'est bien toujours fondamentalement ral avez-vous déjà telle pensée après chaudes discussions oui bien sûr non jamais probablement parfois pense j'avais tort vie pensez-vous jusqu présent avoir plutôt chanceux malchanceux autre heurtez passant collègue tient bouteille celle-ci tombe brise contenu répand quelle réaction attendez-vous part cette personne vives insultes dictées colère mécontentement poli- tesse l'obligera contenir compréhension l'excuse geste involontairement maladroit ment collègue mécontente lave éclate aussitôl rép exe c'était involontaire excusez-moi voyons histoire ete désolé vais faire nécessaire remplacer teille nettoyer dégà ————————— vous-même collègue heurté seriez-vous furieux très probablement oul très probablement non peut-être cela dépend avant tout contexte ——— arrive-t-il jeter cage l'escalier cendre cigarette l'enveloppe bonbons mangez pourquoi concierge entretenir cet endroit public parfois non jamais quoi faire peut-être arrivé d'avoir céder place table invité plus considéré cela a-t-il paru désagréable oui plutôt non spécialement oui certaines circonstances autres non arrive vie l'on essuie rebuffade retentissante tel cas avez-vous tendance ressasser longtemps méc n'en jamais subi ———— étudiante racontait jour riant qu'elle aimait peu faire ménage fois semaine contentait pousser balai poussière sous lit cela jusqu simple fait mettre lit soulève tant poussière accumulée qu'elle souffle coupé contraignait neffoyage plus rationnel cette anecdote aurait-elle arriver oui non point non ceriainement propreté chez table premier servi estime cas norm meilleur morceau j'aime sais entretenir lrouvez être z-vous prendre oui hôtes pré plat premier sente fâchés prenne meilleur morceau m'arrange bon morceau politesse sers plus modes possible laisser sle possibilité bien prenq cilleue men lorsque c'est recevez esti mez-vous rôle avan tout d'égayer réunion conversation veiller chacun bien servi plus doué entrete nir conversation m'occuper service j'essaie m'occuper alternati vement peu deux veille d'abord sustenter invités n'interviens conversation lorsque c'est vraiment nécessaire très éprouvée voyage péni ble personnalité paraît réception préparée honneur arrivée tel cas pensez-vous agiriez comme certainement très mal point tiendrais décevoir gens donné mal bien cevoir oui j'étais vraiment malade non souffrais d'une indispo sition sans gravité très éprouvé voyag crois j'aurais forc® d'assister réception arrivée demanderais qu£ remise peu plus tal
6,7,dant quelques minutes feriez- pituellement mé- tel cas plan pécuniaire dut fous sentez cela ferais cesser aussitôt cette dis- arrivé plus souvent appels dès vou siquement traction punirais coupable d'emprunter prêter ecin bien phy sens retirerais sans faire d'éclat l'argent aussitôt ordonnant coupable parfois prêté arwe pien tuellement peu venir dès l'air chanté gent amis n'avez pttends habie malaise pas- mari terminé heureusement guère besoin voir fui-même joindrais groupe emprunter era d'être tout fait écouter aussi cette première n'avez jamais prêté nom oir quelque chose production publique mari emprunté l'argent certain ctt déranger spé ——————— ave ave mieux soi- caliste cat air èst bien rare capacités gens aujourd'hui peu aner moi-même appréciées juste valeur d'égards savoir-vivre qu'il vaut estimez-vous profes mieux montrer toujours sévère nomme aidez-vous sion vôtres suffisamment veut être respecté êles tâches ména- pécoptues cette opinion parait peu oie faire vaisselle oui exagérée ères telles l'aspirateur non n'en souffre trop cette opinion paraît juste hits jes courses pass non trouve cela terriblement cette opinion paraît nettement amer tro essimiste rencontre fem aidezvons contraire entourage plus marl répare gens égards d'électricité maison panne est-il arrivé d'abandonner savoir-vivre gens voiture voyage tâche entreprise études oui régulièrement profession non jamais loisirs parce qu'elle convenait cela m'est arrivé mails peu fré nature tempéra lorsque invité avez-vous quemment ment principe d'apporter cadeau non sais qu'elle utile maîtresse maison j'ai décidé qu'il fallait ache- oui mesure possible arrive t-il perdre calme ver j'apporte toujours cadeau sang-froid situation oui petites choses non parfois oui parfois non cela dédifficile grandes pend maints facteurs oui cela m'arrive oui faut reconnaître cela non n'ai principe c'est plutôt rare m'est arrivé hélas plus fois sujet ainsi dire jamais ——— —esti- homme marié répond quiz avant aimez-vous être mieux habillé quoique fidèle femme répond réunion oui question avez-vous cela m'est complètement indiffé- aventures extra-conjugales dérent sireriez-vous avoir cela trete- oui cela fait plutôt plaisir améliorer score virilité non cela gêne plutôt car cela femme lit quiz réponses fait remarquer autres mari croyant qu'il rnar trompée fait scène mé1 ——————————— nage énergique qu'il retrouve lit d'hôpital arrive-t-il dremière perdu quelle aussi d'améliorer réponc'est jusqu réent pat toujours questionnaire autres dissimuler for j'at lement rapport stricte réalité garder rire tel oui cela m'arrive cela cas ourire d'importance puisqu'il agit énr jeu colère parois avide non j'essaie embellir uitte alors salité ment place dour lais- réalité prisque ques ser voir tionnaires j'espère arriver meilleure connaissance ivé reconnaître qu'il m'est ar- mil are esclandre j'essaie d'être objectif réponses pense parvenir toujours joint agréable idée élo6 directeur voyant attendez-vou® voire conne gieuse sokmême eee jade here accourir appel avant den tendresse cher hension asp laîres bureau secré- compr sentiment rant découvre groupe entou- avant der heureux yadio portative émet ibre affectif venant 705 ment pére interpellée sévère- entôt c'est écrétaire fautive explique onforter tantôt c'est connaître résultats premiè arl ténor passe onforte voyez page fois ondes pen- téc
7,8,"savoir communiquer savoir écouter sélectionner retenir comprendre comment être cru apprécié savoir écrire savoir lire lecture rapide etc volumes chez gratuitemen vaincre timidité innées fait deviennent naturelles enseignent secrets savoir persuader avenir dépend art persuader comment s'im- poser devenir leader petit groupe réunion travail etc techniques font vendre etc quatre connaître autres apprenez quels tempérament caractère interlocu- teur sachez reconnaître dit écriture découvrez tests questionnaires etc mieux documentation gratuite fonrires retourner c.e.p.l france 114 champs-élysées paris belgique rue palais-st-jacques :7500 tournai suisse guillemin 1009 pully veuillez m'envoyer ensemble volumes force vie nom prénom adresse date signature durant jours j'aurai tout sonsulter passé délai pourrai l'acquérir compris réglerai quatre dpo sualités 29,80 men pourrai ren devoiret sans refus loisir tourner sans voir justifier vor teussite connaître autres savoir communiquer savoir persuader quatre facultés forcément techniques s'apprennent suite quatre ouvrages pendant jours bon d'examen gratut l——— vaincre timidité exercer volonté contrôler sentiments besoins îtrise pratique quotidienne mañtrfs soi c'est production bibliothèque cep"
8,9,l'amérique recevait premier kinsey sut comportement rapp0 l'homme comme coup milieu visage maines 250 000 exemplaires l'édition reliée enlevés l'édide poche dépassa rapidement d'exemplaires l'émotion considérable toutefois émotion pouvait tourñer ndale car non seulement alfred yinsey éminent professeur d'université non seulement l'enquête sociologique conduite cadre d'une grande université celle dindiana reçu l'appui moral financier conseil national recherche relevait directement l'académie nationale sciences quelques-unes plus hautes personnalités scientifiques etats unis cautionné l'entreprise personnellement engagées yelques l'amerique revision dechirante l'opinion publique s'émut deux raisons principales première fois projecteur fouillait force .et insistance domaine l'activité maine considéré comme interdit2 surtout regard froid implacable science qu'il découvrait ter- post l'image l'amérique s'était d'elle-même morale officielledns pronée vantée bafouée sie secret familles l'hypocrisexuelle domaine -mœurs comme tout moins apparaissait lisa attitude générale cipensait tradition pragmatique s'nspirer règle réalité devaient lune l'autre révélation insupportable législation etats-unis d'améprégie porte textes nombreux sexuel définir comportement sänctions geptable citoyen œux très diversifiées frappent tient contreviennent lois sanctions etats ainsi dernières elles prévoient elles vons toujours très lourdes ans 1000 dollars d'amende 1000 prison new jersey prison il8rs d'amende ans tags vermont concubidimale 000 dollars d'amende peine prison caroline sud ans ora peine maximale près publication second crime contre nature nrred gaaales cele net comportement sexuel femme docteur alfred kin- rapport selon lois vies américains devraient être prison crimes sexuels deux rapports kinsey orné sorte coup d'envoi sion déchirante conception faisait l'amérique normal l'anormal valeurs institutions chargées défendre pré face volume 750 pages sons titue rapport compo femme alfred kinsey sexuel l'application capricieuse favorise défaillances admila corruption policiers politiciens permet chantage livrent régulièremen policiers endre publication résultats ené grand remuela nation américaine sey déclarait gueur écrivait lois nistratives quêtes ménage keystone tous niveaux privé public moral religieux social politique deux rapports parmi textes plus souvent cités depuis vingt ans suscité pendant vingt années d'innombrables enquêtes complémentaires donné naissance vocations chercheurs animé débats durent encore propos révision lois sexualité contraception l'avortement sociologie sexualité commence officiellement alfred kinsey comme psychologie profondeurs commence sigmund freud certains travaux antérieurs ouvert voie l'un comme l'autre debut sociologie sexualite tout cependant débuté timidement presque innocemment 1938 l'association étudiants l'université d'indiana présenta pétition afin qu'un cours mariage organisé étudiants point marier récemment mariés l'éducation sexuelle mode amérique depuis 1930 nul n'osait donner nom réaliste cet enseignement baptisé cours vie familiale montrer qu'elles d'avant-garde plupart universités tenaient l'organisation cours répondre demande élèves l'université d'indiana décida confier responsabilité d'un cycle conférences groupe comprenant homme loi prêtre médecin savant estimant qu'une personne seule pourrait réunir toutes compétences nécessaires sur-le campus l'université savant respecté depuis près vingt ans étudiait animaux plantes alla chercher alfred kinsey laboratoire zoologie faire l'ouvrage publié france 1953 éditions pavois aujourd'hui épuisé être exact faut signaler quelques études antérieures comportement sexuel humain patronnées comité recherches problèmes sexuels créé sein division médicale conseil national recherche exemple celles hamilton 1928-1930 celles terman miler celles landis bolles 1938:1940 sodomie crime contre nature désigne législation américaine grande variété comportements sexuels considérés comme anti-naturels textes vagues ambigus point tout n'est rapport sexuel simple relève crime sodomie second rapport kinsey publié france 1954 editions amiot-dumont epuisé également
9,10,savant groupe estimant qu'il devait exister quelque rapport entre biologie animale biologie bumaine entre sexualité animale sexualité humaine biologiste specialiste parasites chene jusqu'en 1938 rieñ destinait alfred kinsey l'activité grâce laquelle allait devenir célèbre monde entier laquellé surtout allait consacrer énergie jusqu mourir d'une crise cardiaque août 1956. alfred charles kinsey naquit juin 1894 hoboken new jersey handicapé enfance üne maladie faillit l'emporter réfugia l'observation nature laquelle désirait vouer vie après deux années consacrées l'étude mécanique l'institut stevens père professeur comprit seule biologie passionnait vraiment acquit premiers titres domaine bowdoin college etat maine puis passa harvard obtint doctorat sciences 1920. dès fin études éntra l'université d'indiana nommé titulaire chaire zoülogie 1929. carrière continua dérouler ainsi sans incident jusqu'en 1938. très jeune kinsey s'était consacré l'étude cynips petits vers rongeurs parasites chêne suite nom breuses communications scientifiques sujet publication 1929 traité origines catégories supérieures cynips l'avait rendu célèbre parmi pairs raison implications évolutionnistes cette formätion cette longue compli- cité monde animal influença suite l'œuvre sociologique kinsey recheïches sexualité humaine tendance prendre comportement animal comme référence reprocha d'avoir impli- citement conception mécanique sexualité l'amena -envisager celle sous aspects physiologique biologique chimique écartant psychologie l'amour existet question kinsey posa sans doute cette attitude mécaniciste peut-elle avancer d'innombrables justi- fications aborder sexualité hu- maine fallait sérier difficultés prendre problème niveau plus simplé plus concret pro10 castration ment terrain solia longue fréquentator animaux conduisit spontt kinsey envisager servait termes stimul rae proche psychologie celle watson fondateur behaviorisme non celle cite d'ailleurs qu'une fois pat psychanalyse porté reprocher d'avoir consi rablement embrouillé problème mythes ses-complexes d'œdipe concepts sublimation latence. théorie comportements paraît plus solide celle névroses expliquer choix sexuels individus compris leurs déviations 1938 c'est plus devoir passion kinsey accepta présider destinées groupe chargé préparer étudiants l'université indiana mariage crois dit docteur paul gebhaïd dirige aujourd'hui l'institut kinsey auquel rendais visite 1967 qu'on s'est adressé parce qu'on connaissait tendances humanitaires pouvait demander aussi bien d'emmener boy-scouts faire randonnée forêt conseiller étudiants beau protester qu'il connaissait rien comportement sexuel humains rétorqua connaissance gresser prudem dement balisé celui dés animaux plantes qualifiait s'intéresser celui hommes kinsey pris conscience neant sexologie consciencieux kinsey passa l'été 1938 lire tout publié sexualité humaine plus lisait plus moutarde montait nez car découvrait l'on énor- sujet mément écrit écrit n'importe quoi ouvrages pré- tendus savants contenaient peu près aucune donnée objective vraient surtout spéculations quand rentrée universitaire vint moment cours alfred kinsey nétait plus savant sujet cours moins qu'avant l'été étudiants sans doute avait-on déjà affaire nouvelle génération posaient questions brutales sans honte auxquelles prêtre l'homme loi médecin pou vaient scientifiquement répondre tournaient alors vers savant masturbation est-elle néfaste faut-il avoir souvent rélations sexuelles kinsey connaissait davantage réponses savait lectures l'été personne connais säit jour répondit étu- diant masturbation fait mal non plus répondit l'étudiant donc conclut kinsey mol masturbation fait question autres die sora cours c'est ainsi naquit faire enquête statistique der objectivement compons sexuel humain enemy boutade allait vite débouch vaste entreprise kinsey inter étudiants classe puis cer autres classes puis ceux l'un sité d'indiana tout entière bientéy allait prendre l'ensemble territ américain comme terrain recherg pendant deux ans mena cette quête seul puis 1940 washington trouvait cem national recherche souhaite voir entreprendre recherches rieuses sociologie sexual soutien conseil national recherche responsables c.nr for tement impressionnés person nalité kinsey méthode programme déplacèrent l'indiana juger place pre miers résultats enregistrés 1941 offrirent l'argent kinsey sub ventionner enquêtes peu 1.600 dol lars première année augmentèrent régulièrement chaque année fondations privées telle -fondation rockefeller mirent également importantes disposition enfin dès début l'uni versité d'indiana soutint financièrement alfred kinsey recherche dès 1944 déchargea responsabilités professorales 1946 lendemain guerre laboratoire recherches sexuélles budget annuel 50:000 dot lars avril 1947 docteur kinsey auquel s'étaient joints docteurs wardell pomeroy paul gebhard dernier pris 1956 succes- sion kinsey rendit compte qu'il temps définir statut légal entreprise pro- priétaire milliers fiches trouvaient consignés récits recueillis cours d'entretiens appar- tenaient bibliothèque cessait s'enrichir collections d'art documents érotiques provenaient monde entier scan évolutionnistes faisaient encore qu'elles lépoque etats-unis parce toires considérées comme attenta tissant dogmes religieux 1925 reten- procès lieu mass® eparce qu'un professeur théorie université avoir enseign tie darwin. jamais watio être juste qu'il nome nie avan théorie celui-ci jamais tin kinsouiet lira utilement daniel gué all 47.401 university bloomington indianû moment apprenons publions cette étudè docteur pomeroy vient longtemps collaborateur kinst manuscri témettre éditeur américain biographie savant
