,page,text
0,1,nme mensueu/direusion sos series ans
1,2,commencer collecte universivaire dec. 1986 labsanre naissance grandiformat monde séhizophiène ————— inscrivez poste désiré recevoir bon ci-conil
2,3,"pshole comprendre savoir agir octobre 1971 quiz mois quelle sorte fou êtes-vous chercheur idées emile durkheim père sociologie scientifique andré akoun psychologie avancée prodigieuse mémoire due recherche extraordinaire soviétique luria alain lieury psychologie sociale accidents travail facteurs humains plus importants facteurs techniques marcel turbiaux devant miroir chimpanzé réagit comme homme stade miroir conscience soi gordon gallup université nouvelle pourquoi mathématiques modernes problème parents plus enfants rené boirel trois aspects sexualité féminine conception l'accouchement l'allaitement niles newton discours anti-psychiatrie médecine mentale saisie contestation jacques mousseau l'art dramatique secours malade mental psychologie animale sexologie psychologie clinique document sociologie rite cazeneuve entre hommes tiger manipulation l'esprit lobsack grimes châtiments loew l'avènement d'une nouvelle sensibilité j.-l. ferrier librairie cinéma arts echos informations who who psychologie prochain numéro vente novembre 1971 hot vou abonner lecture voyez page aps edite centre d'étude promotion êes paris 359.,86.50 225.02.88"
3,4,quelle sorte fou êtes-vous jules romains seul affirmer bar voix dôcteur knock sommés tous malades s'ignorent c'est éga- lement l'avis d'un certain nombre psychiatres manifestations mor- bides l'esprit observe chez lés malades mentaux ne- dif- fèrent radicalement simples exagérations dances psychologiques l'un plus grands caractérologues ernst kretschmer professeur psy- chiatrie sité tübingen montré l'aide ñnombreusés statistiques chaque caractère contenait germe tendances certaines maladies mentales teñdances révéle- raiént aussi bien sique bar type caractériel questionnaire suit devrait permettre deviner vefs quelle catégorie folie consti- tution tempérament pour- raient faire pencher caractéristiques physiques quelle taille hommes femmes inférieure égale 170 155 entre 171-175 156-160 supérieure 175 160 ten-normales ... neurologié-à l'univer- typé phy- quel poids entre ans hommes femmes inférieur -égal entre 51-60 46-55 supérieur quel tour tête inférieur entre supérieur développement tronc plutôt maïgre élancé épaules larges puüissantes ventre tendu thorax profond bombé d'où émerge ventre gras peau plutôt sèche anémiée cout tendue sans excès graisse grasse molle membres plutôt maigres décharnés caractérisés reliefs renflés muscles courts arrondis caractéristiques psychologiques etes-vous facilement rêveur oui cela m'arrive souvent non n'est genre 'étais adolescence tenue est-elle souvent excentrique oui faut bien mettre peu piment tenue cela plairait bien n'ose risquer jamais n'aime singu lariser tenue nourrissez-vous grandes ambr tions avenir oui faut voir grand l'on vel réussir ambition d'atteindre pont bonne qualification grandiose dans-mes projets n'aime distinguer autres j'ai horreur tous ceux mettent publiquement vedette ace j'aime mieux occuper modeste jeunesse arrivé faire fugue j'en médité beaucoup n'en jamais mis exécution n'en jamais envie
4,5,cat del oui cela m'est arrivé aujourd'hui cela paraît plutôt enfantin ——————— arrive-t-il d'avoir longues périodes d'attitude prostrée ressens moments lassitude laisse aller proches s'en aperçoivent guère m'arrive pouvoir reprendre immédiatement dessus vie circonstances guère favorables toujours hauts bas m'arrive être forme cela dure jamais longtemps ——— est-il difficile poursuivre jongtemps activité monotone effet dit d'ailleurs souvent tiens place n'aime beaucoup cela s'il faut fais cela m'est difficile contraire j'aime cela etes-vous très méfiant non tout cela joué plus d'un tour faut l'être parfois n'est lellement caractère oui plutôt méfiant j'aime examiner question avant prendre risques événements ont-ils chez grand retentissement oui très sensible moindre événement trouble beaucoup non j'ai buts atteindre fixe moi-même laisse circonstances extérieures avoir trop prise certains événements m'impressionnent j'essaie laisser aller impressions etes-vous sujet bouderie non m'arrive mettre colère l'oublie dès qu'elle passée boude parfois peu c'est rare boudais surtout quand j'étais plus jeune c'est arme eficace appelle d'éclats j'en use parfois encore trouve-t-on orgueilleux oui dit j'ai pourtant soin montrer toujours sous jour modeste dès l'ocsion s'en présente pop pet pss particulièrement modeste n'ai jamais taxé d'orgueil autant sache non reproche plutôt avoir assez d'orgueil avez-vous voix rire éclatants non comportement plutôt doux oui j'ai voix puissante ina voix paraît tout fait moyenne comment réagissez-vous stimulations tendent détourner attention l'exécution d'une tâche n'ai aucun mal tenir compte très concentré tenace quand fais quelque chose très sensible stimulations extérieures j'ai mal continuer tâche suffisamment isolé cela dépend moment parfois concentre bien fais parfois moins bien etes-vous considéré proches plutôt comme optimiste pessimiste comme foncièrement optimiste comme souvent trop pessimiste l'autre avez-vous sentiment pensées être plus profond tout fait incompris entourage particulièrement non sens contraire entouré compréhension oui sens terriblement incompris avez-vous parfois colères terribles imprévisibles oui quand pris colère casse tout mets souvent colère quand cela m'arrive assez motivée surprendre celui suscitée n'ai jamais colères bien terribles susceptibilité est-elle ombrageuse n'aime être attaqué cas sais défendre crois qu'on dise cela très susceptible plutôt l'inverse traite souvent bonne poire cpe avez-vous remarqué êles plus forme plus beauté société l'ordinaire oui cela donne regard plus brillant visage plus jeune plus coloré non timidité rend généralement terne société non reste égal moi-mêrme etes-vous facilement anxieux devant maladie non n'ai rien d'un hypocondriaque reproche plutôt d'oublier soigner quand faudrait n'aime être malade tant pense guère pense prévenir vaut mieux guérir car n'aime souffrir peu prévoyance évite bien maux c'est pourquoi soigne quand faut aimez-vous justifier logiquement actions préfère être logique fais bien peu gens capables tendance reprocher chez autrui cette recherche mettre pratique plus hautes facultés l'homme j'aime action l'action ressens besoïn justifier mots plus intuitif logique déteste rationalisation perpétuelle certains tout qu'ils fon
5,6,—————— j'en croi tions débarrassé depui mens dassi etes-vous stable affections non longte être facilement impassible plutôt yp° t'appelle restez-vous non ser fidélité enlève avoir jamaïs inconstant trop saveur l'existence crois qu'il bon .je peut toujouts avez-vous tendance plan affectif oui apparence car n'aime tout moins livrér facile- ent être .mmaai j'essaie arrive tou nude l'amour quelque ler beaucoup gesticuler jours comme voudrais édités ravivent plutôt parfois j'aime bien parler non trop nerveux qu'elles détruisent gesticule guère mai cela affectivement très stable 'je plutôt silencie j'attends autres qu'ils le- société gestes retenus plui etes-vous persévérant j'aime continuité tâche j'ai mal m'adapter fréquents changements j'adore chängement puis supporter travaillér toujours chose endroit j'aime changement j'aime stabilité faut deux être heureux j'adore parler jes autres rit souvent gestes m'aident mer xpri avez-vous facilement sentiments culpabilité parfois fautes commises autres oui cela sens sociy -très développé tels senti cite etes-vous facilement familier dendant uivent souvent j'aime garder dista nes trop sri cou abl familiärité conduit l'indis- paoe crétion propres fautes m'ap pesantis point tels senti ments crois tort j'essdie réparer puis j'ou blie vite l'affaire pourquoi trat ner inutilement idées gubres n'ai difficultés être familier tout êtres valeur quelle classe socialèé laquelle ïls appar- tiennent j'ai âme trop démo- .-.cratique attackier limpor- tance différénces classes respecte convenances -en usage milieu fré quente avez-vous fort sentiment ————— double personnalité s33 non sens toujours bien aimez isoler ous mez l'isolement etes-vous capable ironie assez peau parfois tout trop n'en faut mordante plusieurs tendances arte s'ap pauvrit rue oui pourquoi être toujours hypo- j'essaie harmonise® trop souvent isolé gifemént courtois c'est amu- façon qu'elles causé j'aime solitude c'est besoin diré parfois fait pes trop problèmes chez autres oui sentiment parfois j'aime rire j'essaie d'éviter fort j'ai l'impression ———— pourrait blesser autres dédoubler uñe partie mor humeur est-elle sujette harme evant tout sentir regardant vivre périodés hauts-et bas très mar momie autres l'ironie l'autre sans aucune participati paraît toujours inutile autre quées comme tout monde j'ai -des moments bonne mau- vaisé humeur tou- passer action paraît-il sou- avez-vous sentiment d'être char£ jours moyen réagir contre pénible responsabilités dépassent oui j'ai caractère insfable grande itude qnment forces ace capacités rend parfois vie difficile essitude peut dire non j'accepte volontiers entourage fais tout forçant ponsabilités non considéré don car j'aime mieux agir moments subir pars proches comme humeur très cela m'arrive quand fati pass débordé cela duré rénnese oui hélas malchance equenté chez mot chargé responsabilités au-déf etes-vous entêté ——— —=—— sus forces oui crois qua- etes sujet lité savoir persister tics décisi ell coomportemerits stéréotypés écision fois prise oui j'ai quelques petites manies tes-vous réfractaire disciplines assez peu non tout crains pparaissent surtout ectives éré contraire d'être trop influençable moments d'ennui dépression con .721 toujours considé j'en beaucoup plus du- perrme indépendant autres tant adolescence esoin beaucoup liberté per sonnelle
6,7,iste traits caractère parmi traits choisissezmarqués raissent plus faci appa rois qhez marquez-les roix après quoi chercheda petit tableau corer quelles colonnes nee trois réponses sue insi ajouter fin rez peau réponses page flegmatique revendicateut égoiste touche-à-tout triste explosif indifférent jaloux désordonné regard morne lent incompris figé trop rapide manque d'initiative manque fantaisie manque d'harmonie vanité fuite idées hallucinations lourdeur suscite scandales rire discordant rire jovial rit jamais imperturbable révolte active inhibé divague idées suicide manque d'idées veut toujours avoir raison versatile nerveux connaissances vagues souvenirs imprécis hésitez nom n'êtes d'une date butez numéro téléphone alors faut plonger l'annuaire rechercher voire agenda fouiller papiers temps perdu ... comme tout plus facile métier vie pouviez compter mémoire bonne mémoire fidèle précise comme ordinateur capable enregisirer capricieux tout voyez tout entendez visqueux restituer exactitude tout moment oire savez-vous cela acquiert plus lques semaines ment monde simpa lire petit ouvrage borg lois eternelles inte l'adresse gratuitement quiconque toujours procès cherche facilité cherche difficulté 0lx monocorde telle mêm g—t2 ode borg- bon gratuit opier adresser g.c borg chez aubanel rec déco pierre avignon recevoir sans engagement lois eternelles succès part sous pli fermé nom mme 3739 ———— rennes rene voye connaître résultats age ... page
7,8,cliffe- brown n'est-pas déraisonnable de- dire cé- pendant nombre style qu'on peut trouver -vieillot moralisateur esprit dogmatique durkheim semble incarner j'image professeur d'université croit-à science d'urie part morale -l'autre persuade firialité première peut être d'assürer progrès la- seconde telle image marque prement incompréhensible. durkheim-soït cité ailleurs poussiéreusés- thèses universitaires des-discoürs -réception telle bustelle acadé émie -pourtänt près ancêtres plus mins légitimement pects élle trouve durkheim. rend pro- .source- directe durkhigim effet ogië seule façon acoëpr- table celle sciencés déjà établies -sciencés- de- iature accüsé rompre lien attachait- sociol6 gie philosophie ... -rappeler jes conditions possiblités d'une survie -dusocial sociologue peut utiliser d'autres informations qué celles vienfent d'une observation controlable relèvent là- d'un tai tement objectif social réduit indé viduel durkheim-montrefa cétté irréductibilité .du social -non bhilosophe scientifique utilisant l'instrument mathématique -que sffraient statistiques toût reconnaissant impor sociologie d'enquêté de- lin-= terprétation dés relations statistiques sociologue peut contenter-d'uné collecte faits c'est qu'il s'agit décrire poussière faits fle avril 1858 -d'une famille rabbins c'est milieu familial fois très chaud très austère s'est forgé .son caractère cette double dimen- sion d'amour science volon- -morale d'iquiétude -savant -durkheim epinal d'assürance prophète inaladie père obligea durkheim assumer d'expliquer séries phéno- mènés. avant aller plus loin l'étüde l'œuvre intéressant connaître l'homme très tôt les- responsabilités chef famille acc .le- sérieux grave ... etudes brillantes d'un jeune homme pauvre bilan die collège ville urkheim lauréat concours géné ral ressources financières famille cependant faites mo- destes durkheim afin d'avoir sub- sides poursuivre études choi- sit présenter concours d'entrée sir l'intérieur motivations témoignere barrès dont durkheim entua penchant l'ecole normale supérieure paris l'ami d'un autre didat concours candid entrera avant l'ecole jaurès faut comprendre l'atmosp de-l'époque celle l'ecole jean hère buts l'œuvre durkhëim france malade blessée doublement malade suites commune d'abord jes classes pauvres traitées parias la- société décimées réduites silence ellés n'ont point intégrées réstent exclues cité prolétaire .campe jes zones -suburbaines tra ville silencieux usines demeure étranger nation blésséé d'une amputation ensüite l'aï femagrie occupe l'alsace -et'la lorraine toute france traditionnelle répondra nationalisme vif dont l'écôle -=une génération .d'intelestiels donne mission cémprendre raisons malheur .-social nätional surtout forger nouvelle spiritualité l'ecole nor -maälé supérieure c'est peu l'ordre truction-publique ÿoéation l'ecole vécue comme tâche véritable évangélisation- civique c'est esprit intransigeant ani méra l'esprit nationaliste droite .côntre -uné répüblique abhorrée universalisme égalitarisme juridisme temps dué absence -respect propres principes -et anime gauche intellectuels socialistes socialisme peu rapport âvec mot signifie aujourd'hui alors-lé croyance raison -la république vertu l'instruction tout ensemble d'idéaux majusculés service quels durkheim mettra œuvre jaurès verbe action qu'on permette citer page de° frs radclilfe-brown socio éthnologue anglais 1881-1955 ui-même comme représentant sociologie comparative aru bronislaw malinowski lire l'article psychologie 11. talcott parsons figures mmier plan sociologie américaine d'ap buertre s'opposant tendances empiristes once réstituer théorie place pes faut lazarsfeld sociologue américain cié enseigné comme professeur fiat etes orgonne méthodologie mult pcoup sociologié partielles apporté
8,9,gémentaires vie relipos verre comment réhendée cociété mystique comment divin social d'une écrit durkheim qu'une société tout n'est faut pout éveiller cent générale seule action qu'elle sensation divin eee membres qu'un cal fidèles dieu effet abord être l'homme gest certains côtés comme soi-même dont croit dépendre société aussi entretient sensation d'une erpétuelle dépendance .parce nature propre différente nature individus poursuit fins également spéciales comme peut atteindre intermédiire réclème impérieusement concours exige .que oublieux intérêts fassions .ses serviteurs elle-nous astreint toutes sortes gênes privations sacrifices sans lesquels vie sociale impossible toutefois société n'obtenait concessions sacrifices contrainte matérielle pourrait éveiller l'idée d'une force physique laquelle faut céder nécessité morale comme celle religions adorent réalité l'empire qu'elle exerce consciences tient beaucoup moins suprématie physique dont privilège l'au torité morale dont -elle investie déférons ordres ce-n'est simplement parce qu'elle armée manière triompher n0s résises c'est avant tout parce qu'elle l'objet d'un véritable respect sociologie l'oppose marxisme durkheim désigné sociale pédagogie science pend université bordeaux dur dminze ans jusqu'en 1902 d'un sim -crée inlassablement auprès mai auditoire composé d'étudiants nat aussi d'un très grand nombre conviction science science science normative c'est-à-dire truire doit permettre cons eve règles vie collective hore l'instrument bonheur ans article paru deaux revue philomathique logi intitulé l'enseignement s77 l'université bordeaux dége iteur durkheim. delpr ainsi l'impression avaien atonr0 esseur étudiants vel lez vain oppements littéraires non d'une -puissance tant îles l'écou pé- riodes effet appels sentime res bien s'accommoder monteur durkheim s'interdit hra généralités vastes thèses qu'il veut agiter problèmes construire sys- èmes observe faits analyse explique lois enfin moins conclusions qu'il tire résultats qu'il enre gistre qu'il enferme propositions formules précision la- rigueur premier cours durkheim portera solidarité sociale l'intention ainsi marquée dès premiers mettre centre recherche problème consensus social conscience collective durkheim situe dans.la postérité directe d'auguste comte question autour laquelle tourne l'œuvre durkheim celle-ci comment faire qu'une société laquelle travail divise l'in- fini puisse conserver cohérence interne cette cohérence fait d'elle société c'est-à-dire -constience collective appréhender ainsi social comme réalité psychique non seulement transcende psychisme individus pénètre donner normes fins c'est distingue radicalement durkheim courant sociologique marx max weber met l'accent monde l'économie relations sociales conflictuelles conflits sociaux politiques durkheim secret ultime l'histoire. maladie sociétés modernes c'est fonction socio logue diagnostique cette maladie chercher quels moyens faire retro ver société cette religiosints cette puissance morale perte temps croyance igieuses seule science peut aujo hui usciter. d'hue rallèle entre durkheim marx évélateur distance sép sciol marxisme car sociosoc côté durkheim chez durkheim gone isi unité d'abord semblent miner symptômes maux complissement réformateur médele socio rer société ciné qu'elle rericontre -dans dieu buts sociaux poursuite marx contraire met contradiction oppose entre elles société salité n'est qu'une fausse dont fonction masquer image historique lutte mort sociologue réformateur sauver société guéqui oppose militant révolutionnaire oce prend parti accélérer ssus décomposition ausse unité sociale important situer ainsi positions opposées sociologue révolutionnaire car sociologue peut tant tel être révolutionnaire reste savoir quel côté trouve science fondateur sociologie -scientifique cette foi qu'on peut juger naïve possède durkheim société capacité d'intégration n'hypothèque cependant œuvre seul exemple suffit l'ethnologue kroeber spécialiste religions australiennes qu'il étudiées terrain différence durkheim écrit parlant livre durkheim cité cela vingt-cinq ans après parution longtemps j'en convaincu depuis j'ai chance d'être comprendre vie indigène australie j'ai émerveillé façon remarquable dont durkheim capable pénétrer cette vie travers speñcer gillin strehlow quelques autres ne-peut maintenir entièrément position durkheim œuvre reste source d'inspiration fait c'est qu'on appelé positivisme durkheim c'est-à-dire cette volonté d'être comme physicien biologiste devant faits sociaux donne -travaux cet intérêt permanent temps cours comme écho durkheim publie grandes œuvres surtout 1896 durkheim fonde l'année sociologique revue annuelle durant années permettre confrontation -l'échelon international enñtre chercheurs français allemands anglais américains c'est peut-être l'année sociologique trouve meilleur durkheim car expriment curiosité multiple intuition c'est autour cette revue -qui parut sans interruption sous direction 1897 1914 durkheim organisa l'ecole française sociologie n'est moins important œuvre fait durkheim sut animer véritable équipe spécialistes compta parmi plus grands noms rangs premier lieu marcel mauss 1872-1950 neveu durkheiïm principal continuateur robert hertz 1882-1915 œuvre inachevée fait mort paris alcan 1925 cité monde mai 1970. cité lévi-strauss sociologie xxo siècle paris p.u.f. 1948 voir notice bibliographique fin cet article page 15. editée presses universitaires france
9,10,conception psychologique guerre entrepris socio gie techniques corps gestes paul fauconnet 1938 henri lévy-bruhl rpga-1e8t développèrent sociologie dique françois simiand 1873-193 maurice halbwachs 1877-1945 dont travaux relèvent sociologie économique georges davy 1883 étudie formation pouvoir politique partir clan totémique célestin bougle 1870-1940 dont l'étude castes inde fait encore autorité autres encore côté sociologues chercheurs sciences voisines nombreux géographes comme albert demangeon linguistes comme antoine meillet ferdinand saussure emile benveniste historiens comme louis gernet gustave glotz louis hourticq sinologue comme marcel granet chef d'école tyrannique plupart ceux ainsi regroupés autour durkheim l'année sociologique formation analogue ecole normale supérieure carrière professorale aussi option idéologique commune puisque presque tous voulaient militants socialistes certains comme mauss simiand lévy-bruhl lucien herr participent fondation journal jaurès l'humanité faut comprendre quelle solidarité groupe liait entre membres l'ecole française sociologie unité d'origine intellectuelle choix poli- tique mails aussi unité d'amitié sem- blable celle jules romains aussi ancien élève l'ecole décrit livre copains notons cependant l'engagement poli- tique durkheim plus tiède plus réservé 1902 durkheim nommé paris chaire rattachée département philosophie deviendra 1913 chaire sociologie sorbonne l'arrivée durkheim sorbonne s'ouvre période peu peu idées deviendront jes idées dominantes durkheim exercé sorte d'imperium peu tyrannique monde idées l'université c'est incontestable moins mérite légiti- mait l'ennui vint plus tard lorsque durkheim mort durkheimiens conti- nuërent d'imposer l'esprit groupe dela socete sans toujours jre clan talenc excuse dictature onc cette dictature réelle luotuels sentie hargne conservateurs unissaien ormême mépris république tout male sociologie bolisait décadence nationale l'exemple republié monde dagas guiliaume tarde messie l'esprit nouvelle paies crise culture crise çais mercure france chargé dignités universiaress durkheim régent l'on bonne maître tout-puissant sait professeurs philosophie réduits rôle simples fonctionnaires suivent ordres courbés sous ïéru matique autoritaire durkheim toute licence d'exercer ins tinct différents conseils siège enselgnement dont fait domaine propre pédagogie c'est grande création dironsnous grande pensée nouvelle sorbonne certes recueille aphorismes dont nul contestera l'utilité exemple faut placer élèves myopes premiers rangs autres fond classe base cet enselgnement c'est l'histoire doctrines pédagogiques l'arrière-pensée plus moins avouée démontrer supériorité méthodes d'éducation récentes inspiration positiviste pédagogie c'est ainsi dire moyen défense l'enseignement nouveau pédagogie plus encore pré- rogatives d'autorité administrative attribuées durkheim éta- bli fortement despotisme intellec- tuel fait enseignement instrument règne 1914 jaurès assassiné guerre éclate l'humanisme socialiste foi paix universelle semblent alors rele- ver l'utopie dérisoire durkheim commence période tristesse s'achèvera novembre 1917 mort citons 1915 fils jeune normalien tué front salonique peu temps après climat d'antiger- manisme nationalisme exacerbés caractérisait l'époque sénateur demande commission chargée contrôler permis séjour étrangers bien vouloir réviser cas français professeur sentant sans doute tendu kriegsministerium allemand üne certaine droite prenait revanche coup pied l'âne reste nom sénateur oublié alors durkheïm honoré comme hauts représentants cut française urg comme nombre d'intellectuels heim soumet pendant durée guerre plume besoins propagande patriotique dès 194 assure secrétariat d'un comité char publication textes gande comité font également tle lavisse bergson lanson ernest denis durkheim publie pamphlet qu'il qualifie récit obje tif voulu guerre gines guerre d'après ments diplomatiques 1915 étonné trouver seules l'allemagne l'autriche respon sables conflit quelques mol durk plus tard üun autre texte j'alle magne au-dessus tout montre comment système mental moral l'allemagne explique bellicisme voit sociologie plus qu'une autre science garantit chercheur contre ivresses l'idéologie recherche ciment social préface seconde édition livre division travail social durkheim manifeste quel souci anime recherche souci mêlent l'esprit d'analyse scientifique préoccupation morale écrit tandis fonctions éco- nomiques jouaient jadis qu'un rôle secondaire elles maintenant premier rang devant elles voit plus plus reculer fonctions mili- taires administratives religieuses seules fonctions scientifiques état disputer place encore science actuellement telle guère prestige mesure peut servir pra- tique c'est-à-dire grande partie professions économiques c'est pourquoi non sans quelque raison dire sociétés qu'elles tendent être essentiellement indus- trielles forme d'activité pris telle place l'ensemble vie sociale peut évidemment rester point déréglée sans qu'il résulte troubles plus profonds c'est notamment source démorallsation générale confronté société moderne parcellisation tâches économiques l'accroissement l'individualisme entraînent diminution consensus sociologue double tâche comprendre raisons font tissu social s'effiloche conscience collective s'affaiblit proposer mesures per mettraient chaque homme réinsérer collectivité retrouver sens communauté centre donc l'œuvre durkheim trouve notion conscience collec- tive ensemble croyances
