,page,text
0,1,
1,2,psychologie devenu sujet conversation toutes universités lille marseille psychologie chacun numé conversation niveau passionnant humaines approche l'individu société culture déjà entrez lieu prix spécial étudiants 2407 cadeau noël intelligent faire gens intelligents connaissez faites entrer aussi amis parents ceux dont respectez l'intelligence cette conversation pouvez abonner psychologie tarif préférentiel réservé anx étudiants lieu numéro carte d'étudiant suffit ros sciences vie 0°0°0° 000 0°0°0°0°0°0°0°0 000000 bibliothèque cartongle universitaire 18. dec. 1986 lausanne chaque mois psychologie auteurs cheï- cheurs professeurs plus qualifiés parlent problèmes passionnent aspeci vie rencontrons chaque jour discutent sujets plus divers société consommation l'inconscient mémoire l'urbë nisation publicité etc chaque mois 8ar morin robert jaulin compléter ormatio recherch études propres sychologie offre moyen
2,3,d'aujourd'hui novembre 1971 connaissez-vous piaget claude bonnafont idées :10 pierre janet anti-freudien virulent jacqueline hubert érimentale 19. tribulations expérimentaliste comment travaille un-psychologue terrain jean chaguiboff mois animale amours mouche drosophile leçons applicables l'homme lee ehrman jie clinique troubles mentaux sont-ils héréditaires nouvelles perspectives psychiatrie infantile françois clairval aliénation est-elle nature politique aliéné pourquoi melvin selman sociologue américain david riesman l'auteur foule solitaire conteste contestation propos recueillis georges harris tre époque etien uée t.a.t révolution appliquée querelles autour tests projectifs catherine grunfeder lévi-strauss librairie -68 eavond freedom and dignity skinner lais vacuité d'un dimanche anglais cinéma acques low résistant arts dar jean-louis ferrier who who psychologie ——— informations echos prochain méro vente décembre 1971
3,4,222 iniric quiz connaissez-vous piaget claude bonnafont déjà numéro sepiembre 1971 connaissez-vous freud fait varier formule quiz traditionnellement ouvre chaque numéro psychologie jeu borne plus question connaissez-vous vous-même s'étend domaine connaissez connaissances sous forme amusante offrons occasion vérifier savoir tel tel domaine sciences humaines voire étendre effet peut être intéressant noter chacune réponses calculer total bons mauvais points bonnes réponses fin nu- méro apporteront nombreuses informations cette rubrique présente fois comme jeu article article conçu peu selon méthodes modernes l'enseigne- ment programmé ——— jean piaget originaire neuchâte lyon bruxelles père avocat mathématicien importe suriout reporter historien préoccupé l'histoire naturelle piaget passionne dès l'enfance malacologie mycologie myologie quel âge publie-t-il premières notes scientifiques ans ans ans rencontre initiale philosophie fait travers l'ouvrage ainsi parlait zarathoustra l'evolution créatrice monde comme volonté comme représentation
4,5,premier maître penser claparède dantec reymond …—…—— —————— thèse piaget philosophie s'intitule esquisse d'un néo-pragmalisme réalisme nominalisme jes sciences vie introduction l'épistémologie génétique paris piaget travaillé laboratoire pierre janet alfred binet henri piéron quelle année est-il nommé professeur sorbonne 1949 1952 wen 1959 quel philosophe succède-t-il maurice merleau-ponty jean-paul sartre michel foucault attribuez chacun trois concepis définition piagétienne appartenance pärtilive appartenance schématique appartenance inclusive relation entre individu classe dont fait partie relation laquelle élément n'est qu'une partie spatiale morceau d'un objet total identification d'un élément assimilation récognilive schème perceptif sensori-moleur quel concept répond cette défini tion piaget réaction active d'un sujet tendant compenser perturbations d'un système accommodation discussion équilibration trouve institut jean-jacquesrousseau zurich genève lausanne cet institut fondé jean-jacques rousseau edouard ciaparède maria montessori pottridire toni ere bärbe inhelder collaboratrice piaget ministre danois l'education nom jeune fille free femme ———— combien d'ouvrages arlicles communications piaget at-il publiés centaine environ entre 200 250 xto plus 450 revue scientifique qu'il publie presses universitaires france s'intitule revue helvétique psycholok gie archives psychologie notes épistémologiques l'épistémologie l'étude philosophique l'origine nature limites savoir partie logique étudie posteriori méthodes différentes sciences leurs types connaissance l'art faire découvrir l'interlocuteur série questions vérités qu'il porte ———— posé question fondamentale l'épistémologie comment connaissance esl-elle possible spinoza hegel kant timidité esi-elle maladie confession ancien timide j'avais toujours éprouvé secrète admiration borg sang-froid dont faisait preuve examens laculté aisance naturelle savait garder lorsque allions monde perpétuel sujet étonnement soir l'hiver dernier rencontrai paris banquet anciens camarades études plaisir revoir après séparation vingt ans poussant confidences vîinmes naturellement raconter vies cachai mienne être bien meilleure toujours affreux timide borg dit j'ai souvent réfléchi phénomène contradictoire timides généralement êtres supérieurs pourraient réaliser grandes choses rendent parfaitement compte mal condamne manière presque fatale végéter situation médiocres indignes valeur heureusement timidité peut être guérie suffit attaquer bon côté faut avant tout considérer sérieux comme maladie physique non plus seulement comme maladie imaginaire borg indiqua alors procédé très simple régulorise respiration calme battements cœur desserre gorge empêche rougir permet garder sang-froid jes circonstances plus embarrassantes suivis conseil bientôt joie constater trouvais enfin délivré complètement timidité plusieurs amis révélé cette méthode obtenu résultats extraordinaires grâce étudiants réussi leurs examens représentants doublé chiffre affaires hommes décidés déclarer amour femme choix ... jeune avocat bafouillait lamentablement cours plaidoirles acquis art riposte valu succès retentissants place manque donner ici plus détails voulez acquérir cette maîtrise vous-même cette audace bon aloi meilleurs atouts réussir vie demandez h.t borg petit livre lois éternelles succès envoie gratuitement quiconque désire vaincre timidité voici adresse h.t borg chez aubanel place saint-pierre avignon sorian méthode borg bon gratui/r découper recopier adresser h.t borg chez aubanel place st-pierre avignon recevoir sans engagement part sous pli fermé lois éternelles succès
5,6,trois caractères accolé piaget estime psycho transformations d'auto quel adjectif piaget istémo- cupe france ste finissent concept pagérieleee recherches qux préciser pro normale satistaié classe logique ivilégiée anormalement per collection figurale pre pensée anormalement défavorisée iri trüuctüre génétique syncrétique epistémologiste psychologue teur études pia tai quel ordre.se déroulent sociologie fses propres enfants indiquez développement zoologi fes nouveaunés trois stades développer sciences physiques aouve l'intelligence stade l'intelligence sensork enfants l'assistan materniti publi motrice jean piaget fume -quasiment per paris stade réflexes manence stade premières habitudes pipe motrices cigarillo -j'étude chez l'enfant l'intuition la-cigarette temps comparée l'intuition vitesse demandée piagé d'après piaget connaïssanée possible vertu paru 1923 premier ouvrag wernér heisenberg primat sujet important piaget psycho- albert einstein primat l'objet logie l'enfant s'intitule louis broglie d'une interaction sujet-objet formation symbole chez ——————————— enfant 23. langage pensée chez piaget clef voûte propos enseignement classique l'enfant réforme l'enseignement situe l'orthographe piaget estimé qu'il jigement moral chez l'enfant niveau d'une généralisation méthodes efficace actives superflu d'une refonte complète pro- inadapté toutefois indispen- grammes .sable formation maîtres 38. lorsqu'il qualifie l'enfant égôcen- quel trois stades celui trique .piaget utilise cet adjectif suit immédiatement l'apparition dans-un sens langage chez l'enfant lafectif stade opérations intellectuelles épistémologique abstraites d'imoral stade l'intelligence intuitive stade opérations intellectuelles concrètes é6ctent nombreux organismes bénéficie programmes d'enseignement piaget souhaite apportée adjonction suivante utilisation intensive audio- visuel participation oops hste imitiation méthode expé- teen piaget l'invention rimentale celui relève institut psychologie centre international épistémo gie génétique manon bureau international l'educ approche moderne l'étude langues mortes —————————————————— ———.—.—— d'après piaget quel ordre s'ef quel biologiste dédié tion fectuent l'acquisition langage piaget intitulé biologie jstitut international d'épistémo celle pensée connaissance logie expérimentale cou langage précède pensée jean rostand institut jean-jacques-rous® cholo- ola pensée précède lañgage trofim dessinovitch lyssenko union internationale psÿ pensée langage acquièrent thomas hunt morgan 8le scientifique façon concomitante bureau jean piaget claÿ uments financé fondation centre seurs livres dossiers doc annuaires revue notes etc international épistémologie géné- expériences piaget conservation démontré qu'elle s'acquiert trois étapes indiquez ntas tique jonal d'ed quel ordre acquièrent trois classés êle mêle bureau internationa uca- sous-stades rangé rigueur dent souci tion substance d'ecthé selon évide l'université genève volume 1étique fondation rockefeller poids voir résuhats page
6,7,tete tout finit s'arranger début billet d'avion donnait out juste droit d'être transporté point autre depuis beaupoup air passé sous ailes tour tour servi eme rce chaud vol réalisé ère liaison transatlantique ère jet 7/07 fait voler remi premiers 747. étonnez donc pan encore rois nouvelle charte chat jeu aérien set marié prix simple billet ees service fait plus nes aérienne touts entée monde celle aire uuts fait continue plus passagers vol plus varié proen pan apres musicaux habituels sxclusif propose ensemble pop spa distractions musique rad pécialement enregistrée films onimo deux granté 9ut endormi variétés plus sélection musique douce l'écouter nouveaux écouteurs merveilleusement souples légers meilleurs lits monde prenant billet pouvez demander qu'on réserve gra cieusement champ désirez chambre d'hôtel chacune étapes voiture correspondances autres compagnies billet clé etats-unis ... ailleurs car pan àâm mesure vec ous mettre rapport dev schange résiurse centrale d'éc l'ardences écon® ere gentetvivrez chezvous étranger résidence encore voyage connaissez adresse pan donne courrier seule adresse toujours ville ville bureau pan plus 230 bureaux pan monde quoi encourager amis écrire léger supplément exlgé règlements iata compagnie aérienne plus expérimentée monde paris tél 995.92.00 nice tél 88.99.1 1-lyon tél 42.62.02
7,8,auj ourd hui psychanalyse dienne non freudienne tient haüt pavé psychiatrique peine croire pierre janet pen dant tout temps france -çette sorte dictateur éclairé médi idées freud chaëtir roubles- sümatiques corps don ané païle -freud commun it=qu'ils nature hiqué reviendrons cela ouvér pillage intellectuel pandré da-légendé selon läquellé utilisa- mälhonniétément .des dés janet développées orsd'une chez charcot et- -dans onférénces idées .iété l'origine faudrait être aveugle tout sépare cünceptions janet dé- gellés -de-freud souscrite pâcou ation plagiat= certes janet -êt freüd parlent phénomènés cients -maïis.il.s agit hoses- radicale ment opposées comme nousile vérrons plus loin ... freud dit souvent -pierre touche c'est.la-notion refoulement part trouve cétté notion janêt quant l'inconscient -i1 n'est jamais coriçu jänet comme système psychique déterminant l'ordre conscient côntroverse eñtre deux péri seurs n'être qu'un débat +hé0- rique devint faute janet ulle chez jaissait dominer jui l'aigreur ressentiment querelle per- sonnes voire querelle basse cuisine janet opposa barrage plus obstiné plus efficate propa- gatjon idées freudieñnes france freu yêtés français assez drôle gendre janét écrivit etudes sür l'hysté- -psychaäfalyse fgies jamais fait pouvez faire idée niveau fique d'après déclaration quelle l'inconséient façon parler non verrai d'abord pensé épargner cette litesse sous -le -prétexte n'étais bien qûe- pouvais plus exprimer français aucune fäison faire ... honnêteté -sêule chose possible mpolitésse tout fait acceptable injuste rétour-des- choses jourd'hui c'est dictature- éclairée freùd .qui- fait obstacle gloire moindre -beut-êtré incontestable janet combat scientifique ün- -duel -ni compétition sportive jeur haines person -rent seules subsistent leurs idées -témps est- appelé redonner janet jour freud alors devénu uñe-gloire europe usa de- mänder s'il accepterait rencontrer -janêt -freud refusa -s'en expliqua- -dans lettre marié bonäparte avril 1837 citée bar ernest jones fra biographie -de freud tome reproduisons non -vérrai -janet puis- m'empéchor- réprochèr -s'être .conduit injüstément l'égard psychanalyse aussi pérsoñnellement et-de- n'ai rlen- fait réparer celà bête rour dire l'idée voir jamais ie-füt assez dure étiolo sexüelle névroses pouvaït -lâtmosphère d'üne -puis lorsque les- vain répandirent rumeur frança j'aurais suivi confé- rences aürais volé idées mettre fin tels fait entendu orononcer période charcot chose -plâce pionnieret théoricien ja-science psychiatrique celle d'un pères psÿchologie expérimentale pierre- janet patis -en 1859 vie -fut paisible seules tempêtes seules joies celles donnent j'étude recherche d'une part aléas carrière d'autre autre eleve charcot esprit .de -son propre aveu profondément religieux janet siônna très vite sciences felles botanique s'adonnañt vie cette dernière passion volontiers qu'il jardinier qué conflit entre penchan mystiques goût scienre sortit optant science précisément cette science -maärginaleset étudie états l'envers sy- tiqués extatiques science chiatrique edoüard pichon médecin-psychiatr -fants linguiste iques contraires celles chanalÿs .puisqu'il rangea côté psy sciénti dont janct mettait doute l'aspec accusant freud mystique littérateur effet pichon rancés diffusion psychanalyse puisqu'il colläbora 1926 soc por analytiqué nouvellement fondée alytique poramment vocabulaire psychan tançais nes rette lettre citée ernest piographie monumentale freud itions aalnd etiologie science .causes d'une
8,9,élève ribot4 collège france arcot dot piette janet doit cette ménpservation révolutionnaire refuse voir taux normaux états gas deux réalités radicaledetérentes connaissance ent mentales doit permettre ndre mécanismes psychiques maux pathologie l'auxiliaire psychologie c'est ainsi thèse doctorat jettres l'automatisme psychologique écrit phénomènes automatiques rattachent comme tous symptômes pathologiques transitions innombrables phénomènes psychologie normale l'on peut discuter indéfiniment limite entre maladie santé comme freud janet doit beaucoup charcot dont travaux l'hypnose l'hystérie déterminèrent recherches cependant chose mérite d'être notée l'intérêt janét l'hypnose l'hystérie antérieur rencontre chafcot antécours salpêtrière 1881 janet alors professeur philosophie lycée havre s'était mis relation médecin tionnable.et tombait en-sommeil hypnotique volonté s'intéressa vivement états seconds participa expériences téléphathie golléboration -avec gibert représentants society for psychical research venus tout -exprès nes étudier cas léonie noble double vue janet incime penchant mystimans états seconds estation pouvoirs spirituels ieurs conviction s'appuyait égaement pouvoir -mystérieux ose celle-ci effet annulait anesthésies hystéun ter annulait ... -parfois ... nature très vite penchant mysti iste l'emporta penchant since janet mit douter iorité malades supe qu'il fameux états seconds noncera plus tard comme grand sultat d'une suggestibilité très chique due désagrégation eront expériences havre pencher l'hystérie éetc'es motiva participation cours narcot gmarcot voulait faire psycholo créé discipline scientifique avai psyeh salpétrière laboratoire schologie toutes études pre dit janet aväient démontré puis uné chose qu'il pressenta ongtemps l'importance pra tudes psychologiques néces .servation rieur cette époque suivit docteur gibert disposait d'un mé- dim léonie particulièrement sugges- toutes faites pprend prêter attention méticuleuse tous signes présente malade com- pris pus insignifiants cette ob- clinique scrupuleuse ser l'essentiel méthode travail grande partie écrits consacrés descriptions constitue capital particulièrement intéressant littérature psychiatrique 1878 charcot frappé l'analogie entre phénomènes d'hypnotisme crise hystérique .sans toutefois confondre comme préténdaient adversaires contraire charcot premier démystifier phénomène l'hypnose considérant facon scientifique c'est-à-dire l'utilisant .reconstituer artificiellement états hystériques paralysies anesthésies afin d'en analyser cliniquement lés mécanismes l'état hypnotique disait-il n'est autre qu'un état nerveux artificiel expérimental dont les-manifestations multiples apparaissent s'évanouissent suivant besoins l'étude gré l'observateur considéré sorte l'hypnotisme devient mine précieuse explorer aussi bien physiologiste médecin docteur philosophie docteur medecine charcot donc thèse doc889 thèse sous l'impulsion pierre janet consagre. tora hilosophie tre gtorat médecine 1892 lyse l'hypnose l'hystérie considère l'hystérie comme adie mentale dont seule psycho peut rendre compte trouve ici pre mière manifestation psy fait considérer physiologie peuvent jquer phénomènes psychiques exp hénomènes conscience janet pose sorie alons théori premiers conduites faiblesse psychologiques force remier ouvrage l'automa décrit type psy aiifié d'automatique relève d'un ent formes inférieures conscience formes .supérieures ntaires synthétiques premières écrit d'automatisme faiblesse doinormal théodule ribot 1839 mort 1916. philosophe formation hystérie signifie grec utérus chez celui-là masqués dépassés d'autres phénomë dlexes jphénomènes plus comx iche possède déjà pain l'eau pauvre encore autre chose plus l'homme bien portant possède l'automatisme malade quoiqu'il plus d'autres facultés supérieures janet-complète cette idée thèse médecine l'etat mental hystériques définissant l'état faiblesse mentale comme caractérisé rétrécissement champ conscience stade œuvre considère l'hystérie comme résultant d'une inhibition l'activité synthétique inhibition libère anarchiquement activités inférieures élémentaires peut être obtenue artificiellement hypnose ————— clinicien acharne infatigable ————— ainsi janet avant freud après charcot met évidence l'existence d'activités psychiques subccnscientes cependant chose choque esprit rationaliste cas l'hypnose actes peuvent être automatiques subconscients apparemment intelligents c'est-à-dire qu'ils mettent jeu véritable personnalité seconde considérera plus tard névroses 1909 phénomènes dus état suggestibilité particulier favorise obéissance irréfléchie ordres l'hypnotiseur dressage complaisance donnent l'illusion d'une double personnalité tout long œuvre carrière d'enseignant janet reprendre compléter thèmes annoncés l'automatisme psychologique l'etat mental hystériques confrontent sans répit réalité clinique qu'il découvrait tous jours eugène minkowski psychiatre français bien connu décrit cadre vie pierre janet travaillait plume main jour jour notait renseignements recueillis auprès malades propres observations petite pièce côté grand cette ippocrate allait manenfants tribu veux mot hystérie devenait alors impropre c'est pourquoi plus souvent cette maladie terme névrose
9,10,——— anti-freudien virulent bureau travail tapissé livres mur occupé herbier trois autres murs servant cartothèque remplie d'observations malades celles concernant malade décrite deux volumes l'angoisse l'extase occupaient elles seules trois cartons ainsi inlassablement poursuivait recherche quelle personnalité cet homme l'on connaît surtout œuvre article nécrologique paru espagne 1947 germain écrit mort saisi professeur janet comme hasard disparaissait travaillant enseignant comme vécu. frappe d'abord chez janet c'est cette opiniâ- treté cette vivacité cette intelligence firent garder intacte capacité pensée jusqu fin jours ainsi vit-on après 1934 alors qu'il pris retraite d'enseignant don- ner nombreux cours conférences l'hôpital sainte-anne infatigable éternel étudiant esprit infiniment ouvert novateur obstiné poursuivre vérité entreprit près quatre vingts ans recherches sur.jes déli- rants persécutés travailla livre diverses formes croyance qualités savant harmonie celles l'homme tous jours dires pro- ches effet apparaissait comme homme très bienveillant énergique équilibré capable surmoñter circonstances lés plus pénibles montra pendant dernière guerre loïs- qu'il perdit femme fils sœur frère gendre recevant -coups sort courage peu commun âge souvent l'usure vie fait durement sentir vision dynamique psychisme clinicien acharné certains voulu voir grande méticulosité ällant jusqu l'obsession symptôme trouble psychasthénique janet ceux france contribuèrent plus fortement naissance d'une psy- cholügie objective donne -comme objet non faits conscience tels livre l'iñtrospection mals actes reste cela l'élève ribot auquel rendit hommage termes l'occasion centenaire psychologie ribot c'est grand caractère qu'on reproche encore perpétuellement psy12 chologie objective pement comme dit très bjet traite l'homme comme l'étudie dehors comme jet fons premières œuvres done janet mis point notion richesse mentale pauvreté mentale celle d'activité inférieure tomatique d'activité supérieure dite synthétique s'était servi notions études l'hystérie 1903 livre obsessions psychasthénie complète théorie très importantes notions force tension psychologiques fonction .du réel concepts l'amèneront théorie conduites. s'intéressant obsessions époque l'on voyait celles-ci symptômes dégénérescence mentale janet amené définir psychasthénie dont fait trouble mental constitutionnel englobant l'angoisse phobie obsession sourdine sentiments morbides dépersonnalisation impuissance psychique grandissante timidité irré- solution angoisse sociale manies men- tales etc. psychasthénique sujet fatigué manque d'énergie mentale incapable concevoir réa- lité extérieure manière synthétique res ent suite sentiment d'in- complétude présente enfin dit ja- net déficit fonction réel ainsi fonction réel utilisa- tion l'énergie psychologique perception monde extérieur action celui-ci permet l'action efficace réalité malade observe janet dispose tout d'une certaine énergie incapable l'utiliser activités niveau psychique élevé l'investit comportements peu élaborés automa- tismes psychologiques doutes angois- agitations phénomènes obsession- nels parallèlement fonction réel intervient l'action l'équilibre entre force .ja tension d'une basse tension certains phé exemple aussi faut-il confondre force .et tension distinguer force fonctions psychiques nécessitent exerc attelndre leurs nl- veaux supérieurs d'adaptation ten- fonction d'attention domine l'actiée dique imaginative gardant lorsque assiste activités incontrôlées actes lutte contre idées obsédantes conjuratoires puis viennent festations explosives mouveme passionnels crises hystériques janet situe dernier lieu crise leptique psychologie conduite janet donc élaboré niveaux d'action humaine plus plus dégra dés manifestations pathologi ques l'idée vint alors classer niveaux l'action humaine normale plus simple plus compliqué fallait établir véritable échelle conduites faisait défaut psychologie permettrait temps faire synthèse différents travaux découvertes poser table référence objec- tive l'étude phénomènes psy- chologiques novateur janet met centre psychologie notion d'action humaine construisant psychologie qu'on ap- pellera psychologie conduite différencier psychologie comportement watson comme dernier janet ramène l'étude psychique celle ma- nifestations observables écrit obligés concevoir psy- chologie laquelle l'action visible l'extérieur phénomène fonda- mental pensée intérieure n'est reproduction combinaison actions extérieures sous formes réduites particulières janêt considère notion comporte- ment qu'utilise watson trop étroite rendre compte phénomènes complexes jeu l'action humaine n'est utilisable qu'en psychologie animale grand mérite notion conduite grande nouveauté c'est qu'elle détruit vieilles conceptions psychologie traditionnelle mals sans limiter qu'elles në£ c'est-à-dire intégrant faisant synthèse c'est ainsi théorie conduites n'est .pas science sentiments conscience jes intègre comme faisant ors minkowski dernières publications pierre nes anet bulletin 158 81e numéro spécial novem centenaire ribot 1939. loge cité bergeron psych® conduites ulletin psycho lngie ibia
