,page,text
0,1,\ol imiol nan ela mensuel difeusio
1,2,"réussir vie sociale mieux vivre devez savoir estimer justesse ceux côtoyez chaque jour collègues amis conjoint enfants comment connaître autres il'existe aujourd'hui méthodes scientifiques mises point per psychologie moderne utiliser tous sachez révèle visage découvrez temperament caractère cet homme assis face train cet autre venu voir chez pourrez lire visage l'autre quand connaîtrez théories corman autres apparaîtront sous nouveau jour forme corps est-elle significative oui découvrez quelle personnalité d'un gaillard rond trapu d'une femme grande mince frêle d'un homme sportif musclé carré grâce travaux approfondi kretschmer sheldon pprotondis dites-moi groupe sanguin dirai oui l'influence groupe sanguin hornn bon france 114 champssuisse avenue retourner c.e p.l connaitre autres durant jours j'aurai tout loisir d'en prendre connaissance l'uti- liser passé délai pourrai l'acquérir prix 26,45 2,05 port choisir autres volumes bibliothèque psychologie moderne mémoire nom prénom adresse date signature qce elysées paris belgique palais st-jacques 7500 tournai guillemin 1009 pully canada biblioteca inc. 7045 parc montréal 303. qué veuillez m'envoyer ouvrage l'intelligence efficace activité pourrai ren devoir justifier refus lee etes rte csst pen tres pre eppartient ceux seven juger autres epidié précision our réussir métier besoin connaître exactement ceux travaillez ceux faites confiance indispensable porter subordonnés supérieurs clients jugements rapides sûrs toutes activités ccanaître autres force pouvez plus domaine satisfaire seulement sentiments intuitions biutires découvrez personnalité celui celle écrit connaîtrez certains secrets graphologie rédiger lettre candidature comment fonctionnent tests écoles entreprises plus plus sélectionne tests saurez tout test tache d'encre test images test village etc clefs réussir nea rsr autres nan connaître autres c'est être plus efficace c'est mieux comprendre conjoint enfants c'est mieux s'expliquer telle attitude tel comportement chez collègues amis c'est enfin posséder clefs réussir vie professionnelle vie sociale vie privée ccr c'est production bibliothèque ceplié pendant jours sans aucun engagement d'achat partez découverte autres retoumer sans vous-même sans avoir petit petit nes lesquelles .monde person raîtra différent vez chaque jour app recevrai ps\ 114 sez consultez pendant sratuitement livre passionnant"
2,3,publi eee monde d'aujourd'hui décembre 1971 -1n° quel genre parents êtes-vous quiz.-du mois sde éhéreheur idées maria montessori révolution service l'enfance françoise gauquelin querelle autour l'électrochoc illusion médicale atteinte liberté l.-victoria pier chantal demaria psychologie clinique test l'arbre trahissent plus écriture dessins nou marie-josé houareau attentifs comment expériences américaines répondent tom trabasso entretien claude lévi-strauss humanisme bien ordonné propos recueillis akoun psychologie appliquée enfance adolescence morin mousseau martyre obèse incapable résister tentations stanley schachter hitler freud deux hommes sans aucun rapport pourtant ... docteur pierre bensoussan décoloniser l'enfant mendel racines conscience c.g jung marie-clotilde psychothérapie desoille femme eunuque greer furioso jean-louis ferrier connaissance soi tribune libre librairie arts picasso psychologie informations prochain numéro vente janvier 1972 abonner voyez page ologie rer —=——— edité centre d'etu lysees paris 359.86.50
3,4,quiz quel genre enfants encore bon moment qu'ils quittés peu importe quiz propose interroger comporte- ment technique particuliers utiliser bien élever enfants c'est plutôt réflexion attitude général envers pro- ches surtout envers ceux pouvez dominer àvez enfants élever moment cette réflexion peut aider choisir meilleure quand allez spectacle quelqu'un autre préférez choisir spectacle fonction goûts essayez convaincre d'aller spectacle goût choisissez guère inais allez voir ést mode jour préférez emploi .du temps parents êtes-vous vôie guider sans heur- ter car bien certain jeunesse actuelle contestataire €et.ne fie facilement l'expé- rience adultes trouver voie pourtant toujours aus- grand besoin qu'autrefois cette expérience guider premiers vie n'avez d'enfants pouvez trouver l'intérêt réfléchir réactions naturelles l'égard proches subordon- nés futurs enfants enfants passé chaque jour bien réglé d'avan- plus d'efficacité réglé d'avance laisser place fantaisies moment comporte moments liberté alternant occupations ré- glées d'avance avez-vous jamais violé aucune lois société non jamais autant lez c'était pouvoir quelques remarques placées après grille correction question naire pourront aider définir voire conduite habituelle amé liorer contacts entourage chaque question comporte rois réponses possibles entourez d'un cercle lettre placé devant réponse s'accorde mieux façon penser choisissez réponse rapidement suivant premier mmouve ment choix plus spontants général plus significatifs parfois lorsque c'était intérêt cela comportait peu risques plus souvent possible caf j'aime indépendance méprise société aîmez-vous jouer enfants j'adore cela n'aime cela tout s'ils sollicitent jais® entraîner participer leurs jeu mails sans grand plaisir
4,5,lorsque jouez enfants prenez-vous direction leurs jeux oui tant qu'adulte cela paraît normal toujours cela dépend jeu qu'ils proposent surtout c'est décider qu'ils veulent faire aimez-vous acheter cadeaux enfants ceux amis oui cela m'amuse pense toujours temps voulu oui cela m'amuse retiens trop gâter jours enfants reçoivent trop jouets cela m'amuse fais quand apprenez lorsque achetez cadeau vers quel genre vont préférences n'importe quoi tous genres paraissent susceptibles d'amuser laisse guider circonstances cherche cadeau utile résistant espérant qu'il n'ira tout suite corbeille papiers enfants inconslanis pensent tout casser j'essaie d'avoir l'occasion d'interroger l'enfant connaître satisfaire goûts quelles principales qualités appréciez plus chez enfant docilité gaieté spontanéité sociabilité activité l'indépendance l'application créativité charme jeunesse 10. l'admiration adultes 11. curiosité l'entoure 12. désir d'être guidé 13. capacité prendre initiatives 14. douceur 15. l'absence d'idées toutes faites quels principaux défauts 10. susceptible 12. rapporteur raisonneur ire nsez plaire groupe d'adolescents activités desquels prend part l'age part rôle uite préférence prendre décisions ini- tatives jouer rôle d'un membre groupe sans faire davantage autres membres laisser ioute liberté mem- bres groupe sans intervenir personnellement pensez-vous l'éducation l'enfant meilleur climat familial soil parents très conciliants parents écoutent l'enfant cherchent comprendre personnalité tout faisant respecter certaines règles parents inspirent surtout confiance autorité respect règles sociales devrait être plus poli encore quelqu'un qu'on aime qu'avec évolution personnelle sociale professionnelle psychologie enseignement individualisé correspondance cours oraux soir paris lille stages pratiques préparation divers diplômes sous conduite praticiens réputés psychotechnique graphologie morpho-psychologie psychopédagogie symbolisme rorschach cours international rééducation graphique relaxation psychosomatique sexologie normale pathologique etc dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut culture humaine paris lille direction administrative foch 59-marco-lille nom profession adresse supportez moins bien chez enfant étrangers. pensez-vous insolent c'est règle apprendre enfants ———— oui cela rendrait vie familiale plus agréable c'est idéal impossible atteindre vie pratique inutile essoufiler courir aprés souhaïite recevoir gratuitement documentation générale formule d'orientation brochure prochains stages séminaires groupe paris lille désobéissan
5,6,".concern rents devraient surveiller près éviter qu'ils enfant doit apprendre partager goûts parents oui cela facile car jeune malléable non trop politesse introduit trop distance entre membres famille 'amou €nfa commet partie pa- bêtises joner garcons oui conirepar bon jeux rcon rents doivent s'intéresser ass donner leurs enfants éch filles attitudes jeux goûts qu'il manifeste lui- anne nts offrir fille onduite exemple suffisant très jeune l'enfant partage pouvoir faire confiance non chaque enfant suivre personnalité oui l'on veut faire le-maximum qu'ils s'insèrent facilement société société actuelle donne beaucoup plus latitude qu'autrefoisà l'expression virilité-et féminité peut donc laisser chaque enfant suivre personna.lité il'est bon d'offrir garçons modèles virils filles -modèles féminins aider s'adapter normes sociales courantes enfants devraient ävoir secrêts leurs parentst non sinon c'est-lé signe l'édu- cation échoué goûts parents cela change vite vaut mieux prendre parti laisser suivre goûts personnels maîtrise soi maine laisser enfants prendre lib ment jeurs responsabilités fenfant pose parents dés questions indiscrètes com portément personnel domaine amoureux faut répondre céla regarde faut hésiter demande c'est apprendra ment faut chercher abord pourquoi pose cette question pondre qu'avec prudence tenant cômpte âge révéler ainsi qu'il qu'est vie réelle bour former personnalité l'en- fañt-a bésoïn s'éloigner peu peu'-de parents ésir l'avos sedrets familles plus heureuses faut respecter celles parents toujours peut respecter désir del'en prêts conformer désirs .de fant d'avoir dés petits secrets leurs énfants faut savoir écouter c'est bien vrai patience ment res éviter qu'il ne-câché angereux l'éducat grahds secrets pourraient être l'enfant tôt tard cette dañgereux fra attitude rendra malheureux doivens orne repas cela peut être vrai ailleurs heures fes pps comnun parents savent imposer cer non gontrae nens l'idéal famille nes va- riété trouve heures fixes parents doivent-ils faire part oui aïme régularité habi- leurs soucis leurs enfants sou tudes cuns laisser cha oui toute façon enfants tudes rénilé ent habi faut sarder faire.d devineraient demi-mot rieres dérogati alré-du repas drés nsouciance cés habitudes introduisens lru rite sacro-saint jeunes gen ver los variété jeux chacun ici libre faire comme veut one noi soucis ——— rands tout doit être dit enfant demande insi étr istance ... certai hoseé l'être ner concern aines chosès peuvent présent apparernment famille devrait 2carces condition .de mettre por jours dessus âge doit faire parent passer ensemble c'est bonne enténte signe tée enfants expliquèr qu'il trop jeune promettre cadeau por occasion voir tout plus enfans ison plus tard vacane l'année jieu d'aller chart diasractions offrir cadeau l'occasion suivre chacun puis l'extérieur moins risque fête d'un anniversaire puis tékérences qu'il envie puis craque parents désirent pas- one dést chercher faire dire rai ants cances ,2vec leurs .c'est vrai dition cel sons désir prématuré faire s'aday sst nécessaire qu'ils corresp condition cadeau raisons aptent goûts enfants sonn ete façon rainte bonnes découvrir équivalent sinôn qoduisant variété art confrar yeux l'enfant see juste enfants non parents sai etchent cêté cett risque déséqu mauvaises varié brer manque contact lal"
6,7,wun enfant embrasse carrière père ère peut faciliter çar cela risque donner complexes tout dépend goûts personnalité père imezvous qu'il faut encourager admiration d'un enfant modèles choisis dehors cercle familial oui cela peut qu'aider développement personnalité propre oui cela conduit excès sinon faut essayer discussions remettre idoles juste place non parents sensés peuvent encourager caprices idole mode doivent chercher plutôt préserver l'admiration respect l'enfant eux-mêmes hension pcint vue l'affaire dont estimez dire prendre parti c'est conjoint enfant dispute otre conjoint vient s'en plaindre véhémence quélle sentiments quand jui faites part voire imaginez oposer quelque dont venez vous-même d'avoir comment accueillez tion propose l'acceptez comme venant uniquement sans dire idée avant acceptez proposition signalant cette idée vous-même signalez avant tout cette idée vient abord préserver autorité avoir l'air céder caprice enfant acceptant proposition enfant sait comment prendre nouveau jeu construction qu'il reçu vient solliciter aide quel genre participation aurez-vous tendance offrir reprenez choses l'état laissées terminez vous-même l'œuvre entrefant participez quelques instants révèle com- .jeu pliqué n'avez temps contentez -remettre bonne voie laissez débrouiller seul venez montrer restez auprès l'aider maïs laissez faire lui-même qu'il capable faire pitt jent plaindre tous camarades reçoivent plus argent poche semaine répondez-vous qu'il bien droit d'en avoir autant autres augmenterez revenu hebdoma€ faut qu'il explique pourquoi comment venu penser cela examiner jui s'il bien raisonnable d'augmenter revenu hebdomadaire calculé connals cause combien devait sance qu'il doit fils réaction l'écouter exposer longuement s€5 recevoir semame éenter griefs erronnés parais- gorganiser vitant sentils montrer compré qu'il reçoit absurdes dépenses expliquer qu'il trompe accusant vite conjoint devez rester solidaire cette affaire désirez tte affaire s'arranger résultats îitre conna prise sous l'œil admiratif en- l'an nouveau bien gens apparemment sains intelligents cultivés handicapés jusqu l'obsession tous leurs contacts humains pensée centaine cheveux manque leurs tempes beau milieu crâne c'est pourquoi croyons moment venu rappeler solution cette angoisse existe qu'elle éprouvée qu'elle médicale qu'il suffit quelques jours premiers résultats manifestent quelques jours peut être cette courte semaine répit entre fêtes fera l'année problème simple souvenir les.hommes veulent un.crâne habillé c'est pourquoi livrons non recette ni.un remède illusoires mais-une évidence clinique cheveu comme certain nombre matières vivantes cela greffe cette technique miracle réalité scientifique depuis années nombreux médecins tant.aux u.s.a. qu'en france greffé succès milliers patients retrouvent ainsi personnalité temps qu'une assurance indispensable bon équilibre psychologique l'individu principe suivant grâce simple anesthésie locale sans qu'il nécessaire d'entrer clinique médecin prélève cheveux niveau pourtour cuir chevelu couronne d'hippocrate transplante zones glabres région temporale tonsure exemple cheveux vont alors pousser comme s'ils restés lieu d'origine sans subir influences nocives maladie séborrhéique continuer croître toute vie trois quatre séances vont suffire corriger calvitie importante redonner joie vivre confiance soi moral tout neuf evene tre ucvuorfbmith coute nés
7,8,chercheur iqèes maria montessori figures plus marquantes mouvement réformes pédagogiques manifesta début xx° siècle faveur méthodes actives temps disaitelle jamais esclaves n'ont autant propriété maître enfant l'est l'adulte aujourd'hui contraire l'enfant roi c'est partie qu'il doit maria montessori née l'année l'unification l'italie août 1870. chiaravalle province ancône père alessandro montessori descendant d'une famille noble bologne embrassé carrière militaire c'était homme austère digne d'une politesse pointilleuse d'un es- prit conservateur mère renilde stoppani dame pleine charme d'affection compréhension fille qu'elle soutint travers toutes vicissitudes vie premiere femme medecin d'italie marie fréquenta lycée d'ancône jus- l'âge ans puls famille s'installa rome afin qu'elle reçoive mellleure éducation 414 ans jeune fille manifeste grand intérêt mathématiques parents conselllèrent s'orlenter vers l'en- selgnement marla voulait devenir ingénieur obtint sulvre cours école technique gar- çons car aucune école filles n'ensei- gnait cette spécialité cependant goûts évoluant sentit plus plus attirée biologie décida vrale vocation devenir médecin c'était l'époque jeune fille prétention incroyable indécente maria obtint entrevue bacelli directeur minis- tère l'education quand annon- termes tout fait décisifs qu'il impossible réaliser tel projet remercia poliment serra cordialement main calme- ment remarqua sais de- viendrai docteur médecine. lèdes- sus fit révérence sortit non seulement réussit faire inscrire faculté médecine pre- mière étudiante médecine italienne obtint bourse d'études dépendre parents père désapprouvant ambition donna aussi leçons particulières pendant toutes années d'études rester financièrement in- dépendante françoise gauqueli aliénés adultes prove qua pitié jeune doctoress surveillante cachait dégoût inspiraient enfants expliqua jour peine enfants ont-ils fini repas qu'ils jettent terre ramasser miettes jeune doctoresse r'egar autour d'elle vit salle vide aucun objet pouvalt être pris main manipulé enfants l'avidité petits arrlérés miettes repas parut tout autre bestiale l'intuition qu'il s'agissait d'un intense besoin d'activité manuelle seule capable d'exercer intelligence déficlente étudia problème découvrit deux médecins français jean itard edouard seguin3 début siècle prouvé leurs travaux justesse intuition congrès pédagogique turin 1899 tessori fit sujet commun cation suscita beaucoup d'intérêt secours enfants attardes guido bacelli devenu ministre l'education invita jeune docto- resse faire série conférences rome l'éducation déficients mentaux suite conféren fondation d'une ecole ortho- phrénique d'etat décidée réunir tous enfants hospices d'allénés rome ainsi élèves considérés comme irrémédiablement ficients l'école maria montessori accepta prendre direction cette école rôle qu'elle conserva 1899 1901. pendant deux années continua d'approfondir problème offrit chaire d'hygiène magistero rééducation déficients visita londres paris réalisations faites sens forma sroupe d'éducateurs déficients man montessor révolution pedagogique keystone ainsi 1896 maria montessori de- vint première femme médecin italie aussitôt tourbillon d'activités variées l'entraîna ouvrit cabinet consultations spécialisa l'étude maladies nerveuses l'en- fant publiant régulièrement résultats recherches revues pédagogie 1904 proposa chaire d'anthropologie l'univérsité ainsi profes- cours qu'elle fit sujet permirent publier gros volume anthropologie pédagogi- maïs devait être plus nte qu'on pra dns pevecduquer enfant sauvage nploi quelques progrès 1896 clinique psychiatrique pen pédagogue d'enfants niques l'université rome ainsi dard pendant dix ans fall charge parcourir hospices méthode itardienne ins ombreux uluis déficients néa maria montessori s'inc ent avaus donles inspira égalem vfcut gaeoet alle frosbe standing maria montessori her life work new york toronto men book new american libra standing ouvrage cité marie gaspard îtard 1774-1838 médes cin-chef institution impériale sou
8,9,passa journées entières sible trouver véritable maître sse surtout enfants jouer ans pareil poste. quoi consaet soirées personne vent alt donc andre notes inven- quelques études entrer t'en matériel susceptible uquer seignement travaillait actuellement déficients mentaux fin comme ouvrière n'ayant deu années enfants placés sous garde fait remarquables çertains appris lire écrire suffisamment présenter succès examen d'admission l'école publique enfants normaux tandis entourage applaudissait miracle maria montessori restait insatisfaite pendant tout monde admirait idiots cherchais raisons pouvaient maintenir enfants sains normaux écoles ordinaires bas niveau qu'il pouvait être égalé tests d'intelligence infortunés élèves devins convaincue méthodes similaires appliquées enfants normaux dévetopperaient libéreraient per- moyens créer l'ambiance bancs d'école chaire aucun meuble usage l'ordinaire fabriqua mobilier comme celui d'un bureau n'imposai aucune réserve aucune obligation maîtresse appris seulement servir matériel sensoriel afin qu'elle pût présenter enfants façon exacte voici quel matériel élaboré doctoresse l'éducation arriérés mentaux conséquent personne n'aurait pensé offrir enfants normaux exercices pratiques cirage poudre récurer planches laver balais boutons arrosoirs vases composition bouquets matériel sensoriel couleurs fondasonnalité façon merveilleuse mentales couleurs intermédiaires surprenante nuances goûts odeurs sons toucher lisse rugueux tériel mesure longueurs hauteurs poids volumes capacités matériel scolaire baguettes compter bouliers cubes dimensions relatives unités dizaines centaines lettres formes géométriques puzzles matériel donne beaucoup place -aux activités quotidiennes plus terre terre cirage chaussures lavage linge balayage rangement passant l'affinement sens jusqu'aux notions scolaires traditionnelles calcul lecture écriture s'appuyant toujours matériel concret coloré facile manipuler nature enfant normal plorateur passionné milieu l'entoure n'est donc nécessaire contrairement passe arriérés stimuler qu'il apprenne dement servir matériel destiné l'aider classer ordonner esprit perceptions sensoriel sens série d'objets qualité déterminée corps telle couleur forme dimension degré nouvelle pedagogie quartier san lorenzo rome sordide mal famé importante société construction l'istituto romano dei beni stabili venait faire construire l'occasion d'une opération d'assainissement urbain semble d'habitations millier gens pauvres relogés condition qu'ils maintiendraient propres immeubles plupart familles père mère obligés travailler toute journée-à l'extérieur beaucoup n'étaient ouvriers journaliers cherchant jour jour occupation passagère pouvaient s'occuper leurs enfants aînés allaient l'école plus jeunes livrés toute journée eux-mêmes salissaient murs escaliers créaient désordre considérant cet état chose administrateurs décidèrent qu'il moins onéreux trouver local payer gardienne enfan réparer cons température etc tamment tours dégats res- rugosité poids mbles éccuse ponsables venait lire revue chacun ualité degré difféun article doctoresse montes50 s'agit done d'une gradation proposa confier direction rent jolie différence d'objet cette opération marla montessorl varie régulièrement quand trouvant l'occasion souhaitée possi mathémeta matérie méthog slen réussi établie lutlres réunis casa lee mers accepta aussitôt nbini ermit doctoresse pourtant cadre personnages découvertes remarquables principales cetté première gasa dei bambini dames maison enfants n'étaient bien nne société amiès s'intéressant reluisants maria montessori cinquantaine petits enfants très travail aves vres timides plusieurs d'entie énéreusement peu jouets pou pleuraient presque tous compléter mat casa dei fants d'illettrés ... n'était pas-po bambini belles poupées vaisselle dinette petite cuisine jouets placés laportée enfants s'en servaient examinaient court moment puis tournaient vers jeux sensoriels manipuler longuement découvrir secret caché compris alors île jouet sans doute quelque chose d'inférieur vie l'enfant qu'il recourait faute mieux quelque chose plus élevé âme prévalait futilités lorsque l'enfant peut faire travail l'intéresse besoin récompenses l'accomplir plaisir travailler stimulant suffisant au-dessous d'un certain âge n'est assez socialisé comprendre sens punitions scolaires usuelles maria montessori s'en aperçut grâce l'incident suivant recompenses punitions inutiles jour arrivant l'école vit milieu salle enfant désœurvré assis petit fauteuil arborant poitrine croix dorée fabriquée maîtresse récompenser enfants sages- celle-ci raconta l'enfant pénitence peu temps auparavant -en récompensé autre accordant croix dorée cet autre enfant passant auprès petit puni transmis croix comme objet inutile encombrant garçon voulait travailler l'enfant puni contemplait médaillon indifférence puis regardait autour sans être accablé moins monde poids châtiment premier incident anéantissait d'emblée toutes sanctions matériel préparé enfants conservé grande armoire arrivant matin maîtresse our vrait l'armoire distribuait matériel soir rangeait avant fermer l'armoire clef raconta tandis qu'elle livrait cette opération enfants levaient s'approchaient d'elle renvoyait place revenaient maîtresse concluait enfants désobéissants compris observant désir remettre eux-mêmes objets place laissal libres faire naquit cette nouvelle méthode véritable vie nouvelle mettre objets e.m. standing ouvrage cité montessorli l'enfant paris gonthier coll femme 1968 eda leshan complot contre l'enfance paris stock 1970 montessori pédagogie scientifique paris desclée brouwer 1958 montessori l'enfant paris coll femime 1968 gonthier 10. montessori l'enfant 104
9,10,montessoni pédagogique ordre parer tout désordre éventuel devenu d'un attrait très vif matin maîtresse arriva retard veille oublié fermer l'armoire clef trouva enfants -rassemblés devant l'armoire dont ouvert porte quel- ques enfants choisi objets commençaient travailler eux- mêmes maîtresse fâcha qu'elle considérait comme vol doctoresse consultée vit preuve goût travail permet- tant laisser libres choisir eux-mêmes leurs activités fit construire meubles rayons bas sans porte fermée clef mettre matériel disposition enfants maîtresse plus chargée cacher trésors montrer enfants comment s'en ser- vir comment ranger après avoir utilisés peu à-peu tout mobilier non seule ment armoires tables chaises tableau noir lavabos etc. adaptés taille enfants permettre de-s'en servir libre- ment classe n'était plus école sens traditionnel impli- quant l'infériorité l'enfant rapport l'adulte maison pouvait aller venir librement maîtresse trônait plus -üne chaire donnait plus des-ordres circulait parmi enfants aidait quand besoin .se concentrer idée courante l'enfant incapacité concentrer tendance passer sans cesse d'une activité l'autre sans rien approfondir jugeons ainsi considérons comme dignes d'attention activités intéressent adultes marja montessori voir au-delà enfant trois ans s'exerçait petits cylindres encastrements so- lides manœuvrent peu comme bouchon bouteille cylindres grosseurs graduées dont chacun emplacement déterminé étonnée voir enfant jeune manifester tel intérêt répé ter interminäblement cet exercice aväit aucun progrès rapi- dité habileté c'était espèce mouvement perpétuel mis d'abord compter nombre puis fois qu'elle répétait l'exercice voulus essayer d'évaluer résistance l'étrange concentration l'enfant révélait ainsi dis mai tresse faire remuer chanter tous autres l'enfant leva nez dessus travail alors pris délicatement petit fauteuil lequel assise déposai table d'un mouvement rapide l'enfant serré objet maintenant genoux continua sans broncher depüis moment j'avais commencé compter petite répété fois exercice s'arrêta comme sortait d'un rêve sourit heureuse yeux brillaient regardant autour d'elle pourquoi telle concentration activité apparence inutile comme psychologue jean piaget prouvé depuis l'enfant naît cerveau tout -armé faut apprendre notions évi- dentes telles permanence l'objet conservation matière nombre poids volume dis tance etc cés acquisitions peuvent faire parr la-1manipulation fré- quente d'objets toutes sortes matériel créé maria montessori fa- vorise justement manipulations l'âge .ces acquisitions doivent faire car existe chaque acqui- sition intellectuelle période sen- sible pendant laquelle l'intérêt l'enfant spécialement orienté vers l'exercice sensoriel permet l'acqui- sition l'adulte respecte besoins d'exercice l'enfant chaque période sensible facilite développement aussi bien plan physique mental 6st exemple bien connu l'enfant .peut apprendre n'importe quelle langue autre langue maune personnalite psych differente i'ne faut considérer l'enfant comme imparfaite ans tout préparé l'enfant personnall besoins méthodes c'est cette conclusion révolutionnaire l'époque quiest parvenue marla montessori l'observation élèves première casa del ambinf pauvreté conditions int cette expérience cir tance favorable découverte ras personnalité propre l'enfant pédagogue entrainé selon thodes vigueur mobs scolaire conventionnel progr tout faits génie intuitif maria montessori s'exercer plej grâce l'absence structure rglde masquant réactions naturellés l'enfant montré l'enfan s'épanouissait mieux plus vite l'on respectait dynamisme €rsonnel manières faire casa bambini non seulement enfants prenaient spontanément faire régner l'ordre propreté l'autodiscipline cessaires travail concentra tion apprenaient enthousiasme matières scolaires considérées jusque-là comme au-dessus âge très ennuyeuses dès l'âge trois quatre ans voyait s'initier ardeur calcul l'écriture lecture -grâce matériel concret approprié succès précoce -enfants- d'illettrés matières abstraites incita doc- toresse étendre plus tard thodes matériel d'autres sujets scolaires comme grammaire l'his- toire géographie religion diffusion methode montessorienne résultats spectacülaires obtenus casa dei bambini suscitèrent rapi- dement grand étonnement grand intérêt parmi pédagogues visiteurs mirent affluer jour- maux parlèrent tous pays arrivaient invitations tour- nées conférences disciples en- thousiastes commençaient mettre pratique qu'ils maria montessori morte 1906 l'âge ans seules personnes entourage immédiat l'auraient remarque e.m. standing 1908 deux ans.plus tard seulement nom connu monde -en- tler devenait impossible doctoresse continuer anciennes activités tout répondant besoins diffusion œuvre choix difficile devait-elle abandonner carrière lucrative normale lancer l'inconnu amis consélllaient prudence n'était prudence .commandalt vie maria montessori -donna démission clinique psychiatrl12 mons ssort peniene 13. voir psychologie l'intelligence jen iographie ges armand con goieuses études plus spécialisées faites standing maria montessori her life and work york toronto men- new american library 1962
