,page,text
0,1,no7z2 orceen entrera monte darjourdtiui éectuers nor suissess soiess 168
1,2,"vieilli gels nee tue bec lun hier sortes vois drfpetere sppistratt pen nimes éantubale uivershairt 18. déc 1966 lausanr publiey millions d'années 100 ans 18566 quelques kilomètres dusseldorf fouilles mettent jour restes d'un sqüelette humain l'homme néonderthal l'humanité venait d'apprendre qu'elle issue d'un groupe primates qu'elle étalt vieille 75.000 ans science réservait d'autres surprises aujourd'hui savants admettent origines l'homme remontent quelque millions d'années quelles découvertes récentes prouvent participez l'anthropologie cette surprenante chasse premier homme grande enquete policiere science autre fois chien égaré enfants maître d'école peu curieux ... c'est soudain découverte plus étonnante siècle lascaux l'anthropologie extraordinaire enquête polloière pleine suspense rebondissements preuves contrepreuves succèdent savants s'empoignent coup déclarations plus convaincantes unes autres néglige détail s'attarde pendant années morceau fémur découvre inde mâchoire supérleure afrique mâchoire inférieure l'on constate qu'on trouve face d'un seul lype tantôt élé- ment minuscule dent permet déduire mode vie d'une civilisation tantôt fait considérable apparaît hasard peut tout remettre question voilà l'une aventures éplques revivrez l'anthropologie livre science-fiction comme jamais n'avez lire machines remonter temps n'est-ce hallucinant qu'une simple photographie aérienne puisse révéler vestiges enfouis depuis siècles savez-vous recherches pétrolières permis d'énormes progrès datation fossiles quelles 0eg méthodes magiques permettent re- trouver pasaé découvrez-jes l'anthropologie voyagez travers monde compagnie l'anthropologie embarquez-voua l'amérique dos vent nee sms sociétés primitives prenez l'avion plateaux déserts l'inde faites connalssance tribus nil congo marchez traces tellhard chardin chine rigueur scientifique n'enleve rien pittoresque travail d'une equipe d'eminents professeurs chercheurs c.n.r faculte sciences sans tomber vulgarisation délormante dictionnaire l'anthropologie réussit être clair complet livre piquant l'exotisme qu'on envie lire savoir comprendre ssulement rêver ... 100 ans 10,000 ans coll muséu l'homnmio meme animaux renseignent konrad lorenz fait d'extraordinaires dé- ouvertes comportement humain cela étudiant comportement oiseaux qu'est-ce animaux 8pprennent savez-vous l'on découvre observant l'agressi- vité rats rassemblés foule gie captiva l'éthologle humaine slude premiers hommes etaient-ils vraiment dit qu'ils cannibales mai l'homme néanderthal croyait delà comment vivaient l'homme paléolithique supéri choisi s'installer ouest france avaient-ils domesti qué animaux particulier cenne essentiel l'homme cro-magnon ancêtres étalent-lls déjà différems selon qu'ils vivaient europe asie afrique découvrez-le l'anthropologie revlvant fabuleuse aventure pre- miers hommes livre fois dictionnaire complet ... roman passionnant ———————— dictionnaires bris savoir moderne l'ay- pourquoi eur avoit raa sug dictionnaires savoir moderne tous aussi passionnants c'est l'initiative centra d'etude del promotion lecture qu'une équipe chercheurs d'universitaires pra ticiens réalisé üne série d'ouvrages clairs complets pratiques per- mettent s'informer toutes disciplines importantes philosophie sociologie biologie l'histoire physique moderne littérature l'expres sion esthétique l'astronomie etc tous rédigés langage accessible personnalités éminentes parmi celles-ci citons jean cazeneuve professeur bonne françois châtelet professeur àll faculté vincennes rémy chawir professeur sorbonne jean cuseni maître recherches n.r.s jef desanti professeur philosophie l'ecole normale supérieure sail cloud abraham moles andré akoï maître-assistant sorbanne etc c.e p.l propose connaissance pendant jours grûce bon ci-contre premier dictionnaires l'anthropologie far ocr ältoutilecteurtdelesyc/i0l00ee auifentrerafiatdomande anlefmoyentsimple attachélälcette page"
2,3,ltprptat res eraless leone pte rate sorts rares luz lettres larratt nbr seen rar elles 224 ete frs pepe nets tee cale fos log daal der lme dsl pre tre rfi ess caur eat eat pontiac eauermsrta trs bsyc comprendre savoir agir nologie monde d'aujourd'hui mai 1972 quiz mois etes-vous timide monique maynadier chercheur idées wolfgang kôhler gestaltistes contre behavloristes l'essor psychologie forme sit jean chaguiboff psychologie expérimentale vie psychique avant naissance sein maternel fœtus rêve aimé michel document bio-énergétique cinq personnes cave trois jours découvrir nouvelle dynamique groupes sara peltant psychologie clinique comprendre schizophrénie certalns médicaments permettent d'étudier psychose laboratoire solomon snyder connaissance autres savoir persuader influence comment gie pros rotré milton rokeach psychologie appliquée test pensée créative uipo complément indispensable mesure alain beaudot pro psychologie différentielle maladies l'écriture comment dépister comment guérir robert olivaux librairie société l'ubiquité cazeneuve femme monde moderne sullerot surréalisme sexualité gautier ibls bref informations who who psychologie prochain numéro vente juin sal
3,4,êtes-vous timide jean-jacques rousseau stendhal bien d'autres personnalités grands timides donne nombreux exemples personnes parvenant compenser timidité devenir brillants quelquefois célèbres tous domaines cas existent parfois fait dire timides fond êtres possédant dons supérieurs cela doit faire oublier réalité quotidienne timidité timide parvenant s'élever au-dessus commun centaines souffrent défaut ressentant comme infirmité empêche réaliser socialement timidité peur excessive autres traduit sorte paralysie gagnant personne timide dès qu'elle doit avoir affaire autrui cette paralysie inhibition touche domaine affectif timide incapable communiquer sympathie antipathie contente mani- fester apparente indifférence l'inhibition touche également do- maine intellectuel timide peut excès d'émotivité suivre raisonnement qu'on expose pren- dre part conversation simplement dire qu'il pense car idées échappent uuuuu tuto uuuu vuvvuuenr iuju uuuuuu uuuuuuuunn clr ccs pes dent dent dent dent det tous tous moment autre vie timides sim- plement intimidés divers degrés timidité quiz proposons doit aider mieux connaître point vue entourez d'un cercle lettre correspond ré- ponse répondez selon premier mouvement sans réfléchir l'occasion partici- pet émission radiophonique télévisée feriez-vous oui forçant peu oui plaisir non car peux surmonter cralnte cela cause relations person res sexe opposé hésitez-vous aire part sentiments non général ivre fiments sen parfois oui j'ai toujours peur sentiments prêtent rire très pénible monique maynadier lorsque devez parler publi avez-vous peur qu'on penser oui non peu ——— —————.——————eee lorsque pensez s'attardent peu trop chez voi jtes- soir après dîner faits m'efforce faire compf dre discrètes allusion qu'ils devraient maintenant pers s'en aller tard dis franchement qu'il voudrais bien aller coucher car sens fatigué ana présence jusd moment veulent bien s'en aller lorsque enfant lescent est-il arrivé camarades monter pièce théâtre vouloir rôle plusieurs fois fois jamais adÿ vec etité jenif sssr ens lee ssi met baghie eat che ppue age kde dre lies bite prés serres eee
4,5,publie penser nvité faites pres 10ns ense tard pol qu'il enfin présente ïin- rsqu'on nus êtes-vous mal l'aise non oui ressens malaise physique sorte crispation intérieure sens très l'aise début cela passe rapidement est-il arrivé rebrousser chemin alors alliez rendezvous important souvent parfois jamais moment mettre table apercevez qu'il mangue ustensile indispensable faites-vous vais sans hésiter sonner chez voisin emprunter cet ustensile bien n'aime beaucoup emprunter résous aller chez voisin passe cet ustensile quelle importance rue apercevez ancien bon camarade d'école n'avez depuis longtemps faites-vous l'appelle discuter passe chemin rapidement j'attends qu'il m'appelle lui-même elle-même lorsque enfant redoutiezvous colères père oui non peu examens concours reussissez-vous mieux l'écrit l'oral cela dépend fois est-il arrivé adressant personnes inconnues d'être pris tremblements parfois jamais souvent moment réaliser démarche importante cours laquelle savez allez être jugé apparence paniqué donnez image inférieure valez parvenez apparaître sous meilleur jour restez naturel tel habituellement arrive-t-il rougir très souvent crainte rougir fait redoubler rougeur c'esi cercle vicieux m'arrive rougir certaines circonstances non rougis jamais quelles circonstances société est-il arrivé après avoir parole déplacée d'avoir envie disparaître seulement certaines circonstances particulières non peu 'astuce parole déplacée peut toujours rattraper cui genre situation tellement gêné voudrais trouver trou souris précipiter disparaître patron promis augmentation certaine date cette date passe augmentation vient faitesvous j'attends encore l'augmentation peut-être mois prochain vais trouver patron rappeler promesse j'attends occasion propice faire allusion cela devant patron certainement arrivé enfant d'envoyer ballon balle chez voisin cas alliez-vous réclamer allais pouvais envoyer autre camarade allais sans hésiter non préférais perdre ballon société rappelez-vous avoir gafté souviens d'aucune gaffe m'arrive gaffer fréquemment souviens d'au moins gaffe importante faisant queue chez commerçant quelqu'un passe devant dis rien demande poliment s'il sûr d'être cette place proteste fermement conserver place juil uuuieiuiuichuiuiuiuiutcuiciuiuiuiui uju ululuu uuu uuluiu lulu lulu savez-vous utiliser relations progresser profession oui utilise autant pourrais non chez coiffeur est-il arrivé oser refuser traitement désiriez très souvent jamais parfois recevez cadeau paraît immérité déplacé trouvez-vous gêné remercier oui c'est peu gênant sens très gêné sais comment prendre vois pourquoi trouverais gêné supérieur convoque bureau suite d'une erreur professionnelle comment réagissezvous l'émotion m'empêche défendre j'accepte sans mot tous reproches reproches justifiés j'essaie seulement faire valoir circonstances atténuantes discute argumente disculper
5,6,its apt cruel prie l'improviste faire pelit discours fin repas cœur met-il battre plus fort certaines circonstances seulement non cela m'arrive jamais oui j'ai l'habitude genre situation peux empêcher cœur battre plus fort enfance adolescence aviez-vous l'habitude ronger ongles oui rongés très longtemps m'arrive parfois faire encore non l'ai jamais fait m'est arrivé ronger cela vite passé trouvez-vous réceptions rassemblant nombreux invités cadre favorable exprimer qu'on pense peut parfois exprimer c'est plus difficile réunions restreintes quelques amis oui quelque chose d'artificiel paralysant trop grandes assemblées non nombre personnes pré- sentes importe peu peut tou- jours exprimer l'on dire ressentez-vous besoin solitude non sens bien lors- très entouré temps temps j'aime bien refrouver seul moimême oui contacts humains fatiguent j'aime solitude lorsque entrez contact première fois personne travailler trouvezvous d'emblée quelque chose dire non j'ai l'impression c'est vide tête très gêné n'est jamais très facile den ger conversation quelqu qu'on connaît gré cela arrive dire quelqu chose général n'ai core faire trouver quelque chose dire travail employés elc sonne aimez est-il arrivé alors saviez qu'un mot pouvait tout arranger sentir incapable prononcer mot non général sais qu'il faut dire arranger choses cela m'est très souvent arrivé cela m'est arrivé moins fois est-il arrivé achetér démarcheur domicile article dont nul besoin oui fois jamais cela m'est arrivé plusieurs fois invité dîner chez gens connaissez peu avez-vous peur manières table suffisamment correctes oui j'en arrive plus savoir tenir correctement tant cela tracasse peu inquiet ète pense peux suffisamment contrôler manières m'en tirer honneur cela préoccupe quel cadre trouve sais toujours quelle meil- leure attitude dois avoir lorsque enfant alliez- réfugier auprès maîtresse d'école l'un camarades voulait frapper cela m'arriver quelquefois non préférais rendre coups qu'on donnait oul sentais sécurité qu'auprès d'un adulte diton ten- dance peu misanthrope tebulé ent pen rage oui puis rien entourage donne guère satisfactions peut-être m'est-il donner cette c'était passager l'arrivé parfois impression net cours d'une brouille per ———— restaurant plat qu'on apprêliez passer manche seul famille survient l'improviste rendre visite fort probab cette intrusion ennuie beaucoup agréable ennuie peu obli geant changer projets savez adapter vite situation lorsque voyagez seul train arrive -il d'engager conver sation autres voyageurs jamais moi-même trouve cela mal élevé parfois circonstances prêtent très souvent j'adore cela car sinon m'ennuie aimeriez-vous exercer métier lequel nécessaire d'avoir relations importantes public non préfère travailler seul oui préfère avoir affaire personnes venues l'extérieur c'est plus distrayant veux bien avoir affaire blic travail d'une manière limitée lors soirées libres pouviez choisir entre aller chez amis dire bon livre vor bon film choisiriez-vous plus probablement voir bon film lire bon livre aller chez amis ialitiiir 2222202 222e 1zizizi21212 2222 l'22 z2222222222200 rnrqr rrreist nssnon nnnn nil aaa aio cpe pres eee 202000 t222 lea aaa ziliznaililie nnnn rires nnnnnnnnnnnnnnnnnnnninrin snnsnnnnnnnnnnnnnnnnnnnnn paraît mal préparé protestez auprès mangez conte faire réflexion payer mangez sans rien difé
6,7,seul aire extérieur nais d'une libres aller chez voir ez-vous arrive-t-il d'aller seul cinéma théâtre séanic concert très souvent c'est exceptionnel aller accompagné cela m'airive parfois préfère arrivé oser donner ami dermier moment cadeau destiniez plaisir invité réu- cela m'est jamais arrivé m'est arrivé garder ccadeau plusieurs jours avant donner parvenails toutefois décider offrir pion amicale présentes personnes connaissez absolument cherchez-vous faire connaissance celles-ci j'essaie discuter peu personnes syimpathiques trouve devoir parler toutes personnes présentes autant l'occasion m'en offerte non reste personnes connais préférez-vous travail d'équipe est-il arrivé d'hésiter travail individuel peux travailler totalement seul peux être efficace travail lorsque stimulé autres préfère général travailler seul maïs travail groupe déplaît entrer seul café reslaurant non tout cas rappelle oui cela m'est arrivé passé l'expérience cela m'arrive encore pouvoir résoudre quand rencontrez rue amis discussion in- connus cherchez-vous inté£rer jévite groupe essayant faire remarquer afin m'interpelle mêle groupe sans difficulté eor salue simplement ceux connai passe chemin parmi propositions suivantes cochez-en paraissent correspondre mieux vous-même cette question comme positives réponses pro- crains regard autres confie toujours problèmes amis j'aime parler public sais mettre valeur vie moderne m'effraie souvent crispé j'aime recevoir nombreux amis j'apprécie voyages sorties monde font peur inquiet ète quand sonne porte j'aime faire nouvelles relations silencieux n'aime rencontrer voisins l'escalier boute-en-train m'extériorise sans difficulté fuis responsabilités peux vivre seul doué commerce vie société fatigue dit bavard l'imprévu jo'oro comptez positions 4-5 -6-9- 19. plus réponses positives réponses positives réponse positive connaître résultats voyez page iles iemmes n'aiment hommes timides enquête auprès cinq cents jeunes filles vient m'apprendre d'intéressantes vérités désirons m'ont-elles écrit cœur appelle tous vœux c'est homme quarante ans sûr peu conquérant inspire sentiment sécurité d'ailleurs égal qu'il très beau très riche surtout voudrions aucun prix jeune homme parlerait d'amour rougissant jusqu'aux oreilles regardant bout pieds poursuivant enquête allé interroger célèbre psychologue t.c borg demandé est-il vrai nombre timides chaque jour augmentant peut-on pratiquement contre cette terrible infirmité borg répondit suit questions posez intéressantes tout monde exact difficultés vie moderne multiplié nombre anxieux timides d'autre part bien certain timides trouvent lourdement handicapés bataille devons tous livrer obtenir place soleil heureusement timidité guérissable suffit considérer comme maladie physique non plus seulement comme maladie morale suffit montrer timide comment peut éviter manifestations démoralisantes émotion comment peut s'empêcher trembler rougir jamais plus ensuite risquera perdre contenance guérison complète définitive grande découverte dernières années celle permet instantanément sans effort maïtriser réflexes borg remit alors petit livre consigné résultat recherches pus voir amoncelées bureau centaines lettres reconnaissance attestaient l'efficacité traitement désirez acquérir cette audace bon aloi cette parfaite maïtrise vous-même utiles époque priez borg envoyer livre lois éternelles succès distribue gratuitement tous timides veulent libérer mal voici adresse t.c borg chez aubanel place saint-pierre avignon ortega méthode borg bon gratuit découper recopler adresser t.c borg chez aubanel place st-plerre avignon recevoir sans engagement part sous pli fermé lois éternelles succès
7,8,sorte réflexion théorique expé molfeaue roner l'essor psychologie forme l'une grandes théories psychologiques xx° siècle gestailttheorie parfois traduite français psychologie forme l'hypothèse base monde parvient centres nerveux sous forme chaos mails qu'il déjà monde gestalt monde formes organisées monde d'objets cela opposition thèse behavioriste selon laquelle monde tel percevons ensemble sensations indifférenciées centres nerveux supérieurs organisent suite d'une série conditionnements obtenus l'interaction objets monde extérieur passé quand recherche revient paternité gestalttheorie trouve autrichien von ehrenfelsi précurseur allemand prague wertheimer l'initiateur wolfgang kôhler revel esthonie bords baltique disciple fervent c'est peu comme toute l'europe germanophone l'époque concen tré forces donner jour nouvelle théorie propager travers monde 1910 date cle psychologie 1910 kôhler âgé vingt-trois ans assistant l'institut psychologie l'université francfort obtenu diplôme deux années paravant berlin s'est également famillarisé sciences physiques auprès max planck3 pensée conséquent pénétrée principes scientifiques tout naturellement porté poser problème développement sciences différences entre cheminement sciences exactes sciences hurmaines premières recherches portent questions d'audition fait critique méthodes d'analyse alors prévalantes chez psychologues d'europe centrale inspirés théories wundt4 heurté l'aspect trop fragmentaire expériences cette école s'attaque cet élémentarisme 1910 c'est l'année wertheimer entre laboratoire psychologie francfort trente ans c'est rencontre kôhler koffka5 également assistant francfort âgé vingt-quatre ans date réellement l'essor gestalttheorle maaiterteiue pont dent cnrs our corre face psychologie encore toute pénétrée d'introspection prétendait parvenir l'observation d'une expérlence décomposition détails l'analyse éléments trois jeunes gens cherchent élaborer théorle tiendrait compte fois nécessités l'expérimentation scientifique l'aspect global réalité psychologique jouet revolutionne psychologie point départ mécanisme stroboscope accorde fixer date nalssance gestalttheorie jour acheta petits werthelmer lent l'illusion mouvement vendus comme jouets ire enfants ckevsronci jean chaguibof rlence vécue bien bon expg rimentaliste werthelmer révé jât finalité expérlences qu'au bout d'un quoi consistait donc cette expérlen allait marquer toute carrè pensée scientifique kühler principe extrêmement simple supposons deux lignes horizontales pla cées hauteurs différentes présente truchement d'un chistoscope boîte munie d'un viseur lequel regarde images pré sentées sujet voit manière successive c'est-à-dire d'abord pre mière puis seconde nouveau première ainsi suite suivant l'in tervalle temps entre présents tions chaque ligne détermine trois phénomènes différents l'inter valle long sujet voit deux lignes distinctes l'une après l'autre s'il court sujet l'impression voir qu'une seule ligne mouvement oscillatoire haut bas enfin l'intervalle très court sujet verra deux lignes fixes simultanées ainsi blen qualités physiques stimulus varient aucune trois situations trois types d'or ganisations perceptives différentes cor respondent dernières conséquent perception peut être envlsagée comme relation simple entre propriétés physiques d'un jet réception l'on niveau cerveau peut décrire perçu comme décalque monde extérieur existe niveau cortex ganes récepteurs processus interviennent participent cette reconstitution perceptive monde —————— von ehrenfels 1859-1932 psychologue vie nois s'est penché problèmes perception travaux préfiguraient cherches l'école gestaltiste fait wertheimer bso-las véritable fondateur gestalitheorits planck 1858-1947 physicien professeur physique théorique éorie obtint prix nobel 1918 ergic quantas problème masse den wundt -1920 psycholour alle esl passé physiologie psychologie premier avoir introduit laborato psychologie l'université gén rang considéré comme l'initinteur psÿc expérimentale smént koffka 1886-1941 gestaltiste également pre s'intéressa entre dique l'air èmes psychologie génétique teur eriuciplos gestalt psycholoë principes théorie forme stroboscope appareil permettant ver objets animés d'un mouvemen dique très rapide comme s'ils animés d'un mouvement très lent serd repos
8,9,jression moun bas ourt simul ysiques aucune d'or corconsée envisimple 1me existe orjs cette nde vien jes rt- représenter perspectives ühler amis our vation début siècle telle obs® spécialement reprolence délaisser juan atolres pensalt ven d'étudier problèmes morceler psychologues wurtzbourg exemple décomposer comporte phases successives afin d'ana0 introspectivement chacun ess gestalttheorle dès promettait bien nas rande adéquation réalité alsait entrer ligne organisme global l'être hule fragmenter petits mor- gherchalent main sans rent quelques années précèdent guerre francfort devient donc foyer s'élabore d'où répand théorie paternité revient max werthelmer kôhler koffka favorisèrent systématisation valeur œuvre zèle propagandistes lut permirent d'acquérir cette importance historique pratique personne aujourd'hul saurait lul dénier wolfgang kôhler allemand eût-il américain trouvé emporté tourmente révolution behavioriste faisait rage etatsunis exactement époque livre werthelmer perception mouvement experimentelle studien über das sehen von bewegung paraît 1912 l'article clé watson psychology behaviorist sees it8 paraît 1913. sait très bien détermine progrès d'une discipline comme psychologie n'est cependant surpris voir behaviorisme naître etats-unis plutôt qu'en allemagne théorie l'action fondée tout entière comportement n'est surprenant voir développer pays pleine expansion pratiquement dénué culture historique machinisme cesse répandre l'efficacité rentabilité priment toute autre considération kohler poursuit recherches solitaire ————————a eeeee—— gestalttheorie jaillit rencontre francfort d'une culture d'une époque personnalités comme celle kôhler fait gestalttheorle allemande exis- connue propagation outre antique immédiate cela era autant montée nazisme canarles compte émle sciences prussienne expériences comnt singes poulets l'acad mèn porteme parti là-bas quelques mois pre- mière guerre mondiale contraindra rester plusieurs années plus moins isolé l'activité scientifique in- térnationale livrera cependant sérle recherches fort importantes cette époque 1914 1918 n'est favorable grands échanges pensée internationaux livres articles circulent faclté d'un pays l'autre psychologues îles canaries centre préoccupations moment tout cela n'entrave cependant développement théories kôhler l'impulsion base donnée 1940 recherches werthelmer présent capable développer seul conclusions premières recherches consigne observations réflexions premier ouvrage l'intelligence singes supérieurs paraît langue allemande 1917. traductlons françaises américalnes suivront dix ans retard 1920 consecration universitaire foyer intellectuel francfort ébranlé guerre auralt tout aussi bien provoquer l'étouffement jeune gestalttheorle encore pelne sortie limbes kôhler cette période riche activités recherches contraire extrêmement féconde 1920 voit retour allemagne gôüttingen publication d'un îivre dont titre die physischen gestalten ruhe und stationären zustand laisse deviner portée l'ouvrage extrêmement sérieux riche propositions théoriques l'œuvre d'un psychologue mails aussi l'ancien élève max planck s'agissant science sait dont parle parallèlement psychologie kôhler falt intervenir d'autres sciences comme biologie physique chimie l'astronomie l'appui démonstration notion gestalt principe général dont retrouve traces d'autres niveaux niveau psychologique rigueur l'intelligence cet écrit sans impressionner quelque peu unlversitaires aussi deux ans plus tard lorsque chaire stumpf devient libre berlin est-ce kühler nommé remplacement celul dont l'élève quinzaine d'années plus tôt cette nomination prenait figure reconnaissance gestalttheorle autorités universitaires sans doute beaucoup plus tardive sans publication cet ouvrage magistral après laquelle n'était plus possible tenir compte l'apport nouvelle théorie kôhler professeur berlin responsable chaire laboratoire psychologie gestalttheorle re- unrente pile lps connue allemagne comme postulat sclentifique majeur nouveau venu fait apparition dont l'influence tous domaines considérable adolf hitler n'est nécessaire rappeler déroulement l'histoire plus années passent plus nazisme falt menaçant cours années 1930 individus manifestent aversion ouverte contre régime hitlérien trouvent contraints l'exil centaines savants d'artistes mondialement réputés s'expatrient etats-unis notamment këôhler fait exception règle quatre heures matin c'est l'heure laquelle gestapo rend visites nocturnes die deutsche allgemeiïne zeltung publié virulent article antinazi l'un derniers parus partir 1933 signé kühler celui-ci résigné attend sang-froid sinistres visiteurs compagnie amis l'université gestapo vient soir-làa néanmoins l'atmosphère malsaine kôühler comprend qu'il doit résoudre partir quitte l'allemagne définitivement 1935. présence gestalttheorie continuera cependant manifester allemagne l'intermédiaire revue psychologische forschung quelque sorte l'organe mouvement fondée 1921 kôhler koffka wertheimer kôhler dirigera depuis etats-unis jusqu'en 1938 époque laquelle disparaîtra hitler passant fort bien gestalttheorie psychologie général 1935 kohler part etats-unis hop quand kôhier s'installa etats-unis précédé koffka wertheimer gestalttheorie attendue mode behaviorisme psychologues allemands débarquaient s'attaquer cette sorte terrorisme caractérisait l'époque comme encore jours dirons certains raisonnements scientifiques n'intervenait schéma stimulusréponse accueillis politesse condescendante certes gestalttheorie n'était inconnue sa7 l'école wurtzbourg fondée kiüïlpe 1862-1915 psychologue allemand professeur wurtzbourg ambition d'étudier fonctions supérieures manière expérimentale psyclologie telle voit behavioriste formes physiques état statique repos faut entendre kôhler étudie formes qu'elles immobiles rigides comme formes géométriques mouvement comme circonvolution d'un satellite autour planète mère stumpf 1818-1936 professeur berlin philosophe d'origine s'est intéressé problèmes généraux comme ceux l'acte fonctions psychiques 11. behaviorisme watson lire l'article jean chaguiboff paru psycho- logie
9,10,ide forme vait qu'existait europe petit groupe chercheurs faisaient recherches intéressantes perception këhler koffka plusieurs leurs ouvrages traduits anglais premier rédigé directement lecteurs américains sorte condensé théorle intitulé simplement gestalt psychology kôhier également fait plusieurs apparitions clark university harvard l'université chicago eclipsée behaviorisme gestalt cependant loin d'avoir retentissement qu'elle méritait eeee———— gestaltistes contre behavioristes etude gestalt n'est mot anglais c'est dont premiers gestaltistes lesquels ailleurs difficile s'exprimer cette langue alsance rendirent tout d'abord compte ensuite théorle née réaction contre expérimentations élémentaristes wundt implantation etats-unis devait donc faire contexte différent aspect fondamentalement novateur n'apparaît décèle comme relent philosophie behavioristes admettent mal qu'on puisse faire appel notions d'organisations déjà préexistantes dès naissance comme verrons plus loin font remarquer qu'admettre l'organisation comme donnée base c'est résoudre problème nlant existence kôhler doit donc entrer lutte contre behavlorisme outrances bien quelques points théorie watson apport positif gestalttheorle alors werthelmer poursuit calmement recherches université américaine kôhler koffka font admettre l'importance théorie psy- chologues pays aussi réticents fussent-ils premier abord reconnu célèbre kühler enselgne poursuit recherches université américaine cependant oublié pays d'origine tourmente seconde guerre mondiale s'étant apaisée retourne fré- quemment l'université berlin donne conférences conseille jeunes chercheurs faut oublier théoricien également expérimentallste qualité apprend élèves plus expé12 meilleure ndance oublier trop quand meurt -vingts ans gesnue déjà encertains principes hence simple qu'ont toujours psychologues 1967 âgé quatre talttheorie recon trée l'histoire demeurent vivaces d'autres trouvent formellement invalidés quoi qu'il vieil homme mouir heureux d'avoir existence largement contribué progrès science laquelle consacré vie mérite fondamental kôhler d'avoir pris terme gestalt d'avoir compris toute l'étendue notion pouvait recouvrir mot n'était d'un emploi récent psychologie psychologue viennois von ehrenfels l'avait déjà utilisé vers 1890 décrire certaines expériences sensorielles cela précurseur théorie parlait gestaltqualitäten c'est-à-dire cas perception lieu d'être appréhension d'une somme d'éléments transcendait l'agrégation stimuli physiques qu'il appelait ainsi qualité formelle exemple mélodie n'est simple succession notes perçue comme tout sait l'on retenalt chacune notes d'une mélodie mélangeait présentait ordre arbitraire résultat niveau perception bien différent rapport cas mélodie organisée qualités proprement physiques stimuli c'est-à-dire notes n'auraient cependant modifiées succession notes ordre donné surgit donc quelque chose quelque chose plus cette succession notes gestaltqualität l'experience poulets l'expérience wertheimer lignes fixes donnent l'impression mouvement soulève pro- blème alors von ehrenfels faisait confusément intervenir ac- tivité l'esprit l'interprétation phénomènes gestaltistes présupposent l'existence forme comme donné immédiat cela spus-entend qu'au-delà d'une observa- particullère d'un cas singulier d'interprétation d'un certal généralisation sageable phénomène plus vaste envi- saglt postuler l'exis- gestalt non cas partioullers sein ènes perceptifs tant phénom dane psychologie manière jorace formation sclentl- lac ner étalt particulièrement habl évelopper cette systématisaen effet gestalt correspond activité psychologique qu'on pourrait localiser exemple niveau cortex siège l'activité cérébrale périeure loi qu'on retrouve aussi bien autres domaines psychologie telle conception aspect spéculatif au. rait condamner dès départ l'esso théorie kôhler cependant contente d'émettre hypothèses cherche dès départ prouver qu'il avance appuyer pensée dlé° observations rigoureuses aussi période qu'il passe canaries période d'expérimentations sous-tendront développements théo riques ultérieurs premier iivre l'intelligence singes supérieurs précède celui gestalt consl dérée comme soubassement fondamen tal science l'une expériences plus lis meuses cette époque celle qu'il effectue poulets présente merde animaux deux surfaces grises tonalités différentes l'une plus foncée mél l'autre dispose grains dhcené deux surfaces lorsque poulets veulent aller picorer sur- face plus claire écarte sjctol conditionne ainsi aller picorer surface plus foncée fois conditionnement obtenu modifie dispositif conserve surface plus res foncée cette fois-ci lieu dela ... présenter surface plus claire donne animaux choix entre celle-ci autre d'un gris encore plus foncé lieu d'aller picorer surface laquelle hab tués poulets dirigent vers l'autre côté parce présent c'est gris plus sombre ré- faere sultat montre l'évidence com- fos portement volatiles étudiés répond non stimulation simple situation d'ensemble complexe brie poulets n'ont conditionnés aller tel tel gris l'ont choisir deux surfaces plus for cée longs discours moins poids qu'une expérience simple claire comme celle-ci travaillant avé6 rigueur plus l'anirnal kôhler nie peut être taxé divagation philo- sophique fantaisie introspectivé- pie discussion peut toujours être portée tel tel point l'interprétation d'une expérience mals manière dont kôhler enrichit propos démons trations oblige jusqu'aux plus fermes tracteurs prendre considérait peut admettre terme gesta fait partie mots allemands traduisibles comme stimmung fame gemütlich qu'on retrouve toujours textes version originelt parce qu'il n'existe français anglais d'expressions duire paul guillaume l'exégète 1062 incitpal ôhler traduit l'intelligence supérieurs 1931
