,page,text
0,1,momi auf
1,2,nes hsontipassées does publiolté otient universitaire pct 1900 lausaan panel collection s'imposait complète psychologie classiques psychologie lan revun psychologie famihorisé los travaux grands p5y chologues 10mmmp5 certons chercheurs fait l'objot d'interviews colte revue ainsi commenté los résultuts lours uavaux grands principes leurs théortas 6lus 5an6 doute qua rarement reporté textus originaux auteurs n'avoz sans doute consulté leurs ouvragos fondtamontäux pourquor ausci étonnant cela pararse beuucoup ouvräges n'ont jamais 6tê traduits cortain nombre d'autres édnés totnps jamais réédués amatours curiauz peuvent consulter déj bibhothèéques univernntaires dont l'accès n'ost toujours facile gudiants guz-rnéëmmes watson sans publié français cértainee ouvres £on cependant paärrou le6 plus importantes patrimoine culturel humain c'est pourquoi c.e.p.l qualité d'édicur psycho logie voui rendre cerner tous cgux ätiendont bre enfin jes chéf6-d'osuvre d5ychologio pris l'initistive d'éditer jeo ouvragos pifotes 165 amateurs biychologie peu- vont das tynorer cette collection s'appülle clap ciques psychologie pourquoi rassomblemont parco chacuno œuvros qun e.p.l proposa d'éditer rééditer fait partie livres qu'il faut avoir ... avoir lus parco quo rassomblemont mêmo tous cas ouvrages 50m d'un uruque bibliothèque n'avait jamais core ôté réalisé kretschiner fallait hiro l'allemand voici l65 premiers paraître inédit watson bohavio- mgm l'exemple type l'ouvrago justifie telle collection puisqu'il c/p05e doctrino psychologie plus répandue monde bohavio- meme watson théorie com porlement l'influence encore fondarnentale d4n6 loute école d5ychologie inedit krectchmer leg hommes génie kresichmer inventeur classification objective dus caractères découvert mi6 valeur corré- lations entre 1ypo5 tempéraments etl 856pqci extérieur individus épuisé kohler intelligence 51n968 gupérieurs bon exemple livres 8ctuellement hors portée dos amaäteurs puigque cette œuvre rééditée dcpuis 1922. mené dir eimale l'ont 10dre épuisé alfred binot rimontalg travaux stalttheorie etudo cxxpé- l'intelligence binot chorcheur l'inéo moss l'ivtolligonce hurmane on1 l'inventeur premier 081 dormattant com parer quotient mtollectuul dos movique tour tusts pratiqués aujourd'hun daceutrny 365 fravuux autros autours paraitro plagot sholdon adler zipt milles ote bohaviorisine toujours actuol catte collaction los classiques psychologio cdévaloppora rncen d'un volume tous las tros mois liuro fois élégante solde ete conçue faire ouvrages lumus 16f6ronce troval permet las consulter conflamment sans îles fatiguer présentonon soignée rend aillours dignes plus bulles bibliothèques ce.p.l pout oxpédior 605 mit tunant promier volumo médt gais bohaviongmes théane ccomportument watson ctif cette lettre bon pormet commantier après l'avoir reçu pourrez dont connaissanco causo réserver 105 vrägu5s suivants collivre sera/envoyé communication cratume btroutiectoudetesyc/0/001 lofnoÿent pio lolens éttacholcertopuu
2,3,dsycroiosie comprendre savoir agir monde d'aujourd'hui chercheur idées marcel mauss pionnier l'ethnologie française philippe chemla psychologie clinique rééducation l'équitation blocages corporels blocages mentaux claude bonnafont enfance adolescence comment apprendre parler enfants source plaisir qu'il faut brimer sylvie truffaut psychologie appliquée comment devenu professeur créativité universités américaines sup bruno dufour psychologie avancée méditation effets mesurables niveau physiologique marianne kohler octobre 1972 psychologie expérimentale stimulation électrique cerveau recherche plaisir plaisir anthony deutsch entretien theodor reik l'ami freud erika padan freeman dot psychologie différentielle cubes kohs sen mesure l'intelligence lan claude malard librairie rêve transe folie bastide aval couple morris rammèrt nation strangers packard uon tés autres parutions bref 23-63 informations who who psychologie one prochain numéro vente novembre 1972 not fsycho log champs edite centre d'etude promotion lecture sees 75008 paris 359.86.50 225.02.88. abonner voyez page
3,4,chercheur idées philippe chem plus important maîtres penser sociologie l'ethnologie contemporaines moins d'expression française naquit exactement siècle alors disciplines n'ont cessé préciser approche problèmes d'affiner leurs méthodes leurs chercheurs réfèrent toujours auteur dont l'œuvre s'achève 1941. carrière jamais amené rechercher contact direct sociétés sans écriture sauvages primitives rédiger véritable livre achevé rien très discret vie œuvre tout donne impression indiscutable sérieux profondeur neveu durkheim marcel mauss 1872 vosges epinal c'est cette ville déjà donné jour quatorze ans auparavant autre grand sociologue emile durkheim dernier oncle aussi maître origine géographique religieuse israélite relations étroites parenté d'enseignement tout semble appeler mauss poursuivre l'œuvre commencée durkheim proprement parler fondateur sociologie scientifique française fera plus orientant bonne partie sc'ences humaines sociologie ethnologie histoire religions voiles parmi plus nouvelles plus fécondes après études secondaires lycée d'eplnal mauss renonça préparer l'ecole normale supérieure sans doute afin suivre l'université bordeaux cours oncle enselgnait pédagogie science soclale 1893 réussit brillamment l'agrégation philosophie semble considérer autrement comme épreuve qu'il faut blen passer avant tourner vers recherches plus spécialisées bien qu'initié philosophie plus clas- sique celle kant non moins celle d'auguste comte s'intéresse surtout dès cette époque phéno- mènes religieux passionneront toujours alors l'histoire reli- glons pair celle pensée hindoue auprès d'alfred foucher puis grand philologue antoine meillet3 étudie sanscrit linguistique comparée indo-euro- péenne mauss raconté cer6 argel mauss pionnier l'ethnologie française tain humour comment voir sylvain lévii l'idée d'écrire trois ans thèse prière celul- rétorqué qu'il faudrait davantage seulement s'initier langues dont connaissance nécessaire travail instigation s'était remis gram- maire versions thèmes cela n'est sans importance mauss commençait ainsi l'étude d'un grand nombre langues devait permettre d'aller sources mêmes pensées dont parlait fiant jamais auteurs seconde main savant engage notons années formation marcel mauss assurent connaissances théoriques très larges mettent aussi très bonne heure contact problèmes politiques sociaux ami marcel cachin qu'il connu pendant études bordeaux tempher mauss s'engage assez vite socialistes paris fréquente jean jaurès durkheim connaie sait l'avoir comme camarada l'ecole normale supérieure lucien herr aussi bibliothécaire l'école rue d'ulm dont pensée poli tique devait marquer nombre d'élèves milite groupe etudiants collectivistes soulient dreyfus participe mouvement socialiste georges sorelë qu'il quitte cependant parce qu'il désapprouve méthodes violentes plus tard 1904 partit pera fondation l'humanité restera membre parti socialiste après scission 1920 congrès tours naissance parti commu niste français continuera écrire périodiquement articles d'analyse politique populaire quotidien parti socialiste ainsi mauss est-il fin siècle rompu réflexion philoso phique temps préoccupé questions plus diverses tant plan théorique plan pra tique cessera vie durant d'allier plus grande rigueur l'ex men plus minutieux faits documents double éclairage théorique empirique marquera toute œuvre l'on peut suite louis dumont diviser trois périodes convient avant s'attacher pects essentiels pensée faire moins brièvement l'histoire élaboration côtés emile durkheim 1858-1917 père sociologie française publia 155 règles méthode sociologique psycholoz consacré article emile durkheim oct. 1974 alfred foucher 1365-1952 indianiste fra çais accompli nombreuses missicrs inde étudier csseutieflement far l'icunographie bouddhiques antoine meillet linguiste français ess 1936 auteur travaux grammaire rée sylvain lévi 1863-1935 étudié questions hindoues £005 aspects plus divers linguistigre philosophie marcel cachin 1869-1958 home tique français directeur l'humanité membre comité central nisie français jitiqee jean jaurès 1859-1914 homme peste français l'un chefs file français participa création s.f.i.o milila faveur dreyfus indianiste frapé dirigé histoire soclalisme frauçié alfred dreyfus 1859-1935 condamné 1ort espionnage réhabilité après violente compaq divisa l'époaue france deux georges sorel 1847-1922 sole cais aufeur réflexions vivier d'ouvrages philosophiques économiques dexeris taux louis dumont science conférence oxford publiée l'arf
4,5,côtés uanto ohnais marade lucien l'école poli élèves udiants ste endant thodes parlicl ité après rés comm écrire analyse quotidu xixt philososoccupé tant jan pradurant l'exa théoute louls odes 98de faire 1895 vchologit sim ste fran ssions l'art 186be vompa jusqu'on 1914 marcel mauss apparaîil comme principaux collalqurs durkhelm n'ayant jamals evé thèse n'enselgne l'aurait forcé comme victor karady monnayer doctrine l'intention d'étudiants tous niveaux onseignement l'école hautes études l'empêche consacrer totalement recherche telle l'école sociologique durkheim l'organisait autour d'une revue mauss contribua fonder diriger l'année sociolo gique fait paraître différentes études personnelles surtout charge seconde section concernant soclologle religions l'amène publier très régullèrement dos comptes rendus fort détaillés tout littérature sociologique internationale relatif cette question type travail permet recherche d'avancer toujours partir bases plus larges possibles d'ailleurs ensemble méthodes font l'année sociolo gique revue révolutionno sciences humaines françalses avalent régné jusque-là travail individuel mépris activités autres ici travall divisé scientifiquement selon compétences chacun doit couvrir selon échéances précises domaine recherche délimité d'autant plus facile d'arriver collaboralion travaux communs l'ensemble disciplines reconnalssent doctrine maitre l'organisateur l'annee sociologique res nouvelle étape s'ouvre après première guerre mondiale celle-ci frappé durement l'école sociologique perd grand nombre collaborateurs emile durkheim lui-même survit longtemps disparition fils tué combat dès lors responsabilités théoriques mauss deviennent accablantes s'assigne lâche publier écrits grands disparus mélanges hertz l'education morale durkhelm ans soclalisme surtout succédant oncle direction l'année soclologique voit forcé ral consacrer non plus seule nan sociologie général ehèvere donner esprit here encyclopédique s'étonne revanche tout cela laissé temps rédiger très éludes grande dimension seul aportant essai don imensions d'un petit livre oraten pts 1830 principal collaauss ubert mort tour l'ecole appelé ajouter cours ceux pratique hautes études donne l'ecole d'ethnologle puls collège france plus guère lemps d'écrire certes avance encore idées capitales exemple techniques corps notion personne mails prend guère temps développer guerre arrive vite s'enfermant chez cralgnant toujours d'être déporté mauss ressent cruellement cette épreuve ralson survit mourra mémoire pensée très affalblies février 1950. cette époque cependant l'importance chercheur commence être reconnue lorsqu'il meurt cela fait quelque temps déjà admirateurs pensent offrir volume écrit honneur quelques mois plus tard peine paraîtra recueil contenant quelques-uns articles plus importants avertissement georges gurvitch introduction claude lévi-strauss peut-on sans prétendre l'examiner détall volr quoi œuvro importante sociologue religions mauss dit d'abord surtout intéressé problèmes d'histoire soclologie religions faudrait cependant voir simple goût personnel l'école durkheim falts sociaux reconnaissent caractère extérieur l'individu obligatoire transmissible d'une génération l'autre voit religion opposition entre sacré prolane reproduit l'opposition entre faits collectifs faits individuels choses sacrées écrivait déjà dur kheim celles dont société elleemême élaboré représentation choses profanes contrai celles chacun construit données sens expérience vient qu'elles n'ont yeux prestige précédentes hubert mauss diront d'une manière encore plus salsissante conçu comme sacré tout groupe membres quallfie société introduction l'analyse quelques phénomènes religieux 1908 tellle idée directrice féconde sans doute vrai plus souvent c'est religion premiers temps chaque société contenalt éléments donné naissance diverses formes ————— 10. karady présentailon œuvres mauss paris edit minuit 11. publié l'aunée sociologique 19231924 gcorres gurvitch 1894-1965 sociologue français fondateur cenire études sociologiques cahiers internatlonaux sociologie. claude lévi-strauss 1908 profcsseur collège france ethnologuc œuvre essentielle porte l'étude mythes reporter l'article paru psychologie mars 1970 dégouchés psychologie psychologie unu vieille dame ... rajaeunit chaque jour monde plus plus besoin psychologues non seulement spécialistes théoriciens surtout d'hommes d'action femmes entraînés appliquer socteur techniques psychologiques médecin infirmier lore assistante sociale kinésithérapeute enseignant chef d'entreprise cadro chef personnel magistrat avocat étudiant parents tous pouvent attendre d'une formation d'un perfectionnement psychologique plus large efficacité accession plus aisée promotion professionnelle sociale îls valorisaront ainsi leurs aptitudes expérience certains créeront propre cabinet conseil psychologie appliquéo relations publiques relations familiales etc faire carrière principale secondaire présentons enseignement sans équivalent cours correspondance cours oraux séminaires groupe paris lille lyon ... aides audio-visuelles graphopsychologie morphopsychologie psychotechnlque orientation sélection relaxation psychosomatique sexologie normale pathologique psychopédagagie rééducation dysgraphiques cours l'institut international rorschach sessions perfectionnement cadres entreprises administrations préparations assurées grapho morphopsychologue formation psychologique direction personnel conseiller psychologie appliquée consoiller familial sexologue opérateur psychotechnicien assistant d'orientation etc conditions particulièrement intéressantes études concrètes progressives rythme libre dépense moyenne mois 120 dépense d'ailleurs déductible revenu brut imposable équipe professeurs psychologues-praticiens compétents conformité règles déontologiques très strictes édictées syndicat national l'enseignement correspondance institut français culture humaine paris lille direction administrative foch 59-marcq-lille nom prénom ... profession ... adresse complète ... messe demande sans engagement part documentation enseignement correspondance cours oraux soir paris stages pratiques ainsi qu'une étude gratuite d'orientation souhaite recevoir invitation gratuite séance inaugurale session cours oraux soir paris samedi octobre 1972 16h avenue hoche sous présidence gall inspecteur général l'instruction publique prononcera conférence l'angoisse projection d'un film
5,6,hauss pionnier l'ethnologe française vie collective droit morale dérivent-ils pratiques rituelles parenté a-t-elle d'abord lien essentiellement religieux cependant risque demeure celui dissoudre spécificité fait religieux l'englobant domaine plus vaste trop large être vraiment homogène trop étroit exclure certaines pratiques qualifiées plus moins hâtivement individuelles precurseur levi-strauss aussi est-ce tout autre type recherches paraît plus important premières œuvres mauss peut voir constituer partir moment 1903 rédige durkheim quelques formes primitives classification cet article intéressant plus d'un titre d'abord faut noter mauss représentations collectives sociétés plus proches d'un état primitif diffèrent bien nôtres contenu non projet forme comme nôtres elles tendent mettre ordre monde classer toutes choses ainsi mauss anticipe-til lévistrauss données nouvelles confirmera cette analyse premières pages pensée sau vage jamais mauss retombera l'idée lévy-bruhl lequel mentalité primitive radicalement différente nôtre ainsi assure-t-il possibilité rendre recherches ethnographiques plus fructueuses elles renseignent seulement sociétés sauvages facon dont nôtres mêmes formées qu'elles être prenons type d'activité semble particulièrement éloigné nôtre magie semble fonctionner selon terme lévy-bruhl d'une manière prélogique postulant action possible entre choses n'ont aucun rapport physique visible l'action laquelle livre magicien statuette répercute telle personne telle chose parce qu'il rapport participation sympathie entre l'une l'autre l'essentiel mauss n'est peut-être temps qu'il travaille durkheim formes primitives classification rédige hubert quisse d'une théorie générale ——— dance date cette correspon magle sard man'est sans doute ere tend bien agir ons cela tend d'abord classer ainsi est-elle amenée mière peut-être parmi activités pue maines postuler lien entre rechercher encore lévistrauss fera confirmer l'intuition mauss lorsqu'il dira rites croyances magiques apparaissent com autant d'expressions d'un acte foi science encore naître preeminence social faut voir aussi l'article formes primitives classification inscrit également tendance durkheimienne expliquer d'un point vue sociologique toutes activités humaines compris plus élaborées commentant kant jes plus hautes fonctions l'homme mettent jeu l'universel universalité loi scientifique comme loi morale durkheim montré for élémentaires vie religieuse l'homme peut accéder cette universalité qu'en s'élevant au-dessus point vue individuel qu'il faisait parce société l'exigeait façon l'article écrit 1903 montre l'homme parvient classification choses naturelles qu'en reproduisant classification soclale formes classification certaines peuplades australiennes exemple plus primitives toutes reproduisent très précisément division société phratries clans totémiques classes matrimoniales bref essai apparaît surtout comme tentative capitale visant comprendre phénomènes mentaux collectifs rapportant cadres sociaux déterminés ainsi s'élabore peu peu l'idée phéno mène soclal total sociologie dira mauss essai don doit étudier groupe entier com portement tout entier mauss manquera soumettre l'examen sociologique paraît plus naturel moins déterminé facteurs sociaux ainsi notion personne s'élabore-t-elle lentement travers usages concernant noms propres masques puis rôles religieux sociaux ainsi encore techniques corps dépendent sans doute moins facteurs physiologiques facteurs sociaux elles peuvent varier beaucoup d'un groupe autre pensent c'est surtout moment essai don mauss parvient donner l'idée phénomène social total définition plus claires c'est aussi cette notion permet analys plus brillantes phénomènes ociaux totaux écrit mauss s'expri- ment fols d'un coup toutes sortes d'institutions religieuses jurl diques morales celles-c poli tiques familiales tomps économiques celles-c sup posent formes particulières production consommation suns compter phénomènes esthétiques auxquels aboutissent faits phénomènes morphologi ques manifestent jnstitu tions cherchons isoler éléments composent phéno mènes sociaux n'arriverons expliquer n'est sans doute hasard marcel mauss achevé thèse prière temps l'en empêcha aussi fait prière être étudiée doit être replacée ensemble plus vaste sous peine rester niveau l'abstraction faut rechercher quels phénomènes véritable ment importants sens qu'ils mettent branle totalité société notion phenomene social total très souvent sociétés entourent précèdent moins polynésie mélanésie nord-ouest américain don présente caractères d'un phénomène social total obligatoire triple obligation donner recevoir rendre oblige non individus communautés tribus clans familles plus qu'ils échangent n'est exclusivement biens richesses meubles immeubles choses utiles écono miquement avant tout politesses festins rites femmes enfants danses fêtes foires dont marché n'est qu'un moment circulation richesses n'est qu'un termes d'un contrat beaucoup plus général beaucoup plus permanent l'occasion fêtes peuvent durer semaines mois deux clans rendent visite peuvent faire assaut générosité magnr ficence jusqu dilapider détruire richesses patiemment acël mulées cas mauss parle potlatch prestations totales type agonistiques voit l'importance concepis introduits mauss l'habitude analyses sommél res d'isoler certains aspects ré® lité sociale pensons exemple pouvoir décrire mécanisme économ l'échange faisant abstrat tion autres niveaux parmi lesquels s'inscrit l'économie pourtant mêt® philosophé 14. lucien lévy-bruhl 1857-1939 ple socio français auteur d'études logique phelt \lauis nes qus lressetrél nai étshsio eds
6,7,her quels véritable qu'ils anne mene sie don pré1énomène evoir individus clans changent blens 60on0tout rlles nses ché n'esl ation d'un néral l'occalurer deux peuvent magnl- ent accuparle tales concepts sommaije réé exemple économi abstrac lesquels sopht peaclo société comme dit l'audo essai don heureuteur tout n'est encore classé tomes d'achat vente rappeler l'obligation sul jre invitation caractérise encore hique adoptée plupart surtout l'on retient prinfe ement méthode mauss cips rendra sociologie sans coute l'une plus complètes époque phénomènes sociaux tolaux rapportent tous aspects société hommes yivent faudra négliger aucun aspects soclologle fasse appel blen méthodes offrent autres sciences physiologie psychologie mauss insiste là-dessus force article rapports réels pratiques psychologie soclologle essai don sans influence sociologie internationale tlinkit haïda écrit mauss expriment fortement nature pratiques prestations totales disant deux phra trles montrent respect. disons système oblige différents groupes d'une société donnée s'offrir qu'il plus cher peut resserrer lien qu'il entre ainst mauss semblet-ll pouvoir cautionner facilement fonctionnalistes pensent comme malinowskl qu'un phénomène peut prendre dimension soclale s'il fonction utile l'ensemble d'une société vers notion structure cependant lévi-strauss sans doute ralson dire mauss cherche vralment déterminer l'utilité phénomènes qu'il étudie découvrir rapport constant entre sens neveu durkhelm déjà précurseur structuralisme ethnologie certes mauss explique nécessité rendre référant croyances indigènes invoquant hau qualité attachée l'objet donné peut devenir dangereux don nest payé retour vaudrait montre lévi-strauss voir hay simple interprétation indigéne nécessité l'échange échange femmes échange peut échange signes seul aractériser comme telle l'exismors sociale n'en demeure tant reconnaît lévi-strauss metqullers phénomènes réentre cle réglés l'échange femmes ple cel différents fait exemaus schémas très précis telndra dep l'anthropologie d'ats structures constantes qu'elle peut alors déc rire d'une façon quasi mathématique urtant n'est tout encore grand historien mare bloch disait avolr quel che paraîtra toujours doit tôt dincomplet tôt tard alder mieux vivre semble ceux jours cherchent sous formes diverses transformer vie tout intérêt aller voir cour œuvre mauss nspirés elles peuvent apprendre possibilités sociélés humaines n'estl dès l'abord évident qu'il étroite parenté d'inspiration entre chercheur tente montrer l'humanité nest vouée sait quelle fatalité seuls rapports marchands jeunes gens essalent structures nouvellles retrouver sens l'échange généralisé tous niveaux rompant anciennes pratiques l'égoïsme personnel familial notion d'alternance sociologie —————————————z encore faudrait-l rester c'est sans doute d'une manière beaucoup plus large l'œuvre mauss peut être efflcace sans doute toute pensée siècle essai don peut déjà relever l'importance mouvement alternance entre travail fête production consommation voire consumation tension détente prestation totale surtout potlatch constituent rapport l'ordre d'une existence vouée l'accumulation richesses rupture permise cependant exaltante mauss surtout mis lumière phénomène d'alternance essai variations saisonnières soclétés eskimos ceux-ci montre-t-il selon saisons deux types d'existence tout fait différents familles dispersées vivent chacune sous tente conforment droit patriarcal prennent plus d'importance clans propriété individuelle vie conjugale stable religion limitée quelques rites circonstantiels hiver revanche familles dissolvent ensembles plus vastes habitent grandes maisons communes biens deviennent propriété groupe règne espèce communisme sexuel assiste véritable exaltation vie sociale religieuse travers fêtes importantes répétées nombreux penseurs d'ailleurs regroupés plupart époque autour revue documents mauss publia article picasso repris l'analyse phénomènes d'alternance rythment parfois vle sociale roger caillois passionnant petit ouvrage l'homme sacré fondé là- dessus théorie double nature sacré respect sacré transgression travers levée tabous contemporaine fêtes l'homme trouve exutoire énergle peut vralment libérer travail parce celui-ci plus souvent contraignant georges bataille surtout développer thème transgression rapport nécessaire l'interdit cadre théorie l'érotisme certes l'épa nouissement vie sexuelle sans secrète compréhension corps s'établit longue seul j'amour illicite pouvoir donner l'amour qu'il plus fort loi bataille souligné plusieurs reprises tout qu'il devait mauss comme phénomènes rencontrent essal don luxe jeux spectacles cul l'activité sexuelle détournée finalité génitale arts poé sie autant manifestations dépense improductive mauss jusqu développe l'idée finalité toutes activités humaines devrait être étroitement utilitaire tournée seulement vers progrès technique philippe chemla 15. marc bloch 1886-1944 historien français spécialiste l'époque médiévale promoteur études d'histoire sociale économique grand résistant fusillé allemands roger caillois 1913 sociologue essayisie français analyse essenticllement phénomènes paroxystiques guerre fête etc 17. paris gallimard 1949 18. romancier cssayisle économiste sociologue critique d'art critique littéraire philosophe gcorges bataille 1897-1963 s'est intéressé tout travers prisme tout excès paroxysme 19. voir piel bataille monde notion dépense part maudite critique 195-196 août-sept. 1963 savoir davantage mauss sociologie anthiropo- logie paris p.u.h. recueil surtout depuis troisième édition 1965 contient principaux textes neccs- saires sinitier l'œuvre mauss précédés très importante introduction lévistrauss peul citer éditions couranles deux petils ouvrages mauss cazeneuve mauss paris pure coll philosophes sociologie marcel mauss paris p.uæf étude plus approfondie peut amener consulter mauss essais sociologie volume double paris seuil coll points 1971 trouvera enfin plusieurs articles très intéressants l'arc consacré mauss ——————
7,8,lcr ——= gon mans aoene œumn
8,9,iioïns grand vent agite arbres pre cle maisons-lafite bord carrière quinze adolescents handicapés mentaux discutent renée lubersac hubert lallery quelques minutes cheval agités volubiles uns tiennent place d'autres attendent passivement dos rond l'œil vaguement inquiel viennent d'un institut médico-professionnel région parisienne plupart d'entre montent depuis trois mois hubert lallery entraîne vers manège moitié adolescents l'altribution chevaux mise selle nécessitent part attention aiguë quel gaiïllard sentira l'aise gigantesque sombrero confier tanagra manie gênante mordiiler croupe cheval précède campanule plus douce docile juments confiée fillette fail premières armes quatre-atouts gamin plein verve gargarise plaisir chantonne quatre-atouts quatatou tatou toutou quatratou quatatou ... claude palefrenier introduit montures seconde efficacement lallery toute prudence centrée dentition l'animal est-ce qu'il mord souvent adolescents passent dangereusement près postérieurs presque tous abordent cheval droite s'étonnent s'irritent écarts faut poigne carrure solides lallery hisser lourd denis enfin debout étriers s'affaise comme sac apparemment épuisé tête gamin sourit anges sept cavaliers piste travail commence poursuivra terminera d'infimes incidents vont rompre rythme monotone séance tête gamin radieux droit comme sourit anges sans discontinuer bras repliés bien loin corps semblent deux ailerons prêls l'envol ravissement profond qu'il n'entend guère indications thérapeute gros denis paraîl toujours aussi paniqué strabisme s'accentue thérapeute qu'il rencontre première fois lerrorisc d'avance marmonne palron m'en guculer c'est sûr m'crier dessus m'enguculer lron.…. position déplorable esl écroulé demi-couché l'encolure pieds battent désespérément flancs monture patron m'engueuler passe devant hubert lallery l'interpelle bonhomme flanques coups cheval aimerais loi qu'on battle ain sans raison tout proférant mots rassurants emboîte cheval redresse l'enfant place mains jambes l'encourage denis calme cesse lamento placides chevaux tournent exécutent bonne volonté figures demandées hubert lallery toujours contrecarrées cavalier mets main gauche l'extérieur explique hubert lallery daniel daniel après vigoureuse détente deux bras porte résolument deux mains jointes aussi loin qu'il peut vers droite sept adolescents évoluent seul distingue immédiatement gauche droite autres flottent incertains seuls repères concrets suggère lallery miroir porte permettent situer souvent aussi confondent bras jambes constamment qui-vive lallery s'exprime d'une voix puissante persuasive dont s'efforce maitriser débit moments critiques cheval s'arrête l'appel alarmé d'un enfant suffisent mobiliser l'anxiété latente chez tous adolescents l'onde propage irrésistiblement travers manège engendre doute l'indécision réactions aberrantes calme absolu thérapeute permel seul d'endiguer panique naissante fin séance moment délicat l'autorité thérapeute s'exerce plein cavaliers quitlent piste descendent cheval assistés rééducateur palefrenier plupart amorcent droite descente abandonnent monture milieu manège bride cou faut rappeler hâte rattraper cheval songe regagner plus vile box expliquer l'enfant comment passer l'index entre rênes empêcher glisser l'assurer animal songé mordre cherche simple
9,10,"ment sucre poche faut féliciler comportement rappeler nom monture faut ménager faveur spéciale frédéric fit l'an dernier stage palefrenier petit haras cette morne reprise déçu quelques minutes galop seul manège devant copains éblouis ramènent gaieté maigre mobile visage. lorsque s'achèvent reprise cours d'hippologie dispense renée lubersac lallery rassemble effectifs bavardage détendu incite adolescents s'exprimer confier leurs impres- bien-être satisfaction physique morale qu'il éprouve jour poliomyélitique remporta j.0 1952 jeux d'helsinki jeune championne danoise lis hartel remportait médaille d'argent concours dressage suscitant l'intérêt passionné rééducaleurs kinésithérapeutes neuf ans plus lôt celte jeune femme atteinte poliomyélile déplaçait exclusivement fauteuil roulant exploit entraînement persévérant énergie malades surmontent leurs inhibitions rendant maîtres cheval sions leurs souhaits porte chaque comportement jugement indulgent judicieux anticipe déroulement leçons futures démontre nécessité commencer doucement faire gymnastique être l'aise mon- ture parle chevaux aussi bons chevaux tous participent concours hippiques appré- hensions fantasmes ado- lescents percent timidement gros lent denis maladroit apa- thique redoutait tant l'en- gueulade patron redira trois fois satisfaction d'avoir lui-même commandé cheval francis sentait léger décontracté l'impression qu'il allait envo- ler questionnée agnès seule fille groupe répond laconique c'était bien c'était bien ... in- siste as-tu caressé cheval piquée vif sort instant torpeur affirme bien sûr j'ai caressé cheval cavalier sombrero répète inlassablement sombrero fait moins 1,80 garrot cueilli cette for- mule bouche palefrenier présent condense joie sans défaillance point dé- part nombreux essais recherches expériences cette époque épidémie poliomyélite sévissait pays scandinaves réé- ducation l'équitation bientôt promue rang thérapeutiques plus susceptibles d'accélérer guérison séquelles paralysie entraînées maladie l'observa- tion empirique démontra bientôt d'autres handicapés physiques rhu- matisanis cardiaques hémiplégiques etc. tiraient bénéfice d'une r.p.e chose plus surprenante handicapés mentaux france l'association nationale rééducation l'équitation fon- dée 1970 l'initiative hubert lallery renée lubersac s'adresse d'emblée tous handi- capés physiques mentaux adoles- cents adultes l'amélioration mal ques grâce r.p.e s'explique ai- sément processus physiologi- ques bien définis l'amélioration handicapés mentaux encore fait l'objet d'une théorisation systé- matique thérapeutes utilisent r.p.e ceries acquis quelques ades physi- certiludes surtout émi nombreuses hypothèses partie leurs méthodes empiriques encore sous bien aspects icurs réflexions approche peut être lentée visera lour lour jes ma- lades cadre s'effectue r.pe cheval nouvel intermédiaire entre malade thérapeute enfin thérapeute formation troubles psychiques s'inscrivent fatalement niveau corps handicapés mentaux connaïssent mal limites personne situent difficilement l'espace schéma corporel turbé entraîne maladresse inhibition tenaces niveau gestes démarche l'orien- lation premier bienfait dont bénéficient juchés cheval force monture soudainement octroyée l'ansmise puissance musculaire cheval cadencée régulier com- munique personne physique dont ïils ignorent feignent trop souvent d'ignorer potentialités brusquement crédités cette force supplémentaire saisissent nécessité diriger l'espace car autonome ingouvernée représenterait danger l'urgente nécessité s'en rendre maître incite sortir l'ambiguïté spatiale limites manège lesquelles viennent buter leurs tentatives erronées obligent reconnaître cette erreur corriger réaction cheval mouvements jambe main forcent distinguer reconnaître puis contrôler leurs comporterments moteurs dont peu conscience bras s'agite involontairement reçoit aussitôt sanction niveau monture bon gré mal gré cavalier enregistre contrecoup réalise mieux efficacité physique lorsqu grâce cheval décuplée effets thérapeutes s'intéressent r.p.e frappés constaler quelle facilité malades men taux contacts difficiles autrui acceptent aisément contact cheval contact s'établit seulement plus près cope corps debout proximité d'un val malade n'est tranquille n'ose souvent s'en approcher peine caresser moindre vement l'animal ressens comme menace est-ce veut ruer craintes lissent partie lorsque cava selle disproportion masses respectives disparaît physi per1 etude cheval pus désignerons désormais pat and.r.e jni"
