,page,text
0,1,ets eistou
1,2,grands dconnares hason bibliotheque cantonale universitaire 18.cec.1986 lausanne savez-vous plantes compagne herbes savez-vous garder remettre jardin l'eau mer bonne santé massages dre tirer plus grand l'acquisition d'un vras som vertébrothérapie l'acu- bénéfice mail certains mouvements punciuro l'homéopathic vôtres voici gymnastique recélent constituent souvent 1rai- trésor plus précieux dpture fil lagrérisan pertes lentes lammene 22ldelamedeenechinoisermote aliments naturels ratés ete apt ventébrotherapies cosi équilibre santé celle vôtres venius curalives insoup- tements éconds bienfatconnées sants trop souvent ignorës grand public hasard glané hasar traitements nes bons conseils plus grandes études principales médecines naturelles trouverez plus 400 traitements bons conseils trucs etc classés alphabétiquement parmi lesquels traitements apithérapie ergothérapie héliothérapie héliothalassothérapie métallothérapie naturisme oligothérapie o-rééducation bons conseils ail algue argile bain boue bain turc carotte cata- plasme chicorée chou citron décoction embrocation fromage gelée royale macération méthode kneïipp miel oignon persil petit déjeuner plancton sauna sels minéraux thym vinaigre cidre etc chacun mots renvoie cas concernés doc rente etes v-publi gardez-le précieusement médecines naturelles 544 pages grand format centaines mots classés ordre alphabé- tique études intégrées repérables onglets centaines dessins noirs 250 illustrations couleurs riche reliure décorée c'est production grands dictionnaires maison autres volumes paraître savoir-vivre d'aujourd'hui bricolage styles décoration tomes conseiller juridiqueetc… pendant jours meilleure documentations gratuites utilisez vôtres milliers consails contient cet indispensable ouvrage cette fleur décorative pourrez suspendre armoire pariumera linge maison
2,3,"comprendre savoir agir monde d'aujourd'hui bibliothèque vinet 1004 lausanne janvier 1973 heur idées ernest jones biographe freud claude girard ance adolescence biberon sein controverse continue niles newton ogie différentielle juge aussi mine expressions trahissent monique chassang sychologie clinique maniaques bistouri aiment faire opérer nadine rousselet ————— nnaissance soi pourquoi travaillons goût intérêt l'argent edward deci vie moderne groupes rencontre mode dangereuse thérapie efficace michael beldoch gestalt-thérapie dernière mode californienne nicole baylac entretien carl rogers théoricien non-directivité jacques mousseau librairie sociologie psychanalyse bastide ethnopsychanalyse complémentariste devereux pouvoir d'informer j.-l. servan-schreiber bref grande-bretagne bref etats-unis who who psychologie index annuel liste tous articles parus 1972 prochain numéro vente février 1973 d'etude promotion lecture 59,86.50 225.02.88. abonner voyez page sre our rouen net oies tai"
3,4,amont dre rds legales septembre dernier claude girard publiait éditions payot premier ouvrage biographique consacré ernest jones nul mieux n'étalt désigné présenter cette rubrique personnalité l'œuvre biographe freud ernest jones participa très activement développement psychanalyse durant cinquantaine d'années sensible l'importance l'histoire l'évolution idées laissé document capital vie freud naissance psychanalyse monument dressé hommage freud n'est seulement témoignage hommes événements aussi tentative biographique originale confronte l'évolution d'une personnalité l'élaboration progressive œuvre l'organisation d'institutions propres assurer poursuite référence jones essentielle quiconque s'intéresse débuts psychanalyse souhaite aborder historiquement écrits freud l'œuvre personnelle jones bénéficia bruit scandale rupture fait peu connue bien qu'elle extrêmement variée très abondante travaux clinique théorie psychanalytique jalonnent l'évolution conceptions freud établissent liens entre neurologie biologie psychiatrie psychopathologie psychanalyse situent l'originalité jones sensibilisation anticipant parfois développements modernes psychanalyse théorie symbolisme caractérologie psychanalytique l'inter- prétation développement sexuel femme vie prégénitale théo- rie instincts portent marque réflexions jones témoignent désir concilier freud mélanie klein homme d'action marqua tempérament fonctionnement institutions psychanalytiques interna- tionales durant périodes critiques croissance côtés freud sans être toujours accord contribua l'élaboration statut officiel psychanalyse l'un artisans structures socio- économiques travaux psychana- lyse appliquée témoignent volonté diffuser psychanalyse l'in- sérer sciences humaines comme ferment nouveau avril 1908 tint salzbourg premier congrès international psychanalyse freud âgé cinquante-deux enest jones biographe freud ans sort isolement voit venir vers psychanalyse jeunes méde- cins étrangers ernest jones l'un nouveaux venus janvier 1879 gowertown pays galles donc vingt- neuf ans issu d'un milieu social aisé aîné trois enfants dont favori peu délicat sujet phobie loup terreurs noc- turnes fait études brillantes cardiff puis londres s'oriente très tôt vers médecine auto- biographie raconté enfance souligner traits psychologiques facteurs affectifs familiaux culturels l'ont sensibilisé découvertes psychanalytiques l'impact ori- gines structure familiale ten- dances anglicistes père oppo- sées conservatisme gallois mère soulèvent problèmes linguis- tiques rôle grands-parents nurse jalousie œdipienne ravivée naissance sœurs désirs infantiles toute-puissance l'organisation défenses contre angoisses nocturnes rôle sécurisant père moyens surmonter échecs l'investissement travail l'hyperactivité autant d'expériences profondes dont trace subsiste œuvre psychanalyste l'étude rôle grands-parents lors processus d'identification fantasmes origines l'analyse complexe d'infériorité gallois psychologie minorités l'intérêt précoce langues étrangères problèmes langage neurologie psychanalyse livre cauchemar description caractère narcissique complexe dieu travaux peur haine culpabilité traits caractère rattachés l'érotisme anal écho expériences affectives précoces l'œuvre jones traduit déroulement d'une expérience per sonnelle donne analyses cliniques finesse d'une expérience authentique recherches unité l'exil amerique psychanalyse isole d'abord jones milieu médical originaire terminé études médecine 1900 reçu concours première étape possible d'une carrière hospitalière débuté travaux neurologie qu'il poursuivra pendant dix ans l'hémiplégie pathologie langage l'hystérie malheureusement 1903 carrière brisée renvoi qu'il attribue concours circonstances faute service réper- cussions caractère difficile auto- ritaire perfectionniste manœuvres rivaux s'installe alors comme neu- rologue londres entreprend tra- vail sérieux compléter forma- tion cette époque s'intéresse psychiatrie infantile psychopa- thologie problèmes d'hérédité collabore revues médicales parle français connaît très bien travaux neurologiques écoles nancy salpêtrière2 recherches l'hémiplégie hystérique jones freud paris puf 1970 sigmund grands travaux étai neurologie menés l'époque hippolyte bernheim charcot propos pgrene désaccord ire hippolyte bernheim psyc/ ychologie an-martin charcot psychologie
4,5,formes cliniques anesthésies s'inspirent travaux janet3 conseils jackson désire reprendre proolème l'aphasie partir l'étude développement langage chez l'enfant entreprend vaste enquête écoles l'orientation recherches mène naturellement rencontrer l'œuvre freud 1903 prend connaissance etudes l'hystérie perfectionne alors allemand lisant science rêves texte séduit découverte d'un véritable psychologue accorde intérêt scientifique processus mentaux fait discours patients l'objet recherches jones abandonne progressivement l'hypnose pratiquer l'association libre approfondir observations processus affectifs leurs racines sexuelles infantiles salzbourg jones écoute freud présenter l'histoire l'homme rats5 expose raisons orientation vers psychanalyse fait connaissance élèves viennois freud lit premier travail psychanalytique rationalisation vie quotidienne tournant carrière lectures l'éclairage qu'elles apportent expérience clinique entretiens jung conduisent jones accorder importance croissante psychanalyse pratique cette dernière vaut réprobation collègues anglais affronte deux reprises graves accusations cause intérêt trop direct sexualité infantile lors entretiens enfants toute pratique hospitalière devient interdite choisit partir canada poste offert nommé professeur associé psychiatrie toronto jones aborde ferveur tâches multiples dévolues poste cours direction d'une clinique examens anatomo-pathologiques biologiques recherche psychologique quelques publications tests biologiques diagnostic tabès paralysie générale marquent fin travaux neurologiques efforts s'orientent alors vers diffusion thèses psychanalytiques confirmation illustration témoignages expérience personnelle d'un messager exposant thèses maître révélant richesses nouvelle psychologie multiplie interventions sociétés médicales canada etats-unis rôle limite démonstration révèle organisateur négociateur capable créer structures appropriées diffusion nouvelle science dès lors n'est plus possible dissocier l'œuvre l'action jones l'histoire générale psychanalyse l'appui morton prince7 luf ouvre journal jones suscite création l'association américaine psychopathologie puis crée 1911 baltimore l'association psychanalytique américaine quatre années passées amérique permettent jones d'affirmer personnalité dessiner rôle futur cette communauté internationale elève présente résume l'œuvre freud aussi enseignant chercheur dont premiers travaux originaux publiés freud redoutera moment ambitions d'indépendance l'adaptation psychanalyse goût américain l'avenir révélera tout autre personnage jones fait allusion modifications caractère sous l'influence découvertes psychanalyse permit faire lui-même contact freud plus tard grâce analyse ferenczi8 intolérance rigide opiniâtreté agressivité prétentieuse ambition premiers rôles s'atténuent laissent paraître sensibilité chaleur affective très vives devient célèbre art diplomatie mis œuvre cercle restreint premiers élèves fonctions internationales intransigeance recherche vérité scientifique loin d'en faire missionnaire dogmatique psychanalyse évolue vers quête mise question ouverture très large domaine psychanalytique autres sciences dès 1911 jones envisage retour londres freud l'encourage venir conquérir l'angleterre comme conquérir l'amérique cette époque précisent divergences entre freud adler jones passe longues périodes vienne italie intimité freud mêle probièmes critiques traverse groupe viennois pressentant divergences naissantes entre freud jung semblent dangereuses l'avenir psychanalyse suggère rassembler compagnons fidèles freud abraham rank ferenczi sachs jones puis eitingon comité réunit mai 1913. jones présidera pendant presque totalité dix ans d'existence comité dernier permettra faire front rupture jung résistera dissensions apparaîtront plus tard avéc rank ferenczi l'action comité d'entretenir échanges secrets fréquents entre membres afin soutenir freud action publique chaque membre s'engage accepter discussion avant tout rejet d'un principe psychanalyse assure pendant première guerre mondiale maintien lialsons entre amis conditions politiques pourraient séparer après guerre reprise rapide relations internationales entre sociétés psychanalytiques comité donc lieu d'échange travaux idées recherche lien entre amis intermédiaire entre freud organisations psychanalytiques maisons d'édition enfin direction officieuse premières structures internationales sociétés psychanalyse jones très fier d'avoir maintenu cet esprit international échanges travaux pendant guerre d'avoir lui-même collaboré revue langue allemande pendant cette période lors persécutions hitlériennes jones prend rapidement position sans ambiguïté apporte aide société psychanalytique berlin organise l'accueil .et l'insertion psychanalystes juifs angleterre 1939 s'occupe marie bonaparte départ freud famille l'autriche occupée installer londres après guerre consacre plusieurs années rédaction vie l'œuvre sigmund freud fondation comité témoignage action sociale interventions auprès autorités influence organismes internationaux psychanalyse jones veut protecteur freud œuvre transmet héritage tout acceptant certaines concessions afin d'éviter ruptures destructrices defense freud cette défense principes fondamentaux psychanalyse apparaît écrits critique thèses psychologiques janet puis abandon correspondent l'abandon l'hypnose découverte sexualité infantile jones s'agit aussi d'un choix affectif important celui d'un changement maître déception succédant l'enthousiasme réserve janet dures critiques lorsque celui-ci attaque psychanalyse freud plus particulièrement l'influence jung fait alors sentir jones enthousiasme méthode d'association verbale janet pourra lire l'article jac- queline hubert paru psychologie pierre janet aniti-freudien virulent john jackson neurologue anglais 1834 1911 cst considéré comme fonda- teurs neurologie moderne l'analyse l'homme rats figure ouvrage intit rchanalyses paris p.u.f. 1965 129 maladie provoquée lésions moelle épinière caractérisée aboli- tion graduelle coordination mouve- ments morion prince psychologue américain dirigeait journal intitulé abnormal psycho- sandor ferenczi élèves freud rompit parce qu'il n'était d'accord méthode psychanalytique alfred adler également l'un élèves freud rompu maître alfrea adler lire psychologie petit groupe d'élèves entourait reud lire entretien psychologie 33. héodor reik
5,6,das leon iut sre faatese abibaioset avis l'un apports essentiels jung technique psychanalytique rapidement leurs relations teintent d'amblvalence jones apprécle caractère jung athéisme peut s'accommoder l'attitude mystique qu'il perçoit chez lul 1913 congrès munich prend part officielle rupture s'opposant l'évolution technique préconisée jung l'intervention active thérapeute lors conflits vie courante marqueralt retour vers suggestion alors l'originalité psychanalyse réside l'importance accordée fantasmes inconscients productions patient expriment désirs secrets théorie symbollsme jones dresse constat deux conceptions inconcillables relations rank ferenczi plus complexes rank connut freud époque jones acquit rapidement notoriété grâce travaux mythes légendes rêves travaux contemporains livre jones cauchemar études superstitions rattachées sel légende conception vierge l'oreille compétition l'érudition colore relations qu'ils rapport freud l'évolution leurs personnalltés source conflits avant précise l'évolution rank quant pratique psychanalytique suite traumatisme naissance conflit freud lutte d'influence auprès freud difficultés financières gestion revues réorganisation relations entre sociétés après guerre importance sociétés américaines influence mouvement facteurs nouveaux bouleversent relations groupe d'amis ambitions jones don négociateur trouvent alors matière s'épanouir ferenczi plus âgé jones plus intime élèves freud psycha- nalyste jones leurs relations res- tèrent toujours amicales malgré sources tension notamment seln comité lors soutlen ferenczl accorda thèses rank théorlsation technique active sein l'association internationale l'occasion l'opposition entre amérlcalns européens sujet pratique l'analyse non-médecins rupture entre mals toul res éloignement jones tradulslt anglais l'œuvre ferenczl l'influence apports originaux dernier concept d'introjection ldées genèse symbole descrliprion manifestations l'érotismo anal théorle bisexuailté sensible l'œuvre ones relations abraham très faciles favorisées admiratlon réciproque exigence drolture d'intransigeance recherche vérité nombre leurs travaux s'orlentent direction mort prématurée d'abraham prive jones d'une amitié solide action écrits jones ramène constamment freud s'il met valeur l'apport original chacun illustrer progrès connaissance psychanalytique situer position personnelle seule référence l'œuvre freud l'autorise juger lorsqu'il sépare freud c'est toujours protéger psychanalyse analyse non-médecins l'intention d'approfondir connalssances domaines inexplorés soutien accordé mélanie kleln importe non défendre orthodoxie toute attitude dogmatlque lul répugne redoute enthouslasmes fanatiques certaines vocations mals rendre possible développement autonome d'un corps connaissance l'ouvrant découvertes futures conquete l'angleterre jones revient londres l'automne 1913. climat qu'il trouve sensiblement écarté médecine officielle tenu distance anclens amis commérages morallté sexuelle font nouveau surface mals n'est plus seul acquis expérience psychanalyste thèses freud mieux connues lui-même représente groupe déjà important conscient rôle international fonde oc- tobre 1913 london psychoanalytical society forte neuf membres ras- semble premiers travaux cliniques théoriques volume papers psychoanalysis 19146 épouse jeune musi- cienne mals meurt peu après remarle 1919 quatre enfants naïtront cette union débuts société psychana- lytlque londonienne difficlles car très rapidement sous l'influence jung nalssent dissensions jones dolt dissoudre constituer février 1919 société britannique dont l'est président jusqu'en 1944 cette époque s'occupe aussi comité char- réorganiser société britannique psychologie crée section mé- dicale bientôt lleu rencontre entre médecins psychologues anthropologues mène durant trois ans combat reconnalssance officielle psychanalyse cadre d'une enquête dirigée l'association médicale britannique 1926. charte psychanalytique établie définit critères pratique psychanalyse l'organisation enselgnement parallèlement jones accomplit travall vulgarisation défense psychanalyse llvres conférences dont certaines lul valent d'être accusé d'immoralité fait face l'opposition milieux religleux presse s'efforce d'imposer image scientifique psychanalyse milleux médicaux éducatifs premier présenter psychanalyse congrès médical 1909 1924 aussi premier présenter public d'anthropologues royal anthropology institute london présentation faite précautlons ralson l'opposition soulevée totem tabou freud avant geza roheim celul psychanalystes connaît mieux l'anthropologie grâce riches connaissances rites croyances folkloriques étude droit maternel l'ignorance sexuelle primitifs premières contributions importantes psychanalyse l'anthropologie affirmant l'universalité complexe œdipien jones engage malinowskl controverse historique laquelle geza rohelm apportera complément d'une étude directe australie l'athéisme jones attire nombreuses tracasserles point qu'il fait paraître premiers travaux religion allemand réclame abord scientifique problèmes psychologie religieuse souligne l'importance rationalisation permet maîtrise processus affectifs moyens sociaux culturels offerts sujet milieu montre points communs divergences existent entre psychanalyse mouvements ilbre pensée doctrines rationalistes l'abord problème religieux psychanalyse provoque chez tous mêmes résis- tances fondamentales problème central semble celui liberté rank paris payot 168 ist naissance mélanie kicin ychanalyste viennoise fondatrice psychanalyse infan13.8 freud tote édtion tabou paris payot geza rohcim 1891-1953 anthro tenté d'appliquer l'enscigner voir connaissance sociétés archaï- psychologie sujet l'article paru bronislaw malinoweki 1884-1942 anthroterrain voir psychologie
6,7,valeur sentiment renoncement qu'elle exige représente aspects sentiment sécurité cette sécurité résultat modes d'organisation pulsions défenses peut décrire termes relations entre surmoi connaissance processus inconscients permet donc réviser psychologie concepts causalité raison psychanalyse enfants entre deux guerres jones anime efficacité réunions société britannique psychanalyse personnalité choix autorité conciliante ferme reconnue comme très démocratique imposent grands thèmes recherche discussion psychanalyse d'enfants analyse non-médecins modes d'action critères succès traitement psychanalytique sein commission d'enseignement qu'il établit 1924 glover organise l'enseignement fait l'analyse didactique pivot toute formation crée 1926 institut psychanalyse clinique psychanalytique londres l'installation londres mélanie klein 1925 stimule recherches psychanalyse infantile l'originalité conceptions kleiniennes suscite résistances jones affronte critiques psychanalyse précoce mécanismes fantasmatiques primitifs deux écoles constituent londres jones parvient ménager entre elles collaboration fructueuse éviter scission 1943 lorsque l'arrivée d'anna freud l'installation psychanalystes viennois allemands londres accentuent oppositions cours pratique psychiatrie infantile jones reconnu manifestations l'inconscient décrites freud rôle l'affectivité sexualité premières années l'enfance vie adulte premiers travaux reflètent intérêts observation directe l'enfant étude développement langage réflexion valeurs mises cause l'éducation aspects néfastes sous l'angle théorie pychanalytique pulsions sublimation opposé tests niveau mental binet-simon particulier prône l'observation directe enfants personnes psychanalysées psychanalyse infantile plusieurs travaux concernent vie mentale l'enfant continuité entre l'enfance l'âge adulte longuement analysée important article l'adolescence décrit certains aspects processus d'identification rôle fantasmes filiation l'importance qu'il accorde vie fantasmatique l'enfant oriente réflexions rôle l'hygiène mentale sensibilise thèses kleiniennes travaux l'agressivité précoce sentiments toute-puissance stades érotiques prégénitaux permettent comprendre mélanie klein dont l'influence recherches marquante jones apprécie originalité justesse vues vie fantasmatique l'enfant réclame ure étude comparative génétique puisse intégrer notions l'ensemble développement jones l'origine d'une série travaux traitement psychanalytique soucieux préciser critères l'action thérapeutique définir moyens contrôle succès cure fait établir premiers rapports statistiques traitements entrepris clinique psychanalytique londres entre 1926 1936. diplomate psychanalyse vocation internationale manifeste chez jones dès premiers neurologie activités journaliste médical voyages vue d'étudier neurologie allemande française goût langues place privilégiée carrefour influences américaines viennoises zurichoises lors réunions internationales favorisent activité prend après première guerre mondiale part importante temps jung éloigné abraham décédé jones joue île rôle d'administrateur diplomate lien entre fondateurs vielilissants nouvelles générations préside deux reprises l'association psychanalytique internationale action contribue dessiner certaine image psychanalyse intéressé très tôt l'édition revues médicales british journal children diseases journal abnormal psychology jahrbuch internationale zeitschrift für psychoanalyse fonde international journal psychoanalysis l'international psychoanalytical library permet créer littérature psychanalytique langue anglaise publier traduction œuvres freud grâce influence mouvement international jones impose conception formation psychanalyste psychanalyse présentée comme plus spéciale toutes spécialités médicales choix envenime rapports freud vient conclure longue discussion formation psychanalystes l'analyse pratiquée non-médecins ferenczi freud effet favorisalent l'autonomie psychanalyse alors américains désiraient protection médicale activités psychanalyste lutter contre char- latanisme commission d'enselgnement alors fonction standardiser méthodes d'enseignement tout sauvegardent possibilités d'autonomie chaque société jones fait critique travail freud faveur l'analyse non-médecins soucieux l'évolution scientifique psychanalyse favorise formation médicale qu'il estime avantageuse patient l'analyste attitude reste pragmatique admet possibilité d'une activité psychanalytique non-médecins favorise relations entre sciences psychanalyse contacts directs établis entre chercheurs psychanalystes l'accent biologique l'évolution l'œuvre jones éclaire conditions historiques l'émergence psychanalyse parmi sciences médicales conditions différentes selon chaque pays fonction écoles psychiatriques dominantes leurs résistances spécifiques formation médicale très complète jones années neurologue culture scientifique situent lignée grandes figures marqué l'évolution biologie xix® siècle nomme biologiste acquis thèses darwin plus philosophe l'observation faits cliniques confrontation l'attirent plus spéculations théoriques solutions conciliation pragmatiques plus positions idéologiques aborde psychanalyse biologiste neurologue contribue fonder psychologie clinique définie état d'esprit particulier l'observateur orientée non vers l'examen d'un trouble d'une fonction vers l'observation l'individu totalité intérêts actuels demande désirs genèse propre découverte l'intériorisation conflits possibilité d'établir processus thérapeutique dont transfert dimensions distinguent psychanalyse autres psychothérapies sous l'impulsion souffrance peut mobi- liser l'énergie nécessaire cette cure aussi progression connaissance conception normalité psychologique découle jones estime psychanalyse apporte possibilité d'unifier tous aspects psychologie humaine offre meilleures perspectives d'une llaison entre connaissances biologi— 16. anna freud digne héritière père cile beaucoup contribué psychanalyse travaux essentiels concernent psychanalyse chez enfants lire psychologie l'article philippe chemla 17. alfred binet théodore simon réalisé ensemble première échelle métrique d'intelligence portée pratique créé notion d'âge mental
7,8,ernesii junes biographe pre ques celles relatives processus mentaux étude l'angoisse critique développement sexualité féminine infantile selon freud description caractérolagie anale refus notion d'instinct mort jones réfère fondement biologique réalité première laquelle s'articulent fantasmes réaction physiologique peur colère complexité constitution instinctuelle femme fonctions excrémentielles zones érogènes cette dimension psychanalyse étape plus élevée biologie humaine s'articulent connaissances physlologie psychologie sociologie destin génétique marque culture jones cesse l'imposer œuvres action l'enjeu d'une science lul paraît alors question jones développe également dimension sociologique psychanalyse matérialiste athée plus libéral tenté doctrines socialistes adopte attitude rationaliste recherche vérité psychanalyse apparaît l'époque plus révolutionnaire toute autre doctrine décourverte facteurs socioculturels névrose venait transformer conceptions relations l'individu milieu jones analyse jlens entre psychopathologie psychologie institutions nombreuses institutions sociales telles mariage l'église l'armée expriment l'opposition entre forces pulsions primaires mécanismes contrôle mol renforcement surmoi peut suppuser institutions constituées but aménager certains moyens d'expression pulslons primatres lés institutions tradulralemt l'action monde extérieur conflit intériorisé depuis l'enfance travaux sociologiqauss jones s'insplrent problèmes qu'il abordé dlinicien études malaise civilisation montée nælsime communisme psychologie monarchie constitutionnelle rôle leader pulsseance propagande phénomène collaboration l'ennemi concepts révolution d'évolution jones reste psychanalyste parle expérience clinique éclaire €es questions nouvelle conception mécanismes psychologiques cause s'appuyant l'analyse réactions l'individu contexte s010 clal proposa doa cnraclàros loader traîtro saint révolutlonnalre référence observallons faites cure sans vouloir rédulre sociologie psychanalyse fait problématique l'individu l'axe référence soulignons enfin rôle jones france lors débuts psychanalyse repère première communication babinski réflexe porte nom fait communication confirme cette découverte voyage souvent france fait 1906 tournée conférences villes d'eau françaises relatlons premiers psychanalystes français préparent fondation société psychanalytique paris 1927 parle cette occasion surmol origines partie œuvres traduite entre 1925 1930 plusieurs articles paraissent revue française psychanalyse plus tard inaugure l'institut psychanalyse participe célébration centenaire freud salpétrière c'est paris qu'il assiste dernier congrès l'histoire freudisme jones retire fonctions officlelles 1949 raisons santé retraite active reste conselller écouté instances internationales poursuit rédaction mise point plusieurs travaux malade écrit dernière communication douleur avant décéder février 1958. cette retraite permet jones d'écrire vie l'œuvre sigmund freud énorme travail trois volumes demande sept années l'œuvre jones historien biographe naît amitié freud goûts d'historien réflexion processus créateur cette amitlé traversée d'ombres pérlodes doutes jones retrace étapes reflets crises crolssarce psychanalyse étonnements devant certains traits caractère freud portraits qu'il brosse délicatesse finessé lorsqu'il aborde vle intime dévollent arrlère-fond propre personnage apparaît plus nettement lorsqu'il situe œuvre rapport celle maître sillage celle-là séparée d'elle certalns points précis première conception l'angoisse sexualité féminine l'agressivité l'instinct mort cette œuvre procède d'un engagement l'on distingue différentes étapes éblouissement nouveau disciple identification maître développement autonomie originalité mise ordre l'héritage cette vie freud s'inscrit courant recherche sensible travaux précédents approfondisse- mont compréhenslon poychologlquo l'œuvro d'art analyse procogous créateur l'étude complexe d'œdipe comme explication mystère d'hamlet introdult cette série travaux condulront jones célèbre étude personnage d'hamlet modalités création shakespeare conditions suicide klelst personnage femme d'andrea del sarto rôle l'art celui-là caractère louis bonaparte relations napoléon l'engagent analyse mécanismes d'échec créativité particulièrement rôle l'homosexualité refoulée problème d'hamlet intéressera jones tout long vie originalité découvrir reconstituer l'enfance d'hanilet analysant personnage pièce l'histoire d'hamlet permet d'éclairer personnalité auteur réciproquement certaines expériences intimes shakespeare éclairent personnage pièce l'artiste conclut jones méconnaît sources création inconscientes liens entre l'œuvre créateur complexes fait sienne proposition d'ella sharpe poète n'est hamlet hamlet qu'il être s'il n'avait écrit hamlet enfin connaissance intime freud incite jones décrire conditions découverte scientifique moments féconds relations entre personnage l'œuvre leurs implications unité livre écrit jones propose forme biographie éclairée psychanalyse définition caractères génie scientifique l'originalité description étapes création l'attitude devant génie passage l'œuvre culture jones l'occasion réflexions appuyées expérience personnelle ouvrent voies d'un abord psychanalytique l'œuvre jones après celle freud l'une plus importantes première période psychanalyse malgré grande variété sujets abordés quelques thèmes majeurs dominent situe ensemble avant 1939 ponctuée d'une période féconde 1909-1913 synthèse origi—— 18. joscph babinski 1857-1938 chef cli- nique charcot salpêtrière comprit premier mécanismes l'hystérie rôle joue suggestibilité 19. n.d.l.r caractère historique biographie freud jones vivement contesté trop proche freud jones prendre recul indispensable regard objectif porté l'homme œuvre entourage écrivant biographie freud jones cru faire œuvre historique malheureusement n'avait moindre idée méthodes l'histoire cri- tique résultat biographie esl remplie choses rapportées deuxième troisième quatrième main côté documents d'une valeur inestimable car seul pouvoir îles consulter confiait professeur henri ellenberger cours d'un entretien accoidé psychologie
8,9,nale 1914-1920 d'un renouveau créateur sous l'influence mélanie klein 1926-1935 troisième vague créatrice entoure composition vie l'œuvre sigmund freud l'apport personnel premières œuvres importantes jones concernent rêve l'interprétation thèmes folkloriques superstitions fonction théorie rêves freud cauchemar l'interprétation théorique l'angoisse l'art religion symbolisme langage étudiés cette optique démonstration mécanismes inconscients refoulement sexualité infantile mise évidence organisations œdipiennes centre travaux jones porte attention particulière formations prégénitales tous travaux avant première guerre orientés recherches cauchemar description clinique critique théories historiques somme croyances superstitions légendes mythes reliés angoisses nocturnes confrontation textes religieux littéraires analyses étymoilogiques cauchemar abordé sous angles multiples jones source féconde inspiration relie angoisses impliquées croyances moyenägeuses vampire loup-garou diable sorcière prouver l'unité infantile inconsciente découvre liens entre images cauchemar îles expressions folkloriques mélange d'érotisme peur cauchemar compromis entre désir peur attaque sexuelle représentant désir infantile interdit c'est source monstres hantent mythes debout otto rank karl abraham max eitingon ernest jones sandor ferenczi hanns sachs assis sigmund freud légendes jones décèle l'influence croyances concernant l'âme métamorphoses morts ancêtres derrière conflit l'inceste révélé cauchemar apparaît jones île problème sens religion réflexion théorique l'étude symbolisme couronne l'ensemble travaux jones définit symbolisme dénombre idées symbolisées essentiellement sexuelles concrètes elles concernent surtout corps îles fonctions élémentaires vie symbole comme symptôme formation compromis n'est sym bolisé refoulé seul refoulé besoin d'être symbolisé partir symbole jones aborde problème plus général sublimation celui langage psychanalyse autres apports originaux jones théorie psychanalytique descriptions caractérologiques contribution l'évolution théorie pulsions conception développement sexualité féminine recherches orientées désir comprendre mécanismes archaïques prégénitaux caractérologie psychanalytique née l'intuition qu'eut freud relations entre traits caractère pulsions infantiles modèle mécanismes régissent formation symptômes névrotiques jones participe premières découvertes relations entre haine l'érotisme anal névrose obsessionnelle recense fantasmes symboles expriment termes d'excréments sexualité l'enfant dont montre valeur défensive régressive face angoisses conflit œdipien scène primitive cette sexualité excrémentielle prégénitale joue rôle important l'organisation pulsions agressives primitives premières angoisses précurseurs l'angoisse castration jones expose faits biologiques fondent l'existence d'un érotisme anal chez l'enfant dresse tableau méticuleux empreintes qu'il laisse caractère distingue traits positifs sublimation dérivation but primitif traits négatifs barrière contre tendances refoulées au-delà triade freud méthode parcimonie obstination jones montre richesse symbolisme intérêts traits caractère relation l'érotisme anal ailleurs décrit sous ñnom complexe dieu ensemble traits caractère significatifs désir toute-puissance ainsi qu'une forme d'amour caractérisée sentiment d'obligation morale relations agressives subtiles entre partenaires mécanismes jalousie rapports l'homosexualité latente analysés nombreuses occasions rapports complexes entre peur culpabilité haine motifs fondamentaux réflexion systématisés jones montre valeur défensive affects prennent uns rapport autres leurs rapports chronologiques selon point vue génétique décrit transformations maturatives pulsions primaires porte attention particulière formation surmoi critique théorie l'instinct mort jones longuement étudié manifestations sociales l'agressivité développement chez l'enfant tient conserver point vue biologique problème face concept d'instinct mort trop philosophique freud jones reprend l'étude freud développement sexualité infantile met valeur spécificité précocité désirs féminins l'imvortance phase orale l'identification mère fantasmes relatifs désirs dangers concernant l'intérieur ventre mère rejette notion stade développement phallique simple position névrotique défensive devant l'œdipe découvertes mélanie klein recoupent nombre observations jones s'appuie nouveaux concepts kleiniens travaux jones marqué l'évolution idées psychanalytiques synthèses intéressantes reflètent parfois préoccupations n'ont plus intérêts historiques beaucoup demeurent d'une vivante actualité largeur vues fait accéder perspectives nouvelles s'engage psychanalyse moderne claude girard
9,10,rer non ron eresens orhentanr marie instructions mettez pièces demandées sftendez chute ouvrez porte voire choix pre eur ete eee rares uyyttyttytyt e-xz zelte godet pièces ilrefusées recom- jmencez opérations ane pot mar d'art
