,page,text
0,1,epouse pourquoi mmuniquer //7 corps lis
1,2,"dix meilleurs analystes financiers conseillers experts économistes guident travers monde fascinant mal connu v-publi production bibliothèque cepl finances modernes volume bibliothèque responsable n'existait encore bibliothèque rassemble -tous éléments sciences action dont ou- vrages permettent connaître comprendre manier monde moderne ouvrages réalisés experts praticiens valeur internationale bon d'examen grator 500 mots expliqués retourner rance 114. chan -yséce paris cadre o.p.a. monnaies clgique cadro 7500 tour palals-st jacques rocovral volume tous los deux mois suisse guillemin 1009 pully fora mol point dos canada biblloteca inc. 7045 jalets eubsl actuols quo politique études fond 27© montréal 303 qué conomio l'entreprise l'informati droit l'administration matique voe-mol communication gra palorol souloment réception monnaie durant joure fes modernes mômo prix rôle banque sance loisir soral jlbro d'in rise met one cos gestion entrepris pri 48,28 psoivor réglant von pourral vour rotournor sans rion bourse ... 42,76 cevolr sans avol énaqe m'inccrire collocthorp rofus avoir justifior budget ménages prénom etc nom codo postal villo dure dut ——sianature rer"
2,3,dsychoiosie comprendre savoir agir monde d'aujourd'hui août 1973 chercheur idées hermann rorschach test taches d'encre marie-josé houareau présentation opération portes ouvertes jacques mousseau psychologie sociale 200 000 judokas france pourquoi vogue arts martiaux japonais patrick delmas connaissance autres l'école lecoq j'ai découvert propre clown professeur harvard quête corps laurence wylie aurence époque j'ai vécu cinq ans communauté bilan d'une utopie kathleen kinkade connaissance soi bas masques contredis c'est plusieurs kenneth gergen couple épouse mariage obéit lois strictes entretien alain girard très difficile marier odile naudin l'inconscient hitler divan psychanalyste prédit suicide führer claude bonnafont librairie froid pénitentiaire simone buffard l'avènement l'âge d'or gunther stunt calls-girls arthur koestler autres parutions bref france grande-bretagne prochain numéro mis vente septembre psychologie edite centre d'etude promotion lecture ouen 114. champs-elysees 75008 paris 359.86.50 225.02.88 chat eee het tir ucts qu'ee sites der tete tata tal tea atan üua
3,4,dos etes rce lee cet chercheur iclèes marie-josé houëre destinées pathétiques ainsi celle hermann rorschach meurt brutalement neuf mois après publication livre psychodiagnostic accueilli hostilité indifférence comme l'avait l'interprétation rêves freud conceptions rorschach sans doute trop avance époque prestige universitaire bafoué pouvait tolérer œuvre élaborée loin universités laboratoires grandes bibliothèques petit hôpital psychiatrique homme étudié psycho logie fréquenté congrès inter nationaux acquis titres officiels sait généralement rorschach l'auteur d'un plus célèbres tests projectifs celui taches d'encre l'on soupçonne moins c'est qu'il également profond penseur investigateur nature humaine fils aîné d'un peintre professeur dessin hermann rorschach zurich novembre 1884. famille resta longtemps grande ville hermann deux ans lorsque parents s'installent schaffhausen c'est pittoresque canton ambiance vie intellectuelle artistique culturelle très intense rorschach passe petite enfance adolescence sœur anna frère paul premier drame vie d'hermann survient alors qu'il douze ans mère disparaît juillet 1897. enfants livrés mains gouvernantes semblent alors avoir mené existence assez sinistre jusqu père remarie sœur mère mariage suivi plus tard d'une nouvelle naissance très rapidement s'établit certaine hostilité entre jeune her- mann belle-mère père d'her- mann meurt lorsque dernier dix-huit ans père rorschach plaisait dire etant donné l'ai jamais connu représentait père frère ami conseiller 1903 rorschach termine études secondaires admis peu aupa- ravant confrérle d'étudiants reçu camarades sur- nom klecks signifie tache d'encre etait-cce allusion barbouilleur père talent hermann lui-même peinture peut-être futur psychologue almait-l pre eee ————————————————— hermann rorschac test jouer klecksographie jeu mode l'époque consistait faire taches d'encre feuille papier plier deux s'arran- ger obtenir forme d'un papillon d'une fleur d'un animal peut aussi hermann reçut surnom prémo- nitoire l'honneur maler klecksel héros d'un illustré comique écrit wichem busch auteurs fa- voris est-ce surnom poussa rorschach s'intéresser taches d'encre quoi qu'il sobriquet allait quelques années plus tard déter- miner carrière scientifique rorschach hésita longtemps entre deux voiles l'intéressaient également arts gra- phiques médecine conseil grand biologiste haeckel2 décida seconde selon cou- tume l'époque rendit alors plusieurs universités neuchâtel zu- rich berlin berne puis nouveau zurich grand admirateur tolstoï rapproche colonie russ notamment l'ami neuro vient logue tantin von monakov deux événemen apparemment sans importance vont fait jouer rôle considérable vie tout d'abord entreprend voyage russie s'initle lan revient très impressionné second événement rêve dan lequel voie l'autopsie cervea rêve l'origine thès huit ans plus tard relate ain cours premier semestre d'études cliniques j'assistais première fois autopsie l'enthousiasme bien connu respectueux tout jeune étudiant dissection cerveau particulièrement toutes sortes réflexions concernant localisation découpage l'âme défunt sujet crises d'apoplexie cerveau découpé tranches transversales nuit suivante fis rêve sentais propre cerveau découpé tranches transver sales tranche après l'autre trouvait détachée masse hémisphères tombait avant exactement comme cela s'était pro duit l'autopsie sensations physiques peux désigner manière plus précise très claires souvenir rêve demeure jour assez vivace. solides etudes medicales époque zurich prend qu'un obscur neurologiste viennois certain sigmund freud train révolutionner science l'inconscient timidement explorée janet quelques autres carl gustav jung travaille associations mots étudiants médecins toute l'europe ruent zurich assimiler innovations révolutlonnaires jung c'est d'idées psychanalytiques rorschac termine études médecine minimum temps c'est-à-dire cinq naar rene rorcchach 18e ellenberger hermann rorschach 1922 bulletin the menninger clinic sept 1954 ernst maeckel biologiste allemand 1919 pierre janet 1859-1947 médecin chologue français l'unité avoir mis l'accent dynamisme queline psychisme lire article hubert paru psychologie
4,5,cercle rsr ans 1904-1909 gagné l'enthoujasme régnait burghôlzlif destine devenir psychiatre retourne alors russie famille d'une collègues dont amoureux oiga stempelin fait alors aucun doute hermann fasciné l'âme russe viendra jour s'installer pays dès l'obtention doctorat médecine suisse indépendant licence médecine jeune médecin alors choix poursuivre carrière universitaire implique contrepartie salaire inférleur insécurité l'emploi occuper poste permanent mieux rémunéré sans possibilité carrière universitaire comme flancée manquent d'argent rorschach envisage s'installer russie choisit seconde solution candidature l'asile münsterlingen canton situé bord lac constance acceptée lorsqu'il prend fonctions août 1909 ferme intention d'apprendre pratique psychiatrique surtout faire travail recherche quatre années passées münsterlingen sans doute années plus heureuses vie rorschach fit rapidement apprécier patients notamment parce qu'il faisait participer représentations théâtrales divertissements artistiques avril 1910 épouse olga stempelin l'église orthodoxe genève novembre 1912 soutient thèse médecine hallucinationsréflexes phénomènes associés point départ thèse rêve auquel fait allusion rorschach demande comment perceptions d'un type particulier cas rêve sensations visuelles peuvent transformer perceptions d'un tout autre type l'occurrence sensations mouvement premieres taches d'encre plus activités l'asile münsterlingen rorschach entreprend recherche ancien camarade d'école konrad gehring professeur ville voisine proposent sujets faire tache d'encre feuille papier plier celle-ci faire associatlons rorschach compare assoclatlons dérivées taches d'encre résultats obtenus test d'associations mots jung expériences débutent dès l'année 1911. cependant rorschach abandonne rapidement ralson l'intérêt croissant pousse vers psychanalyse s'inltie familiarise idées freud blen este srbvanleltetotaler qu'il séjourne burghôlzli entre contact bleuler5 jung maeder binswanger pfister zentralblatt für psychoanalyse l'une toutes premières revues psychanalytiques publie série d'articles suggérant particulier l'intérêt portent certains névrosés montres désir inconscient sein maternel tic-tac montre symbolisant battements cœur 1913 âgé vingt-neuf ans rorschach commence être connu milieux psychiatriques tout particulièrement cercles psychanalytiques retourne cependant russie brillant avenir s'offre lul tout lieu penser qu'il installer reste plus sept mois insatisfalt parce nouvelles activités laissent guère temps consacrer recherche scientifique qu'il considère comme véritable vocation comprenant soudain véritable destinée suisse recherches sectes nouveau poste qu'il occupe waldau beaucoup moins intéressant celui münsterlingen permet rorschach poursuivre carrière scientifique waldau trols cliniques psychiatriques universitaires suisses dicton circule parmi internes dit ceci voulez bien manger allez frledmatt voulez bien dormir allez wal dau voulez bien apprendre allez burghôülzli extrémement difficile d'obtenir place burghôlzli rorschach dolt contenter waldau lle d'amitié deux psychiatres morgenthaler frankhauser dont travaux exerceront profonde influence pensée cours séjour waldau entreprend étude psychologle religieuse entendu parler d'étranges sectes plus particulièrement d'un leurs fondateurs certain binggelli déjà interné établi culte propre pénis donnant urine communion proclamant coït seul moyen chasser démons auprès jeunes filles rorschach rencontre confirme rapidement l'idée qu'il trouve présence d'un malade mental binggelli devait d'ailleurs burghülzli plus importante plus célèbre clinique psychiatrique zurich. bleuler psychiatre autrichien lequel jung travailla moment s'intéressa particulièrement démence précoce carl gustav jung freud adier fondateurs psychanalyse lire l'article d'andré akoun paru psyjologie ludwig binswanger oskar pfister tous deux amis freud psychanalystes travaillèrent freud années comprises entre 1902 1914. ass apprencez île psycho lôgle évolution personnelle sociale professionnelle enseignement individualisé correspondance cours oraux soir paris stages pratiques paris frais.d'études déductibles revenu brut préparation divers diplômes sous conduite praticiens réputés ——————————————…—…—…—…— ——…—…——————————— psychotechnique graphologie morphopsychologie psychopédagogie symbolisme rorschach cours international sexologie normale pathologique rééducation graphique relaxation -psychosomatique etc ——————————.————————……………— dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut francais culture humaine établissement privé d'enseignement distance rue tronchet 75008 paris tél 265-50-82 informations bureaux correspondance nom profession adresse demande documentation gratuite enseignement formule d'orientation souhaite recevoir invitation gratuite séance inaugurale 10° session cours oraux soir paris samedi octobre 1973 instir océanographique 195 rue st-jacques paris-5e présidence gall inspecteur général l'instruction publique l'angoisse l'inconscient exposition peintures exécutées cours psychothérapie conférences deux psychologues-psychothérapeutes hmrre tenue ice tre uma cea der tf7
5,6,cali arrêté accusé d'inceste sœur rorschach henri docteur carl tarder commis person blographe ellenberger rapporte haeberlin enselgnalt philosophie l'université berne 1915 raconté comment jeune psychlee affirmé l'étude sec rellgteuses seralt l'œuvre toujours est-ll rorschach l'esquisse d'une conception générale sectes religieuses suisses constitue synthèse psychologie religion sociologie psychopathologie psychanalyse montre exemple sectes apparalssent toujours mêmes régions frontières apolltiques répartition sectes correspond exactement localités trouvent tlsserands prophètes sectes apparaissaient rorschach comme névrosés communiquant leurs disciples leurs complexes personnels solt comme schizophrènes dont mythologie exprime archétypes l'inconscient ———— retour taches d'encre olga rorschach rentrée russie maigre salaire perçu waldau désormais insuffisant faire vivre couple hermann quitte waldau rendre hérisau l'un plus modernes hôpitaux suisses nommé directeur adjoint décide d'uti- lser trols méthodes auprès ma- lades associations lbres l'hypnose test d'associations mots compare alors méthodes publie divers articles tout poursulvant recherches sectes religieuses entre-temps guerre sécession jung hors mouvement psychana- lytique orthodoxe dispersé groupe mise sque zurich 1919 d'oskar pfister d'emile femme fonde isse psychanayee toujours resté rorsehao mouvement oque transformatlon décisive s'opère champs d'intérêt rorschach aban one soudain 5es recherches concernan sectes religieuses met ares févreusement test taches d'encre s'est-îl passé aucun doute rorschach stimue travail d'un étudiant polonais szymon hens dernier utilisé taches d'encre comme moyen investigation l'imagination l'approbation professeur bleuler publié résultats travaux thèse médecine soutenue 1917. évident cette publication rappelé rorschach expériences qu'il menées 1911 münsterlingen compagnie ami gehring fait temps prendre pleinement conscience certaines conceptions l'avaient alors préoccupé cheminé très insidieusement sans plus tarder hermann rorschach met travailler œuvre majeure psychodiagnostic l'année 1918 entièrement consacrée mettre point cartes taches d'encre montre centaine psychotiques internés hérisau plusieurs séries taches constate certaines catégories réponses retrouvent toujours certains cas cliniques maniaques exemple réagissent fortement planches colorées schizophrènes voient grand nombre formes animales mouvement frappé découvertes rorschach choisit alors parmi centaines taches celles qu'il juge plus révélatrices personnalité applique sélection centaines sujets normaux enfants entourage remarque certaines catégories réponses peuvent être rapprochées celles malades ramène types psychiques établit typologie rassemble 1921 résultats travaux psycho- diagnostic nas rencontre grandes difficulés faire publier ouvrage rors- chach obligé d'aller voir sept édi- teurs avant l'un d'eux consente faire imprimer livre mettant d'ailleurs restriction l'auteur l'obligation d'accepter six planches retenues ljeu quinze enfin juin 1921. l'ouvrage tiré l'impression cartes défectueuse réduction taille chan- gement couleur rorschach terriblement déçu mals ment abattu nest nulleen cette année psychanalytl l'inltiative oberholzer soclété fait leeds rae mener eds pre rer rsr rrls communication psychanalyse devant suisse assez froide blég manifestation publique parl veloppement test plein projets d'idé avenir lantes avr 599 ral admis d'urgence l'hôpital d'hére péritonite compliquée risay nisse terrasse vingt-quatre plus tard £ures terminé l'œuvre l'âge autres commence freud quarante-tro lorsqu'il publia l'interprétation rêves alors rorschach trente-sept ans ouralt l'on souvient destin psychiatre hongrols szondi8 révolutionné poid chologie moderne affirmant choix déterminés com celui maladie peut demander comme henri ellenberger c'est pure coïncidence rorschach mourut l'âge trente-sept ans l'année corres pondant jung appelle tournant vie fréquemment accompagnée crise personnalité d'artiste fait aucun doute rorschach personnalité d'artiste aimait déguiser organiser soirées théä trales portait spécialement atten tion décor mise scène goûts artistiques firent qu'il s'intéressa toujours expositions d'art plus peinture elle-même passionnait réactions léopold szondi psychiatre hongrois 1893 dont travaux portent essentiellement rôle hérédité comportement lire sujet l'article houareau psychologie 34. pte cee leel nes
6,7,artiste \orschach aimait ées théä atten scène s'inténs d'art ions rois licllement portement jlouareau ens devant tableau observalt aussi réactions schizophrènes devant manifestations d'un singe qu'il acheté cette intention héasau apparaît clairement travers histoire qu'il très grande capacité travail grand esprit synthèse savait travailler vite mails sans jamais donner l'impression presser parlait plusieurs janues l'allemand blen sûr aussl l'italien russe français plaisait fabriquer jouets bois 585 enfants autre passions photographie semble avoir plelnement conscient propre valeur l'importance idées découvertes cependant parlait rarement sauf s'il trouvait devant auditoire attentif intéressé doux presque timide cultivé brillant profond dès conversation l'in-téressait réservé premiers contacts d'une grande bienveil lance siens amis type l'introverti créateur lui-même décrit rorschach n'eut jamais sens affaires celui compétition femme affirmé toute vie qu'il n'avait gagné test vingt-cinq francs suisses c'est-à-dire cinq dollars l'époque éprouvait sorte respect mystique mystères l'univers vie l'homme général s'il homme d'église peut dire qu'il homme foi l'origine test l'origine psychodiagnostic demeurre inconnue n'en reste moins vral qu'il base toute série conjonctures premier leu dons artistiques cliniques auteur faut aussi situer rorschach époque expériences déroulent autour années 1912-1913 silberer pratiquait lekanomalie vieille méthode divination laquelle utilise bassine pleine d'eau silberer comparait alors associations inconscientes sujets celles obtenues test d'associations mots jung cette époque rorschach article raconte souvenir d'enfance l'un patients l'habitude regarder taches d'humidité plafond chambre taches évoquaient corps d'une femme nue certains lacs suisses rorschach rapporte également cas d'une autre patiente réva d'un tableau représentant merveilleux paysage suivi contours paysage main îls rappelé visage frère bien-aimé psychanalyste oskar pfister côté s'était fait reprendre termes daniel anzieu champion klyptergon demandait analysés mots gribouillages dépourvus sens détectait complexes d'après leurs assoclations subséquentes autre événement montre quel point toutes questions hantalent l'esprit rorschach femme raconta qu'un jour lisalent ensemble l'ouvrage dimitrl merejkowski léonard vinci souvint très clairement combien mari impressionné passage journal l'élève vinci giovanni boltaffio dernier relate qu'un soir surprit maître sous pluie ruelle sale nauséabonde regardant attentivement mur tacheté d'humidité demanda qu'il découvert mur vinci lul répondit regarde giovanni quel splendide monstre chimère gueule béante surmontée ange gentil che veux frisés souligna contours doigt grand étonnement boltaffio distingua formes venait décrire maître ajouta qu'il arrivait souvent voir paysages formes profils démons d'autres images encore plus étonnantes fissures murs l'écume eaux mortes contours nuages etc après lecture fragment rorschach parut pensif femme raconta alors qu'étant enfant s'amusait camarades regarder nuages deviner formes rorschach l'écouta sans rien dire profondément absorbé pensées point départ immédiat l'œuvre rorschach reste aussi certainement rêve qu'il fit propos l'autopsie cerveau c'est qu'il fait preuve d'une originalité remarquable cherche l'interprétation psychanalytique contenu essaie d'élucider mécanisme pose deux questions comment peut-on avoir rêve perceptions physiologiquement impossibles pourtant perception découpage cerveau restée très claire très nette esprit comment images visuelles peuvent-elles transformer images kinesthésiques c'est-à-dire mouvement questions rorschach répond façon suivante disposerions d'une gamme d'images beaucoup plus étendue celle dont servons vie quotidienne fois enregistrées l'individu peut s'en servir non perceptions visuelles enregistrées juste au-dessous seuil conscience sous forme d'images kinesthésiques per ceptions peuvent être réexpéri mentées conscilemment comme per ceptions kinesthésiques consciemment traduites images visuelles. fait test taches d'encre rien d'autre qu'un miroir stimuli visuels activent images kinesthésiques projetées alors taches d'encre perçues comme reflets renvoyés miroir typologie particuliere rêve rorschach tire donc conclusion qu'un certain nombre perceptions visuelles inconsciemment enregistrées sous forme d'images mouvement peuvent être ressenties comme perceptions conscientes transcrites images visuelles appelle processus phénomène synkinétique rorschach adopte alors conceptions philosophe norvégien mourly vold dont livre psychophysiologie rêves venait paraître perceptions visuelles constituent partie fondamentale personnalité état d'éveil elles réprimées conscience reviennent surface durant sommeil fournissant matériel plus important rêves elles antithétiques mouvements réels quand dormeur s'éveille peut conserver rêve esprit pourvu qu'au réveil complètement immobile aussitôt qu'il lève tout disparaît phénomène explique fait qu'au lever incapables souvenir d'un rêve dont pourtant images très vives quelques instants plus tôt outre l'inhibition mouvement stimule représentations kinesthésiques plus l'activité musculaire inhibée plus images kinesthésiques deviennent actives mourly vold ellenberger ouvrage cité 10. anzieu métl jecti dés éthodes projectives
7,8,aude varie entre lens creetenr der sissstsse consacré vie étudier siologie rêves demandé dix-neuf étudiants dormir ane foulard noué autour chevi gauche tous leurs rêves consécutifs comporté nombre remarquable mouvements vifs orschach établit aistingue individus kinesthéslques lntroversifs extra tensifs selon lul individus introversifs intelligence individualisée grande activité créatrice vie intérieure intense réactions affectives stables extratensifs manifestent grande indépendance pensée originale leurs réactions affectives changeantes leurs relations lprqrs typologie l'entourage superficielles sensibles couleur intelligence reproductrice semblerait rorschach également influencé idées frankhauser premier imaginer qu'il puisse avoir analogies entre couleurs vie émotionnelle probable c'est donna rorschach l'idée lier perception couleur l'affectivité exemple rouge l'impulsivité bleu contrôle soi clair conceptions rorschach n'ont rien commun typologie jungienne l'introversion l'extraversion rorschach appelle l'extratension deux types constitutionnels s'excluant l'un l'autre deux fonctions psychiques coexis- tant degrés divers chez tout in- dividu pouvons tout instant livrer monde images kinesthé- siques création l'introversion celui couleurs émotions monde l'extratension deux fonctions l'introversion l'extratension peuvent être mesurées test rorschach formule appelée type résonance intime certaines personnes manière prédomi- nante introversives extratensives d'autres deux fois d'autres encore ifs extratensifs coar- nom désignés sous rorschach disait l'introversion constituait one rent culture l'extratension civilisation dilaté introvers l'homme d'un seul livre convergence influenges préparé découverte faut ajouter test association jung aussi méthodes expérim tales d'investigation l'imagination avalent utilisé taches d'encre toutefois fait aucun doute stimulation décisive provient thèse l'étudiant polonais szymon hens l'aide huit cartes testé imagination d'un millier d'enfants d'une centaine d'adultes normaux d'une centaine psychotiques hens n'avait analysé réponses remarq certaines déterminées exemple temps événements politiques métier parents etc trouva différence entre réponses sujets normaux celles psychotiques s'était cependant posé questions certains sujets avait-il remarqué tendance interpréter tache ensemble tandis d'autres s'attachaient détails cela n'avait-il signification huit cartes toutes noir blanc qu'auraient donné taches colorées rorschach passa l'année 1918 mettre point cartes planches noir blanc ajouta planches colorées après avoir présenté rapport préliminaire certain nombre médecins s'enferma rédiger livre julius springer septième éditeur consulté l'imprima conditions savons publi- cation psychodiagnostic écrit temps record échec total psychiatres s'en désintéres- sèrent rares critiques sé- vères franchement hostiles société psychologie expérimentale allemande william stern l'attaqua vio- lemment proclamant qu'aucun test pouväit prétendre comprendre na- ture humaine reprocha manque fondement déclarations rors- chach l'insuffisance statistiques l'aspect arbitraire artificiel conceptions georg muller hoche bumke blen d'autres mélèrent leurs volx celle stern rejeter test l'accuser charlatanisme seul ludwig binswanger ami admira- teur rorschach publia après mort dernier psychodiagnostic laquelle concepts couleurs dépit manifeste développement idées chach resta lent 1922 org n'est seulement connu groupe d'étudiants suisses petit dernières années seconde guerre mondiale édem assiste triomphe test suisse puis etats.u bord beck klopfer dernier fonde titut rorschach new yor ins peu après psychodiagnostic duit anglais français espagnol tra 1943 société suisse psychl organise münsterlingen con dédié rorschach l'hôpital ges trique débuté devient centre d'études test rorschach c'était vingt ans mort reconnaître génle homme marie-josé houareau savoir davantage vie rorschach henri ellenberger hermann rors chach 1864-1922 bulletin menninger clinic vol sep tembre 1954 test rorschach voulu présenter ici vie rorschach dont détails peu connus france trer comment test taches d'encre cours cette vie théorie plus approfon die test application voir article psychologie plusieurs ouvrages importants test rorschach existent fran. çais notamment h.g anderson techniques projec- tives paris editions universitaires 1965 anzieu méthodes projectives paris p.u.f. 1967 beïizmann méthode rorschach l'etude objective caractère paris editions conser vatoire national arts métiers 1947 rencontre internationale rorschach enfance janv fév 1950 rorschach chez l'en fant trois dix ans étude clé nique génétique perception enfantine paris delachaux niestlé 1961 bochner halpern l'application clinique test rorschach paris p.uf. 1948 bohm traité psychodiagros tic rorschach l'usage chologues inédecins pédagogltes tomes paris p.uf 1955 loosli-usteri diagnostic indi viduel chez l'enfant moyen test rorschach paris hermen 1937 manuel pratique test rorschach paris hermann 195 r.b palem rorschach zophrènes paris editions universf taires 1970 pa. rerschech psvchodiagnostic ris p.u.f. 1947
8,9,cation tologie franrojectaires ctives nsettiers janv l'en- cliion stlé tion ariss dut ais pit qatar lan elles opération montcs duvlcttes vie quotidienne d'un magazine périodique peine moins agitée celle d'un journal d'un hebdomadaire coups téléphone demandes renseignements propositions d'articles invitations participer colloques séminaires tables rondes sollicitations afin telle telle information diffusée cette fièvre s'est emparée psychologie montre revue atteint maturité voudrais faire part sinon faire partager psychologie bouge sans cesse développement rubrique informations rubrique librairie souci coller l'actualité sciences humaines création nouvelles rubriques chaque numéro résultat discussions longues souvent âpres comité rédaction composé personnalités goûts orientations tempéraments divers francois richaudeau jean feller michel francoise gauquelin daniel sinay annick lacroix moi-même abandonnons projets lançons l'enthousiasme chaque mois posons question comment revue équilibrer différentes tendances sein différentes disciplines qu'est-ce répond mieux préoccupations l'air temps j'ai rencontré récemment jeune psychologue patrick delmas détenteur plusieurs diplômes voir who who professéur d'aïkido tenait-il réponse question posée pourquoi tant d'adeptes judo karaté kendo époque s'il tenait pouvait-i trouver l'université rançalse riche recherches elles dorment souvent classeurs rayons bibliothèques patrick delmas déniché enquête pratiquants arts martiaux lrigée descamps article onne indications enfin objectives phénomène caractéristique époque l'orient fascine seulement mystiques aussi sportifs numéro d'août mols corps liberté pee ete pos ptite lie tnatenisttotel paru propice publication cette étude corps l'objet exclusif l'attention jacques lecoq l'enseignement qu'il donne école xv® arrondissement fallait étranger faire découvrir comprendre théoricien psychologie corps plus connu japon italie tchécoslovaquie etats-unis australie qu'en france semble-t-il laurence wylie pris conscience l'intérêt jacques lecoq cours d'un séminaire dernier dirigé harvard aussi at-il passé année sabbatique paris chez lecoq connaissez laurence wylie l'homme villages lequel entretenu numéro juin c'est honneur psychologie d'accueillir comme auteur professeur civilisation harvard voir article page communautés jeunes ariège auvergne var surgissent pendant l'été comme fleurs soleil elles disparaissent plus souvent l'automne premiers vents premières pluies annonciateurs frimats plus intenses rafraîchissent enthousiasmes kathleen kinkade raconte vie pendant cinq années communauté cette utopie américaine semble coulée moule semblables expériences tentées pays voir page rorschach at-il inventé test taches d'encre parce l'écoie camarades l'avaient surnommé klecks signifle tache d'encre marie-josé houareau cède cette tentation d'une psychanalyse bon marché biographie hermann rorschach qu'elle établie partir documents inédits françals voir article page l'entreprise menée 1942 docteur langer demande services secrets américains exemple fascinant psychanalyse appliquée suite d'une enquête minutleuse dresser portrait psychanalytique hitler prévoir quel seralt pale frite iatqschis comportement quelle tournalent mal pou claude bonnafont d'un document publ denoël étai top secret depui odile naudin page mythes généra épouse voisin épouse voisine début siècle mariages trois kilomètres lieu d'origine l'ère chemir l'automobile distance s'est passée dix kilomètres table sociétés plus souvent sérieux faits reprendron chaque mois cette portes ouvertes douloureux d'ouvri portes not moment nouvelle vient docteur georg remis l'année derr remarquable criminel d'amé établisse d'assurer réin manifestait ave j'enferme venge cassar excuser juin dernie déposé coli médecin-chef lorsque dernie bureau grenade heures plus tard mourait l'hôpite sciences hun hommes qu'elles sciences mises quotidienn service l'hom mois proc tnt etes pen
9,10,
