,page,text
0,1,para hae sous tcanadaut
1,2,lme caitouale rnières barutions uiver dernières parution terra georges batanlle hausanre théorie dle religion alexandre koyré monde clos l'univers infini jacques lacarrière gnostüiques jacqules mad'auile drame albigeois l'unité française pierre mendes france gabriel ardanr science économique lucidité politique nietzscae our l'avenir cle établissements d'enseignement
2,3,"psyenoloie monde d'aujourd'hui mars 1974 connaissance soi rencontre créativité trente-six heures face moi-même rosane lhermitte entretien alain touraine anges créatifs lps lep cat int inns roue crt ernest ste non cost host rss comprendre savoir agir chercheur idées margaret mead anthropologue liberté catherine dreyfus présentation statistiques statue jacques mousseau psychologie expérimentale personnalité mesure mathématiquement tests spécifiques mis point raymond cattell l'inconscient freud vieillit mal procès psychanalyse comme science hans eysenck education nouvelle l'effet pygmalion l'homme réalise toujours performances l'on attend robert rosenthal ———————— bref france vie moderne drogue dossier france marmottan centre d'accueil drogués entretien claude olievenstein alain sotto psychologie avancée l'astrologie devant science qu'il reste quand psychologue sociologue statisticien passés michel gauquelin librairie l'evolution vivant p.p grassé introduction psychosociologie maisonneuve cause femmes halimi langage perdu duvignaud autres parutions prochain numéro mis vente avril 1974 'ecpriy dour biiitg ychologie edite centre d'etude promotion lecture champs-elysees 75008 paris 359,86,50 225.02.88. abonner voyez page fes sie"
3,4,biel cltres dot ons lit titi net ess lcr nisare itr
4,5,onu connaissance soi uriversité lauor école scichces sociale bibliotheque rencontre creativite rosane lhermitte reportage photographique richard frieman pendant trente-six heures j'aï l'impression d'être disponible moi-même fin mois télévision chaîne diffusera série psychologie émission créalivité produite rédacleur chef jacques mousseau réalisée claude gallot auleurs choisi thème parce qu'il correspond terme plus plus utilisé souvent vide d'un contenu précis ceux l'entendent lisent sinon parlie ceux l'utilisent l'émission qu'ils conçue aborde créalivité non comme phénomène psychologique scientifiquement cerné comme fait social caractéristique époque texte ci-dessous présente expérience groupe créativité laquelle participé producteur réalisateur film avant d'entreprendre propre travail racontée rosane lhermitte choisie parce qu'elle fois extérieure projet film l'équipe magazine connaître date exacte diffusion cette émission reportez-vous fin mars source habituelle d'informalions programmes l'ort.f brouillard vent abbaye environs paris soir d'hiver dix personnages quête inconnu c'est décor m'est proposé participer mythes temps présent grand mystère créativité vais voir sentir ressentir comprendre fait j'ignore m'attend trouve royaumont au-delà pontoise séminaire dont l'objet d'appliquer méthodes créativité construction d'une émission télévision créativité raflinement responsables l'émission piège tendu prophètes techniques groupe j'ignore réponse n'est problème connais pratiquement personne présence due hasard d'une brève rencontre producteur l'émission expérience groupe m'avait préalablement rendue allergique défoulements angoissés chaleur épidermique moins croyais prétexte télévision notoriété l'animateur groupe gilbert rapaille parmi petit monde groupes rencontre curiote these ouh sité font salle manger monacale face d'étrangers n'ont encore retiré leurs masques devons être dix six début repas producteur télévision réalisateur photographe jolie femme sereine leader servir guide moi-même voudrait leader prophète pose déjà questions propos anodins mondanités bon aloi masquent curiosité uns l'inquiétude autres fin dîner arrive jeune homme style cadre dynamique manteau daim lunettes monture d'écaille fin cigare accompagné trois jeunes femmes n'arrive situer cinq hommes cinq femmes groupe complet équilibre sexes selon critères d'une bonne maftresse maison division sociale sexe règle créativité expliqué leader groupe sans femme fonctionne groupe seule femme peut tourner drame moins psychodrame autre règle c'est l'attention l'autre réuni découvrir comprendre connaître ecouter critiquer moteur communication demande d'abord d'être brin d'herbe vers munis principes pleins bonne volonté retrouvons tous immense bibliothèque dernier étage l'abbaye matelas mousse forment doux tapis milieu pièce coin caméra observe déjà reliée magnétoscope règle leader tout monde s'assoit cercle matelas après avoir retiré chaussures spectacle commencer créativité vit bas chaussettes pantalon pull faut être libre corps libérer parole libérer parole faut d'abord délivrer corps séminaire comme tous ceux genre doit décomposer deux grandes parties pendant première partie plus moins longue selon temps dont dispose selon ———— ndlr voir psychologie l'en tretien jacques mousseau ravaille vec gilbert
5,6,alain touraine techniques anges alain touraine directeur l'ecole pratique hautes études dirige centre d'études soclologle travall publié récemment ouvrage important production sociélé dont psychologie rendu compte 48. raison fil conducteur qu'ils retenu responsables l'émission créativité cholsi d'interroger sociologue plutôt qu'un psychologue qu'il pensait techniques groupe question comment sociologue réagit-il devant mode groupes développe france après avoir envahi etatsunis alain touraine d'abord pense qu'il unité phénomène groupes quelques années l'objectif groupes davantage l'intégration prenait entreprise industrielle organisation d'un type quelconque pensait groupe sorte cellule élémentaire laquelle allait réussir obtenir meilleures communications allaient favoriser extension progressive meilleure intégration aujourd'hui groupes d'autres techniques visent contraire développer créativité personnelle collective comme apport groupe plutôt comme aspect fonctionnement groupe tout passe comme bonne conscience grandes organisations ébranlée comme elles sentaient nécessité faire appel sorte vitalité viendrait dehors changé d'attitude lieu continuer imaginer grande organisation sorte locomotive société apportait force vitale entrainait reste aujourd'hui sentiment c'est l'organisation tend être bureaucratique fermer elle-même qu'il conséquent nécessaire faire appel idées comportements naissent au-dehors changement positif négatif peut éviter d'avoir attitude assez ambivalente c'est très positif mesure cela fait partie tout grand changement d'idées c'est négatif mesure cette créativité saisie manière socialement vide dit allons faire abstraction pendant moment contraintes routines vie quotidienne l'autorité gens pleine lberte désert soclal alors dévelopt fait faux allons mettre jeurs énergies vont per crois c'est tou naïf faux soclologue quel qu'il qu'est-ce créativité d'abord retrouver rapports sociaux réels enlevant décapant tout recouvre qu'est-ce couvre d'abord discours généralisants exemple dis devons comporter fonction l'esprit français culture française traditions etc voilà quelque chose définit n'importe rapports sociaux réels train parler termes généraux termes d'idées créativité mesure l'individu île groupe contraire mieux définis qu'il possible leurs rapports sociaux pourquoi cet accent créativité aujourd'hul sociétés parlent d'autant plus créativité qu'elles cessent situer rapport monde au-dessus société considéré comme créateur image darwinienne xix° siècle l'evolution grand force créatrice l'évolution eréatrice d'ailleurs titre d'un ivre france mile ssophiauss fallait hommes sociétés placent courant créateur flot grand fleuve mena sorte d'océan infinl création aujourd'hul savons sociétés responsables elles-mê décident au'ellese qu'elles groupe veulent créatifs. briquer anges monde crée lui-même parlons plus créateur cherchons nous-mêmes créativité plus allons vers soclétés industrialisées plus conflit augmente ent-e besoin social reproduire tel quel besoin transformer aujourd'hui systèmes d'ordres reproductions règles s'imposent plus plus forte ment mesure monde plus plus technique conséquent nécessité d'or ganiser créativité problèmes centraux types sociétés c'est qu'elles risquent d'être absorbées propre maintenance propre survie d'ailleurs aujourd'hui autre utople l'inverse celle créativité c'est l'utopie l'équi libre groupes contralrement ceux dont parlons visent l'intégration absolue éliminer nuisances confllts fond recréer communautés monastiques pense l'on puisse caractériser communautés monastiques créativité peut plutôt définir capacité communiquer monde supérieur monde humain groupes créativité surtout niveau l'entreprise semble qu'il parmi différents aspects tentative collaboration entre technocrates conservateurs marginaux contestataires c'est cela j'appelle cet aspect fois marginalité l'innovation marginalité récupération c'est étape problème n'est d'en rester technocrates marginaux bien voir nécessaire qu'une société créatrice c'est fois qu'elle capacité décision centrale technocratique capitaliste socialiste voudrez donc élite dirigeante forte qu'elle alt poussée revendicative l'extension participation sociétés euro péennes problèmes importants parce capacité d'initiative progrès économique pris avancé considérable cadres parilcipation sociale crois sogiétés occidentales comme disait sociologue allemand économies modernes auxquelles attelées sociétés archaïques donc moment besoin énorme manifeste expériences margl nales revendications fondes faire bond avant formes participation
6,7,l'on parle créativité d'autogestion participation tout monde ressent c'est nécessité combler l'immense retard création fais bilan propos après début critique semble plutôt sympathie phénomènes créativité oui non oui d'abord parce tant sociologue j'ai attitude générale respecter tout objet nouveau j'ai attitude positive fond choses cette attitude cache très critique très méfiante pourquoi parce plus enlevez individu groupe situation rapports sociaux réels plus allez l'incorporer ordre prétendu aseptisé impersonnel fait l'ordre dominant pense qu'il peut avoir créativité l'on replace l'individu groupe situations rapports conflits sociaux réels groupes créativité premler temps essalent faire table rase chez individu tabous déconditionner cela m'apparaît confus presque vide sens c'est mélanger deux opérations complètement distinctes faut d'une part faire sortir chacun monde lonesco c'est-àdire monde lequel paroles portent plus portons bonjour comment etc faut sortir monde rhétorique quotidienneté entrer monde purs esprits faut contraire redécouvrir rapport rapport rapport certaine situation certain rapport effacez nature rapport comporte toujours dimension d'influence pouvoir n'avez plus atomes placés uns côté autres billes bocal moment-là acteurs trouvent privés toute réalité sociale trouvent privés créativité d'agressivité réalité anges anges probablement agressifs moins créatifs êtres puisqu'ils créés c'est tout l'on sait d'eux propos recueillis jacques mousseau qualité participants s'agit souder groupe donner cohésion susciter maximum empathie entre membres couper derniers environnement d'abaisser leurs défenses leurs barrières leurs labous n'est lorsqu'ils fait table rase tout bloque statut donné personnage donné qu'ils pourront laisser parler imagination demeurer créatifs seconde partie phase créativité proprement dite prend place groupe concenire énergie toute neuve problème résoudre thème débattre deux parties exercices servent support tremplin vers but atteindre premier exercice phase déconditionnement point vue brin d'herbe chacun doit choisir objet qu'il porte autres doivent interroger cet objet savoir plus propriétaire celui-ci doit répondre comme s'il l'objet j'ai choisi chevalière vient grand-père portet-elle constamment entendezvous bien etes-vous vieilles connaissances êtes-vous connues est-elle commerce agréable etc tous membres groupe interrogent tour tour travers questions anodines groupe commence faire opinion membres fin l'interrogatoire chacun chcisit surnom parmi ceux proposés autres membres groupe fonction façon dont s'est comporté répondu surnom derrière lequel abriter pendant quelques heures vie commune dorée cause bague villon parce françois merlin l'enchanteur lotus olive nature cinqg-à-sept salvador parce dali fantomas puis espéranto pourquoi espéranto sais rien non plus ai-je cru percevoir tout cas c'est l'animateur adopté surnom espéranto espérance dois dire t'aime inconnus suite cette longue séance d'inquisition connaissons déjà peu mieux certains l'esprit plus alerte plus entraîné cachés derrière pirouettes verbales genre d'exercice cacher encore façon faire connaître passons l'exercice suivant t'aime t'aime cha- cun membres groupe dit entend tour tour phrases commencent l'aime t'aime s'agil d'aller peu plus loin connaissance uns autres l'exercice permel l'agressivité s'exprimer frustrations s'extérioriser n'est question biaiser faut aller n'est facile dire t'aime non l'estime t'aime bien inconnus n'est plus simple dire l'aime quand sait déclaration peut revenir boomerang puis comme rapprocher comment être vraiment agressif stade encore phase bonne volonté barrières c'est-à-dire l'occurrence nolre savoir-vivre jouent malgré t'aime parce l'esprit t'aime parce belle t'aime parce trop gros t'aime parce l'air doux t'aime parce tournes tout dérision t'aime parce fais rire etc gestes inhabituels difficile ménage arrières critiquer être critiquée pourtant quelques vérités sortent car jeu force propre emporte constate dépit six personnes dix m'ont dit pourquoi elles m'aimaient avant dire pourquoi elles m'aimaient l'animateur demande ensuite lever l'exercice dit aveugle chacun bande yeux lance mains avant agit reconnaître autres touchant silence tiens mains douces longs che- veux c'est lotus tiens celui-ci homme ... début calvitie épaules rondes chandail col roulé sais l'ai-je donc mal regardé fond chacun prend garde met mains avant-bras
7,8,épaules dos dessus lête personne s'égare poitrines cuisses contact innocent aussi anodin soil-il courant toucher ainsi gens l'on connaîl peinc espéranto participe filme magnéloscope pelit jeu celin-maillard m'irrite vraiment l'impression d'être ramené l'enfance paraît celle reconnaissance laclile autre physique donc non plus seulement verbale intellectuelle fail tomber d'autres barrières facilite formalion groupe communication entre membres j'ai reconnu tout monde aussi égarée coins cognant chaises vides ôte bandeaux chacun doit alors choisir très rapidement personne laquelle envie parler l'expérience qu'il vient vivre parle nature tout rien encore moindre contact l'exercice suivant baptisé l'igloo espéranto construit noire aide sorte d'abri relativement petit tables chaises matelas devons introduire enchevêtrer n'imporic comment consigne silence but régression sens cet igloo semble évident c'est ventre maternel attend qu'il ramène stade fœtal trouve ventre maternel bien inconfortable n'arrive revivre sensation utero dont psychanalvstes prétendent qu'elle paix sécurité bonheur absolus j'ai très chaud écrasée quelqu'un n'ose remuer jambes s'ankylosenz combien lemps cela va-t-il durer comment font autres être l'aise est-il vraiment nécessaire d'en passer sens dérisoire autodéfense manifestement seule prendre jeu cinq-à-sept transgresse règle plaisante fait rire troublons paix l'igloo après tout chahut n'est-il forme régression rire n'est-il forme communication après rois quarts d'heure sortons hébétés chacun fait part impressions j'ai mal vécu passage c'est pro- blème encore suf- fisamment déconditionnée certains prétendent avoir vécu merveilleux moment relaxation ïls attendaient plus encore sans indul- gence trublion ceux l'ont écouté l'agressivité commence poindre temps fatigue près quatre heures matin chacun retire chambre-cellule séminaire doit reprendre lendemain malin rendez-vous esl pris 30. question fatigue fait-elle partie processus déconditionnement n'est-ce dessein animateur menés aussi avant nuit seuil défenses critique s'abaisse résistance physi- sens temps nolre ateter ent meen ent peur vide ... dimanche groupe nouveau bibliothèque nuit mauvaise presque tous certains chaud d'autres froid tous disent avoir l'espril transformé carrousel d'images désordonnées tout vécu défilé preuve l'inconscient bien touché quelle vase remonte fond tout suite espéranto reprend direction opérations demande rapprocher doucement centre pièce faire magma corps debout devons tenir uns autres épaules serrer rester silencieux puis séparer lentement ainsi groupe doit-il re- trouver cohésion acquise veille l'animaieur prépare ensuite deux tables qu'il met l'une l'autre monte sommet pyramide demande recevoir car laisser tomber bras basculer avant plat ventre propres bras collés long corps ainsi marque-til confiance qu'il porile groupe aïnsi geste identique chacun suite témoigne- ra-t-il degré confiance qu'il autres assurent chute quatre chaque côté photographe attend appareil lotus tient tables espé- ranto tombe recevons ... lotus suit légère l'exercice semble être familier monte tour deux tables plus mètre soixante c'est très haut j'ai très peur vais dégonfler braves gens bas veulent après tout mal puis espéranto bout sait saute autres aussi tous sauf fantomas arrivée sommet esl prise tremblement vertige an- goisse arrive espé ranio l'aide première fois tirant doucement main veut recommencer seule cette fois recommence effet présumé courage mel hurler tombant c'est assez ler rifiant saut vide ressemble suicide c'est moment lrès intense canalisé peurs cri nôtre celui qu'aucun poussé tremble core sanglote fait véri table crise nerfs chacun essaie rassurer passe techniques créativité groupe commence exister cette crise peut-être plus fait lous autres exercices faut tout groupe individu plus fragile autour duquel autres réuniront protéger note vie courante l'effet inverse bureau secrétaire freinerait travail difficultés per- sonnelles vite prise grippe rejetée ici aime da- vantage celui celle pose problème peur en- semble rassurés uns autres compris chacun compte exercices n'étaient aussi anodins qu'ils paraissaient par-delà conscience touchent inconscients fond quelque chose remue parle c'est moment qu'espéranto choisit commencer faire travailler créativité phase déconditionnement ter minée point terminer faut maintenant venir l'objet rencontre imaginer inventer créer. coin pièce installe chevalet couvert grandes feuilles papier cela s'appelle paper board feutre main l'animateur explique processus employé arriver devenir créatif problème tout qu'il dit logique rationnel rassurant connaissons thème général émission télévision défini problème émission créativité contraintes problème nombre jours tournage moyens techniques s'agit trouver fond forme cette émission donner contenu mot créali- cnt
8,9,vité l'objectif premier puisqu'il s'agit traduire ensuite mot images télévision devons procéder analogies quoi fait penser mot créer c'est quoi c'est enfanter aimer naître est-ce spontanéité est-ce faire œuvre est-ce qualité intellectuelle instinct humain est-ce propre l'homme etc s'efforce trouver œuvres artistiques concrétisé chacun notions comme l'amour naissance joie certains parlent autres taisent espéranto note chacune idées tableau papier dont tourne allègrement pages joue plus déclare l'heure déjeuner liste déjà longue pendant repas groupe continue fonctionner chacun s'est organisé placer table comme veille faut être créatif hâte revenons bibliothèque mots recommencent fuser puis soudain moteur ratés olive interrompt agresse vivement leader refuse continuer prétend cette méthode sert rien seul échanges niveau affeclif apporteront solution producteur réalisateur assez intégrés groupe dérangen considère comme voyeurs refuse espéranto demande qu'elle désire qu'il faut faire selon remettre groupe marche huit personnes attendent grain sable bloque machine devine qu'elle aime situation peurs plus profondes signe voilà soudain devenue centre dehors jeu dehors idées uns autres lançaient voici concentre tout l'intérêt leader agresse alors tru- lionne tour force faiblesse nul saura soupçonne d'avoir prolongé volontai- rément cette situation quasiment in- supportable chacun hésite devine entre rester passif explo- ser tour sent frustration très forte installe gène dure dure olive maintenant mal l'aise trop loin pense qu'elle doit avoir l'esto- mac noué cinq-à-sept faire quelque chose positif s'approche ta- bleau suggérons ious solu- tions qu'il inscrit sortir cettv impasse dire chanter chœur re- faire exercice reconsidérer objectif changer d'objectif renoncer l'objectif proposition libé- rer physiquement agressivité adoptée l'unanimité faible femme mets boxer grand plaisir deux hommes groupe semblent moins vulnérables n'ai pourtant l'habitude donner coups ceux dérangent dois avoir abandonné sens critique tant mieux bout moment m'arrête épuisée enchaîne jeu cri autre moyen défouler agressivité mettons face face deux lignes chacun s'efforce dominer autre puissance cri celui crie moins fort recule l'autre avance défoulement physique ressoudé groupe espéranto reprend situation main ramène vers créativité pense qu'il considère retour vers première partie programme comme perte temps faire groupe habituel promis quelque chose créativité peut s'appliquer créativité clle-même demande allonger former étoile plaçant têtes vers centre tenir main d'abord relaxons puis noir silence allons faire rêve éveillé partir d'une image initiale cette technique pratique rarement groupe généralement seul individu chargé rêver tout groupe consignes précises dire voyons reprendre l'image l'autre transformer laisser l'imaginaire s'exprimer aussi join qu'il désire cet exercice objet relancer l'imagination ramener ensuite thème recherche l'image départ choisie l'étoile formée corps tourne ciel bleu restons ainsi long moment images déflent étoile chariot cheval ailé plumes arbres psychologe valuton personnelle sociale professionnelle enseignement individualisé correspondance cours oraux soir paris stages pratiques paris frais d'études déductibles revenu bruit préparation divers diplômes sous conduite prauciens réputés convenuon lormauion cours psychotechnique graphologie morphopsychologie psychopédagogie symbolisme rorschach orientation sexologie normale pathologique rééducauon graphique relaxation psychosomatique groupes dirigeants cadres médecins étudiants infirmières assistantes sociales enseignants parents tous ceux s'intéressent problèmes humains éclairés psychologie moderne profession vue d'une carrière principale secondaire institut francais culture humaine etablissement privé d'enseignement distance rue tronchet 75008 paris tél 265-50-82 informations bureaux correspondance séminaires paris 18-23/3 adaptation dynamique face l'évolution économique rennes 20-21/4 personnalité l'efficience personnelle paris 27/4 comment orienter enfants adolescents adultes nom profession adresse ——————— demande documentation gratuite en- seignement cours oraux cours écrits stages séminaires cocher cases choix
9,10,lire kermplissezs simplement ciscontrex leu t-shire gratmiel chaque mois psychologie auteurs problèmes passionnent aspec discutent sujets plus divers tion publicité tests jeunesse grands précurseurs chercheurs professeur vie société conso problèmes couple plus qualifiés parlent vou rencontrons chaque jour humaines contemporaines raymond aron hans eysenck claude lévi-strauss carl rogers nikolas tinbergen prix nobel 1973 etc chaque mois psychologie offre moyen études abonnez-vous ais mmation l'inconscient mémoire l'urbanitt l'œuvre vie grands chercheurs ompléter information propres recherches ess dee
