,page,text
0,1,éonhais sacs eulies alemme accessible dyage centre mémoire méditation anscendantale sie aten gun its
1,2,grands bcrgtssiacontemorane histoire hystérie iza veith siècle pyramides salpêtrière dialogue sexualité l'ordre social lira comme roman cette histoire bien documentée d'une maladie entre toutes mystérieuses omniprésente depuis grecs jusqu freud multiforme douteuse constamment bord simulation caillois livres l.p.\ qu'est-ce l'hystérie définition plus complexe jamais mot lui-même supprimé manuels remplacé symptôme conversion cette omission signifie-t-elle maladie évidente scientifiques d'hier disparu monde pourrait-on croire plutôt d'autres maux aujourd'hui mal connus liés point vue étiologique complexe d'hystérie tel l'argument livre d'illza veith l'auteur ilza veith fois psychiatre historienne médecine écrivain cet ouvrage veut s'adresser tant profane découvrira fexte passionnant fonctionnement l'inconscient l'étudiant professionnel trouveront documentation sans équivalent presse livre veith vaut surtout utile description toutes théories hystérie d'hippocrate pinel charcot freud roy ladvrie monde passionnant itinéraire archives médecine ramène cœur actuelles dramaturgies question forces profondes dont femmes cessé nourrir histoire mettra l'express volume 288 pages format prix vente unitaire taxes frais d'envoi compris ivres d'informati collection psychologie contemporain ieicont ain versiuncc psychologie étre rudelf aria vers psychologie art rudolf agree peut-on réduire science qu'il d'irrationnes dsychologie d'insaisissable l'art problème l'art peutl.prai efu psychologiques sous-jacents langage disciple noam chomsky l'auteur problème mineur du.point.de vue psychologie pourtant est-il plus important création plaisir artistique semblent-ils constituer quand considère activités nombreuses dont l'objet sein toute civilisation comportement inéluctablement nécessaire profond c'est grands mérites rudolf arnheim ouvrage donner réflexion psychologique place revient théorie art chaquiboff psychologie volume regroupe série d'articles importants d'essais fruits ans réflexion lesquels arnheim analyse systématiquement psychologie l'expression l'émotion l'abstraction ainsi applications particulières l'architecture cinéma danse métaphore littéraire symbolisme oriental plusieurs chapitres également consacrés l'application théorie domaines pratiques comme fonction l'art apprentissage réactions public l'auteur rudolf arnheim professeur l'université sarah lawrence new school for social research disciple kohler fait partie groupe psychologues gestalt l'un membres influents section esthétique l'association psychologues américains volume 400 pages format prix vente unitaire féaxes frais d'envoi compris réflexion /editions uma psychologie cent ron jerry fodor université ghers explication üne loduction philosophie spécialisé l'étude processus penche type particulier d'explication psychologie l'interprétation comportement d'un organisme référence états psychologiques conscient aussi nombreux philosophes estiment quelque chose psychologie j.a fodor entreprend répondre question fondamentale psychologie est-elle pourraitelle être science fodor appuie raisonnement l'analyse théories behavioristes mentalistes matérialistes vaut magistrale mise point l'auteur jerry fodor appartient jeune école psycholinguistique massachusetts institute technology m.lt professeur presse démarche allie l'originalité vigueur subtilité toujours qualités primordiales auteurs d'outre-atlantique. livres l.p.n volume 210 pages format prix vente unitaire taxes d'envoi compris acheter bénéficier exceptionnelle réservés lecteurs psycholee découpez bon retournez-le-nous dès aujou
2,3,der psyeaoieeie urivens comprendre savoir agir ausan bibliot rat monde d'aujourd'hui int juin 1974 connaissance soi méditation transcendantale voici dossier scientifique gary schwartz silence médite colin campbell présentation société miettes jacques mousseau arcttr net eten cet etc ceci entretien ronald laing siècle frissonnera devant méthodes psychiatriques actuelles david cohen ————— —————————— bref grande-bretagne eee mettent cee psychologie expérimentale voyage centre mémoire l'introspection confirme science françois richaudeau bref allemagne époque clochards devraient faire honte condition témoigne indifférence alain sotto j'ai clocharde parmi clochards chantal dupille l'inconscient bonne éducation xix° siècle principes rendu fou schreber pierre moreau couple hommes préfèrent cocottes coquettes femme inaccessible n'est plus recherchée walster j.a piliavin walster parle expérience involontaire chercheur idées georg groddeck l'enfant terrible psychanalyse catherine dreyfus librairie mythe machine lewis mumford d'œdipe moïse marthe robert réalité sexuelle roger-pol droit antoine gallien dernières parutions parle monde surpeuplé prochain numéro paraîtra jeudi juillet psychologie edite centre d'etude promotion lecture abonner 114. champs- elysées 75008 paris 359 86.50 225.02.88. voyez page
3,4,dre eute vsnèé ste 144
4,5,—————————— méditation transcendantale abrégé m.t technique facile apprendre sujet s'assied yeux clos vingt minules jour première fois matin seconde fois avant dîner puis dirige attention vers formulation imaginaire d'un mantra sanskrit c'est-à-dire d'un outil penser choisi maître c'est aussi simple cela cependant résultats paraît-il stupéfiants etats-unis annonces publicitaires affirment m.t réduit tensions améliore relations personnelles rend adeptes plus énergiques eficients milliers d'américains pratiquent m.t déclarent qu'elle transformé vie très grand nombre recherches psychologiques physiologiques encore non publiées plupart confirment certaines affirmations d'autres recherches suggèrent promoteurs m.t promettent plus qu'ils peuvent tenir état différent conscience méditation transcendantale avant tout méthode altération conscience laquelle science occidentale appris certaines choses cours dernière décennie second lieu aussi l'une nombreuses techniques méditation existe plusieurs états conscience ressentons sommeil comme différent veille physiologiquement deux états distincts cependant savons tous comment modifier état conscience lorsque couchons soir fermons yeux sûrs allons endormir plus sceptiques observateurs occidentaux peuvent perdre faits vue mesure m.t large part simple reconnaissance l'existence d'états conscience divers fait l'individu peut régler états afin sentir mieux conscience homme modifie continuellement normalement rythme vingt-quatre heures module veille sommeil rêve constituent plupart savants occidentaux lles trois états essentiels états veille rêve certaines fluctuations internes telles désir manger boire exercent influence temps choses précédemment apprises l'environnement affectent conscience tout moment exemple peux avoir envie manger parce resté jeun toute journée conséquent très affamé bien parce viens voir gâteau chocolat vitrine d'un pâtissier environnements spéciaux 1influencent conscience d'une manière examinée récemment chercheurs exemple lorsque regardons montagnes tendance sentir détendus nuages horizons marins nefs cathédrales raison cette sensation relaxation vient partie fait pouvons fixer ensembles aussi vastes fait fixer yeux objets précis bloque ondes alpha thêta cerveau rythmes cérébraux étroitement liés relaxation l'assoupissement inversement fait fixer yeux entraîne renforcement ondes alpha pouvons voulons régler conscience encore plus faisons normalement pouvons discipliner corps respirer d'une certaine manière pouvons imaginer flottons au-dessus nuages commencer sentir calmes légers recherches récentes biorétroaction prouvé pouvons modifier système nerveux autonome signifie celui-ci n'est aussi autonome qu'on l'avait autrefois supposé pourrions considérer méditation comme tentative délibérée d'influer flux reflux conscience normale nature cette tentative paraît être essentiellement passive toutes méditations ressemblent cxiste douzaines disciplines méditatives partisans méditation transcendantale tendance présenter résultats leurs recherches comme m.t seule méthode susceptible provoquer modifications bénéfiques systématiques
5,6,conscience loin d'être cas peut admettre exercice simple exéculer exige peu d'entraînement néanmoins existe autres moyens accéder relaxation profonde derniers comprennent aussi bien pratiques zen soufes tralning autogène relaxation chacune techniques dirige l'attention sujet vers chose différente méditation zen s'attache habituellement respiration bien quelques techniques soufes fassent appel danse active provoquent forte excitation soufñis pratiquent également forme méditation appelée zikr oriente l'attention vers tra comme méditation transcendantale training autogène utilise images chaleur lourdeur mains bras sujet enfin relaxation progressive réussit mieux qu'on pense relaxant successivement groupes muscles toutes techniques peuvent amener repos profond bénéfique prière journée bord mer peuvent donner résultat psychologie occidentale autres sciences progressé telle sorte maintenant capables d'étudier manière dont agissent méthodes orientales méditation devons rester prudents séparer faits fiction 1935 thérèse brosse partit indes électrocardiographe portable affirma qu'un yogi pouvait arrêter mouvements cœur étude ultérieure marion wenger basu bagchi 1957 établit observations brosse probablement artifice d'enregistrement cela signifie autant yogi capable faire choses remarquables wenger bagchi également observé pratique valsava cours laquelle yogi élève pression pul- monaire retenant soufile étirant avant haut vers bas modifie effectivement vitesse rythme cardiaques comme physiologie laisse théoriquement prévoir 1970 premières recherches sérieuses etats-unis méditation transcendantale arrivée premier plan recherche scientifique 1970 lorsque robert keith wallace aujourd'hui président maha- rishi international university pu- blié thèse doctorat science u.c.l.a physiologie cette méthode wallace lui- adepte me- quré différentes réactions physio méditation compris logiques tion variations consomma d'oxygène ondes cervean résistance peau observé augmentation alpha thêta pendant méditaron particulier région lale cerveau cela bien ondes cérébrales sujet méditatif continué réagir stimuli auditifs lumineux ondes alpha plus intenses pendant lorsque sujets contentaient fermer yeux ondes thêta intermittentes ressemblaient celles l'assoupissement premieres étapes sommeil d'autres termes méditatifs profondément relaxés tout restant éveillés comme démontraient leurs réactions sons lumière consommation d'oxygène sujets wallace diminuait lorsqu'ils train méditer résistance peau paraissait augmenter plus 100 chute consommation d'oxygène indiquait abaissement considérable métabolisme l'augmentation résistance peau semblait tout aussi remarquable général résistance peau passage d'un courant électrique mesure d'éveil d'excitation plus sujet alerte éveillé plus courant circule librement peut-être cause sueur tout cas wallace suggérait méditaiifs peau individus relaxés confants avant toute chose wallace établissait distinction entre l'état méditation transcendantale états sommeil d'hypnose affirmait outre l'éveil sommeil rêve m.t représentait quatrième état essentiel conscience cours travaux ultérieurs herbert benson cardiologue harvard medical school wallace lesta autres sujets renouvelant anciennes expériences ajoutant quelques nouvelles mesures cours méditation rapportèrent wallace benson consommation d'oxygène diminuait certainement l'élimination gaz carbonique rythme respiration ralentissait résistance peau augmentait cette découverte confirmation anciennes données enfin lactate sang raréfiait lactate corps chimique dont présence associée l'anxiété expérimentast ifiques traditionnelles m.t anomalie état veille hypométabolique jais- saient suspens question sa- voir autres formes médita- tion pouvaient donner rés comparables ullats 1973 étude physiologie m.t l'un confrères wal maharishi international david ormes-johnson autre rapport impor physiologie médit cendenta utilisant réactions résistance peau comme sure tension découvrit méditatifs s'habituaient bruts très forts déplaisants plus rapide ment sujets groupe contrôle outre réactions résistance peau méditalifs semblaient généralement plus stable celles autres individus déduisit découvertes m.t. tout augmentant relaxa tion réduisant tension rendait individus aptes supporter plus aisément aspects gréables l'environnement néanmoins ormes-johnson réussit démontrer l'amplitude précise modifications résistance peau peut-être étaitil incapable reproduire diffé rences frappantes wallace observées cours d'une série d'études harvard daniel goleman lynn lewis moi-même n'avons jamais observer augmentations considérables résistance peau pendant méditation possible mesures originales wallace erronées profondeur méditation varie selon conditions lesquelles placé sujet méditatif tous cas signification variations résistance peau reste assez obscure cause l'imprécision termes tels relaxé alerte excité goleman moi-même pensons pratique m.t peut rendre sujet mentalement corticalement plus alerte tout diminuant excitation émotionnelle subcorticale point vue coïncide trés étroitement manière dont méditatifs eux-mêmes décrivent leurs expériences 1969 observant méditatifs cours d'une étude pres sion sanguine herbert benson noi dix-neuf vingt volontaires renoncé drogues selon propres témoignages sujets modifications conscience dues marijuana l.s.d l'héroïne devenues désæ gréables depuis qu'ils décow vert méditation transcendantaié lace university blia 1973 tant ation trans désa- mise technique relaxation point j.h schultz lire lanetaxere patrick delmas apprenez vou psychologie
6,7,couple triomphes ... echecs bazoilles oazoilles éditlens guy monceau fallu vingt siècles l'amour physique ose exister tabous interdits secret tombent jour livre bazoilles apprend surtout connaître comprendre l'amour médecins formels c'est méconnaissance totale euxmêmes conduit tant couples faillite sans fausse pudibonderie sans choquer livre instruit réalités biologiques causes maladies corps qu'on appelle frigidité l'impuissance l'incompréhension qu'il suffit souvent bien peu choses guérir aisé comprendre livre doit aider tous jeunes couples fait sort bien préjugés apporte réponses claires bien questions confirme corps chantent cœurs taisent calendrier n'est qu'un petit agenda cuir noir anonyme apparence peut changer vie femmes ivres qu'il fant oser lire contraception service l'amour lagroua weill-hallé lagroua weill-hallé commontalros 5oxualllé dtvalensin editions guy monceau depuis quinze ans plus grandes gynécologues françaises dr. lagroua weill-hallé bat femmes obtiennent seul droit fera d'elles êtres libres droit contraception ecrit collaboration valensin livre recueil témoignages bouleversants trente-sept cas cliniques observés sans préjugés complaisance deux spécialistes font tour contraception car contraceptions livre sans fard manuel d'éducation aborde tous problèmes celui mari volage couple dix enfants virginité disparition désir l'angoisse cardiaque amitiés particulières… confessions toutes montrent mieux longues explications contraception morale rendre l'amour dignité beauté conceptionnel libérant cetre terreur materanité transformé tant vies enfer tué tant couples force enfants venus trop tôt trop vite celles veulent prendre pilule l'agenda calendrier conceptionnel grâce auquel importe quelle femme peut appliquer méthode naturelle découverte docteurs ogino krauss suffit noter chaque mois date apparition règles simple marque graduée contenue l'agenda posée page mois correspondant indique premier coup d'œil période critique méthode température aussi expliquée carnet donne sécurité supplémentaire méthode noturelle doit compléter cette dernière femmes dont cycles irrégullers épargner toutes femmes peur avoir enfants contre volonté aussi surtout risques inutiles sans doute vraie victoire contraception naturelle plaisirs d'amour bazoilles a-m gérard cet ouvrage comporte cinq parties correspondent étapes affectives vie adulte première partie thème plaisir l'auteur analyse mécanisme désir cette émotion étrange fois sensuelle psychologique étude débouce explication clinique l'orgasme décrit ensuite plaisir d'amour moyens parvenir différents ouvrages vente correspondance bureaux éditions guy monceau rue chazelles paris-17° tél wag 34-62. modes paiement chèque bancaire chèque postal c.c.p 67-47-57 second chapitre traite phénomène pudeur travers âges découle l'étude arsenal répressif longtemps interdit femme toute expérience sexuelle sous peine retrouver enceinte passe alors tout naturellement problèmes contraception l'avortement traités façon originale donnent sens titre chapitre liberté troisième partie concerne mariage lecteur apprend éviter tous écueils guettent union fondée l'amour hasard quatrième partie s'ouvre questions frigidité d'impuissance risquent souvent gâcher vie d'un couple l'auteur explique pourquoi avis aventures l'union libre mariage collectif solutions satisfaisantes cas crise couple titre cinquième chapitre constitue tout programme seul sérénité atteindre cette sérénité troisième âge faut lutter contre idées toutes faites concernant prétendue disparition l'activité sexuelle savoir trouver plaisirs d'amour troisième âge c'est l'auteur découvrir secret l'éternelle jeunesse c'est cette note optimiste termine livre très riche véritable hymne l'amour conjugal sexuelle technik sha kokken 500 000 exemplaires c'est tirage atteint actuellement angleterre allemagne pays nordiques naturellement japon livre d'un plus éminents sexologues pays docteur sha kokken chiffre suffit exprimer nécessité d'un tel ouvrage sexe technique texte l'image titre peut choquer choquera ceux n'ouvriront livre docteur kokken première fois médecin ose dire chacun devrait penser apprend tout hommes sauf essentiel l'amour pourtant d'échecs drames d'insatisfactions n'avoir admis cette évidence possible amour vrai séparer vient corps vient l'esprit fallu sans doute bien courage beaucoup vraie simplicité docteur kokken réussir cette gageure livre met l'amour images sans tomber aucun moment pornographie petites poupées médecin japonais heurteront elles franchise fraîcheur contes adultes trop souvent enfants devant l'amour bon envoyer éditions monceau marquer d'une croix volumes choisis couple contraception plaisirs d'amour sexuelle technik calendrier conceptionnel mode paiement choisi nom rue ville dpt aucun envoi contre remb payable réception
7,8,silence selon l'organisme maharishi mahesh yogi lancé méditation transcendantale etatsunis 300 000 américains appris méditer 000 personne mel tent tous mois payent jusque soixante-quinze dollars assistent quelques conférences puis reçoivent leçons particulières technique ainsi qu'un mantra secret sanskrit occupera leurs pensées per dant méditation maharishi dit cette démarche simple conduira populations découvrir conscience absolue félicité l'état naturel souhaitable l'humanité succès méditation franscendantale attiré l'attention presse celle-ci iour contribué popularité m.t malgré points scepticisme cette propagande demeuré respectueux l'une raisons respect l'intérêt savants portent cette méthode nombre diversité gens méditent expliquent également cette attitude respectueuse hommes d'affaires mettent m.t augmenter productivité autant calmer leurs nerfs plusieurs athlètes professionnels célèbres jurenit m.t assurent qu'elle améliore équilibre physique écoles prisons l'armée officiels introduit m.t leurs institutions afin neutraliser leurs effectifs rendre plus alertes éloigner drogue phillip ferguson responsable recherche centre international recherche scientifique mouvement révélé sans citer noms deux personnes 1rès bien placées accéder présidence vraiment très bien placées pratiquent m.t. peut-être maison-blanche connaîtra-t-elle jour silences dixhuit nutes… maharishi mahesh yogi fondateur mouvement mmélaphysicien diplômé physique l'université allahabad cette ville stalion ferroviaire active située rives gange fleuve sacré jeunesse maharishi abandonna science occidentale entreprendre pèlerinage spirituel etudia maître nommé guru dev vécut deux ans grotte l'himalaya plus tard inspiration parcourut forêts sud l'inde comme doit faire chaque yogi grandes ambitions spirituelles medite 1955 maharilitude mit vers anriées shi sortit message enseigner changé depuis donné conférences monde entier enseigne technique méditation transcendantale milliers personnes entre-lemps réussi écrire trois livres science l'être l'art vivre l'amour dieu traduction six premiers chapitres bhagavad-gita dûment commen tés c'est homme doué d'une immense énergie semble-t-il ceux l'ont rencontré s'accordent dire personne irradie l'amour dès premiers temps carrière missionnaire maharishi décida racheter l'humanité bureaucratie propagande s'est développée depuis particulièrement etats-unis étonnante comprend mouvement régénération spirituelle s.rm l'association internationale étudiants méditation s.i.m.s l'association internationale méditation i.m.s. fondation américaine science l'inrelligence créatrice a.f.s.c.i maharishi international university m.i.u. organismes hiérarchisés efficaces bas l'échelle trouve secrétaires méditent elles répondent courrier rapidement elles rassemblent répandent chaque commentaire favorable mouvement leurs supérieurs mis parler jargon bureaucratique récemment j'ai appelé quartier général s.i.m.s los angeles demander maharishi jamais employé terme dédramaliser simple question fait pensais-je appel transmis président s.i.m.s. bob boyer gui m'expliqua patiemment loute façon maharishi n'employait plus terme dédramatiser remplacé normaliser c'est plus positif dit boyer demandé l'autorisation lire article méditation avant parution afin rectifier tout malentendu éventuel tenons déclara boyer l'on place m.t contexte d'autres disciplines pourraient être comparées cela très important critiques m.t. particu- lièrement ceux cles directe agacés elles attitudes lumière etre glorifie champ actions quotidiennes comme écrit ma- harishi comment fait-il adeptes méditation pren lon terre terre répon plus tendances bien con 718 tout organisme bureaucralis m.t consciemme moderne cet aspect technin sépare profondément auf mouvements transcendantaux l'histoire américaine car procure seulement salu fournit également nstrae tions précises pratique ell permet franscendance sans lalé îé- nation cautionnée communauté scientifique tion plus mots mécaniques turel automatique maharishi lui-même résuyr m.t peut avoir l'attrait d'une puissante petite machine portée tous titre qu'un calculateur poche pistolet m.t égalise rend humbles puissants relève faibles maharishi croit trans former monde faudra mil lions d'instructeurs malheureusement certains instructeurs aussi intelligents dévoués autres faudra donc leurs méthodes d'enseignement simples exactes va. riantes réprouvées maharishi sait hérésies souvent corrompu l'enseignement grands saints conférences d'introduction méditation transcendantale toujours mêmes procédé l'attribution mantra censé être infaillible plus catégorie vérificateurs s'est développée sein hiérarchie méditation vérificateurs rang légèrement férieur celui professeurs permettent s'assurer personnes méditent font exaciement qu'on appris rencontrai peu temps initié mécontenté qu'il pense être rigidité secret superflus part vement donné copie notes qu'il prit alors apprendil devenir vérificateur cela commet plusieurs consignes générales comme apprenez cœuut trente points discours deviendra automatique efficace trente points plus prë cisément étapes commencenl fermons yeux dix condes préférable d'éviter mots voire autres étapes indiquent vérifie teur exactement qu'il doit taie dire doit instruire doucetlr
8,9,——————————————————————————————————— colin campbell posant questions disciple selon réaction dernier question donnée habituellement simple oui non doit mener l'étape convient exentple lil l'étape avez-vous pensées pendant silence oui allez sinon allez 12. l'étape commande vérificateur faire discours d'adieu commence ainsi chose très importante n'essayons méditer n'essayons maintenir rythme mantra n'essayons non plus changer rythme concentrons contre pensées pouvons avoir contre bruits pouvons entendre luttons contre pensées lutions contre changement disparition mantra houus oppposons rien prenons choses comme elles viennent c'est procédé très simple très naturel très innocent ... toute personne familiarisée ordinateurs pourrait penser qu'il possible programmer vérification cela veut dire m.t forcément opération mécanique déshumanisante après tout bien capacités humaines exigent précision discipline nalure automatique m.t explique pourquoi méditation devenue populaire société pourquoi promesses salut universel plausibles pourquoi temps m.t soulevé curiosité biologistes sociologues tentent depuis années développer technologies applicables l'homme m.t déjà tellement occidentalisée bien gens l'utilisenf comme remontant cela surprendraïit exemple major général franklin davis commandant l'ecole guerre adepte méditation poursuive conscience absolue félicité reprendre paroles général pratique m.t aidé rapports autres amélioré état espri fait baisser tension l'occidentalisation pourrait aller plus loin bases foi maharishi pourraient céder terrain l'avenir théories scientifiques nature îles usages possibles m.t physiologiste keith wallace avancé hypothèse genre sug8érant méditation élat conscience définitif —————— titre sommeil l'éveil wallace ex-collègue herbert benson peut-être lâché autre bombe scientifique quand suggéré relaxation profonde peut-être aussi nécessaire survie aujourd'hui vivacité l'émotion nécessaires premiers hommes genre d'idées exprimées termes physiologie d'évolution d'histoire tendance s'introduire esprits occidentaux rester cependant doctrines plus avancées m.t telle qu'on l'enseigne aujourd'hui demeurent enracinées langage philosophie indienne novices aperçu tradition lorsque dernière conférence leurs maîtres quittent langage terre terre genre savants prouvé voici comment faire voici remède maux s'envoler vers cimes métaphysique maharishi c'est science dont m.t technologie composants l'etre félicité dieu l'action l'illusion compassion l'unité sagesse clair science l'intelligence créative comme l'appelle renaissance brahmanisme l'hindouisme anciens prend origines textes anciens veda upanishad bhagavad-gita l'enseignement bouddha synthèse traditions shankara simplifié cela l'adapter société contemporaine trop simplifié encore sous emballage plastique beauté paradoxe sagesse indienne encore présents prose maharishi diffusée magnétophone ceux étudient m.t désirent approfondir aspects peuvent référer textes anciens peuvent s'inscrire maharishi international university près santa barbara californie mots science l'intelligence créative font partie titre chaque cours m.t attire nombreux occidentaux parce qu'elle permet sentir mieux façon mécanique indices montrent beaucoup vraie connaissance l'etre demeure quête religieuse certains connaissance l'etre bien plus intime plupart d'entre colin campbell traduction paule caïllat benson wallace poursuivirent cette recherche questionnant 862 adeptes expérimentés méditation résultats confirmèrent premières observations benson selon lesquelles nombreux adeptes méditation abandonné l'usage drogue outre plus période pendant laquelle personne s'était adonnée méditation longue plus changement grand domaine thérapie drogués travaux d'autres études similaires encouragé l'armée américaine gouvernements plusieurs etats étudier m.t comme substitut possible l'abus drogue pourtant jour découvertes difficiles interpréter faute d'informations supplémentaires tenté d'accepter l'interprétation benson celle méditatifs eux-mêmes selon laquelle méditation modiferait conscience d'une manière plus agréable drogues point vue coïncide conception d'andrew weil suppose êtres humains besoin 'altérer conscience d'autre part pourrait être utile considérer différentes autres possibilités comme l'avons suggéré l'issue propres études harvard exemple apprendre pratiquer m.t. individu peut s'abstenir volontairement prendre drogue pendant deux semaines autrement dit certaines personnes déjà prêtes prendre cet engagement d'abandonner provisoirement drogue avant commencer méditation agit ici d'un processus choix personnel également forte pression groupe incite postulants conformer modèle méditatif parfait lequel supposé avoir transcendé drogues cette sorte dynamique groupe semblable celle utilisée manière très efficace alcoholics anonymous weight watchers certains facteurs agissant comme placebos peuvent également intervenir finalement style vie jeunes méditatifs devient plus ordonné plus détendu mode vie plupart drogués cette régularité pourrait seule ————— alcooliques anonymes contrô poids associations alcooliques d'obèses dont adhérents s'encouragent mutuellement suivre régime initialement placebo inolfensive substituée quelqu'un extension tout effet remplacement substance médicament placebo exprim
9,10,réduire considérablement tensions conséquent île besoin drogue résumé l'hypothèse selon laquelle m.t guérirail l'habitude drogue peut être vraie sans être prouvée adeptes méditation lranscendantale relatent milliers d'histoires manière dont personnalité s'est améliorée depuis qu'ils pratiquent cette technique sentent plus heureux plus forts plus tolérants plus sains cotps d'espril déterminer rigueur changements signalés bien résultat m.t nécessaire tester personnalités avant sujets commencent livrer méditation après celle-ci comparer changements ceux d'un groupe contrôle approprié deux années durant stanford research institute leon otis étudié problème autre étude william seeman sanford nidich thomas banta université cincinnati laisse supposer m.t influe auto-accomplissement manière d'un inventaire personnel d'orientation résultats cette expérience parlent faveur méditation comparées sujets groupe contrôle personnes pratiquaient m.t s'étaient améliorées différents domaines capacité contacts intimes respect soi spontanéité données similaires provenant laboratoires indiquaient modifications personnalité pouvaient être attribuées fait plupart sujets commencé pratiquer méditation renoncé drogue plutôt l'expérience d'altération conscience elle-même accroissement capacités créatrices point vue très controversé celui tend prétendre méditation transcendantale renforce intelligence créative intelligence créative désignons seulement capacité accrue production élévation quotient intellectuel plutôt transformation plus globale perception monde autres aussi bien qu'un meilleur choix d'ac- tivités part l'individu créativité l'intelligence toutes deux difficiles mesurer ce- pendant quelques raisons penser méditation peut améliorer performances d'un jin- dividu quelques domaines in- tellectuels expérience récente william linden indiqué personnes entraînées méditation élaient moins anxieuses lorsqu'elles asser tests cerlain d'autres études see ment prouvé certe mesure moins personne anxieuse plus peut penser efficacité. ccrait cependant utile ciser relaxation éta favorable tous types d'activité recherches base indiquent l'excès l'insuffisance excitation peuvent entraîner performances inférieures semble existe degré optimal d'excitation individu puisse exécuter tâche j'ai testé récemment seize professeurs méditation groupe contrôle comprenant également seize sujels deux mesures standards créativité l'échelle artistique barron-welsh batterie tests inventés wallace nathan kogan manière surprenante adeptes méditation réussirent mieux non-méditatifs fait certains tests résultats méditatifs très inférieurs résultats particulièrement intéressants parce méditatifs appliquaient vraiment réussir cependant d'autres tests comportant l'invention histoire servant mesure projective créativité résultats méditatifs beaucoup plus élevés ceux groupe contrôle cela pourrait peut-être s'expliquer différence établie robert ornsiein entre rôle moitié droite celui moitié gauche cerveau mesure méditation entraîne l'absence d'excilation comportement d'autoréflexion typiques processus l'hémisphère droit favorise spontanéité créativité particulier exercices d'associations libres tels l'invention d'une histoire revanche l'excès méditation peut influer processus logiques l'hémisphère gauche l'individu type résolution problèmes créatvité tels ceux caractérisent test wallace kogan. ainsi peut-elle enrichir étapes germinatives créativité pratiquée excès peut aussi affaiblir chances méditatif lorsqu'il s'agit fournir production créative effective cette distinction importante pro- cessus créatifs facilitent nouvelles dtebrations idées créatives aissent souvent états cré- pusculaires somnolents içues nécessite souvent l'activité l'excitation bor part raisonnement rat nent rationnel nie créativité plein mot exige participation devaient deux hémisphères cérébra reste savoir oui non méditatifs réagissent particulière ment bien appelleron nécessités création comment fonctionne méditation transcendantale nombreux ceux rieux savoir comment fonctionne méditation transcendan tale mabharishi donné sorte d'explication occiden- taux parfois difficultés sui- vre langage trop cosmique etats-unis adeptes mouvement fait grands efforts faire comprendre m.t profanes non hindous publiant notamment rapport scientifique cette méthode crois l'on peut aller encore plus loin sens démythifcation sans méditation transcendantale souffrir cet éclaircissement premier lieu problème mantra occidentaux enclins penser fait répéter sons dépourvus sens chose absurde cependant mantra partie intégrante méditation transcendantale l'une clés manira qu'il valeur signal maître choisit mmanlra chaque étudiant dernier doit jamais révéler revêt ainsi valeur spéciale disciple ïil retient attention conséquent plus susceptible d'être employé signale méditatif qu'il point sentir profondément relaxé choix mantra lui-même moins important croyance maître disciple bien-fondé l'euphonie mantra peut être également importante recherche psychophysiologique indique sons s'élèvent lentement résonnent peuvent ralentir rythme cardiaque provoquer relaxation ainsi mantra pourrait aider l'individu relaxer raisons physiques raisons persuasion suggestion mélodie agréable manira contribue également détourner l'at tention méditatif sensations pensées déplaisantes processus quelque sorte semblable celui consiste compter moutons trouver somd née deux hémisphères cerveau cialisés schématiquement l'hémisphère correspond créativité alfectivl tel l'hémisphère gauche correspond j'in lire gence langage raisonnement ense l'article robert ornstein dogie gauche aime droite psyc maharishi mahesh yogi mouvement méditation tale lire l'encadré 10. fondateur nscendan
