,page,text
0,1,eme 1972 naissance lsree 1/2 kif idynamique nel brance rat
1,2,œran binet travaux ouvrages parce livres fau ries technique turel humain parce qu'on pouvait penser vrages élégante soignée lisez grandes théories psychologie source ecoutez watson poser bases behaviorisme déclarer fonctionnons comme machine ecoutez kretschmer demander pourquoi hommes génie voyez kôhler photographier observer grands singes qu'il s'efforçait d'éduquer île perdue l'atlantique assistez fameuses rlecons mardi salpétrière charcot cours desquelles élève inconnu nom freud découvrit qu'il existait ... psychologie profondeurs ssistez dramatiques lecons mardi salpétrière tout paris pressait étudiants dames monde jeune autrichien inconnu nom freud charcot tentait révolution maladies nerveuses devaient pouvaient soigner comme autres n°y plus tabous l'anxiété frustrations surmenage quelquefois accident physique causaient troubles nerveux crises nerfs l'épilepsie cessaient après siècles d'être domaine l'exorcismel psychothérapie profondeurs naquit mardis-là sans aucun jargon médical plutôt qu'un froid savant c'est homme soucieux semblable découvrirez celui fonda neurologie popularisa l'hypnose j.b. watson demandons abandonner l'idée selon laquelle l'intérieur corps plus mystérieux l'extérieur c'est partir cette déclaration naquit plus répandue plus célèbre écoles psychologie behaviorisme ainsi s'appelle également l'ouvrage ner charcot kretschmer tous randé hereuta watson skin ntet ler tenant considérés comme classiques main connues tous ceu rassemblement n'avait jamais rend dignes ssiques scienges ent im.charcot pourquoi avoir rassemblés tles avoir lus posséder donné put hae s'intéressent l'homme font parte °ad sein d'une unique bibliothèque cont encore réalisé plus reliure c.e.p.l plus belles bibliothèques lequel rapportées découvertes auxquelles donné lieu d'après cette école l'être humain n'est qu'un dialogue permanent entre stimuli auxquels soumis réponses qu'il donne j'envoie brusquement lumière violente œil pupille contracter rapidement l'odeur d'un plat aimez faire contracter estomac pourquoi n'en serait-il psychologie sommes-nous réponses automatiques stimuli intellectuels artistiques sexuels etc. wolfgang kohler apprennent singes supérieurs 1912 1920 savant allemand rendu célèbres monde psychologie personnages nommés sultan consul sujets grands chimpanzés durant années observa photographia milliers fois train d'entasser chaises unes autres atteindre d'inaccessibles récompenses train fabriquer outils travaux wolfgang kôhler pensionnaires quadrumanes base célèbre gestalttheorie psychologie forme prend place plus plus grande pensée savants psychologues contemporains c'est pourquoi devez lire l'intelligence singes supérieurs alfred binet intelligence c'est quoi c'est 1903 parut l'étude expérimentale l'intelligence auteur savant français alfred binet avant l'intelligence humaine considérée comme quelque chose mystérieux d'un peu sacré voici tout d'un coup xx° siècle débutait cette bombe mémoire hblotheque man canon posé sciences hurd °u5 uéines théo petimgine rairement onnée cgs jugement sens esthétique observés mis inutile dire l'étonneme cela causa suggest chiffres pourquoi a-til homme génie homme génie comment est-ce fait posez-vous question tente résoudre ernst kretschmer krex chmer savant inventé typologies plus connues personnes possédant type physique chances d'avoir car tère analogue selon aussi maladies mentales l'exzgi ration caractères normaux demanderez génie est-il inné s'aquieril cours d'existence vient-il travailla peut-on fabriquer génie a-t-il époques facilite naissance génies puberté post-puberé jousrt elles rôle formation géné héros conquérant savan artiste saint sont-ils seule forme génie pourquoi tant génies fous psychopathes nieus gogh j.-j rousseau newton chal blücher maupassant dos shumann nt-ils mors che volume lecture recevoir retourner attaché cette bon page
2,3,"dsycroiocicre uriveogité lausan bibliothèque septembre 1974 entretien emma santos femme écartelée entre maux mots comprendre savoir agir monde d'aujourd'hui école soicgs sociales propos recueillis isaure saint-pierre editorial raison contre l'instinct jacques mousseau psychanalyse freud paris quand l'élève charcot j.-b pontalis frontières psychologie j'ai participé séminaire alpha dynamique mentale arrive france robert barrat ————————————————— psychologie comportement l'obscurité rend muet affectueux grave expérience conditions communication kenneth gergen mary gergen william barton ——————— bafeon bref france ————— ————— ——— ——— chercheur idées raymond aron pierre moreau psychologie animale mâles font d'excellentes mères chez singes moins ... gary mitchell william redican jody gomber pédagogie l'école maternelle originalité système éducatif français frédéric dajez journée école maternelle l'apprentissage réalité annie-laurie schearer librairie rituel psychanalyse rites religieux l'ordre caché l'art ehrenzweig sociologue siècle reik système sociétés modernes parsons autres parutions bref allemagne bref etats-unis who who psychologie matefrnfile jdd fine ————————.——————————————î—…———…——.—…—…—…—…—…——…………————— ————— —————————.—.—.— sychologie edite centre d'etude promotion lecture abonner departement retz 114 champs-elysees 75008 paris 358,86.60 225.02.88. voyez page"
3,4,
4,5,emma santos vit folie berce lolie suscite l'écrit telle alice devant miroir traverse réel pénétrer seul univers puisse retrouver folie reconstruit mots l'expression d'elle dédouble regarde mourir invente mort prend encore plus distance baptise contempler folle après premier roman l'illulogicienne flammarion 1971 lequel conte mode onirique premier conlacl folie emma santos écrit deuxième livre malcastrée maspero paraît deux ans plus tard c'est plus essai qu'un roman c'est cri l'état pur révolte peur dénonciation système folie lequel entre hasard duquel sort jamais presse s'empare livre fait succès emma santos absorbée folie faire succès trouve aussi l'on sert uniquement nom dénonciation partielle système psychiatrique alors c'est oute psychiatrie qu'elle remet question non seulement certaines pratiques psychiatrie détruit guérit jamais nouvel essai paru mai dernier loméchuse signifie titre loméchuse dit dictionnaire pelit parasite dont poils sécrèlent substance fort appréciée fourmis échange cette sécrélion celles-ci nourrissent loméchuses leurs larves pourtant dévoren œufs fourmis loméchuse dévoreuse enivrante… fourmi loméchuse elisabeth femme médecin malade elisabemma deux femmes rivées l'une l'autre jusqu confondre prénom unique s'abandonner délire médecin suil alade bascule celle folie dévorée dévoreuse ivres folie lorméchuse âpre cinglant malcastrée beaucoup tendresse nostalgie descente solitude effrayante douceur haine jugement ironie triste emima santos d'ailleurs celle image vinglt-sepl ans —————————— cheveux auburn regard fixe lointain cheveux voile cacher derrière certaine façon poursuivre cheminement intérieur oubliant interlocuteur peur panique l'objectif photographe voix petite ille geste nerveux enrouler doigt longue mèche quitté enseignement raisons santé ravaille plus écrit raconter l'histoire d'une folle celle d'un enfant mort suite d'un avortement fait contre gré psychologie l'on parlait enfance ... emma sanios j'ai horreur dire vérité crains questions trop précises j'ai appris mentir toute petite quand j'ai tout monde mentait autour dirai juste issue d'une famille d'universitaires famille nombreuse j'ai frère psychiatre quel genre d'enfant étiez-vous enfant bizarre supporlais l'on touche j'étais bête comprenais mots savais dire maintenant encore j'ai beaucoup mal établir contact depuis six mois vis absolument seule coupée tout quand reçois lettres lecteurs soignés psychiatrie demandant l'aide peux rien donner plus perdue qu'eux beaucoup mieux quel élé premier contact psychiatrie dites pluiôt folie j'emploie toujours mot folie j'ai décrit ioul cela numéro spécial loliu partisans très maladroite sais mieux écrire parler sons bruits sortent bouche peux enfin quand entrée première fois milieu folie j'élais désespérée calastrophée comprenais rien vingt ans j'ai contracté ter= parlisats unc revue d'inspiration au- chiste publiée éditlons masbcro
5,6,seulement blanche nue sus remie rible maladie physique telle d'un j'ai voulu sortir machine j'ai l'impression blais loque squelllé bouclée vant m'offrir soitre énorme yeux ais porte j'ai petites perversions plaisirs sentais crevée poignée normal j'ai hur refuse jouissance aintenany jou pétais système j'ai apé contre porte j'ai d'abord cru d'écrives ture fallail bêtes papiers signés d'un d'étais coincée comme ral échapper folie psychiatre toucher lien laissé affaires loméchuse j'ai écrit demnités maladie monce personnelles livres cahiers 'le vivre vraiment eos organisé folie chacun lesquels nolais lout jmsqu® l'apocalypse j'ai écrit mot psychiatre aflo- passail têle étre folle guc0 lée j'ai ouvert nombreux due d'ailleurs jamais rendus pee naires essayer compren tombée pan- écrivez loujours mot renferme lee neau m'ont contrainte çant j'ai hésité mal plus relire bien peux notes volontairement perds n'écrirai jamais qu'une seule toire mienne celle l'enf mort enfant fait aussi der homme femme nôtee celui tout monde ... avc quelle part réalité der fantasme cet avortemem forcé l'hopil revient comme hantise pourris malcastrée loiné chuse cliniqu faut reprendre toute l'histoire jou d'une folie donc restée deux sance mois premier hôpital pri mange sonnière psychiatres rétro- muné conltaintc grades fascistes mois qu'une conduire comme unc folle d'aujourd'hui m'ennuient… fin emma santos durant l'entretien isaure saint-pierre m'ont envoyée ambulance clinique privée midi lout j'ai rencontré conduire comme folle j'étais restée dix minutes dides homme grossier fonctionnaire folle comme 1lout monde j'ai dit directeur effaré mon- médiocre peu courtois trou- jis m'ont piquée mort sieur donnerai vée bizarre conseillé d'aller sais plus quelle drogue sou. tas trucs soi voir psychiatre privé j'ai refusé n'ai cessé lutter payer… renvoyée vou j'ai guculé jamais n'enrichi- contre calmanis l'on m'admi- lait scandale j'ai pris train hui rais psychiatrie fait pre- nistrait malgré lorpeur l'engour- paris titubant car j'étais l'élect mier rapport j'ai plus tard dissement l'hébétude droguée mort j'allais très mal écrit sait s'expri- écoulée cette cellule physiquement craignais d'être ame mer connaît langage vil poursuivie enfermée nouveau fra artiste étranger cetle c'est l'hisioire l'illulogicienne arrivée paris j'ai demandé être dernière phrase soulignée trois placée sous surveillance quaire fois sentais plus oui l'tllulogicienne commen- deuxième hôpital hôpital psychia- plus malade cetle maladie devait cée j'ai continué après car trique bien obligée être façon m'exprimer laissaient écrire j'ai subi cen langage corps avant mots comprendrai jamais cela s'est aussi mal passé com d'ailleurs toujours malade être jugée malade mentale première fois sous traitement médical depuis gens connaissaient l'on enlevé thyroïde venus parler long- non critique m'ont sat perpétuellement fatiguée avant lemps après quand j'étais sous l'effet hébergée permis reposer j'étais d'une hyperactivité terrible médicaments c'élait début restée jongtemps ble folie système folie avant folie dehors j'ai rassemblé ver qurune fear personne n'était terminé l'tllulogicienne ernblé tout commencé cet hôpital lescente esthétieme jeu face pres omentlà sentais général entrée soi- jeu accord moi-même gner goitre trou- bnyi vée lan énorme sall pourquoi écrivez-vous l'écriture sais sorte force man see peme estelle remède exutoire pèse menace l'in mourants jai peur hor- folie définitif j'ai peur crever rible fai conduire étrange jou seule l'hôpital ment 1poissé dius rompre dir qeux stades personne n'en sache rien écriture ord venez besoin repos note abord prends sonne vienne jamais peu trouver chambre j'ai malle papier chez tout monde sans doute malles pleines text tranquille toute textes puis seule. faut repr prendre notes tri bilan conduite petite élaguer taper cela fait 1er s'il fallait faire l'ait six mois chiatrie diriez-vous tnis pdt tara autres iles renne
6,7,l'histoire lée deux tal pri lélrocs mois nce midi ninutes trucs yolle train j'étais rès mal d'être ouveal tré jsychiaque hate dirais dossier psychiatrique mien loul cas suit toute voire vie devenant plus plus volumineux rien faire réhabilitation permise condamné sortant prison payé dette psychiatrie jamais payé quant psychiatres dits révolutionnaires parlent beaucoup changement comprennent qu'un internement c'est vie finie s'en sori jamais moins d'une certaine façon jamais quand désaccord autres lutte céder finit toujours céder alors entre accord entourage l'est plus soi-même puis force céder perd toujours peu plus l'hôpital confortable nourri logé blanchi finalement reste vie dès qu'un malade trouve planqué belle clinique moquette télévision jouit confort complaisance genre clinique m'angoisse plus salle commune pleine cafards ld'on qu'une idée fuir voudriez tout mêine l'on revienne asiles sordides dis d'asiles tout sordide n'en loin hôpitaux frappée humiliée bafouée trompée brûlée l'électricité radioactivée hommes occupés netioyer carreaux réalité servaient frapper malades récalcitrants qu'entendez-vous exactement antipsychiatres c'est définition car connais mal nouvelle psychiatrie contre-psychiatre celui abandonne malade s'attacher idée deveniravenir n'arrivera jamais oublie l'être humain petite chance vie psychiatres traditionnels ceux-là jouent papas confidentis créent lien dangereux immoral trompeur entre malades payés comme machines écouter-débiter angoisses après suivant prostituent psychiatrie c'est bordel paroles continuez voir psychiatres ctp poser sct perte enr piste nette oui j'en vois deux trois semaine malade folie intoxiquée j'ai essayé m'en sortir tout repris ma- lédiction fascination out reprendra lendemain jour j'ai terminé l'illulogicienne entrée l'hôpital être opérée force conditions atroces enlevé thyroïde criais pouvez en- ceinte dit dé- lire délire n'ont vouj'ai toujours peur d'être enfermée nouveau croire n'ont lenu aucun compte parole malade c'était peut-être question vie mort j'avais choisi mourir choix regardait pouvait m'imposer vie sacrifier l'enfant trois quatre mois plus tard j'allais plus plus mal traitement suivais incompatible déroulement normal grossesse j'ai avorter légalement d'autre issue solution sais vie coupée cause cela c'est moment j'ai écrit malcastrée entre deux allers retours hôpitaux depuis sept ans vivez folie a-t-il périodes noires e.s non moments très heureux vie vivre homme pcrier l'enfant c'était lorsque j'écrivais loméchuse j'étais soignée hôpital elisabeth femme médecin contraire deux premiers livres j'ai écrit celui-ci troisième personne choisissant volontairement d'être folle voulais imaginer vivre temps folie loméchuse vie confondues elisabeth réunies paie der folie monologuant comme deux démentes malade folle médecine médecin folle maladie avezvous écrit oui c'est cela elisabeth sais s'est reprise reprise tenté faire interner définitivement paraît qu'elle peur peur très douce promène sans armes propos trouve loméchuse différent nouveau vois plus haine revendications cris violence folie douce folie triste oui c'esi vrai pouvez être sûr ton-là aussi reprochera j'ai écrit livre sans haine sans idée vengeance pourtant demande d'elisabeth encore fois tenté m'interner n'ai jamais voulu retoucher livre après surtout haine ess psychiatrie psychiatres joué peur prétendu qu'il plainte déposée contre n'ai rien fait j'ai décidé céder refuser chantage médical deur justice blanche refuser donner corps c'était épuisant lutter ainsi elisabeth voulait voir m'expliquer harcelait chaque jour tous gens cet hôpital travaillait jâchaient j'étais proie c'était effrayant univers kafkaïen maintenant êtes-vous ess l'un psychiatres finalement cédé acceptant laisser liberté d'assumer responsabilité actes devient fou peur c'était trop tard j'ai l'impression rue d'être suivie j'ai toujours peur d'être enfermée ... j'en stade maladie menlale sans jeu sans moindre humour m'amuser folie alors allez-vous soumettre système psychiatrique ess n'abandonne fatiguée savez après sept ans psychiatrie s'en sort plus prisonnier psychiatres n'ont aucun respect l'individu petit coin vie broyé système psychia- trie puis folie
7,8,reprochera toujours j'ai vécu dix ans artiste étranger jusqu'au moment folie arrangé aussi jusqu demander préfecture police l'on m'interne comme aïrgument trois livres sous bras n'ai plus d'amour plus d'enfant plus libido plus vie psychiatrie détruite reste folie choisis l'âme ... pensez-vous auires malades mentaux renconirés ess fous appelez-les fous chaque fois j'ai soignée centre psychiatrique fait effort faire preuve d'humour folie être dynamique rapports autres fous dois dire qu'ils m'ont bien déçue générosité élan beaucoup mesquinerie prennent peu rop facilement génies maintenant seule passion peur guette peur redoute j'attends attendez quoi manifeste folie l'ai dit crevée n'ai plus rien d'autre plus courage remettre machine écrire comment pourriez-vous définir jolie saurais définir mot ranger catégorie m'intéresse ilulogicienne loméchuse descente élé continuelle d'une névrose banale psychose peutêtre obsession… psychiatre parlais comme enfant m'exprimais difficilement donc extériorisée souffrance physique l'origine folie maladie psychosomatique cause mentale manifestant physiquement fin malcastrée wous suicidez ... e.s lorsque j'étais l'hôpital j'ai fille jeter sous train c'était l'une deux solutions rain mourir vraiment médicaments appeler secouts parution malcas rée j'étais très mal malades contre-psychiatres soi-disant ré- volutionnaires m'ont insultée retournée l'hôpital désespérée jai élé piquée d'autres psychiatres cause livre plus s'en sortir réellement couchée voie ferrée crc hote iiadtnnrt anal alsppiees niveau avoir deux chances mourir train voiture train voi ensemble possible vivre castrée puis relevée j'ai annoncé partout mort j'étais morte dedans ceux croyaient morte vraiment manqué d'humour lorsqu m'ont vue sans doute génes d'avoir fait réflexions genre cette pauvre emma vaut mieux morte malheureuse m'ont plus accep- passage psychiatrie détruite reste folie tée emma santos morte vivante j'ai hurlé car j'étais morte ous morte l'homme j'aimais tant l'homme hasard responsable sept années psychiatrie puisque c'est conseil j'ai voir premier psychiatre irès seule folie suicide tentation n'est facile mourir suicide tout temps jusqu plus croire mort peut-être mourrai hasard prenant médicament trop moins ... dernière folie déménager balade d'un appartement l'autre entre sainte-anne cimetière montparnasse égale distance entre folie mort courtoisie folie c'est n'avoir jamais choisir entre meurtre suicide donc rien bien noble reste rire l'hu- mour j'aime rire chez pssy- chiatre c'est bien seule chose ... parfois l'ironie mots lrop lourds portier mois choses mort riez livres ess quelquefois beaucoup beaucoup rate nome livres lrace quelques nes peine visibles loméchuse connaissez-vous film family life qu'en avez-vous pensé l'ai aimé folle fait mal sortie larmes j'ai détesté salle plus satisfaite dérangée mille était-elle coupable tout public sentait moins monde responsable concerné n'ai aimé non plus per sonnage antipsychiatre cette belle clinique fous luxe grossier envers mère l'accusant tout c'est facile toujours incriminer famille jugement est-il valable cas avez-vous rien reprocher propre famille e.s fait erreurs comme tout monde j'ai vécu maladie après famille dehors famille fait qu'ils pouvaient n'est facile comprends pardonne j'accepte n'insulte mère d'une folle suffit culpabiliser famille remet tout question toute société bien rien papa maman êtres humains leurs problèmes également famille peut-être commis aussi erreurs existe tant nœuds rencontres vie tant d'influences l'on décortique tout défait tous nœuds plus rien tient plus vie peux imposer folie famille amis n'en plus peux imposer monde entier remises question continuelles apocalypse société bien trop éprise confort moral matériel écouter fous simplement autre l'être ramolli manque d'indignation d'on dénoue liens d'une vie reste plus rien santé maladie folie rien rien propos recueillis isaure saint-pierre ourire lriste personnage savoir davantage santos l'illulogicienne paris 1971 malcastrée paris maspero loméchuse paris margeres selring 1974 flammarion
8,9,raison chaleur débats récents liberté contraception l'avortement peine atténuée qu'un nouveau thème brülant porté devant l'opinion publique l'euthanasie faut-il charité provoquer mort malades incurables lorsqu'ils souffrent trop question surgit notons-le temps l'abolition peine mort matière judiciaire demandée nombre croissant gens sensibilité humaine instable hier société poussait sans hésitation bien-portants vers champs bataille cours d'exécution protégeait vie dès conception parfois prix sacrifice celle mère s'acharnait reculer l'instant dernier souffle quels l'âge l'état santé l'individu aujourd'hui l'honneur mourir combat n'est plus guère revendiqué l'échafaud lève cœur reste toujours savoir s'il faut garder vie aider mourir malades état coma prolongé agonisants handicapés mentaux physiques graves etc professeur jacques monod lauréat prix nobel signé juin quarante autres personnalités réputation mondiale appel faveur l'euthanasie livre temps penser professeur georges mathé s'élève contre death control car meurtre contagieux l'eglise réaffirmé véhémence respect inconditionnel vie déjà certains soldats montrent plus nuancés comme jésuite américain richard mccormick estime qu'on devrait laisser mourir tous ceux dont sait qu'ils posséderont jamais potentiel communication suffisant entretenir relations humaines n'est hasard débat l'euthanasie enchaîne débat contraception fécondité contre l'instinct mortalité toujours étroitement liées l'histoire l'humanité prenant charge vie ambitionne aussitôt prendre charge mort attitude secrète ordonne deux démarches volonté diriger l'existence premier dernier instant ainsi s'explique qu'au moment l'histoire réapparaisse thème suicide longtemps condamné l'eglise l'etat comme crime majeur l'écrivain henry montherlant professeur antoine lacassagne psychologue jacob moreno donnent volontairement mort décision considérée beaucoup comme acte positif couronnant vies réussies n'en apparaissent mieux réussies suède prafesseur hedonius propose créer instituts candidats pourraient suicider proprement signe d'une civilisation comptables suicidé gaz pouvant effet provoquer dégâts autour acte n'admet plus vie livrée poussées l'instinct abandonnée librement lois nature faut régler selon données raison morale remarque philippe ariès histoire populations françaises cette attitude n'est née brusquement l'historien mentalités traque remontant passé pendant siècles entorses sentiment universel qu'il fallait laisser faire nature apparues comme aberrantes médecine elle-même longtemps plus cherché adoucir maux abolir intervenue abord souffrance avant d'intervenir maladie c'est parallèlement forces vie forces mort devenues dociles volonté l'homme aussi n'est-ce hasard taux mortallté varié comme taux natalité n'est nister ennemeser mere demeurer vendent ren are présentation jacques mousseau l'économie n'est science n'est droit expliquent phénomène principal moteur changements intervenus mentalités précipités peut-être l'économie science droit aujourd'hui substitution d'une civilisation raison civilisation l'instinct s'accentue pénétrant temps techniques vie techniques mort aussi doit-on s'attendre débat l'euthanasie qu'une flambées l'été c'est thème essentiel vient surgir conscience contemporaine refoulé escamoté plus vraisemblable contraire question centrale ramifiera infinité questions posant choix difficiles douloureux chacun at-il droit choisir mort comment mesure souffrance d'un être quand désir mourir cesse-t-il d'être lâche devenir digne société a-t-elle droit décider mort place d'un être perdu facultés décision peut décider quand malade peut-il être déclaré incurable alors science médicale progresse chaque jour faut-il simplement laisser mourir euthanasie passive faut-il aussi aider mourir euthanasie active quand commence finit charité quand masque-t-elle préoccupations moins nobles telles diminuer charges sécurité sociale rentabiliser lits d'hôpital libérer appareils patients curables soucis d'économie rentabilité d'efficacité d'une civilisation appelle constamment raison raisonnable jacques mousseau paris stock 1974 paris seuil 1971 philippe ariès cit tartes pen fenremet
9,10,ire 271 lltia
