,page,text
0,1,n'67 dsychoioicre berkeley =2a clr \en atre nate rer boss cre pen méee roue mens ford adayr nenritite atete lee
1,2,asc êèe dre sir 2esre cls axe sete sië selle laviee analyses complaisance ent tariren inst siindigner réagir hesanspaucine rire lons disques pin cinéma hebdomadaire radio ision erama télév eee frs
2,3,nité lausan si6kcgs sociale biblio —°théque comprendre savoir agir monde d'aujourd'hu psyenoiegie octobre 1974 forum lecteurs écrivent comédiens pourquoi vêtement centres recherche laboratoire psychologie berkeley quoi faire rêver chercheurs français jean chaguiboff parle nouvelle criminologie marcel turbiaux entretien ernest dichter l'inventeur enquêtes motivation jacques mousseau ———————— enfance adolescence jeux logiques amusent tout-petits mathématiques modernes dès maternelle gérard guillerault andré michelet psychologie clinique l'expérience xii° première tentative psychiatrique secteur odile yvernault bref états-unis bref france l'inconscient technique thérapeutique rend l'individu responsable comportements albert ellis albert ellis l'inventeur psychologie rationnelle émotive gary gregg psychologie avancée recherche d'uri geller nouveau phénomène passionne parapsychologues andrew weil psychologie expérimentale lengage mémoire faculté hautement créatrice james jenkins librairie choisir d'être humain dubos voyage ixtlan castaneda l'identité l'éducateur spécialisé fustier autres parutions who who psychologie prochain numéro vente novembre 1974 rer ant leua abonner edite centre d'etude promotion lecture voyez page tente amor rain areas ——2fara 0-72 seat vote loberqgiet lier slr
3,4,creress psycnolojiques etablissement privé fondé 1953 régi loi 12-7-71 professeurs spécialisés psychologie générale psychanalyse psychologie l'inconscient caractérologle morpho-psychologie graphologie d'orientation sélection professionnelles préparation profession graphologue cours oraux sessions formation conférences paris cours pär correspondance inscriptions toute l'année frais comptabilisables dépenses formation permanente documentation gratuite p.-s. gaillat villa saint-pierre 94220-charenton tél 368.72.01 analyses sélections professeurs diplomes langues usage professionnel tous ceux étudié langue anglais allemand italien espagnol quel âge niveau d'instruction intérêt compléter qualification formation linguis- tique usage professionnel sanctionnée diplômes diplômes chambres com- merce étrangères compléments indis- pensables accéder nombreux emplois bilingues monde affaires brevet technicien supérieur tra- ducteur commercial attestant for- mation spécialiste traduction l'interprétation diplômes l'université cam- bridge anglais carrières informa- tion édition tourisme hôtellerie etc examens peuvent préparer cadre formation profession- nelle continue toute france sheque année ingénieurs cadres direct claux étudiants représentants comp- tables techniciens etc sauront tirer profit cette opportunité améliorer compétence documentation gratuite 1342 diplômes préparation débou- chés offerts demande langues affaires enseignement privé distance rue collange 92303 paris-levallois tél 270.81.88 eurs commer- eotun lecteurs écrivent comédiens suite parution article michel gauquelin comédiens reçu plusieurs lettres celle jacques courbet paru particulière ment intéressante parce qu'elle révélatrice l'évolution .de conception l'acteur depuis quelques armées michel gauquelin parle beaucoup article monstres sacrés générations précédés parmi lesquels figurent noms devons d'admirer oublie citer jean vilar gérard philipe ainsi dasté danet planchon etc. contribué recréer théâtre l'ont réinstallé province n'était plus attendu plus connu depuis paris artistes passaient plus clair temps regarder nombril cela encouragés imités autorités tutelle public tous hommes directeurs animateurs comédiens font théâtre provincial d'aujourd'hui définitivement rompu tradition légende peut-être parce qu'ils poussés moyens financiers techniques ridi- cules qu'on mettait qu'on met disposition plus sûrement parce qu'ils poussés idéal utopie conviction profonde comédien join d'in- carner homme social excellence incarne contraire bien sûr reste l'on appelle complexe spectaculaire complexe exhibitionniste comédien besoin jouer pousse jouer ailleurs surtout ailleurs disent mauvaises langues scène besoin jouer cet instinct ludique n'existe-t-il chez tous hom- fait d'être comptable jour- naliste secrétaire manœuvre nimpliquetil l'acceptation per- sornente jnconditionnelle rôle doit jouer comptable journaliste secrétaire ma- cette pers ec- tive comédien joue dès lors l'incarnation chacun téconnaîtrait omédien celui lui-même permanence résolu piexe ludique vivant non plus comme tout-le- monde lue peur tout-le-mon t'il etait terait milieu théâf sortes légendes rejeter hors sociales établies tontières être peur lui-même tait peut l'homme peur d'être mar rejeté tgi voilà pourquoi certains cultivent cette légende paroxisme fait nérables marginaux c'est-à-dire modèles idoles tout comprend possibilités fert d'identification reste cette immense rité comédiens vont jus aobout refusent transgres règle jeu qu'ils donnée fois toutes ceux l'on croise tous jours reconnaître parce théâtre c'est métier métier comme autres souvent plus dur autres nécessite plus huit heures travail jour quoi qu'on pense quoi quon dise métier nécessite qu'on vive jusqu heure avancée nuit parce qu'on joue depuis tôt matin parce l'on reconstruire théâtre écoles usines n'existe plus ... alors ambitieux dépensier orgueïlleux vaniteux cet intellectuel timide angoissé vingt ans prix conser vatoire province poche tirer sonnettes s'entendre dire secrétaires écrira jamais rien lire qu'on promis ambitieux dépensier orgueilleux vaniteux celui pré fère vie solitaire fait mal vie famille pourrait courir faillite parce huit mois douze contracte ladie honteuse siècle alors tiraillé besoin parader montrer beaucoup parler celui dont seule ambition devenir rester lui-même montrant chaque soi public qu'il existe autre chose hommes sociaux prison métro-boulot-dodo prêt guider chemin salisation propres rêves vous-mêmes omédiens poussée êtres intégrés vedettes jacques courbet besançon remercie jacques courte lettre ferai lie marques seconde dis article con gniré 11s tinction faite lot comédien acteur exhibition
4,5,lectuel consere tirer ire rira qu'on ensier pré mal urrait huit jcoup pition host niers tion décris dernier type d'illustres exenles cinq colonnes vois lens d'injurieux comédien comme l'ai souligné udique comédien avoir arme don sympathie résence gaîté l'esprit l'indépend sème l'ambition dance jjude porte relevé statistique 000 traits caractère biographies 500 comédiens biographies rédigées spécialistes théâtre n'est donc opinion j'ai exprimée celle homme l'art opinion partagée plus souvent acteurs euxmémes pourquoi vêtement l'article pierre moreau pourquoi naturisme paru numéro valu recevoir longue analyse yvan lignier voici principaux passages article considérez nudisme comme forme contestation situez marge société cela vrai derniers temps certains jeunes pratiquer sorte nudisme sauvage consiste arriver voiture généralement couples rue place particulièrement fréquentée faire pied quelques centaines mètres plus simple appareil puis fuir précipitamment véhicule dès l'approche d'un représentant l'ordre public d'autres jeunes moins jeunes deux sexes baïignent plages tenue celle venus monde frappe résultats statistiques pourcentage natu- ristes rapport catégories sociales c'est chez ouvriers nombre naturistes plus bas pense questions financières écono- miques expliquent chiffres existe camps naturistes peu partout france tarif celui camps lextiles pense phénomène slfuerait plutôt plan intel- lectuel j'ai remarqué chez petit nombre d'ouvriers fréquen- tent régulièrement jes camps natu- ristes niveau connaissance plus élevé moyenne cette classe sociale res nudité n'est qu'un comme autres c'est oppenheimer dit plus facile briser afome qu'un tabou tabou brise peut dissoudre connaissance tout dit phéno- mène naturiste d'ailleurs peut-on tout dire simple article alors qu'un volumineux bouquin suf- firait point vue purement psycho- logique question pose pour- quoi vêtir lorsque conditions climatiques l'environnement ren- dent vêtement non seulement inu- tile nuisible moment grandes chaleurs l'été certains prétendent nudité chez naturistes habitude tiendrait conditionnement prétends c'est contraire c'est habit conditionne- ment pavlovien pose question quelles circonstances général homme femme peuvent-ils trouver nus face face fait dévêtir excitant conditionnel premier degré agir comme clochette chien pavlov déclencher mise condition psy- chique physiologique permet couple humain d'accomplir l'acte génital ceux contestent nudisme cas particulier camps naturistes peut dire qu'ils conditionnés malaise devant nudité provient d'un conflit l'expression deux sentiments c'est conflit trouble personnes entrent première fois camp naturiste structuré deux désirs d'expression contradictoires celle déclenche conditionnement j'exprime ainsi désir génital celle provoque désir déconditionnement voudrais être veux autre interprète nudité comme l'expression implicite part d'un désir génital pudeur cette forme délicate l'hypocrisie oblige garder vêtements lorsque conditions climatiques l'environnement rendent plus nuisibles qu'utiles comportement infantile nourrisson trois mois s'agit bien d'un conditionnement provoqué régression relation objectale organes sexuels autres conditionnement acquis l'éducation puissant désir d'intégration groupe social oblige imiter comportement autres c'est puissant désir d'intégration groupe social aussi base sensibilité émotionnelle fameux qu'en dirat-on sert tremplin contrainte obliger accepter tous conditionnements.… yvan lignier alès quérison dela tint parle beaucoup d'une récente découverte permettrait guérir radicalement timi- dité d'après g.p borg timidité maladie morale maladie physique prenez dit-il timide empèchez-le trem- bler rougir perdre attitude naturelle prendre attitude ridicule montrez-lui comment peut éviter manifestations phy- siques émotion l'aurez guéri mal jamals plus troublera passer examen déclarer amour jeune fille s'il doit jour parler public seul mérite d'avoir découvert moyen permet chacun instantanément sans effort maîtriser réflexes semble bien effet g.p borg trouvé remède définitif timidité j'ai révélé méthode plusieurs amis l'un d'eux avocat étalt point renoncer carrière tantil sentait bouleversé chaque fois qu'il devait prendre parole prêtre malgré vaste intelligence pouvait décider monter chaire tous deux stupéfaits résultats qu'ils obtinrent étudiant échoué plusieurs fois l'oral baccalauréat étonna professeurs dernière session passant examen brio étourdissant employé osait peine re- garder directeur sentit soudain l'audace soumettre idée intéressante vit doubler appointements représentant hésltait cinq bonnes minutes devant porte clients avant d'entrer devenu ven- deur plein cran irrésistible sans doute désirez-vous acquérir aussi celle maîtrise vous-même cette audace bon alol précieuses gagner dures batailles vie peux court article exposer délail méthode borg j'ai décidé auteur diffuser auprès lecteurs priez donc g.p borg envoyer intéressant ouvrage documentaire lois éternelles succès l'adressera gratuitement voici adresse g.p borg chez aubanel place saint-pierre avignon methode borg bon gratuit découper recopier adresser g.p.borg chez aubanel place st-pierre 84028 avignon recevoir sans engage- mentde partet sous pli fermé lois éternelles succès sus mens eee see sense san sonne ttes
5,6,leo vol ———— rat acte ang ras daariun ord sea tell are corre nee ide rer cite ens live rtene notth eos list oui nhatat are cre toits diu ana esa sar annees lun araeut erp moe rene aps dure nent enr conne ûren tds
6,7,californie berkeley mai journée comme autres circu- lation automobiles interdite allées campus foule d'étudiants presse blue-jeans cheveux longs tuniques indiennes malgré soleil brise venue nord maintient température fraîcheur agréable groupe manifestants porteurs pancaries prolestent frappant mains contre fermeture département criminologie peu ébranlé conviction contestataires noir costume blanc immaculé crie veut l'entendre dieu solution tous problèmes plus loin jeune homme prépare original souvenir berkeley faisant fil mer tenue streaker personne remarque surprise voir passer ici quelqu'un combplet-veston cravate divers mouvements politiques confessionnels dressent leurs stands soleil union étudiants iraniens comité soutien tel candidat élections locales association cité utopique libre méditation transcendantale elc comparer berkeley campus français comme celui nanterre c'est mettre parallèle ville venise l'oasis nouakchott loin l'architecture révolutionnaire propre engendrer révolution paris battue vents arbres font figure vestiges cataclysme atomique jardin ombragé californie traversé ruisseau l'on trouve éparpillés côte côte grands pavillons étudie langues biologie droit psychologie l'effervescence campus reflet mouvements pensée divers remuent jeunesse pays modèle luimême dont réalité définit également termes opposés misère richesse violence amour capitalisme démocratie progrès décadence est-il surprenant sociélé dont rouages liés mécanisalion pétrole l'électricité télévision voiture distributeurs automatiques ressurgissent tendances liées spiritualité comme facteur trop oublié progrès industriel l'être humain cherchait s'épanouir marge spé- culation abstraite l'oppression mécanismes l'économie peut l'atteindre qu'on traverse difficilement nanterre sans qu'une affiche tract rappelle l'existence marxisme lutte classes passe berkeley sans entendre parler dieu d'âme nirvâna réincarnation sans doute comme partout ailleurs majorité étudiants n'ont-ils conscience torturée genre problèmes toujours est-il qu'un besoin latent trouve exprimé ainsi propagandisties idéalistes par-delà l'idéologie officielle bien-être matériel linge plus blanc voiture plus puissante élimination odeurs corporelles forte proportion d'étudiants psychologie conditions l'essor département psychologie surprend outre fait discipline ouvre plan professionnel multiplicité débouchés systèmes européens loin d'avoir actif psychologie restée ici juxe terme science humaine attire grand nombre d'étudiants avides travailler cette matière première plus répandue quoique plus indéfinissable béton traduit dimension cet intérêt bâtiment entièrement réservé psychologie plus importants campus quatre étages hauteur deux trois sous-sol comprend propre bibliothèque l'on peut trouver tout qu'on vient chercher diverses sections partagent ailes couloirs laboratoires salles cours près mille deux cents étudiants graduates undergraduates premier deuxième cycles inscrits chiffre énorme l'on songe ainsi comptés étudiants franchi cap deux premières années cours desquelles ïils suivent cursus commun plusieurs disciplines campus berkeley comprenant trente mille étudiants travaillant domaines plus variés langues orientales physique moléculaire proportion psychologues donc très grande rapport l'ensemble bâliment baptisé nom
7,8,tolman enscigna pee plus grande partic ioe watsoni chef file risme tolman ics plus disciple conscient doc trine bchavioriste chercha ment assouplir rigidité sché stimulus-réponse tail èle tout modèle introduisant comportement r'ocuisen données supplémentaires variables intermédiaires liées passé sujet besoins etc donc sans dire l'expérimentation l'investigation scientifique l'honneur îles différents laboratoires qu'abritent murs quand bien s'agit psychologie clinique chercheurs s'astreignent rigueur trente-sept chercheurs psychologie lors première visite liste tous chercheurs fournie comportait lrente-sepl noms c'était trop puisse rencontrer lous propos n'élait d'enregistrer rapport détaillé l'activité scientifique section psycho campus but plus touristique démarche inspirée plus curiosité l'érudition simple coup d'œil n'importe quel répertoire d'articles parus l'année met évidence prééminence américaine science psychologique u.s.a. u.s.a. usa c'est l'estampille presque toute publication s'il fallait autrefois lire l'allemand professer connaissances sciences humaines aucune recherche sérieuse peut être aujourd hui menée bien sans compréhension l'anglais sans vouloir déprécier iravaux menés chercheurs d'autres pays comment oublier l'importance grands psychologie tels piaget jouvet contraint reconnaître creusets plus grande partie psycholo- gie fait aujourd'hui labo- raloires etats-unis présent lieu voulais voir comment quoi travaillaient chercheurs américains plus avisé sembla-t-il visiler laboratoire psycho- physiologie effet c'est outre fait jes progrès parais- sent île parmi plus langibles appareillages plus sophisti qués plus rémarquables psychologie qu'on autre por lement psychisme ncs donnée implique prarehe scientifique lation fau pétimen- qu'une loi soil dose mise évidence phénomen observé puisse répéler sum présence conditions l'introspection exclue fait connaîl méthodes ies l'étude composantes ployées biais comportement biais objectivement observable mesurable psychologues utilisent facteurs liés situalion sujet comportement psychophysiologues s'intéressent l'autre maillon chaîne données physiologie permel d'analyser activités physicochimiques cellules nerveuses glandes etc l'être humain prête généralement mal investigations trop poussées tel domaine recours l'animal plus souvent nécessaire l'extension homme résullals observés peut être prise considération cause l'identité niveau primaire structures base existence système nerveux central d'organes sens d'éléments effecteurs piaget dit qu'un jour course avant psychologie physiologie rencontreront effectueront jonction c'est source d'enseignement d'étonnement réflexion voir lumière travaux psychophysiologues combien mêlent étroitement bases physiques moral côté tient toujours peu sacré l'inconscient collectif assimile souvent psychologue mage prêtre l'investigation tech- nique plus poussée peut aventurer biais données sensibles tirer résultats découverte l'esprit l'on choi- sit route science train roule rails solidement amar- rés sol monde matière c'est ainsi berkeley l'appa- rente contradiction entre mythe âme réalité recher- che scientifique incarne manière lrappante transition brutale allées campus ensoleillé relents club vacan prêchent adeptes reli- 8ions plus moins orthodoxes quête d'un supplément d'âme ac- cumulation austère laboraloires fils cadrans boutons ordinateurs machines comptamystères l'organisme dut cependant progresser connaissance sans plier aus- solides contingences aercheur recherche parmi d'autres l'eus chance d'être professeur lravaux l'in lon alluence ainement omi l'anatomie accueilli fonctionnement cerveau meilleure justification psychophysiologique pourra trouver résultats d'un at-on recherche telle c'est expression cour dire quelqu'un qu'il lêle mot fail image biere dssc n'ait jamais prouvé tête petite moins intelligen autres professeur rose weig deux autres cherche edward bennett biochimiste spé liste processus chimiques veau cerveau maria diamonq analomiste onl pris problème l'envers multiplicité compor tements offerts richesse l'environnement a-t-elle influence quelle ante professeur rosenzweig célèbre travaux cerveau l'organe encéphalique outre groupe témoin rats élevés conditions habituelles laboratoire deux autres groupes étudiés rats l'un groupes vivre pendant dix semaines cages convenablement abreuvés nourris seuls sans objets manipuler environnement pauvre donc autres restèrent laps temps cage remplie contraire d'objets sortes jouets rats planchettes perchoirs etc environnement riche petits animaux ensuite sacrifiés l'autel science l'étude cerveau permit constater notamment accroissement poids cortex lorsqu'il s'agissail john broadus watson 1878-1958 etude corrélations entre actions comportements organes corps on- exemple psychophysiologue examine ment action voir répercule pupille l'œil structure œil long nerfs acheminent berccplion visuclle vers cerveau vider centre cervical lui-même cett étude ment fait surtout anima laboratoire autant qu'ils permette conclusions passe physlots humaine
8,9,environnement liée modification ere ctures cellulaires aines ence plus grande quantité pré ubstances chimiques rtaines fonctions rapport detivilé cellules nerveuses trouverait-on l'on pouvail passe cerveau jevés cités enfants den grises monotones terhe jeux rares inexistants d'autres quar- araison d'enfan l'espace vital moins uté plus varié vérifier l'égalité oÿen race réellement chose monde mieux partagée ainsi j'observation noire société permet ter ésultats obtenus rats peuvent éire appliqués bloc sans restriction l'être humain n'empéche qu'on reste sonseur voir démontrée fois plus manière aussi magistrale l'importance l'environnement jusqu'au sein struciures physiologiques sempiternelle problématique dualité corps l'âme s'il fort douteux réponse définitive jamais trouvée s'éclaire moins psychophysiologie d'un jour nouveau rats bro moyens travail considérables après avoir rencontré professeur rosenzweig pratique langue française chose courante puisqu'il l'occasion venir récemment travailler paris professeur soulairac fit visiter salles recherche c'est s'enfonçant profondeurs déploiement techniques s'étale yeux visiteurs effet sections psychophysiologie psychologie animale irouvent logées soussol trouve véritable ménagerie quatre employés s'occupent singes pigeons rats poissons l'impression peu celle d'une clinique hommes blouse blanche chariots passent chargés nourriture monte-charge dont portes ou- vrent milieu horizontalement couloirs dont issues donnent jes chambres salles entreposées cages combien d'animaux sont-ils élevés m'est dificile préciser piéces j'ai visitées singes pigeons moins nombre d'une dizaine pièce su- jels d'expérience animaux autant iraités comme matériel inerte chercheurs conquisaient visite piquant nom l'origine quelques-uns entre jes prenajent caressaicent faisaient jouer ainsi qu'on agit mascoite favorite préoccupations d'ordre scientifique n'annihilent respect l'être vivant contraire peut conduire expérience portant l'étude telle zone telles cellules cortex encéphalique garder tendresse singe saute afin manger cacahuètes voire main visite salles d'expériences proprement dites plus austère grande atiraction laboratoire sans doute pièce dont l'insonorisation totale anechoic chamber utilisée expériences l'audition comment chat localise-t-il espace exemple construite manière laisser filtrer aucun l'extérieur toutes jes parois compris sol plafond recouvertes matériau isolant disposé volumes iriangulaires vingt irente centimètres profondeur côte côte neuf haut-parleurs disposés arc-de-cercle constituent seul ameublement quelques instants passés lieu porte refermée font tout suite comprendre silence véritable chose plus insupportable quel puisse être calme nature toujours brise murmure tient lieu fond sonore séjour prolongé silence 1otaj donnerait n'importe nostalgie kklaxons marteaux pneumatiques scènes ménage voisins dessous peut ainsi étudier quels centres nerveux excités situé trente degrés gauche sans éternuement d'une femme ménage passe remette toute recherche question est-il utile préciser l'édification cetie chambre coûté plus dix ans bagatelle cent mille dollars peu près 550000 quoi faire rêver plus d'un directeur recherche ... autres pièces jaboratoire plus ordinaires murs gris lumière blanche frappe c'est l'accumulation d'appareils mesure pourvus mille boutons mille manettes d'où partent fils tous sens plusieurs endroits aménagée table d'opération c'est implaniées microélectrodes l'intérieur cerveau animaux opérateurs disposent d'une carte 'encéphale permet poser très fines aiguilles niveau centre nerveux dont veulent mesurer l'activité telle manipulation n'esi naturellement possible qu'avec appareillage très haute précision permet diriger électrode très petite fraction millimètre près l'animal demeure ainsi après l'opération élecirodes implantées n'altère rien comportement cause aucune souffrance matière grise iotalement insensible chez l'horome faudrait contenter d'apposer électrodes île crâne peul donner lieu contrôle aussi sensible activité régions précises encéphale cas ceriaines maladies telle maladie parkinson procède l'être humain ordinateur étudier rythmes cérébraux pigeon opérations type consistent détruire portion donnée cerveau l'intermédiaire microélectrodes l'ordinateur règne maître donné d'assister préparation d'une expérience menée pigeon ainsi opéré l'animal installé table face sorte d'écran télévision lequel présentés stimuli généralement figures simples traits couleurs primaires prises correspondant électrodes implantées l'oiseau porte crâne reliées appareïl enregistrer l'activité électrique ainsi transmise autrefois long ruban papier déroulait sous stylet inscripteur vibrait rythme impulsions électrophysiologiques fallait calculer fréquences complant nombre cycles seconde tracé ainsi obtenu aujourd'hui progrès l'informatique permettent d'enregistrer données directement bande magnétique sûreté précision beaucoup plus grandes
9,10,sans oublier considérable économie temps patience système ainsi rigoureuse ment déterminé rigoureusement éterminée réponse l'animal niveau encéphalique rigoureusement déterminée mesure réponse directement traitée stockée sans intermédiaire humain donc faïllible watson aurait-il âme serait-elle paradis contentement grand telles possibilités pigeon n'est rien plus qu'une machine interposée entre deux séries machines petit ordinateur ici chose presque banale dont l'usage permet simplifier procédures professeur riley spécialiste l'apprentissage expérimentales éliminant tâtonnements bévues im- perfection raisonnement humain traîne exemple peut être donné travaux conduits sous direction professeur riley problème posé porte l'apprentis- sage figures simples pigeons durée processus réponse l'animal placé boîte pourvue trois voyants lumineux celui centre s'allume d'abord figure mmodèle suivi deux autres l'un d'eux conforme modèle proposé l'animal ainsi entraîné reconnaître lignes verticales horizontales couleurs rouge bleue cet apprentissage s'effectue manière suivante voyant central apparaissent trois lignes ver- ticales pendant cinq secondes puis deux autres s'éclairent l'un figure l'autre trois lignes horizontales coup bec stimulus correct entraîne volatile récompense alimen- aire tombe ouverture éclairée ménagée cet effet type conditionnement développé skinner appelé conditionne- ment opérant parce c'est l'acte l'animal détermine enforcement. pan deuxième partie l'expérience modèle constitué lignes présentées fond coloré réponse correcte devant porter uniquement l'un éléments ligne couleur exemple présente lignes horizontales fond rouge puis choix donné entre couleur bleue couleur rouge bien entre verticalité horizontalité cas pigeon répond moins rapidement cas d'un modèle univoque cela prouve bien deux stimuli présentés difficulté identique ceux première professeur morgan comment singe voit-il partie circuit plus long emprunté niveau système ner- veux central schéma n'es rigoureusement entre première deuxième partie l'expérience recherche ponctuelle l'apprentissage voit qu'il passe quelque chose plus chez pigeon qu'une simple superposition d'un schéma autre l'hésitation pigeon mise évidence bien méca- nismes sous-tendent explicités peut cependant déduire plus long délai réponse qu'il s'agit mise jeu d'un plus grand nombre connexions nerveuses programme introduit l'or- dinateur permet ici régler l'appa- rition durée stimuli libérer nourriture cas réponse correcte d'enregistrer réponses bande imprimante imagine-ton expérimentateur chronomètre sélectionnant stimuli surveillant durée notant réponse temps latence érsant graines cas réponse correcte tout six secondes deux cent vingl- quatre fois suite p.d.p.8 nom peiit ordinateur rationaliser passation pcm réaliser temps cour rence d'autres cxpé demanderait beaucoup d'efors atelier concevoir malérie boîtes skinner labyrinthes spéciales expérimentation veut précise requiert souvent appareillages compliqués niosité chercheur conçoil n'est toujours facile curer l'un ment visite fabriqués apparei lisés expériences s'agit d'une grande salle rassen blées machines semblables celles qu'on peut voir usine deux ouvriers spécialisés fabriquent accessoires chercheurs ainsi cst-il d'une installation utilisée russel valois her man morgan l'étude vision chez singe dispositif constitué d'une boîte quatre orifices travers desquels l'animal peut observer stimuli plages colorées repères distance elc bouton situé sous chacun d'entre détermine non l'arrivée jus raisin tube placé bouche l'animal contrôle temps présentation luminosité maintes varia bles compris l'appareillage possibilité donnée relier tout ordinateur tout ensemble excepté bien sûr appareils mesure précision inclus fabriqué l'atelier lieu laboratoire présence chercheur utilise l'installation l'ensemble moyens mobilisés souligne bien l'importance l'enjeu psychologie science fondamentale mérite rien négligé épanouisse ment progrès connaissance fonction développement techniques l'on peut croire l'étude l'esprit irréductible moyens aussi pragmaliques peut bien voir rap port entre motivation américain fait raser chercher salut tiques secte hare krishne rat blanc saute obstac dresse devant psychologue mps loin science pourra comprén® écanismes quelque chose mécan peu aussi complexes c'est peu ébres dan s'éclaireront téné longés lesquelles jean chaguibof
