,page,text
0,1,enere 100 euquot lionunjouralininter beavous ctirier publie
1,2,l————— eur tour rarina smet l'accent rintelligence l'est passé dit-elle temps dactylographe-robot devait rien comprendre qu'elle écrivait karina jeune fille pense sait décider toute seule s'il doute texte chef signe yeux fermés lettres qu'elle prépare base quelques rapides indications karina veut machine écrire électrique capable s'occu- per d'elle-même c'est-à-dire s'auto-contrôler mouvements travail bloquer momentanément l'erreur d'écriture répondant non commande erronée accidentelle exemple deux touches enfoncées simultané- ment secrétaire moderne dit karina temps perdre penser machine doit penser écrit c'est machine penser elle-même l'editor machine karina deee fou mgr
2,3,psy comprendre savoir agir noiogie novembre 1974 univenbité lausanté foaue 0e5 sc1rhgu3 4ociales bibliothèque forum quiz mois lecteurs écrivent déjà intéressée bébés/un défaut d'équilibre/les rêves obsessionnels/l'autisme/le test village savez-vous parler public quel genre d'orateur êtes-vous yves furet sara peltant extraordinaire victor tausk disciple aimé détesté freud gérard guillerault bref l'inconscient nce adolescence entretien parle société entretien expérimentale librairie parle who who france comment déroule psychanalyse jungienne praticien raconte l'histoire d'une patiente edward whitmont piaget s'est-il trompé chercheurs critiquent expériences peter bryant stanley milgram expériences tortu carol tavris monument télévision l'ont rendu célèbre quatre films bruno bettelheim catherine dreyfus journal intime pourquoi tient-on monique lepage alain girard sociologue psychanalyse institutionnalisé journal intime effets psychologiques physiologiques couleurs l'urbaniste comme décorateur doivent tenir compte ellen marx l'histoire psychanalytique alain besancon corps enseigné daniel denis autres parutions suggestologie psychologie prochain numéro paraîtra jeudi décembre 1974 c——
3,4,découvrez diverses vcholiogiquess graphocgie grâce cours l'école psycho-craphologie etablissement privé fondé 1953 régi loi 12-7-71 professeurs spécialisés psychologie générale psychanalyse psychologie l'inconscient caractérologie morpho-psychologie graphologie d'orientation sélection professionnelles préparation profession graphologue cours oraux sessions formation conférences paris cours correspondance inscriptions toute l'année frais comptabilisables dépenses formation permanente documentation gratuite p.-s. gaillat villa saint-pierre 94220-charenton tél 368.72.01 analyses sélections professeurs publicité savoir exprimer moyen plus sûr celui celle désire faire écouter im- poser loutes circonstances vie sociale privée milieux profes- sionnels affaires amitiés relations rap- ports familiaux affectifs être écouté déprime paralyse dessert personnalité arrive certainement dire aprés entretien ainsi j'aurai aborder conversation faire comprendre pourtant conversation science règles clés acquiert analysant chez grâce cours technique conversation jes différents problèmes soulevés rapports humains sagnerez quelques mois force persuasion suroren- dra vous-même cours corres- pondance traite manière pratique détaillée tous aspects conversation psychologie conversation technique mains sac etais pets intérêt sympathie estime animer diriger conversation langage affaires corres- pondance privée affaires etc demain saurez utiliser toutes ole disposerez personne meille parler facilement emficacement documentation ralui uile simple demande d.473 rue collange paris-levallois eotun lecteurs écrivent fille obsédée bébés fille six ans demi comme toutes petites filles âge commence préoccuper façon dont enfants viennent monde paraît très excessif chez c'est cet intéressement qu'elle bébés très jeune enfant laissait jamais passer landau rue sans courir après apercevoir bébé c'est sujet conversation passionnant voilà peut-être maintenant demande pourquoi n'est encore mariée souhaiterait faire rapidement avoir bébés veux deux enfants dit-elle choisi nom enfants demande bien m'en rappeler peur l'oublier elle-même joue beaucoup poupée s'intéresse général seule poupée journée l'élue très dorlotée moment aime faire bébé ravie l'occasion présente boire biberon imiter langage bébés c'est enfant très entourée adorée siens aimée toutes personnes l'appro- cheni pensez-vous attitudes fruit d'un amour maternel précoce excessif mme neuilly-plaisance s'agissant d'un enfant unique sans doute s'engage chemin psychanalyse désir rompre solitude laguelle souhaite exposer propres enfants puisqu'elle veut deux cette voie plus sécurisante d'avoir petit frère pelite sœur l'obligerait partager l'affection parents surtout mère ceite affection paraît pré- cieuse conserver refuse grandir joue ainsi comporter bébé n'est impossible d'ailleurs maman souhaite offre fille nie celle-ci enfants exuloire dour yé- soudre cette ambivalence per cette protection calion rnère. difficile connaitre l'enfant déméle motifs exacts l'intérés celte fillette porte essi car peuvent être très diver. s'entrernêler façon complexe notion qu'il utile qu'est-ce l'autisme mme carrières/seine préciser notion d'autisme élé introduit psychologie psychiatre suisse eugène bleuler zurich i911 désigner attitude mentale particulière schizophré nie lerme sous lequel rassemblé tous états mentaux pathologiques caractérisés dissociation disjonction progressive élé ments constitutifs personnalité comme corollaire rupture contact l'ambiance inadap- lation progressive milieu malade ainsi coupé réel polarise toute vie mentale vie intérieure désirs goisses sensibilité imagination seules réali tés monde extérieur apparaissant dénué possibilité d'échanges sien propre voire simple apparence côté cette forme pathologi d'autisme existe simples tendances comme carl gus tav jung appelé l'introversion consiste donner valeurs subjectives plus d'importance qu'aux valeurs objectives c'est aussi contmente lacroze dictionnaire langue philosophique foulquié conduite favorite êtres faibles hantés sentiment infériorité trot vent réconfort fictions l'imagination l'attitude nor male l'enfant prédileclion rêve jeu. repli soi aussi fait adultes souffrent pouvoi extérioriser sensibilité expressions adaptées constamment monde rieur retirent cette tour sainte-beuve disait d'ivoire vingt ans parvient toujours conduire bicyclette bicyclette sorties champêtres lrésont bien agréables après dine pidante villes fille toute l'année fort promenades sava conduire bicyclette vingt commença plus tout ans faire apprentis ide passa très bien tres uire ment devint capable coï
4,5,ation élé ralité ada réel aliha éali ilité oire logiples gusqui ubaux jo1e ile enouns orecce bicyclette hélas s'est révélée l'impossibilité lancer sérieusement promenade normale subitement paralysée peur tombant allant trop vile renoncer n'ose plus passer permis conduire voiture craignant rencontrer mêmes difficultés mme paris psychanalyse fidèles telle peur trouverait racines refoulement sensations érogènes d'équilibre d'espace pratique bicyclette ravivé chez fille émotions rapport sexualité infantile suscité insupportable angoisse effet sensations d'équilibre jouent rôle important aussi bien chez adultes chez enfants comme sensations genre général composantes essentielles l'expésience d'angoisse rapports entre l'excitation sexuelle l'anxiété plus étroits sensations érogènes d'équilibre j'ai rêves obsessionnels rêves plus moins fréquents tout moins ceux dont souvient contre lorsqu'un rêve revient trop souvent devient plus troublant m'arrive depuis années rêver entourée serpents entrelacés parviens d'ailleurs toujours éviter réalité n'ai jamais éié piquée l'un d'entre horreur encore accentuée cauchemars reproduisent intervalles plusieurs années quelquefois disparaissent jamais totalement sais quei mobile attribuer iève mme vve cellettes l'objet rêve répétition parvenir maîtrise d'une siluation tensions l'on parvient contrôler produit fini rêve manifeste subi déformation dont sigmund freud analysé mécanismes c'est l'interprétation qu'il convient dégager sens profond rêve contenu latent censure c'est-à-dire fonction lend interdire désirs inconscients formations dérivent l'accès conscience rend compte différents mécahismes cette déformation c'est raisons lesquelles rêves utilisent symboles ceux-ci échappant censure analyste freudien serpent symbole phallique cela signifierait conscience plus acceptable servir pénis tretaten veuve depuis mombreuses années rêve gnification désir sexuel assouvissez ainsi symboliquement cependant censure très forte puisque parvenez d'ailleurs loujours éviler fameux ser- pents j'ajouterai symboles anonymes qu'une in- lerprétation n'est valable qu'au terme d'une analyse approfondie test village est-il utilisable profane numéro psychologle article marie-josé houateau test village m'avait fait former projet d'uti- liser test auprès élèves philosophie semble qu'il peul être excellent exemple montrer élèves l'application pratique d'un test apprendre découvrir mieux connaître enfin grand avantage côté ludique l'article claude lhote paru numéro août 1974 vient réveiller idée voudrais abord obtenir renseignements suivants pourrais-je acheter test pensez-vous puisse l'utiliser classe moi-même apprentie est-il facile dépouiller peut-on tirer diagnostic rapide s'il assez élémentaire madame agrégée philosophie test village diffusé editions dufour rue péan paris l'intérêt portez test tout fait justifié car s'agit d'un instrument très riche enseignements personnalité profonde range premiers rangs parmi méthodes projectives toutefois comme tous tests cette catégorie demande sérieuses connaissances psychanalyse longue pratique auprès praticiens compétents plus réfère symbolique l'espace complique encore interprélation n'est malheureusement possible d'en tirer comme semblez souhaiter diagnostic rapide superficiel déconseillons non seulement cause complexité interprélation aussi raison matériel indispensable passation relevé village fois construit deux livres celui mireille monod manuel d'application test village delachaux niestlé 1970 celui roger mucchielli jeu monde test village imaginaire p.u.f. 1960 permettront mieux documenter trouverez justifications réserves nea sun verre gestalt jean ambrosi marie-christine beaudoux m.a. ex-internes membres associés energy research group the institute for bio-energetic analysis new york dirigeront ensemble deux groupes d'une semaine destinés professionnels étudiants couvent vico corse durant mois janvier 1975. brochure demande jean ambrosi marie-christine beaudoux 858 eachran montréal canada rue r.-losserand 75014 paris france connaître connaître autres communiquer e.d.1.p praticiens diplômés expérimentés proposent psychologie individuelle psychothérapeutes diplômés d'instituts développement épanouissement personnalité dynamique groupe expression libre analyses groupe renseignements inscriptions cabinet psychologie e.d.i.p rue cardinet 75017 paris téléphone 622.20.40 métro monceau rendez-vous téléphone aide bon découper recopier ci-dessous souhaite rendez-vous d'information trois dates suivantes nom prenom adresse
5,6,ujuighuiuidi den duel dané dane dan jane clecet dont dan dan dont dan tue vue uuuiuu uuuuu uuuu juiu savez-vous parler public yes furei sara peltant yves furet depuis quinze ans apprend autres comédiens poliliciens managers s'exprimer clairement sans timidité efjicacité sara peltant dont lecteurs psychologie connaissent bien signature viennent d'achever c.e.p.l livre paraître début l'année 1975 l'art communiquer parole outre exposés conseils pratiques cel ouvrage comporte tests permetlant chacun faire bilan concerne dons d'oraleur reprenant rubrique quiz passionné lecteurs publions l'un tests mis point yves furet sara pel- lant jouer tous parler public conférence internationale banquet annuel anciens élèves l'école réunion travail quotidienne conférence mon- daine table ronde visite commentée etc chacun doit faire dode bien iger armé€ monde sout comment face comment maine importe connaître corr liorer tout haïte sans l'op savoi prendre avant tout apparaît indispensable commencer très sérieux examen conscience individuel essayez répondre plus sincèrement possible trente-cinq questions suivantes cochant chaque fois réponse laquelle sentez plus accord laquelle quatre affirma- tions êles-vous d'accord être tel orateur géné- ral gaulle sûrement pris leçons s'était entraîné l'éloquence général gaulle élail essentiellement due don l'inspiration général gaulle parlait bien parce quil parfaitement maître l'assurance général gaulle due culture l'édu- cation qu'il rêçue milieu quelle ristique orateur etre situ point vue voire avis caracté- fondamentale d'un bon ation d'imposer d'emporter déle don plaire pursa see ere nnn snnnnnn due det cls non nrinirintes innn crerisists ententint ent nnnnnnan nnnni nnnn 2222 cfe blic distraire l'amuser séduire l'émouvoir posséder parfaitement sujet pouvoir répondre n'importe quelle question avoir tics manies risquent rendre ridicule avis p.-d.g estil éorcément meilleur orateur qu'un vuvrier oui parce qu'il pouvoir faire écouter oui parce s'il arrivé tel poste c'est qu'il sait bien faire toute situation dont celle parler public non c'est plus expansif plus doué deux parle mieux non parce timidité dépend toujours situation sociale sciri our quel professeur choisiriez-vous apprendre mieux parler débaiteur parce qu'il s'imposer devant posants qu'il laisse faire psychologue pét trait mieux conne vous-même surmonter blocages
6,7,universitaire parce qu'il l'habitude transmettre qu'il sait d'apprendre quelque chose autres acteur parce qu'il sait plaire utiliser voix bouger public ————— devant quelle sorte public préférez-vous parler public sollicité intervention parce pense apporter connaissances expérience etc quand égalité entre public n'ai l'air passer examen petit cercle d'amis collègues connais devant lesquels l'aise n'importe quel public agit commençant sentir situer puis parler conséquence considérez-vous essentiel savoir bien parler public non car l'essentiel n'est forme fond oui parce indispensable vraiment réussir vie non parce l'on voit actuellement trop gens laisser prendre baratin oui sinon n'arrive communiquer autres reste enfermé problèmes quel être capable réparties rapides discours inpromptus agressif battant comme boxeur parfaitement maître jamais ému tremblant possédant toutes connaissances possibles sujet donné orateur idéal aimeriez-vous l'occasion d'être filmé télévision magnétoscope cinéma moment parlez public puissiez voir en- suile comment pensez-vous trouveriez lamentable sûr gauche raide bé- gaie temps temps j'ai l'air très mal aise mal tout j'ai déjà préuves assez bon dit vois réaction gens quand parle correct moyen pense étre merveilleux orateur j'essaie dire choses importantes intéressantes sais bien fais fautes noporneuecrne emmener caen eee use nés français çais bloque souvent fond préfère défaut parler trop bien faire belles phrases creuses pourquoi gens pensez-vous qu'il peu parlent bien parce c'est don comme tous dons rencontre chez petit nombre personnes parce relations sociales humaines trop formelles trop rigides empêchent plu- part gens s'exprimer parce qu'au fond plupart sens problèmes qu'ils plus moins inhibés bloqués parce qu'ils sérieux qu'ils vont fond choses qu'ils superficiels cela voit sent quelle place pensez-vous l'expression orale doive avoir programmes actuels formation permanente adultes place très importante n'est peine perfectionner ailleurs métier moment parler communiquer s'exprimer reste muel comme savait rien place raisonnable convient surtout d'apprendre quelques notions techniques faut croire qu'elles peuvent suppléer carences fond certaine place parce peut être moyen d'arriver rétablir certains équilibres faire entendre laisser toujours autres parler faut bien faire attention l'on apprend apprend petite place pense l'on puisse vraiment arriver apprendre bien parler improviser être brillant moins doués ceux bégaient trouvent plus fil urss discours peuvent arriver sûrement plus rendre ridicules quelle méthode paraît préférable préparer inlervention orale arriver être convaincu valez autant n'importe lequel auditeurs exercer seul devant glace magnétophone trop penser être forme physique morale bon moment prendre longtemps l'avance façon être pratiquement maître sujet après exposé rapport oral conférence etc. recueillez l'avis certains auditeurs quel compliment préférez-vous recevoir agressif n'avez peur dire certaines choses savait trac cela s'est aucun moment maîtrise sujet impressionné tout monde l'air d'improviser plus parfait naturel quelle esi avis bonne durée d'intervention orateur gens mettent beaucoup plus temps autres développer exactement mêmes idées très souvent l'abus c'est moment parle ressens tant forme tiens l'auditoire j'ai idées sais cela va. cela dépend sujet auditoire circonstances durée standard cela peut aller quelques minutes plusieurs heures plus court possible maïs certaines limites bien sûr j'essaie toujours abréger corvée pensez-vous d'un orateur accent peut jouer obtenir certains effets moi-même temps temps j'en imite j'aimerais bien imiter certains m'agace c'est certains accents considérés comme bien chics recommandés autres font rire àâu nom quoi j'ai peu honte parce
7,8,qu'il semble qu'il toujours danger d'être ridicule n'est trop prononcé aucune imporlance c'est détail annexe parlant perdez fil idées faites-vous demande public m'excuser plonge textes documents finalement retombe toujours pieds sens très décontenancé j'arrive reprendre personne m'ennuie c'est cauchemar men sors ————— quels gestes faites-vous quand parlez public paralysé j'ai crampes immobile semble fais gestes nécessaires sans excès crois qu'il faut mal animer l'on dit être vivant maintenir l'attention crois qu'il faut ponctuer temps temps bras poing train dire etes-vous capable percevoir ressent pense auditoire auquel adressez sens bien surtout oppositions réticences oui c'est d'ailleurs contact constitue vraiment plaisir parler j'essaie voir s'ils suivent bien afin besoin répéter expliquer viens dire absolument c'est trou noir est-ce cela arrive souvent trouver mots manju det uuutu sud lulu uuu doudou tue juuuuuuiui uote die doduuuuuu juuuduuuuu iuuuuuu jiujuuuuu lulu ess sse sgea quer vocabulaire quand ublic non sauf exceplion puisque sais j'ai dire nai vraiment problème côtélà tout temps connais langue cela mrarrive comme tout monde peut toujours faire gag dire l'on mot bout langue faire appel l'aide l'auditoire trop souvent malheureusement j'ai l'impression c'est plus sérieuse difficulté ————— fois fini parler aimez-vous l'on pose questions oui cela permet manifester esprit répartie principe oui trop souvent malheureusement questions idiotes constituent attaques camouflées oui extrêmement cela met immédiatement contact autres débarrasse trac oui c'est permet voir gens compris assimilé j'ai dit dirait parfois plus tout considérez-vous rop assez d'occasions parler public normalement m'arrange occasions trop assez nombreuses assez j'aime beaucoup parler public peut passer vie assez j'ai l'impression toujours mêmes parlent parce qu'ils savent qu'ils l'habitude autres mis l'écart toujours trop finalement m'en passerais bien etes-vous capable regarder auditeurs sans rien dire volontairement sûrement c'est difficile parce j'ai peu peur d'eux quoi cela sert-il c'est peu cabotinage oui peut obtenir effets extraordinaires ————— avis est-ce qu'une femme peul être aussi bon ora ponts ateur qu'un théorie oui pratique ans structures actuelles cela difficile n'est question c'est question don sexe oui sai dominer trac peut-être certain pense qu'elle man ral d'esprit syn cela l'empêche domaine cas maïs géné thèse réussir ali pensez-vous écrit bien parle bien aucun rapport pense écrit bien réussit expression orale inversement s'il s'agit d'improvisation quand écrit peut réfléchir seul tranquillement quand parle autres c'est problème c'est condition nécessaire tout cas faut bien posséder langue grammaire vocabulaire etc sinon l'air d'un idiot pense bien sûr difficultés supplémentaires parole s'agit toujours s'exprimer langage pen pont pen pen général aimez-vous écouter autres parler j'aime bien écouter sais pourrai ensuite intervenir ouvrir débat c'est rester passif trouve cela voltant cela dépend l'intérêt qu'ils disent m'efforce toujours d'écouter loyalementc trop pense toujours dirais tel moment j'étais place quand j'ai chance d'écouter quelqu'un parle vraiment très bien l'admire énormément beaucoup dis beaucoup chance être place quand lire public texte document article etc con ment prenez-vous
8,9,lis normalement simplementi. comme c'est moins vivant j'essaie d'animer lecture sens assuré c'est quelque chose quoi peux raccrocher fermement j'ai mal saisir phrases ensemble mouvement texte crains ânonner comme mauvais élève —————————— est-il arrivé d'apprendre texte exposé rappori etc. cœur réciter ensuite c'est exploit quelques privilégiés veux jouer c'est exclus absolument sûr j'aurais trou mémoire tout texte certain nombre choses sais cœur sors l'occasion sûr mémoire sang-froid j'aurais trop envie sortir texte d'improviser dire passe tête l'audiovisuel radio télévision redonné beaucoup d'importance parole rapport l'imprimé etes-vous satisfait ceite évolution crois l'imprimé l'écrit conserve primauté c'est quand base culture vraiment car beaucoup bla-bla puis loujours mêmes parlent tout fait parole c'est vie civilisation devenait trop livresque oui sent intimidé devant lous spécialistes beaux parleurs ——— rhétorique c'est-à-dire l'art parler après avoir figuré pendant 2500 ans ies programmes scolaires occidentaux supprimée début siècle pensez-vous qu'il faudrait rétablir sûrement parler c'est comme piano bicyclette l'on l'apprend jeune l'apprend jamais pense cela contribuerail améliorer niveau jeunes grammaire orthographe vocabulaire niveau trouve dangereuse régression crois qu'une telle discipline pourrait profiter qu'aux enfanis appartenant déjà milieu intellectuel favorable semble l'école délourne souvent l'on 4pprend craindrais rhé- torique conduise stéréotyper pétrifier figer parole faisant exposé conférence rapport l'orateur doitil voire avis parler l'éviter pense l'on doit toujours citer quelques anecdotes personnelles cela fait plus vivant faut éviter exhibitionnisme c'est délicat parler soi sait jamais comment gens vont percevoir faut plus possible parler soi auditeurs ainsi devant êlre humain qualités défauts sinon autant mettre robot souvent contraint s'affirmer sinon autres voient entendent pensez-vous français parlent mieux aussi bien moins bien d'autres peuples france ailleurs tout monde égalité chances d'arriver bien parler public style américain vivant spontané bon enfant passe rampe efficace c'est question d'individu non nationalité france tradition classique humaniste ininterrompue l'éloquence dont peu d'autres peuples peuvent flatter res zzz 2222 nnnn rsi rire nnnnnnniene ivavavapata vapai pap apa las pensez-vous faire théâtre amateur puisse aider savoir parler public cela doit pense aider maitriser frac. deux domaines îrés diflérents théâtre appartient activités divertissements éloquence non. oui semble presque entraînement indispensable d'accord convient jouer truquer exprimer idées pensez-vous grâce certains trucs d'expression orale puisse arriver multiplier auditoires trucs quand sent bien auditoire peut s'adapter obtenir résultats extraordinaires s'il voudrais connaître cela rassurerait quand parle oui c'est danger grave dont voyons résultats tous jours pense l'efficacité tous trucs finalement très limitée quelle importance accordez-vous l'apparence physique l'orateur force doit être physique essentiellement morale l'aisance atout très important faut être correct naturel faut plaire physiquement tout cas avoir présence très forte avis peut-on réussir carrière professionnelle sans savoir parler public malheureusement baratineurs réussissent actuellement absolument végéter sans virtuosité recommander maîtrise raisonnable nécessaire sinon carence j'espère oui pensez-vous qu'il techniques différentes discours selon professions libérales industrie administration vente etc mêmes valables tous besoins différents selon secteurs professionnels postes etc cadre d'entreprise exemple doit parler comme avocat plutôt clivage entre niveaux responsabilité qu'entre spécialités professionnelles c'est question d'individu s'agit toujours d'intéresser convaincre etc risque voir résultats
9,10,main cnt are ceux peuvent nul allume tout seul dour annoncer chaque evenement important quand vient produre puis arrête tout seul
