,page,text
0,1,cembre 1974 pnnaissance soi défaillances sexuelles guérison techniques groupe sachez lire visag
1,2,onmalitre auttes publicité fal eail-penser thon luleareorade qriyersitaire 1b.dec.1986 laisrime parmi toutes tentatives fanes por connaître autres comment aire artage entre l'empirisme l'approc jentifique eius souvent l'on recherche informations qualité chercher toutes sortes ouvrages faire appel toutes sortes d'expériences techniques fait n'existait jusqu jour livre rassemble compare différents travaux plus éminents psychologues mette disposition grand public sans succomber danger d'une vulgarisation déformanie approche scientifique ... michel gauquelin psychologue diplômé l'institut psychologie l'université paris auteur nombreux ouvrages psychologie comportement communication conseiller scientifique revue psychologie collection comprendre savoir agir informe principales théories expose différentes méthiodes scientifiques psychologie moderne mises point een mot gus enaino endives lonn tougoerte lénu pont ombmelie fes ever veub pee pes lake afp mêre cette écriture avis trahit-elle quelque chose trop savante trop simplifiante révèle visage première partie l'ouvrage aborde connaissance caractères suivant successivement travaux cohen berger l'observation mouve- ments corps ceux kretschmer sheldon composantes mor- phologiques rapport caractères ceux corman visage per- sonnalité aussi bien entendu ceux freud d'adler jung rapports entre l'inconscient carac- ère voyez-vous cette tache d'encre rtie renseigne lecteur thodes actuellement connaître viqueur permettant mieu personnalité questionnaires tests graphologle seconde part d'autres réponses définissent perconnalité partir trois dimenslons fondamentales selon rheymans senne peut définir huit types caractères travaux complétés ceux berger reposent données biographiques statistiques -qui permettent d'établir questionnaires personnalité visages sont-ils significatifs facteurs cattell s'agit test p.f personnality factor plus utilisés psychologie lecteur découvre comment cattell mis point questionnaire comment fonctionne quant méthode axes caractère hans eysenck c'est voies employées résoudre certains cas difficiles diagnostiquer comme ceux enfants problèmes chœmt libliotienque wtrise -mporler deur livres fols répondriez-vous cette circonstance epreuves psychotechniques tests projectifs d'autres chapitres cet ouvrage consacrés tests ma- nuels intellectuels auxquels peuvent être soumis enfants l'école adultes vie active tests taches d'encre rorschach expliqués utilisation manière analyser manière l'auteur fait découvrir test images murray test mots associés phrases compléter test frustratl village rosenzwelg test vaut gra phologie ailleurs inportant chapitre consacré grep ologle informe méthodes utllisées valeur leurs limites explications claires connaître autres bibliothèque erne cette collect d'etude promotion obtenu collaboratio universitaires chercheu avant création disposait d'aucun ouvra d'expliquer pren tout long d'une vie active cest sposition destiné praticiens étudiants dont lecture lul souvent malaisée bien ouvrages vulgarisation sans intérêt parce trop simples mariage qu'est-ce mots évoquent tous 256 pages typographie fonctionnelle créée meilleurs designers internationaux connaître autres ouvrage dès maintenant doit prendre place chaque bibliothèque connaître autres livre simple clair cependant complet conçu être profit tous étudiant professeur père mère famille patron cadre employé bref tous ceux intérêt mieux comprendre ceux lesquels vivent lesquels travaillent nombreux exemples graphiques tests illustrent connaître autres font outil indispensable d'information connaissance facilement consultable non-professionnel psychologie celivretseratenvoyé renfcommunieaulon gratuite gepll bon ecrr psychologie gite letmoyentsimple gore fees
2,3,iarrraratalues rrrprerrl lee dsychoiogie comprendre savoir agir monde d'aujourd'hui décembre 1974 forum lecteurs écrivent test l'arbre/le rythme alpha/bettelheim francais/les mathématiques modernes maternelle quiz mois sachez lire visage d'après travaux psychomorphologues jean gaussin bref france époque jolis petits groupes qu'est-ce fait courir beau-masque orchidée catherine dreyfus entretien roland cahen introduit l'œuvre jung france jacques mousseau bref etats-unis couple thérapie sexuelle six principales défaillances sexuelles traitement helen singer kaplan parle père james bond schizophrène dora at-elle victime obsessions freud remise cause d'une analyse célèbre salvatore maddi bref allemagne chercheur idées john dewey pionnier pédagogie active gérard guillerault abeilles fourmis termites individus sociétés super-organisme jacques sugny margaret mahler librairie psychose infantile sociologie alain touraine freud l'éducation antonello armando autres parutions prochain numéro mis vente janvier 1975 l'inconscient psychologie animale 00000000000000000000000 00000000000000000000000 agonnen dep egture apael
3,4,libre accès enseignement sérieux offert dès cet automne institut suisse premier pouvez franchir sans engagement prenant contact secrétariat institut psychologie barrelet avenue provence 1000 lausanne tél 021 255561 suisse céllataires otieunion temoin celle d'un être libre science temps disposant comme l'entend d'immenses possibilités choix wivers instantanément élargi libre d'aimer rue auprès ion international veuillez m'envoyer gratuitement sans aucun engagement sous pli neutre cachelé documentation l'amour aventure moderne eee cre rer eee eee eee tete soso eee eee eee ion france lazare 76009 paris tale 744 alle cours berrlat 3800 tél 41.19.61. grenoble fotun lecteurs écrivent polémique l'arbre sous titre sapin défendu chroniqueur journal monde article récent 1r0nise fait qu'un psychologue madrilène pratiquant test l'arbre demandé dessiner sapin a-t-il raison cela j.t paris-10° fait psychologue 111qdrilène rien voir consigne effet test l'arbre demandé sujet dessiner arbre n'importe lequel sapin parce dessin souvent proposé dès jardin d'enfants sous forme dessin livres d'images sans compter stéréotype noël conséquence pointes aiguilles sapin peuvent avoir valeur symbolique ess querelle propos rythme alpha rebondit cher monsieur professeur gastaut éminent électroencéphalographiste s'est lancé depuis quelques mois campagne dénigrement systématique l'apprentissage rythme alpha après déclaration fracassante l'inauguration viiie congrès international d'électroencéphalographie soulevé vives controverses continué déclarations télévisées articles polémiques psychologie venant reprendre extrait l'article précédemment publié monde sous titre charlatans rythme alpha j'aimerais soumettre quelques réflexions docteur gastaut n'est sans connaître méfaits stress réactions d'alarme défense provoquent réaction hyperacti- vation système nerveux sympathi- plupart maladies dites psychosomatiques angoisses tensions trouvent ori- gine peut donc penser peaction maîtrise d'un état one niaue permettraient équilibre lorer santé gastaut tous état professeur élats entraînent situation hypométab compagnent modificati encéphalographiques not production accrue d'ond comment s'étonner chercheurs penchés phénomène essayé produire volonté voire gner parvenus procédés alphagènes div drogues appareils biofeedback méthodes plus traditionnelles ditation relaxation bien sûr l'engouement excessif technique biofeedback entraîné exploitation commer- ciale abusive etats-unis cela veut-il dire autant gnement rythme alpha soi entreprise malhonnête teurs charlatans c'est professeur gastaut insinue pourtant rejoignant lot rationalistes misonéistes condamnaient exemple transfusion sanguine 1925 devons opposer toutes forces poursuite criminelle recherches transfusion sanguine transfuser sang d'un autre veines patient provoque court terme mort moins folie était-il écrit journal médecine chirurgie liste longue découvertes violemment combattues plus grands représentants science l'ordre établi comprend qu'un électroencéphalographisie s'inquiète voir emblême rythme alpha sic échapper frayer cette science nouvelle psychologie qu'il justifie cette réaction émotionnelle traitant rythme alpha banalité déconcertante déplorant envisage d'atteindre quelques heures niveaux conscience l'enseignement traditionnel oriental réserve années pratique recherche langeant parapsychologie split tisme accès perception extra sensorielle communiquer absenis n'est-ce aller peu loin professeur gastaut semble 18n0rer ralentissement métabolisme cérébral caractérisé rythme alpha permet d'induire facilement niveau conscience cherché déconnexion partielle néo-cortex rend extrêmement sel sible suggestion zones conscientes personnalité peuvent être alors influencées contrôlées d'où l'idée control fait fureur eta unis europe connaissot® techniques uniquement apr quées médecine sous sophrologie quinze cents olique sac ons électro amment alpha ots ensejt ppromo
4,5,cins pratiquent france sont-ils charlatans j'ai suivi équipe psychologues séminaires mind control perfectionné rationalisé techniques mentales auxquelles psychologie consacré page couverture septembre sous nom dynamique mentale aurait-il mieux valu comme d'habitude attendre cinq dix ans bénéficier l'avance considérable prennent etats-unis domaine développement personnel certes rythme alpha doit servir l'exploitation d'un public crédule désarmé rythme alpha n'explique rien c'est moyen non fin faire fin soi certainement exploitation commerciale abusive sous-entendre qu'il sert rien qu'il facilite l'exploration couches conscience facultés mentales inconnues jusqu'alors mauvaise foi l'ignorance peut déplorer américains cherchent toujours faire dollars qu'ils pris cible appareil cher docteur gastaut l'électroencéphalographe c'est propre monde moderne plus plus difficile conserver domaine savoir soi plus temps latin protégeait ridicule thomas diafoirus société élitaire meurt prépare nouvelles élites ceux cherchent perfectionner développer progresser victimes crédules désarmés qu'ils psychologues cadres médecins chercheurs étudiants mères famille souvent venus après avoir résultat dynamique mentale leurs proches sentent qu'ils peuvent compter deviennent amis joie recevoir chaque jour témoignages bénéfices qu'ils retirent l'apprentissage maitrise rythmes lents cerveau plus particulièrement l'alpha veuillez agréer cher monsieur l'assurance sentiments distingués christian godefroy responsable séminaire alpha paris quels livres bettelheim publiés français quatre films télévision consacré bruno bettelheim m'ont fasciné particulier deuxième lequel pouvait suivre évolution marcia d'enfant autistique devenue adolescente sociable l'intelligence bettelheim frappé plus encore peulêtre bonté amour êtres humains jamais fait douter pouvoir aider sauver plus déchus apparemment d'entre voudrais redécouvrir maintenant cette pensée lecture pouvez-vous m'indiquer quels ouvrages bruno bettelheim parus français mme y.h clamart film télévision bien rempli office s'il donne spectateurs désir d'apprendre davantage sujet abordé plusieurs ouvrages bettelheim publiés pays commencer celui retrace l'histoire marcia forteresse vide gallimard 1970 pouvez procurer également enfants rêve 1971 cœur conscient 1972 dialogue mères 1973 tous trois parus éditions robert laffont blessures symboliques gallimard 1971 l'amour suffit fleurus 1972 conseillons aussi livre récent geneviève jurgensen folie autres roberr laffour 1973 mathématiques modernes l'école maternelle monsieur écris sujet article jeux logiques amusent tout-petits d'accord tout contenu l'article moins lorsque affirmez mouvement rénovation fait depuis peu moins endroits percée remarquée maternelles voire jardins enfants institutrice d'école maternelle signale j'enseigne mathématiques modernes depuis novembre 1966 cela non grande ville petits villages alors l'expérience officielle portant l'enseignement mathématiques commencé septembre 1967 classes sixième région parisienne marseille bordeaux poitiers lyon s'est poursuivi 1968-69 classes cinquième correspondantes d'autres classes sixième fils droit première lecon mathématiques lorsqu'il fréquenté cours élémentaire deuxième année septembre 1971 fait malernelles plutôt l'avant-garde mme institutrice d'école maternelle drulingen bruno bettelem tortaresse viole l'autisme infantile missance soi diessures symboliques c'intearnrétation c'initetion connaissance pinaonsaent galeinard
5,6,lulu lun uiuiu rrésrrrrerelt cpe nnnn eee dent but cds celles nnnnnnnn sci serssssrsssnnsen nnnnnnnnnnnnnnnnnnnnnnn dot due den don dan pan nnnnnnnnnnnnnnnnnnnnnnn dune cum dot dre pen pen dane dent sun brut due sum uiut sachez lire visage jean gaussin faire l'effort peut être livre boucle chaque détail ypo ouvert personnalité importance 1ypo ogie tout inscril marque peut étudier visage d'hippoct jours expériences vécues coinime sans regarder tout abord osopologie d'érmiane manière dont répondu structure générale bâti aujourd fui psychologie possibilités futures réalité osseux cadre dispersion propose d'apprendre lire moment chaque visage plus moins grande visage selon lravaux s'impose manière soil différents organes sens dut morphopsychologue louis façon globale yeux narines bouche oreilles corman vérifier particularité regard nombreux travaux connaissances connaissances necessaires déchiffrer visage faut cadre étroit organes sens dispersés ouverts avant loul étudier cadre général ouvertures sensorielles cadre étroit fig signe faibles réserves vitales alors qu'un bâti osseux large rectangulaire fig rend compte fortes ressources d'énergie foncière ainsi résistance physique c'est organes sens l'être humain entre communicalion monde extérieur plus organes dispersés largement ouverts visage fig plus l'échange milieu environnant grand alors qu'il limite considérablement lorsque mêmes organes groupés fer- més somme bâti représente murs l'édifice solidité celui-ci organes sens portes fenêtres permettent va-et-vient communications etude traits caractéristiques d'ensemble etude personnalité mimiques expressions visage lire psychologie juge aussi mine livre doit paraître sujet éditions retz septembre 1975 sous litre douze tests connaître autres cet ouvrage dirigé françoise gauquelin élé rédigé partie concerne visage jean gaussin age dote dec grands échanges monde extérieur faibles ressources vitales fatigabilité surmenage cadre étroit organes sens groupés fermés faibles ressources d'énergie faibles échanges équilibre cadre large organes sens dispersés grands ouverts grandes dépenses d'énergie recevoir donner réserves grandes d'où équilibre cadre large organes sens groupés fermés forte énergie foncière pell d'échanges l'extérieur tension psychologique nervellse
6,7,l'observation doit continuer typologie tient compile l'incessante dialectique qu'opère l'être humain face l'épreuve imposée milieu extérieur corman forme vivante résultat deux forces antagonistes coulée forces vitales intérieures action d'arrêt milieu extérieur exerce cette cou- lée ainsi chaque être humain réagit d'une façon propre instances environnement exemple tempérament vigoureux naissance particulièrement heureux permet celui doté prendre plus facilement vie bon côté s'épanouir joie confiance morphologie développera selon lignes dilaté sthénique dilaté visage rond court large traits vigoureux organes sens bien répartis teint coloré enthousiaste vanileux besoin s'extérioriser s'exprimer pralique pragmatique manque pouvoir d'abstraction exclure tâches sédentaires monotortes répétilives l'inverse tempérament craintif soutenant énergie faible laissera personnalité vulnérable pressions éléments extérieurs individu doté sentira comme écrasé morphologie étroite aplatie surtout zone d'action menton mâchoire cou d'où nom rétracté base visage émacié bâti étroit long bouche petite yeux rapprochés commissures lèvres tombantes veux enfoncés long cou faible énergie vitale craint intempéries action directe terrain compense bonne intellectualité c'est administratif comptable inventeur tempérament fort prudent sans être inquiet peut provoquer rétraction dite front comme pression événements venait s'appliquer force visage front devient vertical yeux s'enfoncent leurs orbites bouche rentrée rétracté front visage généralement large front vertical yeux enfoncés leurs orbites bouche pincée rentrée menton souvent saillant prudent réfléchi peu rapide lance l'aventure avance mesure ajuste précise contrôle autre type rétracté subit pression non face maïs latéralement front s'incline considérablement menton reste saïllant projection vers l'avant l'étage nasal joues aplaties s'agit rétracté latéral rétracté latéral visage étroit front très incliné menton souvent saïllant nez projeté vers l'avant traits énergiques rappelant peu ceux rétracté bossué homme d'action tenté résultat immédiat impatient fonceur voyageur entreprenant décide entraîne anime bouscule obstacles certains types tempérament très forts bilieux hippocrate exemple l'énergie nécessaire heurter force vigueur événements extérieurs subissent coups répondent chaque fois l'attaque bosses creux d'où l'appellation rétracté bossué rétracté bossué visage rectangulaire solide bâti osseux bouche mince rectiligne serrée mâchoire large menton saillant nez fort yeux enfoncés leurs orbites bien protégés sourcils épais front rectangulaire c'est lutteur caractère difficile chef impérieux homme d'action réalisation réfléchi hardi enfin certains types assez mous vigueur moyenne besoin particulier d'échanges milieu extérieur organes sens dispersés ouverts cadre visage appelés corman réagissants c'est-à-dire êtres prompts subir influences monde extérieur réagir inslantanément façon affective réagissant visage souvent rond adouci organes sens très largement ouverts très grande sensibilité affective émotionnelle échange spontané incontrôlé milieu extérieur d'où hyperexcitation doué relations humaines fragile vulnérable fatigable
7,8,ron hse lee asie las nas dessins lequel personnages plus spontanément sociable affronte plus aisément risque décisions quel plus actif domaines pratiques également plus mesuré réfléchi avant agir —————— ressentir diffi- appris cultés aussi combattre résister ————— besoin d'un collaborateur tâche importante choisiriez-vous plus équitable plus juste tout très ferme prudent jan plus passionné tout risquant d'être plus partial dessins plus mobile plus impressionnable délaissera plus l'effort physique l'imagination ———— moins sociable moins résislant eee l'ensemble dessins proposés ci-dessous pense bon contact direct vaut mieux qu'une longue lettre lequel six hommes préfère action parole nti nrc one donne préférence l'idée l'action préfère prudence hâte équilibre mieux pensée réflexion pratique réalisation savoir davantage corman nouveau manuel morphopsychologie paris stock 1966 diagnostic l'intelligence morphopsychologie paris p.u.f. 1970 gaussin visage paris c.e.pl 1974 gauquelin paris c.e.p.l. connaître autres 1970 réponses st'n ttri w:8 s'hmi+in udiu1o7 180joyo sdoud iojv gqa £'4a j0110su2s soinjioano s21p0
8,9,dfeto00 trois psychanalystes seulement tokyo romancier japonais yukio mishima donna mort 1970 très étonné lorsqu'il apprit première fois combien d'américains intellectuels artistes allaient chez psychanalystes serait-il plus normal écrivit-il psychanalystes contraire consultent arlistes japon seu lement créateurs évitent divan tout monde fait tokyo population onze millions d'individus trois psychanalystes exerçant clientèle privée ville new york neuf millions d'habitants près mille malades gravement atteints reçoivent hôpitaux psychiatriques japonais traitements similaires ceux qu'offrent hôpitaux etats-unis trois mille japonais psychiatres diplômés prescrivent habituellement tranquillisants malades manifestent comportement névrolique obsessionnel plutôt creuser jusqu racine trouble pourquoi rejet presque total psychanalyse après tout œuvres freud traduites japonais vers 1930 après seconde guerre mondiale nombreux étudiants médecine médecins japonais allèrent etatsunis étudier psychanalyse psychanalyste tokyo soichi hakozaki propose réponse raison rechercher amolli japonais produit culture clan orientée vers groupe méconnaît l'individualisme essentiel succès techniques analytiques voir reporage jean chaguiboff mentalité japonaise psychologie l'individualisme peut être hausse cependant présent fiïmes japonaises renoncent plus plus paternalisme traditionnel tensions l'angoisse certainement augmentation chez japonais lieu d'organiser soins psychiatriques leurs employés leurs ouvriers entreprises mises subventionner voyages groupes vers insignia rtt temples zen sessions méditation mishima prévoyait cela dix ans ecrivant mode pensée japonais concluait c'est bouddhisme lequel l'existence phénomène tran- sitoire fondamentalement acces- soire maintient plupart japonais l'écart divans psychanalystes formation activités conseil familial depuis création quatorze ans a.f.c.c.c association française centres consultation conjugale axé action .la formation conseillers conjugaux c'est titre qu'elle reconnue d'utilité publique agréée comme organisme formation ministère santé référant expérience domaine a.f.c.c.c met place cycle formation niveau conforme dispositions d'application loi neuwirth arrêté novembre 1972 circulaire juin 1973 cette formation comporte apports théoriques anatomie physiologie sexuelle contraceplion avortement stérililé psychologie psychopathologie sociologie démographie economie droit social familial notions théoriques données sous forme d'exposés suivis discussions travaux groupe travail personnel stages pratiques üne formation continue tous renseignements adresser l'association française centres consultation conjugale a.f.c.c.c rue lacaze 75014 paris lél 336.20.40 336.09.08. cycles également lieu province marseille renseignements mme tivoli avenue coubpin 13013 marseille tél 66.27.15 sud-ouest renseignements mme derili rue lamartine 64320 bizanos tél 27.89.85 lyon renseignements mme dupré-latour chemin sau- 69130 ecuilly tél groupes carte ouarzazate maroc club méditerranée s'est fait spécialité pressentir devancer aspirations homme moderne décidé d'offrir adhérents village ouarzazale installé confins désert sud marocain possibilité s'initier participer techniques groupes décembre avril menu carte comprendra aussi bien techniques importées adoptées l'orient zen yoga méditation transcendantale techniques pris naissance développées californie avant pénétrer europe bioénergie gestalt therapy rythmes alpha relaxation colette provost responsable l'expérience convaincu principaux animaleurs groupes actuellement actifs paris rendre pendant deux semaines ouarzazate ainsi gilbert rapaille michèle barzach feront-ils l'initiation créalivité claude allais bioénergie philippe lecomie jean-claude gimet christian godefroy séminaires alpha van lysbeth eva ruchpaul babakar kahn dirigeront semaines consacrées yoga programme comportera séances travaux appliqués aussi causeries suivies débats l'orientaliste jean herbert philosophe arnold keyserling père maurice maubpillier auteur livre récent yoga l'homme occiden édition seuil gérard blitz zen docteur durix soufisme place responsable permanent quatre mois expérimentaux jean-claude sée l'un fon- dateurs c.en.tr.e voir psy- chclogie but organisaleurs cetie expérience répondre initiation différentes techniques existantes besoin pressant manifestent contemporains découvrir ap- préfondir certaine dimension in- térieure l'être humain vegarde 83.45.06
9,10,dure rer pme sine dour ceux quine peuvent multi allume tout seul dour annoncer chaque evenement important quand vient produire puis arrete tout seul vente inci istri chez tous principaux distributeurs itt océanic frs 350 tt.c prix moyen nanmeranernmerarn
