,page,text
0,1,janmer 1076 rcd fal
1,2,librairie proven asnieres librairie nouvelle 10. rue maurice-bokanowski evreux maison presse 11. grenoble librairie arthaud grande-rue mans maison presse lemerre passage commerce lille furet nord'place g.-de-gaulle lyon librairie flammarion centre commérciäl régionäl part-dieu rue docteur-bouchut montpellier sauramps rue saint-guilhem nice librairie actual'rue masséna librairié jean-jaurès jean-jaurès sorbonne rue hôtel-des-postes nogent-sur-marne librairie berthet 105 grande-rue charles-de-gaulle orleans librairie jeanne arc rue jeanne-d'arc paris larousse sorbonne rue ecoles 75005 paris librairie prélat rue petit-pont 75006 paris rue chartraine chez libraires aix-en-provence cours mirabeau jes sous direcil collections gauquelin aines choses sous directi m'expl publicite vaïjda.et boysson uvin plique ... sous direz assiste vielfaure terre théorie savoir magie com athématique gérardin 45f munication theosophie eret c.e shannon remarque arques astr parj.b morin ologiques presses.universitaires.de bd'saint michel apostolat éditions rue duifour. 75006 paris gibert jeune. iblace saint-michel fédérationnätionale france 5005 paris 75006iparts diachätdes cadres 136. rueidérénnes 7s0061/paris josephigibert rue-deiliecéle-de médécine 75006 paris libräirieili iltécoute bdiduimôntpamasse 75006 païis libräirie déilalproëure rue mézières 75006 paris le'bonimärché paris rue.dèe sèvres 75322 paris cédex chäriot.d'or 14'bis avenue bosquet 75007 paris 229 saint-germain 75007 paris librairie philippe saint honoré 134 saint-honoré 75008 paris librairie carrefour 16. montmartre 75009 paris printemps haussman 75009 paris weil'60 rue caumartin 75009 paris gibert jeune 'bd saint-denis 75010 paris ruo dunkerque 75010 paris vaelre 75012 paris ft. daumesni 75012 paris rue dela pompe 75116 paris èche parmi cri lesquels librairie paris 7.9 place clichy 75017 paris librairie ternes 75017 paris atoutilivre 141 gambetta 75020 paris 'perpignan librairie augustins 35ibis rue augustins reims librairie michaud true caüran saint-pierre saint-laurent var päñôrama livré cap 3000 saint mande atout livre bis rue maréchäl-leclerc strasbourg librairie 13/20 .rue pucelles toulouse libräirieiprivat rue arts tours bruxelles librairie castaigne rue fossé-aux-loups liege librairie halbart rue carmes louvain librairie cabay fochplein n°6 suisse geneve librairie l'université georg'et cie rue coratterle librairie payot v-publ
2,3,psyanologie fur comprendre savoir agir monde d'aujourd'hui psy lee 1976 -'n° forum lecteurs écrivent quiz mois prenez mesure équilibre vie privée sociale michelet françoise gauquelin connaissance autres visages parlent partout langage enquête comparative neuf cultures paul ekman bref france sociologie suicide acte lourd sens non'une maladie claude sigismond parle vocations professionnelles chez l'enfant étude statistique pierre debray-ritzen hervé dubois psychologie expérimentale quand sens confondent musique peut être rose avoir goût miel lawrence marks parle congrès îles rythmes biologiques vienne françoise gauquelin tests quotient intellectuel adulte débat sans cesse obscurci jear louis sellier bref grande bretagne pédagogie nouvellé techniques groupe université expérience originale vincennes marie-france elliot grégory bateson l'auteur concept double contrainte michael freemän chercheur idées librairie cerveau conscient steven rose histoire psychanalyse saul friedländer ilécture adulte michel lobrot autres parutions psychologie who who dre sre hit ste res nie rsr rer tte nes ste psychologie edite centre d'etude promotion lecture abonner departement reiz -114. champs-elysees 75008 paris 359.86.50 226.02.88. voyez page
3,4,"tée contre psychiatres tradition nels certains troubles véritablement cristallisés psychose lors l'internement dernier enfonce davantage sujet douloureuse inadaptation faisant passer l'état fou révolté contre société normes celui malade mental mouvement britannique indissolublement théorie pratique retentissements l'étranger notamment france sujet l'antipsychiatrie grande-bretagne france pouvez lire livre introductif chantal bosseur clefs l'antipsychiatrie paris seghers 1974 livre remarqué christian delacampagne antipsychiatrie voies sacré paris grasset 1974 dégage philosophie l'on peut tirer l'antipsychia- crie britannique laing cooper æsterson montre implications centre arkana rue eugène-carrière paris 75018 tél 2546626 ateliers jours introduction thérapie primale février 1976 février février propos antipsychiatrie article l'antipsychiatrie juin 1974 puis d'autres articles parus journaux non spécialisés ainsi quelques films éveillé intérêt mouvement psychiatrique j'aimerais avoir quelques renseignements nald laing collaborateurs sontils seuls antipsychiatres mouvement l'originalité mouvement s'est-il étendu cette approche montrer ateliers gestalt-therapie massage reichien professionnels formateurs consultations indivi duelles cycles longs l'antipsychiatrie n'est seulement mouvement réaction conire erreurs abus psychiavrie officielle contre ceux psychanalyse qu'elle aussi vision monde doit tout fois sartre maneigem alan watts bouddhisme zen qu'en est-il france j'aimerais également savoir l'antipsychiatrie débuté existence pratique théorie existe-t-il doctrine antipsychian'ayant couzel enant lacddlescent cet ouvrage cherche répondre demande nombreux médecins psy chiatres psychologues formation travailleurs sociaux éducateurs spécialisés infirmiers orthophonistes psychorééducateurs enseignants désireux d'acquérir éléments base psychiatrie l'enfant nécessaires pratique cros 7,2 lol lex abordez tiens féliciter qualité revue rouen demandez d'abord ronald laing collaborateurs seuls antipsychiatres mouvement s'est étendu terme d'anti psychiatrie caractérise sens strict courant britannique années-1950:1960 dont pionniers ronald laing david cooper aaron æstersoni auteurs ici voudrions insister aspect essentiel semble plus important interrogez débuts l'antipsychiatrie l'on prend lerme sens large mouventent concurrent psychanalyse psychiatrie officielles comporte deux branches branche britannique dont vient parler plus célèbre plus polémique branche américaine première doit énormément étudie schizophrénie palo alto californie mouvement palo alto extrêmement intéressant intellectuellement fait concurrence psychanalyse passant notions principales celle-ci notions d'inconscient conflit intrapsychique considèrent d'ailleurs terme d'antipsychiatrie fait psychiatrie trop grand honneur défi nir rapport terme vient paraître volume introduction développement psychologique l'enfant l'examen l'enfant symptômes laing traduits politique l'expérience paris stock 1969 divisé paris stock 1970 nœuds paris stock 1971 soi autres paris galli21x27 216 flg +port paraître mars 1976 volume troubles développement rend bien compte l'aspect polé mique mouvement franchement contestataire rapport société actuelle portée politique mard 1971 politique famille paris stock 1972 voir cooper psychiatrie antlpsychiatrie paris seuil 1970 ouvrage capital constitue excellente introduc- structures psycho remise cause institution- tion manille antipsychiariques particuliers hintri fort famille paris seuil 912 problèmes liés âge thérapeu- nelle l'asile psychiatrique celte voir sanity madness and family ouvrage tique problèmes généraux adminis- remise cause l'institution psy- écrit collaboration laing es3 chiatrique s'accompagne d'une mise question rapport entre psy chiatre malade d'une contestation supériorité point vue médecin santé savoir d'une accusation por- terson traduit curieusement sous titre erroné l'eéquilibre mental folie famille paris maspero 1971 alors l'originalité antipsychiatres notion santé distincte qu'il convenu d'apveler équilibre adaptation société jurs voir exemple gentis mur l'asile paris maspero 1971 tratifs sociaux mie éretr paeele emel eme 5006"
4,5,met question psychanalyse échec question schizophrénie psychanalyse guérir psychoses parce qu'elle isolé sujet entourage lieu voir inaladie mentale maladie sociale c'est farnille entière schizoplirèire malade non dernier seulement pris considération l'intériorité sujet non réseau communication pris palo alto propose fois théorie cominunication général théorie schizophrénie dont trouverez principes très clairement exposés deux livres remarqnables absolument essentiels parus seuil logique comimunication watzlawick helmick-beauvin jackson 1972 changements paradoxes psychothérapie watzlawick weakland fisch 1974 travaux influencés recherches erlhmologiques bareson auprès laing allé travailler 1962. sorte l'apport thérapeutique l'antipsychiatrie britannique découle directement travaux effectués palo alto dont l'antipsvchiatrie britannique reprend toujours toute richesse peut dire point départ l'antipsychiatrie l'aspect donné plus résultats positifs cette doctrine palo alto recherches fois théoriques pratiques schizophrénie l'on commence dé- couvrir apprécier france renée bouveresse rollerball nouveaux jeux romains l'univers film rollerball passe actuellement écrans français est-il comparable celui jeux remains décrivez psychologie oui beaucoup d'égards d'abord niveau psychologie immiédiate spectacle tjewison s'est contenté d'utiliser silhouette costume gladiateurs vraiment retrouvé l'esprit l'amphithéâtre délire foule intensité présence hiératisme propre spectacles mort geste empreint d'une solennité angoissañte exemple moments jeu rois protagonistes s'isolent contre rambarde fondre victime voilà pourquoi rollerball beaucoup plus proche spectacles rome bien productions hollywoodiennes caractère historique malgré exactitude souvent remarquable niveau reconstitution matérielle comme scènes d'amphithéâtre barabbas viciés fadeurs habituelles genre fond faut apporter comparaison beaucoup nuances comine combats gladiateurs jeu revêt certains aspects compensatoires apparaît ici comme substitut société sevrée violence parce qu'elle renoncer guerre assez intelligente organiser défoulement rome jeux bien -épanouissement coïncide période conquête s'essouf n'apparaissent comme substitut comme dérivatif dont l'utilité politique sociale cela dit comme combats gladiateurs jeu rollerball valeur symbole plus précisément représente dramatisation symbolique principes lesquels repose société savoir cité l'energie refus catégorique toute forme d'individualisme cela dit façon explicite président jeu c'est autre fonction créé démontrer ile néant l'individu donc comble qu'il mette produire vedettes c'est ä-dire êtres d'exception constituant scuñdale idéologique société ultracôllectiviste qu'est cité l'energie déboires jonathan l'on démandé démissionner avant qu'il n'âtteigne splendeur mythique héros populaires comme spectacles l'amphithéâtre jeu miroir reflète type société dont technologie l'idéo logie évidemment très proches celles rome antique roland auguct adresse retenir canada rubrique forum numéro septembre psychologie lecteur québéquois michel pharand montréal souhaite savoir davantage groupes canada voici adresse maximum d'information institut formation groupe 831 rockland montréal h2v 278 tél 5142714724 bien sûr d'autres instituts québec celui-ci parmi plus anciens toul cas très sérieux point vue professionnel lire l'article freeman numéro a.r.e.f association développer rencontre expression formation sciences humaines groupes d'évolution psychodrames exercices rencontre groupes couples soirées discussions hebdomadaires thèmes entretiens individuels week-ends cycles longue durée a.r.e.f 22. rue léon-frot 75011 paris tél 370.34.09 647.82.60 506.65.85 sous l'égide cerde vecente trachionnais diplômes maîtres canaux ccidionaux spécialistes éminents cans discipline cours hécriques conléensss sms per libres l'école 1wcctobre toutmoment pourtousrensignements éerre ecole nomme yoga cent ©2100 boulogne tel c0s.07.2
5,6,
6,7,"prenez mesure équilibre michel françoise gauquelin etre équilibré représente chacun d'entre sorte d'idéal tout déséquilibre qu'il physique mental entraîne sentiment d'inquiétude d'insécurité l'on cherche combattre santé considérez-vous comme particulièrement vigoureux dynamique efficace moyennement oui non point opinion concordet-elle celle proches oui toujours non tigue 1rès fatigable infatigable cela dépend effort violent ... réaction corps très variable l'accomplis sans difficulté m'essouflle rapidement pratiquez-vous culture physique jamais parfois régulièrement retrouver l'état d'équilibre parfait sentez-veus rapidement venir fasi demandez organisme toutefois dernier peut varier d'un individu l'autre certains paramètres pourraient être preuve d'un déséquilibre peuvent s'opposer d'autres compensent bien connaître mieux corriger rapport taille péids actuellement divisez nombre aidessus mètre nombre kilos exemple 1,75 m/75 1,00 entre 0,9 1,1 au-dessous 09ou au-dessus 1,1 1,0 combien buvez-vous vin jour 1/2 litre litre verre 1/2 litre plus litre quelle attitude l'égard excitants café etc. évite plus possible peux retenir d'en abuser j'en prends souvent combien cigarettes fumez-vous fume plus paquet moins d'un paquet qu'éprouvez-vous moment mettre table toujours répugnance sensation d'agréable appétit fringale terrible proposons quiz cinquante questions permettront prendre mesure équilibre cochez lettre correspond mieux réponse tonus mental quand prendre décision délicate comment réagissezvous impulsif n'éprouve difficulté particulière décider paralysé contrariété marqué matinée vient s'écouler gâche journée activité m'empêche penser d'oublie très vite rendez compte venez commettre erreur psychologique ... dis rien fais sorte cela reproduise plus tiens m'excuser trouve argument justifier avez-vous sentiment profond savez jouir vie j'éprouve nécessité effort constant parvenir incapable tel sentiment plénitude sais profiter maximum bons côtés l'existenc"
7,8,"selmingi premiers cours dynamique mentale n'utilisons potentiel mental routine vie quotidienne émousse facultés créativité personnelle mémoire forme psychique dépendent grande parlie activité subconscient pouvoir subconscient peut être éveillé méthodes purement mentales c'est qu'on appelle dynamique mentale dynamique mentale permettra tout d'abord découvrir maïtriser état d'harmonie intérieure physique mentale appelé niveau alpha suivi séminaire alpha pourrez recréer cet état loisir parvenir vrai contrôle conscience dynamique mentale permettra ensuite d'utiliser niveau alpha préparer psychologiquement situations difficiles vraincre trac préparer conférence entretien mieux communiquer être plus créatif modifier facilement mauvaises habitudes plus fumer contrôler poids retrouver sommeil développer facultés paranormales après exercices concentration d'intuition viviez expériences parapsychologiques étonnantes prouveront l'existence facultés insoupconnées sommeillent prochaines dates 13-14-15 février 12-13-14 mars voir psychologie arucle séminaire alpha bulletin découper recopier adresser godefroy-seminaire alpha rue jouffroy 75017 paris tél 765,91.25 désire recevoir documentation seminaire alpha mme mile ... profession ... adfesse eee code postal ... tél éventuellement ... sentez-vous nerveux angoissé répondant quiz peu non oui eprouvez-vous dimicullés endormir certains jours tous jours général non pensez-vous bruits variés environnent j'en fais abstraction cela dépend genre bruil bruit calvaire combien d'heures dormez-vous moyenne entre heures moins heures heures perspective d'une visite importante faire dont conséquences grandes ... sens angoissé préfère penser prépare minutieusement argumentation posez-vous questions trouve inutile tracasser outre mesure céla vaut réellement peine cela m'arrive rumine sans cêsse sans cesse vie familiale sans difficulté chacun puise côté caisse commune savez-vous préserver l'intimité couple vie familiale n'est possible enfants j'essaie sans toujours parvenir femme réussi avez-vous sentiment d'être incompris famille parfois rarement souvent tenez mariage essentiel concerne bonheur présent futur oui sais non etes-vous capable jouer enfants vacances seulement m'agacent c'est passe-temps préféré souftrez-vous solitude sein famille cela m'arrive oui non dès enfants âge comprendre savez-vous îles écouter lorsqu'ils posent questions général mal l'aise point j'ai l'humeur va21 riable est-il agréable retrouver attache grande importance famille après journée travail 30. oui combien pièces disposez-vous cela dépend personne entrée salle eau non cuisine non comprises 3/4 1/2 après avoir dîné chez soir moins 1/2 quelles dispositions d'esprit êtes-vous j'aimerais ressortir aller vie professionnelle sociale ville sens toujours bien chez comment comportez-vous réunion amicale j'éprouve toujours impression cherche avant tout briller d'insatisfaction reste seul coin sans parler participe conversation marié comment prenezvous décisions engagent finances ménage cours discussions vives répétées quand s'agit d'inviter quelquu quelle attitude j'en général ravi"
8,9,"j'ai horreur cela résigne assez facilement comment supporlez-vous généralement solitude bien cela dépend très mal craignez-vous personnes inconnues oui certaines non etes-vous satisfait travail moyennement oui non combien d'heures travaillez-vous jour moyenne heures environ heures heures plus heures moins heures responsabilités accrues mobilisent temps énergie faites-vous laisse déborder m'agite vain garde calme m'organise conséquence réussis rétablir situation dépens tranquillité intérieure trajet domicile travail dure entre demi-heure heure plus d'une heure demi-heure moins supérieurs quelle attitude toujours angoissée souvent inquiète déférente maïs sans complexes considérez-vous touchez salaire correspondant réellement capacités oui tout peu près loisirs savez-vous détendre parfois rester moment sans rien faire rarement oui jamais combien fois sortez-vous soir chaque mois moins fois plus fois fois fois environ sacrifiez-vous week-ends travail professionnel presque jamais parfois toujours dès demain donnait possibilité travailler mi-temps sans perdre salaire saurais faire temps libre sais exactement ferais pris dépourvu pense m'organiserais vite savez-vous abandonner voiture marcher nature difficilement n'arrive résoudre oui combien soirées semaine regardez-vous télévision fois moÿenne moins fois tous jours oui non 48. combien temps restez-vous vacances mois quinze jours six semaines moins quinze jours plus six semaines combien livres lisez-vous moyenne dizaine moins dix vingtaine assistez-vous conférences visitez-vous expositions allez-vous concert rarement jamais souvent cotation l'interprétation réponses voir 70. désormais rencontrez partenaires dont ile caractère affectivité sexualité complémentaires vôtres chance fantastique offre ion monde change changez aussi façon découvrir celle cherchez vie questionnaire attend demandez-le vite joindrons lle témoignage enthousiasté milliers couples étonnés bonheur progrès scientifique lœuvie d'une éqüipe psychographo 1ôgues éxpérimentés démontré l'un succès äns dif- fusé spontanément plus 300 fois presse radio télévision opp ion international paris bruxelles genève montréal rencontre sous jours envoyez-mol gratuite- ment sous pli neutre cacheté questionnaire lon plaquette couples témoins mme mlle lazare 75009 paris tél 744.70.85 cours berrlat 38000 grenoble tél 44.19.61 ion belgique psb 105 rue marché-aux-herbes 1000 bruxelles tél 511,74,90 ion suisse pss rue ion france rue saint- lyon 1203 geneve tél 022.45.72.60"
9,10,fer res
