,page,text
0,1,=== cls rte esp onene sas cre doc ititi reerrir
1,2,"fun dtpaoout cet sre ape more sey cre voici réunis livre mil livre vient heuref vertus bienfaits nature ... trouverez classés neuf chapit plantes guérissent it-y ity-en plus 400 bienfaits eau eaux mer secrets homéopathie recettes diététique règles hygiène vie comment pouvez servirk acupuncture tout vertébrothérapie art rester jeune longtemps guérir foulures plais trouverez également conisezvy douleurs symptômes vieux remèdes correspondants rien d'autre réacheter secrets santé lee mms centaines pages photos dessins couleur reproductions véritable encyclopé- bon d'exane uit die mieux-être dre lenyclpée mede- out monde devrait france elves crcls santé icrai paris codex humps elysées 75391 m'intéresse paierai posséder belgique palais saint-jacques 7500 liés fensua- our première 38.75 sssp demandons d'acquérir sulse rice d'oron 1010 lau por celte précieuse encyclopédie yeux fer- deuxième 38,75 veuillez m'envoyer sans ans cngagem m'engage rien c'est pourqu pnrt j'en pense con sinon renveres invite ultures dix jours sans rien pendant dix jours lue .yous seule pren culture art 114 champs-elysées loisirs 75391 paris cedex alt eat reperesss recettes aider mieux vivie soignéi naturellement sen centaines remèdes d'autrefois rer d'un pen ens dit hill lila"
2,3,apres universite ren école sciences sociales politiques bibliothèque connaissance autres juin 1978 101 editorial bluff jacques mousseau forum lecteurs écrivent psychologie clinique comment guérit-on querelles d'école répondent cette question henri ellenberger connaissance soi etre bon témoin c'est difficile sens trompent sachons-le claudie bert comportement pourquoi peur dentiste comment vaincre james hasset bref france j'ai appris parler public expérience chez carnegie patrice carrer bref etats-unis psychologie expérimentale étapes vers maturité enquête menée depuis quarante ans george vaillant psychologie concrète époque vive tennis plus psychologique sports michel gauquelin entretien norbert elias historien mentalités expliquer modes sociaux pensée françois clairval librairie mots mort morts favret-saada vers autre médecine chertok bourguignon femmes pornographie l'erotisme m.-f. hans lapouge violence léauté bref allemagne prochain numéro paraîtra jeudi juillet fsycho logie edite centre d'etude promotion lecture abonner partement retz 114 champs-elysees 75008 paris 359.84.16. voyez page
3,4,nea lee reux observateur vie ani lain maux proche réel sou désit d'efficacité toutes qualités faiblesses présent implicitement comme peu com tibles réelle foi behate riste diable fau conte dre prise position scientifique bouddhisme zen parfois stai joriste psychologues obnubilés maison labora- rats moins j'en crois por chaguiboff psychologue j'en lèvent yeux au-dessus leurs silise res colonnes cages tombent amoureux c.n.rs.- autre collaborateur assistante choseslà arri foi répondre eur auteur l'article vent behavioristes quant david nniversaire docteur wat- goût réel recherche bon 100. l'efficacité c'est bel bien part fait behaviorisme s'est ante présenter pandu aussi vite l'influence els watson comme behavioriste l'on sait l'étude comporte psc promesses chrélenres mou rapport fanati- ment s'est substitué celui ngiens pasteur ent ques succédé cette états conscience dont nature 92400 courbevoie perspective néanmoins discutable fuligineuse .stratosphérique tou- tél 788.44.86 788.90.66 surtout arguments invo- jours donné lieu interprétations imol qués l'article david cohen plus immatérielles bass enverra simple dont certain apparaissent spécieux schéma s-r sans doute social demande brochure voyons portrait assez mythe titre dida explicative juste watson insiste plus complexe d'œdipe lutte ingen discrétion assurée vie activités diverses classes l'amour prochain mo- conditions d'inscription celui-ci théorie dèles simplifiés réalité ares sans surprise bree évident toute théorie mise échappera toujours qu'on talent depuis plus ans l'épreuve faits révèle plus exhibe qu'on porte écharpe association réalise lopaute souvent tout partie inappli- parce qu'on peut embrasser bris très nombreux mariages cable claude bernard dit trés coup complexité l'univers faune bien l'absolu sans formules sans schémas laisse rien dehors lui. comprendre agir serall confrontation réalité oblige terdit parler légende s'éloigner schéma s'en vou- concerne watson c'est fran drait modèle parfait cela vaut chir grand surtout citanl élers ees aussi bien hypothèses exemple apparemment dla gentre dievolution freud marx christ complètement oublié parmi vaça fondateur cl'audetalpais cherchant bien histoire stimuli rangés aussi bien dien psychotogieauniversité californie personnelle pourrait aussi dire stimuli externes chaleur lumière qu'ils n'étaient vraiment freu- etc stimuli internes ten stages d'été jours dien marxiste chrétien faim soif pulsion sexuelle etc midi alpes région parisienne vraisemblable marx mangeait facile donner théori roc bio-énergie parfois langouste jésus caricature démontrer lon rencontre chassant marchands tem- finalement auteur soute- ple peut-être empêché nour- nait jusqu'au bout n'oublions gestalt rir leurs familles stimulus défini comme méditation avant 1913 watson n'était rupture d'équilibre énergétique mentale behavioriste raison ronnement externe aussi bien cela behaviorisme n'existait terne réponse uné tenénergétique corporelle comme l'explique lui-même lave rétablissement l'équr œuvres naît ceci libre cette conception compo cela devient donc ment comme adaptation tien blu centre prumal surprenant voir watson avant comprendre l'intérêt schérre roupes/isolementiprimal publication fameux article s-r présenté nudit dresse l'acte naissance chaviost pehaviorisme employer modes ciation peut paraître raisonnement maire concepts qu'il reniera plus tard épré- volonté évidente dép soirée d'information juin centre d'evolution isumé hen fois énoncé résumé david renscianements sin tan pis grands principes antibehaviorisme primaire put aude allais €tall plus fon psychologie évolué dep bon retourner programme gratuit indip centre d'evolution rue saints pères 75007 paris ceur qu'un subtil dialecticien siècle c'est grâce watson nuances bergson certes convient défenseur tinguer behaviorisme ontoloe zèle extré behaviorisme méthodologique dernier inéluctablemen développement discipline aurali façon itriomphé france adress
4,5,arlon sales déjà d'une watson piéron parlait l'étude psychologie fondée comportement critiques l'on droit d'adresser aujourd hui behaviorisme élémentaire bien élémentaire cher watson détruisent renient l'apport important cette théorie psychologie contemporaine combats d'arrière-garde voudraient ramener psychologie l'étude l'âme volonté vanger immédiatement définitivement placard naphfaline jean chaguiboff quels actuellement psychiatres français jungiens pouvez-vous quelques-uns psychiatres donner nom exercice paris hommes femmes d'autre part a-til association propose formation didactique devenir analyste jungien enfin sais certains psychiatres angleterre notamment traitent patient utilisation résurgences vies antérieures connaissez-vous paris france mouvement groupe psychiatres pratique cette forme thérapie mme m.-paris oui existe association psychanalystes jungiens c'est société française psychologie analytique dont siège fixé l'adresse président docteur roland cahen villa seurat 75104 paris tél 331.43.56 pourrez procurer noms psychiatres hommes femmes membres société exerçant paris cette société dispense formation didactique enfin thérapeutes utilisant résurgence prétendues vies antérieures nombreux californie pullulent psychothérapies plus exotiques j'ignore france psychothérapeute élé tenté d'exploiter nouveau filon marcel turbiaux trouver aide psychologique manque d'informations amis besoin d'aide psychologique proche retraite sent amoindri personne l'aider éclaircir continuité problèmes donc j'aimerais savoir connaissez adresses d'un plusieurs centres psychothérapie d'ateliers personnes peu fatiguées l'on s'occupe d'elles attention éventuellement centres d'ergothérapie centre gymnastique relaxante mme s.-paris mise retraite peut constituer parfois traumatisme effet certains signifie liberté d'autres signifie rupture pouvant entraîner nouveau retraité réagir façon dépressive généralement lieu recourir psychothérapie c'est cas c'est médecin psychiatre psychologue aui examiné l'intéressé prescrire ami a-t-il plutôt seulement besoin retrouver sens vie réinsérer société avez-vous songé université troisième âge moyennant droit modique d'inscriprion dont exonérées personnes disposen minimum vieillesse offertes toutes sortes d'activités créatrices comme dessin l'art collage sportives comme gymnastique yoga natation promenades-oxygénation voire véritables sports comme volley-ball culturelles enfin cours langues séances lecture tables rondes conférences visites musées d'entreprises présentations commentées films diapositives université type élé ouverte nanterre 1975 cadre l'institut d'éducation permanente existe d'autres france dont liste pourra être fournie l'association internationale universités troisième âge place anatole-france 31070 toulouse cedex tél 23.01.45 poste 392 existe d'autres possibilités ami parisien peut s'adresser c.i.d.p.a centre d'information documentation personnes âgées dépend mairie paris comporte plusieurs consultations aussi bien juridiques sociales cultureiles etc place l'hôtel-de-ville 75001 paris tél 277.15.40 c.e.r.as centre étude recherche action sénescence boulevard saintmichel 75006 paris tél 325.13.34 encore mutuelle générale l'éducation nationale m.g.e.n. place raoul-dautry 75748 paris cedex offrent possibilités voisines rte star fifa pal edit 1/55 cale pte pottt pilot étonnantes possinilites mémoire j'étais loin douter arrivant chez ami w.a.borg j'allais être témoin d'un spectacle vralment extraordinaire décupler puissance mentale m'avait falt venir stockholm parler suédois pasteur grands savants français soir arrivée après champagne conversation roula naturellement difficultés parole public grand travail impose autres contérenclers nécessité savoir perfection mot mot discours borg dit alors qu'il robablement moyen m'étonner quiluiavais connu lorsque faisions ensemble droit paris plus déplorable mémoire recula jusqu'au fond salle manger me-pria d'écrire cent nombres trois chiffres ceux voudrais enles appelant haute voix lorsque j'eus ainsi rempli haut bas marge d'un vieux journal w.r.borg récita cent nombres l'ordre lequel écrits puis sens contraire c'est-à-dire commençant dernlers laissa aussi l'interroger position respective différents nombres demandais exemple quel 24° 72° 38° etje vis répondre toutes questions sans hésitation sans effort instantanément comme siles chiffres j'avais écrits papier aussi inscrits cerveau demeurai stupéfait pareil tour force cherchai vainement l'artifice permis réaliser ami dit alors semble extraordinaire réalité fortsimple toutlemonde possède assez mémoire faire autant rares personnes savent servir cette merveilleuse faculté m'indiqua alors moyen d'accomplir méme tour force parvins aussitôt sans erreur sans effort comme parviendrez vousmême demain bornai expériences amusantes j'appliquai principes m'avalent appris occupations chaque jour pus ainsi retenir incroyable facilité lectures conférences j'entendais celles devais prononcer nom personnes rencontrals fût-ce qu'une fois adresses qu'elles donnaient mille autres choses d'une grande utilité enfin constataiau boutde peu temps non seulement mémoire progressé j'avais acquis attention plus soutenue jugement plus sûr rien d'étonnant puisque pénétration intelligence dépend surtout nombre l'étendue souvenirs voulez savoir comment obtenir mêmes résultats acquérir cette puissance mentale encore meilleure chance réussir vie prlez w.r. borg envoyer intéressant petit ouvrage documentaire lois eternelles succès distribue gratuitement quiconque désire améliorer mémoire voici adresse bora dpt 210 chez aubanel place st-pierre 84028 avignon nom aubanel garantie sérieux depuis 225 ans aubanel diffusent travers monde meilleures méthodes psychologie pratique barsan bon gratuit découper recopier adresser w.r. borg dpt 210 chez aubanel place st-pierre 84028 avignon recevoir sans engagement part sous pli fermé lois eternelles succès nom prénom rue code postal vllle age profession
5,6,css ent lee loerr tép présentait panore pychoth lens licle ment patieny lien nel ulons berge lues w1/ rue seyl san sent actes poe eee semp
6,7,querelles décole récent article psychologie prolesseur henri ellenberger présentait style clair précis panorama fort utile différentes psychothérapies usage ouol guérit tel titre cet ar- ticle fait plus précisé- ment s'intituler quoi soigne car soigner n'est guérir quand résultat thérapeutique en- registré n'est prouvé d'emblée l'amélioration guérison patlent due méthode employée llen entre cause l'effet n'est net l'étude pu- blions ci-dessous professeur ellen- berger analyse processus thérapeu- tiques réels approfondit toutes ambiguités rapport entre soignant solgné entre méthode psychothérapeu- tique guérison l'ensemble texte professeur ellenberger doit figurer actes congrès international psychothérapie s'était tenu paris 1976. actes doivent paraître prochainement répondent cette question n'est guère psychothérapeute n'ait surprise voir patients guérir façon rapide cet inexpliquée hélas arrive eussl qu'un patient s'obstine guérir alors théoriquement devrait tels faits incitent penser psychothérapie s'effectue processus différents ceux croyons mettre œuvre d'où l'im- portance fondamentale qu'il identifier processus réels nombreuses recherches consa- crées pouvons donner ici qu'un aperçu très sommaire recherches hérissèes difficultés descriptions subjectives cer- tains sujets décrit qu'ils éprouvé cours d'une psychothérapie tenu journal pendant cette période tels documents plus grande valeur l'on pouvait confronter comptes ren- dus psychothérapie écrits henri ellenberger thérapeute quelqu'un l'entourage patient recherches l'efficacité psychothérapie hans eysenck sus- cité certaine émotion 1952 .ffirmant statistiques main psychothérapie totalement inef- ficace 1965 publié copieux article passant revue seize travaux importants parus entre-temps concluait qu'il aucune diffé- rence entre d'une part taux gué- risons attribuées psychanalyse psychothérapies traditionnelles d'autre part taux qguérisons spon- tanées survenant groupes té- moins exception faite cepen- dant traitements fondés théorie l'apprentissage h.j eysenck psychologue d'origine alle- mande vivant angleterre depuis seconde guerre mondiale titulaire d'une chaire psychologie l'université londres fait nombreuses recherches person- nalité mémoire l'intelligence l'hérédité certaines maladies mentales lire sujet l'entretien paru psychologie voir h.j eysenck eflects psycho- therapy jnternational journal psy- chiatry 1965
7,8,vivez trop tendu relaxez-vous méthode moderne permet d'acquérir week-end technique relaxation simple développer efficacement puissance mentale stress vie moderne entame peu peu facultés intellectuelles mémoire concentration intuition imagination qualité repos dépendent grande partie l'activité subconscient pouvoir subconscient peut être facilement stimulé méthodes mentales c'est qu'on appelle dynamique mentale cette méthode enseignée week-end cours séminaires alpha pratiquée milliers participants depuis ans france suivant cet enseignement pratique séminaire découvrirez tout d'abord état relaxation physique mentale pourrez reproduire loisir vie quotidienne développer plan psychologique dynamique mentale permettra ensuite d'utiliser niveau conscience mentale particulier préparer psychologiquement situations quotidiennes difficiles exemple préparer examens tâches professionnelles vaincre trac timidité maigrir accroître mémoire trouver sommeil développer imagination créatrice arrêter fumer contrôler émotions ... vivre expériences extra-sensorielles après exercices concentration développant concrètement intuition vivrez expériences extra-sensorielles étonnantes prouveront l'existence facultés parapsychologiques insoupconnées sommeillent prochains séminaires alpha paris marseille bordeaux nantes lille strasbourg lyon-slt-elienne toulouse belgique bill bellens tél :058-23-43-79 suisse genève documentez-vous retournant bon gratuit ci-dessous bon gratuit retourner axe formation rue deves 92200 neuilly tél 624.33.49 adressez-moi sans engagement l'article psychologie dynamique mentale renseignements séminaires alpha nom prénom none rug ssrrossccccrrmosnonerrrecensessncsossenessroees codbsrsssmrsesrmosecsneser ville ... publications por départ vives controverses cherches ultérieures 1969 jullan meltzoff affirmé s'appuyant plus cent recherches genre l'efficacité psychothérapit amplement démontrée évident telles recherches hérissées difficultés quels critères guérison normalité comment établir qu'il guérison amélioration l'opinion malade celle thérapeute celle l'entourage ainsi données tests psychologiques souvent loin concorder changements observés vont toujours sens l'amélioration parfois l'état sujet aggravé moins difficile évaluer faut tenir compte événements surviennent l'entourage patient cours traitement aucune statistique n'est valable oublie guérisons spontanées produisent souvent dehors tout traitement comporte groupe témoins controverse autour psychanalyse parmi très nombreuses recherches effectuées faut citer comme mmodèle rigueur scientifique celle conduite menninger foundation topeka kansas s'agissait quarante-deux adultes atteints névrose bordeline state psychose latente troubles comportement patients traités plusieurs méthodes allant cure psychanalytique classique thérapie soutien étude approfondie faite personnalité chaque malade qualités thérapeute déroujement traitement l'entourage malade examens faits trois reprises début traitement fin après intervalle deux ans résultats cette recherche évalués qualitativement quantitativement corrélations multiples mises évidence entre divers facteurs tels force patient avant début traitement l'habileté thérapeute type technique choisie événements survenus l'entourage patient cours traitement apparut exemple sujets subissaient certain stress d'origine extérieure guérissaient plus difficilement autres recherches comparatives entre deux plusieurs méthodes suite principalement publications d'eysenck controverse entre représentants psychanalyse adeptes thérapie comportement plusieurs recherches effectuées comparer résultats deux méthodes faut mentionner particulièrement celle bruce sloane collaborateurs quatre-vingt-quatorze névrosés répartis trois groupes d'une trentaine chacun premier groupe traité thérapie comportement deuxième psychothérapie d'orientation psychanalytique troisième maintenu liste d'attente patients deux premiers groupes traités pendant quatre mois moyenne quatorze séances individu lades trois groupes subi examen psychiatrique psychologique approfondi départ l'issue quatre mois après intervalle d'un guérisons améliorations constatées trois groupes l'état patients deux groupes reçu traiter ments s'était amélioré d'une façon significativement plus élevée l'état individus groupe contrôle revanche constata aucune diftérence entre taux d'amélioraten groupe traité thérapie comoortement celui gro traité psychothéraple d'orienté tion psychanalytique amélioræ voir meltzoff effectivenés chotherapy amply demonstrated 1969 international journal psychiatr einal psychotherapy and pschoanalÿsé- cho report the menninger foundation therapy research project bullel® the menninger clinic herap voir voth m.h orth psycho and the role environmen new behavioral publications 1973 v'er6 r.b sloane coll psychotherene card sus behavior therapy cambridge university press 1975 aan ges rése perle gat geste iates commen gzsion réenent ghérence guéf l'étude let d'os ümes géissent iles elie cuér
8,9,tons constatées chez malades deux groupes maintenues bout d'un mesure recherches compar psychanalyse sraple comportement dé- évolution s'est faite l'attitude représentants polémiques initiales tentatives interpréter thérapie comporte- termes psychanalytiques psychanalyse termes théraple comportement join assisté essais associer deux méthodes traitement d'un patient utilisant l'une après l'autre simultanément autre étude semble digne d'être citée ici quoique intérêt surtout théorique s'agit recherche clemens loew henry grayson gloria loew7 cher- cheurs sélectionné trois cas cli- niques névrosé obsédé schl- zoïde femme frigide chacun cas adressés représentants trois écoles psychanalyse thérapie comporte- ment gestalt-thérapie chacun thérapeutes consultés expliqué détail comment concevait cas question comment conduirait traltement chercheurs commentent livre ressemblances différences théoriques pratiques entre trois méthodes guérisons spontanées fréquentes l'étude guérisons spontanées d'observation courante névroses d'apparence grave guérissent spontanément façon inexpliquée plusieurs auteurs cher- ché élucider dynamisme caché guérisons edgar gregory déclare vie thérapeutique pense reconnaî- tre plusieurs traits communs chez névrosés guéri spontanément circonstances vie placé individus situation nou- velle procuralt certaine considération part entou- rege direct lewis wolberg cas analogues constate malade éprouvé certaines satisfactions part entourage d'où rehaus- sement estime sol lan stevenson terme d'une étu- similaire déclare névrosés guérissent spontanément l'espace quelques années parmi facteurs guérisons mentionne divers événements forfuits proëur rent sujet affection respect satisfaction désirs frustrés c'est ici qu'il convient d'évoquer notion kajros reprise psychlatrle henriellenbergers savoir polyvalent auteur d'une centaine d'articles d'ouvrages psychiatrie psy- chologie professeur henri ellen- berger surtout connu ouvrage fondamental publié 1969 découverte l'inconscient histoire psychiatrie dyna- miquei ivre neuf cenis pages replace psychiatrie perspective historique situe contexte général civilisation suisse débul siècle professeur ellenberger fait études médecine paris passé doctorat exercé comme interne asiles seine phare andre dorka c'est suisse langue alle- mande qu'il reçu formation psychiatrique qu'il formé psychanalyse complété cette formation médicale déjà poly- valente études psycholo- gie philosophie ethnologie cette polyvalence explique facilité laquelle henri ellenberger brosser toute objectivité pano- rama différentes psychothéra- pies voir psychologie peut analyser l'article ci-contre ambiguités relations entre médecin malade comparer efficacités différentes méthodes thérapeutiques suite d'un voyage eétats- unis 1952 professeur etlenber- ger élé appelé chaire psy- chiatrie l'université topeka enseigné 1953 1959. s'est alors définitivement fixé améri- nord d'abord enseigné l'université anglophone mcgill montréal 1959 1963. depuis 1964 occupe chaire criminologie l'université francophone mon- tréal ellenberger conscient lyon simep-editions découverte 1973. l'in- arthur kielholz harold kelmann lede chronique plus guérir jui-même n'ayant encore perdu tout espoir moment électif inter- vention souvent très simple peut ame- ner guérison rapide durable toutes méthodes résultats positifs recherche facteurs positifs communs diverses psychothérapies puisqu'on voit malades atteints mêmes névroses guérir jes métho- thérapeutiques plus différentes faut conclure qu'il existe plusieurs facteurs communs toutes méthodes constituerait dénominateurs communs toute psychotérapie explication donnée fréquemment celle lien entre patient thérapeute lien d'acceptation tolé- rante chaleureuse rend ma- lade détendu confiant l'établissement d'un tel len dépend beaucoup d'une certaine prédisposition chez patient encore plus peut-être per- sonnalité thérapeute notons tou- tefois bonne volonté suffi- rait ailleurs manquait clairvoyance thérapies réalité certaine froideur autoritaire n'est toujours déplacée ilvre titre significatif guérison rencontre hans trüb soutenu moteur 6ssen- tiel toute psychotérapie réussie résidait rencontre sens existentialiste mot patient trouve contact personnali- supérieure présence l'amène changer vision monde ainslie meares facteur commun toutes psychothérapies sans exception régression atavique c'est-à-dire processus lequel l'esprit cesse fonctionner niveau critique logique retour- temporairement mode fonc- tlonnement blologiquement plus iprimitif jerome frank déclare l'agent ———— loew grayson g.h loew three psychotherapies new york brunner mazel 1975 w.e gregory life therapeutic mental hygiene 1953 wolberg the spontaneous men- tal cures psychiatric quarterly 10.1. stevenson processes sponta- neous recovery from the psychoneurose american journal psychiatry 1961 voir éllenberger notion kairos psychothérapie annales psychothérapie 1973 trüb heilung aus stutigar kiett 1981 begegnung gares what makes the better atavistic regression basic factor the lancet 1962 frank role hope therapy international journal chiatry 1968 psychotherapy the restoration morale american journal psychiatry 131 1974
9,10,essentiel guérison psychique l'espoir c'est expliqueralt guérlsons malades placés liste d'attente samuel novey accorde impor- tance essentielle reconstruction l'histoire personnelle patient effec- tuée lui-même tout long tral- tement collaboration théra- peute l'amène acquérir nouvelle vision lui-même capacités théorie cercles vicieux psychiatre comme pathologie avalt faveur autrefois récem- ment paul wender repris cette notion sous forme modernisée suppression cercles vicieux joue- ralt ainsi rôle essentiel processus psychothérapeutique peut noter certaine analogie entre cette conception celle watzlawick lequel guérison survient sou- vent trouvant solution tout falt inattendue niveau change- ment supérieur permettant sortir d'une impasse nicola schipkowensky considère thérapeute peut agir deux façons patient façon négative produisant j'latro- genèse d'une façon positive libérant psychothérapie lbéra- trice selon schlpkowensky consiste sortir malade situation patho- gène l'angoisse appréhen- sions l'auto-observation obsédante huit facteurs l'efficacité plusieurs auteurs srivisagent l'exis- tence d'une sérle facteurs théra- peutiques l'on retrouverait tous d'un malade l'autre quoique 1pro- portions varlables d'après judd mar- mor dénominateurs communs toute psychothéraple efficace seralent nombre hult bonne relation entre patient thérapeute réduction tension due l'espoir d'êtro aidé l'acquisition d'une mellleure compréhension sol-même re- conditionnement opérant conduisant adopter meilleurs schémee conduite suggestions icacens l'identification thérapeute nombreuses épreuves réalité surtout île soutien émotionnel part thérapeute recherche facteurs négatifs fel- sant échouer traltement plusieurs auteurs attiré l'attention né- cessité d'étudier facteurs négatifs statistiques réunies bergin mille cas traités montrent environ ceux-cl nettement aggra- vés thérapie matarazzo insis- tait effet détérioration exer- certain type psychothé- rapeutes 22. cadre d'étude trop étroit parmi facteurs négatifs quelques- uns propres méthode em- ployée l'hypnose produit effets délétères lorsqu'on néglige réveiller malade selon règles traite- ment hypnotique prolongé peut déter- miner état dépendance infantile envers l'hypnotiseur états ssem- blables dépendance surviennent cours psychanalyses prolongées interminables melitta schmide- berg publié exemples extraordi- nalres d'iatrogenèse psychanalytique thérapie autogène schultz peut présenter sérieux inconvénients mal conduite méthodes mettent brutalement sujet pré- sence propres paroles magné- tophone propre image vidéophone peuvent être très trauma- tisantes renforcer résistance sujet quant groupes ren- contre t-groups groupes marathon offrent graves dangers juge cas psychoses alguës signalés sulte pratiques d'autres facteurs négatifs tiennent personnalité thérapeute re- cherches cours s'appliquent dis- ünguer plus plus nettement différentes caractéristiques psycho- thérapeute efficace psychothéra- peute latrogène reste constater re- cherches actuelles processus psychothéraplque centrées pres- exclusivement dla pratique actuelle psychothérapies reconnues médecine psychologle occl- dentale c'est cadre trop étroit l'on commence pelne dépasser pouvons mentionner briè- quelques directions pourralent prendre recherches sens l'étude guérisons milraculeuses peu avant mort charcot attirall l'attention guérisons lourdes avalt onvoyé malades revenus guéris leurs para lysies leurs contractures charcot affirmait qu'il facteur thérapeutiques dont ignorions nature qu'il faudrait explorer jour semble cette exploration fait beaucoup progrès depuis cette époque l'étude sectes guérisseuses guérisons effectuées l'intérieur certaines sectes telles christian science quant guérlsseurs charlatans pays méthode occidentale semble plus préoccupée pour- suivre justice d'étudier canisme leurs güérisons quel- ques études faltes sujet lais- sent perplexes doit maurice igert étude guérisseur heure célébrité france jean béziat vocation l'effet hasard inconnu ame- fille devenue folle demandant guérir béziat refusa d'abord puis débarrasser cet portun fit gestes qu'on deman- dait apprit stupéfaction malade güéri bruit racle répandit dès lors malades affluèrent tous côtés. béziat tarda prendre grand thaumaturge exploiter don igert affirme psycho- logie béziat comme celle d'autres guérisseurs trouve rien puisse expliquer extraordinaire succès esprit débile personnalité reste insaisissable… adoralt surhomme trouve fan- toche… c'est foule ellemême forge l'instrument miracle ardem- 15. novey the second look the reconstruction personal history chiatry and psychoanalysis baltimore john hopkins press 1968 wender vicious and virtuous circles the role deviation arnplifsint feedback the origin and perpetualion bchavior psychiatry 1969 voir waizlawick weaklond fisch changements paradoxes psy chothérapie paris seuil 1975 der 18. schipkowensky larrogenié pirzel hefreiende psychotherapie leipzig ltrogenèse deux mots ect médecin genesis origine aspt pouvoir médical consi malade lieu soigner c'est rens ilich l'on doit théorie l'intro voir sujel l'entretien ivan aru psychologie vchu- marmor the mature the psychu theraneutic process revisited psychiatrie association journal caple voa bergin psyehol jogie peut-elle être dangereuse psycit fév 1976 22. voir matarazzo some psycho theraplsis make patients worse mafonal jourual psychialry ogenle pis- voir schmideberg haute rieur égurnal psychiatr 1953 lire sujet l'article marc smed guérisseurs france psychologie 98. aus 25. igerte gnérisselirs étiide psychopathologique thèse médecine toulouse 1928-1927 orientales gifie esse psy cénsurcler guériso ninportance uaitemé bures dpèmss parle jusrait pcs
