,page,text
0,1,"acte care rer 4,4 connaissance autres eltpls eln jalousie établit ris pain cees nas anne loose cptie potentiel tgjques"
1,2,"slr rater ras late voici réunis seu livre millenonee eutéteue livre vient lnivere verts sobere trouverez classés neuf chapiteesin plantes guérissent l'edécony plus 400 savez-vous l'oignon pin bienfaits eau eaux mer are secrets 'homéopathie recettes diététique avez-vous essayé citron chaud contre rhume règles l'hygiène vie comment pouvez servir acupuncture tout vertébrothérapie art rester jeune longtemps guérir foulures plaies trouverez également connalssez-son douleurs symptômes l'argile vieux remèdes correspondants rien d'autre v'réacheter psych l'encycil secrets cons die san photos dessins couleur reproductions recettes aider mieux vivre soigre naturellement véritable encyclopéy bon d'examen gratuit die mieurêtre ent névetemsene fout monde devrait art luisirs crets santé paierai france b.p 59371 loos cédex clle m'intéresse pelglaue palais saint-jacques 7500 lités tessse deux mensun demandons acquérir suez d'oron 1010 lau première 38,60 5,80 celte précieuse encyclopédie yeux ferne deüxiëme 38,60 sans l'avoir moins parcourue veuillez m'envoyer sans engagement m'engage rien d'autre panrauoi culture art loisirs part j'en prenne con- sinon renverse sous invite recevoir gratuitement chez pré dix jours sans rien devoir pendant dix jours qu'après avoir rénom lue yous seule prendrez décision savoir voulez garder centaines remèdes d'autrefois profiter toute vatrc vie renvoyer las culture 114 champs-elysées 'al art 75391 paris cedex loisirs rue louls-le-grand run tor eee 75002 paris code postal signature obligatoire acte"
2,3,ous émis hsyhologie connaissance soi connaissance autres uhiversité lausawue cole 1gisages zocialet losnormeeue editorial loisirs forum lecteurs écrivent connaissance autres opération porte ouverte neuf centres accueillent esseulés claudie bert bref france education relations parents-enfants méthode gordon béatrice bélisa stéphane donadey bref etats-unis couple jalousie aujourd hui peu passionnément tout michelle lévi-provençal entretien odile bourguignon psychologue jalousie n'est plus qu'elle propos recueillis jacques mousseau ——— ———— ————— bref allemagne ————— ————— —————— —————— ———————————— époque marijuana ordonnance drogue médicament professeur sidney cohen parle communication efficace q———————————————————.° commmuunicauon emncace psychologie comportement lorenz contesté oue savent l'homme éthologues gunter pilz société effets télévision adultes tout n'est négatif david loye passa uns frontières recherche parapsychologie attaquée toutes parts examen toujours recommencé yannick bourdoiseau librairie c.g jung voie profondeurs ouv coll magnétiseur amoureux villers l'eveil l'esprit dolto muel autres parutions who who psychologie prochain numéro paraîtra jeudi septembre see chologie edité centre d'etude promotion lecture ion
3,4,"vivez trop tendu lal2 x82-vous méthode moderne permet d'acquérir week-end technique relaxation simple développer efficacement puissance mentale stress vie moderne entame peu peu facultés intellectuelles mémoire concentration intuition imagination qualité repos dépendent grande partie l'activité subconscient pouvoir subconscient peut être facilement stimulé méthodes mentales c'est appelle dynamique mentale cette méthode enseignée week-end cours séminaires alpha pratiquée milliers participants depuis ans france suivant cet enseignement pratique séminaire découvrirez tout d'abord état relaxation physique mentale pourrez reproduire loisir vie quotidienne développer plan psycho- logique dynamique mentale permettra ensuite d'utiliser niveau conscience mentale particulier préparer psychologiquement situations quoti- diennes difficiles exemple préparer examens tâches professionnelles vaincre trac timidité maigrir ac- croître mémoire trouver sommeil développer imagination créatrice arrêter fumer contrôler émotions ... vivre expériences extra-sensorielles après exercices concentration dé- veloppant concrètement intuition vvivrez expériences extra-senso- rielles étonnantes prouveront l'existence facultés parapsychologiques insoupçonnées sommeillent prochains séminaires alpha paris marseille bordeaux nantes lille strasbourg lyon-sl-elienne toulouse belgique büll bellens tél :058-23-43-79 suisse genève documentez-vous retournant bon gratuit ci-dessous bon gratuit retourner axe formation rue deves 92200 neuilly tél 624,33.49 adressez-moi sans engägement noi l'article psychologie 566 dynamique mentale renseignements séminaires alpha prénom passes ste laser hstfi pal aile forainn marcel turbiaux répond lecteurs qu'est-ce lo-alto care l'école palo-alto citez psychologie f.c.- paris palo-alio ville comté santa clara californie située quelque cinquante kilomètres sudest san francisco siège célèbre université stanjord aussi mental research institute dont directeur actuel paul watzsiawick succédé don jackson chercheurs suite gregory baleson onf élaboré logique comimunication empruntée linguistique cybernélique expliquer maladie mentale notamment psychose théorie établie gregory bateson poursuivie depuis 1956 l'école palo-alto fondée l'idée malade lien relation fonction environnement conséquence analysé trailé faisant appel modèles logico-mathématiques c'est traitement commu nicalion circulant systèmes fonctions d'équations références systèmes fermés lesquels renvoient uns autres mots choses su- jets auteurs l'observé l'ob- servaleur thérapeute qu'aux communications reçues émises palient sans vouloir connaîlre passe niveau psychobiologique point vue celle logique communica- tion nœud pathologique chez schizophrène constilué l'hy- pothèse double lient double contrainte fait qu'un individu peut être coincé entre deux messages contradictoires conséquence l'impossibilité l'autre suivant ment soimporte- l'hébéphrénie cel noide calaionie comme paul watzslawick l'exposait sage para 19/5 d'un récent pas- schigophie comportement n'est comipréhensible s'intéresse personne rce set aus rats rai sns uit ess vai dpne non rer rien cup passe entre groupe pourtant l'école vanile d'obtenir sepl séances raitem lement résultats voisin autres méthodes soil réussites totales réussites partielles d'échecs mbres palo-alto moyenñie set existe-t-il analyses accélérées rec m'indiquer nom l'adresse mouvements psychan suivre analyse demande d'agrément tématique quelle forme quel mouvement psychana lytique susceptible trouver réunis éléments jes plus positifs freud jung adler exemple peu dégagé l'esprit itop libido freud formation base requise s'il possible faire psy- chanalyse didactique cottespon- dance accéléré quel qu'un déjà suivi psychana- lyse individuelle toujours pratiqué l'introspection l'auto analyse quelles préparations requises prétendre titre psychologue adhérer sn.p menton onnaïissante principaux alyse vue dactique principaux mouvements psychanalyse société psychanalytique paris 187 rue saint-jacques 75005 paris association psychanalytique france place dauphine 75001 paris ecole freudienne paris rue claude-bernard 75005 paris îve groupe rue maurice-ripoche 75014 paris convient adresser direclement organismes cités ci-dessus connaître conditions d'admission d'analyse didactique connais mouvement psychologique réalisé l'amalgame hérétique morceaux sigmund freud bouts carl gustav jung fragments d'alfred adler rejetant théorie libido voie ouverte confectionner manteau d'arle quin.…. formation base requise esl généralement médicale psychologt éventuellement philosoph® ive groupe toutefois tel 'ar- théorie double lien fee 19461. ticle michael freeman gregory paru psychologie janv tres paréiealent jee roll soc lerer enfiea"
4,5,ouventents 750 paris nalytigue plie paris paris mauricerise jresser dirée cités cidtr conditios didactique prouvée ail réal oreph tivaie see ter tie ss. abolir formes eontraignantes contrôle classique for m1a- tion l'admission membres psychanalyse didacti- peut douter existe c'est-à-dire également thérapeutique requiert moins deux ans personne déjà suivi psychanalyse dividuelle pourrait consuller utile- ment analyste point croire qu'il existe possibilité d'analyse correspondance accéléré révèle singulière ignorance part quelqu'un veut devenir analyste cois- situe élémeinx favorable l'encourager celte vote. n'importe peut s'intituler psychologue m'importe peut adhérer syndicat national psychologues dernier exige titres quali- fications demande pourra fournir j'aimerais m'occuper d'enfants problèmes j'ai dix-sept ans b.e.p.c j'ai- merais m'occuper d'enfants problèmes psychologiques y.t.vannes pense qu'une formation moni- teur-éducateutr répondrait fois niveau d'études souhait moniteurs-éducaiteurs travail- lent établissements sani- taires sociaux chargés d'exercer fonction éducative per- manente auprès enfants adolescents fatigués handicapés inadaptés cas sociaux certificat d'aptitude fonc- tions moniteur éducateur cafm.e prépare écoles privées agréées minis- tères justice l'education santé secrétariat d'elat jeunesse sports plupart réunies sein co- mité liaison écoles centres formation moniteurs-éduca- teurs c.l.e.m. coût études variable selon écoles nécessaire s'inscrire moins avant rentrée prévue certains exigent b.e.p.c dont titulaire d'autres seulement jus- ification niveau d'études lin classe troisième faut outre être âgé dix-huit ans septembre l'année d'entrée formation satisfaire examen sélection préparation correspondance épreuves cul- lure générale assurée l'asso- ciation nationale éducateurs jeunes inadaptés route rebigue 31320 castenet-tolosan one ail res lol sites apres drole parlera formation ellemême s'étend deux ans comprend formation théorique psychologie pédagogie culture générale anatomie médecine infantile instruction civique morale professionnelle formation technique enseignement ménager hygiène secourisme techniques d'expression jeu éducation physique chant travaux manuels formation pratique bourses d'études subordonnées ressources familiales peuvent être accordées ministère santé parmi écoles préparant certificai d'aptitude fonctions moniteur-éducateur cilerai région parisienne centre formalion d'éducateurs c.e.m.e.a. section moniteurs-éducateurs château vaugrigneuse 91640 briissous-forges bretagne habitez l'école moniteurs-éducateurs rue vau-méno 22000 saint-brieuc l'école formation monileurs-éducateurs lande breil route villejean 35016 rennes cedex coïñment devenir graphologue pourriez-vous m'indiquer quels débouchés graphologie quels diplômes conduisent c.f périgueux connaissance formation graphologues assurée organismes privés dont appartient fournir liste diplômes qu'ils délivrent n'ont valeur officielle car graphologie s'efforce devenir scientifique l'est encore cerlaines entreprises recourerl services graphologues vue recrutement personnel crois s'il elles rarissismes qu'il utilisent plein temps autre iype d'analyse l'écriture réside l'examen caractères particuliers d'une écriture dont l'utilisation plus fréquente l'identification scripteurs c'est titre tribunaux font parfois appel experts graphologie deux branches d'activité constituent l'on appelle précisément métier solide cabinets spécialisés associent souvent graphologie d'autres disciplines exercer compte aucune qualification particulière n'est requise suffit payer taxe professionnelle d'attendre clients hue est-elle maladies confession ancien timide j'avais toujours éprouvé secrèle admi- ration borg sang-froid dont faisait preuve examens faculté l'alsance naturelle qu'il savait garder lorsque allions monde mol perpéluel sujet d'étonnement soir l'hiver dernier rencontrai paris banquet d'anciens camarades d'études plaisir revoir après séparation vingt ans poussant confidences vinmes naturellement racon- ter vies cachai mienne être bien meilleure n'avais toujours affreux timide borg dit j'ai souvent réfléchi phénomène contradictoire timides généralement êtres supérieurs pour- ralent réaliser grandes choses rendent parfaitement compte mal condamne d'une manière presque fatale végéter situations médiocres indignes valeur heureusement timidité peut être guérie suffit l'attaquer bon côté. faut avant tout considérer sérieux comme maladie physique non plus seulement comme maladie imaginaire borg m'indiqua alors procédé très simple régularise respiration calme battements cœur desserre gorge empêche rougir permet garder sang-froid circonstances plus embarrassantes suivis conseil j'eus bientôt joie constater trouvais enfin délivré complètement timidité plusieurs amis j'ai révélé cette mé- thode obtenu résultats extraordi- naires grâce étudiants réussi leurs examens représeniants dou- blé chiffre d'affaires hommes décidés déclarer amour femme choix jeune avocat bafouillait lamentablement cours plaidoiries acquis art riposte valu succès retentis- sants place manque donner ici plus détails voulez acquérir cette maîtrise vous-même cette audace bon aloi meilleurs atouts réussir vie demandez w.r. borg petit livre lois eternelles succès l'envoie gratuitement quiconque désire vaincre timidité voici adresse w.r.borg dpt 240 chez aubanel place saint-pierre 84028 avignon sorian bon gratuit découper recopier adresser f—— borg dpt 240 chez aubanel place st-pierre 84028 avignon rece- voir sans engagement part sous pli fermé lois eternelles succès nom code postal ville age profession lage profession
5,6,teathhe share t4fal etes êlt etat sale far tas tue ben far
6,7,luiven déjà neuf centres accueillent ceux quine savent parler claudie bert émerge métro pigalle milieu flam- bolement enseignes racoleuses quitte place rue duperré tout suite c'est calme encore quelques mètres voici numé- 21. boutique façade beige deux vitrines montrent rien car rideaux blancs cachent entièrement passe l'intérieur entre deux porte pareillement habillée au-dessus inscription porte ouverte l'homme jeune costume bien coupé cravate attaché-case hésite encore puis pousse îla porte autre homme vient rencontre sourire l'introduit bureau d'une simplicité spartiate table deux chaises éclairage discret client s'assied hésite encore puis lance j'ai tout être heureux comme dit j'ai travail intéressant bien payé plein d'avenir patron vient laisser entendre qu'il allait proposer promotion marié depuis six ans femme aimons toujours autant deux enfants adorables l'an dernier déniché l'appartement rêves pris grand plaisir l'aménager s'arrête hésite nouveau regard fait tour pièce comme s'il cherchait issue puis fixe mains reprend deux mois sentant très bien allé voir toubib envoyé l'hôpital consultations analyses tout cirque puis propos pat rppés phil emberlificotés… j'ai questionné rensei- gné j'ai plaidé faux savoir vrai enfin bref c'est leucémie j'en peut-être six mois peut-être six ans personne sait relève tête regarde celui l'accueille d'un air défi demandez peut-être pourquoi viens raconter tout alors pouvez absolument rien puisque n'êtes médecin n'avez personne calmement interlocuteur parler répond personne parler visage l'homme détend s'adosse chaise c'est n'ai personne veux parler femme supporterait peux parler gosses trop petits patron collègues mettrait voie garage comme cela peut durer années amis plu- tôt relations contents retrouver bridge dire cela toublb c'est grand patron vois qu'entre deux portes encore heureux s'il trouve cinq minutes consacrer prêtre croyant j'en crève rien dire alors voilà j'ai truc disait n'importe pouvait venir parler n'importe quoi écoutiez… c'est bête c'est vrai maintenant tout dit sens mieux
7,8,papa énos dst sas date ess rbtess rer dre ève consulte montre jève merci reviendrai peut-être venu effet souvent pendant plu sieurs mois puis disparu accueillants subitement aggrave supposé état recu qu'il mort nen jam confirmation puisqu'ils connaissaient nom adresse typique client typ porte ouverte parce qu'aucune autre porte s'ouvre parce qu'il autour prêts soigner travailler ste personne l'écouter phêén mène caractéristique grandes villes civilisations industrielles autrefois viljages prêtre médecin famille sœurpiqûres l'instituteur confidents nat rels prêts écouter intérêt parce quils connaissaient depuis toujours grandes villes d'aujourd'hui temps vend donne dehors confidents professionnels psy peu gens prennent temps d'écouter dire ceux n'ont d'amis déracinés arrivent sans connaître personne retraités dont enfants éloignés dont amis morts infirmes relation incapables nouer liens temps temps fait divers ouvre abîmes solitude hasard fait découvrir appartement corps d'une vieille dame morte depuis six mois n'avait manqué personne encore recueille confidences navrantes retraités impotents téléphonent régulièrement l'horloge parlante entendre d'une voix autres plus valides trompent exprès payant pain boulanger fasse remarque nouant ainsi dialogue frappe toujours ami c'est tous ceux-là créée porte ouverte l'origine lointaine l'association samaritains anglais 1953 révérend chad varah très ému suicide d'une adolescente dit seulement désespérés quel- quun parler avant geste fatal sitôt pensé sitôt fait insère journaux petite annonce ainsi libellée avant suicider appelez ... dès premiers jours appels affluent uns veulent parler d'autres désirent voir révérend chad varah donne adresse c'est alors produit phénomène curieux viennent non seulement désespérés aussi gens veulent aider aider com- ment pasteur voit quoi demander d'ailleurs cloué téléphone alors béné- voles restent quand visiteur présente font patienter offrant tasse thé écoutent sympathie raconter histoire arrive plus plus souvent client suffi samment réconforté chaleur cet accueil réparte renonçant voir patron découvert ainsi empiriquement l'utilité palau ptit befriending toujours vigueur chez ritains chaque client mis rapport ave friend ami bénévole sort toujours prêt remonter moral d'autres associations inspirent samarit n'en retiennent secours téléph c'est il'une d'elles créée suisse one teur cazalis inspirés ceux france 1960 s.o.s.-amitié créé 1971 psychologue marcel daniel couvre lors d'un voyage berlin die ôffene écentre fondé jésuite accueillant bénévoles recoivent tous ceux veulent vent parler leurs problèmes décide créer centre semblable paris gens veine confidences préfèrent face face bouche oreille téléphonique peine naissance premier centre porte ouverte rue duperré est-elle annoncée marcel daniel reçoit coup fil comment premier j'ai créé porte ouverte ici lyon deux ans renseignements pris lyonnais aussi fait voyage berlin problème deux centres travailleront colla boration formeront îles premiers rameaux fédération portes ouvertes france regrou pant différents centres nés depuis cette date rouen 1973 clermont-ferrand 1974 bordeaux dijon rennes beauvais 1975 paris rive gauche 1976. quatre nouveaux centres projet 1978 marseïlle havre saint brieuc lille ains len ean bas e\s pre s0cis use moyé pourgcolsl ermgers mieux telephone principe simple chaque centre heures permanence pendant lesquelles accueillants tiennent disposition visiteurs clients c'est peu tout monde appartiennent toutes classes sociales voir l'encadré cicontre tous âges prédominance entre vingt-cinq cinquante ans 1977. c'est nombreux organismes publics privés penchent sollicitude enfants adolescents vieillards aucun s'intéresse adultes actifs censés débrouiller tout seuls plénitude leurs forces leurs moyens cette supposition fardeau plus ceux s'effondrent sentent coupables alors cas coup dur viennent demander l'aide accueillera sans juger s.o.s.-amitié porte ouverte deux organismes concurrents complémentaires s'envoient mutuellement clients handicapés physiques retraités plus moins impotents s'adressent préférence s.0.s.-amitié ainsi exhibitionnistes alors pros tituées proxénètes homosexuels s'adressent plutôt porte ouverte gens traitement psychiatrique psychanalytique nnent n'être traités malades gros clientèle formé grands cho gens subi coup dur mme partie perdu emploi probl consultent dfeciuée chdessol eee rrnrrres cuir sas ens
8,9,"ral neuf centres 600 entretiens l'année 1977 d'une durée moyenne d'une heure nart contre 6000 1976 faut ajouter entretiens félp honiques bien qu'ils ver spécialité porte ouverte nee 750 1976. dou accusillants ombre deux cent cinquante dont soixante deux centres cée parisiens très bon équilibre mental demandé quatre clients age 1976 1977 colla aus .... ....... aus ... 1949 ......... legroy ans 277 ... .... uns ... date ans ... rdeauy pres ceree s-rive saint origine sociale 1976 1977 ouvriers artisans 44,5 classe moyenne ... 37,5 ... bourgeoisie ....... .... 2195 etrangers ......... .... purs problèmes lesquels consultent ressortent d'une étude effectuée premier semestre nnent 1977 résuinés graphiré ci-dessous pré ismes aucun cenplénicette nder ger res ouverte chiffres ——— adresses heures d'ouverture deux centres parisiens rue duperré 75009 paris tél 879.69.11 rue prêétres-saint-séverin 75005 paris tél 329,66.02 ouverts tous jours sauf dimanche cing entretiens indispensables l'âge requis vingt-cinq ans mmtininmiun préliminaires ans rapport porte ouverte regroupe atufrenrent différentes cases graphique façon avis plus satisfaisante voici comiment fail regroupement reflète mieux réalités vie santé physique nientale cases sexualité homosexrulité célibat problèmes conjugaux cases vie quotidienne travail logement finances administration cases rogue citses 26,69 18,65 24,12 6,18 isolenient 17,12 divers 7,24 graphique retrace différentes raisons lesgrelles constiltants viennent porte ouverte précisons toutefois qu'il s'agit principal motif n'est donc mentionné problème numéro dénominatettr commun consultants solitude morale tot aimeriez-vous changer rencontres célibataires désormais rencontrez grâce étude psychologique préalable partenaires dont caractère affec- tivité sexualité compatibles vôtres chance fantastique offre ion monde change changez aussi façon découvrir celle cherchez vie parle beaucoup ion depuis 1950 315 articles plus 100 émissions radio t.v livres film traité progrès scientifique plus extraordinaire temps île domaine mariage lire notamment vers civilisation couple l.m jentel préface louis armand l'académie française toutes ion international institut psychologie paris bruxelles genéve montréal rec rencontre sous fours envoyez-mol gratuitement documentation couleurs sous pli neutre cacheté mme mile .............. ........ ..... prénom ......... ......... age ......... adresse ... uso sceresesreseee jon france rue saintlazare 75009 paris tél 526.70.85 ion rhone-alpes psr avenue rockefeller 69003 lyon tél 54.25.44 cours berriat 380 grenoble tél 44,19.61 ion belgique psb rue marchéaux-herbes 105 bte 1000 bruxellestéléphone 511.74.30 ion suisse pss rue lyon 1203 geneve tél 022.45.72.60."
9,10,allan reerenrr series nes mimi descendu pente refusant d'en chercher rocessus dan- vicieux l'ont surmonté alors abandonnant travail autre fuyant leurs amis gereux parce qu'il met route cer evient plus prolonge décrochement pius difficile reprendre pied vie amis envie manifester cheque devenu pré-clochard selon l'expressl marcel daniel homme femme c'est plus rare plus assez énergie tirer d'affaire tout seul encore samment appeler secours foie moment-là main tendue etc nière étape fin l'espoir désir resp soi l'indifférence mort-vivant oreille sympathisante fait-on porte ouverte désespé- rés donne secours naïure argent vêtements logement cas ur- gence oriente vers organisme assis- tance parce cela apporterait qu'un soulagement immédiat a-t-on expliqué citant proverbe chinois donne poisson homme nourris repas apprends-lui pêcher nourris toute vie. non plus traitement psychiatrique accueillants qualifiés cela alors quoi donc client parle écouté c'est besoin aussi fondamental manger boire estime marcel daniel parler simplement parler vertu thérapeutique comme chacun peut s'en rendre compte simple fait d'exprimer colère douleur rend plus calmes plus maîtres plus prendre décisions accueillants porte ouverte l'oreille attentive ceux n'en d'autre passage soulignent d'un mot éléments positifs client tout entier drame n'avait vus lui-même points forts lesquels peut s'appuyer rebâtir vie s'il veut s'il veut peut centre l'aide encore l'acceptant tel qu'il ainsi jeanne vieille dame venue appa- litres esa fer premiere dstintte rar sre sre corsa demande pratique qu'on l'aide retrou rence ver jeune amant là-dessus entame louanges garçon merveilleux délicat amoureux travers discours l'accuelllants perçoit sans peine gigolo question petite crapule disparu toutes économies pauvre femme ... n'en dit rien écoute sympathie vieil femme s'en réconfortée n'était vrai ment venue chercher aide qu'elle obtenue plus efficacement police dures vérités déjà assénées familiers goguenards franchement hilares refler regard amical d'elle-même telle qu'elle voulait voir encore aimable aimée garçon merveilleux ... voit tout repose accueillants aucun d'eux n'est psychologue leurs professions diverses secrétaire employé banque chauffeur taxi etc aussi bonne proportion femmes foyer car faut pouvoir donner temps journée candidats l'accueil tous admis quatre cinq entretiens préliminaires permettent responsables d'éliminer ceux semblent faits cette tâche ainsi écartés gens viennent s'arracher ennui risquent d'être vite rebutés ceux très rigides figés leurs principes inca- pables remettre cause imposeraient leurs solutions ceux tellement avides d'affection qu'ils risquent parasiter leurs clients utiliser satisfaire leurs propres besoins immatures n'ont pris distance rapport leurs propres problèmes arrivent disant n'ai pro- blèmes donc bien qualifié m'occuper ceux autres risquent d'être vite démolis travail dur contribuer suhallent certains jeun réflexion chiatres che1 chaque singthuit per édit dur travail car dur vétérans l'accueil quelques pénibles souvenirs paul paranoïaque changeait psychanalyste tous trois mois rui venait régulièrement porte ouverte injuriait l'accueillant service pendant deux heures l'inconnu larmes entré soir raconte raymonde dit mot voyais qu'il n'avait force s'asseoir parler qu'il fallait presser simplement restée debout côté pendant dix minutes dix minutes pleurs silencieux jure c'est long l'habitude voir pleurer homme ... puis sorti seuil porte dit tout petit merci peut-être est-il revenu autre jour at-il parlé quelqu'un d'autre sans raymonde sache cest autre côté ingrat frustrant travail clients réguliers dont suit l'évolution accueillants m'ont droit fixer rendez-vous personnels plusieurs raisons d'abord porte ouverte organisés voir suite l'article stages sensorielle eoupe rater etes
