,page,text
0,1,"nie uel/difeusionin 1.95 5,50 f.s canada 81. é.b suisse belgique moment ernean"
1,2,laipremièreide 81f.de port etemballage leideuxième jerneim'engage äirlen d'autre gratuit jeipourrai retourñer sous jours sans examie renvousdevoir découper recopier rappelant cgt r108 retourner culturo art loisirs france b.p 19—6937l looscedex nom belgique palais.st-jacques 7500 tournai suisse rte d'oron 1010 lausanne prénom veuillez m'envoyer communication gratuite l'encyclo- rue pédie savoir s'exprimer durant jours j'aurai tout-le loisir l'utiliser codeipostalil ville passé délai pourrai garder régler xen mensualités signature obligatoire flnuu tor sex savoir parler savoir ecrire etc esérn— augmenter chances savoir parler savoir écrire sävoir lire plus vite 544 développer mémoire grand guide correspondance format savoir présenter sene apprendre négocier 114 champs-élysées eômmuniquer 75391 paris cedex 25. rue louis-le grand 75002-paris enfamille etre leader.etc conseils pratiques exemples exercices cas vraiment concrets tests faire vous-même aidér équipe spécialistes parmillesquéls yves furet homme qui-à appris parlèr grands leaders actuëéls famille correspondance démarches réclamations contrats etc metier cadre secrétaire représentant vendeuse enseignant etc études s6yez étudiant guilÿcéen
2,3,dsmcroioue connaissance soi connaissance autres février 1979 109 forum nos.lecteurs écrivent editorial prostitution thérapie familiale entrée discrète france claude bonnafont psychologie expérimentale comment développe cerveau l'intelligence dépend part environnement evelyne dumont psychologie clinique bref france société gamins bogota exemple contre-société enfantine bernard'irapp couple l'homme foyer femme fait 'bouillir marmite prévention suicide deuxième cause mortalité chez adolescents yannick bourdoiseau enfants élèventils leurs parents autant qu'ils élevés pâr julius ségal herbert yahres italie sexologie l'homosexualité n'est mäladie hommes femmés comme autrés ashley montagu grande-bretagne librairie lla peur occident jean delumeau débloquez émotions jérôme liss il'humain branché jean ambrosi bref canada .belgique psychologie prochain numéro paraîtra jeudi mars 1979 ———————— psychol depart edite centre d'etude promotion lecture abonner 114 champs-elysees 75008 paris 359.84.16. vovezpage70
3,4,for tnn marcel treo biaux répond lecteurs perds plus plus mémoire j'ai depuis deux trois ans baisse très importante aplitude mémorisation d'attention ainsi compréhension études alors j'ai toujours résultats brillants passé temps constatais cette incapacité puis dire ressentais permanence maux tête incessants faire m.c.- paris troubles dont plaignez groubles l'attention mémoire maux tête difficultés concentration ressemblent svniptômes d'une accumulation fatigue peuvent avoir bien causes l'on exclut maladie suractivité facteurs milieu erreurs d'alimentation effet facteurs psychologiques physiologique faut explorer terqu'il faut retenir comme rappelle léonid petrescu surmenage paris editions universitaires 1970 extrêmement divers étroitement entrelacés qu'il faut avoir l'astuce d'un sherlock holmes patience d'un psychanalyste détecter interpréter s'agit d'un très vaste chapitre lequel difficile voir clairement vrais agents frustration manque d'intérêt travail effectué conflits poids responsabilités propre sensibilité monotonie problèmes vie sexuelle difficultés familiales etc attribuer ssignification précise causes possibles surmenage faut examiner contexte choc brutal tempérament l'individu concerne plus pârticulièrement migraines psychanalyse montré personnes souveni sans cause orga nique bien entendu sujets névrotiques d'une grande instabilité émotionnelle elles facilement déprimées migraine élé définie comme forme mineure dépression sexuellement inhibées fortement attachées leurs parents certains auteurs insisté l'impression donnent personnalités migraineuses d'être constam ment frain combattre hostilité inconsciente frieda frommreichmann suggéré maux tête contexte constitrient retournement contre propre tète sujet hostilité inconsciente dirigée particulier desseir destruction l'intelligence l'objet d'autres termes castration mentale comme insistez céphalées possible autres symptômes signalez psychanalyste d'autres manifestations sentiments culpabilité cette hostilité suscite bea sous laquelle lisme groupe l'éthylisme mondain représente nine troisième forme toutefois nuances l'al coolisme qu'une maladie conune tous symptômes curabilité dépend rituel appellation regroupe l'alcoo- alcoolisme plus symptôme ucoup facteurs particulier l'âge degré d'intoxication liens sociaux personnalité l'éthylique essentiellement cause l'alcoolisine encore fois elles peuvent avoir différents traitements embien d'autres déterminantes ployés lutte contre l'alcoolhnitant seules causes psycholo- lisme malheureusement fous giques particulier l'asthénie taux relativement élevé d'échecs véritablement difficultés dont souffrez paraissent insurmontables propres moyens faut bien sûr consulter médecin psychiatre psÿchologue psychanalyste culture psychologique doit permettre d'orienter choix vers spécialiste semble mieux répondre attente malleureutsement possible recommander praticien plutôt qu'un autre faut enfin oublier troubles peuvent avoir origine rain avant s'avancer sutr cclui psychologique aussi première démarche doitelle être faite auprès généraliste voudrais précisions l'alcoolisme pourriez-vous fépoñdre quelques questions l'alcôélisme l'alcoolisine est-il maladie mentale incurable quelles possibilités guérison rémissiôn quels traitements pourcentage réussite pourriez-vous aussi m'indiquer ouvrages sujet c.-malmedy problème l'alcoolisme problème fois social psychologi écononiique mériterait longs développements ne.permet cette rubrique effet plusieurs alcoolismes diverses classifications proposées est-ce maladie men tale certes recours l'alcool intervient nombreux états psychotiques dont schizophrénies syndromes maniaco-dépressifs épilepsies surtout diverses formes personnalités psychotiques s'agit l'alcoolisme pathologique l'alcoolisme refuge timides frustrés constitue autre forme plus fréquent stimulantes sédatives tension anxieuse l'inconvénient sujet d'une aliénation l'apomorphine feldman lise l'action vomitive sulframe recommandé provoque réacti vécues comm compile tenu alcooliques vrose singulière d'environ nonbreuses rechultes traitements peuvent être conduits hôpital sous forme cures ambulatoires rop énumérer loi détai gue cures médicamenteuses substitution soufie nombreux qu'on puisse distinn consistant drogttes combaitre malade elles faire passer autre dégoût refus préconisée 953 dont utlsoit dijacobsen martensen-larsen 1947 ons vasomotrices punitions personnalité légalisent né- remplacer l'alcool cures ænfin psychothérapies individuelles groupe sous formes diverses tentées taux relativement élevé d'échecs traitements employés seuls vient d'être indiqué fait nombreux cas associe traïitements faisant place plus plus large sinon dominante psychothérapie bibliographie sujet doutez considérable limiter livres récents l'ouvrage mijolla s.a. shentoub psychanalyse l'alcoolisme paris payot 1973 comporte index bibliographique textes psychanalytiques consacrés l'alcoolisme jusqu'en 1972. peu plus ancien vécu alcoolique roland claude gori annick bondoux paris editions universitaires 1970 comporte êga lement bibliographie peu aussi conseiller lecture laï coolisme lereboullet paris j.b. baillière 1972 ouvrages peut ajouter l'étude d'yves dur rand jean morenon l'imagt naire l'alcoolisme paris edi tions universitaires 1972 vou
4,5,"rrouverez également revue l'alcoolisme publie groupement médical l'alcoolisme dirigé perrin s'adresse plus particulièrement médecins certain nombre d'articles intéressants d'autre part comnité national défense contre l'alcoolisme association privée coordonne contuités départenienrtaux mènent souligne henri aune action active très large faveur propagande antialcoolique édite santé alcool santé conclurai rappelant tous manuels psychiatrie coniportent tin plusieurs chapitres l'alcoolisnie quelles différentes revues psychologie pouvez-vous donner liste revues psychologie langue française j.w.- toulon d'une part langue française parlée nombreux pays n'est possible recenser toutes revues publiées cette langue travers monde d'autre part psychologie couvre domainues très divers ainsi revues psychologie pure faudrait ajouter revues traitant pédagogie d'orientation professionnelle psychanalyse voire psychiatrie pharmacologie font .part plus moins grande psychologie auxquelles l'inverse psychologie donne part plus moins importante voici néanmoins quelques titres liste matériel couleurs musique connaissance divan psy- biance d'un cabiñet d'un salons comme manest difficile formuler règles appartient fournir liste diplômes qu'ils délivrent n'ont valeur officielle car graphologie s'efforce devenir scientifique l'est encore puis ajoutait exercer compte aucune qualification particulière n'est requise suffit payer taxe professionnelle ... d'attendre clients. eiant administratrice société française graphologie abonnée revue j'ai fait part cette information mme suzanne brésard présidente s.f.g prié donner précisions société française graphologie dont siège social trouve rue las-cases 75007 paris reconnue d'utilité publique diplôme exigé groupement graphologues conseils france g.c.f obtenir diplôme groupement société française graphologie dispense cours publics frois ans préparer diplôme groupement graphologues conseils exige encore deux ans cours monographie être agréé l'on reçu examen membre titulaire g.g.cef diplôme g.gcf vient d'être homologué ministère travail j.0 août 1978 niveau niveau considéré comme équivalence licencemaîtrise-ingénieur psychologie scolaire avenue landes 92150 suresnes revue psychologie appliquée avenue victor-hugo 75783 paris cedex travail hiunnain rue jean-de-beauvais 75005 paris revue belge psychologie pédagogie rue disque 1020 bruxelles archives psychologie case postale 229 121 genève bulletin psychologie scolaire d'orientation 296 avenue 1150 bruxelles l'ambiance cabinets psychologie existe-t-il ouvrages traitant l'eambiance lieux pratique psychologie cabinets i.m.p. centres socio-éducatifs j'en- tends ambiance l'agencement etc m.g.- nice …,2 chanalyste sujet duquel beaucoup écrit seule pièce d'ameublement psychologique donné lieu gloses raison reau reprendre terne très importante ouvrages décoration comportent général chapitre question am- s.d.-paris compléments d'information apportées cette lettre déjà communiqués lecteurs n'en demeure moins n'importe peut sans avoir justifier d'une formation d'un titre quelconque quent proposer décors plus moins fonctionnels inais valables tous cas car loin d'en être limitative auxquels personnalité l'hôte l'image légalement s'installer comme convient d'ajouter publications qu'il cherche donner entrent graphologue départements sciences ligne compte pourra ainsi d'ailleurs psy cadre clinique froid aseptisé préférer lieu chaleureux accueillant toutefois qu'on peut préconiser d'une façon générale c'est environnement neutre bienveillant conformité neutralité bienveillante attitude recommandée psychologie ceux oni commerce autriti chologues honni mal pense maines diverses universités annales médico-psvchologiques 120 boulevard saint-germain 75280 paris cedex l'année psychologique 108 boulevard saint-germain 75006 paris bulletin psychologie rue sorbonne 75005 paris cahiers psychologie université provence 13621 aix cedex enfance rue gay-lussac 75005 paris etudes psychothérapiques 174 boulevard malesherbes 75017 paris psychologie 114 avenue 75008 paris psychologie française rue serpentite 75006 paris psychologie médicale rue drouot 75009 paris comment devient-on assistante sociale travaille comme éducatrice préstagiaire voudrais devenir assistante sociale quelles qualités requises exercer cette profession æen quoi consiste différentes activités selon secteur l'emploie quelles différences charnières entre rôle d'une éducatrice celui d'une assistante sociale m.-j.c.- flines-lesmortagne encore précisions graphologie 103 d'août 1978 rubrique forum marcel turbiaux répondant lecteur périgueux propos question comment champs-elysées devenir assistante service social c'est l'appellation officielle faut outre bonne santé excellent équilibre nerveux posséder goût contacts humains devenir graphologue écrivait connaissance formation graphologues assurée organismes privés dont nou"
5,6,facultés compréhension persévérance d'initiative l'activité l'assistant car cette profession attire plus plus jeunes gens service social extrémement diverse car peut s'exercer aussi bien services publics administration l'etat servires départementaux nuicipaux services sauté population exemple aide sociale centres protection maternelle infantile dispensaires secteur privé entreprises indrts trielles commerciales compagnies d'assurances banques grands magasins œuvres d'assistance comme associations paralysés sauvegarde l'enfance l'adolescence conditions recrutement fort variables titres sn.c.f concours préfecture paris quatre cinq ans pratique professionnelle exigés mines d'une façon générale l'assistante sociale ouverts déboucliés services protection l'enfance l'adolescence tâches niédico-sociales sociales profecrion maternelle infantile service social scolaire service l'aide l'enfance naisons maternelles pupilles l'etat service prévention services sauvegarde l'enfance l'adolescence délinquantes assistantes sociales utilisées aussi services prorection médico-sociale lutte contre maladies d'hygiène sociale service social l'hôpital d'hospitalisations domicile services dits familiaux recourent également assistantes sociales contribuer résolution problèmes posent différents membres famille rencontre aussi assistantes sociales certains services créés calégories particulières bénéficiaires comme service social prisons service social enseignants service social rapatriés service social établissements réadaptation rééducation reclassement professionnel inadaptés enfin centres sociaux maisons jeuñes centre culture foyers ruraux elc utilisent également assistantes sociales ajoutons préfecture paris emploie assistants service social postes suivants assistant social scolaire centres riédico-pédagogiques assistant social dispensaires hôpitaux psychiatriques assistant social familial déportemental assistant social permanences d'accueil mairies établissements municipaux assistant social l'aide sociale l'enjance prévention assistant sociâl personnel croix-rouge forme elle-même propres assistants sociaux général formation trois ans dispensée écoles d'assistants service soctdt plus d'une cinquantaine francè dont plus d'une douzaine paris région parisienne ens- titut nniversitaire technologie requiert baccalauréat titre admis équivalence grand nombre d'écoles guccès examen dif sélection entretien préliminaire période probation diplôme d'etat d'assistant social donne possibilité spécialiser comme conseiller travail surin jendant d'usine come assistant service social milieu rural contre n'ai saisi sens question différences entre rôle d'une éducatrice celui d'une assistante sociale existe association nationale assistants service social rue stockholm 75008 paris pourra peut-être répondre questions posez argument fait cela démontre surtout difficultés temps qu'il faut faire admettre découvertes nouvelles lorsqu'elles s'accordent idées cours puis pilz glisse texte certaines affirmations comme s'il s'agissait choses allant soi admises tous telles celui animaux borner ramener composantes pul sionnelles innées aflirmations appartiennent cer tainement l'idéologie auteur ais plan scientifique peut tout aussi bien dire contraire pilz déclare recherches éthologiques juslifiées affirmations citées ci-dessus pouryaient faire douter sincérité sujet d'ailleurs peut demander s'il compris véritable portée l'éthologie cas l'agressivité tante lorenz dit concerne tante lorenz dernier méconnaît comportement vieille dame également marqué structures personnalité ... justement l'agressivité élément important structures personnalité puis piz critique déolaration certains éthologues qualifiant d'hypothèse gratuite cette déc'aration suivante constances événements économiques soumi naturelles. gratuite car pondre fonctionne-t-elle selôn jois ñaturelles sous celles-ci exemple citant tout simplement ïle naturelle n'est-elle 'les cirsociaux lois qu'il s'agisse d'une hypothèse jois voudrait-il donc évène ments soumis l'influence pilz dit également destin hommes n'est dont biologie font. cela suppose raison capable libérer dote qu'ils l'intelligence besoins biologiques fonctionner librement c'est bien ést souhaitable effet obtenir résultat nécessaire connaître absoluüinent besoins biologiques besoins psychologiques liés sinon cette hbération illusoire cela l'éthologie n'est-elle outil indispensable cértes éthologues parfois entraînés enthousiasme prennent risqués voit cela däns toutes branches comportement animaux obéit science quoi faire tel procès crois jours peut plus faire lablement sciences humaines certainement autres motivations celui humains c'est côté social décide deviendra coté biologique encore modes comportement humain peuvent concevoir comme chaîne linéaire reliant causes effets cela possible l'on pouvail classer comportement humain par- sans éthologie c'est peut féconder sciences humaines empêcher s'émpêtrer bavar dages abstraits genève
6,7,déposant assemblée nationale proposition l'abrogation loi marthe richard 1946 cet réouverture maisons tolérance joël tac député paris l'encontre courant d'idées dominant depuis siècle filles noces paraît point nommé premier ouvrage scientifique consacré prostitution française contemporaince historien métier alain corbin montre après renfermement filles publiques mis place révolution française déclin bordel amorcé dès second empire poursuivi jusqu jours l'exception quelques brèves périodes deux guerres mondiales exemple toutes statistiques lle xxx siècle dont dispose l'historien révèlent clients occasionnels constituent pratique plus nombreuse prostituée client habitué l'exception tous documents confirment prostitution n'est qu'un pis-aller trans formations socio-économiques entraîné recul misère sexuelle celles mentalités particulier l'évolution sensibilité masculine tend pimenter sentiments toutes formes rapports sexuels suscité l'évolution amené disparition maisons closes rapports prostituée aussi écrit alain corbin l'érotique prend génital rencontré hasard rue bar fille vénale peut permettre sâätisfaire partiellement besoin d'une sexualité relationnelle développée sein société urbaine course précipitée vers centres contrôlés l'etat dès première guerre mondiale milieu celui contrôle prostitution commencé prendre parti désenfermement filles publiques s'était organisé contrôler psychologiquement prostituées extérieur maisons contrôler économiquement lieux s'exerçait prostitution possession gestion bars s'opèrent rencontres hôtels passe surtout partir 1960 lorsque courant législatif policier entreprit chasse accrue proxénètes rostituition long cetie histoire réouverture maisons périodiquement réclaméce parlement projets toujours repoussés dès premier examen commission pourquoi celle nouvelle offensive r'écente l'assemblée nationale ferons l'injure soupçonner député paris d'être directement manipulé groupes pression pensons qu'il simplement pris ambiance nouvelle qu'il devenu voix ainsi lorsque projet prend comme justification développement violence piégé mythe travaux expérimentaux n'ont établir lien entre agressivité sexualité l'évidence ailleurs prétendue misère sexuelle qu'il faut recher cher l'explication agressions métro vols grands magasins .de multiplication cambriolages chômage incitations la.consommation aütres phénomènes encore c'ést céder facilité pâr ile recours michel foucault-qui sonüier s'est intéressé exclus l'histoire montré sort fait maïginaux écläirait réalité société dominante parfois âütant qué étude directe instar historiens nouvelle histoire intéressés pauvres vagabonds juifs intellectuels études comparatives prostitution montrent situation prostituée origine comportements relations société constamment changé cétte dialectique évolutive gelée 1946 fer meture maisons 1960 répression proxénétisme partir 1968 libéralisation accélérée mœurs privé prostitution fonction iniliatrice tradition sienne c'est surtout évolution conscience féminine transformé prostitution mentalité prostituées cours dix dernières années écoulées lés filles joie émancipées comme toutes femmes elles achètent louent plusieurs ——. elles prétendent choisir leurs clients ædhtorial jocques imousseau studios exercer activité c'est celles plus plus déci- dent dela somme verser ami protecteur elles moins cou pées milieu familial donc moins marginalisées marseille moitié d'entre elles habitent chez leurs parents fait souligne prostitution devenue plus souvent choix volontaire certai- nes prétendent allier plaisir vénalité l'occupation églises mouvement 1975 abouti demande d'un statut prostitution témoigne publi- quement cette nouvelle mentalité prostitution écrit alain corbin parfois vécue comme îitiné- rairé d'ascension sociale alors n'assistons-nous trois ans après réaction somme toute prévisible milieu peut désirer reprendre main situation échappe réouverture maï- sons peut paraître aujourd hui seule solution quand contrôle appartient plus sans vouloir projet loi peut servir tél dessein souterrain député d'autant plus enclin faire telle proposition qu'il l'opinion selon sondage sofres françäis hommes fein- égalité presque partisäns projet chifires traduisent inquiétude public éntré prostituée fait chan delle ruëé saäint-dénis paris call girl reçoit rendez-vous fille libérée insèré annonces däns grande présse chôméusé besoin d'assurer fin inois l'étudiañté dédaigne p4s faire payer jouissance qu'elle prend non plus seulement qu'elle donne femme vit selon canons libre sexualité l'épouse honnête devenu impossible savoir fait quoi pourquoi alors l'opinion publique aime choses claires applaudit quand envisage réta- blir cloisonnements maisons closes maisons d'ordre cherche plus loin faire nom corbin filles noces paris aubiermontaigne voir nouvelle histoire l'étude jean-claude schmitt histoire marginaux paris retz 1978 sondage .ellectué décembre 1974 auprès d'un échantillonnage représéntatif 800 personnes figaro-magazine
7,8,terres
8,9,femme âgée solide énergique martiale conduit chez thérapeute fille jeune personne gracile visage poupée l'expression perdue sans défense depuis sept ans fanny souffre migraines céphalées dyspnées angoisses sensations cardiaques raconte mère psychiatres diagnostiqué tour tour hyperthvroïdiel névrose hystérique troubles personnalité hystérie infantile dépressions atypiques hébéphrénie insidieuse fanny soumise thérapie d'électrochocs psychothérapie analytique interrompue bout d'un d'innombrables traitements pharmacologiques entre séjours cliniqué psychiatrique passe journées divan gémir regarder télévision feuilleter magazines mère soigne dévouement assure entièrement l'entretien matériel trio car mari s'est glissé entre mère surprotectrice dominatrice fille trente ans symbiotiquement cramponnée mari fuyant impénétrable renoncé sans faire d'histoires tout rapport sexuel femme n'äpparaît qu'aux repas. l'examen dossier fanny fait ressortir rôle envahissant perturbateur contrariant joué mère traitements précédents qu'elle s'est évértuée faire échouer l'éventuelle guérison/émancipation relations familiales souvent plus malades individus ilustration marie-hélène pons thérapie familiale entrée discrète france fille représenterait arrachement intolérable l'issue premier entretien thérapeute sait qu'il vain soigner fille l'encontre mère fait jusque-là qu'il convient traiter conjointement l'une l'autre sans perdre vue perspective d'introduire ultérieuremient mari fantôme -dans processus thérapeutique cas précis comme beaucoup autres c'est thérapie familiale qu'il faut méttré route thérapie centrée groupe thérapie familiale dont fon déménñts élaborés æetatsunis années 1950 chercheurs mental reséarch institute palo alto objet soigner individu quelle étiquette nosographique groupe familial ensemble considérant cet individu indissociable famille symptomatologieÿ support tensions familiales engendrée et/ou maintenue paï ensemble relations parents frères sœurs thérapie familiale s'adresse famille entière tous parents disponibles assistent participent séances thérapie l'effort thérapeute porte noù réduction symptôme tel tel membre désigné comme malade fonctionnement cette famille fonctionnemeñt qu'il postule défectueux donc pathogène changement radical orienta- claude bonnafont tion psychothérapie précédemment centrée l'individu résulte l'évolution rapide la-psychiatrie etats-unis indépendante depuis longtemps neurologie toujours 1rès sensible données issues vie groupes soutenus fonds recherche considérables nombreux psychiatres américains s'intéressèrent pathologie familiale qu'une sétie d'observations convergentes relevées nombre thérapeutes cours pratiqué désignait comme -ün thème majeur rechérché réflexion suivis d'autrés praticiens tels travailléeurs sociaux parmi observations trôublantes constamment signalées propos thérapies individuelles figurent premier chef îles essais d'intérvention membres famille traitémént malade parents offrent thérapeute conséils traitement conviendrait patient informations sûr vie uné aide ambivalente maäladroite plaignent traitement cours critiquent cherchent introduire pro0 activité excessive glande thyroïde troubles mentaux survenant moment puberté manifestant mélancolie mouvements colère violence groupés sous direction paul mwatzslawick chercheurs palo alto élaboré logique communication empruntée linguistique cybernétique expliquer maladie mentale notamment psychose théorie fondée l'idée malade lieu relation fonction environnement notamment famille l'entoure nosographie description maladies etude symptômes maladies
9,10,cessus thérapeutique essaient saboter derrière interventio réitérées jugées intempestives psychiatrie classique pionnie .de thérapie familiale reconnurer l'expression souffrance famille entière appel aide sert aussi quoi sert maladie deux autres séries phénomènes d'observation courante témoignent l'interdépendance psychologique membres -j'intérieur famille patients psychotiques isolés hospitalisés loin famille dont l'état mental s'améliore vont souvent plus mal régressent 1€chutent façon catastrophique après visite lettre coup téléphone membre famille souvent lorsqu'ils réintègrent foyer familial après l'hospitalisation note aussi progrès amélioration évidents d'un patient s'accompagnent souvent d'une dégradation l'état psychique d'un plusieurs autres membres famille l'interdépendance sein famille double surcroît complicité tacite les-patients longtemps considérés comme victimes famille semblent fait perpétuer rôle victime auquel prêtent d'aütre part aptes martyriser retour famille enfin connu depuis longtemps déjà thérapies individuelles entraînent modifications comportement niveau famille patient traité cas patient porte seul charge changement familial subit fait critique uné pression accrues part autres membres famille peut constituer frein entrave évolution tous faits connus longue date demeuraient suspens car savait quelle conclusion théorique quelle utilisation pratique tirer dès années 1930 cependant thérapeutes mouvement child guidance reconnu nature interpersonnelle maladies mentales traitaient parallèlement mère enfant porteur symptôme s'aperçurent ensuite nécessité d'inclure père traitement ensemble plupart pères dérobèrent sejon observations thérapeutes child guidance fait parents affectivement proches l'un l'autre qu'ils s'investissent mutuellement plus qu'ils n'investissent l'enfant influe favorablement traitement l'enfant contre lorsque parents affective10 fantis essaient -ents enfan outefn çest ren leurs désir datant féporen développer raires tenté fase ent divorce axé pathologique trop branché traite compo rane conflits reflétant efets pos moindres nul carica rents l'enfant ensem visen envisageant lque dégagée n'est besoin deux pare jon optiq hiatrie classi- demandes contradictoires fais dpos psyc psyohana d'enfant cette situation pren ividuelle éricains deue pathogène parent uni 1yse chercheurs inévitable peut suffire article vinrent cette con comme meux publié 1936 vers théorie schizophrénie cherche file îla thérapi entité gauilibre entre chefs sapie fami maintenir plôme patient gregory bateson don jak membres sympa famille jey haley john weaklanq identifié comme tel sert fonction qu'individuellc aussi bien ouvrage thérapie couple familleé virginia satir développe autre post ulat thérapie familiale île principal facteur générateur symptômes chez l'enfant relation conjugale dysfonctionnélle lorsque pa- rents architectes famille déçus l'un l'autre malheu- reux relation mutuelle transmettent leurs éffants vision monde affectée leurs sentiments d'inquiétude confusion vide désespoir plus lieu s'aider mutuellement éduquer l'enfant conduire vers propre autonomie chacun parents utilise fins propres comme allié potentiel contre conjoint comme intermédiaire chargé trans- mettre messages conjoints peuvent échanger directement encore comme pacificateur enfin chacun parents tend vivre l'enfant comme extension soi devra vouloir penser sir comme réparer erreurs geser rêves ambitions mener bien lorsque mauvaises relations conjugales entraînent telles distor- sions relations entre parents enfants derniers trouvent téralement coincés demandes attente parents mis évidence concept double bind cette expression parfois traduite français dar double lien parfois aussi double contrainte paraît plus juste définit situation d'un individu affronté message contradictoire comprend fois injonction primaire négative injenction secondaire confit première voici exemple situation double contrainte proposé auteurs cités jeune homme -bien remis d'un épisode schizophrénique aigu reçu l'hôpital visite mère heureux revoir pulsivement mit bras autour épaules aussitôt raidit retira bras demanda m'aimés dônc plus rougit alors ajouta chéri devrais être aussi facile ment embarrassé effräyé sentiments. patient put rester quelques minutes ellé dès départ 'il agréssa inifirmier dut être bäigné gomprendre rapports dépendance l'intériëur famille selon théorie proposée auteurs schizophrénie résulte l'expérience prolongée situations répétitives double contrainte infligéèés l'individu l'enfant personnages mère parents .qui d'importance vitale partir cette théorie logique recherche dirigeât vers étude approfondie communication familles l'exploration techniques possibles thérapie familiale travailler familles nécessitait toutefois modèle théorique prît considération histoire préalable membres ceti famille rapports dépendance entre modèle allait être celui théorie générale systèmes thérapeutes famille paris l'epi 1977
