,page,text
0,1,aor lulu mme lle 5.50fs anada 1.9 lauban scienc politi pis recrutement 1es caures auto-ana enfanis incassables acl eee sud feusic
1,2,"blatséo jusqu 46°.0 scio oautouso livréo avoc lemos scio clocho livréo avoc lames ensomblo poncor luatror mouler compronant plotoau caoutchouc 125mm ovoc axe porto-outllot flasquos bonnot coton 126 jou disques abrasifs moulo abraslve brosso métulilque oxo gmm porto maulo brosse güchette 'lz ho0 ure livraison sous jours pochotto forûts garantie carburo 1,5 6,5 piècos main d'œuvre offre valablo france métropolitainq psychologie 114 champs-elysées 75008 paris veuillez 8nvoyyer sans aucun frais port l'ensemble skil compre- rant perceuse tous accessoires cholsis conditions règlement suivantes comptent 682 francs port compris crédit 791 gratuit 145 francs commande puis mensualités francs chacune 682 francs contre remboursement c.a 689 règle chèque bancaire c.c.p volets mandat lettre l'exclusion tout autre mode palement l'ordre pyco- distribution n'étais entlèrement satisfait bout jours renver rais l'ensemble skil emballage d'origine serals intégrale ment remboursé toutes las versées"
2,3,dsmcroïiooicre école sciences connaissance soi qul connaissance autres sociales politiques bibliothèque mai 1979 112 editorial lecteurs êtes-vous claudie bert forum lecteurs écrivent psychologie loisirs l'acte photographique psychologue lève voile pourquoi fait-on photographie stanley milgram psychologie clinique médecine psychosomatique soigne corps l'esprit ensemble chantal rudder bref france connaissance soi peut-on s'analyser soi-même c'est difficile c'est possible andré gall chronique mentalité jacques mousseau enfance adolescence enfants incassables enfants fous sadiques restent équilibrés maya pines bref allemagne société chasse cadres aujourd'hui moins tests davantage d'entretiens tri sévère catherine chaine bref etats-unis parle recrudescence guérisseurs allemagne entretien karl pribram chercheur neurochirurgien mémoire fonctionnerait comme hologramme daniel goleman ogie comportement l'intégration posturale libère émotions agissant muscles jean-claude guyard librairie constellation familiale dana folie chose littéraire felman l'enfant lignage rabain autres parutions prochain numéro paraîtra jeudi juin 197
3,4,école rinitiationmet immenthaux organisme privé d'enseignement distance fondé 1953 régi loi 12/7/71 cours correspondance cours oraux sessions conféÿ rences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient caractérologie morphopsychollogie graphologie orientation sélection professionnelles inscriptions toute l'année rythme d'étude individualisé frais d'études comptabilisables dépenses formation permanente gaillat villa st-pierre 94220 charenton bio-energie gestalt analyse antagoniste energétique mentale energétique corporelle analyse transactionnelle stages d'été jours midi alpes région parisienne consultations d'orientation come prinen soirée d'information mai juin 20h centre d'evalution gratuit renseignements 976-70-04 bon retourner pouf programme gratuit indip centre d'evolution rue pères 75007 paris dent psco-crapholoqie forma fils prend holocauste roman discussion fils douze ans propos holocausle fait réfléchir très profondément attend demain après avoir bataiïllé conscience n'ai voulu qu'il regarde cette série bien sûr dialogue découlé plus dur cette discussion d'entendre fils dire maman crois puisse exister être sûr j'irai voir camps concentration pourtant bien fois parlé guerre manque pourriture etc. pierre fils sait bien deux grands-pères pri- sonniers guerre morts suites détention aussi courant qu'enfant normande d'origine j'ai passé vingt-six heures enterrée vivante abri j'en restée claustrophobe c'est donc toute l'éducation re- mise question comment faire passer communication entre enfants comment faire admettre hommes peuvent tuer délibérément d'autres humains sans prétexte mme saint-pavace réaction voire fils nor- male quand dit crois existe j'irai voir camps concentration veut dire m'avez parlé cain peux croire parce parviens imaginer cela j'ai besoin voir. c'est holorévé- raison laquelle causle apparu comme lation tous pays élé projeté alors beau- coup gens avaienr déjà articles livres sujet propos article suicide lisant revue rand intérêt culièrement noire absence cré suicide psychologie parti- élonnés constater article consa- d'organismes appropriés deux nées d'étude décembre 197 ministère santé prévention suicide journées fai l'objet brochure détaillée parue sous ministère santé lee cide politique nes 1975 interventios reproduites ïin extenso pa. ailleurs expérience très spéci fique domaine exposée livre édité récemment privat sous titre mal d'isole ment chevron villette recherches rencontres rue verrerie 75004 paris filre apprend-on d'aide médico-psychologique profession souhaiterais savoir pos- sible préparer certificat d'aide médico-psychologique j.m.- villemonble arrêté secrétaire d'etat près ministre santé famille date novembre 1978 agréés préparation certificat d'aptitude fonctions d'aide médico-psychologique sans précision durée compter rentrée 1978 l'institut formation d'éduca- leurs spécialisés boulevard salyens 13008 marseille l'internat médico-éducatif géré l'apaj.h chû leau buisson 91750 champeueil quatre groupes mouvement jungien paraît renseignements m'avait communiqués lectrice s'était dite agacée ignorance carl gustav jung n'étaient exacts partiellement partiellement erronés voir forum 107 dois l'obligeance secrétaire générale groupe d'études c.g jung rectificatifs préci- sions suivants dont j'espère qu'ils pérmettront clore cette rubrique mouvement jungien comprend donc quatre groupes société française psycho- logie analytique regroupe ana- lystes jungiens président elie humbert rue lanneau 75005 paris secrétaire général docteur monthule 8-10 rue véga 75012 paris jour p'ép rel éll daudier discif finir bise got relati pourtiez-1 tlographie gnseils ris faire part tomnaire gelques part êqe transac elistes fuulion j'ai har autre anaintes colonne
4,5,"0logique tuificat dite villemonbe d'etat hovembre préparation uix fonctions pique sans ipler d'éduceoulevard groupe d'éludes c.g jung rue las-cases 75007 paris résident jean clausse secrétaire générale cécile guillebon conférences débats pupics organisés thème rraité tout long l'année cycle 1978-1979 porte images bibliothèque fonctionne siège 8roupe- groupe recherches psychologie analytique avenue d'uzès 78320 mesnil-saint-denis réunit lous mois psychanalystes jungiens séances travail groupe sud-est siège lyon docteur arthur rue ney 69008 lyon préparer thèse relation dentiste-patient étudiante chirurgie dentaire n'ayant l'occasion d'étudier psychologie bien cette discipline m'attire j'ai choisi finir études sujet thèse deuxième cycle rapporlant relation patient-praticien pourriez-vous m'indiquer bibliographie donner quelques conseils travail j'aimerais faire entre autres partie enquête queslionnaire dont l'élaboration pose quelques problèmes partie l'application pratique cabinet dentaire analyse transactionnelle jeunes dentistes d'ailleurs c'est après parution article sujet j'ai livre docteur thomas harris d'accord soi autres maintes reprises j'ai déploré colonnes moins souvent nécessité paresse éludiants demandent proposer bibliographie sujel psychologique quelconque west toujours d'un intérêt géné- ral répète donc bibliographies comme antholo8les meilleure celle l'on gil soi-même j'ajouterai lassembler bibliosranhie constitue partie essentielle prépara- lion d'une thèse étudiant connaissances patience sais-je traiter sujet len qu'il prenne autre hauteur forces mesure moyens cela posé répondrai conimençant fin lettre l'ouvrage thomas harris l'analyse transactionnelle faites grande grâce penser puis apprendre plus cel auteur certes pouvez ajouter celte lecture celle d'eric berne lui-même livres publiès tra- duction française chez stock chez payof l'ouvrage john dusay claude steiner l'analyse transactionnelle thérapie groupe paris jean-pierre delarge éditeur 1976 donne applications cliniques méthode concerne vois parli l'on peut tirer pratique cabinet dentaire cela d'ailleurs aucune importance suffil voyiez regrelte pouvoir aider d'autre part certain qu'un questionnaire n'est instrument facile concevoir utiliser c'est technique comme autre titre implique tient l'enquête valeur scientifique certain nombre règles principes donc connaissances suggère demander conseil l'un professeurs pense qu'il refusera conseils quant relation patient-praticien fait l'objet nombreuses études publications relation thérapeutique j.-p. vallabrega paris flammarion 1962 livre fondamental autre livre important médecin malade maladie balint paris p.u.f. 1960 précédé peut citer également médecin face malade israël bruxelles dessart 1968 pouvoir médical source maladie jean-claude lachaud toulouse prival 1975 propos bibliographies arrive fréquemment étudiants préparant thèse demandent psychologie indi quer bibliographies d'une part trop petite équipe faire aussi gros travail d'autre part constitution d'une bibliographie étroitement dépendante conception thèse seul l'auteur sait quels aspects sujet doit retenir éliminer pouvons indiquer lecteurs quelques ouvrages base sujet compléter rappelons enfin qu'apprendre conslituer bonne bibliographie constitue aspects formation universitaire celibataires rencontre autre quoi nouveau sérieux étude psychologique solide véritables possibilités rencontres grâce fichier équilibré 1978 51,2 femmes inscrites 48,8 hommes aucune limitation nombre rencontres inscription valable jusqu succès final organisation service quelle région habitez cette etude recevrez établie psychologues diplômés sté graphologie graphologuesconseils france présélection psychologique immense progrès rencontres vie courante menu mme 315 articles presse livres traitéen ans progrès scientifique lire vers civilisation couple l.m jentel préface louis armand académie française toutes librairies ion international institut psychologie fondé 1950 paris bruxelles geneve prernière rencontre toute proche envoyez-mol gratuitement documentation complète sous pli neutre cacheté mme mile ... see eerscccee prénom ............ ........... age ....... ... tin ets moment memes nee vue emmener tee adresse rsr eee eee centre 110n france grue satnt-l paris- tél 526.70.85 ncazare 7600 ion rhone-alpes psr avenue rocke- orme emma sms veus cures name leller 69003 lyon tél 54.25.44 ion belgique psb auxe 105 boite 000 marehé-auxe her dion suisse pss rue lyon 1203 geneve tél 022,45.72.60 ets eee mit jmee ceehgmeruen mme seb"
5,6,nrempsinsces mors nti las lea rice dre ons rtl ner
6,7,pourquoi devient-on photographe l'appareil photographique depuis longtemps familler tendance l'accepter tout naturellement sans poser question sujet voici psychologue stanley milgram vient déranger conlort intellectuel s'interrogeant l'éthique photographie rapports existant entre photographe sujet avance aussi l'idée photographe fait plus qu'enregistrer événement crée l'habitude prendre photographles aujourd'hui répandue oublié comblen récente début xixe siècle fallait individu talent peintre dessinateur pouvoir exécuter l'enregistrement visuel frappait regard fin siècle chacun parvenir grâce simple boîte rectangulaire suffisait regarder petite fenêtre verre dépoli cadrer l'image désirée puis déclencher l'obturateur kodak chargealt reste meilleure façon d'appréhender portée humaine phénomène photographique c'est penser l'apparell pellicule trépied comme objets extérieurs nature l'homme comme prolongements corps apportés l'évolution aussi intrinsèques nature pouce opposable existe insuffisance organique fonctionnement capacltés sensorielles stockage information capacités limitées photographie représente moyen vaincre limites dernlères consistent simplement ceci tout pouvant voir très len choses incapable stocker images façon évoquer sûreté suffisante examens ultérieurs réalité mages emmagasinées incomplète- ment mémoire souvent sous forme hautement schématisée sujettes dépérissement altérations plus mémoire personnelle siège structures neurales l'individu prend directement forme d'un objet extérieur autres peuvent voir lorsque personne meurt toutes images stockées cerveau disparaissent temps l'ensemble l'information cette personne possédait caractère périssable expérience visuelle conduit hommes chercher fixer l'externalisant donnant support plus permanent plus accessible l'examen public cerveau première solution problème apportée développement techniques peinture dessin l'homme capable reproduire qu'il voyalt représentant formes brossant couleurs surface externe cet acte demandait talent tout monde possédait machine geler l'image procédé optochimique d'enregistrement images visuelles mis point xixe siècle photographie permettait tout chacun geler moment expérience visuelle ainsi d'augmenter mémolre prolonger au-delà durée propre vle montrer autres qu'il cette capacité nouvelle flxer l'expérience visuelle l'extérioriser excite curiosité psychologue car conduit poser immédiatement question sulvante qu'est-ce gens choisissent traduire images photographiques durables principe l'apparell pouvait être stanley milgram utilisé enregistrer n'importe quel événement visuel fait gens immense majorité voulurent enregistrer images d'euxmêmes êtres chers l'extraordinaire fortune connut portrait xixe siècle absorba phénomène photographique appétit vorace révélation l'extraordinaire besoin l'on d'un appareil geler images entre 1839 1849 studios commerciaux multiplièrent new york londres paris bâle 1849 cent mille portraits réalisés paris procédé daguerréotypie alentours 1860 ville new york comptait plus cinquante ateliers photographes portraitistes sans doute certains spécialistes gagnaient-ils vie photographiant lieux lointains vendant images demeure l'objectif commercial plus important l'entreprise très loin portrait saisir particularité phénomène songeons lorsque plus tard siècle découvrit moyens techniques d'enregistrer événements non plus visuels sonores portrait vocal donna lieu semblable ruée fait alors gens voulaient photos d'eux-mêmes désiralent enregistrements sonores non propre voix d'objets culturels impersonnels musique surtout ainsi l'enregistrement aspects visuels l'expérience humaine celui aspects sonores sont-ils orientés directions très différentes jours existe centaines magasins disques lesquels allons acheter enregistrements groupes musicaux bien loin trouver quantité galeries pouvons procurer images enregistrées nécessaire d'examiner d'un peu plus près différences séparent
7,8,l'enregistrement visuel l'enregistrement sonore dernier peut avoir lieu partir d'un événement actif n'est cas l'enregistrement visuel personne photographlée demeure passive image peut être enregistrée contraste entre passivité photographie l'activité base l'enregistrement sonore s'étend l'origine l'énergie physique base chacun procédés l'énergle utilisée l'enregistrement d'une voix naît l'activité personne parle mails l'énergie permet d'obtenir photographie cette personne provient d'une source externe lumière cette personne réfléchit peut photographier cadavre peut l'enregistrer cassette nature potentiellement passive l'objet photographié déteint l'ensemble processus l'appareil photographique reproduit qu'est personne capte état sujet agir suffit laisser pénétrer c'est peut-être cette ralson studios d'enregistrement sonore personne enregistrée doit exécuter quelque chose n'ont jamais connu développement comparable celul ateliers photographie phénomène portrait photographique encore plus révélateur l'on considère caractère stéréotype genre après tout personne veut enregistrement visuel d'elle-même pourrait souhaiter cet enregistrement représente train faire quelque chose digne d'intérêt exemple donnant pièce actes traditionnels compris ceux l'on appelle arts populaires public réduit rôle réceptif veut d'ailleurs dire passif reçoit l'œuvre sortie processus fabrication cela vaut également photo xix° siècle revanche existe toute série photo phénomène social pratiques sociales analysées ethnologues sociologues font participer communauté entière cérémonies religieuses familiales fêtes plus simplement rites quotidiens repas famille visites norme sociale vécue jouée directement tous agents sans qu'ils s'en remettre travail d'un autre parvenir comme c'est cas arts série découvertes techniques jelonné l'histoire photographie effet mettant portée tous fatre passer domaine l'art celui rite soclal l'on préfère faire ndiant portant secours animal blessé prétant pévons voisin contraire hommes femmes devant l'appareil plupart falsant rien d'autre tout plus penchés entourés d'autres membres famille gens-là veulent moins traduction photographique d'eux-mêmes train d'accomplir acte donné qu'une description générale personne portrait pose toujours n'est difficile découvrir sources cette attitude certaine mesure dérive tradition portrait toile intéressés l'apparell photographique n'était rien d'autre qu'un moyen bon marché procurer l'équivalent d'une peinture l'huile d'autre part premiers appareils n'étaient assez perfectionnés permettre photographier sujets mouvement étalt avantageux photographe professionnel d'exécuter tout travail entre murs ateller l'attitude examinons ici s'explique surtout désir sujet faire enregistrer postérité non actes spécifiques ressemblance générale tout sachant qu'il n'avait rien d'autre faire tenir assis laisser photographier sujet comprenait cette unique exposition plaque sensible c'était tout poids d'une multitude d'états d'âme moments passer l'amateur d'art rôle spectateur celui d'acteur s'agit donc d'une extension d'un changement d'ordre n'est plus peinture roman qu'il faut comparer photographie mals repas famillal fête saint-jean coup peut expliquer fait désespoir esthètes pourquoi plupart photographes amateurs font-ils obstinément cliché tour eiffel repas commmunlon sans aucun souci d'originalité tout simplement parce qu'il s'agit tout réaliser œuvre d'art compte c'est participer cette 8pproprlation collective monde limite résultat importe moins acte photographier lul-même cette constatation éclaire d'ailleurs fait courant beaucoup gens multiplient jes photos gardent rarement c'est pourquoi aussi ran photographes amateurs melorité fugaces allait être représenté charge ainsi accumulée inst particuller très lourde incite sujet s'efforcer donner meilleure image possible posa face d'un individu falso tous quelques rectiflcations quelques réglages nous-mêmes tenant compte personnalité l'autre demi consciemment capables d'adapter façon d'agir situation cifique lorsque l'on photo graphie problème différent bien image prise seule situation peut être vue beaucoup d'individus beau- coup situations comment dès lors allons-nous adapter l'apparell photographique comment pouvonsnous composer expression faciale généralement utile non simplement utile occasion étroitement définie tactique plus caractéristique surtout l'époque photographie commençait répandre grand public consistait adopter expression traduisant attitude sociale conventionnelle exprimer moment déclic autant ide wertu vique possible cette attitude combinée nécessité technique conserver position immobile pendant quelques minutes aboutissait portraits fois aimables très guindés produit typique ateliers daguerréotypie xixe siècle tous individus vivant siècle dernier avalent fait expérience mésestimer fidélité conduits critères l'illusion réaliste demeurent contraignants veut reconnaître réel non jouer n'est plus comme autrefois imitation peinture nécessité rituelle reconnaissance sociale aussi guides illustrés professionnels photo -les cartes postales îles séries diapositives peuvent-ils multiplier sans entraver progression photo d'amateurs 1977 france seize millions cinq cents mille appareils photographiques plus d'un quatre personnes bébés compris cette année-là s'en vendu deux millions laboratoire société kodak reçolt chaque jour période pointe moins quatre tonnes film couleurs développer milllon six cent mille diapositives claude sigismond gif spl glon visages contient l'appare bliisant eulier offre sou ous pré devant fire toumer chercher l'image lens cham taits stient cel
8,9,boutis très tps jpie iècle der fidélité uen l'appareil photographique veux p3s parler ici l'expérience réseryée classes fortunées consistait poser devant peintre mals celle beaucoup plus banale miroir celui n'avait jamais pris photo meilleur moyen deviner quoi ressemblerait mage référer celle qu'il l'habitude contempler miroir c'est qu'était surprise car alors qu'un individu jette presque jamais renvoie miroir centaines d'hommes femmes refusèrent colère leurs daguerréotypes persuadés mine fait plus avenante montrait photographie savoir îles préparatifs psychologiques faisons avant regarder miroir tels celui-ci renvoie véritable image encore aujourd'hui beaucoup d'individus rejettent clichés peu flatteurs croyant fermement qu'eux-mêmes peuvent avoir aussi piètre apparence quand contemplent miroir rare qu'ils alent réaction peut-être vieux dicton miroir propose mille visages acceptons seul contient-il part sagesse l'appareil photographique immobilisant traits moment particulier sous angle particuller offre souvent l'un visages préférerions accepter différence passe devant miroir pouvons faire rectifications instantanées tourner tête baisser paupières chercher bon angle adoucissent l'image déplaisante alors comptons photographe faire champion ego fixer traits tels aimerions qu'ils vus cet ensemble indéterminé personnes public celui toute photographie chacun veut tour eiffel l'acte photographier comme l'acte voir s'accomplit l'occasion d'une grande variété situations humaines implique toujours sorte autre d'échange troque plaisir passif savourer moment unique contre processus actif consiste fixer moment pellicule l'homme voit beau paysage muni appareil s'arrête prendre photo l'acte photographique peut l'empêcher savourer pleinement l'instant qu'il train vivre seulement gêne mineure causée transport d'un équipement plus moins pesant aussl l'obligation d'interrompre ensemble d'activités totalement spontanées l'homme doit s'arrêter prendre photos doit partager attenton entre plaisir procure scène disposition mentale nécesssaire photographler celle-ci l'acte photographique dévaiue moment mesure implique l'échange pleine valeur l'instant présent contre souvenir tangible l'on possède plus tard signification profonde certaines activités telles îles voyages transformée possibilités qu'elles offrent matière photographique recherchons certains endroits non seulement beauté parce qu'ils constituent toile fond convenable clichés groupe touristes nikon autour cou considère arrivée pied tour eiffel comme l'aboutissement d'une quête photographique véss photo-portrait caractéristique xix siècle jeune thomas edison mère lieu compte moins valeur photogénique réussite vacances jugée non seulement selon qu'elles apporté moment aussi selon qu'elles rendront clichés besoin photographier gâche souvent présent agréable aussi nombre plus plus grand vacanciers préfèrent-ils laisser appareil maison l'acte photographique doit être considéré comme échange c'est lorsque photographions d'autres personnes caractère dégage plus clairement quelle sorte d'échange s'agit-11 langue sans équivoque photographe prend photo crée photo n'en emprunte prend maniaque pellicule voyage pays étranger voit paysan champ prend photo pourquoi photographe pense-t-il qu'il droit s'appro- prier l'image paysan certes fait prendre cliché coûte temps effort prix pellicule mails difficile comprendre d'où tlent droit conserver usage personnel l'image visage paysan photographie échange manlfestement malhonnête l'autochtone s'est laissé photographier fols simplement être aimable peut rendre compte longue qu'il donne quelque chose image rien blen sûr fierté qu'il peut éprouver d'avoir jugé digne poser photographie mals longue genre gloire s'amenuise l'autochtone peut décider faire payer photographe leurs rapports deviennent professionnels naturellement commode photographes poser hypothèse îles gens consentent moins tacitement être photographiés réfère ici non l'usage fait photographie soumis réglementation légale l'acte photographier autre personne dont loi préoccupe beaucoup moins quel sentiment gens don qu'ils font image combien fait acceptent laisser prendre photo but non précisé étranger répondre cette question étudiants moi-même récemment rendus rues centre new york appareil photographique main chacun demandait étranger puis-je prendre photo lorsque l'on voulait savoir quelle raison répondions simplement m'intéresse photographie. posé question plus cent sujets bryant park 40° 42° rues deux dernières artères trente-cinq cent personnes abordées accepté d'être photographiées tandis soixante-cinq cent refusé certaines couvraient visage leurs mains d'autres regardalent d'un air mauvais pressalent rappelant l'acte photographier l'origine d'un ensemble gestes n'existalent avant l'apparition l'appareil gestes photographe gestes sujet acceptant refusant d'être photographié photographle créé chorégraphie mouvement corps humain entièrement nouvelle bryant park acceptations refus s'équilibraient sensiblement femmes moins volontiers consentantes hommes consentement étroitement lié l'humeur moment ainsi position physique conditions lesquelles trouve placé sujet potentiel six personnes allongées pelouses
9,10,jacques mousseau s'entretient chercheurs sciences humaines aujourd'aul philippe ariès raymond aron jacques attali pierre chaunu alain girard claude lévi-strauss ... chercheurs français premier plan dressent panoram dynamique sciences humaines aujourd'hui pleine évolution michel gauquelin onos rythmes vitaux reflets lois cosmos médicament pris matin effet soir accidents travail circulation augmentent temps taches soleil infarctus myocarde plus fréquents jours tempêtes solaires vision couleurs varie selon quartiers lune rythmes vitaux ... apprend bien d'autres choses tout aussi étonnantes rejoignant certaines recherches récentes ebiorythmes dont parle plus plus. marc smedt c50 techniques méditation pratiquant lui-même méditation spécialiste philosophies techniques orienteles occidentales auteur nombreux ouvrages sujet marc smedt particulièrement bien placé écrire cet ouvrage conçu servir guide pratique tous ceux cherchent intégrer vie quotidienne cette dimension fois spirituelle corporelle constitue méditation docteur alain rideau nomment connaître enfant bien réussir enfant faut connaître connaître faut l'observer façon s'habiller manger laver façon dormir comment joue comment marche comment dessine ... barême cotation donné chaque observation permettant connaître chaque activité l'avance retard rapport moyenne autres enfants enronee ane ———— françoise gauquelin cdévelopper mémoïire méraone mchauoeau auteurs célèbre méthode lecture rapide douze cours proposent nombreux exercices pratiques variés vivants acquérir maîtrise mémoire agit seulement mnémotechnie techniques issues recherches plus modernes psychologie expérimentale pédagogie livre révèle tous pourvus d'une très bonne mémoire plus souvent savons faire fonctionner jacques panafieu ql'illumination intensive découvrir vraie personnalité enlightment intensives l'on pourrait traduire marathons vers lillumination propose méthode situe point convergence grands courants orientaux occidentaux vers connaissance développement dépas- sement soi-même d'origine californienne utilise aussi bien bouddhis certains éléments bioénergie gestalt etc abordées cinq acceptèrent laisser prendre photographie proportion impressionn peine étude psychologique photographique point gage déjà clairement pratiqu photographie tellement répa caractère normal prendre clichés pro ressenti tous passant abordions comprenaient cela signifiait d'être photographié accueil laient demande sans broncher peut-être culture prodigues image parce sentiment photographe prend vral ment fait reproduire semble assister sorte clonage visuel l'original perd intégrité alors créés multiples lui-même degré timidité face l'appareil photographique varie selon civilisa tions sait réside sagesse peut-être habitude permettre étrangers prendre photo traduit-elle indifférence inexcusable envers propre image nnante ébut l'acte ndue l'acte fondément appareil l'age deux ans certains photographes plus capables d'autres réaliser portraits profondeur artistique phénomène révèle novvel äspect rapports existant entre personne photographie celle photographiée plusieurs critiques attribuent cette capacité sélection plus sévère qu'exercent maîtres photographes recherchent visages peuvent être intéressants puis choisissent bon moment déclencher l'obturateur sans nul doute cette recherche représente étape processus l'on examine exemple portraits impitoyables réalisés certains photographes célèbres devine conscience psychologique apparaît visages d'un grand nombre d'individus différents probablement due partie capa cité photographe faire naître chez sujet attitude expres sion particulières comprend qu'un rapport psychologique subtil existe entre deux personnes rap port lequel certains photographes jouent rôle créant visages qu'ils fixent pellicule. travail photographe celui psychologue s'intéresse photo graphie très différents photo graphe cherche fixer pellicule moment particulier psychologue essale d'expliquer pourquoi phoite graphe prend telle photo commen motivations processus percep tifs facteurs émotionnels entren
