,page,text
0,1,mains révèlent caractère psychanalyse guérit-elle piaget chomsky nes attrontent ll71779772 2in1 mensueleusion n.m.p.p
1,2,pompe incorporée fonctionnement benctement versez 6.litres d'eau vasque prise courant ... c'est tout silencieux. montage très simple jet réglable entretien facile consommation 220 va. livrable seule haut gin voüs posez meublé table basse acier chromé haut nes nié pos chez petit jardin d'hiver ean offre valable france métropolitaine p'bon'de commande compléter lisiblement garantie totale pyco distribution vasqué vasque 107 avenue du'général gaulle 24500 champigny seule support 348f 540f franco port d'emballage jours l'essai satisfait rembourse retournez dès aujourd'hui bon découper veuillez faire parvenir franco port d'emballage l'ensemble fontaine lumineuse pied fontaine lumineuse seule coloris bleu blanc brun fontaine pled nénuphars comptant somme 540 contre-remboursement mensualités 180 commande joindre bon mensualités 180 fontaine seule-avec nénuphars comptant commande sommede 348 contre-remboursement mensualités 116 commande joindre bon mensualités 116. mode règlement choisi chèque bancaire ccp volets mandatlettre l'exclusion tout autre mode règlement à.l'ordre.de pyco-distribution coloris choix bleu/brun/blanc sije suls satisfait vous-retournerai envoi sous jours et.je sérai immédiatement intégralement rémboursé pyco distribution 107. avenue gaulle 94500 champigny général
2,3,tan 1560 psycholog connaissance soi novembre 1979 118 forum lecteurs écrivent connaissance autres mains révèlent caractère elles dévoilent personnalité sans mentir michel gauquelin bref france l'inconscient psychanalyse guérit-elle analysés analystes parlent olivier biegelmann parle méditation management enfance adolescence enfants divorce garde alternée solution fonctionne bien mel roman william haddad ———————————————————— chronique passions mises connaissance soi voyage pays mémoire six ans d'expérimentation margaret linton parle congrès l'été groupes l'illumination intensive fait découvrir foi compte davantage technique jacques panañleu sciences humaines deux grands savants piaget chomsky s'affrontent bref allemagne entretien françois furet j'étudie passé comprendre présent propos recueillis jacques mousseau psychologie clinique maladies peau psychosomatiques toujours souvent josiane novi librairie tête bien faite tony buzan survivre bruno bettelheim autres parutions prochain numéro paraîtra comme d'habitude deuxième jeudi mois décembre ÿ/\ psychologie edite centre d'etude promotion lecture abonner departement retz 114 champs-elysees 75008 paris 369.84 16. voyez page
3,4,"jusqu'où peut-on reculer limites mémoire curieuse expérience rapide montal premler compartiment parut vide sans douter qu'un compagnon învisible trouvalt déjà dont conversation passionnante devait tenir évelllé jusqu'au matin train s'ébranla lentement regardal umlères stockholm s'éteindre peu peu puis roulal couvertures âttendant sommell j'apergus alors face banquette livre laissé voyageur pris machlnalement j'en parcourus premières lignes olnq minütes plus tard isals avidité comme récit d'un aml révélalt trésor apprenals effet tout monde possède mémoire mémoire suflisante réaliser prouesses fantastiques rares personnes savent servir cette merveilleuse faculté expliqué titre d'exemple comment l'homme moins doué peut retenir facllement après seule lecture attentive toujours notions aussi compliquées liste cent rincipales villes monde chiffre eur population parut invralsemblable d'arriver oaser pauvre tête quarante ans énumérations interminables chiffres dates vliles souverains avalent fait désespoir lorsque j'allals l'école mémoire étalt toute fraîche résolus vérifier livre disait bien exact tiral indicateur valise mis lire posément manière prescrite nom cent stations chemin fer séparent stockholm trehôrningsjô constatai qu'il suffisait d'une seule lecture pouvoir réolter cette liste l'ordre lequel l'avais lue puis sens inverse c'est-à-dire commençant fin pou vais indiquer instantanément position respective n'importe quelle ville exemple énoncer qu'elle 27° 84° 36° tant leurs noms s'étalent gravés profondément cerveau demeural stupéfait d'avoir acquis pouvoir aussi extraordinaire passal reste nuit tenter nouvelles expériences toutes plus compliquées unes autres sans arriver trouver limite forces bien entendu bornai exercices amusants dès lendemain j'utilisal d'une façon plus pratique connaissance lois l'esprit pus ainsi retenir incroyable facilité lectures airs musique j'entendais nom physionomie personnes venalent volr jeur adresse rendez-vous d'aflairés apprendre quatre mois langue anglaise j'al obtenu vie fortune bonheur quantité suffisante c'est livre dois car révélé comment fonctlonne cerveau. voulez savoir comment obtenir mémes résultats acquérir celte puissance mentale encore meilleure chance réussir ans vie priez w.r. borg envoyer documentaire lois intéressant petit ouvrage distribue gratulte- eternelles succès ment quiconque désire améllorer mémoire volci adresse w.a borg dpt 486 chez aubanel place st-plerre 84028 avignon nom aubanel garantie sérieux depuis 250 ans aubanel diffusent travers monde meilleures méthodes psychologie pratique dorlier f—-—-——— bon gratuit découper recopler adresser w.r borg dpt 486 chez aubanel place ist-plerre 84028 avignon recevoir sans engagement part sous pli termé ——— lols eternelles succès nom prenom rue code postal ville age profession lauoun démarcheur rendra visite ligents adultes chargés marcel turbiaux répond lecteurs enfants mères célibataires comme autres écris propos variticle mères célibataires 113 travaille milieu scoiljaire depuis ans j'ai rencontré enfants lycéens perturbés tous milieux voudrais dire mères célibataires leurs enfants comme autres ïls deviendront fonction regard qu'on pose comme l'exprime bien rogers enfants femmes seules souffrent d'un manque voudrais savoir quels adultes souffrent d'un manque quelque chose repus gens classent enfants catégories souffrent aussi d'un manque appelle cela manque cœur enfants femmes seules comrne enfants parents divor cés surtout besoin qu'on porte regard bienveillant enfants milieux socio-culturels défavorisés aussi ceux qu'on appellé déjà iles voyoux lj'école surtout besoin considération enfants dits caractériels souvent enfants plus intelde éducation mme g.-paris cadre agréable donneurs sperme aïticle l'insémination artificielle 115 lequel décrit cadre agréable laboratoire prélèvement sperme l'hôpital necker paris pousse relater expérience suite article proposé comme donneur sperme cecos lyon après formalités d'usage retrouvé cabine 1,50 banquette couverte plastique sol froid lavabo mur placard flacons prélèvement essuie-mains coin vieille revue dite porno anglais n'avait rien d'érotique yeux après quart d'heure tentatives infructueuses j'ai fait appel épouse attendait couloir intervention suffi compenser bruit soufileries celui machine écrire parvenant aérations porte comprends manque donneurs car meilleure lonté monde pourra diffcilement vaincre obstacles révèlent côté irrationnel l'homme m.h.-lyon formation instituteurs france ailleurs réfoïme formation instituteurs français être appliquée année prochaine voudrais savoir cette réforme vise accroï tre préparation instituteurs rôle psychologique point vue différents pays monde durée études niveau exigé etc p.-92 bagneux n'est possible produire renseignements demandez tous pays monde bien sûr d'ailleurs tous disponibles france formation instituteurs deux ans effectivement portée trois ans prochaine rentrée scolaire détail donné l'arrêté juin 1979 paru journal off ciel juillet 1979. futurs instituteurs doivent être titulaires baccalauréat formés école normale départementale admis concours externe s'ils âgés seize vingt-deux ans concours interne s'ils moins trente ans justifient d'un mini mum quatre-vingt-dix jours service d'instituteur suppléant études comprennent année consacrée formation base deux années formation approfondie dont espérer qu'une place faite psychologie cette formation organisée unités formation intégrant cours activités pratiques stages travaux individuels groupe l'ensemble formation sanctionné certificat d'aptitude pédagogique allemagne fédérale systèmes varient selon chaque land durée études d'un demi quatre ans après études secoh daires contenu études également variable tout autant place faite psychologie"
4,5,"italie formation s'acquiert quatre ans institut magistral l'issue second cycle correspond fin scolarité obligatoire quatorze ans concours d'entrée l'enseignement dispensé fois enseignement général classique formation pédagogique dernière année comportant stages écoles sanctionnée examen sortie jeunes gens destinent l'enseignement préscolaire études trois ans danemark baccalauréat niveau équivalent exigé formation donnée écoles publiques aussi établissements privés peut être complétée perfectionnement courte longue durée l'ecole hautes études pédagogiques formation instituteurs d'école maternelle différente celle instituteurs primaires ceux-là études trois ans écoles normales spécialisées l'admission subordonnée expérience préalable travail enfants aides d'école maternelle moniteurs colonie vacances toutes matinées consacrées stages pratiques écoles cours théoriques donnés l'après-midi etats-unis formation instituteurs quatre ans comprend préparation l'enseignement supérieur université école d'instituteurs college stages écoles d'un diplôme l'éducation domi nante cependant avoir droit d'exercer futurs instituteurs doivent subir chaque etat examen certifie union soviétique enfin formation également différente suivant jeunes gens destinent enseignement trois premières classes scolarité sept dix ans celui tout petits premier cas quatre ans cing ans second deux premières années consacrées l'enseignement théorique travaux pratiques troisième année occupée stages passifs complétés d'autres stages colonies vacances pendant l'été quatrième année stages deviennent actifs étudiants entreprennent travaux recherche cette formation dispensée instituts pédagogiques niveau universitaire formés aussi bien instituteurs professeurs toutefois fait ceux-ci répartis facul- qu'ils choisle peut dire qu'ils reçoivent enseignement conan comme voyez quelques pays formation instituteurs assez diverse place faite psychologie l'est également c'est plutôt psychologie pratique généralement enseignée l'institut psychagogie psychologie suite réponse lecteurs demandé renseignements psychothérapies analytiques d'inspiration analytique ldec- teur chambéry psychologue attire attention d'institut psychagogie psychologie cet institut m'écrit-il fondé charles baudouin 1924 genève professeur charles baudouin 1893-1963 psychanalyste écrit nombreux livres deux plus connus l'œuvre jung l'ame enfantine psychanalyse l'esprit lequel travaillé esprit d'ouver- ture synthèse charles bau- douin s'est toujours placé au-dessus tout particularisme toute querelle d'école différentes tendances psycho logie psychothérapie psychanalyse cet institut existe toujours psychanalystes différentes tendances font partie œuvrent toujours l'esprit baudouin france peut renseigner auprès monsieur docteur andré àrthus rue ney 69006 lyon président l'institut pendant nombreuses années monsieur paul montangerand 241 rue genas 69100 villeurbanne actuellement co-président france. mot psychagogie forgé kronfeld 1924 désigner psychothérapie inspirant malade confiance soi 1949 mme baumgartentramer appelé ainsi branche psychologie établissant l'homme lignes conduite don nant instructions utiles abonner psychologie voyez pages 19-20 essayé confronter aspects positifs maurice ogier consell perfectionnement personnel relations humaines parole dynamique créateur nouvelles techniques développement personnalité blo-harmonie dynamique sachez parler aisance bons contacts maîtrisez réunions clés réussite professionnelle sociale audace parole exprimerez nlsance clairement mots viendront facilement apprendrez techniques parole ldl'improviste convaincrez cette nouvelle méthode dynamique très concrète permettra .de mettre valeur capacités débloquera contacts dialogue appprendrez l'an contacts faciles tous toutes faire amis assimilerez techniques négociations conversation comment démarrer entretenir faire face out entretien difficile deviendrez fin psychologue comprendrez moindres réactions autres saurez fnire apprécier obtenir espérez maïitriserez réunions animerez brio interviendrez bon moment façon perçutante convaincante vaincrez emotivité plus énervé irritable face ennuis calme serein détendu grace bio-harmonie votré personnalité épanouira développerez confiänce découvrirez talents cachés saurez mettre valeur autorité croira réussirez mieux découvrirez raisons blocages moyens pratiques éliminer pleinement vous-même bien peau vie ferez quels âge situation sociale instruction quelques semaines tout peut changer paris maurice ogier entraînera conseillera personnellement petits stages amicaux panout ailleurs recevrez poste méthodes d'action conseils institut maurice ogier rue j.mermoz 94160 salnt-mandé france tél paris 328.89.19 oug œur bus qué œus den qu8 vue bon l'envoi glrameue livre maurice ogier parler aisance sans engagement d'aucune sorte poste sous pli fermé confidentiel ainsi références renseignements concernant méthodes d'action mmm users seseserenenseennen tentes mlle prénom ,.4 vesoseueses profession ............ téléphone ....... chef d'entreprise demande documentatlon spéclale leaders adresse neue seen rennes prb 370 tés différentes selon spécialité code .... ville"
5,6,
6,7,lustration alessandrini livrent cle d'une personnalité leurs formes sans mentir michel gauquelin après visage maïn certainement partie corps évoque plus d'impressions visuelles tactiles aussi affectives visage seule partie corps n'est protégée regard vêtement gants protections provisoires épisodiques d'ailleurs bienséance veut l'on serre main d'une personne sans retirer soi-même gants forme main caractere car main déjà expressive elle-même également partie corps semblables l'usage permet toucher sans prêter conséquences l'occasion rituel poignée main plus main peut effectuer grand nombre gestes main gestes main autant d'éléments permettent d'accéder connaissance personnalité autres sens commun parle main solide doigts carrés l'homme pratique main longue doigts effilés l'esthète quelle vérité quelle erreur cache derrière croyances populaires docteur charlotte wolff sans doute écrit main livre plus complet plus savant jour essayé multipliant observations d'en tirer enseignement scientifique parmi autres informations intéressantes retiendrons division mains six grandes catégories main éléinentaire type simple c'est type main plus primitif large musclée peau rude quelquefois durcie travail peu souplesse spécialement/en longueur doigts courts larges assez raides pouce toujours fortement développé cette main élémentaire corps large assez robuste psychologiquement porteur d'une telle main assez primitif intelligence uniquement concrète peu développée général doué d'un bon caractère simple calme meilleures activités travail terre soin animaux sports plus simples main élémentaire type irrégulier sous vocable charlotte wolff réunit toutes mains type précédent plus présentent anomalies pouce trop court trop long doigts plus moins déformés paume irrégulière etc psychologiquement c'est main d'un primitif mal tourné ——————— cet article tiré l'encyclopédie prann psychologie moderne päris retz 1979 wolff main humaine paris p.u.f 1952 51. passages entre guillemets extraits chapitre livre
7,8,l'on ose dire l'intelligence aussi peu développée type précédent cette fois manque n'est compensé calme simplicité contraire peut conduire toutes .sortes d'anomalies pouvant aller jusquà criminalité maladie mentale n'insistons mains souhaitant n'aurez l'occasion d'en serrer beaucoup main motrice type osseux c'est main longue doigts osseux longs combine force musculaire paume fine mobilité doigts pouce l'index longs osseux main élégante dessin lignes présente nombreuses variations généralement beaucoup plus lignes main élémentaire psychologiquement possesseur cette main intelligence vivante souvent spirituel c'est davantage homme pratique théorie type main convient toutes professions lesquelles tact connaissance autres déterminent degré succès selon charlotte wolff beaucoup champions tennis admirés intelligence grâce leurs mouvernents mains motrices osseuses main motrice type charnu bien cette main comme précédente muscles fermes large charnue alors l'autre longue osseuse doigts aussi larges robustes mains appartiennent genéral individus physiquement bien musclés solides psychologiquement possesseur d'une telle main extraverti apprécie bonne nourriture gaie compagnie jovial plein unexemple d'interprétation psychologique mains l'ex-président etats-unis gerald ford voir main gestes qu'elle exésilhouetter persynthèse est-elle possible certains répondent pie l'aflirmative comm mrs fiel analyste gestes main hand analyst très connue etats-unis ouvrage françoise kostolany\ rapporté conclusions publiées presse américaine auxquelles parvenué mrs fiel observant l'ex-président gerald ford télévision mains donnent caractère image très fidèle mains comme bras qu'il maintient toujours près corps montrent qu'il défensive qu'il n'aime ls'aventurer milieu foule plus doigts restent très ser rés uns contre autres généralement artitude peu amicale quel puisse être sourire qu'il arbore sent qu'il guère confiance houtvelles têtes méfie constarm ment quant pouces qu'il épais puissants révèlent lantastique volonté ford homme d'action cela voit l'in dex qu'il pointe souligner discours c'est homme change d'avis facilement fois qu'il pris décision l'exé cute quoi qu'il arrive celui sait forme cute perniel sonnalité kostolany gestes paris retz 1976 discussion esprit solide rationnel plus britl rencontrons écrit char wolff type chez lte d'etat soldats grade rieur grands d'affaires main sensitive type court c'est main petite étroite rencontre plus souvent che femmes chez hommes alors main motrice main active main sensitive main réceptive n'est très développée musculairement paume relativement longue doigts courts pouce différence main motrice rigide main sensitive généralement flexible cette main pair physique petite taille constitution délicate psychologiquement porteur cette main émotif lieu calme harmonieux indis pensable santé équi libre mental conserve caractéristiques enfantines toute vie. revanche intelligence vive originale manque d'imagination intuition talent souple varié naturellement doué littéra ture journalisme main sensitive type long c'est main aristocratique belle main l'on voit souvent portraits maîtres anciens mince flexible bouts doigts pointus souples qu'ils peuvent s'incliner arrière contrairement main lype moteur osseux également longue élégante main sensitive longue muscles faibles preuve iractivité motrice doigts gracieux parfois fra giles qu'on peut craindre briser poignée main main élémentaire simple main élémentaire irrégulière main main motrice motrice osseuse charnue
8,9,possesseur cette main mince taille moyenne psychologiquement cette main celle l'introverti solitaire réservé l'introverti froid contraire tels individus réagissent comme plantes sensitives l'atmosphère environnante plus sentimentaux sensuels pensée intuitive imaginative plutôt logique méthodique nature artistique pouvoir créateur reste assez faible domaine tendent plutôt être dilettantes comme ile souligne charlotte wolff tous cas cas idéals réalité trouve rarement sans mélange cette classification six groupes utile parce qu'elle permet reconnaître rapidement l'élément prédominant d'une main donc grandes tendances personnalité relation gestes main langage venons d'étudier main statique examinons maintenant main mouvement main l'homme fois outil expression pensée gestes main parmi plus fréquents plus révélateurs ceux racontent plus long langage corps contenterons donner ici signification psychologique certains gestes mains choisies parmi plus fréquents méridional parle mains dit-on alors nordique fait guère certes langage mains avant tout celui d'un peuple d'une civilisation éducation apprend non seulement langue maternelle aussi façon gestuelle s'exprimer c'est pourquoi observant jeurs mains pourra reconnaître napolitain hollandais danois geste main tout n'est qu'éducation cours l'existence tempérament chacun infé chir sens l'autre influences sociales étude gestes spécialiste marilou bruchon montré l'ampleur mouvement liée personnalité gestes larges surtout fait personnes extraverties sociables alors gestes étriqués appartiennent personnes introverties réservées extravertis font beaucoup plus gestes introvertis chacun connaît méridional froid presque figé lorsqu'il parle nordique exubérant ponctue toutes paroles soulignant grands gestes quelle origine sociale géographique personnalité trahit gestes plus quotidiens poignée main nul n'ignore combien rite savoir-vivre important france l'on serre mains toute circonstance mille façons serrer main poignée main peut être ferme prolongée s'accompagner d'un regard franc plonge yeux c'est poignée main militaire cela peut être aussi poignée main alors artificielle commercial indique l'intérêt qu'il porte pureté intentions main molle qu'on parvient guère saisir n'est signe dynamisme poignée main s'accompagne d'un détournement tête regard signifie refus efforcez-vous juger main serrez sèche moite psychophysiologues montré l'émotion provoque ébranlement tonus musculaire retentit glandes sueur cela produit diminution résistance électrique surface peau c'est réflexe psycho galvanique mesurable donc main moite main émue peut-être émotion provisoire due présence main d'une personne moite plusieurs circonstances cela dénote certaine timidité rôle dominant sentiments comportement frotter mains geste simple comporte plusieurs nuances dit docteur bergès celui mains étendues avant-bras projetés avant fait frotter paumes bien plat mouvement alternatif rapide coudes épaules écrit docteur bergès extraverti tourné vers d'action plus vers réflexion plein vitalité fond assez naïf peut supporter être satisfait cherche cette satisfaction l'entreprise geste frotter mains peut être tout différent main paume ouverte jes doigts légèrement recourbés demi-flexion reste immobile c'est symétrique agrippé doigts crochets col réunit pouce l'index pivote lentement selon cet axe vient frotter paume d'un mouvement pendulaire l'autre toutes deux rapprochées thorax. telle alors l'expression d'une satisfaction presque agressive d'un désir d'écraser difficile caractères être rancuniers d'avoir l'esprit ouvert faire payer cher ceux entourent générosité enfin ïil existe troisième façon frotter mains cette fois geste regarde soi-même plutôt qu'il projette l'extérieur ici paumes tournées vers soi mains vient caresser plus qu'elle frotte face palmaire dos autre appliquée l'épigastre frottement main comme intérieur tempérament imaginatif tourné vers problèmes théoriques plus pratiques volontiers romantique peu adapté réel particulier réalité sociale d'une affectivité assez réduite égocentrique
9,10,signe nervosité ... tirer souvent façon saccadét cigarette donc fumer très vite signe bien connu nervosité lors dernière coupe monde football s'est tenue juin 1978 argentine jourpaliste noté l'entraîneur l'équipe d'argentine menouti grillait quelque trente cigarettes pendant quatre-vingt-dix minutes d'un match lequel équipe impliquée réverie.… revanche laisser s'éteindre cigarette mieux négliger secouer cendre accumule extrémité signe d'une certaine nonchalance rêveuse poète prévert l'actrice arlelty écrit c'était homme calme tranquille calme pense s'il promenait cigarette lèvres c'était plaisir d'en voir cendre maintenir intacte jusqu'au bout d'autres tempérantents selon jean bergès cigarette prise près racine doigts fléchis indiquerait tempérament pratique porté l'action revanche cigarette tenue l'extrémité doigts extension l'élégance raffinement dominent geste devient précieux trouvons probablement devant snob quant cigarette tenue horizontalement entre pouce l'index l'indice d'une personnalité affirmée extravertie dont l'activité débordante pourrait cacher certaine anxiété inquieis peuvent trouver tranquillité l'ivresse l'action tabagie plus moins frénétique façon d'éteindre cigarette aussi révélatrice tout abord ceux n'éteignant jamais cigarette posent jettent n'importe c'est indice négligence paresse aussi d'égoïsme jeteurs cigarettes allumées pensent guère autres conséquences leurs actes revanche observons celui s'acharne mépot l'écrase force cendrier jusqu réduire poussière voilà révèle plus souvent bonne dose agressivité fumeurs pipe révèlent aussi bon sens populaire attribue volontiers personnalité paisible décontractée cela souvent vrai aussi fumeur pipe souffle fumée figure comme soi-même saluer ethiopie visiteur l'accolade jantais lohc interlocuteur tance car c'est prise possession indonésie serrant main entre deux pauines cœur chez touaregs main présentée plat tendue contre celle l'interlocuteur puis rapidement retirée accrochant bout doigts inadver- nénte symbole d'un esclave vis-à-vis porte france onu quand donne main quelqu inarquer l'amitié faut tour jours présenter main nue deux connaissances rencoirent rue province spécialement elles s'embrassent bruyamment deux joues rois quatre fois grande joie touristes anglais présents grande-bretagne femme salue toujours première homme qu'elle renconire rue l'autorisant ainsi reconnaître chez maoris plier l'index main droite portant bout seconde phalange l'extrémité nez table pays anglo-saxons mains quand elles servent doivent obstinément rester sous table plat genoux france plupart pays européens disparition mains considérée comune très mauvais aloi poser coude tous deux table n'est excusable vicillard malade pays arabes lave mains table ordre préséance début repas assis coussins bas doit manger jambes jointes pliées dès fin repas lève lable aller nouveau livrer ablutions extrait livre kostolany gestes paris retz 1976 salle règles séance civilité chrétienne charles-roux guid ir-vi graet nes ide savoir-vivre pa. calviac jvilité parc ouvelle civilité en- affirmation puis ceux pipe sent peu comme hochet moins accessoire servar uniquement ponctuer doctes affirmations souvent mettre d'avoir contenance toute circonstance chercheur remarqué fumeurs pipe plus none breux chez îles porteurs barbe savons statistique vraiment significative deux cas barbe comme pipe sortes mise distance l'autre désire s'afirmer préfère rester seconde ligne celui sait observer tout este source connaissance fument pee utif ice autres feuilleter livre saisir verre tenir enfant bras l'intellectuel lit beaucoup saisissant livre atti tude toute différente celui lit presque ivrogne tient verre comme membre d'une société tempérance l'on reconnaîtra mère façon serrer enfant contre détaillons encore geste quotidien l'ouverture courrier décacheter enveloppe variété geste apparence simple celui-là déchire fébrilement coin l'enveloppe doigt non délicat ouvre brutalement lettre l'enveloppe piteux état geste d'un nerveux surtout d'un homme brouillon peu soigneux souvent aussi part paresse nonchalance transparaît l'individu courage d'attendre certes non plus celui chercher coupe-papier ouvrir lettre doigt fait partie tempérament artiste voici autre personnage prend lettre main regarde retourne soupèse saisit d'un coupe-papier qu'il trouve aussitôt qu'il introduit soin l'angle lettre l'en veloppe ouverte très proprement c'est comportement scientifique homme méthodique or82 nisé peut-être peu maniaque s'il prend tout temps act vité quelque peu limitée gneux n'est sûrement prodigue sous sait s'il retourner l'enveloppe s'en s€tvir répondre correspon dant michel gauquelin arletty raconte prévert spectacle monde 187 juin 1977
