,page,text
0,1,roioaie etes connaissance soi connaissance autres mars 1980 122 forum lecteurs écrivent quiz mois feriez-vous bon psychanalyste avez-vous perspicacité d'un spécialiste entretien otto klineberg propos racisme propos recueillis léa marcou chronique bonnes tout faire psychologie pratique pratique biofeedback comment pourquoi appareil aide relaxer lucien gérardin psychologie animale non singes parlent l'espoir désillusion h.s terrace animaux savants secrets dressage thomas sebeok umiker-sebeok psychologie sociale panique peur tue survient souvent après coup réactions varient yannick bourdoiseau bref france enfance adolescence l'enfant découverte nombres tâtonnements demeurent inconscients claire meljac parle dernier séminaire lacan l'inconscient texte inédit freud l'intérêt psychanalyse sigmund freud traduction assoun librairie manifeste personnaliste rogers civilisations divagations l.v thomas autres parutions petites annonces utiles tous 123 paraîtra jeudi avril psychologie cti edite centre d'etude promotion departement retz 114 champs-elysees 75008 paris 562.14.83 vre abonner voyez page
1,2,sie nus lecteurs écrivent méthode gordon propos l'article méthode gordon octobre j'ai suivi moïmême deux stages formation gordon donc gordonnienne convaincue précise ceci rien redire fait l'auteur d'un article déclare agacé peu convaincu telle méthode telle théorie j'ai problème restons gordon lecture cet article c'est quand l'auteur écrit gordon prévoit situations confuses problèmes étriqués réponse cela mieux renvoyer livre parents efficaces quand ïil question de… puérilité exercices sujet puis assurer fin deuxième stage exercices puérils bien difficiles exécuter correctement car sous apparences peut-être simplettes très terre-à-terre forcent remettre question toutes attitudes fondamentales plus moins conscientes face l'autre essayez vie quotidienne verrez c'est facile facile comprendre tout facile appliquer parce qu'elle postule respect l'autre toutes conséquences cela comporte avis celui compagnons stages gordon substantifique moelle tirer faut avoir envie besoin bref être motivé comme tout demande effort ... mme brignolles j'ai travaillé durant huit ans comme psychologue québec c'est pendant long séjour entré contact mé- thode gordon premières réactions plutôt mitigées j'avais l'impression avoir déjà tout cela puis psychologue peut-il apprendre quel- chose nouveau cours d'une formation destinée tout-le- monde bien oui j'ai appris beau- ortecoup choses senilièr ment attitudes ication j'ai amélioré comment proches profesamis sionnel fait permis déjà méthode gordon vivre depuis quatre ans uses tour let j'ai animé nombre sessions québec actuellemens france chaque fois vre participants sans velles nuances continue aer cesse apprendre amél communications bien sûr n'est méthode miracle c'est méthode prévention fait preuves moni peut éviter bien interventions tiques ultérieures thérapeutia jean-gabriel offroy président l'association gordon l'efficacité humaine s'informer place vauban 75007 paris tél 374.56.93. qu'entend attali cannibale propos janus attali chronique jacques mouisseau décembre livre jacques attali ordre cannibale grasset propos l'auteur consiste traiter quatre figures médecine qu'il distingue histoire celle-ci comme autant variations projet unique celui cannibalisme faut-il entendre mot l'auteur dit lui- lutter contre mal c'est toujours.manger mal l'ordre toujours cannibale cela appelle quelques remarques mé- thode séparer identifié consom- mer éliminer l'est aussi 201 ainsi comprendre 293 lire 295 imiter 252 devant tel usage métaphore comment thèse cen- trale livre peut-elle conserver sens s'il vrai lire n'est autre chose manger signes pourquoi dira-t-on sens inverse manger c'est lire pain l'argument médecine s'alimente demander ions .de ral dijon l'ordre cannibale mer quelque parti faute cho camp critique l'institutio médicale risque fort d'emprun arguments thèses dont ncipes efuse pri prin refu refuse consé ler cipes quences- françois azouvi controverse chomsky-piaget suite critique conforte thèse chomsky c'est intérêt j'ai libre propos françois richau deau point départ chomsky erroné 120 psychologie propos n'apporte-t-il fait l'eau moulin linguiste amé ricain j'ai bien compris centre analyse exigences fonc tionnement mémoire court terme celle-ci canal trans mission capacité limitée traiter maximum d'informations amenée organiser message séquences significatives cette mémoire immédiate semble répondre contraintes neurologiques traitement qu'elle fait subir l'in formation durant quelques secondes dépendant d'expériences passées d'ordre culturel comment cas peut-on rendre compte cette réorganisation mnémonique fondée signification sinon faisant appel théorie grammaire générative néo-béhaviorisme développement cogni- tif piaget paraissent pouvoir expliquer phénomène suffit ailleurs relire sujet article chomsky inti tulé langage l'esprit publié revue l'air teur reprend compte expériences portant mémoire court terme montre d'accord conclusion selon laquelle phrases codées mémoire terme structuré profonde dominique martin paris réponse françois richaudeau thèse chomsky vérifie expérimentalement lettre mme donne thèse dominique mai dir occasion d'approfons ine part n'ai jam her gent remple frauçais qu'on pél contradictoir trouve deva complexe composantes maitrisées l'hypothès donc pouvait ombre
2,3,"rétendu néo-béhaviorisme développement cognitif piaget pouvaient expliquer phénomène langage n'est parce chomsky lort deux autres théories valables encore concerne piaget corrélation entre développement cognitif celui langage incompatible. martin cite article chomsky paru neuf années psychologie neuf années c'est beaucoup surtout quand suit l'itinéraire chomsky décennie théories séduisantes linguiste soulevé grand enthousiasme auprès nombreux chercheurs chomsky l'article psychologie citait l'hypothèse miller savoir volume mémoire utilisé emmagasiner phrase devait refléter nombre transformations utilisées l'engendrer hélas dizaines probablement centaines travaux expérimentaux effectués justifier cette thèse connaissance aucun abouti nettement positivement exemple fait écrire chercheur français stéphane ehrlich tout qu'on peut dire présence résultats partiellement contradictoires c'est qu'on trouve devant problème fort complexe dont différentes composantes encore maîtrisées l'hypothèse chomsky donc mémoire immédiate pouvait emmagasiner qu'uñ nombre limité transformations alors amené penser plus nombre transforma lions élevé plus tèmps production structure surface élevé l'expérience confirmé thèse toute différente part constat expérimenral cette capacité mémoire cette contenance ent pan limitée certain nombre segments linguistiques chunks suivant l'expression george miller transformation adoptée haturellement enfant utilise plus petit nombre chunks transformation laquelle préférence chomsky tant règle indépendante structure prête donc mieux utilisation économe rationnelle mémoire immédiate tant pis cela n'est conforme formalisme théorique prôné fonction quoi linguiste mit structures neurologiques particulier celles base fonctionnement mémoire immédiate moins partiellement base langage nul niera moins pense entre mécanisme très simple j'ai évoqué règles formelles complexes présentées chomsky s'apparentant véritables programtmations informatiques monde. fait plus grave réflexions montrent incidemment fameuses règles universelles chomsky lorsqu'elles s'appliquent exemples anglais s'appliquent plus exemples français puis arrive plus plus contester notion structure d'autant lecture derniers textes chomsky éclairante sujet semble dernier s'en tirer fasse plus plus appel arguments nature philosophique délaissant ceux nature pragmatique expérimentale conclure cette trop longue réponse pense théories chomsky nécessaires permettre affranchir théories néo-béhavioristes elles combien stimulantes faire réfléchir mécanismes production langage elles autant vraies moins 100 langage chose merveilleuse complexe l'erreur chercheurs qu'il s'agisse néobéhavioristes structuralistes piagétistes chomskiens peut-être simplement vouloir l'expliquer s'appuyant chaque fois seule théorie françois richaudeau apprentissage mémoire chez l'honune paris p.u.f. 1975 page 208 voir expériences jakubowicz rapportées j.n peterfalvi introduction psycholinguistique paris p.u.f. 1970 chunks maximum sujet voir expériences p.d pearson comparant enfants âgés neuf ans validité théories grammaire générative semantic chunks dont j'ai rendu compte numéro communication langages lire sujet claude hagege grammaire générative réflexions critiques paris p.u.f. 1976 lecteurs psychologie quand ecrivez veuillez avoir l'amabilite joindre enveloppe timbree reponse merci tous méthodes modernes permettent maintenant d'acquérir très vite mémoire excellente comment obtenir memoire étumante dont desoin ans d'expérience avez-vous remarqué certains d'entre semblent tout retenir facilité alors d'autres oublient rapidement qu'ils qu'ils entendu d'où cela vient-il spécialistes problèmes mémoire formels cela vient fait premiers appliquent consciemment non bonne méthode mémorisation alors autres savent comment procéder autrement dit bonne mémoire n'est question don c'est question méthode milliers d'expériences témoignages prouvent suivant méthode préconisons centre d'etudes obtiendrez mémoire quelle qu'elle actuellement performances première vue incroyables exemple pourrez après quelques jours d'entrainement facile retenir l'ordre certes d'un jeu l'on effeuille devant encore rejouer mémoire partie d'échecs retiendrez aussi facilement liste départements leurs numéroscodes naturellement but essentiel méthode n'est réaliser prouesses genre donner mémoire parfaite vie courante c'est ainsi qu'elle permettra retenir instantanément noms gens lesquels entrez contact courses visites faire sans agenda l'endroit rangez affaires chiffres tarifs etc noms visages fixeront plus facilement mémoire mois ans après pourrez retrouver nom d'une personne rencontrerez comme l'aviez vue veille parvenez aujourd'hui c'est prenez mal car tout monde peut arriver résultat condition d'appliquer bons principes méthode donne résultats peut-être plus extraordinaires encore lorsqu'il s'agit mémoire études effet permet retenir temps record centaines dates l'histoire milliers notions géographie science l'orthographe langues étrangères etc tous étudiants devraient l'appliquer faudrait l'enseigner lycées l'étude devient alors tellement plus facile voulez avoir plus détails cette remarquable méthode certainement intérêt demander livret gratuit proposé ci-dessous faites-le tout suite car actuellement pouvez profiter d'un avan- lage exceptionnel existe langues frénçais anglais allemand portugais pouvez consulter acheter méthode memo-didact directement centre d'étu- stéphane-mallarmé 75017 paris ssssssesdsssecesgratuit découpez bon recopiez-l adressez-le service centre d'etudes avenue stéphane-mallarmé 75017 paris veuillez m'adresser livret gratuit acquérir mémoire prodigieuse oament ner tous détails l'avantage indiqué joins timbres 1,50 frais pays hors d'europe joindre trois coupons-réponse monnom majuscules sonne drone oamaran onronatenn adresse"
3,4,feriez-vous boñ psychanalystes voulez-vous jouer psychanalyste car agit jeu devenir vrai psychanalyste faut subir psychanalyse didactique dure plusieurs années proposons plus modestement c'est lire quelques récits rêves chercher comment interpréteriez comparer intuitions l'analyse faite psy authentiques célèbres inconnus non montrés perspicaces gagnerez cet exercice quelques lumières manière dont s'exprime l'inconscient rêves c'est freud signalé rêves messages envoyés inconscient selon définition qu'il donne interprétation rêves rêve accomplissement déguisé d'un désir réprimé refoulé l'interprétation rêves consiste retrouver désir cache derrière déguisement camouflage opéré rêve peut prendre forme d'une condensation exemple donné freud seul personnage rêve oncle joseph représente deux amis d'un déplacement détail apparence insignifiant rêve fait point capital l'inconscient rêveur voïci exemple désir réprimé pendant journée surgit déguisé rêve exemple donné freud lui-même l'interprétation rêves dame peu raïlleuse répond jeune amie vient fiancer demande qu'elle pense jeune homme louanges sans réserves faisant impose silence jugement car volontiers dit vérité c'est homme comme trouve douzaine. nuit rêve question posée qu'elle répond formule toute commande ultérieure suffit d'indiquer numéro manière générale quand rêve beaucoup qu'au réveil rêves demeurent vivants mémoire c'est général quelque chose bien entendu raison cauchemars peut être prosaïque dormeur trop chaud trop froid bien digestion difficile encore l'air pièce vicié lorsque type d'explication éliminé découvre grands rêves pénibles cause inconscient insatisfait lorsque matin lève allègrement rappelant qu'on rêvé oubliant aussitôt sujet rêve c'est inconscient d'accord façon vivre santé silence organes inconscient sain inconscient besoin exprimer rêve désarroi durable passager lorsqu'on tendance faire rêves profonds pénibles répétitifs c'est général bien l'on pèche omission exemple mène vie trop vide l'inconscient rebelle ma- nière contre solitude manque sens vie dormeur l'on pèche excès exemple surmène trop polarisé idée cela dé- comparez perspicacité celle jung d'adler pens autres nécessités vie rendent l'existence harmonieuse donc règle générale rêves signal d'alarme qu'il faut prendre considération tenter comprendre uuoouueeeee—— ———— comment interpréter rêves rêves plus intéressants vôtres bien entendu car peuvent apporter lumières vous-même cette interprétation possible entraînez noter rêves aussi exactement possible voici quelques conseils sujet àyez toujours table nuit quoi écrire crayon papier mieux grand agendi ouvert date jour ainsi pourrez tout moment noter venez rêver sans perdre minute notez rêves dès réveil c'est discipline indispensable réveillez milieu nuit attendez matin pou décrire rêve éléments rêve s'effacent vite mémoire plus grave modifient forment rationalisez jamais mesure ponte sentne jéfinition illogique d'imaces plus souvent sous 407 8ess juxtaposées tentez pens souvenirs imme l'écriture automatiqut refaire après coup scénafl passages vel anis avoir rêvi vient plu çon expl sinificati slon sue
4,5,père psychanalyse l'inventeur l'association libre comme méthode faire parler inconscient s'est particulièrement intéressé rêve voie royale mène connaissance l'inconscient consacré livre majeur l'interprétation rêves p.u.f. 1967 usage chez surréalistes c'est bonne comparaison devez faire tous rêves passages manquent réveil oublis scènes importantes l'on sait confusément avoir rêvées dont souvient plus notez oublis façon explicite peut-être ont-ils signification importante s'il s'agit selon mot freud d'une censure claire conscience devant fait dont souvenir indésirable jours suivent rêve relisez temps compte rendu fait sans modifier texte écrit essayez d'associer images rêve contenu vie psychique celles vie quotidienne rêve peut directement dépendre s'est passé journée précédé celles histoire psychologique certains rêves énigmatiques paraissent rattacher rien souvent plus chargés signification car faut aller trouver langage l'inconscient profond rêveur exemple rêvé marchiez côté d'une femme grande rousse long d'une plage connaissez femme rousse signification rêve bien diférente contraire n'en connaissez notez cela rêve poursuit entrez femme rousse petite ca- bane bord eau puis passage rêve oublié tout sachant avoir rêvé quelque chose notez cet oubli enfin dernière image rêve femme rousse réapparaît sable cheveux notez cette image noté rêve pouvez tenter comprendre grâce méthode libre association fondamentale psychanalyse relisez première séquence rêve notez première image phrase souvenir vient l'esprit sujet absurde hors propos cela paraisse cette première évocation suscite autre notez aussi faites d'illusions tout rêve rattache vie psychique entière rêveur toujours moyens saisir sens d'un rêve sans secours d'un spécialiste outre chacun oppose résistances inconscientes découvertes lui-même trop pénibles néanmoins sans parvenir révélations vousmême pouvez faire découvertes ressorts cachés actes sentiments véritables pleins enseignements c'est parce qu'il plus facile d'être perspicace l'égard autres soi-même proposons entraîner quelques cas vécus autres pppppupupupupupupupupupnppeeeee——————…— premier cas deux rêves homme arrivé c'est grand psychanalyste c.g jung rapportel homme haute position sociale vient consulter souffre angoisses d'incertitudes vertiges vont parfois jusqu'aux vomissements engourdissement cérébral gêne respiratoire bref état ressemble méprendre mal montagnes patient carrière exceptionnellement brillante fils ambitieux d'un paysan pauvre commença modestement vie nature douée s'éleva d'échelon échelon grâce incessant labeur jusqu situation dirigeante éminemment favorable nouvelle ascension sociale fait venait d'atteindre tremplin duquel songer grandes envolées névrose fout coup n'était venue contrecarrer projets malade pouvait s'empêcher d'exprimer déconvenue phrases bien connues commencent mots stéréotypes justement maintenant que… etc. holmès-lebel voici deux rêves qu'il nuit précédente premier rêve trouve nouveau village ratal rue groupe petits paysans lesquels allé l'école feignant reconnaître dépasse j'entends alors d'eux dire montrant c'est souvent qu'il revient village. deuxième rêve très pressé car pars voyage cherche rassembler bagages trouve rien temps presse car train bientôt partir fin parviens réunir tout saintfrusquin précipite rue m'aperçois j'ai oublié serviette contenant papiers importants finis trouver cours gare avance grand-peine enfin suprême effort jette quai c'est voir train quitter gare décrit courbe singulière forme très long pense mécanicien fait attention donne toute vapeur dès qu'il atteindra ligne droite wagons queue encore courbe l'accé———— c.g jung l'homme découverte äme collection action pensée mont-blanc genève 1950 284 trad cohen-salabelle cit rez car gustav jung 1875-1961 psychiatre suisse aussi disciple l'ami freud rompu celui-ci 1912. selon jung existe inconscient collectif révèlent rêves mythes légendes commun tous êtres humains parmi œuvres principales peut citer psychologie l'inconscient buchet-chastel 1963 types psychologiques buchet-chastel 1950 vie souvenirs rêves pensées gallimard 1967
5,6,lération fera dérailler fait mécanicien donne toute vapeur j'essaie crier wagons queue oscillent façon alarmante finissent dérailler c'est catastrophe épouvantable réveille tout angoissé dites c'est rêve chaleur indique seulement rêveur trop couvert. cherchez sens plus profond cache derrière rêve interprétation ... ———————-—.————— ——— keystone alfred adler 1870-1938 médecin comme freud d'abord disciple rompt 1911. l'idée majeure d'adler c'est sentiment d'infériorité domine vie psychique sentiment chacun cherche compenser selon rang l'enfant famille influe personnalité adler décrit caractère d'aîné cadet benjamin œuvres principales tempérament nerveux payot 1970 sens vie payot 1968 ———————m deuxième cas premier souvenir d'un enfant couveé cet exemple cité alfred adler montrer combien premie souvenir d'enfance qu'il s'agisse non premier souvenir 1mporte peu peut évoquer personne donnée fait apparaitre tendances inconscientes sujet âgé d'environ trentedeux ans fils aîné gâté d'une veuve montre inapte toute profession donné dès début travail présente graves symptômes d'angoisse symptômes s'améliorent dès qu'il rentre chez c'est homme bienveillant sent mal l'aise rencontres autres école montrait toujours très énervé avant chaque examen manquait souvent l'école sous pré- texte fatigue d'épuisement mère occupait manière plus aïimante… voici premier souvenir d'enfance lorsque j'avais quatre ans j'étais assis près fenêtre pendant mère réparait bas j'observais ouvriers construisaient maison face dira sans importance. tout interprétation ... troisième cas rêves femme frigide mari couple vient consulter conseiller conjugal frigidité femme problème n'existait début mariage appa- peu peu suite voici deux rêves conjoints notés peu jours d'intervalle rêve mari table l'air travail sortes grenouilles vertes brunes couleur vase mettent sortir dossiers couvrent table soudain patte grenouille géante apparaît derrière gros livre position verticale veut m'attraper bras m'enserrant poignet autre grenouille m'enserre che villes réussis dégager bras m'apprête appeler femme n'ai faire apparait porte espèce d'aura tous animaux répugnants devien nent flous dis devrait tous deux aller faire balançoire femme accepte lançons balançoire rose cou verte petites fleurs nœuds rubans comme voit jes cadeaux c'est balançoire deux places profonde confortable laquelle balançons longuement n'est accro chée nulle part voguons airs réveille forte migraine l'impression j'aime beaucoup femme mari noté outre plusieurs actes manqués tels lire devanture cabaret ici bonne ambulance jazz ambiance jazz dire interlocuteur téléphone indemnité effets radioactifs effets troactifs autre fois c'est vrai cancer c'est vrai cancre rêve femme j'assiste soirée récréative laquelle mari participe jouant rôle plaît beaucoup invitée participer aussi animateurs soirée invite danser intermède devant tous spectateurs danse bien laisse d'abord emporter passivement très fort tient soulevée au- dessus sol aucun effort fournir m'aperçois qu'il s'agit journaliste terviewé plusieurs fois mari m'est très antipathique re- prends alors pied terre mal gré l'absence toute préparation m'inquiète j'exécute moi-même figures danse correspondant celles partenaire applaudit chaleureusement tassois mari complr mente pensées ail leurs pense qu'au rôle qu'il tacle sors salle sper breuses fait beau nom personnes très peu vêtus dorent soleil tout monde détendu heureux rausées serrent l'estomac attribue répulsion physique 1950 lens sens vie payot
6,7,col vrai assiste rôle invitée anim danser m'inspirait lorsque dansais bras l'ennui spec- tacle paraît bien bas niveau tend livre dont partie plume seul nom l'autre auteur figure couverture homme méprise montre l'ouvrage mari plains nom omis dit c'est très bien comme cela nausées augmentent l'air paraît vicié m'éloigne m'élevant j'arrive enfin l'air pur toit d'un gratte-ciel quelques artistes encore grimés spectacle déroule bas montent tour dis clowns. m'éloigne terrasse terrasse sans pesanteur enfin seule rêve devient confus réveille interprétation ... quatrième cas rêves garcon collé bac père père vient consulter psychologue fils pourtant intelligent vient rater baccalauréat refuse catégoriquement présenter seconde fois tout avenir menacé faire voici quelques indices psychologue tira manifestations l'inconscient deux protagonistes drame familial banal fréquent rêve fils nuit suivit l'annonce échec baccalauréat trois alignés long espaliers salle gym amis très brillant classe moins brillant meilleur moi-même prof gym ordonne faites course aussitôt empoignons barreaux échelles commençons grimper monte toute vitesse comme singe ... €st moins rapide monte sans forcer quant sens pieds plomb alors qu'habituellement bon tous exercices physiques faut faire effort surhumain passer d'un barreau suivant point tout lâcher bande volonté continue petit petit difficulté devient moins grande poids s'allège monte plus plus vite double ... déjà arrivé bonne hauteur ralentit vois soudain passer corps tombe chute libre c'est perdu pied alors libre sans entrave monte haut l'espalier réduit étroite échelle semble arriver jusqu'au ciel réveille alors impression intense soulagement puissance rêve père vers époque vacances promenons bicyclette fils partons maison roulons tranquillement faible allure maïs voici fils dépasse fais réflexion c'est normal bicyclette beaucoup plus grande mienne effet bicyclette anormalement rétréci devenue ridiculement petite passons devant poste police m'aperçois alors lanterne fonctionne m'arrête réparer car fait noir veux être infraction j'appelle fils qu'il m'attende continue sans m'entendre déjà tout bout rue dis c'est bien injuste être engin ridiculement petit m'empêche suivre autres m'éveille tout baigné sueur comme j'avais pédalé trop vite. interprétation voir l'interprétation spécialistes pages 68-69 lil célloataires voici rencontres enthousiasmeront ter presse dit pourquoi ... ion international équipé graphologues psychologues établit chaque candidat profil psychologique ... multiplier possibilités choix infimes vie courante claude berthod ... donner plus chances générations futures aidant réduire moyens scientifiques risques erreurs ... anne vilaine osènateur on-cherche coup foudre produise bases sérieuses figaro voilà pourquoi ailez faire aussi rencontre vie ion international institut psychologie fondé 1950 paris bruxelles genève bon gratuit ion suisse odo1oos veulllez m'envoyer sans engage- ment sous pli neutre cacheté livret d'information couleurs couple nouveau mme mlle ...... ... .... ......... prénom ..... ........ age ... adresse ion france ps44 lazare 75009 paris tél toue ion rhone-alpes psa rockefeller 69003 lyon éarr are epeno elles 31400 toulouse ion belgique psb44 marché herbes 105 b.p bruxelles tél 511.74.30 pss44 rue petitot fan doux lun von dune june lam lans jen jme lnaul geneve tél 022 21.75.01 dam damme dam lane james dame vanne vues dan
7,8,kif
8,9,"entretien ütte propos recueillis léa marcou psychologie nom depuis fort longtemps associé combat antiraciste avez-vous raisons personnelles cela otto klineberg souvent posé cette question juif d'origine fait incité certaines personnes voir raison intérêt problème vrai dire crois vais raconter l'expérience amené j'ai toujours intéressé quand j'étais étudiant problème relations entre groupes ethniques n'avais l'intention spécialiser domaine docteur médecine puis docteur psychologie l'université columbia pensais spécialiser psychologie pathologique l'époque columbia vers 1927 plus grand ethnologue américain franz boas aussi ruth benedict j'ai suivi leurs cours d'anthropologie culturelle suite devenus d'excellents amis cela suscité j'ai appelé articles espèce conversion religieuse j'ai soudain découvert fait d'importance capitale connalssons gens propre milieu étudiants etc our racisme n'avons droit parler psychologie générale deux amis ethnologues partant l'extrême-ouest etatsunis effectuer études mythologie l'autre langage indiens l'etat washington m'ont proposé accompagner n'ayant d'argent j'ai demandé professeurs subvention commencer recherches parmi indiens ————————————— quand disais enfents indiens vite comprenaient woodworth accepté condition cette recherche partie doctorat donc parti emmenant ensemble tests performance pensais petits indiens problèmes épreuves verbales faisant passer j'ai fait découverte paru passionnante quand disais petits enfants indiens aussi vite possible prenaient tout temps j'ai pensé qu'ils n'avaient compris j'ai répété quickly possible n'avait aucun intérêt ébere 7,177 cnil hit reportage photographique richard frieman voyaient pourquoi faire quelque chose soixante secondes plutôt qu'en soixante-dix cela pouvait bien sûr être quelque chose d'inné biologique j'ai fait études parmi d'autres groupes indiens enfants fréquentant écoles dirigées blancs milieu blanc enfants travaillaient beaucoup plus vite alors donné l'idée rapidité quelque chose d'appris j'ai fait thèse the problem speed racïal comparisons problème rapidité comparaisons entre ethnies travail placé double perspective guidé toute vie l'importance culture comportement général montrer race jouait rôle qu'en temps-là presque tous psychologues reconnaissaient plus moins deux problèmes racisme abord parce qu'après tout savais l'un facteurs influant situation noirs etats-unis cette idée qu'ils moins doués moins intelligents blancs nécessité d'étudier tous problèmes psychologiques perspective comparative dominé toute carrière suite aussi intéressé applications possibles psychologie-dans nnssesn rss sun"
9,10,relations internationales deux premiers livres quelque importance premier n'est traduit français s'appelle anglais race differences tentative réfutation m'appuyant littérature scientifique propres recherches cette prétendue différence innée entre races1i. c'était quelle année qar vers 1935. fallait courage défendre telles thèses cette époque ——— racisme l'un problèmes plus passionnants ok. l'un anciens collègues columbia professeur marshall segall maintenant l'université syracuse écrit livre dont titre pourrait traduire français psychologie politique mentionne nom disant j'ai courage terme employé american meuilly otto klinèberg novembre 1899 québec canada parents très jeunes émigré d'europe grandit milieu bilingue franco-anglais dont dit-il toujours félicité encore étudiant participe création d'une association regroupant étudiants francophones anglophones après études médecine l'université mcgill montréal puis psychologie l'université \de columbia obtient doctorät 1927 poursuit recherches différences psychologiques entre groupes nationaux raciaux europe 1927-1929 lés caractéristiques psychologiques indiens d'amérique noirs. américains 1929-1931 puis chine l'expression émotionnelle chinois 1935-1936 ensuite enseigne psychologie différentes universités columbia sao paulo hawaï 1962 après avoir dirigé département psychologie sociale columbia s'installe paris jusqu'en essayant d'appliquer ppsychologie problèmes capitaux domaine relations ciales n'étaient courant psychologie expérimentale moins vou lait telle expérimentale objective l'époque ajoute très gen timent maintenan courage continuer cette voie c'est parce qu'otto klineberg celui commencer très longtemps n'avais pensé c'était question courage c'était simplement l'un problèmes plus passionnants plus importants voici donc réponse premièré question fait avoir mené tout travail d'abord indiens puis noirs plutôt accidentel car double formation médecin psychologue dirigeait autre voie quelle pourrait être selon définition racisme ok. toujours semblé racisme chose très compliquée peut donner définition brève fait intervenir moins trois facteurs parler langage .psychologue 1965 professeur associé faculté lettres sciences humaines depuis 1965 directeur d'études associé l'ecole hautes études sciences sociales ainsi directeur centre international d'études relations entre groupes ethniques ailleurs otto klineberg fait partie deux reprises secrétariat l'unesco 1948-1949 dirige projet états tension département sciences sociales païticipant notamment travaux aspects scientifiques problèmes raciaux 1953 1955 dirige division sciences sociales appliquées aujourd'hui professeur klineberg consacre essentiellement recherche vient terminer foreign university voir prépare divers articlès relations entre groupes ethniques psychologie transculturelle parmi principaux ouvrages race differences new york arper and row 1935 characteristics the american negro new york race psychologie unesco 1951 académie neuilly jrai qu'il facteur copie acteur affectif facteur comportement facteur cognitif c'est l'idés fais autres toupes ethniques aussi mien entendu cela inclut stéréotypes images l'on autres quand dit exemple lee noirs paresseux italiens artistes ecossais économes britanniques sportifs peut avoir opinions grain vérité toujours études montrent stéréotypes développant sans contenir part vérité maïs stéréotype c'est d'abord l'idée qu'on fait d'au trui quand dit noirs italiens sans avoir données appuient cette généralisation tombe sté réotype voilà l'aspect cognitif l'aspect affectif c'est l'attitude favorable défavorable envers autres groupes préjugé accepte deuxième livre social psychology publié 1940 deuxième édition 1954 traduit français sous titre psychologie sociale paris p.u.f. 1957 mis l'accent l'importance culture comportement humain besoin d'étudier psychologie toutes sociétés humaines harper and row 1944 psychologie sociale paris puf 1957 etats tension compréhension internationale paris librairie medicis 1951 the human dimension international relations new york holt rinehart and winston 1964. collaboration ave w.e lambert children views foreign people new york appleton-c entury-crofts 1967 zavalloni nationalisme tribalisme chez étudiants africains haye mouton 1969 ben-brika etudiants tiers monde europe haye mouton 1972 zavalloni louis-guérin ben-brika etudiants leurs conceptions idéologiques politiques tüulaire nombreuses lécompenses domaines culturels scientifiques professeur klineberg aussi docteur honoris causa plusieurs universités membre honoraire associations psychologie sept pays membr
