,page,text
0,1,logie mitige connaissance soi connaissance autres frs avril 1980 123 osych forum lecteurs écrivent jeux lettres chiffres pierre tessereau 224 entretien julien bigras psychanalyste canadien l'adolescence réveil l'enfant rageur propos recueillis danièle lévy parle sédentarité rend femmes moins libres quand visage l'écriture contredisent chaque technique apporté vérité jean gaussin allemagne connaître autres bref enfance adolescence copains invisibles inquiétants non seuls enfants sains inventent maya pines chronique californie tests test rorschach soixante ans périmé uns plein d'avenir-pour autres léa marcou 427 bref etats-unis problèmes psychologiques policiers vite désabusés christiana maslach susan jackson sexualité garçons vers treize ans sexualité ons imagination riche pratique réduite stanislas tomkiewicz claude martin délire anti-sorcières pourquoi combat s'inscrit présent claude sigismond parle nouveaux éditeurs pierre-françois moreau face face psychothérapie j.-c. benoît l'enigme l'anorexie bruch autres parutions société eee histoire mentalités librairie abonner voyez page tsychologie edite centre d'etude proïmotion lecture departement retz 114 champs-elysees 75008 paris 562.14.83
1,2,célibataires voici rencontres enthousiasmeront ion international équipé graphologues psychologues ... établit chaque candidat profil psychologique mate multiplier possibilités choix infimes vie courante claude berthod donner plus chances générations futures aidant réduire moyens scientifiques risques erreurs ... anne vilaine dsnateur on.cherche coup foudre produise bases sérieuses figaro voilà pourquoi allez faire aussi rencontre vie ion international instirät psychologie fondé 1950 paris bruxelles genève lancon gratuit veuillez m'envoyer sans engage ment sous pll neutre cacheté lluret d'information couleurs couple nouveau mrmme prénom dressseesesssnse age ... adfesseb nrnescesorsmessessessounes ion france ps45 rue saint- lazare 75009 paris ion rhone-alpes psr45 rockefeller 69003 lyon 54.25.44 ion midi-aquitaine pem emoiselles tél 53.25.95 400 toulouse ion belgique ps845 marché herbes 105 b.p bruxelles tél 511.74.30 ion suisse pss45 rue kv1211 geneve tél 022 eat camus fans eumne vas lame los loun loue veux devenir éducateur spécialisé j'ai vingl première j'aimer fants d'adolescents problèmes psychologiques ble formation encore peut-elle s'effeptuer j'intei diaire d'une agence nationale l'emploi ans niveau ais m'occuper d'enayant m.l.- paris existe profession d'éducateur spécialisé dont vocation favoriser développement personnalité maturation sociale jeunes inadaptés qu'il s'agisse débiles mentaux déficients sensoriels caractériels inadaptés sociaux c'est l'établissement service selon cadre travail internat external foyer milieu naturel définit tâches l'éducateur action peut effet être prévention dépistage d'observation traitement rééducation internat l'éducateur spécialisé responsabilité permanente d'un groupe d'une dizaine jeunes dehors heures classe d'atelier participe vie quotidienne jeunes inadaptés externat prend charge jeunes pendant heures classe d'atelier chargé particulier l'observation éducation appliquant méthodes pédagogiques appropriées foyer surtout fonction d'organiser vie quotidienne loisirs jeunes doit également intervenir auprès employeurs aider jeunes résolution leurs difficultés fa- voriser autonomie milieu naturel peut avoir action prévention l'inada tation juvénile cadre d'in quartier d'une maison jeunes peut aussi êfre appelé interveni auprès d'un jeune famille employeur enseignants formation peut être plei emps cours d'emploi pret plein temps por s'étend ans sanctionnée d'éducateur spécialisé présentation d'un aut être âgé ioms septembr d'entrée formation trois diplôme après examen mémoire huit ans l'année jus- possession bacc jauréat être dégagé obli militaires poui candiq ulins faut outre salisfai épreuves sélection oreant sées l'école aquelle can didat demandé admission nombre tiée exigent mois d'activité salariée candidats expérience çcative colonie vacances etc association nationale éducg çeurs jeunes inadaptés route rebigue 31320 casteret-tolosan sure cours correspondance réparant l'examen sélection possible bénéficier d'aides financières soil bourse accor dée ministère sang dont montant subordonné ressources familiales soil demnité formation accordée ministère travail can didats avant vingt ans jus tifiant trois années d'activité sala riée enfin contrat for mation signé accord éla blissements étudiants can didat touche salaire pendant formation doit servir cing ans l'établissement après avoir obtenu diplôme liste établissements établie chaque née direction régionale santé convient demander précisions auprès écoles formation cours d'emploi assurée plusieurs centres tifie pahnade sences 1967 conditions suivantes ble etre âgé vingt-trois ans tale moins septembre l'année versitaires formation logie justifier trois années d'activité vols port professionnelle vendre satisfaire l'examen sélection delchaux formation cours d'emploi s'étend quatre ans minimum psych pendant lesquels éducateurs touben continuent percevoir salaire tncipes d'après écrivea semble formaliol plein temps contral dis por formation conviendrail région parisienne édito habitez écoles assurant for mation d'édücateur spécialisé suivantes centre formation d'éducatell spécialisés 145 rue parmentién 75010 paris centre formation d'éducateurs spécialisés bis rue louis-massoll 78530 buc ecole ateur formation d'éduci cem.e.a. château vaugrinets 91640 bris-sous-f —'ecole fpe edueu spécialisés rue 1-noventbr 92120 montrouge dll institut georges-heuyer 150 mil nue paul-vaitlant-couturier euilly-sur-marne
2,3,tell eurs ire tioil ous jor 1110 iel pis enfin pourrez obtenir enseignements complémentaires aurès l'association nationale gaucateurs jeunes inadaptés an.ejtt rue maubeuge 75009 paris m'intéresse psychologie commerce personnellement séduit commerce demandé s'il possible renseigner propos quelques livres documentation aide acquérir compréhension plus vaste psychologie commerce mme s.-anvers commerce c'est sujet bien vaste point vue psychologique c'est vente marketing études motivations publicité conditionnement limiter deux premiers aspects cités pouvez conmhmenacer lire livre récent paul albou psychologie vente publicité paris p.u.f 1977 auteur déjà publié antérieurement étude psychologie vente parue l'ouvrage palmade v'economique sciences humaines paris dunod 1967 blanc également fait .paraître 1971 paris editions uni versitaires livre intitulé psychologie vente sujet pouvez lire aussi l'art vendre goldmann neuchâtel delachaux niestlé 1968 éd. quelques titres peut ajouter psychologie marketing toubeau paris dunod 1970 principes pratique marketing denner paris delmer 1971 publicité pouvez reporter l'ouvrage intitulé publicité éditions retz bien entendu cette liste très limitative suppose d'autre part l'article claude bonnafont s.o.s psychologues aïdeznous vendre paru 114 psychologie propos sadisme masochisme auriez-vous l'amabilité citer titre quelques ouvrages sociopsychologiques traitant sadisme masochisme f.b.- ville-d'avray sadisme masochisme tous deux tenus fonds baptismaux j'ose dire chard von krafft-ebing dont psychopathia sexualis paru 1869. traduction cet ouvrage faite français partir seizième dix-septième éditions allemandes rééditée 1958 payot paris pourrez consulter ainsi ouvrages d'autres sexologues comme havelock ellis dont îles dix volumes etudes psychologie sexuelle fait l'objet d'une nouvelle publication français cercle livre précieux 1964. cependant sadisme masochisme habituellement rangés parmi perversions sexuelles n'importe quel manuel psychiatrie psychanalyse exemple celui ancien d'otto fénichel théorie psychanalytique névroses paris p.u.f. 1953 comporte plusieurs chapitres cette question parmi ouvrages plus spécialement consacrés citerai livre hesnard traité sexologie normale pathologique paris payct 1933 parmi plus récents ceux clifford allen déviations sexuelles paris payot 1963 lars ullerstam minorités érotiques paris j-j pauvert 1965 aulangnier painari clavreul perrier rosolato désir perversion paris seuil 1967 ilse robert barande christian david joyce mcdougall rené major etc sexualité perverse paris payot 1972 jacques chazaud perversions sexuelles toulouse privat 1973 jean-michel magis sexualité perversions. paris balland .1973 cette liste n'étant limitative sadisme semble avoir plan qui.vous intéresse moins étudié que'le masochisme dernier livre sacha nacht masochisme paris payot 1965 .un livre deréférence faut ajouter présentation gilles deleuze faite saher masoch tête traduction intégrale vénus fourrure paris minuit 1967 enfin sado-masochisme signale très beau livre christian pierrejouan paris seuil 1979 carrefour lyrisme baroque fantasme l'introspection intitulé quand ecrivez veuillez avoir l'amabilite joindre enveloppe timbree reponse merci tous peter bruce member the international hshtute fioener-gehc analysis newyert enseignant bioénerqie poris- divi equi\p psybio groupes continus sénsibili sato confrontation analyse analyses bidenergetiqu entretiens indivibuels wee nds chaque mois paris tnane metz tours stages d'ete province pole mean psybio rue folie-méricourt 45o1it paris 100 0303 permanence 13h uudi vendredi
3,4,"mme dentelle reconstituer texte ci-dessous remplaçant tirets lettres adéquates supprimées thème psychanalyse li-t—r—ret—t— —des— ese—t—avo—e—o0—a—e —uim—n—al—c—n—ai—s n—e—eli—c—n—c—ent esarintulo procédé chiffrement d'un texte substitution chaque lettre remplacée autre toujours donner l'ensemble cryptogramme illi sible lettres reviennent toutes fréquence plus texte ëst long plus rapproche 100 100 etc dix lettres plus fréquentes français l'ordre s,4a,7t décrypter commencera relever fréquences lettres cryptogramme plus fréquente presque toujours suivante l'une celles précèdent plus souvent recherche facilitée quand saura quoi traite texte sur6 jeux lettres chiffres pierre tessereau tout lorsqu'on espérera mot probable forme lettres répétées différentes doublées permettra lancer essais aboutiront plus moins vite décrypter cryptogramme suivant eheptcutxtesutltot ltgunptqucpntclp vtpnlpxgnpcevtpt pptepugbbhxqunppt xtesvcevtpnlatc stebgbftlvgcsiltpy cpzcèbtzctvtolh bftterlhbfthevtibh cdltcevtpnlvtug qaltxntlttergert aider tuyau au- teur sujet cette phrase mêmes jeu précédent l'un mots clés première phrase rêve figure celle-ci aussi cavalier résoudre grille mots croisés ci-dessous puis partir lettre cerclée gras trouver autres lettres obtenues passant l'une autre conformément marche cavalier jeu d'échecs l'ensemble lettres mots donne titre d'une invention psychologie rappel ceux savent jouer échecs voici comment déplace cavalier ren cavalier placé peut dre vociférer e—— chiffres lettres reconstituer"
4,5,ots croisés letiré autres l'un marché l'en horizontalement foyer domestique jamais attend frigidaire seul mot angle saillant personnel mauvaise odeur symbole jeu renforce oui rapprocher largeur singe d'amérique sud trompe démonstratif nœud ferroviaire malin carnässier gère sans voiles vertigalement sou vieille communauté russe .répare usure certain pronom greffes choix plateaux liaison moyen transport vieille armée pouffé durée d'une révolution poème lyrique terroir vociférer ville pays-bas multiplications multiplications ci-dessous chiffres remplacés lettres toujours mênies reconstituer cle pus aider cale —————————————————— ill the aider osee toit tarse connaître résultats voyez page écriture révèlera visage peut mentir voix peut tromper l'écriture ment c'est vrai presque toutes offres d'emplois portent mention écrire lettre manuscrite afin permettre chefs d'entreprises sélectionner candidats graphologie i.p.s. réunit meilleure équipe graphologues français offre démonstration gratuite suffit cela écriviez quelques lignes l'encre l'espace ci-dessous sans oublier signer retour recevrez diagnostic révélera traits dominants caractère décidé donner suite premier contact contribuërez enrichir service recherches étonné vérité révélations découpez bon adressez-le joignant enveloppe nom timbres frais l.p.s. 277 rue saint-honoré paris boîte postale 53-08 päris-8° nono èûcenne grapho-test gratuit écrivez ici recopiez simplement cette phrase désire recevoir sans engagement part diagnostic gratuit écriture ntentatonal pevouc-seavice sart-monoré paris. gas
5,6,iii sttasitoit ivtos cio otdt
6,7,l'atlolescence réveil l'enfant rägéur julien bigras l'avais comme bien téléspectateurs français lors l'émission apostrophes consacrée psychanalyse parlé l'enfant non l'enfant général maïs d'un enfant bien particulier cet enfant l'habitait encore cet enfant reclus lou rageur sujet livré savais donc déjà île rencontrant québec entretien serdit docte professoral mesure possible j'äi restitué prôpos julien bigras intégralité parfois j'ai résumer échanges. c'est maison saintchrisostome non loin montréal qu'il reçut cette maison maison rouge s'enracine terrain vallonneux peuplé d'oiseaux boisé d'érablières sud québec pied montagnes l'etat new york maison plutôt deux maisons celle adultes celle enfants qu'unissent deux pièces communes chacun peut donc s'isoler travailler bricoler écrire ecrire surtout car julien bigras n'est indifférent d'être membre l'union écrivains québécois ainsi l'association écrivains lingué française l'écriture activité essentielle vie cependant n'est ture l'adolescence julien bigras choisit parler non seulement bien sûr raison pratique .ses recherches aussi grande partie parce qu'il voyait cet entretier l'occasion d'élucider expérience d'analyser quelque peu relation vécue fils pourtant très vite cours entretien au-delà l'enfant réel c'est l'enfant symbolique l'enfant interne rencontrerons temps qu'apparaît filigrane quelque figure monstre l'écti- maternel doht saurait s'étonnér car ditil sort jarnäis mère c'est l'uitime l'unique objet vénératiori l'enfant. fout petit comprend rien quañd voit disparaître objets julien bigras parler l'adolescence c'est d'abord parler toute première enfance rapport l'adolescent tout petit enfant naît conscience vie comprend rieñ lorsqu'il voit disparaître objets qu'il aime alors sent brutaleñneht abandonné laissé compte tout échappe tout s'en va. cela tellement vite chez l'enfant processus objets disparaissent qu'il temps d'enregistrer fait enregistre quand .mmais s'en aperçoit psychologie quels objets disparaissent jb. c'est bout chiffon bout liège tête poupée bout peluche peut être mère quand met lit soir ferme porte noir plus rien tout seuil peut être père s'en travailler guerre peut être grande sœur jouer peut être objets humains animaux végétaux minéraux tout vivant animé peut être regard mère présente l'enfant content tout coup mère s'absente préoccupée quelque chose tête détourne peu perdu eperdu perdant regard propos recueillis danièle lévy mère perd tout expériences-là expériences perte s'inscrivent insu peut s'en apercevoir quand averti l'espace d'un instant très fugace vide regard l'enfant frayeur signaux disparaissent spontanément l'enfant passe autre chose m'intéressailt c'était savoir deviennent expériences perte rejet l'approche d'une autre crise l'adolescence frappe plus c'est l'adolescence possibilité reprendre situations passé fantasmes souvenirs sémblaient tout jamais perdus l'adolescence moments structurants l'évolution l'être choses s'organisent désorganisent c'est moment premières impressions premiers traumatismes pertes d'objets dont parlions plus haut abandons vécus autrefois vont jouer nouveau pourquoi comment expériences peuvent-elles resurgir précisément l'adolescence j.b. lorsqu'il stade préliminaire pensée analytique .freud analysé cas d'une jeune fille emma devenue phobique hantée l'idée d'entrer seule boutique dont névrose origine scène caractère sexuel vécue lorsqu'elle huit ans faut attendre puberté poussée instinctuelle qu'un épisode lüi rappelle façon inconsciente qu'elle vécu l'âge huit ans déclenche excitation sexuelle transforme angoisse maladie souenir refoulé s'est transformé bigras psychanalyste éné ration paris laffont 1979 eme véné
7,8,giwaprès coup traumatisme freud découvrira ultérieurement .souveñirs l'âge cing ans puis plus plus précoces vrais acteurs sens joue l'adolescence bien entendu l'adolescent s'aperçoit qu'il train revivre tout débuts vie quand désire alors qu'il amoureux retrouve monde désir petit enfant aspirait coller mère aspirait fusion fondement désir c'est toujours expérience manque perte faut manquer quelque chosé désirer désir s'inscrit uniquement fond perte l'enfant trop décu trop àbîmé adolescent trouve d'espoir toujours frustré alors risque décourager sombrer position suicidaire cynique destructrice s'il cliance rencontrer des-amis d'avoir parents sensibles alors jeux peuvent être repris pertes objectales reprises élaborées chercheur prâticien homme grand public julien bigras personnalité bien connue québec psychiatre psychanalyste membre didacticien linst canadien psychanalyse participé l'enseignement multidisciplinaire universitaire hospitalier cadre l'utiversité montréal théoricien chercheur 1963 1967 chargé recherches psychiatrie infantile l'hôpital sainte-jusline 1967 1971 directeur l'enseignement -et recherche département l'enfance l'adolescence l'institut lou albert-prévost université montréal certaines doùleurs également fondateur pourraïient être revue interprétation atténuées pansées revue sciences humaines gui longtemps interdisciplinaire devenue revue psychanalytiquie ais aurait-il moyen d'évi- ecrivain dirige collection ter l'enfant séparations épai lectures presses pertes objets détresses l'université montréal. praticien chercheur eur pertes font partie pé- l'écrivain également homme riences inévitables vie fàu- grand public 1967-1968 dra bien nourrisson sépare julien bigrâs anime émission mère tout moins cer- radio quotidienne taines douleurs pourraient-elles être problèmes santé mentale fans souvent en- titre cette émission élaborée assez pris partir coürrier d'auditeurs difficile trouver l'équivalent homme écoute crme québécois enfant julien bigras donc rien enfant pris commun représentation bras bercé enlacé coucouné5 d'un psychänalyste confiné dirait-on provençal3 maman cabinet île imé veut faire prendre sans ime public eprse gerets jaire pre homme public et'se livri doute prêmier cri verbalisé en- hrant public comme témoicne ant veut être laissé deux derniers ouvrag ess comple souvent cet enfant 'le greniers appel permis ape l'en- hachette fan garçon surtout doit mon- mitent paru courageux droit voir encadré pleurer l'adolescence c'est moreïi pri troisième ouvrage juliem vilégié l'être late i8ras sortir très iicap able ruraif titre prochainement pouvoir tmuler souffrance édité course exbrilies conditions mazarine ihé qrions cri qu'il anne hème abordé travers celui l'inceste l'adolese ence gorge depuis débi but c'est essentiel pect silencièux fonction paternité celui accommpagne crée auprès comme espèce itut département maternel très réceptif alors sure condit ions dez sanglots enten rentrés espèces lon leurs dues plaintes viennent plus prof. ond psychanalyste dévoré fils lés parents sont-ils position pouvoir aider leurs enfants cette période difficile peuvent-ils réparer jes manques qu'ils occasionnés autrefois pourriez-vous tant père j.b. grâce particulière père psychanalyste point entretien julien bigras parlera longuement rapports dernier fils racontera comment guillaume atteignait quatorze ans grandissait très vite montrait angoissé sen. sible vulnérable comme tous adolescents comportement suffisamment inquiétant père balance entre tentation découragement désir rap procher cet adolescent s'impliquer profondément vacances dehors maison rouge lieu moins spacieux devaient créer conditions propices rapprochement sans qu'une fuite retrait matériellement possibles j'avais désir d'être très près de.m'occuper qu'il pouvait interpréter comme signe intérêt aussi comme nifestation d'autorité contrôle rêves père représente enfant détresse s'éprouve luimême comme mère increvable accepterait tout clirait c'est enfant temps appréhende exigeant rop envahissant trop come provoque l'agressé dortant lui-même enfant climat compétim tensions s'engagent guillaume montre inst comme comporte griffe pébé pince laisse plus tranquille situation dégrade plus til freud f110 tifique ... .esquisse d'une psychologie s£le coups cest freud souligne après veni faire coucoun coucounar viens con probablement issu mot bigras dant heures makde incapal davantage rapp presque physiqu n'en
8,9,raple s'im maison pacieux pro sans mme rapprochant n'était père mère qu'il trouvait s'attaque comme corps maternel fasciné terrifié déassé phénomène l'enfant montre plus plus tyrannique agression systématique demande inilicite d'amour faudra éclat dénoue situation scène l'issue laquelle guillaume sanglote pen- plus bigras aidant dant heures alors père malade incapable supporter davantage rapprochement violent presque physique s'alite comme mère pourrait plus m'interroge pourquoi cette dépression intolérable chez guillaume c'est retrouver l'enfant grenier l'enfant j'ai cet enfant-là l'ai décrit comme enfant symbolique jamais parlé pleuré recouvert crâne d'un casque protecteur parce qu'il veut toujours lancer tête première contre murs vide qu'il détruit tout l'entoure bave d'une rage indescriptible fou jouit l'être après cette crise rapprochement possible sans doute parce limites père reconnues également fonction paternelle aussi parce sanglots l'enfant entendus sanglots d'une souffrance ancienne gelée n'était élaborable c'était contre dre sanglotait qu'il savait j'étais fils aidé moi-même quelqu'un l'entendre comme mère cet enfant m'agressail c'était l'amour pri mitif c'était qu'il aval besoin d'être rejoint j'ai touché peu bout doigt peau criait c'est fait sans m'en rende compile esl important c'est j'ai peut-être cette aventure entre père fils adolescent aidé guillaume pourrait dire surtout aidé moi-même cela permis prendre main materner m'autoriser profiter vie peu comme enfant enfin droit promener jouer s'amuser pourquoi dire mot très simple être heureux —————— savoir être ému respectueux devant l'adolescent amoureux bénéfice secondaire conséquent celui père finalement choisi accompagner fils là-même mesuré combien difficile voire douloureuse pouvait être cette démarche suivre adolescent régression c'est s'exposer être agressé comme l'être autrefois corps maternel au-delà parent actuel c'est corps maternel primitif visé comment supporter peut vraiment offrir corps manger peut sans mot dire sans rouspéter obéissänte bigras hachette l'enfant grenier paris noumeune esychan anse pte lea sous direction ontalis cee revue sos non ecs sun ppt eds pelle aus rare nee
9,10,passive donner corps comme cible attaques l'autre sinon mère bébé ailleurs accepter comportement l'adolescent souffrance qu'il exprime faire reconnaître accepter respecter rôle parental faut parent reconnu enfant interne cet enfant qu'il porte aussi crie fait rage lorsque crise éclate entre père fils n'est-ce cet enfant frustré rejeté violent s'emporte contre fils chaque adulte petit garçon petite fille façon d'autre hurle pleure cet enfant interne celui s'est comme figé moment enfance présence l'adolescent réveiller souffrance exigences c'est parent montre cruel intolérant réalité périodes crise périodes cris parent adulte adolescent s'affrontent deux enfants battent rage impuissante j.b. c'est cela c'est généralement auprès quelqu'un d'autre parent l'adolescent peut trouver l'aide dont besoin parents quand comprennent mesquins acceptent n'écoute assez adolescents bigras enfant vive moments d'abandon reconstituer unité exemple ami père psychothérapeute copains petite amie permettront respecferont expériences neutralisent îles rejets pertes traumatismes d'autrefois expériences privilégiées psychanailyste lecteur averti intentions l'aureur exprimées présentation livre viennent démentir titre peu provocant julien bigras propose donc montrer lecteur comment fonctionne processus l'analyse vivo situ conséquent dévoiler tel qu'il tel qu'il voudrait l'exercice métier autrement dit invite lecteur être témoin défenses régressions participent travail psychanalyste faisant retrouver certain esprit d'enfance merveilleux monstrueux manifestent psychanalyste retourne sources l'archaïque s'articulent conjuguent violence l'amour effet derrière psychanalyste dévoilé l'exercice métier c'est enfant nuit dépouillé vulnérable l'auteur confronté fil chapitres dont titres autant bornes inéluctable parcours rage catastrophe souffrance délire monstre maternel enfin car concert l'auteur lecteur vont page page rencontre découverte monstre maternel figure centrale l'ouvrage figure complémentaire l'enfant abandonné mettait scène précédent ouvrage julien bigras l'enfant grenier hachette cet enfant abandonné l'auteur décrypte inlassablement l'histoire tant propos patients leurs rêves siens propres écrits voire délires théoriques quant monstre maternel non seulement image mère perverse destructrice fascinante aussi princip tout puissant création bénéfique l'enfant fonction d'agir comme garde-fou antidélire fait ours adolescentes chacun comblé non seulement sence l'autre aussi exemple découverte poésie mathématiques lescence c'est temps grand passions grands projets conquête monde conquérir monde c'est l'origine conquéri mère c'est cela l'ads lescence importante malheureusement peu respectée n'écoute adolescents pourtant certains parents plus simples savent faire ceux devant jeunes amy reux émus émerveillés res pectueux avez-vous deux ade lescents amoureux c'est proto type bonheur maison transformée c'est contagieux danielle lévy eee ... danielle lévy enseigné lettres modernes comme professeur certi fié puis formée psychana lyse titulaire d'un diplôme d'études supérieures spécialisées psycholo gie clinique psychothérapeute ani matrice depuis trois ans d'une série d'émissions télévision développement l'enfant ééeéepeeeeee———————… bigras font 1979 psychanalyste paris laf chacun énigme peûñt-être clef voûte analyses interminables transferts jamais liquidés chapitres vénération délire concept monstre maternel l'origine fin d'une analyse passionnante relation jung freud transfert jung délire s'ensuivit cet ouvrage peut choquer ceux tiennent l'image d'un psychanalyste résolu ous problèmes revanche louchera bien lecteurs sensibles autant qualité style qu'aux propos démystifiants n'est nécessairement surtpris quand julien bigras confie folie parfois attire ému certains aveux tendresse féconnaissance pssynanalyste julien bigraÿ laffont coii réponses 1979 trel core gements fem patricia mexico bande
