,page,text
0,1,syhologiie connaissane wssanre soi conninssance autros null juillet 1980 126 forum lecteurs écrivent bref france quiz etes-vous bon psychologue entretien pasteur joseph doucé aide minorités sexuelles propos recueillis anita khah chronique pain jeux époque répondeurs téléphoniques leurs clients tordus timides obsédés pratiques françoise kostolany groupes j'apprends être agressif bon usage l'agressivité claude garraud bref allemagne psychologie pensée l'énigme génie mozart symphonie c'est comme dîner howard gardner parle cerveau gauche ... cerveau droit enfance adolescence l'amitié vue enfants l'idée enfants font évolue selman questionnaire comment voyez-vous l'amitié bref grande-bretagne psychologie clinique vaincre peur avion seul aidé peut lutter gagner josiane novi librairie destins plaisir aulagnier sagesse désordre mendras leçons corps gentis bref etats-unis petites annonces psychologie prochain numéro paraîtra jeudi août declinez identité etude promotion lecture abonner roge sert cdite centre ps-elvsees 75008 paris 562-11-83 voyez page
1,2,marcel turbiaux répond lecteurs vivre enfant autistique pouvez-vous m'indiquer titres d'ouvrages parlent vie quotidienne enfant autistique mme rocheville pense l'ouvrage brauner intitulé précisément vivre enfant autistique paris p.u.f. 1978 doit répondre question auteurs dont publié également 1978 chez éditeur l'expression psychotique chez l'enfant expression verbale non verbale onf consacré vie enfants déficients mentaux handicap multiple ouvrages donc compilations fait d'une expérience vécue espoirs déconvenues pouvez lire également mère empêchée paule giron paris seuil 1978 témoi gnage d'une mère d'enfant autisti raconte lutte contre maladie médecins enfant marcel turbiaux thérapie primale peut-on former pair voudrais m'engager complètement thérapie groupe exemple cri primal seulement moyens temps comme argent m'en empêchent existe t-j europe u.s.a communautés recevant per- sonnes désirant devenir thérapeutes offrent possibilité faire tous jours thérapie échange travail réalisé communauté vivant place m.s. toulouse réponse aisée brève aucune possibilité formation thérapeute pair plus thé rapie prinale autres formes thérapie n'oubliez qu'avant devenir hérapeute faut généralement avoir soi-même suivi thérapie arthur janov inventeur cri primal ailleurs fait l'objet hoïmbreuses critiques psychologie juillet 1980 omimande raitermen rom élèves ans environ forme patients capes btais unis d'amérique ort cher dci etienne jatenques paris lalèves d'élèves jourd'hui dissidents pratiquent uné autre forme reise toute façon arthur janov utes forment ail d'un travai connues ques fondées france roy hart théâtre toiras âteau malerargues anduze dont visées autant esthétiques théâtrales thérapeutiques elles former thérapeutes aiaen membres devenir cite dia maux c'est-à-dire reflet loi internement afin parfaire étude problèmes d'internement psychiatrisation désirerais posséder charte internés textes relatifs différents processus internement m.r tours texte base constamment rappelé figure tous n1a- nuels psychiatrie c'est loi juin 1838 incluse code santé certes sous l'influence pro- grès psychiatrie l'exten- sion recrutement formes bénignes éme d'abrogation encore daychiatrie française édités 1966 1968 psychiatrique lation charles brisset are l'avenir france paris cela faudrait claration fasdrait ajoute nité lors psychiatrie août p'ée luna maional onolulu eplembre 1977 ient naltire diagnostic suggéré peuriques envisagées compys alternatives possibles fois lraiteren osé détention doi instance d'appel indépendann neutre susceptible livrer enquête tel cas cha tient doit être informé d'une telle instance dois droit faire appel pers nellement ... faut souligner celte claration exemm d'ailleurs d'arrière-pensées polir ques n'est qu'un vœu exprimé psychiatres présents congrès d'honolulu s'agit texte force loi marcel turbiaux livres interactions parents-enfants dois présenter mémoire sujet suivant l'observation interactions parents-enfants manque d'éléments pourriez-vous suggérer quelques lectures moins comme base merci travail j.m. mans n'est qu'après 1945 etats unis d'amérique qu'ont réalisées premières études recourant l'observation relations parents enfants trouverez l'article lytton observation dies parent-child interaction child development vol 651-684 revie méthodologique recherches effec tuées 1945 1970 bref aper critique d'une cinquantaine d'études depuis quinzaint d'autres études publiées porte nombre soixail® cinq auquel convient d'ajouter travail j.-p. pourtois paru récel ment enfance 1979 d'où vient comment quement pyromanie log explique-t-on psycho pyromanie cabri pyromanie impulsion hle allumer incendie jubilation spécifique siens retire feu peut avoir ans alcooliqti sives lié l'affectio besoins lecteurs nons écriven
2,3,déséquilibrés psychopathiques drive aussi pyromanie caractère symbo ique d'une perverion désir mettre feu trajsant jortes pulsions agressives nconscientes liées symbolisme este feu flamme cersains auteurs meme signalé oùt plaisir faire partir feu réel jantasmé condiion indispensable jouissance sexuelle psychanalyses pyro ones révélé conjonction ulsions sadiques destruction rigées conire l'objet plaisir cutané tiédeur feu relation plus profonde l'érojisme urétral également trouvée sigmund freud ariicle publié 1932 pris cette constatalion conime point départ dune hypothèse l'origine cul muelle feu selon otto fenichel perversion incendiaire efforts sadiques intenses gouvernent vie sexuelle force destructrice feu servant symbole l'intensité besoins sexuels patients pleins d'impulsions vindicatives recevant forme spécifique fixation érotique urétrale analogue autres névroses impulsives but typique cette hostilité forcer objets donuer l'affection rendue nécessaire besoins narcissiques lecteurs écrivent calcul lettre d'eysenck critique livre victor sérébriakoff steven langer calculez quotient intellectuel voire enfant copernic rédigée michèle carlier maître-assistant psychologie paru psychologie 116 septembre 1979 célèbre psychologue anglais h.j eysenck dont publié article numéro commente cette critique critique michèle carlier profère certain nombre déclalations complètement äusses argumentées telle manière qu'elles deviennent inaccepäbles donner exemple déclaration définitivement €t° madame carlier affirme ete seulement trois éudes gré l'mieaux élevés séparément jumes qu'elle veut parler vrais comme prouve eme vtase structure and measuquatre intelligence existe cle études type savoir kde newman shields nielcen burt point différent madame carlier critique l'assertion faite sérébriakoff langer comme quoi manque fidélité d'un test d'intelligence réduit proportion variance due l'hérédité point sérébriakoff langer tout fait raison formules habituelles statistiques biométriques génétiques groupent automatiquement variance erreur variance environnementale corrections adéquates peuvent doivent être faites comme précise livre madame carlier avance autre sujet distribution scores test d'intelligence normale parce c'est nature cause méthode construction ceci n'est tout fait exact certainement possible produire tests intelligence telle façon distribution scores dissymétrique sens l'autre exemple l'inclusion d'un trop grand nombre questions faciles comme test ravens matrices l'on prend soin d'éviter telles erreurs statistiques alors résultats répartissent long d'une courbe ressemble éxactement courbe normale quoique naturellement bien connu qu'il nombre excessif d'enfants dont q.i trouve entre probablement cause traumatismes obstétricaux cause maladies dues seul gène qu'il nombre excessif d'enfants tranche q.ïi très élevés fait lequel aucune explication encore offerte parmi psychométriciens majorité certainement accord sérébriakoff langer point plutôt qu'avec madame carlier autre argument madame carlier avance facteur général d'intelligence devrait être interprété façon causale qu'il d'autres méthodes statistiques d'analyse interprètent données corrélationnelles différemment ceci vrai lorsqu'on considère données statistiques arguments type causal prennent considération bases physiologiques l'intelligence telles qu'elles mesurées potentiel moyen évoqué l'électro -encéphalogramme suggèrent sans moindre doute madame carlier l'erreur méthodes statistiques alternatives rendent compte fait tous résultats obtenus j'ai discuté point assez longuement livre peut demander qu'un livre grande diffusion comme celui guérison imite parle beaucoup d'une récente découverte permettrait guérir radicalement timidité d'après w.r.borg timidité maladie morale maladie physique prenez dit-il timide empêchez-le trembler rougir perdre attitude naturelle prendre attitude ridicule montrez-lui comment peut éviter manifestations physiques émotion l'aurez guéri mal jamais plus troublera passer examen déclarer amour jeune fille s'il doit jour parler public seul mérite d'avoir découvert moyen permet chacun instantanément sans effort maîtriser réflexes. semble bien effet w.r.borg trouvé remède définitif timidité j'ai révélé méthode plusieurs amis l'un d'eux avocat point renoncer carrière tant sentait bouleversé chaque fois qu'il devait prendre parole prêtre malgré vaste intelligence pouvait décider monter chaire tous stupéfaits résultats qu'ils obtinrent étudiant échoué plusieurs fois l'oral baccalauréat étonna professeurs dernière session passant examen brio étourdissant employé osait peine regarder directeur sentit soudain l'audace soumettre idée intéressante vit doubler appointements représentant hésitait cinq bonnes minutes devant porte clients avant d'entrer devenu vendeur plein cran etirrésistible sans doute désirez-vous acquérir aussi cette maîtrise vous-même cette audace bon aloi précieuses gagner dures batailles vie peux court article exposer détail méthode borg j'ai décidé auteur diffuser auprès lecteurs priez borg envoyer intéressant ouvrage documentaire lois eternelles succès l'adressera gratuitement voici adresse war borg dpt 626 chez aubanel place st-pierre 84028 avignon castro methode borg bon gratuit découper recopier adresser w.r. borg dpt 626 chez aubanel place st-pierre 84028 avignon recevoir sans engagement part sous plifermé lesloiseternelles succès nom prénom raue code postal ville age profession
3,4,éditeur psychologie édite aussi connunication langages mass media pédagogie langage informatique sociologie publicité etc réduction préférentiel d'abonnement réservé lecteurs psychologie renvover communication langages 114 champs-elysees 75008 pans 235 p126 abonnez numéros communes langages réglerau reception numéro 105 lieu 150 prénom nom rue codepostal ville signature obligatoire bic-analyse outil thérapeutique recherche fondamentale soi-même confins psychanalyse bio-énergie reichienne axée l'émotionnel proposée psychanalystes bioénergeticiens groupes continus sessions d'été séances individuelles formation s'informer 433.17.50 marc redon r.sébastien brossard 77100- meaux erba psychologie juillet 1980 nombreuses études nombre restreint tivement conduisent riété publique mm'appartient sellette lèle réfé teurs liste carlier rences comme ble souhaiter fait manue références sairement conc cherchaient teurs plutôt onces vérité l'absence l'article madame cart pme m'inciter l'accuser intention n'était iniée connaisse personnellement grité désir vérité h.j eysenck réponse michèle carlier critique l'ouvrage ise rer briakoff langer sdibles non crédi auteurs oint car non compétents kls donnent raison puisqu'ils semblent incapables répondre eux-mêmes critiques adresse font intervenir défense tierce personne comppétente celle-là professeur eysenck concerne préfère répondre personnellement plupart remarques d'eysenck fondées malentendus qu'une lecture plus attentive texte lever j'accuse sérébriakoff langer faire déclarations mensongères but convaincre prends comme exemple phrase page 142 nombreuses études entreprises jumeaux vrais élevés séparément ... clair problème n'est savoir existe trois études comme l'ai écrit quatre études comme dit eysenck emarque vise souligner l'effet d'attitude créé chez lecteur mot nombreuses doute quelque lecteur puisse vouloir dire trois quatre ajouto portent sujets étudiés jauraien parle trois c'est parce j'exclus bur résult burt imaginés améli reportés faço nte l'étan tout sais c'es établir doutes planent tro l'environnement lecteur reporter l'ouvrage saute comme celui-ci conseille j2°®nck vérifier raisonnemen aire tient variation sénétiqu vrai aussi vatias due l'environnement mun pages 106 117 concerne distribupi scores d'intelligence critiq porte fait dishe bution observée s'écarte non distribution normale théorique fait connu j'en donne interprétation qu'eysency cependant m'élève contre sentation donnent sérébriak langer comme s'il pouvait exjs ter échelles arbitraires psychologie comme autres sciences échel visant mesurer niveau intel ectuel n'échappent cette règle inclure items lrop faciee test erreur statis tique c'est bien parce psy chométricien réfère modèle sinon quoi déciderait.i erreur nie modèle facteur général modèle plus heuristique concerne conceptions structurales l'intelli gence effet modèle permet d'intégrer plus faits tout cohérent veut dire certains faits contradictoires particulier ceux trait corré lations entre q.i potentiels évoqués corticaux comme témoi gsne exemple livre cal laway brain electrical potentials and individual psychological diffe rences new york grune and stratton 1975 pense cependant quon peut 1980 présenter fac teur général d'intelligence comme l'aurait présenté voici quelques cennies vise large public. revenir l'ouvrage séré briakoff langer répondrai auf faire vulgarisation n'implique obligatoirement simplific hon outrancière perml méme lecteur soupço ner l'existence problèmes n0f solus dieu sait s'il chologie question référent sst liée celle simplifical® sst d'usäâge france tout oms citer référer analyse critique c'est doi l'ai fait dangereux compris vrages vulgarisation donner lecteur ceci jiaire idée lance cont uppose ortanlis ntradictoires plus imp données carli michèle prot dies type due some
4,5,"ffance hélène monneret force sexe faible l'écart entre l'espérance vie pommes celle femmes constaté partout monde jes femmes vivent moyenne huit ans plus hommes constatations amené cher cheurs poser question sui vante pourquoi femmes vivent-elles plus longtemps hommes enquête faite l'inserm 1978 apportait pre miers éléments réponse principales causes mortalité masculine liées mode vie consommation plus grande tabac d'alcool responsable beaucoup cancers poumon larynx pharynx l'œæsophage mortalité cancer fois plus élevée chez hommes chez femmes d'autre part chercheurs américains viennent mettre évidence fait protection contre certaines maladies comme l'hépatite virale type mononucléose infectieuse ... liée réponse immunitaire due certains gènes chromosome rappelons femmes deux chromosomes alors hommes n'en qu'un puisque second chromosome gènes chromosome déficients chez homme aucune compensation alors chez femme gènes autre chromosome peuvent prendre relai gènes immunoréguleteurs portés chromosome fait d'après recensements actuels très nombreux résistance particulière sexe faible manifeste dès vie utérine avortements sponlanés révèlent plus souvent fœtus mâle donc outre causes socioculturelle causes génétiques stages congrès piaget l'honneur septembre rio janeiro premier congrès piagétien brésilien centro experimental educaclonal jean piaget tras madre jases gavea rio janeiro 20451 brésil psychosynergie juillet bioénergétique néoreichienne août alpesmaritimes atelier communication maison jeunes arcades aiguillon 06000 antibes archéologie stage août lézoux l'allier a.rt.ia. rue clochettes 93150 blanc-mesnil signaler cette association édite revue trimestrielle sites guide chantiers fouilles france psychocybernétique image soi stages août c.a.r.s.h rue brizeux 35000 rennes université sauvage trégorgoëlo 29.juin août danse musique etc aussi ateliers autobiographie conduite réunions plaisir réseau coopératif avel nevez 22820 plougrescant joindre timbres médecine populaire université d'été juillet août savoie stages herboristerie l'homéopathie familiale etc association anthropos 144 chemin crénieux 69300 caluire psychothérapie groupe congrès copenhague danemark août thème l'individu groupe leurs relations leurs déliminations théorie pratique spadille congress service sommervej dk-3100 hornbaek danemark s.o.s.-couple annoncions naissance s.o.s.-couple service téléphonique réponse toutes personnes nécessitant l'aide vie affective sexuelle relationnelle particulièrement vie couple l'association française centres consultation conjugale l'origine cette démarche vient faire bilan première année fonctionnement rapport éclaire nombreux problèmes posent actuellement couples conformité modèle émancipation femme conflits aspiration autonomie statistiques appor- tent éléments intéressants personnalité consultants type demandes formulées ainsi apprenons presque autant d'hommes 45,1 femmes 54,9 appellent plupart mariés depuis moins dix ans 472 depuis plus dix ans deux enfants pendant périodes vacances proportion tend s'inverser 51,47 d'appels masculins consultant type cadre moyen région parisienne demande aide psychologique plutôt juridique sociale appels motivés événements donnent caractère actuel crise 59,6 difficultés existent longue date l'accumulation rend insupportables appels concernent informations d'ordre sexologique quant âge moyen personnes situe tranches d'âge vingt-trente ans 33,2 trente-quarante 48,6 fait intéressant alors qu'en consultation conjugale plus soixante ans n'apparaissent constituent 4,56 appels s.o.s.-couple reçu depuis 5046 appels correspond 3514 heures d'écoute succès tend confirmer fait type conseil conjugal répond actuellement besoin spécifique personnes nature aide anonyme apportée s.o.s.-couple rencontre l'attente s.o.s.-couple 539-37.37. zen l'associaticn zen d'europe organise six sessions pratique zen sous direction maître taisen deshimaru pendant l'été 80. stages jours regroupent période d'initiaion période pratique intensive chaque stage débute chaque mois jusqu mois septembre places encore disponibles renseignements association zen d'europe rue pernéty 75014 paris tél 542.56.89"
5,6,auriez-vous deviner pensent font majorité gens telle telle circonstance offrons l'occasion tester voire perspicacité frouverez ci-dessus description dix situations toutes fait l'objet recherches d'expériences scientifiques part spécialistes psychologie sociale depuis demi-siècle bonne réponse c'est-à-dire celle décrit l'attitude majorité gens donc connue deviner ... durant campagne électo- rale est-ce plupart électeurs prêtent attention particulière surtout arguments propre parti surtout arguments leurs adversaires tous arguments façon psychologie juillet 1980 etes-vous bon psychologue ————— viewée tue délin- quant lequel émet- teurs fictifs obtient davantage volontaires col- lecte professeur l'homme rue délinquant veut famille fai mêmes peu celles quinze jours interroge toutes mères quel groupe plus augmenté consom- mation lait celui entendu l'expo- sé. celui participé dis- cussion différence hôpital cherche persué mères donner bébé l'huile foie mort jus d'orange unes lors entretien indivi duel vingt vingt-cinq nutes diététicienne autres lors d'une dis cussion groupe tee lesquelles suivront mieux conseil donné in- celles reçues dividuellement participé broupe différence l'opinion quelq
6,7,interrox gro conso soumet certain nombre personnes réunies autour d'une table liste situaions dont héros doit choisir entre éventualité risquée attravante autre sans danger peu attrayante exemple créer propre entreprise garder boulot sûr ennuyeux après avoir répondu individuellement ersonnes invitées discuter jusqu groupe parvienne décision unanime décisions groupe davantage sens risque celles individus davantage sens prudence celles individus différence groupe où-l'on discute plus influencé l'opinion majorité quelqu'un reste silencieux quelqu'un participe activement à-la discussion différence réunit groupes jeunes gens antimilitaristes persuadés l'objection conscience meilleur moyen lutter gauchiste faït discours lequel condamne moyen lutte ans premier groupe affirme fin discussion opposition intransigeante ans second groupe fin discussion assouplit position disant objection conscience peut être valable qu'il d'autres moyens ans quelles conditions cette gpinion minoritaire influenceelle plus majorité minorité n'influence majorité demeurant intransigean° assouplissant position annonce groupe jeunes gens mineurs qu'ils vont assister dix minutes conférence thème pourquoi moins dix-huit ans doivent passer permis conduire second groupe assiste conférence sans avoir averti quel groupe plus largement convaincu arguments présentés conférence différence entre deux groupes groupe averti dix minutes avant groupe averti demande membres groupe quels avis sentiments autres membres envers incapables dire repèrent bien gens aiment moins bien ceux aiment repèrent bien ceux aiment moins bien ceux aiment secte croit fin monde doit produire date déterminée jour dit certains membres cette secte réunissent autres demeurent chacun chez soï attendre cataclysme rien n'arrive quelle ensuite l'attitude membres secte perdent foi trouvent explication cet échec gardent foi fuient contact non-croyants gardent foi recherchent non-croyants convertir répondez séparément sujets groupés sujets isolés —————— connaître réponses reportez-vous 64. ——————— ecole esymchographonogie mentpauxatechniques chologiquestet organisme prive d'enseignement distance fonde 1953 seu lordu cours correspondance cours oraux sessions confé rences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient caractérologie morphopsycho logie graphologie orientation sélection professionnelles inscriptions toute l'année rythme d'étude individualisé formation conventions permanente documentation gratuite gaillat villa st-pierre 94220 charenton tél 376.72.01 analyses sélections professeurs primal intégration posturale cycle complet intensif jours 18-8-80 6-9-80 animateurs geneviève françois henri eyraud primal toute année intensives individuelles groupes pers max spire couperdrix augers-en-brie 77560 villiers-st-georges tél 401.94.55 751.23.76— 25.17.14
7,8,mariages homosexuels j'ai célébrés fait bénédictions d'amitié kate mou ste érn
8,9,entretien pasteur joseph doucé aide minorités sexuelles décembre 1979 pasteur joseph doucé fondateur animaleur d'un centre d'aide minorilés sexuelles jaisait parler célébrant temple parisien riage d'un couple femmes au-delà aspect spectacurlaire importe relever cet événement s'inscrit projet plus vaste d'un homme placé ministère service lutte contre discriminations sexuelles projet trouve racines sens histoire individuelle l'homosexualité veut plus destin contraire modalités possibles relation l'autre. c'est l'enchevêtrement vie action qu'avec resle d'accent flamand non sans mour parfois joseph doucé pasteur psychologue homophile parle psychologie pasteur doucé nom inséparable c.c.l.1 fêtera celle année quatrième anniversaire définissez vous-inêitte comme centre pastoral psychologique d'information d'entraide minorités sexuelles faut-il €ntendre joseph doucé centre parce voulions église communauté lieu aussi ouvert pos sible toutes minorités seule association tésle loi 1901 c'est-à-dire but non lucratif s'occupe france minorités sexuelles seu- lement homosexuels emploie personne temps plein un'immeuble disposition bref présente minimum structure ———————……— milieu minorités sexuelles n'aime psy —————— pense aussi centre s'intitule pastoral c'est parce pasteur parole moignage vie peuvent limiter uniquement prédication paroles doivent s'incarner actes action sociale bien précise c'est ainsi considère travail psychologue d'animateur centre comme subordonné ministère pastoral bien gens viennent ici considèrent voient toujours comme cela grande majorité gens viennent font parce pasteur peut-être bien pasteur pourquoi parce qu'il d'autre endroit genre france aller outre cet aspect le.centre veul également psychologique non seule ment parce fondateur moimême formation psychologique aussi parce voulons vraiment apporter aide d'ordre psychologique gens problèmes solitude détresse côté travail finalement très important bien milieu minorités sexuelles n'aime absolument monde psy psychials anita khah tre psychologue psychothérapeute etc. aversion repro chant vouloir récupérer considérer comme malades gens marge société mot donc mettons avant action psychologique différents niveaux effectivement lieu tout d'abord service téléphonique s.o.s.-homo tenu collaborateurs grande majorité psychologues précisons première fois après beaucoup tergiversations l'administration p.t.t. numéro estinséré l'annuaire page s.o.s sait plus consultée enfin organisons beaucoup réunioris réalité grand nombre d'entre elles sortes dynamiqués groupe païticulier vendredi soir pré sente thème avant trait sexualité cela peui être masturbation sigaifitätion premier rapport sexuel flagellation etc certains iruuvent cela magnifique d'autres estiuënt qüë.nous mellons trop l'accent sui sexualité pensé peut parlèr centre sexualité .où voulez qu'on parlée peut bla1 centre christ libérateu bis ïraut 75017 paris rue chi tél 627.45.56 mercredis vendredis heures minuit permanence spéciale samedis heures heures lesbiennes
9,10,guer cela fait partout véritablement parler toute liberté façon dont vit sexualité peu endroits tiens qu'une soirée semaine puisse discuter quelqu'un compétent introduit brièvement sujet procède ensuite tour table chacun peut s'exprimer cela permet certaine dynamique cerlaine façon libérer craintes angoisses sentiment d'être unique pouvoir rendre solidaire d'autres utiliser mot dynamique groupe psychologie très malvenu participants réalité travail psychologique profond fait niveau affectif gens -qui participent tels groupes constaté qu'un deux psychologues stagiaires déjà titulaires d'une maîtrise psychologie n'avaient l'occasion rétléchir problèmes sexuels quelquefois eux-mêmes problèmes participant réunions bénéficier personnellement leurs effets psychologues stagiaires genre stages constitue innovation niveau universités françaises ailleurs certain nombre choses ici innovations d'abord qu'il trouve pasteur puisse plein temps s'occuper cela reste toujours liste pasteurs ensuite trois universités acceptent d'envoyer dizaine stagiaires telle association alors loi considère encore l'homosexualité comme fléau social également invité plusieurs reprises psychologues psychiatres animer réunions particulier docteur gellmann président société franaise sexologie clinique marc oraison docteur govren amsterdam endocrinologue célèbre connu traitements hormonaux transsexuels etc eeeeezezezeee——— psychanalyse tendre envers minorités sexuelles —————— réclamez l'ecole roge- rlenne crois j.d oui j'ai surtout formé l'ecole rogerienne veux aider gens assumer eux-mêmes tout peux faire c'est être rigueur miroir lequel peuvent psychologie juillet 1980 regarder propre mas liberté eur porte jugement intention réunions sible prensecte faut gen uoi l'exisnent charge c'est pomotence d'autres associatio® olument sexuelles dérange c'est très souv cela conseille gens ane bedoit mieux correspondre ant soins exemple sons danses comme littéraire scientifique tins plus connu sous nom die comme chacun boîte dansante gens veulent danser dis bien allez-y. n'avons action politique comme g.l.h groupe libération homosexuelle certains peuvent être utiles s'épanouir dire n'étiez très favorable psychanalyse pourquoi c'est vrai peut-être parce n'ai analysé moi-même peut-être également parce formation sens peut-être enfin parce vis beaucoup plus perspective l'avenir présent passé décourage gens aimeraient entreprendre psychothérapie genre défiance l'égard psychanalyse s'explique-t-elle encore qu'elle dire l'homosexualité faut reconnaître psychanalyse très tendre envers minorités sexuelles cer- tainement position j'ai moi-même sujet n'en reste moins vrai freud célèbre lettre adressée mère garçon homosexuel amé- ricain dit entre autres psychanalyse garantit changement d'orientation sexuelle plutôt épanouissement géné- ral personne dont peut prévoir conséquences quelle sexualité beaucoup théor ries logie l'homosexualité position l'homoétio- d'acquis pendant sept années vie sous certains éléments l'éducation éléments toutefois euvent être identifiés peut-être uné disposition naissance car peut s'est passé vie tionnelle affective mère per dant période intra-utérine bien voir qu'un homosexuel lors quil s'est accepté vit bien souvent comme élément structure personnalité donc comme quelque chose d'inné titre fait être gaucher daltonien d'avoir peau blanche noire entre façon dont vis affirme cette innéité vérité historique scientifique différence notable sous forme boutade pourrais peutêtre ajou ter nature finalement très bien organisée monde occidental souffrant surpopula tion l'homosexualité pourrait être voulue nature comme frein reproduction gens raient vivre affection amour d'une autre manière procréation mières fluence avoir emo etats-unis estime 100 sourds-muets homosexuels parlez beaucoup d'homosexua lité finalement très peu autres formes minorités pourtant destinez centre ensemble minorités sexuelles parmi minorités sexuelles repré sentées centre homosexuels constituent loin groupe île plus important néan moins seuls divisent sous-groupes c'est ainsi plus transsexuels bon nombre travestis cin mations philes hétérc messieurs petites comme garçons être attiré beaucoup quantaine sado-masochistes néra tte pédophiles côté cela homo socié divisent selon leurs particular tés juifs catholiques espérantistes tree égarq lesbiennes sourds-muets bisexuels ent peti groupe d'homosexuels sourds muets lorsqu 1973 j'ai fait tournét usa j'ai très surpris témarquer églises préchais conférences du° tenais chaque fois présen® côtés d'un interprète sage gestuel renseignements men prêtre médeci hérapeulé mor arr juin 1978 cin psychothé ettre avril 1935.
