,page,text
0,1,"septembre 1980 128 forum lecteurs écrivent quiz couple chronique pédagogie bref personnage extraordinaire psychologie clinique connaissance soi époque bref psychologié sociale librairie seuane mur -59 e\\ ote centre d'etude promotion lecture ftelent retz rue roule 75001 paris 233,88.62 .51 etes-vous bon confident pleins feux jalousie jaloux pourquoi comment virginia adams télévision langues laboratoire l'audio-visuel mode michèle solat france watson behaviorisme publicité faites fais non j'enseigne jean-louis swiners vivre malade mental toujours qui-vive très seul claude bonnafont expérience thérèse-bertherat désormais j'écoute corps marie-france boyer savons mal évaluer risques trop optimistes assez pourquoi slovic fischhoft lichtenstein allemagne décision collective volontés'et mécanismes limites libre décision bery molet conception production manuels scolaires guide pratique richaudeau l'amour plus badinter différence anthropologique. tinland 129 paraîtra jeudi octobre 1980 cor= abonner voyez page"
1,2,marvil l'urbiaux répond lecteurs formation pre lttique d'infirmier psychiatrique après unc formation d'infrmicl psy chiatrique est-il possible d'entane formation poussée psycho ogic traduisant licence ertificat certifica lyon licence psychologie prépare faculté renseignez-vons auprès l'aniversité voire choix voir formation d'infirmier psychiatrique periet bénéficier équivalence quelques unités valeur général n'en rien plusieurs écoles psychanalvse mouvements psychanalvse réclament sigmund freud exigent généralement êlre psychanalyste candidat suivi psychanalyse dite didactique après avoir admis conunission d'agrément puis quelque temps années effectué analyses sous contrôle c'est cas société psychanalvtique paris 187 rue saintjacques 75005 paris l'association psychanalytique france place dauphine 75001 paris autres écoles psychanalyse s'inspirent carl gustav jung d'alfred adler exemple moins rigoureuses trouverez renseignements concernent l'encyclopédie pratique psychologie moderne paris éditions retz qu'est-ce que-la carte scolaire j'ai souvent entendu utiliser l'expres sion carte scolaire éducateurs français s'agit-il réparti tion géographique établissements renseignement celle enfants d'aller l'école d'autre genève dep ession carte scolaire déjà ancienne d'etre redéfinie décret psychologie septembre 1980 rité profé janvier ren lographes comic gen dus scte générale oluiré dances orpaiti sol coneentralion icicl srude graphique frappe ourna uve aphies comptes rendus paru 7110 esse logral 1980 votts int l'arti der l'académie tieulier 176 midi 1923 ahrise ogra chapi figure surtout ini lofcss arte salioti dae donné jocalise publics tude gostes frappe horizo entent condalre d'ednétd sve bureatt international cevant stère vail gtudes documents éne oignemnent tion vai sducative orientations domain çcontintie initiale données géogralr ques économique tre ——— pppar pen d'où vient obsession mnt mire sigles physiques sionnelle chez las déniie détermine certe fin grablisse seau roprete structure pénent secondaire soumets cas iss l'enseignen vou lle précise vocaliot pense doit être éréquent rriez sujet agogique désignant dre ans famille personne pots onti assurent l'obsession jormalion ation délimité appartement voici fixe rte définit pret passe oici eit zone dess ler d'héber- comment ce/a krentré spp alis capacité travail vers première ren gement élèves. our être idée cet homme après avoir dit reiler décret trop one écrit bonjour femme nettoÿer cul chez produit intégralemen maison lies tapis parquets voil point outre dfférence entre aussi meubles salle cit fait carte scolaire corres séjour l'opération renouvelle cot secteurs scolaires orr pondent zones desserte collèges districts scolaires correspondents zones desserte lycées traite en°son chapitre procédures d'élaboration révision cation d'adaptation d'appli carte scolaire tests dactylos étudiante amenée traiter rôle psychologue l'entreprise j'aimerais renseignements parutions adresses organismes susceptibles donner informations recrutement entreprises sténo-dactylos secrét ires pos exemple tests ire lests faire faire ane iates l'ricntation l'entre mise l'aise psycholngus fes candidates mlle stutzheim d'une façon générale entrepris crojs sténo-dani l'ect utent d'un yographes conte ssa professionnel éhtent psychotechniciens d'ait évi refoi évidemment intéres fois profession comme cette beaucou coup ous éfére entre j.m lahy tres pouvez autres travau évidemment samedi diman che matin dois ajouter qu'il fréquent voir balai deo chiffon main depuis peu chologre 1964 autre manie érotter l'un wine fur mud pieds sol l'espoir de- faire disparaître quelques taches indélébiles ceci surtout près porte d'entrée salle bains selon chaque personne.qui vient l'extérieur susceptible salir appaïtement alors nettoi après passage celle-ci per sez-vous cas est-ce ten dance névrotique compülsionnelle plutôt obsessionnelle petit livre histoire hernès pierre bien fait georges mou questions stock plus fait per auteurs brasse plus riez ajouter mita paris l'obsession propreté phénomène fois band complexe psycharialyse compulsion névrotique fréquente lavage ailleurs rencontrée plis élec femmes nulation c'està dire mécanisme psycholo dire mécant s'effor 8ique lequel suje rce faire sorte pensé actes paroles gestes ormatt utilise advêl patieng compérieot cela pensée patent tion ment signifier sérer sion s'agit d'une com doit rement cars magique partiol terre rtenqre obsessi aractéristique névros porrielle jean laplanché cas chanal mtalis vocabulaire vse paris p.u.f. 1968 per bpor
2,3,pro voici mière dit loyer rquets salle juvelle dimanil lun espoir taches bains vient salir aettoic pen lavage vise aimuler action antérieure peut avoir réelle imaginaire règle généle psychanalystes admetteni depiis sandor ferenczi cette sale 6sl plus souvent masturbation but lavage esr essayer faire disparaître races odeurs susceptibles grahir cette pratique dont sujet éprouve tiense culpabilité pes livres chanson elève école d'éducateurs d'eteharry prépare exposé mass media souhaiterais traiter entre autres thème chanson tant phénomène social dernières décennies moyen transmission culture masse pourriez-vous m'indiquer documents sujet m.f. monein c'est surtout dépouillant revues spécialisées cueillerez renseignements cherchez seule étude chanson point vue psychologique fait sujet d'un livre connaissance alle mand remontant quinze ans voici néanmoins titre zur psychologie deo deutschen schlogs winterthur 1964 rené malamud petit livre guy rismann histoire chanson paris hernès pierre waleffe très bien fait date 1967. celui georges moustaki righini questions chanson publié chez stock plus récent 1973 fait personnalité premier auteurs champ qu'il embrasse plus restreint pourriez ajouter pierre brochon chanson 50ciale béranger brassens paris editions ouvrières marcel turbiaux conjoint patient existetil publications livre formations etc. conjoint patient effet conjoint parent patient essaie coupérer bien dernier doit prendre attitude n'inlerfère traitement cas réactions patient patient interprète rapport psychologue peuvent être difficiles interpréter cas conjoint parent peut être d'accord patient interprèle réactions thérapeute paraît souhaitable patient effectue transfert vers thérapeute cela crée certainement situation relations famille nouveau genre suite fur mesure thérapie progresse d'autres facteurs entrent jeu crois conduite l'interprétation rôle famille esl important san salvador certains psychologues considèrent cnfant problème comime symptôme famille pensent concerne choix d'un conjoint comme ftoul choix névrotique conditions psychanalyse introduit inévitablement rupture l'équilibre quelque précaire difficultueux qu'il entre liens unissent sujet psychanalysé c'est-à-dire identifié comime porteur symptôme entourage autrement dit d.d jackson appelé homéostasie famille 1957. cette constatation l'origine thérapeutes plus plus orientés vers thérapie couple seulement traiter difficultés d'ordre sexuel famille bien psychanalystes considèrent cette technique comme forme élaborée conditionnement suggestion thérapie couple famille fait objet nombreuses publications puis assurer cette abondante littérature problème tel posez longuement traité sans doute frouverez éléments épars quelques ouvrages parmi plus récents thérapie couple famille virginia satir paris epi 1971 techniques base thérapic familiale sous direction nald bloch kitty laperrière paris j.-p. delarge 1979 nouvelles stratégies thérapie familiale jay haley j.-p. delarge familles thérapie sal vador minuchin paris editions universitaires 1979 psychothérapies familiales minuchin paris editions universitaires -1979 premier entretien familial helm sfierlin paris j.p. large 1975 cet ouvrage comporte importante bibliographie enfin signale cahiers critiques thérapies familiales international aimeriez-vous changer célibataires rompez toujours alors désormais rencontrez plus partenaires dont caractère affectivité sexualité complémentaires vôtres chance fantastique offre ion monde change changez aussi façon découvrir celle qué cherchez vie. 305 articles presse plus 100 émissions radio télévision livres fllm diffusé depuls ans progrès scientifique plus cxtraordinaire temps domaine lire sujct vers civilisation couplie l.m jentcl préface louis armand l'académie française toutes librairies ion dastuut psvchologte joe 190 paris bruxelles genève veuillez m'envoyer gratuitement sans engagement sous pli ca- cheté neutre brochure pages couleurs couple nouveau mme mlle ... ..... ... ....... prénom teseosssesssssessusse age ........ adresse .... .................. lion france rue saint- 75009 paris 826 sini- lazare con rhone-alpes psr rockefeller 69003 lyon ent ans rion midi-aquitaine psm allée demoiselles 31400 toulouse tél 53.25.95 lion belgique psb rue marché- aux-herbes 105 boite 1000 tél 511.74.30 auxelles oion suisse pss rue peti 1211 geneve-11 tél 022 217801 mme lomme l'mmee ÿmmus lrous loan mme l'an mme vdosonsse mms man
3,4,dont pre réseait raitre pratique pralif vient nier numér ris gamma lecteurs écrivent l'internat sait rendre eureux l'article îcs enfants maltraités 124 mai 1980 analvsez plus cinq pages causes mal l'âge pourccntag comportement enfants genre sévices faits deux colonnes seulement parlent l'avenir victimes cela démontre bien dificulté qu'il proposer solution pourtant semblez pencher l'adoption donne j'enfant chance unique retrouver équilibre bonheur pense ulfet c'est sans doute meilleure solution j'ajouterai tout suite lorsque cela réussit pourcentage réussite sans doute important cependant faut nier difficultés éprouvées couple l'enfant qu'un lien affectif suflisant s'établisse permette dépasser difficultés surviennent l'établissement travaille plusieurs enfants adoptés aujourd'hui chez sembio-amalyse axée l'emotionnel confins psychanalyse bio-energie reichienne proposée psychanalystes bioénergéticiens groupes continus séminaires résidentiels séances individuelles formation septembre novembre tous jeudis conférences d'information gratuites inscription s'informer 433.1 7.50 secrétariat administratif rue sébastien brossard 77100 meaux erba psychologie septembre 1580 cause ment tab liens affectifs patabilité drer l'enfant remit provoque instabilité sinon ant cela semble repos fausse image portante institutions tant jque gjique psycho dluridisciplinaires permettent toute équipe profon travail fait auprès l'eni cadre institutions plus souple liens affect s'établissent engendrant l'enfant sécurité maturation éducateur spécialisé 07700 bourg-st-andéol l'équivoque psychosomatique exemples apportés ruder mai 1979 article chantal médecine psychosomatique montrent bien-fondé pragmatique genre d'approche néanmoins plan conceptuel situation m'apparaît fort équivoque quel statut ontologique psychisme corps psychisme sont-ils deux substances deux entités seulement deux concepts d'après robert substance existe soi-même entité objet considéré comme être doué d'unité matérielle alors existence n'est fondée dre rapports euve courant d'ai vague d'air entité concept représentat tale générale abstrait dun aile d'un objet cas corps isme psychisme deux représentati talcs d'une menlorsque freud personnalité personnes pérsonnalité 'apoes étre doué réhendent plupart agissant ainsi vraie pcrsonnatle arler imp ique façon entité soutiens psychanae oue constitus théorie classe iste moins dualiste jritual fonctionnement humain ris disent île psychis corps font qu'une dua cièrement psychisme affirment solu verbale satisfait béhavioristes évité cette équivoque refusant considérer poi psychisme comme entité envisagent psychisme comme pres-v° simple concept explicatif lequel n'est plus utile attarder après dent tout milliers penseurs bon certes déjà penchés nature sit éco sait structure psychisme moins qu'un qu'est-c£ cinquante théories différentes écoute l'emba psychisme formulées plan pratique n'est prouvé plus psychothérapies actuelles psychisme plus efficaces celles d'il soixante ans l'étude psychisme permet guère découvrir nouveaux faits concrets valeur heuristique c'est-à-dire valeur d'explication donc faible d'après béhavioristes autre manière lever l'équi mens fee voque corps-psychisme consiste dentrelien adhérer tradition spiritualiste corresponden laquelle l'esprit constitue goss lisez attc réalité indépendante matière sujet personnes croient phé imaginant nomènes parapsychologiques const qu'il décri dèrent sienne sri plupart psychisme comme substance distincte possède lois propres lrets cette lettre concepn 5er brièvement trois conception psychisme. psychologues plus répandue che paraît celle l'entité rais pus équivoque souhait article schologie publie tions énistes synthèse rifier emologiques rendre plus accessil® lecteurs pus longueville québet allons inviter d'aide vol avantages personne 126 psychologie res homo numéro ice téléphonique dei mose unit ssl 627 els bon
4,5,ent ent ent pet utee paper tre burn wii unis cette tité aime rauel etes-vous bon confident roger mucchielli près °urs tune bon confident c'est quelqu dois reprendre poste stan moe salt écouter certes aussi quel- dardiste… cela porte tellement cas aoins quun salt aider celui qu'il nerfs peux peine sup- homme ans écoute qu'est-ce aide celui porter j'ai stabilité voix bizarre naïve fruste l'embarras voilà bon salaire alors lâcher tout j'ai sentiment plus bizar- prouvé plusieurs attitudes possibles faire m'intéresse réellement res quand quelque chose d'heureux elles ccs lesquelles adoptez-vous plus souvent c'est cela d'abord tout cas travail plus varié cela aboutirait débuter bas nvarrive bien peux croire j'agis comme n'était jal'étude allons faire déterminer avant l'échelle salaire très arrivé tracassel ière inviter -réfléchir faible sais pourrais voulais rendez-vous laure pncrels type d'aide offrez ainsi faire non ... j'ai tourné autour d'elle pendant dire avantages inconvénients pouvez-vous m'en dire davantage semaines avant d'avoir assez cou- faible personne aidée sujet intéresse rage demander rendez maintenant c'est très important dit oui pouéaui- trouverez ci-dessous frag- réfléchissons bien vais croire pouvais telr l'équi ments d'entretien chaque frag ajtenti lenent vas croire ste dent six réponses dif. attention avant vou ent ste ment correspondent six teponse lanciez quelque chose nou allé rendez-vous rualistei férentes lisez attentivement veau faudrait faut être âge garue dit sujet premier fragment sûre cela vraiment plus çon 'et avoir idée peu plus nalièr® imaginant personnage iyantageux réaliste concernant femmes tuation qu'il décrit comme n'allez quitter proie êtres humains elles consr sienne l'ombre désirent rendez-vous autant chisr puis supposons cette personne bien voyons n'est dé- cite connue degré suf- sespéré s'agit savoir cela paraît toujours irréel fisant qu'elle puisse dire quel service pourriez être quand .il arrive -quelque chose per qu'elle dit comme dit ... mutéé peux ménager d'heureux lrois répondre lisez alors entretien chef person- sans doute dit six réponses prop osées nel tant force rien bon lez fras considéré laissant embarras s'explique double- pouvait arriver lorsque ntanéité c'est-à-dire ment d'un côté hésitez cela produit semble per jte sel bonne lâcher poste actuel n'est vrai sens chercher tourez celle surtout savez quel demande sentiment réponse non s'éloigne autre emploi susceptible d'irréalité associé der proc due ons convenir moment particulier lus jus pondre cette personne c'est vraiment décision dif vie voudriez-vous m'en dire da5sid res repor tances ficile n'est-ce bien cou- vantage propos nec ans circons rir risques débuter vouliez dire quand queljuéb° faites cela fragments nouvelle branche bien s'en chose d'heureux m'arrive successivement tenir sécurité travail at-il vraiment lieu tra déplaît casser sujet ———— faites beaucoup trop tous triompher senti quil cas souci n'est usant ments désirs bizarres femme ans ainsi nerfs résou- pense cette expérience 72.0 voix drez difficultés faut servira leçon pronel rase vraiment quoi faire mettre cet état tout chaine fois faites effort sais vraiment finira s'arranger accepter bonne fortune
5,6,eee cas jix homme ans voix forte scandée agressive décidé faire quelque chose n'ai peur travailler dur n'ai peur recevoir quelques coups durs pourvu sache vais répugne passer ventre autres lorsqu'ils chemin parce veux tout veux être quelqu'un somme conduisez comme ambitieux parce qu'il faut prouver vous-même valeur estimez qu'il faut avant quels efforts moyens parvenir qu'est-ce avis pousse cette grande résolution d'arriver quelque chose est-ce cela intéresserait passer quelques tests déterminer quelle branthe pouvez réussir mieux cela pourrait être d'un grand appoint bien qu'il possible qu'avec allant réussissiez beaucoup situations grande ambition peut être véritable atout quelqu'un etes-vous certain cependant pensez vraiment quand dites qu'il répugne passer ventre ceux trouvent chemin est-ce cela pour- connais d'autres personnes cas elles tant réussi faire relations agréables adhérant association loisirs vacances l'important figurer qu'on doit rester seul peutêtre m'en disant davantage sujet façon dont prenez faire amis pourrions-nous avoir idée plus nette cloche dure depuis longtemps fini être presque convaincue est-ce voulez dire peut-être voulez-vous d'amis uniquement protéger quelque chose d'autre c'est situation assez regreltable n'avoir d'amis faut vraiment occuper certain nombre choses pourriez faire apapprendre faire amis eee cas homme démobilisé ans fureur amertume fois quoi bon personne joue franc-jeu gars restés chez pris tous avantages tous profité pendant battions front maudis tous autant qu'ils jouent double jeu quant femme silence ouais ... rait faire plus tort commencé dire quel- bien sentiments très forts devez être sous coup d'une déception récente faut calmer réfléchir verrez retrouverez sangfroid sans perdre enthousiasme ————— —————aaaet cas femme ans voix -découragée maintenant dix ans j'habite cette ville sept ans appartement connais personne bureau semble peux faire amis c'est comme j'étais paralysée j'essaie d'être gentille autres employés niais fond sens contractée mal l'aise alors dis m'en moque peut compter gens chacun soi veux d'amis quelquefois finis être vraiment convaincue. trop pessimiste cela durcr éternellement verrez l'on viendra vers force choses psychologie septembre 1980 chose sujet femme ... estimez avoir exploité cela met colère pris cela révolte parce plus qu'un autre pensez mériter égards comprends sentiments ac- tuels maïs cela empêcher d'aller l'avant n'essayez débarrasser. n'êtes tout seul être main l'argent cout cerais lancer souhaitez peut-être l'adresy n'hg d'un conseiller financier cas-là besoin renseigne ments avant d'emprunter onds post très bien doit être sûr soi veut arriver quel chose commencer tation peut vraiment tout gâcher bonne voie souhaite réussir pouviez avoir fonds commencer sen. tez sûr d'en tirer parti sentez sûr pouvoir réussir parce ren dez compte effectivement qu'il faut l'affaire mar che quand voit choses clairement l'assurance vient toute seule avez-vous déjà étudié quels risques courir posez beaucoup pro blèmes concernant l'argent manière .de s'en procurer art s'en servir cas vii homme ans voix amère tendue voilà c'est nouveau compagnie c'est malin réponse tout croit qu'il inventé poudre bon dieu sais affaire ferais mieux voulais estimez devriez être premier vraiment important rester tou jours meilleur prenant dès début telle attitude l'égard cet homme nouveau compagnie prenez bonne manière cela demandera sans doute d'agir beaucoup méthode réflexion faudra faire très attention furieux bien souvent nouveau venu parait quon als temps prétentieux donne envie qne7r yous rémettrez dépasser ement voyons dre beau allez être entrat nest étre ent joueur venger itainé vouloir tant pourquoi attachez-vous jours choses mplique tou- homre importance dépasser croyez pes perou \6- êtes-vous renseigné exacie cas sut antécédents homme ans homme 100 actuelles voix claire décidée savez-vous compagnie sais pourrai réusss sujet affaire tout cest avoir quel ques ble certain bon d'ensem cas viii rage d'essayer j'ai tout cou fille pouvais seuleme aussi vox tendue ans avoi quand tageuse contenu® egarde ... aussi attrayante mo0h
6,7,malin qu'il dieu affaire voulais aussi intelligente chic demande ent peut-elle faire illusion personnes comment clair travers toutes res arrive toujours quelque chose tout onde adniire manière dont peux souffrir rend malade tout qu'elle veut place gérard littéralement journé ensuite nié quand l'ai mise devant fait dit pensais west pus bien ... vais faire voir ressemble-t-elle quelque autre jeune fille laquelle déjà trouvée relation estimez qu'elle obtient vous-même réalité devriez avoir .on dirait prenez attitude peu violente égard tous préjugés contre gens bien rare tirions quelque chose bon c'est cas typique jalousie bien connu provoqué présence personne peutêtre peu plus capable plus adroïte vous. pourquoi n'essayez-vous observer qu'elle fait battre propre terrain c'est bluffeuse devriez avoir dernier mot âge naturellement très sensible toutes déceptions l'avantage d'être plus raisonnable d'avoir plus d'expérience vie cas moe dialogue entre médecin travail martin nouvel employé alors martin comment marche collègues bureau qu'ils aillent diable pourtant j'ai .essayé fire mieux quand patron adjoint mis colère contre parce m'étais trompé facture difficile ... fais mieux ... fais vraiment mieux quand vont jusqu dire n'est àssez.… montre plus plus clairement bon ren voyons martin tâchez faire point cette histoire est-elle grave suffit dramatiser autrement dit dès qu'on crltique tendance montrer coupable fait mieux trouvé erreur dit regrette mais. coup mettez penser valez grandchose. voyons vieux laissez démonter quelque chose comme c'est sûrement bon rien dites-moi martin est-ce seulement cause cet ennui personnel venu douter vous-même devez prendre considération désormais tout réussi plus obnubiler imperfections faites bilan succès ——————————————— cas fragment dialogue entre étudiant directeùür etudes entrez puis-je faire monsieur voudrais m'aidiez sujet emploi temps prochain trimestre u'hiver j'ai parlé plusieurs personnes sujet dois choisir elles disent toutes choses différentes c'est difficile savoir quoi faire pensez seulement première année ne.sais vraiment vaut mieux ... bien compris estimez qu'il s'agit quelque chose besoin aide exté-tieure quelque chose pouvez décider vousmême. voulez-vous parler section laquelle voulez entrer allez prendre comme .matière option voyons rapportiez peu plus vous-même quant pouvez faire voulez faire lieu rapporter disent autres peut-être trouveriez-vous peu mieux demande solution difficultés consisterait plutôt développer confiance vous-même obérer choix entre cours. certainement allons réflé chir parfois peu dur trouver place structure collège avez-vous déjà fait bilan matières apprendre celui heures travail dont dis poserez ——— voir commentaire réponses reportez-vous e———— tfn cae cahiers psychologie jungiennie revue pages trimestrielle numéro vient paraître sacrifice sommaire biologie mystique sacrifice pierre solié dette due père emile rogé prix symbole élié humbert castration sacrifice rougeulle boker salzmann propos traduction commentaire mystère fleur c.g jung gailard comptes rendus d'ouvrages récents activités associations jungiennes cahiers psychologie jungienne librairie courrier rue las cases 75007 paris abonnement etranger abonnement 105 ecole esymcho-grabhoiogie ets meenthaux organisme prive d'enseignement distance fonde 1953 loi cours correspondance cours oraux sessions confé rences paris enseignement gradué professeurs spécialisés psychologie psychanalyse psychologie l'inconscient caractérologie mmorphopsycho logie graphologie orientation sélection professionnelles inscriptions toute année rythme d'étude individualisé conventions .permanente formation documentation gratuite gaillat villa st-pierre 94220 charenton tél 376.72.01 analyses selechons professeurs
7,8,
8,9,pleins gsut théories jalousie manquent leurs sources obser vations accumulées terrain anthropologues spéculations faites sociologues encore conclusions tirées psychanalystes traitant patients atteints troubles émotionnels malheureusément cette flambée théorique suscité courant recherches très important estime psychosociologue gregory white l'université maryland fallu attendre fin années psychologues tels bryson white robert bringle quelques autres réalisent expéllences jalousie sentimentale sexuelle cadre rigoureux laboratoire premier lieu tenté d'en donner définition prétise rapidement rendu compte tous ceux écrit question donné définition différente plus emphatiques décrit jalousie comme douleur peur l'annihllation l'ombre l'amour 8st presque certain tout cas jalousie n'est émotion unique qu'elle englobe plusieurs motlons définitions recensées mentionnent effet colère l'ansosse haine l'humiliation onte chagrin méfiance bry0 quant suggère l'instar jalousie l'amour jalousie c'est tout qu'un individu décide désigner sous nom. bric-à-brac présente guère d'utilité recherche approfondie l'heure actuelle distinction faite depuis longtemps psychanalystes sociologues entre l'envie jalousie acceptée comme hypothèse base parle d'envie lorsqu'un individu convoite quelqu'un d'autre possède estime avoir droits dessus revanche jalousie caractérise peur perdre profit quelqu'un d'autre qu'on estime être possession personnelle outre communément admis personne jalouse sent menacée double plan niveau précieuse relation affective qu'elle entretient partenaire niveau l'estime qu'elle porte admis aussi fait menace question puisse être réelle potentielle totalement imaginaire. pionniers cette recherche fixés plusieurs objectifs déterminer quels types d'individus plus enclins jalousie quels genres circonstances provoquent ressent exactement personne jalouse quel comportement inspiré jalousie. découvertes plus récentes jalousie émanent d'une étude menée psychologues elliot aronson l'université californie santa cruz ayala pines l'université californie berkeley leurs travaux s'appuient essentiellement réponses questionnaire jalousie sexuelle questionnaire comportait 200 questions spécialement sélectionnées recueillir données pratiquement tous aspects jalousie antécédents effets présumés possibles questionnaire contient plusieurs questions auxquelles faut répondre oui non style allé partenaire soirée savez celui-ci disparu eprouvez-vous -jalousie cependant majorité questions répond entourant d'un cercle chiffre entre rapproche plus l'attitude adop- tée sujet l'expérience qu'il vécue l'heure qu'il environ 100 hom- femmes dont l'âge s'échelonne peu près entre vingt-sept cinquante ans rempli questionnaire agit majorité d'étudiants en- core participants séminaire deux jours organisé l'an dernier responsables l'étude traitant jalousie l'analyse statistique éffectuée échantillon sujets mis évidence corrélations entre
9,10,actéristiques jroonstances fait qu'il ertaines car jalous certaines personnelles man qu'ils cela poire cause résultats l'impression notamment brinla jalousie d'insécurité euse l'étude degré portionnel gle selon laquelle pair sentimen image soi peu flatt démontre également jalousie inversement pro niveau d'instruction d'après aronson pines jalousie éprouvée individu pen sée réelle injustifiée partenaire trompe l'empêche jement d'être lui-même infidèle c'est peut-être parce enclin l'in fidélité cet individu amené penser partenaire peut céder mêmes inclinations jaloux gens malheureux hommes femmes manifestaient plus grande insatisfaction l'égard vie actuelle également ceux ressentaient plus souvent sentiment jalousie gens disaient malheureux partenaire montraient pourtant jaloux corrélation paradoxale disent aronson pines car s'attend qu'un être n'ayant vie couple épanouissante n'éprouvê qu'indifférence vis-à-vis l'infidélité partenaire cependant faut peutêtre interpréter l'autre sens relation cause effet admettant qu'il alt quelcong relation causale entre deux facteurs possible jalousie cause mésentente couple non l'inverse. suffit peu declencher crise heureuses non ménage per- sonnes jalouses sentent apparem- ment liées partenaire care psychologie septemdre 1980 ren individus trois hommes vivent communauté deux vieille derneures victoriennes situées quartier san francisco haight-ashbury appelé groupe ous tous hétéroséxuels chaque semaine liste établit selon quel ordre couples dormiront ensemble ordre qu'ils appellent rotatif non-préférentiel leurs.relations fondées monogamie rappor sexuels partenaires extérieurs exclus biais cette expérience membres cette communauté estiment avoir éliminé moins transcendé l'éternel problème jalousie sexuelle cela vrai alors peuvent vanter d'avoir réalisé exploit la'jalousie sexuelle souvent cause principale l'échec nombreuses commuriautés utopiques sous-marin mauve forme autre groupe similaire ganlase kerista san francisco véritable organisation hui cinq femmes fondée l'idéal polyfidélité terme village kerista eut-memes oui l'ont forgé symbolise but loyauté envers groupe vis-à-vis d'un seul individu ous hommes sous-m considèrent comme ren seul enfant déjà fun enfant naître expérlence tentée nalage kerista commence inté spéclallstes l'étud sresser comportement majs nnelssances acqui jalousie xue encore suffisamment permettre l'équipe rêuss bare admettant réellement peven propos d'un second edr rsr possibilités s'offrent aronson pines mmes plus fré jalousie étaler êmes répondaient éners non question rencontriez autre person laquelle serlez suscepthe ntretenir relations intimes 7-vous partenaire actuel étude ressort cette mêmm d'une relation amoureuse étroitement liée l'absence sen ments jalousie sujets considéraient comme très jaloux partenaire actuel depuis cinquante-huit mois moyenne contre cent dix mois moyenne sujets estimant jaloux tout comme bringle aronson pines découvert l'âge fac teur important jeunes déc raient plus souvent jaloux lus âgés toute évidence suffit peu chose déclencher crise chez individu jaloux hommes femmes admettant avoir ressent plus souvent sentiment jalou sie répondu oui question téléphonez chez personne aimez ligne occupée êtes-vous submergé vague .de jalousie sujets souvent jaloux reconnaissaient également fréquemment qu'ils .un pincement cœur situation suivante télé phone sonne décrochez personne l'aütre bout fil raccrache sans mot s'excuse déclarant avoir fait mauvais numéro autre découverte peut donner réfléchir jaloux très dificile dissimuler jalousie sujets souvent jaloux signalé savaient leurs amis const déraient comme tels durée =—— pages questions jalousie ——— white effectue aussi longtern jalousie depuis plus qu'il qu'aronson pines 1976 commencé recherches d'articles écrit bonne demi-douzall® l'ét propos divers aspectt menée grande envergure white jalousie. pages élaboré questionnaire sujets lequel demande donner note afin anal évaluer degré caractère être quest tions spécifi miner gear miques visent êgré jal del forc jalousie devant jalousie êtes-vous relations stitudes actes rélation émot cette détel- alou qu'un ensemble traits jee moins parallèle liens très avoir d'autre vaient ensen cés mariés étaie d'un questio celui dif
